"rownum","BaseItemTypesKey","StrengthRequirementPercent","DexterityRequirementPercent","IntelligenceRequirementPercent","VaalVariant_BaseItemTypesKey","IsVaalVariant","MinionGlobalSkillLevelStat","GemType","bool","bool","rid","i32","i32","ItemExperienceType","CraftingTypes","[rid]","bool","GemEffects","bool","TutorialVideo","UI_Image","i32","CraftingLevel","bool","i32","bool","string"
155,472,100,0,0,"","","",0,1,1,"",1,1,17,[],[0],"",[157],"","","",0,0,"",2,"",""
156,473,100,0,0,"","","",0,1,1,"",1,1,17,[],[0],"",[158],"","","",0,0,"",2,"",""
157,474,0,50,50,"","","",0,1,1,"",4,1,17,[],[0],"",[159],"","","",0,0,"",2,"",""
158,475,0,50,50,"","","",0,1,1,"",4,23,0,[10],[0],"",[160],"","Art/Videos/SkillTutorials/WaveofFrost.bk2","Art/Textures/Interface/2D/2DArt/UIImages/InGame/SmartHover/GemHoverImage/GemHoverImageWaveofFrost.dds",0,7,"",2,"",""
159,476,50,50,0,"","","",0,1,1,"",4,1,17,[],[0],"",[161],"","","",0,0,"",2,"",""
160,477,50,50,0,"","","",0,1,1,"",4,1,17,[],[0],"",[162],"","","",0,0,"",2,"",""
161,478,0,50,50,"","","",0,1,1,"",4,15,0,[10],[0],"",[163],"","Art/Videos/SkillTutorials/IceStrike.bk2","Art/Textures/Interface/2D/2DArt/UIImages/InGame/SmartHover/GemHoverImage/GemHoverImageIceStrike.dds",0,5,"",2,"",""
162,2853,100,0,0,"","","",1,1,1,"",1,1,0,[6],[0],"",[164],"","","",0,1,"",0,"","Strength"
163,2961,0,0,100,"","","",1,1,1,"",3,1,0,[7],[0],"",[165],"","","",0,2,"",0,"","Intelligence"
164,2841,100,0,0,"","","",1,1,1,"",1,1,0,[6],[0],"",[166],"","","",0,1,"",0,"","Strength"
165,2847,100,0,0,"","","",1,1,1,"",1,1,0,[6],[0],"",[167],"","","",0,1,"",0,"","Strength"
166,2859,100,0,0,"","","",1,1,1,"",1,1,0,[6],[0],"",[168],"","","",0,1,"",0,"","Strength"
167,2842,100,0,0,"","","",1,1,1,"",1,1,0,[6],[0],"",[169],"","","",0,1,"",0,"","Strength"
168,2846,100,0,0,"","","",1,1,1,"",1,1,0,[6],[0],"",[170],"","","",0,1,"",0,"","Strength"
169,2855,100,0,0,"","","",1,1,1,"",1,1,0,[6],[0],"",[171],"","","",0,1,"",0,"","Strength"
170,2964,0,0,100,"","","",1,1,1,"",3,1,0,[7],[0],"",[172],"","","",0,3,"",0,"","Intelligence"
171,2670,0,50,50,"","","",0,1,1,"",4,1,0,[10],[0],"",[173],"","Art/Videos/SkillTutorials/GlacialCascade.bk2","Art/Textures/Interface/2D/2DArt/UIImages/InGame/SmartHover/GemHoverImage/GemHoverImageGlacialCascade.dds",2,1,"",2,"",""
172,2671,0,0,100,"","","",0,1,1,"",3,42,0,[7],[0],"",[174],"","Art/Videos/SkillTutorials/Comet.bk2","Art/Textures/Interface/2D/2DArt/UIImages/InGame/SmartHover/GemHoverImage/GemHoverImageComet.dds",1,11,"",2,"",""
173,2672,0,50,50,"","","",0,1,1,"",4,1,31,[],[0],"",[175],"","","",0,0,"",2,"",""
174,2673,50,50,0,"","","",0,1,1,"",4,1,31,[],[0],"",[176],"","","",0,0,"",2,"",""
175,2674,0,50,50,"","","",0,1,1,"",4,1,31,[],[0],"",[177],"","","",0,0,"",2,"",""
176,2675,0,50,50,"","","",0,1,1,"",4,1,31,[],[0],"",[178],"","","",0,0,"",2,"",""
177,2676,50,50,0,"","","",0,1,1,"",4,1,31,[],[0],"",[179],"","","",0,0,"",2,"",""
178,2677,0,50,50,"","","",0,1,1,"",4,1,31,[],[0],"",[180],"","","",0,0,"",2,"",""
179,2678,0,50,50,"","","",0,1,1,"",4,1,0,[],[0],"",[181],"","","",0,0,"",2,"",""
180,2679,0,50,50,"","","",0,1,1,"",4,1,31,[],[0],"",[182],"","","",0,0,"",2,"",""
181,2680,50,0,50,"","","",0,1,1,"",4,1,0,[],[0],"",[183],"","","",0,0,"",2,"",""
182,2681,50,50,0,"","","",0,1,1,"",4,23,0,[9],[0],"",[184],"","Art/Videos/SkillTutorials/RipwireBallista.bk2","",0,7,"",2,"",""
183,2682,0,0,100,"","","",0,1,1,"",3,32,0,[7],[0],"",[185],"","Art/Videos/SkillTutorials/ManaTempest.bk2","Art/Textures/Interface/2D/2DArt/UIImages/InGame/SmartHover/GemHoverImage/GemHoverImageManaTempest.dds",2,9,"",2,"",""
184,2686,0,50,50,"","","",0,1,1,"",4,1,0,[10],[0],"",[186],"","Art/Videos/SkillTutorials/KillingPalm.bk2","Art/Textures/Interface/2D/2DArt/UIImages/InGame/SmartHover/GemHoverImage/GemHoverImageKillingPalm.dds",1,1,"",2,"",""
185,2687,0,50,50,"","","",0,1,1,"",4,42,0,[10],[0],"",[187],"","Art/Videos/SkillTutorials/ShatteringPalm.bk2","Art/Textures/Interface/2D/2DArt/UIImages/InGame/SmartHover/GemHoverImage/GemHoverImageShatteringPalm.dds",0,11,"",2,"",""
186,2688,50,0,50,"","","",0,1,1,"",4,1,0,[],[0],"",[188],"","","Art/Textures/Interface/2D/2DArt/UIImages/InGame/SmartHover/GemHoverImage/GemHoverImageVolcano.dds",0,0,"",2,"",""
187,2689,50,0,50,"","","",0,1,1,"",4,1,0,[],[0],"",[189],"","","",0,0,"",2,"",""
188,2943,0,0,100,"","","",1,1,1,"",3,1,0,[7],[0],"",[190],"","","",0,1,"",0,"","Intelligence"
189,2957,0,0,100,"","","",1,1,1,"",3,1,0,[],[0],"",[191],"","","",0,0,"",0,"","Intelligence"
190,2690,100,0,0,"","","",0,1,1,"",1,1,0,[],[0],"",[192],"","","",0,0,"",2,"",""
191,2691,0,100,0,"","","",0,1,1,"",2,53,0,[2],[0],"",[193],"","Art/Videos/SkillTutorials/SpiralVolley.bk2","Art/Textures/Interface/2D/2DArt/UIImages/InGame/SmartHover/GemHoverImage/GemHoverImageSpiralVolley.dds",0,13,"",2,"",""
192,479,50,0,50,"","","",0,1,1,"",4,1,0,[],[0],"",[194],"","","",0,0,"",2,"",""
193,2692,0,0,0,"","","",0,1,1,"",4,1,31,[],[0],"",[195],"","","",0,0,"",0,"",""
194,2693,0,50,50,"","","",0,1,1,"",4,1,0,[],[0],"",[196],"","","",0,0,"",2,"",""
195,2694,100,0,0,"","","",0,1,1,"",1,1,0,[],[0],"",[197],"","","",0,0,"",2,"",""
196,2695,50,50,0,"","","",0,1,1,"",4,1,0,[],[0],"",[198],"","","",0,0,"",2,"",""
197,2696,50,50,0,"","","",0,1,1,"",4,1,0,[],[0],"",[199],"","","",0,0,"",2,"",""
198,2697,50,0,50,"","","",0,1,1,"",4,1,0,[],[0],"",[200],"","","",0,0,"",2,"",""
199,2698,100,0,0,"","","",0,1,1,"",1,1,31,[],[0],"",[201],"","","",0,0,"",2,"",""
200,2699,50,0,50,"","","",0,1,1,"",4,1,0,[],[0],"",[202],"","","",0,0,"",2,"",""
201,2700,0,0,100,"","","",0,1,1,"",3,1,0,[],[0],"",[203],"","","",0,0,"",2,"",""
202,2701,50,0,50,"","","",0,1,1,"",4,1,0,[],[0],"",[204],"","","",0,0,"",2,"",""
203,2702,0,40,60,"","","",1,1,1,"",3,5,0,[],[0],"",[205],"","","",0,0,"",0,"",""
204,2958,0,0,100,"","","",1,1,1,"",3,1,0,[7],[0],"",[206],"","","",0,2,"",0,"","Intelligence"
205,2703,0,0,100,"","","",0,1,1,"",3,1,31,[],[0],"",[207],"","","",0,0,"",2,"",""
206,2944,0,0,100,"","","",1,1,1,"",3,1,0,[7],[0],"",[208],"","","",0,2,"",0,"","Intelligence"
207,2969,0,0,100,"","","",1,1,1,"",3,1,0,[7],[0],"",[209],"","","",0,1,"",0,"","Intelligence"
208,2735,0,0,100,"","","",0,1,1,"",3,1,0,[],[0],"",[210],"","","",0,0,"",2,"",""
209,2736,0,60,40,"","","",1,1,1,"",2,1,0,[],[0],"",[211],"","","",0,0,"",0,"",""
210,2840,100,0,0,"","","",1,1,1,"",1,1,0,[6],[0],"",[212],"","","",0,1,"",0,"","Strength"
211,2851,100,0,0,"","","",1,1,1,"",1,1,0,[6],[0],"",[213],"","","",0,3,"",0,"","Strength"
212,2867,100,0,0,"","","",1,1,1,"",1,1,0,[6],[0],"",[214],"","","",0,1,"",0,"","Strength"
213,2737,0,0,100,"","","",1,1,1,"",3,5,0,[],[0],"",[215],"","","",0,0,"",0,"","Intelligence"
214,2738,50,0,50,"","","",0,1,1,"",4,1,0,[],[0],"",[216],"","","",0,0,"",2,"",""
215,2739,50,0,50,"","","",2,1,1,"",4,18,0,[],[0],"",[217],"","","",0,0,"",2,"",""
216,2740,0,0,100,"","","",2,1,1,"",3,27,0,[7],[0],"",[218],"","","",2,8,"",2,"",""
217,2741,0,0,100,"","","",1,1,1,"",3,18,0,[],[0],"",[219],"","","",0,0,"",0,"","Intelligence"
218,2742,0,0,100,"","","",2,1,1,"",3,27,0,[7],[0],"",[220],"","","",1,8,"",2,"",""
219,2743,0,0,100,"","","",2,1,1,"",3,27,0,[7],[0],"",[221],"","","",0,8,"",2,"",""
220,2744,50,0,50,"","","",2,1,1,"",4,27,38,[],[0],"",[222],"","","",0,0,"",2,"",""
221,2745,0,50,50,"","","",2,1,1,"",4,59,44,[],[0],"",[223],"","","",0,0,"",2,"",""
222,2746,0,0,100,"","","",2,1,1,"",3,59,0,[1],[0],"",[224],"","","",0,14,"",2,"",""
223,2747,0,0,100,"","","",2,1,1,"",3,61,41,[],[0],"",[225],"","","",0,0,"",2,"",""
224,2748,50,0,50,"","","",2,1,1,"",4,61,41,[],[0],"",[226],"","","",0,0,"",2,"",""
225,2854,100,0,0,"","","",1,1,1,"",1,1,17,[6],[0],"",[227],"","","",0,2,"",0,"","Strength"
226,2860,100,0,0,"","","",1,1,1,"",1,1,17,[6],[0],"",[228],"","","",0,2,"",0,"","Strength"
227,2749,0,0,100,"","","",0,1,1,"",3,1,17,"[0,5,11,3,4,8]",[0],"",[229],"","","",0,1,"",2,"",""
228,2750,0,0,100,"","","",0,1,1,"",3,1,17,"[0,5,11,3,4,8]",[0],"",[230],"","","",0,1,"",2,"",""
229,2751,0,0,100,"","","",0,1,1,"",3,1,17,"[0,5,11,3,4,8]",[0],"",[231],"","","",0,1,"",2,"",""
230,2752,33,33,34,"","","",0,1,1,"",4,7,17,"[0,5,11,3,4,8]",[0],"",[232],"","","",0,3,"",3,"",""
231,2753,0,0,100,"","","",0,1,1,"",3,7,17,"[0,5,11,3,4,8]",[0],"",[233],"","","",0,3,"",2,"",""
232,2754,0,0,100,"","","",0,1,1,"",3,15,17,"[0,5,11,3,4,8]",[0],"",[234],"","","",0,5,"",2,"",""
233,2755,0,0,100,"","","",0,1,1,"",3,15,17,"[0,5,11,3,4,8,6]",[0],"",[235],"","","",5,5,"",2,"",""
234,2756,0,0,100,"","","",0,1,1,"",3,23,17,"[0,5,11,3,4,8]",[0],"",[236],"","","",0,7,"",2,"",""
235,2757,0,0,100,"","","",0,1,1,"",3,23,17,"[0,5,11,3,4,8]",[0],"",[237],"","","",0,7,"",2,"",""
236,2758,0,0,100,"","","",0,1,1,"",3,23,17,"[0,5,11,3,4,8,6,2]",[0],"",[238],"","","",5,7,"",2,"",""
237,2759,0,0,100,"","","",0,1,1,"",3,32,17,"[0,5,11,3,4,8]",[0],"",[239],"","","",0,9,"",2,"",""
238,2760,0,0,100,"","","",0,1,1,"",3,32,17,"[0,5,11,3,4,8,6,9]",[0],"",[240],"","","",5,9,"",2,"",""
239,2761,0,0,100,"","","",0,1,1,"",3,42,17,"[0,5,11,3,4,8]",[0],"",[241],"","","",0,11,"",2,"",""
240,2762,0,0,100,"","","",0,1,1,"",3,42,17,"[0,5,11,3,4,8,10,2]",[0],"",[242],"","","",5,11,"",2,"",""
241,2763,0,0,100,"","","",0,1,1,"",3,53,17,"[0,5,11,3,4,8]",[0],"",[243],"","","",0,13,"",2,"",""
242,2764,0,0,100,"","","",0,1,1,"",3,53,17,"[0,5,11,3,4,8,10,2,9,6]",[0],"",[244],"","","",5,13,"",2,"",""
243,2765,0,0,100,"","","",0,1,1,"",3,53,17,"[0,5,11,3,4,8]",[0],"",[245],"","","",0,13,"",2,"",""
244,2766,0,0,100,"","","",0,1,1,"",3,1,17,[],[0],"",[246],"","","",0,0,"",2,"",""
245,2767,0,0,100,"","","",0,1,1,"",3,1,17,[],[0],"",[247],"","","",0,0,"",2,"",""
246,2768,0,0,100,"","","",0,1,1,"",3,1,17,[],[0],"",[248],"","","",0,0,"",2,"",""
247,2769,0,0,100,"","","",0,1,1,"",3,1,17,[],[0],"",[249],"","","",0,0,"",2,"",""
248,2770,0,0,100,"","","",0,1,1,"",3,1,17,[],[0],"",[250],"","","",0,0,"",2,"",""
249,2771,0,0,100,"","","",0,1,1,"",3,1,17,[],[0],"",[251],"","","",0,0,"",2,"",""
250,2772,0,0,100,"","","",0,1,1,"",3,1,17,[],[0],"",[252],"","","",0,0,"",2,"",""
251,2773,0,0,100,"","","",0,1,1,"",3,1,17,[],[0],"",[253],"","","",0,0,"",2,"",""
252,2774,0,0,100,"","","",0,1,1,"",3,1,17,[],[0],"",[254],"","","",0,0,"",2,"",""
253,2775,0,0,100,"","","",0,1,1,"",3,1,17,[],[0],"",[255],"","","",0,0,"",2,"",""
254,2776,0,0,0,"","","",0,1,1,"",4,1,17,"[0,5,11,3,4,8]",[0],"",[256],"","","",0,4,"",0,"",""
255,2777,0,0,0,"","","",0,1,1,"",4,1,17,"[0,5,11,3,4,8]",[0],"",[257],"","","",0,4,"",0,"",""
256,2778,0,0,0,"","","",0,1,1,"",4,1,17,"[0,5,11,3,4,8]",[0],"",[258],"","","",0,4,"",0,"",""
257,2779,0,0,0,"","","",0,1,1,"",4,1,17,"[0,5,11,3,4,8]",[0],"",[259],"","","",0,8,"",0,"",""
258,2780,0,0,0,"","","",0,1,1,"",4,1,17,"[0,5,11,3,4,8]",[0],"",[260],"","","",0,8,"",0,"",""
259,2781,0,0,0,"","","",0,1,1,"",4,1,17,"[0,5,11,3,4,8,2,6]",[0],"",[261],"","","",5,8,"",0,"",""
260,2782,0,0,0,"","","",0,1,1,"",4,1,17,"[0,5,11,3,4,8]",[0],"",[262],"","","",0,14,"",0,"",""
261,2783,0,0,0,"","","",0,1,1,"",4,1,17,"[0,5,11,3,4,8]",[0],"",[263],"","","",0,14,"",0,"",""
262,2784,0,0,0,"","","",0,1,1,"",4,1,17,"[0,5,11,3,4,8,2,9,6]",[0],"",[264],"","","",5,14,"",0,"",""
263,2785,0,0,0,"","","",1,1,1,"",4,1,17,[6],[0],"",[265],"","","",0,1,"",0,"",""
264,2786,0,0,0,"","","",1,1,1,"",4,1,17,[6],[0],"",[266],"","","",0,1,"",0,"",""
265,2787,0,0,0,"","","",1,1,1,"",4,1,17,[6],[0],"",[267],"","","",0,1,"",0,"",""
266,2788,0,0,0,"","","",1,1,1,"",4,1,17,[6],[0],"",[268],"","","",0,2,"",0,"",""
267,2789,0,0,0,"","","",1,1,1,"",4,1,17,[6],[0],"",[269],"","","",0,2,"",0,"",""
268,2790,0,0,0,"","","",1,1,1,"",4,1,17,[6],[0],"",[270],"","","",0,2,"",0,"",""
269,2791,0,0,0,"","","",1,1,1,"",4,1,17,[6],[0],"",[271],"","","",0,3,"",0,"",""
270,2792,0,0,0,"","","",1,1,1,"",4,1,17,[6],[0],"",[272],"","","",0,3,"",0,"",""
271,2793,0,0,0,"","","",1,1,1,"",4,1,17,[6],[0],"",[273],"","","",0,3,"",0,"",""
272,2794,0,50,50,"","","",2,1,1,"",4,27,0,"[1,10]",[0],"",[274],"","","Art/Textures/Interface/2D/2DArt/UIImages/InGame/SmartHover/GemHoverImage/GemHoverImageBarrierInvocation.dds",0,8,"",2,"",""
273,2795,0,50,50,"","","",2,1,1,"",4,59,0,[10],[0],"",[275],"","","",0,14,"",2,"",""
274,2796,0,0,100,"","","",2,1,1,"",3,61,41,[],[0],"",[276],"","","",0,0,"",2,"",""
275,2797,100,0,0,"","","",2,1,1,"",1,27,38,[],[0],"",[277],"","","",0,0,"",2,"",""
276,2858,100,0,0,"","","",1,1,1,"",1,1,17,[6],[0],"",[278],"","","",0,3,"",0,"","Strength"
277,2798,0,50,50,"","","",0,1,1,"",4,27,0,[10],[0],"",[279],"","","",0,8,"",2,"",""
278,2799,0,50,50,"","","",0,1,1,"",4,11,0,[10],[0],"",[280],"","","",0,4,"",2,"",""
279,2800,0,0,100,"","","",0,1,1,"",3,23,0,[],[0],"",[281],"","","",0,0,"",2,"",""
280,2801,0,0,0,"","","",0,1,1,"",4,1,0,[],[0],"",[282],"","","",0,0,"",0,"",""
281,2802,0,0,0,"","","",0,1,1,"",4,1,31,[],[0],"",[283],"","","",0,0,"",2,"",""
282,2803,0,0,0,"","","",2,1,1,"",4,1,0,[],[0],1,[284],1,"","",0,0,"",2,"",""
283,2804,100,0,0,"","","",2,1,1,"",1,53,0,[6],[0],"",[285],"","Art/Videos/SkillTutorials/AncestralWarriorTotem.bk2","Art/Textures/Interface/2D/2DArt/UIImages/InGame/SmartHover/GemHoverImage/GemHoverImageAncestralWarriorTotem.dds",0,13,"",2,"",""
284,2805,0,0,0,"","","",2,1,1,"",4,1,31,[],[0],"",[286],"","","",0,0,"",2,"",""
285,2806,0,0,0,"","","",2,1,1,"",4,1,31,[],[0],"",[287],"","","",0,0,"",2,"",""
286,3112,50,50,0,"","","",0,1,1,"",4,1,0,[9],[0],"",[288],"","Art/Videos/SkillTutorials/ExplosiveGrenade.bk2","",3,1,"",2,"",""
287,3113,50,50,0,"","","",0,1,1,"",4,7,0,[9],[0],"",[289],"","Art/Videos/SkillTutorials/FlashGrenade.bk2","",3,3,"",2,"",""
288,3114,50,50,0,"","","",0,1,1,"",4,32,0,[9],[0],"",[291],"","Art/Videos/SkillTutorials/OilGrenade.bk2","",3,9,"",2,"",""
289,3115,50,50,0,"","","",0,1,1,"",4,15,0,[9],[0],"",[290],"","Art/Videos/SkillTutorials/GasGrenade.bk2","",3,5,"",2,"",""
290,3116,50,50,0,"","","",0,1,1,"",4,23,0,[9],[0],"",[292],"","Art/Videos/SkillTutorials/VoltaicGrenade.bk2","",3,7,"",2,"",""
291,2807,0,0,100,"","","",0,1,1,"",3,15,0,[1],[0],"",[293],"","Art/Videos/SkillTutorials/PainOffering.bk2","Art/Textures/Interface/2D/2DArt/UIImages/InGame/SmartHover/GemHoverImage/GemHoverImagePainOffering.dds",1,5,"",2,"",""
292,2809,0,50,50,"","","",0,1,1,"",4,15,0,[10],[0],"",[294],"","Art/Videos/SkillTutorials/TempestFlurry.bk2","Art/Textures/Interface/2D/2DArt/UIImages/InGame/SmartHover/GemHoverImage/GemHoverImageTempestFlurry.dds",0,5,"",2,"",""
293,2810,0,50,50,"","","",0,1,1,"",4,7,0,[10],[0],"",[295],"","Art/Videos/SkillTutorials/StaggeringPalm.bk2","Art/Textures/Interface/2D/2DArt/UIImages/InGame/SmartHover/GemHoverImage/GemHoverImageStaggeringPalm.dds",0,3,"",2,"",""
294,2811,0,50,50,"","","",0,1,1,"",4,32,0,[10],[0],"",[296],"","Art/Videos/SkillTutorials/ChargedStaff.bk2","Art/Textures/Interface/2D/2DArt/UIImages/InGame/SmartHover/GemHoverImage/GemHoverImageChargedStaff.dds",0,9,"",2,"",""
295,2812,0,50,50,"","","",0,1,1,"",4,23,0,[10],[0],"",[297],"","Art/Videos/SkillTutorials/SiphoningStrike.bk2","Art/Textures/Interface/2D/2DArt/UIImages/InGame/SmartHover/GemHoverImage/GemHoverImageSiphoningStrike.dds",1,7,"",2,"",""
296,2813,0,50,50,"","","",0,1,1,"",4,7,0,[10],[0],"",[298],"","Art/Videos/SkillTutorials/TempestBell.bk2","Art/Textures/Interface/2D/2DArt/UIImages/InGame/SmartHover/GemHoverImage/GemHoverImageTempestBell.dds",0,3,"",2,"",""
297,480,0,0,100,"","","",0,1,1,"",3,1,0,[],[0],"",[299],"","","",0,0,"",2,"",""
298,2814,0,50,50,"","","",0,1,1,"",4,1,0,[10],[0],"",[300],"","Art/Videos/SkillTutorials/FrozenLocus.bk2","Art/Textures/Interface/2D/2DArt/UIImages/InGame/SmartHover/GemHoverImage/GemHoverImageFrozenLocus.dds",3,1,"",2,"",""
299,2815,0,0,100,"","","",0,1,1,"",3,15,0,[1],[0],"",[301],"","Art/Videos/SkillTutorials/Bonestorm.bk2","Art/Textures/Interface/2D/2DArt/UIImages/InGame/SmartHover/GemHoverImage/GemHoverImageBonestorm.dds",2,5,"",2,"",""
300,2816,0,0,100,"","","",0,1,1,"",3,7,0,[1],[0],"",[302],"","Art/Videos/SkillTutorials/BoneCage.bk2","Art/Textures/Interface/2D/2DArt/UIImages/InGame/SmartHover/GemHoverImage/GemHoverImageBoneCage.dds",2,3,"",2,"",""
301,2817,0,0,100,"","","",1,1,1,"",3,20,17,[],[0],"",[303],"","","",0,0,"",0,"","Intelligence"
302,2907,0,100,0,"","","",1,1,1,"",2,1,17,[2],[0],"",[304],"","","",0,3,"",0,"","Dexterity"
303,2818,0,0,100,"","","",1,1,1,"",3,15,17,[],[0],"",[305],"","","",0,0,"",0,"","Intelligence"
304,2901,0,100,0,"","","",1,1,1,"",2,1,17,[2],[0],"",[306],"","","",0,1,"",0,"","Dexterity"
305,2910,0,100,0,"","","",1,1,1,"",2,1,17,[2],[0],"",[307],"","","",0,1,"",0,"","Dexterity"
306,2819,0,0,100,"","","",0,1,1,"",3,1,0,[1],[0],"",[308],"","Art/Videos/SkillTutorials/Unearth.bk2","Art/Textures/Interface/2D/2DArt/UIImages/InGame/SmartHover/GemHoverImage/GemHoverImageUnearth.dds",2,1,"",2,"",""
307,2820,0,100,0,"","","",0,1,1,"",2,32,0,[2],[0],"",[309],"","Art/Videos/SkillTutorials/DetonatingArrow.bk2","Art/Textures/Interface/2D/2DArt/UIImages/InGame/SmartHover/GemHoverImage/GemHoverImageDetonatingArrow.dds",0,9,"",2,"",""
308,2821,0,100,0,"","","",0,1,1,"",2,1,0,[2],[0],"",[310],"","Art/Videos/SkillTutorials/PoisonburstArrow.bk2","Art/Textures/Interface/2D/2DArt/UIImages/InGame/SmartHover/GemHoverImage/GemHoverImagePoisonburstArrow.dds",1,1,"",2,"",""
309,481,0,0,100,"","","",0,1,1,"",3,1,0,[],[0],"",[0],"","","",0,0,"",2,"",""
310,2822,0,100,0,"","","",0,1,1,"",2,15,0,[2],[0],"",[311],"","Art/Videos/SkillTutorials/ToxicGrowth.bk2","Art/Textures/Interface/2D/2DArt/UIImages/InGame/SmartHover/GemHoverImage/GemHoverImageToxicGrowth.dds",1,5,"",2,"",""
311,2823,0,100,0,"","","",0,1,1,"",2,7,0,[2],[0],"",[312],"","Art/Videos/SkillTutorials/StormcallerArrow.bk2","Art/Textures/Interface/2D/2DArt/UIImages/InGame/SmartHover/GemHoverImage/GemHoverImageStormcallerArrow.dds",3,3,"",2,"",""
312,2824,0,100,0,"","","",0,1,1,"",2,1,0,[2],[0],"",[314],"","Art/Videos/SkillTutorials/LightningRod.bk2","Art/Textures/Interface/2D/2DArt/UIImages/InGame/SmartHover/GemHoverImage/GemHoverImageLightningRod.dds",4,1,"",2,"",""
313,2825,0,100,0,"","","",0,1,1,"",2,7,0,[2],[0],"",[315],"","Art/Videos/SkillTutorials/Snipe.bk2","Art/Textures/Interface/2D/2DArt/UIImages/InGame/SmartHover/GemHoverImage/GemHoverImageSnipe.dds",0,3,"",2,"",""
314,2826,0,100,0,"","","",0,1,1,"",2,23,0,[2],[0],"",[316],"","Art/Videos/SkillTutorials/GasArrow.bk2","Art/Textures/Interface/2D/2DArt/UIImages/InGame/SmartHover/GemHoverImage/GemHoverImageGasArrow.dds",0,7,"",2,"",""
315,2827,0,0,100,"","","",0,1,1,"",3,15,0,[7],[0],"",[317],"","Art/Videos/SkillTutorials/SolarOrb.bk2","Art/Textures/Interface/2D/2DArt/UIImages/InGame/SmartHover/GemHoverImage/GemHoverImageSolarOrb.dds",0,5,"",2,"",""
316,2828,0,0,100,"","","",0,1,1,"",3,32,0,[7],[0],"",[318],"","Art/Videos/SkillTutorials/Fireball.bk2","Art/Textures/Interface/2D/2DArt/UIImages/InGame/SmartHover/GemHoverImage/GemHoverImageFireball.dds",0,9,"",2,"",""
317,2829,0,100,0,"","","",0,1,1,"",2,15,0,[2],[0],"",[319],"","Art/Videos/SkillTutorials/ElectrocutingArrow.bk2","Art/Textures/Interface/2D/2DArt/UIImages/InGame/SmartHover/GemHoverImage/GemHoverImageElectrocutingArrow.dds",4,5,"",2,"",""
318,2830,0,0,100,"","","",0,1,1,"",3,15,0,[7],[0],"",[320],"","Art/Videos/SkillTutorials/ColdSnap.bk2","Art/Textures/Interface/2D/2DArt/UIImages/InGame/SmartHover/GemHoverImage/GemHoverImageColdSnap.dds",1,5,"",2,"",""
319,2831,100,0,0,"","","",0,1,1,"",1,15,0,[6],[0],"",[321],"","Art/Videos/SkillTutorials/PerfectStrike.bk2","Art/Textures/Interface/2D/2DArt/UIImages/InGame/SmartHover/GemHoverImage/GemHoverImagePerfectStrike.dds",0,5,"",2,"",""
320,2832,0,0,0,"","","",0,1,1,"",4,1,31,[],[0],"",[322],"","","",0,0,"",0,1,""
321,2833,100,0,0,"","","",0,1,1,"",1,15,0,[6],[0],"",[323],"","Art/Videos/SkillTutorials/ResonatingShield.bk2","Art/Textures/Interface/2D/2DArt/UIImages/InGame/SmartHover/GemHoverImage/GemHoverImageResonatingShield.dds",2,5,"",2,"",""
322,2834,0,0,100,"","","",0,1,1,"",3,11,0,[7],[0],"",[324],"","","Art/Textures/Interface/2D/2DArt/UIImages/InGame/SmartHover/GemHoverImage/GemHoverImageEnergyRemnants.dds",2,4,"",2,"",""
323,2835,100,0,0,"","","",0,1,1,"",1,11,0,[6],[0],"",[325],"","","Art/Textures/Interface/2D/2DArt/UIImages/InGame/SmartHover/GemHoverImage/GemHoverImageMagmaBarrier.dds",0,4,"",2,"",""
324,2836,0,0,100,"","","",0,1,1,"",3,1,0,[],[0],"",[326],"","","",0,0,"",2,"",""
325,2837,0,100,0,"","","",0,1,1,"",2,7,0,[2],[0],"",[327],"","Art/Videos/SkillTutorials/VineArrow.bk2","Art/Textures/Interface/2D/2DArt/UIImages/InGame/SmartHover/GemHoverImage/GemHoverImageVineArrow.dds",1,3,"",2,"",""
326,2838,0,100,0,"","","",0,1,1,"",2,1,17,[],[0],"",[328],"","","",0,0,"",0,"",""
327,2908,0,100,0,"","","",1,1,1,"",2,1,17,[2],[0],"",[329],"","","",0,1,"",0,"","Dexterity"
328,2839,0,0,100,"","","",0,1,1,"",3,1,0,[],[0],"",[330],"","","",0,0,"",2,"",""
329,2953,0,0,100,"","","",1,1,1,"",3,1,17,[7],[0],"",[331],"","","",0,1,"",0,"","Intelligence"
330,2959,0,0,100,"","","",1,1,1,"",3,1,17,[7],[0],"",[332],"","","",0,3,"",0,"","Intelligence"
331,2960,0,0,100,"","","",1,1,1,"",3,1,17,[7],[0],"",[333],"","","",0,3,"",0,"","Intelligence"
332,2898,0,100,0,"","","",1,1,1,"",2,1,17,[2],[0],"",[334],"","","",0,1,"",0,"","Dexterity"
333,2897,0,100,0,"","","",1,1,1,"",2,1,17,[2],[0],"",[335],"","","",0,2,"",0,"","Dexterity"
334,3000,0,0,100,"","","",0,1,1,"",3,11,0,[7],[0],"",[336],"","","",0,4,"",2,"",""
335,2941,0,0,100,"","","",1,1,1,"",3,1,17,[7],[0],"",[337],"","","",0,1,"",0,"","Intelligence"
336,2891,0,100,0,"","","",1,1,1,"",2,1,17,[2],[0],"",[338],"","","",0,1,"",0,"","Dexterity"
