"rownum","Id","ARMFiles","Script","[rid]","Stats","StatsValues","Description","Name","Type","WorldArea","Icon","i32","MinLevel","rid","bool","ExtraStats","ExtraStatsValues","ReminderText","TextAudio","rid","bool"
82,"Legion2","[""Metadata/Terrain/Leagues/Lake/Rooms/encounter_league_legion.arm""]","",[],"[13745,13746,13521]","[5,40,100]","Contains an additional Legion Encounter\r\nLegion Encounter has 100% increased Duration\r\nLegion Encounter contain 5 additional Sergeants\r\nLegion Sergeants have 40% additional chance to have Rewards","Reflection of Stasis",3,"","Art/2DArt/UIImages/InGame/Lake/LakeTileIconLegion",2,68,22,"",[15909],[15],"(Difficulty scales quantity of Splinters found from Legion Encounters)",13784,13785,1
83,"Legion3","[""Metadata/Terrain/Leagues/Lake/Rooms/encounter_league_legion.arm""]","",[],"[10293,10292,13521]","[1,1,100]","Contains an additional Legion Encounter\r\nLegion Encounter has 100% increased Duration\r\nEach Legion is accompanied by a General\r\nEach Legion contains a War Hoard","Reflection of the Monolith",3,"","Art/2DArt/UIImages/InGame/Lake/LakeTileIconLegion",3,68,22,"",[15909],[15],"(Difficulty scales quantity of Splinters found from Legion Encounters)",13784,13785,1
84,"Scourge1","[""Metadata/Terrain/Leagues/Lake/Rooms/encounter_league_scourge.arm""]","",[],"[2340,16516,16515]","[1,40,200]","Slaying Enemies close together will attract monsters from Beyond this realm","Reflection of Scourge",3,1799,"Art/2DArt/UIImages/InGame/Lake/LakeTileIconScourge",1,68,23,"",[16820],[40],"(Difficulty scales quantity of Tainted Currency dropped by Beyond Demons)",13800,13799,1
85,"Scourge2","[""Metadata/Terrain/Leagues/Lake/Rooms/encounter_league_scourge.arm""]","",[],"[2340,16516,16515]","[1,85,200]","Slaying Enemies close together will attract monsters from Beyond this realm\r\nSlaying Enemies always spawns a Beyond Portal","Reflection of Demonfire",3,1799,"Art/2DArt/UIImages/InGame/Lake/LakeTileIconScourge",2,68,23,"",[16820],[40],"(Difficulty scales quantity of Tainted Currency dropped by Beyond Demons)",13800,13799,1
86,"Scourge3","[""Metadata/Terrain/Leagues/Lake/Rooms/encounter_league_scourge.arm""]","",[],"[2340,16516,16820,16515]","[1,85,100,200]","Slaying Enemies close together will attract monsters from Beyond this realm\r\nSlaying Enemies always spawns a Beyond Portal\r\n100% increased Quantity of Tainted Currency dropped by Beyond Demons","Reflection of the Nightmare",3,1799,"Art/2DArt/UIImages/InGame/Lake/LakeTileIconScourge",3,68,23,"",[16820],[40],"(Difficulty scales quantity of Tainted Currency dropped by Beyond Demons)",13800,13799,1
87,"Torment1","[""Metadata/Terrain/Leagues/Lake/Rooms/encounter_league_torment.arm""]","",[],[],[],"Contains Tormented Spirits\r\nAll monster packs are Rare","Reflection of Torment",3,"","Art/2DArt/UIImages/InGame/Lake/LakeTileIconTormentedSpirits",1,14,24,"",[13528],[100],"(Difficulty scales quantity of Items dropped by Possessed or Touched Monsters)",13801,13802,1
88,"Torment2","[""Metadata/Terrain/Leagues/Lake/Rooms/encounter_league_torment.arm""]","",[],"[13527,13526]","[100,5]","All monster packs are Rare\r\nRare Monsters are Possessed and their Minions are Touched","Reflection of Possession",3,"","Art/2DArt/UIImages/InGame/Lake/LakeTileIconTormentedSpirits",2,46,24,"",[13528],[100],"(Difficulty scales quantity of Items dropped by Possessed or Touched Monsters)",13801,13802,1
89,"Torment3","[""Metadata/Terrain/Leagues/Lake/Rooms/encounter_league_torment.arm""]","",[],[],[],"Contains less common Tormented Spirits\r\nAll monster packs are Rare","Reflection of Guilt",3,"","Art/2DArt/UIImages/InGame/Lake/LakeTileIconTormentedSpirits",3,68,24,"",[13528],[100],"(Difficulty scales quantity of Items dropped by Possessed or Touched Monsters)",13801,13802,1
90,"Delve1","[""Metadata/Terrain/Leagues/Lake/Rooms/encounter_league_delve.arm""]","",[],[],[],"Contains veins of Voltaxic Sulphite","Reflection of Delve",3,1805,"Art/2DArt/UIImages/InGame/Lake/LakeTileIconDelve",1,40,25,"",[13306],[10],"(Difficulty scales quantity of Sulphite mined)",13804,13803,1
91,"Delve2","[""Metadata/Terrain/Leagues/Lake/Rooms/encounter_league_delve.arm""]","",[],[],[],"Contains veins of Voltaxic Sulphite\r\nContains a Sulphite-hoarding Monster","Reflection of Sulphite",3,1806,"Art/2DArt/UIImages/InGame/Lake/LakeTileIconDelve",2,68,25,"",[13306],[10],"(Difficulty scales quantity of Sulphite mined)",13804,13803,1
92,"Delve3","[""Metadata/Terrain/Leagues/Lake/Rooms/encounter_league_delve.arm""]","",[],[13738],[100],"Contains veins of Voltaxic Sulphite\r\nVoltaxic Sulphite Veins give the same amount of Azurite","Reflection of Azurite",3,1807,"Art/2DArt/UIImages/InGame/Lake/LakeTileIconDelve",3,68,25,"",[13306],[10],"(Difficulty scales quantity of Sulphite mined)",13804,13803,1
93,"Untainted1","[""Metadata/Terrain/Leagues/Lake/Rooms/encounter_untainted.arm""]","",[],"[2399,1362]","[1,1000]","Contains wild Animals\r\nMonsters drop no items\r\n1000% increased Experience gain","Reflection of Paradise",3,1804,"Art/2DArt/UIImages/InGame/Lake/LakeTileIconUntaintedParadise",1,68,26,"",[5815],[100],"(Difficulty scales Experience granted by Monsters)",13808,13807,1
94,"Fishing1","[""Metadata/Terrain/Leagues/Lake/Rooms/encounter_fishing.arm""]","",[],[],[],"Contains Mirrored Fish\r\nMirrored Fish can only be caught using Mirrored Fishing Rods","Reflection of Angling",3,"","Art/2DArt/UIImages/InGame/Lake/LakeTileIconFishing",1,80,26,"",[],[],"",13810,13809,""
