"rownum","Id","bool","IsLocal","IsWeaponLocal","Semantics","bool","string","bool","bool","i32","i32","i32","i32","bool","i32","[string]","rid","bool","bool","bool","[rid]"
5078,"map_strongboxes_are_corrupted",1,"","",4,"","","","",-16843010,-16843010,-16843010,-16843010,"",-765578141,[],"","","","",[]
5079,"map_players_cannot_take_reflected_damage",1,"","",4,"","","","",-16843010,-16843010,-16843010,-16843010,"",1462522618,[],"","","","",[]
5080,"map_player_flask_recovery_is_instant",1,"","",4,"","","","",-16843010,-16843010,-16843010,-16843010,"",-689752574,[],"","","","",[]
5081,"map_contains_x_additional_packs_with_mirrored_rare_monsters",1,"","",3,"","","","",-16843010,-16843010,-16843010,-16843010,"",-1450944529,[],"","","",1,[]
5082,"map_contains_x_additional_healing_packs",1,"","",3,"","","","",-16843010,-16843010,-16843010,-16843010,"",-1823838886,[],"","","",1,[]
5083,"map_contains_x_additional_normal_packs",1,"","",3,"","","","",-16843010,-16843010,-16843010,-16843010,"",996040523,[],"","","",1,[]
5084,"map_contains_x_additional_magic_packs",1,"","",3,"","","","",-16843010,-16843010,-16843010,-16843010,"",-461855140,[],"","","",1,[]
5085,"map_contains_x_additional_rare_packs",1,"","",3,"","","","",-16843010,-16843010,-16843010,-16843010,"",-1924128220,[],"","","",1,[]
5086,"map_contains_x_additional_packs_that_convert_on_death",1,"","",3,"","","","",-16843010,-16843010,-16843010,-16843010,"",687057521,[],"","","",1,[]
5087,"map_contains_x_additional_packs_on_their_own_team",1,"","",3,"","","","",-16843010,-16843010,-16843010,-16843010,"",2115590485,[],"","","",1,[]
5088,"map_on_complete_drop_x_additional_maps",1,"","",3,"","","","",-16843010,-16843010,-16843010,-16843010,"",-749824653,[],"","","",1,[]
5089,"monster_converts_on_death",1,"","",4,"","","","",-16843010,-16843010,-16843010,-16843010,"",-28472191,[],"","","","",[]
5090,"flask_recovery_is_instant",1,"","",4,"","","","",-16843010,-16843010,-16843010,-16843010,"",791049092,[],"","","","",[]
5091,"map_fishy_effect_1",1,"","",1,"","","","",-16843010,-16843010,-16843010,-16843010,"",2019018024,[],"","","",1,[]
5092,"map_fishy_effect_2",1,"","",4,"","","","",-16843010,-16843010,-16843010,-16843010,"",-1372167057,[],"","","","",[]
5093,"map_fishy_effect_3",1,"","",3,"","","","",-16843010,-16843010,-16843010,-16843010,"",-1665668440,[],"","","",1,[]
5094,"map_magic_pack_size_+%",1,"","",1,"","","","",-16843010,-16843010,-16843010,-16843010,"",1844556902,[],"","","",1,[]
5095,"map_rogue_exiles_damage_+%",1,"","",1,"","","","",-16843010,-16843010,-16843010,-16843010,"",1430958981,[],"","","",1,[]
5096,"map_rogue_exiles_maximum_life_+%",1,"","",1,"","","","",-16843010,-16843010,-16843010,-16843010,"",-1877120336,[],"","","",1,[]
5097,"map_rogue_exiles_drop_x_additional_jewels",1,"","",3,"","","","",-16843010,-16843010,-16843010,-16843010,"",9885804,[],"","","",1,[]
5098,"monster_drop_additional_jewels",1,"","",3,"","","","",-16843010,-16843010,-16843010,-16843010,"",1709414540,[],"","","",1,[]
5099,"map_strongbox_monsters_item_quantity_+%",1,"","",1,"","","","",-16843010,-16843010,-16843010,-16843010,"",-1335610895,[],"","","",1,[]
5100,"map_strongbox_monsters_actor_scale_+%",1,"","",1,"","","","",-16843010,-16843010,-16843010,-16843010,"",-1744899400,[],"","","",1,[]
5101,"map_strongbox_monsters_attack_speed_+%",1,"","",1,"","","","",-16843010,-16843010,-16843010,-16843010,"",960428688,[],"","","",1,[]
5102,"map_strongbox_monsters_movement_velocity_+%",1,"","",1,"","","","",-16843010,-16843010,-16843010,-16843010,"",-157951211,[],"","","",1,[]
5103,"strongbox_monsters_item_quantity_+%",1,"","",1,"","","","",-16843010,-16843010,-16843010,-16843010,"",-1828583905,[],"","","",1,[]
5104,"strongbox_monsters_actor_scale_+%",1,"","",1,"","","","",-16843010,-16843010,-16843010,-16843010,"",798769419,[],"","","",1,[]
5105,"strongbox_monsters_attack_speed_+%",1,"","",1,"","","","",-16843010,-16843010,-16843010,-16843010,"",-513207840,[],"","","",1,[]
5106,"strongbox_monsters_movement_velocity_+%",1,"","",1,"","","","",-16843010,-16843010,-16843010,-16843010,"",272826569,[],"","","",1,[]
5107,"damage_+%_per_poison_stack",1,"","",1,"","","","",-16843010,-16843010,-16843010,-16843010,"",-719705739,[],"","","",1,[]
5108,"movement_velocity_+%_per_poison_stack",1,"","",1,"","","","",-16843010,-16843010,-16843010,-16843010,"",-230985868,[],"","","",1,[]
5109,"map_damage_+%_per_poison_stack",1,"","",1,"","","","",-16843010,-16843010,-16843010,-16843010,"",1238405694,[],"","","",1,[]
5110,"map_movement_velocity_+%_per_poison_stack",1,"","",1,"","","","",-16843010,-16843010,-16843010,-16843010,"",-997661414,[],"","","",1,[]
5111,"map_contains_x_additional_poison_packs",1,"","",3,"","","","",-16843010,-16843010,-16843010,-16843010,"",1405171776,[],"","","",1,[]
5112,"inspiring_cry_enemy_count_override",1,"","",3,"","","","",-16843010,-16843010,-16843010,-16843010,"",-426658745,[],"","","",1,[]
5113,"map_area_contains_x_additional_clusters_of_explosive_barrels",1,"","",3,"","","","",-16843010,-16843010,-16843010,-16843010,"",1315258785,[],"","","",1,[]
5114,"map_bonus_barrel_%",1,"","",1,"","","","",-16843010,-16843010,-16843010,-16843010,"",169938033,[],"","","",1,[]
5115,"empowering_cry_physical_damage_added_as_fire_damage_%",1,"","",1,"","","","",-16843010,-16843010,-16843010,-16843010,"",1404179007,[],"","","",1,[]
5116,"map_boss_accompanied_by_bodyguards",1,"","",4,"","","","",-16843010,-16843010,-16843010,-16843010,"",-2028251975,[],"","","","",[]
5117,"blade_vortex_hit_rate_+%_per_blade",1,"","",1,"","",1,"",-16843010,-16843010,-16843010,-16843010,1,-1408023078,[],"","","",1,[]
5118,"blade_vortex_damage_+%_per_blade_final",1,"","",1,"","","","",-16843010,-16843010,-16843010,-16843010,1,-1837181947,[],"","","",1,[]
5119,"golem_maximum_life_+%",1,"","",1,"","","","",-16843010,-16843010,-16843010,-16843010,"",1188633769,[],12,"","",1,[]
5120,"golem_life_regeneration_per_minute_%",1,"","",1,"","","","",-16843010,-16843010,-16843010,-16843010,"",-1034116042,[],"","","",1,[]
5121,"have_summoned_a_golem_in_past_8_seconds",1,"","",1,"","","","",-16843010,-16843010,-16843010,-16843010,"",1186168124,[],"","","",1,[]
5122,"damage_+%_if_golem_summoned_in_past_8_seconds",1,"","",1,"","","","",-16843010,-16843010,-16843010,-16843010,"",2018116162,[],"","","",1,[]
5123,"golem_damage_+%_if_summoned_in_past_8_seconds",1,"","",1,"","","","",-16843010,-16843010,-16843010,-16843010,"",1954131980,[],"","","",1,[]
5124,"golem_skill_cooldown_recovery_+%",1,"","",1,"","","","",-16843010,-16843010,-16843010,-16843010,"",-1298133551,"[""summon_chaos_elemental"",""summon_ice_elemental"",""summon_fire_elemental"",""summon_rock_golem"",""summon_lightning_golem"",""summon_bone_golem""]","","","",1,[]
5125,"golem_cooldown_recovery_+%",1,"","",1,"","","","",-16843010,-16843010,-16843010,-16843010,"",-1605747820,[],"","","",1,[]
5126,"golem_buff_effect_+%",1,"","",1,"","","","",-16843010,-16843010,-16843010,-16843010,1,2002502597,[],12,"","",1,[]
5127,"golem_attack_and_cast_speed_+%",1,"","",1,"","","","",-16843010,-16843010,-16843010,-16843010,"",1462657821,[],12,"","",1,[]
5128,"golem_physical_damage_reduction_rating",1,"","",3,"","","","",-16843010,-16843010,-16843010,-16843010,"",375601601,[],"","","",1,[]
5129,"primordial_jewel_count","","","",3,"","","","",-16843010,-16843010,-16843010,-16843010,"",-1798184109,[],"","","",1,[]
5130,"number_of_golems_allowed_with_3_primordial_jewels",1,"","",3,"","","","",-16843010,-16843010,-16843010,-16843010,"",585206336,[],"","","",1,[]
5131,"map_monster_curse_effect_on_self_+%",1,"","",1,"","","","",-16843010,-16843010,-16843010,-16843010,"",1210656841,[],"","","",1,[]
5132,"map_player_curse_effect_on_self_+%",1,"","",1,"","","","",-16843010,-16843010,-16843010,-16843010,"",1968071897,[],"","","",1,[]
5133,"thrown_shield_num_additional_projectiles",1,"","",3,"","",1,"",-16843010,-16843010,-16843010,-16843010,1,-888709706,[],"","","",1,[]
5134,"buff_damage_while_stationery_+%",1,"","",1,"","","","",-16843010,-16843010,-16843010,-16843010,"",-463448675,[],"","","",1,[]
5135,"buff_damage_taken_while_stationery_+%",1,"","",1,"","","","",-16843010,-16843010,-16843010,-16843010,"",-1818901101,[],"","","",1,[]
5136,"map_display_strongbox_monsters_are_enraged",1,"","",4,"","","","",-16843010,-16843010,-16843010,-16843010,"",881395610,[],"","","","",[]
5137,"celestial_footprints_from_item",1,"","",4,"","",1,"",-16843010,-16843010,-16843010,-16843010,1,65431114,[],"","","","",[]
5138,"deal_1000_chaos_damage_per_second_for_10_seconds_on_hit",1,"","",4,"","","","",-16843010,-16843010,-16843010,-16843010,"",-1398382110,[],"","","","",[]
5139,"map_strongboxes_minimum_rarity",1,"","",3,"","","","",-16843010,-16843010,-16843010,-16843010,"",-51612265,[],"","","","",[]
5140,"map_area_contains_x_additional_clusters_of_wealthy_barrels",1,"","",3,"","","","",-16843010,-16843010,-16843010,-16843010,"",-1421360175,[],"","","",1,[]
5141,"map_area_contains_x_additional_clusters_of_volatile_barrels",1,"","",3,"","","","",-16843010,-16843010,-16843010,-16843010,"",-1363474383,[],"","","",1,[]
5142,"map_area_contains_x_additional_clusters_of_bloodworm_barrels",1,"","",3,"","","","",-16843010,-16843010,-16843010,-16843010,"",-320080428,[],"","","",1,[]
5143,"map_area_contains_x_additional_clusters_of_parasite_barrels",1,"","",3,"","","","",-16843010,-16843010,-16843010,-16843010,"",-1408713043,[],"","","",1,[]
5144,"map_area_contains_x_additional_clusters_of_beacon_barrels",1,"","",3,"","","","",-16843010,-16843010,-16843010,-16843010,"",997198333,[],"","","",1,[]
5145,"map_contains_x_additional_rare_packs_if_rare",1,"","",3,"","","","",-16843010,-16843010,-16843010,-16843010,"",-1956171635,[],"","","",1,[]
5146,"map_contains_x_additional_magic_packs_if_magic",1,"","",3,"","","","",-16843010,-16843010,-16843010,-16843010,"",446333341,[],"","","",1,[]
5147,"map_contains_x_additional_normal_packs_if_normal",1,"","",3,"","","","",-16843010,-16843010,-16843010,-16843010,"",1761557097,[],"","","",1,[]
5148,"map_boss_drops_x_additional_vaal_items","","","",3,"","","","",-16843010,-16843010,-16843010,-16843010,"",-460169439,[],"","","",1,[]
5149,"fire_beam_length_+%",1,"","",1,"","",1,"",-16843010,-16843010,-16843010,-16843010,1,1817831577,[],"","","",1,[]
5150,"is_breach_monster",1,"","",4,"","","","",-16843010,-16843010,-16843010,-16843010,"",-1151072803,[],"","","","",[]
5151,"cast_linked_spells_on_shocked_enemy_kill_%",1,"","",1,"","","","",-16843010,-16843010,-16843010,-16843010,1,-618027031,[],"","","",1,[]
5152,"map_equipment_drops_identified_in_identified_areas",1,"","",4,"","","","",-16843010,-16843010,-16843010,-16843010,"",-1247789838,[],"","","","",[]
5153,"map_items_drop_corrupted_%",1,"","",1,"","","","",-16843010,-16843010,-16843010,-16843010,"",-546147773,[],"","","",1,[]
5154,"doom_arrow_area_of_effect_+%_final_per_frenzy_charge",1,"","",1,"","",1,"",-16843010,-16843010,-16843010,-16843010,1,-336872455,[],"","","",1,[]
5155,"bonespire_number_of_bone_piles_to_spawn",1,"","",3,"","","","",-16843010,-16843010,-16843010,-16843010,"",1123187151,[],"","","",1,[]
5156,"mortar_cone_angle",1,"","",3,"","",1,"",-16843010,-16843010,-16843010,-16843010,1,718752720,[],"","","",1,[]
5157,"current_consume_charges",1,"","",3,"","","","",-16843010,-16843010,-16843010,-16843010,"",-690158178,[],"","","",1,[]
5158,"maximum_consume_charges",1,"","",3,"","","","",-16843010,-16843010,-16843010,-16843010,"",149455602,[],"","","",1,[]
5159,"expend_consume_charges_on_skill_use",1,"","",3,"","","","",-16843010,-16843010,-16843010,-16843010,"",-717220408,[],"","","",1,[]
5160,"gain_consume_charges_on_skill_use",1,"","",3,"","","","",-16843010,-16843010,-16843010,-16843010,"",79313848,[],"","","",1,[]
5161,"secondary_skill_effect_duration_+%",1,"","",1,"","","","",-16843010,-16843010,-16843010,-16843010,"",-1053800258,[],"","","",1,[]
5162,"X_armour_per_active_totem",1,"","",3,"","","","",-16843010,-16843010,-16843010,-16843010,"",-37876079,[],13,"","",1,[]
5163,"map_pack_size_+%_in_unidentified_areas",1,"","",1,"","","","",-16843010,-16843010,-16843010,-16843010,"",844987009,[],"","","",1,[]
5164,"+1_max_charged_attack_stages","","","",1,"","","","",-16843010,-16843010,-16843010,-16843010,"",-596946810,[],"","","",1,[]
5165,"critical_strikes_deal_no_damage",1,"","",4,"","","","",-16843010,-16843010,-16843010,-16843010,"",-1458576015,[],"","","","",[]
5166,"spell_damage_+%_if_have_crit_recently","","","",1,"","","","",-16843010,-16843010,-16843010,-16843010,"",585132223,[],"","","",1,[]
5167,"critical_strike_multiplier_+_if_have_dealt_non_crit_recently","","","",3,"","","","",-16843010,-16843010,-16843010,-16843010,"",-1558775966,[],"","","",1,[]
5168,"track_have_dealt_non_crit_recently",1,"","",4,"","","",1,-16843010,-16843010,-16843010,-16843010,"",-783940937,[],"","","","",[36]
5169,"have_dealt_non_crit_recently","","","",4,"","","","",-16843010,-16843010,-16843010,-16843010,"",-1249905930,[],"","","","",[]
5170,"total_base_armour_rating","","","",3,"","","",1,-16843010,-16843010,-16843010,-16843010,"",165097315,[],"","","",1,[0]
5171,"combined_only_armour_+%","","","",1,"","","",1,-16843010,-16843010,-16843010,-16843010,"",1857182705,[],"","","",1,[0]
5172,"combined_armour_+%","","","",1,"","","",1,-16843010,-16843010,-16843010,-16843010,"",-949341141,[],"","","",1,[0]
5173,"combined_only_armour_+%_final","","","",1,"","","",1,-16843010,-16843010,-16843010,-16843010,"",-1881463001,[],"","","",1,[0]
5174,"combined_evasion_rating_+%_final","","","",1,"","","",1,-16843010,-16843010,-16843010,-16843010,"",1044373922,[],"","","",1,[0]
5175,"combined_only_armour_from_shield_+%","","","",1,"","","",1,-16843010,-16843010,-16843010,-16843010,"",2074447721,[],"","","",1,[0]
5176,"combined_armour_from_shield_+%","","","",1,"","","",1,-16843010,-16843010,-16843010,-16843010,"",45844152,[],"","","",1,[0]
5177,"armour_differs_against_projectiles","","","",4,"","","",1,-16843010,-16843010,-16843010,-16843010,1,-247060954,[],"","","","",[0]
5178,"armour_while_stationary","","","",3,"","","","",-16843010,-16843010,-16843010,-16843010,"",1256540596,[],"","","",1,[]
5179,"mana_regeneration_rate_+%_while_stationary","","","",1,"","","","",-16843010,-16843010,-16843010,-16843010,"",1288095962,[],8,"","",1,[]
5180,"non_critical_strikes_deal_no_damage","","","",4,"","","","",-16843010,-16843010,-16843010,-16843010,"",614993202,[],"","","","",[]
5181,"chilled_ground_when_hit_with_attack_%","","","",1,"","","","",-16843010,-16843010,-16843010,-16843010,"",-2135176075,[],"","","",1,[]
5182,"critical_strike_multiplier_+_per_1%_block_chance","","","",3,"","","","",-16843010,-16843010,-16843010,-16843010,"",1538801705,[],"","","",1,[]
5183,"local_flask_unholy_might_during_flask_effect","",1,"",4,"","","","",-16843010,-16843010,-16843010,-16843010,"",-186465955,[],"","","","",[]
5184,"spell_minimum_added_cold_damage_per_power_charge","","","",3,"","","","",-16843010,-16843010,-16843010,-16843010,"",-1823151654,[],"","","",1,[]
5185,"spell_maximum_added_cold_damage_per_power_charge","","","",3,"","","","",-16843010,-16843010,-16843010,-16843010,"",1749632132,[],"","","",1,[]
5186,"recover_X_mana_on_killing_frozen_enemy","","","",3,"","","","",-16843010,-16843010,-16843010,-16843010,"",-1158743253,[],"","","",1,[]
5187,"chance_to_gain_power_charge_on_killing_frozen_enemy_%","","","",1,"","","","",-16843010,-16843010,-16843010,-16843010,"",1602555006,[],"","","",1,[]
5188,"damage_+%_if_you_have_frozen_enemy_recently","","","",1,"","","","",-16843010,-16843010,-16843010,-16843010,"",1364208626,[],"","","",1,[]
5189,"track_have_frozen_enemy_recently","","","",4,"","","",1,-16843010,-16843010,-16843010,-16843010,"",1134258168,[],"","","","",[36]
5190,"have_frozen_enemy_recently","","","",4,"","","","",-16843010,-16843010,-16843010,-16843010,"",1694503137,[],"","","","",[]
5191,"maximum_added_lightning_damage_per_10_int","","","",3,"","","","",-16843010,-16843010,-16843010,-16843010,"",1431341934,[],"","","",1,[]
5192,"attack_speed_+%_per_25_dex","","","",1,"","","","",-16843010,-16843010,-16843010,-16843010,"",-1640678784,[],"","","",1,[]
5193,"number_of_shocked_enemies_killed_recently","","","",3,"","","","",-16843010,-16843010,-16843010,-16843010,"",-742292261,[],"","","",1,[]
5194,"minimum_added_lightning_damage_per_shocked_enemy_killed_recently","","","",3,"","","","",-16843010,-16843010,-16843010,-16843010,"",1319600101,[],"","","",1,[]
5195,"maximum_added_lightning_damage_per_shocked_enemy_killed_recently","","","",3,"","","","",-16843010,-16843010,-16843010,-16843010,"",-803471781,[],"","","",1,[]
5196,"reflect_shocks","","","",4,"","","","",-16843010,-16843010,-16843010,-16843010,"",2050580990,[],"","","","",[]
5197,"movement_speed_+%_while_bleeding","","","",1,"","","","",-16843010,-16843010,-16843010,-16843010,"",119558520,[],"","","",1,[]
5198,"physical_damage_taken_+%_while_moving","","","",1,"","","","",-16843010,-16843010,-16843010,-16843010,"",-41087793,[],"","","",1,[]
5199,"physical_damage_reduction_rating_%_while_not_moving","","","",1,"","","","",-16843010,-16843010,-16843010,-16843010,"",1298613933,[],11,"","",1,[]
5200,"display_max_fire_beam_stacks","","","",3,"","","","",-16843010,-16843010,-16843010,-16843010,1,1770476620,[],"","","",1,[]
5201,"display_max_blight_stacks","","","",3,"","","","",-16843010,-16843010,-16843010,-16843010,1,-1722019246,[],"","","",1,[]
5202,"virtual_track_movement",1,"","",4,"","","",1,-16843010,-16843010,-16843010,-16843010,"",-77842797,[],"","","","",[36]
5203,"is_moving",1,"","",4,"","","","",-16843010,-16843010,-16843010,-16843010,"",1117393630,[],"","","","",[]
5204,"mass_flicker_strike_number_of_teleports",1,"","",3,"","",1,"",-16843010,-16843010,-16843010,-16843010,1,666163605,[],"","","",1,[]
5205,"blind_chilled_enemies_on_hit_%","","","",1,"","","","",-16843010,-16843010,-16843010,-16843010,"",-662070887,[],"","","",1,[]
5206,"cold_damage_+%_per_frenzy_charge","","","",1,"","","","",-16843010,-16843010,-16843010,-16843010,"",85043687,[],"","","",1,[]
5207,"gain_frenzy_charge_on_reaching_maximum_power_charges","","","",4,"","","","",-16843010,-16843010,-16843010,-16843010,"",287518646,[],"","","","",[]
5208,"gain_frenzy_charge_on_hit_while_bleeding","","","",4,"","","","",-16843010,-16843010,-16843010,-16843010,"",694274374,[],"","","","",[]
5209,"virtual_chaos_damage_does_not_bypass_energy_shield","","","",4,"","","",1,-16843010,-16843010,-16843010,-16843010,"",-1666691442,[],"","","","",[0]
5210,"chaos_damage_does_not_bypass_energy_shield_while_not_low_life","","","",4,"","","","",-16843010,-16843010,-16843010,-16843010,"",-1069560447,[],"","","","",[]
5211,"local_display_grants_level_X_reckoning","",1,"",3,"","","","",-16843010,-16843010,-16843010,-16843010,"",867824153,[],"","","","",[]
5212,"reflect_shocks_to_enemies_in_radius","","","",3,"","","","",-16843010,-16843010,-16843010,-16843010,"",547627159,[],"","","",1,[]
5213,"recover_%_maximum_life_on_killing_poisoned_enemy","","","",1,"","","","",-16843010,-16843010,-16843010,-16843010,"",-1870324683,[],"","","",1,[]
5214,"minions_recover_%_maximum_life_on_killing_poisoned_enemy",1,"","",1,"","","","",-16843010,-16843010,-16843010,-16843010,"",-2043232784,[],"","","",1,[]
5215,"recover_X_life_on_enemy_ignited","","","",3,"","","","",-16843010,-16843010,-16843010,-16843010,"",990094350,[],"","","",1,[]
5216,"cold_penetration_%_vs_chilled_enemies","","","",1,"","","","",-16843010,-16843010,-16843010,-16843010,"",-1049955085,[],18,"","",1,[]
5217,"local_display_grants_level_X_envy","",1,"",3,"","","","",-16843010,-16843010,-16843010,-16843010,"",695065222,[],"","","","",[]
5218,"cast_on_cyclone_contact_%",1,"","",1,"","","","",-16843010,-16843010,-16843010,-16843010,"",1831852821,[],"",1,"",1,[]
5219,"cyclone_has_triggered_skill",1,"","",4,"","","","",-16843010,-16843010,-16843010,-16843010,"",-632121382,[],"",1,"","",[]
5220,"minions_chance_to_poison_on_hit_%",1,"","",1,"","","","",-16843010,-16843010,-16843010,-16843010,"",-1817536801,[],"","","",1,[]
5221,"X_armour_if_you_have_blocked_recently","","","",3,"","","","",-16843010,-16843010,-16843010,-16843010,"",-1661074184,[],9,"","",1,[]
5222,"enemies_explode_on_kill","","","",4,"","","","",-16843010,-16843010,-16843010,-16843010,"",-1097689411,[],"","","","",[]
5223,"local_display_attack_with_level_X_bone_nova_on_bleeding_enemy_kill","","","",4,"","","","",-16843010,-16843010,-16843010,-16843010,"",-872275301,[],"","","","",[]
5224,"attack_trigger_on_hitting_bleeding_enemy_%",1,"","",1,"","","","",-16843010,-16843010,-16843010,-16843010,1,365154868,[],"",1,"",1,[]
5225,"permanently_intimidate_enemy_on_block","","","",1,"","","","",-16843010,-16843010,-16843010,-16843010,"",839161326,[],"","","",1,[]
5226,"receive_bleeding_chance_%_when_hit_by_attack",1,"","",1,"","","","",-16843010,-16843010,-16843010,-16843010,1,576803349,[],18,"","",1,[]
5227,"attacks_cause_bleeding_vs_cursed_enemies","","","",4,"","","","",-16843010,-16843010,-16843010,-16843010,"",734246572,[],"","","","",[]
5228,"armour_increased_by_overcapped_fire_resistance","","","",4,"","","","",-16843010,-16843010,-16843010,-16843010,"",-2021927986,[],"","","","",[]
5229,"evasion_rating_increased_by_overcapped_cold_resistance","","","",4,"","","","",-16843010,-16843010,-16843010,-16843010,"",-1047709235,[],"","","","",[]
5230,"critical_strike_chance_increased_by_overcapped_lightning_resistance","","","",4,"","","","",-16843010,-16843010,-16843010,-16843010,"",2136199170,[],"","","","",[]
5231,"combined_critical_strike_chance_+%","","","",1,"","","",1,-16843010,-16843010,-16843010,-16843010,"",-1003337171,[],"","","",1,"[2,3,4]"
5232,"combined_critical_strike_chance_+%_final","","","",1,"","","",1,-16843010,-16843010,-16843010,-16843010,"",-656688992,[],"","","",1,"[2,3,4]"
5233,"totems_cannot_evade",1,"","",4,"","","","",-16843010,-16843010,-16843010,-16843010,1,1578133677,[],"","","","",[]
5234,"disable_seek_seal_prophecies",1,"","",4,"","","","",-16843010,-16843010,-16843010,-16843010,"",-953051197,[],"","","","",[]
5235,"mortar_distance_in_front_of_target","","","",3,"","",1,"",-16843010,-16843010,-16843010,-16843010,1,1614762850,[],"","","",1,[]
5236,"apply_covered_in_ash_to_attacker_when_hit_%","","","",1,"","","","",-16843010,-16843010,-16843010,-16843010,"",1861848796,[],18,"","",1,[]
5237,"covered_in_ash_movement_speed_+%_final","","","",1,"","","","",-16843010,-16843010,-16843010,-16843010,"",1609658551,[],"","","",1,[]
5238,"secondary_total_minimum_base_physical_damage","","","",3,"","","",1,-16843010,-16843010,-16843010,-16843010,"",1618889218,[],"","","",1,[4]
5239,"secondary_total_maximum_base_physical_damage","","","",3,"","","",1,-16843010,-16843010,-16843010,-16843010,"",634926459,[],"","","",1,[4]
5240,"minimum_secondary_physical_damage_per_15_strength","","","",3,"","","","",-16843010,-16843010,-16843010,-16843010,1,-1208510046,[],"","","",1,[]
5241,"maximum_secondary_physical_damage_per_15_strength","","","",3,"","","","",-16843010,-16843010,-16843010,-16843010,1,949304667,[],"","","",1,[]
5242,"flame_geyser_number_of_splits","","","",3,"","",1,"",-16843010,-16843010,-16843010,-16843010,1,954425596,[],"","","",1,[]
5243,"keystone_avatar_of_fire","","","",4,"","","","",-16843010,-16843010,-16843010,-16843010,"",-304580092,[],"","","","",[]
5244,"keystone_eldritch_battery","","","",4,"","","","",-16843010,-16843010,-16843010,-16843010,"",-1163484640,[],"","","","",[]
5245,"keystone_ancestral_bond","","","",4,"","","","",-16843010,-16843010,-16843010,-16843010,"",-2091985292,[],13,"","","",[]
5246,"skeletal_chains_no_minions_damage_+%_final","","","",1,"","","","",-16843010,-16843010,-16843010,-16843010,1,410175238,[],"","","",1,[]
5247,"virtual_energy_shield_protects_mana","","","",4,"","",1,1,-16843010,-16843010,-16843010,-16843010,1,-1575015437,[],"","","","",[0]
5248,"virtual_spend_energy_shield_for_costs_before_mana",1,"","",4,"","",1,1,-16843010,-16843010,-16843010,-16843010,1,370345031,[],"","","","",[1]
5249,"shock_nova_skill_area_of_effect_+%_per_contact_point",1,"","",1,"","",1,"",-16843010,-16843010,-16843010,-16843010,1,-765400602,[],"","","",1,[]
5250,"spell_skills_deal_no_damage","","","",4,"","","","",-16843010,-16843010,-16843010,-16843010,"",-1875507219,[],"","","","",[]
5251,"ignite_proliferation_radius","","","",3,"","","",1,-16843010,-16843010,-16843010,-16843010,"",16273996,[],"","","",1,[20]
5252,"base_ignite_proliferation_radius","","","",3,"","","","",-16843010,-16843010,-16843010,-16843010,"",-157562650,[],2,"","",1,[]
5253,"transition_objects_at_state",1,"","",3,"","","","",-16843010,-16843010,-16843010,-16843010,"",-1482523969,[],"","","",1,[]
5254,"fire_beam_enemy_fire_resistance_%_at_max_stacks",1,"","",1,"","","","",-16843010,-16843010,-16843010,-16843010,"",1435898868,[],"","","",1,[]
5255,"attack_damage_+1%_per_300_of_min_of_armour_or_evasion","","","",1,"","","","",-16843010,-16843010,-16843010,-16843010,"",-826378599,[],"","","",1,[]
5256,"chance_to_fortify_on_melee_stun_%","","","",1,"","","","",-16843010,-16843010,-16843010,-16843010,"",1752979235,[],"","","",1,[]
5257,"gain_onslaught_while_you_have_fortify","","","",4,"","","","",-16843010,-16843010,-16843010,-16843010,"",-689316931,[],"","","","",[]
5258,"local_six_linked_random_sockets","",1,"",4,"","","","",-16843010,-16843010,-16843010,-16843010,"",-2098744077,[],"","","","",[]
5259,"local_can_only_socket_corrupted_gems","",1,"",4,"","","","",-16843010,-16843010,-16843010,-16843010,"",-272414201,[],"","","","",[]
5260,"fire_beam_enemy_fire_resistance_%_maximum",1,"","",1,"","","","",-16843010,-16843010,-16843010,-16843010,1,2038587129,[],"","","",1,[]
5261,"proximity_shield_ground_lightning_duration_ms",1,"","",3,"","","","",-16843010,-16843010,-16843010,-16843010,"",-2007150665,[],"","","",1,[]
5262,"map_player_charges_gained_+%","","","",1,"","","","",-16843010,-16843010,-16843010,-16843010,"",1399319662,[],"","","",1,[]
5263,"curse_effect_on_self_+%_final",1,"","",1,"","","","",-16843010,-16843010,-16843010,-16843010,1,-1902757970,[],"","","",1,[]
5264,"map_monsters_curse_effect_on_self_+%_final","","","",1,"","","","",-16843010,-16843010,-16843010,-16843010,"",-1689313310,[],"","","",1,[]
5265,"map_monsters_%_chance_to_inflict_status_ailments","","","",1,"","","","",-16843010,-16843010,-16843010,-16843010,"",-1535675006,[],"","","",1,[]
5266,"map_monsters_movement_speed_cannot_be_reduced_below_base","","","",4,"","","","",-16843010,-16843010,-16843010,-16843010,"",1567788680,[],"","","","",[]
5267,"map_monsters_cannot_be_taunted","","","",4,"","","","",-16843010,-16843010,-16843010,-16843010,"",-731204563,[],"","","","",[]
5268,"map_monsters_always_ignite","","","",4,"","","","",-16843010,-16843010,-16843010,-16843010,"",1942465026,[],"","","","",[]
5269,"map_monsters_additional_chaos_resistance","","","",1,"","","","",-16843010,-16843010,-16843010,-16843010,"",-1078843918,[],"","","",1,[]
5270,"map_monsters_avoid_poison_bleed_impale_%","","","",1,"","","","",-16843010,-16843010,-16843010,-16843010,"",1826921444,[],"","","",1,[]
