"rownum","EPKFile1","i32","EPKFile2","i32","i32","i32","bool","AOFile","bool","string"
157,"TraumaStrike1Hand",0,"",110,11,110,"","Metadata/Effects/Spells/melee_trails/trauma_strike/trauma_strike_1H.ao","",""
158,"TraumaStrike2Hand",0,"",135,13,135,"","Metadata/Effects/Spells/melee_trails/trauma_strike/trauma_strike_2H.ao","",""
159,"TraumaStrike2HandOff",0,"",135,13,135,"","Metadata/Effects/Spells/melee_trails/trauma_strike/trauma_strike_2H_off.ao","",""
160,"TraumaStrikeClaw",0,"",60,11,60,"","Metadata/Effects/Spells/melee_trails/trauma_strike/trauma_strike_1H.ao","",""
161,"AncestralProtector1Hand",0,"Metadata/Effects/Spells/totems/karui_totem/ancestral_totem_1h.epk",110,11,110,"","","",""
162,"AncestralProtector2Hand",0,"Metadata/Effects/Spells/totems/karui_totem/ancestral_totem_2h.epk",135,13,135,"","","",""
163,"AncestralProtector2HandOff",0,"Metadata/Effects/Spells/totems/karui_totem/ancestral_totem_2h.epk",135,13,135,"","","",""
164,"AncestralProtectorClaw",0,"Metadata/Effects/Spells/totems/karui_totem/ancestral_totem_1h_left.epk",90,11,90,"","","",""
165,"IllusionistCobraLashClawL",0,"",0,0,0,"","Metadata/Effects/Microtransactions/Spells/cobra_lash/illusionist/cobracast.ao","",""
166,"IllusionistCobraLashClawR",0,"",0,0,0,"","Metadata/Effects/Microtransactions/Spells/cobra_lash/illusionist/cobracast.ao","",""
167,"IllusionistCobraLashClawOneHandedL",0,"",0,0,0,"","Metadata/Effects/Microtransactions/Spells/cobra_lash/illusionist/cobracast_dagger.ao","",""
168,"IllusionistCobraLashClawOneHandedR",0,"",0,0,0,"","Metadata/Effects/Microtransactions/Spells/cobra_lash/illusionist/cobracast_dagger.ao","",""
169,"Metadata/Effects/Microtransactions/Spells/smite/annihilation/wp_enchant_unarmed_L.epk",0,"Metadata/Effects/Microtransactions/Spells/smite/annihilation/wp_enchant_onehand_L.epk",0,0,0,"","","",""
170,"Metadata/Effects/Microtransactions/Spells/smite/annihilation/wp_enchant_unarmed_R.epk",0,"Metadata/Effects/Microtransactions/Spells/smite/annihilation/wp_enchant_onehand_R.epk",0,0,0,"","","",""
171,"Metadata/Effects/Microtransactions/Spells/smite/annihilation/wp_enchant_onehand_L.epk",0,"Metadata/Effects/Microtransactions/Spells/smite/annihilation/wp_enchant_onehand_L.epk",0,0,0,"","","",""
172,"Metadata/Effects/Microtransactions/Spells/smite/annihilation/wp_enchant_onehand_R.epk",0,"Metadata/Effects/Microtransactions/Spells/smite/annihilation/wp_enchant_onehand_R.epk",0,0,0,"","","",""
173,"Metadata/Effects/Microtransactions/Spells/smite/annihilation/wp_enchant_twohand.epk",0,"Metadata/Effects/Microtransactions/Spells/smite/annihilation/wp_enchant_twohand.epk",0,0,0,"","","",""
