"rownum","QuestKey","i32","QuestStates","[i32]","Text","bool","Message","MapPinsKeys1","i32","MapPinsTexts","MapPinsKeys2","[rid]","bool","[i32]","[i32]","i32","SoundEffect"
387,38,25,[803],[],"Piety requires three of Malachai's organs to gain access to the Black Core. Find the two remaining organs and deliver them to her.","","Find the remaining organs",[60],0,"[""Find the remaining organs""]",[60],[],"",[],[],10,""
388,38,26,[704],[],"Piety requires three of Malachai's organs to gain access to the Black Core. Find them and deliver them to her.","","Find Malachai's organs",[60],0,"[""Find Malachai's organs""]",[],[],"",[],[],10,""
389,39,0,[793],[],"Quest Complete - You have freed the ancient spirit of Sekhema Deshret and received {0} from Tasuni.",1,"Quest Complete",[],0,[],[],[],"",[],[],0,""
390,39,1,[825],[],"Quest Complete - You have freed the ancient spirit of Sekhema Deshret and received a Skill Book from Tasuni. Use it to gain {0}.","","",[],0,[],[],[],"",[],[],0,""
391,39,2,[752],[],"Quest Complete - You have freed the ancient spirit of Sekhema Deshret. Talk to Tasuni in town for a reward.","","Talk to Tasuni",[50],0,"[""Talk to Tasuni in town for your reward""]",[],[],"",[],[],10,""
392,39,3,[799],[],"You have found Deshret's spirit trapped in the Mines under Highgate. Free it and Tasuni will reward you.","","Free Deshret's spirit",[53],0,"[""Free Deshret's spirit""]",[53],[],"",[],[],10,""
393,39,4,[750],[],"Tasuni can hear the spirit of Deshret calling to him, and wants you to help her. Find her spirit in the Mines and free it.","","Find Deshret's spirit",[53],0,"[""Find Deshret's spirit""]",[],[],"",[],[],10,""
394,40,0,[715],[973],"","","Mission Failed",[],0,[],[],[],1,[],[],10,186
395,40,1,[710],[973],"",1,"Mission Complete",[],0,[],[],[],"",[],[],10,185
396,40,2,[709],"[973,0]","","","Complete Kirac's Mission",[],0,[],[],[],"",[],[],10,""
397,40,3,"[2022,0]","[973,0]","","","Choose a Map",[],0,[],[],[],"",[],[],10,""
398,41,0,[1942],[1943],"","","Mission Failed",[],0,[],[],[],1,[],[],10,186
399,41,1,[1941],[1943],"",1,"Mission Complete",[],0,[],[],[],"",[],[],10,185
400,41,2,[1940],[1943],"","","Find Voltaxic Sulphite for Niko",[],0,[],[],[],"",[],[],10,""
401,42,0,[1946],[1947],"","","Mission Failed",[],0,[],[],[],1,[],[],10,186
402,42,1,[1945],[1947],"",1,"Mission Complete",[],0,[],[],[],"",[],[],10,185
403,42,2,[1948],[1947],"","","Complete the Incursion",[],0,[],[],[],"",[],[],10,""
404,42,3,[1944],[1947],"","","Complete Alva's Incursions",[],0,[],[],[],"",[],[],10,""
405,43,0,[1951],[1952],"","","Mission Failed",[],0,[],[],[],1,[],[],10,186
406,43,1,[1950],[1952],"",1,"Mission Complete",[],0,[],[],[],"",[],[],10,185
407,43,2,[1949],[1952],"","","Capture the Beasts for Einhar",[],0,[],[],[],"",[],[],10,""
408,44,0,"[526,0]",[572],"","","Mission Failed",[],0,[],[],[],1,[],[],10,186
409,44,1,"[526,0]",[572],"",1,"Mission Complete",[],0,[],[],[],"",[],[],10,185
410,44,2,"[526,0]",[572],"",1,"Complete the remaining Syndicate encounters",[],0,[],[],[],"",[],[],10,""
411,44,3,"[526,0]",[572],"","","Question the defeated Syndicate members",[],0,[],[],[],"",[],[],10,""
412,44,4,"[526,0]",[572],"",1,"Complete the remaining Syndicate encounters",[],0,[],[],[],"",[],[],10,""
413,44,5,"[526,0]",[572],"","","Complete the remaining Syndicate encounters",[],0,[],[],[],1,[],[],10,""
414,44,6,"[526,0]",[572],"","","Defeat the Fortification guards",[],0,[],[],[],"",[],[],10,""
415,44,7,"[526,0]",[572],"","","Complete the Immortal Syndicate encounters",[],0,[],[],[],"",[],[],10,""
416,45,0,"[526,0]",[572],"","","Mission Failed",[],0,[],[],[],1,[],[],10,186
417,45,1,"[526,0]",[572],"",1,"Mission Complete",[],0,[],[],[],"",[],[],10,185
418,45,2,"[526,0]",[572],"",1,"Complete the remaining Syndicate encounters",[],0,[],[],[],"",[],[],10,""
419,45,3,"[526,0]",[572],"","","Question the defeated Syndicate members",[],0,[],[],[],"",[],[],10,""
420,45,4,"[526,0]",[572],"",1,"Complete the remaining Syndicate encounters",[],0,[],[],[],"",[],[],10,""
421,45,5,"[526,0]",[572],"","","Complete the remaining Syndicate encounters",[],0,[],[],[],1,[],[],10,""
422,45,6,"[526,0]",[572],"","","Complete the remaining Syndicate encounters",[],0,[],[],[],1,[],[],10,""
423,45,7,"[526,0]",[572],"","","",[],0,[],[],[],"",[],[],10,""
424,45,8,"[526,0]",[572],"","","Complete the Immortal Syndicate encounters",[],0,[],[],[],"",[],[],10,""
425,46,0,"[526,0]",[572],"","","Mission Failed",[],0,[],[],[],1,[],[],10,186
426,46,1,"[526,0]",[572],"",1,"Mission Complete",[],0,[],[],[],"",[],[],10,185
427,46,2,"[526,0]",[572],"",1,"Complete the remaining Syndicate encounters",[],0,[],[],[],"",[],[],10,""
428,46,3,"[526,0]",[572],"","","Question the defeated Syndicate members",[],0,[],[],[],"",[],[],10,""
429,46,4,"[526,0]",[572],"",1,"Complete the remaining Syndicate encounters",[],0,[],[],[],"",[],[],10,""
430,46,5,"[526,0]",[572],"","","Complete the remaining Syndicate encounters",[],0,[],[],[],1,[],[],10,""
431,46,6,"[526,0]",[572],"","","Complete the remaining Syndicate encounters",[],0,[],[],[],1,[],[],10,""
432,46,7,"[526,0]",[572],"","","Defeat the Intervention assassins",[],0,[],[],[],"",[],[],10,""
433,46,8,"[526,0]",[572],"","","Complete the Immortal Syndicate encounters",[],0,[],[],[],"",[],[],10,""
434,47,0,"[526,0]",[572],"","","Mission Failed",[],0,[],[],[],1,[],[],10,186
435,47,1,"[526,0]",[572],"",1,"Mission Complete",[],0,[],[],[],"",[],[],10,185
436,47,2,"[526,0]",[572],"",1,"Complete the remaining Syndicate encounters",[],0,[],[],[],"",[],[],10,""
437,47,3,"[526,0]",[572],"","","Question the defeated Syndicate members",[],0,[],[],[],"",[],[],10,""
438,47,4,"[526,0]",[572],"",1,"Complete the remaining Syndicate encounters",[],0,[],[],[],"",[],[],10,""
439,47,5,"[526,0]",[572],"","","Complete the remaining Syndicate encounters",[],0,[],[],[],1,[],[],10,""
440,47,6,"[526,0]",[572],"","","Complete the remaining Syndicate encounters",[],0,[],[],[],1,[],[],10,""
441,47,7,"[526,0]",[572],"","","Quickly find and defeat the Research guards",[],0,[],[],[],"",[],[],10,""
442,47,8,"[526,0]",[572],"","","Enter the Syndicate Laboratory",[],0,[],[],[],"",[],[],10,""
443,47,9,"[526,0]",[572],"","","Complete the Immortal Syndicate encounters",[],0,[],[],[],"",[],[],10,""
444,48,0,"[526,0]",[572],"",1,"Mission Complete",[],0,[],[],[],"",[],[],10,185
445,48,1,"[526,0]",[572],"","","Safehouse Abandoned",[],0,[],[],[],"",[],[],10,""
446,48,2,"[526,0]",[572],"","","Interrogate the Leader",[],0,[],[],[],"",[],[],10,""
447,48,3,"[526,0]",[572],"","","Defeat the Syndicate Members",[],0,[],[],[],"",[],[],10,""
448,48,4,"[526,0]",[572],"","","Raid the Safehouse",[],0,[],[],[],"",[],[],10,""
449,49,0,"[526,0]",[572],"",1,"Mission Complete",[],0,[],[],[],"",[],[],10,185
450,49,1,"[526,0]",[572],"","","Interrogate Catarina",[],0,[],[],[],"",[],[],10,""
451,49,2,"[526,0]",[572],"","","Defeat Catarina",[],9000,[],[],[],"",[],[],10,""
452,49,3,"[526,0]",[572],"","","Follow Catarina",[],12000,[],[],[],"",[],[],10,""
453,49,4,"[526,0]",[572],"","","Defeat Catarina",[],6000,[],[],[],"",[],[],10,""
454,49,5,"[526,0]",[572],"","","Find the Mastermind",[],0,[],[],[],"",[],[],10,""
455,51,0,[897],[899],"You have gained access to the Lord's Labyrinth from the Sarn Encampment. Complete it to earn your Ascendancy.","","Complete the Labyrinth",[],0,"[""Complete the Labyrinth""]",[],[14],"","[268,266,265,267,263,264]",[],10,""
456,51,1,[897],[899],"You have gained access to the Lord's Labyrinth from the Sarn Encampment. Complete it to earn your Ascendancy.","","",[],0,[],[],[],"","[268,266,265,267,263,264]",[],10,""
457,51,2,[],[899],"You have solved all of the Trials of Ascendancy. You may now access the Lord's Labyrinth from the Sarn Encampment.","","Enter the Labyrinth",[],0,"[""Enter the Labyrinth in the Sarn Encampment""]",[],[14],"","[268,266,265,267,263,264]",[],10,""
458,51,3,[],[899],"You have solved all of the Trials of Ascendancy. You may now access the Lord's Labyrinth from the Sarn Encampment.","","",[],0,[],[],[],"","[268,266,265,267,263,264]",[],10,""
459,51,4,[937],[],"Solve the Trial of Ascendancy in this Area. Complete all the Trials to access the Lord's Labyrinth.","","Solve the Trial of Ascendancy in this Area",[],0,"[""Solve the Trial of Ascendancy in this Area""]",[],[14],"",[],[263],10,""
460,51,5,[937],[899],"Solve all the Trials of Ascendancy to access the Lord's Labyrinth.","","Solve the Trials of Ascendancy",[],0,"[""Solve the Trials of Ascendancy""]",[],[14],"",[],[],10,""
461,51,6,[937],[899],"Solve all the Trials of Ascendancy to access the Lord's Labyrinth.","","",[],0,[],[],[],"",[],[],10,""
462,51,7,[937],[],"Solve all the Trials of Ascendancy to access the Lord's Labyrinth.","","",[],0,[],[],[],"",[],[263],10,""
463,52,0,[897],[899],"You have gained access to the Lord's Labyrinth from the Sarn Encampment. Complete it to earn your Ascendancy.","","Complete the Labyrinth",[],0,"[""Complete the Labyrinth""]",[],"[26,29]","","[268,266,265,267,263,264]",[],10,""
464,52,1,[897],[899],"You have gained access to the Lord's Labyrinth from the Sarn Encampment. Complete it to earn your Ascendancy.","","",[],0,[],[],[],"","[268,266,265,267,263,264]",[],10,""
465,52,2,[],[899],"You have solved all of the Trials of Ascendancy. You may now access the Lord's Labyrinth from the Sarn Encampment.","","Enter the Labyrinth",[],0,"[""Enter the Labyrinth in the Sarn Encampment""]",[],"[26,29]","","[268,266,265,267,263,264]",[],10,""
466,52,3,[],[899],"You have solved all of the Trials of Ascendancy. You may now access the Lord's Labyrinth from the Sarn Encampment.","","",[],0,[],[],[],"","[268,266,265,267,263,264]",[],10,""
467,52,4,[937],[],"Solve the Trial of Ascendancy in this Area. Complete all the Trials to access the Lord's Labyrinth.","","Solve the Trial of Ascendancy in this Area",[],0,"[""Solve the Trial of Ascendancy in this Area""]",[],[29],"",[],[264],10,""
468,52,5,[937],[],"Solve the Trial of Ascendancy in this Area. Complete all the Trials to access the Lord's Labyrinth.","","Solve the Trial of Ascendancy in this Area",[],0,"[""Solve the Trial of Ascendancy in this Area""]",[],[26],"",[],[265],10,""
469,52,6,[937],[899],"Solve all the Trials of Ascendancy to access the Lord's Labyrinth.","","Solve the Trials of Ascendancy",[],0,"[""Solve the Trials of Ascendancy""]",[],"[26,29]","",[],[],10,""
470,52,7,[937],[899],"Solve all the Trials of Ascendancy to access the Lord's Labyrinth.","","",[],0,[],[],[],"",[],[],10,""
471,52,8,[937],[],"Solve all the Trials of Ascendancy to access the Lord's Labyrinth.","","",[],0,[],[],[],"",[],[264],10,""
472,52,9,[937],[],"Solve all the Trials of Ascendancy to access the Lord's Labyrinth.","","",[],0,[],[],[],"",[],[265],10,""
473,53,0,[900],[],"Quest Complete - You have completed the Eternal Labyrinth.",1,"",[],0,[],[],[],"","[286,284,283,285,281,282]",[],10,""
474,53,1,[993],[],"Quest Complete - You have completed the Merciless Labyrinth. But could there be yet more secrets to unlock?",1,"Quest Complete",[],0,[],[],[],"","[272,273,274]",[],10,""
475,53,2,[992],[],"You have gained access to the Merciless Labyrinth from the Sarn Encampment. Complete it to earn additional Ascendancy Points.","","Complete the Labyrinth",[],0,"[""Complete the Labyrinth""]",[],[],"","[272,273,274]",[],10,""
476,53,3,[992],[],"You have completed the Cruel Labyrinth, but there may yet be more to discover about the Labyrinth...","","",[],0,[],[],[],"","[269,270,271]",[],10,""
477,53,4,[899],[],"You have gained access to the Cruel Labyrinth from the Sarn Encampment. Complete it to earn additional Ascendancy Points.","","Complete the Labyrinth",[],0,"[""Complete the Labyrinth""]",[],[],"","[269,270,271]",[],10,""
478,53,5,[899],[],"You have completed the Lord's Labyrinth and earned your Ascendancy, but there may yet be more to discover about the Labyrinth...","","",[],0,[],[],[],"","[268,266,265,267,263,264]",[],10,""
479,53,6,[976],[],"You have completed the Lord's Labyrinth and slain Izaro. Activate the Altar of Ascendancy to earn your Ascendancy.","","Activate the Altar of Ascendancy",[],0,"[""Activate the Altar of Ascendancy""]",[],[],"","[268,266,265,267,263,264]",[],10,""
480,53,7,[897],[],"You have gained access to the Lord's Labyrinth from the Sarn Encampment. Complete it to earn your Ascendancy.","","Complete the Labyrinth",[],0,"[""Complete the Labyrinth""]",[],"[55,44,46,41,459]","","[268,266,265,267,263,264]",[],10,""
481,53,8,[897],[],"You have gained access to the Lord's Labyrinth from the Sarn Encampment. Complete it to earn your Ascendancy.","","",[],0,[],[],[],"","[268,266,265,267,263,264]",[],10,""
482,53,9,[],[],"You have solved all of the Trials of Ascendancy. You may now access the Lord's Labyrinth from the Sarn Encampment.","","Enter the Labyrinth",[34],0,"[""Enter the Labyrinth in the Sarn Encampment""]",[34],"[55,44,46,41]","","[268,266,265,267,263,264]",[],10,""
483,53,10,[],[],"You have solved all of the Trials of Ascendancy. You may now access the Lord's Labyrinth from the Sarn Encampment.","","",[],0,[],[],[],"","[268,266,265,267,263,264]",[],10,""
484,53,11,[937],[],"Solve the Trial of Ascendancy in this Area. Complete all the Trials to access the Lord's Labyrinth.","","Solve the Trial of Ascendancy in this Area",[],0,"[""Solve the Trial of Ascendancy in this Area""]",[],[46],"",[],[268],10,""
485,53,12,[937],[],"Solve the Trial of Ascendancy in this Area. Complete all the Trials to access the Lord's Labyrinth.","","Solve the Trial of Ascendancy in this Area",[],0,"[""Solve the Trial of Ascendancy in this Area""]",[],[44],"",[],[266],10,""
486,53,13,[937],[],"Solve the Trial of Ascendancy in this Area. Complete all the Trials to access the Lord's Labyrinth.","","Solve the Trial of Ascendancy in this Area",[],0,"[""Solve the Trial of Ascendancy in this Area""]",[],[55],"",[],[267],10,""
487,53,14,[937],[],"Solve all the Trials of Ascendancy to access the Lord's Labyrinth.","","Solve the Trials of Ascendancy",[],0,"[""Solve the Trials of Ascendancy""]",[],"[55,44,46,41]","",[],[],10,""
488,53,15,[937],[],"Solve all the Trials of Ascendancy to access the Lord's Labyrinth.","","",[],0,[],[],[],"",[],[],10,""
489,54,0,[],[897],"You have solved all of the Trials of Ascendancy. You may now access the Lord's Labyrinth from the Sarn Encampment.","","",[],0,[],[],[],"","[268,266,265,267,263,264]",[],10,""
490,54,1,[937],[897],"Solve all the Trials of Ascendancy to access the Lord's Labyrinth.","","",[],0,[],[],[],"",[],[],10,""
491,54,2,"[937,0]",[899],"You have gained access to the Lord's Labyrinth from the Sarn Encampment. Complete it to earn your Ascendancy.","","",[],0,[],[],[],"","[268,266,265,267,263,264]",[],10,""
492,54,3,[937],[],"Solve all the Trials of Ascendancy to access the Lord's Labyrinth.","","",[],0,[],[],[],"",[],[268],10,""
493,54,4,[937],[],"Solve all the Trials of Ascendancy to access the Lord's Labyrinth.","","",[],0,[],[],[],"",[],[266],10,""
494,54,5,[937],[],"Solve all the Trials of Ascendancy to access the Lord's Labyrinth.","","",[],0,[],[],[],"",[],[265],10,""
495,54,6,[937],[],"Solve all the Trials of Ascendancy to access the Lord's Labyrinth.","","",[],0,[],[],[],"",[],[267],10,""
496,54,7,[937],[],"Solve all the Trials of Ascendancy to access the Lord's Labyrinth.","","",[],0,[],[],[],"",[],[263],10,""
497,54,8,[937],[],"Solve all the Trials of Ascendancy to access the Lord's Labyrinth.","","",[],0,[],[],[],"",[],[264],10,""
498,55,0,[],[897],"You have solved all of the Trials of Ascendancy. You may now access the Lord's Labyrinth from the Sarn Encampment.","","",[],0,[],[],[],"","[268,266,265,267,263,264]",[],10,""
499,55,1,[937],[897],"Solve all the Trials of Ascendancy to access the Lord's Labyrinth.","","",[],0,[],[],[],"",[],[],10,""
500,55,2,"[937,0]",[899],"You have gained access to the Lord's Labyrinth from the Sarn Encampment. Complete it to earn your Ascendancy.","","",[],0,[],[],[],"","[268,266,265,267,263,264]",[],10,""
501,55,3,[937],[],"Solve all the Trials of Ascendancy to access the Lord's Labyrinth.","","",[],0,[],[],[],"",[],[268],10,""
502,55,4,[937],[],"Solve all the Trials of Ascendancy to access the Lord's Labyrinth.","","",[],0,[],[],[],"",[],[266],10,""
503,55,5,[937],[],"Solve all the Trials of Ascendancy to access the Lord's Labyrinth.","","",[],0,[],[],[],"",[],[265],10,""
504,55,6,[937],[],"Solve all the Trials of Ascendancy to access the Lord's Labyrinth.","","",[],0,[],[],[],"",[],[267],10,""
505,55,7,[937],[],"Solve all the Trials of Ascendancy to access the Lord's Labyrinth.","","",[],0,[],[],[],"",[],[263],10,""
506,55,8,[937],[],"Solve all the Trials of Ascendancy to access the Lord's Labyrinth.","","",[],0,[],[],[],"",[],[264],10,""
507,56,0,[937],[],"Solve the Trial of Ascendancy in this Area. Complete all the Trials to access the Cruel Labyrinth.","","Solve the Trial of Ascendancy in this Area",[],0,"[""Solve the Trial of Ascendancy in this Area""]",[],[92],"",[],[269],10,""
508,56,1,[],[897],"You have solved all of the Trials of Ascendancy. You may now access the Lord's Labyrinth from the Sarn Encampment.","","Enter the Labyrinth",[],0,"[""Enter the Labyrinth in the Sarn Encampment""]",[],[92],"","[268,266,265,267,263,264]",[],10,""
509,56,2,[],[897],"You have solved all of the Trials of Ascendancy. You may now access the Lord's Labyrinth from the Sarn Encampment.","","",[],0,[],[],[],"","[268,266,265,267,263,264]",[],10,""
510,56,3,[937],[897],"Solve all the Trials of Ascendancy to access the Lord's Labyrinth.","","Solve the Trials of Ascendancy",[],0,"[""Solve the Trials of Ascendancy""]",[],[92],"",[],[],10,""
511,56,4,[937],[897],"Solve all the Trials of Ascendancy to access the Lord's Labyrinth.","","",[],0,[],[],[],"",[],[],10,""
512,56,5,"[937,0]",[899],"You have gained access to the Lord's Labyrinth from the Sarn Encampment. Complete it to earn your Ascendancy.","","Complete the Labyrinth",[],0,"[""Complete the Labyrinth""]",[],[92],"","[268,266,265,267,263,264]",[],10,""
513,56,6,"[937,0]",[899],"You have gained access to the Lord's Labyrinth from the Sarn Encampment. Complete it to earn your Ascendancy.","","",[],0,[],[],[],"","[268,266,265,267,263,264]",[],10,""
514,56,7,"[937,0]",[899],"Solve all the Trials of Ascendancy to access the Lord's Labyrinth.","","",[],0,[],[],[],"",[],[],10,""
515,56,8,[899],[992],"You have gained access to the Cruel Labyrinth from the Sarn Encampment. Complete it to earn additional Ascendancy Points.","","Complete the Labyrinth",[],0,"[""Complete the Labyrinth""]",[],[92],"","[268,266,265,267,263,264,269,270,271]",[],10,""
516,56,9,[899],[992],"You have gained access to the Cruel Labyrinth from the Sarn Encampment. Complete it to earn additional Ascendancy Points.","","",[],0,[],[],[],"","[268,266,265,267,263,264,269,270,271]",[],10,""
517,56,10,[899],[992],"Solve all the Trials of Ascendancy to access the Cruel Labyrinth.","","Solve the Trials of Ascendancy",[],0,"[""Solve the Trials of Ascendancy""]",[],[92],"","[268,266,265,267,263,264]",[],10,""
518,56,11,[899],[992],"Solve all the Trials of Ascendancy to access the Cruel Labyrinth.","","",[],0,[],[],[],"","[268,266,265,267,263,264]",[],10,""
519,56,12,[937],[992],"Solve all the Trials of Ascendancy to access the Lord's Labyrinth.","","",[],0,[],[],[],"",[],[],10,""
520,56,13,[937],[],"Solve all the Trials of Ascendancy to access the Lord's Labyrinth.","","",[],0,[],[],[],"",[],[268],10,""
521,56,14,[937],[],"Solve all the Trials of Ascendancy to access the Lord's Labyrinth.","","",[],0,[],[],[],"",[],[266],10,""
522,56,15,[937],[],"Solve all the Trials of Ascendancy to access the Lord's Labyrinth.","","",[],0,[],[],[],"",[],[265],10,""
523,56,16,[937],[],"Solve all the Trials of Ascendancy to access the Lord's Labyrinth.","","",[],0,[],[],[],"",[],[267],10,""
524,56,17,[937],[],"Solve all the Trials of Ascendancy to access the Lord's Labyrinth.","","",[],0,[],[],[],"",[],[263],10,""
525,56,18,[937],[],"Solve all the Trials of Ascendancy to access the Lord's Labyrinth.","","",[],0,[],[],[],"",[],[264],10,""
526,56,19,"[937,0]",[],"Solve all the Trials of Ascendancy to access the Cruel Labyrinth.","","",[],0,[],[],[],"",[],[269],10,""
527,56,20,"[937,0]",[],"Solve all the Trials of Ascendancy to access the Cruel Labyrinth.","","",[],0,[],[],[],"",[],[270],10,""
528,56,21,"[937,0]",[],"Solve all the Trials of Ascendancy to access the Cruel Labyrinth.","","",[],0,[],[],[],"",[],[271],10,""
529,57,0,[937],[],"Solve the Trial of Ascendancy in this Area. Complete all the Trials to access the Cruel Labyrinth.","","Solve the Trial of Ascendancy in this Area",[],0,"[""Solve the Trial of Ascendancy in this Area""]",[],[108],"",[],[270],10,""
530,57,1,[937],[],"Solve the Trial of Ascendancy in this Area. Complete all the Trials to access the Cruel Labyrinth.","","Solve the Trial of Ascendancy in this Area",[],0,"[""Solve the Trial of Ascendancy in this Area""]",[],[106],"",[],[271],10,""
531,57,2,[],[897],"You have solved all of the Trials of Ascendancy. You may now access the Lord's Labyrinth from the Sarn Encampment.","","Enter the Labyrinth",[],0,"[""Enter the Labyrinth in the Sarn Encampment""]",[],"[106,108]","","[268,266,265,267,263,264]",[],10,""
532,57,3,[],[897],"You have solved all of the Trials of Ascendancy. You may now access the Lord's Labyrinth from the Sarn Encampment.","","",[],0,[],[],[],"","[268,266,265,267,263,264]",[],10,""
533,57,4,[937],[897],"Solve all the Trials of Ascendancy to access the Lord's Labyrinth.","","Solve the Trials of Ascendancy",[],0,"[""Solve the Trials of Ascendancy""]",[],"[106,108]","",[],[],10,""
534,57,5,[937],[897],"Solve all the Trials of Ascendancy to access the Lord's Labyrinth.","","",[],0,[],[],[],"",[],[],10,""
535,57,6,"[937,0]",[899],"You have gained access to the Lord's Labyrinth from the Sarn Encampment. Complete it to earn your Ascendancy.","","Complete the Labyrinth",[],0,"[""Complete the Labyrinth""]",[],"[106,108]","","[268,266,265,267,263,264]",[],10,""
536,57,7,"[937,0]",[899],"You have gained access to the Lord's Labyrinth from the Sarn Encampment. Complete it to earn your Ascendancy.","","",[],0,[],[],[],"","[268,266,265,267,263,264]",[],10,""
537,57,8,"[937,0]",[899],"Solve all the Trials of Ascendancy to access the Lord's Labyrinth.","","",[],0,[],[],[],"",[],[],10,""
538,57,9,[899],[992],"You have gained access to the Cruel Labyrinth from the Sarn Encampment. Complete it to earn additional Ascendancy Points.","","Complete the Labyrinth",[],0,"[""Complete the Labyrinth""]",[],"[106,108]","","[268,266,265,267,263,264,269,270,271]",[],10,""
539,57,10,[899],[992],"You have gained access to the Cruel Labyrinth from the Sarn Encampment. Complete it to earn additional Ascendancy Points.","","",[],0,[],[],[],"","[268,266,265,267,263,264,269,270,271]",[],10,""
540,57,11,[937],[992],"Solve all the Trials of Ascendancy to access the Cruel Labyrinth.","","Solve the Trials of Ascendancy",[],0,"[""Solve the Trials of Ascendancy""]",[],"[106,108]","","[268,266,265,267,263,264]",[],10,""
541,57,12,[937],[992],"Solve all the Trials of Ascendancy to access the Cruel Labyrinth.","","",[],0,[],[],[],"","[268,266,265,267,263,264]",[],10,""
542,57,13,[937],[992],"Solve all the Trials of Ascendancy to access the Lord's Labyrinth.","","",[],0,[],[],[],"",[],[],10,""
543,57,14,[937],[],"Solve all the Trials of Ascendancy to access the Lord's Labyrinth.","","",[],0,[],[],[],"",[],[268],10,""
544,57,15,[937],[],"Solve all the Trials of Ascendancy to access the Lord's Labyrinth.","","",[],0,[],[],[],"",[],[266],10,""
545,57,16,[937],[],"Solve all the Trials of Ascendancy to access the Lord's Labyrinth.","","",[],0,[],[],[],"",[],[265],10,""
546,57,17,[937],[],"Solve all the Trials of Ascendancy to access the Lord's Labyrinth.","","",[],0,[],[],[],"",[],[267],10,""
547,57,18,[937],[],"Solve all the Trials of Ascendancy to access the Lord's Labyrinth.","","",[],0,[],[],[],"",[],[263],10,""
548,57,19,[937],[],"Solve all the Trials of Ascendancy to access the Lord's Labyrinth.","","",[],0,[],[],[],"",[],[264],10,""
549,57,20,"[937,0]",[],"Solve all the Trials of Ascendancy to access the Cruel Labyrinth.","","",[],0,[],[],[],"",[],[269],10,""
550,57,21,"[937,0]",[],"Solve all the Trials of Ascendancy to access the Cruel Labyrinth.","","",[],0,[],[],[],"",[],[270],10,""
551,57,22,"[937,0]",[],"Solve all the Trials of Ascendancy to access the Cruel Labyrinth.","","",[],0,[],[],[],"",[],[271],10,""
552,58,0,[900],[],"Quest Complete - You have completed the Eternal Labyrinth.",1,"",[],0,[],[],[],"","[268,266,265,267,263,264,269,270,271,272,273,274,286,284,283,285,281,282]",[],10,""
553,58,1,[993],[],"Quest Complete - You have completed the Merciless Labyrinth. But could there be yet more secrets to unlock?",1,"Quest Complete",[],0,[],[],[],"","[268,266,265,267,263,264,269,270,271,272,273,274]",[],10,""
554,58,2,[937],[],"Solve the Trial of Ascendancy in this Area. Complete all the Trials to access the Merciless Labyrinth.","","Solve the Trial of Ascendancy in this Area",[],0,"[""Solve the Trial of Ascendancy in this Area""]",[],[124],"",[],[272],10,""
555,58,3,[],[897],"You have solved all of the Trials of Ascendancy. You may now access the Lord's Labyrinth from the Sarn Encampment.","","Enter the Labyrinth",[],0,"[""Enter the Labyrinth""]",[],"[119,124]","","[268,266,265,267,263,264]",[],10,""
556,58,4,[],[897],"You have solved all of the Trials of Ascendancy. You may now access the Lord's Labyrinth from the Sarn Encampment.","","",[],0,[],[],[],"","[268,266,265,267,263,264]",[],10,""
557,58,5,[937],[897],"Solve all the Trials of Ascendancy to access the Lord's Labyrinth.","","Solve the Trials of Ascendancy",[],0,"[""Solve the Trials of Ascendancy""]",[],"[119,124]","",[],[],10,""
558,58,6,[937],[897],"Solve all the Trials of Ascendancy to access the Lord's Labyrinth.","","",[],0,[],[],[],"",[],[],10,""
559,58,7,"[937,0]",[899],"You have gained access to the Lord's Labyrinth from the Sarn Encampment. Complete it to earn your Ascendancy.","","Complete the Labyrinth",[],0,"[""Complete the Labyrinth""]",[],"[119,124]","","[268,266,265,267,263,264]",[],10,""
560,58,8,"[937,0]",[899],"You have gained access to the Lord's Labyrinth from the Sarn Encampment. Complete it to earn your Ascendancy.","","",[],0,[],[],[],"","[268,266,265,267,263,264]",[],10,""
561,58,9,"[937,0]",[899],"Solve all the Trials of Ascendancy to access the Lord's Labyrinth.","","",[],0,[],[],[],"",[],[],10,""
562,58,10,[899],[992],"You have gained access to the Cruel Labyrinth from the Sarn Encampment. Complete it to earn additional Ascendancy Points.","","Complete the Labyrinth",[],0,"[""Complete the Labyrinth""]",[],"[119,124]","","[268,266,265,267,263,264,269,270,271]",[],10,""
563,58,11,[899],[992],"You have gained access to the Cruel Labyrinth from the Sarn Encampment. Complete it to earn additional Ascendancy Points.","","",[],0,[],[],[],"","[268,266,265,267,263,264,269,270,271]",[],10,""
564,58,12,[899],[992],"Solve all the Trials of Ascendancy to access the Cruel Labyrinth.","","Solve the Trials of Ascendancy",[],0,"[""Solve the Trials of Ascendancy""]",[],"[119,124]","","[268,266,265,267,263,264]",[],10,""
565,58,13,[899],[992],"Solve all the Trials of Ascendancy to access the Cruel Labyrinth.","","",[],0,[],[],[],"","[268,266,265,267,263,264]",[],10,""
566,58,14,[992],[993],"You have gained access to the Merciless Labyrinth from the Sarn Encampment. Complete it to earn additional Ascendancy Points.","","Complete the Labyrinth",[],0,"[""Complete the Labyrinth""]",[],"[119,124]","","[268,266,265,267,263,264,269,270,271,272,273,274]",[],10,""
