216,"Metadata/NPC/Info/VaalLetters/VaalLetter_12","Vaal Letter","Metadata/NPC/Info/StoryGlyphBase","","","",[],[],"","",""
217,"Metadata/NPC/Act7/SinTown","Sin","Metadata/NPC/NPC","","","",[72],[73],"","","M"
218,"Metadata/NPC/Act7/SinRalakesh","Sin","Metadata/NPC/NPC","","","",[72],[73],"","","M"
219,"Metadata/NPC/Act7/SinGruthkul","Sin","Metadata/NPC/NPC","","","",[72],[73],"","","M"
220,"Metadata/NPC/Act7/SinArakaali","Sin","Metadata/NPC/NPC","","","",[72],[73],"","","M"
221,"Metadata/NPC/Act7/SinMaligaro","Sin","Metadata/NPC/NPC","","","",[72],[73],"","","M"
222,"Metadata/NPC/Act7/Weylam","Weylam Roth","Metadata/NPC/NPC",39,"","Weylam",[70],[71],"","","M"
223,"Metadata/NPC/Act7/YeenaTown","Yeena","Metadata/NPC/NPC",17,"","",[8],[9],"","","F"
224,"Metadata/NPC/Act7/YeenaVaalCity","Yeena","Metadata/NPC/NPC","","","",[],[],"","","F"
225,"Metadata/NPC/Act7/Eramir","Eramir","Metadata/NPC/NPC","","","",[6],[7],"","","M"
226,"Metadata/NPC/Act7/Helena","Helena","Metadata/NPC/NPC",6,3,"",[24],[25],"","","F"
227,"Metadata/NPC/Act7/SilkSins","Silk","Metadata/NPC/NPC","","","",[13],[],"","","M"
228,"Metadata/NPC/Act7/SilkArakaali","Silk","Metadata/NPC/NPC","","","",[],[],"","","M"
229,"Metadata/NPC/Act8/Hargan","Hargan","Metadata/NPC/Act3/Hargan",7,"","",[14],[15],"","","M"
230,"Metadata/NPC/Act8/Maramoa","Maramoa","Metadata/NPC/Act3/Maramoa",40,"","",[18],[19],"","","F"
231,"Metadata/NPC/Act8/ClarissaTown","Clarissa","Metadata/NPC/NPC",18,"","",[22],[23],"","","F"
232,"Metadata/NPC/Act8/ClarissaQuay","Clarissa","Metadata/NPC/NPC","","","",[],[],"","","F"
233,"Metadata/NPC/Act8/Tolman","Tolman","Metadata/NPC/NPC","","","",[],[],"","","M"
234,"Metadata/NPC/Act8/SinTown","Sin","Metadata/NPC/NPC","","","",[72],[73],"","","M"
235,"Metadata/NPC/Act8/SinDoedre","Sin","Metadata/NPC/NPC","","","",[72],[73],"","","M"
236,"Metadata/NPC/Act8/SinYugul","Sin","Metadata/NPC/NPC","","","",[72],[73],"","","M"
237,"Metadata/NPC/Act8/SinSolarisLunaris","Sin","Metadata/NPC/NPC","","","",[72],[73],"","","M"
238,"Metadata/NPC/Act5/Avarius","Avarius","Metadata/NPC/NPC","","","",[],[],"","","M"
239,"Metadata/NPC/Act5/Innocence","Innocence","Metadata/NPC/NPC","","","",[],[],"","","M"
240,"Metadata/NPC/Info/RalakeshGlyph","Ode to Ralakesh","Metadata/NPC/Info/StoryGlyphBase","","","",[],[],"","",""
241,"Metadata/NPC/Info/SilkLetter","Love Letter","Metadata/NPC/Info/StoryGlyphBase","","","",[],[],"","",""
242,"Metadata/NPC/Info/MaligaroTome","Maligaro's Manifesto","Metadata/NPC/Info/StoryGlyphBase","","","",[],[],"","",""
243,"Metadata/NPC/Info/ArakaaliGlyph1","Shrine to Arakaali","Metadata/NPC/Info/StoryGlyphBase","","","",[],[],"","",""
244,"Metadata/NPC/Info/ArakaaliGlyph2","Shrine to Arakaali","Metadata/NPC/Info/StoryGlyphBase","","","",[],[],"","",""
245,"Metadata/NPC/Info/ArakaaliGlyph3","Shrine to Arakaali","Metadata/NPC/Info/StoryGlyphBase","","","",[],[],"","",""
246,"Metadata/NPC/Info/ArakaaliGlyph4","Shrine to Arakaali","Metadata/NPC/Info/StoryGlyphBase","","","",[],[],"","",""
247,"Metadata/NPC/Info/ArakaaliGlyph5","Shrine to Arakaali","Metadata/NPC/Info/StoryGlyphBase","","","",[],[],"","",""
248,"Metadata/NPC/Info/UtulaGlyph1","Kitava's Hunger I","Metadata/NPC/Info/StoryGlyphBase","","","",[],[],"","",""
249,"Metadata/NPC/Info/UtulaGlyph2","Kitava's Hunger II","Metadata/NPC/Info/StoryGlyphBase","","","",[],[],"","",""
250,"Metadata/NPC/Info/UtulaGlyph3","Kitava's Hunger III","Metadata/NPC/Info/StoryGlyphBase","","","",[],[],"","",""
251,"Metadata/NPC/Info/DominusPrisonOrders","Order of Protection","Metadata/NPC/Info/StoryGlyphBase","","","",[],[],"","",""
252,"Metadata/NPC/Info/ShavronneManifesto","Shavronne's Manifesto","Metadata/NPC/Info/StoryGlyphBase","","","",[],[],"","",""
253,"Metadata/NPC/Info/AbberathGlyph","Primitive Carving","Metadata/NPC/Info/StoryGlyphBase","","","",[],[],"","",""
254,"Metadata/NPC/Info/RyslathaGlyph","Worn Carving","Metadata/NPC/Info/StoryGlyphBase","","","",[],[],"","",""
255,"Metadata/NPC/Info/TukohamaGlyph","Karui Carving","Metadata/NPC/Info/StoryGlyphBase","","","",[],[],"","",""
256,"Metadata/NPC/Info/BrineKingGlyph1","Message in a Bottle","Metadata/NPC/Info/StoryGlyphBase","","","",[],[],"","",""
257,"Metadata/NPC/Info/BrineKingGlyph2","Leatherbound Logbook","Metadata/NPC/Info/StoryGlyphBase","","","",[],[],"","",""
258,"Metadata/NPC/Info/BrineKingGlyph3","Letter Fragment","Metadata/NPC/Info/StoryGlyphBase","","","",[],[],"","",""
259,"Metadata/NPC/Info/BrineKingGlyph4","Templar Report","Metadata/NPC/Info/StoryGlyphBase","","","",[],[],"","",""
260,"Metadata/NPC/Info/BrineKingGlyph5","Shrine to the Brine King","Metadata/NPC/Info/StoryGlyphBase","","","",[],[],"","",""
261,"Metadata/NPC/Info/DoedreManifesto","Doedre's Manifesto","Metadata/NPC/Info/StoryGlyphBase","","","",[],[],"","",""
262,"Metadata/NPC/Info/YugulGlyph","Primitive Carving","Metadata/NPC/Info/StoryGlyphBase","","","",[],[],"","",""
263,"Metadata/NPC/Info/SolarisGlyph1","Solaris Statue","Metadata/NPC/Info/StoryGlyphBase","","","",[],[],"","",""
264,"Metadata/NPC/Info/SolarisGlyph2","Solaris Statue","Metadata/NPC/Info/StoryGlyphBase","","","",[],[],"","",""
265,"Metadata/NPC/Info/SolarisGlyph3","Solaris Statue","Metadata/NPC/Info/StoryGlyphBase","","","",[],[],"","",""
266,"Metadata/NPC/Info/LunarisGlyph1","Lunaris Statue","Metadata/NPC/Info/StoryGlyphBase","","","",[],[],"","",""
267,"Metadata/NPC/Info/LunarisGlyph2","Lunaris Statue","Metadata/NPC/Info/StoryGlyphBase","","","",[],[],"","",""
268,"Metadata/NPC/Info/LunarisGlyph3","Lunaris Statue","Metadata/NPC/Info/StoryGlyphBase","","","",[],[],"","",""
269,"Metadata/NPC/Info/VaalLetters/VaalLetter_13","Research Journal","Metadata/NPC/Info/StoryGlyphBase","","","",[],[],"","",""
270,"Metadata/NPC/Info/VaalLetters/VaalLetter_14","Research Journal","Metadata/NPC/Info/StoryGlyphBase","","","",[],[],"","",""
271,"Metadata/NPC/Info/VaalLetters/VaalLetter_15","Research Journal","Metadata/NPC/Info/StoryGlyphBase","","","",[],[],"","",""
272,"Metadata/NPC/Info/VaalLetters/VaalLetter_16","Research Journal","Metadata/NPC/Info/StoryGlyphBase","","","",[],[],"","",""
273,"Metadata/NPC/Info/TriumphOfInnocence","Triumph of Innocence","Metadata/NPC/Info/StoryGlyphBase","","","",[],[],"","",""
274,"Metadata/NPC/Info/StainedGlassWindow1","Stained Glass Window","Metadata/NPC/Info/InnocenceStainedGlass","","","",[],[],"","",""
275,"Metadata/NPC/Info/StainedGlassWindow2","Stained Glass Window","Metadata/NPC/Info/InnocenceStainedGlass","","","",[],[],"","",""
276,"Metadata/NPC/Info/StainedGlassWindow3","Stained Glass Window","Metadata/NPC/Info/InnocenceStainedGlass","","","",[],[],"","",""
277,"Metadata/NPC/Info/StainedGlassWindow4","Stained Glass Window","Metadata/NPC/Info/InnocenceStainedGlass","","","",[],[],"","",""
278,"Metadata/NPC/Info/StainedGlassWindow5","Stained Glass Window","Metadata/NPC/Info/InnocenceStainedGlass","","","",[],[],"","",""
279,"Metadata/NPC/Info/StainedGlassWindow6","Stained Glass Window","Metadata/NPC/Info/InnocenceStainedGlass","","","",[],[],"","",""
280,"Metadata/NPC/Info/StainedGlassWindow7","Stained Glass Window","Metadata/NPC/Info/InnocenceStainedGlass","","","",[],[],"","",""
281,"Metadata/NPC/Info/StainedGlassWindow8","Stained Glass Window","Metadata/NPC/Info/InnocenceStainedGlass","","","",[],[],"","",""
282,"Metadata/NPC/Act9/PetarusVanja","Petarus and Vanja","Metadata/NPC/Act4/PetarusVanja",19,"","",[33],[34],"","","MP"
283,"Metadata/NPC/Act9/Tasuni","Tasuni","Metadata/NPC/Act4/Tasuni",41,"","",[41],[42],"","","M"
284,"Metadata/NPC/Act9/Irasha","Irasha","Metadata/NPC/NPC",8,"","",[],[],"","","F"
285,"Metadata/NPC/Act9/SinTown","Sin","Metadata/NPC/NPC","","","",[72],[73],"","","M"
286,"Metadata/NPC/Act9/SinQuarry","Sin","Metadata/NPC/NPC","","","",[72],[73],"","","M"
287,"Metadata/NPC/Act9/SinGarukhan","Sin","Metadata/NPC/NPC","","","",[72],[73],"","","M"
288,"Metadata/NPC/Act9/SinShakari","Sin","Metadata/NPC/NPC","","","",[72],[73],"","","M"
289,"Metadata/NPC/Act9/SinCore","Sin","Metadata/NPC/NPC","","","",[],[],"","","M"
290,"Metadata/NPC/Act9/Lilly","Lilly Roth","Metadata/NPC/Act10/Lilly","","","Lilly",[153],[154],"","","F"
291,"Metadata/NPC/Act9/Weylam","Weylam Roth","Metadata/NPC/Act7/Weylam","","","Weylam",[70],[71],"","","M"
292,"Metadata/NPC/Act10/Lani","Lani","Metadata/NPC/Act5/Lani",20,"","",[68],[69],"","","F"
293,"Metadata/NPC/Act10/BannonTown","Bannon","Metadata/NPC/NPC","","","",[62],[63],"","","M"
294,"Metadata/NPC/Act10/BannonRooftop","Bannon","Metadata/NPC/NPC","","","",[],[],"","","M"
295,"Metadata/NPC/Act10/Lilly","Lilly Roth","Metadata/NPC/NPC",45,"","Lilly",[153],[154],"","","F"
296,"Metadata/NPC/Act10/Weylam","Weylam Roth","Metadata/NPC/Act7/Weylam",9,"","Weylam",[70],[71],"","","M"
297,"Metadata/NPC/Act10/SinTown","Sin","Metadata/NPC/NPC","","","",[72],[73],"","","M"
298,"Metadata/NPC/Act10/InnocenceTown","Innocence","Metadata/NPC/NPC","","","",[],[],"","","M"
299,"Metadata/NPC/Act10/InnocenceSquare","Innocence","Metadata/NPC/NPC","","","",[],[],"","","M"
300,"Metadata/NPC/Act10/SinTrough","Sin","Metadata/NPC/NPC","","","",[],[],"","","M"
301,"Metadata/NPC/Act10/InnocenceTrough","Innocence","Metadata/NPC/NPC","","","",[],[],"","","M"
302,"Metadata/NPC/Act5/SinOssuary","Sin","Metadata/NPC/NPC","","","",[],[],"","","M"
303,"Metadata/NPC/Epilogue/Zana","Zana, Master Cartographer","Metadata/NPC/NPC","",6,"Zana",[49],[50],"","","F"
304,"Metadata/NPC/Epilogue/Zana2","Zana, Master Cartographer","Metadata/NPC/NPC","",6,"Zana",[49],[50],"","","F"
305,"Metadata/NPC/Epilogue/ZanaMap","Zana, Master Cartographer","Metadata/NPC/NPC","",6,"Zana",[],[],"","","F"
306,"Metadata/NPC/Epilogue/ZanaCitadel","Zana, Master Cartographer","Metadata/NPC/NPC","",6,"Zana",[],[],"","","F"
307,"Metadata/NPC/Epilogue/Lani","Lani","Metadata/NPC/Act10/Lani",21,"","",[68],[69],"","","F"
308,"Metadata/NPC/Epilogue/Weylam","Weylam Roth","Metadata/NPC/Act7/Weylam",10,"","Weylam",[70],[71],"","","M"
309,"Metadata/NPC/Epilogue/Weylam2","Weylam Roth","Metadata/NPC/Act7/Weylam",10,"","Weylam",[70],[71],"","","M"
310,"Metadata/NPC/Epilogue/Lilly","Lilly Roth","Metadata/NPC/Act10/Lilly",46,"","Lilly",[152],[154],"",1,"F"
311,"Metadata/NPC/Epilogue/Lilly2","Lilly Roth","Metadata/NPC/Act10/Lilly",46,"","Lilly",[152],[154],"",1,"F"
312,"Metadata/NPC/Epilogue/Sin","Sin","Metadata/NPC/Act10/SinTown","","","",[72],[73],"","","M"
313,"Metadata/NPC/Epilogue/Innocence","Innocence","Metadata/NPC/NPC","","","",[],[],"","","M"
314,"Metadata/NPC/Act7/YeenaArakaali","Yeena","Metadata/NPC/NPC","","","",[],[],"","","F"
315,"Metadata/NPC/Info/KitavaCultistGlyph1","Cultist Tract","Metadata/NPC/Info/StoryGlyphBase","","","",[],[],"","",""
316,"Metadata/NPC/Info/KitavaCultistGlyph2","Cultist Tract","Metadata/NPC/Info/StoryGlyphBase","","","",[],[],"","",""
317,"Metadata/NPC/Info/KitavaCultistGlyph3","Cultist Tract","Metadata/NPC/Info/StoryGlyphBase","","","",[],[],"","",""
318,"Metadata/NPC/Info/ShaperMemoryFragmentBook","Book of Memories","Metadata/NPC/Info/StoryGlyphBase","","","",[],[],"","",""
319,"Metadata/NPC/Info/ShaperFinalMemoryFragment","Memory Fragment","Metadata/NPC/Info/StoryGlyphBase","","","",[],[],"","",""
320,"Metadata/Monsters/AtlasBosses/Zana","Zana, Master Cartographer","Metadata/NPC/NPC","",6,"Zana",[],[],"","","F"
321,"Metadata/Monsters/AtlasBosses/ZanaUberElder","Zana, Master Cartographer","Metadata/NPC/NPC","",6,"Zana",[],[],"","","F"
322,"Metadata/Monsters/KitavaBoss/InnocenceSin/Sin","Sin","Metadata/NPC/NPC","","","",[72],[73],"","","M"
323,"Metadata/NPC/League/Betrayal/CadiroBetrayal","Cadiro Perandus","Metadata/NPC/NPC",22,"","Cadiro",[55],[56],"","","M"
324,"Metadata/NPC/Info/TutorialNPC","Tutorial NPC","Metadata/NPC/NPC","","","",[],[],"","","F"
325,"Metadata/NPC/League/Incursion/TreasureHunterWild","Alva, Master Explorer","Metadata/NPC/NPC","",2,"Alva",[77],[78],"","","F"
326,"Metadata/NPC/League/Incursion/TreasureHunterHideout","Alva, Master Explorer","Metadata/NPC/NPC","",2,"Alva",[77],[78],"",1,"F"
327,"Metadata/Terrain/Leagues/Incursion/Objects/TreasureHunterSpawnMemoryLine","Alva, Master Explorer","Metadata/Terrain/Leagues/Incursion/Objects/TreasureHunterSpawnMemoryLine","","","Alva",[],[],"","","F"
328,"Metadata/Monsters/LeagueIncursion/Alva","Alva, Master Explorer","Metadata/NPC/NPC","",2,"Alva",[],[],"","","F"
329,"Metadata/NPC/League/Delve/DelveMiner","Niko, Master of the Depths","Metadata/NPC/NPC","",4,"Niko","[79,81,83,85,87]","[80,82,84,86,88]","",1,"M"
330,"Metadata/NPC/League/Delve/DelveMinerWildVein","Niko, Master of the Depths","Metadata/NPC/NPC","",4,"Niko","[79,81,83,85,87]","[80,82,84,86,88]","","","M"
331,"Metadata/NPC/League/Delve/DelveMinerWildChest","Niko, Master of the Depths","Metadata/NPC/NPC","",4,"Niko","[79,81,83,85,87]","[80,82,84,86,88]","","","M"
332,"Metadata/NPC/League/Delve/DelveMinerHub","Niko, Master of the Depths","Metadata/NPC/NPC","",4,"Niko","[79,81,83,85,87]","[80,82,84,86,88]","","","M"
333,"Metadata/NPC/League/Delve/DelveMinerMine","Niko, Master of the Depths","Metadata/NPC/NPC","",4,"Niko","[79,81,83,85,87]","[80,82,84,86,88]","","","M"
334,"Metadata/NPC/League/Delve/DelveMinerHideout","Niko, Master of the Depths","Metadata/NPC/NPC","",4,"Niko","[79,81,83,85,87]","[80,82,84,86,88]","",1,"M"
335,"Metadata/NPC/League/Betrayal/BetrayalNinjaCop","Jun, Veiled Master","Metadata/NPC/NPC","",5,"Jun",[89],[90],"",1,"F"
336,"Metadata/NPC/League/Betrayal/BetrayalNinjaCopRaid","Jun, Veiled Master","Metadata/NPC/NPC","",5,"Jun",[89],[90],"","","F"
337,"Metadata/NPC/League/Betrayal/BetrayalNinjaCopHideout","Jun, Veiled Master","Metadata/NPC/NPC","",5,"Jun",[89],[90],"",1,"F"
338,"Metadata/NPC/Missions/HelenaClaim","Helena","Metadata/NPC/NPC","",3,"Helena",[24],[25],"","","F"
339,"Metadata/NPC/Missions/Hideout/Helena","Helena","Metadata/NPC/NPC","",3,"Helena",[24],[25],"",1,"F"
340,"Metadata/Monsters/LeagueBetrayal/MasterNinjaCop","Jun, Veiled Master","Metadata/NPC/NPC","",5,"Jun",[89],[90],"","","F"
341,"Metadata/NPC/League/Incursion/TreasureHunter","Alva, Master Explorer","Metadata/NPC/NPC","",2,"Alva",[77],[78],"",1,"F"
342,"Metadata/Monsters/LeagueBetrayal/BetrayalCatarina1","Catarina, Master of Undeath","Metadata/Monsters/LeagueBetrayal/BetrayalCatarina","","","Catarina",[],[],"","","F"
343,"Metadata/Monsters/LeagueBetrayal/BetrayalHaku","Haku, Warmaster","Metadata/Monsters/LeagueBetrayal/BetrayalHaku","","","Haku",[],[],"","","M"
344,"Metadata/Monsters/LeagueBetrayal/BetrayalElreon","Elreon, Light's Judge","Metadata/Monsters/LeagueBetrayal/BetrayalElreon","","","Elreon",[],[],"","","M"
345,"Metadata/Monsters/LeagueBetrayal/BetrayalTora","Tora, the Culler","Metadata/Monsters/LeagueBetrayal/BetrayalTora","","","Tora",[],[],"","","F"
346,"Metadata/Monsters/LeagueBetrayal/BetrayalVagan","Vagan, Victory's Herald","Metadata/Monsters/LeagueBetrayal/BetrayalVagan","","","Vagan",[],[],"","","M"
347,"Metadata/Monsters/LeagueBetrayal/BetrayalVorici","Vorici, Silent Brother","Metadata/Monsters/LeagueBetrayal/BetrayalVorici","","","Vorici",[],[],"","","M"
348,"Metadata/Monsters/LeagueBetrayal/BetrayalHillock_","Hillock, the Blacksmith","Metadata/Monsters/LeagueBetrayal/BetrayalHillock","","","Hillock",[],[],"","","M"
349,"Metadata/Monsters/LeagueBetrayal/BetrayalLeo","Leo, Wolf of the Pits","Metadata/Monsters/LeagueBetrayal/BetrayalLeo","","","Leo",[],[],"","","M"
350,"Metadata/Monsters/LeagueBetrayal/BetrayalGrenn","Guff \""Tiny\"" Grenn","Metadata/Monsters/LeagueBetrayal/BetrayalGrenn","","","Guff",[],[],"","","M"
351,"Metadata/Monsters/LeagueBetrayal/BetrayalJanus","Janus Perandus","Metadata/Monsters/LeagueBetrayal/BetrayalJanus","","","Janus",[],[],"","","M"
352,"Metadata/Monsters/LeagueBetrayal/BetrayalBreach","It That Fled","Metadata/Monsters/LeagueBetrayal/BetrayalBreach","","","It That Fled",[],[],"","","N"
353,"Metadata/Monsters/LeagueBetrayal/BetrayalGravicius","Gravicius Reborn","Metadata/Monsters/LeagueBetrayal/BetrayalGravicius","","","Gravicius",[],[],"","","M"
354,"Metadata/Monsters/LeagueBetrayal/BetrayalThane","Thane Jorgin the Banished","Metadata/Monsters/LeagueBetrayal/BetrayalThane","","","Jorgin",[],[],"","","M"
355,"Metadata/Monsters/LeagueBetrayal/BetrayalKeema","Korell Goya, Son of Stone","Metadata/Monsters/LeagueBetrayal/BetrayalKeema","","","Korell",[],[],"","","M"
356,"Metadata/Monsters/LeagueBetrayal/BetrayalRin","Rin Yuushu","Metadata/Monsters/LeagueBetrayal/BetrayalRin","","","Rin",[],[],"","","M"
357,"Metadata/Monsters/LeagueBetrayal/BetrayalCameria","Cameria the Coldblooded","Metadata/Monsters/LeagueBetrayal/BetrayalCameria","","","Cameria",[],[],"","","M"
358,"Metadata/Monsters/LeagueBetrayal/BetrayalAislin","Aisling Laffrey, The Silent Butcher","Metadata/Monsters/LeagueBetrayal/BetrayalAislin","","","Aisling",[],[],"","","F"
359,"Metadata/Monsters/LeagueBetrayal/BetrayalRiker","Riker Maloney, Midnight Tinkerer","Metadata/Monsters/LeagueBetrayal/BetrayalRiker","","","Riker",[],[],"","","M"
360,"Metadata/NPC/League/Betrayal/BetrayalNinjaCopVaultExterior","Jun, Veiled Master","Metadata/NPC/NPC","",5,"Jun",[89],[90],"","","F"
361,"Metadata/NPC/League/Betrayal/BetrayalNinjaCopSafehouse","Jun, Veiled Master","Metadata/NPC/NPC","",5,"Jun",[89],[90],"","","F"
362,"Metadata/Monsters/LeagueBetrayal/MasterNinjaCopCatarina","Jun, Veiled Master","Metadata/NPC/NPC","",5,"Jun",[89],[90],"","","F"
363,"Metadata/Monsters/LeagueBetrayal/BetrayalCatarina2","Catarina, Master of Undeath","Metadata/Monsters/LeagueBetrayal/BetrayalCatarinaFinal","","","Catarina",[],[],"","","F"
364,"Metadata/NPC/Epilogue/Helena","Helena","Metadata/NPC/NPC","",3,"Helena",[24],[25],"",1,"F"
365,"Metadata/Monsters/LeagueBetrayal/MasterNinjaCopSafehouse","Jun, Veiled Master","Metadata/NPC/NPC","",5,"Jun",[89],[90],"","","F"
366,"Metadata/NPC/Info/LeagueBetrayal/CatarinaManifesto1","Lifegiver's Manifesto 1","Metadata/NPC/Info/StoryGlyphBase","","","",[],[],"","",""
367,"Metadata/NPC/Info/LeagueBetrayal/CatarinaManifesto2","Lifegiver's Manifesto 2","Metadata/NPC/Info/StoryGlyphBase","","","",[],[],"","",""
368,"Metadata/NPC/Info/LeagueBetrayal/CatarinaManifesto3","Lifegiver's Manifesto 3","Metadata/NPC/Info/StoryGlyphBase","","","",[],[],"","",""
369,"Metadata/NPC/Info/LeagueBetrayal/CatarinaManifesto4","Lifegiver's Manifesto 4","Metadata/NPC/Info/StoryGlyphBase","","","",[],[],"","",""
370,"Metadata/NPC/Info/LeagueBetrayal/CatarinaManifesto5","Lifegiver's Manifesto 5","Metadata/NPC/Info/StoryGlyphBase","","","",[],[],"","",""
371,"Metadata/NPC/League/Synthesis/SynthesisVenarius","Cavas, Forgotten Spirit","Metadata/NPC/NPC","","","Cavas",[91],[92],"","","M"
372,"Metadata/NPC/League/Synthesis/SynthesisVenariusWild","Cavas, Forgotten Spirit","Metadata/NPC/NPC","","","Cavas",[91],[92],"","","M"
373,"Metadata/NPC/League/Synthesis/SynthesisVenariusHideout","Cavas, Forgotten Spirit","Metadata/NPC/NPC","","","Cavas",[91],[92],"","","M"
374,"Metadata/NPC/League/Synthesis/SynthesisVenariusHub","Cavas, Forgotten Spirit","Metadata/NPC/NPC","","","Cavas",[91],[92],"","","M"
375,"Metadata/NPC/League/Synthesis/SynthesisZanaHub","Zana, Master Cartographer","Metadata/NPC/NPC","",6,"Zana",[51],[52],"","","F"
376,"Metadata/Monsters/LeagueSynthesis/SynthesisVenariusBoss","Venarius","Metadata/Monsters/LeagueSynthesis/SynthesisVenariusBoss","","","Venarius",[],[],"","","M"
377,"Metadata/NPC/League/Synthesis/SynthesisVenariusGuardian","Venarius","Metadata/NPC/NPC","","","Venarius",[],[],"","","M"
378,"Metadata/NPC/League/Synthesis/SynthesisVenariusTip","Venarius","Metadata/NPC/NPC","","","Venarius",[],[],"","","M"
379,"Metadata/NPC/League/Synthesis/SynthesisShaperTip","Valdo Caeserius","Metadata/NPC/NPC","","","Valdo",[],[],"","","M"
380,"Metadata/NPC/League/Synthesis/SynthesisZanaChildTip","Young Zana","Metadata/NPC/NPC","","","Young Zana",[],[],"","","F"
381,"Metadata/NPC/League/Synthesis/SynthesisZanaWild","Zana, Master Cartographer","Metadata/NPC/NPC","",6,"Zana",[51],[52],"","","F"
382,"Metadata/NPC/League/Synthesis/SynthesisZanaTip","Zana, Master Cartographer","Metadata/NPC/NPC","",6,"Zana",[51],[52],"","","F"
383,"Metadata/NPC/League/Synthesis/SynthesisCavasTip","Cavas, Forgotten Spirit","Metadata/NPC/NPC","","","Cavas",[],[],"","","M"
384,"Metadata/Monsters/LegionLeague/LegionKaruiGeneral","Queen Hyrri Ngamaku","Metadata/NPC/NPC","","","Hyrri Ngamaku",[],[],"","","F"
385,"Metadata/Monsters/LegionLeague/LegionEternalEmpireGeneral","General Marceus Lioneye","Metadata/NPC/NPC","","","Marceus Lioneye",[],[],"","","M"
386,"Metadata/Monsters/LegionLeague/LegionMarakethGeneral","Aukuna, the Black Sekhema","Metadata/NPC/NPC","","","Aukuna",[],[],"","","F"
387,"Metadata/Monsters/LegionLeague/LegionMarakethGeneralDismounted","Aukuna, the Black Sekhema","Metadata/NPC/NPC","","","Aukuna",[],[],"","","F"
388,"Metadata/Monsters/LegionLeague/LegionTemplarGeneral","Cardinal Sanctus Vox","Metadata/NPC/NPC","","","Sanctus Vox",[],[],"","","M"
389,"Metadata/Monsters/LegionLeague/LegionVaalGeneral","Viper Napuatzi","Metadata/NPC/NPC","","","Viper Napuatzi",[],[],"","","F"
390,"Metadata/NPC/Info/CraftingBenchPlaceholder","Crafting Bench","Metadata/NPC/NPC","","","",[],[],"","",""
391,"Metadata/NPC/League/Blight/BlightBuilder","Sister Cassia","Metadata/NPC/NPC","","","Cassia",[93],[94],"",1,"F"
392,"Metadata/Monsters/Masters/BlightBuilderWild","Sister Cassia","Metadata/Monsters/Masters/BlightBuilderWild","","","Cassia",[93],[94],"","","F"
393,"Metadata/NPC/League/Blight/BlightBuilderHideout","Sister Cassia","Metadata/NPC/NPC","","","Cassia",[93],[94],"",1,"F"
394,"Metadata/NPC/League/Metamorphosis/MetamorphosisNPC","Tane Octavius","Metadata/NPC/League/Metamorphosis/MetamorphosisNPC","","","Tane",[95],[96],"",1,"M"
395,"Metadata/NPC/League/Metamorphosis/MetamorphosisNPCHub","Tane Octavius","Metadata/NPC/League/Metamorphosis/MetamorphosisNPCHub","","","Tane",[95],[96],"","","M"
396,"Metadata/NPC/League/Metamorphosis/MetamorphosisNPCWild","Tane Octavius","Metadata/NPC/League/Metamorphosis/MetamorphosisNPCWild","","","Tane",[95],[96],"","","M"
397,"Metadata/NPC/League/Metamorphosis/MetamorphosisNPCHideout","Tane Octavius","Metadata/NPC/League/Metamorphosis/MetamorphosisNPCHideout","","","Tane",[95],[96],"",1,"M"
398,"Metadata/NPC/League/Harvest/HarvestNPCGardenTutorial","Oshabi","Metadata/NPC/NPC","","","Oshabi",[130],[131],"",1,"F"
399,"Metadata/Monsters/AtlasExiles/AtlasExile1","Baran, the Crusader","Metadata/NPC/NPC","","","Baran",[],[],"","","M"
400,"Metadata/Monsters/AtlasExiles/AtlasExile2","Veritania, the Redeemer","Metadata/NPC/NPC","","","Veritania",[],[],"","","F"
401,"Metadata/Monsters/AtlasExiles/AtlasExile3","Al-Hezmin, the Hunter","Metadata/NPC/NPC","","","Al-Hezmin",[],[],"","","M"
402,"Metadata/Monsters/AtlasExiles/AtlasExile4","Drox, the Warlord","Metadata/NPC/NPC","","","Drox",[],[],"","","M"
403,"Metadata/Monsters/AtlasExiles/AtlasExile5","Sirus, Awakener of Worlds","Metadata/NPC/NPC","","","Sirus",[],[],"","","M"
404,"Metadata/NPC/Epilogue/AtlasExile5PortalEscape","Sirus, Awakener of Worlds","Metadata/NPC/NPC","","","Sirus",[],[],"","","M"
405,"Metadata/Monsters/AtlasExiles/AtlasExile5Intruder","Sirus, Awakener of Worlds","Metadata/NPC/NPC","","","Sirus",[],[],"","","M"
406,"Metadata/NPC/Epilogue/Kirac","Commander Kirac","Metadata/NPC/NPC",30,6,"Kirac",[97],[98],22,1,"M"
407,"Metadata/NPC/Epilogue/KiracLab","Commander Kirac","Metadata/NPC/NPC","","","Kirac",[97],[98],22,1,"M"
408,"Metadata/NPC/Epilogue/KiracHideout","Commander Kirac","Metadata/NPC/NPC",30,6,"Kirac",[97],[98],22,1,"M"
409,"Metadata/Monsters/Masters/Kirac","Commander Kirac","Metadata/Monsters/Masters/Kirac","","","Kirac",[97],[98],22,1,"M"
410,"Metadata/Monsters/Masters/KiracReliquary","Commander Kirac","Metadata/Monsters/Masters/KiracReliquary","","","Kirac",[97],[98],22,1,"M"
