"rownum","Id","PositionX","PositionY","Waypoint_WorldAreasKey","WorldAreasKeys","Name (English)","Name (French)","Name (German)","Name (Japanese)","Name (Korean)","Name (Portuguese)","Name (Russian)","Name (Spanish)","Name (Thai)","Name (Traditional Chinese)","FlavourText (English)","FlavourText (French)","FlavourText (German)","FlavourText (Japanese)","FlavourText (Korean)","FlavourText (Portuguese)","FlavourText (Russian)","FlavourText (Spanish)","FlavourText (Thai)","FlavourText (Traditional Chinese)","[i32]","Act","string","[i32]","i32","i32","i32","i32","rid"
64,"5_2",230,350,"",[76],"The Control Blocks","Le Quartier de contrôle","Die Wachhäuser","奴隷管理区画","관리 구역","Blocos de Controle","Изолятор","Los Bloques de Control","บล็อกคุมขัง","鎮壓地帶","The illusion of control is swiftly severed by the blade of reality.","L'illusion du contrôle est promptement rompue par le glaive de la réalité.","Die Illusion von Kontrolle wird durchtrennt durch das Schwert der Realität.","管理の幻想は、現実の刃に速やかに断ち切られる。","통제의 허상이 현실이라는 칼날로 찰나에 잘려나갑니다.","A ilusão de controle é rapidamente decepada pela lâmina da realidade.","Видимость контроля быстро обрубает клинок реальности.","La ilusión del control es rápidamente amputada por el filo de la realidad.","อำนาจ​ลวงตา​ขาด​สะบั้น​ด้วย​คม​ของ​ความจริง","真相飛快的斬斷和平的假象。",[1040],5,"5_2",[1041],-16843010,-16843010,-16843010,-16843010,""
65,"5_3",406,224,77,[77],"Oriath Square","La Place d'Oriath","Oriaths Stadtplatz","オリアス広場","오리아스 광장","Praça de Oriath","Площадь Ориата","Plaza de Oriath","จัตุรัสโอริอาท","奧瑞亞大廣場","What was once the heart of the city is now the heart of the battle.","Ce qui était autrefois le cœur de la ville est désormais le cœur du conflit.","Einst das Herz der Stadt, nun das Herz der Schlacht.","かつて街の中心だった場所が、今や戦いの中心となった。","도시의 중심이었던 곳이 전장의 중심으로 바뀌었습니다.","O que já foi o coração da cidade agora é o coração da batalha.","Ранее сердце города, теперь же сердце битвы.","Lo que una vez era el corazón de la ciudad ahora es el corazón de la batalla.","สถานที่​ที่​เคย​เป็น​ใจกลาง​เมือง\r\nบัดนี้​คือ​ใจกลาง​สงคราม","曾經是城市的命脈，如今已幻化戰火沙場。",[1041],5,"5_3",[1042],1071,0,0,0,""
66,"5_3b",406,224,78,[78],"The Ruined Square","La Place délabrée","Der verwüstete Stadtplatz","破壊された広場","멸망한 광장","Praça Arruinada","Разрушенная площадь","La Plaza Arruinada","จัตุรัสย่อยยับ","大廣場廢墟","Oriath's bleeding heart is the main course in a terrible feast.","L'apothéose sanguinolente de la liberté.","Oriaths blutendes Herz als Hauptgang in einem schrecklichen Festmahl.","オリアスの流血する心臓は、恐ろしい饗宴のメインコースである。","피로 얼룩진 오리아스의 심장이 끔찍한 연회에 주요리로 올라갑니다.","O coração sangrento de Oriath é o prato principal em um terrível banquete.","Кровоточащее сердце Ориата — главное блюдо на страшном пиру.","El corazón sangrante de Oriath es el plato principal de un horrible festín.","หัวใจ​หลัก​ที่​หลั่งเลือด​ของ​โอริอาท\r\nเป็น​อาหาร​จานหลัก​ใน​พิธีเลี้ยง​แสน​สยอง","奧瑞亞淌血的心是這場盛宴的主餐。","[1045,0,0]",5,"5_3b",[1043],-16843010,-16843010,-16843010,-16843010,""
67,"5_4",720,440,79,[79],"The Templar Courts","Le Tribunal des Templiers","Das Templergericht","テンプラーの裁判所","템플러의 법정","Corte Templária","Суды жрецов","Las Cortes de los Templarios","ศาลเทมพลาร์","神聖大教堂","Only those with faithful eyes may enter these solemn chambers unbidden.","Seuls ceux qui contemplent la vérité avec des yeux pieux pénètrent cette enceinte solennelle de leur plein gré.","Jene, die den Glauben nicht in sich tragen, sind in diesen ehrwürdigen Kammern unerwünscht.","敬虔な目を持つ招かれざる者だけが、この厳粛な部屋に入ることができるのです。","믿음이 충만한 눈길을 가진 자만이 이 엄숙한 방에 들어갈 수 있습니다.","Apenas aqueles com olhos fieis podem entrar nestas câmaras solenes voluntariamente.","Незваным в эти торжественные залы можно войти только с верой в глазах.","Solo aquellos con ojos de fe podrán entrar a estos solemnes aposentos sin invitación.","มี​เพียง​ผู้​ที่​มี​ดวงตา​เปี่ยม​ศรัทธา​เท่านั้น\r\nที่​เข้า​สู่​โถงอัน​เป็น​ทางการ​ได้​โดย​มิ​ได้​รับเชิญ","只有用忠誠的雙眼才能進入這莊嚴的房間。",[1042],5,"5_4",[1044],1071,0,0,0,""
68,"5_4b",720,440,"",[80],"The Torched Courts","Le Tribunal incendié","Das entflammte Gericht","焼けた裁判所","타오르는 법정","Corte Incendiada","Подожжённые суды","Las Cortes Incendiadas","ศาลมอดไหม้","焚燒大教堂","Fuelled by blood and chaos, a dark inferno engulfs the halls of justice.","Alimenté par le sang et le chaos, un brasier infernal engloutit le palais de justice.","Blut und Chaos nähren das dunkle Inferno, das die Hallen der Gerechtigkeit verschlingt.","血と混沌に熾され、闇の炎が正義の殿堂を飲み込む。","피와 혼돈을 머금은 어둠의 지옥불이 법정을 메우고 있습니다.","Carregado por sangue e caos, um inferno sombrio engole os salões da justiça.","Палаты правосудия объяты тёмным пламенем, которое питают кровь и хаос.","Alimentado con sangre y caos, un oscuro infierno engulle los pasillos de la justicia.","เลือด​และ​ความ​โกลาหล​เป็น​เชื้อไฟ\r\nให้​เพลิง​นรก​ปกคลุม​หอ​แห่ง​ความ​ยุติธรรม","用鮮血和混亂做為燃料，黯獄業火吞噬正義大廳。",[1071],5,"5_4b",[1045],-16843010,-16843010,-16843010,-16843010,""
69,"5_5",660,505,81,[81],"The Chamber of Innocence","La Chambre de l'innocence","Die Kammer der Unschuld","イノセンスの間","결백의 방","Câmara de Innocence","Обитель Невинности","El Aposento de Inocencia","โถงแห่งอินโนเซน","無罪之室","In this holiest of sanctums, the High Templar communes with God and delivers His divine judgement.","Dans ce sanctuaire des plus sacrés, le Haut Templier communie avec Dieu et rend Son jugement divin.","In diesem heiligsten aller Heiligtümer tritt der Hohe Templer vor den Allmächtigen und verkündet sein göttliches Urteil.","この最も神聖な場所で、ハイテンプラーは神と交わり、神の審判を下す。","지극히 성스러운 이 방에서 고위 템플러가 신의 입을 빌려 신성한 심판을 대언합니다.","No santuário mais sagrado, o Alto Templário comunga com Deus e entrega Seu divino julgamento.","В этой святейшей обители верховный жрец общается с Господом и слышит Его божественный приговор.","En el más sagrado de los santuarios, el Alto Templario comulga con Dios y entrega Su divino juicio.","ณ สถาน​นี้​ที่​ศักดิ์สิทธิ์​กว่า​แห่ง​ใด\r\nเทมพลาร์​ระดับ​สูง​สนทนา​กับ​พระเจ้า\r\nและ​มอบ​คำพิพากษา​ศักดิ์สิทธิ์​ของ​พระองค์","在最神聖的聖堂，大聖宗與神交談並傳達聖旨。",[1044],5,"5_5",[1046],-16843010,-16843010,-16843010,-16843010,""
70,"5_6",687,150,"",[82],"The Ossuary","L'Ossuaire","Das Ossuarium","納骨堂","납골당","O Ossuário","Костница","El Osario","สถานเก็บกระดูก","葬骨禮堂","The faithful dead watch over the city with hollow eyes.","De leur regard évidé, les loyaux défunts veillent sur la ville.","Die Gefallenen Oriaths, nunmehr stumme Zeugen.","信心深い死者が、虚ろな目で街を見守っている。","독실한 망자가 텅 빈 눈으로 도시를 바라봅니다.","Os fieis mortos vigiam a cidade com olhos vazios.","Усопшие верующие пустыми глазницами взирают на город.","Los fieles muertos vigilan la ciudad con ojos huecos.","ศพ​ผู้​ศรัทธา​ยัง​เฝ้า​มอง​เมือง\r\nด้วย​ตา​อัน​กลวงเปล่า","忠誠的死侍用空洞的雙眼堅守這個城市。","[1043,0]",5,"5_6",[1047],-16843010,-16843010,-16843010,-16843010,""
71,"5_7",326,418,83,[83],"The Reliquary","Le Reliquaire","Die Reliquienkammer","聖廟","성유물 보관실","O Relicário","Реликварий","El Relicario","สถานเก็บวัตถุเก่าแก่","聖物間","A trove of shameful relics displayed with pride.","Un butin de reliques honteuses, exhibées avec fierté.","Erinnerungen der Schande, vor Stolz triefend zur Schau gestellt.","誇らしげに展示された恥ずべき遺物の宝庫。","수치스러운 유물들이 상자에 담겨 버젓이 전시되어 있습니다.","Um tesouro com relíquias vergonhosas exibidas com orgulho.","Здесь гордо являют постыдную память.","Una colección de reliquias vergonzosas mostradas con orgullo.","โบราณวัตถุ​น่าอาย\r\nแสดง​ไว้​อย่าง​ภาคภูมิ","可恥的珍品與自尊共同展示。","[1043,0]",5,"5_7",[1048],-16843010,-16843010,-16843010,-16843010,""
72,"5_8",340,130,84,[84],"The Cathedral Rooftop","Le Toit de la cathédrale","Das Kathedralendach","大聖堂の屋上","대성당 옥상","Telhado da Catedral","Крыша собора","El Techo de la Catedral","ดาดฟ้าโบสถ์","聖堂屋頂","Atop this burning monument to arrogance, Oriath's final hope remains.","Au sommet de ce monument d'arrogance en flammes, le dernier espoir d'Oriath subsiste.","Das brennende Symbol der Arroganz birgt Oriaths letzte Hoffnung.","この燃える傲慢な記念碑に、オリアス最後の希望が残されている。","오만함을 상징하는 건물이 불타는 가운데, 오리아스의 마지막 희망이 상부에 남아있습니다.","No topo deste monumento em chamas de arrogância, resta a última esperança de Oriath.","Последняя надежда Ориата зиждется на его горящем памятнике высокомерия.","En lo alto de este ardiente monumento a la arrogancia permanece la última esperanza de Oriath.","เหนือ​สัญลักษณ์​แห่ง​ความ​เย่อ​หยิ่ง\r\nความหวัง​สุดท้าย​ของ​โอริอาท​ยัง​คง​อยู่","站在焚燒中自負的，奧瑞亞最後的希望仍然存在。",[1043],5,"5_8",[1049],-16843010,-16843010,-16843010,-16843010,""
73,"6_town",195,475,85,[85],"Lioneye's Watch","Le Guet d'Œil de Lion","Löwenauges Wacht","ライオンアイの見張り場","라이온아이 초소","Vigília de Lioneye","Застава Львиного глаза","La Vigilancia de Lioneye","หอสังเกตการณ์ไลออนอาย","獅眼守望","The shivering tides bring little hope, only desperation and despair.","Les marées tremblotantes n'apportent que peu d'espoir, mais plutôt de la détresse et de la déception.","Die eiskalten Strömungen bringen nicht die ersehnte Hoffnung, sondern nur bittere Verzweiflung.","震える潮の流れは、少しの希望をももたらさず、ただ絶望をもたらす。","차디찬 물결이 희망 대신 절망과 좌절을 몰고 옵니다.","As marés arrepiantes trazem pouca esperança, apenas desespero e agonia.","В плеске волн почти не слышна надежда.  Он полон отчаяния и безнадежности.","Las tiritantes mareas traen poca esperanza, solo desesperación y angustia.","กระแส​อัน​​สั่นเทา​ไม่​ให้​ความหวัง​นัก\r\nมี​แต่​ความ​จนตรอก​และ​ความสิ้นหวัง​เท่านั้น","顫抖的潮水帶來渺小的希望，只剩絕望和恐懼。",[],6,"6_town",[1138],-16843010,-16843010,-16843010,-16843010,""
74,"6_1",176,520,"",[86],"The Twilight Strand","Le Rivage du crépuscule","Die Zwielichtküste","黄昏の岸辺","황혼의 해안","Costa do Crepúsculo","Сумрачное взморье","El Litoral Crepuscular","ชายฝั่งสนธยา","絕望岩灘","Those that now wash ashore seek no warmth or shelter, only to fill a bottomless void of pain and hunger.","Ceux qui s'y échouent ne cherchent ni foyer, ni abri ; seulement de quoi rassasier un gouffre insondable de douleur et de faim.","Die, die nun angespült werden, suchen nicht nach Wärme und Geborgenheit, sondern nur danach, die endlose Leere des Leids und Hungers zu füllen.","今漂着した者たちは、温もりや避難場所を求めず、ただ痛みと飢えの底なしの虚を埋める。","바닷가에 밀려오는 자들은 온기나 거처보다, 끝이 보이지 않는 고통과 배고픔을 마주하게 될 것입니다.","Aqueles que naufragam não buscam calor ou abrigo, apenas querem preencher um vazio sem fim de dor e fome.","Вынесенные на берег больше не ищут тепло и кров.\r\n Они хотят лишь наполнить бездну голода и боли.","Aquellos que el mar arrastra a la orilla no buscan calor ni refugio, solo llenar un vacío sin fondo de dolor y hambre.","ตอนนี้​ผู้​ขึ้น​ฝั่ง​ไม่​ต้องการ​ความ​อบอุ่น​หรือ​ที่​พักพิง\r\nพวกเขา​ใฝ่​หา​การ​เยียวยา​ความ​เจ็บปวด\r\nและ​ความ​หิวโหย​อัน​มาก​ล้น","那些被沖到岸上的人，不再尋求溫飽與庇護所，只求填滿無底空虛的苦痛和飢餓。",[1138],6,"6_1",[1139],-16843010,-16843010,-16843010,-16843010,""
75,"6_2",200,420,87,[87],"The Coast","La Côte","Die Küste","海岸","해안 지대","A Costa","Побережье","La Costa","ชายหาดริมฝั่ง","暮光海灘","The Ancestors return to conquer these shores once again.","Les Ancêtres reviennent encore une fois à la conquête de ces rivages.","Und wieder kehren die Ahnen zur Eroberung dieser Ufer zurück.","この海岸を今一度征服するため、先祖たちは帰還する。","선조들이 다시금 해안을 취하기 위해 돌아올 것입니다.","Os Ancestrais retornam para conquistar os litorais mais uma vez.","Предки вернулись, чтобы вновь покорить эти берега.","Los Ancestros vuelven para conquistar estas costas nuevamente.","บรรพชน​ทั้งหลาย​\r\nกลับ​มา​พิชิต​ชายฝั่ง​เหล่านี้​อีก​ครา","先祖回歸，再次征服這個海岸。",[1138],6,"6_2",[1140],-16843010,-16843010,-16843010,-16843010,""
76,"6_3",240,450,"",[88],"The Tidal Island","La Presqu'île","Die Gezeiteninsel","陸続きの島","물결 섬","Ilha da Maré","Прибрежный остров","La Isla de la Marea","เกาะชายทะเล","海潮孤島","As the tide rises, hope is drowned.","Alors que la marée monte, l'espoir se noie.","Wo sich die Flut erhebt, wird die Hoffnung ertränkt.","潮が満ち、希望が溺れる。","수면이 높아질수록 희망은 가라앉습니다.","Conforme a maré aumenta, a esperança se afoga.","Чем выше прилив, тем глубже погружается надежда.","Según sube la marea, se ahoga la esperanza.","เมื่อ​น้ำ​ขึ้น ความ​หวัง​ก็จม","潮水湧起，希望退卻。",[1140],6,"6_3",[1141],-16843010,-16843010,-16843010,-16843010,""
77,"6_4",235,380,"",[89],"The Mud Flats","La Vasière","Die Morastebenen","ぬかるみの干潟","갯벌","Lamaçal","Илистые низины","Las Marismas Embarradas","ที่ราบดินโคลน","炙熱鹽沼","Mud and blood make a fine war paint.","Le sang et la boue font d'excellentes peintures de guerre.","Eine gute Kriegsbemalung bestand schon immer aus Blut und Dreck.","泥と血が精巧な戦争画を描く。","진흙과 피를 얼굴에 발라 전투에 임합니다.","Lama e sangue fazem uma bela tinta de guerra.","Из грязи и крови выходит отличная боевая раскраска.","El barro y la sangre forman una buena pintura de guerra.","โคลน​และ​เลือด\r\nเหมาะ​แก่​การ​ทา​ตัว​เพื่อ​ออก​ศึก​ยิ่ง","穢土和鮮血是戰爭最美的風景。",[1140],6,"6_4",[1142],-16843010,-16843010,-16843010,-16843010,""
78,"6_5",180,345,"",[90],"The Karui Fortress","La Forteresse karuie","Die Karui-Feste","カルイの要塞","카루이 요새","Fortaleza Karui","Крепость каруи","La Fortaleza Karui","ปราการคารุย","卡魯堡壘","The waters here, once stagnant and foul, now run clear with an ancient bloodlust.","Les eaux de ces lieux, autrefois croupies et nauséabondes, s'écoulent désormais imprégnées d'une soif de sang.","Einst abgestandene und faulige Gewässer wurden zu einem reißenden Fluss aus Blut und Gier.","かつて淀み、汚れたこの水は今、古代の血の渇きと共に清らかに流れる。","한때 고여서 썩어가던 물. 한바탕 고대의 살육이 일어난 후 맑게 흐르고 있습니다.","As águas aqui, que já foram paradas e sujas, agora correm límpidas com um desejo ancestral por sangue.","Здешние стоячие и затхлые воды очистила древняя жажда крови.","Las aguas de este lugar, que alguna vez estuvieron estancadas y fétidas, ahora fluyen libremente con una antigua ansia de sangre.","น้ำ​ที่นี่​เคย​ท่วม​ขัง​และ​เหม็น​เน่า\r\nกลับ​ไหล​ผ่าน​อย่าง​สะอาด​ใส\r\nด้วย​ความ​กระหายเลือด​แต่​โบราณ","這裡的水，本是汙濁與死寂，現在古老嗜血之力將血洗這灘水。",[1142],6,"6_5",[1143],-16843010,-16843010,-16843010,-16843010,""
79,"6_6",176,265,91,[91],"The Ridge","La Crête","Der Bergrücken","尾根","산등성이","A Cordilheira","Хребет","La Cresta","สันเขา","破碎山脊","The air is thin, the way is narrow.","L'air est rare ; le passage, étroit.","Die Luft ist dünn, der Pfad ist schmal.","空気は薄く、道は狭い。","산소는 부족하며, 길은 좁다랗습니다.","O ar está fino, o caminho, estreito.","Скуден воздух, узок путь.","El aire es escaso, el camino es estrecho.","อากาศ​เบาบาง เส้นทาง​แคบ","空氣非常稀薄，道路昏暗狹窄。",[1143],6,"6_6",[1144],-16843010,-16843010,-16843010,-16843010,""
80,"6_7",210,200,92,"[92,93]","The Prison","La Prison","Das Gefängnis","監獄","수용소","A Prisão","Тюрьма","La Prisión","เรือนจำ","禁靈之獄","Echoes of the past bring new life to an old experiment.","Les échos du passé instillent une nouvelle vie à un ancien sujet d'expérience.","Erinnerungen an vergangene Zeiten hauchen einem alten Experiment neues Leben ein.","過去の反響が、古い実験に新しい命を吹き込む。","과거의 메아리가 낡은 시험체에 생명을 불어넣고 있습니다.","Ecos do passado trazem nova vida a um antigo experimento.","Отзвуки прошлого вдохнули новую жизнь в старый эксперимент.","Ecos del pasado le traen nueva vida a un viejo experimento.","เสียงสะท้อน​จาก​อดีต\r\nนำ​ชีวิต​ใหม่​ไป​สู่​การทดลอง​เก่า","過往的回音，為古老的經驗注入新的生命。",[1144],6,"6_7","[1145,0]",-16843010,-16843010,-16843010,-16843010,""
81,"6_8",270,200,94,[94],"Prisoner's Gate","La Porte du Prisonnier","Gefangenenpforte","囚人の門","죄수의 문","Portões da Prisão","Врата заключённых","La Puerta del Prisionero","ทางผ่านนักโทษ","監獄大門","The hunting grounds of a cloven god.","Le terrain de chasse d'un dieu fourchu.","Die Jagdgründe eines gespaltenen Gottes.","双蹄の神の狩場。","갈라진 신의 사냥터.","As terras de caça do deus gretado.","Охотничьи угодья раздвоенного бога.","Los cotos de caza de un dios hendido.","พื้น​ที่​ล่า​ของ​เทพ​มี​กีบ","分裂之神的狩獵場。","[1145,0]",6,"6_8",[1147],-16843010,-16843010,-16843010,-16843010,""
82,"6_9",280,150,95,[95],"The Western Forest","La Forêt occidentale","Der Westwald","西の森","서쪽 숲","Floresta Ocidental","Западный лес","El Bosque del Oeste","ป่าตะวันตก","西部密林","What madness flitters and creeps through the darkened trees?","Quelle sorte de folie rôde et s'agite entre les arbres noirs ?","Welch' Wahnsinn kreucht und fleucht durch die finsteren Bäume?","暗い森の中で、どんな狂気が飛び交い、忍び寄るのか。","어두운 나무 사이로 스며들어 기어 다니는 광기의 정체는 무엇일까요?","Quais loucuras tremulam e rastejam pelas florestas escuras?","Что за безумие ползает и скачет по мрачным древам?","¿Qué locura aletea y se arrastra entre los oscuros árboles?","ความ​บ้าคลั่ง​อะไร​บินโฉบ\r\nและ​คืบคลาน​อยู่​ใน​ต้นไม้​ที่​มืดมน​เล่า?","甚麼樣的瘋狂在黯然的樹中穿梭。",[1147],6,"6_9",[1148],-16843010,-16843010,-16843010,-16843010,""
83,"6_10",370,180,96,[96],"The Riverways","Les Cours d'eau","Die Flussläufe","川沿いの道","강변길","Caminhos Fluviais","Пойма реки","Las Vías del Río","ทางแม่น้ำ","河道","These violent waters carry portents of death.","Ces eaux violentes sont porteuses de présages funestes.","Diese gewaltigen Ströme tragen das Omen des Todes mit sich.","この凶暴な水は、死の予兆を運ぶ。","물이 세차게 흐르며 죽음의 전조를 몰고 다닙니다.","Estas águas violentas carregam avisos de morte.","Эти жестокие воды несут знамения смерти.","Estas violentas aguas llevan portentos de muerte.","กระแสน้ำ​อัน​เกรี้ยวกราด\r\nนำพา​มา​ซึ่ง​ลาง​มรณะ","猛烈的水帶著死亡的徵兆。",[1148],6,"6_10",[1149],-16843010,-16843010,-16843010,-16843010,""
84,"6_11",350,130,"",[97],"The Wetlands","Les Paluns","Die Feuchtlande","湿地","습지대","Terras Inundadas","Топь","Los Humedales","แดนน้ำขัง","濕地","A corpulent grub flails mindlessly, infesting the putrescent muck.","Une larve corpulente s'agite convulsivement et infeste la boue putride.","Eine korpulente Larve schlägt hirnlos um sich herum und verseucht den faulenden Dreck.","太った地虫が無心で這い回り、腐敗した泥に群がる。","살찐 유충이 부산히 움직이며 썩은 오물을 흩뿌리고 다닙니다.","Um verme corpulento vaga sem pensar, infestando a sujeira putrescente.","Жирная личинка бессмысленно бьётся, заражая гниющую жижу.","Una larva corpulenta se sacude sin motivo e infecta el pútrido fango.","ตัวอ่อน​อ้วน​ท้วน​ดิ้น​อย่าง​ไร้สำนึก\r\nแพร่ระบาด​ใน​โคลนตม​ที่​เน่าเปื่อย","豐滿的蠐螬無腦的蠕動著，侵害著腐肉泥地。",[1149],6,"6_11",[1150],-16843010,-16843010,-16843010,-16843010,""
85,"6_12",450,200,98,[98],"The Southern Forest","La Forêt méridionale","Der Südwald","南の森","남쪽 숲","Floresta do Sul","Южный лес","El Bosque del Sur","ป่าใต้","南部森林","Insidious pupa populate under sweltering heat.","Des pupes insidieuses résident sous la chaleur accablante.","Verpuppte Gemeinheiten brüten in schwelender Hitze.","うだるような暑さの中、狡猾な蛹が生息している。","찌는 듯한 더위 속에 번데기가 몸뚱이를 숨긴 채 살아갑니다.","Uma crisália insidiosa se reproduz sob o calor sufocante.","Под душной сенью резвятся вероломные нимфы.","Crisálidas insidiosas pueblan bajo el calor sofocante.","ดักแด้​เจ้าเล่ห์​แพร่พันธุ์\r\nภายใต้​ความร้อน​อบอ้าว","險惡的怪物隱藏在悶熱地氣下。",[1149],6,"6_12",[1151],-16843010,-16843010,-16843010,-16843010,""
86,"6_13",460,250,"",[99],"The Cavern of Anger","La Caverne de la Colère","Die Kaverne der Wut","怒りの洞窟","분노의 암굴","A Caverna da Cólera","Пещера злобы","La Caverna de Rabia","ถ้ำโทสะ","忿怒山洞","Stalactites drip in mourning for an ocean queen.","Les stalactites versent des larmes de deuil pour une reine de l'océan.","Stalaktiten weinen um eine Seekönigin.","海の女王を弔うように鍾乳石から雫が落ちる。","종유석이 바다의 여왕을 애도하며 눈물방울을 떨어트립니다.","Estalactites gotejam em luto por uma rainha do oceano.","Сталактиты плачут, скорбя по морской царице.","Las estalactitas gotean en duelo por una reina del océano.","หินย้อย​หยด​น้ำตา​ให้​กับ​ราชินีสมุทร","鐘乳石靜靜的滴著淚悼念海洋的王后。",[1151],6,"6_13",[1152],-16843010,-16843010,-16843010,-16843010,""
87,"6_14",540,250,100,[100],"The Beacon","Le Phare","Der Leuchtturm","ビーコン","등대","O Farol","Маяк","El Faro","ประภาคาร","絕望烽塔","An echo of destiny consumes the land.","Un écho du destin ravage le pays.","Ein Nachhall des Schicksals vereinnahmt das Land.","運命の響きが、大地を飲み込む。","운명의 메아리가 대지를 집어삼킵니다.","Um eco do destino consome a terra.","Край накрывает эхо судьбы.","Un eco del destino consume la tierra.","เสียง​ก้อง​แห่ง​ชะตา​กลืน​กิน​แผ่นดิน","命運的回響侵蝕著大陸。",[1152],6,"6_14",[1153],-16843010,-16843010,-16843010,-16843010,""
88,"6_15",714,197,101,[101],"The Brine King's Reef","Le Récif du Roi des Embruns","Das Riff des Gischtkönigs","海水の王の岩礁","염수왕의 암초","Recife do Rei da Salmoura","Риф Морского царя","El Arrecife del Rey del Mar","โขดหินราชันน้ำเค็ม","海洋王堡礁","A coral throne for a salt-soured god.","Un trône de corail pour un dieu rongé par le sel.","Ein Korallenthron für einen gepökelten Gott.","塩酢漬けの神のための珊瑚の玉座。","소금에 화한 신을 받드는 산호 옥좌.","Um trono de coral para um deus salgado.","Коралловый трон покрытого солью бога.","Un trono de coral para un dios salado.","บัลลังก์​หินปะการัง​แด่​ราชัน​ผู้​อาบ​เกลือ","屬於海神的珊瑚王座。",[1153],6,"6_15",[1154],-16843010,-16843010,-16843010,-16843010,""
89,"7_town",675,218,102,[102],"The Bridge Encampment","Le Campement du pont","Das Brückenlager","橋の野営地","다리 야영지","Acampamento da Ponte","Лагерь на мосту","El Campamento del Puente","ค่ายสะพาน","橋墩營地","Surviving rodents cling tight to cracks found in the masonry.","Les rongeurs rescapés se cramponnent aux fissures qu'ils trouvent dans la maçonnerie.","Überlebende Nager klammern sich fest an Rissen im Mauerwerk.","生き残りの鼠は、見つけた石造りの隙間にしがみつく。","쥐들은 돌벽의 갈라진 틈을 부여잡고 살아갑니다.","Roedores sobreviventes se agarram em rachaduras encontradas na maçonaria.","Грызуны цепляются за трещины в кладке, как за саму жизнь.","Los roedores sobrevivientes se aferran a grietas en la mampostería.","หนู​ที่​รอด​อยู่​เกาะแน่น\r\nใน​ซอก​รอย​ร้าว​ของ​สะพานหิน","倖存的鼠輩，緊抓石工縫隙。",[],7,"7_town",[1254],-16843010,-16843010,-16843010,-16843010,""
90,"7_1",617,234,"",[103],"The Broken Bridge","Le Pont brisé","Die zerstörte Brücke","壊れた橋","부서진 다리","Ponte Quebrada","Разрушенный мост","El Puente Destrozado","สะพานหัก","河畔斷橋","The stonework trembles atop this petrified land.","Un édifice tremblant, niché sur ces terres pétrifiées.","Oberhalb dieser Lande erzittert das Mauerwerk.","この石化した大地の上で、石造りが震える。","석화된 땅 위에, 흔들리는 석조물이 버티고 있습니다.","As pedras tremem no topo desta terra petrificada.","Кладка колеблется, силясь удержаться на оцепеневшей земле.","La mampostería tiembla en lo alto de esta tierra petrificada.","สะพาน​หิน​นี้\r\nสั่นไหว​เหนือ​ผืน​ดิน​แน่นิ่ง","石造體在發獃的大地上顫抖著。",[1254],7,"7_1",[1255],-16843010,-16843010,-16843010,-16843010,""
91,"7_2",587,322,104,[104],"The Crossroads","La Croisée des chemins","Die Wegkreuzung","十字路","갈림길","Encruzilhada","Перекрёсток","La Encrucijada","ทางแพร่ง","危機叉路","Ancient cruelty tears through the cobbled intersection.","Une cruauté du passé dévaste l'intersection pavée.","Uralte Grausamkeiten ziehen durch diese gepflasterte Kreuzung.","太古の残酷さが、石畳の交差点を切り裂く。","잔혹했던 과거. 자갈 깔린 교차로 사이마다 아롱지다.","A crueldade ancestral dilacera através da intersecção pavimentada.","Через камни перекрёстка сочится застарелая жестокость.","La antigua crueldad se abre paso a través de la empedrada intersección.","ความ​โหดร้าย​แต่​โบราณกาล\r\nฉีก​ผ่าน​ทางแยก​หินกรวด​นี้","殘酷撕裂佈滿鵝卵石的交叉路口。",[1255],7,"7_2",[1256],-16843010,-16843010,-16843010,-16843010,""
92,"7_3",663,402,"",[105],"The Fellshrine Ruins","Les Ruines du sacrilège","Die Kriegsschrein-Ruinen","フェルシュラインの遺跡","몰락한 성소 유적","Ruínas do Santuário Caído","Руины осквернённой святыни","Las Ruinas del Santuario caído","ซากปรักหักพังเฟลไชร์น","墮道遺跡","A spirit of sadism blemishes the earth.","Un spectre de sadisme souille la terre.","Eine sadistische Seele verunstaltet die Erde.","サディズムの精神が大地を汚す。","가학적인 혼백이 대지를 더럽히고 있습니다.","Um espírito de sadismo mancha a terra.","Землю пропитал дух садизма.","Un espíritu de sadismo mancha la tierra.","วิญญาณ​ซาดิสต์​แปดเปื้อน​ผืนโลก","虐待者的靈魂玷辱著大地。",[1256],7,"7_3",[1257],-16843010,-16843010,-16843010,-16843010,""
93,"7_4",739,414,106,[106],"The Crypt","La Crypte","Die Krypta","地下聖堂","지하실","Cripta","Склеп","La Cripta","สุสาน","靜謐陵墓","Ancestral memories given life, then soured.","Des souvenirs ancestraux à qui on a donné la vie, puis qui ont flétri.","Uralten Erinnerungen Leben eingehaucht, die dann verbitterten.","先祖の記憶に命が与えられ、そして歪められる。","되살아났다가 이내 사그라든 선대의 추억들.","Memórias ancestrais de volta à vida, depois enfurecidas.","Древней памяти даны жизнь и злоба.","Las memorias ancestrales cobran vida y luego se echan a perder.","ความทรงจำ​บรรพชน​ที่​มี​ชีวิต\r\nแล้ว​ขุ่นเคือง","古老記憶重獲生機，緊接而來的僅是在次餿壞。",[1257],7,"7_4",[1258],-16843010,-16843010,-16843010,-16843010,""
