"rownum","Id","i32","[i32]","UnlockType (English)","UnlockType (French)","UnlockType (German)","UnlockType (Japanese)","UnlockType (Korean)","UnlockType (Portuguese)","UnlockType (Russian)","UnlockType (Spanish)","UnlockType (Thai)","UnlockType (Traditional Chinese)","CraftingItemClassCategories","ObtainingDescription (English)","ObtainingDescription (French)","ObtainingDescription (German)","ObtainingDescription (Japanese)","ObtainingDescription (Korean)","ObtainingDescription (Portuguese)","ObtainingDescription (Russian)","ObtainingDescription (Spanish)","ObtainingDescription (Thai)","ObtainingDescription (Traditional Chinese)"
30,"JunDamagePerPowerCharge",1,[1],"Damage per Power Charge","Dégâts par Charge de pouvoir - Rang","Schaden pro Energie-Ladung","パワーチャージごとにダメージ","권능 충전 하나당 피해","Dano por Carga de Poder","Урон за заряд энергии","Daño por cada carga de poder","ความเสียหาย ตามจำนวน Power Charge","每顆暴擊球傷害","[0,1,2,3]","Unveiling weapons","Décryptez des armes","Enthüllen: Waffen","アンヴェール: 武器","무기 장막 해제","Revelando armas","Нераскрытое свойство оружия","Desencriptando armas","เปิดผนึก อาวุธ","揭露武器"
31,"JunDamagePlusPercentWithNonVaalSkillsDuringSoulGainPrevention",1,"[1,1,1]","Damage with Non-Vaal Skills during Soul Gain Prevention - Rank","Dégâts avec les Aptitudes non vaal pendant l'Empêchement de gain d'Âmes - Rang","Schaden mit Fertigkeiten (Vaal-Fertigkeiten ausgenommen) während der 'Kein Seelenerhalt'-Dauer - Rang","ソウル獲得不能中の非ヴァールスキルのダメージ - ランク","영혼 획득 방지 도중 비-바알 스킬 피해 회피 - 단계","Dano com Habilidades Não-Vaal durante a Anulação do Ganho de Almas - Rank","Урон не-ваал умениями во время действия предотвращения получения душ - уровень","Daño con las habilidades que no son vaal durante la prevención de obtención de almas - Nivel","ความเสียหายด้วย สกิลที่ไม่ใช่วาล์ ขณะที่มีสถานะ ห้ามเก็บวิญญาณ - อันดับ","停止獲得靈魂期間內非瓦爾技能傷害－階級","[8,7]","Unveiling boots or gloves","Décryptez des bottes ou des gants","Enthüllen: Stiefel oder Handschuhe","アンヴェール: 靴または手袋","장화, 장갑 장막 해제","Revelando botas ou luvas","Нераскрытое свойство сапог и перчаток","Desencriptando botas o guantes","เปิดผนึก รองเท้าหรือถุงมือ","揭露腰帶或手套"
32,"JunDamageRemovedFromManaBeforeLifeWhileFocused",1,[1],"Damage taken from Mana before Life while Focused","Les Dégâts retirent du Mana avant de retirer de la Vie pendant la Focalisation","Erlittener Schaden wird zuerst vom Mana abgezogen, während Ihr fokussiert seid","フォーカス中、ダメージをライフに代わりマナで受ける","집중하는 동안 피해를 받으면 생명력 대신 마나 소모","Dano sofrido na Mana antes da Vida enquanto Concentrado","Пока вы сфокусированы, урон берется сначала из маны вместо здоровья","El daño se toma del maná antes que de la vida mientras estás concentrado","รับความเสียหายด้วย มานา ก่อน พลังชีวิต ขณะที่มีสถานะ ตั้งสมาธิ","專注時生命所受傷害由魔力扣除",[6],"Unveiling body armour","Décryptez des armures","Enthüllen: Körperrüstungen","アンヴェール: 鎧","갑옷 장막 해제","Revelando peitorais","Нераскрытое свойство нательных доспехов","Desencriptando armaduras","เปิดผนึก เสื้อเกราะ","揭露身體護甲"
33,"JunDamageWhileLeeching",1,"[1,1]","Damage while Leeching - Rank","Dégâts pendant le Drain - Rang","Schaden während des Raubs - Rang","リーチ中のダメージ - ランク","흡수하는 동안 피해 - 단계","Dano enquanto Drenando - Rank","Урон во время похищения - уровень","Daño mientras absorbes - Nivel","เพิ่มความเสียหายขณะ ดูด - อันดับ","偷取時傷害－階級","[7,10]","Unveiling certain gloves or amulets from Vorici","Décryptez certains gants ou certaines amulettes de Vorici","Enthüllen: bestimmte Handschuhe oder Amulette von Vorici","アンヴェール: ヴォリーチから得られる特定の手袋またはアミュレット","보리치의 특정 장갑, 목걸이 장막 해제","Revelando certas luvas ou amuletos do Vorici","Нераскрытое свойство отдельных перчаток и амулетов Воричи","Desencriptando ciertos guantes o amuletos de Vorici","เปิดผนึก ถุงมือหรือสร้อย ที่ได้จาก วอรีชี ที่กำหนด","揭露瓦里西特定手套或項鍊"
34,"JunDexterityAndIntelligence",1,"[1,1,1]","Dexterity and Intelligence - Rank","Dextérité et Intelligence - Rang","Geschick und Intelligenz - Rang","器用さおよび知性 - ランク","민첩과 지능 - 단계","Destreza e Inteligência - Rank","Ловкость и интеллект - уровень","Destreza e inteligencia - Nivel","Dexterity และ Intelligence - อันดับ","敏捷和智慧－階級","[6,8,7,5,4,10,11,9,13]","Unveiling body armour, boots, gloves, helmets, shields, amulets, belts, rings or quivers","Décryptez des armures, des bottes, des gants, des casques, des boucliers, des amulettes, des ceintures, des bagues, des anneaux ou des carquois","Enthüllen: Körperrüstungen, Stiefel, Handschuhe, Helme, Schilde, Amulette, Gürtel, Ringe oder Köcher","アンヴェール: 鎧、靴、手袋、兜、盾、アミュレット、ベルト、指輪または矢筒","갑옷, 장화, 장갑, 투구, 방패, 목걸이, 허리띠, 반지, 화살통 장막 해제","Revelando peitorais, botas, luvas, elmos, escudos, amuletos, cintos, anéis ou aljavas","Нераскрытое свойство нательных доспехов, сапог, перчаток, шлемов, щитов, амулетов, поясов, колец и колчанов","Desencriptando armaduras, botas, guantes, cascos, escudos, amuletos, cinturones, anillos o carcajes","เปิดผนึก เสื้อเกราะ, รองเท้า, ถุงมือ, หมวก, โล่, สร้อย, เข็มขัด, แหวน หรือ ซองธนู","揭露身體護甲、鞋子、手套、頭盔、盾牌、項鍊、腰帶、戒指或箭袋"
35,"JunDodgeChanceDuringFocus",1,"[1,1,1]","Increased Evasion Rating while Focused - Rank","Augmentation du Score d'Évasion pendant la Focalisation - Rang","Erhöhter Ausweichwert, während Ihr fokussiert seid - Rang","フォーカス中の回避力増加 - ランク","집중하는 동안 회피 증가 - 단계","Chance de Esquiva enquanto Concentrado - Rank","Увеличение уклонения, пока вы сфокусированы - уровень","Evasión aumentada mientras estás concentrado - Nivel","เพิ่มอัตราการหลบหลีก ขณะที่มีสถานะ ตั้งสมาธิ - อันดับ","專注時增加躲避值－階級","[5,8]","Unveiling helmets or boots","Décryptez des casques ou des bottes","Enthüllen: Helme oder Stiefel","アンヴェール: 兜または靴","투구, 장화 장막 해제","Revelando elmos ou botas","Нераскрытое свойство шлемов и сапог","Desencriptando cascos o botas","เปิดผนึก หมวกหรือรองเท้า","揭露頭盔或鞋子"
36,"JunDoubleDamageChance",1,"[1,1]","Chance to deal Double Damage - Rank","Chances d'infliger des Dégâts doublés - Rang","Chance, doppelten Schaden zu verursachen - Rang","ダブルダメージ確率 - ランク","두 배의 피해를 줄 확률 - 단계","Chance de Causar Dano Dobrado - Rank","Шанс нанести двойной урон - уровень","Probabilidad de infligir daño doble - Nivel","โอกาสสร้างความเสียหายสองเท่า - อันดับ","造成 2 倍傷害機率－階級","[0,1,2,3]","Unveiling weapons","Décryptez des armes","Enthüllen: Waffen","アンヴェール: 武器","무기 장막 해제","Revelando armas","Нераскрытое свойство оружия","Desencriptando armas","เปิดผนึก อาวุธ","揭露武器"
37,"JunWolfOnKill",1,[1],"Summon Spectral Wolf on Kill","Invocation de Loup spectral - Rang","Bei Tötung Spektralwolf beschwören","撃破時スペクトラルウルフ召喚","처치 시 영체 늑대 소환","Convocar Lobo Espectral ao Matar","Призыв призрачного волка при убийстве","Invocar Lobo espectral al matar","อัญเชิญ หมาป่าวิญญาณ เมื่อสังหาร","擊殺時召喚幽魂狼－階級",[10],"Unveiling certain amulets from Thane Jorgin","Décryptez certaines amulettes du Thane Jorgin","Enthüllen: bestimmte Amulette von Thane Jorgin","アンヴェール: 族長ジョーギンから得られる特定のアミュレット","테인 요르긴의 특정 목걸이 장막 해제","Revelando certos amuletos do Thane Jorgin","Нераскрытое свойство отдельных амулетов Тана Йоргина","Desencriptando ciertos amuletos de Thane Jorgin","เปิดผนึก สร้อย ที่ได้จาก เธน จอร์กิน ที่กำหนด","揭露領主喬恩特定項鍊"
38,"JunEffectOfAilments",1,"[1,1]","Effect of non-Damaging Ailments - Rank","Effet des Altérations n'infligeant pas de Dégâts - Rang","Wirkung von nicht schädlichen Beeinträchtigungen - Rang","非ダメージ性状態異常効果 - ランク","비-피해 상태 이상 효과 - 단계","Efeito de Afecções Não Nocivas - Rank","Эффект не наносящих урон состояний - уровень","Efecto de estados alterados no dañinos - Nivel","ผลของสถานะ เจ็บป่วยที่ไม่สร้างความเสียหาย - อันดับ","非傷害型異常狀態效果－階級","[8,10]","Unveiling boots or amulets","Décryptez des bottes ou des amulettes","Enthüllen: Stiefel oder Amulette","アンヴェール: 靴またはアミュレット","장화, 목걸이 장막 해제","Revelando botas ou amuletos","Нераскрытое свойство сапог и амулетов","Desencriptando botas o amuletos","เปิดผนึก รองเท้าหรือสร้อย","揭露鞋子或項鍊"
39,"JunElementalPenetrationWithAttacks",1,"[1,1,1]","Weapon Elemental Resistance Penetration - Rank","Pénétration des Résistances élémentaires pour les armes - Rang","Elementarwiderstand-Durchdringung mit Waffen - Rang","武器元素耐性突破 - ランク","무기 원소 저항 관통 - 단계","Penetração da Resistência Elemental de Arma - Rank","Пробивание сопротивления стихиям оружием - уровень","Penetración a la resistencia elemental para el arma - Nivel","เจาะต้านทาน ธาตุ ด้วยอาวุธ - อันดับ","武器元素抗性穿透－階級","[0,1,2,3]","Unveiling weapons","Décryptez des armes","Enthüllen: Waffen","アンヴェール: 武器","무기 장막 해제","Revelando armas","Нераскрытое свойство оружия","Desencriptando armas","เปิดผนึก อาวุธ","揭露武器"
40,"JunEnergyShieldRegenerationRatePerMinuteIfRareOrUniqueEnemyNearby",1,"[1,1,1]","Energy Shield Regeneration while a Rare or Unique Enemy is Nearby - Rank","Régénération de Bouclier d'énergie à proximité d'un Ennemi Rare ou Unique - Rang","Energieschild-Regeneration, während ein seltener oder einzigartiger Gegner im Umkreis ist - Rang","レアまたはユニークの敵の周囲でのエナジーシールド自動回復 - ランク","주변에 희귀 또는 고유 적이 있으면 에너지 보호막 재생 - 단계","Regeneração de Escudo de Energia enquanto próximo de Inimigos Raros ou Únicos - Rank","Регенерация энергетического щита рядом с редким или уникальным врагом  - уровень","Regeneración del escudo de energía si hay un enemigo raro o único cerca - Nivel","ฟื้นฟูโล่พลังงาน ขณะมี ศัตรูแรร์หรือยูนิค อยู่ใกล้ - อันดับ","當附近有稀有或傳奇敵人能量護盾回復－階級","[6,11]","Unveiling body armour or belts","Décryptez des armures ou des ceintures","Enthüllen: Körperrüstungen oder Gürtel","アンヴェール: 鎧またはベルト","갑옷, 허리띠 장막 해제","Revelando peitorais ou cintos","Нераскрытое свойство нательных доспехов и поясов","Desencriptando armaduras o cinturones","เปิดผนึก เสื้อเกราะหรือเข็มขัด","揭露身體護甲或腰袋"
41,"JunEvasionRatingAndEnergyShield",1,"[1,1,1]","Evasion Rating and Energy Shield - Rank","Score d'Évasion et Bouclier d'énergie - Rang","Ausweichwert und Energieschild - Rang","回避力およびエナジーシールド - ランク","회피 및 에너지 보호막 - 단계","Evasão e Escudo de Energia - Rank","Уклонение и энергетический щит - уровень","Evasión y escudo de energía - Nivel","อัตราการหลบหลีกและโล่พลังงาน - อันดับ","閃避值和能量護盾－階級","[11,13]","Unveiling belts or quivers","Décryptez des ceintures ou des carquois","Enthüllen: Gürtel oder Köcher","アンヴェール: ベルトまたは矢筒","허리띠, 화살통 장막 해제","Revelando cintos ou aljavas","Нераскрытое свойство поясов и колчанов","Desencriptando cinturones o carcajes","เปิดผนึก เข็มขัดหรือซองธนู","揭露腰帶或箭袋"
42,"JunFireDamageAndChanceToIgnite",1,"[1,1,1]","Fire Damage and Chance to Ignite - Rank","Dégâts de feu et Chances d'Embrasement - Rang","Feuerschaden und Chance auf Entzünden - Rang","火ダメージおよび発火確率 - ランク","화염 피해 및 점화 확률 - 단계","Dano de Fogo e Chance de Incendiar - Rank","Урон от огня и шанс наложить поджог - уровень","Daño de fuego y probabilidad de quemar - Nivel","ความเสียหาย ไฟ และโอกาสสร้างสถานะ ลุกไหม้ - อันดับ","火焰和點燃機率－階級","[0,1,2,3]","Unveiling weapons","Décryptez des armes","Enthüllen: Waffen","アンヴェール: 武器","무기 장막 해제","Revelando armas","Нераскрытое свойство оружия","Desencriptando armas","เปิดผนึก อาวุธ","揭露武器"
43,"JunFlaskEffect",1,"[1,1,1]","Flask Effect - Rank","Effet des Flacons - Rang","Fläschchenwirkung - Rang","フラスコ効果 - ランク","플라스크 효과 - 단계","Efeito de Frasco - Rank","Эффект флакона - уровень","Efecto del frasco - Nivel","ผลจากขวดยา - อันดับ","藥劑效果－階級",[11],"Unveiling belts","Décryptez des ceintures","Enthüllen: Gürtel","アンヴェール: ベルト","허리띠 장막 해제","Revelando cintos","Нераскрытое свойство поясов","Desencriptando cinturones","เปิดผนึก เข็มขัด","揭露腰帶"
44,"JunFlaskEffectAndFlaskChargesGained",1,"[1,1]","Flask Effect and reduced Flask Charges Gained - Rank","Effet des Flacons et Réduction du gain de Charges de Flacon - Rang","Fläschchenwirkung und verringerte Anzahl erhaltener Fläschchenfüllungen - Rang","フラスコ効果およびフラスコチャージ獲得減少 - ランク","플라스크 효과 및 플라스크 충전 획득 감소 - 단계","Efeito de Frasco e redução das Cargas de Frasco Recebidas - Rank","Эффект флакона и уменьшение получаемого количества зарядов флакона - уровень","Efecto del frasco y cargas de frascos ganadas reducidas - Nivel","ผลจากขวดยา และลดการใช้ชาร์จของขวดยา - อันดับ","藥劑效果和減少獲得藥劑充能－階級",[11],"Unveiling belts","Décryptez des ceintures","Enthüllen: Gürtel","アンヴェール: ベルト","허리띠 장막 해제","Revelando cintos","Нераскрытое свойство поясов","Desencriptando cinturones","เปิดผนึก เข็มขัด","揭露腰帶"
45,"JunFortifyEffectWhileFocused",1,"[1,1,1]","Effect of Fortify while Focused - Rank","Effet du Renforcement pendant la Focalisation - Rang","Wirkung von Verstärken, während Ihr fokussiert seid - Rang","フォーカス中の堅牢化効果 - ランク","집중하는 동안 방어 상승 효과 - 단계","Efeito de Fortificar enquanto Concentrado - Rank","Эффект Укрепления, пока вы сфокусированы - уровень","Efecto de Fortificar mientras estás concentrado - Nivel","ผลของสถานะ ตั้งมั่น ขณะที่มีสถานะ ตั้งสมาธิ - อันดับ","專注時護體效果－階級",[6],"Unveiling body armour","Décryptez des armures","Enthüllen: Körperrüstungen","アンヴェール: 鎧","갑옷 장막 해제","Revelando peitorais","Нераскрытое свойство нательных доспехов","Desencriptando armaduras","เปิดผนึก เสื้อเกราะ","揭露身體護甲"
46,"JunGainOnslaughtDuringSoulGainPrevention",1,[1],"Onslaught during Soul Gain Prevention","Assaut pendant l'Empêchement de gain d'Âmes","Ansturm während der 'Kein Seelenerhalt'-Dauer","ソウル獲得不能中猛攻","영혼 획득 방지 중 맹공","Agressividade durante a Anulação do Ganho de Almas","Эффект Боевого ража во время действия предотвращения получения душ","Fervor durante la prevención de obtención de almas","ได้รับสถานะ เร่งราวี ขณะที่มีสถานะ ห้ามเก็บวิญญาณ","停止獲得靈魂期間內猛攻","[8,7]","Unveiling boots or gloves","Décryptez des bottes ou des gants","Enthüllen: Stiefel oder Handschuhe","アンヴェール: 靴または手袋","장화, 장갑 장막 해제","Revelando botas ou luvas","Нераскрытое свойство сапог и перчаток","Desencriptando botas o guantes","เปิดผนึก รองเท้าหรือถุงมือ","揭露鞋子或手套"
47,"JunBrandAttachmentRange",1,"[1,1,1]","Brand Attachment Range - Rank","Portée de ciblage des Symboles - Rang","Zeichen-Anheftungsreichweite - Rang","ブランド付着距離 - ランク","낙인 부착 범위-단계","Alcance da Vinculação das Runas - Rank","Дальность прикрепления клейма - уровень","Alcance de adhesión de marcas - Nivel","ระยะเกาะของ ตราเวท - อันดับ","烙印附著距離－階級","[10,7]","Unveiling amulets or gloves","Décryptez des amulettes ou des gants","Enthüllen: Amulette oder Handschuhe","アンヴェール: アミュレットまたは手袋","장갑, 목걸이 장막 해제","Revelando amuletos ou luvas","Нераскрытое свойство амулетов и перчаток","Desencriptando amuletos o guantes","เปิดผนึก สร้อยหรือถุงมือ","揭露項鍊和手套"
48,"JunGlobalCooldownRecovery",1,"[1,1]","Cooldown Recovery Speed - Rank","Vitesse de Temps de recharge - Rang","Abklingzeit - Rang","クールダウン回復速度 - ランク","재사용 대기시간 회복 속도 - 단계","Velocidade de Recuperação de Recarga - Rank","Скорость перезарядки - уровень","Velocidad de recuperación del tiempo de recarga - Nivel","อัตราการฟื้นฟูคูลดาวน์ - อันดับ","冷卻時間回復速度－階級",[11],"Unveiling belts","Décryptez des ceintures","Enthüllen: Gürtel","アンヴェール: ベルト","허리띠 장막 해제","Revelando cintos","Нераскрытое свойство поясов","Desencriptando cinturones","เปิดผนึก เข็มขัด","揭露腰帶"
49,"JunImmuneToStatusAilmentsWhileFocused",1,[1],"Immune to Ailments while Focused and Focus Cooldown Recovery","Immunité aux Altérations pendant la Focalisation, et Vitesse de recharge de la Focalisation","Immun gegen Beeinträchtigungen während Ihr fokussiert seid und Fokus-Abklingzeit","フォーカス中の状態異常完全耐性およびフォーカスクールダウン短縮","집중하는 동안 상태 이상에 면역, 집중 재사용 대기시간 회복","Imunidade à Afecções Enquanto Concentrado e Recuperação de Recarga da Concentração","Иммунитет к состояниям, пока вы сфокусированы","Inmune a los estados alterados mientras estás concentrado y recuperación del tiempo de recarga de la concentración","ป้องกันสถานะ เจ็บป่วย ขณะที่มีสถานะ ตั้งสมาธิ และการฟื้นฟูคูลดาวน์ของ ตั้งสมาธิ","專注時免疫異常狀態和專注冷卻時間恢復",[8],"Unveiling boots","Décryptez des bottes","Enthüllen: Stiefel","アンヴェール: 靴","장화 장막 해제","Revelando botas","Нераскрытое свойство сапог","Desencriptando botas","เปิดผนึก รองเท้า","揭露鞋子"
50,"JunIncreasedChaosAndPhysicalDamage",1,"[1,1]","Chaos and Physical Damage - Rank","Dégâts physiques et de chaos - Rang","Chaosschaden und physischer Schaden - Rang","混沌および物理ダメージ - ランク","카오스 및 물리 피해 - 단계","Dano Físico e de Caos - Rank","Урон хаосом и физический урон - уровень","Daño de caos y físico - Nivel","ความเสียหาย เคออสและกายภาพ - อันดับ","混沌和物理傷害－階級",[9],"Unveiling certain rings from Aisling Laffrey","Décryptez certaines bagues ou anneaux d'Aisling Laffrey","Enthüllen: bestimmte Ringe von Aisling Laffrey","アンヴェール: アシュリング・ラフリーから得られる特定の指輪","아이슬링 라프리의 특정 반지 장막 해제","Revelando certos anéis da Aisling Laffrey","Нераскрытое свойство отдельных колец Ашлинг Лаффрей","Desencriptando ciertos anillos de Aisling Laffrey","เปิดผนึก แหวน ที่ได้จาก แอชลิ่ง แลฟฟรีย์ ที่กำหนด","揭露愛斯林．勞佛瑞特定戒指"
51,"JunIncreasedDefencesAndLife",1,"[1,1,1]","Defences and Life - Rank","Défenses et Vie - Rang","Defensive und Leben - Rang","防御力およびライフ - ランク","방어 및 생명력- 단계","Defesas e Vida - Rank","Защита и здоровье - уровень","Defensas y vida - Nivel","ค่าป้องกันและพลังชีวิต - อันดับ","防禦和生命－階級","[6,8,7,5,4]","Unveiling body armour, boots, gloves, helmets or shields","Décryptez des armures, des bottes, des gants, des casques ou des boucliers","Enthüllen: Körperrüstungen, Stiefel, Handschuhe, Helme oder Schilde","アンヴェール: 鎧、靴、手袋、兜または盾","갑옷, 장화, 장갑, 투구, 방패 장막 해제","Revelando peitorais, botas, luvas, elmos ou escudos","Нераскрытое свойство нательных доспехов, сапог, перчаток, шлемов и щитов","Desencriptando armaduras, botas, guantes, cascos o escudos","เปิดผนึก เสื้อเกราะ, รองเท้า, ถุงมือ, หมวก หรือ โล่","揭露身體護甲、鞋子、手套、頭盔或盾牌"
52,"JunIncreasedFireAndLightningDamage",1,"[1,1]","Fire and Lightning Damage - Rank","Dégâts de feu et de foudre - Rang","Feuer- und Blitzschaden - Rang","火および雷ダメージ - ランク","화염 및 번개 피해 - 단계","Dano de Fogo e Raio - Rank","Урон от огня и молнии - уровень","Daño de fuego y rayo - Nivel","ความเสียหาย ไฟและสายฟ้า - อันดับ","火焰和閃電傷害－階級",[9],"Unveiling certain rings from Riker Maloney","Décryptez certaines bagues ou anneaux de Riker Maloney","Enthüllen: bestimmte Ringe von Riker Maloney","アンヴェール: ライカー・マローニーから得られる特定の指輪","라이커 말로니의 특정 반지 장막 해제","Revelando certos anéis do Riker Maloney","Нераскрытое свойство отдельных колец Райкера Мэлоуни","Desencriptando ciertos anillos de Riker Maloney","เปิดผนึก แหวน ที่ได้จาก ไรเกอร์ มาโลนีย์ ที่กำหนด","揭露萊可．馬隆尼特定戒指"
53,"JunIncreasedManaAndRegen",1,"[1,1,1]","Mana and Mana Regenerated per Second - Rank","Mana et Régénération de Mana par seconde - Rang","Mana und Manaregeneration pro Sekunde - Rang","マナおよび毎秒マナ回復 - ランク","마나 및 초당 마나 재생 - 단계","Mana e Mana Regenerada por Segundo - Rank","Мана и регенерация маны в секунду - уровень","Maná y maná regenerado por segundo - Nivel","มานาและการ ฟื้นฟูมานา - อันดับ","魔力和每秒回復魔力－階級","[9,10]","Unveiling rings or amulets","Décryptez des amulettes, des bagues ou des anneaux","Enthüllen: Ringe oder Amulette","アンヴェール: 指輪またはアミュレット","반지, 목걸이 장막 해제","Revelando anéis ou amuletos","Нераскрытое свойство колец и амулетов","Desencriptando anillos o amuletos","เปิดผนึก แหวนหรือสร้อย","揭露戒指或項鍊"
54,"JunItemRarityFromRareAndUniqueEnemies",1,"[1,1]","Rarity of Items from Rare and Unique Enemies - Rank","Rareté des Objets cédés par les Ennemis Rares ou Uniques - Rang","Gegenstandsseltenheit von seltenen und einzigartigen Gegnern - Rang","レアまたはユニークの敵からのアイテムのレアリティ - ランク","희귀 및 고유 적에게 얻는 아이템의 희귀도 - 단계","Raridade dos Itens derrubados por Inimigos Raros e Únicos - Rank","Редкость предметов от редких и уникальных врагов - уровень","Rareza de los objetos de los enemigos raros y únicos - Nivel","ความหายากของไอเทมที่ได้จากศัตรูแรร์และยูนิค - อันดับ","稀有或傳奇敵人掉落稀有道具－階級",[5],"Unveiling certain helmets from Janus Perandus","Décryptez certains casques de Janus Pérandus","Enthüllen: bestimmte Helme von Janus Perandus","アンヴェール: ヤーネス・ペランダスから得られる特定の兜","야누스 페란두스의 특정 투구 장막 해제","Revelando certos elmos do Janus Perandus","Нераскрытое свойство отдельных шлемов Януса Перандуса","Desencriptando ciertos cascos de Janus Perandus","เปิดผนึก หมวก ที่ได้จาก ยานัส เพแรนดัส ที่กำหนด","揭露傑納斯．普蘭德斯特定頭盔"
55,"JunPhysicalTakenAsFireAndLightning",1,"[1,1]","Physical Damage taken as Fire and Lightning Percent - Rank","Pourcentage de Dégâts physiques subis sous forme de Dégâts de feu et de foudre - Rang","Physischer Schaden als prozentualer Feuer und Blitzschaden erlitten - Rang","物理ダメージを火および雷ダメージとして受ける - ランク","받는 물리 피해를 화염 및 번개의 일부로 전환 - 단계","Dano Físico sofrido como Percentual de Fogo e Raio - Rank","Получаемый физический урон в виде урона от огня и молнии - уровень","Porcentaje de daño físico recibido como fuego y rayo - Nivel","รับ ความเสียหาย กายภาพ % เป็น ไฟและสายฟ้า - อันดับ","物理傷害部分視為火焰和閃電－階級",[6],"Unveiling certain body armour from Gravicius Reborn","Décryptez certaines armures de Gravicius, le Ressuscité","Enthüllen: bestimmte Körperrüstungen von Gravicius, Wiedergeborener","アンヴェール: 生まれ変わったグラヴィシウスから得られる特定の鎧","부활한 그라비시우스의 특정 갑옷 장막 해제","Revelando certos peitorais do Gravicius Renascido","Нераскрытое свойство отдельных нательных доспехов Гравиция Возрождённого","Desencriptando ciertas armaduras de Gravicius Renacido","เปิดผนึก เสื้อเกราะ ที่ได้จาก กราวิเชียสผู้เกิดใหม่ ที่กำหนด","揭露重生者格拉維奇特定身體護甲"
56,"JunLifeLeechFromAnyDamagePermyriadWhileFocused",1,[1],"Vaal Pact and Damage Leeched as Life while Focused","Pacte vaal et Drain de Vie pendant la Focalisation","Vaal-Pakt und Schaden als Leben geraubt, während Ihr fokussiert seid","フォーカス中のヴァールパクトおよびダメージをライフとしてリーチ","집중하는 동안 바알의 계약 및 피해를 생명력으로 흡수","Pacto Vaal e Dano Drenado como Vida enquanto Concentrado","Соглашение с ваал и похищение урона в виде здоровья, пока вы сфокусированы","Pacto vaal y daño absorbido como vida mientras estás concentrado","ได้รับ Vaal Pact และดูดความเสียหายไปเป็น พลังชีวิต ขณะที่มีสถานะ ตั้งสมาธิ","專注時瓦爾冥約和傷害偷取生命",[10],"Unveiling amulets","Décryptez des amulettes","Enthüllen: Amulette","アンヴェール: アミュレット","목걸이 장막 해제","Revelando amuletos","Нераскрытое свойство амулетов","Desencriptando amuletos","เปิดผนึก สร้อย","揭露項鍊"
57,"JunLifeRegeneration",1,"[1,1]","Life Regeneration - Rank","Régénération de Vie - Rang","Lebensregeneration - Rang","ライフ自動回復 - ランク","생명력 재생 - 단계","Regeneração de Vida - Rank","Регенерация здоровья - уровень","Regeneración de Vida - Nivel","ฟื้นฟูพลังชีวิต - อันดับ","生命回復－階級","[10,4]","Unveiling amulets or shields","Décryptez des amulettes ou des boucliers","Enthüllen: Amulette oder Schilde","アンヴェール: アミュレットまたは盾","목걸이, 방패 장막 해제","Revelando amuletos ou escudos","Нераскрытое свойство амулетов и щитов","Desencriptando amuletos o escudos","เปิดผนึก สร้อยหรือโล่","揭露項鍊或盾牌"
58,"JunLifeRegenerationPerEvasionDuringFocus",1,[1],"Evasion Rating Regenerated as Life while Focused","Score d'Évasion Régénéré sous forme de Vie pendant la Focalisation","Ausweichwert als Leben regeneriert, während Ihr fokussiert seid","フォーカス中の回避力に基づくライフ自動回復","집중하는 동안 회피를 생명력으로 재생","Evasão Regenerada como Vida enquanto Concentrado","Регенерация уклонения в виде здоровья, пока вы сфокусированы","Evasión regenerada como vida mientras estás concentrado","ฟื้นฟูพลังชีวิต จาก อัตราการหลบหลีก ขณะที่มีสถานะ ตั้งสมาธิ","專注時閃避值回復生命",[6],"Unveiling body armour","Décryptez des armures","Enthüllen: Körperrüstungen","アンヴェール: 鎧","갑옷 장막 해제","Revelando peitorais","Нераскрытое свойство нательных доспехов","Desencriptando armaduras","เปิดผนึก เสื้อเกราะ","揭露身體護甲"
59,"JunLightningDamageAndChanceToShock",1,"[1,1,1]","Lightning Damage and Chance to Shock - Rank","Dégâts de foudre et Chances d'Électrocution - Rang","Blitzschaden und Chance auf Schocken - Rang","雷ダメージおよび感電確率 - ランク","번개 피해 및 감전 확률 - 단계","Dano de Raio e Chance de Eletrizar - Rank","Урон от молнии и шанс наложить шок - уровень","Daño de rayo y probabilidad de electrocutar - Nivel","ความเสียหาย สายฟ้า และโอกาสสร้างสถานะ ช็อค - อันดับ","閃電傷害和感電機率－階級","[0,1,2,3]","Unveiling weapons","Décryptez des armes","Enthüllen: Waffen","アンヴェール: 武器","무기 장막 해제","Revelando armas","Нераскрытое свойство оружия","Desencriptando armas","เปิดผนึก อาวุธ","揭露武器"
