"rownum","Id","Name","Name (French)","Name (German)","Name (Japanese)","Name (Korean)","Name (Portuguese)","Name (Russian)","Name (Spanish)","Name (Thai)","Name (Traditional Chinese)","IsCategory","Category","bool_25","string_26","bool_34","i32_35","i32_39","string_43"
175,"ScorchingRayMtx","Scorching Ray","Rayon calcinant","Sengender Strahl","スコーチングレイ","작열 광선","Raio Escaldante","Опаляющий луч","Haz abrasador","Scorching Ray","熾灼奔流","",10,"","","",-16843010,-16843010,""
176,"ScourgeArrowMtx","Scourge Arrow","Flèche d'épines","Verhängnispfeil","スカージアロー","재앙의 화살","Flecha Virulenta","Стрела скверны","Flecha de espinas","Scourge Arrow","天譴之箭","",10,"","","",-16843010,-16843010,""
177,"SearingBondMtx","Searing Bond","Lien ardent","Sengendes Band","シーリングボンド","불타는 굴레","Vínculo Ardente","Обжигающие узы","Atadura abrasadora","Searing Bond","灼熱連結","",10,"","","",-16843010,-16843010,""
178,"ShieldChargeMtx","Shield Charge","Charge au bouclier","Schildansturm","シールドチャージ","방패 돌진","Investida com Escudo","Удар щитом","Carga con escudo","Shield Charge","重盾衝鋒","",10,"","","",-16843010,-16843010,""
179,"ShockNovaMtx","Shock Nova","Nova d'électricité","Schocknova","ショックノヴァ","충격 폭발","Nova Elétrica","Кольцо молний","Nova de rayo","Shock Nova","閃電新星","",10,"","","",-16843010,-16843010,""
180,"ShockwaveTotemMtx","Shockwave Totem","Totem sismique","Schockwellen-Totem","ショックウェーブトーテム","충격파 토템","Totem Sísmico","Сотрясающий тотем","Tótem de onda sísmica","Shockwave Totem","震波圖騰","",10,"","","",-16843010,-16843010,""
181,"SiegeBallistaMtx","Siege Ballista","Baliste à shrapnel","Belagerungsballiste","シージバリスタ","공성 쇠뇌","Balista de Cerco","Осадная баллиста","Balista de asedio","Siege Ballista","攻城炮台","",10,"","","",-16843010,-16843010,""
182,"SparkMtx","Spark","Étincelle","Funken","スパーク","전기불꽃","Faísca","Искра","Chispa","Spark","電球","",10,"","","",-16843010,-16843010,""
183,"SpectralShieldThrowMtx","Spectral Shield Throw","Lancer de bouclier spectral","Spektralschildwurf","スペクトラルシールドスロー","환영 방패 투척","Arremesso de Escudo Espectral","Бросок призрачного щита","Lanzamiento de escudo espectral","Spectral Shield Throw","盾靈投擲","",10,"","","",-16843010,-16843010,""
184,"SplitArrowMtx","Split Arrow","Flèches multiples","Pfeilfächer","スプリットアロー","분할 화살","Flecha Dividida","Расколотая стрела","Flecha dividida","Split Arrow","分裂箭矢","",10,"","","",-16843010,-16843010,""
185,"StormCallMtx","Storm Call","Appel de la foudre","Gewitterbeschwörung","ストームコール","폭풍 부름","Invocar Tormenta","Призыв бури","Llamado de tormenta","Storm Call","風暴呼喚","",10,"","","",-16843010,-16843010,""
186,"SummonChaosGolemMtx","Summon Chaos Golem","Invocation de Golem du chaos","Chaosgolem beschwören","カオスゴーレム召喚","카오스 골렘 소환","Convocar Golem Caótico","Призыв голема хаоса","Invocar Gólem de caos","Summon Chaos Golem","召喚混沌魔像","",10,"","","",-16843010,-16843010,""
187,"SummonFlameGolemMtx","Summon Flame Golem","Invocation de Golem de flammes","Flammengolem beschwören","フレイムゴーレム召喚","화염 골렘 소환","Convocar Golem Flamejante","Призыв голема огня","Invocar Gólem de llamas","Summon Flame Golem","召喚烈焰魔像","",10,"","","",-16843010,-16843010,""
188,"SummonIceGolemMtx","Summon Ice Golem","Invocation de Golem de glace","Eisgolem beschwören","アイスゴーレム召喚","얼음 골렘 소환","Convocar Golem Glacial","Призыв голема льда","Invocar Gólem de hielo","Summon Ice Golem","召喚寒冰魔像","",10,"","","",-16843010,-16843010,""
189,"SummonLightningGolemMtx","Summon Lightning Golem","Invocation de Golem de foudre","Blitzgolem beschwören","ライトニングゴーレム召喚","번개 골렘 소환","Convocar Golem Relampejante","Призыв голема молнии","Invocar Gólem de rayo","Summon Lightning Golem","召喚閃電魔像","",10,"","","",-16843010,-16843010,""
190,"SummonRagingSpiritMtx","Summon Raging Spirit","Invocation d'Esprit enragé","Flammenschädel beschwören","レイジングスピリット召喚","격노의 유령 소환","Convocar Espírito Furioso","Призыв неистового духа","Invocar espíritus encolerizados","Summon Raging Spirit","召喚憤怒狂靈","",10,"","","",-16843010,-16843010,""
191,"SummonStoneGolemMtx","Summon Stone Golem","Invocation de Golem de roche","Steingolem beschwören","ストーンゴーレム召喚","돌 골렘 소환","Convocar Golem Pedregulho","Призыв каменного голема","Invocar Gólem de piedra","Summon Stone Golem","召喚巨石魔像","",10,"","","",-16843010,-16843010,""
192,"SummonSkeletonsMtx","Summon Skeletons","Invocation de Squelettes","Skelette beschwören","スケルトン召喚","해골 소환","Convocar Esqueletos","Сотворение скелетов","Invocar esqueletos","Summon Skeletons","召喚骷髏","",10,"","","",-16843010,-16843010,""
193,"SunderMtx","Sunder","Rupture","Verwüsten","サンダー","산산조각","Ruptura","Раскол","Fisurar","Sunder","大地震擊","",10,"","","",-16843010,-16843010,""
194,"TempestShieldMtx","Tempest Shield","Bouclier de la tempête","Geladener Schild","テンペストシールド","폭풍의 방패","Escudo Tempestuoso","Щит бури","Escudo de tempestad","Tempest Shield","暴風之盾","",10,"","","",-16843010,-16843010,""
195,"ThrownWeaponMtx","Spectral Throw","Lancer spectral","Spektralwurf","スペクトラルスロー","환영 무기 투척","Arremesso Espectral","Призрачный бросок","Lanzamiento espectral","Spectral Throw","靈體投擲","",10,"","","",-16843010,-16843010,""
196,"TornadoShotMtx","Tornado Shot","Tornade de flèches","Tornadoschuss","トルネードショット","회오리 사격","Tiro Tornado","Вихрь стрел","Disparo de tornado","Tornado Shot","龍捲風射擊","",10,"","","",-16843010,-16843010,""
197,"ToxicRainMtx","Toxic Rain","Pluie toxique","Toxischer Regen","トキシックレイン","맹독성 비","Chuva Tóxica","Токсичный дождь","Lluvia tóxica","Toxic Rain","腐蝕毒雨","",10,"","","",-16843010,-16843010,""
198,"VaalAncestralWarchiefMtx","Vaal Ancestral Warchief","Chef de guerre ancestral vaal","Vaal-Ahnen-Kriegshäuptling","ヴァールアンセストラルウォーチーフ","바알 선대의 대전사","Chefe Guerreiro Ancestral Vaal","Вождь предков ваал","Cacique ancestral vaal","Vaal Ancestral Warchief","瓦爾．先祖戰士長","",10,"","","",-16843010,-16843010,""
199,"VaalAnimateWeaponMtx","Vaal Animate Weapon","Animation d'arme vaal","Vaal-Waffe beseelen","ヴァールアニメイトウェポン","바알 무기 기동","Animar Arma Vaal","Живое оружие ваал","Animar arma vaal","Vaal Animate Weapon","瓦爾．幻化武器","",10,"","","",-16843010,-16843010,""
200,"VaalArcMtx","Vaal Arc","Arc électrique vaal","Vaal-Lichtbogen","ヴァールアーク","바알 연쇄 번개","Arco Elétrico Vaal","Цепь молний ваал","Arco eléctrico vaal","Vaal Arc","瓦爾．電弧","",10,"","","",-16843010,-16843010,""
201,"VaalArcticArmourMtx","Vaal Arctic Armour","Armure arctique vaal","Vaal-Arktische Rüstung","ヴァールアークティックアーマー","바알 한기의 방어구","Armadura Ártica Vaal","Северная броня ваал","Armadura ártica vaal","Vaal Arctic Armour","瓦爾．極地裝甲","",10,"","","",-16843010,-16843010,""
202,"VaalBladeVortexMtx","Vaal Blade Vortex","Vortex de lames vaal","Vaal-Klingenwirbel","ヴァールブレードヴォーテックス","바알 칼날 소용돌이","Vórtice de Lâminas Vaal","Вихрь клинков ваал","Vórtice de filos vaal","Vaal Blade Vortex","瓦爾．飛刃風暴","",10,"","","",-16843010,-16843010,""
203,"VaalClarityMtx","Vaal Clarity","Clarté vaal","Vaal-Klarheit","ヴァールクラリティ","바알 명상","Clareza Vaal","Ясность ума ваал","Claridad vaal","Vaal Clarity","瓦爾．清晰","",10,"","","",-16843010,-16843010,""
204,"VaalColdSnapMtx","Vaal Cold Snap","Vague de froid vaal","Vaal-Blitzeis","ヴァールコールドスナップ","바알 한파","Estalo Gélido Vaal","Укус стужи ваал","Ruptura de hielo vaal","Vaal Cold Snap","瓦爾．霜暴","",10,"","","",-16843010,-16843010,""
205,"VaalCycloneMtx","Vaal Cyclone","Cyclone vaal","Vaal-Wirbelsturm","ヴァールサイクロン","바알 회오리바람","Ciclone Vaal","Вихрь ваал","Ciclón vaal","Vaal Cyclone","瓦爾．旋風斬","",10,"","","",-16843010,-16843010,""
206,"VaalDisciplineMtx","Vaal Discipline","Discipline vaal","Vaal-Disziplin","ヴァールディシプリン","바알 단련","Disciplina Vaal","Дисциплина ваал","Disciplina vaal","Vaal Discipline","瓦爾．紀律","",10,"","","",-16843010,-16843010,""
207,"VaalDominationMtx","Vaal Domination","Domination vaal","Vaal-Beherrschung","ヴァールドミネーション","바알 지배","Dominação Vaal","Господство ваал","Dominación vaal","Vaal Domination","瓦爾．霸氣","",10,"","","",-16843010,-16843010,""
208,"VaalDoubleStrikeMtx","Vaal Double Strike","Double frappe vaal","Vaal-Doppelschlag","ヴァールダブルストライク","바알 이중 타격","Golpe Duplo Vaal","Двойной удар ваал","Golpe doble vaal","Vaal Double Strike","瓦爾．雙重打擊","",10,"","","",-16843010,-16843010,""
209,"VaalEarthquakeMtx","Vaal Earthquake","Séisme vaal","Vaal-Erdbeben","ヴァールアースクエイク","바알 지진","Terremoto Vaal","Землетрясение ваал","Terremoto vaal","Vaal Earthquake","瓦爾．震地","",10,"","","",-16843010,-16843010,""
210,"VaalFireballMtx","Vaal Fireball","Boule de feu vaal","Vaal-Feuerball","ヴァールファイヤーボール","바알 화염구","Bola de Fogo Vaal","Огненный шар ваал","Bola de fuego vaal","Vaal Fireball","瓦爾．火球","",10,"","","",-16843010,-16843010,""
211,"VaalFirestormMtx","Vaal Firestorm","Tempête de feu vaal","Vaal-Feuerregen","ヴァールファイヤーストーム","바알 화염 폭풍","Tormenta Flamejante Vaal","Огненный шторм ваал","Tormenta de fuego vaal","Vaal Firestorm","瓦爾．烈炎風暴","",10,"","","",-16843010,-16843010,""
212,"VaalFlameblastMtx","Vaal Flameblast","Conflagration vaal","Vaal-Flammenexplosion","ヴァールフレイムブラスト","바알 화염파","Explosão Flamejante Vaal","Пламенный взрыв ваал","Explosión de llamas vaal","Vaal Flameblast","瓦爾．烈焰爆破","",10,"","","",-16843010,-16843010,""
213,"VaalGraceMtx","Vaal Grace","Grâce vaal","Vaal-Anmut","ヴァールグレース","바알 은총","Graça Vaal","Грация ваал","Gracia vaal","Vaal Grace","瓦爾．優雅","",10,"","","",-16843010,-16843010,""
214,"VaalGroundSlamMtx","Vaal Ground Slam","Fracas tellurique vaal","Vaal-Schmetterhieb","ヴァールグラウンドスラム","바알 대지 강타","Impacto Sísmico Vaal","Сотрясение ваал","Impacto sísmico vaal","Vaal Ground Slam","瓦爾．裂地之擊","",10,"","","",-16843010,-16843010,""
215,"VaalHasteMtx","Vaal Haste","Hâte vaal","Vaal-Hast","ヴァールヘイスト","바알 가속","Ímpeto Vaal","Спешка ваал","Celeridad vaal","Vaal Haste","瓦爾．迅捷","",10,"","","",-16843010,-16843010,""
216,"VaalIceNovaMtx","Vaal Ice Nova","Nova de glace vaal","Vaal-Eisnova","ヴァールアイスノヴァ","바알 얼음 폭발","Nova Glacial Vaal","Кольцо льда ваал","Nova de hielo vaal","Vaal Ice Nova","瓦爾．冰霜新星","",10,"","","",-16843010,-16843010,""
217,"VaalIceShotMtx","Vaal Ice Shot","Tir de glace vaal","Vaal-Eisgeschoss","ヴァールアイスショット","바알 얼음 화살","Tiro Gélido Vaal","Ледяной выстрел ваал","Disparo de hielo vaal","Vaal Ice Shot","瓦爾．冰霜射擊","",10,"","","",-16843010,-16843010,""
218,"VaalImmortalCall","Vaal Immortal Call","Clameur d'immortalité vaal","Vaal-Schrei der Unsterblichkeit","ヴァールイモータルコール","바알 불멸의 외침","Chamado Imortal Vaal","Призыв к бессмертию ваал","Llamado inmortal vaal","Vaal Immortal Call","瓦爾．不朽怒嚎","",10,"","","",-16843010,-16843010,""
219,"VaalLightningArrowMtx","Vaal Lightning Arrow","Flèche de foudre vaal","Vaal-Blitzpfeil","ヴァールライトニングアロー","바알 번개 화살","Flecha Relampejante Vaal","Стрела молнии ваал","Flecha de rayo vaal","Vaal Lightning Arrow","瓦爾．閃電箭矢","",10,"","","",-16843010,-16843010,""
220,"VaalLightningWarpMtx","Vaal Lightning Warp","Téléportation foudroyante vaal","Vaal-Blitzteleportation","ヴァールライトニングワープ","바알 번개 차원 이동","Teleporte Relampejante Vaal","Грозовой переход ваал","Teletransporte de rayo vaal","Vaal Lightning Warp","瓦爾．閃電傳送","",10,"","","",-16843010,-16843010,""
221,"VaalMoltenShellMtx","Vaal Molten Shell","Carapace volcanique vaal","Vaal-Lavaschilde","ヴァールモルテンシェル","바알 용암 방패","Escudo Flamejante Vaal","Расплавленный панцирь ваал","Coraza fundida vaal","Vaal Molten Shell","瓦爾．熔岩護盾","",10,"","","",-16843010,-16843010,""
222,"VaalMoltenStrikeMtx","Vaal Molten Strike","Frappe volcanique vaal","Vaal-Lavaschilde","ヴァールモルテンストライク","바알 용암 타격","Golpe Vulcânico Vaal","Магмовый удар ваал","Golpe fundido vaal","Vaal Molten Strike","瓦爾．熔岩之擊","",10,"","","",-16843010,-16843010,""
223,"VaalPurityOfFireMtx","Vaal Impurity of Fire","Impureté du feu vaal","Vaal-Unreinheit des Feuers","ヴァールインピュリティオブファイヤー","바알 불의 부정함","Impreza Ardente Vaal","Погибель от огня ваал","Impureza de fuego vaal","Vaal Impurity of Fire","瓦爾．不淨之火","",10,"","","",-16843010,-16843010,""
224,"VaalPurityOfIceMtx","Vaal Impurity of Ice","Impureté de la glace vaal","Vaal-Unreinheit des Eises","ヴァールインピュリティオブアイス","바알 얼음의 부정함","Impureza Glacial Vaal","Погибель от холода ваал","Impureza de hielo vaal","Vaal Impurity of Ice","瓦爾．不淨之冰","",10,"","","",-16843010,-16843010,""
225,"VaalPurityOfLightningMtx","Vaal Impurity of Lightning","Impureté de la foudre vaal","Vaal-Unreinheit des Blitzes","ヴァールインピュリティオブライトニング","바알 번개의 부정함","Impureza Elétrica Vaal","Погибель от молнии ваал","Impureza de rayo vaal","Vaal Impurity of Lightning","瓦爾．不淨之雷","",10,"","","",-16843010,-16843010,""
226,"VaalRainOfArrowsMtx","Vaal Rain of Arrows","Pluie de flèches vaal","Vaal-Pfeilregen","ヴァールレインオブアロー","바알 화살비","Chuva de Flechas Vaal","Ливень стрел ваал","Lluvia de flechas vaal","Vaal Rain of Arrows","瓦爾．箭雨","",10,"","","",-16843010,-16843010,""
227,"VaalReapMtx","Vaal Reap","Fauchage vaal","Vaal-Sense","ヴァールリープ","바알 낫질","Ceifar Vaal","Кровавая жатва ваал","Siega vaal","Vaal Reap","瓦爾．收割","",10,"","","",-16843010,-16843010,""
228,"VaalReaveMtx","Vaal Reave","Ravage vaal","Vaal-Zerreißen","ヴァールリーヴ","바알 약탈","Devastação Vaal","Опустошение ваал","Desgarro vaal","Vaal Reave","瓦爾．衝擊波","",10,"","","",-16843010,-16843010,""
229,"VaalRejuvenationTotemMtx","Vaal Rejuvenation Totem","Totem régénérant vaal","Vaal-Regenerationstotem","ヴァールリジュヴェネーショントーテム","바알 회복 토템","Totem Rejuvenescedor Vaal","Восполняющий тотем ваал","Tótem de rejuvenecimiento vaal","Vaal Rejuvenation Totem","瓦爾．回春圖騰","",10,"","","",-16843010,-16843010,""
230,"VaalRighteousFireMtx","Vaal Righteous Fire","Feu de la vertu vaal","Vaal-Sühnendes Feuer","ヴァールライチャスファイヤー","바알 정의의 화염","Círculo Ardente Vaal","Праведный огонь ваал","Fuego justo vaal","Vaal Righteous Fire","瓦爾．正義之火","",10,"","","",-16843010,-16843010,""
231,"VaalSmiteMtx","Vaal Smite","Châtiment vaal","Vaal-Zerschmettern","ヴァールスマイト","바알 징벌","Castigar Vaal","Кара ваал","Aniquilación vaal","Vaal Smite","瓦爾．雷鳴重擊","",10,"","","",-16843010,-16843010,""
232,"VaalSparkMtx","Vaal Spark","Étincelle vaal","Vaal-Funken","ヴァールスパーク","바알 전기불꽃","Faísca Vaal","Искра ваал","Chispa vaal","Vaal Spark","瓦爾．電球","",10,"","","",-16843010,-16843010,""
233,"VaalStormCallMtx","Vaal Storm Call","Appel de la foudre vaal","Vaal-Gewitterbeschwörung","ヴァールストームコール","바알 폭풍 부름","Invocar Tormenta Vaal","Призыв бури ваал","Llamado de tormenta vaal","Vaal Storm Call","瓦爾．風暴呼喚","",10,"","","",-16843010,-16843010,""
234,"VaalSummonSkeletonsMtx","Vaal Summon Skeletons","Invocation de Squelettes vaal","Vaal-Skelette beschwören","ヴァールスケルトン召喚","바알 해골 소환","Convocar Esqueletos Vaal","Сотворение скелетов ваал","Invocar esqueletos vaal","Vaal Summon Skeletons","瓦爾．召喚骷髏","",10,"","","",-16843010,-16843010,""
235,"VaalThrownWeaponMtx","Vaal Spectral Throw","Lancer spectral vaal","Vaal-Spektralwurf","ヴァールスペクトラルスロー","바알 환영 무기 투척","Arremesso Espectral Vaal","Призрачный бросок ваал","Lanzamiento espectral vaal","Vaal Spectral Throw","瓦爾．靈體投擲","",10,"","","",-16843010,-16843010,""
236,"VaalPowerSiphonMtx","Vaal Power Siphon","Siphon de pouvoir vaal","Vaal-Energieentladung","ヴァールパワーサイフォン","바알 권능 착취","Sifão de Poder Vaal","Перелив энергии ваал","Robo de poder vaal","Vaal Power Siphon","瓦爾．力量抽取","",10,"","","",-16843010,-16843010,""
237,"VaalFlickerStrikeMtx","Vaal Flicker Strike","Frappe fulgurante vaal","Vaal-Flimmerschlag","ヴァールフリッカーストライク","바알 점멸 타격","Golpe Súbito Vaal","Внезапный удар ваал","Golpe repentino vaal","Vaal Flicker Strike","瓦爾．閃現打擊","",10,"","","",-16843010,-16843010,""
238,"VaalVenomGyreMtx","Vaal Venom Gyre","Spirale venimeuse vaal","Vaal-Giftwirbel","ヴァールヴェノムジャイア","바알 독액 선회","Espiral Venenosa Vaal","Круг яда ваал","Espiral de veneno vaal","Vaal Venom Gyre","瓦爾．猛毒迴旋","",10,"","","",-16843010,-16843010,""
239,"VaalBladeFlurryMtx","Vaal Blade Flurry","Déluge de lames vaal","Vaal-Klingentanz","ヴァールブレードフラリィ","바알 질풍의 칼날","Rajada de Lâminas Vaal","Порыв клинков ваал","Aluvión de filos vaal","Vaal Blade Flurry","瓦爾．刀鋒亂舞","",10,"","","",-16843010,-16843010,""
240,"VaalCleaveMtx","Vaal Cleave","Taillade vaal","Vaal-Spalten","ヴァールクリーヴ","바알 회전베기","Cutilada Vaal","Рассечение ваал","Hendidura vaal","Vaal Cleave","瓦爾．劈砍","",10,"","","",-16843010,-16843010,""
241,"VaalCausticArrowMtx","Vaal Caustic Arrow","Flèche caustique vaal","Vaal-Ätzender Pfeil","ヴァールコースティックアロー","바알 부식성 화살","Flecha Cáustica Vaal","Едкая стрела ваал","Flecha cáustica vaal","Vaal Caustic Arrow","瓦爾．腐蝕箭矢","",10,"","","",-16843010,-16843010,""
242,"VitalityMtx","Vitality","Vitalité","Vitalität","バイタリティ","활력","Vitalidade","Живучесть","Vitalidad","Vitality","活力","",10,"","","",-16843010,-16843010,""
243,"VolatileDeadMtx","Volatile Dead","Cadavres instables","Explosiver Tod","ヴォラタイルデッド","시체 불덩이","Morto Volátil","Нестабильный труп","Muertos volátiles","Volatile Dead","致命之息","",10,"","","",-16843010,-16843010,""
244,"WhirlingBladesMtx","Whirling Blades","Lames tourbillonnantes","Wirbelnde Klingen","ワーリングブレード","칼날 선회","Lâminas Giratórias","Шквал клинков","Filos giratorios","Whirling Blades","迴旋之刃","",10,"","","",-16843010,-16843010,""
245,"WitherMtx","Wither","Flétrissement","Verkümmern","ウィザー","위축","Definhar","Увядание","Marchitar","Wither","死亡凋零","",10,"","","",-16843010,-16843010,""
246,"WrathMtx","Wrath","Fureur","Zorn","ラース","진노","Ira","Грозный гнев","Cólera","Wrath","雷霆","",10,"","","",-16843010,-16843010,""
247,"RangedAttackTotemMtx","Ranged Attack Totem","Totem d'attaque à distance","Fernangriffstotem","バリスタトーテム","원거리 공격 토템","Totem de Ataque à Distância","Стреляющий тотем","Tótem de ataques a distancia","Ranged Attack Totem","遠距離攻擊圖騰","",10,"","","",-16843010,-16843010,""
248,"SpellTotemMtx","SpellTotem","Totem incantateur","Zaubertotem","スペルトーテム","주문 토템","Totem de Magia","Колдующий тотем","Tótem de hechizos","SpellTotem","法術圖騰","",10,"","","",-16843010,-16843010,""
249,"WarBannerMtx","War Banner","Étendard de guerre","Kriegsbanner","ウォーバナー","전쟁 깃발","Estandarte de Guerra","Знамя войны","Estandarte de guerra","War Banner","戰爭之旗","",10,"","","",-16843010,-16843010,""
250,"DreadBannerMtx","Dread Banner","Étendard de terreur","Todesbanner","ドレッドバナー","공포의 깃발","Estandarte Horrendo","Знамя страха","Estandarte de pavor","Dread Banner","恐懼之旗","",10,"","","",-16843010,-16843010,""
251,"ZealotryMtx","Zealotry","Zèle","Glaubenseifer","ゼロトリー","열광","Fanatismo","Фанатизм","Exaltación","Zealotry","狂熱","",10,"","","",-16843010,-16843010,""
252,"MalevolenceMtx","Malevolence","Malfaisance","Boshaftigkeit","マレヴォレンス","악의","Malevolência","Злорадство","Malevolencia","Malevolence","惡意","",10,"","","",-16843010,-16843010,""
253,"SoulrendMtx","Soulrend","Déchirure d'âme","Seelenriss","ソウルレンド","영혼 분리","Rasgalma","Разрыв души","Desgarrador de almas","Soulrend","靈體撕裂","",10,"","","",-16843010,-16843010,""
254,"DivineIreMtx","Divine Ire","Courroux divin","Göttlicher Zorn","ディヴァインアイア","신성한 진노","Ira Divina","Божественный гнев","Ira divina","Divine Ire","聖怒","",10,"","","",-16843010,-16843010,""
255,"WinterOrbMtx","Winter Orb","Orbe de l'hiver","Wintersphäre","ウィンターオーブ","겨울 보주","Orbe Invernal","Зимняя сфера","Orbe invernal","Winter Orb","凜冬之球","",10,"","","",-16843010,-16843010,""
256,"BaneMtx","Bane","Damnation","Verdammung","ベイン","파멸","Banir","Погибель","Condenación","Bane","災厄","",10,"","","",-16843010,-16843010,""
257,"IceDashMtx","Ice Dash","Transfert givrant","Frostspurt","アイスクラッシュ","얼음 질주","Avanço Gélido","Ледяной скачок","Embestida de hielo","Ice Dash","霜漣之瞬","",10,"","","",-16843010,-16843010,""
258,"QuickDodgeMtx","Dash","Élan","Spurt","ダッシュ","질주","Avanço","Рывок","Finta","Dash","瞬身","",10,"","","",-16843010,-16843010,""
259,"PrecisionMtx","Precision","Justesse","Präzision","プレシジョン","정밀함","Precisão","Точность","Exactitud","Precision","精準","",10,"","","",-16843010,-16843010,""
260,"PrideMtx","Pride","Fierté","Stolz","プライド","자부심","Orgulho","Гордость","Orgullo","Pride","驕傲","",10,"","","",-16843010,-16843010,""
261,"LightningTrapMtx","Lightning Trap","Piège de foudre","Blitzfalle","ライトニングトラップ","번개 덫","Armadilha Relampejante","Ловушка молний","Trampa de rayo","Lightning Trap","閃電陷阱","",10,"","","",-16843010,-16843010,""
262,"VaalLightningTrapMtx","Vaal Lightning Trap","Piège de foudre vaal","Vaal-Blitzfalle","ヴァールライトニングトラップ","바알 번개 덫","Armadilha Relampejante Vaal","Ловушка молний ваал","Trampa de rayo vaal","Vaal Lightning Trap","瓦爾．閃電陷阱","",10,"","","",-16843010,-16843010,""
263,"BladestormMtx","Bladestorm","Tempête de lames","Klingensturm","ブレードストーム","칼날 폭풍","Tempestade de Lâminas","Ураган лезвий","Tormenta de filos","Bladestorm","旋天劍舞","",10,"","","",-16843010,-16843010,""
264,"BloodAndSandMtx","Blood and Sand","Sang et sable","Blut und Sand","ブラッドアンドサンド","피와 모래","Sangue e Areia","Кровь и песок","Sangre y arena","Blood and Sand","血腥沙戮","",10,"","","",-16843010,-16843010,""
265,"FleshAndStoneMtx","Flesh and Stone","Chair et pierre","Fleisch und Stein","フレッシュアンドストーン","육체와 돌","Carne e Pedra","Камень и плоть","Carne y piedra","Flesh and Stone","血肉骸骨","",10,"","","",-16843010,-16843010,""
266,"StormBrandMtx","Storm Brand","Symbole de l'orage","Zeichen des Sturms","ストームバインド","폭풍의 낙인","Runa Tempestuosa","Клеймо бури","Marca de tormentas","Storm Brand","風暴烙印","",10,"","","",-16843010,-16843010,""
267,"BlightMtx","Blight","Fléau","Pesthauch","ブライト","역병","Infestação","Мор","Plaga","Blight","萎滅","",10,"","","",-16843010,-16843010,""
268,"VaalBlightMtx","Vaal Blight","Fléau vaal","Vaal-Pesthauch","ヴァールブライト","바알 황폐","Infestação Vaal","Мор ваал","Plaga vaal","Vaal Blight","瓦爾．萎滅","",10,"","","",-16843010,-16843010,""
269,"PyroclastMineMtx","Pyroclast Mine","Mine de pyroclastes","Lavageschossmine","パイロクラストマイン","화산탄 지뢰","Mina Piroclástica","Пирокластовая мина","Mina piroclástica","Pyroclast Mine","炎爆新星地雷","",10,"","","",-16843010,-16843010,""
270,"HailstormMineMtx","Icicle Mine","Mine d'éclats de glace","Eiskristallmine","アイシクルマイン","고드름 지뢰","Mina de Sincelo","Шквальная мина","Mina de tormenta de granizo","Icicle Mine","冰雹地雷","",10,"","","",-16843010,-16843010,""
271,"StormblastMineMtx","Stormblast Mine","Mine de déflagration orageuse","Gewittersturmmine","ストームブラストマイン","태풍 파열 지뢰","Mina de Tempestade Explosiva","Штормовая мина","Mina de tormenta explosiva","Stormblast Mine","風暴地雷","",10,"","","",-16843010,-16843010,""
272,"BlastChainMineMtx","Remote Mine","Mine activable","Fernmine","リモートマイン","원격 지뢰","Mina Remota","Мина","Mina remota","Remote Mine","遙控地雷","",10,"","","",-16843010,-16843010,""
273,"HighImpactMineMtx","Remote Mine","Mine activable","Fernmine","リモートマイン","원격 지뢰","Mina Remota","Мина","Mina remota","Remote Mine","遙控地雷","",10,"","","",-16843010,-16843010,""
274,"LocusMineMtx","Remote Mine","Mine activable","Fernmine","リモートマイン","원격 지뢰","Mina Remota","Мина","Mina remota","Remote Mine","遙控地雷","",10,"","","",-16843010,-16843010,""
275,"SummonSkitterbotsMtx","Summon Skitterbots","Invocation d'Arachnobots","Arachnobots beschwören","スキッターボット召喚","원격 기폭 장치 소환","Convocar Robôs Rastejantes","Призыв мехаботов","Invocar robots escurridizos","Summon Skitterbots","召喚探測機獸","",10,"","","",-16843010,-16843010,""
276,"ArtilleryBallistaMtx","Artillery Ballista","Baliste d'artillerie","Artillerie-Balliste","アーティラリーバリスタ","포대 쇠뇌","Balista de Artilharia","Артиллерийская баллиста","Balista de artillería","Artillery Ballista","火砲砲塔","",10,"","","",-16843010,-16843010,""
277,"ShrapnelBallistaMtx","Shrapnel Ballista","Baliste à shrapnel","Schrapnell-Balliste","シュラプネルバリスタ","파편 쇠뇌","Balista Estilhaçante","Осколочная баллиста","Balista de metralla","Shrapnel Ballista","彈片砲塔","",10,"","","",-16843010,-16843010,""
278,"ExplosiveArrowMtx","Explosive Arrow","Flèche explosive","Explosiver Pfeil","エクスプローシブアロー","폭발 화살","Flecha Explosiva","Взрывная стрела","Flecha explosiva","Explosive Arrow","爆炸箭矢","",10,"","","",-16843010,-16843010,""
279,"BlasphemyPlusMtx","Awakened Blasphemy","Blasphème (éveillé)","Erweckte Blasphemie","覚醒の冒涜","각성한 신성 모독","Blasfêmia Desperta","Пробужденный: Богохульство","Blasfemia despertada","Awakened Blasphemy","覺醒詛咒光環","",10,"","","",-16843010,-16843010,""
280,"SummonCarrionGolemMtx","Summon Carrion Golem","Invocation de Golem de charogne","Aasgolem beschwören","キャリオンゴーレム召喚","부패 골렘 소환","Convocar Golem da Carniça","Призыв трупного голема","Invocar Gólem de carroña","Summon Carrion Golem","召喚食腐魔像","",10,"","","",-16843010,-16843010,""
