"rownum","Id","ItemClassesKey","Width","Height","Name","InheritsFrom","DropLevel","FlavourTextKey","Implicit_ModsKeys","SizeOnGround","SoundEffect","TagsKeys","ModDomain","SiteVisibility","ItemVisualIdentity","HASH32","VendorRecipe_AchievementItems","Inflection","Equip_AchievementItemsKey","IsCorrupted","Identify_AchievementItems","IdentifyMagic_AchievementItems","FragmentBaseItemTypesKey","bool","rid","rid","bool","TradeMarketCategory","Unmodifiable","Achievement","[string]","IgnoreQuantBonus","bool","rid"
1119,"Metadata/Items/Armours/BodyArmours/BodyStrInt11",24,2,3,"Chain Hauberk","Metadata/Items/Armours/BodyArmours/AbstractBodyArmour",51,"",[],3,"",[42],1,1,7625,712769751,[],"","","",[],[],"","","","","","","",[],[],"","",""
1120,"Metadata/Items/Armours/BodyArmours/BodyStrInt12",24,2,3,"Devout Chainmail","Metadata/Items/Armours/BodyArmours/AbstractBodyArmour",55,"",[],3,"",[42],1,1,7626,743210975,[],"","","",[],[],"","","","","","","",[],[],"","",""
1121,"Metadata/Items/Armours/BodyArmours/BodyStrInt13",24,2,3,"Loricated Ringmail","Metadata/Items/Armours/BodyArmours/AbstractBodyArmour",58,"",[],3,"",[42],1,1,7621,2034324732,[],"","","",[],[],"","","","","","","",[],[],"","",""
1122,"Metadata/Items/Armours/BodyArmours/BodyStrInt14",24,2,3,"Conquest Chainmail","Metadata/Items/Armours/BodyArmours/AbstractBodyArmour",61,"",[],3,"",[42],1,1,7622,-321510088,[],"","","",[],[],"","","","","","","",[],[],"","",""
1123,"Metadata/Items/Armours/BodyArmours/BodyStrInt15",24,2,3,"Elegant Ringmail","Metadata/Items/Armours/BodyArmours/AbstractBodyArmour",64,"",[],3,"","[42,1049]",1,1,7624,2062450194,[],"","","",[],[],"","","","","","","",[],[],"","",""
1124,"Metadata/Items/Armours/BodyArmours/BodyStrInt16",24,2,3,"Saint's Hauberk","Metadata/Items/Armours/BodyArmours/AbstractBodyArmour",67,"",[],3,"","[42,1049]",1,1,7625,-1340554540,[],"","","",[],[],"","","","","","","",[],[],"","",""
1125,"Metadata/Items/Armours/BodyArmours/BodyStrInt17",24,2,3,"Saintly Chainmail","Metadata/Items/Armours/BodyArmours/AbstractBodyArmour",70,"",[],3,"","[42,1049]",1,1,7626,-1139879808,[],"","","",[],[],"","","","","","","",[],[],"","",""
1126,"Metadata/Items/Armours/BodyArmours/BodyStrInt18",24,2,3,"Grand Ringmail","Metadata/Items/Armours/BodyArmours/AbstractBodyArmour",73,"",[],3,"","[42,1049,33]",1,1,7624,-1663703778,[],"","","",[],[],"","","","","","","",[],[],"","",""
1127,"Metadata/Items/Armours/BodyArmours/BodyStrInt19",24,2,3,"Paladin's Hauberk","Metadata/Items/Armours/BodyArmours/AbstractBodyArmour",78,"",[],3,"","[42,1049,33]",1,1,7625,-1013272231,[],"","","",[],[],"","","","","","","",[],[],"","",""
1128,"Metadata/Items/Armours/BodyArmours/BodyStrInt20",24,2,3,"Sacred Chainmail","Metadata/Items/Armours/BodyArmours/AbstractBodyArmour",84,"",[],3,"","[42,1049,33]",1,1,7626,-1098152160,[],"","","",[],[],"","","","","","","",[],[],"","",""
1129,"Metadata/Items/Armours/BodyArmours/BodyDexInt1",24,2,3,"Padded Vest","Metadata/Items/Armours/BodyArmours/AbstractBodyArmour",4,"",[],3,"",[43],1,1,7627,1608063442,[],"","","",[],[],"","","","","","","",[],[],"","",""
1130,"Metadata/Items/Armours/BodyArmours/BodyDexInt2",24,2,3,"Oiled Vest","Metadata/Items/Armours/BodyArmours/AbstractBodyArmour",9,"",[],3,"",[43],1,1,7628,-924264623,[],"","","",[],[],"","","","","","","",[],[],"","",""
1131,"Metadata/Items/Armours/BodyArmours/BodyDexInt3",24,2,3,"Padded Jacket","Metadata/Items/Armours/BodyArmours/AbstractBodyArmour",18,"",[],3,"",[43],1,1,7629,1149758737,[],"","","",[],[],"","","","","","","",[],[],"","",""
1132,"Metadata/Items/Armours/BodyArmours/BodyDexInt4",24,2,3,"Oiled Coat","Metadata/Items/Armours/BodyArmours/AbstractBodyArmour",22,"",[],3,"",[43],1,1,7630,407345936,[],"","","",[],[],"","","","","","","",[],[],"","",""
1133,"Metadata/Items/Armours/BodyArmours/BodyDexInt5",24,2,3,"Scarlet Raiment","Metadata/Items/Armours/BodyArmours/AbstractBodyArmour",28,"",[],3,"",[43],1,1,7631,-2143979597,[],"","","",[],[],"","","","","","","",[],[],"","",""
1134,"Metadata/Items/Armours/BodyArmours/BodyDexInt6",24,2,3,"Waxed Garb","Metadata/Items/Armours/BodyArmours/AbstractBodyArmour",32,"",[],3,"",[43],1,1,7632,1871346408,[],"","","",[],[],"","","","","","","",[],[],"","",""
1135,"Metadata/Items/Armours/BodyArmours/BodyDexInt7",24,2,3,"Bone Armour","Metadata/Items/Armours/BodyArmours/AbstractBodyArmour",35,"",[],3,"",[43],1,1,7635,611814827,[],"","","",[],[],"","","","","","","",[],[],"","",""
1136,"Metadata/Items/Armours/BodyArmours/BodyDexInt8",24,2,3,"Quilted Jacket","Metadata/Items/Armours/BodyArmours/AbstractBodyArmour",40,"",[],3,"",[43],1,1,7629,188802776,[],"","","",[],[],"","","","","","","",[],[],"","",""
1137,"Metadata/Items/Armours/BodyArmours/BodyDexInt9",24,2,3,"Sleek Coat","Metadata/Items/Armours/BodyArmours/AbstractBodyArmour",44,"",[],3,"",[43],1,1,7630,1928204221,[],"","","",[],[],"","","","","","","",[],[],"","",""
1138,"Metadata/Items/Armours/BodyArmours/BodyDexInt10",24,2,3,"Crimson Raiment","Metadata/Items/Armours/BodyArmours/AbstractBodyArmour",48,"",[],3,"",[43],1,1,7631,1554606147,[],"","","",[],[],"","","","","","","",[],[],"","",""
1139,"Metadata/Items/Armours/BodyArmours/BodyDexInt11",24,2,3,"Lacquered Garb","Metadata/Items/Armours/BodyArmours/AbstractBodyArmour",52,"",[],3,"",[43],1,1,7632,-1786053729,[],"","","",[],[],"","","","","","","",[],[],"","",""
1140,"Metadata/Items/Armours/BodyArmours/BodyDexInt12",24,2,3,"Crypt Armour","Metadata/Items/Armours/BodyArmours/AbstractBodyArmour",56,"",[],3,"",[43],1,1,7635,-1673106066,[],"","","",[],[],"","","","","","","",[],[],"","",""
1141,"Metadata/Items/Armours/BodyArmours/BodyDexInt13",24,2,3,"Sentinel Jacket","Metadata/Items/Armours/BodyArmours/AbstractBodyArmour",59,"",[],3,"",[43],1,1,7629,-1853409004,[],"","","",[],[],"","","","","","","",[],[],"","",""
1142,"Metadata/Items/Armours/BodyArmours/BodyDexInt14",24,2,3,"Varnished Coat","Metadata/Items/Armours/BodyArmours/AbstractBodyArmour",62,"",[],3,"",[43],1,1,7630,982918684,[],"","","",[],[],"","","","","","","",[],[],"","",""
1143,"Metadata/Items/Armours/BodyArmours/BodyDexInt15",24,2,3,"Blood Raiment","Metadata/Items/Armours/BodyArmours/AbstractBodyArmour",65,"",[],3,"","[43,1049]",1,1,7631,-508595851,[],"","","",[],[],"","","","","","","",[],[],"","",""
1144,"Metadata/Items/Armours/BodyArmours/BodyDexInt16",24,2,3,"Sadist Garb","Metadata/Items/Armours/BodyArmours/AbstractBodyArmour",68,"",[],3,"","[43,1049]",1,1,7632,-2047703961,[],"","","",[],[],"","","","","","","",[],[],"","",""
1145,"Metadata/Items/Armours/BodyArmours/BodyDexInt17",24,2,3,"Carnal Armour","Metadata/Items/Armours/BodyArmours/AbstractBodyArmour",71,"",[564],3,"","[43,1049]",1,1,7635,1314705152,[],"","","",[],[],"","","","","","","",[],[],"","",""
1146,"Metadata/Items/Armours/BodyArmours/BodyDexInt18",24,2,3,"Sanguine Raiment","Metadata/Items/Armours/BodyArmours/AbstractBodyArmour",73,"",[],3,"","[43,1049,33]",1,1,7631,-1126921477,[],"","","",[],[],"","","","","","","",[],[],"","",""
1147,"Metadata/Items/Armours/BodyArmours/BodyDexInt19",24,2,3,"Torturer Garb","Metadata/Items/Armours/BodyArmours/AbstractBodyArmour",78,"",[],3,"","[43,1049,33]",1,1,7632,1289979150,[],"","","",[],[],"","","","","","","",[],[],"","",""
1148,"Metadata/Items/Armours/BodyArmours/BodyDexInt20",24,2,3,"Necrotic Armour","Metadata/Items/Armours/BodyArmours/AbstractBodyArmour",84,"",[],3,"","[43,1049,33]",1,1,7635,-1661740812,[],"","","",[],[],"","","","","","","",[],[],"","",""
1149,"Metadata/Items/Armours/BodyArmours/BodyStrDexInt1",24,2,3,"Sacrificial Garb","Metadata/Items/Armours/BodyArmours/AbstractBodyArmour",72,"",[4364],3,"","[44,33]",1,1,7639,432030394,[],"","","",[],[],"","","","","","","",[],[],"","",""
1150,"Metadata/Items/Armours/BodyArmours/BodyDemigods1",24,2,3,"Golden Mantle","Metadata/Items/Armours/BodyArmours/AbstractBodyArmour",20,"",[3529],3,"","[44,33,709]",1,1,11576,-1275240699,[],"","","",[],[],"","","","","","","",[],[],"","",""
1151,"Metadata/Items/Armours/BodyArmours/BodyStrDexInt2",24,2,3,"Grasping Mail","Metadata/Items/Armours/BodyArmours/AbstractBodyArmour",70,2456,[],3,"","[44,33]",1,1,7640,1385902300,[10448],"","","",[],[],"","","","","","","",[],[],"","",""
1152,"Metadata/Items/Armours/Boots/BootsStr1",23,2,2,"Iron Greaves","Metadata/Items/Armours/Boots/AbstractBoots",1,"",[],1,"",[38],1,1,7641,983678037,[],"","","",[],[],"","","","","","","",[],[],"","",""
1153,"Metadata/Items/Armours/Boots/BootsStr2",23,2,2,"Steel Greaves","Metadata/Items/Armours/Boots/AbstractBoots",9,"",[],1,"",[38],1,1,7642,504535471,[],"","","",[],[],"","","","","","","",[],[],"","",""
1154,"Metadata/Items/Armours/Boots/BootsStr3",23,2,2,"Plated Greaves","Metadata/Items/Armours/Boots/AbstractBoots",23,"",[],1,"",[38],1,1,7643,-748087950,[],"","","",[],[],"","","","","","","",[],[],"","",""
1155,"Metadata/Items/Armours/Boots/BootsStr4",23,2,2,"Reinforced Greaves","Metadata/Items/Armours/Boots/AbstractBoots",33,"",[],1,"",[38],1,1,7644,-249224993,[],"","","",[],[],"","","","","","","",[],[],"","",""
1156,"Metadata/Items/Armours/Boots/BootsStr5",23,2,2,"Antique Greaves","Metadata/Items/Armours/Boots/AbstractBoots",37,"",[],1,"",[38],1,1,7642,2087962745,[],"","","",[],[],"","","","","","","",[],[],"","",""
1157,"Metadata/Items/Armours/Boots/BootsStr6",23,2,2,"Ancient Greaves","Metadata/Items/Armours/Boots/AbstractBoots",46,"",[],1,"",[38],1,1,7643,-236707877,[],"","","",[],[],"","","","","","","",[],[],"","",""
1158,"Metadata/Items/Armours/Boots/BootsStr7",23,2,2,"Goliath Greaves","Metadata/Items/Armours/Boots/AbstractBoots",54,"",[],1,"",[38],1,1,7644,-1170523232,[],"","","",[],[],"","","","","","","",[],[],"","",""
1159,"Metadata/Items/Armours/Boots/BootsStr8",23,2,2,"Vaal Greaves","Metadata/Items/Armours/Boots/AbstractBoots",62,"",[],1,"","[38,1049]",1,1,7643,-392368716,[],"","","",[],[],"","","","","","","",[],[],"","",""
1160,"Metadata/Items/Armours/Boots/BootsStr9",23,2,2,"Titan Greaves","Metadata/Items/Armours/Boots/AbstractBoots",68,"",[],1,"","[38,1049]",1,1,7644,-1813929226,[],"","","",[],[],"","","","","","","",[],[],"","",""
1161,"Metadata/Items/Armours/Boots/BootsStr10",23,2,2,"Precursor Greaves","Metadata/Items/Armours/Boots/AbstractBoots",78,"",[],1,"","[38,1049,33]",1,1,7643,-408625271,[],"","","",[],[],"","","","","","","",[],[],"","",""
1162,"Metadata/Items/Armours/Boots/BootsStr11",23,2,2,"Leviathan Greaves","Metadata/Items/Armours/Boots/AbstractBoots",84,"",[],1,"","[38,1049,33]",1,1,7644,726475409,[],"","","",[],[],"","","","","","","",[],[],"","",""
1163,"Metadata/Items/Armours/Boots/BootsStrRitual1",23,2,2,"Basemetal Treads","Metadata/Items/Armours/Boots/AbstractBoots",20,"",[25057],1,"","[38,33]",1,1,13936,-596003516,[],"","","",[],[],"","","","","","","",[10450],[],"","",""
1164,"Metadata/Items/Armours/Boots/BootsStrRitual2",23,2,2,"Darksteel Treads","Metadata/Items/Armours/Boots/AbstractBoots",50,"",[25058],1,"","[38,33]",1,1,13937,-854941795,[],"","","",[],[],"","","","","","","",[10450],[],"","",""
1165,"Metadata/Items/Armours/Boots/BootsStrRitual3",23,2,2,"Brimstone Treads","Metadata/Items/Armours/Boots/AbstractBoots",80,"",[25059],1,"","[38,33]",1,1,13938,2083321340,[],"","","",[],[],"","","","","","","",[10450],[],"","",""
1166,"Metadata/Items/Armours/Boots/BootsStrTemp",23,2,2,"Kaom's Greaves","Metadata/Items/Armours/Boots/AbstractBoots",1,"",[],1,"","[38,33]",1,0,7645,1846502957,[],"","","",[],[],"","","","","","","",[],[],"","",""
1167,"Metadata/Items/Armours/Boots/BootsDex1",23,2,2,"Rawhide Boots","Metadata/Items/Armours/Boots/AbstractBoots",3,"",[],1,"",[39],1,1,7646,-997415242,[],"","","",[],[],"","","","","","","",[],[],"","",""
1168,"Metadata/Items/Armours/Boots/BootsDex2",23,2,2,"Goathide Boots","Metadata/Items/Armours/Boots/AbstractBoots",12,"",[],1,"",[39],1,1,7647,-226210165,[],"","","",[],[],"","","","","","","",[],[],"","",""
1169,"Metadata/Items/Armours/Boots/BootsDex3",23,2,2,"Deerskin Boots","Metadata/Items/Armours/Boots/AbstractBoots",22,"",[],1,"",[39],1,1,7648,320380232,[],"","","",[],[],"","","","","","","",[],[],"","",""
1170,"Metadata/Items/Armours/Boots/BootsDex4",23,2,2,"Nubuck Boots","Metadata/Items/Armours/Boots/AbstractBoots",34,"",[],1,"",[39],1,1,7649,-1877080302,[],"","","",[],[],"","","","","","","",[],[],"","",""
1171,"Metadata/Items/Armours/Boots/BootsDex5",23,2,2,"Eelskin Boots","Metadata/Items/Armours/Boots/AbstractBoots",39,"",[],1,"",[39],1,1,7647,-930037321,[],"","","",[],[],"","","","","","","",[],[],"","",""
1172,"Metadata/Items/Armours/Boots/BootsDex6",23,2,2,"Sharkskin Boots","Metadata/Items/Armours/Boots/AbstractBoots",44,"",[],1,"",[39],1,1,7648,1035945456,[],"","","",[],[],"","","","","","","",[],[],"","",""
1173,"Metadata/Items/Armours/Boots/BootsDex7",23,2,2,"Shagreen Boots","Metadata/Items/Armours/Boots/AbstractBoots",55,"",[],1,"",[39],1,1,7649,1986085217,[],"","","",[],[],"","","","","","","",[],[],"","",""
1174,"Metadata/Items/Armours/Boots/BootsDex8",23,2,2,"Stealth Boots","Metadata/Items/Armours/Boots/AbstractBoots",62,"",[],1,"","[39,1049]",1,1,7648,1452611201,[],"","","",[],[],"","","","","","","",[],[],"","",""
1175,"Metadata/Items/Armours/Boots/BootsDex9",23,2,2,"Slink Boots","Metadata/Items/Armours/Boots/AbstractBoots",69,"",[],1,"","[39,1049]",1,1,7649,-526067388,[],"","","",[],[],"","","","","","","",[],[],"","",""
1176,"Metadata/Items/Armours/Boots/BootsDex10",23,2,2,"Harpyskin Boots","Metadata/Items/Armours/Boots/AbstractBoots",78,"",[],1,"","[39,1049,33]",1,1,7648,-1768431018,[],"","","",[],[],"","","","","","","",[],[],"","",""
1177,"Metadata/Items/Armours/Boots/BootsDex11",23,2,2,"Velour Boots","Metadata/Items/Armours/Boots/AbstractBoots",84,"",[],1,"","[39,1049,33]",1,1,7649,-1840838017,[],"","","",[],[],"","","","","","","",[],[],"","",""
1178,"Metadata/Items/Armours/Boots/BootsDexRitual1",23,2,2,"Cloudwhisper Boots","Metadata/Items/Armours/Boots/AbstractBoots",20,"",[25063],1,"","[39,33]",1,1,13939,-1110170180,[],"","","",[],[],"","","","","","","",[10450],[],"","",""
1179,"Metadata/Items/Armours/Boots/BootsDexRitual2",23,2,2,"Windbreak Boots","Metadata/Items/Armours/Boots/AbstractBoots",50,"",[25064],1,"","[39,33]",1,1,13940,1093864014,[],"","","",[],[],"","","","","","","",[10450],[],"","",""
1180,"Metadata/Items/Armours/Boots/BootsDexRitual3",23,2,2,"Stormrider Boots","Metadata/Items/Armours/Boots/AbstractBoots",80,"",[25065],1,"","[39,33]",1,1,13941,-1590227318,[],"","","",[],[],"","","","","","","",[10450],[],"","",""
1181,"Metadata/Items/Armours/Boots/BootsInt1",23,2,2,"Wool Shoes","Metadata/Items/Armours/Boots/AbstractBoots",3,"",[],1,"",[40],1,1,7650,633103013,[],"","","",[],[],"","","","","","","",[],[],"","",""
1182,"Metadata/Items/Armours/Boots/BootsInt2",23,2,2,"Velvet Slippers","Metadata/Items/Armours/Boots/AbstractBoots",9,"",[],1,"",[40],1,1,7651,-1674712538,[],"","","",[],[],"","","","","","","",[],[],"","",""
1183,"Metadata/Items/Armours/Boots/BootsInt3",23,2,2,"Silk Slippers","Metadata/Items/Armours/Boots/AbstractBoots",22,"",[],1,"",[40],1,1,7652,1864994178,[],"","","",[],[],"","","","","","","",[],[],"","",""
1184,"Metadata/Items/Armours/Boots/BootsInt4",23,2,2,"Scholar Boots","Metadata/Items/Armours/Boots/AbstractBoots",32,"",[],1,"",[40],1,1,7653,204126262,[],"","","",[],[],"","","","","","","",[],[],"","",""
1185,"Metadata/Items/Armours/Boots/BootsInt5",23,2,2,"Satin Slippers","Metadata/Items/Armours/Boots/AbstractBoots",38,"",[],1,"",[40],1,1,7651,1029067800,[],"","","",[],[],"","","","","","","",[],[],"","",""
1186,"Metadata/Items/Armours/Boots/BootsInt6",23,2,2,"Samite Slippers","Metadata/Items/Armours/Boots/AbstractBoots",44,"",[],1,"",[40],1,1,7652,-2077622649,[],"","","",[],[],"","","","","","","",[],[],"","",""
1187,"Metadata/Items/Armours/Boots/BootsInt7",23,2,2,"Conjurer Boots","Metadata/Items/Armours/Boots/AbstractBoots",53,"",[],1,"",[40],1,1,7653,-1521672974,[],"","","",[],[],"","","","","","","",[],[],"","",""
1188,"Metadata/Items/Armours/Boots/BootsInt8",23,2,2,"Arcanist Slippers","Metadata/Items/Armours/Boots/AbstractBoots",61,"",[],1,"","[40,1049]",1,1,7652,1190329999,[],"","","",[],[],"","","","","","","",[],[],"","",""
1189,"Metadata/Items/Armours/Boots/BootsInt9",23,2,2,"Sorcerer Boots","Metadata/Items/Armours/Boots/AbstractBoots",67,"",[],1,"","[40,1049]",1,1,7653,805619509,[],"","","",[],[],"","","","","","","",[],[],"","",""
1190,"Metadata/Items/Armours/Boots/BootsInt10",23,2,2,"Sage Slippers","Metadata/Items/Armours/Boots/AbstractBoots",78,"",[],1,"","[40,1049,33]",1,1,7652,834989030,[],"","","",[],[],"","","","","","","",[],[],"","",""
1191,"Metadata/Items/Armours/Boots/BootsInt11",23,2,2,"Warlock Boots","Metadata/Items/Armours/Boots/AbstractBoots",84,"",[],1,"","[40,1049,33]",1,1,7653,-1758879242,[],"","","",[],[],"","","","","","","",[],[],"","",""
1192,"Metadata/Items/Armours/Boots/BootsIntRitual1",23,2,2,"Duskwalk Slippers","Metadata/Items/Armours/Boots/AbstractBoots",20,"",[25060],1,"","[40,33]",1,1,13942,-1066726704,[],"","","",[],[],"","","","","","","",[10450],[],"","",""
1193,"Metadata/Items/Armours/Boots/BootsIntRitual2",23,2,2,"Nightwind Slippers","Metadata/Items/Armours/Boots/AbstractBoots",50,"",[25061],1,"","[40,33]",1,1,13943,-76461453,[],"","","",[],[],"","","","","","","",[10450],[],"","",""
1194,"Metadata/Items/Armours/Boots/BootsIntRitual3",23,2,2,"Dreamquest Slippers","Metadata/Items/Armours/Boots/AbstractBoots",80,"",[25062],1,"","[40,33]",1,1,13944,-175366962,[],"","","",[],[],"","","","","","","",[10450],[],"","",""
1195,"Metadata/Items/Armours/Boots/BootsStrDex1",23,2,2,"Leatherscale Boots","Metadata/Items/Armours/Boots/AbstractBoots",6,"",[],1,"",[41],1,1,7654,1392027773,[],"","","",[],[],"","","","","","","",[],[],"","",""
1196,"Metadata/Items/Armours/Boots/BootsStrDex2",23,2,2,"Ironscale Boots","Metadata/Items/Armours/Boots/AbstractBoots",18,"",[],1,"",[41],1,1,7655,-732843288,[],"","","",[],[],"","","","","","","",[],[],"","",""
1197,"Metadata/Items/Armours/Boots/BootsStrDex3",23,2,2,"Bronzescale Boots","Metadata/Items/Armours/Boots/AbstractBoots",30,"",[],1,"",[41],1,1,7656,1712918601,[],"","","",[],[],"","","","","","","",[],[],"","",""
1198,"Metadata/Items/Armours/Boots/BootsStrDex4",23,2,2,"Steelscale Boots","Metadata/Items/Armours/Boots/AbstractBoots",36,"",[],1,"",[41],1,1,7654,-1603933157,[],"","","",[],[],"","","","","","","",[],[],"","",""
1199,"Metadata/Items/Armours/Boots/BootsStrDex5",23,2,2,"Serpentscale Boots","Metadata/Items/Armours/Boots/AbstractBoots",42,"",[],1,"",[41],1,1,7655,1313012692,[],"","","",[],[],"","","","","","","",[],[],"","",""
1200,"Metadata/Items/Armours/Boots/BootsStrDex6",23,2,2,"Wyrmscale Boots","Metadata/Items/Armours/Boots/AbstractBoots",51,"",[],1,"",[41],1,1,7656,-468169562,[],"","","",[],[],"","","","","","","",[],[],"","",""
1201,"Metadata/Items/Armours/Boots/BootsStrDex7",23,2,2,"Hydrascale Boots","Metadata/Items/Armours/Boots/AbstractBoots",59,"",[],1,"","[41,1049]",1,1,7655,-42567418,[],"","","",[],[],"","","","","","","",[],[],"","",""
1202,"Metadata/Items/Armours/Boots/BootsStrDex8",23,2,2,"Dragonscale Boots","Metadata/Items/Armours/Boots/AbstractBoots",65,"",[],1,"","[41,1049]",1,1,7656,-803493494,[],"","","",[],[],"","","","","","","",[],[],"","",""
1203,"Metadata/Items/Armours/Boots/BootsStrDex9",23,2,2,"Chimerascale Boots","Metadata/Items/Armours/Boots/AbstractBoots",78,"",[],1,"","[41,1049,33]",1,1,7655,984150229,[],"","","",[],[],"","","","","","","",[],[],"","",""
1204,"Metadata/Items/Armours/Boots/BootsStrDex10",23,2,2,"Wyvernscale Boots","Metadata/Items/Armours/Boots/AbstractBoots",84,"",[],1,"","[41,1049,33]",1,1,7656,-346776794,[],"","","",[],[],"","","","","","","",[],[],"","",""
1205,"Metadata/Items/Armours/Boots/BootsStrInt1",23,2,2,"Chain Boots","Metadata/Items/Armours/Boots/AbstractBoots",5,"",[],1,"",[42],1,1,7657,-904512442,[],"","","",[],[],"","","","","","","",[],[],"","",""
1206,"Metadata/Items/Armours/Boots/BootsStrInt2",23,2,2,"Ringmail Boots","Metadata/Items/Armours/Boots/AbstractBoots",13,"",[],1,"",[42],1,1,7658,1686871770,[],"","","",[],[],"","","","","","","",[],[],"","",""
1207,"Metadata/Items/Armours/Boots/BootsStrInt3",23,2,2,"Mesh Boots","Metadata/Items/Armours/Boots/AbstractBoots",28,"",[],1,"",[42],1,1,7659,1469146805,[],"","","",[],[],"","","","","","","",[],[],"","",""
1208,"Metadata/Items/Armours/Boots/BootsStrInt4",23,2,2,"Riveted Boots","Metadata/Items/Armours/Boots/AbstractBoots",36,"",[],1,"",[42],1,1,7657,-1620207599,[],"","","",[],[],"","","","","","","",[],[],"","",""
1209,"Metadata/Items/Armours/Boots/BootsStrInt5",23,2,2,"Zealot Boots","Metadata/Items/Armours/Boots/AbstractBoots",40,"",[],1,"",[42],1,1,7658,-1459818539,[],"","","",[],[],"","","","","","","",[],[],"","",""
1210,"Metadata/Items/Armours/Boots/BootsStrInt6",23,2,2,"Soldier Boots","Metadata/Items/Armours/Boots/AbstractBoots",49,"",[],1,"",[42],1,1,7659,-331353629,[],"","","",[],[],"","","","","","","",[],[],"","",""
1211,"Metadata/Items/Armours/Boots/BootsStrInt7",23,2,2,"Legion Boots","Metadata/Items/Armours/Boots/AbstractBoots",58,"",[],1,"","[42,1049]",1,1,7658,1688792203,[],"","","",[],[],"","","","","","","",[],[],"","",""
1212,"Metadata/Items/Armours/Boots/BootsStrInt8",23,2,2,"Crusader Boots","Metadata/Items/Armours/Boots/AbstractBoots",64,"",[],1,"","[42,1049]",1,1,7659,-1329196595,[],"","","",[],[],"","","","","","","",[],[],"","",""
1213,"Metadata/Items/Armours/Boots/BootsStrInt9",23,2,2,"Martyr Boots","Metadata/Items/Armours/Boots/AbstractBoots",78,"",[],1,"","[42,1049,33]",1,1,7658,-1985381089,[],"","","",[],[],"","","","","","","",[],[],"","",""
1214,"Metadata/Items/Armours/Boots/BootsStrInt10",23,2,2,"Paladin Boots","Metadata/Items/Armours/Boots/AbstractBoots",84,"",[],1,"","[42,1049,33]",1,1,7659,-851956386,[],"","","",[],[],"","","","","","","",[],[],"","",""
1215,"Metadata/Items/Armours/Boots/BootsDexInt1",23,2,2,"Wrapped Boots","Metadata/Items/Armours/Boots/AbstractBoots",6,"",[],1,"",[43],1,1,7660,411614592,[],"","","",[],[],"","","","","","","",[],[],"","",""
1216,"Metadata/Items/Armours/Boots/BootsDexInt2",23,2,2,"Strapped Boots","Metadata/Items/Armours/Boots/AbstractBoots",16,"",[],1,"",[43],1,1,7661,-1090903961,[],"","","",[],[],"","","","","","","",[],[],"","",""
1217,"Metadata/Items/Armours/Boots/BootsDexInt3",23,2,2,"Clasped Boots","Metadata/Items/Armours/Boots/AbstractBoots",27,"",[],1,"",[43],1,1,7662,1821869958,[],"","","",[],[],"","","","","","","",[],[],"","",""
1218,"Metadata/Items/Armours/Boots/BootsDexInt4",23,2,2,"Shackled Boots","Metadata/Items/Armours/Boots/AbstractBoots",34,"",[],1,"",[43],1,1,7663,849545958,[],"","","",[],[],"","","","","","","",[],[],"","",""
1219,"Metadata/Items/Armours/Boots/BootsDexInt5",23,2,2,"Trapper Boots","Metadata/Items/Armours/Boots/AbstractBoots",41,"",[],1,"",[43],1,1,7661,-876309752,[],"","","",[],[],"","","","","","","",[],[],"","",""
1220,"Metadata/Items/Armours/Boots/BootsDexInt6",23,2,2,"Ambush Boots","Metadata/Items/Armours/Boots/AbstractBoots",47,"",[],1,"",[43],1,1,7662,-10514448,[],"","","",[],[],"","","","","","","",[],[],"","",""
1221,"Metadata/Items/Armours/Boots/BootsDexInt7",23,2,2,"Carnal Boots","Metadata/Items/Armours/Boots/AbstractBoots",55,"",[],1,"",[43],1,1,7663,-668477495,[],"","","",[],[],"","","","","","","",[],[],"","",""
1222,"Metadata/Items/Armours/Boots/BootsDexInt8",23,2,2,"Assassin's Boots","Metadata/Items/Armours/Boots/AbstractBoots",63,"",[],1,"","[43,1049]",1,1,7662,-685033413,[],"","","",[],[],"","","","","","","",[],[],"","",""
1223,"Metadata/Items/Armours/Boots/BootsDexInt9",23,2,2,"Murder Boots","Metadata/Items/Armours/Boots/AbstractBoots",69,"",[],1,"","[43,1049]",1,1,7663,-1432680837,[],"","","",[],[],"","","","","","","",[],[],"","",""
1224,"Metadata/Items/Armours/Boots/BootsDexInt10",23,2,2,"Infiltrator Boots","Metadata/Items/Armours/Boots/AbstractBoots",78,"",[],1,"","[43,1049,33]",1,1,7662,-602269370,[],"","","",[],[],"","","","","","","",[],[],"","",""
1225,"Metadata/Items/Armours/Boots/BootsDexInt11",23,2,2,"Phantom Boots","Metadata/Items/Armours/Boots/AbstractBoots",84,"",[],1,"","[43,1049,33]",1,1,7663,-668697923,[],"","","",[],[],"","","","","","","",[],[],"","",""
1226,"Metadata/Items/Armours/Boots/BootsDemigods1",23,2,2,"Golden Caligae","Metadata/Items/Armours/Boots/AbstractBoots",12,"",[3480],1,"","[33,709]",1,1,7664,-1454586291,[],"","","",[],[],"","","","","","","",[],[],"","",""
1227,"Metadata/Items/Armours/Boots/BootsDescent1",23,2,2,"Avian Slippers","Metadata/Items/Armours/Boots/AbstractBoots",1,"",[2248],1,"",[33],1,0,7650,703109422,[],"","","",[],[],"","","","","","","",[],[],"","",""
