"rownum","Id","MonsterTypesKey","i32_24","ObjectSize","MinimumAttackDistance","MaximumAttackDistance","ACTFiles","AOFiles","BaseMonsterTypeIndex","ModsKeys","i32_96","string_100","string_108","ModelSizeMultiplier","i32_120","i32_124","i32_128","i32_132","i32_136","TagsKeys","ExperienceMultiplier","[i32]_160","i32_176","i32_180","i32_184","CriticalStrikeChance","i32_192","GrantedEffectsKeys","AISFile","ModsKeys2","Stance","rid_244","Name","Name (French)","Name (German)","Name (Japanese)","Name (Korean)","Name (Portuguese)","Name (Russian)","Name (Spanish)","Name (Thai)","Name (Traditional Chinese)","DamageMultiplier","LifeMultiplier","AttackSpeed","Weapon1_ItemVisualIdentityKeys","Weapon2_ItemVisualIdentityKeys","Back_ItemVisualIdentityKey","MainHand_ItemClassesKey","OffHand_ItemClassesKey","Helmet_ItemVisualIdentityKey","i32_376","KillSpecificMonsterCount_AchievementItemsKeys","Special_ModsKeys","KillRare_AchievementItemsKeys","bool_428","i32_429","i32_433","i32_437","i32_441","i32_445","i32_449","HASH16","bool_455","string_456"," (French)"," (German)"," (Japanese)"," (Korean)"," (Portuguese)"," (Russian)"," (Spanish)"," (Thai)"," (Traditional Chinese)","KillWhileOnslaughtIsActive_AchievementItemsKey","MonsterSegmentsKey","MonsterArmoursKey","KillWhileTalismanIsActive_AchievementItemsKey","Part1_ModsKeys","Part2_ModsKeys","Endgame_ModsKeys","rid_576","i32_592","i32_596","[rid]_600","[rid]_616","i32_632","SinkAnimation_AOFile","bool_644","[rid]_645","bool_661","bool_662","bool_663","i32_664","i32_668","f32_672","i32_676","EPKFile","i32_688","MonsterConditionalEffectPacksKey","bool_708","bool_709","i32_710","bool_714","i32_715","i32_719","i32_723","i32_727","i32_731","i32_735","AddonMonsterTypeIndex","i32_755","i32_759","i32_763","i32_767","i32_771","bool_775","BossHealthBar","bool_777"
1037,"Metadata/Monsters/Statue/StatueChurchMapBossStandaloneAtlasUber",884,18,3,6,16,"[""Metadata/Monsters/Statue/Church/StatueChurchMapBoss.act""]","[""Metadata/Monsters/Statue/Church/StatueChurch.ao""]","Metadata/Monsters/Statue/StatueChurchMapBossStandaloneAtlasUber",[],1,"","",170,4,6,3,6,0,"[821,34,74,766,774,782,48,797,764,120,30,31,765,826,811,801]",300,[],105,105,700,500,0,"[406,4932,812,3668,3669,4179]","Metadata/Monsters/Statue/StatueChurchMapBossAtlas.ais",[],"",5,"Burning Faith","Foi brûlante","Brennender Glaube","燃え盛る信仰","불타는 믿음","Fé Ardente","Пылающая вера","Fe ardiente","Burning Faith","燃燒信念",180,405,1500,[7500],[],"",32,"","",0,[],[],[],1,1,6,100,0,0,100,16517,"","","F","M","","","F","FS","F","","","","","","",[],[],[],"",200,0,[],[],10,"","",[],"",1,"",-20,-10,0,405,"",0,"","","",3,1,0,0,0,0,0,0,"[""Metadata/Monsters/AtlasUbers/AtlasUberMonsterBase""]",0,0,0,0,0,"","",""
1038,"Metadata/Monsters/Statue/StatueChurchMapBossElder",883,18,3,6,6,"[""Metadata/Monsters/Statue/Church/StatueChurchMapBoss.act""]","[""Metadata/Monsters/Statue/Church/StatueChurch.ao""]","Metadata/Monsters/Statue/StatueChurchMapBossElderClone","[4008,23029]",1,"","",170,4,3,3,6,0,"[821,74,827,774,782,48,797,120,830,30,31,811,801]",200,[],105,105,700,500,0,[],"Metadata/Monsters/NoAi.ais",[],"",5,"Suncaller Asha","Asha Mande-soleil","Sonnenanbeterin Asha","サンコーラー・アシャ","태양부름 아샤","Asha, Convocadora do Sol","Аша Призывающая Солнце","Asha Invocasol","ผู้เรียกตะวัน แอชา","喚日者艾沙",180,400,1500,[7500],[],"",32,"","",0,[],[],[],"",1,6,100,0,0,100,-22873,"","","F","F","","","F","FS","F","","","","","","",[],[],[],"",200,0,[],[],10,"","",[],"","",1,0,0,0,400,"",0,"",1,"",3,1,0,0,0,0,0,0,[],0,0,0,0,0,"","",""
1039,"Metadata/Monsters/Statue/StatueChurchMapBossVastiri",885,27,3,6,6,"[""Metadata/Monsters/Statue/Church/StatueChurchMapBoss.act""]","[""Metadata/Monsters/Statue/Church/StatueChurch.ao""]","Metadata/Monsters/Statue/StatueChurchMapBossVastiri","[4008,23029]",1,"","",170,4,6,3,6,0,"[821,34,74,774,782,48,797,764,120,30,31,765,32,802,811,824]",200,[],105,105,700,500,0,"[406,8546,7595,7596,7597,7598,2829,2830,2831,767,5547,7599]","Metadata/Monsters/Statue/Church/VastiriBoss.ais",[],"",5,"Talin, Faithbreaker","Talin, Brisecroyance","Talin, Glaubensbrecherin","フェイスブレイカー、タリン","신념파괴자 탈린","Talin, a Desvirtuadora","Талин, Вероломный","Talin, Doblegador de fe","ทาลิน ผู้ทำลายศรัทธา","無神論者泰琳",180,3400,1500,[7500],[],"",32,"","",0,[],[],[],"",1,6,100,0,0,100,31342,"","","M","F","","","F","MS","M","","","","","","",[],[],[],"",200,0,[],[],10,"","",[],"",1,1,0,0,0,2200,"",0,"",1,"",3,1,0,0,0,0,0,0,[],0,0,0,0,0,"","",""
1040,"Metadata/Monsters/Statue/StatueChurchMapBossVastiriElder",885,18,3,6,6,"[""Metadata/Monsters/Statue/Church/StatueChurchMapBoss.act""]","[""Metadata/Monsters/Statue/Church/StatueChurch.ao""]","Metadata/Monsters/ElderBosses/ElderBossClone","[4008,23029]",1,"","",170,4,3,3,6,0,"[821,74,827,774,782,48,797,120,830,30,31,811,801]",200,[],105,105,700,500,0,[],"Metadata/Monsters/NoAi.ais",[],"",5,"Talin, Faithbreaker","Talin, Brisecroyance","Talin, Glaubensbrecherin","フェイスブレイカー、タリン","신념파괴자 탈린","Talin, a Desvirtuadora","Талин, Вероломный","Talin, Doblegador de fe","ทาลิน ผู้ทำลายศรัทธา","無神論者泰琳",180,3400,1500,[7500],[],"",32,"","",0,[],[],[],"",1,6,100,0,0,100,-1572,"","","M","F","","","F","MS","M","","","","","","",[],[],[],"",200,0,[],[],10,"","",[],"","",1,0,0,0,2200,"",0,"",1,"",3,1,0,0,0,0,0,0,[],0,0,0,0,0,"","",""
1041,"Metadata/Monsters/Statue/PetrificationStatue",880,18,3,6,10,"[""Metadata/Monsters/Statue/PetrificationStatue/PetrificationStatue.act""]","[""Metadata/Monsters/Statue/PetrificationStatue/PetrificationStatue.ao""]","Metadata/Monsters/Statue/PetrificationStatue/PetrificationStatue",[8741],1,"","",170,2,3,3,6,0,"[821,74,48,791,797,120,830,30,31,811,801]",120,[],105,105,700,500,0,[],"Metadata/Monsters/NoAi.ais",[],"",5,"Petrification Statue","Statue pétrifiante","Versteinerungsstatue","石化の像","석화의 조각상","Estátua da Petrificação","Оцепеняющая статуя","Estatua de petrificación","รูปปั้นสาปเป็นหิน","石化雕像",120,210,1500,[],[],"","","","",0,[],[],[],"",1,6,100,0,0,100,-1291,"","","F","F","","","F","FS","F","","","","","","",[],[],[],"",200,0,[],[],10,"","",[],"","",1,0,0,0,210,"",0,"","","",3,1,0,0,0,0,0,0,[],0,0,0,0,0,"","",""
1042,"Metadata/Monsters/Totems/TotemBossSpark",807,0,4,6,6,"[""Metadata/Monsters/Totems/tiki_totem/tiki_totem_kuduku.act""]","[""Metadata/Monsters/Totems/tiki_totem/kuduku_totem.ao""]","Metadata/Monsters/Totems/TotemBossKuduku",[],1,"","",180,4,6,6,6,0,"[34,74,163,791,141,768,796,120,30,31,32,811]",200,[],105,105,700,500,0,"[1032,894]","Metadata/Monsters/Totems/TotemBossKuduku.ais",[],"",6,"Kuduku, the False God","Kuduku, le faux Dieu","Kuduku der Irrgott","邪神、クドゥク","거짓 신 쿠두쿠","Kuduku, o Falso Deus","Кудуку, Лжебог","Kuduku, el Dios falso","คูดูคู เทพจำแลง","偽神庫度古",120,360,1500,[],[],"","","","",0,[],[],[],"",1,6,100,0,0,100,14482,"","","M","M","","","M","MS","M","","","","","","",[],[],[],"",200,0,[],[],10,"","",[],"",1,1,0,0,0,360,"",0,"",1,"",3,1,0,0,0,0,0,0,[],0,0,0,0,0,"","",""
1043,"Metadata/Monsters/Totems/TotemBossDescent2",818,0,4,6,6,"[""Metadata/Monsters/Totems/tiki_totem/tiki_totem_strength_kuduku.act""]","[""Metadata/Monsters/Totems/tiki_totem/kuduku_totem.ao""]","Metadata/Monsters/Totems/TotemBossDescent2",[4019],1,"","",180,4,6,6,6,0,"[34,74,163,791,141,768,796,120,30,31,32,811]",110,[],105,105,700,500,0,"[1013,886,1240,2264,1241]","Metadata/Monsters/Totems/TotemBossDescent2.ais",[],"",6,"Rukuku, the Pagan God","Rukuku, le Dieu païen","Rukuku der Heidengott","異教神、ルクク","이교도 신 루쿠쿠","Rukuku, o Deus Pagão","Рукуку, Языческий идол","Rukuku, el Dios pagano","รูคูคู เทพเพแกน","邪神盧庫庫",110,330,1500,[],[],"","","","",0,[],[],[],"",1,6,100,0,0,100,-6850,"","","M","M","","","M","MS","M","","","","","","",[],[],[],"",200,0,[],[],10,"","",[],"","",1,0,0,0,330,"",0,"",1,"",3,1,0,0,0,0,0,0,[],0,0,0,0,0,"","",""
1044,"Metadata/Monsters/Totems/TotemBossEndlessLedge",819,0,4,6,6,"[""Metadata/Monsters/Totems/tiki_totem/tiki_totem_strength_kuduku.act""]","[""Metadata/Monsters/Totems/tiki_totem/kuduku_totem.ao""]","Metadata/Monsters/Totems/TotemBoss",[],1,"","",180,4,6,6,6,0,"[34,74,163,791,141,768,796,120,30,31,32,811]",100,[],105,105,700,500,0,"[1013,892]","Metadata/Monsters/Totems/TotemBossSparkShockNova.ais",[],"",6,"Kuduku, the False God","Kuduku, le faux Dieu","Kuduku der Irrgott","邪神、クドゥク","거짓 신 쿠두쿠","Kuduku, o Deus Falso","Кудуку, Лжебог","Kuduku, el Dios falso","คูดูคู เทพจำแลง","偽神庫度古",100,140,1500,[],[],"","","","",0,[],[],[],"",1,6,100,0,0,100,-16916,"","","M","M","","","M","MS","M","","","","","","",[],[],[],"",200,0,[],[],10,"","",[],"","",1,0,0,0,140,"",0,"",1,"",3,1,0,0,0,0,0,0,[],0,0,0,0,0,"","",""
1045,"Metadata/Monsters/Totems/TotemBossProphecyStormCall",807,0,4,6,6,"[""Metadata/Monsters/Totems/tiki_totem/tiki_totem_strength_kuduku.act""]","[""Metadata/Monsters/Totems/tiki_totem/kadaka_totem.ao""]","Metadata/Monsters/Totems/ProphecyTotemBossKadaka",[9417],1,"","",180,4,6,6,6,0,"[34,74,771,163,791,141,768,796,120,30,31,32,811]",200,[],105,105,700,500,0,"[2981,1016,2441,2381]","Metadata/Monsters/Totems/ProphecyTotemBossKadaka.ais",[],"",6,"Kadaka, the Goddess of Luck","Kadaka, la Déesse de la chance","Kadaka die Göttin des Glücks","幸運の神、カダカ","행운의 여신 카다카","Kadaka, a Deusa da Sorte","Кадака, Богиня удачи","Kadaka, la Diosa de la suerte","คาดากะ เทพีแห่งโชคชะตา","幸運女神卡達卡",120,360,1500,[],[],"","","","",0,[],[],[],"",1,6,100,0,0,100,10375,"","","F","F","","","M","FS","M","","","","","","",[],[],[],"",200,0,[],[],10,"","",[],"","",1,0,0,0,360,"",0,"",1,"",3,1,0,0,0,0,0,0,[],0,0,0,0,0,"","",""
1046,"Metadata/Monsters/Totems/TotemBossProphecyStormCallStandalone",807,0,4,6,6,"[""Metadata/Monsters/Totems/tiki_totem/tiki_totem_strength_kuduku.act""]","[""Metadata/Monsters/Totems/tiki_totem/kadaka_totem.ao""]","Metadata/Monsters/Totems/ProphecyTotemBossKadakaStandalone",[],1,"","",180,4,6,6,6,0,"[34,74,771,163,791,141,768,120,30,31,32,811]",200,[],105,105,700,500,0,"[2981,1016,2441,2381]","Metadata/Monsters/Totems/ProphecyTotemBossKadaka.ais",[],"",6,"Kadaka, the Goddess of Luck","Kadaka, la Déesse de la chance","Kadaka die Göttin des Glücks","幸運の神、カダカ","행운의 여신 카다카","Kadaka, a Deusa da Sorte","Кадака, Богиня удачи","Kadaka, la Diosa de la suerte","คาดากะ เทพีแห่งโชคชะตา","幸運女神卡達卡",120,360,1500,[],[],"","","","",0,[],[],[],"",1,6,100,0,0,100,23082,"","","F","F","","","M","FS","M","","","","","","",[],[],[],"",200,0,[],[],10,"","",[],"","",1,0,0,0,360,"",0,"",1,"",3,1,0,0,0,0,0,0,[],0,0,0,0,0,"","",""
1047,"Metadata/Monsters/Totems/TotemSlowPlayer",786,0,4,6,6,"[""Metadata/Monsters/Totems/generic_totem/monster_totem_strength.act""]","[""Metadata/Monsters/Totems/generic_totem/red.ao""]","Metadata/Monsters/Totems/MonsterTotemWithPack",[4890],1,"","",100,2,1,6,6,0,"[74,163,791,141,120,830,30,31,794,811]",100,[],105,105,700,500,0,[],"Metadata/Monsters/NoAi.ais",[],"",6,"Grinning Totem","Totem grimaçant","Grinsendes Totem","グリニングトーテム","웃는 토템","Totem Sorridente","Скалящийся тотем","Tótem sonriente","โทเทมยิ้มแสยะ","邪面圖騰",100,400,1500,[],[],"","","","",0,[],[],[],"",1,2,1,1,20,100,7933,"","","M","N","","","M","MS","M","","","","","","",[],[],[],"",200,0,[],[],10,"","",[],"",1,1,0,0,0,400,"",0,"","","",3,1,0,0,0,0,0,0,[],0,0,0,0,0,"","",""
1048,"Metadata/Monsters/Totems/TotemMonsterHealthRegen",786,0,4,6,6,"[""Metadata/Monsters/Totems/generic_totem/monster_totem_strength.act""]","[""Metadata/Monsters/Totems/generic_totem/red.ao""]","Metadata/Monsters/Totems/MonsterTotemWithPack",[4051],1,"","",100,2,1,6,6,0,"[74,163,791,141,120,830,30,31,794,811]",100,[],105,105,700,500,0,[],"Metadata/Monsters/NoAi.ais",[],"",6,"Grinning Totem","Totem grimaçant","Grinsendes Totem","グリニングトーテム","웃는 토템","Totem Sorridente","Скалящийся тотем","Tótem sonriente","โทเทมยิ้มแสยะ","邪面圖騰",100,400,1500,[],[],"","","","",0,[],[],[],"",1,2,1,1,20,100,-32300,"","","M","N","","","M","MS","M","","","","","","",[],[],[],"",200,0,[],[],10,"","",[],"",1,1,0,0,0,400,"",0,"","","",3,1,0,0,0,0,0,0,[],0,0,0,0,0,"","",""
1049,"Metadata/Monsters/Totems/TotemMonsterDamage",786,0,4,6,6,"[""Metadata/Monsters/Totems/generic_totem/monster_totem_strength.act""]","[""Metadata/Monsters/Totems/generic_totem/red.ao""]","Metadata/Monsters/Totems/MonsterTotemWithPack",[4055],1,"","",100,2,1,6,6,0,"[74,163,791,141,120,830,30,31,794,811]",100,[],105,105,700,500,0,[],"Metadata/Monsters/NoAi.ais",[],"",6,"Vaal Totem","Totem vaal","Vaal-Totem","ヴァール・トーテム","바알 토템","Totem Vaal","Тотем ваал","Tótem vaal","โทเทมวาล์","瓦爾圖騰",100,400,1500,[],[],"","","","",0,[],[],[],"",1,2,1,1,20,100,-29697,"","","M","N","","","M","MS","M","","","","","","",[],[],[],"",200,0,[],[],10,"","",[],"",1,1,0,0,0,400,"",0,"","","",3,1,0,0,0,0,0,0,[],0,0,0,0,0,"","",""
1050,"Metadata/Monsters/Totems/TotemMonsterSpeed",786,0,4,6,6,"[""Metadata/Monsters/Totems/generic_totem/monster_totem_strength.act""]","[""Metadata/Monsters/Totems/generic_totem/red.ao""]","Metadata/Monsters/Totems/MonsterTotemWithPack",[4048],1,"","",100,2,1,6,6,0,"[74,163,791,141,120,830,30,31,794,811]",100,[],105,105,700,500,0,[],"Metadata/Monsters/NoAi.ais",[],"",6,"Grinning Totem","Totem grimaçant","Grinsendes Totem","グリニングトーテム","웃는 토템","Totem Sorridente","Скалящийся тотем","Tótem sonriente","โทเทมยิ้มแสยะ","邪面圖騰",100,400,1500,[],[],"","","","",0,[],[],[],"",1,2,1,1,20,100,-19304,"","","M","N","","","M","MS","M","","","","","","",[],[],[],"",200,0,[],[],10,"","",[],"",1,1,0,0,0,400,"",0,"","","",3,1,0,0,0,0,0,0,[],0,0,0,0,0,"","",""
1051,"Metadata/Monsters/Totems/TotemMonsterSpeedNecrotic",785,0,4,6,6,"[""Metadata/Monsters/Totems/Ziggurat/monster_totem_ziggurat.act""]","[""Metadata/Monsters/Totems/Ziggurat/ZigguratTotem.ao""]","Metadata/Monsters/Totems/MonsterTotemWithPack",[4048],1,"","",100,2,1,6,6,0,"[74,163,791,141,796,120,830,30,31,811]",100,[],105,105,700,500,0,[],"Metadata/Monsters/NoAi.ais",[],"",6,"Grinning Totem","Totem grimaçant","Grinsendes Totem","グリニングトーテム","웃는 토템","Totem Sorridente","Скалящийся тотем","Tótem sonriente","โทเทมยิ้มแสยะ","邪面圖騰",100,200,1500,[],[],"","","","",0,[],[],[],"",1,2,1,1,20,100,-24176,"","","M","N","","","M","MS","M","","","","","","",[],[],[],"",200,0,[],[],10,"","",[],"","",1,0,0,0,200,"",0,"","","",3,1,0,0,0,0,0,0,[],0,0,0,0,0,"","",""
1052,"Metadata/Monsters/Totems/TikiTotemSlowPlayer",786,0,4,6,6,"[""Metadata/Monsters/Totems/tiki_totem/tiki_totem_strength.act""]","[""Metadata/Monsters/Totems/tiki_totem/red_tiki.ao""]","Metadata/Monsters/Totems/MonsterTotemWithPack",[4890],1,"","",80,2,1,6,12,0,"[74,163,791,141,120,830,30,31,817]",100,[],105,105,700,500,0,[],"Metadata/Monsters/NoAi.ais",[],"stance2",6,"Grinning Totem","Totem grimaçant","Grinsendes Totem","グリニングトーテム","웃는 토템","Totem Sorridente","Скалящийся тотем","Tótem sonriente","โทเทมยิ้มแสยะ","邪面圖騰",100,400,1500,[],[],"","","","",0,[],[],[],"",1,2,1,1,10,100,-17015,"","","M","N","","","M","MS","M","","","","","","",[],[],[],"",200,0,[],[],0,"","",[],"",1,1,0,0,0,400,"",0,"","","",3,1,0,0,0,0,0,0,[],0,0,0,0,0,"","",""
1053,"Metadata/Monsters/Totems/TikiTotemMonsterHealthRegen",786,0,4,6,6,"[""Metadata/Monsters/Totems/tiki_totem/tiki_totem_strength.act""]","[""Metadata/Monsters/Totems/tiki_totem/red_tiki.ao""]","Metadata/Monsters/Totems/MonsterTotemWithPack",[4051],1,"","",80,2,1,6,12,0,"[74,163,791,141,120,830,30,31,817]",100,[],105,105,700,500,0,[],"Metadata/Monsters/NoAi.ais",[],"stance2",6,"Grinning Totem","Totem grimaçant","Grinsendes Totem","グリニングトーテム","웃는 토템","Totem Sorridente","Скалящийся тотем","Tótem sonriente","โทเทมยิ้มแสยะ","邪面圖騰",100,400,1500,[],[],"","","","",0,[],[],[],"",1,2,1,1,10,100,12267,"","","M","N","","","M","MS","M","","","","","","",[],[],[],"",200,0,[],[],0,"","",[],"",1,1,0,0,0,400,"",0,"","","",3,1,0,0,0,0,0,0,[],0,0,0,0,0,"","",""
1054,"Metadata/Monsters/Totems/TikiTotemMonsterDamage",786,0,4,6,6,"[""Metadata/Monsters/Totems/tiki_totem/tiki_totem_strength.act""]","[""Metadata/Monsters/Totems/tiki_totem/red_tiki.ao""]","Metadata/Monsters/Totems/MonsterTotemWithPack",[4055],1,"","",80,2,1,6,12,0,"[74,163,791,141,120,830,30,31,817]",100,[],105,105,700,500,0,[],"Metadata/Monsters/NoAi.ais",[],"stance2",6,"Grinning Totem","Totem grimaçant","Grinsendes Totem","グリニングトーテム","웃는 토템","Totem Sorridente","Скалящийся тотем","Tótem sonriente","โทเทมยิ้มแสยะ","邪面圖騰",100,400,1500,[],[],"","","","",0,[],[],[],"",1,2,1,1,10,100,13134,"","","M","N","","","M","MS","M","","","","","","",[],[],[],"",200,0,[],[],0,"","",[],"",1,1,0,0,0,400,"",0,"","","",3,1,0,0,0,0,0,0,[],0,0,0,0,0,"","",""
1055,"Metadata/Monsters/Totems/TikiTotemMonsterSpeed",786,0,4,6,6,"[""Metadata/Monsters/Totems/tiki_totem/tiki_totem_strength.act""]","[""Metadata/Monsters/Totems/tiki_totem/red_tiki.ao""]","Metadata/Monsters/Totems/MonsterTotemWithPack",[4048],1,"","",80,2,1,6,12,0,"[74,163,791,141,120,830,30,31,817]",100,[],105,105,700,500,0,[],"Metadata/Monsters/NoAi.ais",[],"stance2",6,"Grinning Totem","Totem grimaçant","Grinsendes Totem","グリニングトーテム","웃는 토템","Totem Sorridente","Скалящийся тотем","Tótem sonriente","โทเทมยิ้มแสยะ","邪面圖騰",100,400,1500,[],[],"","","","",0,[],[],[],"",1,2,1,1,10,100,27152,"","","M","N","","","M","MS","M","","","","","","",[],[],[],"",200,0,[],[],0,"","",[],"",1,1,0,0,0,400,"",0,"","","",3,1,0,0,0,0,0,0,[],0,0,0,0,0,"","",""
1056,"Metadata/Monsters/Totems/BellyTotem1",787,0,2,6,6,"[""Metadata/Monsters/Totems/PainPylon/PainPylonBelly.act""]","[""Metadata/Monsters/Totems/PainPylon/PainPylon.ao""]","Metadata/Monsters/Totems/MonsterTotem",[],1,"","",100,3,6,6,1,0,"[34,74,806,163,791,141,796,30,31,765,118]",100,[],105,105,700,500,0,[6193],"Metadata/Monsters/Totems/BellyTotem.ais",[],"",1,"Carnage Pillar","Pilier du carnage","Säule des Blutrauschs","カーネイジ・ピラー","학살 기둥","Pilar da Carnificina","Столп резни","Pilar de matanza","แท่นอำมหิต","屠殺圓柱",100,200,1500,[],[],"","","","",0,[],[],[],"",1,6,100,0,0,100,-5471,"","","M","F","","","M","MS","M","","","","","","",[],[],[],"",200,0,[],[],10,"","",[],"","",1,0,0,0,200,"",0,"","","",3,1,0,0,0,0,0,0,[],0,0,0,0,0,"","",""
1057,"Metadata/Monsters/Totems/BellyTotem2__",787,0,2,6,6,"[""Metadata/Monsters/Totems/PainPylon/PainPylonBelly.act""]","[""Metadata/Monsters/Totems/PainPylon/PainPylon.ao""]","Metadata/Monsters/Totems/MonsterTotem",[],1,"","",100,3,6,6,1,0,"[34,74,806,163,791,141,796,30,31,765,118]",100,[],105,105,700,500,0,[6196],"Metadata/Monsters/Totems/BellyTotem.ais",[],"",1,"Carnage Pillar","Pilier du carnage","Säule des Blutrauschs","カーネイジ・ピラー","학살 기둥","Pilar da Carnificina","Столп резни","Pilar de matanza","แท่นอำมหิต","屠殺圓柱",100,200,1500,[],[],"","","","",0,[],[],[],"",1,6,100,0,0,100,14936,"","","M","F","","","M","MS","M","","","","","","",[],[],[],"",200,0,[],[],10,"","",[],"","",1,0,0,0,200,"",0,"","","",3,1,0,0,0,0,0,0,[],0,0,0,0,0,"","",""
1058,"Metadata/Monsters/Totems/BellyTotem3",787,0,2,6,6,"[""Metadata/Monsters/Totems/PainPylon/PainPylonBelly.act""]","[""Metadata/Monsters/Totems/PainPylon/PainPylon.ao""]","Metadata/Monsters/Totems/MonsterTotem",[],1,"","",100,3,6,6,1,0,"[34,74,806,163,791,141,796,30,31,765,32,118]",100,[],105,105,700,500,0,[4998],"Metadata/Monsters/Totems/BellyTotem.ais",[],"",1,"Carnage Pillar","Pilier du carnage","Säule des Blutrauschs","カーネイジ・ピラー","학살 기둥","Pilar da Carnificina","Столп резни","Pilar de matanza","แท่นอำมหิต","屠殺圓柱",100,200,1500,[],[],"","","","",0,[],[],[],"",1,6,100,0,0,100,-332,"","","M","F","","","M","MS","M","","","","","","",[],[],[],"",200,0,[],[],10,"","",[],"","",1,0,0,0,200,"",0,"","","",3,1,0,0,0,0,0,0,[],0,0,0,0,0,"","",""
1059,"Metadata/Monsters/Totems/BellyTotem4",787,0,2,6,6,"[""Metadata/Monsters/Totems/PainPylon/PainPylonBelly.act""]","[""Metadata/Monsters/Totems/PainPylon/PainPylon.ao""]","Metadata/Monsters/Totems/MonsterTotem",[],1,"","",100,3,6,6,1,0,"[34,74,806,163,791,141,796,30,31,765,32,118]",100,[],105,105,700,500,0,[1607],"Metadata/Monsters/Totems/BellyTotem.ais",[],"",1,"Carnage Pillar","Pilier du carnage","Säule des Blutrauschs","カーネイジ・ピラー","학살 기둥","Pilar da Carnificina","Столп резни","Pilar de matanza","แท่นอำมหิต","屠殺圓柱",100,200,1500,[],[],"","","","",0,[],[],[],"",1,6,100,0,0,100,-24623,"","","M","F","","","M","MS","M","","","","","","",[],[],[],"",200,0,[],[],10,"","",[],"","",1,0,0,0,200,"",0,"","","",3,1,0,0,0,0,0,0,[],0,0,0,0,0,"","",""
1060,"Metadata/Monsters/Totems/BellyTotem5",787,0,2,6,6,"[""Metadata/Monsters/Totems/PainPylon/PainPylonBelly.act""]","[""Metadata/Monsters/Totems/PainPylon/PainPylon.ao""]","Metadata/Monsters/Totems/MonsterTotem",[],1,"","",100,3,6,6,1,0,"[34,74,766,806,163,791,141,796,30,31,118]",100,[],105,105,700,500,0,"[3220,9020]","Metadata/Monsters/Totems/BellyTotem.ais",[],"",1,"Carnage Pillar","Pilier du carnage","Säule des Blutrauschs","カーネイジ・ピラー","학살 기둥","Pilar da Carnificina","Столп резни","Pilar de matanza","แท่นอำมหิต","屠殺圓柱",100,200,1500,[],[],"","","","",0,[],[],[],"",1,6,100,0,0,100,791,"","","M","F","","","M","MS","M","","","","","","",[],[],[],"",200,0,[],[],10,"","",[],"","",1,0,0,0,200,"",0,"","","",3,1,0,0,0,0,0,0,[],0,0,0,0,0,"","",""
1061,"Metadata/Monsters/Totems/BellyTotem7",787,0,2,6,6,"[""Metadata/Monsters/Totems/PainPylon/PainPylonBelly.act""]","[""Metadata/Monsters/Totems/PainPylon/PainPylon.ao""]","Metadata/Monsters/Totems/MonsterTotem",[],1,"","",100,3,6,6,1,0,"[34,74,806,163,791,141,796,30,31,118]",100,[],105,105,700,500,0,"[5712,4727]","Metadata/Monsters/Totems/BellyTotem.ais",[],"",1,"Carnage Pillar","Pilier du carnage","Säule des Blutrauschs","カーネイジ・ピラー","학살 기둥","Pilar da Carnificina","Столп резни","Pilar de matanza","แท่นอำมหิต","屠殺圓柱",100,200,1500,[],[],"","","","",0,[],[],[],"",1,6,100,0,0,100,15859,"","","M","F","","","M","MS","M","","","","","","",[],[],[],"",200,0,[],[],10,"","",[],"","",1,0,0,0,200,"",0,"","","",3,1,0,0,0,0,0,0,[],0,0,0,0,0,"","",""
1062,"Metadata/Monsters/Totems/BellyTotem8",787,0,2,6,6,"[""Metadata/Monsters/Totems/PainPylon/PainPylonBelly.act""]","[""Metadata/Monsters/Totems/PainPylon/PainPylon.ao""]","Metadata/Monsters/Totems/MonsterTotem",[],1,"","",100,3,6,6,1,0,"[34,769,74,806,163,791,141,796,30,31,118]",100,[],105,105,700,500,0,[5386],"Metadata/Monsters/Totems/BellyTotem.ais",[],"",1,"Carnage Pillar","Pilier du carnage","Säule des Blutrauschs","カーネイジ・ピラー","학살 기둥","Pilar da Carnificina","Столп резни","Pilar de matanza","แท่นอำมหิต","屠殺圓柱",100,200,1500,[],[],"","","","",0,[],[],[],"",1,6,100,0,0,100,-4905,"","","M","F","","","M","MS","M","","","","","","",[],[],[],"",200,0,[],[],10,"","",[],"","",1,0,0,0,200,"",0,"","","",3,1,0,0,0,0,0,0,[],0,0,0,0,0,"","",""
1063,"Metadata/Monsters/Totems/TotemAlliesCannotDie",785,0,4,6,6,"[""Metadata/Monsters/Totems/generic_totem/monster_totem_strength.act""]","[""Metadata/Monsters/Totems/generic_totem/red.ao""]","Metadata/Monsters/Totems/MonsterTotemWithPack",[4891],1,"","",100,2,1,6,6,0,"[74,163,791,141,120,830,30,31,794,811]",100,[],105,105,700,500,0,[],"Metadata/Monsters/NoAi.ais",[],"",6,"Vaal Totem","Totem vaal","Vaal-Totem","ヴァール・トーテム","바알 토템","Totem Vaal","Тотем ваал","Tótem vaal","โทเทมวาล์","瓦爾圖騰",100,200,1500,[],[],"","","","",0,[],[],[],"",1,2,1,1,20,100,-31732,"","","M","N","","","M","MS","M","","","","","","",[],[],[],"",200,0,[],[],10,"","",[],"","",1,0,0,0,200,"",0,"","","",3,1,0,0,0,0,0,0,[],0,0,0,0,0,"","",""
