"rownum","string_0","string_8","undefined (French)","undefined (German)","undefined (Japanese)","undefined (Korean)","undefined (Portuguese)","undefined (Russian)","undefined (Spanish)","undefined (Thai)","undefined (Traditional Chinese)","i32_16","i32_20","u16_24","string_26","[i32]_34"
62,"MeleeStrikesMarauder10","Though the Keita of today is still a House of influence, Bardiya remembers their treachery - and limits their power accordingly. ","Bien que Keita soit aujourd'hui toujours une maison influente, Bardiya n'a pas oublié sa traîtrise et limite son pouvoir en conséquence. ","Auch wenn die Keita heute immer noch ein Haus mit Einfluss sind, erinnern sich die Bardiya an ihre Heimtücke - und beschneiden entsprechend ihre Macht.","Though the Keita of today is still a House of influence, Bardiya remembers their treachery - and limits their power accordingly. ","오늘날에도 케이타는 유력한 가문 중 하나다. 그러나 바르디야 가문은 아직도 그들의 배신을 기억하고 있기에, 케이타 가문의 권력을 제한하고 있다.","Hoje, a casa Keita ainda tem influência, mas Bardiya não esqueceu a traição e mantém o poder deles na rédea curta. ","Хотя Киита сегодня по-прежнему влиятельный Дом, Бардия помнят об их предательстве – и соответственно ограничивают их власть.","Aunque la Keita de hoy sigue siendo una Casa con influencia, Bardiya recuerda su traición y limita su poder en consecuencia. ","แม้ว่าบ้านเคย์ทายังเป็นบ้านที่มีอิทธิพลนัก แต่บ้านบาร์ดิยาจดจำ\r\nการหักหลังของบ้านนี้ แล้วจำกัดพลังของเขาตามโอกาส","凱塔家族仍舊具有相當的影響力，但巴迪亞家族深知他們時不時就想動歪腦筋，因此限制了他們的權利。 ",163075,0,0,"ү","[0,1000]"
63,"MeleeStrikesMarauder12","\""House Keita wrote the bloody book on cruelty. Think of the worst bastard you know - either they're a Keitan, or a poor imitation.\""","« La maison Keita est une experte de la cruauté. Pensez au pire salaud que vous connaissez. Il s'agit soit d'un Keitien, soit d'une mauvaise imitation. »","\""Haus Keita sind blutgetränkte Experten in Sachen Grausamkeit. Stellt Euch den schlimmsten Bastard vor, den Ihr kennt - sie sind entweder Keita oder eine armselige Imitation.\""","\""House Keita wrote the bloody book on cruelty. Think of the worst bastard you know - either they're a Keitan, or a poor imitation.\""","\""케이타 가문은 잔혹 행위에 대해 책까지 써 냈어. 네가 아는 최악의 인간을 떠올려 봐. 케이타 가문 녀석이 아니라면, 놈들을 어설프게 흉내 내는 놈일걸.\""","\""A crueldade tem sobrenome: Keita. Pensa no pior canalha que você conhece... Ou é keitano, ou queria ser um.\""","«Киита собаку съели на жестокости. Вспомни худшего мерзавца, которого знаешь – либо он из дома Киита, либо жалкое подобие».","\""La Casa Keita escribió el maldito libro de la crueldad. Piensa en el peor bastardo que conozcas; o es un Keita, o una pobre imitación\"".","\""บ้านเคย์ทาเขียนตำราความอำมหิตมากับมือ นึกถึงโคตรสารเลวใน\r\nชีวิตเจ้าสิ อาจเป็นชาวเคย์ทา หรือคนที่เลียนแบบได้ไม่ดีก็เป็นได้\""","「凱塔家族是殘酷的代言者。當你想到十惡不赦的傢伙，他們若不是和凱塔家族有關係，就是和他們一個模樣。」",154897,0,0,"ү","[0,1000]"
64,"MeleeStrikesMarauder13"," \""The Merchant Council's a leash on House Keita - and the irony ain't lost on 'em. Still, better leashed than buried.\"""," « Le Conseil des marchands tient en laisse la maison Keita, et ils n'en ont pas perdu leur ironie. Mais il vaut mieux être tenu en laisse qu'enterré. »","\""Der Rat der Händler hält das Haus Keita an der Leine - und sie verstehen die Ironie. Trotzdem, besser gefesselt als begraben.\"""," \""The Merchant Council's a leash on House Keita - and the irony ain't lost on 'em. Still, better leashed than buried.\""","\""상인 의회는 케이타 가문에 씌워진 목줄이지. 케이타도 그걸 잘 알아. 그래도 땅에 묻히는 것보다는 목줄에 묶이는 게 낫지.\""","\""O conselho dos comerciantes mantém Keita na coleira, e eles entendem a ironia. Ainda assim, é melhor estar preso do que morto.\""","«Торговый Совет – это поводок на шее Дома Киита, и они тоже видят в этом иронию. Но лучше на поводке, чем в земле»."," \""El Consejo de mercaderes es una correa para la Casa Keita. Y la ironía no pasa desapercibida. Aun así, mejor atado en corto que enterrado\"".","\""สภาพพ่อค้าเป็นเชือกที่ล่ามบ้านเคย์ทาเอาไว้ พวกเขาก็รู้อยู่แก่ใจดี\r\nแต่โดนล่ามไว้เสียยังดีกว่าโดนฝังดิน\""","「商會是凱塔家族的拘束……更是對於他們貪婪和野心的諷刺，但留得青山在，不怕沒柴燒。」",183782,0,0,"ү","[0,1000]"
65,"MeleeStrikesMarauder14","\""Pain is the language of obedience.\""\r\n - Ixan Keita","« La souffrance est le langage de l'obéissance. » — Ixan Keita","\""Schmerz ist die Sprache des Gehorsams\"" \r\n– Ixan Keita","\""Pain is the language of obedience.\""\r\n - Ixan Keita","\""고통은 복종의 언어다.\"" - 익산 케이타","\""A obediência fala o idioma da dor.\""\r\n- Ixan Keita","«Боль – это язык подчинения»\r\n– Иксан Киита","\""El dolor es el lenguaje de la obediencia\"".\r\n- Ixan Keita","\""ความเจ็บปวดเป็นภาษาของความเชื่อง\""\r\n- อิกซาน เคย์ทา","「疼痛訴說著遵從。」 - 伊珊．凱塔",141192,0,0,"ү","[0,1000]"
66,"MeleeStrikesMarauderNoble1","{0} Keita built his name in the slave pits of Korathin - and built his fortune on the backs beneath him.","Il s'est fait un nom dans les fosses à esclaves de Korathin. Il s'est fait une fortune sur le dos de ceux qui sont en dessous de lui.","{0} Keita machte sich einen Namen in den Sklavengruben von Korathin. Und machte sein Vermögen auf den Rücken unter ihm.","{0} Keita built his name in the slave pits of Korathin - and built his fortune on the backs beneath him.","그는 코라틴의 노예 투기장에서 명성을 쌓았고, 발밑에서 신음하는 자들 위에 재산을 쌓아 올렸다.","{0} Keita fez sua fama nos fossos de escravos de Korathin, e sua fortuna à custa dos subservientes.","Сделал себе имя в рабских ямах Корафина. Сколотил своё состояние на спинах под собою.","{0} Keita se forjó su nombre en los fosos de los esclavos de Korathin, y amasó su fortuna sobre las espaldas de los que estaban debajo de él.","{0} เคย์ทา​สร้าง​ชื่อ​ใน​หลุมทาส​ของ​โคราธิน สร้าง​ทรัพย์​ด้วย​หลัง​ของ​ทาส​ที่​อยู่​ใต้​เขา","他在科拉廷的奴隸殺戮場揚名立萬，以落敗者的性命發家致富。",145793,0,0,"ӕ","[1000,1000]"
67,"MeleeStrikesMarauderNoble2","Slaves obeyed. Rivals bled. The rest learned to stay out of {0} Keita's way.","Les esclaves ont obéi. Les rivaux ont saigné. Le reste a appris à rester hors de son chemin.","Sklaven gehorchten. Rivalen bluteten. Die Übrigen lernten, {0} Keita aus dem Weg zu gehen.","Slaves obeyed. Rivals bled. The rest learned to stay out of {0} Keita's way.","노예들은 명령에 복종했고, 경쟁자들은 피를 흘렸다. 그러자 나머지는 순순히 그에게 길을 내주었다.","Os escravos obedeciam, os rivais sangravam. O resto aprendeu a evitar {0} Keita.","Рабы подчинялись. Соперники истекали кровью. Остальные научились не преграждать ему дорогу.","Los esclavos obedecían. Los rivales sangraban. El resto aprendía a apartarse del camino de {0} Keita.","ทาส​เชื่อ​ฟัง คู่อริ​หลั่ง​เลือด คน​อื่นๆ จำ​ว่า​อย่าได้ริอ่าน​ขวางทาง​​{0}","奴隸對他言聽計從，對手無不橫死街頭，其餘人則了解到應該明哲保身。",157252,0,0,"ӕ","[1000,1000]"
68,"MeleeStrikesMarauderNoble3","The pits made killers of men... and monsters of those who ran them.","Le Conseil n'a pas vu de place pour lui dans la nouvelle Trarthus. Wraeclast regrettera de lui en avoir donné une.","Die Gruben haben Mörder aus den Menschen gemacht ... und Monster aus denen, die sie anführten.","The pits made killers of men... and monsters of those who ran them.","의회는 새로운 트라투스에 그가 있을 자리는 없다고 여겼다. 레이클라스트는 그에게 자리를 내준 것을 후회하게 될 것이다.","As rinhas transformavam homens em assassinos... e os que mandavam nelas em monstros.","Совет не видел для него места в новой Тератне. Рэкласт пожалеет, что дал ему таковое.","Los fosos convertían a los hombres en asesinos... y a aquellos que los dirigían, en monstruos.","สภาไม่มีที่อยู่ให้กับเขาในทาร์ทัสยุคใหม่... เวร์แคลส์ทย่อมเสียใจที่ให้\r\nที่อยู่กับเขาเป็นแน่","商會認為他在特拉特斯的新時代並無容身之處，他會為瓦爾克拉斯帶來什麼樣的苦難？",178248,0,0,"ӕ","[1000,1000]"
69,"MeleeStrikesMarauderNoble4","For centuries, ash from Karui volcanoes rode the wind to Trarthus. It turned slaves into the continent's finest tools.","« Les volcans karuis… ont porté les cendres jusqu'à nous, via le vent, pendant des siècles. Les esclaves travaillent plus efficacement à Trarthus que n'importe où dans le monde. »","Karuische Vulkane … Jahrhundertelang wurde ihre Asche mit dem Wind zu uns getragen. Die Sklaven auf Trarthus betreiben Ackerbau viel effizienter als irgendwo sonst auf der Welt.","For centuries, ash from Karui volcanoes rode the wind to Trarthus. It turned slaves into the continent's finest tools.","\""수백 년 동안 카루이의 화산에서 나온 재가 바람에 실려 트라투스로 날아왔어... 덕분에 트라투스의 노예들은 이 세상 그 어디보다도 효율적으로 농사를 짓지.\""","Por séculos, os ventos levaram as cinzas dos vulcões karui até Trarthus. Transformou os escravos nas melhores ferramentas do continente.","Веками пепел от вулканов каруи нёсся по ветру в Тератну. Он превратил рабов в лучший инструмент континента.","Durante siglos, la ceniza de los volcanes karui se dirigió con el viento hasta Trarthus. Convirtió a los esclavos en las mejores herramientas del continente.","ภูเขาไฟคารุย... ส่งเถ้าถ่านมาให้เราไปตามลมมาหลายศตวรรษ\r\nทำให้ทาสเป็นเครื่องมือที่เลอค่าที่สุดของทวีปนี้","For centuries, ash from Karui volcanoes rode the wind to Trarthus. It turned slaves into the continent's finest tools.",190038,0,0,"ӕ","[1000,1000]"
70,"MeleeStrikesMarauderNoble5","\""Slavery began on Trarthus when a simple farmer offered to serve and grow food in exchange for his life. Pathetic... but profitable.\""","« L'esclavage a commencé à Trarthus quand un simple fermier a proposé de servir et de cultiver de la nourriture en échange de sa vie. Pathétique… mais profitable. »","\""Die Sklaverei auf Trarthus begann, als ein einfacher Bauer seine Dienste und seine Feldfrüchte im Tausch für sein Leben bot. Erbärmlich … aber profitabel.\""","\""Slavery began on Trarthus when a simple farmer offered to serve and grow food in exchange for his life. Pathetic... but profitable.\""","\""트라투스의 노예제는 평범한 농부로부터 시작했어. 그는 살려달라며 충성을 맹세하고 먹을 것을 길러 바치겠다고 했지. 한심하기는... 그래도 돈벌이는 짭짤했지.\""","\""A escravidão começou em Trarthus quando um simples fazendeiro ofereceu sua vida por um campo para cultivar. Patético... mas lucrativo.\""","«Рабство в Тератне возникло, когда простой фермер предложил служить и выращивать еду в обмен на свою жизнь. Позорно... но доходно».","\""La esclavitud comenzó en Trarthus cuando un sencillo granjero se ofreció a servir y a cultivar comida a cambio de su vida. Patético... pero rentable\"".","\""การเลี้ยงทาสเริ่มขึ้นในทาร์ทัสเมื่อชาวไร่คนหนึ่งเสนอตัวว่าจะรับใช้\r\nและปลูกอาหารแลกกับการไว้ชีวิต น่าสมเพช... แต่ให้กำไรดี\""","\""Slavery began on Trarthus when a simple farmer offered to serve and grow food in exchange for his life. Pathetic... but profitable.\""",179485,0,0,"ӕ","[1000,1000]"
71,"ElementalWitch1","Thaumaturgy in Trarthus is like smoke in the lungs - unpleasant, expected, and always present.","La thaumaturgie à Trarthus est comme de la fumée dans les poumons : désagréable, attendue, et toujours présente.","Thaumaturgie ist in Trarthus wie Rauch in den Lungen - unangenehm, zu erwarten und immer präsent.","Thaumaturgy in Trarthus is like smoke in the lungs - unpleasant, expected, and always present.","트라투스의 마석학은 폐 속의 연기와도 같이 거북하고, 피할 수 없으며, 언제나 존재한다.","Em Trarthus, a taumaturgia é igual à fumaça: incômoda, comum e impossível de evitar.","Thaumaturgy in Trarthus is like smoke in the lungs - unpleasant, expected, and always present.","La taumaturgia en Trarthus es como el humo en los pulmones. Desagradable, esperado y siempre presente.","มนต์มณีในทาร์ทัสก็ไม่ต่างอะไรกับควันในปอด ไม่น่าอภิรมย์ เป็น\r\nอย่างที่คาด และปรากฏอยู่เสมอ","奇術在特拉特斯就像吸入肺中的煙塵，你無時無刻能感受到它造成的不適，卻也揮之不去。",195995,0,0,"ү","[0,1000]"
72,"ElementalWitch2"," Before vice, before gems, before brothels and powder - Cyaxan dealt in spices, cloth and coin. "," Avant le vice, avant les gemmes, avant les bordels et la poudre, Cyaxan faisait du commerce d'épices, de tissus, et d'argent. ","Vor dem Laster, vor den Gemmen, vor den Bordellen und dem Pulver - handelten die Cyaxan mit Gewürzen und Stoffen und verliehen Geld."," Before vice, before gems, before brothels and powder - Cyaxan dealt in spices, cloth and coin. ","악에 물들기 전... 마석도, 사창가도, 마약도 없던 시절에 사이악산은 향신료와 천, 그리고 동전을 거래했다.","Antes do vício, das gemas, dos prostíbulos e do pó, Cyaxan negociava especiarias, tecidos e moedas. "," Before vice, before gems, before brothels and powder - Cyaxan dealt in spices, cloth and coin. ","Antes del vicio, antes de las gemas, antes de los burdeles y las sustancias, Cyaxan comerciaba con especias, telas y monedas. ","ก่อนมีอบายมุข ก่อนมีมณี ก่อนมีซ่องและผง บ้านไซยาซันค้า\r\nเครื่องเทศ ผ้า และเหรียญ","塞亞珊家族原倚賴辛香料、絲綢和資產為生，後來卻涉足罪惡、風俗行業和迷藥。 ",159420,0,0,"ү","[0,1000]"
73,"ElementalWitch3"," \""They all started legitimate - even Cyaxan. But virtue doesn't buy power. Vice does.\"""," « Tout le monde a commencé de façon légitime, même Cyaxan. Mais la vertu n'achète pas le pouvoir. Le vice, oui. »","\""Sie alle begannen rechtschaffen - selbst Cyaxan. Aber mit Tugendhaftigkeit kann man keine Macht erkaufen. Mit dem Laster schon.\"""," \""They all started legitimate - even Cyaxan. But virtue doesn't buy power. Vice does.\""","\""그들은 모두 합법적인 사업으로 시작했지. 심지어는 사이악산도 말이야. 하지만 권력을 가져다주는 건 미덕이 아니라 악덕이야.\""","\""Todo mundo começou no caminho certo, até Cyaxan. Mas poder não se compra com virtude. É com vício.\"""," \""They all started legitimate - even Cyaxan. But virtue doesn't buy power. Vice does.\""","\""Todos comenzaron de forma legítima, incluso Cyaxan. Pero la virtud no compra el poder. El vicio sí\"".","\""ทุกบ้านเริ่มกันอย่างถูกกฎหมาย กระทั่งบ้านไซยาซันก็ตาม แต่\r\nความดีซื้ออำนาจไม่ได้ดอก อบายมุขต่างหากที่ซื้อได้\""","「所有人、包括塞亞珊家族，都從正當事業幹起。然而，互相尊重無法帶來權力，勾心鬥角卻能。」",186009,0,0,"ү","[0,1000]"
74,"ElementalWitch4","Cyaxan didn't need blades. They had margins - and the power that comes from knowing what everyone else wanted.","Cyaxan n'avait pas besoin de lames. Ils avaient des marges et le pouvoir que confère le fait de savoir ce que tout le monde veut.","Die Cyaxan brauchten keine Klingen. Sie hatten Gewinnspannen - und die Macht, die aus dem Wissen erwächst, was alle anderen begehrten.","Cyaxan didn't need blades. They had margins - and the power that comes from knowing what everyone else wanted.","사이악산 가문에는 칼날이 필요 없었다. 그들에게는 이윤, 그리고 타인의 욕망을 읽는 능력에서 오는 힘이 있었다.","Cyaxan não lutava com armas, mas com benefícios... e a capacidade de entender os desejos dos outros.","Cyaxan didn't need blades. They had margins - and the power that comes from knowing what everyone else wanted.","Cyaxan no necesitaba espadas. Tenían márgenes, y el poder que viene de saber qué quieren todos los demás.","\""บ้านไซยาซันไม่ต้องการอาวุธ พวกเขามีกำไร และพลังที่มาจากการรู้\r\nว่าคนอื่นๆ ต้องการอะไร\""","塞亞珊家族無須付諸武力。他們坐擁利潤……也了解其他人所追求的事物。",175354,0,0,"ү","[0,1000]"
75,"ElementalWitch5","In time, margins thinned. Rivals grew bolder. So Cyaxan found new markets - darker ones.","Au fil du temps, les marges se sont réduites. Les rivaux sont devenus plus audacieux. Cyaxan a alors trouvé de nouveaux marchés, plus sombres.","Mit der Zeit wurden die Gewinne kleiner. Rivalen wurden mutiger. Also fanden die Cyaxan neue Märkte - finsterere.","In time, margins thinned. Rivals grew bolder. So Cyaxan found new markets - darker ones.","시간이 지나며 이윤은 줄고, 경쟁자들은 점점 대담해지기 시작했다. 이에 사이악산 가문은 더 어두운 시장을 찾아냈다.","Com os benefícios encolhendo e os rivais ganhando coragem, Cyaxan entrou em mercados mais sombrios.","In time, margins thinned. Rivals grew bolder. So Cyaxan found new markets - darker ones.","Con el tiempo, los márgenes se redujeron. Los rivales se volvieron más osados. Así que Cyaxan encontró nuevos mercados, mercados más oscuros.","แต่เมื่อเวลาพ้นผ่าน กำไรก็น้อยลง อริก็กล้ามากกว่าเดิม บ้าน\r\nไซยาซันจึงไปพบกับตลาดใหม่ ตลาดที่มืดมนนัก","隨著利潤越來越薄、競爭越來越激烈，塞亞珊家族從不法市場中看見契機。",190396,0,0,"ү","[0,1000]"
76,"ElementalWitch6","Cyaxan didn't set out to rule the underworld. Only to survive it. Then survival turned to opportunity.","Cyaxan n'avait pas l'intention de régner sur le monde de la pègre. Seulement d'y survivre. Puis la survie s'est transformée en opportunité.","Am Anfang wollten die Cyaxan die Unterwelt nicht beherrschen. Sie wollten in ihr überleben. Doch dann ergaben sich aus dem Überleben Gelegenheiten.","Cyaxan didn't set out to rule the underworld. Only to survive it. Then survival turned to opportunity.","사이악산 가문이 처음부터 암흑가를 지배하려 했던 것은 아니다. 그들은 살아남기 위해 애썼고, 그 과정에서 기회가 찾아왔을 뿐이다.","Cyaxan não queria dominar o submundo, apenas sobreviver a ele. Mas logo viu uma oportunidade.","Cyaxan didn't set out to rule the underworld. Only to survive it. Then survival turned to opportunity.","Cyaxan no se propuso dominar los bajos fondos. Solo sobrevivir en ellos. Después la supervivencia se convirtió en oportunidad.","บ้านไซยาซันไม่ได้ต้องการเป็นใหญ่ในโลกอาชญากรในตอนแรก\r\nเพียงแต่ต้องการเอาตัวรอด แล้วการเอาตัวรอดก็กลายเป็นโอกาส","塞亞珊家族無意治理地下世界，而是在其中求取一線生機和獲利的可能性。",186579,0,0,"ү","[0,1000]"
77,"ElementalWitch7","Kylian Cyaxan's ascent to lord of the Trarthan underworld was not without obstacles. The first arose within his own house. ","L'ascension de Kylian Cyaxan au rang de seigneur des bas-fonds trarthiens ne se fit pas sans heurt. Le premier obstacle provint même de sa propre maison. ","Der Aufstieg Kylian Cyaxans zum Herrscher der trarthanischen Unterwelt war nicht ohne Hürden - die ersten erhoben sich in seinem eigenen Haus.","Kylian Cyaxan's ascent to lord of the Trarthan underworld was not without obstacles. The first arose within his own house. ","트라투스 암흑가의 군주가 되기까지, 킬리안 사이악산은 온갖 장애물을 넘어야 했다. 그리고 그 첫 번째는 다름 아닌 본인의 가문에서 나왔다.","A ascensão de Kylian Cyaxan no submundo de Trarthus não foi simples, e os problemas começaram dentro de casa. ","Kylian Cyaxan's ascent to lord of the Trarthan underworld was not without obstacles. The first arose within his own house. ","El ascenso de Kylian Cyaxan a señor de los bajos fondos de Trarthan no se produjo sin obstáculos. El primero surgió dentro de su propia casa. ","ไคเลียน ไซยาซันมิได้เป็นนายเหนือโลกอาชญากรทาร์ทานได้\r\nอย่างไร้อุปสรรค อุปสรรคแรกมาจากบ้านของเขาเอง","奇里安．塞亞珊成為特拉特斯地下世界之首的過程並非一帆風順……他首先要克服的是手足的爭鬥。 ",177283,0,0,"ү","[0,1000]"
78,"ElementalWitch8","Kylian's first victim wasn't a member of a rival House - it was family. From then on, betrayal became tradition.","La première victime de Kylian n'était pas un membre d'une maison rivale, mais de sa propre famille. Dès lors, la trahison devint tradition.","Kylians erstes Opfer war kein Mitglied eines rivalisierenden Hauses - es stammte aus der Familie. Von da an wurde Verrat zur Tradition.","Kylian's first victim wasn't a member of a rival House - it was family. From then on, betrayal became tradition.","킬리안의 첫 희생자는 경쟁 가문 사람이 아닌, 자신의 가족이었다. 그 후로 배신은 하나의 전통이 되었다.","A primeira vítima de Kylian não foi um rival, mas um parente. Isso fez da traição uma tradição.","Kylian's first victim wasn't a member of a rival House - it was family. From then on, betrayal became tradition.","La primera víctima de Kylian no fue un miembro de una casa rival. Fue de su familia. Desde entonces, la traición se convirtió en tradición.","เหยื่อคนแรกของไซยาซันไม่ใช่สมาชิกบ้านคู่อริ แต่เป็นคนในตระกูล\r\nนับแต่นั้นเป็นต้นมา การทรยศจึงเป็นประเพณี","奇里安的第一個受害者不是敵對的家族，而是自己的手足。自此之後，背叛成為家族傳統。",163645,0,0,"ү","[0,1000]"
79,"ElementalWitch9","Kylian Cyaxan never raised his voice. Just his glass. The rest of the table never stood again.","Kylian Cyaxan n'élevait jamais la voix, seulement son verre. Les autres convives restaient éternellement attablés.","Kylian Cyaxan erhob nie seine Stimme. Nur sein Glas. Die übrigen Gäste erhoben sich nie wieder.","Kylian Cyaxan never raised his voice. Just his glass. The rest of the table never stood again.","킬리안 사이악산은 목소리를 높이지 않았다. 그저 잔을 들었을 뿐. 그리고 식탁에 앉은 이들은 두 번 다시 일어서지 못했다.","Kylian Cyaxan nunca erguia a voz, só o cálice. E o resto da mesa nunca mais se levantava.","Kylian Cyaxan never raised his voice. Just his glass. The rest of the table never stood again.","Kylian Cyaxan nunca alzaba la voz. Solo su vaso. El resto de los presente en la mesa nunca volvía a levantarse.","ไคเลียน ไซยาซันไม่เคยขึ้นเสียง เพียงแต่ยกแก้วเท่านั้น คนที่เหลือบน\r\nโต๊ะไม่ได้ยืนขึ้นอีกต่อไป","奇里安．塞亞珊從未提高他的音調，而是舉起他的酒杯。同桌諸人再也未起身。",167409,0,0,"ү","[0,1000]"
80,"ElementalWitch10","With rivals dead or disgraced, Kylian moved fast - consolidating power, ensuring no Cyaxan could rise as he had.","Ses rivaux enterrés ou disgraciés, Kylian n'attendit pas pour agir. Il consolida son pouvoir et veilla à ce qu'aucun autre Cyaxan ne puisse gravir les échelons comme il l'avait fait.","Nachdem seine Rivalen tot oder in Ungnade gefallen waren, ging Kylian schnell vor - er festigte seine Macht und stellte sicher, dass kein anderer Cyaxan auf die gleiche Weise aufsteigen konnte.","With rivals dead or disgraced, Kylian moved fast - consolidating power, ensuring no Cyaxan could rise as he had.","경쟁자들이 모두 죽거나 실각하자, 킬리안은 빠르게 움직였다. 그는 사이악산 가문에서 자신처럼 세를 키워 부상하는 인물이 더 나오지 않도록 권력을 공고히 다졌다.","Com os rivais mortos ou humilhados, Kylian agiu rápido para firmar seu poder e garantir que ninguém mais da família teria a mesma chance.","With rivals dead or disgraced, Kylian moved fast - consolidating power, ensuring no Cyaxan could rise as he had.","Con sus rivales muertos o caídos en desgracia, Kylian se movió rápido para consolidar su poder y asegurarse de que ningún Cyaxan pudiera alzarse como hizo él.","ในเมื่ออริตายหรือเสื่อมเสีย ไคเลียนจึงรีบเดินเกมอย่างรวดเร็ว\r\nรวมอำนาจไว้เป็นหนึ่ง ไม่ให้บ้านไซยาซันคนไหนเป็นใหญ่ได้อย่างเขา","在各方敵手相繼身亡或失勢後，奇里安迅速穩固權力，確保塞亞珊家族再無其他人可與他匹敵。",157968,0,0,"ү","[0,1000]"
81,"ElementalWitch11","Kylian never trusted alliances. He preferred leverage. Internally, that meant secrets. Externally, sabotage.","Kylian ne comptait jamais sur les alliances ; il leur préférait les avantages sonnants et trébuchants. Sous le manteau, cela se traduisait par des secrets. Au grand jour, par des sabotages.","Kylian hatte kein Vertrauen in Allianzen. Er bevorzugte Einfluss. Innerhalb des Hauses bedeutete das Geheimnisse. Außerhalb - Sabotage.","Kylian never trusted alliances. He preferred leverage. Internally, that meant secrets. Externally, sabotage.","킬리안은 동맹을 믿지 않았으며, 영향력을 행사할 수단을 더 좋아했다. 가문 내에서는 비밀이, 외부에서는 파괴 공작이 그러한 수단이었다.","Kylian não confiava em alianças. Preferia ter vantagens, com segredos em casa e sabotagens no mundo.","Kylian never trusted alliances. He preferred leverage. Internally, that meant secrets. Externally, sabotage.","Kylian nunca confió en las alianzas. Prefería tener influencia. Internamente, eso significaba secretos. Externamente, sabotaje.","ไคเลียนไม่ไว้ใจการผูกมิตร เขาชอบอำนาจต่อรองมากกว่า\r\nอำนาจภายในคือความลับ อำนาจภายนอกคือการบ่อนทำลาย","奇里安從不信任合縱連橫。他傾向對內保持秘密，對外則無所不用其極。",155907,0,0,"ү","[0,1000]"
82,"ElementalWitch13","\""When dining with a Cyaxan, bring an appetite - and an antidote.\"" ","« Si vous dînez avec un Cyaxan, venez le ventre vide… et un antidote en poche. » ","\""Wenn man mit einem Cyaxan speist, sollte man Appetit mitbringen - und ein Gegengift.\""","\""When dining with a Cyaxan, bring an appetite - and an antidote.\"" ","\""사이악산 가문 사람과 식사할 때 챙길 준비물은 식욕... 그리고 해독제다.\""","\""Se for jantar com um cyaxano, leve fome e um antídoto.\"" ","\""When dining with a Cyaxan, bring an appetite - and an antidote.\"" ","\""Si cenas con un Cyaxan, lleva apetito, y un antídoto\"". ","\""เวลาไปทานข้าวกับคนบ้านไซยาซัน เอาท้องไปกินข้าวแล้วอย่าลืม\r\nเอายาถอนพิษด้วย\""","「和塞亞珊家族的人用餐，必須接受盛情款待，也要隨身攜帶解毒劑保命。」 ",146408,0,0,"ү","[0,1000]"
83,"ElementalWitch14","Cyaxan rarely availed themselves of House Azadi's services. They preferred less... bloody methods.","Les Cyaxan faisaient rarement appel aux services de la Maison Azadi. Ils préféraient des méthodes moins… sanglantes.","Cyaxan griffen nur selten auf die Dienste des Hauses Azadi zurück. Sie bevorzugten weniger … blutige Methoden.","Cyaxan rarely availed themselves of House Azadi's services. They preferred less... bloody methods.","사이악산은 아자디 가문을 고용하는 일이 드물었으며, 그보다 '평화로운' 수단을 선호했다.","Os cyaxanos raramente usavam os serviços da casa Azadi. Preferiam métodos menos... sangrentos.","Cyaxan rarely availed themselves of House Azadi's services. They preferred less... bloody methods.","Los Cyaxan rara vez recurrían a los servicios de la Casa Azadi. Preferían métodos... menos sangrientos.","บ้านไซยาซันไม่ค่อยได้ใช้บริการของบ้านอะซาดินัก พวกเขาชอบวิธีที่...\r\nเปื้อนเลือดน้อยกว่า","塞亞珊家族鮮少尋求愛札丁家族的服務，畢竟他們……不喜雙手沾滿鮮血。",140027,0,0,"ү","[0,1000]"
84,"ElementalWitchNoble1","It wasn't people {0} Cyaxan loathed, but the frailties they wore so proudly: need, artifice, expectation.","Ce n'était pas les êtres humains qu'elle abhorrait, mais les fragilités qu'ils arboraient si fièrement : leurs besoins, leurs artifices, leurs attentes.","{0} Cyaxan hasste nicht die Menschen an sich, aber die Schwächen, die sie so stolz zur Schau stellten: Bedürfnisse, Tücke, Erwartungen.","It wasn't people {0} Cyaxan loathed, but the frailties they wore so proudly: need, artifice, expectation.","그녀가 혐오했던 건 인간이 아니라, 욕구, 허세, 기대 등 인간이 자랑스레 내보이는 결핍이었다.","{0} Cyaxan não odiava as pessoas, mas as fraquezas que elas ostentavam, como carência, falsidade, expectativa.","It wasn't people {0} Cyaxan loathed, but the frailties they wore so proudly: need, artifice, expectation.","No era a las personas a quienes {0} Cyaxan odiaba, sino a las debilidades que portaban con tanto orgullo: necesidad, artificio, expectativa.","{0} ไซยาซัน​มิได้​รังเกียจ​ผู้คน เพียง​แต่​รังเกียจ​ความ​บอบบาง​ที่​พวกเขาอวด​อย่าง​ภาคภูมิ ความ​ต้องการ เล่ห์เหลี่ยม ความ​คาดหวัง","她並不厭惡人，而是嫌棄這些人竟會對自己的需求、詭計和期望等諸多弱點驕矜自滿。",240758,0,0,"Ҳ","[1000,1000,1000]"
