"rownum","Id","Types","ExtraMods","TypesFiltered","DaemonSpawningData","PreviousTier","bool_80","Radius","Name","Name (French)","Name (German)","Name (Japanese)","Name (Korean)","Name (Portuguese)","Name (Russian)","Name (Spanish)","Name (Thai)","Name (Traditional Chinese)","Icon","HASH16","TypesExtra","MonsterTypesApplyingRuin","MiscAnimated","BuffTemplates","Tier","i32_161","Description","Description (French)","Description (German)","Description (Japanese)","Description (Korean)","Description (Portuguese)","Description (Russian)","Description (Spanish)","Description (Thai)","Description (Traditional Chinese)","MonsterSpawners","bool_189","Achievements","TextAudio","UniqueMapMod"
20,"FrostInfectionDaemon3","[13,22]",[],[],44,19,"",0,"Blistering Cold III","Engelures instables III","Eisige Kälte III","猛烈な氷泡 III","맹렬한 냉기 III","Frio Escaldante III","Обжигающий холод III","Frío glacial III","ความเย็นพุพอง ระดับ 3","極凍 III","Art/2DArt/UIImages/InGame/Ultimatum/Icons/FrostInfection",28497,[],0,5484,[],3,0,"Many frozen pustules will periodically appear, chill you, and rapidly explode when you approach","De nombreuses pustules gelées apparaissent à intervalles réguliers.\r\nCes pustules vous Frigorifient et explosent rapidement lorsque vous vous en approchez.","Es erscheinen regelmäßig viele eisige Pusteln, die Euch unterkühlen und schnell explodieren, wenn Ihr Euch nähert","複数の凍った膿疱が定期的に出現し、冷却を付与すると共に近づくと即座に爆発する","얼어붙은 농포 여러 개가 주기적으로 나타나, 당신을 냉각시키고 당신이 접근하면 빠르게 폭발합니다.","Várias Pústulas congeladas aparecerão periodicamente, o resfriarão e explodirão rapidamente quando você se aproximar","Периодически будет появляться множество замороженных пустул, охлаждающих вас и стремительно взрывающихся при вашем приближении","Periódicamente aparecerán muchas pústulas congeladas que te escarcharán y explotarán rápidamente cuando te acerques a ellas","ตุ่ม​หนอง​เยือก​แข็ง​จำนวน​มาก จะ​ปรากฏ​เป็น​ระยะ, สร้าง​สถานะ หนาวเย็น ต่อ​คุณ และ​จะ ระเบิด​ถี่ๆ เมื่อ​คุณ​เข้า​ใกล้","許多冰凍的膿瘡會持續出現冰緩你，當你靠近時迅速爆炸",[],"","[7897,7827]",11266,32307
21,"FrostInfectionDaemon4","[13,22]",[],[],45,20,"",0,"Blistering Cold IV","Engelures instables IV","Eisige Kälte IV","猛烈な氷泡 IV","맹렬한 냉기 IV","Frio Escaldante IV","Обжигающий холод IV","Frío glacial IV","ความเย็นพุพอง ระดับ 4","極凍 IV","Art/2DArt/UIImages/InGame/Ultimatum/Icons/FrostInfection",3273,[],0,5484,[],4,0,"Many frozen pustules will periodically appear, chill you, and rapidly explode when you approach, freezing if they hit","De nombreuses pustules gelées apparaissent à intervalles réguliers.\r\nCes pustules vous Frigorifient et explosent rapidement lorsque vous vous en approchez. Elles Gèlent au toucher.","Es erscheinen regelmäßig viele eisige Pusteln, die Euch unterkühlen und schnell explodieren, wenn Ihr Euch nähert und bei Treffer einfrieren","複数の凍った膿疱が定期的に出現し、冷却を付与すると共に近づくと即座に爆発し、ヒット時に凍結させる。","얼어붙은 농포 여러 개가 주기적으로 나타나, 당신을 냉각시키고 당신이 접근하면 빠르게 폭발합니다. 명중 시 동결시킵니다.","Várias Pústulas congeladas aparecerão periodicamente, o resfriarão e explodirão rapidamente quando você se aproximar, congelando se acertarem","Периодически будет появляться множество замороженных пустул, охлаждающих вас и стремительно взрывающихся при вашем приближении, замораживая вас в случае попадания","Periódicamente aparecerán muchas pústulas congeladas que te escarcharán, explotarán rápidamente cuando te acerques a ellas y te congelarán si te golpean","ตุ่ม​หนอง​เยือก​แข็ง​จำนวน​มาก จะ​ปรากฏ​เป็น​ระยะ, สร้าง​สถานะ หนาวเย็น ต่อ​คุณ และ​จะ ระเบิด​ถี่ๆ เมื่อ​คุณ​เข้า​ใกล้ ซึ่ง​จะ​สร้าง​สถานะ น้ำแข็ง เมื่อ​ปะทะ","許多冰凍的膿瘡會持續出現冰緩你，當你靠近時迅速爆炸，若他們擊中冰凍",[],"",[],16720,32307
22,"GraveyardDaemon1",[14],[],[15],46,"","",0,"Restless Ground","Terre tourmentée","Aufgewühlter Boden","眠らぬ大地","쉬지 못하는 흙","Solo Agitado","Беспокойная земля","Tierra agitada","พื้นเฮี้ยน ระดับ 1","躁動地面","Art/2DArt/UIImages/InGame/Ultimatum/Icons/RestlessDead",27548,[],0,5296,[],1,0,"Patches of Unhallowed Ground will appear that Hinder players and cause slain Monsters to resurrect as Phantasms","Des surfaces de Sol désacralisé apparaissent.\r\nCes surfaces Entravent les joueurs et ressuscitent les monstres sous forme de Spectres.","Es erscheinen Flächen von unheiligem Boden, die Spieler lähmen und getötete Monster als Phantasmen wiederbeleben","不浄な領域が出現し、プレイヤーに妨害を付与すると共に倒された敵をファンタズムとして蘇生する","부정한 지대가 1개 나타납니다. 지대에서는 플레이어가 이동 방해를 받고 쓰러뜨린 몬스터가 환영으로 부활합니다.","Poças de Solo Profano aparecerão e Retardarão jogadores e fazem com que os Monstros mortos ressuscitem como Fantasmas","Появятся участки нечистой земли, сковывающие игроков и воскрешающие убитых монстров в виде призраков","Aparecerán unas zonas de Tierra impía que entumecerán a los jugadores y resucitarán a los monstruos derrotados como fantasmas","พื้น​เสื่อม​สักการะ​จำนวน​หนึ่ง จะ​ปรากฏ ซึ่ง​จะ​สร้าง​สถานะ ขัดขวาง ต่อ​ผู้เล่น และ​คืน​ชีพ​มอนสเตอร์​ที่​ถูก​สังหาร​ขึ้น​มา​เป็น ผี","出現數道邪惡之地阻礙玩家，使被擊殺的怪物以幻影復活",[],"",[7828],11311,32308
23,"GraveyardDaemon2","[14,22]",[],[15],47,22,"",0,"Restless Ground II","Terre tourmentée II","Aufgewühlter Boden II","眠らぬ大地 II","쉬지 못하는 흙 II","Solo Agitado II","Беспокойная земля II","Tierra agitada II","พื้นเฮี้ยน ระดับ 2","躁動地面 II","Art/2DArt/UIImages/InGame/Ultimatum/Icons/RestlessDead",63601,[],0,5296,[],2,0,"Many patches of Unhallowed Ground will appear that Hinder players and cause slain Monsters to resurrect as Phantasms","De nombreuses surfaces de Sol désacralisé apparaissent.\r\nCes surfaces Entravent les joueurs et ressuscitent les monstres sous forme de Spectres.","Es erscheinen viele Flächen von unheiligem Boden, die Spieler lähmen und getötete Monster als Phantasmen wiederbeleben","複数の不浄な領域が出現し、プレイヤーに妨害を付与すると共に倒された敵をファンタズムとして蘇生する","부정한 지대가 여러 개 나타납니다. 지대에서는 플레이어가 이동 방해를 받고 쓰러뜨린 몬스터가 환영으로 부활합니다.","Várias Poças de Solo Profano aparecerão e Retardarão jogadores e farão com que os Monstros mortos ressuscitem como Fantasmas","Появится множество участков нечистой земли, сковывающих игроков и воскрешающих убитых монстров в виде призраков","Aparecerán muchas zonas de Tierra impía que entumecerán a los jugadores y resucitarán a los monstruos derrotados como fantasmas","พื้น​เสื่อม​สักการะ​จำนวน​มาก จะ​ปรากฏ ซึ่ง​จะ​สร้าง​สถานะ ขัดขวาง ต่อ​ผู้​เล่น และ​คืน​ชีพ​มอนสเตอร์​ที่​ถูก​สังหาร​ขึ้น​มา​เป็น ผี","出現許多邪惡之地阻礙玩家，使被擊殺的怪物以幻影復活",[],"",[7828],11203,32308
24,"GraveyardDaemon3","[14,22,26]",[],[15],48,23,"",0,"Restless Ground III","Terre tourmentée III","Aufgewühlter Boden III","眠らぬ大地 III","쉬지 못하는 흙 III","Solo Agitado III","Беспокойная земля III","Tierra agitada III","พื้นเฮี้ยน ระดับ 3","躁動地面 III","Art/2DArt/UIImages/InGame/Ultimatum/Icons/RestlessDeadRuin",43644,[],0,5296,[],3,1,"Many patches of Unhallowed Ground will appear that Hinder players and cause slain Monsters to resurrect as Ruin-inflicting Phantasms\r\nFail on reaching 7 Ruin","De nombreuses surfaces de Sol désacralisé apparaissent.\r\nCes surfaces Entravent les joueurs et ressuscitent les monstres sous forme de Spectres capables de vous infliger 1 de Ruine.\r\nSi vous atteignez 7 de Ruine, vous échouez l'Ultimatum.","Es erscheinen viele Flächen von unheiligem Boden, die Spieler lähmen und die getötete Monster als Phantasmen wiederbeleben, die Verderben verursachen\r\nIhr scheitert beim Erreichen von 7 Verderben","複数の不浄な領域が出現し、プレイヤーに妨害を付与すると共に倒された敵を崩壊を付与するファンタズムとして蘇生する\r\n崩壊が7に達するとアルティメイタムに失敗する","부정한 지대가 여러 개 나타납니다. 지대에서는 플레이어가 이동 방해를 받고 쓰러뜨린 몬스터가 파탄을 유발하는 환영으로 부활합니다.\r\n파탄이 7중첩 시 실패합니다.","Várias Poças de Solo Profano aparecerão e Retardarão jogadores e fazem com que os Monstros mortos ressuscitem como Fantasmas causadores de Ruína\r\nFalha ao atingir 7 Ruínas","Появится множество участков нечистой земли, сковывающих игроков и воскрешающих убитых монстров в виде призраков, которые накладывают Гибель\r\nПоражение при достижении 7 эффектов Гибели","Aparecerán muchas zonas de Tierra impía que entumecerán a los jugadores y resucitarán a los monstruos derrotados como fantasmas que aplican Ruina\r\nFallas si alcanzas 7 de Ruina","พื้น​เสื่อม​สักการะ​จำนวน​มาก จะ​ปรากฏ ซึ่ง​จะ​สร้าง​สถานะ ขัดขวาง ต่อ​ผู้​เล่น และ​คืน​ชีพ​มอนสเตอร์​ที่​ถูก​สังหาร​ขึ้น​มา​เป็น ผี​ที่​สร้าง​สถานะ ย่อยยับ\r\nการ​เผชิญหน้า​ล้มเหลว เมื่อ​ติด​สถานะ ย่อยยับ 7 ระดับ","出現許多邪惡之地阻礙玩家，使被擊殺的怪物以造成毀滅的幻影復活\r\n到達 7 毀滅時失效",[],"","[7898,7828]",11149,32308
25,"GraveyardDaemon4","[14,22,26]",[],[15],49,24,"",0,"Restless Ground IV","Terre tourmentée IV","Aufgewühlter Boden IV","眠らぬ大地 IV","쉬지 못하는 흙 IV","Solo Agitado IV","Беспокойная земля IV","Tierra agitada IV","พื้นเฮี้ยน ระดับ 4","躁動地面 IV","Art/2DArt/UIImages/InGame/Ultimatum/Icons/RestlessDeadRuin",36670,[],0,5296,[],4,1,"Many patches of Unhallowed Ground will appear that Hinder players and prevent them recovering Life and Energy Shield, and cause slain Monsters to resurrect as Ruin-inflicting Phantasms\r\nFail on reaching 7 Ruin","De nombreuses surfaces de Sol désacralisé apparaissent.\r\nCes surfaces Entravent les joueurs, les empêchent de récupérer de la Vie et du Bouclier d'énergie, et ressuscitent les monstres sous forme de Spectres capables de vous infliger 1 de Ruine.\r\nSi vous atteignez 7 de Ruine, vous échouez l'Ultimatum.","Es erscheinen viele Flächen von unheiligem Boden, die Spieler lähmen und verhindern, dass diese Leben und Energieschild wiederherstellen, und die getötete Monster als Phantasmen wiederbeleben, die Verderben verursachen\r\nIhr scheitert beim Erreichen von 7 Verderben","複数の不浄な領域が出現し、プレイヤーに妨害を付与し、ライフおよびエナジーシールドの回復を防ぐと共に倒された敵を崩壊を付与するファンタズムとして蘇生する\r\n崩壊が7に達するとアルティメイタムに失敗する","부정한 지대가 여러 개 나타납니다. 지대에서는 플레이어가 이동 방해를 받고 생명력 및 에너지 보호막을 회복할 수 없으며, 쓰러뜨린 몬스터가 파탄을 유발하는 환영으로 부활합니다.\r\n파탄이 7중첩 시 실패합니다.","Várias Poças de Solo Profano aparecerão e Retardarão jogadores e os impede de recuperar Vida e Escudo de Energia, fazendo com que os Monstros mortos ressuscitem como Fantasmas causadores de Ruína\r\nFalha ao atingir 7 Ruínas","Появится множество участков нечистой земли, сковывающих игроков и не позволяющих им восстанавливать здоровье и энергетический щит, и воскрешающих убитых монстров в виде призраков, которые накладывают Гибель\r\nПоражение при достижении 7 эффектов Гибели","Aparecerán muchas zonas de Tierra impía que entumecerán a los jugadores, les impedirán recuperar vida y escudo de energía y resucitarán a los monstruos derrotados como fantasmas que aplican Ruina\r\nFallas si alcanzas 7 de Ruina","พื้น​เสื่อม​สักการะ​จำนวน​มาก จะ​ปรากฏ ซึ่ง​จะ​สร้าง​สถานะ ขัดขวาง ต่อ​ผู้เล่น, ทำให้​ผู้เล่น​ไม่​สามารถ เติม พลังชีวิต​และ​โล่​พลังงาน ได้ และ​คืน​ชีพ​มอนสเตอร์​ที่​ถูก​สังหาร​ขึ้น​มา​เป็น ผี​ที่​สร้าง​สถานะ ย่อยยับ\r\nการ​เผชิญหน้า​ล้มเหลว เมื่อ​ติด​สถานะ ย่อยยับ 7 ระดับ","出現許多邪惡之地阻礙玩家，並防止他們恢復生命和能量護盾，使被擊殺的怪物以造成毀滅的幻影復活\r\n到達 7 毀滅時失效",[],"",[],16726,32308
26,"GraveyardDaemon1Trial",[14],[],[15],50,"","",0,"Restless Ground","Terre tourmentée","Aufgewühlter Boden","眠らぬ大地","쉬지 못하는 흙","Solo Agitado","Беспокойная земля","Tierra agitada","พื้นเฮี้ยน ระดับ 1","躁動地面","Art/2DArt/UIImages/InGame/Ultimatum/Icons/RestlessDead",35898,[],0,5296,[],1,0,"Patches of Unhallowed Ground will appear that Hinder players and cause slain Monsters to resurrect as Phantasms","Des surfaces de Sol désacralisé apparaissent.\r\nCes surfaces Entravent les joueurs et ressuscitent les monstres sous forme de Spectres.","Es erscheinen Flächen von unheiligem Boden, die Spieler lähmen und getötete Monster als Phantasmen wiederbeleben","不浄な領域が出現し、プレイヤーに妨害を付与すると共に倒された敵をファンタズムとして蘇生する","부정한 대지가 나타납니다. 대지에 있는 플레이어의 이동을 방해하고 쓰러뜨린 몬스터를 환영으로 부활시킵니다.","Poças de Solo Profano aparecerão e Retardarão jogadores e fazem com que os Monstros mortos ressuscitem como Fantasmas","Появятся участки нечистой земли, сковывающие игроков и воскрешающие убитых монстров в виде призраков","Aparecerán unas zonas de Tierra impía que entumecerán a los jugadores y resucitarán a los monstruos derrotados como fantasmas","พื้น​เสื่อม​สักการะ​จำนวน​หนึ่ง จะ​ปรากฏ ซึ่ง​จะ​สร้าง​สถานะ ขัดขวาง ต่อ​ผู้เล่น และ​คืน​ชีพ​มอนสเตอร์​ที่​ถูก​สังหาร​ขึ้น​มา​เป็น ผี","出現數道邪惡之地阻礙玩家，使被擊殺的怪物以幻影復活",[],"",[7828],11311,""
27,"GraveyardDaemon2Trial","[14,22]",[],[15],51,26,"",0,"Restless Ground II","Terre tourmentée II","Aufgewühlter Boden II","眠らぬ大地 II","쉬지 못하는 흙 II","Solo Agitado II","Беспокойная земля II","Tierra agitada II","พื้นเฮี้ยน ระดับ 2","躁動地面 II","Art/2DArt/UIImages/InGame/Ultimatum/Icons/RestlessDead",32369,[],0,5296,[],2,0,"Many patches of Unhallowed Ground will appear that Hinder players and cause slain Monsters to resurrect as Phantasms","De nombreuses surfaces de Sol désacralisé apparaissent.\r\nCes surfaces Entravent les joueurs et ressuscitent les monstres sous forme de Spectres.","Es erscheinen viele Flächen von unheiligem Boden, die Spieler lähmen und getötete Monster als Phantasmen wiederbeleben","複数の不浄な領域が出現し、プレイヤーに妨害を付与すると共に倒された敵をファンタズムとして蘇生する","부정한 대지가 많이 나타납니다. 대지에 있는 플레이어의 이동을 방해하고 쓰러뜨린 몬스터를 환영으로 부활시킵니다.","Várias Poças de Solo Profano aparecerão e Retardarão jogadores e farão com que os Monstros mortos ressuscitem como Fantasmas","Появится множество участков нечистой земли, сковывающих игроков и воскрешающих убитых монстров в виде призраков","Aparecerán muchas zonas de Tierra impía que entumecerán a los jugadores y resucitarán a los monstruos derrotados como fantasmas","พื้น​เสื่อม​สักการะ​จำนวน​มาก จะ​ปรากฏ ซึ่ง​จะ​สร้าง​สถานะ ขัดขวาง ต่อ​ผู้​เล่น และ​คืน​ชีพ​มอนสเตอร์​ที่​ถูก​สังหาร​ขึ้น​มา​เป็น ผี","出現許多邪惡之地阻礙玩家，使被擊殺的怪物以幻影復活",[],"",[7828],11203,""
28,"GraveyardDaemon3Trial","[14,22,26]",[],[15],52,27,"",0,"Restless Ground III","Terre tourmentée III","Aufgewühlter Boden III","眠らぬ大地 III","쉬지 못하는 흙 III","Solo Agitado III","Беспокойная земля III","Tierra agitada III","พื้นเฮี้ยน ระดับ 3","躁動地面 III","Art/2DArt/UIImages/InGame/Ultimatum/Icons/RestlessDeadRuin",46867,[],0,5296,[],3,1,"Many patches of Unhallowed Ground will appear that Hinder players and cause slain Monsters to resurrect as Ruin-inflicting Phantasms\r\nFail on reaching 7 Ruin","De nombreuses surfaces de Sol désacralisé apparaissent.\r\nCes surfaces Entravent les joueurs et ressuscitent les monstres sous forme de Spectres capables de vous infliger 1 de Ruine.\r\nSi vous atteignez 7 de Ruine, vous échouez l'Ultimatum.","Es erscheinen viele Flächen von unheiligem Boden, die Spieler lähmen und die getötete Monster als Phantasmen wiederbeleben, die Verderben verursachen\r\nIhr scheitert beim Erreichen von 7 Verderben","複数の不浄な領域が出現し、プレイヤーに妨害を付与すると共に倒された敵を崩壊を付与するファンタズムとして蘇生する\r\n崩壊が7に達するとアルティメイタムに失敗する","부정한 대지가 많이 나타납니다. 대지에 있는 플레이어의 이동을 방해하고 쓰러뜨린 몬스터를 파탄을 유발하는 환영으로 부활시킵니다.\r\n파탄이 7중첩 시 실패합니다.","Poças de Solo Profano aparecerão e Retardarão jogadores e fazem com que os Monstros mortos ressuscitem como Fantasmas causadores de Ruína\r\nFalha ao atingir 7 Ruínas","Появится множество участков нечистой земли, сковывающих игроков и воскрешающих убитых монстров в виде призраков, которые накладывают Гибель\r\nПоражение при достижении 7 эффектов Гибели","Aparecerán muchas zonas de Tierra impía que entumecerán a los jugadores y resucitarán a los monstruos derrotados como fantasmas que aplican Ruina\r\nFallas si alcanzas 7 de Ruina","พื้น​เสื่อม​สักการะ​จำนวน​มาก จะ​ปรากฏ ซึ่ง​จะ​สร้าง​สถานะ ขัดขวาง ต่อ​ผู้​เล่น และ​คืน​ชีพ​มอนสเตอร์​ที่​ถูก​สังหาร​ขึ้น​มา​เป็น ผี​ที่​สร้าง​สถานะ ย่อยยับ\r\nการ​เผชิญหน้า​ล้มเหลว เมื่อ​ติด​สถานะ ย่อยยับ 7 ระดับ","出現許多邪惡之地阻礙玩家，使被擊殺的怪物以造成毀滅的幻影復活\r\n到達 7 毀滅時失效",[],"","[7898,7828]",11149,""
29,"GraveyardDaemon4Trial","[14,22,26]",[],[15],53,28,"",0,"Restless Ground IV","Terre tourmentée IV","Aufgewühlter Boden IV","眠らぬ大地 IV","쉬지 못하는 흙 IV","Solo Agitado IV","Беспокойная земля IV","Tierra agitada IV","พื้นเฮี้ยน ระดับ 4","躁動地面 IV","Art/2DArt/UIImages/InGame/Ultimatum/Icons/RestlessDeadRuin",35231,[],0,5296,[],4,1,"Many patches of Unhallowed Ground will appear that Hinder players and cause slain Monsters to resurrect as Ruin-inflicting Phantasms\r\nFail on reaching 7 Ruin","De nombreuses surfaces de Sol désacralisé apparaissent.\r\nCes surfaces Entravent les joueurs et ressuscitent les monstres sous forme de Spectres capables de vous infliger 1 de Ruine.\r\nSi vous atteignez 7 de Ruine, vous échouez l'Ultimatum.","Es erscheinen viele Flächen von unheiligem Boden, die Spieler lähmen und die getötete Monster als Phantasmen wiederbeleben, die Verderben verursachen\r\nIhr scheitert beim Erreichen von 7 Verderben","複数の不浄な領域が出現し、プレイヤーに妨害を付与すると共に倒された敵を崩壊を付与するファンタズムとして蘇生する\r\n崩壊が7に達するとアルティメイタムに失敗する","부정한 지대가 여러 개 나타납니다. 지대에서는 플레이어가 이동 방해를 받고 쓰러뜨린 몬스터가 파탄을 유발하는 환영으로 부활합니다.\r\n파탄이 7중첩 시 실패합니다.","Várias Poças de Solo Profano aparecerão e Retardarão jogadores e os impede de recuperar Vida e Escudo de Energia, fazendo com que os Monstros mortos ressuscitem como Fantasmas causadores de Ruína\r\nFalha ao atingir 7 Ruínas","Появится множество участков нечистой земли, сковывающих игроков и воскрешающих убитых монстров в виде призраков, которые накладывают Гибель\r\nПоражение при достижении 7 эффектов Гибели","Aparecerán muchas zonas de Tierra impía que entumecerán a los jugadores y resucitarán a los monstruos derrotados como fantasmas que aplican Ruina\r\nFallas si alcanzas 7 de Ruina","พื้น​เสื่อม​สักการะ​จำนวน​มาก จะ​ปรากฏ ซึ่ง​จะ​สร้าง​สถานะ ขัดขวาง ต่อ​ผู้เล่น, ทำให้​ผู้เล่น​ไม่​สามารถ เติม พลังชีวิต​และ​โล่​พลังงาน ได้ และ​คืน​ชีพ​มอนสเตอร์​ที่​ถูก​สังหาร​ขึ้น​มา​เป็น ผี​ที่​สร้าง​สถานะ ย่อยยับ\r\nการ​เผชิญหน้า​ล้มเหลว เมื่อ​ติด​สถานะ ย่อยยับ 7 ระดับ","出現許多邪惡之地阻礙玩家，使被擊殺的怪物以造成毀滅的幻影復活\r\n到達 7 毀滅時失效",[],"",[],16726,""
30,"RevenantDaemon1","[15,26]",[],[14],54,"","",0,"Stalking Ruin","Ruine persécutrice","Drohendes Verderben","付き纏う崩壊","뒤를 쫓는 파탄","Ruína Perseguidora","Крадущаяся гибель","Ruina acechante","ความย่อยยับที่ย่องตาม ระดับ 1","毀滅迷蹤","Art/2DArt/UIImages/InGame/Ultimatum/Icons/Revenant",7958,[],0,5296,[],1,1,"An invulnerable shade stalks you, inflicting Ruin with its Melee Attacks\r\nFail on reaching 7 Ruin","Une Apparition invulnérable vous pourchasse.\r\nCette Apparition vous inflige 1 de Ruine avec ses attaques de mêlée.\r\nSi vous atteignez 7 de Ruine, vous échouez l'Ultimatum.","Euch verfolgt ein unverwundbarer Schatten, der mit seinen Nahkampfangriffen Verderben verursacht\r\nIhr scheitert beim Erreichen von 7 Verderben","近接アタックにより崩壊を付与する不死身のシェードストーカーがプレイヤーを追跡する\r\n崩壊が7に達するとアルティメイタムに失敗する","무적 상태의 그림자가 당신을 따라다니며, 근접 공격으로 파탄을 유발합니다.\r\n파탄이 7중첩 시 실패합니다.","Uma sombra invulnerável o persegue, infligindo Ruína com seus Ataques Corpo a Corpo\r\nFalha ao atingir 7 Ruínas","Вас преследует неуязвимая тень, накладывающая Гибель атаками ближнего боя\r\nПоражение при достижении 7 эффектов Гибели","Te acecha una sombra invulnerable que aplica ruina con ataques cuerpo a cuerpo\r\nFallas si alcanzas 7 de Ruina","วิญญาณ​อมตะ จะ​แอบ​ย่อง​ตาม​คุณ และ การ​โจมตี​ประชิด ของ​มัน​สร้าง​สถานะ ย่อยยับ\r\nการ​เผชิญหน้า​ล้มเหลว เมื่อ​ติด​สถานะ ย่อยยับ 7 ระดับ","一個無敵的陰影跟隨你，它的近戰攻擊造成毀滅\r\n到達 7 毀滅時失效",[],"",[7829],11137,32309
31,"RevenantDaemon2","[15,22,26]",[],[14],55,30,"",0,"Stalking Ruin II","Ruine persécutrice II","Drohendes Verderben II","付き纏う崩壊 II","뒤를 쫓는 파탄 II","Ruína Perseguidora II","Крадущаяся гибель II","Ruina acechante II","ความย่อยยับที่ย่องตาม ระดับ 2","毀滅迷蹤 II","Art/2DArt/UIImages/InGame/Ultimatum/Icons/Revenant",32061,[],0,5296,[],2,1,"An invulnerable shade stalks you, gaining speed and inflicting Ruin with Melee Attacks and Spells\r\nFail on reaching 7 Ruin","Une Apparition invulnérable et de plus en plus rapide vous pourchasse.\r\nCette Apparition vous inflige 1 de Ruine avec ses attaques de mêlée et ses sorts.\r\nSi vous atteignez 7 de Ruine, vous échouez l'Ultimatum.","Euch verfolgt ein unverwundbarer Schatten, der schneller wird und mit seinen Nahkampfangriffen und Zaubern Verderben verursacht\r\nIhr scheitert beim Erreichen von 7 Verderben","近接アタックおよびスペルにより崩壊を付与する不死身のシェードストーカーがスピードを上げプレイヤーを追跡する\r\n崩壊が7に達するとアルティメイタムに失敗する","점점 빨라지는 무적 상태의 그림자가 당신을 따라다니며, 근접 공격과 주문으로 파탄을 유발합니다.\r\n파탄이 7중첩 시 실패합니다.","Uma sombra invulnerável o persegue, ganhando velocidade e infligindo Ruína com seus Ataques Corpo a Corpo e Magias\r\nFalha ao atingir 7 Ruínas","Вас преследует неуязвимая тень, ускоряющаяся и накладывающая Гибель атаками ближнего боя и чарами\r\nПоражение при достижении 7 эффектов Гибели","Te acecha una sombra invulnerable que gana velocidad y aplica Ruina con ataques cuerpo a cuerpo y hechizos\r\nFallas si alcanzas 7 de Ruina","วิญญาณ​อมตะ จะ​แอบ​ย่อง​ตาม​คุณ มัน​จะ​เพิ่ม​ความเร็ว​ขึ้น และ การ​โจมตี​ประชิด​และ​เวท ของ​มัน​สร้าง​สถานะ ย่อยยับ\r\nการ​เผชิญหน้า​ล้มเหลว เมื่อ​ติด​สถานะ ย่อยยับ 7 ระดับ","一個無敵的陰影跟隨你，它的近戰攻擊和法術造成毀滅\r\n到達 7 毀滅時失效",[],"",[7829],11140,32309
32,"RevenantDaemon3","[15,22,26]",[],[14],56,31,"",0,"Stalking Ruin III","Ruine persécutrice III","Drohendes Verderben III","付き纏う崩壊 III","뒤를 쫓는 파탄 III","Ruína Perseguidora III","Крадущаяся гибель III","Ruina acechante III","ความย่อยยับที่ย่องตาม ระดับ 3","毀滅迷蹤 III","Art/2DArt/UIImages/InGame/Ultimatum/Icons/Revenant",47172,[],0,5296,[],3,1,"An invulnerable shade stalks you, gaining further speed and inflicting Ruin with Melee Attacks and powerful Spells\r\nFail on reaching 7 Ruin","Une Apparition invulnérable et de plus en plus rapide vous pourchasse.\r\nCette Apparition vous inflige 1 de Ruine avec ses attaques de mêlée et ses sorts puissants.\r\nSi vous atteignez 7 de Ruine, vous échouez l'Ultimatum.","Euch verfolgt ein unverwundbarer Schatten, der schneller wird und mit seinen Nahkampfangriffen und mächtigen Zaubern Verderben verursacht\r\nIhr scheitert beim Erreichen von 7 Verderben","近接アタックおよび強力なスペルにより崩壊を付与する不死身のシェードストーカーがさらにスピードを上げプレイヤーを追跡する\r\n崩壊が7に達するとアルティメイタムに失敗する","더욱 빨라지는 무적 상태의 그림자가 당신을 따라다니며, 근접 공격과 강력한 주문으로 파탄을 유발합니다.\r\n파탄이 7중첩 시 실패합니다.","Uma sombra invulnerável o persegue, ganhando ainda mais velocidade e infligindo Ruína com seus Ataques Corpo a Corpo e Magias poderosas\r\nFalha ao atingir 7 Ruínas","Вас преследует неуязвимая тень, ещё сильнее ускоряющаяся и накладывающая Гибель атаками ближнего боя и мощными чарами\r\nПоражение при достижении 7 эффектов Гибели","Te acecha una sombra invulnerable que gana más velocidad y aplica Ruina con ataques cuerpo a cuerpo y hechizos poderosos\r\nFallas si alcanzas 7 de Ruina","วิญญาณ​อมตะ จะ​แอบ​ย่อง​ตาม​คุณ มัน​จะ​เพิ่ม​ความเร็ว​ขึ้น​อีก และ การ​โจมตี​ประชิด​และ​เวท​อัน​ทรงพลัง ของ​มัน​สร้าง​สถานะ ย่อยยับ\r\nการ​เผชิญหน้า​ล้ม​เหลว เมื่อ​ติด​สถานะ ย่อยยับ 7 ระดับ","一個無敵的陰影跟隨你，它的近戰攻擊和強力法術造成毀滅\r\n到達 10 毀滅時失效",[],"","[7899,7829]",16732,32309
