"rownum","BaseItemTypesKey","rid_16","rid_32","rid_48","rid_64","rid_80","rid_96","rid_112","rid_128","rid_144","rid_160","rid_176","Display_Wand_ModsKey","Display_Bow_ModsKey","Display_Quiver_ModsKey","Display_Amulet_ModsKey","Display_Ring_ModsKey","Display_Belt_ModsKey","Display_Gloves_ModsKey","Display_Boots_ModsKey","Display_BodyArmour_ModsKey","Display_Helmet_ModsKey","Display_Shield_ModsKey","HASH32","DropLevel","Monster_ModsKeys","EssenceTypeKey","Level","[i32]_424","Display_Weapon_ModsKey","Display_MeleeWeapon_ModsKey","Display_OneHandWeapon_ModsKey","Display_TwoHandWeapon_ModsKey","Display_TwoHandMeleeWeapon_ModsKey","Display_Armour_ModsKey","Display_RangedWeapon_ModsKey","Helmet_ModsKey","BodyArmour_ModsKey","Boots_ModsKey","Gloves_ModsKey","Bow_ModsKey","Wand_ModsKey","Staff_ModsKey","TwoHandSword_ModsKey","TwoHandAxe_ModsKey","TwoHandMace_ModsKey","Claw_ModsKey","Dagger_ModsKey","OneHandSword_ModsKey","OneHandThrustingSword_ModsKey","OneHandAxe_ModsKey","OneHandMace_ModsKey","Sceptre_ModsKey","Display_Monster_ModsKey","ItemLevelRestriction","Belt_ModsKey","Amulet_ModsKey","Ring_ModsKey","Display_Jewellery_ModsKey","Shield_ModsKey","Display_Items_ModsKey","IsScreamingEssence","MemoryLines","[i32]_957","Level2"
76,163,"","","","","","","","","","","","","",3095,3095,3107,3638,3107,9579,"","",7955,-1618168670,[48],"[12963,12979]",13,4,[612],4112,"","","","",6791,"",6791,6791,9579,3107,4112,4112,4112,4112,4112,4112,4112,4112,4112,4112,4112,4112,4112,12859,75,3638,3095,3107,"",7955,"","",[12971],[553],[48]
77,164,"","","","","","","","","","","","","",3096,3096,3108,3639,3108,9580,"","",7956,-2058874949,[68],"[12964,12980]",13,5,[673],4113,"","","","",6792,"",6792,6792,9580,3108,4113,4113,4113,4113,4113,4113,4113,4113,4113,4113,4113,4113,4113,12860,0,3639,3096,3108,"",7956,"",1,[12972],[37],[68]
78,165,"","","","","","","","","","","","","",3097,3097,3109,3640,3109,9581,"","",7957,-697952158,"[73,77]","[12965,12981]",13,6,"[135,269]",4114,"","","","",6793,"",6793,6793,9581,3109,4114,4114,4114,4114,4114,4114,4114,4114,4114,4114,4114,4114,4114,12861,0,3640,3097,3109,"",7957,"","",[12973],[0],[]
79,166,"","","","","","","","","","","","","",3106,3106,3110,3641,3110,9582,"","",7958,-417900903,[],"[12966,12982]",13,7,[0],4115,"","","","",6794,"",6794,6794,9582,3110,4115,4115,4115,4115,4115,4115,4115,4115,4115,4115,4115,4115,4115,12862,0,3641,3106,3110,"",7958,"","",[12974],[0],[]
80,167,"","","","","","","","","","","","","",183,"","","","","","","","",-2072698540,[48],"[12963,12985,12979]",14,4,[612],"","",9131,9135,"",183,"",183,183,183,183,9135,9131,9135,9135,9135,9135,9131,9131,9131,9131,9131,9131,9131,12916,75,183,183,183,183,183,183,"","[12971,12985]",[553],[48]
81,168,"","","","","","","","","","","","","",184,"","","","","","","","",-19953861,[68],"[12964,12985,12980]",14,5,[673],"","",9132,9136,"",184,"",184,184,184,184,9136,9132,9136,9136,9136,9136,9132,9132,9132,9132,9132,9132,9132,12917,0,184,184,184,184,184,184,1,"[12972,12985]",[37],[68]
82,169,"","","","","","","","","","","","","",186,"","","","","","","","",-1542366365,"[73,77]","[12965,12985,12981]",14,6,"[135,269]","","",9133,9137,"",186,"",186,186,186,186,9137,9133,9137,9137,9137,9137,9133,9133,9133,9133,9133,9133,9133,12918,0,186,186,186,186,186,186,"","[12973,12985]",[0],[]
83,170,"","","","","","","","","","","","","",189,"","","","","","","","",473094408,[],"[12966,12985,12982]",14,7,[0],"","",9134,9138,"",189,"",189,189,189,189,9138,9134,9138,9138,9138,9138,9134,9134,9134,9134,9134,9134,9134,12919,0,189,189,189,189,189,189,"","[12974,12985]",[0],[]
84,171,"","","","","","","","","","","","","",2879,2672,2672,20867,2870,2227,10073,21748,3613,-355385139,[48],"[12963,12979]",15,4,[612],"",2759,"","","",3613,2763,21748,10073,2227,2870,2763,2763,2759,2759,2759,2759,2759,2759,2759,2759,2759,2759,2759,12855,75,20867,2672,2672,"",3613,"","",[12971],[553],[48]
85,172,"","","","","","","","","","","","","",2880,2673,2673,20868,2872,2228,10074,21749,3614,839378797,[68],"[12964,12980]",15,5,[673],"",2760,"","","",3614,2764,21749,10074,2228,2872,2764,2764,2760,2760,2760,2760,2760,2760,2760,2760,2760,2760,2760,12856,0,20868,2673,2673,"",3614,"",1,[12972],[37],[68]
86,173,"","","","","","","","","","","","","",2881,2675,2691,20869,2873,2229,10075,21750,3615,-1822562206,"[73,77]","[12965,12981]",15,6,"[135,269]","",2761,"","","",3615,2765,21750,10075,2229,2873,2765,2765,2761,2761,2761,2761,2761,2761,2761,2761,2761,2761,2761,12857,0,20869,2675,2691,"",3615,"","",[12973],[0],[]
87,174,"","","","","","","","","","","","","",2882,2676,2692,20870,2874,2231,10076,21751,3616,1492393166,[],"[12966,12982]",15,7,[0],"",2762,"","","",3616,2766,21751,10076,2231,2874,2766,2766,2762,2762,2762,2762,2762,2762,2762,2762,2762,2762,2762,12858,0,20870,2676,2692,"",3616,"","",[12974],[0],[]
88,175,"","","","","","","","","","","","","",2576,"","",4854,"","","","",3016,-760080401,[68],"[12964,12980]",16,5,[586],"","",2677,2685,"",564,"",564,564,564,564,2685,2677,2685,2685,2685,2685,2677,2677,2677,2677,2677,2677,2677,12824,0,4854,3016,3016,3016,3016,"",1,[12972],[32],[68]
89,176,"","","","","","","","","","","","","",2577,"","",4855,"","","","",3017,557934500,"[73,77]","[12965,12981]",16,6,"[117,234]","","",2678,2686,"",566,"",566,566,566,566,2686,2678,2686,2686,2686,2686,2678,2678,2678,2678,2678,2678,2678,12825,0,4855,3017,3017,3017,3017,"","",[12973],[0],[]
90,177,"","","","","","","","","","","","","",2579,"","",4856,"","","","",3024,-1973061961,[],"[12966,12982]",16,7,[0],"","",2679,2687,"",569,"",569,569,569,569,2687,2679,2687,2687,2687,2687,2679,2679,2679,2679,2679,2679,2679,12826,0,4856,3024,3024,3024,3024,"","",[12974],[0],[]
91,178,"","","","","","","","","","","",3678,4440,3678,2034,2132,2128,"","",2158,2163,2169,2086905859,[68],"[12964,12980]",17,5,[586],"","",24273,"",24276,2166,"",2163,2158,2166,2166,4440,3678,24276,24276,24276,24276,24273,24273,24273,24273,24273,24273,24273,12894,0,2128,2034,2132,"",2169,"",1,[12972],[32],[68]
92,179,"","","","","","","","","","","",3679,4441,3679,2037,2133,2129,"","",2160,2164,2170,330229883,"[73,77]","[12965,12981]",17,6,"[117,234]","","",24274,"",24277,2167,"",2164,2160,2167,2167,4441,3679,24277,24277,24277,24277,24274,24274,24274,24274,24274,24274,24274,12895,0,2129,2037,2133,"",2170,"","",[12973],[0],[]
93,180,"","","","","","","","","","","",3680,4441,3680,2038,2134,2131,"","",2162,2165,2171,1669260288,[],"[12966,12982]",17,7,[0],"","",24275,"",24278,2168,"",2165,2162,2168,2168,4441,3680,24278,24278,24278,24278,24275,24275,24275,24275,24275,24275,24275,12896,0,2131,2038,2134,"",2171,"","",[12974],[0],[]
94,181,"","","","","","","","","","","","","",3572,3572,3582,3071,"","",10093,"",3661,122642368,[68],"[12964,12980]",18,5,[586],3661,"","","","",10090,"",10090,10093,10090,10090,3661,3661,3661,3661,3661,3661,3661,3661,3661,3661,3661,3661,3661,12863,0,3071,3572,3582,"",3661,"",1,[12972],[32],[68]
95,182,"","","","","","","","","","","","","",3573,3573,3583,3072,"","",10094,"",3662,-1016206409,"[73,77]","[12965,12981]",18,6,"[117,234]",3662,"","","","",10091,"",10091,10094,10091,10091,3662,3662,3662,3662,3662,3662,3662,3662,3662,3662,3662,3662,3662,12864,0,3072,3573,3583,"",3662,"","",[12973],[0],[]
96,183,"","","","","","","","","","","","","",3581,3581,3584,3073,"","",10095,"",3663,1247641969,[],"[12966,12982]",18,7,[0],3663,"","","","",10092,"",10092,10095,10092,10092,3663,3663,3663,3663,3663,3663,3663,3663,3663,3663,3663,3663,3663,12865,0,3073,3581,3584,"",3663,"","",[12974],[0],[]
97,184,"","","","","","","","","","","","","",12678,"","",3416,"","","","","",-1691201624,[68],"[12964,3942,12980]",19,5,[586],"","",10195,10199,"",3416,"",3416,3416,3416,3416,10199,10195,10199,10199,10199,10199,10195,10195,10195,10195,10195,10195,10195,12852,0,3416,8614,8614,8614,3416,"",1,"[12972,3942]",[32],[68]
98,185,"","","","","","","","","","","","","",12679,"","",3417,"","","","","",-718463325,"[73,77]","[12965,3942,12981]",19,6,"[117,234]","","",10196,10200,"",3417,"",3417,3417,3417,3417,10200,10196,10200,10200,10200,10200,10196,10196,10196,10196,10196,10196,10196,12853,0,3417,8615,8615,8615,3417,"","","[12973,3942]",[0],[]
99,186,"","","","","","","","","","","","","",12680,"","",3418,"","","","","",692127728,[],"[12966,3942,12982]",19,7,[0],"","",10197,10201,"",3418,"",3418,3418,3418,3418,10201,10197,10201,10201,10201,10201,10197,10197,10197,10197,10197,10197,10197,12854,0,3418,8616,8616,8616,3418,"","","[12974,3942]",[0],[]
100,187,"","","","","","","","","","","","","",12944,8624,12943,12987,12933,12939,13015,12959,12957,-306989797,[],"[12967,12983]",20,8,[0],13006,"","","","","","",12959,13015,12939,12933,13006,13006,13006,13006,13006,13006,13006,13006,13006,13006,13006,13006,13006,12922,0,12987,8624,12943,"",12957,"","",[12975],[0],[]
101,188,"","","","","","","","","","","","","",10445,12993,12989,12954,12935,13027,13017,12936,12990,-1454947071,[],"[12967,13014,12983]",21,8,[0],13013,"","","","","","",12936,13017,13027,12935,13013,13013,13013,13013,13013,13013,13013,13013,13013,13013,13013,13013,13013,12923,0,12954,12993,12989,"",12990,"","","[12975,13014]",[0],[]
102,189,"","","","","","","","","","","","","",12956,12995,12955,12996,12952,12938,12942,12937,12991,-2010504687,[],"[12967,12927,12983]",22,8,[0],13002,"","","","","","",12937,12942,12938,12952,13002,13002,13002,13002,13002,13002,13002,13002,13002,13002,13002,13002,13002,12924,0,12996,12995,12955,"",12991,"","","[12975,12927]",[0],[]
103,190,"","","","","","","","","","","","","",13022,13024,18589,7638,13018,12402,12950,13005,13019,-1499847665,[],"[12967,12888,13025,12983]",23,8,[0],13023,"","","","","","",13005,12950,12402,13018,13023,13023,13023,13023,13023,13023,13023,13023,13023,13023,13023,13023,13023,12925,0,7638,13024,18589,"",13019,"","","[12975,12888,13025]",[0],[]
104,191,"","","","","","","","","","","","","","","","","","","","","","",411361590,[32],"[13008,13009,13010]",24,0,[0],"","","","","","","","","","","","","","","","","","","","","","","","",12829,0,"","","","","","","","[13008,13009,13010]",[0],[32]
