"rownum","Id","i32_8","i32_12","i32_16","Stat","StatValues","Name","Name (French)","Name (German)","Name (Japanese)","Name (Korean)","Name (Portuguese)","Name (Russian)","Name (Spanish)","Name (Thai)","Name (Traditional Chinese)","SupportFamily","HASH16","GemIcon","Variant"
79,"FirePenetrationHigh",0,0,0,[592],[12],"Greater Fire Penetration","Pénétration du feu majeure","Größeres durchdringendes Feuer","火耐性突破（大）","상위 화염 관통","Penetração de Fogo Maior","Сильный пронизывающий жар","Penetración de fuego mayor","Greater Fire Penetration","高階火焰穿透",18,54494,"Art/2DItems/Gems/Support/FirePenetration.dds",3
80,"NonDamagingAilmentEffectLow",0,0,0,[6299],[30],"Lesser Ailment Effect","Effet des Altérations mineur","Geringere Wirkung von Beeinträchtigungen","状態異常効果（小）","하위 상태 이상 효과","Efeito de Afecção Menor","Слабый эффект состояний","Efecto de estados alterados menor","Lesser Ailment Effect","低階異常狀態效果",29,12388,"Art/2DItems/Gems/Support/UnboundAilments.dds",1
81,"NonDamagingAilmentEffectMid",0,0,0,[6299],[40],"Ailment Effect","Effet des Altérations","Wirkung von Beeinträchtigungen","状態異常効果","상태 이상 효과","Efeito de Afecção","Эффект состояний","Efecto de estados alterados","Ailment Effect","異常狀態效果",29,61972,"Art/2DItems/Gems/Support/UnboundAilments.dds",2
82,"NonDamagingAilmentEffectHigh",0,0,0,[6299],[50],"Greater Ailment Effect","Effet des Altérations majeur","Größere Wirkung von Beeinträchtigungen","状態異常効果（大）","상위 상태 이상 효과","Efeito de Afecção Maior","Сильный эффект состояний","Efecto de estados alterados mayor","Greater Ailment Effect","高階異常狀態效果",29,33272,"Art/2DItems/Gems/Support/UnboundAilments.dds",3
83,"AddedColdLow",0,0,0,"[50,51]","[10,16]","Lesser Added Cold","Dégâts de froid supplémentaires mineurs","Geringerer zusätzlicher Kälteschaden","冷気追加（小）","하위 냉기 추가","Dano Adicional de Gelo Menor","Малый урон холодом","Hielo agregado menor","Lesser Added Cold","低階附加冰冷",26,13069,"Art/2DItems/Gems/Support/AddedColdDamage.dds",1
84,"AddedColdMid",0,0,0,"[50,51]","[33,49]","Added Cold","Dégâts de froid supplémentaires","Zusätzlicher Kälteschaden","冷気追加","냉기 추가","Dano Adicional de Gelo","Урон холодом","Hielo agregado","Added Cold","附加冰冷",26,52758,"Art/2DItems/Gems/Support/AddedColdDamage.dds",2
85,"AddedColdHigh",0,0,0,"[50,51]","[73,109]","Greater Added Cold","Dégâts de froid supplémentaires majeurs","Größerer zusätzlicher Kälteschaden","冷気追加（大）","상위 냉기 추가","Dano Adicional de Gelo Maior","Большой урон холодом","Hielo agregado mayor","Greater Added Cold","高階附加冰冷",26,60094,"Art/2DItems/Gems/Support/AddedColdDamage.dds",3
86,"AddedLightningLow",0,0,0,"[57,58]","[1,23]","Lesser Added Lightning","Dégâts de foudre supplémentaires mineurs","Geringerer zusätzlicher Blitzschaden","雷追加（小）","하위 번개 추가","Eletricidade Adicional Menor","Малый урон молнией","Rayo agregado menor","Lesser Added Lightning","低階附加閃電",27,36665,"Art/2DItems/Gems/Support/AddedLightningDamage.dds",1
87,"AddedLightningMid",0,0,0,"[57,58]","[4,75]","Added Lightning","Dégâts de foudre supplémentaires","Zusätzlicher Blitzschaden","雷追加","번개 추가","Eletricidade Adicionada","Урон молнией","Rayo agregado","Added Lightning","附加閃電",27,64283,"Art/2DItems/Gems/Support/AddedLightningDamage.dds",2
88,"AddedLightningHigh",0,0,0,"[57,58]","[9,168]","Greater Added Lightning","Dégâts de foudre supplémentaires majeurs","Größerer zusätzlicher Blitzschaden","雷追加（大）","상위 번개 추가","Eletricidade Adicional Maior","Большой урон молнией","Rayo agregado mayor","Greater Added Lightning","高階附加閃電",27,40533,"Art/2DItems/Gems/Support/AddedLightningDamage.dds",3
89,"WildStrikeSpecificEleWeakOnHitHigh",0,0,0,[15090],[50],"Gilded Elemental Weakness on Hit","Sensibilité aux éléments au Toucher dorée","Goldene Elementarempfindlichkeit bei Treffer","金色のヒット時エレメンタルウィークネス","도금된 명중 시 원소 약화 적용","Fraqueza Elemental ao Atingir Áurea","Позолоченный: Уязвимость к стихиям при ударе","Debilidad elemental dorada al impactar","Gilded Elemental Weakness on Hit","鍍金擊中時附加元素要害","",3756,"Art/2DItems/Gems/Support/MercGoldSupportGem.dds",3
90,"EleDamageWithAttacksLow",0,0,0,[6062],[15],"Lesser Elemental Damage with Attacks","Dégâts élémentaires des Attaques mineurs","Geringerer Elementarschaden mit Angriffen","アタック元素ダメージ（小）","하위 공격 시 원소 피해","Dano Elemental com Ataques Menor","Малый урон от стихий атаками","Daño elemental con ataques menor","Lesser Elemental Damage with Attacks","低階元素攻擊傷害",28,59712,"Art/2DItems/Gems/Support/WeaponElementalDamage.dds",1
91,"EleDamageWithAttacksMid",0,0,0,[6062],[20],"Elemental Damage with Attacks","Dégâts élémentaires des Attaques","Elementarschaden mit Angriffen","アタック元素ダメージ","공격 시 원소 피해","Dano Elemental com Ataques","Урон от стихий атаками","Daño elemental con ataques","Elemental Damage with Attacks","元素攻擊傷害",28,44886,"Art/2DItems/Gems/Support/WeaponElementalDamage.dds",2
92,"EleDamageWithAttacksHigh",0,0,0,[6062],[30],"Greater Elemental Damage with Attacks","Dégâts élémentaires des Attaques majeurs","Größerer Elementarschaden mit Angriffen","アタック元素ダメージ（大）","상위 공격 시 원소 피해","Dano Elemental com Ataques Maior","Большой урон от стихий атаками","Daño elemental con ataques mayor","Greater Elemental Damage with Attacks","高階元素攻擊傷害",28,28416,"Art/2DItems/Gems/Support/WeaponElementalDamage.dds",3
93,"ShockChanceLow",0,0,0,[658],[20],"Lesser Shock Chance","Chances d'Électrocuter mineures","Geringere Chance auf Schock","感電付与（小）","하위 감전 확률","Chance de Eletrificar Menor","Малый шанс шока","Probabilidad de electrocutar menor","Lesser Shock Chance","低階感電機率",45,9710,"Art/2DItems/Gems/Support/MercSilverIntSupportGem.dds",1
94,"ShockChanceMid",0,0,0,[658],[40],"Shock Chance","Chances d'Électrocuter","Chance auf Schock","感電付与","감전 확률","Chance de Eletrificar","Шанс шока","Probabilidad de electrocutar","Shock Chance","感電機率",45,64846,"Art/2DItems/Gems/Support/MercSilverIntSupportGem.dds",2
95,"ShockChanceHigh",0,0,0,[658],[60],"Greater Shock Chance","Chances d'Électrocuter majeures","Größere Chance auf Schock","感電付与（大）","상위 감전 확률","Chance de Eletrificar Maior","Большой шанс шока","Probabilidad de electrocutar mayor","Greater Shock Chance","高階感電機率",45,38046,"Art/2DItems/Gems/Support/MercSilverIntSupportGem.dds",3
96,"IgniteChanceLow",0,0,0,[610],[20],"Lesser Ignite Chance","Chances d'Embraser mineures","Geringere Chance auf Entzünden","発火付与（小）","하위 점화 확률","Chance de Incendiar Menor","Малый шанс поджечь","Probabilidad de quemar menor","Lesser Ignite Chance","低階點燃機率",46,52335,"Art/2DItems/Gems/Support/ChancetoIgnite.dds",1
97,"IgniteChanceMid",0,0,0,[610],[40],"Ignite Chance","Chances d'Embraser","Chance auf Entzünden","発火付与","점화 확률","Chance de Incendiar","Шанс поджечь","Probabilidad de quemar","Ignite Chance","點燃機率",46,50303,"Art/2DItems/Gems/Support/ChancetoIgnite.dds",2
98,"IgniteChanceHigh",0,0,0,[610],[60],"Greater Ignite Chance","Chances d'Embraser majeures","Größere Chance auf Entzünden","発火付与（大）","상위 점화 확률","Chance de Incendiar Maior","Большой шанс поджечь","Probabilidad de quemar mayor","Greater Ignite Chance","高階點燃機率",46,10997,"Art/2DItems/Gems/Support/ChancetoIgnite.dds",3
99,"FreezeChanceLow",0,0,0,[454],[20],"Lesser Freeze Chance","Chances de Geler mineures","Geringere Chance auf Einfrieren","凍結付与（小）","하위 동결 확률","Chance de Congelar Menor","Малый шанс заморозить","Probabilidad de congelar menor","Lesser Freeze Chance","低階冰凍機率",50,34226,"Art/2DItems/Gems/Support/MercSilverDexIntSupportGem.dds",1
100,"FreezeChanceMid",0,0,0,[454],[40],"Freeze Chance","Chances de Geler","Chance auf Einfrieren","凍結付与","동결 확률","Chance de Congelar","Шанс заморозить","Probabilidad de congelar","Freeze Chance","冰凍機率",50,27458,"Art/2DItems/Gems/Support/MercSilverDexIntSupportGem.dds",2
101,"FreezeChanceHigh",0,0,0,[454],[60],"Greater Freeze Chance","Chances de Geler majeures","Größere Chance auf Einfrieren","凍結付与（大）","상위 동결 확률","Chance de Congelar Maior","Большой шанс заморозить","Probabilidad de congelar mayor","Greater Freeze Chance","高階冰凍機率",50,12387,"Art/2DItems/Gems/Support/MercSilverDexIntSupportGem.dds",3
102,"BrittleChanceHigh",0,0,0,[8658],[30],"Brittle Chance","Chances de Fragiliser","Chance auf Zerbrechlich","脆弱付与","허약 유발 확률","Chance de Fragilizar","Шанс наложить Хрупкость","Probabilidad de aplicar fragilidad","Brittle Chance","易碎機率","",54837,"Art/2DItems/Gems/Support/MercSilverDexIntSupportGem.dds",3
103,"AilmentDamageLow",0,0,0,"[6087,6088]","[15,-30]","Lesser Ailment Damage","Dégâts des Altérations mineurs","Geringerer Beeinträchtigungsschaden","状態異常ダメージ（小）","하위 상태 이상 피해","Dano de Afecção Menor","Малый урон от состояний","Daño de estados alterados menor","Lesser Ailment Damage","低階異常狀態傷害",19,44527,"Art/2DItems/Gems/Support/DeadlyAilments.dds",1
104,"AilmentDamageMid",0,0,0,"[6087,6088]","[20,-30]","Ailment Damage","Dégâts des Altérations","Beeinträchtigungsschaden","状態異常ダメージ","상태 이상 피해","Dano de Afecção","Урон от состояний","Daño de estados alterados","Ailment Damage","異常狀態傷害",19,9607,"Art/2DItems/Gems/Support/DeadlyAilments.dds",2
105,"AilmentDamageHigh",0,0,0,"[6087,6088]","[30,-30]","Greater Ailment Damage","Dégâts des Altérations majeurs","Größerer Beeinträchtigungsschaden","状態異常ダメージ（大）","상위 상태 이상 피해","Dano de Afecção Maior","Большой урон от состояний","Daño de estados alterados mayor","Greater Ailment Damage","高階異常狀態傷害",19,65362,"Art/2DItems/Gems/Support/DeadlyAilments.dds",3
106,"BoneshatterSpecificTraumaDurationHigh",0,0,0,[14251],[2000],"Gilded Trauma Duration","Durée de Traumatisme dorée","Goldene Trauma-Dauer","金色の外傷持続時間","도금된 외상 지속시간","Duração de Trauma Áurea","Позолоченный: Длительность травмы","Duración de traumatismo dorado","Gilded Trauma Duration","鍍金創傷持續時間","",21276,"Art/2DItems/Gems/Support/MercGoldSupportGem.dds",3
107,"ShockwaveTotemSpecificAstralHigh",0,0,0,[10669],[1],"Gilded Astral Totem","Totem astral doré","Goldenes Astraltotem","金色のアストラルトーテム","도금된 우주의 토템","Totem Astral Áureo","Позолоченный: Звёздный тотем","Tótem astral dorado","Gilded Astral Totem","鍍金星際圖騰","",41118,"Art/2DItems/Gems/Support/MercGoldSupportGem.dds",3
108,"EnsnaringArrowSpecificEffectHigh",0,0,0,[10518],[10],"Gilded Ensare Effect","Effet de l'Empêtrement doré","Goldene Fesseln","金色のスネア効果","도금된 올가미 효과","Efeito de Emaranhar Áureo","Позолоченный: Эффект силков","Efecto de atrapamiento dorado","Gilded Ensare Effect","鍍金誘捕效果","",25565,"Art/2DItems/Gems/Support/MercGoldSupportGem.dds",3
109,"MaimOnHitHigh",0,0,0,"[3811,6085]","[1,10]","Maim","Mutilation","Verstümmeln","重傷","힘줄 절단","Mutilar","Увечье","Lisiar","Maim","癱瘓","",56389,"Art/2DItems/Gems/Support/Maim.dds",3
110,"ImpaleChanceLow",0,0,0,[12947],[20],"Lesser Impale Chance","Chances d'Empaler mineures","Geringere Chance auf Aufspießen","串刺し付与（小）","하위 꿰뚫기 확률","Chance de Empalar Menor","Малый шанс проколоть","Probabilidad de empalar menor","Lesser Impale Chance","低階穿刺機率",22,54252,"Art/2DItems/Gems/Support/impale.dds",1
111,"ImpaleChanceMid",0,0,0,[12947],[40],"Impale Chance","Chances d'Empaler","Chance auf Aufspießen","串刺し付与","꿰뚫기 확률","Chance de Empalar","Шанс проколоть","Probabilidad de empalar","Impale Chance","穿刺機率",22,11497,"Art/2DItems/Gems/Support/impale.dds",2
112,"ImpaleChanceHigh",0,0,0,[12947],[60],"Greater Impale Chance","Chances d'Empaler majeures","Größere Chance auf Aufspießen","串刺し付与（大）","상위 꿰뚫기 확률","Chance de Empalar Maior","Большой шанс проколоть","Probabilidad de empalar mayor","Greater Impale Chance","高階穿刺機率",22,29720,"Art/2DItems/Gems/Support/impale.dds",3
113,"MirageArcherHigh",0,0,0,"[7077,7076,7289,7074,7258,7265]","[1,1,1,4000,-60,-138]","Mirage Archer","Archer mirage","Phantombogenschütze","ミラージュアーチャー","신기루 궁수","Arqueiro Miragem","Призрачный лучник","Arquero ilusorio","Mirage Archer","幻影射手","",37727,"Art/2DItems/Gems/Support/MirageArcher.dds",3
114,"MultiTotemHigh",0,0,0,"[8519,866]","[1,2]","Multiple Totems","Totems multiples","Mehrere Totems","マルチトーテム","다중 토템","Totens Múltiplos","Множество тотемов","Tótems múltiples","Multiple Totems","複數圖騰","",17097,"Art/2DItems/Gems/Support/MultipleTotems.dds",3
115,"TornadoShotSpecificSecondaryProjHigh",0,0,0,[4246],[2],"Gilded Secondary Shots","Tirs secondaires dorés","Goldene sekundäre Schüsse","金色の副次的投射物","도금된 부가 사격","Disparos Secundários Áureos","Позолоченный: Вторичные снаряды","Disparos secundarios dorados","Gilded Secondary Shots","鍍金二次射擊","",18499,"Art/2DItems/Gems/Support/MercGoldSupportGem.dds",3
116,"RageOnMeleeHitLow",0,0,0,[20538],[2],"Lesser Rage on Hit","Rage au Toucher mineure","Geringerer Rausch bei Treffer","ヒット時憤怒（小）","하위 명중 시 격노","Fúria ao Atingir Menor","Малая свирепость при ударе","Furia al impactar menor","Lesser Rage on Hit","低階擊中時獲得盛怒",20,55249,"Art/2DItems/Gems/Support/RageSupport.dds",1
117,"RageOnMeleeHitMid",0,0,0,[20538],[4],"Rage on Hit","Rage au Toucher","Rausch bei Treffer","ヒット時憤怒","명중 시 격노","Fúria ao Atingir","Свирепость при ударе","Furia al impactar","Rage on Hit","擊中時獲得盛怒",20,64986,"Art/2DItems/Gems/Support/RageSupport.dds",2
118,"RageOnMeleeHitHigh",0,0,0,[20538],[6],"Greater Rage on Hit","Rage au Toucher majeure","Größerer Rausch bei Treffer","ヒット時憤怒（大）","상위 명중 시 격노","Fúria ao Atingir Maior","Большая свирепость при ударе","Furia al impactar mayor","Greater Rage on Hit","高階擊中時獲得盛怒",20,57658,"Art/2DItems/Gems/Support/RageSupport.dds",3
119,"CleaveSpecificCullHigh",0,0,0,[588],[1],"Gilded Cull","Exécution dorée","Goldener Todesstoß","金色のカル","도금된 마무리 타격","Aniquilar Áureo","Позолоченный: Добивание","Golpe de gracia dorado","Gilded Cull","鍍金撲殺","",42140,"Art/2DItems/Gems/Support/MercGoldSupportGem.dds",3
120,"AttackSpeedLow",0,0,0,[70],[15],"Lesser Attack Speed","Vitesse d'attaque mineure","Geringere Angriffsgeschwindigkeit","アタックスピード（小）","하위 공격 속도","Velocidade de Ataque Menor","Малая скорость атаки","Velocidad de ataque menor","Lesser Attack Speed","低階攻擊速度",21,52447,"Art/2DItems/Gems/Support/FasterAttacks.dds",1
121,"AttackSpeedMid",0,0,0,[70],[25],"Attack Speed","Vitesse d'attaque","Angriffsgeschwindigkeit","アタックスピード","공격 속도","Velocidade de Ataque","Скорость атаки","Velocidad de ataque","Attack Speed","攻擊速度",21,987,"Art/2DItems/Gems/Support/FasterAttacks.dds",2
122,"AttackSpeedHigh",0,0,0,[70],[35],"Greater Attack Speed","Vitesse d'attaque majeure","Größere Angriffsgeschwindigkeit","アタックスピード（大）","상위 공격 속도","Velocidade de Ataque Maior","Большая скорость атаки","Velocidad de ataque mayor","Greater Attack Speed","高階攻擊速度",21,50485,"Art/2DItems/Gems/Support/FasterAttacks.dds",3
123,"ConcentratedEffectLow",0,0,0,"[2710,643]","[-30,20]","Lesser Concentrated Effect","Effet concentré mineur","Geringere konzentrierte Wirkung","効果濃縮（小）","하위 효과 집중","Efeito Concentrado Menor","Малое средоточие","Efecto concentrado menor","Lesser Concentrated Effect","低階集中效果",23,42698,"Art/2DItems/Gems/Support/ConcentratedAOE.dds",1
124,"ConcentratedEffectMid",0,0,0,"[2710,643]","[-30,30]","Concentrated Effect","Effet concentré","Konzentrierte Wirkung","効果濃縮","효과 집중","Efeito Concentrado","Средоточие","Efecto concentrado","Concentrated Effect","集中效果",23,21489,"Art/2DItems/Gems/Support/ConcentratedAOE.dds",2
125,"ConcentratedEffectHigh",0,0,0,"[2710,643]","[-30,40]","Greater Concentrated Effect","Effet concentré majeur","Größere Konzentrierte Wirkung","効果濃縮（大）","상위 효과 집중","Efeito Concentrado Maior","Большое средоточие","Efecto concentrado mayor","Greater Concentrated Effect","高階集中效果",23,51806,"Art/2DItems/Gems/Support/ConcentratedAOE.dds",3
126,"DotMultiLow",0,0,0,[10142],[15],"Lesser DoT Multiplier","Multiplicateur de Dégâts sur la durée mineur","Geringerer Multiplikator für Schaden über Zeit","DoT倍率（小）","하위 지속 피해 배율","Multiplicador de Dano Degenerativo Menor","Малый множитель постепенного урона","Multiplicador de daño degenerativo menor","Lesser DoT Multiplier","低階持續傷害加成",24,22977,"Art/2DItems/Gems/Support/MercSilverIntSupportGem.dds",1
127,"DotMultiMid",0,0,0,[10142],[25],"DoT Multiplier","Multiplicateur de Dégâts sur la durée","Multiplikator für Schaden über Zeit","DoT倍率","지속 피해 배율","Multiplicador de Dano Degenerativo","Множитель постепенного урона","Multiplicador de daño degenerativo","DoT Multiplier","持續傷害加成",24,6927,"Art/2DItems/Gems/Support/MercSilverIntSupportGem.dds",2
128,"DotMultiHigh",0,0,0,[10142],[35],"Greater DoT Multiplier","Multiplicateur de Dégâts sur la durée majeur","Größerer Multiplikator für Schaden über Zeit","DoT倍率（大）","상위 지속 피해 배율","Multiplicador de Dano Degenerativo Maior","Большой множитель постепенного урона","Multiplicador de daño degenerativo mayor","Greater DoT Multiplier","高階持續傷害加成",24,37460,"Art/2DItems/Gems/Support/MercSilverIntSupportGem.dds",3
129,"TotemDefencesLow",0,0,0,"[1833,1832]","[10,30]","Lesser Ironwood","Bois de fer mineur","Geringeres Eisenholz","鉄木（小）","하위 철목","Pau-ferro Menor","Малое железное дерево","Madera férrea menor","Lesser Ironwood","低階鐵木",25,230,"Art/2DItems/Gems/Support/MercSilverStrIntSupportGem.dds",1
130,"TotemDefencesMid",0,0,0,"[1833,1832]","[20,40]","Ironwood","Bois de fer","Eisenholz","鉄木","철목","Pau-ferro","Железное дерево","Madera férrea","Ironwood","鐵木",25,6667,"Art/2DItems/Gems/Support/MercSilverStrIntSupportGem.dds",2
131,"TotemDefencesHigh",0,0,0,"[1833,1832]","[30,60]","Greater Ironwood","Bois de fer majeur","Größeres Eisenholz","鉄木（大）","상위 철목","Pau-ferro Maior","Большое железное дерево","Madera férrea mayor","Greater Ironwood","高階鐵木",25,1227,"Art/2DItems/Gems/Support/MercSilverStrIntSupportGem.dds",3
132,"BlightSpecificSecondaryDurationHigh",0,0,0,[4350],[80],"Gilded Hinder Duration","Durée d'Entrave dorée","Goldene Lähmungsdauer","金色の妨害持続時間","도금된 이동 방해 지속시간","Duração de Tolhimento Áurea","Позолоченный: Длительность скованности","Duración de entumecimiento dorado","Gilded Hinder Duration","鍍金阻礙持續時間","",3180,"Art/2DItems/Gems/Support/MercGoldSupportGem.dds",3
133,"SoulrendSpecificBaseDurationHigh",0,0,0,[356],[1000],"Gilded Additional Duration","Durée supplémentaire dorée","Goldene zusätzliche Dauer","金色の追加持続時間","도금된 추가 지속시간","Duração Adicional Áurea","Позолоченный: Дополнительная длительность","Duración adicional dorada","Gilded Additional Duration","鍍金額外持續時間","",55998,"Art/2DItems/Gems/Support/MercGoldSupportGem.dds",3
134,"RollingMagmaAOEPerProjHigh",0,0,0,[19583],[5],"Gilded Area per Projectile","Zone par Projectile dorée","Goldene Fläche pro Projektil","金色の投射物ごとの効果範囲","도금된 투사체당 범위","Área por Projétil Áurea","Позолоченный: Область за снаряд","Área dorada por proyectil","Gilded Area per Projectile","鍍金每個投射物範圍",51,28387,"Art/2DItems/Gems/Support/MercGoldSupportGem.dds",3
135,"DivineIreSpecificWidthHigh",0,0,0,[9080],[40],"Gilded Beam Width","Épaisseur de rayon doré","Goldene Strahlenbreite","金色のビーム幅","도금된 광선 폭","Largura do Raio Áurea","Позолоченный: Ширина луча","Anchura de haces dorados","Gilded Beam Width","鍍金射線寬度","",13568,"Art/2DItems/Gems/Support/MercGoldSupportGem.dds",3
136,"PhysGainAsRandomLow",0,0,0,[1896],[10],"Lesser Physical as Extra","Dégâts physiques sous forme de Dégâts supplémentaires mineurs","Geringerer physisch als extra","物理の一部を追加元素（小）","하위 물리를 추가로","Físico como Adicional Menor","Малый физический урон в виде урона от стихии","Físico como extra menor","Lesser Physical as Extra","低階物理轉化為額外",33,28037,"Art/2DItems/Gems/Support/MercSilverStrIntSupportGem.dds",1
137,"PhysGainAsRandomMid",0,0,0,[1896],[20],"Physical as Extra","Dégâts physiques sous forme de Dégâts supplémentaires","Physisch als extra","物理の一部を追加元素","물리를 추가로","Físico como Adicional","Физический урон в виде урона от стихии","Físico como extra","Physical as Extra","物理轉化為額外",33,39342,"Art/2DItems/Gems/Support/MercSilverStrIntSupportGem.dds",2
138,"PhysGainAsRandomHigh",0,0,0,[1896],[35],"Greater Physical as Extra","Dégâts physiques sous forme de Dégâts supplémentaires majeurs","Größerer physisch als extra","物理の一部を追加元素（大）","상위 물리를 추가로","Físico como Adicional Maior","Большой физический урон в виде урона от стихии","Físico como extra mayor","Greater Physical as Extra","高階物理轉化為額外",33,45050,"Art/2DItems/Gems/Support/MercSilverStrIntSupportGem.dds",3
139,"ChannelSkillDamageReductionLow",0,0,0,[8832],[-5],"Lesser Infused Channelling","Canalisation infusée mineure","Geringeres Konzentriertes Kanalisieren","チャネリング注入（小）","하위 깊어지는 집중 유지","Canalização Infundida Menor","Малое усиленное поддержание","Canalización imbuida menor","Lesser Infused Channelling","低階灌注引導",47,59986,"Art/2DItems/Gems/Support/StormBarrier.dds",1
140,"ChannelSkillDamageReductionMid",0,0,0,[8832],[-8],"Infused Channelling","Canalisation infusée","Konzentriertes Kanalisieren","チャネリング注入","깊어지는 집중 유지","Canalização Infundida","Усиленное поддержание","Canalización imbuida","Infused Channelling","灌注引導",47,34697,"Art/2DItems/Gems/Support/StormBarrier.dds",2
141,"ChannelSkillDamageReductionHigh",0,0,0,[8832],[-10],"Greater Infused Channelling","Canalisation infusée majeure","Größeres Konzentriertes Kanalisieren","チャネリング注入（大）","상위 깊어지는 집중 유지","Canalização Infundida Maior","Большое усиленное поддержание","Canalización imbuida mayor","Greater Infused Channelling","高階灌注引導",47,63104,"Art/2DItems/Gems/Support/StormBarrier.dds",3
142,"ProjectilesReturnHigh",0,0,0,[1126],[1],"Return","Retour","Rückkehr","回帰","돌아옴","Retorna","Возвращение","Regreso","Return","返回","",5293,"Art/2DItems/Gems/Support/ReturnProjectiles.dds",3
143,"WitherOnHitLow",0,0,0,[8318],[15],"Lesser Wither on Hit","Flétrissement au Toucher mineur","Geringere Verkümmerung bei Treffer","ヒット時衰弱（小）","하위 명중 시 위축","Definhar ao Atingir Menor","Слабое истощение при ударе","Marchitamiento al impactar menor","Lesser Wither on Hit","低階擊中時凋零",30,53673,"Art/2DItems/Gems/Support/WitherGemSupport.dds",1
144,"WitherOnHitMid",0,0,0,[8318],[30],"Wither on Hit","Flétrissement au Toucher","Verkümmerung bei Treffer","ヒット時衰弱","명중 시 위축","Definhar ao Atingir","Истощение при ударе","Marchitamiento al impactar","Wither on Hit","擊中時凋零",30,15235,"Art/2DItems/Gems/Support/WitherGemSupport.dds",2
145,"WitherOnHitHigh",0,0,0,[8318],[45],"Greater Wither on Hit","Flétrissement au Toucher majeur","Größere Verkümmerung bei Treffer","ヒット時衰弱（大）","상위 명중 시 위축","Definhar ao Atingir Maior","Сильное истощение при ударе","Marchitamiento al impactar mayor","Greater Wither on Hit","高階擊中時凋零",30,61510,"Art/2DItems/Gems/Support/WitherGemSupport.dds",3
146,"VoidSphereSpecificTickRateHigh",0,0,0,[12958],[35],"Gilded Sphere Frequency","Fréquence de la Sphère dorée","Goldene Sphären-Frequenz","金色のスフィア頻度","도금된 구체 빈도","Frequência de Esfera Áurea","Позолоченный: Частота сфер","Frecuencia de esferas doradas","Gilded Sphere Frequency","鍍金球體頻率","",12569,"Art/2DItems/Gems/Support/MercGoldSupportGem.dds",3
147,"MaxShockHigh",0,0,0,[16454],[10],"Maximum Shock Effect","Effet d'Électrocution maximal","Maximale Schockwirkung","最大感電効果","최대 감전 효과","Efeito Eletrificar Máximo","Максимальный эффект шока","Efecto máximo de la electrocución","Maximum Shock Effect","最大感電效果","",64801,"Art/2DItems/Gems/Support/MercSilverIntSupportGem.dds",3
148,"CriticalStrikeLow",0,0,0,[553],[80],"Lesser Critical Chance","Chances de Critiques mineures","Geringere kritische Trefferchance","クリティカル率（小）","하위 치명타 확률","Chance de Crítico Menor","Малый шанс критического удара","Probabilidad crítica menor","Lesser Critical Chance","低階暴擊率",31,23209,"Art/2DItems/Gems/Support/IncreasedCriticalStrikes.dds",1
149,"CriticalStrikeMid",0,0,0,[553],[120],"Critical Chance","Chances de Critiques","Kritische Trefferchance","クリティカル率","치명타 확률","Chance de Crítico","Шанс критического удара","Probabilidad crítica","Critical Chance","暴擊率",31,61471,"Art/2DItems/Gems/Support/IncreasedCriticalStrikes.dds",2
150,"CriticalStrikeHigh",0,0,0,[553],[200],"Greater Critical Chance","Chances de Critiques majeures","Größere kritische Trefferchance","クリティカル率（大）","상위 치명타 확률","Chance de Crítico Maior","Большой шанс критического удара","Probabilidad crítica mayor","Greater Critical Chance","高階暴擊率",31,62220,"Art/2DItems/Gems/Support/IncreasedCriticalStrikes.dds",3
151,"ReducedProjSpeedLow",0,0,0,[175],[-15],"Lesser Slower Projectiles","Ralentissement des Projectiles mineur","Geringere langsamere Projektile","投射物低速化（小）","하위 투사체 감속","Projéteis Lentos Menor","Слабо замедленные снаряды","Proyectiles lentos menores","Lesser Slower Projectiles","低階投射物減速",32,15866,"Art/2DItems/Gems/Support/SlowerProjectiles.dds",1
152,"ReducedProjSpeedMid",0,0,0,[175],[-30],"Slower Projectiles","Ralentissement des Projectiles","Langsamere Projektile","投射物低速化","투사체 감속","Projéteis Lentos","Замедленные снаряды","Proyectiles lentos","Slower Projectiles","投射物減速",32,2210,"Art/2DItems/Gems/Support/SlowerProjectiles.dds",2
153,"ReducedProjSpeedHigh",0,0,0,[175],[-40],"Greater Slower Projectiles","Ralentissement des Projectiles majeur","Größere langsamere Projektile","投射物低速化（大）","상위 투사체 감속","Projéteis Lentos Maior","Сильно замедленные снаряды","Proyectiles lentos mayores","Greater Slower Projectiles","高階投射物減速",32,44952,"Art/2DItems/Gems/Support/SlowerProjectiles.dds",3
154,"IncreasedProjSpeedLow",0,0,0,[175],[15],"Lesser Faster Projectiles","Vitesse des projectiles mineure","Geringere schnellere Projektile","投射物高速化（小）","하위 투사체 속도 증가","Projéteis Rápidos Menor","Малое ускорение снарядов","Proyectiles rápidos menores","Lesser Faster Projectiles","低階投射物加速",32,25199,"Art/2DItems/Gems/Support/FasterProjectiles.dds",1
155,"IncreasedProjSpeedMid",0,0,0,[175],[30],"Faster Projectiles","Vitesse des projectiles","Schnellere Projektile","投射物高速化","투사체 속도 증가","Projéteis Rápidos","Ускорение снарядов","Proyectiles rápidos","Faster Projectiles","投射物加速",32,57644,"Art/2DItems/Gems/Support/FasterProjectiles.dds",2
