"rownum","Id","Stats","StatValues","Name (English)","Name (French)","Name (German)","Name (Japanese)","Name (Korean)","Name (Portuguese)","Name (Russian)","Name (Spanish)","Name (Thai)","Name (Traditional Chinese)","Icon","i32","bool","EffectCategory","NextEffect","string","BoonDesc (English)","BoonDesc (French)","BoonDesc (German)","BoonDesc (Japanese)","BoonDesc (Korean)","BoonDesc (Portuguese)","BoonDesc (Russian)","BoonDesc (Spanish)","BoonDesc (Thai)","BoonDesc (Traditional Chinese)","CurseDesc (English)","CurseDesc (French)","CurseDesc (German)","CurseDesc (Japanese)","CurseDesc (Korean)","CurseDesc (Portuguese)","CurseDesc (Russian)","CurseDesc (Spanish)","CurseDesc (Thai)","CurseDesc (Traditional Chinese)","i32","i32","bool","[rid]","Guard","FirstEffect","i32","i32","bool","bool","HASH16"
28,"AfflictionViewRoomsAhead",[17081],[-1],"Black Smoke","Fumée noire","Schwarzer Rauch","黒い煙","검은 연기","Fumaça Negra","Чёрный дым","Niebla negra","ควันดำ","黑煙","Art/2DArt/UIImages/InGame/Sanctum/BoonCurseIcons/CurseBlackSmokeIcon",11,1,1,"","Art/2DArt/UIImages/InGame/Sanctum/BoonCurseIcons/CurseBlackSmoke","","","","","","","","","","","You can see one fewer room ahead on the Sanctum Map","Vous pouvez voir une Salle en moins au loin sur la Carte du Sanctuaire","Ihr könnt vorab einen Raum weniger auf der Sanktum-Karte sehen","サンクタムマップで見ることのできるエリアが1少なくなる","성역 지도에서 미리 볼 수 있는 방 1개 감소","Você pode ver um salão a menos adiante no Mapa do Sanctum","Вы можете увидеть на одну комнату меньше впереди на карте Святилища","Puedes ver a una sala menos de distancia en el mapa del Santuario","คุณมองเห็นห้องข้างหน้าได้ น้อยลง 1 แถวในแผนที่เทวสถาน","在聖域地圖你可以少看一間房間",5,0,"",[],[9120],"",5,0,"","",34448
29,"BoonViewRoomsAhead",[17081],[1],"Scrying Crystal","Cristal de divination","Kristallkugel","水晶占い","수정구","Bola de Cristal","Гадальный кристалл","Bola de cristal","ผลึกมองไกล","占卜水晶","Art/2DArt/UIImages/InGame/Sanctum/BoonCurseIcons/BoonScryingCrystalIcon",11,1,2,"","Art/2DArt/UIImages/InGame/Sanctum/BoonCurseIcons/BoonScryingCrystal","You can see an additional room ahead on the Sanctum Map","Vous pouvez voir une Salle supplémentaire au loin sur la Carte du Sanctuaire","Ihr könnt vorab einen weiteren Raum auf der Sanktum-Karte sehen","サンクタムマップで見ることのできるエリアが1増える","성역 지도에서 미리 볼 수 있는 방 1개 증가","Você pode ver um salão adicional adiante no Mapa do Sanctum","Вы можете увидеть дополнительную комнату впереди на карте Святилища","Puedes ver a una sala más de distancia en el mapa del Santuario","คุณมองเห็นห้องข้างหน้าได้ มากขึ้น 1 แถวในแผนที่เทวสถาน","在聖域地圖你可以預先看見 1 間額外房間","","","","","","","","","","",5,0,"",[],[9119],"",5,0,"","",44243
30,"AfflictionMerchantCost",[17086],[50],"Unhallowed Ring","Bague profane","Unheiliger Ring","罪深い指輪","부정한 담합","Círculo Profano","Нечестивое кольцо","Anillo inmoral","แหวนเสื่อมสักการะ","不潔戒指","Art/2DArt/UIImages/InGame/Sanctum/BoonCurseIcons/CurseUnhallowedRingIcon",11,1,1,"","Art/2DArt/UIImages/InGame/Sanctum/BoonCurseIcons/CurseUnhallowedRing","","","","","","","","","","","50% increased Merchant prices","50% d'Augmentation des prix des Marchands","50% erhöhte Händlerpreise","商人の価格が50%増加する","상인 가격 50% 증가","Preços do Mercador aumentados em 50%","50% повышение цен у торговца","Precios del mercader aumentados un 50%","เพิ่มราคาของ แม่ค้า 50%","增加 50% 販售價格",5,0,1,[],[9120],"",5,0,"","",11449
31,"BoonMerchantCost",[17086],[-50],"Silver Tongue","Langue d'argent","Silberzunge","銀の舌","언변","Língua de Prata","Серебряный язык","Lengua de plata","ลิ้นเงิน","能說會道","Art/2DArt/UIImages/InGame/Sanctum/BoonCurseIcons/BoonSilverTongueIcon",11,1,2,"","Art/2DArt/UIImages/InGame/Sanctum/BoonCurseIcons/BoonSilverTongue","50% reduced Merchant prices","50% de Réduction des prix des Marchands","50% verringerte Händlerpreise","商人の価格が50%減少する","상인 가격 50% 감소","Preços do Mercador reduzidos em 50%","50% снижение цен у торговца","Precios del mercader reducidos un 50%","ลดราคาของ แม่ค้า 50%","減少 50% 販售價格","","","","","","","","","","",5,0,1,[],[9119],"",5,0,"","",24536
32,"BoonDisableTraps",[17085],[1],"Imperial Seal","Sceau impérial","Kaiserliches Siegel","帝国の印章","제국의 인장","Selo Imperial","Имперская печать","Sello imperial","ตราจักรวรรดิ","玉璽","Art/2DArt/UIImages/InGame/Sanctum/BoonCurseIcons/BoonImperialSealIcon",11,1,4,"","Art/2DArt/UIImages/InGame/Sanctum/BoonCurseIcons/BoonImperialSeal","Traps are Disabled","Les Pièges sont désactivés","Fallen sind deaktiviert","罠が無効化される","덫 비활성화","Armadilhas são Desabilitadas","Ловушки отключены","Las trampas están desactivadas","กับดัก ถูกปิดการทำงาน","陷阱失效","","","","","","","","","","",5,0,"",[7],[9119],"",5,0,"","",44836
33,"BoonBlockXHitsEachRoom",[17091],[1],"Silver Descry","Oculus d'argent","Silberner Blick","銀色の希望","은 성표","Visão de Prata","Серебряные заметки","Percepción plateada","ตราเทวเนตรเงิน","銀色之視","Art/2DArt/UIImages/InGame/Sanctum/BoonCurseIcons/BoonSilverDescryIcon",11,1,4,"","Art/2DArt/UIImages/InGame/Sanctum/BoonCurseIcons/BoonSilverDescry","Ignore the first Resolve lost from Hits in each room","Vous ignorez la première perte de Résolution que vous subissez en étant Touché dans chaque salle","Ignoriert den ersten Willenskraft-Verlust von Treffern in jedem Raum","各部屋でヒットによる最初の決心の喪失を無視する","각 방에서 피격으로 인한 첫 투지 상실 무시","Ignora a primeira Determinação perdida de Acertos em cada salão","Игнорирует первую потерю решимости при получении удара в каждой комнате","Ignoras la primera pérdida de resolución por golpes en cada sala","ป้องกันการ สูญเสียความมุ่งมั่น จากการปะทะครั้งแรกในแต่ละห้อง","每個房間無視擊中第一次失去決心","","","","","","","","","","",5,0,"",[7],[9119],"",5,0,"","",8698
34,"AfflictionLoseAllGoldOnFloorComplete",[17092],[1],"Floor Tax","Taxe à l'étage","Ebenensteuer","階層の税金","층 통행세","Imposto de Andar","Налог на этаж","Impuesto de piso","ภาษีชั้น","樓層稅","Art/2DArt/UIImages/InGame/Sanctum/BoonCurseIcons/CurseFloorTaxIcon",11,1,1,"","Art/2DArt/UIImages/InGame/Sanctum/BoonCurseIcons/CurseFloorTax","","","","","","","","","","","Lose all Aureus on floor completion","Vous perdez tous vos Aureus quand vous terminez l'étage","Verliert sämtliche Aurei beim Abschluss der Ebene","階層を完了するとアウレウスを全て失う","층 완료 시 아우레우스 전부 상실","Perca todas as Aureus ao completar um andar","Вы теряете весь Аурус по завершении этажа","Pierdes todos tus áureos al completar el piso","สูญเสีย เหรียญออเรอัส ทั้งหมด เมื่อผ่านชั้น","完成樓層時失去全部奧瑞厄斯幣",5,0,"",[],[9120],"",5,0,"","",38121
35,"BoonHealOnRoomComplete",[17093],[15],"Golden Descry","Oculus d'or","Goldener Blick","黄金の希望","금 성표","Visão Dourada","Золотые заметки","Percepción dorada","ตราเทวเนตรทอง","黃金之視","Art/2DArt/UIImages/InGame/Sanctum/BoonCurseIcons/BoonGoldenDescryIcon",11,1,4,"","Art/2DArt/UIImages/InGame/Sanctum/BoonCurseIcons/BoonGoldenDescry","Recover +15 Resolve on room completion","Vous récupérez +15 Résolution en terminant une salle","Stellt beim Abschluss eines Raums +15 Willenskraft wieder her","部屋を完了した時に決心を+15回復する","방 완료 시 투지 +15 회복","Recupera +15 de Determinação ao completar um salão","Восстанавливает +15 решимости при прохождении комнаты","Recuperas +15 de resolución al completar una sala","เติมความมุ่งมั่น +15 เมื่อผ่านห้อง","完成房間時，+15 決心","","","","","","","","","","",5,0,"",[7],[9119],"",5,0,"","",17551
36,"BoonSanctumDamageCooldown",[17095],[1000],"Bronze Descry","Oculus de bronze","Bronzener Blick","青銅の希望","동 성표","Visão de Bronze","Бронзовые заметки","Percepción de bronce","ตราเทวเนตรทองแดง","青銅之視","Art/2DArt/UIImages/InGame/Sanctum/BoonCurseIcons/BoonBronzeDescryIcon",11,1,4,"","Art/2DArt/UIImages/InGame/Sanctum/BoonCurseIcons/BoonBronzeDescry","Ignore Resolve lost for 1 second after losing Resolve from a Hit","Vous ignorez toute perte de Résolution pendant 1 seconde après avoir perdu de la Résolution en ayant été Touché","Ignoriert den Willenskraft-Verlust für 1 Sekunde nach dem Willenskraft-Verlust eines Treffers","ヒットにより決心を失った後1秒間は決心の喪失を無視する","피격으로 인해 투지 상실 후 1초 동안 투지 상실 무시","Ignora a Determinação perdida por 1 segundo após perder Determinação em um Acerto","Игнорирует потерю решимости в течение 1 секунды после потери решимости при получении удара","Ignoras la pérdida de resolución durante 1 segundo después de perder resolución por un golpe","ป้องกันการสูญเสียความมุ่งมั่น 1 วินาที เมื่อสูญเสียความมุ่งมั่น จากการปะทะ","擊中失去決心後， 1 秒無視失去決心","","","","","","","","","","",5,0,"",[7],[9119],"",5,0,"","",17929
37,"BoonHealOnPercentHealth","[17104,17105]","[20,50]","Glowing Orb","Orbe incandescent","Leuchtende Sphäre","輝くオーブ","빛나는 구슬","Orbe Brilhante","Светящаяся сфера","Orbe brillante","ลูกเปล่งแสง","發光寶珠","Art/2DArt/UIImages/InGame/Sanctum/BoonCurseIcons/BoonGlowOrbIcon",0,1,2,"","Art/2DArt/UIImages/InGame/Sanctum/BoonCurseIcons/BoonGlowOrb","The next time you go below 20% Resolve, heal for 50% Resolve","La prochaine fois que vous passez à moins de 20% de Résolution, vous vous soignez à 50% de Résolution","Beim nächsten Erreichen von unter 20% Willenskraft werdet Ihr um 50% Willenskraft geheilt","次回決心が20%を下回った時に、決心の50%を回復する","다음번에 투지가 20% 미만이 될 때 투지 50% 회복","A próxima vez que você cair abaixo de 20% de Determinação, cure 50% de Determinação","В следующий раз, когда ваша решимость опустится ниже 20%, вы восстановите 50% решимости","La siguiente vez que bajes del 20% de resolución, te curarás hasta el 50% de resolución","ครั้งถัดไปที่คุณมีความมุ่งมั่นต่ำกว่า 20% คุณจะรักษาความมุ่งมั่น 50%","下次你決心低於 20%，治癒 50% 決心","","","","","","","","","","",5,0,"",[],[9119],"",5,0,"","",3157
38,"BoonShieldAtStartOfFloor",[17191],[100],"Gilded Lyre","Lyre dorée","Vergoldete Leier","黄金の竪琴","도금된 리라","Lira Dourada","Позолоченная лира","Lira dorada","ไลร์เคลือบทอง","鍍金七弦琴","Art/2DArt/UIImages/InGame/Sanctum/BoonCurseIcons/BoonGildedLyreIcon",11,1,2,"","Art/2DArt/UIImages/InGame/Sanctum/BoonCurseIcons/BoonGildedLyre","Gain +100 Inspiration at the start of each floor","Vous gagnez +100 Inspiration au début de chaque étage","Erhaltet +100 Inspiration am Anfang jeder Ebene","各階層の開始時に勇気を+100獲得する","각 층 시작 시 영감 +100 획득","Ganhe +100 de Inspiração no início de cada andar","Дарует +100 вдохновения в начале каждого этажа","Ganas +100 de inspiración al inicio de cada piso","ได้รับ แรงบันดาลใจ +100 เมื่อเริ่มชั้น","每層樓開始時，+100 啟發","","","","","","","","","","",5,0,"",[],[9119],"",5,0,"","",40522
39,"BoonShieldOnGainAffliction",[17193],[30],"Rusted Chimes","Carillon rouillé","Verrostetes Glockenspiel","錆びた鐘","녹슨 종","Sinos Enferrujados","Ржавые колокольчики","Repiques oxidados","ระฆังขึ้นสนิม","生鏽鐘聲","Art/2DArt/UIImages/InGame/Sanctum/BoonCurseIcons/BoonRustedChimesIcon",11,1,2,"","Art/2DArt/UIImages/InGame/Sanctum/BoonCurseIcons/BoonRustedChimes","Gain +30 Inspiration when you gain an Affliction","Vous gagnez +30 Inspiration quand vous recevez une Affliction","Erhaltet +30 Inspiration, wenn Ihr eine Bürde erhaltet","不幸を獲得した時に勇気を+30獲得する","고난 획득 시 영감 +30 획득","Ganhe +30 de Inspiração ao ganhar uma Aflição","Дарует +30 вдохновения, когда вы получаете проклятие","Ganas +30 de inspiración cuando obtienes una desventaja","ได้รับ แรงบันดาลใจ +30 เมื่อคุณได้รับ ทัณฑ์","當你獲得苦痛時，+30 啟發","","","","","","","","","","",5,0,"",[],[9119],"",5,0,"","",37341
40,"BoonSanctumDamageTakenWithSanctumShield",[17194],[-40],"Mellifluous Chorus","Chœur mélodieux","Wohlklingender Chor","甘美なコーラス","달콤한 합창","Refrão Melífluo","Сладкозвучный хор","Coro melifluo","คอรัสเสนาะหู","悅耳合聲","Art/2DArt/UIImages/InGame/Sanctum/BoonCurseIcons/BoonMellifluousChorusIcon",11,1,2,"","Art/2DArt/UIImages/InGame/Sanctum/BoonCurseIcons/BoonMellifluous","40% less Resolve lost while you have Inspiration","40% de Perte de Résolution perdue tant que vous avez de l'Inspiration","40% weniger Willenskraft-Verlust, während Ihr Inspiration habt","勇気がある時に決心の喪失が40%低下する","영감 보유 시 상실하는 투지 40% 감폭","40% menos Determinação perdida enquanto tiver Inspiração","На 40% меньше потери решимости, пока у вас есть вдохновение","Pierdes un 40% menos de resolución mientras tengas inspiración","สูญเสียความมุ่งมั่น ลดลง อีก 40% ขณะที่คุณมี แรงบันดาลใจ","你有啟發時，失去 40% 更少決心","","","","","","","","","","",5,0,"",[],[9119],"",5,0,"","",57101
41,"AfflictionHideRoomAll",[17231],[1],"Veiled Sight","Vision voilée","Verhüllte Sicht","覆われた視野","가려진 눈","Visual Oculta","Скрытый взгляд","Vista velada","บดบังสายตา","蒙蔽視線","Art/2DArt/UIImages/InGame/Sanctum/BoonCurseIcons/CurseVeiledSightIcon",11,1,3,"","Art/2DArt/UIImages/InGame/Sanctum/BoonCurseIcons/CurseVeiledSight","","","","","","","","","","","Rooms are unknown on the Sanctum Map","Les Salles ne sont pas révélées sur la Carte du Sanctuaire","Räume sind auf der Sanktum-Karte verdeckt","サンクタムマップの部屋が不明となる","성역 지도에서 방을 확인할 수 없음","Salões são desconhecidos no Mapa do Sanctum","Комнаты на карте Святилища неизвестны","Se desconocen las salas en el mapa del Santuario","ห้อง เป็นปริศนา ในแผนที่เทวสถาน","在聖域地圖上的房間為未知",5,0,"",[],[9120],"",5,0,"","",43384
42,"AfflictionHideRoomEncounter",[17232],[1],"Red Smoke","Fumée rouge","Roter Rauch","赤い煙","붉은 연기","Fumaça Vermelha","Красный дым","Niebla roja","ควันแดง","紅煙","Art/2DArt/UIImages/InGame/Sanctum/BoonCurseIcons/CurseRedSmokeIcon",11,1,1,"","Art/2DArt/UIImages/InGame/Sanctum/BoonCurseIcons/CurseRedSmoke","","","","","","","","","","","Room types are unknown on the Sanctum Map","Les types de Salles ne sont pas révélées sur la Carte du Sanctuaire","Raumtypen sind auf der Sanktum-Karte verdeckt","サンクタムマップの部屋の種類が不明となる","성역 지도에서 방의 유형을 확인할 수 없음","Tipos dos Salões são desconhecidos no Mapa do Sanctum","Типы комнат на карте Святилища неизвестны","Se desconocen los tipos de salas en el mapa del Santuario","ชนิดของห้อง เป็นปริศนา ในแผนที่เทวสถาน","在聖域地圖上的房間類型為未知",5,0,"",[],[9120],"",5,0,"","",17084
43,"AfflictionHideRoomReward",[17233],[1],"Golden Smoke","Fumée dorée","Goldener Rauch","黄金の煙","황금 연기","Fumaça Dourada","Золотой дым","Niebla dorada","ควันทอง","金煙","Art/2DArt/UIImages/InGame/Sanctum/BoonCurseIcons/CurseGoldenSmokeIcon",11,1,1,"","Art/2DArt/UIImages/InGame/Sanctum/BoonCurseIcons/CurseGoldenSmoke","","","","","","","","","","","Rewards are unknown on the Sanctum Map","Les Récompenses ne sont pas révélées sur la Carte du Sanctuaire","Belohnungen sind auf der Sanktum-Karte verdeckt","サンクタムマップの報酬が不明となる","성역 지도에서 보상을 확인할 수 없음","Recompensas são desconhecidas no Mapa do Sanctum","Награды на карте Святилища неизвестны","Se desconocen las recompensas en el mapa del Santuario","ของรางวัล เป็นปริศนา ในแผนที่เทวสถาน","在聖域地圖上的獎勵為未知",5,0,"",[],[9120],"",5,0,"","",1198
44,"AfflictionHideRoomAffliction",[17234],[1],"Purple Smoke","Fumée violette","Violetter Rauch","紫の煙","보라색 연기","Fumaça Púrpura","Фиолетовый дым","Niebla morada","ควันม่วง","紫煙","Art/2DArt/UIImages/InGame/Sanctum/BoonCurseIcons/CursePurpleSmokeIcon",11,1,1,"","Art/2DArt/UIImages/InGame/Sanctum/BoonCurseIcons/CursePurpleSmoke","","","","","","","","","","","Afflictions are unknown on the Sanctum Map","Les Afflictions ne sont pas révélées sur la Carte du Sanctuaire","Bürden sind auf der Sanktum-Karte verdeckt","サンクタムマップの不幸が不明となる","성역 지도에서 고난을 확인할 수 없음","Aflições são desconhecidas no Mapa do Sanctum","Проклятия на карте Святилища неизвестны","Se desconocen las desventajas en el mapa del Santuario","ทัณฑ์ เป็นปริศนา ในแผนที่เทวสถาน","在聖域地圖上的苦痛為未知",5,0,"",[],[9120],"",5,0,"","",28906
45,"AfflictionResolveLossIsFatal3",[17250],[1],"Ghastly Scythe","Faux effroyable","Grausige Sense","死の鎌","무시무시한 낫","Foice Medonha","Призрачная коса","Guadaña atroz","เคียวแสนสยอง","陰森鐮刀","Art/2DArt/UIImages/InGame/Sanctum/BoonCurseIcons/CurseGhastlyScytheIcon",5,1,3,46,"Art/2DArt/UIImages/InGame/Sanctum/BoonCurseIcons/CurseGhastlyScythe","","","","","","","","","","","Losing Resolve ends your Sanctum\r\n(removed after 3 rooms)","Perdre de la Résolution termine votre parcours de Sanctuaire (disparaît après 3 Salles)","Der Verlust von Willenskraft beendet das Sanktum\r\n(wird nach 3 Räumen entfernt)","決心を失うとサンクタムが終了します\r\n(3部屋後に取り除かれる)","투지 상실 시 성역 공략 종료\r\n(방 3개 완료 후 제거)","Perder Determinação termina seu Sanctum (removido após 3 salas)","Потеря решимости смертельна\r\n(пропадает после 3 комнат)","La pérdida de resolución pone fin a tu santuario\r\n(se elimina después de 3 salas)","การสูญเสียความมุ่งมั่น ทำให้เทวสถานของคุณสิ้นสุด\r\n(ถูกกำจัดเมื่อผ่านไปได้ 3 ห้อง)","失去決心會結束你的聖域\r\n(3 個房間後移除)",5,0,"",[],[9120],"",5,0,"","",32300
46,"AfflictionResolveLossIsFatal2",[17250],[1],"Ghastly Scythe","Faux effroyable","Grausige Sense","死の鎌","무시무시한 낫","Foice Medonha","Призрачная коса","Guadaña atroz","เคียวแสนสยอง","陰森鐮刀","Art/2DArt/UIImages/InGame/Sanctum/BoonCurseIcons/CurseGhastlyScytheIcon",5,1,3,47,"","","","","","","","","","","","Losing Resolve ends your Sanctum\r\n(removed after 2 rooms)","Perdre de la Résolution termine votre parcours de Sanctuaire (disparaît après 2 Salles)","Der Verlust von Willenskraft beendet das Sanktum\r\n(wird nach 2 Räumen entfernt)","決心を失うとサンクタムが終了します\r\n(2部屋後に取り除かれる)","투지 상실 시 성역 공략 종료\r\n(방 2개 완료 후 제거)","Perder Determinação termina seu Sanctum (removido após 2 salas)","Потеря решимости смертельна\r\n(пропадает после 2 комнат)","La pérdida de resolución pone fin a tu santuario\r\n(se elimina después de 2 salas)","การสูญเสียความมุ่งมั่น ทำให้เทวสถานของคุณสิ้นสุด\r\n(ถูกกำจัดเมื่อผ่านไปได้ 2 ห้อง)","失去決心會結束你的聖域\r\n(2 個房間後移除)",5,0,"",[],[9120],45,5,0,"","",32300
47,"AfflictionResolveLossIsFatal1",[17250],[1],"Ghastly Scythe","Faux effroyable","Grausige Sense","死の鎌","무시무시한 낫","Foice Medonha","Призрачная коса","Guadaña atroz","เคียวแสนสยอง","陰森鐮刀","Art/2DArt/UIImages/InGame/Sanctum/BoonCurseIcons/CurseGhastlyScytheIcon",5,1,3,"","","","","","","","","","","","","Losing Resolve ends your Sanctum\r\n(removed after 1 room)","Perdre de la Résolution termine votre parcours de Sanctuaire (disparaît après 1 Salle)","Der Verlust von Willenskraft beendet das Sanktum\r\n(wird nach 1 Raum entfernt)","決心を失うとサンクタムが終了します\r\n(1部屋後に取り除かれる)","투지 상실 시 성역 공략 종료\r\n(방 1개 완료 후 제거)","Perder Determinação termina seu Sanctum (removido após 1 sala)","Потеря решимости смертельна\r\n(пропадает после 1 комнаты)","La pérdida de resolución pone fin a tu santuario\r\n(se elimina después de 1 sala)","การสูญเสียความมุ่งมั่น ทำให้เทวสถานของคุณสิ้นสุด\r\n(ถูกกำจัดเมื่อผ่านไปได้ 1 ห้อง)","失去決心會結束你的聖域\r\n(1 個房間後移除)",5,0,"",[],[9120],45,5,0,1,"",32300
48,"BoonGainShieldIfNoSanctumDamageTaken2",[],[],"Lilting Melody","Mélodie chantante","Beschwingte Melodie","軽快なメロディー","경쾌한 선율","Melodia Cantante","Зажигательная мелодия","Melodía rítmica","ดนตรีเป็นจังหวะ","輕快旋律","Art/2DArt/UIImages/InGame/Sanctum/BoonCurseIcons/BoonLiltingMelodyIcon",1,1,2,49,"Art/2DArt/UIImages/InGame/Sanctum/BoonCurseIcons/BoonLiltingMelody","Gain 150 Inspiration if you complete the next 2 rooms without losing Resolve or Inspiration","Vous gagnez 150 Inspiration si vous terminez les 2 prochaines salles sans perdre de Résolution et d'Inspiration","Erhaltet 150 Inspiration, wenn Ihr die nächsten 2 Räume ohne Willenskraft- oder Inspiration- Verlust abschließt","決心または勇気を喪失することなく部屋を2個完了したならば勇気を150獲得する","투지 또는 영감을 잃지 않고 다음 방 2개 완료 시 영감 150 획득","Ganhe 150 de Inspiração se completar os próximos 2 salões sem perder Determinação ou Inspiração","Дарует 150 вдохновения, если вы завершите следующие 2 комнаты без потери решимости или вдохновения","Ganas 150 de inspiración si completas las siguientes 2 salas sin perder resolución ni inspiración","ได้รับแรงบันดาลใจ 150 หากคุณผ่าน 2 ห้องโดยไม่ สูญเสียความมุ่งมั่นหรือแรงบันดาลใจ","若你完成 2 間房間且沒有失去決心或啟發，獲得 150 啟發","","","","","","","","","","",5,0,"",[],[9119],"",5,0,"","",35508
49,"BoonGainShieldIfNoSanctumDamageTaken1",[17192],[150],"Lilting Melody","Mélodie chantante","Beschwingte Melodie","軽快なメロディー","경쾌한 선율","Melodia Cantante","Зажигательная мелодия","Melodía rítmica","ดนตรีเป็นจังหวะ","輕快旋律","Art/2DArt/UIImages/InGame/Sanctum/BoonCurseIcons/BoonLiltingMelodyIcon",1,1,2,"","","Gain 150 Inspiration if you complete the next room without losing Resolve or Inspiration","Vous gagnez 150 Inspiration si vous terminez la prochaine salle sans perdre de Résolution et d'Inspiration","Erhaltet 150 Inspiration, wenn Ihr den nächsten Raum ohne Willenskraft- oder Inspiration- Verlust abschließt","決心または勇気を喪失することなく部屋を1個完了したならば勇気を150獲得する","투지 또는 영감을 잃지 않고 다음 방 완료 시 영감 150 획득","Ganha 150 de Inspiração se completar o próximo salão sem perder Determinação ou Inspiração","Дарует 150 вдохновения, если вы завершите следующую комнату без потери решимости или вдохновения","Ganas 150 de inspiración si completas la siguiente sala sin perder resolución ni inspiración","ได้รับแรงบันดาลใจ 150 หากคุณผ่านห้องถัดไป โดยไม่ สูญเสียความมุ่งมั่นหรือแรงบันดาลใจ","若你完成 1 間房間且沒有失去決心或啟發，獲得 150 啟發","","","","","","","","","","",5,0,"",[],[9119],48,5,0,1,"",35508
50,"BoonDefyDeathOnce",[17248],[75],"Priest's Descry","Oculus du prêtre","Blick des Priesters","僧侶の希望","사제의 성표","Visão do Sacerdote","Заметки жреца","Percepción del sacerdote","ตราเทวเนตรของนักบวช","牧師之視","Art/2DArt/UIImages/InGame/Sanctum/BoonCurseIcons/BoonPriestsDescryIcon",2,1,4,"","Art/2DArt/UIImages/InGame/Sanctum/BoonCurseIcons/BoonPriestsDescry","Upon reaching 0 Resolve, revive with 75% of Maximum Resolve once","Lorsque vous atteignez 0 en Résolution, vous revenez à la vie avec 75% de votre Résolution maximale une seule fois","Sobald Ihr 0 Willenskraft erreicht, werdet Ihr einmalig mit 75% der maximalen Willenskraft wiederbelebt","決心が0になった時に一度だけ決心の最大値の75%まで回復する","투지가 0이 되면 투지 최대치의 75% 상태로 1회 부활","Ao atingir 0 de Determinação, recupera 75% da Determinação Máxima uma vez","При достижении 0 решимости вы единожды возрождаетесь с 75% от максимума решимости","Cuando llegas a 0 de resolución, revives y recuperas hasta el 75% de tu resolución máxima una vez","เมื่อความมุ่งมั่นเหลือ 0 คุณจะคืนชีพโดยมี ความมุ่งมั่น 75% จากความมุ่งมั่นสูงสุด เพียงครั้งเดียว","0 決心時，恢復至 75% 最大決心一次","","","","","","","","","","",5,0,"",[7],[9119],"",5,0,"","",5686
51,"BoonDefyDeathRemoveBoon",[17249],[50],"Holy Descry","Oculus saint","Heiliger Blick","聖なる希望","신성한 성표","Visão Sagrada","Святые заметки","Percepción sagrada","ตราเทวเนตรศักดิ์สิทธิ์","神聖之視","Art/2DArt/UIImages/InGame/Sanctum/BoonCurseIcons/BoonHolyDescryIcon",11,1,4,"","Art/2DArt/UIImages/InGame/Sanctum/BoonCurseIcons/BoonHolyDescry","Upon reaching 0 Resolve, revive with full Resolve, lose 50% of your current Maximum Resolve, and remove a random Boon","Lorsque vous atteignez 0 en Résolution, vous revenez à la vie avec toute votre Résolution, perdez 50% de votre Résolution maximale et perdez un Bienfait au hasard","Sobald Ihr 0 Willenskraft erreicht, werdet Ihr mit voller Willenskraft wiederbelebt, verliert 50% Eurer aktuellen maximalen Willenskraft und einen zufälligen Segen","決心が0になった時に決心の最大値まで回復し、決心の最大値の50%およびランダムな恩恵を一つ失う","투지가 0이 되면 투지 최대치 상태로 부활, 현재 투지 최대치의 50% 상실, 무작위 은혜 1개 제거","Ao atingir 0 de Determinação, revive com Determinação cheia, perde 50% da sua Determinação Máxima atual e remove uma Dádiva aleatória","При достижении 0 решимости вы возрождаетесь с полной решимостью, теряете 50% от вашего текущего максимума решимости и теряете случайное благословение","Cuando llegas a 0 de resolución, revives y recuperas toda tu resolución, pierdes el 50% de tu resolución máxima actual y pierdes una ventaja aleatoria","เมื่อความมุ่งมั่นเหลือ 0 คุณจะคืนชีพโดยมี ความมุ่งมั่นเต็ม, สูญเสียความมุ่งมั่นสูงสุด 50% แล้วกำจัด พรแบบสุ่ม 1 ประการ","0 決心時，恢復全部決心，失去 50% 你目前最大決心，並移除 1 個隨機恩惠","","","","","","","","","","",5,0,"",[7],[9119],"",5,0,"","",39513
52,"BoonPreventMinorAfflictions",[17245],[1],"Crystal Chalice","Calice de cristal","Kristallkelch","水晶の聖杯","수정 성배","Cálice de Cristal","Хрустальная чаша","Cáliz de cristal","ถ้วยจอกคริสตัล","水晶聖杯","Art/2DArt/UIImages/InGame/Sanctum/BoonCurseIcons/BoonCrystalChaliceIcon",11,1,4,"","Art/2DArt/UIImages/InGame/Sanctum/BoonCurseIcons/BoonCrystalChalice","You cannot receive any more Minor Afflictions","Vous ne pouvez plus recevoir d'autres Afflictions mineures","Ihr könnt keine weiteren Kleinen Bürden mehr erhalten","軽微な不幸をこれ以上獲得することがない","보조 고난 획득 불가","Você não pode receber mais Aflições Menores","Вы больше не сможете получать малые проклятия","No puedes recibir ninguna desventaja menor más","คุณไม่สามารถรับ ทัณฑ์ชั้นต่ำ ได้อีก","你不能再獲得任何次要苦痛","","","","","","","","","","",5,0,"",[7],[9119],"",5,0,"","",52811
