"rownum","Index","SkillGem1","Name1 (English)","Name1 (French)","Name1 (German)","Name1 (Japanese)","Name1 (Korean)","Name1 (Portuguese)","Name1 (Russian)","Name1 (Spanish)","Name1 (Thai)","Name1 (Traditional Chinese)","SkillGem2","Name2 (English)","Name2 (French)","Name2 (German)","Name2 (Japanese)","Name2 (Korean)","Name2 (Portuguese)","Name2 (Russian)","Name2 (Spanish)","Name2 (Thai)","Name2 (Traditional Chinese)","row"
71,72,"[142,143]","Clarity","Clarté","Klarheit","クラリティ","명상","Clareza","Ясность ума","Claridad","กระจ่าง (Clarity)","清晰",[158],"Fire Trap","Piège incendiaire","Brandfalle","ファイヤー・トラップ","화염 덫","Armadilha Flamejante","Огненная ловушка","Trampa de fuego","กับดักไฟ (Fire Trap)","火焰陷阱",76
72,73,[152],"Shockwave Totem","Totem sismique","Schockwellen-Totem","ショックウェーブトーテム","충격파 토템","Totem Sísmico","Сотрясающий тотем","Tótem de onda sísmica","โทเทมคลื่นสะท้อน (Shockwave Totem)","震波圖騰",[160],"Decoy Totem","Totem leurre","Ködertotem","デコイトーテム","미끼 토템","Totem Chamariz","Тотем-приманка","Tótem de señuelo","โทเทมล่อเป้า (Decoy Totem)","誘餌圖騰",77
73,74,"[153,727]","Rejuvenation Totem","Totem régénérant","Regenerationstotem","リジュヴェネーショントーテム","회복 토템","Totem Rejuvenescedor","Восполняющий тотем","Tótem de rejuvenecimiento","โทเทมฟื้นชีวิต (Rejuvenation Totem)","回春圖騰",[161],"Devouring Totem","Totem vorace","Aasfresser-Totem","デヴァワリングトーテム","포식 토템","Totem Devorador","Поглощающий тотем","Tótem devorador","โทเทมกินศพ (Devouring Totem)","吞噬圖騰",78
74,75,[155],"Conversion Trap","Piège de conversion","Bekehrungsfalle","コンヴァージョントラップ","전향 덫","Armadilha Conversora","Ловушка переманивания","Trampa de conversión","กับดักแปรพักตร์ (Conversion Trap)","迷魅陷阱",[162],"Ethereal Knives","Couteaux éthérés","Ätherische Klingen","イシリアルナイフ","천상의 단도","Facas Etéreas","Бесплотные ножи","Cuchillos etéreos","มีดเวทมนตร์ (Ethereal Knives)","虛空匕首",79
75,76,[156],"Bear Trap","Piège à ours","Bärenfalle","ベアトラップ","곰 덫","Armadilha de Urso","Медвежий капкан","Trampa de osos","กับดักหมี (Bear Trap)","捕熊陷阱","[169,170]","Arctic Armour","Armure arctique","Arktische Rüstung","アークティックアーマー","한기의 방어구","Armadura Ártica","Северная броня","Armadura ártica","เกราะน้ำแข็ง (Arctic Armour)","極地裝甲",80
76,77,[158],"Fire Trap","Piège incendiaire","Brandfalle","ファイヤー・トラップ","화염 덫","Armadilha Flamejante","Огненная ловушка","Trampa de fuego","กับดักไฟ (Fire Trap)","火焰陷阱",[171],"Holy Flame Totem","Totem de flammes sacrées","Heiliges Flammentotem","ホーリーフレイムトーテム","신성한 화염 토템","Totem Flamejante Sagrado","Тотем священного огня","Tótem de llamas sagradas","โทเทมไฟศักดิ์สิทธิ์ (Holy Flame Totem)","神聖火舌圖騰",81
77,78,[160],"Decoy Totem","Totem leurre","Ködertotem","デコイトーテム","미끼 토템","Totem Chamariz","Тотем-приманка","Tótem de señuelo","โทเทมล่อเป้า (Decoy Totem)","誘餌圖騰",[181],"Flammability","Inflammabilité","Entflammbarkeit","フラマビリティ","인화성","Flamabilidade","Горючесть","Inflamabilidad","ไวไฟ (Flammability)","易燃",82
78,79,[161],"Devouring Totem","Totem vorace","Aasfresser-Totem","デヴァワリングトーテム","포식 토템","Totem Devorador","Поглощающий тотем","Tótem devorador","โทเทมกินศพ (Devouring Totem)","吞噬圖騰",[182],"Frostbite","Frilosité","Schneidende Kälte","フロストバイト","동상","Congelabilidade","Обморожение","Congelación","น้ำแข็งกัด (Frostbite)","凍傷",83
79,80,[162],"Ethereal Knives","Couteaux éthérés","Ätherische Klingen","イシリアルナイフ","천상의 단도","Facas Etéreas","Бесплотные ножи","Cuchillos etéreos","มีดเวทมนตร์ (Ethereal Knives)","虛空匕首",[183],"Conductivity","Conductivité","Leitfähigkeit","コンダクティヴィティ","전도성","Condutividade","Проводимость","Conductividad","ตัวนำไฟฟ้า (Conductivity)","導電",84
80,81,"[169,170]","Arctic Armour","Armure arctique","Arktische Rüstung","アークティックアーマー","한기의 방어구","Armadura Ártica","Северная броня","Armadura ártica","เกราะน้ำแข็ง (Arctic Armour)","極地裝甲",[185],"Incinerate","Incinération","Verbrennen","インシネレート","소각","Incinerar","Испепеление","Incinerar","เผาให้สิ้น (Incinerate)","燒毀",85
81,82,[171],"Holy Flame Totem","Totem de flammes sacrées","Heiliges Flammentotem","ホーリーフレイムトーテム","신성한 화염 토템","Totem Flamejante Sagrado","Тотем священного огня","Tótem de llamas sagradas","โทเทมไฟศักดิ์สิทธิ์ (Holy Flame Totem)","神聖火舌圖騰","[186,187]","Cyclone","Cyclone","Wirbelsturm","サイクロン","회오리바람","Ciclone","Вихрь","Ciclón","พายุหมุน (Cyclone)","旋風斬",86
82,83,[181],"Flammability","Inflammabilité","Entflammbarkeit","フラマビリティ","인화성","Flamabilidade","Горючесть","Inflamabilidad","ไวไฟ (Flammability)","易燃",[192],"Searing Bond","Lien ardent","Sengendes Band","シーリングボンド","불타는 굴레","Vínculo Cauterizador","Обжигающие узы","Atadura abrasadora","สายสัมพันธ์เร่าร้อน (Searing Bond)","灼熱連結",87
83,84,[182],"Frostbite","Frilosité","Schneidende Kälte","フロストバイト","동상","Congelabilidade","Обморожение","Congelación","น้ำแข็งกัด (Frostbite)","凍傷","[196,197]","Reave","Ravage","Zerreißen","リーヴ","약탈","Devastar","Опустошение","Desgarro","รีฟ (Reave)","衝擊波",88
84,85,[183],"Conductivity","Conductivité","Leitfähigkeit","コンダクティヴィティ","전도성","Condutividade","Проводимость","Conductividad","ตัวนำไฟฟ้า (Conductivity)","導電","[202,203]","Lightning Trap","Piège de foudre","Blitzfalle","ライトニングトラップ","번개 덫","Armadilha Relampejante","Ловушка молний","Trampa de rayo","กับดักสายฟ้า (Lightning Trap)","閃電陷阱",89
85,86,[185],"Incinerate","Incinération","Verbrennen","インシネレート","소각","Incinerar","Испепеление","Incinerar","เผาให้สิ้น (Incinerate)","燒毀",[244],"Pyroclast Mine","Mine de pyroclastes","Lavageschossmine","パイロクラストマイン","화산탄 지뢰","Mina Piroclástica","Пирокластовая мина","Mina piroclástica","ทุ่นระเบิดสะเก็ดไฟ (Pyroclast Mine)","炎爆新星地雷",90
86,87,"[186,187]","Cyclone","Cyclone","Wirbelsturm","サイクロン","회오리바람","Ciclone","Вихрь","Ciclón","พายุหมุน (Cyclone)","旋風斬",[154],"Icicle Mine","Mine d'éclats de glace","Eiskristallmine","アイシクルマイン","고드름 지뢰","Mina Congelante","Шквальная мина","Mina de carámbano","ทุ่นระเบิดเกล็ดน้ำแข็ง (Icicle Mine)","冰雹地雷",92
87,88,[192],"Searing Bond","Lien ardent","Sengendes Band","シーリングボンド","불타는 굴레","Vínculo Cauterizador","Обжигающие узы","Atadura abrasadora","สายสัมพันธ์เร่าร้อน (Searing Bond)","灼熱連結",[422],"Stormblast Mine","Mine de déflagration orageuse","Gewittersturmmine","ストームブラストマイン","태풍 파열 지뢰","Mina da Tormenta Explosiva","Штормовая мина","Mina de tormenta explosiva","ทุ่นระเบิดสายฟ้า (Stormblast Mine)","風暴地雷",93
88,89,"[196,197]","Reave","Ravage","Zerreißen","リーヴ","약탈","Devastação","Опустошение","Desgarro","รีฟ (Reave)","衝擊波",[206],"Animate Guardian","Animation de Gardien","Wächter beseelen","アニメイトガーディアン","수호자 기동","Animar Guardião","Аниматрон","Animar guardián","ปลุกเสกผู้พิทักษ์ (Animate Guardian)","幻化守衛",94
89,90,"[202,203]","Lightning Trap","Piège de foudre","Blitzfalle","ライトニングトラップ","번개 덫","Armadilha Relampejante","Ловушка молний","Trampa de rayo","กับดักสายฟ้า (Lightning Trap)","閃電陷阱","[208,209]","Spectral Throw","Lancer spectral","Spektralwurf","スペクトラルスロー","환영 무기 투척","Arremesso Espectral","Призрачный бросок","Lanzamiento espectral","โยนอาวุธเงา (Spectral Throw)","靈體投擲",95
90,91,[244],"Pyroclast Mine","Mine de pyroclastes","Lavageschossmine","パイロクラストマイン","화산탄 지뢰","Mina Piroclástica","Пирокластовая мина","Mina piroclástica","ทุ่นระเบิดสะเก็ดไฟ (Pyroclast Mine)","炎爆新星地雷","[215,721]","Animate Weapon","Animation d'Arme","Waffe beseelen","アニメイトウェポン","무기 기동","Animar Arma","Живое оружие","Animar arma","ปลุกเสกอาวุธ (Animate Weapon)","幻化武器",96
91,92,[204],"Smoke Mine","Mine fumigène","Rauchmine","スモークマイン","연막 지뢰","Mina de Fumaça","Дымовая мина","Mina de humo","ทุ่นระเบิดควัน (Smoke Mine)","煙霧地雷","[217,218]","Purity of Fire","Pureté du feu","Reinheit des Feuers","ピュリティオブファイヤー","불의 순수함","Pureza Ardente","Спасение от огня","Pureza de fuego","ไฟพิสุทธิ์ (Purity of Fire)","火焰淨化",97
92,93,[154],"Icicle Mine","Mine d'éclats de glace","Eiskristallmine","アイシクルマイン","고드름 지뢰","Mina Congelante","Шквальная мина","Mina de carámbano","ทุ่นระเบิดเกล็ดน้ำแข็ง (Icicle Mine)","冰雹地雷","[219,220]","Purity of Ice","Pureté de la glace","Reinheit des Eises","ピュリティオブアイス","얼음의 순수함","Pureza Glacial","Спасение от холода","Pureza de hielo","น้ำแข็งพิสุทธิ์ (Purity of Ice)","冰霜淨化",98
93,94,[422],"Stormblast Mine","Mine de déflagration orageuse","Gewittersturmmine","ストームブラストマイン","태풍 파열 지뢰","Mina da Tormenta Explosiva","Штормовая мина","Mina de tormenta explosiva","ทุ่นระเบิดสายฟ้า (Stormblast Mine)","風暴地雷","[221,222]","Purity of Lightning","Pureté de la foudre","Reinheit des Blitzes","ピュリティオブライトニング","번개의 순수함","Pureza Elétrica","Спасение от молний","Pureza de rayo","สายฟ้าพิสุทธิ์ (Purity of Lightning)","閃電淨化",99
94,95,[206],"Animate Guardian","Animation de Gardien","Wächter beseelen","アニメイトガーディアン","수호자 기동","Animar Guardião","Аниматрон","Animar guardián","ปลุกเสกผู้พิทักษ์ (Animate Guardian)","幻化守衛","[223,224]","Storm Call","Appel de la foudre","Gewitterbeschwörung","ストームコール","폭풍 부름","Invocar Tormenta","Призыв бури","Llamado de tormenta","เรียกสายฟ้า (Storm Call)","風暴呼喚",100
95,96,"[208,209]","Spectral Throw","Lancer spectral","Spektralwurf","スペクトラルスロー","환영 무기 투척","Arremesso Espectral","Призрачный бросок","Lanzamiento espectral","โยนอาวุธเงา (Spectral Throw)","靈體投擲","[225,226]","Flameblast","Conflagration","Flammenexplosion","フレイムブラスト","화염파","Explosão Flamejante","Пламенный взрыв","Explosión de llamas","ระเบิดเพลิง (Flameblast)","烈焰爆破",101
96,97,"[215,721]","Animate Weapon","Animation d'Arme","Waffe beseelen","アニメイトウェポン","무기 기동","Animar Arma","Живое оружие","Animar arma","ปลุกเสกอาวุธ (Animate Weapon)","幻化武器",[227],"Barrage","Tir de barrage","Sperrfeuer","バラージ","연발 사격","Barragem","Очередь","Aluvión","ระดมยิง (Barrage)","彈幕",102
97,98,"[217,218]","Purity of Fire","Pureté du feu","Reinheit des Feuers","ピュリティオブファイヤー","불의 순수함","Pureza Ardente","Спасение от огня","Pureza de fuego","ไฟพิสุทธิ์ (Purity of Fire)","火焰淨化",[228],"Ball Lightning","Boule de foudre","Kugelblitz","ボールライトニング","구형 번개","Esfera Trovejante","Шаровая молния","Bola de rayos","บอลสายฟ้า (Ball Lightning)","天雷之珠",103
98,99,"[219,220]","Purity of Ice","Pureté de la glace","Reinheit des Eises","ピュリティオブアイス","얼음의 순수함","Pureza Glacial","Спасение от холода","Pureza de hielo","น้ำแข็งพิสุทธิ์ (Purity of Ice)","冰霜淨化",[232],"Summon Raging Spirit","Invocation d'Esprit enragé","Flammenschädel beschwören","レイジングスピリット召喚","격노의 유령 소환","Invocar Espírito Furioso","Призыв неистового духа","Invocar espíritus encolerizados","อัญเชิญวิญญาณเกรี้ยวกราด (Summon Raging Spirit)","召喚憤怒狂靈",104
99,100,"[221,222]","Purity of Lightning","Pureté de la foudre","Reinheit des Blitzes","ピュリティオブライトニング","번개의 순수함","Pureza Elétrica","Спасение от молний","Pureza de rayo","สายฟ้าพิสุทธิ์ (Purity of Lightning)","閃電淨化",[233],"Flame Surge","Éruption de flammes","Feuerschwall","フレイムサージ","화염 쇄도","Chicote Ardente","Выброс пламени","Oleada de llamas","คลื่นเพลิง (Flame Surge)","怒焰奔騰",105
100,101,"[223,224]","Storm Call","Appel de la foudre","Gewitterbeschwörung","ストームコール","폭풍 부름","Invocar Tormenta","Призыв бури","Llamado de tormenta","เรียกสายฟ้า (Storm Call)","風暴呼喚",[235],"Desecrate","Profanation","Entweihen","デセクレート","모독","Profanar","Осквернение","Profanar","วิชาผิดผี (Desecrate)","褻瀆",106
101,102,"[225,226]","Flameblast","Conflagration","Flammenexplosion","フレイムブラスト","화염파","Explosão Flamejante","Пламенный взрыв","Explosión de llamas","ระเบิดเพลิง (Flameblast)","烈焰爆破",[236],"Flesh Offering","Offrande de chair","Fleischopfer","フレッシュオファリング","살점 공물","Oferenda Carnal","Подношение плоти","Ofrenda de carne","เซ่นไหว้ด้วยเนื้อหนัง (Flesh Offering)","血肉奉獻",107
102,103,[227],"Barrage","Tir de barrage","Sperrfeuer","バラージ","연발 사격","Barragem","Очередь","Aluvión","ระดมยิง (Barrage)","彈幕",[237],"Bone Offering","Offrande d'os","Knochenopfer","ボーンオファリング","뼈 공물","Oferenda Óssea","Подношение костей","Ofrenda de hueso","เซ่นไหว้ด้วยกระดูก (Bone Offering)","骸骨奉獻",108
103,104,[228],"Ball Lightning","Boule de foudre","Kugelblitz","ボールライトニング","구형 번개","Esfera Trovejante","Шаровая молния","Bola de rayos","บอลสายฟ้า (Ball Lightning)","天雷之珠",[239],"Glacial Cascade","Déferlement de glace","Frostwelle","グレイシャルカスケード","빙하 폭포","Cascata Glacial","Ледяной каскад","Cascada glacial","เยือกแข็งเรียงหลั่น (Glacial Cascade)","冰川之刺",109
104,105,[232],"Summon Raging Spirit","Invocation d'Esprit enragé","Flammenschädel beschwören","レイジングスピリット召喚","격노의 유령 소환","Invocar Espírito Furioso","Призыв неистового духа","Invocar espíritus encolerizados","อัญเชิญวิญญาณเกรี้ยวกราด (Summon Raging Spirit)","召喚憤怒狂靈",[242],"Convocation","Convocation","Sammeln","コンヴォケーション","소집","Convocação","Сбор","Convocatoria","เรียกประชุม (Convocation)","號召",110
105,106,[233],"Flame Surge","Éruption de flammes","Feuerschwall","フレイムサージ","화염 쇄도","Chicote Ardente","Выброс пламени","Oleada de llamas","คลื่นเพลิง (Flame Surge)","怒焰奔騰","[241,714]","Molten Strike","Frappe volcanique","Lavaschlag","モルテンストライク","용암 타격","Golpe Vulcânico","Магмовый удар","Golpe fundido","ฟาดหลอมละลาย (Molten Strike)","熔岩之擊",111
106,107,[235],"Desecrate","Profanation","Entweihen","デセクレート","모독","Profanar","Осквернение","Profanar","วิชาผิดผี (Desecrate)","褻瀆",[245],"Tornado Shot","Tornade de flèches","Tornadoschuss","トルネードショット","회오리 사격","Tiro Tornado","Вихрь стрел","Disparo de tornado","ศรสลาตัน (Tornado Shot)","龍捲射擊",112
107,108,[236],"Flesh Offering","Offrande de chair","Fleischopfer","フレッシュオファリング","살점 공물","Oferenda Carnal","Подношение плоти","Ofrenda de carne","เซ่นไหว้ด้วยเนื้อหนัง (Flesh Offering)","血肉奉獻",[248],"Herald of Ash","Héraut des cendres","Herold der Asche","ヘラルドオブアッシュ","재의 전령","Arauto Flamejante","Вестник пепла","Heraldo de ceniza","สาส์นธุลี (Herald of Ash)","灰燼之捷",113
108,109,[237],"Bone Offering","Offrande d'os","Knochenopfer","ボーンオファリング","뼈 공물","Oferenda Óssea","Подношение костей","Ofrenda de hueso","เซ่นไหว้ด้วยกระดูก (Bone Offering)","骸骨奉獻",[249],"Herald of Ice","Héraut de la glace","Herold des Eises","ヘラルドオブアイス","얼음의 전령","Arauto Glacial","Вестник льда","Heraldo de hielo","สาส์นน้ำแข็ง (Herald of Ice)","冰霜之捷",114
109,110,[239],"Glacial Cascade","Déferlement de glace","Frostwelle","グレイシャルカスケード","빙하 폭포","Cascata Glacial","Ледяной каскад","Cascada glacial","เยือกแข็งเรียงหลั่น (Glacial Cascade)","冰川之刺",[250],"Herald of Thunder","Héraut du tonnerre","Herold des Donners","ヘラルドオブサンダー","천둥의 전령","Arauto Trovejante","Вестник грома","Heraldo de trueno","สาส์นสายฟ้า (Herald of Thunder)","閃電之捷",115
110,111,[242],"Convocation","Convocation","Sammeln","コンヴォケーション","소집","Convocação","Сбор","Convocatoria","เรียกประชุม (Convocation)","號召",[253],"Poacher's Mark","Marque du braconnier","Mal des Wilderers","ポーチャーの呪印","밀렵꾼의 징표","Marca do Larápio","Метка браконьера","Señal del cazador furtivo","คำแช่งนายพราน (Poacher's Mark)","盜獵者印記",116
111,112,"[241,714]","Molten Strike","Frappe volcanique","Lavaschlag","モルテンストライク","용암 타격","Golpe Vulcânico","Магмовый удар","Golpe fundido","ฟาดหลอมละลาย (Molten Strike)","熔岩之擊",[254],"Lightning Tendrils","Filaments de foudre","Blitzranken","ライトニングテンドリル","덩굴 번개","Tentáculos Relampejantes","Побеги молний","Centellas","สายฟ้าแลบ (Lightning Tendrils)","電能釋放",117
112,113,[245],"Tornado Shot","Tornade de flèches","Tornadoschuss","トルネードショット","회오리 사격","Tiro Tornado","Вихрь стрел","Disparo de tornado","ศรสลาตัน (Tornado Shot)","龍捲射擊",[261],"Mirror Arrow","Flèche miroir","Klonpfeil","ミラーアロー","거울 화살","Flecha Espelhada","Стрела-двойник","Flecha espejo","ศรเงาสะท้อน (Mirror Arrow)","魅影射擊",118
113,114,[248],"Herald of Ash","Héraut des cendres","Herold der Asche","ヘラルドオブアッシュ","재의 전령","Arauto Flamejante","Вестник пепла","Heraldo de ceniza","สาส์นธุลี (Herald of Ash)","灰燼之捷",[258],"Kinetic Blast","Explosion cinétique","Kinetische Explosion","キネティックブラスト","역학 폭발","Explosão Cinética","Кинетический взрыв","Explosión cinética","ระเบิดจลนศาสตร์ (Kinetic Blast)","力量爆破",120
114,115,[249],"Herald of Ice","Héraut de la glace","Herold des Eises","ヘラルドオブアイス","얼음의 전령","Arauto Glacial","Вестник льда","Heraldo de hielo","สาส์นน้ำแข็ง (Herald of Ice)","冰霜之捷",[267],"Summon Chaos Golem","Invocation de Golem du chaos","Chaosgolem beschwören","カオスゴーレム召喚","카오스 골렘 소환","Convocar Golem Caótico","Призыв голема хаоса","Invocar Gólem de caos","อัญเชิญโกเลมเคออส (Summon Chaos Golem)","召喚混沌魔像",121
115,116,[250],"Herald of Thunder","Héraut du tonnerre","Herold des Donners","ヘラルドオブサンダー","천둥의 전령","Arauto Trovejante","Вестник грома","Heraldo de trueno","สาส์นสายฟ้า (Herald of Thunder)","閃電之捷",[268],"Summon Ice Golem","Invocation de Golem de glace","Eisgolem beschwören","アイスゴーレム召喚","얼음 골렘 소환","Convocar Golem Glacial","Призыв голема льда","Invocar Gólem de hielo","อัญเชิญโกเลมน้ำแข็ง (Summon Ice Golem)","召喚寒冰魔像",122
116,117,[253],"Poacher's Mark","Marque du braconnier","Mal des Wilderers","ポーチャーの呪印","밀렵꾼의 징표","Marca do Larápio","Метка браконьера","Señal del cazador furtivo","คำแช่งนายพราน (Poacher's Mark)","盜獵者印記",[269],"Summon Flame Golem","Invocation de Golem de flammes","Flammengolem beschwören","フレイムゴーレム召喚","화염 골렘 소환","Convocar Golem Flamejante","Призыв голема огня","Invocar Gólem de fuego","อัญเชิญโกเลมไฟ (Summon Flame Golem)","召喚烈焰魔像",123
117,118,[254],"Lightning Tendrils","Filaments de foudre","Blitzranken","ライトニングテンドリル","덩굴 번개","Tentáculos Relampejantes","Побеги молний","Centellas","สายฟ้าแลบ (Lightning Tendrils)","電能釋放",[270],"Summon Lightning Golem","Invocation de Golem de foudre","Blitzgolem beschwören","ライトニングゴーレム召喚","번개 골렘 소환","Convocar Golem Relampejante","Призыв голема молнии","Invocar Golem de rayo","อัญเชิญโกเลมสายฟ้า (Summon Lightning Golem)","召喚閃電魔像",124
118,119,[261],"Mirror Arrow","Flèche miroir","Klonpfeil","ミラーアロー","거울 화살","Flecha Espelhada","Стрела-двойник","Flecha espejo","ศรเงาสะท้อน (Mirror Arrow)","魅影射擊",[272],"Ice Crash","Fracas de glace","Eishieb","アイスクラッシュ","얼음 충격","Pancada Glacial","Ледяное сокрушение","Choque de hielo","ทุบคลื่นน้ำแข็ง (Ice Crash)","寒冰衝擊",125
119,120,[260],"Blink Arrow","Flèche de transfert","Teleportpfeil","ブリンクアロー","점멸 화살","Flecha Ilusória","Стрела-телепорт","Flecha parpadeante","ศรเคลื่อนย้ายพริบตา (Blink Arrow)","閃現射擊",[273],"Rallying Cry","Cri de ralliement","Schlachtruf","ラリイングクライ","집결의 함성","Clamor Agrupador","Клич сплочения","Grito inspirador","คำรามรวมทัพ (Rallying Cry)","激勵戰吼",126
120,121,[258],"Kinetic Blast","Explosion cinétique","Kinetische Explosion","キネティックブラスト","역학 폭발","Explosão Cinética","Кинетический взрыв","Explosión cinética","ระเบิดจลนศาสตร์ (Kinetic Blast)","力量爆破",[274],"Infernal Cry","Cri infernal","Höllischer Schrei","インファーナルクライ","지옥불 함성","Clamor Infernal","Клич преисподней","Grito infernal","คำรามโลกันตร์ (Infernal Cry)","煉獄戰吼",127
121,122,[267],"Summon Chaos Golem","Invocation de Golem du chaos","Chaosgolem beschwören","カオスゴーレム召喚","카오스 골렘 소환","Convocar Golem Caótico","Призыв голема хаоса","Invocar Gólem de caos","อัญเชิญโกเลมเคออส (Summon Chaos Golem)","召喚混沌魔像",[276],"Vigilant Strike","Frappe du vigilant","Taktischer Schlag","ヴィジラントストライク","경계 타격","Golpe Vigilante","Расчётливый удар","Golpe de alerta","ฟาดอย่างระมัดระวัง (Vigilant Strike)","戒備打擊",128
122,123,[268],"Summon Ice Golem","Invocation de Golem de glace","Eisgolem beschwören","アイスゴーレム召喚","얼음 골렘 소환","Convocar Golem Glacial","Призыв голема льда","Invocar Gólem de hielo","อัญเชิญโกเลมน้ำแข็ง (Summon Ice Golem)","召喚寒冰魔像",[282],"Rolling Magma","Magma déferlant","Magmakugel","ローリングマグマ","몰려오는 마그마","Bola de Magma","Ползучая магма","Bola de magma","กระสุนหินหลอม (Rolling Magma)","熔岩翻騰",129
123,124,[269],"Summon Flame Golem","Invocation de Golem de flammes","Flammengolem beschwören","フレイムゴーレム召喚","화염 골렘 소환","Convocar Golem Flamejante","Призыв голема огня","Invocar Gólem de fuego","อัญเชิญโกเลมไฟ (Summon Flame Golem)","召喚烈焰魔像",[278],"Frost Blades","Lames de givre","Frostklingen","フロストブレード","서리 칼날","Lâminas Gélidas","Ледяные клинки","Filos de escarcha","มีดน้ำแข็ง (Frost Blades)","冰霜之刃",131
124,125,[270],"Summon Lightning Golem","Invocation de Golem de foudre","Blitzgolem beschwören","ライトニングゴーレム召喚","번개 골렘 소환","Convocar Golem Relampejante","Призыв голема молнии","Invocar Golem de rayo","อัญเชิญโกเลมสายฟ้า (Summon Lightning Golem)","召喚閃電魔像",[284],"Wild Strike","Frappe déchaînée","Wilder Schlag","ワイルドストライク","사나운 타격","Golpe Selvagem","Шальной удар","Golpe salvaje","ฟาดอย่างบ้าคลั่ง (Wild Strike)","野性打擊",132
125,126,[272],"Ice Crash","Fracas de glace","Eishieb","アイスクラッシュ","얼음 충격","Pancada Glacial","Ледяное сокрушение","Choque de hielo","ทุบคลื่นน้ำแข็ง (Ice Crash)","寒冰衝擊",[287],"Galvanic Arrow","Flèche galvanique","Galvanischer Pfeil","ガルヴァニックアロー","충격 화살","Flecha Galvânica","Электризующая стрела","Flecha galvánica","ศรกระแสไฟ (Galvanic Arrow)","電流箭矢",133
126,127,[273],"Rallying Cry","Cri de ralliement","Schlachtruf","ラリイングクライ","집결의 함성","Clamor Agrupador","Клич сплочения","Grito inspirador","คำรามรวมทัพ (Rallying Cry)","激勵戰吼",[286],"Blast Rain","Pluie explosive","Explosionsregen","ブラストレイン","폭발 화살비","Chuva Explosiva","Дождь взрывов","Lluvia de estallidos","ฝนระเบิด (Blast Rain)","爆裂箭雨",134
127,128,[274],"Infernal Cry","Cri infernal","Höllischer Schrei","インファーナルクライ","지옥불 함성","Clamor Infernal","Клич преисподней","Grito infernal","คำรามโลกันตร์ (Infernal Cry)","煉獄戰吼",[289],"Bladefall","Averse de lames","Klingenhagel","ブレードフォール","칼날비","Chuva de Lâminas","Мечепад","Caída de filos","มีดร่วง (Bladefall)","虛空刀雨",135
128,129,[276],"Vigilant Strike","Frappe du vigilant","Taktischer Schlag","ヴィジラントストライク","경계 타격","Golpe Vigilante","Расчётливый удар","Golpe de alerta","ฟาดอย่างระมัดระวัง (Vigilant Strike)","戒備打擊",[294],"Siege Ballista","Baliste de siège","Belagerungsballiste","シージバリスタ","공성 쇠뇌","Balista de Cerco","Осадная баллиста","Balista de asedio","ป้อมหน้าไม้ทลายกำแพง (Siege Ballista)","攻城炮台",136
129,130,[282],"Rolling Magma","Magma déferlant","Magmakugel","ローリングマグマ","몰려오는 마그마","Bola de Magma","Ползучая магма","Bola de magma","กระสุนหินหลอม (Rolling Magma)","熔岩翻騰","[290,291]","Blade Vortex","Vortex de lames","Klingenwirbel","ブレードヴォーテックス","칼날 소용돌이","Vórtice de Lâminas","Вихрь клинков","Vórtice de filos","กระแสมีดวน (Blade Vortex)","飛刃風暴",137
130,131,[275],"Flame Dash","Irruption enflammée","Flammenspurt","フレイムダッシュ","화염 질주","Avanço Flamejante","Огненный рывок","Embestida de llamas","พุ่งไฟ (Flame Dash)","烈焰衝刺",[300],"Contagion","Contagion","Verseuchung","コンテージョン","전염","Contágio","Инфекция","Contagio","โรคติดต่อ (Contagion)","瘟疫",138
131,132,[278],"Frost Blades","Lames de givre","Frostklingen","フロストブレード","서리 칼날","Lâminas Gélidas","Ледяные клинки","Filos de escarcha","มีดน้ำแข็ง (Frost Blades)","冰霜之刃",[301],"Wither","Flétrissement","Verkümmern","ウィザー","위축","Definhar","Увядание","Marchitar","เหี่ยวเฉา (Wither)","死亡凋零",139
132,133,[284],"Wild Strike","Frappe déchaînée","Wilder Schlag","ワイルドストライク","사나운 타격","Golpe Selvagem","Шальной удар","Golpe salvaje","ฟาดอย่างบ้าคลั่ง (Wild Strike)","野性打擊",[303],"Essence Drain","Drain d'essence","Entkräften","エッセンスドレイン","정수 흡수","Drenar Essência","Похищение сущности","Drenar esencia","ดูดแก่นแท้ (Essence Drain)","靈魂吸取",140
133,134,[287],"Galvanic Arrow","Flèche galvanique","Galvanischer Pfeil","ガルヴァニックアロー","충격 화살","Flecha Galvânica","Электризующая стрела","Flecha galvánica","ศรกระแสไฟ (Galvanic Arrow)","電流箭矢",[285],"Ice Trap","Piège de glace","Eisfalle","アイストラップ","얼음 덫","Armadilha Glacial","Ледяная ловушка","Trampa de hielo","กับดักน้ำแข็ง (Ice Trap)","冰凍陷阱",141
134,135,[286],"Blast Rain","Pluie explosive","Explosionsregen","ブラストレイン","폭발 화살비","Chuva Explosiva","Дождь взрывов","Lluvia de estallidos","ฝนระเบิด (Blast Rain)","爆裂箭雨",[295],"Orb of Storms","Orbe des orages","Gewittersphäre","オーブオブストーム","폭풍 보주","Orbe Trovejante","Сфера бурь","Orbe de tormentas","ลูกแก้ววายุ (Orb of Storms)","風暴漩渦",142
