"rownum","BetrayalJobsKey","BetrayalTargetsKey","Rank","Description (English)","Description (French)","Description (German)","Description (Japanese)","Description (Korean)","Description (Portuguese)","Description (Russian)","Description (Spanish)","Description (Thai)","Description (Traditional Chinese)","ServerCommand","[rid]","Description2 (English)","Description2 (French)","Description2 (German)","Description2 (Japanese)","Description2 (Korean)","Description2 (Portuguese)","Description2 (Russian)","Description2 (Spanish)","Description2 (Thai)","Description2 (Traditional Chinese)","ServerCommand2"
36,4,5,1,"Modify an item to have 1 White Socket","Modifie un objet afin qu'il ait 1 Châsse blanche","Verändert einen Gegenstand, um 1 weiße Fassung anzunehmen","アイテムのソケット1個を白にする","아이템이 하얀 홈을 1개 보유하도록 수정","Modifica um item para ter 1 Encaixe Branco","Изменить предмет, перекрасив 1 гнездо в белый цвет","Modifica un objeto para que tenga 1 engarce blanco","แก้ไขไอเทมให้มี รูสีขาว 1 รู","調整物品至有 1 個白色插槽","roll_white_sockets 0",[],"Reforge the links between sockets on an item 10 times, using the outcome with the greatest number of linked sockets","Remodèle à 10 reprises les liaisons entre les châsses d'un objet et sélectionne le résultat ayant le plus grand nombre de châsses reliées entre elles","Verändert die Anzahl der verbundenen Fassungen eines Gegenstands 10 Mal und wählt das Ergebnis mit der höchsten Anzahl an verbundenen Fassungen","アイテムのソケット間のリンクを10回リフォージし、リンクされたソケットが最高数の結果を採用する","아이템의 홈 연결부 10회 재련. 연결된 홈 개수가 가장 많은 결과 적용","Reforja as conexões entre encaixes em um item 10 vezes, usando o resultado com maior número de encaixes conectados","Перековать количество связей между гнёздами на предмете 10 раз. Итоговым становится результат с наибольшим количеством связей между гнёздами","Reforja los vínculos entre engarces de un objeto 10 veces y se queda con el resultado que tenga el mayor número de engarces vinculados","สุ่มเชื่อมรู บนไอเทมขึ้นมาใหม่ 10 ครั้ง และใช้ผลลัพธ์ที่ให้ จำนวนเชื่อม มากที่สุด","重鑄物品上的插槽連結 10 次，使用最多相連插槽數量的結果","modify_sockets_N_times 10 links"
37,4,5,2,"Modify an item to have 1-2 White Sockets","Modifie un objet afin qu'il ait 1 ou 2 Châsses blanches","Verändert einen Gegenstand, um 1-2 weiße Fassungen anzunehmen","アイテムのソケット1-2個を白にする","아이템이 하얀 홈을 1-2개 보유하도록 수정","Modifica um item para ter de 1-2 Encaixes Brancos","Изменить предмет, перекрасив 1-2 гнезда в белый цвет","Modifica un objeto para que tenga 1-2 engarces blancos","แก้ไขไอเทมให้มี รูสีขาว 1-2 รู","調整物品至有 1-2 個白色插槽","roll_white_sockets 1",[],"Reforge the links between sockets on an item 15 times, using the outcome with the greatest number of linked sockets","Remodèle à 15 reprises les liaisons entre les châsses d'un objet et sélectionne le résultat ayant le plus grand nombre de châsses reliées entre elles","Verändert die Anzahl der verbundenen Fassungen eines Gegenstands 15 Mal und wählt das Ergebnis mit der höchsten Anzahl an verbundenen Fassungen","アイテムのソケット間のリンクを15回リフォージし、リンクされたソケットが最高数の結果を採用する","아이템의 홈 연결부 15회 재련. 연결된 홈 개수가 가장 많은 결과 적용","Reforja as conexões entre encaixes em um item 15 vezes, usando o resultado com maior número de encaixes conectados","Перековать количество связей между гнёздами на предмете 15 раз. Итоговым становится результат с наибольшим количеством связей между гнёздами","Reforja los vínculos entre engarces de un objeto 15 veces y se queda con el resultado que tenga el mayor número de engarces vinculados","สุ่มเชื่อมรู บนไอเทมขึ้นมาใหม่ 15 ครั้ง และใช้ผลลัพธ์ที่ให้ จำนวนเชื่อม มากที่สุด","重鑄物品上的插槽連結 15 次，使用最多相連插槽數量的結果","modify_sockets_N_times 15 links"
38,4,5,3,"Modify an item to have 1-3 White Sockets","Modifie un objet afin qu'il ait de 1 à 3 Châsses blanches","Verändert einen Gegenstand, um 1-3 weiße Fassungen anzunehmen","アイテムのソケット1-3個を白にする","아이템이 하얀 홈을 1-3개 보유하도록 수정","Modifica um item para ter de 1-3 Encaixes Brancos","Изменить предмет, перекрасив 1-3 гнезда в белый цвет","Modifica un objeto para que tenga 1-3 engarces blancos","แก้ไขไอเทมให้มี รูสีขาว 1-3 รู","調整物品至有 1-3 個白色插槽","roll_white_sockets 2",[],"Reforge the links between sockets on an item 20 times, using the outcome with the greatest number of linked sockets","Remodèle à 20 reprises les liaisons entre les châsses d'un objet et sélectionne le résultat ayant le plus grand nombre de châsses reliées entre elles","Verändert die Anzahl der verbundenen Fassungen eines Gegenstands 20 Mal und wählt das Ergebnis mit der höchsten Anzahl an verbundenen Fassungen","アイテムのソケット間のリンクを20回リフォージし、リンクされたソケットが最高数の結果を採用する","아이템의 홈 연결부 20회 재련. 연결된 홈 개수가 가장 많은 결과 적용","Reforja as conexões entre encaixes em um item 20 vezes, usando o resultado com maior número de encaixes conectados","Перековать количество связей между гнёздами на предмете 20 раз. Итоговым становится результат с наибольшим количеством связей между гнёздами","Reforja los vínculos entre engarces de un objeto 20 veces y se queda con el resultado que tenga el mayor número de engarces vinculados","สุ่มเชื่อมรู บนไอเทมขึ้นมาใหม่ 20 ครั้ง และใช้ผลลัพธ์ที่ให้ จำนวนเชื่อม มากที่สุด","重鑄物品上的插槽連結 20 次，使用最多相連插槽數量的結果","modify_sockets_N_times 20 links"
39,4,5,4,"Modify an item to have 1-6 White Sockets","Modifie un objet afin qu'il ait de 1 à 6 Châsses blanches","Verändert einen Gegenstand, um 1-6 weiße Fassungen anzunehmen","アイテムのソケット1-6個を白にする","아이템이 하얀 홈을 1-6개 보유하도록 수정","Modifica um item para ter de 1-6 Encaixes Brancos","Изменить предмет, перекрасив 1-6 гнёзд в белый цвет","Modifica un objeto para que tenga 1-6 engarces blancos","แก้ไขไอเทมให้มี รูสีขาว 1-6 รู","調整物品至有 1-6 個白色插槽","roll_white_sockets 5",[],"Reforge the links between sockets on an item 30 times, using the outcome with the greatest number of linked sockets","Remodèle à 30 reprises les liaisons entre les châsses d'un objet et sélectionne le résultat ayant le plus grand nombre de châsses reliées entre elles","Verändert die Anzahl der verbundenen Fassungen eines Gegenstands 30 Mal und wählt das Ergebnis mit der höchsten Anzahl an verbundenen Fassungen","アイテムのソケット間のリンクを30回リフォージし、リンクされたソケットが最高数の結果を採用する","아이템의 홈 연결부 30회 재련. 연결된 홈 개수가 가장 많은 결과 적용","Reforja as conexões entre encaixes em um item 30 vezes, usando o resultado com maior número de encaixes conectados","Перековать количество связей между гнёздами на предмете 30 раз. Итоговым становится результат с наибольшим количеством связей между гнёздами","Reforja los vínculos entre engarces de un objeto 30 veces y se queda con el resultado que tenga el mayor número de engarces vinculados","สุ่มเชื่อมรู บนไอเทมขึ้นมาใหม่ 30 ครั้ง และใช้ผลลัพธ์ที่ให้ จำนวนเชื่อม มากที่สุด","重鑄物品上的插槽連結 30 次，使用最多相連插槽數量的結果","modify_sockets_N_times 30 links"
40,2,5,1,"","","","","","","","","","","",[],"Reforge the colours of sockets on an item 10 times, using the outcome with the greatest number of less-common socket colours","Remodèle à 10 reprises les couleurs des châsses d'un objet et sélectionne le résultat ayant le plus grand nombre de châsses moins communes","Verändert die Farben der Fassungen eines Gegenstands 10 Mal und wählt das Ergebnis mit der höchsten Anzahl an weniger geläufigen Fassungsfarben ","アイテムのソケットの色を10回リフォージし、出にくいソケットの色が最大の結果を採用する","아이템의 홈 색상 10회 재련. 덜 흔한 홈 색상 개수가 가장 많은 결과 적용","Reforja as conexões entre encaixes em um item 10 vezes, usando o resultado com maior número de encaixes com cores menos comuns","Перековать цвета гнёзд на предмете 10 раз. Итоговым становится результат с наибольшим количеством менее свойственных цветов гнёзд","Reforja los colores de los engarces de un objeto 10 veces y se queda con el resultado que tenga el mayor número de engarces con colores menos comunes ","สุ่มเปลี่ยนสีรู บนไอเทมขึ้นมาใหม่ 10 ครั้ง และใช้ผลลัพธ์ที่ให้ จำนวนสีรูที่ออกยาก มากที่สุด","重鑄物品上的插槽顏色 10 次，使用最多稀有插槽顏色數量的結果","modify_sockets_N_times 10 colours"
41,2,5,2,"","","","","","","","","","","",[],"Reforge the colours of sockets on an item 20 times, using the outcome with the greatest number of less-common socket colours","Remodèle à 20 reprises les couleurs des châsses d'un objet et sélectionne le résultat ayant le plus grand nombre de châsses moins communes","Verändert die Farben der Fassungen eines Gegenstands 20 Mal und wählt das Ergebnis mit der höchsten Anzahl an weniger geläufigen Fassungsfarben ","アイテムのソケットの色を20回リフォージし、出にくいソケットの色が最大の結果を採用する","아이템의 홈 색상 20회 재련. 덜 흔한 홈 색상 개수가 가장 많은 결과 적용","Reforja as conexões entre encaixes em um item 15 vezes, usando o resultado com maior número de encaixes com cores menos comuns","Перековать цвета гнёзд на предмете 20 раз. Итоговым становится результат с наибольшим количеством менее свойственных цветов гнёзд","Reforja los colores de los engarces de un objeto 20 veces y se queda con el resultado que tenga el mayor número de engarces con colores menos comunes ","สุ่มเปลี่ยนสีรู บนไอเทมขึ้นมาใหม่ 20 ครั้ง และใช้ผลลัพธ์ที่ให้ จำนวนสีรูที่ออกยาก มากที่สุด","重鑄物品上的插槽顏色 20 次，使用最多稀有插槽顏色數量的結果","modify_sockets_N_times 20 colours"
42,2,5,3,"","","","","","","","","","","",[],"Reforge the colours of sockets on an item 30 times, using the outcome with the greatest number of less-common socket colours","Remodèle à 30 reprises les couleurs des châsses d'un objet et sélectionne le résultat ayant le plus grand nombre de châsses moins communes","Verändert die Farben der Fassungen eines Gegenstands 30 Mal und wählt das Ergebnis mit der höchsten Anzahl an weniger geläufigen Fassungsfarben ","アイテムのソケットの色を30回リフォージし、出にくいソケットの色が最大の結果を採用する","아이템의 홈 색상 30회 재련. 덜 흔한 홈 색상 개수가 가장 많은 결과 적용","Reforja as conexões entre encaixes em um item 20 vezes, usando o resultado com maior número de encaixes com cores menos comuns","Перековать цвета гнёзд на предмете 30 раз. Итоговым становится результат с наибольшим количеством менее свойственных цветов гнёзд","Reforja los colores de los engarces de un objeto 30 veces y se queda con el resultado que tenga el mayor número de engarces con colores menos comunes ","สุ่มเปลี่ยนสีรู บนไอเทมขึ้นมาใหม่ 30 ครั้ง และใช้ผลลัพธ์ที่ให้ จำนวนสีรูที่ออกยาก มากที่สุด","重鑄物品上的插槽顏色 30 次，使用最多稀有插槽顏色數量的結果","modify_sockets_N_times 30 colours"
43,2,5,4,"","","","","","","","","","","",[],"Reforge the colours of sockets on an item 40 times, using the outcome with the greatest number of less-common socket colours","Remodèle à 40 reprises les couleurs des châsses d'un objet et sélectionne le résultat ayant le plus grand nombre de châsses moins communes","Verändert die Farben der Fassungen eines Gegenstands 40 Mal und wählt das Ergebnis mit der höchsten Anzahl an weniger geläufigen Fassungsfarben ","アイテムのソケットの色を40回リフォージし、出にくいソケットの色が最大の結果を採用する","아이템의 홈 색상 40회 재련. 덜 흔한 홈 색상 개수가 가장 많은 결과 적용","Reforja as conexões entre encaixes em um item 30 vezes, usando o resultado com maior número de encaixes com cores menos comuns","Перековать цвета гнёзд на предмете 40 раз. Итоговым становится результат с наибольшим количеством менее свойственных цветов гнёзд","Reforja los colores de los engarces de un objeto 40 veces y se queda con el resultado que tenga el mayor número de engarces con colores menos comunes ","สุ่มเปลี่ยนสีรู บนไอเทมขึ้นมาใหม่ 40 ครั้ง และใช้ผลลัพธ์ที่ให้ จำนวนสีรูที่ออกยาก มากที่สุด","重鑄物品上的插槽顏色 40 次，使用最多稀有插槽顏色數量的結果","modify_sockets_N_times 40 colours"
44,1,5,1,"","","","","","","","","","","",[],"Reforge the number of sockets on an item 10 times, using the outcome with the greatest number of sockets","Remodèle à 10 reprises le nombre de châsses d'un objet et sélectionne le résultat ayant le plus grand nombre de châsses.","Verändert die Anzahl der Fassungen eines Gegenstands 10 Mal und wählt das Ergebnis mit der höchsten Anzahl an Fassungen","アイテムのソケットの数を10回リフォージし、ソケットの数が最大の結果を採用する","아이템의 홈 개수 10회 재련. 홈 개수가 가장 많은 결과 적용","Reforja as conexões entre encaixes em um item 10 vezes, usando o resultado com maior número de encaixes com cores menos comuns","Перековать количество гнёзд на предмете 10 раз. Итоговым становится результат с наибольшим количеством гнёзд","Reforja el número de engarces de un objeto 10 veces y se queda con el resultado que tenga el mayor número de engarces","สุ่มเจาะรู บนไอเทมขึ้นมาใหม่ 10 ครั้ง และใช้ผลลัพธ์ที่ให้ จำนวนรู มากที่สุด","重鑄物品上的插槽數量 10 次，使用最多插槽數量的結果","modify_sockets_N_times 10 sockets"
45,1,5,2,"","","","","","","","","","","",[],"Reforge the number of sockets on an item 20 times, using the outcome with the greatest number of sockets","Remodèle à 20 reprises le nombre de châsses d'un objet et sélectionne le résultat ayant le plus grand nombre de châsses.","Verändert die Anzahl der Fassungen eines Gegenstands 20 Mal und wählt das Ergebnis mit der höchsten Anzahl an Fassungen","アイテムのソケットの数を20回リフォージし、ソケットの数が最大の結果を採用する","아이템의 홈 개수 20회 재련. 홈 개수가 가장 많은 결과 적용","Reforja as conexões entre encaixes em um item 20 vezes, usando o resultado com maior número de encaixes","Перековать количество гнёзд на предмете 20 раз. Итоговым становится результат с наибольшим количеством гнёзд","Reforja el número de engarces de un objeto 20 veces y se queda con el resultado que tenga el mayor número de engarces","สุ่มเจาะรู บนไอเทมขึ้นมาใหม่ 20 ครั้ง และใช้ผลลัพธ์ที่ให้ จำนวนรู มากที่สุด","重鑄物品上的插槽數量 20 次，使用最多插槽數量的結果","modify_sockets_N_times 20 sockets"
46,1,5,3,"","","","","","","","","","","",[],"Reforge the number of sockets on an item 30 times, using the outcome with the greatest number of sockets","Remodèle à 30 reprises le nombre de châsses d'un objet et sélectionne le résultat ayant le plus grand nombre de châsses.","Verändert die Anzahl der Fassungen eines Gegenstands 30 Mal und wählt das Ergebnis mit der höchsten Anzahl an Fassungen","アイテムのソケットの数を30回リフォージし、ソケットの数が最大の結果を採用する","아이템의 홈 개수 30회 재련. 홈 개수가 가장 많은 결과 적용","Reforja as conexões entre encaixes em um item 30 vezes, usando o resultado com maior número de encaixes","Перековать количество гнёзд на предмете 30 раз. Итоговым становится результат с наибольшим количеством гнёзд","Reforja el número de engarces de un objeto 30 veces y se queda con el resultado que tenga el mayor número de engarces","สุ่มเจาะรู บนไอเทมขึ้นมาใหม่ 30 ครั้ง และใช้ผลลัพธ์ที่ให้ จำนวนรู มากที่สุด","重鑄物品上的插槽數量 30 次，使用最多插槽數量的結果","modify_sockets_N_times 30 sockets"
47,1,5,4,"","","","","","","","","","","",[],"Reforge the number of sockets on an item 40 times, using the outcome with the greatest number of sockets","Remodèle à 40 reprises le nombre de châsses d'un objet et sélectionne le résultat ayant le plus grand nombre de châsses.","Verändert die Anzahl der Fassungen eines Gegenstands 40 Mal und wählt das Ergebnis mit der höchsten Anzahl an Fassungen","アイテムのソケットの数を40回リフォージし、ソケットの数が最大の結果を採用する","아이템의 홈 개수 40회 재련. 홈 개수가 가장 많은 결과 적용","Reforja as conexões entre encaixes em um item 40 vezes, usando o resultado com maior número de encaixes","Перековать количество гнёзд на предмете 40 раз. Итоговым становится результат с наибольшим количеством гнёзд","Reforja el número de engarces de un objeto 40 veces y se queda con el resultado que tenga el mayor número de engarces","สุ่มเจาะรู บนไอเทมขึ้นมาใหม่ 40 ครั้ง และใช้ผลลัพธ์ที่ให้ จำนวนรู มากที่สุด","重鑄物品上的插槽數量 40 次，使用最多插槽數量的結果","modify_sockets_N_times 40 sockets"
48,4,1,1,"","","","","","","","","","","",[],"Modify an Armour Piece's quality to 22%","Fait passer la Qualité d'une armure à 22%","Verändert die Qualität eines Rüstungsstücks auf 22%","防具の品質を22%に改変する","방어구의 퀄리티를 22%로 수정","Modifica a qualidade de uma Armadura para 22%","Улучшить качество доспеха до 22%","Modifica la calidad de una pieza de armadura al 22%","แก้ไข เกราะ ให้มีค่าคุณภาพ 22%","調整護甲品質至 22%","set_quality armour 22"
49,4,1,2,"","","","","","","","","","","",[],"Modify an Armour Piece's quality to 24%","Fait passer la Qualité d'une armure à 24%","Verändert die Qualität eines Rüstungsstücks auf 24%","防具の品質を24%に改変する","방어구의 퀄리티를 24%로 수정","Modifica a qualidade de uma Armadura para 24%","Улучшить качество доспеха до 24%","Modifica la calidad de una pieza de armadura al 24%","แก้ไข เกราะ ให้มีค่าคุณภาพ 24%","調整護甲品質至 24%","set_quality armour 24"
50,4,1,3,"","","","","","","","","","","",[],"Modify an Armour Piece's quality to 26%","Fait passer la Qualité d'une armure à 26%","Verändert die Qualität eines Rüstungsstücks auf 26%","防具の品質を26%に改変する","방어구의 퀄리티를 26%로 수정","Modifica a qualidade de uma Armadura para 26%","Улучшить качество доспеха до 26%","Modifica la calidad de una pieza de armadura al 26%","แก้ไข เกราะ ให้มีค่าคุณภาพ 26%","調整護甲品質至 26%","set_quality armour 26"
51,4,1,4,"","","","","","","","","","","",[],"Modify an Armour Piece's quality to 28%","Fait passer la Qualité d'une armure à 28%","Verändert die Qualität eines Rüstungsstücks auf 28%","防具の品質を28%に改変する","방어구의 퀄리티를 28%로 수정","Modifica a qualidade de uma Armadura para 28%","Улучшить качество доспеха до 28%","Modifica la calidad de una pieza de armadura al 28%","แก้ไข เกราะ ให้มีค่าคุณภาพ 28%","調整護甲品質至 28%","set_quality armour 28"
52,4,4,1,"","","","","","","","","","","",[],"Modify a Weapon's quality to 22%","Fait passer la Qualité d'une arme à 22%","Verändert die Qualität einer Waffe auf 22%","武器の品質を22%に改変する","무기의 퀄리티를 22%로 수정","Modifica a qualidade de uma Arma para 22%","Улучшить качество оружия до 22%","Modifica la calidad de un arma al 22%","แก้ไข อาวุธ ให้มีค่าคุณภาพ 22%","調整武器品質至 22%","set_quality weapon 22"
53,4,4,2,"","","","","","","","","","","",[],"Modify a Weapon's quality to 24%","Fait passer la Qualité d'une arme à 24%","Verändert die Qualität einer Waffe auf 24%","武器の品質を24%に改変する","무기의 퀄리티를 24%로 수정","Modifica a qualidade de uma Arma para 24%","Улучшить качество оружия до 24%","Modifica la calidad de un arma al 24%","แก้ไข อาวุธ ให้มีค่าคุณภาพ 24%","調整武器品質至 24%","set_quality weapon 24"
54,4,4,3,"","","","","","","","","","","",[],"Modify a Weapon's quality to 26%","Fait passer la Qualité d'une arme à 26%","Verändert die Qualität einer Waffe auf 26%","武器の品質を26%に改変する","무기의 퀄리티를 26%로 수정","Modifica a qualidade de uma Arma para 26%","Улучшить качество оружия до 26%","Modifica la calidad de un arma al 26%","แก้ไข อาวุธ ให้มีค่าคุณภาพ 26%","調整武器品質至 26%","set_quality weapon 26"
55,4,4,4,"","","","","","","","","","","",[],"Modify a Weapon's quality to 28%","Fait passer la Qualité d'une arme à 28%","Verändert die Qualität einer Waffe auf 28%","武器の品質を28%に改変する","무기의 퀄리티를 28%로 수정","Modifica a qualidade de uma Arma para 28%","Улучшить качество оружия до 28%","Modifica la calidad de un arma al 28%","แก้ไข อาวุธ ให้มีค่าคุณภาพ 28%","調整武器品質至 28%","set_quality weapon 28"
56,4,14,1,"","","","","","","","","","","",[],"Modify a Map's quality to 22%","Fait passer la Qualité d'une Carte à 22%","Verändert die Qualität einer Karte auf 22%","マップの品質を22%に改変する","지도의 퀄리티를 22%로 수정","Modifica a qualidade de um Mapa para 22%","Улучшить качество карты до 22%","Modifica la calidad de un mapa al 22%","แก้ไข แผนที่ ให้มีค่าคุณภาพ 22%","調整地圖品質至 22%","set_quality map 22"
57,4,14,2,"","","","","","","","","","","",[],"Modify a Map's quality to 24%","Fait passer la Qualité d'une Carte à 24%","Verändert die Qualität einer Karte auf 24%","マップの品質を24%に改変する","지도의 퀄리티를 24%로 수정","Modifica a qualidade de um Mapa para 24%","Улучшить качество карты до 24%","Modifica la calidad de un mapa al 24%","แก้ไข แผนที่ ให้มีค่าคุณภาพ 24%","調整地圖品質至 24%","set_quality map 24"
58,4,14,3,"","","","","","","","","","","",[],"Modify a Map's quality to 26%","Fait passer la Qualité d'une Carte à 26%","Verändert die Qualität einer Karte auf 26%","マップの品質を26%に改変する","지도의 퀄리티를 26%로 수정","Modifica a qualidade de um Mapa para 26%","Улучшить качество карты до 26%","Modifica la calidad de un mapa al 26%","แก้ไข แผนที่ ให้มีค่าคุณภาพ 26%","調整地圖品質至 26%","set_quality map 26"
59,4,14,4,"","","","","","","","","","","",[],"Modify a Map's quality to 28%","Fait passer la Qualité d'une Carte à 28%","Verändert die Qualität einer Karte auf 28%","マップの品質を28%に改変する","지도의 퀄리티를 28%로 수정","Modifica a qualidade de um Mapa para 28%","Улучшить качество карты до 28%","Modifica la calidad de un mapa al 28%","แก้ไข แผนที่ ให้มีค่าคุณภาพ 28%","調整地圖品質至 28%","set_quality map 28"
