"rownum","Id","ItemClassesKey","Width","Height","Name","InheritsFrom","DropLevel","FlavourTextKey","Implicit_ModsKeys","SizeOnGround","SoundEffect","TagsKeys","ModDomain","SiteVisibility","i32","i32","i32","bool","i32","[rid]","row","rid","bool","[rid]","[rid]","i32","i32","bool","rid","rid","bool","rid"
2056,"Metadata/Items/MicrotransactionItemEffects/MicrotransactionSynthesisWings",40,2,2,"Synthesis Wings","Metadata/Items/Currency/AbstractMicrotransaction",1,"",[],1,34,[33],30,489985,0,0,0,"",-1571805874,[],252,"","",[],[],-16843010,-16843010,"","","","",""
2057,"Metadata/Items/MicrotransactionItemEffects/MicrotransactionMadcapWings",40,2,2,"Madcap Wings","Metadata/Items/Currency/AbstractMicrotransaction",1,"",[],1,34,[33],30,490241,0,0,0,"",-417466805,[],252,"","",[],[],-16843010,-16843010,"","","","",""
2058,"Metadata/Items/MicrotransactionItemEffects/MicrotransactionMadcapCloak",40,2,2,"Madcap Cloak","Metadata/Items/Currency/AbstractMicrotransaction",1,"",[],1,34,[33],30,490497,0,0,0,"",-593533345,[],252,"","",[],[],-16843010,-16843010,"","","","",""
2059,"Metadata/Items/MicrotransactionItemEffects/MicrotransactionMadcapHood",40,2,2,"Madcap Hood","Metadata/Items/Currency/AbstractMicrotransaction",1,"",[],1,34,[33],30,490753,0,0,0,"",740757972,[],252,"","",[],[],-16843010,-16843010,"","","","",""
2060,"Metadata/Items/MicrotransactionItemEffects/MicrotransactionMadcapHelmet",40,2,2,"Madcap Helmet","Metadata/Items/Currency/AbstractMicrotransaction",1,"",[],1,34,[33],30,491009,0,0,0,"",181876986,[],252,"","",[],[],-16843010,-16843010,"","","","",""
2061,"Metadata/Items/MicrotransactionItemEffects/MicrotransactionMadcapGloves",40,2,2,"Madcap Gloves","Metadata/Items/Currency/AbstractMicrotransaction",1,"",[],1,34,[33],30,491521,0,0,0,"",838706652,[],252,"","",[],[],-16843010,-16843010,"","","","",""
2062,"Metadata/Items/MicrotransactionItemEffects/MicrotransactionMadcapBoots",40,2,2,"Madcap Boots","Metadata/Items/Currency/AbstractMicrotransaction",1,"",[],1,34,[33],30,491265,0,0,0,"",1077021895,[],252,"","",[],[],-16843010,-16843010,"","","","",""
2063,"Metadata/Items/MicrotransactionItemEffects/MicrotransactionMadcapBodyArmour",40,2,2,"Madcap Body Armour","Metadata/Items/Currency/AbstractMicrotransaction",1,"",[],1,34,[33],30,491777,0,0,0,"",968513020,[],252,"","",[],[],-16843010,-16843010,"","","","",""
2064,"Metadata/Items/MicrotransactionItemEffects/MicrotransactionMadcapDagger",40,2,2,"Madcap Dagger","Metadata/Items/Currency/AbstractMicrotransaction",1,"",[],1,34,[33],30,492033,0,0,0,"",1557566960,[],252,"","",[],[],-16843010,-16843010,"","","","",""
2065,"Metadata/Items/MicrotransactionItemEffects/MicrotransactionMadcapPortalEffect",40,2,2,"Madcap Portal Effect","Metadata/Items/Currency/AbstractMicrotransaction",1,"",[],1,34,[33],30,492289,0,0,0,"",-131363430,[],252,"","",[],[],-16843010,-16843010,"","","","",""
2066,"Metadata/Items/MicrotransactionItemEffects/MicrotransactionMadcapWeaponEffect",40,2,2,"Madcap Weapon Effect","Metadata/Items/Currency/AbstractMicrotransaction",1,"",[],1,34,[33],30,492545,0,0,0,"",-48548618,[],252,"","",[],[],-16843010,-16843010,"","","","",""
2067,"Metadata/Items/MicrotransactionCharacterEffects/MicrotransactionMadcapCharacterEffect",40,2,2,"Madcap Character Effect","Metadata/Items/Currency/AbstractMicrotransaction",1,"",[],1,34,[33],30,492801,0,0,0,"",-472961844,[],252,"","",[],[],-16843010,-16843010,"","","","",""
2068,"Metadata/Items/MicrotransactionSkillEffects/MicrotransactionMadcapAuraEffect",40,2,2,"Madcap Aura Effect","Metadata/Items/Currency/AbstractMicrotransaction",1,"",[],1,34,[33],30,493057,0,0,0,"",1258038015,[],252,"","",[],[],-16843010,-16843010,"","","","",""
2069,"Metadata/Items/MicrotransactionSkillEffects/MicrotransactionMadcapPhaseRunEffect",40,2,2,"Madcap Phase Run Effect","Metadata/Items/Currency/AbstractMicrotransaction",1,"",[],1,34,[33],30,493313,0,0,0,"",1620131683,[],252,"","",[],[],-16843010,-16843010,"","","","",""
2070,"Metadata/Items/MicrotransactionItemEffects/MicrotransactionMadcapFootprintsEffect",40,2,2,"Madcap Footprints Effect","Metadata/Items/Currency/AbstractMicrotransaction",1,"",[],1,34,[33],30,493569,0,0,0,"",-361495392,[],252,"","",[],[],-16843010,-16843010,"","","","",""
2071,"Metadata/Items/MicrotransactionItemEffects/MicrotransactionHuntsmanWings",40,2,2,"Huntsman Wings","Metadata/Items/Currency/AbstractMicrotransaction",1,"",[],1,34,[33],30,493825,0,0,0,"",-2081650305,[],252,"","",[],[],-16843010,-16843010,"","","","",""
2072,"Metadata/Items/MicrotransactionItemEffects/MicrotransactionHuntsmanCloak",40,2,2,"Huntsman Cloak","Metadata/Items/Currency/AbstractMicrotransaction",1,"",[],1,34,[33],30,494081,0,0,0,"",1087989668,[],252,"","",[],[],-16843010,-16843010,"","","","",""
2073,"Metadata/Items/MicrotransactionItemEffects/MicrotransactionHuntsmanHood",40,2,2,"Huntsman Hood","Metadata/Items/Currency/AbstractMicrotransaction",1,"",[],1,34,[33],30,494337,0,0,0,"",-1265801991,[],252,"","",[],[],-16843010,-16843010,"","","","",""
2074,"Metadata/Items/MicrotransactionItemEffects/MicrotransactionHuntsmanHelmet",40,2,2,"Huntsman Helmet","Metadata/Items/Currency/AbstractMicrotransaction",1,"",[],1,34,[33],30,494593,0,0,0,"",-86677002,[],252,"","",[],[],-16843010,-16843010,"","","","",""
2075,"Metadata/Items/MicrotransactionItemEffects/MicrotransactionHuntsmanBoots",40,2,2,"Huntsman Boots","Metadata/Items/Currency/AbstractMicrotransaction",1,"",[],1,34,[33],30,494849,0,0,0,"",-104374022,[],252,"","",[],[],-16843010,-16843010,"","","","",""
2076,"Metadata/Items/MicrotransactionItemEffects/MicrotransactionHuntsmanGloves",40,2,2,"Huntsman Gloves","Metadata/Items/Currency/AbstractMicrotransaction",1,"",[],1,34,[33],30,495105,0,0,0,"",-1210907794,[],252,"","",[],[],-16843010,-16843010,"","","","",""
2077,"Metadata/Items/MicrotransactionItemEffects/MicrotransactionHuntsmanBodyArmour",40,2,2,"Huntsman Body Armour","Metadata/Items/Currency/AbstractMicrotransaction",1,"",[],1,34,[33],30,495361,0,0,0,"",-857429358,[],252,"","",[],[],-16843010,-16843010,"","","","",""
2078,"Metadata/Items/MicrotransactionItemEffects/MicrotransactionHuntsmanDagger",40,2,2,"Huntsman Dagger","Metadata/Items/Currency/AbstractMicrotransaction",1,"",[],1,34,[33],30,495617,0,0,0,"",-1335137700,[],252,"","",[],[],-16843010,-16843010,"","","","",""
2079,"Metadata/Items/MicrotransactionItemEffects/MicrotransactionHuntsmanPortalEffect",40,2,2,"Huntsman Portal Effect","Metadata/Items/Currency/AbstractMicrotransaction",1,"",[],1,34,[33],30,495873,0,0,0,"",1790829572,[],252,"","",[],[],-16843010,-16843010,"","","","",""
2080,"Metadata/Items/MicrotransactionItemEffects/MicrotransactionHuntsmanWeaponEffect",40,2,2,"Huntsman Weapon Effect","Metadata/Items/Currency/AbstractMicrotransaction",1,"",[],1,34,[33],30,496129,0,0,0,"",-2110751973,[],252,"","",[],[],-16843010,-16843010,"","","","",""
2081,"Metadata/Items/MicrotransactionCharacterEffects/MicrotransactionHuntsmanCharacterEffect",40,2,2,"Huntsman Character Effect","Metadata/Items/Currency/AbstractMicrotransaction",1,"",[],1,34,[33],30,496385,0,0,0,"",1654287839,[],252,"","",[],[],-16843010,-16843010,"","","","",""
2082,"Metadata/Items/MicrotransactionSkillEffects/MicrotransactionHuntsmanAuraEffect",40,2,2,"Huntsman Aura Effect","Metadata/Items/Currency/AbstractMicrotransaction",1,"",[],1,34,[33],30,496641,0,0,0,"",1435264346,[],252,"","",[],[],-16843010,-16843010,"","","","",""
2083,"Metadata/Items/MicrotransactionSkillEffects/MicrotransactionHuntsmanImmortalCallEffect",40,2,2,"Huntsman Immortal Call Effect","Metadata/Items/Currency/AbstractMicrotransaction",1,"",[],1,34,[33],30,496897,0,0,0,"",1558885922,[],252,"","",[],[],-16843010,-16843010,"","","","",""
2084,"Metadata/Items/MicrotransactionItemEffects/MicrotransactionHuntsmanFootprintsEffect",40,2,2,"Huntsman Footprints Effect","Metadata/Items/Currency/AbstractMicrotransaction",1,"",[],1,34,[33],30,497153,0,0,0,"",451678166,[],252,"","",[],[],-16843010,-16843010,"","","","",""
2085,"Metadata/Items/MicrotransactionItemEffects/MicrotransactionTranscendenceWings",40,2,2,"Transcendence Wings","Metadata/Items/Currency/AbstractMicrotransaction",1,"",[],1,34,[33],30,497409,0,0,0,"",-1172048433,[],252,"","",[],[],-16843010,-16843010,"","","","",""
2086,"Metadata/Items/MicrotransactionItemEffects/MicrotransactionTranscendenceBackAttachment",40,2,2,"Transcendence Cloak","Metadata/Items/Currency/AbstractMicrotransaction",1,"",[],1,34,[33],30,497665,0,0,0,"",-1023513661,[],252,"","",[],[],-16843010,-16843010,"","","","",""
2087,"Metadata/Items/MicrotransactionItemEffects/MicrotransactionTranscendenceHood",40,2,2,"Transcendence Hood","Metadata/Items/Currency/AbstractMicrotransaction",1,"",[],1,34,[33],30,497921,0,0,0,"",-1707773829,[],252,"","",[],[],-16843010,-16843010,"","","","",""
2088,"Metadata/Items/MicrotransactionItemEffects/MicrotransactionTranscendenceHelmet",40,2,2,"Transcendence Helmet","Metadata/Items/Currency/AbstractMicrotransaction",1,"",[],1,34,[33],30,498177,0,0,0,"",103336584,[],252,"","",[],[],-16843010,-16843010,"","","","",""
2089,"Metadata/Items/MicrotransactionItemEffects/MicrotransactionTranscendenceBoots",40,2,2,"Transcendence Boots","Metadata/Items/Currency/AbstractMicrotransaction",1,"",[],1,34,[33],30,498433,0,0,0,"",-1092408775,[],252,"","",[],[],-16843010,-16843010,"","","","",""
2090,"Metadata/Items/MicrotransactionItemEffects/MicrotransactionTranscendenceGloves",40,2,2,"Transcendence Gloves","Metadata/Items/Currency/AbstractMicrotransaction",1,"",[],1,34,[33],30,498689,0,0,0,"",-899244289,[],252,"","",[],[],-16843010,-16843010,"","","","",""
2091,"Metadata/Items/MicrotransactionItemEffects/MicrotransactionTranscendenceBodyArmour",40,2,2,"Transcendence Body Armour","Metadata/Items/Currency/AbstractMicrotransaction",1,"",[],1,34,[33],30,498945,0,0,0,"",1883273464,[],252,"","",[],[],-16843010,-16843010,"","","","",""
2092,"Metadata/Items/MicrotransactionItemEffects/MicrotransactionTranscendenceDagger",40,2,2,"Transcendence Dagger","Metadata/Items/Currency/AbstractMicrotransaction",1,"",[],1,34,[33],30,499201,0,0,0,"",1764132657,[],252,"","",[],[],-16843010,-16843010,"","","","",""
2093,"Metadata/Items/MicrotransactionItemEffects/MicrotransactionTranscendencePortalEffect",40,2,2,"Transcendence Portal Effect","Metadata/Items/Currency/AbstractMicrotransaction",1,"",[],1,34,[33],30,499457,0,0,0,"",-1906939024,[],252,"","",[],[],-16843010,-16843010,"","","","",""
2094,"Metadata/Items/MicrotransactionItemEffects/MicrotransactionTranscendenceFootprintsEffect",40,2,2,"Transcendence Footprints Effect","Metadata/Items/Currency/AbstractMicrotransaction",1,"",[],1,34,[33],30,499713,0,0,0,"",2096949469,[],252,"","",[],[],-16843010,-16843010,"","","","",""
2095,"Metadata/Items/MicrotransactionItemEffects/MicrotransactionNecroticCloak",40,2,2,"Necrotic Cloak","Metadata/Items/Currency/AbstractMicrotransaction",1,"",[],1,34,[33],30,499969,0,0,0,"",569696451,[],252,"","",[],[],-16843010,-16843010,"","","","",""
2096,"Metadata/Items/MicrotransactionItemEffects/MicrotransactionNecroticShield",40,2,2,"Necrotic Shield","Metadata/Items/Currency/AbstractMicrotransaction",1,"",[],1,34,[33],30,500225,0,0,0,"",-299757756,[],252,"","",[],[],-16843010,-16843010,"","","","",""
2097,"Metadata/Items/MicrotransactionItemEffects/MicrotransactionDragonflyWings",40,2,2,"Dragonfly Wings","Metadata/Items/Currency/AbstractMicrotransaction",1,"",[],1,34,[33],30,500481,0,0,0,"",1941804737,[],252,"","",[],[],-16843010,-16843010,"","","","",""
2098,"Metadata/Items/MicrotransactionItemEffects/MicrotransactionViperHelmet",40,2,2,"Viper Helmet","Metadata/Items/Currency/AbstractMicrotransaction",1,"",[],1,34,[33],30,500737,0,0,0,"",-2099898173,[],252,"","",[],[],-16843010,-16843010,"","","","",""
2099,"Metadata/Items/MicrotransactionItemEffects/MicrotransactionViperBoots",40,2,2,"Viper Boots","Metadata/Items/Currency/AbstractMicrotransaction",1,"",[],1,34,[33],30,500993,0,0,0,"",870445482,[],252,"","",[],[],-16843010,-16843010,"","","","",""
2100,"Metadata/Items/MicrotransactionItemEffects/MicrotransactionViperGloves",40,2,2,"Viper Gloves","Metadata/Items/Currency/AbstractMicrotransaction",1,"",[],1,34,[33],30,501249,0,0,0,"",-761794283,[],252,"","",[],[],-16843010,-16843010,"","","","",""
2101,"Metadata/Items/MicrotransactionItemEffects/MicrotransactionViperBodyArmour",40,2,2,"Viper Body Armour","Metadata/Items/Currency/AbstractMicrotransaction",1,"",[],1,34,[33],30,501505,0,0,0,"",1510599272,[],252,"","",[],[],-16843010,-16843010,"","","","",""
2102,"Metadata/Items/MicrotransactionItemEffects/MicrotransactionViperWings",40,2,2,"Viper Wings","Metadata/Items/Currency/AbstractMicrotransaction",1,"",[],1,34,[33],30,501761,0,0,0,"",-184024762,[],252,"","",[],[],-16843010,-16843010,"","","","",""
2103,"Metadata/Items/MicrotransactionItemEffects/MicrotransactionViperBow",40,2,2,"Viper Bow","Metadata/Items/Currency/AbstractMicrotransaction",1,"",[],1,34,[33],30,502017,0,0,0,"",-1567672884,[],252,"","",[],[],-16843010,-16843010,"","","","",""
2104,"Metadata/Items/MicrotransactionItemEffects/MicrotransactionUltimateChaosAxe",40,2,2,"Ultimate Chaos Axe","Metadata/Items/Currency/AbstractMicrotransaction",1,"",[],1,34,[33],30,502273,0,0,0,"",704164884,[],252,"","",[],[],-16843010,-16843010,"","","","",""
2105,"Metadata/Items/MicrotransactionItemEffects/MicrotransactionMageguardHood",40,2,2,"Mageguard Hood","Metadata/Items/Currency/AbstractMicrotransaction",1,"",[],1,34,[33],30,502529,0,0,0,"",-1576255744,[],252,"","",[],[],-16843010,-16843010,"","","","",""
2106,"Metadata/Items/MicrotransactionItemEffects/MicrotransactionMageguardHelmet",40,2,2,"Mageguard Helmet","Metadata/Items/Currency/AbstractMicrotransaction",1,"",[],1,34,[33],30,502785,0,0,0,"",-2015025401,[],252,"","",[],[],-16843010,-16843010,"","","","",""
2107,"Metadata/Items/MicrotransactionItemEffects/MicrotransactionMageguardBoots",40,2,2,"Mageguard Boots","Metadata/Items/Currency/AbstractMicrotransaction",1,"",[],1,34,[33],30,503041,0,0,0,"",1197834790,[],252,"","",[],[],-16843010,-16843010,"","","","",""
2108,"Metadata/Items/MicrotransactionItemEffects/MicrotransactionMageguardGloves",40,2,2,"Mageguard Gloves","Metadata/Items/Currency/AbstractMicrotransaction",1,"",[],1,34,[33],30,503297,0,0,0,"",-1838227080,[],252,"","",[],[],-16843010,-16843010,"","","","",""
2109,"Metadata/Items/MicrotransactionItemEffects/MicrotransactionMageguardBodyArmour",40,2,2,"Mageguard Body Armour","Metadata/Items/Currency/AbstractMicrotransaction",1,"",[],1,34,[33],30,503553,0,0,0,"",496775789,[],252,"","",[],[],-16843010,-16843010,"","","","",""
2110,"Metadata/Items/MicrotransactionItemEffects/MicrotransactionCrucibleBackAttachment",40,2,2,"Darkprism Cape","Metadata/Items/Currency/AbstractMicrotransaction",1,"",[],1,34,[33],30,503809,0,0,0,"",-1663101101,[],252,"","",[],[],-16843010,-16843010,"","","","",""
2111,"Metadata/Items/MicrotransactionItemEffects/MicrotransactionDarkprismHelmetAttachment",40,2,2,"Darkprism Helmet Attachment","Metadata/Items/Currency/AbstractMicrotransaction",1,"",[],1,34,[33],30,504065,0,0,0,"",-401889382,[],252,"","",[],[],-16843010,-16843010,"","","","",""
2112,"Metadata/Items/MicrotransactionItemEffects/MicrotransactionDarkprismSword",40,2,2,"Darkprism Weapon","Metadata/Items/Currency/AbstractMicrotransaction",1,"",[],1,34,[33],30,504321,0,0,0,"",1605721953,[],252,"","",[],[],-16843010,-16843010,"","","","",""
2113,"Metadata/Items/MicrotransactionItemEffects/MicrotransactionSynthesisPortalEffect",40,2,2,"Synthesis Portal Effect","Metadata/Items/Currency/AbstractMicrotransaction",1,"",[],1,34,[33],30,504577,0,0,0,"",1932141405,[],252,"","",[],[],-16843010,-16843010,"","","","",""
2114,"Metadata/Items/MicrotransactionItemEffects/MicrotransactionVerdantShield",40,2,2,"Verdant Shield","Metadata/Items/Currency/AbstractMicrotransaction",1,"",[],1,34,[33],30,504833,0,0,0,"",1999495137,[],252,"","",[],[],-16843010,-16843010,"","","","",""
2115,"Metadata/Items/MicrotransactionSkillEffects/MicrotransactionCelestialSoulrend",40,2,2,"Celestial Soulrend Effect","Metadata/Items/Currency/AbstractMicrotransaction",1,"",[],1,34,[33],30,505089,0,0,0,"",-1511583176,[],252,"","",[],[],-16843010,-16843010,"","","","",""
2116,"Metadata/Items/MicrotransactionSkillEffects/MicrotransactionCelestialCatSoulrend",40,2,2,"Celestial Cat Soulrend Effect","Metadata/Items/Currency/AbstractMicrotransaction",1,"",[],1,34,[33],30,505345,0,0,0,"",-1396878628,[],252,"","",[],[],-16843010,-16843010,"","","","",""
2117,"Metadata/Items/MicrotransactionItemEffects/MicrotransactionRavenDemonWings",40,2,2,"Raven Demon Wings","Metadata/Items/Currency/AbstractMicrotransaction",1,"",[],1,34,[33],30,505601,0,0,0,"",-175503883,[],252,"","",[],[],-16843010,-16843010,"","","","",""
2118,"Metadata/Items/MicrotransactionItemEffects/MicrotransactionSynthesisBrimmedHat",40,2,2,"Synthesis Brimmed Hat","Metadata/Items/Currency/AbstractMicrotransaction",1,"",[],1,34,[33],30,505857,0,0,0,"",-1648887185,[],252,"","",[],[],-16843010,-16843010,"","","","",""
2119,"Metadata/Items/MicrotransactionItemEffects/MicrotransactionGargoyleHelmet",40,2,2,"Gargoyle Helmet","Metadata/Items/Currency/AbstractMicrotransaction",1,"",[],1,34,[33],30,506113,0,0,0,"",1699698640,[],252,"","",[],[],-16843010,-16843010,"","","","",""
2120,"Metadata/Items/MicrotransactionItemEffects/MicrotransactionGargoyleBoots",40,2,2,"Gargoyle Boots","Metadata/Items/Currency/AbstractMicrotransaction",1,"",[],1,34,[33],30,506369,0,0,0,"",-102444896,[],252,"","",[],[],-16843010,-16843010,"","","","",""
2121,"Metadata/Items/MicrotransactionItemEffects/MicrotransactionGargoyleGloves",40,2,2,"Gargoyle Gloves","Metadata/Items/Currency/AbstractMicrotransaction",1,"",[],1,34,[33],30,506625,0,0,0,"",1761556874,[],252,"","",[],[],-16843010,-16843010,"","","","",""
2122,"Metadata/Items/MicrotransactionItemEffects/MicrotransactionGargoyleBodyArmour",40,2,2,"Gargoyle Body Armour","Metadata/Items/Currency/AbstractMicrotransaction",1,"",[],1,34,[33],30,506881,0,0,0,"",1836792082,[],252,"","",[],[],-16843010,-16843010,"","","","",""
2123,"Metadata/Items/MicrotransactionCharacterEffects/MicrotransactionRadiantCharacterEffect",40,2,2,"Radiant Character Effect","Metadata/Items/Currency/AbstractMicrotransaction",1,"",[],1,34,[33],30,507137,0,0,0,"",1418343678,[],252,"","",[],[],-16843010,-16843010,"","","","",""
2124,"Metadata/Items/MicrotransactionItemEffects/MicrotransactionZanaPortalEffect",40,2,2,"Cartographer's Portal Effect","Metadata/Items/Currency/AbstractMicrotransaction",1,"",[],1,34,[33],30,507393,0,0,0,"",-1541445582,[],252,"","",[],[],-16843010,-16843010,"","","","",""
2125,"Metadata/Items/MicrotransactionCharacterEffects/MicrotransactionLostSoulsApparitionEffect",40,2,2,"Lost Souls Apparition Effect","Metadata/Items/Currency/AbstractMicrotransaction",1,"",[],1,34,[33],30,507649,0,0,0,"",-231559425,[],252,"","",[],[],-16843010,-16843010,"","","","",""
2126,"Metadata/Items/MicrotransactionSkillEffects/MicrotransactionAutomatonDivineIre",40,2,2,"Automaton Divine Ire Effect","Metadata/Items/Currency/AbstractMicrotransaction",1,"",[],1,34,[33],30,507905,0,0,0,"",621750670,[],252,"","",[],[],-16843010,-16843010,"","","","",""
2127,"Metadata/Items/MicrotransactionSkillEffects/MicrotransactionCelestialWinterOrb",40,2,2,"Celestial Winter Orb Effect","Metadata/Items/Currency/AbstractMicrotransaction",1,"",[],1,34,[33],30,508161,0,0,0,"",-1998098664,[],252,"","",[],[],-16843010,-16843010,"","","","",""
2128,"Metadata/Items/MicrotransactionItemEffects/MicrotransactionAscentPortalEffect",40,2,2,"Resonator Portal Effect","Metadata/Items/Currency/AbstractMicrotransaction",1,"",[],1,34,[33],30,508417,0,0,0,"",1814010024,[],252,"","",[],[],-16843010,-16843010,"","","","",""
2129,"Metadata/Items/MicrotransactionSkillEffects/MicrotransactionDemonicHeraldEffect",40,2,2,"Demonic Herald Effect","Metadata/Items/Currency/AbstractMicrotransaction",1,"",[],1,34,[33],30,508673,0,0,0,"",-1218303032,[],252,"","",[],[],-16843010,-16843010,"","","","",""
2130,"Metadata/Items/MicrotransactionSkillEffects/MicrotransactionStygianFlameDashEffect",40,2,2,"Stygian Flame Dash Effect","Metadata/Items/Currency/AbstractMicrotransaction",1,"",[],1,34,[33],30,508929,0,0,0,"",1930690430,[],252,"","",[],[],-16843010,-16843010,"","","","",""
2131,"Metadata/Items/MicrotransactionCharacterEffects/MicrotransactionDragonApparitionEffect",40,2,2,"Dragon Apparition Effect","Metadata/Items/Currency/AbstractMicrotransaction",1,"",[],1,34,[33],30,509185,0,0,0,"",2115106648,[],252,"","",[],[],-16843010,-16843010,"","","","",""
2132,"Metadata/Items/MicrotransactionItemEffects/MicrotransactionExtinctionBackAttachment",40,2,2,"Extinction Back Attachment","Metadata/Items/Currency/AbstractMicrotransaction",1,"",[],1,34,[33],30,509441,0,0,0,"",-1193783956,[],252,"","",[],[],-16843010,-16843010,"","","","",""
2133,"Metadata/Items/MicrotransactionItemEffects/MicrotransactionExtinctionHelmet",40,2,2,"Extinction Helmet","Metadata/Items/Currency/AbstractMicrotransaction",1,"",[],1,34,[33],30,509697,0,0,0,"",602619616,[],252,"","",[],[],-16843010,-16843010,"","","","",""
2134,"Metadata/Items/MicrotransactionItemEffects/MicrotransactionExtinctionBoots",40,2,2,"Extinction Boots","Metadata/Items/Currency/AbstractMicrotransaction",1,"",[],1,34,[33],30,509953,0,0,0,"",641028501,[],252,"","",[],[],-16843010,-16843010,"","","","",""
2135,"Metadata/Items/MicrotransactionItemEffects/MicrotransactionExtinctionGloves",40,2,2,"Extinction Gloves","Metadata/Items/Currency/AbstractMicrotransaction",1,"",[],1,34,[33],30,510209,0,0,0,"",1021965211,[],252,"","",[],[],-16843010,-16843010,"","","","",""
2136,"Metadata/Items/MicrotransactionItemEffects/MicrotransactionExtinctionBodyArmour",40,2,2,"Extinction Body Armour","Metadata/Items/Currency/AbstractMicrotransaction",1,"",[],1,34,[33],30,510465,0,0,0,"",2090077041,[],252,"","",[],[],-16843010,-16843010,"","","","",""
2137,"Metadata/Items/MicrotransactionItemEffects/MicrotransactionSunprismSword",40,2,2,"Sunprism Weapon","Metadata/Items/Currency/AbstractMicrotransaction",1,"",[],1,34,[33],30,510721,0,0,0,"",141795284,[],252,"","",[],[],-16843010,-16843010,"","","","",""
2138,"Metadata/Items/MicrotransactionItemEffects/MicrotransactionSunprismShield",40,2,2,"Sunprism Shield","Metadata/Items/Currency/AbstractMicrotransaction",1,"",[],1,34,[33],30,510977,0,0,0,"",-1189058035,[],252,"","",[],[],-16843010,-16843010,"","","","",""
2139,"Metadata/Items/MicrotransactionCharacterEffects/MicrotransactionCultofDarknessPortraitFrame",40,2,2,"Cult of Darkness Portrait Frame","Metadata/Items/Currency/AbstractMicrotransaction",1,"",[],1,34,[33],30,511233,0,0,0,"",1678411644,[],252,"","",[],[],-16843010,-16843010,"","","","",""
2140,"Metadata/Items/MicrotransactionItemEffects/MicrotransactionCultofDarknessWeaponEffect",40,2,2,"Cult of Darkness Weapon Effect","Metadata/Items/Currency/AbstractMicrotransaction",1,"",[],1,34,[33],30,511489,0,0,0,"",700721832,[],252,"","",[],[],-16843010,-16843010,"","","","",""
2141,"Metadata/Items/MicrotransactionCharacterEffects/MicrotransactionCultofApocalypsePortraitFrame",40,2,2,"Cult of Apocalypse Portrait Frame","Metadata/Items/Currency/AbstractMicrotransaction",1,"",[],1,34,[33],30,511745,0,0,0,"",-2009700390,[],252,"","",[],[],-16843010,-16843010,"","","","",""
2142,"Metadata/Items/MicrotransactionItemEffects/MicrotransactionCultofApocalypseHood",40,2,2,"Cult of Apocalypse Hood","Metadata/Items/Currency/AbstractMicrotransaction",1,"",[],1,34,[33],30,512001,0,0,0,"",808739366,[],252,"","",[],[],-16843010,-16843010,"","","","",""
2143,"Metadata/Items/MicrotransactionItemEffects/MicrotransactionCultofApocalypseHelmet",40,2,2,"Cult of Apocalypse Helmet","Metadata/Items/Currency/AbstractMicrotransaction",1,"",[],1,34,[33],30,512257,0,0,0,"",-1148555337,[],252,"","",[],[],-16843010,-16843010,"","","","",""
2144,"Metadata/Items/MicrotransactionItemEffects/MicrotransactionCultofApocalypseBoots",40,2,2,"Cult of Apocalypse Boots","Metadata/Items/Currency/AbstractMicrotransaction",1,"",[],1,34,[33],30,512513,0,0,0,"",422762293,[],252,"","",[],[],-16843010,-16843010,"","","","",""
2145,"Metadata/Items/MicrotransactionItemEffects/MicrotransactionCultofApocalypseGloves",40,2,2,"Cult of Apocalypse Gloves","Metadata/Items/Currency/AbstractMicrotransaction",1,"",[],1,34,[33],30,512769,0,0,0,"",1746878204,[],252,"","",[],[],-16843010,-16843010,"","","","",""
2146,"Metadata/Items/MicrotransactionItemEffects/MicrotransactionCultofApocalypseBodyArmour",40,2,2,"Cult of Apocalypse Body Armour","Metadata/Items/Currency/AbstractMicrotransaction",1,"",[],1,34,[33],30,513025,0,0,0,"",-1342456092,[],252,"","",[],[],-16843010,-16843010,"","","","",""
2147,"Metadata/Items/MicrotransactionCharacterEffects/MicrotransactionBloodKnightPortraitFrame",40,2,2,"Blood Knight Portrait Frame","Metadata/Items/Currency/AbstractMicrotransaction",1,"",[],1,34,[33],30,513281,0,0,0,"",-1840932102,[],252,"","",[],[],-16843010,-16843010,"","","","",""
2148,"Metadata/Items/MicrotransactionItemEffects/MicrotransactionBloodKnightWings",40,2,2,"Blood Knight Wings","Metadata/Items/Currency/AbstractMicrotransaction",1,"",[],1,34,[33],30,513537,0,0,0,"",-300729495,[],252,"","",[],[],-16843010,-16843010,"","","","",""
2149,"Metadata/Items/MicrotransactionItemEffects/MicrotransactionBloodKnightWeaponEffect",40,2,2,"Blood Knight Weapon Effect","Metadata/Items/Currency/AbstractMicrotransaction",1,"",[],1,34,[33],30,513793,0,0,0,"",50812656,[],252,"","",[],[],-16843010,-16843010,"","","","",""
2150,"Metadata/Items/MicrotransactionItemEffects/MicrotransactionBloodGuardianHelmet",40,2,2,"Blood Guardian Helmet","Metadata/Items/Currency/AbstractMicrotransaction",1,"",[],1,34,[33],30,514305,0,0,0,"",-1532618731,[],252,"","",[],[],-16843010,-16843010,"","","","",""
2151,"Metadata/Items/MicrotransactionItemEffects/MicrotransactionBloodGuardianBoots",40,2,2,"Blood Guardian Boots","Metadata/Items/Currency/AbstractMicrotransaction",1,"",[],1,34,[33],30,514561,0,0,0,"",-1596605209,[],252,"","",[],[],-16843010,-16843010,"","","","",""
