"rownum","Mod","Name","Name (French)","Name (German)","Name (Japanese)","Name (Korean)","Name (Portuguese)","Name (Russian)","Name (Spanish)","Name (Thai)","Name (Traditional Chinese)","Visual","TextStyles","bool_56","bool_57","bool_58"
107,4078,"Siphons Mana and Deals Lightning Damage","Siphonne le Mana et inflige des Dégâts de foudre","Entzieht Mana und verursacht Blitzschaden","マナを吸収し雷ダメージを与える","마나 착취 및 번개 피해","Suga Mana e Causa Dano de Raio","Вытягивает ману и наносит урон от молнии","Drena maná e inflige daño de rayo","ลักมานา และสร้างความเสียหาย สายฟ้า","吸取魔力和造成閃電傷害",68,[],"","",""
108,4079,"Siphons Mana and Deals Lightning Damage","Siphonne le Mana et inflige des Dégâts de foudre","Entzieht Mana und verursacht Blitzschaden","マナを吸収し雷ダメージを与える","마나 착취 및 번개 피해","Suga Mana e Causa Dano de Raio","Вытягивает ману и наносит урон от молнии","Drena maná e inflige daño de rayo","ลักมานา และสร้างความเสียหาย สายฟ้า","吸取魔力和造成閃電傷害",68,[],"","",""
109,4080,"Heals Allies and Suppresses Foe Recovery","Soigne les Alliés et supprime la Récupération des Ennemis","Heilt Verbündete und unterdrückt gegnerische Wiederherstellung","味方を回復し敵の回復を抑制","아군 치유 및 적 회복 억제","Cura Aliados e Inibe a Recuperação dos Inimigos","Лечит союзников и подавляет восстановление врагов","Cura a los aliados y reprime la recuperación de los enemigos","รักษาเพื่อน และยับยั้งการเติมของศัตรู","治癒友方和壓抑敵人恢復",79,[],"","",""
110,4081,"Heals Allies and Suppresses Foe Recovery","Soigne les Alliés et supprime la Récupération des Ennemis","Heilt Verbündete und unterdrückt gegnerische Wiederherstellung","味方を回復し敵の回復を抑制","동료 치유 및 적 회복 억제","Cura Aliados e Suprime a Recuperação dos Inimigos","Лечит союзников и подавляет восстановление врагов","Cura a los aliados y reprime la recuperación de los enemigos","รักษาเพื่อน และยับยั้งการเติมของศัตรู","治癒友方和壓抑敵人恢復",79,[],"","",""
111,4082,"Siphons Flask Charges","Siphonne les charges de Flacons","Entzieht Fläschchenfüllungen","フラスコチャージを吸収","플라스크 충전 착취","Suga Cargas dos Frascos","Вытягивает заряды флакона","Drena cargas de frascos","ลักชาร์จขวดยา","吸取藥劑充能",80,[],"","",""
112,4083,"Siphons Flask Charges","Siphonne les charges de Flacons","Entzieht Fläschchenfüllungen","フラスコチャージを吸収","플라스크 충전 착취","Suga Cargas dos Frascos","Вытягивает заряды флакона","Drena cargas de frascos","ลักชาร์จขวดยา","吸取藥劑充能",80,[],"","",""
113,4084,"Reviving Minions","Créatures récurrentes","Wiederbelebende Kreaturen","ミニオン蘇生","부활 소환수","Lacaios Revividos","Возрождающиеся приспешники","Revive esbirros","มิเนียนคืนชีพ","復甦手下",81,[],"","",""
114,4085,"Reviving Minions","Créatures récurrentes","Wiederbelebende Kreaturen","ミニオン蘇生","부활 소환수","Lacaios Revividos","Возрождающиеся приспешники","Revive esbirros","มิเนียนคืนชีพ","復甦手下",81,[],"","",""
115,4086,"Empowered Reviving Minions","Créatures récurrentes améliorées","Verstärkte Wiederbelebende Kreaturen","強化されたミニオン蘇生","강화된 부활 소환수","Lacaios Revividos Empoderados","Улучшенные возрождающиеся приспешники","Revive esbirros potenciados","มิเนียนคืนชีพที่เสริมฤทธิ์","強化復甦手下",81,[],"","",""
116,4087,"Empowered Reviving Minions","Créatures récurrentes améliorées","Verstärkt Wiederbelebende Kreaturen","強化されたミニオン蘇生","강화된 부활 소환수","Lacaios Revividos Empoderados","Улучшенные возрождающиеся приспешники","Revive esbirros potenciados","มิเนียนคืนชีพที่เสริมฤทธิ์","強化復甦手下",81,[],"","",""
117,4090,"Damage Taken From Minions First","Dégâts d'abord subis par les Créatures","Schaden wird zuerst von Kreaturen abgezogen","ダメージを先にミニオンで受ける","피해를 소환수가 우선 받음","Dano recebido primeiro por Lacaios","Урон получают сначала приспешники","El daño lo reciben los esbirros primero","มิเนียนรับความเสียหายแทน","優先承受召喚物的傷害",82,[],"","",""
118,4091,"Damage Taken From Minions First","Dégâts d'abord subis par les Créatures","Schaden wird zuerst von Kreaturen abgezogen","ダメージを先にミニオンで受ける","피해를 소환수가 우선 받음","Dano Sofrido nos Lacaios Primeiro","Урон получают сначала приспешники","El daño lo reciben los esbirros primero","มิเนียนรับความเสียหายแทน","優先承受召喚物的傷害",82,[],"","",""
119,4092,"","PoE2","","PoE2","PoE2","","","PoE2","","",83,[],"","",1
120,4093,"Shroud Walker","Marche-brume","Schleierläufer","煙幕渡り","연막 보행자","Andarilho da Mortalha","Тенеход","Caminante de las sombras","ผู้เดินกลางควัน","迷霧之體",84,[],"","",1
121,4094,"Shroud Walker","Marche-brume","Schleierläufer","煙幕渡り","연막 보행자","Andarilho da Mortalha","Тенеход","Caminante de las sombras","ผู้เดินกลางควัน","迷霧之體",84,[],"","",1
122,4095,"Shroud Walker","Marche-brume","Schleierläufer","煙幕渡り","연막 보행자","Andarilho da Mortalha","Тенеход","Caminante de las sombras","ผู้เดินกลางควัน","迷霧之體",84,[],"","",1
123,4096,"Shroud Walker","Marche-brume","Schleierläufer","煙幕渡り","연막 보행자","Andarilho da Mortalha","Тенеход","Caminante de las sombras","ผู้เดินกลางควัน","迷霧之體",84,[],"","",1
124,4097,"Periodically Enrages","Enrage périodiquement","Wird regelmäßig wütend","定期的に激怒","주기적으로 격앙됨","Fúria Periódica","Периодически впадает в ярость","Se enfurece periódicamente","เดือดดาล เป็นระยะ","持續激怒",27,[],"","",""
125,4098,"Periodically Enrages","Enrage périodiquement","Wird regelmäßig wütend","定期的に激怒","주기적으로 격앙됨","Fúria Periódica","Периодически впадает в ярость","Se enfurece periódicamente","เดือดดาล เป็นระยะ","持續激怒",27,[],"","",""
126,4099,"Enraged","Enragé","Wütend","激怒","격앙","Enfurecido","Исступлённый","Enfurecido","เดือดดาล","狂怒",28,[],"","",""
127,4100,"Enraged","Enragé","Wütend","激怒","격앙","Enfurecido","Исступлённый","Enfurecido","เดือดดาล","狂怒",28,[],"","",""
128,4101,"Enraged","Enragé","Wütend","激怒","격앙","Enfurecido","Исступлённый","Enfurecido","เดือดดาล","狂怒",27,[],"","",""
129,4102,"Explodes Nearby Corpses","Explose les Cadavres à proximité"," Leichen im Umkreis","周囲の死体を爆破","주변의 시신 폭발","Explode Corpos Próximos","Взрывает ближайшие трупы","Explota cadáveres cercanos","ระเบิดศพที่อยู่ใกล้","引爆附近的屍體",85,[],"","",""
130,4103,"Explodes Nearby Corpses","Explose les Cadavres à proximité","Explodiert Leichen in der Nähe","周囲の死体を爆破","주변의 시신 폭발","Explode Corpos Próximos","Взрывает ближайшие трупы","Explota cadáveres cercanos","ระเบิดศพที่อยู่ใกล้","引爆附近的屍體",85,[],"","",""
131,4104,"Lightning Mirage When Hit","Mirage de foudre quand Touché","Blitzillusion bei erlittenem Treffer","ヒットを受けた時にライトニングミラージュ","피격 시 번개 신기루","Miragem de Raio quando Atingido","Мираж молнии при получении удара","Espejismo de rayo cuando lo impactan","ภาพลวงตาสายฟ้า เมื่อถูกปะทะ","被擊中時閃電幻影","",[],"","",""
132,4105,"Lightning Mirage When Hit","Mirage de foudre quand Touché","Blitzillusion bei erlittenem Treffer","ヒットを受けた時にライトニングミラージュ","피격 시 번개 신기루","Miragem de Raio Quando Acertado","Мираж молнии при получении удара","Espejismo de rayo cuando lo impactan","ภาพลวงตาสายฟ้า เมื่อถูกปะทะ","被擊中時閃電幻影","",[],"","",""
133,4106,"Lightning Mirages When Hit","Mirages de foudre quand Touché","Blitzillusion bei erlittenem Treffer","ヒットを受けた時に複数のライトニングミラージュ","피격 시 번개 신기루","Miragens de Raio quando Atingido","Миражи молнии при получении удара","Espejismos de rayo cuando lo impactan","ภาพลวงตาสายฟ้า เมื่อถูกปะทะ","被擊中時閃電幻影","",[],"","",""
134,4107,"Lightning Mirages When Hit","Mirages de foudre quand Touché","Blitzillusion bei erlittenem Treffer","ヒットを受けた時に複数のライトニングミラージュ","피격 시 번개 신기루","Miragens de Raio Quando Acertado","Миражи молнии при получении удара","Espejismos de rayo cuando lo impactan","ภาพลวงตาสายฟ้า เมื่อถูกปะทะ","被擊中時閃電幻影","",[],"","",""
135,4108,"Magma Barrier","Barrière magmatique","Magmabarriere","マグマバリアー","마그마 장벽","Barreira de Magma","Магмовый барьер","Barrera de magma","ม่านพลังหินหลอม","熔岩屏障",86,[],"","",""
136,4109,"Magma Barrier","Barrière magmatique","Magmabarriere","マグマバリアー","마그마 장벽","Barreira de Magma","Магмовый барьер","Barrera de magma","ม่านพลังหินหลอม","熔岩屏障",86,[],"","",""
137,4110,"Conjures Ice Prisons","Invoque des Prisons de glace","Beschwört Eisgefängnisse","氷の牢獄を呼び出す","얼음 감옥 생성","Conjura Prisões de Gelo","Сотворяет ледяные тюрьмы","Invoca prisiones de hielo","เสกคุกน้ำแข็ง","召喚冰牢",88,[],"","",""
138,4111,"Conjures Ice Prisons","Invoque des Prisons de glace","Beschwört Eisgefängnisse","氷の牢獄を呼び出す","얼음 감옥 생성","Conjura Prisões de Gelo","Сотворяет ледяные тюрьмы","Invoca prisiones de hielo","เรียกคุกน้ำแข็ง","召喚冰牢",88,[],"","",""
139,4112,"Conjures Flamewalls","Invoque des Murs de flammes","Beschwört Flammenwälle","炎の壁を呼び出す","불길장벽 생성","Conjura Paredes Flamejantes","Сотворяет огненные стены","Invoca muros de fuego","เสกกำแพงไฟ","召喚烈焰之牆",89,[],"","",""
140,4113,"Conjures Flamewalls","Invoque des Murs de flammes","Beschwört Flammenwälle","炎の壁を呼び出す","불길장벽 생성","Conjura Paredes Flamejantes","Сотворяет огненные стены","Invoca muros de fuego","เรียกกำแพงไฟ","召喚烈焰之牆",89,[],"","",""
141,4114,"Conjures Lightning Storms","Invoque des Tempêtes de foudre","Beschwört Blitzstürme","雷の嵐を呼び出す","번개 폭풍 생성","Conjura Tempestades de Raio","Сотворяет шторма молний","Invoca tormentas de rayos","เสกพายุสายฟ้า","召喚閃電風暴",90,[],"","",""
142,4115,"Conjures Lightning Storms","Invoque des Tempêtes de foudre","Beschwört Blitzstürme","雷の嵐を呼び出す","번개 폭풍 생성","Conjura Tempestades de Raio","Сотворяет шторма молний","Invoca tormentas de rayos","เรียกพายุสายฟ้า","召喚閃電風暴",90,[],"","",""
143,4118,"Volatile Crystals","Cristaux instables","Explosive Kristalle","ヴォラタイルクリスタル","폭발성 수정","Cristais Voláteis","Нестабильные кристаллы","Cristales volátiles","คริสตัลพร้อมระเบิด","易爆水晶",91,[],"","",""
144,4119,"Volatile Crystals","Cristaux instables","Explosive Kristalle","ヴォラタイルクリスタル","폭발성 수정","Cristais Voláteis","Нестабильные кристаллы","Cristales volátiles","คริสตัลไล่ระเบิด","易爆水晶",91,[],"","",""
145,4120,"Volatile Plants","Plantes instables","Explosive Pflanzen","ヴォラタイルプラント","폭발성 식물","Plantas Voláteis","Нестабильные растения","Plantas volátiles","ต้นไม้ไล่ระเบิด","易爆植物",92,[],"","",""
146,4121,"Volatile Plants","Plantes instables","Explosive Pflanzen","ヴォラタイルプラント","폭발성 식물","Plantas Voláteis","Нестабильные растения","Plantas volátiles","ต้นไม้ไล่ระเบิด","易爆植物",92,[],"","",""
147,4122,"Empowering Volatile Plants","Plantes instables améliorées","Verstärkte Explosive Pflanzen","強化されたヴォラタイルプラント","강화하는 폭발성 식물","Plantas Voláteis Empoderado","Улучшенные нестабильные растения","Plantas volátiles potenciadas","ต้นไม้ไล่ระเบิดที่เสริมฤทธิ์","強化易爆植物",92,[],"","",""
148,4123,"Empowering Volatile Plants","Plantes instables améliorées","Verstärkt Explosive Pflanzen","強化されたヴォラタイルプラント","강화하는 폭발성 식물","Plantas Voláteis Empoderadas","Улучшающие нестабильные растения","Plantas volátiles potenciadas","ต้นไม้ไล่ระเบิดที่เสริมฤทธิ์","強化易爆植物",92,[],"","",""
149,4124,"Volatile Crag","Rocher instable","Explosive Felsen","ヴォラタイルクラグ","폭발성 바위","Penedos Voláteis","Нестабильные обломки","Rocas volátiles","หินหลอมไล่ระเบิด","易爆峭壁","",[],"","",""
150,4125,"Volatile Crag","Rochers instables","Explosive Felsen","ヴォラタイルクラグ","폭발성 바위","Rochas Voláteis","Нестабильные обломки","Rocas volátiles","หินหลอมไล่ระเบิด","易爆峭壁","",[],"","",""
151,4126,"Empowering Volatile Crag","Rocher instable amélioré","Verstärkte Explosive Felsen","強化されたヴォラタイルクラグ","강화하는 폭발성 바위","Penedos Voláteis Empoderado","Улучшенные нестабильные обломки","Rocas volátiles potenciadas","หินหลอมไล่ระเบิดที่เสริมฤทธิ์","強化易爆燃彈","",[],"","",""
152,4127,"Empowering Volatile Crag","Rochers instables améliorés","Verstärkt Explosive Felsen","強化されたヴォラタイルクラグ","강화하는 폭발성 바위","Rochas Voláteis Empoderadas","Улучшающие нестабильные обломки","Rocas volátiles potenciadas","หินหลอมไล่ระเบิดที่เสริมฤทธิ์","強化易爆燃彈","",[],"","",""
153,4128,"Proximal Tangibility","Tangibilité proximale","Proximale Schadensfläche","プロキシマルタンジビリティ","근접한 구체성","Tangibilidade Proximal","Осязаем вблизи","Tangibilidad próxima","ป้องกันความเสียหายนอกระยะ","近接感觸","",[],"","",1
154,4129,"Proximal Tangibility","Tangibilité proximale","Proximale Schadensfläche","プロキシマルタンジビリティ","근접한 구체성","Tangibilidade Proximal","Осязаем вблизи","Tangibilidad próxima","ก่อร่างเมื่ออยู่ใกล้","近接感觸","",[],"","",1
155,4130,"Bombardier","Bombardier","Artillerist","爆撃手","포격수","Bombardeiro","Бомбардир","Bombardero","มือระเบิด","投彈手","",[],"","",""
156,4131,"Bombardier","Bombardier","Artillerist","爆撃手","포격수","Bombardeiro","Бомбардир","Bombardero","มือระเบิด","投彈手","",[],"","",""
157,4132,"Soul Eater","Mangeur d'âmes ","Seelenfresser","ソウルイーター","영혼 포식자","Devorador de Almas","Пожиратель душ","Devorador de almas","ผู้กลืนกินวิญญาณ","噬魂者","",[],"","",""
158,4133,"Soul Eater","Mangeur d'âmes ","Seelenfresser","ソウルイーター","영혼 포식자","Devorador de Almas","Пожиратель душ","Devorador de almas","ผู้กลืนกินวิญญาณ","噬魂者","",[],"","",""
159,4116,"Conjures Elemental Hazards","Invoque des Périls élémentaires","Beschwört elementare Gefahren","エレメンタルハザードを呼び出す","원소 위해 요소 생성","Conjura Ameaças Elementais","Призывает стихийные помехи","Conjura peligros elementales","เสกพื้นที่ธาตุอันตราย","施放元素危險",93,[],"","",1
160,4117,"Conjures Elemental Hazards","Invoque des Périls élémentaires","Beschwört elementare Gefahren","エレメンタルハザードを呼び出す","원소 위해 요소 생성","Conjura Ameaças Elementais","Призывает стихийные помехи","Conjura peligros elementales","เสกพื้นที่ธาตุอันตราย","施放元素危險",93,[],"","",1
