"rownum","Id","Name","GrantedEffect","SupportText","SupportText (French)","SupportText (German)","SupportText (Japanese)","SupportText (Korean)","SupportText (Portuguese)","SupportText (Russian)","SupportText (Spanish)","SupportText (Thai)","SupportText (Traditional Chinese)","SupportName","GemTags","Consumed_Mod","ItemColor","[rid]_84","AdditionalGrantedEffects","bool_116","bool_117","[i32]_118","i32_134"
334,"IncreaseLimitSupport","",5680,"Supports skills which can have a [Limit|Limited] number of effects active at once, increasing that [Limit] at the cost of their duration. Only applies to restrictions that use the word \""[Limit]\"".","Modifie les aptitudes qui peuvent avoir un nombre [Limit|Limité] d'effets actifs à la fois, augmentant cette [Limit|Limite] au détriment de leur durée. S'applique uniquement aux restrictions qui utilisent le mot « [Limit|Limite] ».","Unterstützt Fertigkeiten, die eine [Limit|limitierte] Anzahl von Effekten auf einmal aktiv haben können, und erhöht dieses [Limit|Limit] auf Kosten ihrer Dauer. Gilt nur für Einschränkungen, die das Schlüsselwort \""[Limit|Limit]\"" enthalten.","一度にアクティブにできる効果に[Limit|上限]があるスキルをサポートし、その持続時間を犠牲にし、その[Limit|上限]を増やす。「[Limit|上限]」という単語を使用した制限にのみ適用される。","한 번에 활성화되는 효과의 개수가 [Limit|제한]되어 있는 스킬에 적용되어, [Limit|제한]을 늘려 주고 대신 지속시간을 줄입니다. \""[Limit|제한]\""이라는 단어를 사용하는 경우에만 적용됩니다.","Suporta habilidades que podem ter um número [Limit|Limitado] de efeitos ativos ao mesmo tempo, aumentando esse [Limit|Limite] à custa da duração. Aplica-se apenas a restrições que utilizam a palavra \""[Limit|Limite]\"".","Усиливает умения, имеющие [Limit|ограниченное] число одновременно активных эффектов, увеличивая это ограничение ценой их длительности. Действует только на ограничения, обозначенные словом «[Limit|‎лимит]».","Asiste habilidades que pueden tener una cantidad [Limit|limitada] de efectos activos a la vez para aumentar ese [Limit|límite] a costa de su duración. Solo se aplica a las restricciones que usan la palabra \""[Limit|límite]\"".","ใช้เสริมสกิลที่มีการ[Limit|จำกัดจำนวน]ของผลที่ใช้งานได้ในคราวเดียว เพื่อเพิ่ม[Limit|จำนวนจำกัด]แลกกับระยะเวลาที่ลดลง\r\nใช้ได้กับข้อจำกัดที่ใช้คำว่า \""[Limit|จำนวนจำกัด]\"" เท่านั้น","輔助那些同時只能擁有[Limit|有限]數量效果的技能，增加該[Limit|上限]，但會縮短效果持續時間。僅適用於使用「[Limit|上限]」一詞的限制。","",[16],"",3,[],[],"","",[],-1
335,"ElectrocuteSupport","",5681,"Supports any Skill which can deal Damage. [Lightning] Damage from Supported Skills can inflict [Electrocute], but Supported Skills cannot inflict [Shock].","Modifie n'importe quelle aptitude capable d'infliger des Dégâts. Les dégâts de [Lightning|Foudre] de l'aptitude modifiée peuvent infliger le [Electrocute|Foudroiement], mais l'aptitude modifiée ne peut plus infliger l'[Shock|Électrocution].","Unterstützt jede Fertigkeit, die Schaden verursachen kann. [Lightning|Blitz]schaden von unterstützten Fertigkeiten können [Electrocute|Elektrisieren] verursachen, aber keinen [Shock|Schock].","ダメージを与えるスキルをサポートする。サポートされたスキルによる[Lightning|雷]ダメージが[Electrocute|麻痺]を付与できるようにするが、サポートされたスキルで[Shock|感電]を付与できなくなる。","피해를 줄 수 있는 모든 스킬에 적용됩니다. 보조 대상 스킬로 주는 [Lightning|번개] 피해가 [Electrocute|전기 처형]을 유발할 수 있지만, 보조 대상 스킬이 [Shock|감전]을 유발할 수 없습니다.","Suporta qualquer habilidade que pode causar Dano. O dano de [Lightning|Raio] das habilidades suportadas pode infligir [Electrocute|Eletrocussão], mas as habilidades suportadas não podem infligir [Shock|Eletrização].","Усиливает любое умение, наносящее урон. Урон от [Lightning|молнии] от усиленных умений может накладывать [Electrocute|электризацию], но усиленные умения наносят меньше урона.","Asiste cualquier habilidad que pueda infligir daño. El daño de [Lightning|rayo] de las habilidades asistidas puede aplicar [Electrocute|parálisis], pero las habilidades asistidas no pueden aplicar [Shock|electrocución].","ใช้เสริมสกิลที่สร้างความเสียหาย ความเสียหาย [Lightning|สายฟ้า] จากสกิลที่เสริมจะสะสมค่า[Electrocute|ช็อตประสาท]ได้\r\nแต่สกิลนี้จะไม่สามารถสร้างสถานะ [Shock|ช็อค] ได้","輔助所有能夠造成傷害的技能。被輔助的技能造成的[Lightning|閃電]傷害可以引發[Electrocute|觸電]，但被輔助的技能無法造成[Shock|感電]。","","[16,2]","",3,[],[],"","",[],-1
336,"RagingSpirits","",307,"","","","","","","","","","","","[48,11,24,8,49,0,15]","",3,[],[],1,"",[],-1
337,"EnergyBarrierSupport","",5703,"Supports any skill that you can use, causing [EnergyShield|Energy Shield] recharge to begin immediately if you are [Stun|Stunned] while using it.","Modifie n'importe quelle aptitude que vous pouvez utiliser. La recharge du [EnergyShield|Bouclier d'énergie] démarre immédiatement si vous vous faites [Stun|Étourdir] pendant que vous utilisez l'aptitude modifiée.","Unterstützt jede Fertigkeit, die Ihr verwenden könnt, und bewirkt, dass die [EnergyShield|Energieschild]-Wiederaufladung sofort beginnt, wenn Ihr während der Nutzung [Stun|Betäubt] werdet.","プレイヤーが使用可能なスキルをサポートし、そのスキルを使用中にプレイヤーが[Stun|スタン]した時に[EnergyShield|エナジーシールド]リチャージが即座に開始するようにする。","사용할 수 있는 모든 스킬에 적용됩니다. 플레이어가 스킬을 사용하는 동안 [Stun|기절]하면 [EnergyShield|에너지 보호막] 재충전이 즉시 시작됩니다.","Suporta qualquer habilidade que você possa usar, fazendo com que a recarga do [EnergyShield|Escudo de Energia] comece imediatamente se você for [Stun|Atordoado] enquanto a usa.","Усиливает любое умение, которые вы можете использовать. Если при использовании усиленного умения вы получаете [Stun|оглушение], перезарядка [EnergyShield|энергетического щита] начинается немедленно.","Asiste cualquier habilidad que puedas usar tú para que la recarga de tu [EnergyShield|escudo de energía] comience inmediatamente si te han [Stun|aturdido] mientras la usas.","ใช้เสริมสกิลที่คุณใช้งานได้ เพื่อเริ่ม รีชาร์จ[EnergyShield|โล่พลังงาน] ทันทีหากคุณติดสถานะ [Stun|สตัน] ขณะที่ใช้สกิลนี้","輔助任何你可以使用的技能，當你在使用期間被[Stun|擊暈]，會立即開始恢復[EnergyShield|能量護盾]。","",[16],"",3,[],[],"","",[],-1
338,"KnockbackWaveSupport","",5704,"Supports any skill that you can use, triggering a blast of wind that [Knockback|Knocks Back] enemies if you are [Stun|Stunned] while using it.","Modifie n'importe quelle aptitude que vous pouvez utiliser, lui permettant de déclencher une bourrasque qui [Knockback|Repousse] les ennemis si vous vous faites [Stun|Étourdir] pendant que vous l'utilisez.","Unterstützt jede Fertigkeit, die Ihr verwenden könnt, und löst einen Windstoß aus, der Gegner [Knockback|zurückstößt], wenn Ihr während der Nutzung [Stun|Betäubt] werdet.","プレイヤーが使用可能なスキルをサポートし、そのスキルを使用中にプレイヤーが[Stun|スタン]した時に敵を[Knockback|ノックバック]させる一陣の突風をトリガーする。","사용할 수 있는 모든 스킬에 적용됩니다. 플레이어가 스킬을 사용하는 동안 [Stun|기절]하면 광풍이 일어 적들을 [Knockback|밀어냅니다].","Suporta qualquer habilidade que você possa usar, disparando uma rajada de vento que [Knockback|Empurra] inimigos se você for [Stun|Atordoado] enquanto a usa.","Усиливает любое умение, которые вы можете использовать. Если при использовании усиленного умения вы получаете [Stun|оглушение], вызывает порыв ветра, [Knockback|отбрасывающий] врагов. ","Asiste cualquier habilidad que puedas usar tú para activar un golpe de viento que [Knockback|empuja] a los enemigos si te han [Stun|aturdido] mientras la usas.","ใช้เสริมสกิลที่คุณใช้งานได้ เพื่อทริกเกอร์กระแสลมที่ [Knockback|ผลัก]ศัตรูออกไปหากคุณติดสถานะ [Stun|สตัน] ขณะที่ใช้สกิลนี้","輔助任何你可使用的技能，當你在使用期間[Stun|遭擊暈]，觸發一陣[Knockback|擊退]敵人的暴風。","","[16,24,14,25]","",3,[],[5710],"","",[],-1
339,"BitingFrostSupport","",5705,"Supports any skill that [HitDamage|Hits] enemies, causing them to deal more damage to [Frozen] enemies but consume their [Freeze]. Cannot support skills that [Consume|Consume] [Freeze|Freeze].","Modifie n'importe quelle aptitude qui [HitDamage|Touche] les ennemis, lui permettant d'infliger davantage de dégâts aux ennemis [Frozen|Gelés], mais en consommant le [Freeze|Gel] qui les affecte. Ne peut pas modifier les aptitudes qui [Consume|Consomment] le [Freeze|Gel].","Unterstützt jede Fertigkeit, die [HitDamage|Treffer] bei Gegnern verursacht, wodurch sie mehr Schaden bei [Frozen|eingefrorenen] Gegnern verursacht, aber deren [Freeze|Einfrieren] verbraucht. Kann keine Fertigkeiten unterstützen, die [Freeze|Einfrieren] [Consume|verbrauchen].","敵を[HitDamage|ヒット]するスキルをサポートし、[Freeze|凍結]状態の敵に与えるダメージを上昇させるが、その[Freeze|凍結]を消費するようにする。[Freeze|凍結]を[Consume|消費]するスキルはサポートできない。","적을 [HitDamage|명중]하는 모든 스킬에 적용됩니다. 보조 대상 스킬이 [Frozen|동결]된 적에게 주는 피해가 커지지만, 적의 [Freeze|동결]을 소모합니다. [Freeze|동결]을 [Consume|소모]하는 스킬에는 적용되지 않습니다.","Suporta qualquer habilidade que [HitDamage|Acerte] inimigos, fazendo com que causem mais dano a inimigos [Frozen|Congelados], mas consomem o [Freeze|Congelamento] deles. Não pode suportar habilidades que [Consume|Consomem] [Freeze|Congelamento]. ","Усиливает любое умение, [HitDamage|наносящее удары] по врагам. Усиленные умения наносят больше урона по [Frozen|замороженным] врагам, но поглощают [Freeze|заморозку]. Не может усиливать умения, [Consume|поглощающие] [Freeze|заморозку].","Asiste cualquier habilidad que [HitDamage|impacte] a los enemigos para que inflija más daño a los enemigos [Frozen|congelados], pero consume su [Freeze|congelamiento]. No puede asistir habilidades que [Consume|consuman] el [Freeze|congelamiento].","ใช้เสริมสกิลที่[HitDamage|ปะทะ]ศัตรู เพื่อให้สกิลนี้[Critical|ปะทะคริติคอล]ต่อศัตรูที่ติดสถานะ [Frozen|แช่แข็ง]\r\nแต่กลืนกินสถานะ [Freeze|แช่แข็ง] ของมัน\r\nไม่สามารถเสริม สกิลที่[Consume|กลืนกิน]สถานะ [Freeze|แช่แข็ง] ได้","輔助任何[HitDamage|擊中]敵人的技能，使其對[Frozen|冰凍]的敵人造成更多傷害，但消耗其[Freeze|冰凍]狀態。無法輔助[Consume|消耗][Freeze|冰凍]的技能。","","[16,1,52]","",3,[],[],"","",[],-1
340,"ElementalDischarge","",489,"Supports any [Spell] that [HitDamage|Hits] enemies, causing it to consume [ElementalAilments|Elemental Ailments] on hit to trigger an Elemental Discharge. Cannot support the skills of [Minion|Minions].","Modifie n'importe quelle aptitude de [Spell|Sort] qui [HitDamage|Touche] les ennemis, lui permettant de consommer les [ElementalAilments|Altérations élémentaires] au toucher pour déclencher une Décharge élémentaire. Ne peut pas modifier les aptitudes des [Minion|Créatures].","Unterstützt jeden [Spell|Zauber], der [HitDamage|Treffer] bei Gegnern verursacht, wodurch [ElementalAilments|elementare Beeinträchtigungen] bei Treffer verbraucht werden, um eine Elementarentladung auszulösen. Kann die Fertigkeiten von [Minion|Kreaturen] nicht unterstützen.","敵に[HitDamage|ヒット]を与えるあらゆる種類の[Spell|スペル]をサポートし、敵に付与した[ElementalAilments|元素系状態異常]を消費し、エレメンタルディスチャージをトリガーする。[Minion|ミニオン]スキルはサポートできない。","적을 [HitDamage|명중]하는 모든 [Spell|주문]에 적용됩니다. 주문이 명중 시 [ElementalAilments|원소 상태 이상]을 소모하여 원소 방출을 발동합니다. [Minion|소환수]의 스킬에는 적용되지 않습니다.","Suporta qualquer [Spell|Magia] que [HitDamage|Acerte] inimigos, fazendo com que consumam [ElementalAilments|Afecções Elementais] ao acertar para disparar uma Descarga Elemental. Não pode suportar as habilidades de [Minion|Lacaios].","Усиливает любые [Spell|чары], [HitDamage|наносящие удары] по врагам. Усиленные умения поглощают [ElementalAilments|стихийные состояния] при нанесении удара и вызывают срабатывание Стихийного разряда. Не может усиливать умения [Minion|приспешников].","Asiste cualquier habilidad que [HitDamage|impacte] a los enemigos para que consuma los [ElementalAilments|estados alterados elementales] al impactar y active una descarga elemental. No puede asistir las habilidades de los [Minion|esbirros].","ใช้เสริม[Spell|เวท]ที่[HitDamage|ปะทะ]ศัตรู เพื่อให้สกิลนี้กลืนกิน [ElementalAilments|สถานะเจ็บป่วยธาตุ] เมื่อปะทะ\r\nแล้วทริกเกอร์ ระเบิดพลังธาตุ (Elemental Discharge)\r\nไม่สามารถเสริม สกิลของ[Minion|มิเนียน] ได้","輔助任何[HitDamage|擊中]敵人的[Spell|法術]，使其擊中時消耗[ElementalAilments|元素異常狀態]，並觸發元素解放。無法輔助[Minion|召喚物]的技能。","","[16,24,4,14,25,2,1,0,52]","",3,[],[490],"","",[],-1
341,"HourglassSupport","",491,"Supports any damaging skill that you use yourself, causing it to deal significantly more damage but gain a long cooldown. Cannot support Skills which already have a cooldown.","Modifie n'importe quelle aptitude qui inflige des dégâts et que vous utilisez vous-même, lui permettant d'infliger des dégâts bien plus conséquents. En contrepartie, un long temps de recharge lui est imputé. Ne peut pas modifier les aptitudes qui disposent déjà d'un temps de recharge.","Unterstützt jede schadenverursachende Fertigkeit, die Ihr selbst verwendet, und bewirkt, dass sie deutlich mehr Schaden verursacht, aber eine lange Abklingzeit erhält. Kann keine Fertigkeiten unterstützen, die bereits eine Abklingzeit haben.","プレイヤー自身が使用するダメージを与えるあらゆる種類のスキルをサポートし、与えるダメージを大幅に上昇させるが、長いクールダウンを持つようにする。すでにクールダウンを持つスキルをサポートできない。","직접 사용하여 피해를 주는 모든 스킬에 적용됩니다. 보조 대상 스킬의 피해가 대폭 커지지만 긴 재사용 대기시간이 생깁니다. 이미 재사용 대기시간이 있는 스킬에는 적용되지 않습니다.","Suporta qualquer habilidade nociva que você mesmo usar, fazendo com que cause significativamente mais dano, mas ganhe um longo tempo de recarga. Não pode suportar habilidades que já possuem tempo de recarga. ","Усиливает любое наносящее урон умение, которое вы используете самостоятельно. Усиленное умение наносит значительно больше урона, но приобретает длительную перезарядку. Не может усиливать умения, уже обладающие перезарядкой.","Asiste cualquier habilidad que inflija daño y que uses tú mismo para que inflija mucho más daño, pero obtendrá un enfriamiento largo. No puede asistir habilidades que ya tengan enfriamiento.","ใช้เสริมสกิลสร้างความเสียหายที่คุณใช้ด้วยตัวเอง\r\nเพื่อให้สกิลนี้สร้างความเสียหายเพิ่มขึ้น อีก เป็นอย่างยิ่ง แต่มีคูลดาวน์ยาวนาน\r\nไม่สามารถเสริม สกิลที่มีคูลดาวน์ตั้งแต่แรก ได้","輔助任何你自己使用的傷害技能，使其造成的傷害大幅提升，但冷卻時間延長。無法輔助已具有冷卻時間的技能。","",[16],"",3,[],[],"","",[],-1
342,"FieryDeathSupport","",492,"Supports any skill that [HitDamage|Hits] enemies, causing enemies it [Ignite|Ignites] to have a chance to explode on death.","Modifie n'importe quelle aptitude qui [HitDamage|Touche] les ennemis, donnant aux ennemis qu'elle [Ignite|Embrase] une chance d'exploser en mourant.","Unterstützt jede Fertigkeit, die [HitDamage|Treffer] bei Gegnern verursacht, und bewirkt, dass Gegner, die sie [Ignite|entzündet], eine Chance haben, bei Tod zu explodieren.","敵に[HitDamage|ヒット]を与えるあらゆる種類のスキルをサポートし、[Ignite|発火]させた敵が一定確率で爆発するようにする。","적을 [HitDamage|명중]하는 모든 스킬에 적용됩니다. 스킬로 [Ignite|점화]하는 적이 사망 시 일정 확률로 폭발합니다.","Suporta qualquer habilidade que [HitDamage|Acerta] inimigos, fazendo com que inimigos que ela [Ignite|Incendiar] tenham uma chance de explodir ao morrer.","Усиливает любое умение, [HitDamage|наносящее удары] по врагам. [Ignite|Подожжённые] усиленным умением враги имеют шанс взорваться при смерти.","Asiste cualquier habilidad que [HitDamage|impacte] a los enemigos para que los enemigos que [Ignite|quema] tengan una probabilidad de explotar al morir.","ใช้เสริมสกิลที่[HitDamage|ปะทะ]ศัตรู เพื่อให้ศัตรูที่ติดสถานะ [Ignite|ลุกไหม้] จากสกิลนี้มีโอกาสระเบิดเมื่อตาย","輔助任何[HitDamage|擊中]敵人的技能，使受其[Ignite|點燃]的敵人有一定機率在死亡時爆炸。","","[16,24,4,14,0]","",3,[],[493],"","",[],-1
343,"Twister","",309,"","","","","","","","","","","","[10,24,60,13,14,5,15]","",3,[],[],"","",[],-1
344,"DetonateMinion","",5654,"","","","","","","","","","","","[10,24,4,14,0]","",3,[],[],"","",[],-1
345,"ExplosiveSpear","",310,"","","","","","","","","","","","[10,24,60,13,14,5,0,15,47]","",3,[],[],"","",[],-1
346,"SpearWindVortex","",311,"","","","","","","","","","","","[10,24,13,14,7]","",3,[],[],"","",[],-1
347,"ElementalSiphon","",312,"","","","","","","","","","","","[10,24,13,7,32,2,1,0,15]","",3,[],[],"","",[],-1
348,"ThunderousLeap","",313,"","","","","","","","","","","","[10,24,13,14,7,35,2,47,31]","",3,[],[],"","",[],-1
349,"WindDancer","",314,"","","","","","","","","","","","[48,10,24,13,49,14,7,56]","",3,[],[315],1,"",[],-1
350,"DeadlyHeraldsSupport","",494,"Supports Herald Skills, making their triggered effects deal more damage at the expense of higher [Spirit] cost.","Modifie les aptitudes de Héraut, permettant à leurs effets déclenchés d'infliger davantage de dégâts, mais augmentant leur coût en [Spirit|Esprit].","Unterstützt Herold-Fertigkeiten und lässt ihre ausgelösten Effekte mehr Schaden verursachen, was jedoch mehr [Spirit|Wille] kostet.","ヘラルドスキルをサポートし、[Spirit|スピリット]コスト増加を犠牲にして、トリガーエフェクトが与えるダメージを上昇させる。","전령 스킬에 적용됩니다. 스킬의 발동형 효과가 주는 피해가 커지지만, 대신 [Spirit|정신력] 비용이 증가합니다.","Suporta habilidades de Arauto, fazendo com que seus efeitos ativados causem mais dano à custa de um maior custo de [Spirit|Espírito].","Усиливает умения вестников. Активируемые ими эффекты наносят больше урона, но при этом увеличивается количестно удерживаемого [Spirit|духа].","Asiste habilidades de heraldo para que sus efectos de activación inflijan más daño a costa de un mayor costo de [Spirit|espíritu].","ใช้เสริมสกิลสาสน์ เพื่อให้ผลการทริกเกอร์ของสกิลนี้สร้างความเสียหายเพิ่มขึ้น อีก\r\nแลกกับการทำให้สกิลนี้มีค่าใช้งาน[Spirit|พลังวิญญาณ]สูงขึ้น","輔助捷光環技能，使其觸發效果造成更高的傷害，但其[Spirit|精魂]消耗提高。","","[16,29]","",3,[],[],"","",[],-1
351,"BuffedHeraldSupport","",495,"Supports [Persistent] [Buff] Skills, making the [Buff] they grant more powerful.","Modifie les aptitudes à [Buff|Effet bénéfique] [Persistent|Persistant], rendant l'[Buff|Effet bénéfique] qu'elles octroient plus puissant.","Unterstützt [Persistent|dauerhafte] [Buff|Stärkungs]fertigkeiten, wodurch die von ihnen gewährte [Buff|Stärkung] noch mächtiger wird.","[Persistent|永続][Buff|バフ]スキルをサポートし、そのスキルが付与する[Buff|バフ]をより強力にする。","[Persistent|유지형] [Buff|버프] 스킬에 적용되어, 스킬이 부여하는 [Buff|버프]를 강력하게 만듭니다.","Suporta habilidades de [Buff] [Persistent|Persistente], tornando o [Buff] que elas concedem mais poderoso.","Усиливает умения с [Persistent|постоянными] [Buff|положительными эффектами], усиливая предоставляемые ими [Buff|положительные эффекты].","Asiste habilidades de [Buff|efectos beneficiosos] [Persistent|persistentes] para que el [Buff|efecto beneficioso] que otorgan sea más poderoso.","ใช้เสริมสกิล[Buff|บัฟ][Persistent|ยั่งยืน] เพื่อให้[Buff|บัฟ]ที่สกิลนี้มอบทรงพลังยิ่งขึ้น","輔助[Persistent|持續][Buff|增益]技能，使其賦予的[Buff|增益效果]更高。","","[16,48]","",3,[],[],"","",[],-1
352,"ManaFlareSupport","",496,"Supports any [Spell] that [HitDamage|Hits] enemies, causing it to trigger a Mana Flare on [Critical|Critical Hit]. The Mana Flare consumes your Mana to deal [Fire] damage. Cannot support the skills of [Minion|Minions].","Modifie n'importe quel [Spell|Sort] qui [HitDamage|Touche] les ennemis, lui permettant de déclencher un Flamboiement de Mana lorsqu'il inflige une [Critical|Touche critique]. Le Flamboiement de Mana consomme votre mana pour infliger des dégâts de [Fire|Feu]. Ne peut pas modifier les aptitudes des [Minion|Créatures].","Unterstützt jeden [Spell|Zauber], der [HitDamage|Treffer] bei Gegnern verursacht, wodurch bei einem [Critical|kritischen Treffer] eine Mana-Fackel ausgelöst wird. Die Mana-Fackel verbraucht Euer Mana, um [Fire|Feuer]schaden zu verursachen. Kann die Fertigkeiten von [Minion|Kreaturen] nicht unterstützen.","敵に[HitDamage|ヒット]を与えるあらゆる種類の[Spell|スペル]をサポートし、[Critical|クリティカルヒット]時にマナフレアをトリガーするようにする。マナフレアはプレイヤーのマナを消費し、[Fire|火]ダメージを与える。[Minion|ミニオン]をのスキルはサポートできない。","적을 [HitDamage|명중]하는 모든 [Spell|주문]에 적용됩니다. 주문이 [Critical|치명타 명중] 시 마나 섬광이 발동합니다. 마나 섬광은 마나를 소모하여 [Fire|화염] 피해를 줍니다. [Minion|소환수]의 스킬에는 적용되지 않습니다.","Suporta qualquer [Spell|Magia] que [HitDamage|Acerte] inimigos, fazendo com que acione um Surto de Mana em um [Critical|Acerto Crítico]. O Surto de Mana consome sua Mana para causar dano de [Fire|Fogo]. Não pode suportar as habilidades de [Minion|Lacaios]. ","Усиливает любые [Spell|чары], [HitDamage|наносящие удары] по врагам. Усиленные умения вызывают срабатывание Вспышки маны при [Critical|критическом попадании]. Вспышка маны поглощает вашу ману и наносит урон от [Fire|огня]. Не может усиливать умения [Minion|приспешников].","Asiste cualquier [Spell|hechizo] que [HitDamage|impacte] a los enemigos para que active un destello de maná al infligir un [Critical|impacto crítico]. El destello de maná consume tu maná para infligir daño de [Fire|fuego]. No puede asistir las habilidades de los [Minion|esbirros].","ใช้เสริม[Spell|เวท]ที่[HitDamage|ปะทะ]ศัตรู เพื่อสกิลนี้ทริกเกอร์ เปลวมานา (Mana Flare) เมื่อ[Critical|ปะทะคริติคอล]\r\nเปลวมานาจะกลืนกิน มานาของคุณ เพื่อสร้างความเสียหาย [Fire|ไฟ]\r\nไม่สามารถเสริม สกิลของ[Minion|มิเนียน] ได้","輔助任何[HitDamage|擊中]敵人的[Spell|法術]，使其[Critical|暴擊]觸發魔力閃焰。魔力閃焰會消耗你的魔力並造成[Fire|火焰]傷害。無法輔助[Minion|召喚物]的技能。","","[16,24,4,14,25,0,38]","",3,[],[497],"","",[],-1
353,"LockdownSupport","",498,"Supports any skill that [HitDamage|Hits] enemies, causing any [Pinned|Pin] buildup it inflicts to be stronger the closer the enemy is to you.","Modifie n'importe quelle aptitude qui [HitDamage|Touche] les ennemis. Plus l'ennemi est proche de vous, plus l'accumulation de [Pinned|Verrouillage] infligée par l'aptitude modifiée est importante.","Unterstützt jede Fertigkeit, die [HitDamage|Treffer] bei Gegnern verursacht, wodurch der Aufbau von [Pinned|Festsetzen] umso stärker ist, je näher der Gegner an Euch ist.","敵に[HitDamage|ヒット]を与えるあらゆる種類のスキルをサポートし、敵がプレイヤーに近いほど付与する[Pinned|足止め]蓄積をより強力にする。","적을 [HitDamage|명중]하는 모든 스킬에 적용됩니다. 적이 플레이어에게 가까이 있을수록 스킬이 유발하는 [Pinned|고정] 축적이 강해집니다.","Suporta qualquer habilidade que [HitDamage|Acerte] inimigos, fazendo com que qualquer acúmulo de [Pinned|Aprisionamento] infligido seja mais forte quanto mais próximo o inimigo estiver de você.","Усиливает любое умение, [HitDamage|наносящее удары] по врагам. Любое накапливаемое усиленными умениями [Pinned|пригвождение] становится тем сильнее, чем ближе противник к вам.","Asiste cualquier habilidad que [HitDamage|impacte] a los enemigos para que toda la acumulación de [Pinned|retención] que aplique sea mayor cuanto más cerca de ti se encuentre el enemigo.","ใช้เสริมสกิลที่[HitDamage|ปะทะ]ศัตรู เพื่อให้สกิลนี้สะสมค่า[Pinned|ตรึง]มากขึ้นต่อศัตรูตามความใกล้เคียง","輔助任何[HitDamage|擊中]敵人的技能，當敵人與你的距離越近，技能造成的[Pinned|釘身]累積更高。","",[16],"",3,[],[],"","",[],-1
354,"OverpowerSupport","",5711,"Supports any skill that hits enemies, causing it to build up [Stun|Stun] more quickly.","Modifie n'importe quelle aptitude qui [HitDamage|Touche] les ennemis, lui permettant d'accumuler plus rapidement l'[Stun|Étourdissement] sur les ennemis.","Unterstützt Fertigkeiten, die [HitDamage|Treffer] bei Gegnern verursachen, wodurch der [Stun|Betäubungs]aufbau schneller geschieht.","敵をヒットするスキルをサポートし、[Stun|スタン]蓄積速度をより速くする。","적을 명중하는 모든 스킬에 적용되어, 스킬이 [Stun|기절]을 더 빨리 축적하게 합니다.","Suporta qualquer habilidade que acerte inimigos, fazendo com que acumule [Stun|Atordoamento] mais rapidamente.","Усиливает любое умение, [HitDamage|наносящее удары] по врагам. Усиленные умения накапливают [Stun|оглушение] быстрее.","Asiste cualquier habilidad que impacte a los enemigos para que acumule más rápido el [Stun|aturdimiento].","ใช้เสริมสกิลที่ปะทะศัตรู เพื่อให้สกิลนี้สะสมค่า[Stun|สตัน]ได้เร็วขึ้น","輔助任何擊中敵人的技能，使其[Stun|擊暈]累積更快。","",[16],"",3,[],[],"","",[],-1
355,"MobilitySupport","",5712,"Supports skills that can be used while moving, allowing you to move faster while using them.","Modifie les aptitudes qui peuvent être utilisées tout en se déplaçant, vous permettant de vous déplacer plus rapidement pendant leur utilisation.","Unterstützt Fertigkeiten, die während der Bewegung genutzt werden können, wodurch Ihr Euch schneller bewegen könnt, während ihr sie benutzt.","移動中に使用可能なスキルをサポートし、そのスキルを使用中により素早く移動できるようにする。","이동하면서 사용할 수 있는 스킬에 적용되어, 스킬을 사용하는 동안 더 빨리 이동하게 해 줍니다.","Suporta habilidades que podem ser usadas enquanto você se move, permitindo que você se mova mais rápido enquanto as usa.","Усиливает умения, которые можно использовать во время передвижения, позволяя вам передвигаться быстрее во время их использования.","Asiste habilidades que puedes usar mientras te mueves para que puedas moverte más rápido mientras las usas.","ใช้เสริมสกิลที่ใช้งานได้ขณะที่เคลื่อนที่ ทำให้คุณเคลื่อนที่ได้เร็วขึ้นขณะที่ใช้สกิลนี้","輔助移動時可使用的技能，讓你在使用時移動得更快。","",[16],"",3,[],[],"","",[],-1
