"rownum","Id","Name","Metadata","rid","NPCMasterKey","ShortName","i32","NPCAudios1","NPCAudios2","HASH16","row","Portrait","DialogueStyle","rid","string","bool","string","rid"
163,"Metadata/Monsters/CrimsonPriest","Kadaris, Crimson Mayor","Metadata/NPC/NPC","","","Kadaris",0,[],[],-23586,"","","","","M",1,"",""
164,"Metadata/Monsters/Skeletons/Pirate/BrutalPirateLordBoss","Captain Clayborne, The Accursed","Metadata/NPC/NPC","","","Clayborne",0,[],[],22110,"","","","","M",1,"",""
165,"Metadata/Monsters/LunarisSolaris/LunarisMap","Khor, Sister of Shadows","Metadata/NPC/NPC","","","Khor",0,[],[],275,"","","","","F",1,"",""
166,"Metadata/Monsters/LunarisSolaris/SolarisMap","Ara, Sister of Light","Metadata/NPC/NPC","","","Ara",0,[],[],3432,"","","","","F",1,"",""
167,"Metadata/Monsters/DjinnDemon/DjinnDemonMapBoss_","Ormud, Fiend of the Flood","Metadata/NPC/NPC","","","Ormud",0,[],[],15980,"","","","","M",1,"",""
168,"Metadata/Monsters/Vilenta/VilentaMap_","Renkarr, The Kiln Keeper","Metadata/NPC/NPC","","","Renkarr",0,[],[],3147,"","","","","F",1,"",""
169,"Metadata/Monsters/Thaumaturgy/ThaumaturgistBoss","Ciergan, Shadow Alchemist","Metadata/NPC/NPC","","","Ciergan",0,[],[],30691,"","","","","M",1,"",""
170,"Metadata/NPC/League/Ultimatum/UltimatumNPC","The Trialmaster","Metadata/NPC/NPC","","","The Trialmaster",0,[268],[269],-14822,"",14,1,"","M",1,"",""
171,"Metadata/NPC/League/Ultimatum/UltimatumNPCPostFight","The Trialmaster","Metadata/NPC/League/Ultimatum/UltimatumNPCBossEndScene","","","The Trialmaster",0,[268],[269],-8977,"",14,1,"","M",1,"",""
172,"Metadata/Monsters/LeagueDelve/VaalCityBoss","Ahuatotli, the Blind","Metadata/NPC/League/Ultimatum/UltimatumNPCBossEndScene","","","Ahuatotli",0,[],[],27232,"","","","","M",1,"",""
173,"Metadata/Monsters/LeagueDelve/ProtoVaalCityBoss","Aul, the Crystal King","Metadata/NPC/League/Ultimatum/UltimatumNPCBossEndScene","","","Aul",0,[],[],11813,"","","","","M",1,"",""
174,"Metadata/NPC/Hasina","Hasina","Metadata/NPC/NPC","","","",0,[],[],11914,"","","","","F",1,"",""
175,"Metadata/NPC/League/Expedition/Saga","Dannig, Warrior Skald","Metadata/NPC/NPC",2408,"","Dannig",0,[137],[138],-17432,"",16,3,7,"M",1,"",26
176,"Metadata/NPC/League/Expedition/Gambler","Gwennen","Metadata/NPC/NPC",2405,"","Gwennen",0,[145],[146],5530,"",17,3,5,"F",1,"",""
177,"Metadata/NPC/League/Expedition/Haggler","Tujen","Metadata/NPC/NPC",2406,"","Tujen",0,[143],[144],-17317,"",18,3,6,"M",1,"",21
178,"Metadata/NPC/League/Expedition/Dealer","Rog","Metadata/NPC/NPC",2407,"","Rog",0,[140],[141],23173,"",19,3,4,"M",1,"",24
179,"Metadata/Monsters/LeagueExpedition/NPC/ExpeditionDannig","Dannig","Metadata/NPC/NPC",2408,"","Dannig",0,[137],[138],-26741,"",16,3,7,"M",1,"",26
180,"Metadata/Monsters/LeagueExpedition/NPC/ExpeditionGwennen_","Gwennen","Metadata/NPC/NPC",2405,"","Gwennen",0,[145],"[146,147,148]",25585,"",17,3,5,"F",1,"",""
181,"Metadata/Monsters/LeagueExpedition/NPC/ExpeditionTujen","Tujen","Metadata/NPC/NPC",2406,"","Tujen",0,[143],[144],-29732,"",18,3,6,"M",1,"",21
182,"Metadata/Monsters/LeagueExpedition/NPC/ExpeditionRog","Rog","Metadata/NPC/NPC",2407,"","Rog",0,[140],[141],-6828,"",19,3,4,"M",1,"",24
183,"Metadata/NPC/League/Expedition/SagaHideout","Dannig, Warrior Skald","Metadata/NPC/NPC",2408,"","Dannig",0,[137],[138],8686,175,16,3,7,"M",1,"",26
184,"Metadata/NPC/League/Expedition/GamblerHideout","Gwennen","Metadata/NPC/NPC",2405,"","Gwennen",0,[145],[146],-27842,176,17,3,5,"F",1,"",""
185,"Metadata/NPC/League/Expedition/HagglerHideout","Tujen","Metadata/NPC/NPC",2406,"","Tujen",0,[143],[144],20353,177,18,3,6,"M",1,"",21
186,"Metadata/NPC/League/Expedition/DealerHideout","Rog","Metadata/NPC/NPC",2407,"","Rog",0,[140],[141],-8538,178,19,3,4,"M",1,"",24
187,"RoyaleAnnouncer","Royale Announcer","Metadata/NPC/NPC","","","Royale Announcer",0,[],[],4754,"","","","","M",1,"",""
188,"Metadata/Monsters/LeagueExpedition/ReaperBoss/ReaperBoss_","Vorana, Last to Fall","Metadata/Monsters/LeagueExpedition/ReaperBoss/ReaperBoss","","","Vorana",0,[],[],4734,"","","","","F",1,"",""
189,"Metadata/Monsters/LeagueExpedition/ApparitionBoss/ApparitionExpedition","Uhtred","Metadata/Monsters/LeagueExpedition/ApparitionBoss/ApparitionBoss","","","Uhtred",0,[],[],-16786,"","","","","M",1,"",""
190,"Metadata/Monsters/LeagueExpedition/Olroth","Olroth, Origin of the Fall","Metadata/Monsters/LeagueExpedition/Olroth/Olroth","","","Olroth",0,[],[],28485,"","","","","M",1,"",""
191,"Metadata/NPC/League/Hellscape/HellscapeNPC","The Last to Die","Metadata/NPC/NPC","","","The Last to Die",0,[149],[150],11576,"",21,4,"","F",1,"",""
192,"Metadata/NPC/League/Hellscape/HellscapeNPCWild","The Last to Die","Metadata/NPC/NPC","","","The Last to Die",0,[],[151],5710,191,21,4,"","F",1,"",""
193,"Metadata/NPC/League/Hellscape/HellscapeNPCHideout","The Last to Die","Metadata/NPC/NPC","","","The Last to Die",0,[149],[150],-24462,191,21,4,"","F",1,"",""
194,"Metadata/NPC/Skadi","Skadi","Metadata/NPC/NPC","","","",0,[],[],-32709,"","","","","F",1,"",""
195,"Metadata/NPC/Epilogue/LillyHideout","Lilly Roth","Metadata/NPC/NPC","","","Lilly",0,[152],[],11383,"","",1,"","F",1,"",""
196,"Metadata/NPC/Epilogue/HelenaIntro","Helena","Metadata/NPC/NPC","",3,"Helena",11,[24],[25],18187,54,"",1,"","F",1,"",""
197,"Metadata/NPC/BladeSoul","Blade Soul","Metadata/NPC/NPC","","","",0,[],[],-10906,"","","","","",1,"",""
198,"Metadata/NPC/League/Lake/Arbiter","Kalandra","Metadata/NPC/NPC","","","Kalandra",0,[],[],-9987,"","","","","F",1,"",""
199,"Metadata/Monsters/LeagueLake/ArbiterWild","Kalandra","Metadata/NPC/NPC","","","Kalandra",0,[],[],22420,"","","","","F",1,"",""
200,"Metadata/Monsters/LeagueLake/ArbiterWildEvil","Kalandra","Metadata/NPC/NPC","","","Kalandra",0,[],[],-26222,"","","","","F",1,"",""
201,"Metadata/NPC/WarlordsLieutenant_Portal","Lieutenant","Metadata/NPC/NPC","","","Lieutenant",0,[],[],2026,"","","","","",1,"",""
202,"Metadata/NPC/CultistSpirit","Mysterious Voice","Metadata/NPC/NPC","","","Mysterious Voice",0,[],[],-11550,"","","","","",1,"",""
203,"Metadata/NPC/MercenarySpirit","Mysterious Voice","Metadata/NPC/NPC","","","Mysterious Voice",0,[],[],26852,"","","","","",1,"",""
204,"Metadata/NPC/PyromaniacSpirit","Mysterious Voice","Metadata/NPC/NPC","","","Mysterious Voice",0,[],[],-21465,"","","","","",1,"",""
205,"Metadata/NPC/TemplarZealotSpirit","Mysterious Voice","Metadata/NPC/NPC","","","Mysterious Voice",0,[],[],30424,"","","","","",1,"",""
206,"Metadata/NPC/Info/KalandraGlyph01","Ancient Etchings I","Metadata/NPC/League/Lake/LakeStoryGlyph","","","Ancient Etchings I",-1,[],[],15757,"","","","","",1,"",""
207,"Metadata/NPC/Info/KalandraGlyph02","Ancient Etchings II","Metadata/NPC/League/Lake/LakeStoryGlyph","","","Ancient Etchings II",-1,[],[],23236,"","","","","",1,"",""
208,"Metadata/NPC/Info/KalandraGlyph03","Ancient Etchings III","Metadata/NPC/League/Lake/LakeStoryGlyph","","","Ancient Etchings III",-1,[],[],-2667,"","","","","",1,"",""
209,"Metadata/NPC/Info/KalandraGlyph04","Ancient Etchings IV","Metadata/NPC/League/Lake/LakeStoryGlyph","","","Ancient Etchings IV",-1,[],[],-2401,"","","","","",1,"",""
210,"Metadata/NPC/Info/KalandraGlyph05","Ancient Etchings V","Metadata/NPC/League/Lake/LakeStoryGlyph","","","Ancient Etchings V",-1,[],[],-12794,"","","","","",1,"",""
211,"Metadata/NPC/Info/KalandraGlyph06","Ancient Etchings VI","Metadata/NPC/League/Lake/LakeStoryGlyph","","","Ancient Etchings VI",-1,[],[],27889,"","","","","",1,"",""
212,"Metadata/NPC/Info/KalandraGlyph07","Ancient Etchings VII","Metadata/NPC/League/Lake/LakeStoryGlyph","","","Ancient Etchings VII",-1,[],[],-19547,"","","","","",1,"",""
213,"Metadata/NPC/Mel","Mel","Metadata/NPC/NPC","","","",0,[],[],6248,"","","","","F",1,"",""
214,"Metadata/NPC/Epilogue/CadiroHideout","Cadiro Perandus","Metadata/NPC/NPC","","","Cadiro",0,[155],[156],18729,"",24,1,"","M","","",27
215,"Metadata/Monsters/Masters/SanctumNPC","Divinia","Metadata/NPC/NPC","","","Divinia",0,[],[],-22929,"","","","","F",1,"",""
216,"Metadata/NPC/League/Sanctum/SanctumNPCTown","Divinia","Metadata/NPC/NPC","","","Divinia",0,[157],[160],-13361,"",23,5,"","F",1,"",""
217,"Metadata/NPC/League/Sanctum/SanctumNPCTownAct7","Divinia","Metadata/NPC/NPC","","","Divinia",0,[157],[160],-4444,"",23,5,"","F",1,"",""
218,"Metadata/NPC/League/Sanctum/SanctumNPCMerchant","Divinia","Metadata/NPC/NPC","","","Divinia",0,[159],[162],-18200,"",23,5,"","F",1,"",""
219,"Metadata/NPC/League/Sanctum/SanctumNPCAirlock","Divinia","Metadata/NPC/NPC","","","Divinia",0,[158],[161],-18547,"",23,5,"","F",1,"",""
220,"Metadata/NPC/League/Sanctum/Lycia","Lycia","Metadata/NPC/NPC","","","Lycia",0,[],[],23356,"","","","","F",1,"",""
221,"Metadata/NPC/Info/LyciaGlyph01","Remembrance","Metadata/NPC/Info/StoryGlyphBase","","","Remembrance",0,[],[],32263,"","","","","",1,"",""
222,"Metadata/NPC/Info/LyciaGlyph02","The Templars","Metadata/NPC/Info/StoryGlyphBase","","","The Templars",0,[],[],29322,"","","","","",1,"",""
223,"Metadata/NPC/Info/LyciaGlyph03","Creations","Metadata/NPC/Info/StoryGlyphBase","","","Creations",0,[],[],-26982,"","","","","",1,"",""
224,"Metadata/NPC/Info/LyciaGlyph04","Capture","Metadata/NPC/Info/StoryGlyphBase","","","Capture",0,[],[],-21047,"","","","","",1,"",""
225,"Metadata/NPC/Info/LyciaGlyph05","Sustenance","Metadata/NPC/Info/StoryGlyphBase","","","Sustenance",0,[],[],-25444,"","","","","",1,"",""
226,"Metadata/NPC/Info/LyciaGlyph06","Immortality","Metadata/NPC/Info/StoryGlyphBase","","","Immortality",0,[],[],-4518,"","","","","",1,"",""
227,"Metadata/NPC/Info/LyciaGlyph07","Isolation","Metadata/NPC/Info/StoryGlyphBase","","","Isolation",0,[],[],-12957,"","","","","",1,"",""
228,"Metadata/NPC/Info/LyciaGlyph08","Beidat","Metadata/NPC/Info/StoryGlyphBase","","","Beidat",0,[],[],11907,"","","","","",1,"",""
229,"Metadata/NPC/Info/LyciaGlyph09","Forbidden Knowledge","Metadata/NPC/Info/StoryGlyphBase","","","Forbidden Knowledge",0,[],[],8489,"","","","","",1,"",""
230,"Metadata/NPC/ChaosEntity","Chaos Entity","","","","Chaos Entity",0,[],[],-1211,"","","","","",1,"",""
231,"Metadata/NPC/Chieftain_Portal","Chieftain Ancestor","Metadata/NPC/NPC","","","Chieftain",0,[],[],-9416,"","","","","",1,"",""
232,"Metadata/Pet/Raccoon/Raccoon","","Metadata/Pet/Raccoon/Raccoon","","","",0,[],[],-21248,"","","","","",1,"",""
233,"Metadata/NPC/GoblinBard","","","","","",0,[],[],12774,"","","","","",1,"",""
234,"Metadata/NPC/Four_Act1/Einhar","Einhar, Beastmaster","","",1,"Einhar",1,[75],[76],-7724,"",25,6,1,"M",1,"",5
235,"Metadata/NPC/Four_Act1/EinharWild","Einhar, Beastmaster","","",1,"Einhar",1,[75],[76],7883,"",25,6,1,"M",1,"",5
236,"Metadata/Monsters/Masters/EinharSilentCairns","Einhar, Beastmaster","Metadata/NPC/NPC","",1,"Einhar",1,[75],[76],-7962,"",25,6,1,"M",1,"",5
237,"Metadata/Monsters/NPC/DogtraderRiverbank","Clearfell Guard","","","","Clearfell Guard",1,[],[],-24321,"",30,6,"","M",1,"",""
238,"Metadata/NPC/Four_Act1/Renly","Renly","",3051,"","Renly",1,[173],[174],-13457,"",26,6,10,"M",1,"",1
239,"Metadata/NPC/Four_Act1/RenlyAfterIronCount","Renly","",3051,"","Renly",1,[173],[174],18422,238,26,6,10,"M",1,"",1
240,"Metadata/NPC/Four_Act1/RenlyIntro","Renly","",3051,"","Renly",1,[173],[174],-28670,238,26,6,10,"M",1,"",1
241,"Metadata/NPC/Four_Act1/HoodedMentor","The Hooded One","",3053,"","The Hooded One",1,[205],[207],-4360,"",27,6,"","M",1,"",0
242,"Metadata/NPC/Four_Act1/HoodedMentorAfterIronCount","The Hooded One","",3053,"","The Hooded One",1,[205],[207],-8874,241,27,6,"","M",1,"",0
243,"Metadata/NPC/Four_Act1/HoodedMentorInjured","The Hooded One","",3053,"","The Hooded One",1,[206],[208],-26248,"",27,6,"","M",1,"",0
244,"Metadata/NPC/Four_Act1/Una","Una","",3052,"","Una",1,"[163,164]","[168,169,170]",-13504,"",28,6,11,"F",1,"",2
245,"Metadata/NPC/Four_Act1/UnaAfterHealHoodedMentor","Una","",3052,"","Una",1,"[163,164]","[168,169,170]",-10384,244,28,6,11,"F",1,"",2
246,"Metadata/NPC/Four_Act1/UnaAfterIronCount","Una","",3052,"","Una",1,"[163,164]","[168,169,170]",-27812,244,28,6,11,"F",1,"",2
247,"Metadata/NPC/Four_Act1/UnaTreeSummon","Una","Metadata/Monsters/NPC/UnaTreeSummon",3052,"","Una",1,"[163,164,165]","[168,169,170,166,167]",13892,"",28,6,"","F",1,"Art/2DArt/UIImages/InGame/PartyMenu/NPCPartyPortraits/NPCPartyPortraitUna",2
248,"Metadata/NPC/Four_Act1/UnaTreeSummonKneeling","Una","Metadata/Monsters/NPC/UnaTreeSummonKneeling",3052,"","Una",1,"[163,164,165]","[168,169,170,166,167]",21816,"",28,6,"","F",1,"Art/2DArt/UIImages/InGame/PartyMenu/NPCPartyPortraits/NPCPartyPortraitUna",2
249,"Metadata/NPC/Four_Act1/UnaGrimTangleSummon","Una","Metadata/Monsters/NPC/UnaGrimTangleSummon",3052,"","Una",1,[171],[172],24901,"",28,6,"","F",1,"",2
250,"Metadata/NPC/Four_Act1/UnaHoodedOneInjured","Una","",3052,"","Una",1,[163],[168],-7568,"",28,6,11,"F",1,"",2
251,"Metadata/NPC/Four_Act1/Finn","Finn","",3050,"","Finn",1,"[175,176,177,178]","[179,180,181,182]",-31434,"",29,6,12,"M",1,"",3
252,"Metadata/NPC/Four_Act1/FinnHuntingGrounds","Finn","",3050,"","Finn",0,"[175,176,177,178]","[179,180,181,182]",-14968,"",29,6,"","M",1,"Art/2DArt/UIImages/InGame/PartyMenu/NPCPartyPortraits/NPCPartyPortraitFinn",3
253,"Metadata/NPC/Four_Act1/FinnCanopy","Finn","",3050,"","Finn",0,"[175,176,177,178]","[179,180,181,182]",1723,"",29,6,"","M",1,"Art/2DArt/UIImages/InGame/PartyMenu/NPCPartyPortraits/NPCPartyPortraitFinn",3
254,"Metadata/NPC/Four_Act1/FinnHoodedMentorInjured","Finn","",3050,"","Finn",1,"[175,176,177,178]","[179,180,181,182]",21679,251,29,6,12,"M",1,"",3
255,"Metadata/NPC/Four_Act1/DogTrader","Escort","","","","Escort",1,[],[],5902,"",30,6,"","M",1,"",""
256,"Metadata/NPC/Four_Act1/BitterGuy","Lachlann the Lost","Metadata/NPC/Four_Act1/BitterGuy","","","Lachlann",1,"[183,184,185]","[186,187,188]",-15581,"",31,6,"","M",1,"",4
257,"Metadata/NPC/Four_Act1/BitterGuyTomb","Lachlann the Lost","Metadata/NPC/Four_Act1/BitterGuy","","","Lachlann",1,"[183,184,185]","[186,187,188]",-26002,"",31,6,"","M",1,"",4
258,"Metadata/NPC/Four_Act1/BitterGuyMausoleum","Lachlann the Lost","Metadata/NPC/Four_Act1/BitterGuy","","","Lachlann",1,"[183,184,185]","[186,187,188]",16233,"",31,6,"","M",1,"",4
259,"Metadata/Monsters/NPC/BitterGuy","Lachlann the Lost","Metadata/Monsters/NPC/BitterGuy","","","Lachlann",1,"[183,184,185]","[186,187,188]",-23312,"",31,6,"","M",1,"",4
260,"Metadata/NPC/Four_Act1/HoodedMentorOldForestInTree","The Hooded One","Metadata/NPC/Four_Act1/HoodedMentorOldForestInTree","","","The Hooded One",1,[],[],-16722,"",27,6,"","M",1,"",0
261,"Metadata/NPC/Four_Act1/HoodedMentorOldForest","The Hooded One","Metadata/NPC/Four_Act1/HoodedMentorOldForest","","","The Hooded One",1,[],[],22205,"",27,6,"","M",1,"",0
262,"Metadata/NPC/Four_Act1/TheCountess","The Countess","Metadata/Terrain/Gallows/Act1/1_15/Objects/Countess","","","The Countess",0,[],[],6196,"","",6,"","F",1,"",23
263,"Metadata/NPC/Four_Act1/TheCountessLetterGlyph","Savvy Letter","Metadata/NPC/Info/StoryGlyphBase","","","Savvy Letter",1,[],[],14426,"","",6,"","",1,"",""
264,"Metadata/NPC/Four_Act1/ClearfellPosting1","Proclamation","Metadata/NPC/Info/StoryGlyphBase","","","",1,[],[],20597,"","",6,"","",1,"",""
265,"Metadata/NPC/Four_Act1/ClearfellPosting2","Count's Decree","Metadata/NPC/Info/StoryGlyphBase","","","",1,[],[],8486,"","",6,"","",1,"",""
266,"Metadata/NPC/Four_Act1/ClearfellPosting3","Notice of Criminality","Metadata/NPC/Info/StoryGlyphBase","","","",1,[],[],-7358,"","",6,"","",1,"",""
267,"Metadata/NPC/Four_Act1/OldForestGlyph1","Count's Sentencing","Metadata/NPC/Info/StoryGlyphBase","","","",1,[],[],20782,"","",6,"","",1,"",""
268,"Metadata/NPC/Four_Act1/RedValeGlyph1","Rusted Grave","Metadata/NPC/Info/StoryGlyphBase","","","",1,[],[],3543,"","",6,"","",1,"",""
269,"Metadata/NPC/Four_Act1/GrimTangleGlyph1","The Way Out","Metadata/NPC/Info/StoryGlyphBase","","","",1,[],[],-13242,"","",6,"","",1,"",""
270,"Metadata/NPC/Four_Act1/GrimTangleGlyph2","The Way Out","Metadata/NPC/Info/StoryGlyphBase","","","",1,[],[],-10200,"","",6,"","",1,"",""
271,"Metadata/NPC/Four_Act1/GrimTangleGlyph3","The Way Out","Metadata/NPC/Info/StoryGlyphBase","","","",1,[],[],-16053,"","",6,"","",1,"",""
272,"Metadata/NPC/Four_Act1/LachlannDroppedLetter1","Mysterious Orders","Metadata/NPC/Info/StoryGlyphBase","","","",1,[],[],-2189,"","",6,"","",1,"",""
273,"Metadata/NPC/Four_Act1/CanopyGlyph1","Notice of Amnesty","Metadata/NPC/Info/StoryGlyphBase","","","",1,[],[],-25827,"","",6,"","",1,"",""
274,"Metadata/NPC/Four_Act1/BurningVillageGlyph1","Lachlann's Letter","Metadata/NPC/Info/StoryGlyphBase","","","",1,[],[],7860,"","",6,"","",1,"",""
275,"Metadata/Monsters/GuillotineExecutioner/GuillotineExecutioner","The Executioner","","","","The Executioner",1,[],[],30241,"","",6,"","",1,"",""
276,"Metadata/Monsters/GuillotineExecutioner/GuillotineExecutionerMap","Incarnation of Death","","","","Incarnation of Death",0,[],[],27147,"","","","","",1,"",""
277,"Metadata/NPC/Four_Act1/ExecutionerFemaleNPCTown","Leitis","Metadata/NPC/Four_Act1/ExecutionerFemaleNPCTown",3353,"","Leitis",1,[257],[258],-4182,"",58,6,"","F",1,"",6
278,"Metadata/NPC/Four_Act1/ExecutionerFemaleNPC","Leitis","Metadata/NPC/Four_Act1/ExecutionerFemaleNPC",3353,"","Leitis",1,[],[],-19136,"",58,6,"","F",1,"",6
279,"Metadata/NPC/Four_Act1/ExecutedMaleNPC","Eamon","Metadata/NPC/Four_Act1/ExecutedMaleNPC","","","Eamon",1,[],[],30041,"","",6,"","M",1,"",7
280,"Metadata/NPC/Four_Act1/ManorGlyph1","Count's Orders","Metadata/NPC/Info/StoryGlyphBase","","","",1,[],[],3504,"","",6,"","",1,"",""
281,"Metadata/NPC/Four_Act1/ManorGlyph2","Count's Decree","Metadata/NPC/Info/StoryGlyphBase","","","",1,[],[],-19388,"","",6,"","",1,"",""
282,"Metadata/NPC/Four_Act1/ManorGlyph3","Brutal Orders","Metadata/NPC/Info/StoryGlyphBase","","","",1,[],[],18397,"","",6,"","",1,"",""
283,"Metadata/NPC/Four_Act1/ManorJournalGlyph1","Geonor's Journal","Metadata/NPC/Info/StoryGlyphBase","","","",1,[],[],23554,"","",6,"","",1,"",""
284,"Metadata/NPC/Four_Act1/ManorJournalGlyph2","Geonor's Journal","Metadata/NPC/Info/StoryGlyphBase","","","",1,[],[],-18072,"","",6,"","",1,"",""
285,"Metadata/NPC/Four_Act1/VillageGlyph1","Count's Decree","Metadata/NPC/Info/StoryGlyphBase","","","",1,[],[],-16665,"","",6,"","",1,"",""
286,"Metadata/Monsters/Gargoyle/GargoyleBoss/GargoyleGlyph","Psalm of Madness","Metadata/Monsters/Gargoyle/GargoyleBoss/GargoyleGlyph","","","",1,[],[],-2823,"","",6,"","",1,"",""
287,"Metadata/NPC/Four_Act1/CountsStudySecretGlyph","Count's Journal","Metadata/NPC/Info/StoryGlyphBase","","","",-1,[],[],-12455,"","",6,"","",1,"",""
288,"Metadata/NPC/Four_Act1/CountsTortureRoomSecretGlyph","Torture Log","Metadata/NPC/Info/StoryGlyphBase","","","",-1,[],[],-30863,"","",6,"","",1,"",""
289,"Metadata/Terrain/Gallows/Act2/2_town/Objects/MapTable","Desert Map","","","","",2,[],[],18168,"","",6,"","",1,"",""
290,"Metadata/NPC/Four_Act2/MarakethTrader","Shambrin","Metadata/NPC/Four_Act2/MarakethTrader",3635,"","Shambrin",2,"[193,194]","[195,196]",22423,"",32,6,13,"F",1,"",10
291,"Metadata/NPC/Four_Act2/MarakethMystic","Zarka","Metadata/NPC/Four_Act2/MarakethMystic",3636,"","Zarka",2,[203],[204],14781,"",33,6,14,"F",1,"",9
292,"Metadata/NPC/Four_Act2/MarakethMysticIntro","Maraketh Tale-Woman","Metadata/NPC/Four_Act2/MarakethMysticIntro",3636,"","Maraketh Tale-Woman",2,[],[],-13770,"",33,6,"","F",1,"",9
293,"Metadata/NPC/Four_Act2/MarakethMysticWalk","Maraketh Wise Woman","Metadata/NPC/Four_Act2/MarakethMysticWalk",3636,"","Zarka",2,[],[],15617,291,33,6,"","F",1,"",9
294,"Metadata/NPC/Four_Act2/MarakethMysticSwamp","Zarka","Metadata/NPC/Four_Act2/MarakethMysticSwamp",3636,"","Zarka",2,[203],[204],7417,"",33,6,14,"F",1,"",9
295,"Metadata/NPC/Four_Act2/MarakethMatriarch","Sekhema Asala","Metadata/NPC/Four_Act2/MarakethMatriarch",3637,"","Asala",2,[],[],-3325,298,34,6,"","F",1,"",8
296,"Metadata/NPC/Four_Act2/MarakethMatriarchWalk","Sekhema Asala","Metadata/NPC/Four_Act2/MarakethMatriarchCouncil",3163,"","Asala",2,[],[],-15081,"",34,6,"","F",1,"",8
297,"Metadata/NPC/Four_Act2/MarakethMatriarchWalkMoving","Sekhema Asala","Metadata/NPC/Four_Act2/MarakethMatriarchWalkMoving","","","Asala",2,[],[],-26241,"",34,6,"","F",1,"",8
298,"Metadata/NPC/Four_Act2/MarakethMatriarchCouncil","Sekhema Asala","Metadata/NPC/Four_Act2/MarakethMatriarchCouncil",3637,"","Asala",2,[197],[198],12127,"",34,6,"","F",1,"",8
299,"Metadata/NPC/Four_Act2/MarakethMatriarchLounge","Sekhema Asala","Metadata/NPC/Four_Act2/MarakethMatriarchCouncil",3637,"","Asala",2,[197],[198],27398,298,34,6,"","F",1,"",8
300,"Metadata/Monsters/NPC/MarakethMatriarchDreadnought","Sekhema Asala","Metadata/Monsters/NPC/MarakethMatriarchGate",3637,"","Asala",2,[],[],11078,"",34,6,"","F",1,"Art/2DArt/UIImages/InGame/PartyMenu/NPCPartyPortraits/NPCPartyPortraitAsala",8
301,"Metadata/Monsters/NPC/MarakethMatriarchGate","Sekhema Asala","Metadata/Monsters/NPC/MarakethMatriarchGate",3637,"","Asala",2,[],[],15675,"",34,6,"","F",1,"Art/2DArt/UIImages/InGame/PartyMenu/NPCPartyPortraits/NPCPartyPortraitAsala",8
302,"Metadata/Monsters/Baron/BaronBossHumanForm","Count Geonor","Metadata/Monsters/Baron/BaronHumanForm","","","",0,[],[],-28726,"",41,6,"","M",1,"",""
303,"Metadata/Monsters/NPC/BitterGuyHuman","Lachlann the Lost","Metadata/Monsters/NPC/BitterGuyHuman","","","Lachlann",1,[183],[186],3326,"",31,6,"","M",1,"",4
304,"Metadata/Monsters/NPC/BitterGuyHuman_Necropolis","Lachlann the Lost","Metadata/Monsters/NPC/BitterGuyHuman_Necropolis","","","Lachlann",1,[],[],9757,"","",6,"","M",1,"",4
305,"Metadata/Monsters/BitterGuy/BitterGuyBoss","Lachlann of Endless Lament","","","","",0,[],[],-9064,"","",6,"","M",1,"",4
306,"Metadata/Monsters/BitterGuy/BitterGuyBossMap","Connal, the Tormented","","","","Connal, the Tormented",0,[],[],5007,"","","","","M",1,"",4
307,"Metadata/Monsters/NPC/EinharHuntingGrounds","Einhar, Beastmaster","Metadata/NPC/NPC","",1,"Einhar",1,[75],[76],-4973,"",25,6,1,"M",1,"",5
308,"Metadata/NPC/Four_Act2/TreasureHunter","Gweinth","Metadata/NPC/Four_Act2/TreasureHunter","","","Gweinth",2,[],[],4345,"","",6,"","",1,"",11
309,"Metadata/NPC/Four_Act2/MarakethCaravanGuard1","[DNT] Maraketh Caravan Guard 1","Metadata/NPC/Four_Act2/MarakethCaravanGuard1","","","[DNT] Maraketh Caravan Guard 1",2,[],[],-4765,"","",6,"","",1,"",""
310,"Metadata/NPC/Four_Act2/MarakethCaravanGuard2","[DNT] Maraketh Caravan Guard 2","Metadata/NPC/Four_Act2/MarakethCaravanGuard2","","","[DNT] Maraketh Caravan Guard 2",2,[],[],6886,"","",6,"","",1,"",""
311,"Metadata/NPC/Four_Act2/HoodedMentorDock","The Hooded One","Metadata/NPC/Four_Act2/HoodedMentorDock",4760,"","The Hooded One",2,[205],[207],21952,"",36,6,"","M",1,"",0
312,"Metadata/NPC/Four_Act2/HoodedMentorCaravan","The Hooded One","Metadata/NPC/Four_Act2/HoodedMentorCaravan","","","The Hooded One",2,[205],[207],19061,"",36,6,"","M",1,"",0
313,"Metadata/NPC/Four_Act2/HoodedMentorReveal","The Hooded One","Metadata/NPC/Four_Act2/HoodedMentorReveal","","","The Hooded One",2,[205],[207],-26057,"",36,6,"","M",1,"",0
314,"Metadata/NPC/Four_Act2/HoodedMentorPostReveal","The Hooded One","Metadata/NPC/Four_Act2/HoodedMentorPostReveal","","","The Hooded One",2,[205],[207],12604,312,36,6,"","M",1,"",0
315,"Metadata/NPC/Four_Act2/WaterGoddess","The Water Goddess","Metadata/NPC/Four_Act2/WaterGoddess","","","The Water Goddess",2,[],[],-15375,"","",6,"","F",1,"",12
316,"Metadata/NPC/Four_Act2/WaterGoddessNamed","Halani, the Water Goddess","Metadata/NPC/Four_Act2/WaterGoddess","","","Halani, the Water Goddess",2,[],[],21577,315,"",6,"","F",1,"",12
