"rownum","Id","Name","Icon","Description","PackLeader1","PackLeader2","Mod"
254,"ParasiteVulture","Infested Vultures","Art/2DArt/UIImages/InGame/Necropolis/Pack Icons/LanternMonsterIconParasiteVulture","Flying bird <white>{Beasts}\r\nAggressively flies towards enemies","","",""
255,"Pitbull2","Vicious Hounds","Art/2DArt/UIImages/InGame/Necropolis/Pack Icons/LanternMonsterIconPitbull","Dog <white>{Demons}\r\nUses Dual Strike","","",""
256,"Pitbull","Pitbulls","Art/2DArt/UIImages/InGame/Necropolis/Pack Icons/LanternMonsterIconPitbull","Dog <white>{Demons}\r\nUses Dual Strike","","",""
257,"PuiTotem","Volcanic Totems","Art/2DArt/UIImages/InGame/Necropolis/Pack Icons/LanternMonsterIconPuiTotem","<craftingfire>{Fire} <white>{Construct}\r\nFires <craftingfire>{Molten} mortars\r\nCrashes into the ground on spawn, leaving <craftingfire>{Burning} Ground","<white>{Pack Leader:}\r\n<white>{Vakali Totem}","<white>{Pack Leader:}\r\n<white>{Vakali Totem}\r\nCasts <craftinglightning>{Lightning Warp}, <craftingcold>{Ice} Spear\r\nSummons totems",""
258,"PusElemental","Pus Elementals","Art/2DArt/UIImages/InGame/Necropolis/Pack Icons/LanternMonsterIconPusElemental","<craftingchaos>{Caustic} <white>{Constructs}","","",""
259,"SnakeFlame","Night Adders","Art/2DArt/UIImages/InGame/Necropolis/Pack Icons/LanternMonsterIconSnakeFlame","Snake <white>{Beasts}\r\nBreathes <craftingfire>{Fire}","<white>{Pack Leaders:}\r\n<white>{Volcanic Golem}\r\n<white>{Rakango}","<white>{Pack Leaders:}\r\n<white>{Volcanic Golem}\r\nFires <craftingfire>{Molten} mortars\r\n<white>{Rakango}\r\nUses Cleave\r\nFires Spikes",""
260,"Taster","Noisome Ophidians","Art/2DArt/UIImages/InGame/Necropolis/Pack Icons/LanternMonsterIconTaster","Ranged <white>{Demons}\r\nFires Tar mortar, creating Tarred Ground","","",""
261,"Vendigo","Vendigos","Art/2DArt/UIImages/InGame/Necropolis/Pack Icons/LanternMonsterIconVendigo","Mountain <white>{Demons}\r\nUses Flicker Strike ","","",""
262,"VollSkeletonMelee","Voll's Fallen","Art/2DArt/UIImages/InGame/Necropolis/Pack Icons/LanternMonsterIconVollSkeletonMelee","<white>{Undead} Skeleton Soldiers","<white>{Pack Leader:}\r\n<white>{Knitted Horror}","<white>{Pack Leader:}\r\n<white>{Knitted Horror}\r\nInflicts <craftingphysical>{Bleeding}\r\nSpawns Voll's Fallen on Death",""
263,"VollSkeletonRanged","Voll's Vanguards","Art/2DArt/UIImages/InGame/Necropolis/Pack Icons/LanternMonsterIconVollSkeletonRanged","Ranged <white>{Undead} Skeletons\r\nUses Tornado Shot","<white>{Pack Leader:}\r\n<white>{Knitted Horror}","<white>{Pack Leader:}\r\n<white>{Knitted Horror}\r\nInflicts <craftingphysical>{Bleeding}\r\nSpawns Voll's Fallen on Death",""
264,"WaterSpiralSewer","Muck Vortexes","Art/2DArt/UIImages/InGame/Necropolis/Pack Icons/LanternMonsterIconWaterSpiral","<craftingcold>{Water} <white>{Constructs}\r\nCasts <craftingcold>{Water} Vortex","","",""
265,"WaterSpiral2","Vortexes","Art/2DArt/UIImages/InGame/Necropolis/Pack Icons/LanternMonsterIconWaterSpiral","<craftingcold>{Water} <white>{Constructs}\r\nCasts <craftingcold>{Water} Vortex","","",""
266,"WaterSpiral","Maelströms","Art/2DArt/UIImages/InGame/Necropolis/Pack Icons/LanternMonsterIconWaterSpiral","<craftingcold>{Water} <white>{Constructs}\r\nCasts <craftingcold>{Water} Vortex","","",""
267,"AnimatedBust","Living Memorials","Art/2DArt/UIImages/InGame/Necropolis/Pack Icons/LanternMonsterIconAnimatedBust","Floating <white>{Constructs}\r\nCharges aggressively towards enemies","","",""
268,"Banshee2","Shrieking Witch","Art/2DArt/UIImages/InGame/Necropolis/Pack Icons/LanternMonsterIconBanshee","Floating <white>{Demons}\r\nScreeches, applying Temporal Chains","","",""
269,"Banshee","Wailing Widows","Art/2DArt/UIImages/InGame/Necropolis/Pack Icons/LanternMonsterIconBanshee","Floating <white>{Demons}\r\nScreeches, applying Temporal Chains","","",""
270,"BlackguardInquisitor","Temple Justicars","Art/2DArt/UIImages/InGame/Necropolis/Pack Icons/LanternMonsterIconBlackguardInquisitor","Templar <white>{Humanoids}","","",""
271,"BlackguardInquisitorExtra","Temple Justicars","Art/2DArt/UIImages/InGame/Necropolis/Pack Icons/LanternMonsterIconBlackguardInquisitor","Templar <white>{Humanoids}","<white>{Pack Leaders:}\r\n<white>{Temple Scholar}\r\n<white>{Blessed Sister}","<white>{Pack Leaders:}\r\n<white>{Temple Scholar}\r\nCasts <craftingfire>{Incinerate}\r\n<white>{Blessed Sister}\r\nCasts <craftingfire>{Fire} Breath, <craftingfire>{Magma} Orb",""
272,"BlackguardTorturer","Truth Extractors","Art/2DArt/UIImages/InGame/Necropolis/Pack Icons/LanternMonsterIconBlackguardTorturer","Templar <white>{Humanoids}\r\nThrows Sawblades that chain off terrain","","",""
273,"BlackSkeletonCaster","Desecrated Saints","Art/2DArt/UIImages/InGame/Necropolis/Pack Icons/LanternMonsterIconBlackSkeletonCaster","Ranged <white>{Undead} Skeletons","<white>{Pack Leaders:} \r\n<white>{Bone Stalker}\r\n<white>{Bone Husk}\r\n<white>{Awoken Giant}","<white>{Pack Leaders:} \r\n<white>{Bone Stalker}\r\nUses Earthquake\r\n<white>{Bone Husk}\r\nFires Bone Mortars, leaving Bone spikes\r\n<white>{Awoken Giant}",""
274,"BlackSkeletonMelee","Brittle Clerics","Art/2DArt/UIImages/InGame/Necropolis/Pack Icons/LanternMonsterIconBlackSkeletonMelee","<white>{Undead} Skeletons","<white>{Pack Leaders:} \r\n<white>{Bone Stalker}\r\n<white>{Bone Husk}\r\n<white>{Awoken Giant}","<white>{Pack Leaders:} \r\n<white>{Bone Stalker}\r\nUses Earthquake\r\n<white>{Bone Husk}\r\nFires Bone Mortars, leaving Bone spikes\r\n<white>{Awoken Giant}",""
275,"GoldSkeletonCaster","Gleaming Saints","Art/2DArt/UIImages/InGame/Necropolis/Pack Icons/LanternMonsterIconGoldSkeletonCaster","Ranged <white>{Undead} Skeletons","","",""
276,"HolyFireElemental2","Solar Elementals","Art/2DArt/UIImages/InGame/Necropolis/Pack Icons/LanternMonsterIconHolyFireElemental","Solaris <white>{Constructs}\r\nCasts <craftingfire>{Fireball} Nova","<white>{Pack Leader:}\r\n<white>{Solar Guard}","<white>{Pack Leader:}\r\n<white>{Solar Guard}\r\nCasts <craftingfire>{Fireball}",""
277,"HolyFireElemental","Prayer Guards","Art/2DArt/UIImages/InGame/Necropolis/Pack Icons/LanternMonsterIconHolyFireElemental","Holy <white>{Constructs}\r\nCasts <craftingfire>{Fireball}","","",""
278,"IndoctrinatedConvert","Indoctrinated Slaves","Art/2DArt/UIImages/InGame/Necropolis/Pack Icons/LanternMonsterIconIndoctrinatedConvert","Enslaved <white>{Humanoids}","","",""
279,"KitavaBlackguardCleric","Crimson Scholars","Art/2DArt/UIImages/InGame/Necropolis/Pack Icons/LanternMonsterIconKitavaBlackguardCleric","Ranged Corrupted <white>{Humanoids}\r\nCasts <craftingfire>{Fireball}","","",""
280,"KitavaBlackguardInquisitor2","Twisted and Depraved Justicars","Art/2DArt/UIImages/InGame/Necropolis/Pack Icons/LanternMonsterIconKitavaBlackguardInquisitor","Corrupted Templar <white>{Humanoids}\r\nUses <craftinglightning>{Static} Strike","","",""
281,"KitavaBlackguardInquisitor","Twisted Justicars","Art/2DArt/UIImages/InGame/Necropolis/Pack Icons/LanternMonsterIconKitavaBlackguardInquisitor","Corrupted Templar <white>{Humanoids}\r\nUses <craftinglightning>{Static} Strike","","",""
282,"KitavaBlessedSister","Sanguine Sisters","Art/2DArt/UIImages/InGame/Necropolis/Pack Icons/LanternMonsterIconKitavaBlessedSister","Ranged Corrupted Templar <white>{Humanoids}\r\nCasts <craftingfire>{Magma} Orb","","",""
283,"KitavaCultistMeleeHerald","Kitava Zealots","Art/2DArt/UIImages/InGame/Necropolis/Pack Icons/LanternMonsterIconKitavaCultistMelee","Corrupted <white>{Humanoids}","<white>{Pack Leader:}\r\n<white>{Kitava's Herald}","<white>{Pack Leader:}\r\n<white>{Kitava's Herald}\r\nUses Leap Slam, Cleave\r\nFires mortars",""
284,"KitavaCultistMelee","Kitava Zealots","Art/2DArt/UIImages/InGame/Necropolis/Pack Icons/LanternMonsterIconKitavaCultistMelee","Corrupted <white>{Humanoids}","","",""
285,"KitavaDemon","Kitava's Heralds","Art/2DArt/UIImages/InGame/Necropolis/Pack Icons/LanternMonsterIconKitavaDemon","Powerful <white>{Demons}\r\nUses Leap Slam, Cleave\r\nFires mortar","","",""
286,"KitavaReligionTemplar","Heretical Wards","Art/2DArt/UIImages/InGame/Necropolis/Pack Icons/LanternMonsterIconKitavaReligionTemplar","Corrupted Templar <white>{Humanoids}\r\nUses Spectral Throw","<white>{Pack Leader:}\r\n<white>{Heretical Guardian}","<white>{Pack Leader:}\r\n<white>{Heretical Guardian}\r\nCasts Proximity Barrier\r\nUses Spectral Throw",""
287,"KitavaSlaveCatcherJudge","Depraved and Deranged Slavers","Art/2DArt/UIImages/InGame/Necropolis/Pack Icons/LanternMonsterIconKitavaSlaveCatcher","Ranged and Melee Corrupted Templar <white>{Humanoids}\r\nFires slowing Nets","<white>{Pack Leader:}\r\n<white>{Heretical Adjudicator}","<white>{Pack Leader:}\r\n<white>{Heretical Adjudicator}\r\nCasts <craftinglightning>{Storm} Call",""
288,"KitavaSlaveCatcher","Depraved and Deranged Slavers","Art/2DArt/UIImages/InGame/Necropolis/Pack Icons/LanternMonsterIconKitavaSlaveCatcher","Ranged and Melee Corrupted Templar <white>{Humanoids}\r\nFires slowing Nets","","",""
289,"KitavaTemplarJudge","Heretical Adjudicators","Art/2DArt/UIImages/InGame/Necropolis/Pack Icons/LanternMonsterIconKitavaTemplarJudge","Corrupted Templar <white>{Humanoids}\r\nCasts <craftinglightning>{Storm} Call ","","",""
290,"MotherofFlames","Flame Mothers","Art/2DArt/UIImages/InGame/Necropolis/Pack Icons/LanternMonsterIconMotherofFlames","Blackguard <white>{Humanoids}\r\nCasts <craftingfire>{Molten} Orb","","",""
291,"RisenSaints","Risen Saints","Art/2DArt/UIImages/InGame/Necropolis/Pack Icons/LanternMonsterIconMeleeSkeleton","<white>{Undead} Skeletons","","",""
292,"OriathBlackguard","Oriath Enforcers","Art/2DArt/UIImages/InGame/Necropolis/Pack Icons/LanternMonsterIconOriathBlackguard","Templar <white>{Humanoids}\r\nUses Sunder","","",""
293,"OriathGhostMelee","Vengeful Souls","Art/2DArt/UIImages/InGame/Necropolis/Pack Icons/LanternMonsterIconOriathGhostMelee","<white>{Undead} Ghosts","","",""
294,"OriathGhostRanged","Desperate Souls","Art/2DArt/UIImages/InGame/Necropolis/Pack Icons/LanternMonsterIconOriathGhostRanged","Ranged <white>{Undead} Ghosts","","",""
295,"Pauper","Restless Paupers","Art/2DArt/UIImages/InGame/Necropolis/Pack Icons/LanternMonsterIconPauper","<white>{Undead} Ghosts","","",""
296,"PurgeHound","Purge Hounds","Art/2DArt/UIImages/InGame/Necropolis/Pack Icons/LanternMonsterIconPurgeHound","Templar <white>{Beasts} \r\nUses Whirling Blades","","",""
297,"ReligionTemplar","Temple Guardians","Art/2DArt/UIImages/InGame/Necropolis/Pack Icons/LanternMonsterIconReligionTemplar","Templar <white>{Humanoids}\r\nCasts Proximity Shield\r\nUses Spectral Throw","","",""
298,"SecretPolice","Blackguard Stalkers","Art/2DArt/UIImages/InGame/Necropolis/Pack Icons/LanternMonsterIconSecretPolice","Ranged and Melee Blackguard <white>{Humanoids}\r\nCasts Ethereal Blades\r\nUses Ambushing Strike","","",""
299,"SkeletonMelee","[DNT] SkeletonMelee","Art/2DArt/UIImages/InGame/Necropolis/Pack Icons/LanternMonsterIconSkeletonMelee","[DNT] These do something...","","",""
300,"SlaveCatcher","Slave Catchers","Art/2DArt/UIImages/InGame/Necropolis/Pack Icons/LanternMonsterIconSlaveCatcher","Blackguard <white>{Humanoids}\r\nFires slowing Nets","","",""
301,"SlaveDriver","Slave Drivers","Art/2DArt/UIImages/InGame/Necropolis/Pack Icons/LanternMonsterIconSlaveDriver","Blackguard <white>{Humanoids}\r\nCasts <craftinglightning>{Lightning} Whip","","",""
302,"TemplarJudge","Temple Adjudicators","Art/2DArt/UIImages/InGame/Necropolis/Pack Icons/LanternMonsterIconTemplarJudge","Templar <white>{Humanoids}\r\nCasts <craftinglightning>{Storm} Call, Ball <craftinglightning>{Lightning}","","",""
303,"TemplarJudgeExtra","Temple Adjudicators","Art/2DArt/UIImages/InGame/Necropolis/Pack Icons/LanternMonsterIconTemplarJudge","Templar <white>{Humanoids}\r\nCasts <craftinglightning>{Storm} Call, Ball <craftinglightning>{Lightning}","<white>{Pack Leaders:}\r\n<white>{Temple Scholar}\r\n<white>{Blessed Sister}","<white>{Pack Leaders:}\r\n<white>{Temple Scholar}\r\nCasts <craftingfire>{Incinerate}\r\n<white>{Blessed Sister}\r\nCasts <craftingfire>{Fire} Breath, <craftingfire>{Magma} Orb",""
304,"BanditAnimalEquipment2","Bandit Acolytes","Art/2DArt/UIImages/InGame/Necropolis/Pack Icons/LanternMonsterIconBanditMelee","Ranged and Melee <white>{Humanoids}\r\nUses Cleave, Shield Charge\r\nUses Split Arrow","","",""
305,"BanditAnimalEquipment3","Ralakesh Bandits","Art/2DArt/UIImages/InGame/Necropolis/Pack Icons/LanternMonsterIconBanditAnimalEquipment","Ranged and Melee <white>{Humanoids}\r\nUses Heavy Strike, Cleave, Reave, Shield Charge\r\nUses Split Arrow","","",""
306,"BanditAnimalEquipment5","Heartless Deserters","Art/2DArt/UIImages/InGame/Necropolis/Pack Icons/LanternMonsterIconOakBanditRanged","<white>{Humanoid} Bandits\r\nUses Puncture","","",""
307,"BanditAnimalEquipment4","Treacherous Deserters","Art/2DArt/UIImages/InGame/Necropolis/Pack Icons/LanternMonsterIconOakBanditRanged","Ranged <white>{Humanoid} Bandits","","",""
308,"BanditAnimalEquipment","Bandit Acolytes","Art/2DArt/UIImages/InGame/Necropolis/Pack Icons/LanternMonsterIconBanditAnimalEquipment","Ranged and Melee <white>{Humanoids}\r\nUses Heavy Strike, Cleave, Reave, Shield Charge\r\nUses Split Arrow","","",""
309,"CageSpider2","Sandworn Slaves","Art/2DArt/UIImages/InGame/Necropolis/Pack Icons/LanternMonsterIconCageSpider","Large <white>{Undead} Skeletons\r\nUses Cyclone, triggering Sand Tornadoes","","",""
310,"CageSpider","Rattling Condemned","Art/2DArt/UIImages/InGame/Necropolis/Pack Icons/LanternMonsterIconCageSpider","Large <white>{Undead} Skeletons\r\nUses Cyclone","","",""
311,"CrabParasite2","Infested Crabs","Art/2DArt/UIImages/InGame/Necropolis/Pack Icons/LanternMonsterIconCrabParasite","Infested Crab <white>{Beasts}","","",""
312,"CrabParasite","Savage Crabs","Art/2DArt/UIImages/InGame/Necropolis/Pack Icons/LanternMonsterIconCrabParasite","Crab <white>{Beasts}","","",""
313,"FrogParasite","Infested Maws","Art/2DArt/UIImages/InGame/Necropolis/Pack Icons/LanternMonsterIconFrogParasite","Leaping infested <white>{Beasts}\r\nUses Leap Slam\r\nSpawns Parasite on death","","",""
314,"FrogParasite2","Infested Maws","Art/2DArt/UIImages/InGame/Necropolis/Pack Icons/LanternMonsterIconFrogParasite","Leaping infested <white>{Beasts}\r\nUses Leap Slam\r\nSpawns Parasite on death","","",""
315,"HairySpiderParasite","Enraptured Arachnids","Art/2DArt/UIImages/InGame/Necropolis/Pack Icons/LanternMonsterIconHairySpiderParasite","Infested Spider <white>{Beasts}\r\nSpawns Parasite on death","","",""
316,"HellionParasite","Enslaved Hellions","Art/2DArt/UIImages/InGame/Necropolis/Pack Icons/LanternMonsterIconHellionParasite","Infested Hellion <white>{Beasts}\r\nReleases <craftingchaos>{Caustic} ground on death","","",""
317,"KaomArcher","Tukohama Scouts","Art/2DArt/UIImages/InGame/Necropolis/Pack Icons/LanternMonsterIconKaomArcher","Ranged Kaom <white>{Demons}\r\nUses <craftingcold>{Cold} Blast Rain","","",""
318,"KaomWarrior","Tukohama Warriors","Art/2DArt/UIImages/InGame/Necropolis/Pack Icons/LanternMonsterIconKaomWarrior","Kaom <white>{Demons}\r\nUses Groundslam\r\nSummons <craftingfire>{Scorching} Ray totems","","",""
319,"SandspitterCold","Crustacean Snipers","Art/2DArt/UIImages/InGame/Necropolis/Pack Icons/LanternMonsterIconSandspitter","<craftingcold>{Cold} Ranged <white>{Beasts}","","",""
320,"MonkeyChiefParasite","Infested Apes","Art/2DArt/UIImages/InGame/Necropolis/Pack Icons/LanternMonsterIconMonkeyChiefParasite","Infested Monkey <white>{Beasts}\r\nSpawns Parasite on death","","",""
321,"MonkeyParasite","Infested Apes","Art/2DArt/UIImages/InGame/Necropolis/Pack Icons/LanternMonsterIconMonkeyParasite","Infested Small Monkey <white>{Beasts}\r\nSpawns Parasite on death","<white>{Pack Leader:}\r\n<white>{Host Chieftain}","<white>{Pack Leader:}\r\n<white>{Host Chieftain}\r\nEnrages nearby allies, granting Power Charges\r\nReleases Parasites on death",""
322,"OriathanCitizenZombieKitava","Experimented Dead","Art/2DArt/UIImages/InGame/Necropolis/Pack Icons/LanternMonsterIconOriathanCitizenZombie","Slow <white>{Undead} Zombies\r\nLaunches mortars on death","","",""
323,"OriathanCitizenZombie","Noble Dead","Art/2DArt/UIImages/InGame/Necropolis/Pack Icons/LanternMonsterIconOriathanCitizenZombie","Slow <white>{Undead} Zombies\r\nLaunches mortars on death","","",""
324,"Parasite2","Ravenous Parasites","Art/2DArt/UIImages/InGame/Necropolis/Pack Icons/LanternMonsterIconParasite","Parasitic <white>{Beasts}\r\nInflicts <craftingchaos>{Poison} on hit","","",""
325,"Parasite","Parasites","Art/2DArt/UIImages/InGame/Necropolis/Pack Icons/LanternMonsterIconParasite","Ranged and Melee Parasitic <white>{Beasts}","","",""
326,"RhoaParasite","Infested Rhoas","Art/2DArt/UIImages/InGame/Necropolis/Pack Icons/LanternMonsterIconRhoaParasite","Infested Flightless bird <white>{Beasts}\r\nCharges aggressively at enemies\r\nReleases Parasites on death","","",""
327,"RockGolemCoral","Animated Reefs","Art/2DArt/UIImages/InGame/Necropolis/Pack Icons/LanternMonsterIconRockGolemCoral","Rocky <white>{Constructs}\r\nUses Ground Slam","","",""
328,"SnakeSpitParasite","Host Cobras","Art/2DArt/UIImages/InGame/Necropolis/Pack Icons/LanternMonsterIconSnakeSpitParasite","Ranged infested <craftingchaos>{Caustic} Snake <white>{Beasts}\r\nReleases Parasites on death","","",""
329,"SquidParasite2","Swarthy Molluscs","Art/2DArt/UIImages/InGame/Necropolis/Pack Icons/LanternMonsterIconSquidParasite","Parasitic <white>{Beasts}\r\nTeleports, Creating Tarred Ground","","",""
330,"SquidParasite","Brine Vassals","Art/2DArt/UIImages/InGame/Necropolis/Pack Icons/LanternMonsterIconSquidParasite","Parasitic <white>{Beasts}\r\nCreates Tarred Ground","","",""
331,"DropBearParasite2","Infested Tunnelfiends","Art/2DArt/UIImages/InGame/Necropolis/Pack Icons/LanternMonsterIconDropBearParasite","<white>{Beasts}\r\nOften drops on unsuspecting enemies\r\nSpawns Parasites on death","","",""
332,"DropBearParasite","Infected Ursae","Art/2DArt/UIImages/InGame/Necropolis/Pack Icons/LanternMonsterIconDropBearParasite","Infected <white>{Beasts}\r\nOften drops from above onto unsuspecting enemies","","",""
333,"GhostCaster","Spectral Mages","Art/2DArt/UIImages/InGame/Necropolis/Pack Icons/LanternMonsterIconGhostCaster","Ranged and Melee <white>{Undead} Ghosts\r\nCasts <craftingcold>{Ice} Nova","","",""
334,"PoisonGolem","Volatile Poison ","Art/2DArt/UIImages/InGame/Necropolis/Pack Icons/LanternMonsterIconPoisonGolem","<craftingchaos>{Caustic} <white>{Constructs}\r\nThrows <craftingchaos>{Caustic} Bombs","","",""
335,"RubbleGolem","Rubble Golems","Art/2DArt/UIImages/InGame/Necropolis/Pack Icons/LanternMonsterIconRubbleGolem","Rocky <white>{Constructs}\r\nRolls aggressively towards enemies","","",""
336,"SkeletonCasterFireVaal","Vaal Arsonists","Art/2DArt/UIImages/InGame/Necropolis/Pack Icons/LanternMonsterIconSkeletonCasterFireVaal","<craftingfire>{Fire} <white>{Constructs}","","",""
337,"SkeletonKnightLargeVaal","Vaal Gargantuans","Art/2DArt/UIImages/InGame/Necropolis/Pack Icons/LanternMonsterIconSkeletonKnightLargeVaal","<white>{Constructs}\r\nUses Elemental Hit","","",""
338,"SkeletonKnightVaalCold","Vaal Frost Guardians","Art/2DArt/UIImages/InGame/Necropolis/Pack Icons/LanternMonsterIconSkeletonKnightVaal","<craftingcold>{Cold} <white>{Constructs}","","",""
339,"SkeletonKnightVaal","Vaal Fallen","Art/2DArt/UIImages/InGame/Necropolis/Pack Icons/LanternMonsterIconSkeletonKnightVaal","<white>{Constructs}\r\nUses Elemental Hit","","",""
340,"SkeletonMeleeColdVaal","[DNT] SkeletonMeleeColdVaal","Art/2DArt/UIImages/InGame/Necropolis/Pack Icons/LanternMonsterIconSkeletonMeleeColdVaal","[DNT] These do something...","","",""
341,"SkeletonRangedVaal","Vaal Slayers","Art/2DArt/UIImages/InGame/Necropolis/Pack Icons/LanternMonsterIconSkeletonRangedVaal","Ranged <white>{Constructs}\r\nUses Elemental Hit","","",""
342,"SnakeFlameParasite","Host Adders","Art/2DArt/UIImages/InGame/Necropolis/Pack Icons/LanternMonsterIconSnakeFlameParasite","Infested Snake <white>{Beasts}\r\nCasts <craftingfire>{Flame} Breath","","",""
343,"SpiderPlague2","Diseased Arachnids","Art/2DArt/UIImages/InGame/Necropolis/Pack Icons/LanternMonsterIconSpiderPlague","Spider <white>{Beasts}","","",""
344,"Spidermali","Maligaro's Inspiration","Art/2DArt/UIImages/InGame/Necropolis/Pack Icons/LanternMonsterIconHairySpider","Spider <white>{Beasts}\r\nInflicts <craftingchaos>{Poison} on hit","<white>{Pack Leader:} \r\n<white>{Maligaro's Muse}","<white>{Pack Leader:} \r\n<white>{Maligaro's Muse}\r\nCasts <craftingchaos>{Chaos} Ball, leaving <craftingchaos>{Caustic} Ground",""
345,"SpiderPlague","Plagued Arachnids","Art/2DArt/UIImages/InGame/Necropolis/Pack Icons/LanternMonsterIconSpiderPlague","Spider <white>{Beasts}","","",""
346,"SpiderPlated","Hybrid Arachnids","Art/2DArt/UIImages/InGame/Necropolis/Pack Icons/LanternMonsterIconSpiderPlated","Scorpion <white>{Beasts}","<white>{Pack Leader:}\r\n<white>{Scalding Arachnid}","<white>{Pack Leader:}\r\n<white>{Scalding Arachnid}\r\nCasts Skittering <craftingfire>{Flames}",""
347,"SpiderPlatedFire","Scalding Arachnids","Art/2DArt/UIImages/InGame/Necropolis/Pack Icons/LanternMonsterIconSpiderPlatedFire","Scorpion <white>{Beasts}\r\nCasts Skittering <craftingfire>{Flames}","","",""
348,"StatueMeleeFemale","Idolised Saints","Art/2DArt/UIImages/InGame/Necropolis/Pack Icons/LanternMonsterIconStatueMeleeFemale","Statue <white>{Constructs}\r\nExplodes on death, leaving <craftingfire>{Burning} Ground","","",""
349,"StatueMeleeMale","Idolised Saints","Art/2DArt/UIImages/InGame/Necropolis/Pack Icons/LanternMonsterIconStatueMeleeMale","Statue <white>{Constructs}\r\nExplodes on death, leaving <craftingfire>{Burning} Ground","","",""
350,"StatueRangedFemale","Ranged Idolised Saints","Art/2DArt/UIImages/InGame/Necropolis/Pack Icons/LanternMonsterIconStatueRangedFemale","Ranged Statue <white>{Constructs}\r\nExplodes on death, leaving <craftingfire>{Burning} Ground","","",""
351,"Wraith","Wraiths","Art/2DArt/UIImages/InGame/Necropolis/Pack Icons/LanternMonsterIconWraith","<white>{Undead}\r\nCasts Ethereal Knives","","",""
352,"ChromeGargoyle","Chromatic Gargoyles","Art/2DArt/UIImages/InGame/Necropolis/Pack Icons/LanternMonsterIconChromeGargoyle","Gargoyle <white>{Constructs}\r\nReleases Silver Orb on Death","","",""
353,"CityStalkerArmouredBlueNoSnap","Undying Initiates","Art/2DArt/UIImages/InGame/Necropolis/Pack Icons/LanternMonsterIconCityStalkerArmouredBlue","Undying <white>{Demons}","","",""
354,"CityStalkerArmouredBlueSnap","Undying Patrician","Art/2DArt/UIImages/InGame/Necropolis/Pack Icons/LanternMonsterIconCityStalkerArmouredBlue","Undying <white>{Demons}\r\nUses <craftingcold>{Cold} Snap","","",""
355,"CityStalkerArmouredBlueSwa","Undying Degenerates","Art/2DArt/UIImages/InGame/Necropolis/Pack Icons/LanternMonsterIconCityStalkerCold","Undying <white>{Demons}\r\nUses <craftingcold>{Freezing} Pulse","","",""
356,"CityStalkerArmouredBlue","Stinking Undying","Art/2DArt/UIImages/InGame/Necropolis/Pack Icons/LanternMonsterIconCityStalkerCold","Undying <white>{Demons}","","",""
357,"CityStalkerTar","Undying Dregs","Art/2DArt/UIImages/InGame/Necropolis/Pack Icons/LanternMonsterIconCityStalkerTar","Undying <white>{Demons}\r\nCreates Tarred Ground","","",""
358,"DemonLunaris","[DNT] DemonLunaris","Art/2DArt/UIImages/InGame/Necropolis/Pack Icons/LanternMonsterIconDemonLunaris","[DNT] These do something...","","",""
359,"DockworkerChampion","[DNT] DockworkerChampion","Art/2DArt/UIImages/InGame/Necropolis/Pack Icons/LanternMonsterIconDockworkerChampion","[DNT] These do something...","","",""
360,"FarmerSkeleton","Brittle Farmers","Art/2DArt/UIImages/InGame/Necropolis/Pack Icons/LanternMonsterIconFarmerSkeleton","<white>{Undead} Farmer Skeletons","","",""
361,"GemFrogChrome","Chrome-Infused Croakers","Art/2DArt/UIImages/InGame/Necropolis/Pack Icons/LanternMonsterIconGemFrogChrome","Leaping <white>{Beasts}\r\nCasts <craftingcold>{Arctic} Breath\r\nUses Leap Slam","","",""
362,"GhostHeroCaster","[DNT] GhostHeroCaster","Art/2DArt/UIImages/InGame/Necropolis/Pack Icons/LanternMonsterIconGhostHeroCaster","[DNT] These do something...","","",""
363,"GhostHeroMelee","Spectral Soldiers","Art/2DArt/UIImages/InGame/Necropolis/Pack Icons/LanternMonsterIconGhostHeroMelee","<white>{Undead} Ghosts\r\nUses Spectral Throw","<white>{Pack Leader:}\r\n<white>{Spectral Tactician}","<white>{Pack Leader:}\r\n<white>{Spectral Tactician}\r\nSummons Raging Spirits, Ghost Orbs",""
364,"IguanaChrome","Chrome-Infused Chimerals","Art/2DArt/UIImages/InGame/Necropolis/Pack Icons/LanternMonsterIconIguanaChrome","Ranged <white>{Beasts}\r\nFires barrage of spines, inflicting Suppressing Fire","","",""
365,"LunarisCannibalFemale","Lunaris Zealots","Art/2DArt/UIImages/InGame/Necropolis/Pack Icons/LanternMonsterIconLunarisCannibalFemale","Lunaris <white>{Humanoids}","<white>{Pack Leader:}\r\n<white>{Lunaris Devotee}","<white>{Pack Leader:}\r\n<white>{Lunaris Devotee}\r\nCasts <craftingcold>{Ice} Storm, <craftingcold>{Ice} Bomb\r\nSummons Brittle Ice",""
366,"LunarisCannibalMale","[DNT] LunarisCannibalMale","Art/2DArt/UIImages/InGame/Necropolis/Pack Icons/LanternMonsterIconLunarisCannibalMale","[DNT] These do something...","","",""
367,"LunarisDemonRanged","[DNT] LunarisDemonRanged","Art/2DArt/UIImages/InGame/Necropolis/Pack Icons/LanternMonsterIconLunarisDemonRanged","[DNT] These do something...","","",""
