"rownum","Id","Name","Act","IsTown","HasWaypoint","Connections_WorldAreasKeys","AreaLevel","HASH16","i32","i32","LoadingScreen_DDSFile","i32","[i32]","i32","TopologiesKeys","ParentTown_WorldAreasKey","i32","i32","i32","Bosses_MonsterVarietiesKeys","Monsters_MonsterVarietiesKeys","SpawnWeight_TagsKeys","SpawnWeight_Values","IsMapArea","FullClear_AchievementItemsKeys","rid","i32","AchievementItemsKey","ModsKeys","i32","i32","VaalArea_WorldAreasKeys","VaalArea_SpawnChance","Strongbox_SpawnChance","Strongbox_MaxCount","Strongbox_RarityWeight","bool","i32","MaxLevel","AreaType_TagsKeys","i32","i32","IsHideout","i32","i32","i32","i32","Inflection","i32","i32","i32","TagsKeys","IsVaalArea","i32","i32","i32","IsLabyrinthAirlock","IsLabyrinthArea","TwinnedFullClear_AchievementItemsKey","Enter_AchievementItemsKey","i32","i32","i32","TSIFile","rid","i32","i32","i32","WaypointActivation_AchievementItemsKeys","IsUniqueMapArea","IsLabyrinthBossArea","i32","i32","FirstEntry_NPCTextAudioKey","FirstEntry_SoundEffectsKey","FirstEntry_NPCsKey","i32","i32","i32","i32","i32","i32","EnvironmentsKey","i32","i32","i32","i32","i32","rid","i32","i32","i32","i32","i32","bool","i32","bool","i32","i32","i32","i32","i32","i32","MetamorphChance","DeliriumChance","HarvestChance","HeistChance","RitualChance","[rid]","UltimatumChance","ExpeditionChance"
126,"2_8_9","The Grain Gate",8,"",1,"[125,127]",57,21356,12,9,"Art/Textures/Interface/LoadingImages/Act3.dds",1417,[1424],6,"[343,344,345]",116,480,2565,2565,"[4049,4049,4053,4053,4057,4057,4061]",[],[],[],"",[],"",20,"",[],0,12,"[185,180]",18,30,2,"[50,50,50,1]","",100,100,[104],24,15,"",30,12,10,10,"",7000,3500,30,"[169,339,353,374,379]","",80,20,20,"","","","",80,20,20,"","",23,10,0,[],"","",13,10,"","","",0,0,72,15,2,5,243,60,15,10,0,0,"",20,20,20,0,0,"",100,1,41,0,0,0,0,0,0,13,0,12,0,[],100,100
127,"2_8_10","The Imperial Fields",8,"",1,"[126,129]",58,34965,12,9,"Art/Textures/Interface/LoadingImages/Act3.dds",1418,[1424],6,"[346,347,348,349]",116,480,2565,2565,[744],[],[],[],"",[],"",20,"",[],0,12,"[185,173]",18,30,2,"[50,50,50,1]","",100,100,[104],24,15,"",30,12,10,10,"",7000,3500,30,"[169,339,368,362,364]","",80,20,20,"","","","",80,20,20,"","",23,10,0,[],"","",13,10,"","","",0,0,72,15,2,5,244,60,15,10,0,0,"",20,20,20,0,0,"",100,1,41,0,0,0,0,0,0,13,0,12,0,[],100,100
128,"2_8_11","The Solaris Concourse",8,"",1,"[129,131,131]",58,42373,12,9,"Art/Textures/Interface/LoadingImages/Act3.dds",1419,[1424],6,"[350,351,352,353,354,355]",116,480,2565,2565,[1177],"[1472,1473,1476,1535,1537,1541,1542]",[],[],"",[],"",20,"",[],0,12,[185],18,30,2,"[50,50,50,1]","",100,100,[105],16,15,"",30,12,10,10,"",7000,3500,30,"[169,374,396]","",80,20,20,"","","","",80,20,20,"","",23,10,0,[],"","",13,10,"","","",0,0,72,15,2,5,246,60,15,10,0,0,"",0,20,20,0,0,"",100,1,41,0,0,0,0,0,0,13,0,12,0,[],100,100
129,"2_8_12_1","The Solaris Temple Level 1",8,"",1,"[127,128,130]",59,9792,12,9,"Art/Textures/Interface/LoadingImages/Act3.dds",1420,[1424],6,"[356,357,358,359]",116,480,2565,2565,[],"[1497,1499,1501,1557,1559,1563,1565]",[],[],"",[],"",20,"",[],0,12,[182],18,30,2,"[50,50,50,1]","",100,100,[108],16,15,"",30,12,10,10,"",6000,3500,30,"[61,307,360]","",80,20,0,"","","","",80,20,20,"","",23,10,0,[],"","",13,10,"","","",0,0,72,15,2,5,247,60,15,10,0,0,"",0,20,20,0,0,"",100,1,41,0,0,0,0,0,0,13,0,12,0,[],100,100
130,"2_8_12_2","The Solaris Temple Level 2",8,"","",[129],59,25150,12,9,"Art/Textures/Interface/LoadingImages/Act3.dds",1420,[1424],6,"[360,361,362,363]",116,480,2565,2565,[4990],"[1497,1499,1501,1557,1559,1563,1565]",[],[],"",[],"",20,"",[],0,12,[182],18,30,2,"[50,50,50,1]","",100,100,[108],16,15,"",30,12,10,10,"",6000,3500,30,"[61,169,307,360]","",80,20,0,"","","","",80,20,20,"","",23,10,0,[],"","",13,10,"","","",0,0,72,15,2,5,248,60,15,10,0,0,"",0,20,20,0,0,"",100,1,41,0,0,0,0,0,0,13,0,12,0,[],100,100
131,"2_8_13","The Harbour Bridge",8,"","","[122,128,128,132]",60,22455,12,9,"Art/Textures/Interface/LoadingImages/Act3.dds",1421,[1424],6,"[364,365]",116,480,2565,2565,"[4953,4976]","[1472,1473,1476,1535,1537,1541,1542]",[],[],"",[],"",20,"",[],0,12,[183],18,30,2,"[50,50,50,1]","",100,100,[105],16,15,"",30,12,10,10,"",7000,3500,30,"[169,159,158,374]","",80,20,20,"","","","",80,20,20,"","",23,10,0,[],"","",13,10,"","","",0,0,72,15,2,5,252,60,15,10,0,0,"",0,20,20,0,0,"",100,1,41,0,0,0,0,0,0,13,0,12,0,[],100,100
132,"2_9_1","The Blood Aqueduct",9,"",1,"[131,133]",61,35818,12,9,"Art/Textures/Interface/LoadingImages/Act4.dds",1501,[1427],6,[366],116,480,2565,2565,[],[],[],[],"",[],"",20,"",[],0,12,[190],18,30,2,"[50,50,50,1]","",100,100,[109],24,15,"",30,12,10,10,"",7000,3500,30,"[169,307,338,375]","",80,20,0,"","","","",80,20,20,"","",23,10,0,[],"","",13,10,"","","",0,0,72,15,2,5,253,45,15,10,0,0,"",20,20,20,0,0,"",100,1,41,0,0,0,0,0,0,13,0,12,0,[],100,100
133,"2_9_town","Highgate",9,1,1,"[132,134]",67,9203,0,0,"Art/Textures/Interface/LoadingImages/Act4.dds",1502,[1427],32,[367],"",480,2565,2565,[],[],[],[],"",[],"",0,"",[],0,0,[],0,0,0,[],1,0,100,[],0,15,"",0,0,0,0,"",7000,3500,0,[],"",0,0,0,"","","","",0,0,0,"","",0,0,0,[],"","",0,0,"",128,"",0,0,0,0,1,0,254,0,0,0,0,0,"",0,0,0,0,0,"",0,1,41,0,0,0,0,0,0,0,0,0,0,[],0,0
134,"2_9_2","The Descent",9,"","","[133,135]",61,53158,13,10,"Art/Textures/Interface/LoadingImages/Act4.dds",1529,[1427],6,"[368,369,370,371]",133,480,2565,2565,[],[],[],[],"",[],"",20,"",[],0,13,[194],18,30,2,"[50,50,50,1]","",100,100,[67],24,15,"",30,12,10,10,"",6000,3500,30,"[343,402,413]","",80,20,20,"","","","",80,20,20,"","",23,10,0,[],"","",13,10,"","","",0,0,72,15,2,5,255,60,15,10,0,0,"",20,20,20,0,0,"",100,1,41,0,0,0,0,0,0,12,0,11,0,[],100,100
135,"2_9_3","The Vastiri Desert",9,"",1,"[134,136,137]",61,41447,13,10,"Art/Textures/Interface/LoadingImages/Act4.dds",1530,[1427],6,"[372,373,374,375]",133,480,2565,2565,[],[],[],[],"",[],"",20,"",[],0,13,[212],18,30,2,"[50,50,50,1]","",100,100,[90],32,15,"",30,12,10,10,"",6000,3500,30,"[347,398]","",80,20,20,"","","","",80,20,20,"","",23,10,0,[],"","",13,10,"","","",0,0,72,15,2,5,256,60,15,10,0,0,"",20,20,20,20,0,"",100,1,41,0,0,0,0,0,0,12,0,11,0,[],100,100
136,"2_9_4","The Oasis",9,"","",[135],61,9818,13,10,"Art/Textures/Interface/LoadingImages/Act4.dds",1531,[1632],6,"[376,377,378,379]",133,480,2565,2565,"[5491,5494]",[],[],[],"",[],"",20,"",[],0,13,"[212,215]",18,30,2,"[50,50,50,1]","",100,100,[90],32,15,"",30,12,10,10,"",6000,3500,30,"[169,158,347,398]","",80,20,20,"","","","",80,20,20,"","",23,10,0,[],"","",13,10,"","","",0,0,72,15,2,5,258,60,15,10,0,75000,"",20,20,20,20,0,"",100,1,41,0,0,0,0,0,0,12,0,11,0,[],100,100
137,"2_9_5","The Foothills",9,"",1,"[135,138,139]",62,41204,13,10,"Art/Textures/Interface/LoadingImages/Act4.dds",1532,[1427],6,"[380,381,382,383]",133,480,2565,2565,[3754],[],[],[],"",[],"",20,"",[],0,13,[213],18,30,2,"[50,50,50,1]","",100,100,[67],32,15,"",30,12,10,10,"",6000,3500,30,"[338,343,398]","",80,20,20,"","","","",80,20,20,"","",23,10,0,[],"","",13,10,"","","",0,0,72,15,2,5,261,60,15,10,0,65000,"",20,20,20,20,0,"",100,1,41,0,0,0,0,0,0,12,0,11,0,[],100,100
138,"2_9_6","The Boiling Lake",9,"","",[137],62,47522,13,10,"Art/Textures/Interface/LoadingImages/Act4.dds",1533,[1427],6,"[384,385,386,387]",133,480,2565,2565,[5387],[],[],[],"",[],"",20,"",[],0,13,[214],18,30,2,"[50,50,50,1]","",100,100,[90],32,15,"",30,12,10,10,"",6000,3500,30,"[169,347]","",80,20,20,"","","","",80,20,20,"","",23,10,0,[],"","",13,10,"","","",0,0,72,15,2,5,262,60,15,10,0,0,"",20,20,20,20,0,"",100,1,41,0,0,0,0,0,0,12,0,11,0,[],100,100
139,"2_9_7","The Tunnel",9,"",1,"[137,140]",62,9476,13,10,"Art/Textures/Interface/LoadingImages/Act4.dds",1534,[1427],6,"[388,389,390,391]",133,480,2565,2565,[],[],[],[],"",[],"",20,"",[],0,13,[192],18,30,2,"[50,50,50,1]","",100,100,[95],32,15,"",30,12,10,10,"",6000,3500,30,"[61,328,383,397]","",80,20,20,"","","","",80,20,20,"","",23,10,0,[],"","",13,10,"","","",0,0,72,15,2,5,263,60,15,10,0,0,"",20,20,20,20,0,"",100,1,41,0,0,0,0,0,0,12,0,11,0,[],100,100
140,"2_9_8","The Quarry",9,"",1,"[139,141,142]",63,46135,13,10,"Art/Textures/Interface/LoadingImages/Act4.dds",1535,[1427],6,"[392,393,394]",133,480,2565,2565,[5343],[],[],[],"",[],"",20,"",[],0,13,[192],18,30,2,"[50,50,50,1]","",100,100,[67],24,15,"",30,12,10,10,"",6000,3500,30,"[158,383]","",80,20,20,"","","","",80,20,20,"","",23,10,0,[],"","",13,10,"","","",0,0,72,15,2,5,264,60,15,10,0,0,"",0,20,20,20,0,"",100,1,41,0,0,0,0,0,0,12,0,11,0,[],100,100
141,"2_9_9","The Refinery",9,"","",[140],63,49593,13,10,"Art/Textures/Interface/LoadingImages/Act4.dds",1536,[1427],6,"[395,396,397]",133,480,2565,2565,[5439],[],[],[],"",[],"",20,"",[],0,13,[190],18,30,2,"[50,50,50,1]","",100,100,[105],24,15,"",30,12,10,10,"",6000,3500,30,[353],"",80,20,20,"","","","",80,20,20,"","",23,10,0,[],"","",13,10,"","","",0,0,72,15,2,5,268,60,15,10,0,0,"",0,20,20,20,0,"",100,1,41,0,0,0,0,0,0,12,0,11,0,[],100,100
142,"2_9_10_1","The Belly of the Beast",9,"","","[140,143]",63,52348,13,10,"Art/Textures/Interface/LoadingImages/Act4.dds",1537,[1612],6,"[398,399,400,401]",133,480,2565,2565,[5530],[],[],[],"",[],"",20,"",[4440],0,13,[],0,30,2,"[50,50,50,1]","",100,100,[110],24,15,"",30,12,10,10,"",6000,3500,30,"[61,359,406,474]","",80,20,20,"","","","",80,20,20,"","",23,10,0,[],"","",13,10,"","","",0,0,72,15,2,5,269,60,15,10,0,0,"",0,20,20,20,0,"",100,1,41,0,0,0,0,0,0,12,0,11,0,[],100,100
143,"2_9_10_2","The Rotting Core",9,"","","[142,144]",64,26256,13,10,"Art/Textures/Interface/LoadingImages/Act4.dds",1538,[1612],6,[402],133,480,2565,2565,"[5424,5395,5409,5404]",[],[],[],"",[],"",20,"",[],0,13,[],0,30,2,"[50,50,50,1]","",100,100,[110],24,15,"",30,12,10,10,"",6000,3500,30,"[61,158,359,406,407,474]","",80,20,20,"","","","",80,20,20,"","",23,10,0,[],"","",13,10,"","","",0,0,72,15,2,5,270,60,15,10,0,0,"",0,20,20,20,0,"",100,1,41,0,0,0,0,0,0,12,0,11,0,[],100,100
144,"2_10_town","Oriath Docks",10,1,1,"[143,145]",69,38320,0,0,"Art/Textures/Interface/LoadingImages/Act5.dds",1539,[1550],32,[403],"",480,2565,2565,[],[],[],[],"",[],"",0,"",[],0,0,[],0,0,0,[],1,0,100,[],0,15,"",0,0,0,0,"",7000,3000,0,[],"",0,0,0,"","","","",0,0,0,"","",0,0,0,[],"","",0,0,"",129,"",0,0,0,0,1,0,277,0,0,0,0,0,"",0,0,0,0,0,"",0,1,41,0,0,0,0,0,0,0,0,0,0,[],0,0
145,"2_10_1","The Cathedral Rooftop",10,"","","[144,146]",64,4963,14,11,"Art/Textures/Interface/LoadingImages/Act5.dds",1540,[1550],6,[404],144,480,2565,2565,[],[],"[70,0]","[0,1000]","",[],"",20,"",[],0,14,[203],18,30,2,"[50,50,50,1]","",100,100,[103],24,15,"",30,12,10,10,"",6000,3500,30,[307],"",80,20,20,"","","","",80,20,20,"","",23,10,0,[],"","",13,10,"","","",0,0,72,15,2,5,278,60,15,10,0,0,"",0,20,20,20,0,"",100,1,41,0,0,0,0,0,0,11,0,11,0,[],100,100
146,"2_10_2","The Ravaged Square",10,"",1,"[145,147,153,152,149,151]",64,35904,14,11,"Art/Textures/Interface/LoadingImages/Act5.dds",1541,[1550],6,[405],144,480,2565,2565,[4722],[],"[70,0]","[0,1000]","",[],"",20,"",[],0,14,"[196,197]",18,30,2,"[50,50,50,1]","",100,100,[103],24,15,"",30,12,10,10,"",6000,3500,30,"[169,403]","",80,20,20,"","","","",80,20,20,"","",23,10,0,[],"","",13,10,"","","",0,0,72,15,2,5,279,60,15,10,0,0,"",0,20,20,20,0,"",100,1,41,0,0,0,0,0,0,11,0,11,0,[],100,100
147,"2_10_3","The Torched Courts",10,"","","[146,148]",65,7646,14,11,"Art/Textures/Interface/LoadingImages/Act5.dds",1542,[1550],6,"[406,407,408,409]",144,480,2565,2565,[],[],"[70,0]","[0,1000]","",[],"",20,"",[],0,14,[216],18,30,2,"[50,50,50,1]","",100,100,[111],24,15,"",30,12,10,10,"",6000,3500,30,"[61,307,403]","",80,20,20,"","","","",80,20,20,"","",23,10,0,[],"","",13,10,"","","",0,0,72,15,2,5,280,60,15,10,0,0,"",0,20,20,20,0,"",100,1,41,0,0,0,0,0,0,11,0,11,0,[],100,100
148,"2_10_4","The Desecrated Chambers",10,"",1,[147],65,3268,14,11,"Art/Textures/Interface/LoadingImages/Act5.dds",1543,[1550],6,"[410,411,412,413]",144,480,2565,2565,[4835],[],"[70,0]","[0,1000]","",[],"",20,"",[],0,14,[200],18,30,2,"[50,50,50,1]","",100,100,[111],24,15,"",30,12,10,10,"",6000,3500,30,"[61,159,307]","",80,20,20,"","","","",80,20,20,"","",23,10,0,[],"","",13,10,"","","",0,0,72,15,2,5,281,60,15,10,0,0,"",0,20,20,20,0,"",100,1,41,0,0,0,0,0,0,11,0,11,0,[],100,100
149,"2_10_5","The Canals",10,"","","[146,150]",66,61102,14,11,"Art/Textures/Interface/LoadingImages/Act5.dds",1544,[1666],6,"[414,415,416,417]",144,480,2565,2565,[],[],"[70,0]","[0,1000]","",[],"",20,"",[],0,14,"[196,197]",18,30,2,"[50,50,50,1]","",100,100,[103],24,15,"",30,12,10,10,"",6000,3500,30,[169],"",80,20,20,"","","","",80,20,20,"","",23,10,0,[],"","",13,10,"","","",0,0,72,15,2,5,284,60,15,10,0,0,"",0,20,20,20,0,"",100,1,41,0,0,0,0,0,0,11,0,11,0,[],100,100
150,"2_10_6","The Feeding Trough",10,"","","[149,154]",67,10105,14,11,"Art/Textures/Interface/LoadingImages/Act5.dds",1545,[1666],6,"[418,419,420,421]",144,480,2565,2565,[5053],[],"[70,0]","[0,1000]","",[],"",20,"",[],0,14,"[196,197]",18,30,2,"[50,50,50,1]","",100,100,[103],24,15,"",30,12,10,10,"",6000,3500,30,"[169,158,159]","",80,20,20,"","","","",80,20,20,"","",23,10,0,[],"","",13,10,"","","",0,0,72,15,2,5,285,60,15,10,0,0,"",0,20,20,20,0,"",100,1,41,0,0,0,0,0,0,11,0,11,0,[],100,100
151,"2_10_7","The Control Blocks",10,"",1,[146],66,29227,14,11,"Art/Textures/Interface/LoadingImages/Act5.dds",1546,[1550],6,"[422,423,424,425]",144,480,2565,2565,[5865],[],"[70,0]","[0,1000]","",[],"",20,"",[],0,14,[195],18,30,2,"[50,50,50,1]","",100,100,[111],24,15,"",30,12,10,10,"",6000,3500,30,[61],"",80,20,20,"","","","",80,20,20,"","",23,10,0,[],"","",13,10,"","","",0,0,72,15,2,5,286,60,15,10,0,0,"",0,20,20,20,0,"",100,1,41,0,0,0,0,0,0,11,0,11,0,[],100,100
152,"2_10_8","The Reliquary",10,"",1,[146],67,56185,14,11,"Art/Textures/Interface/LoadingImages/Act5.dds",1547,[1550],6,"[426,427,428,429]",144,480,2565,2565,[],[],"[70,0]","[0,1000]","",[],"",20,"",[],0,14,[202],18,30,2,"[50,50,50,1]","",100,100,[103],24,15,"",30,12,10,10,"",6000,3500,30,"[61,307,394,404]","",80,20,20,"","","","",80,20,20,"","",23,10,0,[],"","",13,10,"","","",0,0,72,15,2,5,287,60,15,10,0,0,"",0,20,20,20,0,"",100,1,41,0,0,0,0,0,0,11,0,11,0,[],100,100
153,"2_10_9","The Ossuary",10,"","",[146],67,5778,14,11,"Art/Textures/Interface/LoadingImages/Act5.dds",1548,[1550],6,"[430,431,432,433,434,435]",144,480,2565,2565,[],[],"[70,0]","[0,1000]","",[],"",20,"",[],0,14,[201],18,30,2,"[50,50,50,1]","",100,100,[103],24,15,"",30,12,10,10,"",6000,3500,30,"[61,307,369,404]","",80,20,20,"","","","",80,20,20,"","",23,10,0,[],"","",13,10,"","","",0,0,72,15,2,5,288,60,15,10,0,0,"",0,20,20,20,0,"",100,1,41,0,0,0,0,0,0,0,0,11,0,[],100,100
154,"2_11_town","Oriath",11,1,1,"[150,155,158,160]",69,62848,0,0,"Art/Textures/Interface/LoadingImages/Act5.dds",1549,[60],32,[756],"",480,2565,2565,[],[],[],[],"",[],"",0,"",[],200,0,[],0,0,0,[],1,0,100,[],0,15,"",0,0,0,0,"",7000,3000,0,[],"",0,0,0,"","","","",0,0,0,"","",0,0,0,[],"","",0,0,"",130,"",0,0,0,0,1,0,291,0,0,0,0,0,"",0,0,0,0,0,"",0,1,41,0,0,0,0,0,0,0,0,0,0,[],0,0
155,"2_11_lab","The Templar Laboratory",11,"","",[154],68,23136,0,0,"Art/Textures/Interface/LoadingImages/MapDevice.dds",149,[60],6,[757],154,1800,2565,2565,[],[],"[70,0]","[0,1000]","",[],"",0,"",[],0,0,[],0,0,0,[],"",0,100,[],0,15,"",0,0,0,0,"",6000,2000,0,"[221,571]","",0,0,0,"","","","",0,0,0,"","",0,0,0,[],"","",0,0,"","","",0,0,0,0,5,0,292,0,0,0,0,0,"",0,0,0,0,0,"",0,1,41,0,0,0,0,0,0,0,0,0,0,[],0,0
156,"2_11_lab_trailer","The Templar Laboratory",11,"","",[154],68,16039,0,0,"Art/Textures/Interface/LoadingImages/MapDevice.dds",149,[60],6,[758],154,1800,2565,2565,[],[],"[70,0]","[0,1000]","",[],"",0,"",[],0,0,[],0,0,0,[],"",0,100,[],0,15,"",0,0,0,0,"",6000,2000,0,"[221,571]","",0,0,0,"","","","",0,0,0,"","",0,0,0,[],"","",0,0,"","","",0,0,0,0,5,0,292,0,0,0,0,0,"",0,0,0,0,0,"",0,1,41,0,0,0,0,0,0,0,0,0,0,[],0,0
157,"2_11_atlas","The Atlas of Worlds",11,"","",[],0,56859,10,10,"Art/Textures/Interface/LoadingImages/MapDevice.dds",2565,[60],6,[],"",900,2565,2565,[],[],[],[],"",[],"",0,"",[],0,0,[],0,0,0,[],"",0,100,[],0,0,"",0,0,0,0,"",10000,5000,0,[],"",0,0,0,"","","","",0,0,0,"","",0,0,0,[],"","",0,0,"","","",0,0,0,0,15,0,"",0,0,0,0,0,"",0,0,0,0,0,"",0,1,41,0,0,0,0,0,0,0,0,0,0,[],0,0
158,"2_11_1","The Fallen Courts",11,"","",[154],68,46677,0,0,"Art/Textures/Interface/LoadingImages/Act5.dds",1901,"[60,1997]",6,[759],154,480,2565,2565,[],[],"[70,0]","[0,1000]","",[],"",0,"",[],0,0,[],0,0,0,[],"",0,100,[103],0,0,"",0,0,0,0,"",6000,3500,0,"[169,403,571]","",0,0,0,"","","","",0,0,0,"","",0,0,0,[],"","",0,0,"","","",0,0,0,0,2,0,294,0,0,0,0,0,"",0,0,0,0,0,"",0,1,41,0,0,0,0,0,0,0,0,0,0,[],0,0
159,"2_11_1_courts","The Fallen Courts",11,"","",[],68,43431,14,11,"Art/Textures/Interface/LoadingImages/Act5.dds",2565,[60],6,"[760,761,762,763]",154,480,2565,2565,[],[],"[70,0]","[0,1000]","",[],"",0,"",[],0,14,[],0,0,0,[],"",0,100,[111],0,0,"",0,0,0,10,"",6000,3500,0,"[61,403,571]","",0,0,0,"","","","",0,0,0,"","",0,0,0,[],"","",0,0,"","","",0,0,0,0,2,0,295,0,0,0,0,28000,"",0,0,0,0,0,"",0,1,41,0,0,0,0,0,0,0,0,0,0,[],0,0
160,"2_11_2","The Haunted Reliquary",11,"","",[154],68,43713,0,0,"Art/Textures/Interface/LoadingImages/Act5.dds",1902,"[60,1998]",6,[764],154,480,2565,2565,[],[],"[70,0]","[0,1000]","",[],"",0,"",[],0,0,[],0,0,0,[],"",0,100,[103],0,0,"",0,0,0,0,"",6000,3500,0,"[169,403,571]","",0,0,0,"","","","",0,0,0,"","",0,0,0,[],"","",0,0,"","","",0,0,0,0,2,0,296,0,0,0,0,0,"",0,0,0,0,0,"",0,1,41,0,0,0,0,0,0,0,0,0,0,[],0,0
161,"2_11_reliquary","The Haunted Reliquary",11,"","",[],68,27669,0,0,"Art/Textures/Interface/LoadingImages/Act5.dds",2565,[60],6,"[765,766]",154,480,2565,2565,[],[],"[70,0]","[0,1000]","",[],"",0,"",[],0,0,[],0,0,0,[],"",0,100,[111],0,0,"",0,0,0,0,"",6000,3500,0,"[61,403,571]","",0,0,0,"","","","",0,0,0,"","",0,0,0,[],"","",0,0,"","","",0,0,0,0,2,0,297,0,0,0,0,0,"",0,0,0,0,0,"",0,1,41,0,0,0,0,0,0,0,0,0,0,[],0,0
162,"2_11_endgame_town","Karui Shores",11,1,1,[],69,46311,10,10,"Art/Textures/Interface/LoadingImages/Act1.dds",1899,"[60,1898]",6,[767],"",480,2565,2565,[],[],[],[],"",[],"",0,"",[],200,0,[],0,0,0,[],1,0,100,[],0,0,"",0,0,0,0,"",7000,3000,0,[],"",0,0,0,"","","","",0,0,0,"","",0,0,0,[],"","",0,0,"",130,"",0,0,0,0,1,0,298,0,0,0,0,0,"",0,0,0,0,0,"",0,1,41,0,0,0,0,0,0,0,0,0,0,[],0,0
163,"3_3_8_4","The Eternal Laboratory",8,"","",[],68,30551,0,0,"Art/Textures/Interface/LoadingImages/MapDevice.dds",149,[60],6,[1074],"",1800,2565,2565,[],[],"[70,0]","[0,1000]","",[],"",0,"",[],0,0,[],0,0,0,[],"",0,100,[],0,15,"",0,0,0,0,"",6000,2000,0,"[221,571]","",0,0,0,"","","","",0,0,0,"","",0,0,0,[],"","",0,0,"","","",0,0,0,0,15,0,434,0,0,0,0,0,"",0,0,0,0,0,"",0,1,41,0,0,0,0,0,0,0,0,0,0,[],0,0
164,"1_SideArea1_1","Strange Sinkhole",1,"","",[],1,3972,7,5,"Art/Textures/Interface/LoadingImages/VaalAreas.dds",2565,[],6,"[772,773,774,775]","",480,2565,2565,[3022],[],"[70,0]","[0,1000]","",[],"",20,"",[],0,4,[],0,16,1,"[50,50,50,1]","",0,100,[],0,15,"",0,0,10,0,"",7000,4000,0,"[61,169]",1,0,0,0,"","","","",0,0,0,"","",11,10,0,[],"","",0,0,"","","",0,0,0,0,8,5,300,0,0,0,0,0,"",0,0,0,0,0,"",0,1,41,0,0,0,0,0,0,0,0,0,0,[],0,0
165,"1_SideArea1_2","Concealed Cavity",1,"","",[],1,42402,7,5,"Art/Textures/Interface/LoadingImages/VaalAreas.dds",2565,[],6,"[776,777,778,779]","",480,2565,2565,[2968],[],"[70,0]","[0,1000]","",[],"",20,"",[],0,4,[],0,16,1,"[50,50,50,1]","",0,100,[],0,15,"",0,0,10,0,"",7000,4000,0,[61],1,0,0,0,"","","","",0,0,0,"","",11,10,0,[],"","",0,0,"","","",0,0,0,0,8,5,301,0,0,0,0,0,"",0,0,0,0,0,"",0,1,41,0,0,0,0,0,0,0,0,0,0,[],0,0
166,"1_SideArea1_3","Sunken Shingle",1,"","",[],1,54132,7,5,"Art/Textures/Interface/LoadingImages/VaalAreas.dds",2565,[],6,"[768,769,770,771]","",480,2565,2565,[3007],[],"[70,0]","[0,1000]","",[],"",20,"",[],0,4,[],0,16,1,"[50,50,50,1]","",0,100,[],0,15,"",0,0,10,0,"",7000,4000,0,"[61,169]",1,0,0,0,"","","","",0,0,0,"","",11,10,0,[],"","",0,0,"","","",0,0,0,0,8,5,299,0,0,0,0,0,"",0,0,0,0,0,"",0,1,41,0,0,0,0,0,0,0,0,0,0,[],0,0
167,"1_SideArea1_4_","Clouded Ridge",1,"","",[],1,11003,7,5,"Art/Textures/Interface/LoadingImages/VaalAreas.dds",2565,[],6,"[782,783]","",480,2565,2565,[2971],[],"[70,0]","[0,1000]","",[],"",20,"",[],0,4,[],0,16,1,"[50,50,50,1]","",0,100,[],0,15,"",0,0,10,0,"",7000,4000,0,[169],1,0,0,0,"","","","",0,0,0,"","",11,10,0,[],"","",0,0,"","","",0,0,0,0,8,5,303,0,0,0,0,0,"",0,0,0,0,0,"",0,1,41,0,0,0,0,0,0,0,0,0,0,[],0,0
168,"1_SideArea1_5","Forgotten Oubliette",1,"","",[],1,5429,7,5,"Art/Textures/Interface/LoadingImages/VaalAreas.dds",2565,[],6,"[784,785,786,787]","",480,2565,2565,[2974],[],"[70,0]","[0,1000]","",[],"",20,"",[],0,4,[],0,16,1,"[50,50,50,1]","",0,100,[],0,15,"",0,0,10,0,"",7000,4000,0,[61],1,0,0,0,"","","","",0,0,0,"","",11,10,0,[],"","",0,0,"","","",0,0,0,0,8,5,304,0,0,0,0,0,"",0,0,0,0,0,"",0,1,41,0,0,0,0,0,0,0,0,0,0,[],0,0
169,"1_SideArea1_6","Remote Gulch",1,"","",[],1,51120,7,5,"Art/Textures/Interface/LoadingImages/VaalAreas.dds",2565,[],6,"[780,781]","",480,2565,2565,[2979],[],"[70,0]","[0,1000]","",[],"",20,"",[],0,4,[],0,16,1,"[50,50,50,1]","",0,100,[],0,15,"",0,0,10,0,"",7000,4000,0,[],1,0,0,0,"","","","",0,0,0,"","",11,10,0,[],"","",0,0,"","","",0,0,0,0,8,5,302,0,0,0,0,0,"",0,0,0,0,0,"",0,1,41,0,0,0,0,0,0,0,0,0,0,[],0,0
170,"1_SideArea2_1","Narrow Ravine",2,"","",[],1,1755,7,5,"Art/Textures/Interface/LoadingImages/VaalAreas.dds",2565,[],6,"[788,789]","",480,2565,2565,[2983],[],"[70,0]","[0,1000]","",[],"",20,"",[],0,10,[],0,16,1,"[50,50,50,1]","",0,100,[],0,15,"",10,0,10,10,"",7000,4000,0,[169],1,0,0,0,"","","","",0,0,0,"","",11,10,0,[],"","",0,0,"","","",0,0,0,0,8,5,305,0,0,0,0,0,"",0,0,0,0,0,"",0,1,41,0,0,0,0,0,0,0,0,0,0,[],0,0
