"rownum","Id","ItemClassesKey","Width","Height","Name","InheritsFrom","DropLevel","FlavourTextKey","Implicit_ModsKeys","SizeOnGround","SoundEffectsKey","NormalPurchase_BaseItemTypesKeys","NormalPurchase_Costs","MagicPurchase_BaseItemTypesKeys","MagicPurchase_Costs","TagsKeys","ModDomainsKey","IsDropDisabled","ItemVisualIdentityKey","i32","VendorRecipe_AchievementItemsKeys","RarePurchase_BaseItemTypesKeys","RarePurchase_Costs","UniquePurchase_BaseItemTypesKeys","UniquePurchase_Costs","Inflection","Equip_AchievementItemsKey","IsCorrupted","Identify_AchievementItemsKeys","ItemThemesKey","IdentifyMagic_AchievementItemsKeys","FragmentBaseItemTypesKey","bool","ItemShopType","rid","rid","bool"
723,"Metadata/Items/MicrotransactionItemEffects/MicrotransactionGloomGloves",40,2,2,"Gloom Gloves","Metadata/Items/Currency/AbstractMicrotransaction",1,"",[],1,34,[],[],[],[],[33],29,1,605,-2075867237,[],[],[],[],[],"","","",[],6,[],"","",9,"","",""
724,"Metadata/Items/MicrotransactionItemEffects/MicrotransactionGloomBody",40,2,2,"Gloom Body Armour","Metadata/Items/Currency/AbstractMicrotransaction",1,"",[],1,34,[],[],[],[],[33],29,1,606,536950339,[],[],[],[],[],"","","",[],6,[],"","",3,"","",""
725,"Metadata/Items/MicrotransactionItemEffects/MicrotransactionDragonHelmet",40,2,2,"Dragon Helmet","Metadata/Items/Currency/AbstractMicrotransaction",1,"",[],1,34,[],[],[],[],[33],29,1,597,1494887906,[],[],[],[],[],"","","",[],7,[],"","",11,"","",""
726,"Metadata/Items/MicrotransactionItemEffects/MicrotransactionDragonBoots",40,2,2,"Dragon Boots","Metadata/Items/Currency/AbstractMicrotransaction",1,"",[],1,34,[],[],[],[],[33],29,1,598,-1434301764,[],[],[],[],[],"","","",[],7,[],"","",4,"","",""
727,"Metadata/Items/MicrotransactionItemEffects/MicrotransactionDragonGloves",40,2,2,"Dragon Gloves","Metadata/Items/Currency/AbstractMicrotransaction",1,"",[],1,34,[],[],[],[],[33],29,1,599,467954056,[],[],[],[],[],"","","",[],7,[],"","",9,"","",""
728,"Metadata/Items/MicrotransactionItemEffects/MicrotransactionDragonBody",40,2,2,"Dragon Body Armour","Metadata/Items/Currency/AbstractMicrotransaction",1,"",[],1,34,[],[],[],[],[33],29,1,600,-1310469457,[],[],[],[],[],"","","",[],7,[],"","",3,"","",""
729,"Metadata/Items/MicrotransactionItemEffects/MicrotransactionDragonMask",40,1,1,"Dragon Mask","Metadata/Items/Currency/AbstractMicrotransaction",1,"",[],1,34,[],[],[],[],[33],29,1,601,-323287308,[],[],[],[],[],"","","",[],7,[],"","",10,"","",""
730,"Metadata/Items/MicrotransactionItemEffects/MicrotransactionDragonSpear",40,2,2,"Dragon Spear","Metadata/Items/Currency/AbstractMicrotransaction",1,"",[],1,34,[],[],[],[],[33],29,1,602,1853057582,[],[],[],[],[],"","","",[],7,[],"","",22,"","",""
731,"Metadata/Items/MicrotransactionItemEffects/MicrotransactionSirenTrident",40,2,2,"Siren Weapon","Metadata/Items/Currency/AbstractMicrotransaction",1,"",[],1,34,[],[],[],[],[33],29,1,607,-491948900,[],[],[],[],[],"","","",[],10,[],"","",22,"","",""
732,"Metadata/Items/MicrotransactionItemEffects/MicrotransactionRadiantHammer",40,2,2,"Radiant Axe","Metadata/Items/Currency/AbstractMicrotransaction",1,"",[],1,34,[],[],[],[],[33],29,1,608,-310257283,[],[],[],[],[],"","","",[],19,[],"","",22,"","",""
733,"Metadata/Items/MicrotransactionItemEffects/MicrotransactionTitanMaul",40,2,2,"Titan Maul","Metadata/Items/Currency/AbstractMicrotransaction",1,"",[],1,34,[],[],[],[],[33],29,1,609,-143213059,[],[],[],[],[],"","","",[],39,[],"","",22,"","",""
734,"Metadata/Items/MicrotransactionItemEffects/MicrotransactionLightningHelmet",40,2,2,"Lightning Helmet","Metadata/Items/Currency/AbstractMicrotransaction",1,"",[],1,34,[],[],[],[],[33],29,1,610,-53526150,[],[],[],[],[],"","","",[],20,[],"","",11,"","",""
735,"Metadata/Items/MicrotransactionItemEffects/MicrotransactionLightningBoots",40,2,2,"Lightning Boots","Metadata/Items/Currency/AbstractMicrotransaction",1,"",[],1,34,[],[],[],[],[33],29,1,611,1532325603,[],[],[],[],[],"","","",[],20,[],"","",4,"","",""
736,"Metadata/Items/MicrotransactionItemEffects/MicrotransactionLightningGloves",40,2,2,"Lightning Gloves","Metadata/Items/Currency/AbstractMicrotransaction",1,"",[],1,34,[],[],[],[],[33],29,1,612,1161219827,[],[],[],[],[],"","","",[],20,[],"","",9,"","",""
737,"Metadata/Items/MicrotransactionItemEffects/MicrotransactionLightningBody",40,2,2,"Lightning Body Armour","Metadata/Items/Currency/AbstractMicrotransaction",1,"",[],1,34,[],[],[],[],[33],29,1,613,-473203525,[],[],[],[],[],"","","",[],20,[],"","",3,"","",""
738,"Metadata/Items/MicrotransactionItemEffects/MicrotransactionBearHelmet",40,2,2,"Bear Helmet","Metadata/Items/Currency/AbstractMicrotransaction",1,"",[],1,34,[],[],[],[],[33],29,1,614,-451274389,[],[],[],[],[],"","","",[],28,[],"","",11,"","",""
739,"Metadata/Items/MicrotransactionItemEffects/MicrotransactionBearBoots",40,2,2,"Bear Boots","Metadata/Items/Currency/AbstractMicrotransaction",1,"",[],1,34,[],[],[],[],[33],29,1,615,-1243801032,[],[],[],[],[],"","","",[],28,[],"","",4,"","",""
740,"Metadata/Items/MicrotransactionItemEffects/MicrotransactionBearGloves",40,2,2,"Bear Gloves","Metadata/Items/Currency/AbstractMicrotransaction",1,"",[],1,34,[],[],[],[],[33],29,1,616,1191084518,[],[],[],[],[],"","","",[],28,[],"","",9,"","",""
741,"Metadata/Items/MicrotransactionItemEffects/MicrotransactionBearBody",40,2,2,"Bear Body Armour","Metadata/Items/Currency/AbstractMicrotransaction",1,"",[],1,34,[],[],[],[],[33],29,1,617,1274449690,[],[],[],[],[],"","","",[],28,[],"","",3,"","",""
742,"Metadata/Items/MicrotransactionSkillEffects/MicrotransactionEtherealPoisonArrow",40,1,1,"Tentacle Caustic Arrow Effect","Metadata/Items/Currency/AbstractMicrotransaction",1,"",[],1,34,[],[],[],[],[33],29,1,618,-1956454237,[],[],[],[],[],"","","",[],25,[],"","",17,"","",""
743,"Metadata/Items/MicrotransactionItemEffects/MicrotransactionArcticWings",40,2,2,"Arctic Wings","Metadata/Items/Currency/AbstractMicrotransaction",1,"",[],1,34,[],[],[],[],[33],29,1,619,175864811,[],[],[],[],[],"","","",[],10,[],"","",2,"","",""
744,"Metadata/Items/MicrotransactionSkillEffects/MicrotransactionEbonySpectralThrow",40,1,1,"Reaper Spectral Throw Effect","Metadata/Items/Currency/AbstractMicrotransaction",1,"",[],1,34,[],[],[],[],[33],29,1,620,-1989791905,[],[],[],[],[],"","","",[],13,[],"","",17,"","",""
745,"Metadata/Items/MicrotransactionCharacterEffects/MicrotransactionMinotaurFrame",40,2,2,"Minotaur Portrait Frame","Metadata/Items/Currency/AbstractMicrotransaction",1,"",[],1,34,[],[],[],[],[33],29,1,621,-296804564,[],[],[],[],[],"","","",[],37,[],"","",18,"","",""
746,"Metadata/Items/MicrotransactionCharacterEffects/MicrotransactionHydraFrame",40,2,2,"Hydra Portrait Frame","Metadata/Items/Currency/AbstractMicrotransaction",1,"",[],1,34,[],[],[],[],[33],29,1,622,598467530,[],[],[],[],[],"","","",[],37,[],"","",18,"","",""
747,"Metadata/Items/MicrotransactionCharacterEffects/MicrotransactionChimeraFrame",40,2,2,"Chimera Portrait Frame","Metadata/Items/Currency/AbstractMicrotransaction",1,"",[],1,34,[],[],[],[],[33],29,1,623,-1721137578,[],[],[],[],[],"","","",[],37,[],"","",18,"","",""
748,"Metadata/Items/MicrotransactionCharacterEffects/MicrotransactionPhoenixFrame",40,2,2,"Phoenix Portrait Frame","Metadata/Items/Currency/AbstractMicrotransaction",1,"",[],1,34,[],[],[],[],[33],29,1,624,1908857712,[],[],[],[],[],"","","",[],37,[],"","",18,"","",""
749,"Metadata/Items/MicrotransactionItemEffects/MicrotransactionLunarisHelmet",40,2,2,"Lunaris Helmet","Metadata/Items/Currency/AbstractMicrotransaction",1,"",[],1,34,[],[],[],[],[33],29,1,625,1590207350,[],[],[],[],[],"","","",[],39,[],"","",11,"","",""
750,"Metadata/Items/MicrotransactionItemEffects/MicrotransactionLunarisBoots",40,2,2,"Lunaris Boots","Metadata/Items/Currency/AbstractMicrotransaction",1,"",[],1,34,[],[],[],[],[33],29,1,626,1725355861,[],[],[],[],[],"","","",[],39,[],"","",4,"","",""
751,"Metadata/Items/MicrotransactionItemEffects/MicrotransactionLunarisGloves",40,2,2,"Lunaris Gloves","Metadata/Items/Currency/AbstractMicrotransaction",1,"",[],1,34,[],[],[],[],[33],29,1,627,-1651769128,[],[],[],[],[],"","","",[],39,[],"","",9,"","",""
752,"Metadata/Items/MicrotransactionItemEffects/MicrotransactionLunarisBody",40,2,2,"Lunaris Body Armour","Metadata/Items/Currency/AbstractMicrotransaction",1,"",[],1,34,[],[],[],[],[33],29,1,628,1029725028,[],[],[],[],[],"","","",[],39,[],"","",3,"","",""
753,"Metadata/Items/MicrotransactionItemEffects/MicrotransactionMinotaurHelmet",40,2,2,"Minotaur Helmet","Metadata/Items/Currency/AbstractMicrotransaction",1,"",[],1,34,[],[],[],[],[33],29,1,629,1978006720,[],[],[],[],[],"","","",[],37,[],"","",11,"","",""
754,"Metadata/Items/MicrotransactionItemEffects/MicrotransactionMinotaurBoots",40,2,2,"Minotaur Boots","Metadata/Items/Currency/AbstractMicrotransaction",1,"",[],1,34,[],[],[],[],[33],29,1,630,-977875162,[],[],[],[],[],"","","",[],37,[],"","",4,"","",""
755,"Metadata/Items/MicrotransactionItemEffects/MicrotransactionMinotaurGloves",40,2,2,"Minotaur Gloves","Metadata/Items/Currency/AbstractMicrotransaction",1,"",[],1,34,[],[],[],[],[33],29,1,631,-797101189,[],[],[],[],[],"","","",[],37,[],"","",9,"","",""
756,"Metadata/Items/MicrotransactionItemEffects/MicrotransactionMinotaurBody",40,2,2,"Minotaur Body Armour","Metadata/Items/Currency/AbstractMicrotransaction",1,"",[],1,34,[],[],[],[],[33],29,1,632,-837434877,[],[],[],[],[],"","","",[],37,[],"","",3,"","",""
757,"Metadata/Items/MicrotransactionItemEffects/MicrotransactionHydraHelmet",40,2,2,"Hydra Helmet","Metadata/Items/Currency/AbstractMicrotransaction",1,"",[],1,34,[],[],[],[],[33],29,1,633,1411306894,[],[],[],[],[],"","","",[],37,[],"","",11,"","",""
758,"Metadata/Items/MicrotransactionItemEffects/MicrotransactionHydraBoots",40,2,2,"Hydra Boots","Metadata/Items/Currency/AbstractMicrotransaction",1,"",[],1,34,[],[],[],[],[33],29,1,634,1282711629,[],[],[],[],[],"","","",[],37,[],"","",4,"","",""
759,"Metadata/Items/MicrotransactionItemEffects/MicrotransactionHydraGloves",40,2,2,"Hydra Gloves","Metadata/Items/Currency/AbstractMicrotransaction",1,"",[],1,34,[],[],[],[],[33],29,1,635,-372101504,[],[],[],[],[],"","","",[],37,[],"","",9,"","",""
760,"Metadata/Items/MicrotransactionItemEffects/MicrotransactionHydraBody",40,2,2,"Hydra Body Armour","Metadata/Items/Currency/AbstractMicrotransaction",1,"",[],1,34,[],[],[],[],[33],29,1,636,-794019612,[],[],[],[],[],"","","",[],37,[],"","",3,"","",""
761,"Metadata/Items/MicrotransactionItemEffects/MicrotransactionChimeraHelmet",40,2,2,"Chimera Helmet","Metadata/Items/Currency/AbstractMicrotransaction",1,"",[],1,34,[],[],[],[],[33],29,1,637,2125953751,[],[],[],[],[],"","","",[],37,[],"","",11,"","",""
762,"Metadata/Items/MicrotransactionItemEffects/MicrotransactionChimeraBoots",40,2,2,"Chimera Boots","Metadata/Items/Currency/AbstractMicrotransaction",1,"",[],1,34,[],[],[],[],[33],29,1,638,-1971307060,[],[],[],[],[],"","","",[],37,[],"","",4,"","",""
763,"Metadata/Items/MicrotransactionItemEffects/MicrotransactionChimeraGloves",40,2,2,"Chimera Gloves","Metadata/Items/Currency/AbstractMicrotransaction",1,"",[],1,34,[],[],[],[],[33],29,1,639,-1680332078,[],[],[],[],[],"","","",[],37,[],"","",9,"","",""
764,"Metadata/Items/MicrotransactionItemEffects/MicrotransactionChimeraBody",40,2,2,"Chimera Body Armour","Metadata/Items/Currency/AbstractMicrotransaction",1,"",[],1,34,[],[],[],[],[33],29,1,640,-368672489,[],[],[],[],[],"","","",[],37,[],"","",3,"","",""
765,"Metadata/Items/MicrotransactionItemEffects/MicrotransactionPhoenixHelmet",40,2,2,"Phoenix Helmet","Metadata/Items/Currency/AbstractMicrotransaction",1,"",[],1,34,[],[],[],[],[33],29,1,641,-260985086,[],[],[],[],[],"","","",[],37,[],"","",11,"","",""
766,"Metadata/Items/MicrotransactionItemEffects/MicrotransactionPhoenixBoots",40,2,2,"Phoenix Boots","Metadata/Items/Currency/AbstractMicrotransaction",1,"",[],1,34,[],[],[],[],[33],29,1,642,226868153,[],[],[],[],[],"","","",[],37,[],"","",4,"","",""
767,"Metadata/Items/MicrotransactionItemEffects/MicrotransactionPhoenixGloves",40,2,2,"Phoenix Gloves","Metadata/Items/Currency/AbstractMicrotransaction",1,"",[],1,34,[],[],[],[],[33],29,1,643,-1881579113,[],[],[],[],[],"","","",[],37,[],"","",9,"","",""
768,"Metadata/Items/MicrotransactionItemEffects/MicrotransactionPhoenixBody",40,2,2,"Phoenix Body Armour","Metadata/Items/Currency/AbstractMicrotransaction",1,"",[],1,34,[],[],[],[],[33],29,1,644,546161555,[],[],[],[],[],"","","",[],37,[],"","",3,"","",""
769,"Metadata/Items/MicrotransactionItemEffects/MicrotransactionMinotaurWeapon",40,1,1,"Minotaur Weapon Effect","Metadata/Items/Currency/AbstractMicrotransaction",1,"",[],1,34,[],[],[],[],[33],29,1,645,510026533,[],[],[],[],[],"","","",[],37,[],"","",21,"","",""
770,"Metadata/Items/MicrotransactionItemEffects/MicrotransactionHydraWeapon",40,1,1,"Hydra Weapon Effect","Metadata/Items/Currency/AbstractMicrotransaction",1,"",[],1,34,[],[],[],[],[33],29,1,646,-1730171320,[],[],[],[],[],"","","",[],37,[],"","",21,"","",""
771,"Metadata/Items/MicrotransactionItemEffects/MicrotransactionChimeraWeapon",40,1,1,"Chimera Weapon Effect","Metadata/Items/Currency/AbstractMicrotransaction",1,"",[],1,34,[],[],[],[],[33],29,1,647,-509190632,[],[],[],[],[],"","","",[],37,[],"","",21,"","",""
772,"Metadata/Items/MicrotransactionItemEffects/MicrotransactionPhoenixWeapon",40,1,1,"Phoenix Weapon Effect","Metadata/Items/Currency/AbstractMicrotransaction",1,"",[],1,34,[],[],[],[],[33],29,1,648,1648993358,[],[],[],[],[],"","","",[],37,[],"","",21,"","",""
773,"Metadata/Items/MicrotransactionItemEffects/MicrotransactionEssenceWings",40,2,2,"Essence Wings","Metadata/Items/Currency/AbstractMicrotransaction",1,"",[],1,34,[],[],[],[],[33],29,1,649,-1857143051,[],[],[],[],[],"","","",[],30,[],"","",2,"","",""
774,"Metadata/Items/MicrotransactionItemEffects/MicrotransactionEssencePortal",40,2,2,"Essence Portal Effect","Metadata/Items/Currency/AbstractMicrotransaction",1,"",[],1,34,[],[],[],[],[33],29,1,650,-1939229080,[],[],[],[],[],"","","",[],30,[],"","",16,"","",""
775,"Metadata/Items/MicrotransactionItemEffects/MicrotransactionEssenceFootprints",40,1,1,"Essence Footprints Effect","Metadata/Items/Currency/AbstractMicrotransaction",1,"",[],1,34,[],[],[],[],[33],29,1,651,-5432620,[],[],[],[],[],"","","",[],30,[],"","",8,"","",""
776,"Metadata/Items/MicrotransactionItemEffects/MicrotransactionCarnageHelmet",40,2,2,"Carnage Helmet","Metadata/Items/Currency/AbstractMicrotransaction",1,"",[],1,34,[],[],[],[],[33],29,1,652,-436046502,[],[],[],[],[],"","","",[],70,[],"","",11,"","",""
777,"Metadata/Items/MicrotransactionItemEffects/MicrotransactionCarnageBoots",40,2,2,"Carnage Boots","Metadata/Items/Currency/AbstractMicrotransaction",1,"",[],1,34,[],[],[],[],[33],29,1,653,470618604,[],[],[],[],[],"","","",[],70,[],"","",4,"","",""
778,"Metadata/Items/MicrotransactionItemEffects/MicrotransactionCarnageGloves",40,2,2,"Carnage Gloves","Metadata/Items/Currency/AbstractMicrotransaction",1,"",[],1,34,[],[],[],[],[33],29,1,654,550465252,[],[],[],[],[],"","","",[],70,[],"","",9,"","",""
779,"Metadata/Items/MicrotransactionItemEffects/MicrotransactionCarnageBody",40,2,2,"Carnage Body Armour","Metadata/Items/Currency/AbstractMicrotransaction",1,"",[],1,34,[],[],[],[],[33],29,1,655,-2075432411,[],[],[],[],[],"","","",[],70,[],"","",3,"","",""
780,"Metadata/Items/MicrotransactionItemEffects/MicrotransactionCarnageShield",40,2,2,"Carnage Shield","Metadata/Items/Currency/AbstractMicrotransaction",1,"",[],1,34,[],[],[],[],[33],29,1,656,-1375510856,[],[],[],[],[],"","","",[],70,[],"","",22,"","",""
781,"Metadata/Items/MicrotransactionItemEffects/MicrotransactionHydraWings",40,2,2,"Hydra Wings","Metadata/Items/Currency/AbstractMicrotransaction",1,"",[],1,34,[],[],[],[],[33],29,1,657,-269057495,[],[],[],[],[],"","","",[],39,[],"","",2,"","",""
782,"Metadata/Items/MicrotransactionItemEffects/MicrotransactionVampiricWings",40,2,2,"Vampiric Wings","Metadata/Items/Currency/AbstractMicrotransaction",1,"",[],1,34,[],[],[],[],[33],29,1,658,-436965175,[],[],[],[],[],"","","",[],13,[],"","",2,"","",""
783,"Metadata/Items/MicrotransactionItemEffects/MicrotransactionBearHoodHelmet",40,2,2,"Bear Hood Helmet","Metadata/Items/Currency/AbstractMicrotransaction",1,"",[],1,34,[],[],[],[],[33],29,1,659,617059794,[],[],[],[],[],"","","",[],28,[],"","",11,"","",""
784,"Metadata/Items/MicrotransactionItemEffects/MicrotransactionBoarHoodHelmet",40,2,2,"Boar Hood Helmet","Metadata/Items/Currency/AbstractMicrotransaction",1,"",[],1,34,[],[],[],[],[33],29,1,660,-1547882436,[],[],[],[],[],"","","",[],28,[],"","",11,"","",""
785,"Metadata/Items/MicrotransactionItemEffects/MicrotransactionStagHoodHelmet",40,2,2,"Stag Hood Helmet","Metadata/Items/Currency/AbstractMicrotransaction",1,"",[],1,34,[],[],[],[],[33],29,1,661,973745029,[],[],[],[],[],"","","",[],28,[],"","",11,"","",""
786,"Metadata/Items/MicrotransactionItemEffects/MicrotransactionCarnageWings",40,2,2,"Carnage Wings","Metadata/Items/Currency/AbstractMicrotransaction",1,"",[],1,34,[],[],[],[],[33],29,1,662,1970973258,[],[],[],[],[],"","","",[],70,[],"","",2,"","",""
787,"Metadata/Items/MicrotransactionItemEffects/MicrotransactionGorePortal",40,2,2,"Gore Portal Effect","Metadata/Items/Currency/AbstractMicrotransaction",1,"",[],1,34,[],[],[],[],[33],29,1,663,204741808,[],[],[],[],[],"","","",[],4,[],"","",16,"","",""
788,"Metadata/Items/MicrotransactionSkillEffects/MicrotransactionRiftWormShockNova",40,1,1,"Rift Worm Shock Nova Effect","Metadata/Items/Currency/AbstractMicrotransaction",1,"",[],1,34,[],[],[],[],[33],29,1,664,-1101447825,[],[],[],[],[],"","","",[],20,[],"","",17,"","",""
789,"Metadata/Items/MicrotransactionItemEffects/MicrotransactionThrasherClawsGloves",40,2,2,"Thrasher Gloves","Metadata/Items/Currency/AbstractMicrotransaction",1,"",[],1,34,[],[],[],[],[33],29,1,665,1902474588,[],[],[],[],[],"","","",[],28,[],"","",9,"","",""
790,"Metadata/Items/MicrotransactionSkillEffects/MicrotransactionBlackholeFrostbolt",40,1,1,"Black Hole Frostbolt Effect","Metadata/Items/Currency/AbstractMicrotransaction",1,"",[],1,34,[],[],[],[],[33],29,1,666,374347604,[],[],[],[],[],"","","",[],23,[],"","",17,"","",""
791,"Metadata/Items/MicrotransactionSkillEffects/MicrotransactionBlackholeVortex",40,1,1,"Black Hole Vortex Effect","Metadata/Items/Currency/AbstractMicrotransaction",1,"",[],1,34,[],[],[],[],[33],29,1,667,-96527392,[],[],[],[],[],"","","",[],23,[],"","",17,"","",""
792,"Metadata/Items/MicrotransactionSkillEffects/MicrotransactionDragonTotem",40,1,1,"Dragon Totem Skin","Metadata/Items/Currency/AbstractMicrotransaction",1,"",[],1,34,[],[],[],[],[33],29,1,668,-418688185,[],[],[],[],[],"","","",[],7,[],"","",17,"","",""
793,"Metadata/Items/MicrotransactionSkillEffects/MicrotransactionDemonHaste",40,1,1,"Imp Aura Effect","Metadata/Items/Currency/AbstractMicrotransaction",1,"",[],1,34,[],[],[],[],[33],29,1,669,-475919684,[],[],[],[],[],"","","",[],5,[],"","",17,"","",""
794,"Metadata/Items/MicrotransactionSkillEffects/MicrotransactionDemonVitality",40,1,1,"Carnage Aura Effect","Metadata/Items/Currency/AbstractMicrotransaction",1,"",[],1,34,[],[],[],[],[33],29,1,670,1521035306,[],[],[],[],[],"","","",[],8,[],"","",17,"","",""
795,"Metadata/Items/MicrotransactionSkillEffects/MicrotransactionDemonPurityOfElements",40,1,1,"Trinity Aura Effect","Metadata/Items/Currency/AbstractMicrotransaction",1,"",[],1,34,[],[],[],[],[33],29,1,671,1745808670,[],[],[],[],[],"","","",[],39,[],"","",17,"","",""
796,"Metadata/Items/MicrotransactionItemEffects/MicrotransactionCelestialFootprints",40,1,1,"Celestial Footprints Effect","Metadata/Items/Currency/AbstractMicrotransaction",1,"",[],1,34,[],[],[],[],[33],29,1,672,-174194440,[],[],[],[],[],"","","",[],23,[],"","",8,"","",""
797,"Metadata/Items/MicrotransactionItemEffects/MicrotransactionDragonWings",40,2,2,"Dragon Banners Back Attachment","Metadata/Items/Currency/AbstractMicrotransaction",1,"",[],1,34,[],[],[],[],[33],29,1,673,-1689508709,[],[],[],[],[],"","","",[],7,[],"","",2,"","",""
798,"Metadata/Items/MicrotransactionSkillEffects/MicrotransactionBloodRavenSummonRagingSpirit",40,1,1,"Blood Raven Raging Spirit Effect","Metadata/Items/Currency/AbstractMicrotransaction",1,"",[],1,34,[],[],[],[],[33],29,1,674,-1817064207,[],[],[],[],[],"","","",[],4,[],"","",17,"","",""
799,"Metadata/Items/MicrotransactionItemEffects/MicrotransactionMarkOfThePhoenixPurple",40,1,1,"Purple Mark of the Phoenix","Metadata/Items/Currency/AbstractMicrotransaction",1,"",[],1,34,[],[],[],[],[33],29,1,675,-469369729,[],[],[],[],[],"","","",[],39,[],"","",10,"","",""
800,"Metadata/Items/MicrotransactionItemEffects/MicrotransactionDemonHandGloves",40,2,2,"Demon Hand Gloves","Metadata/Items/Currency/AbstractMicrotransaction",1,"",[],1,34,[],[],[],[],[33],29,1,676,-514216440,[],[],[],[],[],"","","",[],8,[],"","",9,"","",""
801,"Metadata/Items/MicrotransactionCharacterEffects/MicrotransactionBatSwarm",40,1,1,"Bat Swarm Effect","Metadata/Items/Currency/AbstractMicrotransaction",1,"",[],1,34,[],[],[],[],[33],29,1,677,1992891475,[],[],[],[],[],"","","",[],13,[],"","",1,"","",""
802,"Metadata/Items/MicrotransactionItemEffects/MicrotransactionWuqiWeaponEffect",40,2,3,"WuQi Axe","Metadata/Items/Currency/AbstractMicrotransaction",1,"",[],1,34,[],[],[],[],[33],29,1,678,-1646395271,[],[],[],[],[],"","","",[],39,[],"","",22,"","",""
803,"Metadata/Items/MicrotransactionItemEffects/MicrotransactionDemonicWings",40,2,2,"Demonic Wings","Metadata/Items/Currency/AbstractMicrotransaction",1,"",[],1,34,[],[],[],[],[33],29,1,679,843289092,[],[],[],[],[],"","","",[],8,[],"","",2,"","",""
804,"Metadata/Items/MicrotransactionSkillEffects/MicrotransactionEbonyTornadoShot",40,1,1,"Ebony Tornado Shot","Metadata/Items/Currency/AbstractMicrotransaction",1,"",[],1,34,[],[],[],[],[33],29,1,680,2098041717,[],[],[],[],[],"","","",[],6,[],"","",17,"","",""
805,"Metadata/Items/MicrotransactionItemEffects/MicrotransactionBreachWeapon",40,1,1,"Breach Weapon Effect","Metadata/Items/Currency/AbstractMicrotransaction",1,"",[],1,34,[],[],[],[],[33],29,1,681,-2056322936,[],[],[],[],[],"","","",[],2,[],"","",21,"","",""
806,"Metadata/Items/MicrotransactionItemEffects/MicrotransactionBlackguardCape",40,2,2,"Blackguard Cape","Metadata/Items/Currency/AbstractMicrotransaction",1,"",[],1,34,[],[],[],[],[33],29,1,682,-791433600,[],[],[],[],[],"","","",[],39,[],"","",2,"","",""
807,"Metadata/Items/MicrotransactionItemEffects/MicrotransactionDunShield",40,2,2,"Dun Shield","Metadata/Items/Currency/AbstractMicrotransaction",1,"",[],1,34,[],[],[],[],[33],29,1,683,-1361196857,[],[],[],[],[],"","","",[],39,[],"","",22,"","",""
808,"Metadata/Items/MicrotransactionItemEffects/MicrotransactionHiveBackpack",40,2,2,"Hive Backpack","Metadata/Items/Currency/AbstractMicrotransaction",1,"",[],1,34,[],[],[],[],[33],29,1,684,1862402681,[],[],[],[],[],"","","",[],58,[],"","",2,"","",""
809,"Metadata/Items/MicrotransactionItemEffects/MicrotransactionRaggedBreachCape",40,2,2,"Breachspawn Cloak","Metadata/Items/Currency/AbstractMicrotransaction",1,"",[],1,34,[],[],[],[],[33],29,1,690,1347464060,[],[],[],[],[],"","","",[],2,[],"","",2,"","",""
810,"Metadata/Items/MicrotransactionItemEffects/MicrotransactionGrandBreachCape",40,2,2,"Breachlord Cloak","Metadata/Items/Currency/AbstractMicrotransaction",1,"",[],1,34,[],[],[],[],[33],29,1,691,1483616604,[],[],[],[],[],"","","",[],2,[],"","",2,"","",""
811,"Metadata/Items/MicrotransactionCharacterEffects/MicrotransactionBreachFrame",40,2,2,"Breachspawn Portrait Frame","Metadata/Items/Currency/AbstractMicrotransaction",1,"",[],1,34,[],[],[],[],[33],29,1,685,1746476228,[],[],[],[],[],"","","",[],2,[],"","",18,"","",""
812,"Metadata/Items/MicrotransactionCharacterEffects/MicrotransactionGrandBreachFrame",40,2,2,"Breachlord Portrait Frame","Metadata/Items/Currency/AbstractMicrotransaction",1,"",[],1,34,[],[],[],[],[33],29,1,686,-1425411844,[],[],[],[],[],"","","",[],2,[],"","",18,"","",""
813,"Metadata/Items/MicrotransactionItemEffects/MicrotransactionBreachPortal",40,2,2,"Breach Portal Effect","Metadata/Items/Currency/AbstractMicrotransaction",1,"",[],1,34,[],[],[],[],[33],29,1,687,-379472294,[],[],[],[],[],"","","",[],2,[],"","",16,"","",""
814,"Metadata/Items/MicrotransactionSkillEffects/MicrotransactionArcaneTomeTotem",40,1,1,"Arcane Tome Totem Skin","Metadata/Items/Currency/AbstractMicrotransaction",1,"",[],1,34,[],[],[],[],[33],29,1,688,51629856,[],[],[],[],[],"","","",[],11,[],"","",17,"","",""
815,"Metadata/Items/MicrotransactionItemEffects/MicrotransactionGhostflameBackpack",40,2,2,"Ghostflame Backpack","Metadata/Items/Currency/AbstractMicrotransaction",1,"",[],1,34,[],[],[],[],[33],29,1,689,1246207750,[],[],[],[],[],"","","",[],5,[],"","",2,"","",""
816,"Metadata/Items/MicrotransactionCharacterEffects/MicrotransactionStormcallerCharacterEffect",40,2,2,"Stormcaller Character Effect","Metadata/Items/Currency/AbstractMicrotransaction",1,"",[],1,34,[],[],[],[],[33],29,1,692,666671515,[],[],[],[],[],"","","",[],20,[],"","",5,"","",""
817,"Metadata/Items/MicrotransactionCharacterEffects/MicrotransactionInfernalCharacterEffect",40,2,2,"Infernal Character Effect","Metadata/Items/Currency/AbstractMicrotransaction",1,"",[],1,34,[],[],[],[],[33],29,1,693,958390368,[],[],[],[],[],"","","",[],0,[],"","",5,"","",""
