"rownum","Id","BuffDefinitionsKey","i32","i32","i32","i32","i32","i32","i32","i32","i32","[i32]","rid","f32","bool","[rid]"
243,"BestiaryModTigerSpiritBossMinions",1088,4,0,10150,0,50,2,0,21366,0,[],"",0,1,"[70,84,554,95]"
244,"UniqueNearbyAlliesAreLucky",1150,1,0,3614,0,50,2,0,21494,0,[],"",0,1,[8160]
245,"NearbyEnemiesReducedStunRecoveryUnique__1",1168,1,0,3614,0,60,1,0,21604,0,[],"",0,1,[221]
246,"NearbyEnemiesGrantIncreasedFlaskChargesUnique__1",1169,1,0,3614,0,60,1,0,21724,0,[],"",0,1,[459]
247,"NearbyEnemiesHaveIncreasedChanceToBeCritUnique__1",1171,1,0,3614,0,60,1,0,21846,0,[],"",0,1,[9091]
248,"NearbyEnemiesHaveIncreasedChanceToBeCritUnique__2",1170,1,0,3614,0,60,1,0,21968,0,[],"",0,1,[9087]
249,"NearbyEnemiesHaveReducedAllResistancesUnique__1",1172,1,0,3614,0,60,1,0,22086,0,[],"",0,1,[7675]
250,"DelveHelmetEnemyFireResistanceAura1",1163,1,0,3614,0,60,1,0,22180,0,[],"",0,1,[144]
251,"DelveHelmetEnemyColdResistanceAura1",1164,1,0,3614,0,60,1,0,22274,0,[],"",0,1,[146]
252,"DelveHelmetEnemyLightningResistanceAura1",1165,1,0,3614,0,60,1,0,22378,0,[],"",0,1,[148]
253,"DelveHelmetEnemyPhysicalDamageTakenAura1",1167,1,0,3614,0,60,1,0,22482,0,[],"",0,1,[545]
254,"DelveHelmetEnemyChaosResistanceAura1",1166,1,0,3614,0,60,1,0,22578,0,[],"",0,1,[150]
255,"TriggerFeastOfFleshSkillUnique__1_",1203,1,0,3614,0,0,0,0,22670,0,[],"",0,1,[4956]
256,"TriggerRandomOfferingSkillUnique__1",1203,1,0,3614,0,0,0,0,22760,0,[],"",0,1,[4956]
257,"BetrayalBannerAuraMod",1229,3,0,490,0,24,1,0,22822,0,[],0,0,1,"[24,451,477]"
258,"NearbyEnemiesCannotCritUnique__1",1271,1,0,3614,0,60,1,0,22942,0,[],"",0,1,[694]
259,"NearbyAlliesCannotBeSlowedUnique__1",1272,1,0,3614,0,50,2,0,23036,0,[],"",0,1,[3398]
260,"ElementalAilmentsOnYouInsteadOfAlliesUnique__1",1311,1,0,3614,0,60,1,0,23156,0,[],"",0,1,[9657]
261,"RareMonsterPack",376,0,0,72,0,0,0,0,23210,0,[],1098,0,1,[]
262,"BlightDaemonDeathEPKFireVolatiles_",376,0,0,72,0,0,0,0,23282,0,[],1130,0,1,[]
263,"BlightDaemonDeathEPKColdSnaps",376,0,0,72,0,0,0,0,23344,0,[],1131,0,1,[]
264,"BlightDaemonDeathEPKLightningZaps",376,0,0,72,0,0,0,0,23414,0,[],1132,0,1,[]
265,"BlightDaemonDeathEPKPhysicalBlood_",376,0,0,72,0,0,0,0,23486,0,[],1133,0,1,[]
266,"BlightDaemonDeathEPKChaosGhosts",376,0,0,72,0,0,0,0,23552,0,[],1134,0,1,[]
267,"AtlasCrusaderClericAura",1418,2,0,4620,0,21,1,0,23602,0,[],"",0,1,"[449,659]"
268,"AtlasCrusaderClericAuraSpectre",1418,2,0,4620,0,21,1,0,23702,0,[],"",0,1,"[449,659]"
269,"NearbyEnemiesIncreasedFireColdResistUnique__1_",1438,2,0,4620,0,30,1,0,23834,0,[],"",0,1,"[10359,10360]"
270,"EnemyLightningResistanceAuraInfluence1_",1165,1,0,3614,0,60,1,0,23952,0,[],"",0,1,[148]
271,"EnemyFireResistanceAuraInfluence1",1163,1,0,3614,0,60,1,0,24042,0,[],"",0,1,[144]
272,"EnemyColdResistanceAuraInfluence1__",1164,1,0,3614,0,60,1,0,24136,0,[],"",0,1,[146]
273,"EnemyChaosResistanceAuraInfluence1_",1166,1,0,3614,0,60,1,0,24230,0,[],"",0,1,[150]
274,"NearbyEnemiesAreBlindedInfluence1_",1496,0,0,72,0,35,1,0,24322,0,[9],"",0,1,[]
275,"MonsterAfflictionMagicRandomPackTeleport",376,0,0,72,0,0,0,0,24410,0,[],1271,0,1,[]
276,"MonsterAfflictionMagicRewardLightningBolt",376,0,0,72,0,0,0,0,24496,0,[],1271,0,1,[]
277,"MonsterAfflictionMagicRewardFireSnap",376,0,0,72,0,0,0,0,24572,0,[],1269,0,1,[]
278,"MonsterAfflictionMagicRewardFrostOrbs_",376,0,0,72,0,0,0,0,24652,0,[],1270,0,1,[]
279,"MonsterAfflictionMagicRewardSlamma",376,0,0,72,0,0,0,0,24724,0,[],1272,0,1,[]
280,"MonsterAfflictionMagicRewardSoulMortarOnDeath",376,0,0,72,0,0,0,0,24818,0,[],1266,0,1,[]
281,"MonsterAfflictionMagicRewardSpineCascadeOnDeath",376,0,0,72,0,0,0,0,24916,0,[],1267,0,1,[]
282,"MonsterAfflictionMagicRewardDebuffRecoveryRate__",376,0,0,72,0,0,0,0,25016,0,[],1268,0,1,[]
283,"MonsterAfflictionMagicRewardDebuffActionSpeed",376,0,0,72,0,0,0,0,25110,0,[],1268,0,1,[]
284,"MonsterAfflictionMagicRewardDebuffDamageTaken",376,0,0,72,0,0,0,0,25204,0,[],1268,0,1,[]
285,"MonsterAfflictionMagicRewardDebuffFlaskEffect_",376,0,0,72,0,0,0,0,25300,0,[],1268,0,1,[]
286,"MonsterAfflictionHasDestroyCorpseSummonMonsterDaemon",376,0,0,72,0,0,0,0,25408,0,[],1273,0,1,[]
287,"MonsterAfflictionHasDestroyCorpseProjectileCascadeDaemon",376,0,0,72,0,0,0,0,25524,0,[],1273,0,1,[]
288,"MonsterAfflictionHasDestroyCorpseDegenZoneDaemon",376,0,0,72,0,0,0,0,25624,0,[],1273,0,1,[]
289,"MonsterAfflictionHasTeleportAndExplodeOnDeathDaemon",376,0,0,72,0,0,0,0,25730,0,[],1265,0,1,[]
290,"MonsterAfflictionFlameblastOnDeath",376,0,0,72,0,0,0,0,25802,0,[],1264,0,1,[]
291,"MonsterAfflictionVolatileOnDeath",376,0,0,72,0,0,0,0,25870,0,[],1267,0,1,[]
292,"MonsterAfflictionAnomalyOnDeath",376,0,0,72,0,0,0,0,25936,0,[],1263,0,1,[]
293,"MonsterAfflictionSpawnDemonPackOnDeath__",376,0,0,72,0,0,0,0,26020,0,[],1268,0,1,[]
294,"MonsterAfflictionSpawnDemonPackOnDeathMagic",376,0,0,72,0,0,0,0,26110,0,[],1268,0,1,[]
295,"MonsterAfflictionFirestormOnDeath",376,0,0,72,0,0,0,0,26180,0,[],1267,0,1,[]
296,"ShockedGroundWhileMovingUnique__1_",1532,0,0,72,0,0,0,0,26252,0,[],"",0,1,[]
297,"GrantsUnholyMightUnique__1",286,1,0,3614,0,0,0,0,26308,0,[],"",0,1,[5663]
298,"NearbyEnemiesAreChilledUnique__1",1496,0,0,72,0,30,1,0,26392,0,[1],"",0,1,[]
299,"GainAreaOfEffectPluspercentOnManaSpentUnique__1",1597,0,0,72,0,0,0,0,26494,0,[],"",0,1,[]
300,"UniqueSecretBladeGrantHiddenBlade",1606,0,0,72,0,0,0,0,26564,0,"[500,1]","",0,1,[]
301,"ManaRegenerationAuraUnique__1",1630,1,0,3614,0,75,3,0,26634,0,[],"",0,1,[130]
302,"FortifyEffectCrushed1",1573,1,0,3614,0,0,0,0,26708,0,[],"",0,1,[1038]
303,"FortifyEffectCrushed2_",1573,1,0,3614,0,0,0,0,26772,0,[],"",0,1,[1038]
304,"FortifyEffectCrushed3_",1573,1,0,3614,0,0,0,0,26836,0,[],"",0,1,[1038]
305,"NearbyEnemiesAreBlindedInfluenceMaven",1496,0,0,72,0,35,1,0,26930,0,[9],"",0,1,[]
306,"EnemyPhysicalDamageTakenAuraUberMaven",1167,1,0,3614,0,60,1,0,27012,0,[],"",0,1,[545]
307,"EnemyElementalDamageTakenAuraUberMaven_",1505,1,0,3614,0,60,1,0,27114,0,[],"",0,1,[3504]
308,"EnemyLightningResistanceAuraInfluenceMaven",1165,1,0,3614,0,60,1,0,27222,0,[],"",0,1,[148]
309,"EnemyFireResistanceAuraInfluenceMaven",1163,1,0,3614,0,60,1,0,27320,0,[],"",0,1,[144]
310,"EnemyColdResistanceAuraInfluenceMaven",1164,1,0,3614,0,60,1,0,27418,0,[],"",0,1,[146]
311,"EnemyChaosResistanceAuraInfluenceMaven",1166,1,0,3614,0,60,1,0,27518,0,[],"",0,1,[150]
312,"ScorchedGroundWhileMovingUnique__1",1532,0,0,72,0,0,0,0,27610,0,[1],"",0,1,[]
313,"LocalDisplayYouAndNearbyAlliesHaveIncreasedItemRarityUnique__1",1728,1,0,3614,0,60,3,0,27738,0,[],"",0,1,[153]
314,"MonsterSirusInfluenced",1750,5,0,10280,0,0,0,0,27814,0,[],"",0,1,"[718,177,1910,7156,24]"
315,"UltimatumAcceleratingMonsters",1783,3,0,490,0,0,0,0,27956,0,"[-100,5,0]","",0,1,"[70,216,177]"
316,"UltimatumDaemonGraveyard_",1810,0,0,72,0,28,2,0,28058,0,[],"",0,1,[]
317,"UltimatumDaemonGraveyardRuin",1812,0,0,72,0,28,2,0,28126,0,[],"",0,1,[]
318,"NemesisAlliesTakeNoDamagePulse_",376,0,0,72,0,0,0,0,28200,0,[],1543,0,1,[]
319,"HearbyEnemiesAreHinderedUltimatum_",1498,1,0,3614,0,28,1,0,28272,0,[],476,0,1,[11553]
320,"MonsterChilledAura",1496,0,0,72,0,30,1,0,28332,0,"[15,25]",1584,0,1,[]
321,"ExpeditionDamageTakenLerp",903,3,0,28398,0,0,0,0,28410,0,[],"",7,"",[]
322,"ExpeditionOlrothRighteousFire",13,1,0,28472,0,16,2,0,28476,0,[],1598,0,1,[]
323,"ExpeditionOlrothBlind",175,1,0,772,0,16,2,0,28530,0,[],"",0,1,[]
324,"MonsterTotemAuraSlow1",133,1,0,3614,0,50,1,0,28584,0,[],"",0,1,[177]
325,"MonsterTotemAuraLifeRegen1",88,1,0,3614,0,60,2,0,28660,0,[],"",0,1,[451]
326,"MonsterTotemAuraDamage1",86,1,0,3614,0,60,2,0,28734,0,[],"",0,1,[26]
327,"MonsterTotemAuraSpeed1",87,3,0,490,0,60,2,0,28806,0,[],"",0,1,"[70,216,177]"
328,"MonsterTotemAuraResists1",89,1,0,3614,0,60,2,0,28914,0,[],"",0,1,[141]
329,"MonsterTotemAuraEnemyLifeDegen1",93,1,0,3614,0,60,1,0,29004,0,[],"",0,1,[452]
330,"MonsterTotemAuraEvasion1",177,1,0,3614,0,60,2,0,29076,0,[],"",0,1,[119]
331,"MonsterTotemAuraAddedFireDamage1",171,1,0,3614,0,60,2,0,29168,0,[],"",0,1,[447]
332,"MonsterTotemAuraAddedColdDamage1",170,1,0,3614,0,60,2,0,29260,0,[],"",0,1,[448]
333,"MonsterTotemAuraAddedLightningDamage1",172,1,0,3614,0,60,2,0,29362,0,[],"",0,1,[449]
334,"CorpseSinkEffect",1878,0,0,72,0,0,0,0,29422,0,"[10,1500,1500]","",2.5,"",[]
