"rownum","Id","HASH16","RewardText","RewardText (French)","RewardText (German)","RewardText (Japanese)","RewardText (Korean)","RewardText (Portuguese)","RewardText (Russian)","RewardText (Spanish)","RewardText (Thai)","RewardText (Traditional Chinese)","ItemVisualIdentityKey","RewardType","SacrificeItem","SacrificeAmount","SacrificeText","SacrificeText (French)","SacrificeText (German)","SacrificeText (Japanese)","SacrificeText (Korean)","SacrificeText (Portuguese)","SacrificeText (Russian)","SacrificeText (Spanish)","SacrificeText (Thai)","SacrificeText (Traditional Chinese)","bool_68","TrialMods"
75,"HardModeAlterationOrb2",53590,"Doubles sacrificed Currency","Double les Objets monétaires sacrifiés","Verdoppelt geopferte Währung","捧げたカレンシーを倍加","소모되는 화폐 2배","Dobra os Itens Monetários sacrificados","Удваивает принесенную в жертву валюту","Duplica los objetos monetarios sacrificados","เพิ่ม เงินตรา ที่สังเวยเป็น สองเท่า","翻倍獻祭的通貨","",1,12,2,"","","","","","","","","","",1,"[25578,25583]"
76,"HardModeAlterationOrb3",49801,"Doubles sacrificed Currency","Double les Objets monétaires sacrifiés","Verdoppelt geopferte Währung","捧げたカレンシーを倍加","소모되는 화폐 2배","Dobra os Itens Monetários sacrificados","Удваивает принесенную в жертву валюту","Duplica los objetos monetarios sacrificados","เพิ่ม เงินตรา ที่สังเวยเป็น สองเท่า","翻倍獻祭的通貨","",1,12,3,"","","","","","","","","","",1,"[25579,25584]"
77,"HardModeFusingOrb1",18053,"Doubles sacrificed Currency","Double les Objets monétaires sacrifiés","Verdoppelt geopferte Währung","捧げたカレンシーを倍加","소모되는 화폐 2배","Dobra os Itens Monetários sacrificados","Удваивает принесенную в жертву валюту","Duplica los objetos monetarios sacrificados","เพิ่ม เงินตรา ที่สังเวยเป็น สองเท่า","翻倍獻祭的通貨","",1,21,1,"","","","","","","","","","",1,"[25577,25582]"
78,"HardModeFusingOrb2",29225,"Doubles sacrificed Currency","Double les Objets monétaires sacrifiés","Verdoppelt geopferte Währung","捧げたカレンシーを倍加","소모되는 화폐 2배","Dobra os Itens Monetários sacrificados","Удваивает принесенную в жертву валюту","Duplica los objetos monetarios sacrificados","เพิ่ม เงินตรา ที่สังเวยเป็น สองเท่า","翻倍獻祭的通貨","",1,21,2,"","","","","","","","","","",1,"[25578,25583]"
79,"HardModeFusingOrb3",13990,"Doubles sacrificed Currency","Double les Objets monétaires sacrifiés","Verdoppelt geopferte Währung","捧げたカレンシーを倍加","소모되는 화폐 2배","Dobra os Itens Monetários sacrificados","Удваивает принесенную в жертву валюту","Duplica los objetos monetarios sacrificados","เพิ่ม เงินตรา ที่สังเวยเป็น สองเท่า","翻倍獻祭的通貨","",1,21,3,"","","","","","","","","","",1,"[25579,25584]"
80,"HardModeAlchemyOrb1",8716,"Doubles sacrificed Currency","Double les Objets monétaires sacrifiés","Verdoppelt geopferte Währung","捧げたカレンシーを倍加","소모되는 화폐 2배","Dobra os Itens Monetários sacrificados","Удваивает принесенную в жертву валюту","Duplica los objetos monetarios sacrificados","เพิ่ม เงินตรา ที่สังเวยเป็น สองเท่า","翻倍獻祭的通貨","",1,7,1,"","","","","","","","","","",1,"[25578,25583]"
81,"HardModeAlchemyOrb2",49479,"Doubles sacrificed Currency","Double les Objets monétaires sacrifiés","Verdoppelt geopferte Währung","捧げたカレンシーを倍加","소모되는 화폐 2배","Dobra os Itens Monetários sacrificados","Удваивает принесенную в жертву валюту","Duplica los objetos monetarios sacrificados","เพิ่ม เงินตรา ที่สังเวยเป็น สองเท่า","翻倍獻祭的通貨","",1,7,2,"","","","","","","","","","",1,"[25579,25584]"
82,"HardModeAlchemyOrb3",26804,"Doubles sacrificed Currency","Double les Objets monétaires sacrifiés","Verdoppelt geopferte Währung","捧げたカレンシーを倍加","소모되는 화폐 2배","Dobra os Itens Monetários sacrificados","Удваивает принесенную в жертву валюту","Duplica los objetos monetarios sacrificados","เพิ่ม เงินตรา ที่สังเวยเป็น สองเท่า","翻倍獻祭的通貨","",1,7,3,"","","","","","","","","","",1,"[25580,25585]"
83,"HardModeChaosOrb1",36161,"Doubles sacrificed Currency","Double les Objets monétaires sacrifiés","Verdoppelt geopferte Währung","捧げたカレンシーを倍加","소모되는 화폐 2배","Dobra os Itens Monetários sacrificados","Удваивает принесенную в жертву валюту","Duplica los objetos monetarios sacrificados","เพิ่ม เงินตรา ที่สังเวยเป็น สองเท่า","翻倍獻祭的通貨","",1,2,1,"","","","","","","","","","",1,"[25579,25584]"
84,"HardModeChaosOrb2",54541,"Doubles sacrificed Currency","Double les Objets monétaires sacrifiés","Verdoppelt geopferte Währung","捧げたカレンシーを倍加","소모되는 화폐 2배","Dobra os Itens Monetários sacrificados","Удваивает принесенную в жертву валюту","Duplica los objetos monetarios sacrificados","เพิ่ม เงินตรา ที่สังเวยเป็น สองเท่า","翻倍獻祭的通貨","",1,2,2,"","","","","","","","","","",1,"[25580,25585]"
85,"HardModeVaalOrb1",50889,"Doubles sacrificed Currency","Double les Objets monétaires sacrifiés","Verdoppelt geopferte Währung","捧げたカレンシーを倍加","소모되는 화폐 2배","Dobra os Itens Monetários sacrificados","Удваивает принесенную в жертву валюту","Duplica los objetos monetarios sacrificados","เพิ่ม เงินตรา ที่สังเวยเป็น สองเท่า","翻倍獻祭的通貨","",1,39,1,"","","","","","","","","","",1,"[25579,25584]"
86,"HardModeVaalOrb2",25329,"Doubles sacrificed Currency","Double les Objets monétaires sacrifiés","Verdoppelt geopferte Währung","捧げたカレンシーを倍加","소모되는 화폐 2배","Dobra os Itens Monetários sacrificados","Удваивает принесенную в жертву валюту","Duplica los objetos monetarios sacrificados","เพิ่ม เงินตรา ที่สังเวยเป็น สองเท่า","翻倍獻祭的通貨","",1,39,2,"","","","","","","","","","",1,"[25580,25585]"
