"rownum","string_0","rid_8","[rid]_24","i32_40","[rid]_44","i32_60","[rid]_64","i32_80","[rid]_84","[rid]_100","[rid]_116","string_132","i32_140","undefined (French)","undefined (German)","undefined (Japanese)","undefined (Korean)","undefined (Portuguese)","undefined (Russian)","undefined (Spanish)","undefined (Thai)","undefined (Traditional Chinese)","i32_144","rid_148","rid_164","i32_180","i32_184","i32_188","i32_192","i32_196","i32_200","undefined (French)","undefined (German)","undefined (Japanese)","undefined (Korean)","undefined (Portuguese)","undefined (Russian)","undefined (Spanish)","undefined (Thai)","undefined (Traditional Chinese)","i32_204","undefined (French)","undefined (German)","undefined (Japanese)","undefined (Korean)","undefined (Portuguese)","undefined (Russian)","undefined (Spanish)","undefined (Thai)","undefined (Traditional Chinese)","i32_208","i32_212","i32_216","undefined (French)","undefined (German)","undefined (Japanese)","undefined (Korean)","undefined (Portuguese)","undefined (Russian)","undefined (Spanish)","undefined (Thai)","undefined (Traditional Chinese)","i32_220","undefined (French)","undefined (German)","undefined (Japanese)","undefined (Korean)","undefined (Portuguese)","undefined (Russian)","undefined (Spanish)","undefined (Thai)","undefined (Traditional Chinese)","u16_224","bool_226"
38,"AurasMinionsTemplarSpectresNoble",7,"[249,251,61]",1,"[252,253,254]",0,[],2,"[38,78,250,22,21]",[],"[1245,1248,1199,1249]","Metadata/Monsters/Mercenaries/MercenaryTemplar/AuraMinionsTemplarSpectres.ais",1183999907,1189373859,1203791779,1158178723,1146251171,1199859619,1198024611,1200383907,1190815651,1133406115,0,131072,0,0,-637534208,0,33554432,0,-973078528,301989888,67108864,704643072,1845493760,-1275068416,-1509949440,-1140850688,1006632960,-1644167168,70,71,72,69,68,71,71,71,71,67,50331648,0,-436207616,838860800,603979776,1241513984,-1912602624,-738197504,-973078528,-603979776,1543503872,-1107296256,70,71,72,69,68,71,71,71,71,67,0,""
39,"PhysConvertTemplarCold",8,"[96,139]",2,"[137,138,140,141]",0,[],2,"[143,21,10,95,33]",[],"[1251,1252]","Metadata/Monsters/Mercenaries/MercenaryTemplar/PhysConvertTemplarCold.ais",1219292430,1224273166,1240132878,1192291598,1179970830,1234889998,1233972494,1235414286,1227025678,1166339342,0,0,0,0,-637534208,0,0,0,-905969664,503316480,100663296,671088640,1644167168,-1040187392,-1476395008,-973078528,1174405120,-1879048192,72,73,74,71,70,73,73,73,73,69,50331648,0,-905969664,503316480,100663296,671088640,1644167168,-1040187392,-1476395008,-973078528,1174405120,-1879048192,72,73,74,71,70,73,73,73,73,69,0,""
40,"PhysConvertTemplarLightning",8,"[92,105]",2,"[103,94,102,104]",0,[],2,"[93,38,9,22]",[],"[1251,1256]","Metadata/Monsters/Mercenaries/MercenaryTemplar/PhysConvertTemplarLightning.ais",1251251101,1256756125,1271960477,1223857053,1210880925,1267504029,1265800093,1267766173,1259377565,1197118365,0,0,0,0,-637534208,0,0,0,-1241513984,234881024,-100663296,201326592,1073741824,-1207959552,-1845493760,-1107296256,1006632960,1744830464,74,75,75,73,72,75,75,75,75,71,33554432,0,-1241513984,234881024,-100663296,201326592,1073741824,-1207959552,-1845493760,-1107296256,1006632960,1744830464,74,75,75,73,72,75,75,75,75,71,0,""
41,"PhysConvertTemplarLightningNoble",8,"[92,105]",2,"[103,94,102,104]",0,[],2,"[93,38,9,22]",[],"[1251,1256,1199,1257]","Metadata/Monsters/Mercenaries/MercenaryTemplar/PhysConvertTemplarLightning.ais",1274724799,1280491967,1295958463,1246806463,1233437119,1291633087,1289142719,1292026303,1283506623,1219281343,0,0,0,0,-637534208,0,33554432,0,771751936,-2046820352,-2113929216,1912602624,-1543503872,905969664,201326592,1040187392,-1040187392,-1107296256,76,76,77,74,73,77,77,77,76,72,33554432,0,1308622848,-1509949440,-1577058304,-1845493760,-1006632960,1442840576,738197504,1577058304,-503316480,-570425344,76,76,77,74,73,77,77,77,76,72,0,""
42,"PhysConvertTemplarFire",8,"[112,110]",2,"[108,107,111,109]",0,[],2,"[9,22,106,31]",[],"[1251,1254]","Metadata/Monsters/Mercenaries/MercenaryTemplar/PhysConvertTemplarFire.ais",1307875882,1313643050,1330158122,1278777898,1265277482,1325177386,1322424874,1325701674,1317575210,1250204202,0,65536,0,0,-637534208,0,0,0,436207616,2013265920,1912602624,1375731712,-2147483648,671088640,-134217728,771751936,-1409286144,-1845493760,78,78,79,76,75,79,78,79,78,74,33554432,0,436207616,2013265920,1912602624,1375731712,-2147483648,671088640,-134217728,771751936,-1409286144,-1845493760,78,78,79,76,75,79,78,79,78,74,0,""
43,"NonEleBowRangerChaos",9,"[42,115,116]",1,"[113,117,118,114]",0,[],2,"[80,265,261,45,83]",[],"[1258,1259]","Metadata/Monsters/Mercenaries/MercenaryRanger/NonEleBowRangerChaos.ais",1339452727,1345613111,1361997111,1309568311,1295805751,1357147447,1354001719,1357540663,1349020983,1280208183,0,196608,0,0,-637534208,0,0,0,-234881024,1308622848,1207959552,570425344,1207959552,33554432,-872415232,67108864,-2113929216,1442840576,79,80,81,78,77,81,80,81,80,76,33554432,0,-234881024,1308622848,1207959552,570425344,1207959552,33554432,-872415232,67108864,-2113929216,1442840576,79,80,81,78,77,81,80,81,80,76,0,""
44,"NonEleBowRangerChaosNoble",9,"[42,115,116]",1,"[113,117,118,114]",0,[],2,"[80,265,261,45,83]",[],"[1258,1259,1199,1260]","Metadata/Monsters/Mercenaries/MercenaryRanger/NonEleBowRangerChaos.ais",1363691400,1369720712,1386104712,1333282696,1318995848,1381517192,1377978248,1381648264,1373128584,1303136136,0,196608,0,0,-637534208,0,33554432,0,1979711488,-872415232,-805306368,-1811939328,-1241513984,-2080374784,1342177280,-2147483648,134217728,-1207959552,81,81,82,79,78,82,82,82,82,77,33554432,0,-1778384896,-335544320,-268435456,-1275068416,-704643072,-1543503872,1879048192,-1610612736,671088640,-671088640,81,81,82,79,78,82,82,82,82,77,0,""
45,"NonEleBowRangerPhys",9,"[173,174]",2,"[179,175,177,178,262,176,180,181]",0,[],2,"[80,265,261,266,263]",[],"[1258,1261]","Metadata/Monsters/Mercenaries/MercenaryRanger/NonEleBowRangerPhys.ais",1400810855,1406446951,1423486311,1369222503,1354673511,1418505575,1415097703,1418243431,1410379111,1338027367,0,196608,0,0,-637534208,0,0,0,-1912602624,-167772160,-134217728,-1442840576,-939524096,-1275068416,1778384896,-1711276032,671088640,-905969664,83,83,84,81,80,84,84,84,84,79,33554432,0,-1912602624,-167772160,-134217728,-1442840576,-939524096,-1275068416,1778384896,-1711276032,671088640,-905969664,83,83,84,81,80,84,84,84,84,79,0,""
46,"NonEleBowRangerPhysNoble",9,"[173,174]",2,"[179,175,177,178,262,176,180,181]",0,[],2,"[80,265,261,266,263]",[],"[1258,1261,1199,1262]","Metadata/Monsters/Mercenaries/MercenaryRanger/NonEleBowRangerPhys.ais",1427244578,1434060322,1450968610,1395525154,1380714018,1446512162,1441662498,1444808226,1437337122,1364067874,0,196608,0,0,-637534208,0,33554432,0,872415232,-1442840576,-1275068416,1140850688,1644167168,1845493760,369098752,1040187392,-637534208,1543503872,85,85,86,83,82,86,86,86,85,81,33554432,0,1409286144,-905969664,-738197504,1677721600,-2113929216,-1912602624,905969664,1577058304,-100663296,2080374784,85,85,86,83,82,86,86,86,85,81,0,""
47,"EleBowRangerLightning",10,"[182,186]",2,"[187,188,183,184]",0,[],2,"[38,265,83,185,261]",[],"[1263,1264]","Metadata/Monsters/Mercenaries/MercenaryRanger/EleBowRangerLightning.ais",1459931863,1467665111,1485097687,1427426007,1412614871,1480510167,1474742999,1477364439,1470810839,1395444439,0,196608,0,0,-637534208,0,0,0,570425344,-1610612736,-1610612736,704643072,1073741824,1644167168,134217728,838860800,-973078528,872415232,87,87,88,85,84,88,88,88,87,83,33554432,0,570425344,-1610612736,-1610612736,704643072,1073741824,1644167168,134217728,838860800,-973078528,872415232,87,87,88,85,84,88,88,88,87,83,0,""
48,"EleBowRangerFire",10,"[148,147]",2,"[144,149,150,151,145]",0,[],2,"[80,265,261,146]",[],"[1263,1266]","Metadata/Monsters/Mercenaries/MercenaryRanger/EleBowRangerFire.ais",1488848815,1497106351,1513883567,1455818671,1440483247,1509820335,1503922095,1506674607,1499596719,1422919599,0,196608,0,0,-637534208,0,0,0,-671088640,1677721600,1509949440,-603979776,-369098752,603979776,-939524096,-268435456,2080374784,-671088640,88,89,90,86,85,90,89,89,89,84,33554432,0,-671088640,1677721600,1509949440,-603979776,-369098752,603979776,-939524096,-268435456,2080374784,-671088640,88,89,90,86,85,90,89,89,89,84,0,""
49,"EleBowRangerFireNoble",10,"[148,147]",2,"[144,149,150,151,145]",0,[],2,"[80,265,261,146]",[],"[1263,1266,1199,1267]","Metadata/Monsters/Mercenaries/MercenaryRanger/EleBowRangerFire.ais",1511442817,1520617857,1536739713,1478150529,1462290817,1533200769,1527171457,1529792897,1522190721,1444333953,0,196608,0,0,-637534208,0,33554432,0,1107296256,-671088640,-805306368,939524096,1107296256,-1778384896,1073741824,1577058304,-369098752,570425344,90,90,91,88,87,91,91,91,90,86,33554432,0,1644167168,-134217728,-268435456,1476395008,1644167168,-1241513984,1610612736,2113929216,167772160,1107296256,90,90,91,88,87,91,91,91,91,86,0,""
50,"EleBowRangerClones",10,"[255,257]",2,"[256,259,260,264]",0,[],2,"[143,10,80,261,265]",[],"[1263,1268]","Metadata/Monsters/Mercenaries/MercenaryRanger/EleBowRangerClones.ais",1543958516,1553788916,1570041844,1509748724,1493626868,1566240756,1560604660,1562570740,1554968564,1474752500,0,196608,0,0,-637534208,0,0,0,436207616,-1308622848,-1610612736,234881024,301989888,2046820352,536870912,1040187392,-905969664,-268435456,92,92,93,90,89,93,93,93,92,87,33554432,0,436207616,-1308622848,-1610612736,234881024,301989888,2046820352,536870912,1040187392,-905969664,-268435456,92,92,93,90,89,93,93,93,92,87,0,""
51,"EleBowRangerClonesNoble",10,"[255,257]",2,"[256,259,260,264]",0,[],2,"[143,10,80,261,265]",[],"[1263,1268,1199,1269]","Metadata/Monsters/Mercenaries/MercenaryRanger/EleBowRangerClones.ais",1566314524,1576275996,1591873564,1531973660,1515458588,1589383196,1583484956,1585451036,1577848860,1496453148,0,196608,0,0,-637534208,0,33554432,0,-2113929216,402653184,134217728,1778384896,1811939328,-369098752,-1811939328,-1442840576,1040187392,1073741824,93,94,95,91,90,94,94,94,94,89,33554432,0,-1577058304,939524096,671088640,-1979711488,-1946157056,167772160,-1275068416,-905969664,1577058304,1610612736,93,94,95,91,90,95,94,94,94,89,0,""
52,"PhysicalDuelistShields",11,"[213,214]",2,"[212,237,215]",0,[],2,"[128,261,119,199,258]",[],"[1270,1271]","Metadata/Monsters/Mercenaries/MercenaryDuelist/PhysicalDuelistShields.ais",1598571516,1608401916,1624130556,1563444220,1546798076,1622164476,1616528380,1617970172,1610892284,1527137276,0,196608,0,0,-637534208,0,0,0,1509949440,-268435456,-536870912,1073741824,973078528,-1040187392,1811939328,-2113929216,436207616,234881024,95,95,96,93,92,96,96,96,96,91,83886080,0,1509949440,-268435456,-536870912,1073741824,973078528,-1040187392,1811939328,-2113929216,436207616,234881024,95,95,96,93,92,96,96,96,96,91,0,""
53,"PhysicalDuelistShieldsNoble",11,"[213,214]",2,"[212,237,215]",0,[],2,"[128,261,119,199,258]",[],"[1270,1271,1199,1272]","Metadata/Monsters/Mercenaries/MercenaryDuelist/PhysicalDuelistShields.ais",1623504143,1633334543,1649063183,1588245775,1571075343,1647097103,1641461007,1642902799,1636087055,1551414543,0,196608,0,0,-637534208,0,33554432,0,-402653184,2046820352,1946157056,-1040187392,-1207959552,1275068416,-33554432,201326592,-1342177280,-2080374784,96,97,98,94,93,98,97,98,97,92,83886080,0,134217728,-1711276032,-1811939328,-503316480,-671088640,1811939328,503316480,738197504,-805306368,-1543503872,97,97,98,94,93,98,98,98,97,92,0,""
54,"PhysicalDuelistBleed",11,"[161,165,163]",1,"[160,164]",0,[],2,"[121,261,128,162]",[],"[1270,1273]","Metadata/Monsters/Mercenaries/MercenaryDuelist/PhysicalDuelistBleed.ais",1657180880,1666749136,1683133136,1621136080,1603703504,1680511696,1675399888,1676317392,1670288080,1583518416,0,65536,0,0,-637534208,0,0,0,-536870912,1879048192,1778384896,-1308622848,-1610612736,1174405120,-67108864,67108864,-1442840576,1811939328,98,99,100,96,95,100,99,100,99,94,50331648,0,-536870912,1879048192,1778384896,-1308622848,-1610612736,1174405120,-67108864,67108864,-1442840576,1811939328,98,99,100,96,95,100,99,100,99,94,0,""
55,"PhysicalDuelistBleedNoble",11,"[161,165,163]",1,"[160,164]",0,[],2,"[121,261,128,162]",[],"[1270,1273,1199,1274]","Metadata/Monsters/Mercenaries/MercenaryDuelist/PhysicalDuelistBleed.ais",1679221264,1688658448,1705042448,1642652176,1624695312,1702683152,1697833488,1698357776,1692459536,1604510224,0,65536,0,0,-637534208,0,33554432,0,1107296256,-872415232,-771751936,33554432,-335544320,-1509949440,1744830464,1644167168,301989888,-1342177280,100,100,101,98,96,101,101,101,101,95,50331648,0,1644167168,-335544320,-234881024,570425344,201326592,-973078528,-2013265920,-2113929216,838860800,-805306368,100,100,101,98,97,101,101,101,101,95,0,""
56,"PhysicalDuelistSteel",11,"[220,155,156]",1,"[217,218,219]",0,[],2,"[261,221,80,216]",[],"[1270,1275]","Metadata/Monsters/Mercenaries/MercenaryDuelist/PhysicalDuelistSteel.ais",1712365508,1721409476,1738579908,1674616772,1656397764,1735696324,1731633092,1731239876,1725996996,1635688388,0,65536,0,0,-637534208,0,0,0,738197504,-1342177280,-1040187392,-469762048,-973078528,-1811939328,1442840576,1375731712,0,-1979711488,102,102,103,99,98,103,103,103,103,97,50331648,0,738197504,-1342177280,-1040187392,-469762048,-973078528,-1811939328,1442840576,1375731712,0,-1979711488,102,102,103,99,98,103,103,103,103,97,0,""
57,"MeleeAOEStrikeDuelistCyclone",12,"[152,155,156]",1,"[158,153,154]",0,[],2,"[52,121,159,261,157]",[],"[1277,1278]","Metadata/Monsters/Mercenaries/MercenaryDuelist/MeleeAOEStrikeDuelistCyclone.ais",1745543037,1754193789,1772150653,1707270013,1688526717,1769135997,1765072765,1764810621,1759436669,1667817341,0,0,0,0,-637534208,0,0,0,570425344,-1509949440,-1107296256,-671088640,-1342177280,-1879048192,1610612736,1375731712,-33554432,1879048192,104,104,105,101,100,105,105,105,104,99,33554432,0,570425344,-1509949440,-1107296256,-671088640,-1342177280,-1879048192,1610612736,1375731712,-33554432,1879048192,104,104,105,101,100,105,105,105,104,99,0,""
58,"MeleeAOEStrikeDuelistCycloneNoble",12,"[152,155,156]",1,"[158,153,154]",0,[],2,"[52,121,159,261,157]",[],"[1277,1278,1199,1279]","Metadata/Monsters/Mercenaries/MercenaryDuelist/MeleeAOEStrikeDuelistCyclone.ais",1769531945,1778182697,1796532777,1731127849,1711729193,1793518121,1790372393,1789454889,1783949865,1690757673,0,0,0,0,-637534208,0,33554432,0,-1577058304,570425344,1275068416,1275068416,503316480,301989888,-134217728,-671088640,-1979711488,-771751936,105,106,107,103,102,107,106,106,106,100,33554432,0,-1040187392,1107296256,1811939328,1811939328,1040187392,838860800,402653184,-134217728,-1442840576,-234881024,105,106,107,103,102,107,107,106,106,100,0,""
59,"MeleeAOEStrikeDuelistRangeStrikes",12,"[171,248]",2,"[245,246,247,244]",0,[],2,"[38,261,21,33]",[],"[1277,1280]","Metadata/Monsters/Mercenaries/MercenaryDuelist/MeleeAOEStrikeDuelistRangeStrikes.ais",1804890283,1813278891,1832808619,1765699755,1745907883,1829007531,1827303595,1825206443,1820094635,1724149931,0,65536,0,0,-637534208,0,0,0,-1442840576,738197504,1342177280,1342177280,436207616,469762048,-167772160,-469762048,-1845493760,-838860800,107,108,109,105,104,109,108,108,108,102,67108864,0,-1442840576,738197504,1342177280,1342177280,436207616,469762048,-167772160,-469762048,-1845493760,-838860800,107,108,109,105,104,109,108,108,108,102,0,""
60,"MeleeAOEStrikeDuelistRangeStrikesNoble",12,"[171,248]",2,"[245,246,247,244]",0,[],2,"[38,261,21,33]",[],"[1277,1280,1199,1281]","Metadata/Monsters/Mercenaries/MercenaryDuelist/MeleeAOEStrikeDuelistRangeStrikes.ais",1830424647,1838944327,1858080839,1790971975,1770655815,1854672967,1852182599,1851002951,1845628999,1748897863,0,65536,0,0,-637534208,0,33554432,0,1107296256,-1040187392,-335544320,-637534208,-1610612736,-1308622848,-2013265920,2080374784,771751936,1275068416,109,109,110,106,105,110,110,110,110,104,67108864,0,1644167168,-503316480,201326592,-100663296,-1073741824,-771751936,-1476395008,-1677721600,1308622848,1811939328,109,109,111,106,105,110,110,110,110,104,0,""
