"rownum","Id","Text","Text (French)","Text (German)","Text (Japanese)","Text (Korean)","Text (Portuguese)","Text (Russian)","Text (Spanish)","Text (Thai)","Text (Traditional Chinese)","TextHardmode","TextHardmode (French)","TextHardmode (German)","TextHardmode (Japanese)","TextHardmode (Korean)","TextHardmode (Portuguese)","TextHardmode (Russian)","TextHardmode (Spanish)","TextHardmode (Thai)","TextHardmode (Traditional Chinese)"
39,"ReminderTextTaunt","(Enemies you Taunt can only target you, and deal 10% less damage to anyone else. Taunt lasts for 3 seconds)","(Les Ennemis que vous Provoquez sont obligés de vous cibler, et ont 10% de Perte de dégâts contre les autres cibles. La Provocation dure 3 secondes)","(Gegner, die Ihr verspottet, nehmen nur Euch ins Ziel und verursachen bei anderen Zielen 10 % weniger Schaden. Verspotten hält 3 Sekunden an.)","(Taunt: 挑発された敵は、挑発したプレイヤーのみを標的にし、それ以外へのダメージが10％低下する。持続時間は3秒)","(\""도발\""당한 적은 플레이어만을 대상으로 하며, 다른 이에게 가하는 피해량이 10% 감폭합니다. 3초 동안 유지됩니다)","(Inimigos Provocados por você só podem mirar em você, e causam 10% menos dano em qualquer outra pessoa. A Provocação dura 3 segundos)","(Спровоцированные вами враги выбирают целью только вас и наносят на 10% меньше урона по всем остальным целям. Продолжительность провокации - 3 секунды.)","(Los enemigos que provocas solo te pueden tener a ti como objetivo, e infligen un 10% menos de daño al resto. Provocar dura 3 segundos)","(ศัตรูที่คุณสร้างสถานะ ยั่วยุ เลือกเป้าหมายเป็นคุณได้เท่านั้น และสร้างความเสียหาย ลดลง อีก 10% ต่อผู้อื่น, สถานะ ยั่วยุ คงอยู่ 3 วินาที)","（被你嘲諷敵人只能以你為目標，並對其他人造成 10% 較少傷害。嘲諷持續 3 秒）","","","","","","","","","",""
40,"ReminderTextElementalConfluxes","(These are consecutive)\n(Each Conflux means all damage causes that Ailment)","(Ces effets sont consécutifs)\n(Chaque Conflux applique l'Altération qui lui correspond lorsque vous infligez des dégâts)","(Diese wirken konsekutiv)\n(Jeglicher Schaden verursacht die Beeinträchtigung der jeweiligen Konfluenz)","(Elemental Conflux: これらの効果は連続して起きる)\n(それぞれの種類のエレメンタルコンフラックスにより全ての種類のダメージがエレメンタルコンフラックスと同じ元素系状態異常を起こすようになる)","(지속 효과)\n(각 원소 융합은 상태 이상을 부여하는 모든 종류의 피해를 의미합니다)","(Estas são consecutivas)\n(Cada Confluência significa que todo dano causa aquela Afecção)","(Действуют последовательно)\n(Урон от каждого слияния накладывает соответствующее стихийное состояние)","(Estos son consecutivos)\n(Cada Confluencia significa que todo el daño aplica ese estado alterado)","(ทั้งหมดนี้ต่อเนื่องกัน)\n(การบรรจบแต่ละชนิด จะทำให้ความเสียหาย ทุกชนิด ของคุณสร้างสถานะเจ็บป่วยชนิดที่มันระบุ)","(此為連續效果)\n(特定匯流作用時，你所有擊中造成的傷害皆能造對應的異常狀態。)","","","","","","","","","",""
41,"ReminderTextChill","(Chill reduces Enemy Action Speed by up to 30%, depending on the amount of Cold Damage in the hit, for 2 seconds)","(La Frigorification réduit la Vitesse d'action des Ennemis jusqu'à 30%, en fonction du total de Dégâts de froid infligés au Toucher, pendant 2 secondes)","(Unterkühlen verringert die gegnerische Aktionsgeschwindigkeit für 2 Sekunden um bis zu 30% und ist abhängig vom Kälteschaden des Treffers)","(Chill: 冷却は、ヒットが与えた冷気ダメージに基づいて敵のアクションスピードを最大30％減少させる。持続時間は2秒)","(\""냉각\""은 적의 동작 속도를 2초 동안 30%까지 감소시킵니다. 감소 정도는 냉각을 부여한 냉기 피해량에 따라 달라집니다)","(Resfriamento desacelera inimigos em até 30%, dependendo da quantidade de Dano de Gelo no acerto, por 2 segundos)","(Охлаждение на 2 секунды снижает скорость действий врагов максимум на 30%, в зависимости от количества урона от холода от удара)","(El escarchamiento reduce la velocidad de acción de los enemigos hasta en un 30%, dependiendo de la cantidad de daño de hielo que tenga el golpe, durante 2 segundos)","(หนาวเย็น ลดความเร็วในการกระทำของศัตรู สูงสุด 30% ขึ้นอยู่กับความเสียหาย น้ำแข็ง ในการปะทะครั้งนั้น 2 วินาที)","(冰緩依據擊中的冰冷傷害總量減少敵人行動速度，至多30%，持續2秒)","","","","","","","","","",""
42,"ReminderTextChillNonHit","(Chill reduces Enemy Action Speed by 10% for 2 seconds)","(La Frigorification réduit la Vitesse d'action des Ennemis de 10% pendant 2 secondes)","(Unterkühlen verringert die gegnerische Aktionsgeschwindigkeit für 2 Sekunden um 10%)","(Chill: 冷却は、敵のアクションスピードを10%減少させる。持続時間は2秒)","(\""냉각\""은 적의 동작 속도를 2초 동안 10% 감소시킵니다)","(Resfriamento desacelera inimigos em 10% por 2 segundos)","(Охлаждение снижает скорость действий врагов на 10% на 2 секунды)","(El escarchamiento reduce la velocidad de acción de los enemigos en un 10% durante 2 segundos)","(หนาวเย็น ลดความเร็วในการกระทำของศัตรู 10% เป็นเวลา 2 วินาที)","(冰緩減少敵人 10% 行動速度，持續2秒)","","","","","","","","","",""
43,"ReminderTextChillNonHitNoDuration","(Chill reduces Enemy Action Speed by 10%)","(La Frigorification réduit la Vitesse d'action des Ennemis de 10%)","(Unterkühlen verringert die gegnerische Aktionsgeschwindigkeit um 10%)","(Chill: 冷却は、敵のアクションスピードを10%減少させる)","(\""냉각\""은 적의 동작 속도를 10% 감소시킵니다)","(Resfriamento desacelera inimigos em 10%)","(Охлаждение снижает скорость действий врагов на 10%)","(El escarchamiento reduce la velocidad de acción de los enemigos en un 10%)","(หนาวเย็น ลดความเร็วในการกระทำของศัตรู 10%)","(冰緩減少敵人 10% 行動速度)","","","","","","","","","",""
44,"ReminderTextChillNonHitNoMagnitude","(Chill reduces Enemy Action Speed for 2 seconds)","(La Frigorification réduit la Vitesse d'action des Ennemis pendant 2 secondes)","(Unterkühlen verringert die gegnerische Aktionsgeschwindigkeit für 2 Sekunden)","(Chill: 冷却は、敵のアクションスピードを減少させる。持続時間は2秒)","(\""냉각\""은 적의 동작 속도를 2초 동안 감소시킵니다)","(Resfriamento desacelera inimigos por 2 segundos)","(Охлаждение снижает скорость действий врагов на 2 секунды)","(El escarchamiento reduce la velocidad de acción de los enemigos durante 2 segundos)","(หนาวเย็น ลดความเร็วในการกระทำของศัตรู เป็นเวลา 2 วินาที)","(冰緩減少敵人行動速度，持續 2 秒)","","","","","","","","","",""
45,"ReminderTextChillPotentialEffect","(Chill reduces Action Speed by up to 30%)","(La Frigorification réduit la Vitesse d'action des Ennemis jusqu'à 30%)","(Unterkühlen verringert die gegnerische Aktionsgeschwindigkeit um 30%)","(Chill: 冷却は、アクションスピードを最大30%減少させる)","(\""냉각\""은 동작 속도를 최대 30% 감소시킵니다)","(Resfriamento reduz a Velocidade de Ação em 2 segundos)","(Охлаждение снижает скорость действий максимум на 30%)","(El escarchamiento reduce la velocidad de acción hasta un 30%)","(หนาวเย็น ลดความเร็วในการกระทำได้สูงสุด 30%)","( 冰緩減少最多 30% 行動速度 )","","","","","","","","","",""
46,"ReminderTextShock","(Shock increases Damage taken by up to 50%, depending on the amount of Lightning Damage in the hit, for 2 seconds)","(L'Électrocution inflige jusqu'à 50% d'Augmentation des Dégâts subis, en fonction du montant de Dégâts de foudre infligés au Toucher, pendant 2 secondes)","(Schock erhöht den erlittenen Schaden um bis zu 50 % für 2 Sekunden und ist abhängig vom Blitzschaden des Treffers)","(Shock: 感電は、ヒットが与えた雷ダメージに基づいて受けるダメージを最大50%増加させる。持続時間は2秒)","(\""감전\""이 받는 피해를 2초 동안 50%까지 증가시킵니다. 증가 정도는 감전을 부여한 번개 피해량에 따라 달라집니다)","(Eletrização aumenta o Dano sofrido em até 50%, dependendo da quantidade de Dano de Raio no acerto, por 2 segundos)","(Шок повышает получаемый урон до 50%, в зависимости от количества урона от молнии от удара, на 2 секунды)","(La electrocución aumenta el daño recibido hasta en un 50%, dependiendo de la cantidad de daño de rayo que tenga el golpe, durante 2 segundos)","(ช็อค เพิ่มความเสียหายที่ได้รับ สูงสุด 50% ขึ้นอยู่กับความเสียหาย สายฟ้า ในการปะทะครั้งนั้น 2 วินาที)","(感電根據擊中的閃電傷害總量，增加至多50%承受傷害，持續2秒)","","","","","","","","","",""
47,"ReminderTextShockNonHit","(Shock increases Damage taken by 15%, for 2 seconds)","(L'Électrocution augmente les Dégâts subis de 15% pendant 2 secondes)","(Schock erhöht den erlittenen Schaden um 15 % für 2 Sekunden)","(Shock: 感電は、受けるダメージを15%増加させる。持続時間は2秒)","(\""감전\""은 받는 피해를 2초 동안 15% 증가시킵니다)","(Eletrização aumenta o Dano sofrido em 15% por 2 segundos)","(Шок повышает получаемый урон на 15% на 2 секунды)","(La electrocución aumenta el daño recibido en un 15% durante 2 segundos)","(ช็อค เพิ่มความเสียหายที่ได้รับ 15% 2 วินาทึ)","(感電增加15%承受傷害，持續2秒)","","","","","","","","","",""
48,"ReminderTextShockNonHitNoDuration","(Shock increases Damage taken by 15%)","(L'Électrocution augmente les Dégâts subis de 15%)","(Schock erhöht den erlittenen Schaden um 15 %)","(Shock: 感電は、受けるダメージを15%増加させる)","(\""감전\""은 받는 피해를 15% 증가시킵니다)","(Eletrização aumenta o Dano sofrido em 15%)","(Шок повышает получаемый урон на 15%)","(La electrocución aumenta el daño recibido en un 15%)","(ช็อค เพิ่มความเสียหายที่ได้รับ 15%)","(感電增加15%承受傷害)","","","","","","","","","",""
49,"ReminderTextShockPotentialEffect","(Shock increases Damage taken by up to 50%)","(L'Électrocution augmente les Dégâts subis jusqu'à un maximum de 50%)","(Schock erhöht den erlittenen Schaden um 50 %)","(Shock: 感電は、受けるダメージを最大50%増加させる)","(\""감전\""은 받는 피해를 최대 50% 증가시킵니다)","(Eletrizações aumentam o Dano sofrido em até 50%)","(Шок повышает получаемый урон вплоть до 50%)","(La electrocución aumenta el daño recibido hasta un 50%)","(ช็อค เพิ่มความเสียหายที่ได้รับได้สูงสุด 50%)","( 感電增加承受最多 50% 傷害 )","","","","","","","","","",""
50,"ReminderTextChilledGround","(You are Chilled while standing in Chilled Ground)","(Le Sol frigorifiant inflige Frigorification à ceux qui se trouvent dessus)","(Ihr seid unterkühlt, während Ihr auf unterkühltem Boden steht)","(Chilled Ground: 冷却領域上では、冷却状態になる)","(\""얼음 지대\""에서는 냉각 상태가 유지됩니다)","(Você está Resfriado enquanto estiver sobre Solo Congelado)","(Вы охлаждены, пока находитесь на замёрзшей земле)","(Estás escarchado mientras estás sobre Suelo escarchado)","(คุณติดสถานะ หนาวเย็น ขณะที่ยืนอยู่บน พื้นหนาวเย็น)","(站立於冰冷地面將使你受到冰緩)","","","","","","","","","",""
51,"ReminderTextDesecratedGround","(You take Chaos damage over time while standing in Desecrated Ground)","(Le Sol profané inflige des Dégâts de chaos sur la durée à ceux qui se trouvent dessus)","(Ihr nehmt Chaosschaden über Zeit, während Ihr auf entweihtem Boden steht)","(Desecrated Ground: 冒涜領域上では、混沌継続ダメージを受ける)","(\""훼손된 지대\""에서는 지속 카오스 피해를 받습니다)","(Você sofre Dano Degenerativo de Caos enquanto sobre Solo Profanado)","(Вы получаете урон хаосом, пока находитесь на осквернённой земле)","(Recibes daño de caos degenerativo mientras estás sobre Suelo profanado)","(คุณได้รับความเสียหาย เคออส ต่อเนื่อง ขณะที่ยืนอยู่บน พื้นเสื่อมทราม)","(站立於腐化地面將使你受到混沌持續傷害)","","","","","","","","","",""
52,"ReminderTextImplicitMod","(Implicit Modifiers are those that come from an item's type, rather than its random properties)","(Un Modificateur implicite est issu du type d'un objet et non de ses propriétés aléatoires)","(Implizite Modifikatoren werden durch den Gegenstandstypen festgelegt, statt durch zufällige Eigenschaften)","(Implicit modifier: 暗黙モッドはランダムモッドではなく、アイテムのタイプにより決まるモッドである)","(\""고정 속성 부여\""는 무작위로 결정되기보다는 아이템의 유형에 의해 결정됩니다)","(Modificadores Implícitos são aqueles que vêm do tipo do item ao invés de suas propriedades aleatórias)","(Собственные свойства происходят от типа предмета, в отличие от его случайных характеристик)","(Los modificadores implícitos son aquellos que provienen del tipo del objeto, y no de sus propiedades aleatorias)","(ม็อดแฝง คือม็อดที่มาจากชนิดของไอเทม แทนที่จะเป็นม็อดแบบสุ่ม)","(固定詞綴來自基底物品本身，而非隨機的詞綴)","","","","","","","","","",""
53,"ReminderTextKnockback","(Knockback pushes Enemies away when Hit)","(Le Repoussement fait reculer les Ennemis touchés)","(Rückstoß stößt Gegner bei einem Treffer zurück)","(Knockback: ノックバックは、ヒットした際に敵を押しのける)","(\""밀어내기\""는 피격 시 적을 뒤로 밀어냅니다)","(Empurrar repeli os Inimigos para trás quando Acertados)","(Отбрасывание толкает врагов назад при ударе)","(\""Empujar\"" empuja a los enemigos al recibir un golpe)","(การผลักออกไป จะผลักศัตรูออกไปเมื่อมันถูกปะทะ)","(擊退將會把擊中的敵人向後推)","","","","","","","","","",""
54,"ReminderTextLifeLeech","(Leeched Life is recovered over time. Multiple Leeches can occur simultaneously, up to a maximum rate)","(La Vie drainée se récupère sur la durée. Plusieurs Drains peuvent avoir lieu simultanément, jusqu'à un certain taux maximal)","(Lebensraub stellt Leben über Zeit wieder her. Mehrfacher Lebensraub ist zeitgleich bis zu einer maximalen Rate möglich)","(Life Leech: ライフリーチはライフを継続回復させる。最大回復速度に到達するまでは複数のリーチは同時に起こる)","(\""생명력 흡수\""는 지속적으로 회복됩니다. 흡수는 최대 속도에 이를 때까지 여러 개가 동시에 적용될 수 있습니다)","(Vida Drenada é recuperada periodicamente. Múltiplas Drenagens podem ocorrer simultaneamente, até uma frequência máxima)","(Похищенное здоровье восстанавливается с течением времени. Одновременно могут быть активны сразу несколько похищений, вплоть до максимальной скорости похищения)","(La vida absorbida se recupera a lo largo del tiempo. Puede haber varias absorciones al mismo tiempo, hasta una velocidad máxima)","(พลังชีวิตที่ดูด จะถูก เติม อย่างต่อเนื่อง การดูดหลายครั้งสามารถเกิดขึ้นได้พร้อมกันจนกว่าจะถึงอัตราสูงสุด)","(吸血效果所吸取的血量將會隨著時間恢復。多個吸血效果能夠同時存在，直至最大上限)","","","","","","","","","",""
55,"ReminderTextManaLeech","(Leeched Mana is recovered over time. Multiple Leeches can occur simultaneously, up to a maximum rate)","(Le Mana drainé se récupère sur la durée. Plusieurs Drains peuvent avoir lieu simultanément, jusqu'à un certain taux maximal)","(Lebensraub stellt Mana über Zeit wieder her. Mehrfacher Manaraub ist zeitgleich bis zu einer maximalen Rate möglich)","(Mana Leech: マナリーチはマナを継続回復させる。最大量回復速度に到達するまでは複数のリーチは同時に起こる)","(\""마나 흡수\""는 지속적으로 회복됩니다. 흡수는 최대 속도에 이를 때까지 여러 개가 동시에 적용될 수 있습니다)","(Mana Drenada é recuperada periodicamente. Múltiplas Drenagens podem ocorrer simultaneamente, até uma frequência máxima)","(Похищенная мана восстанавливается с течением времени. Одновременно могут быть активны сразу несколько похищений, вплоть до максимальной скорости похищения)","(El maná absorbido se recupera a lo largo del tiempo. Puede haber varias absorciones al mismo tiempo, hasta una velocidad máxima)","(มานาที่ดูด จะถูก เติม อย่างต่อเนื่อง การดูดหลายครั้งสามารถเกิดขึ้นได้พร้อมกันจนกว่าจะถึงอัตราสูงสุด)","(吸魔效果所吸取的魔量將會隨著時間恢復。多個吸魔效果能夠同時存在，直至最大上限)","","","","","","","","","",""
56,"ReminderTextLowLife","(You are on Low Life if you have 50% of your Maximum Life or less)","(Votre Vie est considérée comme Basse lorsqu'elle se trouve à 50% ou moins de son maximum)","(Niedriges Leben bedeutet, Ihr habt 50 % oder weniger Eures maximalen Lebens übrig)","(Low Life: 低ライフとは、現在のライフが最大ライフの50%以下の場合である)","(생명력이 최대 생명력의 50% 이하일 때가 \""낮은 생명력\"" 상태입니다)","(Você está com Vida Baixa se estiver com 50% ou menos da sua Vida Máxima)","(Малое количество здоровья - 50% от максимума здоровья или ниже)","(Tienes la vida baja si tienes el 50% de tu vida máxima o menos)","(คุณจะมี พลังชีวิตเหลือน้อย หาก พลังชีวิต ของคุณนั้นอยู่ที่ 50% ของ พลังชีวิตสูงสุด หรือต่ำกว่า)","(血量低於50%時為貧血狀態)","","","","","","","","","",""
57,"ReminderTextLowMana","(You are on Low Mana if you have 50% of your Maximum Mana or less)","(Votre Mana est considéré comme Bas lorsqu'il se trouve à 50% ou moins de son maximum)","(Niedriges Mana bedeutet, Ihr habt 50 % oder weniger Eures maximalen Manas übrig)","(Low Mana: 低マナとは、現在のマナが最大マナの50%以下の場合である)","(마나가 최대 마나의 50% 이하일 때가 \""낮은 마나\"" 상태입니다)","(Você está com Mana Baixa se estiver com 50% ou menos da sua Mana Máxima)","(Малое количество маны - 50% от максимума маны или ниже)","(Tienes el maná bajo si tienes el 50% de tu maná máximo o menos)","(คุณจะมี มานาเหลือน้อย หาก มานา ของคุณนั้นอยู่ที่ 50% ของ มานาสูงสุด หรือต่ำกว่า)","(魔力低於50%時為貧魔狀態)","","","","","","","","","",""
58,"ReminderTextLowEnergyShield","(You are on Low Energy Shield if you have 50% of your Maximum Energy Shield or less)","(Votre Bouclier d'énergie est considéré comme Bas lorsqu'il se trouve à 50% ou moins de son maximum)","(Niedriger Energieschild bedeutet, Ihr habt 50% oder weniger Eures maximalen Energieschilds übrig)","(Low Energy Shield: 低エナジーシールドとは、現在のエナジーシールドが最大エナジーシールドの50%以下の場合である)","(에너지 보호막이 에너지 보호막 최대치의 50% 이하일 때가 \""낮은 에너지 보호막\"" 상태입니다)","(Você está em Escudo de Energia baixo se tiver 50% ou menos do seu Escudo de Energia máximo)","(Малое количество энергетического щита - 50% от максимума энергетического щита или ниже)","(Tienes el escudo de energía bajo si tienes el 50% de tu escudo de energía máximo o menos)","(คุณจะมี โล่พลังงานเหลือน้อย หาก โล่พลังงาน ของคุณนั้นอยู่ที่ 50% ของ มานาสูงสุด หรือต่ำกว่า)","(能量護盾低於50%時為貧能量護盾狀態)","","","","","","","","","",""
59,"ReminderTextOverkill","(Overkill Damage is any Damage from a Hit in excess of the Enemy's remaining Life)","(Les Dégâts excédentaires sont tous les Dégâts en surplus lorsque vous Touchez et tuez un Ennemi)","(Überzähliger Schaden ist jeglicher Schaden durch Treffer, der das verbleibende Leben des Gegners übersteigt)","(Overkill Damage: オーバーキルダメージとは、ヒットダメージ中の敵の残りライフを超過したダメージである)","(\""과잉살상\"" 피해는 적에게 남은 생명력을 초과해서 주는 모든 피해입니다)","(Dano Excedente é qualquer Dano de um Acerto que exceda a Vida restante do Inimigo)","(Избыточный урон - любой урон от удара, превышающий оставшееся здоровье врага)","(El daño excesivo es cualquier daño de un golpe que excede la vida restante del enemigo)","(ความเสียหายล้นเกิน คือความเสียหายจากการปะทะที่มากเกินกว่า พลังชีวิตที่เหลืออยู่ ของศัตรู)","(擊殺怪物時超出怪物生命的傷害為溢出傷害)","","","","","","","","","",""
60,"ReminderTextRampage","(You gain Rampage bonuses for Killing multiple Enemies in quick succession)","(Pour gagner des bonus de Carnage, vous devez tuer des Ennemis en une rapide succession)","(Ihr erhaltet Amok-Boni, indem Ihr mehrere Gegner in kurzer Zeit tötet)","(Rampage: 複数の敵を素早く連続して倒すことでランページボーナスを得る)","(적들을 빠르게 연속으로 처치하면 \""광란\"" 보너스를 받습니다)","(Você ganha bônus de Ímpeto ao Matar múltiplos Inimigos em uma rápida sucessão)","(Вы получаете эффекты Буйства за убийство множества врагов в течение короткого промежутка времени)","(Ganas bonificaciones de Desenfreno al matar a múltiples enemigos en rápida sucesión)","(คุณจะได้รับโบนัสจากสถานะ แรมเพจ เมื่อสังหารศัตรูหลายตัวอย่างรวดเร็วและต่อเนื่อง)","(迅速擊殺多隻怪物將獲得暴怒加成)","","","","","","","","","",""
61,"ReminderTextSoulEater","(While you have Soul Eater, you consume the souls of anything killed nearby, gaining 5% increased Attack and Cast speed for each. You lose 1 soul every 0.5 seconds if you have not eaten any souls Recently. Maximum of 45 souls consumed)","(Tant que vous êtes sous l'effet de Mangeur d'âmes, vous consommez les âmes des monstres Tués à proximité. Chaque âme confère 5% d'Augmentation de la Vitesse d'attaque et d'incantation. Vous perdez 1 âme toutes les 0,5 seconde si vous n'avez pas mangé d'âmes récemment. Maximum 45 âmes absorbées)","(Solange Ihr über die Stärkung 'Seelenfresser' verfügt, verzehrt Ihr die Seelen aller getöteten Gegner im Umkreis und erhaltet für jede 5% erhöhte Angriffs- und Zaubergeschwindigkeit. Ihr verliert alle 0.5 Sekunden 1 Seele, wenn Ihr kürzlich keine Seelen verzehrt habt. Maximal 45 verzehrte Seelen)","(Soul Eater: ソウルイーター中は、近くで倒された敵の魂を消化し、魂1個ごとにアタックスピードおよびキャストスピードが5%増加する。直近魂を消化していなければ、0.5秒ごとに1個の魂を失う。消化できる魂の最大値は45。)","(\""영혼 포식자\"" 상태에서는 주변의 적을 처치해 영혼을 포식할 때마다 공격 속도 및 시전 속도가 5% 증가합니다. 최근 4초 이내에 영혼을 포식하지 않은 경우 0.5초마다 영혼을 1개 잃습니다. 영혼은 최대 45개 포식할 수 있습니다.)","(Enquanto você tiver o Devorador de Almas, você consome as almas de qualquer coisa abatida em proximidade, ganhando 5% de aumento na velocidade de Ataque e Conjuração para cada um. Você perde 1 alma a cada 0.5 segundos se não ganhou nenhuma alma recentemente. Máximo de 45 almas consumidas)","(Пока на вас действует Пожиратель душ, вы поглощаете души всех убитых поблизости врагов, получая 5% повышение скорости атаки и сотворения чар за каждую душу. Вы теряете 1 душу каждые 0,5 секунды, если недавно вы не поглощали ни одной души. Максимум 45 поглощённых душ)","(Mientras tengas Devorador de almas, consumes las almas de cualquier cosa que haya muerto cerca y ganas velocidades de ataque y de lanzamiento de hechizos aumentadas un 5% por cada una. Pierdes 1 alma cada 0.5 segundos si no has devorado ningún alma recientemente. Puedes consumir un máximo de 45 almas.)","(ขณะที่คุณมีสถานะ ผู้กลืนกินวิญญาณ คุณจะกลืนกินวิญญาณของทุกสิ่งที่ถูกสังหารที่อยู่ใกล้ โดยวิญญาณแต่ละดวงจะเพิ่มความเร็วในการโจมตีและร่ายของคุณ 5% คุณจะสูญเสียวิญญาณ 1 ดวงทุก 0.5 วินาทีหากคุณไม่ได้กลืนกินวิญญาณมาเร็วๆ นี้ คุณสามารถกลืนกินวิญญาณได้สูงสุด 45 ดวง)","（具有噬魂者效果時，吸收附近死亡生物的靈魂，每有一個靈魂即提高 5% 攻擊和施放速度。若未繼續吸收靈魂，則每 0.5 秒失去 1 個靈魂。最多消耗45個靈魂）","","","","","","","","","",""
62,"ReminderTextSoulEaterNonAura","(Each soul grants 5% increased Attack and Cast speed. You lose 1 soul every 0.5 seconds if you have not eaten any souls Recently. Maximum of 45 souls consumed)","(Chaque âme confère 5% d'Augmentation de la Vitesse d'attaque et d'incantation. Vous perdez 1 âme toutes les 0,5 secondes si vous n'avez pas mangé d'âmes récemment. Maximum 45 âmes absorbées)","(Jede Seele gewährt 5% erhöhte Angriffs- und Zaubergeschwindigkeit. Ihr verliert alle 0.5 Sekunden 1 Seele, wenn Ihr kürzlich keine Seelen verzehrt habt. Maximal 45 verzehrte Seelen)","(各魂はアタックスピードおよびキャストスピードが5%増加を付与する。直近魂を消化していなければ、0.5秒ごとに1個の魂を失う。消化できる魂の最大値は45。)","(영혼 하나당 공격 속도 및 시전 속도가 5% 증가합니다. 최근 4초 이내에 영혼을 포식하지 않은 경우 0.5초마다 영혼을 1개 잃습니다. 영혼은 최대 45개 포식할 수 있습니다.)","(Cada alma concede 5% de aumento na velocidade de Ataque e Conjuração. Você perde 1 alma a cada 0.5 segundos se não ganhou nenhuma alma recentemente. Máximo de 45 almas consumidas)","(Каждая душа дарует 5% повышение скорости атаки и сотворения чар. Вы теряете 1 душу каждые 0,5 секунды, если недавно вы не поглощали ни одной души. Максимум 45 поглощённых душ)","(Cada alma otorga velocidades de ataque y de lanzamiento de hechizos aumentadas un 5%. Pierdes 1 alma cada 0.5 segundos si no has devorado ningún alma recientemente. Puedes consumir un máximo de 45 almas)","(วิญญาณแต่ละดวงจะเพิ่มความเร็วในการโจมตีและร่าย 5% คุณจะสูญเสียวิญญาณ 1 ดวงทุก 0.5 วินาทีหากคุณไม่ได้กลืนกินวิญญาณมาเร็วๆ นี้ คุณสามารถกลืนกินวิญญาณได้สูงสุด 45 ดวง)","（每有一個靈魂即提高 5% 攻擊和施放速度。若未繼續吸收靈魂，則每 0.5 秒失去 1 個靈魂。最多消耗45個靈魂）","","","","","","","","","",""
63,"ReminderTextElementalAilments","(Elemental Ailments are Ignited, Scorched, Chilled, Frozen, Brittle, Shocked, and Sapped)","(Les Altérations élémentaires sont : l'Embrasement, la Calcination, la Frigorification, le Gel, la Fragilisation, l'Électrocution et l'Amoindrissement)","(Elementare Beeinträchtigungen sind: entzündet, versengt, unterkühlt, eingefroren, zerbrechlich, geschockt und ausgelaugt)","(Elemental Ailments: 元素系状態異常には発火、焦げ、冷却、凍結、脆弱、感電、消耗がある)","(원소 상태 이상 - 점화, 그을림, 냉각, 동결, 허약, 감전, 활력 감소)","(Afecções Elementais são Incêndio, Resfriamento, Congelamento e Eletrização, Fragilizado, Causticado e Exaurido)","(Стихийные состояния - поджог, опаление, охлаждение, заморозка, хрупкость, шок и ошеломление)","(Los estados alterados elementales son quemado, calcinado, escarchado, congelado, frágil, electrocutado y debilitado)","(สถานะเจ็บป่วยธาตุ ประกอบด้วย ลุกไหม้, แผดเผา, หนาวเย็น, แช่แข็ง, เปราะ, ช็อค, อ่อนแรง)","(元素異常狀態包含點燃、焦灼、冰緩、冰凍、易碎、感電和殘喘)","","","","","","","","","",""
64,"ReminderTextAilments","(Ailments are Bleeding, Ignited, Scorched, Chilled, Frozen, Brittle, Shocked, Sapped, and Poisoned)","(Les Altérations sont : le Saignement, l'Embrasement, la Calcination, la Frigorification, le Gel, la Fragilisation, l'Électrocution, l'Amoindrissement et le Poison)","(Beeinträchtigungen sind: blutend, entzündet, versengt, unterkühlt, eingefroren, zerbrechlich, geschockt, ausgelaugt und vergiftet)","(Ailments: 状態異常には、出血、発火、焦げ、冷却、凍結、脆弱、感電、消耗、毒がある)","(상태 이상 - 출혈, 점화, 그을림, 냉각, 동결, 허약, 감전, 활력 감소, 중독)","(Afecções são Sangramento, Incêndio, Causticado, Resfriamento, Congelamento, Eletrização, Exaurido e Veneno)","(Состояния - кровотечение, поджог, опаление, охлаждение, заморозка, хрупкость, шок, ошеломление и яд)","(Los estados alterados son sangrado, quemado, calcinado, escarchado, congelado, frágil, electrocutado, debilitado y envenenado)","(สถานะเจ็บป่วย ประกอบด้วย เลือดไหล, ลุกไหม้, แผดเผา, หนาวเย็น, แช่แข็ง, เปราะ, ช็อค, อ่อนแรง, พิษ)","(異常狀態包含流血、點燃、焦灼、冰緩、冰凍、易碎、感電、殘喘和中毒)","","","","","","","","","",""
65,"ReminderTextDamagingAilments","(Ailments that deal Damage are Bleeding, Ignited, and Poisoned)","(Les Altérations qui infligent des Dégâts sont : le Saignement, l'Embrasement et le Poison)","(Beeinträchtigungen, die Schaden verursachen, sind: blutend, entzündet und vergiftet)","(Damaging Ailments: ダメージを与える状態異常には、出血、発火、毒がある)","(피해를 가하는 상태 이상 - 출혈, 점화, 중독)","(Afecções que causam Dano são Sangramento, Incêndio e Veneno)","(Состояния, наносящие урон - кровотечение, поджог и яд)","(Los estados alterados dañinos, o estados alterados que infligen daño, son sangrado, quemado y envenenado)","(สถานะเจ็บป่วยมีความเสียหาย ประกอบด้วย เลือดไหล, ลุกไหม้, พิษ)","(造成傷害的異常狀態包含流血、點燃和中毒)","","","","","","","","","",""
