"rownum","Id","Description","SetId","Objective","i32","bool","HideAchievementItems","bool","MinCompletedItems","TwoColumnLayout","ShowItemCompletionsAsOne","string","SoftcoreOnly","HardcoreOnly","bool","string"
281,"ProphecyEndgameGrinds","Complete Two Endgame Grinds",14,"Kill two of these four Unique Bosses the following numbers of times.",49193,1,"","",2,"",1,"","","","",""
282,"EssenceActivateWaypoints","Activate these Waypoints",15,"Activate the Waypoints in each of the following areas in Normal difficulty.",4790,"","","",0,1,"","","","","",""
283,"EssenceCombineEssences","Combine three Essences",15,"Trade any three identical Essences to a vendor.",7827,"",1,"",0,"","","","","","",""
284,"EssenceKillMonstersWithEssences","Kill 50 Monsters with Essences",15,"Kill 50 monsters that have Essences.",23207,"",1,"",0,"","","","","","",""
285,"EssenceNormalQuests","Complete these Normal Quests",15,"Complete each of the following quests in Normal Difficulty.",23107,"","","",0,1,"","","","","",""
286,"EssenceCompleteEncounters1","Complete these Encounters I",15,"Complete each of the following Encounters.",58784,1,"","",0,"","","","","","",""
287,"EssenceKillNormalActBosses","Kill these Normal Act Bosses",15,"Kill each of the following Unique Bosses in Normal Difficulty.",34514,"","","",0,"","","","","","",""
288,"EssenceKillCruelRares","Kill Rare Monsters in Cruel",15,"Kill a Rare Monster of each of these types in either Cruel or Merciless Difficulty.",57309,1,"","",0,1,"","","","","",""
289,"EssenceCompleteEncounters2","Complete these Encounters II",15,"Complete each of the following Encounters.",42621,1,"","",0,"","","","","","",""
290,"EssenceAllEssenceCorruptions","Corrupt Essences",15,"Obtain each of the following results when using a Remnant of Corruption on a monster trapped by an Essence.",38550,1,"","",0,"","","","","","",""
291,"EssenceKillCruelUniques","Kill these Unique Monsters",15,"Kill each of the following Unique Monsters in either Cruel or Merciless Difficulty.",41791,1,"","",0,1,"","","","","",""
292,"EssenceUseCurrency","Use these Currency Items",15,"Use each of the following Currency items.",48821,1,"","",0,1,"","","","","",""
293,"EssenceKillCruelActBosses","Kill these Cruel Act Bosses",15,"Kill each of the following Unique Bosses in Cruel Difficulty.",60989,"","","",0,"","","","","","",""
294,"EssenceKillSilverBearers","Kill 40 Monsters Bearing Silver",15,"Kill 40 monsters that are carrying Silver Coins.",47692,"",1,"",0,"","","","","","",""
295,"EssenceKillMonstersWithSpecificEssences","Claim these Essences",15,"Kill a monster that has each of the following Essences.",36073,1,"","",0,1,"","","","","",""
296,"EssenceKillVaalBosses","Kill these Vaal Bosses",15,"Kill each of the following Unique monsters in any Difficulty.",15032,1,"","",0,"","","","","","",""
297,"EssenceLevelMasters","Level these Masters",15,"Reach Reputation Level 5 with at least 6 of these 8 Forsaken Masters.",52504,1,"","",6,"","","","","","",""
298,"EssenceKill500Rares","Kill 500 Rare Monsters",15,"Kill 500 Rare Monsters in any Difficulty.",60165,"",1,"",0,"","","","","","",""
299,"EssenceKillMonstersWithNumberEssences","Kill Multi-Essence Monsters",15,"Kill Monsters that have multiple Essences, with these quantities.",39819,"","","",0,1,"","","","","",""
300,"EssenceVendorRecipes","Currency from Vendor Recipes",15,"Complete vendor recipes to receive each of the following items. A vendor recipe is when you trade a specific pattern of items to a vendor, not when you buy items from his/her purchase screen.",59414,1,"","",0,1,"","","","","",""
301,"EssenceUseEssenceTiers","Use these Essences",15,"Use each of the following Essences to upgrade or reforge items.",63536,"","","",0,1,"","","","","",""
302,"EssenceUpgradeHideout","Fully Upgrade your Hideout",15,"Create or Upgrade to a Large-sized Hideout.",885,"",1,"",0,"","","","","","",""
303,"EssenceLevelGem","Level a Gem to 20",15,"Upgrade a Skill Gem or a Support Gem to level 20. You can trade it away afterwards.",57812,"",1,"",0,"","","","","","",""
304,"EssenceIdentifyUniques","Identify 100 Unique Items",15,"Identify any 100 Unique Items. You can trade them away afterwards.",36058,"",1,"",0,"","","","","","",""
305,"EssenceFulfilChain","Fulfil a Prophecy Chain",15,"Complete a Prophecy Chain associated with Pale Council members.",14553,1,"","",1,1,"","","","","",""
306,"EssenceCompleteEncounters3","Complete these Encounters III",15,"Complete each of the following Encounters.",24409,1,"","",5,"",1,"","","","",""
307,"EssenceKillMercilessActBosses","Kill these Merciless Act Bosses",15,"Kill each of the following Unique bosses in Merciless Difficulty.",40639,"","","",0,"","","","","","",""
308,"EssenceAscension","Achieve Ascension",15,"Use the Ascendancy Device in each of the following places.",3508,"","","",0,"","","","","","",""
309,"EssenceLevel90","Reach Level 90",15,"Attain character level 90. This challenge still counts even if your character dies afterwards.",39227,"",1,"",0,"","","","","","",""
310,"EssenceUseShaperOrb","Shape these Maps",15,"Use a Shaper's Orb to upgrade Maps of the following Tiers.",41851,"","","",0,1,"","","","","",""
311,"EssenceKillWarbandLeaders","Kill these Warband Leaders",15,"Kill each of the following Warband Leaders.",17728,1,"","",0,"","","","","","",""
312,"EssenceTouchMemoryFragments","Read Memory Fragments",15,"Read each of the following Memory Fragments.",12048,"","","",0,1,"","","","","",""
313,"EssenceCompleteTwinnedMaps","Complete Twinned Maps",15,"Complete Maps in 10 of the following 15 tiers while they have the Twinned mod. These Maps are completed by killing their Unique Bosses.",61550,"","","",10,1,"","","","","",""
314,"EssenceIdentifyRareBaseType","Identify Rare Items",15,"Identify Rare Items of 6 of the following 11 types.",22294,"","","",6,1,"","","","","",""
315,"EssenceRedeemDivinationCards","Redeem Divination Card Sets",15,"Turn in sets of at least 7 of the following 12 Divination card types to Tasuni.",57089,"","","",7,1,"","","","","",""
316,"EssenceCompleteUniqueMaps","Complete Unique Maps",15,"Complete any 10 of the following 16 Unique Maps on your Atlas. A Map is completed by killing its Unique Boss or Bosses if it has any. Maps without Unique Bosses are completed by opening specific Unique Chests.",42070,1,"","",10,"","","","","","",""
317,"EssenceCompleteUnidentifiedRareMaps","Complete Unided Rare Maps",15,"Complete Rare Maps in 10 of the following 15 tiers while they are unidentified. These Maps are completed by killing their Unique Boss or Bosses if they have any.",41667,"","","",10,1,"","","","","",""
318,"EssenceUncoverAtlas","Explore the Atlas",15,"Complete at least 100 different types of Maps. A Map is completed by killing its Unique Boss or Bosses if it has any. Maps without Unique Bosses are completed by opening specific Unique Chests.",14137,"",1,"",0,1,"","","","","",""
319,"EssenceKillDeadlyBosses","Kill the Guardians of the Void",15,"Kill each of the four Guardians of the Void.",33628,"","","",0,"","","","","","",""
320,"EssenceKillTheShaper","Kill The Shaper",15,"Find The Shaper and kill him.",63361,"",1,"",0,1,"","","","","",""
321,"EssenceEndgameGrinds","Complete three Endgame Grinds",15,"Kill three of these five Unique Bosses the following number of times.",49089,"","","",3,"",1,"","","","",""
322,"BreachKeepBreachOpen","Keep a Breach open",16,"Successfully keep a Breach open for 30 seconds or longer.",160,"",1,"",0,1,"","","","","",""
323,"BreachCompleteEncounters1","Complete these Encounters I",16,"Complete each of the following Encounters.",57251,"","","",0,"",1,"","","","",""
324,"BreachUseCurrency","Use these Currency Items",16,"Use each of the following Currency items.",46927,"","","",0,1,"","","","","",""
325,"BreachActivateWaypoints","Activate these Waypoints",16,"Activate the Waypoints in each of the following areas in Normal difficulty.",20998,"","","",0,1,"","","","","",""
326,"BreachClearVaalSideArea","Clear Vaal Side Area",16,"Fully clear a Corrupted Vaal side area.",10395,"",1,"",0,1,"","","","","",""
327,"BreachKillNormalActBosses","Kill these Normal Act Bosses",16,"Kill each of the following Unique Bosses in Normal Difficulty.",33281,"","","",0,"","","","","","",""
328,"BreachEssenceChallenge","Use these Essences",16,"Use each of the following Essences to upgrade or reforge items.",64614,"","","",0,1,"","","","","",""
329,"BreachKill500BreachMonsters","Kill 500 Breach Monsters",16,"Kill 500 Monsters that have been revealed by Breaches.",36495,"",1,"",0,1,"","","","","",""
330,"BreachCompleteEncounters2","Complete these Encounters II",16,"Complete each of the following Encounters.",10173,"","","",0,"",1,"","","","",""
331,"BreachCruelQuests","Complete these Cruel Quests",16,"Complete each of the following quests in Cruel Difficulty.",28768,"","","",0,1,"","","","","",""
332,"BreachCompleteMasterMissions","Complete these Master Missions",16,"Complete 10 missions each for any 5 of these Forsaken Masters.",32387,"","","",5,"",1,"","","","",""
333,"BreachKillCruelActBosses","Kill these Cruel Act Bosses",16,"Kill each of the following Unique Bosses in Cruel Difficulty.",47808,"","","",0,"","","","","","",""
334,"BreachVendorRecipes","Currency from Vendor Recipes",16,"Complete vendor recipes to receive each of the following items. A vendor recipe is when you trade a specific pattern of items to a vendor, not when you buy items from his/her purchase screen.",9406,"","","",0,1,"","","","","",""
335,"BreachGainSplinters","Gain Splinters from Monsters",16,"Gain Splinters from the following unique Breach monsters.",19100,"","","",0,"","","","","","",""
336,"BreachKillVaalBosses","Kill these Vaal Bosses",16,"Kill each of the following Unique monsters in any Difficulty.",29421,"","","",0,"","","","","","",""
337,"BreachUniqueStrongbox","Open a Unique Strongbox",16,"Open one of the following four Unique Strongboxes. Strongboxes do not need to be identified to complete the challenge. The ambushers must be defeated before it is counted as open.",36869,"","","",1,1,"","","","","",""
338,"BreachKillMercilessRares","Kill Rare Monsters in Merciless",16,"Kill a Rare Monster of each of these types in Merciless Difficulty.",57165,"","","",0,1,"","","","","",""
339,"BreachKillMercilessUniques","Kill these Unique Monsters",16,"Kill each of the following Unique Monsters in Merciless Difficulty.",34730,"","","",0,1,"","","","","",""
340,"BreachEnterDomain","Enter a Breachlord's Domain",16,"Enter any 3 of the following Breachlords' Domains.",22333,"","","",3,1,"","","","","",""
341,"BreachKill1000Rares","Kill 1000 Rare Monsters",16,"Kill 1000 Rare Monsters in any Difficulty.",8187,"",1,"",0,1,"","","","","",""
342,"BreachIdentifyUniques","Identify 100 Unique Items",16,"Identify any 100 Unique Items. You can trade them away afterwards.",48843,"",1,"",0,1,"","","","","",""
343,"BreachUpgradeHideout","Fully Upgrade your Hideout",16,"Create or Upgrade to a Large-sized Hideout.",29905,"",1,"",0,1,"","","","","",""
344,"BreachKillMercilessActBosses","Kill these Merciless Act Bosses",16,"Kill each of the following Unique bosses in Merciless Difficulty.",33821,"","","",0,"","","","","","",""
345,"BreachLevel90","Reach Level 90",16,"Attain character level 90. This challenge still counts even if your character dies afterwards.",3470,"",1,"",0,1,"","","","","",""
346,"BreachLevelGem","Level up a Gem to 20",16,"Level up a Skill Gem or a Support Gem to level 20. You can trade it away afterwards.",42662,"",1,"",0,1,"","","","","",""
347,"BreachIdentifyBreachUniques","Identify Breach Uniques",16,"Identify a unique item from each type of Breach.",19948,"","","",0,1,"","","","","",""
348,"BreachAscension","Achieve Ascension",16,"Use the Ascendancy Device in each of the following places.",18230,"","","",0,1,"","","","","",""
349,"BreachCompleteEncounters3","Complete these Encounters III",16,"Complete each of the following Encounters.",5067,"","","",0,"",1,"","","","",""
350,"BreachKillBreachlords","Kill Breachlords",16,"Kill each of the following Breachlords.",45189,"","","",0,"","","","","","",""
351,"BreachUnleashBreachUniques","Upgrade Breach Unique Items",16,"Upgrade to any 10 out of the following 17 Unique items.",25252,"","","",10,"","","","","","",""
352,"BreachSlayBeyondDemons","Kill these Beyond Demons",16,"Kill any 5 of the following 6 Unique bosses.",61703,"","","",5,"","","","","","",""
353,"BreachJewelCorruption","Create these Corrupted Jewels",16,"Corrupt Jewels into any 10 of the following Unique Jewels.",30828,"","","",10,1,"","","","","",""
354,"BreachCompleteUnidentifiedRareMaps","Complete Unided Rare Maps",16,"Complete Rare Maps in 10 of the following 16 tiers while they are unidentified. These Maps are completed by killing their Unique Boss or Bosses if they have any.",51420,"","","",10,1,"","","","","",""
355,"BreachSextantMods","Complete these Sextant Mods",16,"Complete Maps that have been affected by these 6 Sextant mods.",4870,"","","",0,"","","","","","",""
356,"BreachAtlasMission","Complete Atlas Bonus Objectives",16,"Complete the bonus objective in 25 different maps of Tier 11 or higher. A Map is completed by killing its Unique Boss or Bosses if it has any. Maps without Unique Bosses are completed by opening specific Unique Chests.",45843,"",1,"",0,1,"","","","","",""
357,"BreachCompleteTwinnedMaps","Complete Twinned Maps",16,"Complete Maps in the following 15 tiers while they have the Twinned mod. These Maps are completed by killing their Unique Bosses.",52417,"","","",0,1,"","","","","",""
358,"BreachDivinationCardStacks","Redeem Sets of Divination Cards",16,"Turn in Divination card sets of the following sizes to Tasuni.",38071,"","","",0,1,"","","","","",""
359,"BreachComplete10000MapTiers","Complete Map Tiers",16,"Complete 10000 map tiers. Completing a tier 1 map gives 1 tier, completing a tier 2 map gives 2 tiers, and so on. Completing maps opened by Zana do not count towards this challenge.",28386,"",1,"",0,1,"","","","","",""
360,"BreachKillTheShaper","Kill The Shaper",16,"Find The Shaper and kill him.",58095,"",1,"",0,1,"","","","","",""
361,"BreachEndgameGrinds","Complete three Endgame Grinds",16,"Complete any 3 of these encounters the specified number of times.",31680,"","","",3,"",1,"","","","",""
362,"LegacyUseLeaguestone","Use Leaguestones",17,"Use the following numbers of Leaguestones when entering a new area.",3474,"","","",0,1,"","","","","",""
363,"LegacyMasterMission","Complete a Master's Mission",17,"Complete a Forsaken Master's mission.",57091,"",1,"",0,1,"","","","","",""
364,"LegacyUseCurrency","Use these Currency Items",17,"Use each of the following Currency items.",24126,"","","",0,1,"","","","","",""
365,"LegacyVendorRecipes","Items from Vendor Recipes",17,"Complete vendor recipes to receive each of the following items. A vendor recipe is when you trade a specific pattern of items to a vendor, not when you buy items from his/her purchase screen.",32110,"","","",0,1,"","","","","",""
366,"LegacyNormalQuests","Complete these Normal Quests",17,"Complete each of the following quests in Normal Difficulty.",23850,"","","",0,1,"","","","","",""
367,"LegacyKillNormalActBosses","Kill these Normal Act Bosses",17,"Kill each of the following Unique Bosses in Normal Difficulty.",51529,"","","",0,"","","","","","",""
368,"LegacyKillBloodlinePacks","Kill Packs from these Bloodlines",17,"Kill packs of Magic monsters with each of the following Bloodline Mods.",2899,1,"","",0,"","","","","","",""
369,"LegacyMastercraftItems","Master-craft these Item Types",17,"Use a Master's Crafting Bench to add a mod to each of the following types of item.",48020,"","","",0,1,"","","","","",""
370,"LegacyKillSilverBearers","Kill 50 Monsters Bearing Silver",17,"Kill 50 monsters that are carrying Silver Coins.",55736,"",1,"",0,1,"","","","","",""
371,"LegacyTouchShrine","Touch these Shrines",17,"Touch each of these Shrines to gain their powers.",17303,1,"","",0,1,"","","","","",""
372,"LegacyLevelMasters","Level these Masters",17,"Reach Reputation Level 5 with at least 5 of these 8 Forsaken Masters.",9181,"","","",5,"","","","","","",""
373,"LegacyKillCruelActBosses","Kill these Cruel Act Bosses",17,"Kill each of the following Unique Bosses in Cruel Difficulty.",60176,"","","",0,"","","","","","",""
374,"LegacyKillTormentedSpirits","Kill these Tormented Spirits",17,"Kill each of these Tormented Spirits or Rare/Unique monsters possessed by them.",37826,1,"","",0,"","","","","","",""
375,"LegacyKillRogueExiles","Kill these Rogue Exiles",17,"Kill each of the following Rogue Exiles.",36900,"","","",0,1,"","","","","",""
376,"LegacyKillVaalBosses","Kill these Vaal Bosses",17,"Kill each of the following Unique monsters in any Difficulty.",11147,1,"","",0,1,"","","","","",""
377,"LegacyOpenStrongboxes","Open Strongboxes",17,"Open each of the following Strongboxes.",62812,"","","",0,1,"","","","","",""
378,"LegacyClaimEssences","Claim these Essences",17,"Kill a monster that has each of the following Essences.",31676,1,"","",0,1,"","","","","",""
379,"LegacyKillInvasionBosses","Kill these Unique Invaders",17,"Kill each of the following Unique bosses.",42835,1,"","",0,"","","","","","",""
380,"LegacyKillNemesisMods","Slay the Nemeses",17,"Kill Rare monsters with each of these Nemesis Mods.",59497,1,"","",0,1,"","","","","",""
381,"LegacyOpenPerandusChests","Open these Perandus Chests",17,"Open the following Perandus Chests.",27270,1,"","",0,1,"","","","","",""
382,"LegacyCompleteEncounters1","Complete these Encounters I",17,"Complete each of the following Encounters.",16408,"","","",0,"","","","","","",""
383,"LegacyUpgradeHideout","Fully Upgrade your Hideout",17,"Create or Upgrade to a Large-sized Hideout.",13519,"",1,"",0,1,"","","","","",""
384,"LegacyKillMercilessActBosses","Kill these Merciless Act Bosses",17,"Kill each of the following Unique bosses in Merciless Difficulty.",48758,"","","",0,"","","","","","",""
385,"LegacyLevel90","Reach Level 90",17,"Attain character level 90. This challenge still counts even if your character dies afterwards.",27215,"",1,"",0,1,"","","","","",""
386,"LegacyLevelGem","Level up a Gem to 20",17,"Level up a Skill Gem or a Support Gem to level 20. You can trade it away afterwards.",21735,"",1,"",0,1,"","","","","",""
387,"LegacyKillTalismanBosses","Kill Talisman Bosses",17,"Kill each of the following Unique bosses.",37968,"","","",0,1,"","","","","",""
388,"LegacyCompleteProphecyChains","Complete Prophecy Chains",17,"Complete any 4 of the following 8 Prophecy Chains.",35441,1,"","",4,1,"","","","","",""
389,"LegacyAscension","Achieve Ascension",17,"Use the Ascendancy Device in each of the following places.",13498,"","","",0,1,"","","","","",""
390,"LegacySlayBeyondDemons","Kill these Beyond Demons",17,"Kill the following Unique bosses.",38096,"","","",0,"","","","","","",""
391,"LegacyCompleteEncounters2","Complete these Encounters II",17,"Complete each of the following Encounters.",20194,"","","",0,"",1,"","","","",""
392,"LegacyOnslaughtMapBosses","Kill Map Bosses with Onslaught",17,"Kill Map Bosses of the following map tiers while they are affected by Onslaught.",54300,"","","",0,1,"","","","","",""
393,"LegacyCompleteUnidedRareMaps","Complete Unided Rare Maps",17,"Complete Rare Maps in 10 of the following 16 tiers while they are unidentified. These Maps are completed by killing their Unique Bosses.",49302,"","","",10,1,"","","","","",""
394,"LegacyKillWarbandLeaders","Kill these Warband Leaders",17,"Kill each of the following Warband Leaders.",21510,1,"","",0,"","","","","","",""
395,"LegacyCompleteTwinnedMaps","Complete Twinned Maps",17,"Complete Maps in the following 15 tiers while they have the Twinned mod. These Maps are completed by killing their Unique Bosses.",11424,"","","",0,1,"","","","","",""
396,"LegacyComplete8ModMaps","Complete Maps with Eight Mods",17,"Complete Maps in the following 15 tiers while they have 8 mods. Maps having 8 mods is a potential outcome of Vaal Orb corruption. These Maps are completed by killing their Unique Bosses. Sextant mods do not count towards the mod count of this challenge.",53166,"","","",0,1,"","","","","",""
397,"LegacyCompleteUniqueMaps","Complete Unique Maps",17,"Complete any 12 of the following 16 Unique Maps on your Atlas. A Map is completed by killing its Unique Boss or Bosses if it has any. Maps without Unique Bosses are completed by opening specific Unique Chests.",42936,1,"","",12,"","","","","","",""
398,"LegacyCompleteYellowRedMaps","Tri-League T6+ Maps",17,"Complete 1000 Maps of Tier 6 or higher with 3 Leaguestones active.",32768,"",1,"",0,1,"","","","","",""
399,"LegacyCompleteAlluringAbyss","Complete the Alluring Abyss",17,"Complete the Alluring Abyss.",6727,"",1,"",0,1,"","","","","",""
400,"LegacyKillTheShaper","Kill The Shaper",17,"Find The Shaper and kill him.",3016,"",1,"",0,1,"","","","","",""
401,"LegacyEndgameGrinds","Complete four Endgame Grinds",17,"Complete any 4 of these encounters the specified number of times.",43823,"","","",4,"",1,"","","","",""
402,"StandardEndgameLabyrinth","Emperor",2,"Complete the Eternal Labyrinth in a non-Hardcore league.",31098,"",1,"",0,1,"","101",1,"","","36"
403,"HardcoreEndgameLabyrinth","Untouchable",2,"Complete the Eternal Labyrinth in a Hardcore League.",56772,"",1,"",0,1,"","","",1,"",""
404,"KillDominus","Heretic",2,"Kill High Templar Dominus.",61834,"",1,"",0,1,"","90","","","","3"
405,"KillArgus","Loyal to the End",2,"Kill Argus.",49610,"",1,"",0,1,"","146","","","","34"
406,"GetThreeKeysFromIzaro","Treasure Hunter",2,"Kill Izaro and have him drop 3 treasure keys.",10423,"",1,"",0,1,"","148","","","","35"
407,"SlayAGod","Deicide",2,"Kill a god and obtain their power.",6186,"",1,"",0,1,"","147","","","",""
408,"EquipTwoOfTheSameUnique","Two of a Kind",2,"Equip two unique items with the same name.",48399,"",1,"",0,1,"","149","","","",""
409,"CompleteTenModMap","Decimation",2,"Complete a map area that is affected by 10 or more mods. This can include mods from Sextants and other mods that are not on the map item.",31861,"",1,"",0,1,"","150","","","","38"
410,"OpenAndEnterAMap","One Small Step",2,"Open a map in the map device and step through its portal.",52814,"",1,"",0,1,"","151","","","",""
411,"KillAbaxoth","Beyond Death",2,"Kill Beidat, Archangel of Death.",8794,"",1,"",0,1,"","153","","","","43"
412,"CompleteADailyMission","All in a Day's Work",2,"Complete a Master's Atlas Mission.",8233,"",1,"",0,1,"","154","","","",""
413,"SevenMaxLevelMasters","The Forsaken Masters",2,"Defeat each Master's most dangerous foe.",17704,"","","",0,"","","152","","","",""
414,"ObtainAllGodPowers","Deadly Sins",2,"Obtain every Pantheon power. ",53924,"",1,"",0,1,"","161","","","","12"
415,"FullyUpgradePantheon","Omnipotent",2,"Fully upgrade every god power.",10375,"",1,"",0,1,"","155","","","",""
416,"CorruptMonolith","Essence Corruption",2,"Corrupt an Essence monster with a Remnant of Corruption.",54934,"",1,"",0,1,"","156","","","","31"
417,"KillFiveEssenceMonster","Quintessence",2,"Kill a monster that is under the influence of five Essence mods.",17389,"",1,"",0,1,"","158","","","",""
418,"KillAllWarbandLeaders","Warlord",2,"Kill all Warbands leaders.",32960,"","","",0,1,"","157","","","",""
419,"UseCurrencyOnStrongbox","Augmentation",2,"Use an orb to change the mods of a Strongbox.",17258,"",1,"",0,1,"","160","","","","16"
420,"FindAllShaperMemoryFragments","Unforgettable",2,"Defeat The Elder.",60194,"",1,"",0,1,"","159","","","","37"
421,"CompleteAct5","Fall of Oriath",2,"Complete Part 1.",41187,"",1,"",0,1,"","92","","","","5"
422,"KillBrineKing","King Tide",2,"Kill Tsoagoth, the Brine King",60182,"",1,"",0,1,"","93","","","","6"
423,"KillArakaali","Widow's Lament",2,"Kill Arakaali, Spinner of Shadows.",63206,"",1,"",0,1,"","94","","","","7"
424,"KillLunarisSolaris","Eternal Eclipse",2,"Kill both Lunaris and Solaris in the same encounter.",23581,"",1,"",0,1,"","95","","","","8"
425,"KillUnholyTrio","Rule of Three",2,"Kill the Depraved Trinity.",12023,"",1,"",0,1,"","96","","","","9"
426,"CompleteAct10","Sin and Salvation",2,"Complete Part 2.",56087,"",1,"",0,1,"","97","","","","10"
427,"AllWhiteMaps","Apprentice Cartographer",2,"Have a Voidstone socketed in your Atlas.",50700,"",1,"",0,1,"","162","","","","39"
428,"AllYellowMaps","Journeyman Cartographer",2,"Have two Voidstones socketed in your Atlas.",42498,"",1,"",0,1,"","163","","","","40"
429,"AllRedMaps","Master Cartographer",2,"Have three Voidstones socketed in your Atlas.",13806,"",1,"",0,1,"","164","","","","41"
430,"CompleteAtlas","Atlas of Worlds",2,"Complete every map on the Atlas.",14702,"",1,"",0,1,"","165","","","","42"
431,"HallOfGrandmasters","Grandmaster",2,"Complete the Hall of Grandmasters.",5111,"",1,"",0,1,"","166","","","",""
432,"KillUberAtziri","Sacrifice of the Vaal",2,"Kill Atziri in the Alluring Abyss.",21265,"",1,"",0,1,"","167","","","","45"
433,"UseShapersOrb","New World Order",2,"Apply an Awakened Sextant to a Voidstone.",22378,"",1,"",0,1,"","168","","","",""
434,"KillAllBreachlords","Breachlord",2,"Kill every Breachlord.",61218,"","","",0,1,"","169","","","","46"
435,"ChooseAscendancyClass","Ascendancy",2,"Choose an Ascendancy class.",50365,"",1,"",0,1,"","170","","","","33"
436,"KillPaleCouncil","Ruler of the Court",2,"Complete the Vinktar Square",5403,"",1,"",0,1,"","171","","","",""
437,"KillTheShaper","Shaper of Worlds",2,"Defeat the Shaper.",33406,"",1,"",0,1,"","172","","","","47"
438,"UpgradeAllCountriesTier5","King Cartographer",2,"Have four Voidstones socketed in your Atlas.",43336,"",1,"",0,1,"","","","","",""
439,"DefeatTheOrion","Sirus, Awakener of Worlds",2,"Defeat Sirus, Awakener of Worlds",5490,"",1,"",0,1,"","","","","",""
440,"HarbingerDefeatHarbinger","Defeat a Harbinger",18,"Defeat a Harbinger.",25449,"",1,"",0,"","","","","","",""
441,"HarbingerUseCurrency","Use these Currency Items",18,"Use each of the following Currency items.",38858,"","","",0,1,"","","","","",""
442,"HarbingerKillShadowExile","Kill Rogue Shadow",18,"Kill a Rogue Shadow.",64440,"",1,"",0,"","","","","","",""
443,"HarbingerClearVaalSideArea","Clear Vaal Side Area",18,"Fully clear a Corrupted Vaal side area.",38846,"",1,"",0,"","","","","","",""
444,"HarbingerOpenStrongboxes","Open Strongboxes",18,"Open each of the following Strongboxes.",51381,"","","",0,1,"","","","","",""
445,"HarbingerVendorRecipes","Items from Vendor Recipes",18,"Complete vendor recipes to receive each of the following items. A vendor recipe is when you trade a specific pattern of items to a vendor, not when you buy items from his/her purchase screen.",47463,"","","",0,1,"","","","","",""
446,"HarbingerDefeatHarbingerTypes","Defeat following Harbingers",18,"Defeat each of the following Harbingers.",62699,"","","",0,"","","","","","",""
447,"HarbingerCompleteEncounters1","Complete these Encounters I",18,"Complete each of the following Encounters.",29772,"","","",0,"","","","","","",""
448,"HarbingerPart1ActBosses","Defeat these Act Bosses I",18,"Defeat each of the following Unique Bosses.",46448,"","","",0,"","","","","","",""
449,"HarbingerKillUniqueMonsters","Kill these Unique Monsters",18,"Kill each of the following Unique Monsters.",36295,"","","",0,"","","","","","",""
450,"HarbingerCompleteQuests","Complete these Quests",18,"Complete each of the following quests.",64615,"","","",0,"","","","","","",""
451,"HarbingerKillHarbingerMonsters","Kill Harbinger Summons",18,"Kill 500 Harbinger summoned monsters.",55150,"",1,"",0,"","","","","","",""
452,"HarbingerKill1000Rares","Kill 1000 Rare Monsters",18,"Kill 1000 Rare Monsters.",48627,"",1,"",0,1,"","","","","",""
453,"HarbingerDefeatGods","Defeat these Gods",18,"Defeat each of the following Gods.",13920,"","","",0,"","","","","","",""
454,"HarbingerKillVaalBosses","Kill these Vaal Bosses",18,"Kill each of the following Unique monsters.",59269,"","","",0,"","","","","","",""
455,"HarbingerIdentifyUniques","Identify 100 Unique Items",18,"Identify any 100 Unique Items. You can trade them away afterwards.",46961,"",1,"",0,1,"","","","","",""
456,"HarbingerCompleteEncounters2","Complete these Encounters II",18,"Complete each of the following Encounters.",47834,"","","",0,"",1,"","","","",""
457,"HarbingerPart2ActBosses","Defeat these Act Bosses II",18,"Defeat each of the following Unique Bosses.",10600,"","","",0,"","","","","","",""
458,"HarbingerUseHarbingerCurrencyItems","Use Currency Items",18,"Use each of the following Currency Items.",34944,"","","",0,1,"","","","","",""
459,"HarbingerLevelMasters","Level these Masters",18,"Reach Reputation Level 6 with at least 6 of these 8 Forsaken Masters.",13915,"","","",6,"","","","","","",""
460,"HarbingerClaimEssences","Claim these Essences",18,"Claim any 3 of the following Essences.",19938,"","","",3,"","","","","","",""
461,"HarbingerMapHarbingers","Defeat Map Harbingers",18,"Defeat 100 Harbingers in a map.",19685,"",1,"",0,1,"","","","","",""
462,"HarbingerCompleteEncounters3","Complete these Encounters III",18,"Complete each of the following Encounters.",60398,"","","",0,"",1,"","","","",""
463,"HarbingerUpgradeHideout","Fully Upgrade your Hideout",18,"Create or Upgrade to a Large-sized Hideout.",62953,"",1,"",0,"","","","","","",""
464,"HarbingerCompletePaleCourt","Defeat the Pale Council",18,"Defeat the Pale Council.",49065,"","","",0,"","","","","","",""
465,"HarbingerKillBreachlord","Kill Breachlord",18,"Kill any one of the following Breachlords.",45586,"","","",1,"","","","","","",""
466,"HarbingerAscension","Achieve Ascension",18,"Use the Ascendancy Device in all 4 Labyrinths.",46332,"",1,"",0,1,"","","","","",""
467,"HarbingerKillEndgameBoss","Kill Harbinger Map Boss",18,"Defeat the Harbinger Map Boss in an area of level 75 or higher.",6661,"",1,"",0,"","","","","","",""
468,"HarbingerCompleteUnidedRareMaps","Complete Unided Rare Maps",18,"Complete Rare Maps in 10 of the following 16 tiers while they are unidentified. These Maps are completed by killing their Unique Bosses.",27354,"","","",10,1,"","","","","",""
469,"HarbingerLevel90","Reach Level 90",18,"Attain character level 90. This challenge still counts even if your character dies afterwards.",31050,"",1,"",0,"","","","","","",""
