"rownum","Id","Act","Name (English)","Name (French)","Name (German)","Name (Japanese)","Name (Korean)","Name (Portuguese)","Name (Russian)","Name (Spanish)","Name (Thai)","Name (Traditional Chinese)","Icon_DDSFile","QuestId","bool","Type","[i32]","i32","TrackerGroup","bool"
98,"a10q1",10,"Safe Passage","Une Voie sûre","Sichere Passage","安全な通り道","안전한 길","Passagem Segura","Безопасный путь","Pasaje seguro","เส้นทางปลอดภัย","安全通關","Art/2DArt/QuestIcons/SafePassage.dds",1,"",0,[],50,"",""
99,"a10q2",10,"Death and Rebirth","Mort et Renaissance","Tod und Wiedergeburt","死と再生","죽음과 부활","Morte e Ressurreição","Смерть и перерождение","Muerte y reencarnación","ตายและกำเนิดใหม่","死與生","Art/2DArt/QuestIcons/DeathAndRebirth.dds",2,"",0,[],50,"",""
100,"a10q3",10,"An End to Hunger","L'Apogée de la Faim","Ein Ende dem Hunger","飢えの終焉","허기의 끝","O Fim da Fome","Конец голоду","El fin del hambre","สิ้นซึ่งสวาปาม","終結饑荒","Art/2DArt/QuestIcons/EndToHunger.dds",3,"",0,[],50,"",""
101,"a10q4",10,"No Love for Old Ghosts","La Passion et le Passé","Keine Liebe für alte Geister","年老いた亡霊は愛されない","노귀를 위한 사랑은 없다","Sem Amor para Fantasmas Antigos","Старых призраков никто не любит","No hay amor para los viejos fantasmas","ผีเก่าอาภัพรัก","缺愛幽魂","Art/2DArt/QuestIcons/NoLoveForOldGhosts.dds",4,1,1,[],50,"",""
102,"a10q5",10,"Map to Tsoatha","Une Carte vers Tsoatha","Karte nach Tsoatha","ツォアーサへの地図","소아사로의 지도","Mapa para Tsoatha","Карта до Тсоаты","Mapa hacia Tsoatha","แผนที่สู่ซัวธา","特索塔地圖","Art/2DArt/QuestIcons/MapToTsoatha.dds",5,1,1,[],50,"",""
103,"a10q6",10,"Vilenta's Vengeance","La Vengeance de Vilenta","Vilentas Rache","ヴァイレンタの復讐","바일렌타의 복수","Vingança de Vilenta","Месть Виленты","La venganza de Vilenta","แก้แค้นไวเลนท่า","范尼達的復仇","Art/2DArt/QuestIcons/VilentasVengeance.dds",6,1,1,[],50,"",""
104,"a10q3a11",11,"An End to Hunger","L'Apogée de la Faim","Ein Ende dem Hunger","飢えの終焉","허기의 끝","O Fim da Fome","Конец голоду","El fin del hambre","สิ้นซึ่งสวาปาม","終結饑荒","Art/2DArt/QuestIcons/EndToHunger.dds",1,"",0,[],50,"",""
105,"A11q0",10,"Toward the Future","Tournés vers l'avenir","Weg in die Zukunft","未来へ向かって","미래를 향해","Ao Futuro","Навстречу будущему","Hacia el futuro","สู่อนาคต","走向未來","Art/2DArt/QuestIcons/PickingUpThePieces.dds",7,"",0,[],50,"",""
106,"a11q1",12,"A Call to Arms","Un Appel aux armes","Ruf zu den Waffen","召集令","소집","Convocação","Призыв к оружию","Llamada a las armas","เตรียมเผชิญภัย","武裝號召","Art/2DArt/QuestIcons/PickingUpThePieces.dds",2,"",0,[],50,"",""
107,"voidstones",0,"Lost Voidstones","Les Pierres du néant perdues","Verlorene Leerensteine","失われたヴォイドストーン","사라진 공허석","Pedras Perdidas do Vazio","Потерянные Камни Пустоты","Rocas del vacío perdidas","อัญมณีว่างเปล่าที่สาบสูญ","遺失虛空石","",0,"",3,"[3,1]",50,"",""
108,"bestiary1",2,"Einhar's Hunt","La Chasse d'Einhar","Einhars Jagd","アイナーの狩り","아인하르의 사냥","Caçada de Einhar","Охота Эйнара","La caza de Einhar","การล่าของไอนาร์","埃哈的狩獵","Art/2DArt/QuestIcons/EinharsHunt.dds",0,"",4,[],50,"",""
109,"bestiary2",2,"Einhar's Menagerie","La Ménagerie d'Einhar","Einhars Menagerie","アイナーの怪獣園","아인하르의 야수관","Viveiro de Einhar","Зверинец Эйнара","El animalario de Einhar","สวนสัตว์ของไอนาร์","埃哈的獸園","Art/2DArt/QuestIcons/EinharsMenagerie.dds",0,"",4,[19],50,"",""
110,"incursion",7,"No Time like the Present","Rattraper le Temps perdu","Vergangenheit und Gegenwart","思い立ったが吉日","지금이 바로 그 때","Não Há Hora Melhor Que Agora","Нет ничего важнее настоящего","No hay mejor momento que el presente","ไม่มีเวลาใดสำคัญกว่าปัจจุบัน","時不我與","Art/2DArt/QuestIcons/Alva.dds",0,"",4,[],50,"",""
111,"delve1",4,"Niko's Fuel","Le Combustible de Niko","Nikos Treibstoff","ニコの燃料","니코의 연료","Combustível de Niko","Топливо Нико","El combustible de Niko","เชื้อเพลิงของนิโค้","尼科的燃料","Art/2DArt/QuestIcons/NikosFuel.dds",0,"",4,[],50,"",""
112,"delve2",4,"Niko's Mine","La Mine de Niko","Nikos Mine","ニコの鉱山","니코의 광산","Mina de Niko","Шахта Нико","La mina de Niko","เหมืองของนิโค้","尼科的礦脈","Art/2DArt/QuestIcons/NikosMine.dds",0,"",4,[27],50,"",""
113,"delve3",4,"Niko's Explosives","Les Explosifs de Niko","Nikos Sprengstoffe","ニコの爆薬","니코의 폭발물","Explosivos de Niko","Взрывчатка Нико","Los explosivos de Niko","วัตถุระเบิดของนิโค้","尼科的炸藥","Art/2DArt/QuestIcons/NikosExplosives.dds",0,"",4,[27],50,"",""
114,"delve4",0,"Shrinking Light","Lumière vacillante","Schwindendes Licht","消えゆく光","오그라드는 빛","Luz Encolhedora","Нехватка света","Luz decreciente","แสงที่หดตัว","這樣太危險，光太暗","",0,"",4,[27],50,"",""
115,"delve5",0,"Strengthening Darkness","Ténèbres grandissantes","Wachsende Dunkelheit","強まる闇","강해지는 어둠","Escuridão Fortificante","Усиление тьмы","Fortaleciendo la oscuridad","ความมืดที่แข็งแกร่ง","這樣太危險，抗性太低","",0,"",4,[27],50,"",""
116,"hideout1",2,"Safe and Sound","Sains et saufs","Sicher und geborgen","安全な隠れ家探し","무사 무탈","Sã e Salvo","В целости и сохранности","Sano y salvo","ปลอดภัยหายห่วง","安全與寧靜","Art/2DArt/QuestIcons/hideout.dds",0,"",5,[3],50,"",""
117,"hideout",0,"","","","","","","","","","","",0,"",3,[3],50,"",""
118,"betrayal",9,"The Immortal Syndicate","Le Syndicat immortel","Das unsterbliche Syndikat","イモータルシンジケート","불멸자 연합","O Sindicato Imortal","Бессмертный Синдикат","El sindicato inmortal","องค์กรอิมมอร์ทัล","永生密教","Art/2DArt/QuestIcons/FortQuestIcon.dds",0,"",4,[],50,"",""
119,"synthesis1",1,"Shattered Past","Un Passé fracassé","Zerbrochene Vergangenheit","砕け散った過去","조각난 과거","Passado Destruído","Раздробленное прошлое","Pasado destrozado","Shattered Past","破碎過去","Art/2DArt/QuestIcons/MemoryFragment.dds",0,"",4,[],29,"",""
120,"synthesis2",1,"Into The Nexus","Évocation du Nexus","Hinein in den Nexus","中核の中へ","연결부 안으로","Para o Nexus","В Нексус","Hacia el nexo","Into The Nexus","進入叉點","Art/2DArt/QuestIcons/NexusDevice.dds",0,"",4,"[32,31]",29,"",""
121,"synthesis3",1,"Figments Reforged","Réminiscences","Neue Synapsen","作り直された虚構","재연마의 산물","Invenções Reforjadas","Переделанные вымыслы","Fragmentos reforjados","Figments Reforged","虛構重鑄","Art/2DArt/QuestIcons/Synthesis.dds",0,"",4,"[32,31]",29,"",""
122,"blight1",11,"Strange Growths","Excroissances excessives","Ungewöhnliches Wachstum","奇妙な増殖","괴상한 종양","Flora Estranha","Странные наросты","Crecimientos extraños","การเติบโตที่แปลกประหลาด","變異孳生","Art/2DArt/QuestIcons/FirstBlight.dds",0,"",4,[],50,"",""
123,"metamorphosis1",11,"Pound of Flesh","Don d'organes","Ein Pfund Fleisch","肉塊","지독한 요구","Quilo de Carne","Фунт плоти","Trozo de carne","กรงขังซากเนื้อ","肉塊","Art/2DArt/QuestIcons/Metamorph.dds",0,"",4,[],50,"",""
124,"harvest_tutorial",11,"The Sacred Grove","Le Bosquet sacré","Der Heilige Hain","聖なる木立","신성한 숲","O Bosque Sagrado","Священная роща","El huerto sagrado","สวนศักดิ์สิทธิ์","聖殿密園","Art/2DArt/QuestIcons/GenericHarvest.dds",0,"",4,[],50,"",""
125,"heist",0,"Heist","Le Casse","Raubüberfall","ハイスト","강탈","Golpe","Кража","Atraco","โจรกรรม","劫盜任務","",0,"",3,"[36,37]",50,"",""
126,"heist_intro",6,"The Rogue Harbour","Le Port des Malfaiteurs","Der Hafen der Abtrünnigen","ローグハーバー","도둑 항구","O Porto dos Renegados","Разбойничья гавань","El Puerto de los renegados","ท่าเรือโจร","盜賊港灣","Art/2DArt/QuestIcons/Heist.dds",0,"",0,"[36,37,1]",50,"",""
127,"heist_tutorial",0,"Contract: Trial Run","Contrat : Coup d'essai","Auftrag: Testlauf","依頼書：試走","계약: 시험 작업","Contrato: Teste","Контракт: Пробное дело","Contrato: Periodo de prueba","สัญญาจ้าง: ลองงาน","契約書：試煉之行","",0,"",3,"[36,37]",50,"",""
128,"heist_quest_karst1",0,"Contract: Stolen Lockpicks","Contrat : Les Crochets volés","Auftrag: Gestohlene Dietriche","依頼書：盗まれたロックピック","계약: 도난당한 자물쇠 따개","Contrato: Ferramentas Roubadas","Контракт: Украденные отмычки","Contrato: Ganzúas robadas","สัญญาจ้าง: กุญแจผีที่ถูกขโมย","契約書：失竊的鎖撬","",0,"",3,"[36,37]",50,"",""
129,"heist_quest_karst2",0,"Contract: Karst's Revenge","Contrat : La Vengeance de Karst","Auftrag: Karsts Rache","依頼書：カーストの復讐","계약: 카르스트의 복수","Contrato: Vingança de Karst","Контракт: Месть Карста","Contrato: La venganza de Karst","สัญญาจ้าง: การแก้แค้นของคาร์สท์","契約書：卡司特的復仇","",0,"",3,"[36,37]",50,"",""
130,"heist_quest_karst3",0,"Contract: Credit Where Credit's Due","Contrat : Rendre gloire à la vérité","Auftrag: Ehre, wem Ehre gebührt","依頼書：認められるべき功績","계약: 빼앗긴 공 되찾기","Contrato: À César o que é de César","Контракт: По заслугам","Contrato: El mérito a quien corresponde","สัญญาจ้าง: เครดิตแด่ผู้ควรได้รับ","契約書：償還貸款","",0,"",3,"[36,37]",50,"",""
131,"heist_quest_tibbs1",0,"Contract: Finding Opal","Contrat : À la recherche d'Opale","Auftrag: Findet Opal","依頼書：オパールを探せ","계약: 오팔 찾기","Contrato: Encontrando Opalas","Контракт: Поиск Опал","Contrato: Encontrar a Opal","สัญญาจ้าง: ค้นหาโอปอล","契約書：尋找蛋白石","",0,"",3,"[36,37]",50,"",""
132,"heist_quest_tibbs2",0,"Contract: Opal's Jewels","Contrat : Les Joyaux d'Opale","Auftrag: Opals Juwelen","依頼書：オパールの宝飾品","계약: 오팔의 보물","Contrato: Joias Opalas","Контракт: Самоцветы Опал","Contrato: Las joyas de Opal","สัญญาจ้าง: เครื่องเพชรของโอปอล","契約書：蛋白石珠寶","",0,"",3,"[36,37]",50,"",""
133,"heist_quest_huck1",0,"Contract: Enoch's Whereabouts","Contrat : Localiser Énoch","Auftrag: Enochs Verbleib","依頼書：イーノックの居場所","계약: 에녹의 행방","Contrato: Localização de Enoch","Контракт: Где найти Инока","Contrato: El paradero de Enoch","สัญญาจ้าง: ที่หลบซ่อนของอีน๊อก","契約書：以諾的下落","",0,"",3,"[36,37]",50,"",""
134,"heist_quest_huck2",0,"Contract: Enoch's Remains","Contrat : La Dépouille d'Énoch","Auftrag: Enochs Überreste","依頼書：イーノックの遺品","계약: 에녹의 유해","Contrato: Restos de Enoch","Контракт: Останки Инока","Contrato: Los restos de Enoch","สัญญาจ้าง: ซากศพของอีน๊อก","契約書：以諾的遺物","",0,"",3,"[36,37]",50,"",""
135,"heist_quest_vinderi1",0,"Contract: Grocery List","Contrat : Liste de courses","Auftrag: Einkaufsliste","依頼書：買い物リスト","계약: 장 보기 목록","Contrato: Lista de Compras","Контракт: Список покупок","Contrato: La lista de compras","สัญญาจ้าง: รายการของ","契約書：雜貨清單","",0,"",3,"[36,37]",50,"",""
136,"heist_quest_vinderi2",0,"Contract: The Vinderi Bomb","Contrat : La Bombe Vindéri","Auftrag: Die Vinderi-Bombe","依頼書：ヴィンデーリの爆薬","계약: 빈데리 폭탄","Contrato: A Bomba Vinderi","Контракт: Бомба Виндери","Contrato: La bomba de Vinderi","สัญญาจ้าง: ระเบิดวินเดอร์รี","契約書：溫德利炸彈","",0,"",3,"[36,37]",50,"",""
137,"heist_quest_gianna1",0,"Contract: The Nameless Play","Contrat : La Pièce de théâtre sans nom","Auftrag: Das Namenlose Stück","依頼書：名前の無い戯曲","계약: 이름 없는 연극","Contrato: A Peça sem Nome","Контракт: Пьеса без названия","Contrato: La obra sin nombre","สัญญาจ้าง: บทละครไร้นาม","契約書：無名小卒","",0,"",3,"[36,37]",50,"",""
138,"heist_quest_gianna2",0,"Contract: The Finest Costumes","Contrat : Des Costumes de premier choix","Auftrag: Die schönsten Kostüme","依頼書：素晴らしい衣装","계약: 최고급 의상","Contrato: As Melhores Vestimentas","Контракт: Лучшие костюмы","Contrato: Los mejores disfraces","สัญญาจ้าง: เครื่องแต่งกายอันเลิศล้ำ","契約書：華麗服裝","",0,"",3,"[36,37]",50,"",""
139,"heist_quest_tullina1",0,"Contract: The Wedding Dress","Contrat : La Robe de mariée","Auftrag: Das Hochzeitskleid","依頼書：ウェディングドレス","계약: 웨딩드레스","Contrato: O Vestido de Casamento","Контракт: Свадебное платье","Contrato: El vestido de novia","สัญญาจ้าง: ชุดแต่งงาน","契約書：婚紗","",0,"",3,"[36,37]",50,"",""
140,"heist_quest_tullina2",0,"Contract: Disengagement","Contrat : Désengagement","Auftrag: Auflösung der Verlobung","依頼書：婚約解消","계약: 해방","Contrato: Separação","Контракт: Прощание","Contrato: Ruptura","สัญญาจ้าง: การยกเลิกงานหมั้น","契約書：解除婚約","",0,"",3,"[36,37]",50,"",""
141,"heist_quest_niles1",0,"Contract: Rational Tools","Contrat : Connaissance rationnelle","Auftrag: Werkzeuge des Verstandes","依頼書：理にかなった装置","계약: 합리적인 도구","Contrato: Ferramentas Racionais","Контракт: Рациональный подход","Contrato: Herramientas racionales","สัญญาจ้าง: เครื่องมือหาเหตุผล","契約書：適當的工具","",0,"",3,"[36,37]",50,"",""
142,"heist_quest_niles2",0,"Contract: A Mundane Sample","Contrat : Un Échantillon terre-à-terre","Auftrag: Eine weltliche Probe","依頼書：平凡なサンプル","계약: 평범한 샘플","Contrato: Uma Amostra Mundana","Контракт: Рядовой образец","Contrato: Una muestra mundana","สัญญาจ้าง: ตัวอย่างที่ไร้ประโยชน์","契約書：一般的樣本","",0,"",3,"[36,37]",50,"",""
143,"heist_quest_nenet1",0,"Contract: The Book of Jamanra","Contrat : Le Livre de Jamanra","Auftrag: Das Buch von Jamanra","依頼書：ヤマンラーの本","계약: 자만라의 책","Contrato: O Livro de Jamanra","Контракт: Книга Яманры","Contrato: El libro de Jamanra","สัญญาจ้าง: คัมภีร์แห่งยามันรา","契約書：賈嫚拉之書","",0,"",3,"[36,37]",50,"",""
144,"heist_quest_nenet2",0,"Contract: Jamanra's Rest","Contrat: Le Repos de Jamanra","Auftrag: Jamanras Ruhestätte","依頼書：ヤマンラーの休息","계약: 자만라의 휴식","Contrato: Descanso de Jamanra","Контракт: Могила Яманры","Contrato: El descanso de Jamanra","สัญญาจ้าง: หลุมฝังศพของยามันรา","契約書：賈嫚拉之息","",0,"",3,"[36,37]",50,"",""
145,"heist_quest_isla1",0,"Contract: Isla's Prototypes","Contrat : Les Prototypes d'Isla","Auftrag: Islas Prototypen","依頼書：アイラのプロトタイプ","계약: 아이슬라의 프로토타입","Contrato: Protótipos de Isla","Контракт: Прототипы Айлы","Contrato: Los prototipos de Isla","สัญญาจ้าง: ต้นแบบของไอล่า","契約書：伊絲菈的原型","",0,"",3,"[36,37]",50,"",""
146,"heist_quest_isla2",0,"Contract: Isla's Designs","Contrat : Les Créations d'Isla","Auftrag: Islas Entwürfe","依頼書：アイラの設計図","계약: 아이슬라의 설계","Contrato: Criações de Isla","Контракт: Чертежи Айлы","Contrato: Los diseños de Isla","สัญญาจ้าง: แบบของไอล่า","契約書：伊絲菈的設計","",0,"",3,"[36,37]",50,"",""
147,"heist_quest_isla3",0,"Contract: Breaking the Unbreakable","Contrat : Détruire l'Indestructible","Auftrag: Zerstörung des Unzerstörbaren","依頼書：破壊しえない機械を破壊せよ","계약: 파괴 불가능한 존재 파괴하기","Contrato: Quebrando o Inquebrável","Контракт: Разрушение Нерушимого","Contrato: Rompiendo lo irrompible","สัญญาจ้าง: ทำลายจักรกลคงกระพัน","契約書：攻破不破者","",0,"",3,"[36,37]",50,"",""
148,"heist_quest_adiyah1",0,"Contract: A Matter of Honour","Contrat : Une Question d'honneur","Auftrag: Eine Frage der Ehre","依頼書：名誉の問題","계약: 명예의 문제","Contrato: Uma Questão de Honra","Контракт: Дело чести","Contrato: Un tema de honor","สัญญาจ้าง: เรื่องของศักดิ์ศรี","契約書：榮譽之重","",0,"",3,"[36,37]",50,"",""
149,"heist_quest_adiyah2",0,"Contract: Flying False Colours","Contrat : Défendre ses couleurs","Auftrag: Unter falscher Flagge","依頼書：偽旗作戦","계약: 거짓 깃발을 나부끼며","Contrato: Fingimento","Контракт: Под чужим флагом","Contrato: Usando colores ajenos","สัญญาจ้าง: ป้ายสีปลุกระดม","契約書：虛假色彩","",0,"",3,"[36,37]",50,"",""
150,"heist_quest_adiyah3",0,"Contract: Heart of Glory","Contrat : Le Cœur de la gloire","Auftrag: Herz des Ruhmes","依頼書：栄光の心","계약: 영광의 심장","Contrato: Coração da Glória","Контракт: Гордое сердце","Contrato: Corazón de la gloria","สัญญาจ้าง: หัวใจแห่งความรุ่งโรจน์","契約書：榮譽之心","",0,"",3,"[36,37]",50,"",""
151,"heist_quest_whakano1",0,"Contract: Slaver's Revenge","Contrat : La Vengeance de l'esclavagiste","Auftrag: Die Rache des Sklavenhändlers","依頼書：奴隷商人の復讐","계약: 노예상의 복수","Contrato: Vingança do Escravo","Контракт: Отместка поработителя","Contrato: La venganza del esclavista","สัญญาจ้าง: การแก้แค้นของทาส","契約書：奴隸的復仇","",0,"",3,"[36,37]",50,"",""
152,"heist_quest_whakano2",0,"Contract: Follow the Paper Trail","Contrat : Traces écrites","Auftrag: Folge der Spur des Papiers","依頼書：証拠書類を追え","계약: 문서의 흔적 추적","Contrato: Siga a Trilha de Papéis","Контракт: По бумажному следу","Contrato: Sigue el rastro de papel","สัญญาจ้าง: ตามรอยเอกสาร","契約書：依循證據","",0,"",3,"[36,37]",50,"",""
153,"heist_quest_whakano3",0,"Contract: The Slaver King","Contrat : Le Roi esclavagiste","Auftrag: König der Sklavenhändler","依頼書：奴隷商人の王","계약: 노예상의 왕","Contrato: O Rei Escravocrata","Контракт: Король работорговцев","Contrato: El rey esclavista","สัญญาจ้าง: กษัตริย์แห่งทาส","契約書：奴隸王","",0,"",3,"[36,37]",50,"",""
154,"heist_quest_faustus1",0,"Contract: The Admiral's Records","Contrat : Les Archives de l'Amiral","Auftrag: Resultate für Fidium","依頼書：提督の記録","계약: 제독의 기록","Contrato: Os Registros do Almirante","Контракт: Записи адмирала","Contrato: Los registros del Almirante","สัญญาจ้าง: บันทึกพลเรือเอก","契約書：上將的紀錄","",0,"",3,"[36,37]",50,"",""
155,"heist_quest_faustus2",0,"Contract: Findings for Fidium","Contrat : Une Découverte pour Fidium","Auftrag: Resultate für Fidium","依頼書：調査結果をフィディウムへ","계약: 피디움의 조사 결과","Contrato: Achados para Fidium","Контракт: Находки для Фидия","Contrato: Información para Fidium","สัญญาจ้าง: ผลการสืบค้นแก่ฟิเดียม","契約書：找尋菲迪恩","",0,"",3,"[36,37]",50,"",""
156,"heist_quest_faustus3",0,"Contract: Death to Darnaw","Contrat : Mort à Darnaw","Auftrag: Darnaw soll sterben","依頼書：ダルノーに死を","계약: 다나우에게 죽음을","Contrato: Morte à Darnaw","Контракт: Смерть Дарнау","Contrato: Muerte a Darnaw","สัญญาจ้าง: ความตายแก่ดานอร์","契約書：達爾奈之死","",0,"",3,"[36,37]",50,"",""
157,"heist_quest_kurai1",0,"Contract: Hyrri's Gift","Contrat : Le Don d'Hyrri","Auftrag: Hyrris Geschenk","依頼書：ハイリの贈り物","계약: 하이리의 선물","Contrato: Dádiva de Hyrri","Контракт: Подарок Хайрри","Contrato: El regalo de Hyrri","สัญญาจ้าง: ของขวัญจากไฮรี","契約書：西里的贈禮","",0,"",3,"[36,37]",50,"",""
158,"heist_quest_kurai2",0,"Contract: The Negotiation","Contrat : La Négociation","Auftrag: Die Verhandlung","依頼書：交渉","계약: 협상","Contrato: A Negociação","Контракт: Переговоры","Contrato: La negociación","สัญญาจ้าง: การเจรจาต่อรอง","契約書：談判","",0,"",3,"[36,37]",50,"",""
159,"heist_quest_kurai3",0,"Contract: The Rescue","Contrat : Le Sauvetage","Auftrag: Die Rettung","依頼書：救出","계약: 구조","Contrato: O Resgate","Контракт: Вызволение","Contrato: El rescate","สัญญาจ้าง: การช่วยตัวประกัน","契約書：營救","",0,"",3,"[36,37]",50,"",""
160,"heist_quest_kurai4",0,"Contract: The Twins","Contrat : Les Jumeaux","Auftrag: Die Zwillinge","依頼書：双子","계약: 쌍둥이","Contrato: Os Gêmeos","Контракт: Близнецы","Contrato: Los gemelos","สัญญาจ้าง: ไอ้ฝาแฝด","契約書：雙胞胎","",0,"",3,"[36,37]",50,"",""
161,"maven_atlas",12,"The Maven","La Prodige","Die Seherin","メイヴェン","메이븐","A Maven","Мейвен","La Especialista","เมเวน","釋界","Art/2DArt/QuestIcons/Maven.dds",2,"",0,[],50,"",""
162,"maven_boss",12,"The Maven's Game","Le Jeu de la Prodige","Das Spiel der Seherin","メイヴェンの戯れ","메이븐의 게임","O Jogo da Maven","Игра Мейвен","El juego de la Especialista","เกมของเมเวน","釋界的遊戲","Art/2DArt/QuestIcons/Maven.dds",3,"",0,[],50,"",""
163,"uberelder",12,"The Elder","L'Ancien","Der Älteste","エルダー","엘더","O Ancião","Древний","El Antiguo","เอลเดอร์","異界尊師","Art/2DArt/QuestIcons/TheEldritchDecay.dds",6,"",0,[],50,"",""
164,"tangle",12,"The Eater of Worlds","Le Mangeur de mondes","Der Weltenfresser","世界を喰らう者","세계 포식자","O Devorador de Mundos","Пожиратель миров","El Devorador de mundos","ผู้กลืนกินโลกา","吞噬天地","Art/2DArt/QuestIcons/TangleQuest.dds",4,"",0,[],50,"",""
165,"cleansing_fire",12,"The Searing Exarch","L'Exarque ardent","Der Brennende Exarch","灼熱の代行者","작열의 총주교","O Exarca Cauterizado","Пламенный экзарх","El Exarca abrasador","อุปราชอาบเพลิง","灼烙總督","Art/2DArt/QuestIcons/CleansingFireQuest.dds",5,"",0,[],50,"",""
166,"ritual_tutorial",1,"Paying Tribute","Rite initiatique","Tribut zollen","トリビュートを捧げて","공물 바치기","Pagando com Tributos","Плата данью","Pagar con tributo","การจ่ายบรรณาการ","上繳貢禮","Art/2DArt/QuestIcons/RitualTutorial.dds",0,"",0,[],36,"",""
167,"trialmaster_tutorial",1,"A Choice of Futures","Avenirs au choix","Eine Wahl für die Zukunft","未来の選択","미래의 선택","Uma Escolha de Futuros","Выбор будущего","Una elección de futuros","หนึ่งตัวเลือกสู่อนาคตเหนือคณานับ","先見之明","Art/2DArt/QuestIcons/TrialmasterTutorial.dds",0,"",0,[],38,"",""
168,"expedition_tutorial",6,"Unearthing the Past","Le Passé refait surface","Die Vergangenheit freilegen","過去の発掘","과거 발굴하기","Desenterrando o Passado","Докопаться до прошлого","Exhumar el pasado","เปิดแผ่นดินหาอดีต","挖掘過往","Art/2DArt/QuestIcons/ExpeditionTutorial.dds",0,"",0,[],50,"",""
169,"expedition_tutorial2",6,"Explosive Archaeology","Archéologie explosive","Explosive Archäologie","爆破による考古学","폭발적인 고고학","Arqueologia Explosiva","Взрывная археология","Arqueología explosiva","โบราณคดีวิถีระเบิด","爆破考古","Art/2DArt/QuestIcons/RemnantsTutorial.dds",0,"",0,[],40,"",""
170,"expedition_mainquest",6,"The Lost Expedition","L'Expédition perdue","Die verlorene Expedition","ロストエクスペディション","사라진 탐험대","A Expedição Perdida","Потерянная экспедиция","La expedición perdida","กองสำรวจผู้สาบสูญ","失落探險","Art/2DArt/QuestIcons/ExpeditionTutorial.dds",0,"",0,[40],50,"",""
171,"hellscape_tutorial1",1,"A Glimpse Beyond","Vision de cauchemar","Ein Blick ins Ungewisse","垣間見る向こう側","이계 엿보기","Um Vislumbre do Além","Взгляд за пределы","Vistazo al más allá","เหลือบมองต่างมิติ","驚鴻一瞥","Art/2DArt/QuestIcons/BloodCrucibleQuest.dds",0,"",0,"[3,1]",41,"",""
172,"hellscape_tutorial2",1,"Thirst for Blood","Soif de sang","Durst nach Blut","血の渇望","피의 갈증","Sede por Sangue","Жажда крови","Sed de sangre","กระหายเลือด","渴望鮮血","Art/2DArt/QuestIcons/CorruptItemQuest.dds",0,"",0,"[3,1]",41,"",""
173,"hellscape_tutorial3",11,"Twisted Dreams","Rêves difformes","Verworrene Träume","ねじれた夢","뒤틀린 꿈","Sonhos Distorcidos","Порочные мечты","Sueños retorcidos","ฝันที่บิดเบือน","扭曲之夢","Art/2DArt/QuestIcons/DreamFurnaceQuest.dds",0,"",0,"[3,1]",41,"",""
174,"hellscape_tutorial4",11,"Altered Flesh","Chair altérée","Verformtes Fleisch","変質した肉体","뒤바뀐 육체","Carne Alterada","Изменённая плоть","Carne alterada","เลือดเนื้อที่ดัดแปลง","變形肉體","Art/2DArt/QuestIcons/VisceraCauldronQuest.dds",0,"",0,"[3,1]",41,"",""
175,"kirac_atlas",12,"The Atlas of Worlds","L'Atlas des Mondes","Der Atlas der Welten","アトラスオブワールド","아틀라스의 세계","O Atlas dos Mundos","Атлас миров","El Atlas de Mundos","สมุดแผนที่โลกา","吞噬天地","Art/2DArt/QuestIcons/Atlas.dds",1,"",0,[],50,"",""
176,"archnemesis_tutorial",1,"Archnemesis","Archinémésis","Archnemesis","アーチネメシス","강적","Archnemesis","Возмездие","Archnemesis","อริคู่อาฆาต","強襲宿敵","Art/2DArt/QuestIcons/ArchnemesisQuest.dds",0,"",0,[],42,"",""
177,"sentinel_tutorial",1,"Sentinel","Sentinelle","Wächter","センチネル","파수꾼","Sentinel","Дозор","Sentinel","หุ่นอารักษ์","守望號令","Art/2DArt/QuestIcons/SentinelTutorial.dds",0,"",0,[],44,"",""
178,"lake_tutorial",1,"Lake of Kalandra","Le Lac de Kalandra","See von Kalandra","カランドラの湖","칼란드라 호수","Lago de Kalandra","Озеро Каландры","Lago de Kalandra","ทะเลสาบคาลานดรา","卡蘭德迷湖","Art/2DArt/QuestIcons/LakeTutorial.dds",0,"",0,[],45,"",""
179,"sanctum_explore",0,"The Forbidden Sanctum","Le Sanctuaire interdit","Das Verbotene Sanktum","禁断のサンクタム","금지된 성역","O Sanctum Proibido","Запретное святилище","Santuario prohibido","เทวสถานต้องห้าม","禁忌聖域","",0,"",3,[42],50,"",""
180,"sanctum_kill_monsters",0,"The Forbidden Sanctum","Le Sanctuaire interdit","Das Verbotene Sanktum","禁断のサンクタム","금지된 성역","O Sanctum Proibido","Запретное святилище","Santuario prohibido","เทวสถานต้องห้าม","禁忌聖域","",0,"",3,[42],50,"",""
181,"sanctum_puzzle",0,"The Forbidden Sanctum","Le Sanctuaire interdit","Das Verbotene Sanktum","禁断のサンクタム","금지된 성역","O Sanctum Proibido","Запретное святилище","Santuario prohibido","เทวสถานต้องห้าม","禁忌聖域","",0,"",3,[42],50,"",""
182,"sanctum_boss",0,"The Forbidden Sanctum","Le Sanctuaire interdit","Das Verbotene Sanktum","禁断のサンクタム","금지된 성역","O Sanctum Proibido","Запретное святилище","Santuario prohibido","เทวสถานต้องห้าม","禁忌聖域","",0,"",3,[42],50,"",""
