"rownum","NPCKey","i32","DialogueOption (English)","DialogueOption (French)","DialogueOption (German)","DialogueOption (Japanese)","DialogueOption (Korean)","DialogueOption (Portuguese)","DialogueOption (Russian)","DialogueOption (Spanish)","DialogueOption (Thai)","DialogueOption (Traditional Chinese)","[i32]","[i32]","[i32]","Script","TextAudio","Category","QuestRewardOffersKey","QuestFlag","NPCTextAudioKeys","Script2","bool","bool","[i32]","[i32]","i32","[i32]","i32","bool","rid","bool","bool","DialogueOption2 (English)","DialogueOption2 (French)","DialogueOption2 (German)","DialogueOption2 (Japanese)","DialogueOption2 (Korean)","DialogueOption2 (Portuguese)","DialogueOption2 (Russian)","DialogueOption2 (Spanish)","DialogueOption2 (Thai)","DialogueOption2 (Traditional Chinese)","rid","rid","i32","[i32]","i32","rid"
853,188,3,"Lilly","Lilly","Lilly","リリィ","릴리","Lilly","Лилия","Lilly","ลิลลี่","莉莉",[1205],[],[1216],"","",3,"",1216,[1463],"",1,"",[],[],1317,[],1317,"","","","","","","","","","","","","","","","",50,[],50,""
854,188,4,"The Old Gods","Les Dieux anciens","Die alten Götter","古代の神","옛 신","Os Antigos Deuses","Древние боги","Los dioses antiguos","ทวยเทพโบราณ","海洋之王",[],[],[890],"","",3,"",890,[1475],"","","",[],[],1317,[],1317,"","","","","","","","","","","","","","","","",50,[],50,""
855,188,5,"Tukohama","Tukohama","Tukohama","トゥコハマ","투코하마","Tukohama","Тукохама","Tukohama","ทูโคฮาม่า","圖克哈瑪",[1182],[1175],[1217],"","",3,"",1217,[1464],"",1,"",[],[],1317,[],1317,"","","","","","","","","","","","","","","","",50,[],50,""
856,188,6,"The Brine King","Le Roi des Embruns","Der Gischtkönig","海水の王","염수왕","Rei da Salmoura","Морской царь","El rey del mar","ราชันน้ำเค็ม","海洋之王",[],[1164],[1218],"","",3,"",1218,[1465],"",1,"",[],[],1317,[],1317,"","","","","","","","","","","","","","","","",50,[],50,""
857,188,7,"The Brine King","Le Roi des Embruns","Der Gischtkönig","海水の王","염수왕","Rei da Salmoura","Морской царь","El rey del mar","ราชันน้ำเค็ม","海洋之王",[1164],[],[1219],"",1219,3,"",1219,[1466],"",1,"",[],[],1317,[],1317,"","","","","","","","","","","","","","","","",50,[],50,""
858,188,8,"The Black Crest","La Crête noire","Die Schwarze Woge","ブラッククレスト","검은 물마루 호","O Brasão Negro","Чёрный Гребень","El cresta negra","เรือแบล็คเครสต์","黑峰",[1319],[],[891],"","",3,"",891,[1476],"","","",[],[],1317,[],1317,"","","","","","","","","","","","","","","","",50,[],50,""
859,188,9,"Shavronne of Umbra","Shavronne d'Umbra","Shavronne von Umbra","アンブラのシャヴロン","움브라의 샤브론","Shavronne de Umbra","Шавронн Тёмная","Shavronne de Umbra","แชฟรอนน์แห่งอัมบรา","烏姆布拉的薛朗","[1166,0]",[1168],[1221],"","",3,"",1221,[1468],"",1,"",[],[],1317,[],1317,"","","","","","","","","","","","","","","","",50,[],50,""
860,188,10,"Abberath","Abberath","Abberath","アバラス","아버라스","Aberrath","Абберат","Abberath","แอ็บเบอร์แรธ","艾貝拉斯",[1168],[1199],[1202],"",1202,5,"",71,[1470],"","","",[],[],1317,[],1317,"","","","","","","","","","","","","","","","",50,[],50,""
861,188,11,"Abberath","Abberath","Abberath","アバラス","아버라스","Aberrath","Абберат","Abberath","แอ็บเบอร์แรธ","艾貝拉斯",[1200],[1196],[1199],"",1199,5,"",71,[1471],"","","",[],[],1317,[],1317,"","","","","","","","","","","","","","","","",50,[],50,""
862,188,12,"Abberath Reward","Abberath (récompense)","Abberath – Belohnung","アバラス報酬","아버라스 보상","Recompensa de Aberrath","Абберат (награда)","Recompensa de Abberath","รางวัลภารกิจ แอ็บเบอร์แรธ","艾貝拉斯獎勵",[1199],"[1197,0]",[1198],"",1198,6,45,71,[],"","","",[],[],1317,[],1317,"","","","","","","","","","","","","","","","",50,[],50,""
863,188,13,"The Ship Graveyard","Le Cimetière des navires","Der Schiffsfriedhof","船の墓場","배들의 묘지","Necrópole de Navios","Кладбище кораблей","El cementerio de barcos","สุสานเรือล่ม","魅影船墓",[1157],[1164],[1222],"","",3,"",1222,[1469],"",1,"",[],[],1317,[],1317,"","","","","","","","","","","","","","","","",50,[],50,""
864,188,14,"Weylam Roth","Weylam Roth","Weylam Roth","ウェイラム・ロス","웨일럼 로스","Weylam Roth","Вейлам Рот","Weylam Roth","เวย์แลม รอธ","威廉羅斯",[],[],[1220],"","",3,"",1220,[1467],"",1,"",[],[],1317,[],1317,"","","","","","","","","","","","","","","","",50,[],50,""
865,188,15,"Bestel's Epic","Ton poème épique","Bestels Heldenepos","ベストルの叙事詩","베스텔의 서사시","Epopeia de Bestel","Эпопея Бестеля","La epopeya de Bestel","มหากาพย์ของเบสเทล","畢斯特之詩",[],[1251],[1249],"",1249,5,"",71,[1472],"","","",[],[],1317,[],1317,"","","","","","","","","","","","","","","","",50,[],50,""
866,188,16,"Bestel's Epic","Ton poème épique","Bestels Heldenepos","ベストルの叙事詩","베스텔의 서사시","Epopeia de Bestel","Эпопея Бестеля","La epopeya de Bestel","มหากาพย์ของเบสเทล","畢斯特之詩",[1250],[],[1251],"",1251,5,"",71,[1473],"","","",[],[],1317,[],1317,"","","","","","","","","","","","","","","","",50,[],50,""
867,188,17,"Bestel's Epic Reward","Poème épique (récompense)","Bestels Heldenepos – Belohnung","ベストルの叙事詩報酬","베스텔의 서사시 보상","Recompensa da\nEpopeia de Bestel","Эпопея Бестеля","Recompensa de la Epopeya de Bestel","รางวัลภารกิจ มหากาพย์ของเบสเทล","畢斯特之詩獎勵",[1251],[1253],[1252],"",1252,6,43,71,[],"","","",[],[],1317,[],1317,"","","","","","","","","","","","","","","","",50,[],50,""
868,188,18,"Purchase Items","Acheter des objets","Gegenstände kaufen","アイテムを買う","아이템 구입","Comprar Itens","Купить","Comprar objetos","ซื้อไอเทม","購買物品",[],[],[],"","",24,"",71,[],"","","",[],[],1317,[],1317,"","","","","","","","","","","","","","",1,"",50,[],50,""
869,188,19,"Sell Items","Vendre des objets","Gegenstände verkaufen","アイテムを売る","아이템 판매","Vender Itens","Продать","Vender objetos","ขายไอเทม","販賣物品",[],[],[],"","",25,"",71,[],"","","",[],[],1317,[],1317,"","","","","","","","","","","","","","",0,"",50,[],50,""
870,189,0,"Introduction","Présentations","Einführung","自己紹介","소개","Apresentação","Приветствие","Introducción","แนะนำตัว","初次見面",[],[],[1205],"",1205,3,"",1205,[1451],"",1,"",[],[],1317,[],1317,"","","","","","","","","","","","","","","","",50,[],50,""
871,189,1,"Weylam Roth","Weylam Roth","Weylam Roth","ウェイラム・ロス","웨일럼 로스","Weylam Roth","Вейлам Рот","Weylam Roth","เวย์แลม รอธ","威廉羅斯",[],[],[1209],"","",3,"",1209,[1455],"",1,"",[],[],1317,[],1317,"","","","","","","","","","","","","","","","",50,[],50,""
872,189,2,"Tarkleigh","Tarkleigh","Tarkleigh","タークリー","타클레이","Tarkleigh","Таркли","Tarkleigh","ทาร์กเลย์","塔格拉",[],[],[1206],"","",3,"",1206,[1452],"",1,"",[],[],1317,[],1317,"","","","","","","","","","","","","","","","",50,[],50,""
873,189,3,"Bestel","Bestel","Bestel","ベストル","베스텔","Bestel","Бестель","Bestel","เบสเทล","畢斯特",[],[],[1207],"","",3,"",1207,[1453],"",1,"",[],[],1317,[],1317,"","","","","","","","","","","","","","","","",50,[],50,""
874,189,4,"Trade","Le commerce","Handel","商売する","거래","Comércio","Торговля","Comerciar","การซื้อขาย","交易完成",[1187],[],[1208],"","",3,"",1208,[1454],"",1,"",[],[],1317,[],1317,"","","","","","","","","","","","","","","","",50,[],50,""
875,189,5,"The Twilight Strand","Le Rivage du crépuscule","Die Zwielichtküste","黄昏の岸辺","황혼의 해안","Costa do Crepúsculo","Сумрачное взморье","El litoral crepuscular","ชายฝั่งสนธยา","絕望岩灘",[1205],[1187],[1188],"",1188,5,"",71,[1459],"","","",[],[],1317,[],1317,"","","","","","","","","","","","","","","","",50,[],50,""
876,189,6,"The Twilight Strand","Le Rivage du crépuscule","Die Zwielichtküste","黄昏の岸辺","황혼의 해안","Costa do Crepúsculo","Сумрачное взморье","El litoral crepuscular","ชายฝั่งสนธยา","絕望岩灘",[1187],[1183],[1186],"",1186,5,"",71,[1460],"","","",[],[],1317,[],1317,"","","","","","","","","","","","","","","","",50,[],50,""
877,189,7,"Twilight Strand Reward","Le Rivage (récompense)","Zwielichtküste – Belohnung","黄昏の岸辺報酬","황혼의 해안 보상","Recompensa da\nCosta do Crepúsculo","Сумрачное взморье (награда)","Recompensa del Litoral crepuscular","รางวัลภารกิจ ชายฝั่งสนธยา","暮光海灘獎勵",[1186],"[1184,0]",[1185],"",1185,6,42,71,[],"","","",[],[],1317,[],1317,"","","","","","","","","","","","","","","","",50,[],50,""
878,189,8,"The Black Flag","Le Pavillon noir","Die schwarze Flagge","ブラックフラッグ","검은 깃발","Bandeira Negra","Чёрный флаг","La bandera negra","ธงดำ","黑色旗幟",[1159],[],[1211],"","",3,"",1211,[1456],"",1,"",[],[],1317,[],1317,"","","","","","","","","","","","","","","","",50,[],50,""
879,189,9,"The Brine King","Le Roi des Embruns","Der Gischtkönig","海水の王","염수왕","Rei da Salmoura","Морской царь","El rey del mar","ราชันน้ำเค็ม","海洋之王",[1153],[1164],[1212],"","",3,"",1212,[1457],"",1,"",[],[],1317,[],1317,"","","","","","","","","","","","","","","","",50,[],50,""
880,189,10,"The Brine King","Le Roi des Embruns","Der Gischtkönig","海水の王","염수왕","Rei da Salmoura","Морской царь","El rey del mar","ราชันน้ำเค็ม","海洋之王",[1164],[],[1213],"",1213,3,"",1213,[1458],"",1,"",[],[],1317,[],1317,"","","","","","","","","","","","","","","","",50,[],50,""
881,189,11,"Virtue Gems","Les Gemmes de vertu","Machtgemmen","美徳のジェム","힘의 마석","Gemas Virtuosas","Камни добродетелей","Gemas de virtud","มณีบารมี","古靈寶石",[1185],[],[384],"",384,3,"",384,[1774],"",1,"",[1163],[],1317,[],1163,"","","","","","","","","","","","","","","","",50,[],50,""
882,189,12,"Virtue Gems","Les Gemmes de vertu","Machtgemmen","美徳のジェム","힘의 마석","Gemas Virtuosas","Камни добродетелей","Gemas de virtud","มณีบารมี","古靈寶石",[1676],[1185],[384],"",384,3,"",384,[1774],"",1,"",[1163],[],1317,[],1317,"","","","","","","","","","","","","","","","",50,[],50,""
883,189,13,"Purchase Items","Acheter des objets","Gegenstände kaufen","アイテムを買う","아이템 구입","Comprar Itens","Купить","Comprar objetos","ซื้อไอเทม","購買物品",[],[989],[],"","",24,"",71,[],"","","",[],[1163],1317,[],1317,"","",1,"","","","","","","","","","","",1,"",50,[],50,""
884,189,14,"Sell Items","Vendre des objets","Gegenstände verkaufen","アイテムを売る","아이템 판매","Vender Itens","Продать","Vender objetos","ขายไอเทม","販賣物品",[],[],[],"","",25,"",71,[],"","","",[],[1163],1317,[],1317,"","","","","","","","","","","","","","",0,"",50,[],50,""
885,189,15,"Gamble for Items","Parier pour des objets","Um Gegenstände wetten","アイテムをギャンブルする","아이템 도박","Pexinxe por Itens","Выкупить","Apostar por objetos","เดิมพันไอเทม","賭博",[],[],[],"","",24,"",71,[],"","","",[],[],1317,[],1317,"","","","","","","","","","","","","","",1,"",48,[],50,""
886,189,17,"Invite to Hideout","Inviter au Repaire","Ins Versteck einladen","隠れ家に招待する","은신처로 초대하기","Convidar ao Refúgio","Пригласить в убежище","Invitar a la guarida","เชิญเข้าที่ซ่อน","邀請至藏身處",[],[],[],"","",39,"",71,[12964],"","","",[],"[200,1163]",1317,[],1317,"","","","","","","","","","","","","","","","",50,[],50,""
887,193,0,"Shavronne of Umbra","Shavronne d'Umbra","Shavronne von Umbra","アンブラのシャヴロン","움브라의 샤브론","Shavronne de Umbra","Шавронн Тёмная","Shavronne de Umbra","แชฟรอนน์แห่งอัมบรา","烏姆布拉的薛朗",[],[1168],[1166],"",1166,5,"",71,[1508],"","","",[],[],1317,[],1317,"","","","","","","","","","","","","","","","",50,[],50,""
888,193,1,"The Essence of Umbra","L'Essence d'Umbra","Die Essenz von Umbra","アンブラのエッセンス","움브라의 정수","A Essência de Umbra","Сущность тьмы","La esencia de Umbra","แก่นแท้แห่งอัมบรา","烏姆布拉的精髓",[1166],[1168],[1231],"","",3,"",1231,[1510],"",1,"",[],[],1317,[],1317,"","","","","","","","","","","","","","","","",50,[],50,""
889,193,2,"Shavronne's Soul","L'Âme de Shavronne","Shavronnes Seele","シャヴロンの心","샤브론의 영혼","Alma de Shavronne","Душа Шавронн","El alma de Shavronne","วิญญาณของแชฟรอนน์","薛朗的靈魂",[1231],[1168],[1232],"","",3,"",1232,[1511],"",1,"",[],[],1317,[],1317,"","","","","","","","","","","","","","","","",50,[],50,""
890,193,3,"The Rise of the Gods","Le retour des Dieux","Der Aufstieg der Götter","神の覚醒","신들의 비상","A Ascensão dos Deuses","Восстание богов","El ascenso de los dioses","การฟื้นขึ้นของทวยเทพ","眾神崛起",[],[],[1233],"","",3,"",1233,[1512],"",1,"",[],[],1317,[],1317,"","","","","","","","","","","","","","","","",50,[],50,""
891,193,4,"The Beast","La Bête","Die Bestie","魔獣","짐승","A Besta","Зверь","La bestia","บีสต์","巨獸",[1233],[],[1234],"","",3,"",1234,[1513],"",1,"",[],[],1317,[],1317,"","","","","","","","","","","","","","","","",50,[],50,""
892,193,5,"The Father of War","Le Père de la Guerre","Der Vater des Kriegs","戦争の父","전쟁의 아버지","O Pai da Guerra","Отец войны","El padre de la guerra","พระบิดาแห่งการศึก","戰爭之父",[1182],[1175],[1235],"","",3,"",1235,[1514],"",1,"",[],[],1317,[],1317,"","","","","","","","","","","","","","","","",50,[],50,""
893,193,6,"Tukohama","Tukohama","Tukohama","トゥコハマ","투코하마","Tukohama","Тукохама","Tukohama","ทูโคฮาม่า","圖克哈瑪",[1235],[],[1236],"","",3,"",1236,[1515],"",1,"",[],[],1317,[],1317,"","","","","","","","","","","","","","","","",50,[],50,""
894,193,7,"Tukohama","Tukohama","Tukohama","トゥコハマ","투코하마","Tukohama","Тукохама","Tukohama","ทูโคฮาม่า","圖克哈瑪",[1175],[1237],[1237],"",1237,5,"",71,[1516],"","","",[],[],1317,[],1317,"","","","","","","","","","","","","","","","",50,[],50,""
895,193,8,"The Cloven One","Le Dieu fourchu","Der Gespaltene","裂けし者","발굽달린 자","O Ser Gretado","Раздвоенный бог","El hendido","เทพผู้มีกีบ","堅蹄亡羊",[1202],[1200],[1239],"","",3,"",1239,[1517],"",1,"",[],[],1317,[],1317,"","","","","","","","","","","","","","","","",50,[],50,""
896,193,9,"Abberath","Abberath","Abberath","アバラス","아버라스","Abberath","Абберат","Abberath","แอ็บเบอร์แรธ","艾貝拉斯",[1239],[],[1240],"","",3,"",1240,[1518],"",1,"",[],[],1317,[],1317,"","","","","","","","","","","","","","","","",50,[],50,""
897,193,10,"Abberath","Abberath","Abberath","アバラス","아버라스","Abberath","Абберат","Abberath","แอ็บเบอร์แรธ","艾貝拉斯",[1200],[1241],[1241],"",1241,5,"",71,[1519],"","","",[],[],1317,[],1317,"","","","","","","","","","","","","","","","",50,[],50,""
898,193,11,"The Puppet Mistress","La Maîtresse marionnettiste","Die Puppenspielerin","傀儡の女主人","꼭두각시 여사","Senhora das Marionetes","Госпожа марионеток","La titiritera","นายหญิงผู้เชิดหุ่น","傀儡女王",[1195],[1193],[1242],"","",3,"",1242,[1520],"",1,"",[],[],1317,[],1317,"","","","","","","","","","","","","","","","",50,[],50,""
899,193,12,"Ryslatha","Ryslatha","Ryslatha","リスラーサ","리슬라사","Ryslatha","Рюслата","Ryslatha","ริสลาธ่า","瑞斯拉薩",[1242],[],[1243],"","",3,"",1243,[1521],"",1,"",[],[],1317,[],1317,"","","","","","","","","","","","","","","","",50,[],50,""
900,193,13,"The Puppet Mistress","La Maîtresse marionnettiste","Die Puppenspielerin","傀儡の女主人","꼭두각시 여사","Senhora das Marionetes","Госпожа марионеток","La titiritera","นายหญิงผู้เชิดหุ่น","傀儡女王",[1193],[1244],[1244],"",1244,5,"",71,[1522],"","","",[],[],1317,[],1317,"","","","","","","","","","","","","","","","",50,[],50,""
901,193,14,"The Brine King","Le Roi des Embruns","Der Gischtkönig","海水の王","염수왕","Rei da Salmoura","Морской царь","El rey del mar","ราชันน้ำเค็ม","海洋之王",[1158],[1164],[1245],"","",3,"",1245,[1523],"",1,"",[],[],1317,[],1317,"","","","","","","","","","","","","","","","",50,[],50,""
902,193,15,"Tsoagoth","Tsoagoth","Tsoagoth","ツォアゴス","소아고스","Tsoagoth","Тсоагот","Tsoagoth","ซัวก็อธ","賽根斯",[1245],[],[1246],"","",3,"",1246,[1524],"",1,"",[],[],1317,[],1317,"","","","","","","","","","","","","","","","",50,[],50,""
903,193,16,"The Brine King","Le Roi des Embruns","Der Gischtkönig","海水の王","염수왕","Rei da Salmoura","Морской царь","El rey del mar","ราชันน้ำเค็ม","海洋之王",[1164],[1247],[1247],"",1247,5,"",1247,[1525],"","","",[],[],1317,[],1317,"","","","","","","","","","","","","","","","",50,[],50,""
904,193,17,"Open Pantheon","Consulter le Panthéon","Pantheon öffnen","パンテオンを開く","판테온 열기","Abrir Panteão","Открыть Пантеон","Abrir Panteón","เปิดกลุ่มทวยเทพ","開啟眾神殿",[1175],[989],[],"","",34,"",71,[],"","","",[],[],1317,[],1317,"","",1,"","","","","","","","","","","","","",50,[],50,""
905,193,18,"Unlock Power","Débloquer Pouvoir","Kraft freischalten","パワーを解放する","권능 개방","Liberar Poder","Получить силу","Desbloquear poder","ปลดล็อกพลัง","解鎖神之力",[],[989],[],"triggerer.UnlockPantheonPowerFromItem(); triggerer.SendOpenScreen(PantheonScreen); triggerer.FinishNPCChat();",1389,5,"",71,[1753],"","","",[],[],1317,[],1317,"",9349,"","","","","","","","","","","","","","",50,[],50,""
906,193,19,"Unlock Power","Débloquer Pouvoir","Kraft freischalten","パワーを解放する","권능 개방","Liberar Poder","Получить силу","Desbloquear poder","ปลดล็อกพลัง","解鎖神之力",[],[989],[],"triggerer.UnlockPantheonPowerFromItem(); triggerer.SendOpenScreen(PantheonScreen); triggerer.FinishNPCChat();",1390,5,"",71,[1753],"","","",[],[],1317,[],1317,"",9350,"","","","","","","","","","","","","","",50,[],50,""
907,193,20,"Unlock Power","Débloquer Pouvoir","Kraft freischalten","パワーを解放する","권능 개방","Liberar Poder","Получить силу","Desbloquear poder","ปลดล็อกพลัง","解鎖神之力",[],[989],[],"triggerer.UnlockPantheonPowerFromItem(); triggerer.SendOpenScreen(PantheonScreen); triggerer.FinishNPCChat();",1391,5,"",71,[1753],"","","",[],[],1317,[],1317,"",9351,"","","","","","","","","","","","","","",50,[],50,""
908,193,21,"Unlock Power","Débloquer Pouvoir","Kraft freischalten","パワーを解放する","권능 개방","Liberar Poder","Получить силу","Desbloquear poder","ปลดล็อกพลัง","解鎖神之力",[],[989],[],"triggerer.UnlockPantheonPowerFromItem(); triggerer.SendOpenScreen(PantheonScreen); triggerer.FinishNPCChat();",1392,5,"",71,[1753],"","","",[],[],1317,[],1317,"",9352,"","","","","","","","","","","","","","",50,[],50,""
909,193,22,"Unlock Power","Débloquer Pouvoir","Kraft freischalten","パワーを解放する","권능 개방","Liberar Poder","Получить силу","Desbloquear poder","ปลดล็อกพลัง","解鎖神之力",[],[989],[],"triggerer.UnlockPantheonPowerFromItem(); triggerer.SendOpenScreen(PantheonScreen); triggerer.FinishNPCChat();",1393,5,"",71,[1753],"","","",[],[],1317,[],1317,"",9353,"","","","","","","","","","","","","","",50,[],50,""
910,193,23,"Unlock Power","Débloquer Pouvoir","Kraft freischalten","パワーを解放する","권능 개방","Liberar Poder","Получить силу","Desbloquear poder","ปลดล็อกพลัง","解鎖神之力",[],[989],[],"triggerer.UnlockPantheonPowerFromItem(); triggerer.SendOpenScreen(PantheonScreen); triggerer.FinishNPCChat();",1394,5,"",71,[1753],"","","",[],[],1317,[],1317,"",9354,"","","","","","","","","","","","","","",50,[],50,""
911,193,24,"Unlock Power","Débloquer Pouvoir","Kraft freischalten","パワーを解放する","권능 개방","Liberar Poder","Получить силу","Desbloquear poder","ปลดล็อกพลัง","解鎖神之力",[],[989],[],"triggerer.UnlockPantheonPowerFromItem(); triggerer.SendOpenScreen(PantheonScreen); triggerer.FinishNPCChat();",1395,5,"",71,[1753],"","","",[],[],1317,[],1317,"",9355,"","","","","","","","","","","","","","",50,[],50,""
912,193,25,"Unlock Power","Débloquer Pouvoir","Kraft freischalten","パワーを解放する","권능 개방","Liberar Poder","Получить силу","Desbloquear poder","ปลดล็อกพลัง","解鎖神之力",[],[989],[],"triggerer.UnlockPantheonPowerFromItem(); triggerer.SendOpenScreen(PantheonScreen); triggerer.FinishNPCChat();",1396,5,"",71,[1753],"","","",[],[],1317,[],1317,"",9356,"","","","","","","","","","","","","","",50,[],50,""
913,193,26,"Unlock Power","Débloquer Pouvoir","Kraft freischalten","パワーを解放する","권능 개방","Liberar Poder","Получить силу","Desbloquear poder","ปลดล็อกพลัง","解鎖神之力",[],[989],[],"triggerer.UnlockPantheonPowerFromItem(); triggerer.SendOpenScreen(PantheonScreen); triggerer.FinishNPCChat();",1397,5,"",71,[1753],"","","",[],[],1317,[],1317,"",9357,"","","","","","","","","","","","","","",50,[],50,""
914,193,27,"Unlock Power","Débloquer Pouvoir","Kraft freischalten","パワーを解放する","권능 개방","Liberar Poder","Получить силу","Desbloquear poder","ปลดล็อกพลัง","解鎖神之力",[],[989],[],"triggerer.UnlockPantheonPowerFromItem(); triggerer.SendOpenScreen(PantheonScreen); triggerer.FinishNPCChat();",1398,5,"",71,[1753],"","","",[],[],1317,[],1317,"",9358,"","","","","","","","","","","","","","",50,[],50,""
915,193,28,"Unlock Power","Débloquer Pouvoir","Kraft freischalten","パワーを解放する","권능 개방","Liberar Poder","Получить силу","Desbloquear poder","ปลดล็อกพลัง","解鎖神之力",[],[989],[],"triggerer.UnlockPantheonPowerFromItem(); triggerer.SendOpenScreen(PantheonScreen); triggerer.FinishNPCChat();",1399,5,"",71,[1753],"","","",[],[],1317,[],1317,"",9359,"","","","","","","","","","","","","","",50,[],50,""
916,193,29,"Unlock Power","Débloquer Pouvoir","Kraft freischalten","パワーを解放する","권능 개방","Liberar Poder","Получить силу","Desbloquear poder","ปลดล็อกพลัง","解鎖神之力",[],[989],[],"triggerer.UnlockPantheonPowerFromItem(); triggerer.SendOpenScreen(PantheonScreen); triggerer.FinishNPCChat();",1400,5,"",71,[1753],"","","",[],[],1317,[],1317,"",9360,"","","","","","","","","","","","","","",50,[],50,""
917,193,30,"Unlock Power","Débloquer Pouvoir","Kraft freischalten","パワーを解放する","권능 개방","Liberar Poder","Получить силу","Desbloquear poder","ปลดล็อกพลัง","解鎖神之力",[],[989],[],"triggerer.UnlockPantheonPowerFromItem(); triggerer.SendOpenScreen(PantheonScreen); triggerer.FinishNPCChat();",1402,5,"",71,[1753],"","","",[],[],1317,[],1317,"",9361,"","","","","","","","","","","","","","",50,[],50,""
918,193,31,"Unlock Power","Débloquer Pouvoir","Kraft freischalten","パワーを解放する","권능 개방","Liberar Poder","Получить силу","Desbloquear poder","ปลดล็อกพลัง","解鎖神之力",[],[989],[],"triggerer.UnlockPantheonPowerFromItem(); triggerer.SendOpenScreen(PantheonScreen); triggerer.FinishNPCChat();",1405,5,"",71,[1753],"","","",[],[],1317,[],1317,"",9362,"","","","","","","","","","","","","","",50,[],50,""
919,193,32,"Unlock Power","Débloquer Pouvoir","Kraft freischalten","パワーを解放する","권능 개방","Liberar Poder","Получить силу","Desbloquear poder","ปลดล็อกพลัง","解鎖神之力",[],[989],[],"triggerer.UnlockPantheonPowerFromItem(); triggerer.SendOpenScreen(PantheonScreen); triggerer.FinishNPCChat();",1406,5,"",71,[1753],"","","",[],[],1317,[],1317,"",9363,"","","","","","","","","","","","","","",50,[],50,""
920,193,33,"Unlock Power","Débloquer Pouvoir","Kraft freischalten","パワーを解放する","권능 개방","Liberar Poder","Получить силу","Desbloquear poder","ปลดล็อกพลัง","解鎖神之力",[],[989],[],"triggerer.UnlockPantheonPowerFromItem(); triggerer.SendOpenScreen(PantheonScreen); triggerer.FinishNPCChat();",1407,5,"",71,[1753],"","","",[],[],1317,[],1317,"",9364,"","","","","","","","","","","","","","",50,[],50,""
921,193,34,"Unlock Power","Débloquer Pouvoir","Kraft freischalten","パワーを解放する","권능 개방","Liberar Poder","Получить силу","Desbloquear poder","ปลดล็อกพลัง","解鎖神之力",[],[989],[],"triggerer.UnlockPantheonPowerFromItem(); triggerer.SendOpenScreen(PantheonScreen); triggerer.FinishNPCChat();",1401,5,"",71,[1753],"","","",[],[],1317,[],1317,"",9365,"","","","","","","","","","","","","","",50,[],50,""
922,193,35,"Unlock Power","Débloquer Pouvoir","Kraft freischalten","パワーを解放する","권능 개방","Liberar Poder","Получить силу","Desbloquear poder","ปลดล็อกพลัง","解鎖神之力",[],[989],[],"triggerer.UnlockPantheonPowerFromItem(); triggerer.SendOpenScreen(PantheonScreen); triggerer.FinishNPCChat();",1404,5,"",71,[1753],"","","",[],[],1317,[],1317,"",9366,"","","","","","","","","","","","","","",50,[],50,""
923,193,36,"Unlock Power","Débloquer Pouvoir","Kraft freischalten","パワーを解放する","권능 개방","Liberar Poder","Получить силу","Desbloquear poder","ปลดล็อกพลัง","解鎖神之力",[],[989],[],"triggerer.UnlockPantheonPowerFromItem(); triggerer.SendOpenScreen(PantheonScreen); triggerer.FinishNPCChat();",1408,5,"",71,[1753],"","","",[],[],1317,[],1317,"",9367,"","","","","","","","","","","","","","",50,[],50,""
924,193,37,"Unlock Power","Débloquer Pouvoir","Kraft freischalten","パワーを解放する","권능 개방","Liberar Poder","Получить силу","Desbloquear poder","ปลดล็อกพลัง","解鎖神之力",[],[989],[],"triggerer.UnlockPantheonPowerFromItem(); triggerer.SendOpenScreen(PantheonScreen); triggerer.FinishNPCChat();",1403,5,"",71,[1753],"","","",[],[],1317,[],1317,"",9368,"","","","","","","","","","","","","","",50,[],50,""
925,194,0,"Tukohama","Tukohama","Tukohama","トゥコハマ","투코하마","Tukohama","Тукохама","Tukohama","ทูโคฮาม่า","圖克哈瑪",[1175],[],[1237],"triggerer.SetSessionQuestFlag(CanChangePantheon); triggerer.FinishNPCChat(); triggerer.SendOpenScreen(PantheonScreen);",1237,5,"",1237,[1516],"","","",[],[],1317,[],1317,"","","","","","","","","","","","","","","","",50,[],50,""
926,194,1,"Open Pantheon","Consulter le Panthéon","Pantheon öffnen","パンテオンを開く","판테온 열기","Abrir Panteão","Открыть Пантеон","Abrir Panteón","เปิดกลุ่มทวยเทพ","開啟眾神殿",[1175],[989],[],"","",34,"",71,[],"","","",[],[],1317,[],1317,"","",1,"","","","","","","","","","","","","",50,[],50,""
927,196,0,"Shavronne","Shavronne","Shavronne","シャヴロン","샤브론","Shavronne","Шавронн","Shavronne","แชฟรอนน์","薛朗",[1168],[1238],[1238]," triggerer.FinishNPCChat();",1238,5,"",1238,[1509],"",1,"",[],[],1317,[],1317,"","","","","","","","","","","","","","","","",50,[],50,""
928,196,1,"Shavronne","Shavronne","Shavronne","シャヴロン","샤브론","Shavronne","Шавронн","Shavronne","แชฟรอนน์","薛朗","[1168,0]",[],[]," triggerer.FinishNPCChat();",71,5,"",1238,[1509],"","","",[],[],1317,[],1317,"","","","","","","","","","","","","","","","",50,[],50,""
