"rownum","Id","Description","Description (French)","Description (German)","Description (Japanese)","Description (Korean)","Description (Portuguese)","Description (Russian)","Description (Spanish)","Description (Thai)","Description (Traditional Chinese)","Invisible","Removable","Name","Name (French)","Name (German)","Name (Japanese)","Name (Korean)","Name (Portuguese)","Name (Russian)","Name (Spanish)","Name (Thai)","Name (Traditional Chinese)","StatsKeys","CancelOnDeath","i32_43","ShowCount","Maximum_StatsKey","Current_StatsKey","bool_80","i32_81","BuffVisualsKey","bool_101","bool_102","BuffCategory","bool_107","bool_108","bool_109","bool_110","BuffLimit","bool_115","Id2","IsRecovery","bool_125","MinStat","bool_142","UIStackMode","bool_147","IsSkillBuff","i32_149","[i32]_153","bool_169","bool_170","MultiPartAchievement","bool_187","Stats2","GrantedFlags","GrantedStats","ConditionStats","bool_252","bool_253","bool_254","bool_255","bool_256","rid_257","[i32]_273","string_289","string_289 (French)","string_289 (German)","string_289 (Japanese)","string_289 (Korean)","string_289 (Portuguese)","string_289 (Russian)","string_289 (Spanish)","string_289 (Thai)","string_289 (Traditional Chinese)","[rid]_297","bool_313"
158,"vaal_aura_dodge","Grants additional chance to Evade Attack Hits, and makes Suppressed Spell Damage unlucky against you.","Vous octroie des chances supplémentaires d'Éviter les attaques qui devraient vous toucher. Les Dégâts des sorts que vous Réprimez sont en votre Faveur.","Gewährt eine zusätzliche Chance, Angriffstreffern auszuweichen, und lässt unterdrückten Zauberschaden gegen Euch ungünstig werden.","追加のアタック回避率が付与され、抑制されたスペルダメージを不幸にする","추가 공격 명중 회피 확률을 제공하며, 자신이 받는 억제된 주문 피해에 불운을 적용합니다.","Concede chance de Evadir Acertos de Ataques e faz com que O Dano Mágico Suprimido seja azarado contra você.","Дарует дополнительный шанс уклониться от атак и делает подавленный урон от чар по вам неудачливым.","Otorga una probabilidad adicional de evadir golpes de ataques y hace que el daño de hechizos atenuado sea desafortunado contra ti.","ได้รับ: มีโอกาสหลบหลีกการ โจมตี ปะทะ เพิ่มเติม, ความเสียหาย เวท ที่ถูกยับยั้ง ที่คุณได้รับจะ โชคร้าย ในการคำนวณความเสียหาย","獲得額外閃避攻擊擊中率，並使對你的壓抑法術傷害很不幸。","",1,"Vaal Grace Aura","Aura de Grâce vaal ","Aura der Vaal-Anmut","ヴァールグレースオーラ","바알 은총의 오라","Aura de Graça Vaal","Аура грации ваал","Aura de Gracia vaal","ออร่าวาล์ สง่างาม","瓦爾優雅光環","[7259,7154,15245,1037,24,1947,453,18735]",1,3,"","","","",36,323,"","",1,"",1,1,"",0,"","","","","","",5,"","",0,[],"","",[],"",[],[],"[7259,7154,15245,1037,24,1947,453,18735]",[],"","","","","","",[],"","","","","","","","","","",[],""
159,"vaal_aura_energy_shield","Prevents Energy Shield Recharge from being delayed by Damage","Empêche la Recharge du Bouclier d'énergie d'être retardée par les Dégâts.","Verhindert, dass sich das Aufladen des Energieschilds durch erlittenen Schaden verzögert.","エナジーシールドリチャージのダメージによる遅延を防ぐ","피해를 받았을 때 에너지 보호막 재충전이 지연되는 것을 방지합니다.","Impede que a Recarga do Escudo de Energia seja atrasada por Dano","Дарует дополнительный энергетический щит. Перезарядка энергетического щита не откладывается с получением урона.","Evita que la recarga del escudo de energía se retrase al recibir daño","กันไม่ให้การ รีชาร์จโล่พลังงาน ล่าช้าจากการได้รับความเสียหาย","不會因為受到攻擊而延遲護盾的回復。","",1,"Vaal Discipline Aura","Aura de Discipline vaal ","Aura der Vaal-Disziplin","ヴァールディシプリンオーラ","바알 단련의 오라","Aura de Disciplina Vaal","Аура дисциплины ваал","Aura de Disciplina vaal","ออร่าวาล์ วินัย","瓦爾紀律光環","[7260,134,2331,1037,24,1947,453,18735]",1,3,"","","","",36,324,"","",1,"",1,1,"",0,"","","","","","",5,"","",0,[],"","",[],"",[],[],"[7260,134,2331,1037,24,1947,453,18735]",[],"","","","","","",[],"","","","","","","","","","",[],""
160,"vaal_aura_speed","Grants increased Attack, Cast and Movement Speed","Vous octroie une Augmentation aux Vitesses d'attaque, d'incantation et de déplacement.","Gewährt erhöhte Angriffs,- Zauber- und Bewegungsgeschwindigkeit.","アタックスピード、キャストスピードおよび移動スピード増加が付与されている。","공격, 시전 및 이동 속도가 증가합니다.","Concede aumento das Velocidades de Ataque, Conjuração e Movimento","Повышает скорость передвижения, атаки и сотворения чар","Otorga velocidades de ataque, de lanzamiento de hechizos y de movimiento aumentadas.","ได้รับ: เพิ่มความเร็วในการร่าย, โจมตี, เคลื่อนที่","增加攻擊、施放和移動速度","",1,"Vaal Haste Aura","Aura de Hâte vaal ","Aura der Vaal-Hast","ヴァールヘイストオーラ","바알 가속의 오라","Aura de Ímpeto Vaal","Аура спешки ваал","Aura de Celeridad vaal","ออร่าวาล์ ว่องไว","瓦爾迅捷光環","[7266,70,218,179,1037,24,1947,453,18735]",1,3,"","","","",36,325,1,"",1,"",1,1,"",0,"","","","","","",5,"","",0,[],"","",[],"",[],[],"[7266,70,218,179,1037,24,1947,453,18735]",[],"","","","","","",[],"","","","","","","","","","",[],""
161,"beartrap_debuff","You are held in place by a Bear Trap and will take increased damage from Traps and Mines.","Un Piège à ours vous immobilise. Vous subirez plus de dégâts de la part des Pièges et des Mines.","Eine Bärenfalle macht Euch bewegungsunfähig und Ihr erleidet erhöhten Schaden durch Fallen und Minen.","ベアトラップにより固定され、トラップおよびマインから受けるダメージが増加。","곰 덫에 걸리면 움직이지 못하게 되고, 덫과 지뢰에 더 큰 피해를 받게 됩니다.","Você está preso no lugar por uma Armadilha de Urso e receberá dano aumentado de Armadilhas e Minas.","Вас удерживает на месте Медвежий капкан и вы получаете увеличенный урон от ловушек и мин.","Estás inmovilizado por una Trampa de osos y recibes daño aumentado de trampas y minas.","คุณติด กับดักหมี และจะได้รับความเสียหาย เพิ่มขึ้น จาก กับดักและทุ่นระเบิด","你被捕熊陷阱夾住了，並且增加承受陷阱和地雷的傷害。","","","Bear Trap","Piège à ours ","Bärenfalle","ベアトラップ","곰 덫","Armadilha de Urso","Медвежий капкан","Trampa de osos","กับดักหมี","捕熊陷阱",[7025],1,3,"","","",1,36,174,1,"",2,"",1,1,"",0,"","","","","","",5,"","",0,[],"","",[],"",[],[],[7025],[],"","","","","","",[],"","","","","","","","","","",[],""
162,"beartrap_debuff_slow","Your Movement Speed is lowered and you will take increased damage from Traps and Mines.","Vous Vitesse de déplacement est ralentie et vous subissez plus de dégâts de la part des Pièges et des Mines.","Eure Bewegungsgeschwindigkeit wird verlangsamt und Ihr erleidet erhöhten Schaden durch Fallen und Minen.","ベアトラップにより移動スピードが下がり、トラップおよびマインから受けるダメージが増加。","이동 속도가 느려지고, 덫과 지뢰에 더 큰 피해를 받게 됩니다.","Sua Velocidade de Movimento foi diminuída e você receberá dano aumentado de Armadilhas e Minas.","Ваша скорость передвижения снижена и вы получаете увеличенный урон от ловушек и мин.","Tu velocidad de movimiento está reducida y recibes daño aumentado de trampas y minas.","คุณมีความเร็วในการเคลื่อนที่ ลดลง และคุณจะได้รับความเสียหาย กับดักและทุ่นระเบิด เพิ่มขึ้น","你的移動速度被減緩，並且增加承受陷阱和地雷的傷害。","","","Bear Trap","Piège à ours ","Bärenfalle","ベアトラップ","곰 덫","Armadilha de Urso","Медвежий капкан","Trampa de osos","กับดักหมี","捕熊陷阱","[7886,3393]",1,3,"","","",1,36,174,1,"",2,"",1,1,"",0,"","BearTrapSlowDebuff","","","","",5,"","",0,[],"","",[],"",[],[],"[7886,3393]",[],"","","","","","",[],"","","","","","","","","","",[],""
163,"beartrap_debuff_damage_taken","","","","","","","","","","",1,"","","","","","","","","","","",[3550],1,3,"","","",1,36,0,1,"",18,"",1,1,"",0,"","","","","","",5,"","",0,[],"","",[],"",[],[],[3550],[],"","","","","","",[],"","","","","","","","","","",[],""
164,"trap_convert_buff","You have been temporarily converted to another team","Vous appartenez temporairement à une autre équipe.","Ihr seid vorübergehend zu einem anderen Team bekehrt worden.","一時的に他のチームに変更されている","일시적으로 다른 팀으로 전환되었습니다.","Você foi temporariamente convertido à outra equipe","Вы временно перемещены в другую команду","Fuiste convertido temporalmente a otro equipo","คุณถูกเปลี่ยนให้ไปอยู่อีกทีมหนึ่งชั่วคราว","你暫時被轉換到另一方了","","","Converted","Conversion ","Bekehrt","コンヴァート","전환","Convertido","Обращён","Convertido","แปรพักตร์","變換陣營","[24,3467]",1,3,"","","",1,36,175,1,"",2,"",1,1,"",0,"","",1,"","","",5,"","",0,[],"","",[],"",[1689],[4792],"[24,3467,1689]",[],"","","","","","",[],"","","","","","","","","","",[],""
165,"ground_fire_burn","You are taking burning damage while standing on burning ground","Vous subissez des Dégâts de brûlure tant que vous restez sur du Sol brûlant.","Ihr erleidet Brandschaden, solange Ihr auf brennendem Boden steht.","燃焼領域に立っているため、燃焼ダメージを受けている","용암 지대 위에 서 있으면 화상 피해를 받습니다.","Você está sofrendo dano incendiário por ficar sobre um solo ardente","Вы получаете урон от горения, пока стоите на горящей земле","Recibes daño de incendio mientras estés parado sobre suelo incendiado","คุณได้รับความเสียหายสถานะ ติดไฟ ขณะที่ยืนอยู่บน พื้นลุกไหม้","你站在燃燒的地面上並持續受到火焰傷害","","","Burning Ground","Sol brûlant ","Brennender Boden","燃焼領域","용암 지대","Solo Ardente","Горящая земля","Suelo incendiado","พื้นลุกไหม้","燃燒地面","[2020,3290]",1,3,"","","","",36,176,"","",2,"",1,1,"",0,"","","","","","",5,"","",0,[],"","",[],"",[],[],"[2020,3290]",[],"","","","","","",[],"","","","","","","","","","",[],""
166,"ground_fire_burn_sanctum","You are taking burning damage while standing on burning ground","Vous subissez des Dégâts de brûlure tant que vous restez sur du Sol brûlant.","Ihr erleidet Brandschaden, solange Ihr auf brennendem Boden steht.","燃焼領域に立っているため、燃焼ダメージを受けている","용암 지대로 인한 화상 피해를 받고 있습니다.","Você está sofrendo Dano Ardente enquanto parado em Solo Ardente.","Вы получаете урон от горения, пока стоите на горящей земле","Recibes daño de incendio mientras estés parado sobre suelo incendiado","คุณได้รับความเสียหายสถานะ ติดไฟ ขณะที่ยืนอยู่บน พื้นลุกไหม้","你站在燃燒的地面上並持續受到火焰傷害","","","Burning Ground","Sol brûlant ","Brennender Boden","燃焼領域","용암 지대","Solo Ardente","Горящая земля","Suelo incendiado","พื้นลุกไหม้","燃燒地面","[2020,17209]",1,3,"","","","",36,176,"","",2,"",1,1,"",0,"","","","","","",5,"","",0,[],"","",[],"",[],[3290],"[2020,17209]",[],"","","","","","",[],"","","","","","","","","","",[],""
167,"ground_ice_chill","Your actions are slowed while standing on chilled ground","Vos actions sont ralenties tant que vous restez sur du Sol frigorifiant.","Eure Aktionen werden verlangsamt, solange Ihr auf kühlem Boden steht.","冷却領域に立っているため、減速している。","얼음 지대 위에 서 있으면 동작이 느려집니다.","Suas ações são desaceleradas esquanto estiver sobre um solo congelado","Ваши действия замедлены, пока вы стоите на замёрзшей земле","Tus acciones son más lentas mientras estés parado sobre suelo escarchado","การกระทำของคุณจะช้าลงขณะที่ยืนอยู่บน พื้นหนาวเย็น","你站在結冰的地面上並將持續被冰緩","","","Chilled Ground","Sol frigorifiant ","Unterkühlter Boden","冷却領域","얼음 지대","Solo Congelado","Замёрзшая земля","Suelo escarchado","พื้นหนาวเย็น","冰緩地面",[8541],1,3,"","","","",1,177,"","",2,"",1,1,"",0,"","",1,"","","",5,"","",0,[],"","",[],"",[],[],[8541],[],"","",1,1,"","",[],"","","","","","","","","","","[3291,14718]",1
168,"ground_tar_slow","Your movement speed is reduced while standing in tar","Votre Vitesse de déplacement est réduite tant que vous restez sur du Sol goudronneux.","Eure Bewegungsgeschwindigkeit verlangsamt sich, solange Ihr in Teer steht.","タール領域に立っているため、移動スピードが減少。","타르 위에 서 있으면 이동 속도가 줄어듭니다.","Sua velocidade de movimento é reduzida enquanto estiver sobre piche","Ваша скорость передвижения снижена, пока вы находитесь в смоле","Tu velocidad de movimiento está reducida mientras estés sobre la brea","คุณมีความเร็วในการเคลื่อนที่ ลดลง ขณะที่ยืนอยู่ใน น้ำมันดิน","你站在佈滿焦油的地板上且移動速度受到減緩","","","Tarred Ground","Sol goudronneux ","Geteerter Boden","タール領域","타르 지대","Solo com Piche","Просмолённая земля","Suelo de brea","พื้นน้ำมันดิน","焦油地面",[179],1,3,"","","","",36,178,1,"",2,"",1,1,"",0,"","","","","","",5,"","",0,[],"","",[],"",[],[],[179],[],"","","","","","",[],"","","","","","","","","","",[],""
169,"ground_fire_phys_life_recovery","You are takings physical and fire damage and have reduced Life Recovery Rate","Vous subissez des dégâts physiques et de feu et votre Taux de Récupération de Vie est réduit","Ihr erleidet physischen und Feuerschaden und verfügt über verringerte Lebenswiederherstellung.","物理および火ダメージを受けており、ライフ回復レートが減少している。","지속 물리 및 화염 피해를 받고 있으며 생명력 회복 속도가 감소했습니다.","Você está sofrendo dano físico e de fogo e tem a Recuperação de Vida reduzida.","Вы получаете физический урон и урон от огня и у вас снижена скорость восстановления здоровья","Recibes daño físico y de fuego y tienes velocidad de recuperación de vida reducida","คุณได้รับความเสียหาย กายภาพและไฟ ต่อเนื่อง และมีความเร็วในการ เติมพลังชีวิต ลดลง","你承受物理和火焰傷害，並減少生命恢復率","","","Sundered Ground","Sol abîmé","Verwüsteter Boden","粉砕領域","산산조각 난 지대","Solo Partido","Расколотая земля","Suelo fisurado","พื้นผ่าแยก","破碎地面","[2020,355,2856]",1,3,"","","","",36,176,1,"",2,"",1,1,"",0,"","","","","","",5,"","",0,[],"","",[],"",[],[],"[2020,355,2856]",[],"","","","","","",[],"","","","","","","","","","",[],""
170,"monster_no_drops_buff","","","","","","","","","","",1,"","","","","","","","","","","",[889],"",2,"","","","",36,0,1,"",18,"","","","",0,"","","","","","",5,"","",0,[],"","",[],"",[],[],[889],[],"","","","","","",[],"","","","","","","","","","",[],""
171,"totem_aura_life_regen","Grants Life regeneration","Octroie de la Régénération de Vie","Gewährt Lebensregeneration.","ライフ自動回復が付与されている","생명력 재생을 제공합니다.","Concede Regeneração de Vida","Дарует регенерацию здоровья","Otorga regeneración de vida","ได้รับ: ฟื้นฟูพลังชีวิต","增加生命回復","",1,"Rejuvenation Totem Aura","Aura de Totem régénérant ","Regenerationstotem-Aura","リジュヴェネーショントーテムオーラ","회복 토템의 오라","Totem com Aura de Rejuvenescimento","Аура восполняющего тотема","Aura de Tótem de rejuvenecimiento","ออร่าโทเทมฟื้นชีวิต","回春圖騰光環","[126,1037,24,1947,453,18735]",1,3,"","","","",26,179,"","",1,"",1,1,"",0,"","","","","","",5,"","",0,[],"","",[],"",[],[],"[126,1037,24,1947,453,18735]",[],"","","","","","",[],"","","","","","","","","","",[],""
172,"totem_aura_life_mana_regen","Grants Life and Mana regeneration","Octroie de la Régénération de Vie et de Mana","Gewährt Lebens- und Manaregeneration.","ライフおよびマナ自動回復が付与されている","생명력 및 마나 재생을 제공합니다.","Concede Regeneração de Vida e Mana","Дарует регенерацию здоровья и маны","Otorga regeneración de vida y de maná","ได้รับ: ฟื้นฟู พลังชีวิตและมานา","增加生命和魔力回復","",1,"Rejuvenation Totem Aura","Aura de Totem régénérant ","Regenerationstotem-Aura","リジュヴェネーショントーテムオーラ","회복 토템의 오라","Totem com Aura de Rejuvenescimento","Аура восполняющего тотема","Aura de Tótem de rejuvenecimiento","ออร่าโทเทมฟื้นชีวิต","生命與魔力回復圖騰光環","[126,132,1037,24,1947,453,18735]",1,3,"","","","",26,179,"","",1,"",1,1,"",0,"","","","","","",5,"","",0,[],"","",[],"",[],[],"[126,132,1037,24,1947,453,18735]",[],"","","","","","",[],"","","","","","","","","","",[],""
173,"monster_aura_cold_damage","Allies deal additional cold damage","Ses Alliés infligent des Dégâts de froid supplémentaires","Verbündete verursachen zusätzlichen Kälteschaden","味方は追加の冷気ダメージを与える","추가 냉기 피해 오라","Aliados causam dano de gelo adicional","Союзники наносят дополнительный урон от холода","Los aliados infligen daño de hielo adicional","เพื่อนสร้างความเสียหาย น้ำแข็ง เพิ่มเติม","周圍友方造成額外冰冷傷害","","","Cold Damage Aura","Aura de Dégâts de froid ","Kälteschaden-Aura","冷気ダメージオーラ","냉기 피해의 오라","Aura de Dano de Gelo","Аура урона от холода","Aura de daño de hielo","ออร่าความเสียหายน้ำแข็ง","冰冷傷害光環",[450],1,3,"","","","",36,180,1,"",1,"",1,1,"",0,"","","","","","",5,"","",0,[],"","",[],"",[],[],[450],[],"","","","","","",[],"","","","","","","","","","",[],""
174,"monster_aura_fire_damage","Allies deal additional fire damage","Ses Alliés infligent des Dégâts de feu supplémentaires","Verbündete verursachen zusätzlichen Feuerschaden","味方は追加の火ダメージを与える","추가 화염 피해 오라","Aliados causam dano de fogo adicional","Союзники наносят дополнительный урон от огня","Los aliados infligen daño de fuego adicional","เพื่อนสร้างความเสียหาย ไฟ เพิ่มเติม","周圍友方造成額外火焰傷害","","","Fire Damage Aura","Aura de Dégâts de feu ","Feuerschaden-Aura","火ダメージオーラ","화염 피해의 오라","Aura de Dano de Fogo","Аура урона от огня","Aura de daño de fuego","ออร่าความเสียหายไฟ","火焰傷害光環",[449],1,3,"","","","",36,181,1,"",1,"",1,1,"",0,"","","","","","",5,"","",0,[],"","",[],"",[],[],[449],[],"","","","","","",[],"","","","","","","","","","",[],""
175,"monster_aura_lightning_damage","Allies deal additional lightning damage","Ses Alliés infligent des Dégâts de foudre supplémentaires","Verbündete verursachen zusätzlichen Blitzschaden","味方は追加の雷ダメージを与える","추가 번개 피해 오라","Aliados causam dano de raio adicional","Союзники наносят дополнительный урон от молнии","Los aliados infligen daño de rayo adicional","เพื่อนสร้างความเสียหาย สายฟ้า เพิ่มเติม","周圍友方造成額外閃電傷害","","","Lightning Damage Aura","Aura de Dégâts de foudre ","Blitzschaden-Aura","雷ダメージオーラ","번개 피해의 오라","Aura de Dano de Raio","Аура урона от молнии","Aura de daño de rayo","ออร่าความเสียหายสายฟ้า","閃電傷害光環",[451],1,3,"","","","",36,182,1,"",1,"",1,1,"",0,"","","","","","",5,"","",0,[],"","",[],"",[],[],[451],[],"","","","","","",[],"","","","","","","","","","",[],""
176,"ambrosia_aura_fire_damage","Allies deal additional fire damage","Ses Alliés infligent des Dégâts de feu supplémentaires","Verbündete verursachen zusätzlichen Feuerschaden","味方は追加の火ダメージを与える","추가 화염 피해 오라","Aliados causam dano de fogo adicional","Союзники наносят дополнительный урон от огня","Los aliados infligen daño de fuego adicional","เพื่อนสร้างความเสียหาย ไฟ เพิ่มเติม","周圍友方造成額外火焰傷害","","","Fire Damage Aura","Aura de Dégâts de feu ","Feuerschaden-Aura","火ダメージオーラ","화염 피해의 오라","Aura de Dano de Fogo","Аура урона от огня","Aura de daño de fuego","ออร่าความเสียหายไฟ","火焰傷害光環",[449],1,3,"","","","",36,183,1,"",1,"",1,1,"",0,"","","","","","",5,"","",0,[],"","",[],"",[],[],[449],[],"","","","","","",[],"","","","","","","","","","",[],""
177,"amarissa_aura_lightning_damage","Allies deal additional lightning damage","Ses Alliés infligent des Dégâts de foudre supplémentaires","Verbündete verursachen zusätzlichen Blitzschaden","味方は追加の雷ダメージを与える","추가 번개 피해 오라","Aliados causam dano de raio adicional","Союзники наносят дополнительный урон от молнии","Los aliados infligen daño de rayo adicional","เพื่อนสร้างความเสียหาย สายฟ้า เพิ่มเติม","周圍友方造成額外閃電傷害","","","Lightning Damage Aura","Aura de Dégâts de foudre ","Blitzschaden-Aura","雷ダメージオーラ","번개 피해의 오라","Aura de Dano de Raio","Аура урона от молнии","Aura de daño de rayo","ออร่าความเสียหายสายฟ้า","閃電傷害光環",[451],1,3,"","","","",36,184,1,"",1,"",1,1,"",0,"","","","","","",5,"","",0,[],"","",[],"",[],[],[451],[],"","","","","","",[],"","","","","","","","","","",[],""
178,"blinded","You are less accurate and less evasive","Vous perdez en Précision et en Évasion.","Ihr verfügt über weniger Genauigkeit und Ausweichen.","命中力および回避力が下がっている","정확도가 감폭되고 회피가 감폭됩니다.","Você é menos preciso e menos evasivo com evasão","Ваши меткость и уклонение значительно снижены","Eres menos preciso y menos evasivo","คุณมีความแม่นยำและการหลบหลีก ลดลง อีก","你有更少命中和更少閃避。","","","Blinded","Aveuglement ","Geblendet","盲目","실명","Cego","Ослепление","Cegado","ตาบอด","致盲","[14983,14982]",1,3,"","","",1,36,185,1,"",2,"",1,1,"",0,"","","","","","",5,"","",0,[],"","",[],"",[],[],"[14983,14982]",[972],"","","","","","",[],"","","","","","","","","","",[],""
179,"monster_aura_always_crit","Allies always get Critical Strikes","Les Alliés portent toujours des Coups critiques","Verbündete landen stets kritische Treffer","味方の攻撃は常にクリティカルストライクになる","치명타 상시 발생 오라","Aliados sempre causam Golpes Críticos","Все атаки союзников - критические","Los aliados siempre obtienen golpes críticos","เพื่อนคริติคอล เสมอ","周圍的友方必定暴擊","","","Always Crit Aura","Aura de Crit assuré ","Aura der kritischen Treffer","常時クリティカルオーラ","치명타 상시 발생 오라","Aura de Sempre Crítico","Аура критических атак","Aura de crítico permanente","ออร่าคริติคอลเสมอ","必定暴擊光環",[349],1,3,"","","","",36,187,1,"",1,"",1,1,"",0,"","","","","","",5,"","",0,[],"","",[],"",[],[],[349],[],"","","","","","",[],"","","","","","","","","","",[],""
180,"monster_aura_evasion","Allies have additional Evasion","Les Alliés bénéficient d'Évasion supplémentaire","Verbündeten wird zusätzliches Ausweichen gewährt","味方は追加の回避力を獲得","추가 회피 부여 오라","Aliados têm Evasão adicional","Союзники имеют дополнительное уклонение","Los aliados tienen evasión adicional","เพื่อนมี การหลบหลีก เพิ่มเติม","周圍友方獲得額外的閃避","","","Evasion Aura","Aura d'Évasion ","Aura des Ausweichens","回避力オーラ","회피의 오라","Aura de Evasão","Аура уклонения","Aura de evasión","ออร่าหลบหลีก","閃避光環",[119],1,3,"","","","",36,188,"","",1,"",1,1,"",0,"","","","","","",5,"","",0,[],"","",[],"",[],[],[119],[],"","","","","","",[],"","","","","","","","","","",[],""
181,"ice_shield","Some Physical and Fire damage to you is prevented, Consumes Mana","Prévient une partie des Dégâts physiques et de feu subis, et consomme votre Mana sur la durée.","Ein Teil des physischen Schadens und des Feuerschadens wird verhindert; verbraucht Mana.","物理ダメージおよび火ダメージの一部を防ぎ、マナを消費する","마나를 소모하여 물리 및 화염 피해의 일부를 무효로 합니다.","Você nega Parte do dano Físico e de Fogo, Consome Mana","Часть физического и огненного урона поглощается. Расходует ману.","Una parte del daño físico y del daño de fuego se evita, consume maná ","ความเสียหายทาง กายภาพและไฟ ที่คุณได้รับส่วนหนึ่งจะถูกป้องกันโดยใช้ มานา","持續消耗魔力，但你獲得部分的物理及火焰傷害減免。","",1,"Arctic Armour","Armure arctique ","Arktische Rüstung","アークティックアーマー","한기의 방어구","Armadura Ártica","Северная броня","Armadura ártica","เกราะน้ำแข็ง","極地裝甲","[1080,1181,1182,179]",1,3,"","","",1,36,189,1,"",1,"",1,1,"",0,"","","",1,"","",5,"",1,0,[],"","",[],"",[],[],"[1080,1181,1182,179]",[],"","","","","","",[],"","","","","","","","","","",[],""
182,"ice_shield_moving","","","","","","","","","","",1,"","","","","","","","","","","",[1080],1,3,"","","","",36,0,1,"",1,"","","","",0,"","","","","","",5,"","",0,[],"","",[],"",[],[],[1080],[],"","","","","","",[],"","","","","","","","","","",[],""
183,"frozen_damage_increase","You take increased damage","Vous subissez des Dégâts supplémentaires.","Ihr erleidet mehr Schaden.","受けるダメージが増加","피해를 더 받습니다.","Você sofre dano aumentado","Вы получаете дополнительный урон","Recibes daño aumentado","คุณได้รับความเสียหาย เพิ่มขึ้น","你將受到更多傷害","","","Frozen Damage Increase","Vulnérabilité aux Dégâts (Gel) ","Erhöhter Schaden durch Einfrieren","凍結ダメージ増加","동결 피해 증가","Dano Congelante Aumentado","Увеличение получаемого урона в заморозке","Daño de congelamiento aumentado","เพิ่มความเสียหายแช่แข็ง","冰凍傷害增加",[479],1,3,"","","",1,36,190,"","",18,"",1,1,"",0,"","","","","","",5,"","",0,[],"","",[],"",[],[],[479],[],"","","","","","",[],"","","","","","","","","","",[],""
184,"red_team","You are on the red team.","Vous faites partie de l'Équipe Rouge.","Ihr seid im roten Team.","赤チームに所属","레드 팀에 속해 있습니다.","Você está na equipe vermelha.","Вы находитесь в Красной команде","Estás en el equipo rojo.","คุณอยู่ในทีมสีแดง","你現在是紅隊。",1,"","Red Team","Équipe Rouge ","Rotes Team","赤チーム","레드 팀","Equipe Vermelha","Красная команда","Equipo rojo","ทีมแดง","紅隊",[],1,2,"","","","",36,191,1,"",10,1,1,1,"",0,"","","","","","",5,"","",0,[],"","",[],"",[],[],[],[],"","","","","","",[],"","","","","","","","","","",[],""
185,"blue_team","You are on the blue team.","Vous faites partie de l'Équipe Bleue.","Ihr seid im blauen Team.","青チームに所属","블루 팀에 속해 있습니다.","Você está na equipe azul.","Вы находитесь в Синей команде","Estás en el equipo azul.","คุณอยู่ในทีมสีน้ำเงิน","你現在是藍隊。",1,"","Blue Team","Équipe Bleue ","Blaues Team","青チーム","블루 팀","Equipe Azul","Синяя команда","Equipo azul","ทีมน้ำเงิน","籃隊",[],1,2,"","","","",36,192,1,"",10,1,1,1,"",0,"","","","","","",5,"","",0,[],"","",[],"",[],[],[],[],"","","","","","",[],"","","","","","","","","","",[],""
186,"minion_red_team","You are on the red team.","Vous faites partie de l'Équipe Rouge.","Ihr seid im roten Team.","赤チームに所属","레드 팀에 속해 있습니다.","Você está na equipe vermelha.","Вы находитесь в Красной команде","Estás en el equipo rojo.","คุณอยู่ในทีมสีแดง","你現在是紅隊。",1,"","Red Team","Équipe Rouge ","Rotes Team","赤チーム","레드 팀","Equipe Vermelha","Красная команда","Equipo rojo","ทีมแดง","紅隊",[],1,2,"","","","",36,193,1,"",10,1,1,1,"",0,"","","","","","",5,"","",0,[],"","",[],"",[],[],[],[],"","","","","","",[],"","","","","","","","","","",[],""
187,"minion_blue_team","You are on the blue team.","Vous faites partie de l'Équipe Bleue.","Ihr seid im blauen Team.","青チームに所属","블루 팀에 속해 있습니다.","Você está na equipe azul.","Вы находитесь в Синей команде","Estás en el equipo azul.","คุณอยู่ในทีมสีน้ำเงิน","你現在是藍隊。",1,"","Blue Team","Équipe Bleue ","Blaues Team","青チーム","블루 팀","Equipe Azul","Синяя команда","Equipo azul","ทีมน้ำเงิน","籃隊",[],1,2,"","","","",36,194,1,"",10,1,1,1,"",0,"","","","","","",5,"","",0,[],"","",[],"",[],[],[],[],"","","","","","",[],"","","","","","","","","","",[],""
188,"trap_red_team","You are on the red team.","Vous faites partie de l'Équipe Rouge.","Ihr seid im roten Team.","赤チームに所属","레드 팀에 속해 있습니다.","Você está na equipe vermelha.","Вы находитесь в Красной команде","Estás en el equipo rojo.","คุณอยู่ในทีมสีแดง","你現在是紅隊。",1,"","Red Team","Équipe Rouge ","Rotes Team","赤チーム","레드 팀","Equipe Vermelha","Красная команда","Equipo rojo","ทีมแดง","紅隊",[],1,2,"","","","",36,195,1,"",10,1,1,1,"",0,"","","","","","",5,"","",0,[],"","",[],"",[],[],[],[],"","","","","","",[],"","","","","","","","","","",[],""
189,"trap_blue_team","You are on the blue team.","Vous faites partie de l'Équipe Bleue.","Ihr seid im blauen Team.","青チームに所属","블루 팀에 속해 있습니다.","Você está na equipe azul.","Вы находитесь в Синей команде","Estás en el equipo azul.","คุณอยู่ในทีมสีน้ำเงิน","你現在是藍隊。",1,"","Blue Team","Équipe Bleue ","Blaues Team","青チーム","블루 팀","Equipe Azul","Синяя команда","Equipo azul","ทีมน้ำเงิน","籃隊",[],1,2,"","","","",36,196,1,"",10,1,1,1,"",0,"","","","","","",5,"","",0,[],"","",[],"",[],[],[],[],"","","","","","",[],"","","","","","","","","","",[],""
