"rownum","Id","Name","Name (French)","Name (German)","Name (Japanese)","Name (Korean)","Name (Portuguese)","Name (Russian)","Name (Spanish)","Name (Thai)","Name (Traditional Chinese)","IsCategory","Category","PoE2","string_26","Guild","row_35","string_43"
195,"ThrownWeaponMtx","Spectral Throw","Lancer spectral","Spektralwurf","スペクトラルスロー","환영 무기 투척","Arremesso Espectral","Призрачный бросок","Lanzamiento espectral","Spectral Throw","靈體投擲","",10,"","","","",""
196,"TornadoShotMtx","Tornado Shot","Tornade de flèches","Tornadoschuss","トルネードショット","회오리 사격","Tiro Tornado","Вихрь стрел","Disparo de tornado","Tornado Shot","龍捲射擊","",10,"","","","",""
197,"ToxicRainMtx","Toxic Rain","Pluie toxique","Toxischer Regen","トキシックレイン","맹독성 비","Chuva Tóxica","Токсичный дождь","Lluvia tóxica","Toxic Rain","腐蝕毒雨","",10,"","","","",""
198,"VaalAncestralWarchiefMtx","Vaal Ancestral Warchief","Chef de guerre ancestral vaal","Vaal-Ahnen-Kriegshäuptling","ヴァールアンセストラルウォーチーフ","바알 선대의 대전사","Chefe Guerreiro Ancestral Vaal","Вождь предков ваал","Cacique ancestral vaal","Vaal Ancestral Warchief","瓦爾．先祖戰士長","",10,"","","","",""
199,"VaalAnimateWeaponMtx","Vaal Animate Weapon","Animation d'arme vaal","Vaal-Waffe beseelen","ヴァールアニメイトウェポン","바알 무기 기동","Animar Arma Vaal","Живое оружие ваал","Animar arma vaal","Vaal Animate Weapon","瓦爾．幻化武器","",10,"","","","",""
200,"VaalArcMtx","Vaal Arc","Arc électrique vaal","Vaal-Lichtbogen","ヴァールアーク","바알 연쇄 번개","Arco Elétrico Vaal","Цепь молний ваал","Arco eléctrico vaal","Vaal Arc","瓦爾．電弧","",10,"","","","",""
201,"VaalArcticArmourMtx","Vaal Arctic Armour","Armure arctique vaal","Vaal-Arktische Rüstung","ヴァールアークティックアーマー","바알 한기의 방어구","Armadura Ártica Vaal","Северная броня ваал","Armadura ártica vaal","Vaal Arctic Armour","瓦爾．極地裝甲","",10,"","","","",""
202,"VaalBladeVortexMtx","Vaal Blade Vortex","Vortex de lames vaal","Vaal-Klingenwirbel","ヴァールブレードヴォーテックス","바알 칼날 소용돌이","Vórtice de Lâminas Vaal","Вихрь клинков ваал","Vórtice de filos vaal","Vaal Blade Vortex","瓦爾．飛刃風暴","",10,"","","","",""
203,"VaalClarityMtx","Vaal Clarity","Clarté vaal","Vaal-Klarheit","ヴァールクラリティ","바알 명상","Clareza Vaal","Ясность ума ваал","Claridad vaal","Vaal Clarity","瓦爾．清晰","",10,"","","","",""
204,"VaalColdSnapMtx","Vaal Cold Snap","Vague de froid vaal","Vaal-Blitzeis","ヴァールコールドスナップ","바알 한파","Estalo Gélido Vaal","Укус стужи ваал","Ruptura de hielo vaal","Vaal Cold Snap","瓦爾．霜暴","",10,"","","","",""
205,"VaalCycloneMtx","Vaal Cyclone","Cyclone vaal","Vaal-Wirbelsturm","ヴァールサイクロン","바알 회오리바람","Ciclone Vaal","Вихрь ваал","Ciclón vaal","Vaal Cyclone","瓦爾．旋風斬","",10,"","","","",""
206,"VaalDisciplineMtx","Vaal Discipline","Discipline vaal","Vaal-Disziplin","ヴァールディシプリン","바알 단련","Disciplina Vaal","Дисциплина ваал","Disciplina vaal","Vaal Discipline","瓦爾．紀律","",10,"","","","",""
207,"VaalDominationMtx","Vaal Domination","Domination vaal","Vaal-Beherrschung","ヴァールドミネーション","바알 지배","Dominação Vaal","Господство ваал","Dominación vaal","Vaal Domination","瓦爾．霸氣","",10,"","","","",""
208,"VaalDoubleStrikeMtx","Vaal Double Strike","Double frappe vaal","Vaal-Doppelschlag","ヴァールダブルストライク","바알 이중 타격","Golpe Duplo Vaal","Двойной удар ваал","Golpe doble vaal","Vaal Double Strike","瓦爾．雙重打擊","",10,"","","","",""
209,"VaalEarthquakeMtx","Vaal Earthquake","Séisme vaal","Vaal-Erdbeben","ヴァールアースクエイク","바알 지진","Terremoto Vaal","Землетрясение ваал","Terremoto vaal","Vaal Earthquake","瓦爾．震地","",10,"","","","",""
210,"VaalFireballMtx","Vaal Fireball","Boule de feu vaal","Vaal-Feuerball","ヴァールファイヤーボール","바알 화염구","Bola de Fogo Vaal","Огненный шар ваал","Bola de fuego vaal","Vaal Fireball","瓦爾．火球","",10,"","","","",""
211,"VaalFirestormMtx","Vaal Firestorm","Tempête de feu vaal","Vaal-Feuerregen","ヴァールファイヤーストーム","바알 화염 폭풍","Tormenta Flamejante Vaal","Огненный шторм ваал","Tormenta de fuego vaal","Vaal Firestorm","瓦爾．烈炎風暴","",10,"","","","",""
212,"VaalFlameblastMtx","Vaal Flameblast","Conflagration vaal","Vaal-Flammenexplosion","ヴァールフレイムブラスト","바알 화염파","Explosão Flamejante Vaal","Пламенный взрыв ваал","Explosión de llamas vaal","Vaal Flameblast","瓦爾．烈焰爆破","",10,"","","","",""
213,"VaalGraceMtx","Vaal Grace","Grâce vaal","Vaal-Anmut","ヴァールグレース","바알 은총","Graça Vaal","Грация ваал","Gracia vaal","Vaal Grace","瓦爾．優雅","",10,"","","","",""
214,"VaalGroundSlamMtx","Vaal Ground Slam","Fracas tellurique vaal","Vaal-Schmetterhieb","ヴァールグラウンドスラム","바알 대지 강타","Impacto Sísmico Vaal","Сотрясение ваал","Impacto sísmico vaal","Vaal Ground Slam","瓦爾．裂地之擊","",10,"","","","",""
215,"VaalHasteMtx","Vaal Haste","Hâte vaal","Vaal-Hast","ヴァールヘイスト","바알 가속","Ímpeto Vaal","Спешка ваал","Celeridad vaal","Vaal Haste","瓦爾．迅捷","",10,"","","","",""
216,"VaalIceNovaMtx","Vaal Ice Nova","Nova de glace vaal","Vaal-Eisnova","ヴァールアイスノヴァ","바알 얼음 폭발","Nova Glacial Vaal","Кольцо льда ваал","Nova de hielo vaal","Vaal Ice Nova","瓦爾．冰霜新星","",10,"","","","",""
217,"VaalIceShotMtx","Vaal Ice Shot","Tir de glace vaal","Vaal-Eisgeschoss","ヴァールアイスショット","바알 얼음 화살","Tiro Gélido Vaal","Ледяной выстрел ваал","Disparo de hielo vaal","Vaal Ice Shot","瓦爾．冰霜射擊","",10,"","","","",""
218,"VaalImmortalCall","Vaal Immortal Call","Clameur d'immortalité vaal","Vaal-Schrei der Unsterblichkeit","ヴァールイモータルコール","바알 불멸의 외침","Chamado Imortal Vaal","Призыв к бессмертию ваал","Llamado inmortal vaal","Vaal Immortal Call","瓦爾．不朽怒嚎","",10,"","","","",""
219,"VaalLightningArrowMtx","Vaal Lightning Arrow","Flèche de foudre vaal","Vaal-Blitzpfeil","ヴァールライトニングアロー","바알 번개 화살","Flecha Relampejante Vaal","Стрела молнии ваал","Flecha de rayo vaal","Vaal Lightning Arrow","瓦爾．閃電箭矢","",10,"","","","",""
220,"VaalLightningWarpMtx","Vaal Lightning Warp","Téléportation foudroyante vaal","Vaal-Blitzteleportation","ヴァールライトニングワープ","바알 번개 차원 이동","Teleporte Relampejante Vaal","Грозовой переход ваал","Teletransporte de rayo vaal","Vaal Lightning Warp","瓦爾．閃電傳送","",10,"","","","",""
221,"VaalMoltenShellMtx","Vaal Molten Shell","Carapace volcanique vaal","Vaal-Lavaschilde","ヴァールモルテンシェル","바알 용암 방패","Escudo Flamejante Vaal","Расплавленный панцирь ваал","Coraza fundida vaal","Vaal Molten Shell","瓦爾．熔岩護盾","",10,"","","","",""
222,"VaalMoltenStrikeMtx","Vaal Molten Strike","Frappe volcanique vaal","Vaal-Lavaschilde","ヴァールモルテンストライク","바알 용암 타격","Golpe Vulcânico Vaal","Магмовый удар ваал","Golpe fundido vaal","Vaal Molten Strike","瓦爾．熔岩之擊","",10,"","","","",""
223,"VaalPurityOfFireMtx","Vaal Impurity of Fire","Impureté du feu vaal","Vaal-Unreinheit des Feuers","ヴァールインピュリティオブファイヤー","바알 불의 부정함","Impreza Ardente Vaal","Погибель от огня ваал","Impureza de fuego vaal","Vaal Impurity of Fire","瓦爾．不淨之火","",10,"","","","",""
224,"VaalPurityOfIceMtx","Vaal Impurity of Ice","Impureté de la glace vaal","Vaal-Unreinheit des Eises","ヴァールインピュリティオブアイス","바알 얼음의 부정함","Impureza Glacial Vaal","Погибель от холода ваал","Impureza de hielo vaal","Vaal Impurity of Ice","瓦爾．不淨之冰","",10,"","","","",""
225,"VaalPurityOfLightningMtx","Vaal Impurity of Lightning","Impureté de la foudre vaal","Vaal-Unreinheit des Blitzes","ヴァールインピュリティオブライトニング","바알 번개의 부정함","Impureza Elétrica Vaal","Погибель от молнии ваал","Impureza de rayo vaal","Vaal Impurity of Lightning","瓦爾．不淨之雷","",10,"","","","",""
226,"VaalRainOfArrowsMtx","Vaal Rain of Arrows","Pluie de flèches vaal","Vaal-Pfeilregen","ヴァールレインオブアロー","바알 화살비","Chuva de Flechas Vaal","Ливень стрел ваал","Lluvia de flechas vaal","Vaal Rain of Arrows","瓦爾．箭雨","",10,"","","","",""
227,"VaalReapMtx","Vaal Reap","Fauchage vaal","Vaal-Sense","ヴァールリープ","바알 낫질","Ceifar Vaal","Кровавая жатва ваал","Siega vaal","Vaal Reap","瓦爾．收割","",10,"","","","",""
228,"VaalReaveMtx","Vaal Reave","Ravage vaal","Vaal-Zerreißen","ヴァールリーヴ","바알 약탈","Devastação Vaal","Опустошение ваал","Desgarro vaal","Vaal Reave","瓦爾．衝擊波","",10,"","","","",""
229,"VaalRejuvenationTotemMtx","Vaal Rejuvenation Totem","Totem régénérant vaal","Vaal-Regenerationstotem","ヴァールリジュヴェネーショントーテム","바알 회복 토템","Totem Rejuvenescedor Vaal","Восполняющий тотем ваал","Tótem de rejuvenecimiento vaal","Vaal Rejuvenation Totem","瓦爾．回春圖騰","",10,"","","","",""
230,"VaalRighteousFireMtx","Vaal Righteous Fire","Feu de la vertu vaal","Vaal-Sühnendes Feuer","ヴァールライチャスファイヤー","바알 정의의 화염","Círculo Ardente Vaal","Праведный огонь ваал","Fuego justo vaal","Vaal Righteous Fire","瓦爾．正義之火","",10,"","","","",""
231,"VaalSmiteMtx","Vaal Smite","Châtiment vaal","Vaal-Zerschmettern","ヴァールスマイト","바알 징벌","Castigar Vaal","Кара ваал","Aniquilación vaal","Vaal Smite","瓦爾．雷鳴重擊","",10,"","","","",""
232,"VaalSparkMtx","Vaal Spark","Étincelle vaal","Vaal-Funken","ヴァールスパーク","바알 전기불꽃","Faísca Vaal","Искра ваал","Chispa vaal","Vaal Spark","瓦爾．電球","",10,"","","","",""
233,"VaalStormCallMtx","Vaal Storm Call","Appel de la foudre vaal","Vaal-Gewitterbeschwörung","ヴァールストームコール","바알 폭풍 부름","Invocar Tormenta Vaal","Призыв бури ваал","Llamado de tormenta vaal","Vaal Storm Call","瓦爾．風暴呼喚","",10,"","","","",""
234,"VaalSummonSkeletonsMtx","Vaal Summon Skeletons","Invocation de Squelettes vaal","Vaal-Skelette beschwören","ヴァールスケルトン召喚","바알 해골 소환","Convocar Esqueletos Vaal","Сотворение скелетов ваал","Invocar esqueletos vaal","Vaal Summon Skeletons","瓦爾．召喚骷髏","",10,"","","","",""
235,"VaalThrownWeaponMtx","Vaal Spectral Throw","Lancer spectral vaal","Vaal-Spektralwurf","ヴァールスペクトラルスロー","바알 환영 무기 투척","Arremesso Espectral Vaal","Призрачный бросок ваал","Lanzamiento espectral vaal","Vaal Spectral Throw","瓦爾．靈體投擲","",10,"","","","",""
236,"VaalPowerSiphonMtx","Vaal Power Siphon","Siphon de pouvoir vaal","Vaal-Energieentladung","ヴァールパワーサイフォン","바알 권능 착취","Sifão de Poder Vaal","Перелив энергии ваал","Robo de poder vaal","Vaal Power Siphon","瓦爾．力量抽取","",10,"","","","",""
237,"VaalFlickerStrikeMtx","Vaal Flicker Strike","Frappe fulgurante vaal","Vaal-Flimmerschlag","ヴァールフリッカーストライク","바알 점멸 타격","Golpe Súbito Vaal","Внезапный удар ваал","Golpe repentino vaal","Vaal Flicker Strike","瓦爾．閃現打擊","",10,"","","","",""
238,"VaalVenomGyreMtx","Vaal Venom Gyre","Spirale venimeuse vaal","Vaal-Giftwirbel","ヴァールヴェノムジャイア","바알 독액 선회","Espiral Venenosa Vaal","Круг яда ваал","Espiral de veneno vaal","Vaal Venom Gyre","瓦爾．猛毒迴旋","",10,"","","","",""
239,"VaalBladeFlurryMtx","Vaal Blade Flurry","Déluge de lames vaal","Vaal-Klingentanz","ヴァールブレードフラリィ","바알 질풍의 칼날","Rajada de Lâminas Vaal","Порыв клинков ваал","Aluvión de filos vaal","Vaal Blade Flurry","瓦爾．刀鋒亂舞","",10,"","","","",""
240,"VaalCleaveMtx","Vaal Cleave","Taillade vaal","Vaal-Spalten","ヴァールクリーヴ","바알 회전베기","Cutilada Vaal","Рассечение ваал","Hendidura vaal","Vaal Cleave","瓦爾．劈砍","",10,"","","","",""
241,"VaalCausticArrowMtx","Vaal Caustic Arrow","Flèche caustique vaal","Vaal-Ätzender Pfeil","ヴァールコースティックアロー","바알 부식성 화살","Flecha Cáustica Vaal","Едкая стрела ваал","Flecha cáustica vaal","Vaal Caustic Arrow","瓦爾．腐蝕箭矢","",10,"","","","",""
242,"VitalityMtx","Vitality","Vitalité","Vitalität","バイタリティ","활력","Vitalidade","Живучесть","Vitalidad","Vitality","活力","",10,"","","","",""
243,"VolatileDeadMtx","Volatile Dead","Cadavres instables","Explosiver Tod","ボラタイルデッド","시체 불덩이","Morto Volátil","Нестабильный труп","Muertos volátiles","Volatile Dead","致命之息","",10,"","","","",""
244,"WhirlingBladesMtx","Whirling Blades","Lames tourbillonnantes","Wirbelnde Klingen","ワーリングブレード","칼날 선회","Lâminas Giratórias","Шквал клинков","Filos giratorios","Whirling Blades","迴旋之刃","",10,"","","","",""
245,"WitherMtx","Wither","Flétrissement","Verkümmern","ウィザー","위축","Definhar","Увядание","Marchitar","Wither","死亡凋零","",10,"","","","",""
246,"WrathMtx","Wrath","Fureur","Zorn","ラース","진노","Ira","Грозный гнев","Cólera","Wrath","雷霆","",10,"","","","",""
247,"RangedAttackTotemMtx","Ranged Attack Totem","Totem d'attaque à distance","Fernangriffstotem","バリスタトーテム","원거리 공격 토템","Totem de Ataque à Distância","Стреляющий тотем","Tótem de ataques a distancia","Ranged Attack Totem","遠距離攻擊圖騰","",10,"","","","",""
248,"SpellTotemMtx","SpellTotem","Totem incantateur","Zaubertotem","スペルトーテム","주문 토템","Totem de Magia","Колдующий тотем","Tótem de hechizos","SpellTotem","法術圖騰","",10,"","","","",""
249,"WarBannerMtx","War Banner","Étendard de guerre","Kriegsbanner","ウォーバナー","전쟁 깃발","Estandarte de Guerra","Знамя войны","Estandarte de guerra","War Banner","戰爭之旗","",10,"","","","",""
250,"DreadBannerMtx","Dread Banner","Étendard de terreur","Todesbanner","ドレッドバナー","공포의 깃발","Estandarte Horrendo","Знамя страха","Estandarte de pavor","Dread Banner","恐懼之旗","",10,"","","","",""
251,"ZealotryMtx","Zealotry","Zèle","Glaubenseifer","ゼロトリー","열광","Fanatismo","Фанатизм","Exaltación","Zealotry","狂熱","",10,"","","","",""
252,"MalevolenceMtx","Malevolence","Malfaisance","Boshaftigkeit","マレヴォレンス","악의","Malevolência","Злорадство","Malevolencia","Malevolence","惡意","",10,"","","","",""
253,"SoulrendMtx","Soulrend","Déchirure d'âme","Seelenriss","ソウルレンド","영혼 분리","Rasgalma","Разрыв души","Desgarrador de almas","Soulrend","靈體撕裂","",10,"","","","",""
254,"DivineIreMtx","Divine Ire","Courroux divin","Göttlicher Zorn","ディヴァインアイア","신성한 진노","Ira Divina","Божественный гнев","Ira divina","Divine Ire","聖怒","",10,"","","","",""
255,"WinterOrbMtx","Winter Orb","Orbe de l'hiver","Wintersphäre","ウィンターオーブ","겨울 보주","Orbe Invernal","Зимняя сфера","Orbe invernal","Winter Orb","凜冬之球","",10,"","","","",""
256,"BaneMtx","Bane","Damnation","Verdammung","ベイン","파멸","Banir","Погибель","Condenación","Bane","災厄","",10,"","","","",""
257,"IceDashMtx","Ice Dash","Transfert givrant","Frostspurt","アイスクラッシュ","얼음 질주","Avanço Gélido","Ледяной скачок","Embestida de hielo","Ice Dash","霜漣之瞬","",10,"","","","",""
258,"QuickDodgeMtx","Dash","Élan","Spurt","ダッシュ","질주","Avanço","Рывок","Finta","Dash","幻步","",10,"","","","",""
259,"PrecisionMtx","Precision","Justesse","Präzision","プレシジョン","정밀함","Precisão","Точность","Exactitud","Precision","精準","",10,"","","","",""
260,"PrideMtx","Pride","Fierté","Stolz","プライド","자부심","Orgulho","Гордость","Orgullo","Pride","驕傲","",10,"","","","",""
261,"LightningTrapMtx","Lightning Trap","Piège de foudre","Blitzfalle","ライトニングトラップ","번개 덫","Armadilha Relampejante","Ловушка молний","Trampa de rayo","Lightning Trap","閃電陷阱","",10,"","","","",""
262,"VaalLightningTrapMtx","Vaal Lightning Trap","Piège de foudre vaal","Vaal-Blitzfalle","ヴァールライトニングトラップ","바알 번개 덫","Armadilha Relampejante Vaal","Ловушка молний ваал","Trampa de rayo vaal","Vaal Lightning Trap","瓦爾．閃電陷阱","",10,"","","","",""
263,"BladestormMtx","Bladestorm","Tempête de lames","Klingensturm","ブレードストーム","칼날 폭풍","Tempestade de Lâminas","Ураган лезвий","Tormenta de filos","Bladestorm","旋天劍舞","",10,"","","","",""
264,"BloodAndSandMtx","Blood and Sand","Sang et sable","Blut und Sand","ブラッドアンドサンド","피와 모래","Sangue e Areia","Кровь и песок","Sangre y arena","Blood and Sand","血腥沙戮","",10,"","","","",""
265,"FleshAndStoneMtx","Flesh and Stone","Chair et pierre","Fleisch und Stein","フレッシュアンドストーン","육체와 돌","Carne e Pedra","Камень и плоть","Carne y piedra","Flesh and Stone","血肉骸骨","",10,"","","","",""
266,"StormBrandMtx","Storm Brand","Symbole de l'orage","Zeichen des Sturms","ストームバインド","폭풍의 낙인","Runa Tempestuosa","Клеймо бури","Marca de tormentas","Storm Brand","風暴烙印","",10,"","","","",""
267,"BlightMtx","Blight","Fléau","Pesthauch","ブライト","역병","Infestação","Мор","Plaga","Blight","萎滅","",10,"","","","",""
268,"VaalBlightMtx","Vaal Blight","Fléau vaal","Vaal-Pesthauch","ヴァールブライト","바알 황폐","Infestação Vaal","Мор ваал","Plaga vaal","Vaal Blight","瓦爾．萎滅","",10,"","","","",""
269,"PyroclastMineMtx","Pyroclast Mine","Mine de pyroclastes","Lavageschossmine","パイロクラストマイン","화산탄 지뢰","Mina Piroclástica","Пирокластовая мина","Mina piroclástica","Pyroclast Mine","炎爆新星地雷","",10,"","","","",""
270,"HailstormMineMtx","Icicle Mine","Mine d'éclats de glace","Eiskristallmine","アイシクルマイン","고드름 지뢰","Mina de Sincelo","Шквальная мина","Mina de tormenta de granizo","Icicle Mine","冰雹地雷","",10,"","","","",""
271,"StormblastMineMtx","Stormblast Mine","Mine de déflagration orageuse","Gewittersturmmine","ストームブラストマイン","태풍 파열 지뢰","Mina de Tempestade Explosiva","Штормовая мина","Mina de tormenta explosiva","Stormblast Mine","風暴地雷","",10,"","","","",""
272,"BlastChainMineMtx","Remote Mine","Mine activable","Fernmine","リモートマイン","원격 지뢰","Mina Remota","Мина","Mina remota","Remote Mine","遙控地雷","",10,"","","","",""
273,"HighImpactMineMtx","Remote Mine","Mine activable","Fernmine","リモートマイン","원격 지뢰","Mina Remota","Мина","Mina remota","Remote Mine","遙控地雷","",10,"","","","",""
274,"LocusMineMtx","Remote Mine","Mine activable","Fernmine","リモートマイン","원격 지뢰","Mina Remota","Мина","Mina remota","Remote Mine","遙控地雷","",10,"","","","",""
275,"SummonSkitterbotsMtx","Summon Skitterbots","Invocation d'Arachnobots","Arachnobots beschwören","スキッターボット召喚","원격 기폭 장치 소환","Convocar Robôs Rastejantes","Призыв мехаботов","Invocar robots escurridizos","Summon Skitterbots","召喚探測機獸","",10,"","","","",""
276,"ArtilleryBallistaMtx","Artillery Ballista","Baliste d'artillerie","Artillerie-Balliste","アーティラリーバリスタ","포대 쇠뇌","Balista de Artilharia","Артиллерийская баллиста","Balista de artillería","Artillery Ballista","火砲砲塔","",10,"","","","",""
277,"ShrapnelBallistaMtx","Shrapnel Ballista","Baliste à shrapnel","Schrapnell-Balliste","シュラプネルバリスタ","파편 쇠뇌","Balista Estilhaçante","Осколочная баллиста","Balista de metralla","Shrapnel Ballista","彈片砲塔","",10,"","","","",""
278,"ExplosiveArrowMtx","Explosive Arrow","Flèche explosive","Explosiver Pfeil","エクスプローシブアロー","폭발 화살","Flecha Explosiva","Взрывная стрела","Flecha explosiva","Explosive Arrow","爆炸箭矢","",10,"","","","",""
279,"BlasphemyPlusMtx","Awakened Blasphemy","Blasphème (éveillé)","Erweckte Blasphemie","覚醒のブラスフェミー","각성한 신성 모독","Blasfêmia Desperta","Пробуждённый: Богохульство","Blasfemia despertada","Awakened Blasphemy","覺醒詛咒光環","",10,"","","","",""
280,"SummonCarrionGolemMtx","Summon Carrion Golem","Invocation de Golem de charogne","Aasgolem beschwören","キャリオンゴーレム召喚","부패 골렘 소환","Convocar Golem da Carniça","Призыв трупного голема","Invocar Gólem de carroña","Summon Carrion Golem","召喚食腐魔像","",10,"","","","",""
281,"BladeBlastMtx","Blade Blast","Explosion de lames","Klingenexplosion","ブレードブラスト","칼날 폭격","Explosão de Lâminas","Взрыв клинков","Explosión de filos","Blade Blast","劍刃爆破","",10,"","","","",""
282,"AnimateWeaponMtx","Animated Weapon","Animation d'Arme","Waffe beseelen","アニメイトウェポン","기동된 무기","Animar Arma","Живое оружие","Arma animada","Animated Weapon","幻化武器","",10,"","","","",""
283,"KineticBoltMtx","Kinetic Bolt","Éclair cinétique","Kinetisches Geschoss","キネティックボルト","역학 투사체","Tiro Cinético","Кинетический заряд","Descarga cinética","Kinetic Bolt","力量穿引","",10,"","","","",""
284,"PowerSiphonMtx","Power Siphon","Siphon de pouvoir","Energieentladung","パワーサイフォン","권능 착취","Sifão de Poder","Перелив энергии","Robo de poder","Power Siphon","力量抽取","",10,"","","","",""
285,"StormbindMtx","Stormbind","Rune de l'orage","Sturmrune","ストームバインド","폭풍 연대","Vínculo Tempestuoso","Грозовые руны","Rito de tormenta","Stormbind","風暴術符","",10,"","","","",""
286,"DominatingBlowMtx","Dominating Blow","Coup de soumission","Beherrschender Schlag","ドミネーティングブロウ","지배의 맹타","Golpe Dominador","Удар власти","Embate dominante","Dominating Blow","霸氣之擊","",10,"","","","",""
287,"EnduringCryMtx","Enduring Cry","Cri d'endurance","Widerstandsschrei","エンデュアリングクライ","인내의 함성","Clamor Fortalecedor","Клич стойкости","Grito de aguante","Enduring Cry","堅決戰吼","",10,"","","","",""
288,"RallyingCryMtx","Rallying Cry","Cri de ralliement","Schlachtruf","ラリイングクライ","집결의 함성","Clamor Agrupador","Клич сплочения","Grito inspirador","Rallying Cry","激勵戰吼","",10,"","","","",""
289,"AbyssalCryMtx","Abyssal Cry","Cri abyssal","Abyssischer Schrei","インファーナルクライ","심연의 함성","Clamor Abissal","Клич преисподней","Grito abisal","Abyssal Cry","深淵戰吼","",10,"","","","",""
290,"IntimidatingCryMtx","Intimidating Cry","Cri d'intimidation","Einschüchternder Schrei","インティミデーティングクライ","위협의 함성","Clamor Intimidador","Устрашающий клич","Grito intimidatorio","Intimidating Cry","威嚇戰吼","",10,"","","","",""
291,"GeneralsCryMtx","General's Cry","Cri du Général","Schrei des Generals","ジェネラルズクライ","장군의 함성","Clamor do General","Клич полководца","Grito del general","General's Cry","將軍戰吼","",10,"","","","",""
292,"AncestralCryMtx","Ancestral Cry","Cri ancestral","Schrei der Ahnen","アンセストラルクライ","선대의 함성","Clamor Ancestral","Клич предков","Grito ancestral","Ancestral Cry","先祖戰吼","",10,"","","","",""
293,"SeismicCryMtx","Seismic Cry","Cri sismique","Seismischer Schrei","サイズミッククライ","지진 함성","Clamor Sísmico","Сейсмический клич","Grito sísmico","Seismic Cry","裂地戰吼","",10,"","","","",""
294,"TectonicSlamMtx","Tectonic Slam","Fracas tectonique","Tektonischer Hieb","テクトニックスラム","지층 강타","Impacto Tectônico","Тектонический удар","Embate tectónico","Tectonic Slam","破體之擊","",10,"","","","",""
295,"FistOfWarMtx","Fist of War","Poing de guerre","Faust des Krieges","フィストオブウォー","전쟁의 주먹","Punho da Guerra","Кулак войны","Puño de guerra","Fist of War","拳霸","",10,"","","","",""
296,"IceCrashMtx","Ice Crash","Fracas de glace","Eishieb","アイスクラッシュ","얼음 충격","Pancada Glacial","Ледяное сокрушение","Choque de hielo","Ice Crash","寒冰衝擊","",10,"","","","",""
297,"LancingSteelMtx","Lancing Steel","Acier transperçant","Stechender Stahl","ランシングスティール","강철 관통","Aço Perfurante","Пронзающая сталь","Acero empalador","Lancing Steel","鋼之突刺","",10,"","","","",""
298,"ShatteringSteelMtx","Shattering Steel","Acier fendant","Zerschmetternder Stahl","シャタリングスティール","강철 파편","Aço Estraçalhador","Дробящая сталь","Acero devastador","Shattering Steel","鋼之碎擊","",10,"","","","",""
299,"DetonateDeadMtx","Detonate Dead","Explosion cadavérique","Leichenexplosion","デトネートデッド","시체 폭발","Detonar Morto","Подрыв трупа","Detonar muertos","Detonate Dead","屍體爆破","",10,"","","","",""
300,"VaalDetonateDeadMtx","Vaal Detonate Dead","Explosion cadavérique vaal","Vaal-Leichenexplosion","ヴァールデトネートデッド","바알 시체 폭발","Detonar Morto Vaal","Подрыв трупа ваал","Detonar muertos vaal","Vaal Detonate Dead","瓦爾．屍體爆破","",10,"","","","",""
301,"VoidSphereMtx","Void Sphere","Sphère du Néant","Sphäre der Leere","ヴォイドスフィア","공허 구체","Esfera do Vácuo","Сфера пустоты","Esfera de vacío","Void Sphere","虛無玉","",10,"","","","",""
302,"SmiteMtx","Smite","Châtiment","Zerschmettern","スマイト","징벌","Castigo","Кара","Aniquilación","Smite","雷鳴重擊","",10,"","","","",""
303,"EarthshatterMtx","Earthshatter","Pieux telluriques","Erdspalter","アースシャッター","지면 분쇄","Destroçador","Разлом земли","Foco sísmico","Earthshatter","碎地重擊","",10,"","","","",""
304,"ConsecratedPathMtx","Consecrated Path","Chemin consacré","Geweihter Pfad","コンセクレイテッドパス","축성의 진격","Caminho Sagrado","Освящённый путь","Camino consagrado","Consecrated Path","奉獻之路","",10,"","","","",""
305,"CracklingLanceMtx","Crackling Lance","Épieu crépitant","Blitzlanze","クラックリングランス","치직대는 창","Lâmina Crepitante","Искрящееся копьё","Lanza electrizante","Crackling Lance","碎雷電閃","",10,"","","","",""
306,"BodyswapMtx","Bodyswap","Substitution corporelle","Reinkarnation","ボディスワップ","신체 전환","Troca de Corpos","Обмен телами","Intercambio de cuerpos","Bodyswap","屍術傳送","",10,"","","","",""
307,"FlameWallMtx","Flame Wall","Mur de flammes","Feuermauer","フレイムウォール","화염 벽","Parede Flamejante","Стена пламени","Muro de fuego","Flame Wall","烈焰之牆","",10,"","","","",""
308,"EnsnaringArrowMtx","Ensnaring Arrow","Flèche d'empêtrement","Fesselnder Pfeil","エンスネアリングアロー","올가미 화살","Flecha Aprisionadora","Стрела ловчего","Flecha atrapante","Ensnaring Arrow","誘捕箭矢","",10,"","","","",""
309,"SigilOfPowerMtx","Sigil of Power","Sceau de pouvoir","Rune der Macht","シギルオブパワー","힘의 부적","Emblema do Poder","Печать силы","Runa de poder","Sigil of Power","咒符之力","",10,"","","","",""
310,"SteelskinMtx","Steelskin","Peau d'acier","Stahlhaut","スティールスキン","강철피부","Pele de Aço","Стальная кожа","Piel de acero","Steelskin","鋼筋鐵骨","",10,"","","","",""
311,"PunctureMtx","Puncture","Saignée","Durchstoßen","パンクチャー","관통상","Punctura","Надрез","Punción","Puncture","放血","",10,"","","","",""
