"rownum","Id","CraftFamily","Text","Text (French)","Text (German)","Text (Japanese)","Text (Korean)","Text (Portuguese)","Text (Russian)","Text (Spanish)","Text (Thai)","Text (Traditional Chinese)","Script","ScriptArgument","HASH16","bool_38","Tier","bool_55","Achievement","bool_72","rid_73","i32_89"
35,"GemExperienceToCharacterExperienceMerciless2",4,"<white>{Sacrifice} a <white>{Gem} to gain 25% of the gem's total experience stored as your own experience","<white>{Sacrifie} une <white>{Gemme} pour rajouter 25% de son expérience à votre expérience personnelle","<white>{Opfert} eine <white>{Gemme} und erhaltet 25% der Erfahrung der Gemme als Erfahrung für Euren Charakter","<white>{ジェム}を<white>{生贄}に捧げジェムの合計経験値の25%をキャラクターの経験値として追加する","<white>{젬} 1개를 <white>{소모}하여 젬에 저장된 총 경험치의 25%를 플레이어의 경험치로 획득","<white>{Sacrifique} uma <white>{Gema} para ganhar 25% do total de experiência da gema como experiência para você","<white>{Пожертвовать камнем} и получить 25% от итогового накопленного им опыта в виде вашего личного опыта","<white>{Sacrifica} una <white>{gema} para obtener el 25% de la experiencia total de la gema almacenada como tu propia experiencia","<white>{สังเวย หิน} เพื่อ​นำ 25% ของ​ค่า​ประสบการณ์​ที่​หิน​เม็ด​นั้น​มี​มา​เก็บ​ไว้​เป็น ค่าประสบการณ์​ของ​คุณ","<white>{獻祭} 1 顆 <white>{寶石} 以獲得 25% 寶石總保存經驗的你自己的經驗","sacrifice_gem_for_experience","25",2848,"",2,"",[],"",562,0
36,"GemExperienceToCharacterExperienceUber1",4,"<white>{Sacrifice} a <white>{Gem} to gain 25% of the gem's total experience stored as your own experience","<white>{Sacrifie} une <white>{Gemme} pour rajouter 25% de son expérience à votre expérience personnelle","<white>{Opfert} eine <white>{Gemme} und erhaltet 25% der Erfahrung der Gemme als Erfahrung für Euren Charakter","<white>{ジェム}を<white>{生贄}に捧げジェムの合計経験値の25%をキャラクターの経験値として追加する","<white>{젬} 1개를 <white>{소모}하여 젬에 저장된 총 경험치의 25%를 플레이어의 경험치로 획득","<white>{Sacrifique} uma <white>{Gema} para ganhar 25% do total de experiência da gema como experiência para você","<white>{Пожертвовать камнем} и получить 25% от итогового накопленного им опыта в виде вашего личного опыта","<white>{Sacrifica} una <white>{gema} para obtener el 25% de la experiencia total de la gema almacenada como tu propia experiencia","<white>{สังเวย หิน} เพื่อ​นำ 25% ของ​ค่า​ประสบการณ์​ที่​หิน​เม็ด​นั้น​มี​มา​เก็บ​ไว้​เป็น ค่าประสบการณ์​ของ​คุณ","<white>{獻祭} 1 顆 <white>{寶石} 以獲得 25% 寶石總保存經驗的你自己的經驗","sacrifice_gem_for_experience","25",-5660,"",1,"",[],"",562,0
37,"GemExperienceToCharacterExperienceUber2",4,"<white>{Sacrifice} a <white>{Gem} to gain 40% of the gem's total experience stored as your own experience","<white>{Sacrifie} une <white>{Gemme} pour rajouter 40% de son expérience à votre expérience personnelle","<white>{Opfert} eine <white>{Gemme} und erhaltet 40% der Erfahrung der Gemme als Erfahrung für Euren Charakter","<white>{ジェム}を<white>{生贄}に捧げジェムの合計経験値の40%をキャラクターの経験値として追加する","<white>{젬} 1개를 <white>{소모}하여 젬에 저장된 총 경험치의 40%를 플레이어의 경험치로 획득","<white>{Sacrifique} uma <white>{Gema} para ganhar 40% do total de experiência da gema como experiência para você","<white>{Пожертвовать камнем} и получить 40% от итогового накопленного им опыта в виде вашего личного опыта","<white>{Sacrifica} una <white>{gema} para obtener el 40% de la experiencia total de la gema almacenada como tu propia experiencia","<white>{สังเวย หิน} เพื่อ​นำ 40% ของ​ค่า​ประสบการณ์​ที่​หิน​เม็ด​นั้น​มี​มา​เก็บ​ไว้​เป็น ค่าประสบการณ์​ของ​คุณ","<white>{獻祭} 1 顆 <white>{寶石} 以獲得 40% 寶石總保存經驗的你自己的經驗","sacrifice_gem_for_experience","40",27074,"",2,"",[],"",562,0
38,"SacrificeGemForTreasureKeys1",5,"<white>{Sacrifice} a <white>{Gem} for Treasure Keys","<white>{Sacrifie} une <white>{Gemme} contre des Clés au Trésor","<white>{Opfert} eine <white>{Gemme} für Kaiserliche Schlüssel","<white>{ジェム}を<white>{生贄}に捧げ宝の鍵にする","<white>{젬} 1개를 <white>{소모}하여 보물 열쇠 획득","<white>{Sacrifique} uma <white>{Gema} por Chaves do Tesouro","<white>{Пожертвовать камнем} и получить ключи от сокровищницы","<white>{Sacrifica} una <white>{gema} para obtener Llaves del tesoro","<white>{สังเวย หิน} เพื่อ​แลก​กับ กุญแจ​สมบัติ","<white>{獻祭} 1 顆 <white>{寶石} 以獲得寶藏鑰匙","sacrifice_gem_for_treasure_keys","",158,"",1,"",[],"",563,1
39,"SacrificeGemForRandomCurrency1",6,"<white>{Sacrifice} a <white>{Gem} for Currency Items","<white>{Sacrifie} une <white>{Gemme} contre des Objets monétaires","<white>{Opfert} eine <white>{Gemme} für Währungsgegenstände","<white>{ジェム}を<white>{生贄}に捧げカレンシーにする","<white>{젬} 1개를 <white>{소모}하여 화폐 아이템 획득","<white>{Sacrifique} uma <white>{Gema} por Itens Monetários","<white>{Пожертвовать камнем} и получить валюту","<white>{Sacrifica} una <white>{gema} para obtener objetos monetarios","<white>{สังเวย หิน} เพื่อ​แลก​กับ ไอเทม​เงินตรา","<white>{獻祭} 1 顆 <white>{寶石} 以獲得通貨","sacrifice_gem_for_random_currency","",24400,"",1,"",[],"",563,1
40,"ExchangeGemForExceptionalGem1",7,"<white>{Exchange} a <white>{Support Gem} for a random <white>{Exceptional Gem}","<white>{Échange} une <white>{Gemme de soutien} contre une <white>{Gemme exceptionnelle} aléatoire","<white>{Tauscht} eine <white>{Unterstützungsgemme} gegen eine zufällige <white>{außergewöhnliche Gemme}","<white>{サポートジェム}をランダムな<white>{希少なジェム}に<white>{交換}する","<white>{보조 젬} 1개를 무작위 <white>{특출난 젬}으로 <white>{교환}","<white>{Troque} uma <white>{Gema de Suporte} por uma <white>{Gema Excepcional} aleatória","<white>{Обменять камень поддержки} на случайный <white>{исключительный камень}","<white>{Intercambia} una <white>{gema de asistencia} por una <white>{gema excepcional} aleatoria","นำ <white>{หิน​เสริม} ไป<white>{แลก​เปลี่ยน}​กับ {หิน​เสริม​ดีเด่น​} เม็ด​หนึ่ง​แบบ​สุ่ม","1 顆 <white>{輔助寶石} 來 <white>{交換} 1 顆隨機 <white>{卓越寶石}","exchange_gem_for_exceptional_gem","",18210,"",2,"",[],"",562,1
41,"ExchangeGemForAwakenedGem1",8,"<white>{Exchange} a <white>{non-Exceptional Support Gem} for its <white>{Awakened} version","<white>{Échange} une <white>{Gemme de soutien non exceptionnelle} contre sa version <white>{Éveillée}","<white>{Tauscht} eine <white>{Unterstützungsgemme (außergewöhnliche ausgenommen)} gegen ihre <white>{erweckte} Version","<white>{希少でないサポートジェム}をランダムな<white>{覚醒}バージョンに<white>{交換}する","<white>{특출난 젬이 아닌 젬} 1개를 <white>{각성한} 버전으로 <white>{교환}","<white>{Troque} uma <white>{Gema de Suporte não Excepcional} por sua versão <white>{Desperta}","<white>{Обменять не исключительный камень поддержки} на его <white>{пробуждённую} версию","<white>{Intercambia} una <white>{gema de asistencia que no sea excepcional} por su versión <white>{despertada}","นำ <white>{หิน​เสริม​ที่​ไม่​ดีเด่น} ไป<white>{แลก​เปลี่ยน}​กับ <white>{หิน​จุติ​} ของ​หิน​เม็ด​นั้น","1 顆 <white>{非卓越輔助寶石} 來 <white>{交換} 它的 <white>{覺醒} 版本","exchange_gem_for_awakened_gem","",26328,"",2,"",[],"",562,1
42,"ChangeCorruptedNormalGemIntoNormalGemOfSameColor1",11,"<white>{Transform} a <white>{Corrupted Skill Gem} to be a random <white>{Corrupted Skill Gem} of the same colour","<white>{Transforme} une <white>{Gemme d'aptitude corrompue} en une <white>{Gemme d'aptitude corrompue} aléatoire de même couleur","<white>{Verwandelt} eine <white>{verderbte Fertigkeitengemme} in eine zufällige <white>{verderbte Fertigkeitengemme} derselben Farbe","<white>{コラプト状態のスキルジェム}を同じ色のランダムな<white>{コラプト状態のスキルジェム}に変化させる","<white>{타락한 스킬 젬} 1개를 같은 색의 무작위 <white>{타락한 스킬 젬}으로 <white>{변화}","<white>{Transforme} uma <white>{Gema de Habilidade Corrompida} por uma <white>{Gema de Habilidade Corrompida} aleatória da mesma cor","<white>{Преобразовать осквернённый камень умения} в случайный <white>{осквернённый камень умения} того же цвета","<white>{Transforma} una <white>{gema de habilidad corrupta} en una <white>{gema de habilidad corrupta} aleatoria del mismo color","<white>{แปร​สภาพ หิน​สกิล​ที่​มี​มลทิน} ให้​เป็น​ <white>{หินสกิล​ที่​มี​มลทิน} ที่​มี​สี​เดียว​กัน​เม็ด​หนึ่ง​แบบ​สุ่ม","<white>{轉化} 1 顆 <white>{已汙染的技能寶石} 至 1 顆隨機同顏色的 <white>{已汙染的技能寶石}","change_gem_to_random_alternate_gem_of_same_colour","input_is_corrupted, output_is_normal_gem, retain_exp",10924,1,2,1,[],"",562,0
43,"ChangeCorruptedAlternateGemIntoAlternateGemOfSameColor1",12,"<white>{Transform} a <white>{Corrupted Transfigured Skill Gem} to be a random <white>{Corrupted Transfigured Skill Gem} of the same colour","<white>{Transforme} une <white>{Gemme d'aptitude transfigurée corrompue} en une <white>{Gemme d'aptitude transfigurée corrompue} aléatoire de même couleur","<white>{Verwandelt} eine <white>{verderbte verwandelte Fertigkeitengemme} in eine zufällige <white>{verderbte verwandelte Fertigkeitengemme} derselben Farbe"," <white>{コラプト状態の変容スキルジェム}を同じ色のランダムな<white>{コラプト状態の変容スキルジェム}に変化させる","<white>{타락한 변성 스킬 젬} 1개를 같은 색의 무작위 <white>{타락한 변성 스킬 젬}으로 <white>{변화}","<white>{Transforme} uma <white>{Gema de Habilidade Transfigurada Corrompida} por uma <white>{Gema de Habilidade Transfigurada Corrompida} aleatória da mesma cor","<white>{Преобразовать осквернённый преображённый камень умения} в случайный <white>{осквернённый преображённый камень умения} того же цвета","<white>{Transforma} una <white>{gema de habilidad transfigurada corrupta} en una <white>{gema de habilidad transfigurada corrupta} aleatoria del mismo color","<white>{แปร​สภาพ หิน​สกิล​เปลี่ยน​โฉม​ที่​มี​มลทิน} ให้​เป็น​ <white>{หิน​สกิล​เปลี่ยน​โฉม​ที่​มี​มลทิน} ที่​มี​สี​เดียว​กัน​เม็ด​หนึ่ง​แบบ​สุ่ม","<white>{轉化} 1 顆 <white>{已汙染的變異技能寶石} 至 1 顆隨機同顏色的 <white>{已汙染的變異技能寶石}","change_gem_to_random_alternate_gem_of_same_colour","input_is_corrupted, input_is_alternate_gem, retain_exp",-11228,1,2,1,[],"",562,0
44,"HardModeChangeNormalGemIntoNormalGemOfSameColor1",13,"<white>{Transform} a <white>{Skill Gem} to be a random <white>{Skill Gem} of the same colour","<white>{Transforme} une <white>{Gemme d'aptitude} en une <white>{Gemme} aléatoire de même couleur","<white>{Verwandelt} eine <white>{Fertigkeitengemme} in eine zufällige <white>{Fertigkeitengemme} derselben Farbe","<white>{スキルジェム}を同じ色のランダムな<white>{スキルジェム}に変化させる","<white>{스킬 젬} 1개를 같은 색의 무작위 <white>{스킬 젬}으로 <white>{변화}","<white>{Transforme} uma <white>{Gema de Habilidade} por uma <white>{Gema de Habilidade} aleatória da mesma cor","<white>{Преобразовать камень умения} в случайный <white>{камень умения} того же цвета","<white>{Transforma} una <white>{gema de habilidad} en una <white>{gema de habilidad} aleatoria del mismo color","<white>{แปร​สภาพ หิน​สกิล} ให้​เป็น​ <white>{หิน​สกิล} ที่​มี​สี​เดียว​กัน​เม็ด​หนึ่ง​แบบ​สุ่ม","<white>{轉化} 1 顆 <white>{技能寶石} 至 1 顆隨機同顏色的 <white>{技能寶石}","change_gem_to_random_alternate_gem_of_same_colour","output_is_normal_gem",-10501,"",0,"",[],"",562,2
45,"HardModeChangeSupportGemIntoSupportGemOfSameColor1",14,"<white>{Transform} a <white>{Support Gem} to be a random <white>{Support Gem} of the same colour","<white>{Transforme} une <white>{Gemme de soutien} en une <white>{Gemme de soutien} aléatoire de même couleur","<white>{Verwandelt} eine <white>{Unterstützungsgemme} in eine zufällige <white>{Fertigkeitengemme} derselben Farbe","<white>{サポートジェム}を同じ色のランダムな<white>{サポートジェム}に変化させる","<white>{보조 젬} 1개를 같은 색의 무작위 <white>{보조 젬}으로 <white>{변화}","<white>{Transforme} uma <white>{Gema de Suporte} por uma <white>{Gema de Suporte} aleatória da mesma cor","<white>{Преобразовать камень поддержки} в случайный <white>{камень поддержки} того же цвета","<white>{Transforma} una <white>{gema de asistencia} en una <white>{gema de asistencia} aleatoria del mismo color","<white>{แปร​สภาพ หิน​เสริม} ให้​เป็น​ <white>{หิน​เสริม} ที่​มี​สี​เดียว​กัน​เม็ด​หนึ่ง​แบบ​สุ่ม","<white>{轉化} 1 顆 <white>{輔助寶石} 至 1 顆隨機同顏色的 <white>{輔助寶石}","change_gem_to_random_alternate_gem_of_same_colour","use_support_gems",30205,"",0,"",[],"",562,2
46,"HardModeAddGemQualityNormal",2,"Add +1% quality to a <white>{Gem}","Ajoute +1% de qualité à une <white>{Gemme}","Fügt einer <white>{Gem} +1% Qualität hinzu","<white>{ジェム}に品質+1%を追加する","<white>{젬}에 퀄리티 +1% 추가","Adiciona +1% de qualidade à uma <white>{Gema}","Добавляет <white>{камню} +1% качества","Agrega +1% de calidad a una <white>{gema}","เพิ่ม ค่า​คุณภาพ +1% ให้​กับ <white>{หิน}","新增 +1% 品質至 1 顆 <white>{寶石}","use_x_gemcutter","1",7320,"",1,"",[],"",562,2
47,"HardModeAddGemQualityCruel",2,"Add +2% quality to a <white>{Gem}","Ajoute +2% de qualité à une <white>{Gemme}","Fügt einer <white>{Gem} +2% Qualität hinzu","<white>{ジェム}に品質+2%を追加する","<white>{젬}에 퀄리티 +2% 추가","Adiciona +2% de qualidade à uma <white>{Gema}","Добавляет <white>{камню} +2% качества","Agrega +2% de calidad a una <white>{gema}","เพิ่ม ค่า​คุณภาพ +2% ให้​กับ <white>{หิน}","新增 +2% 品質至 1 顆 <white>{寶石}","use_x_gemcutter","2",31123,"",1,"",[],"",562,2
48,"HardModeAddGemQualityMerciless",2,"Add +3% quality to a <white>{Gem}","Ajoute +3% de qualité à une <white>{Gemme}","Fügt einer <white>{Gem} +3% Qualität hinzu","<white>{ジェム}に品質+3%を追加する","<white>{젬}에 퀄리티 +3% 추가","Adiciona +3% de qualidade à uma <white>{Gema}","Добавляет <white>{камню} +3% качества","Agrega +3% de calidad a una <white>{gema}","เพิ่ม ค่า​คุณภาพ +3% ให้​กับ <white>{หิน}","新增 +3% 品質至 1 顆 <white>{寶石}","use_x_gemcutter","3",13331,"",1,"",[],"",562,2
49,"HardModeAddGemQualityUber",2,"Add +5% quality to a <white>{Gem}","Ajoute +5% de qualité à une <white>{Gemme}","Fügt einer <white>{Gem} +5% Qualität hinzu","<white>{ジェム}に品質+5%を追加する","<white>{젬}에 퀄리티 +5% 추가","Adiciona +4% de qualidade à uma <white>{Gema}","Добавляет <white>{камню} +5% качества","Agrega +5% de calidad a una <white>{gema}","เพิ่ม ค่า​คุณภาพ +5% ให้​กับ <white>{หิน}","新增 +5% 品質至 1 顆 <white>{寶石}","use_x_gemcutter","5",-9324,"",1,"",[],"",562,2
50,"HardModeAddGemExperienceCruel1",1,"Add 500k experience to a <white>{Gem}","Ajoute 500k d'expérience à une <white>{Gemme}","Fügt einer <white>{Gemme} 500k Erfahrungspunkte hinzu","<white>{ジェム}に経験値を500k追加する","<white>{젬}에 경험치 500,000 추가","Adiciona 500k de experiência à uma <white>{Gema}","Добавляет <white>{камню} 500т опыта","Agrega 500 000 de experiencia a una <white>{gema}","เพิ่ม ค่า​ประสบการณ์ 5 แสน ให้​กับ <white>{หิน}","新增 50 萬經驗至 1 顆 <white>{寶石}","add_experience_to_gem","500000",-23688,"",0,"",[],"",562,2
51,"HardModeAddGemExperienceCruel2",1,"Add 800k experience to a <white>{Gem}","Ajoute 800k d'expérience à une <white>{Gemme}","Fügt einer <white>{Gemme} 800k Erfahrungspunkte hinzu","<white>{ジェム}に経験値を800k追加する","<white>{젬}에 경험치 800,000 추가","Adiciona 800k de experiência à uma <white>{Gema}","Добавляет <white>{камню} 800т опыта","Agrega 800 000 de experiencia a una <white>{gema}","เพิ่ม ค่า​ประสบการณ์ 8 แสน ให้​กับ <white>{หิน}","新增 80 萬經驗至 1 顆 <white>{寶石}","add_experience_to_gem","800000",-6537,"",0,"",[],"",562,2
52,"HardModeAddGemExperienceMerciless1",1,"Add 2.4m experience to a <white>{Gem}","Ajoute 2,4m d'expérience à une <white>{Gemme}","Fügt einer <white>{Gemme} 2.4m Erfahrungspunkte hinzu","<white>{ジェム}に経験値を2.4m追加する","<white>{젬}에 경험치 2,400,000 추가","Adiciona 2.4m de experiência à uma <white>{Gema}","Добавляет <white>{камню} 2.4м опыта","Agrega 2,4 M de experiencia a una <white>{gema}","เพิ่ม ค่า​ประสบการณ์ 2.4 ล้าน ให้​กับ <white>{หิน}","新增 240 萬經驗至 1 顆 <white>{寶石}","add_experience_to_gem","2400000",30433,"",0,"",[],"",562,2
53,"HardModeAddGemExperienceMerciless2",1,"Add 4.8m experience to a <white>{Gem}","Ajoute 4,8m d'expérience à une <white>{Gemme}","Fügt einer <white>{Gemme} 4.8m Erfahrungspunkte hinzu","<white>{ジェム}に経験値を4.8m追加する","<white>{젬}에 경험치 4,800,000 추가","Adiciona 4.8m de experiência à uma <white>{Gema}","Добавляет <white>{камню} 4.8м опыта","Agrega 4,8 M de experiencia a una <white>{gema}","เพิ่ม ค่า​ประสบการณ์ 4.8 ล้าน ให้​กับ <white>{หิน}","新增 480 萬經驗至 1 顆 <white>{寶石}","add_experience_to_gem","4800000",3882,"",0,"",[],"",562,2
54,"HardModeAddGemExperienceMerciless3",1,"Add 8m experience to a <white>{Gem}","Ajoute 8m d'expérience à une <white>{Gemme}","Fügt einer <white>{Gemme} 8m Erfahrungspunkte hinzu","<white>{ジェム}に経験値を8m追加する","<white>{젬}에 경험치 8,000,000 추가","Adiciona 8m de experiência à uma <white>{Gema}","Добавляет <white>{камню} 8м опыта","Agrega 8 M de experiencia a una <white>{gema}","เพิ่ม ค่า​ประสบการณ์ 8 ล้าน ให้​กับ <white>{หิน}","新增 800 萬經驗至 1 顆 <white>{寶石}","add_experience_to_gem","8000000",-24765,"",0,"",[],"",562,2
55,"HardModeAddGemExperienceMerciless4",1,"Add 12m experience to a <white>{Gem}","Ajoute 12m d'expérience à une <white>{Gemme}","Fügt einer <white>{Gemme} 12m Erfahrungspunkte hinzu","<white>{ジェム}に経験値を12m追加する","<white>{젬}에 경험치 12,000,000 추가","Adiciona 12m de experiência à uma <white>{Gema}","Добавляет <white>{камню} 12м опыта","Agrega 12 M de experiencia a una <white>{gema}","เพิ่ม ค่า​ประสบการณ์ 12 ล้าน ให้​กับ <white>{หิน}","新增 1200 萬經驗至 1 顆 <white>{寶石}","add_experience_to_gem","12000000",-13776,"",1,"",[],"",562,2
56,"HardModeAddGemExperienceUber1",1,"Add 4.8m experience to a <white>{Gem}","Ajoute 4,8m d'expérience à une <white>{Gemme}","Fügt einer <white>{Gemme} 4.8m Erfahrungspunkte hinzu","<white>{ジェム}に経験値を4.8m追加する","<white>{젬}에 경험치 4,800,000 추가","Adiciona 4.8m de experiência à uma <white>{Gema}","Добавляет <white>{камню} 4.8м опыта","Agrega 4,8 M de experiencia a una <white>{gema}","เพิ่ม ค่า​ประสบการณ์ 4.8 ล้าน ให้​กับ <white>{หิน}","新增 480 萬經驗至 1 顆 <white>{寶石}","add_experience_to_gem","4800000",-10281,"",0,"",[],"",562,2
57,"HardModeAddGemExperienceUber2",1,"Add 8m experience to a <white>{Gem}","Ajoute 8m d'expérience à une <white>{Gemme}","Fügt einer <white>{Gemme} 8m Erfahrungspunkte hinzu","<white>{ジェム}に経験値を8m追加する","<white>{젬}에 경험치 8,000,000 추가","Adiciona 8m de experiência à uma <white>{Gema}","Добавляет <white>{камню} 8м опыта","Agrega 8 M de experiencia a una <white>{gema}","เพิ่ม ค่า​ประสบการณ์ 8 ล้าน ให้​กับ <white>{หิน}","新增 800 萬經驗至 1 顆 <white>{寶石}","add_experience_to_gem","8000000",19694,"",0,"",[],"",562,2
58,"HardModeAddGemExperienceUber3",1,"Add 16m experience to a <white>{Gem}","Ajoute 16m d'expérience à une <white>{Gemme}","Fügt einer <white>{Gemme} 16m Erfahrungspunkte hinzu","<white>{ジェム}に経験値を16m追加する","<white>{젬}에 경험치 16,000,000 추가","Adiciona 16m de experiência à uma <white>{Gema}","Добавляет <white>{камню} 16м опыта","Agrega 16 M de experiencia a una <white>{gema}","เพิ่ม ค่า​ประสบการณ์ 16 ล้าน ให้​กับ <white>{หิน}","新增 1600 萬經驗至 1 顆 <white>{寶石}","add_experience_to_gem","16000000",-8557,"",0,"",[],"",562,2
59,"HardModeAddGemExperienceUber4",1,"Add 24m experience to a <white>{Gem}","Ajoute 24m d'expérience à une <white>{Gemme}","Fügt einer <white>{Gemme} 24m Erfahrungspunkte hinzu","<white>{ジェム}に経験値を24m追加する","<white>{젬}에 경험치 24,000,000 추가","Adiciona 24m de experiência à uma <white>{Gema}","Добавляет <white>{камню} 24м опыта","Agrega 24 M de experiencia a una <white>{gema}","เพิ่ม ค่า​ประสบการณ์ 24 ล้าน ให้​กับ <white>{หิน}","新增 2400 萬經驗至 1 顆 <white>{寶石}","add_experience_to_gem","24000000",-10697,"",1,"",[],"",562,2
60,"HardModeSacrificeGemForTreasureKeys1",5,"<white>{Sacrifice} a <white>{Gem} for Treasure Keys","<white>{Sacrifie} une <white>{Gemme} contre des Clés au Trésor","<white>{Opfert} eine <white>{Gemme} für Kaiserliche Schlüssel","<white>{ジェム}を<white>{生贄}に捧げ宝の鍵にする","<white>{젬} 1개를 <white>{소모}하여 보물 열쇠 획득","<white>{Sacrifique} uma <white>{Gema} por Chaves do Tesouro","<white>{Пожертвовать камнем} и получить ключи от сокровищницы","<white>{Sacrifica} una <white>{gema} para obtener Llaves del tesoro","<white>{สังเวย หิน} เพื่อ​แลก​กับ กุญแจ​สมบัติ","<white>{獻祭} 1 顆 <white>{寶石} 以獲得寶藏鑰匙","sacrifice_gem_for_treasure_keys","",-24892,"",1,"",[],"",563,2
