"rownum","Id","Text","Text (French)","Text (German)","Text (Japanese)","Text (Korean)","Text (Portuguese)","Text (Russian)","Text (Spanish)","Text (Thai)","Text (Traditional Chinese)","XBoxText","XBoxText (French)","XBoxText (German)","XBoxText (Japanese)","XBoxText (Korean)","XBoxText (Portuguese)","XBoxText (Russian)","XBoxText (Spanish)","XBoxText (Thai)","XBoxText (Traditional Chinese)","XBoxText2","XBoxText2 (French)","XBoxText2 (German)","XBoxText2 (Japanese)","XBoxText2 (Korean)","XBoxText2 (Portuguese)","XBoxText2 (Russian)","XBoxText2 (Spanish)","XBoxText2 (Thai)","XBoxText2 (Traditional Chinese)","HASH32","PlaystationText","PlaystationText (French)","PlaystationText (German)","PlaystationText (Japanese)","PlaystationText (Korean)","PlaystationText (Portuguese)","PlaystationText (Russian)","PlaystationText (Spanish)","PlaystationText (Thai)","PlaystationText (Traditional Chinese)","string_44","string_44 (French)","string_44 (German)","string_44 (Japanese)","string_44 (Korean)","string_44 (Portuguese)","string_44 (Russian)","string_44 (Spanish)","string_44 (Thai)","string_44 (Traditional Chinese)"
1260,"ItemErrorWrongBaseType","Item has the wrong base type.","Le type de base de cet objet est incorrect.","Gegenstand hat den falschen Basistypen.","アイテムのベースタイプが異なっています。","아이템의 기본 유형이 잘못되었습니다.","O item tem o tipo base errado.","Неправильный базовый тип предмета.","El objeto tiene el tipo base equivocado.","ไอเทมนี้​มี​เบส​ไอเทม​ไม่​ถูกต้อง","此物品類型不正確。","","","","","","","","","","","","","","","","","","","","",-1486834965,"","","","","","","","","","","","","","","","","","","",""
1261,"ItemErrorNotStrongbox","Target is not a Strongbox.","La cible n'est pas un Coffre-fort.","Ziel ist kein Tresor.","対象はストロングボックスではありません。","대상이 금고가 아닙니다.","O alvo não é um Cofre.","Цель не является ларцом.","El objetivo no es una caja fuerte.","เป้าหมาย​ไม่ใช่​กล่อง​นิรภัย","目標並非保險箱。","","","","","","","","","","","","","","","","","","","","",2007569003,"","","","","","","","","","","","","","","","","","","",""
1262,"ItemErrorStrongboxOpen","Target Strongbox is open.","Le Coffre-fort ciblé est ouvert.","Zieltresor ist offen.","対象のストロングボックスは開いています。","대상 금고가 열렸습니다.","O Cofre alvo está aberto.","Этот ларец открыт.","La caja fuerte objetivo ya está abierta.","กล่อง​นิรภัย​เป้าหมาย​เปิด​อยู่","目標保險箱已被開啟。","","","","","","","","","","","","","","","","","","","","",1490663869,"","","","","","","","","","","","","","","","","","","",""
1263,"ItemErrorStrongboxLocked","Target Strongbox is locked.","Le Coffre-fort ciblé est verrouillé.","Zieltresor ist verschlossen.","対象のストロングボックスはロックされています。","대상 금고가 잠겼습니다.","O Cofre alvo está trancado.","Этот ларец заперт.","La caja fuerte objetivo está cerrada.","กล่อง​นิรภัย​เป้าหมาย​ล็อก​อยู่","目標保險箱已上鎖。","","","","","","","","","","","","","","","","","","","","",-1755279417,"","","","","","","","","","","","","","","","","","","",""
1264,"ItemErrorFailedRerollImplicit","Could not reroll target's implicit Mod values.","Impossible de tirer au sort de nouvelles valeurs implicites.","Die impliziten Modifikatoren des Ziels konnten nicht verändert werden.","対象の暗黙モッドの値をリロールできません。","대상의 고정 속성 부여 값을 무작위 변경할 수 없습니다.","Não foi possível modificar os valores implícitos da Propriedade do alvo.","Невозможно изменить значения собственных свойств этого предмета.","No se pudieron aleatorizar los valores del mod. implícito del objetivo.","ไม่​สามารถ​สุ่ม​ค่าตัวเลข​ของ​ม็อดแฝง​ของ​เป้าหมาย​ได้","無法隨機重置目標的固定屬性。","","","","","","","","","","","","","","","","","","","","",602411326,"","","","","","","","","","","","","","","","","","","",""
1265,"ItemErrorFailedChance","Could not upgrade target's Rarity.","Impossible d'augmenter la rareté de la cible.","Seltenheit des Ziels konnte nicht erhöht werden.","対象のレアリティをアップグレードできません。","대상의 희귀도를 업그레이드할 수 없습니다.","Não foi possível aprimorar a Raridade do alvo.","Невозможно повысить редкость этого предмета.","No se pudo mejorar la rareza del objetivo.","ไม่​สามารถ​อัพเกรด​ระดับ​ความ​หา​ยาก​ของ​เป้าหมาย​ได้","無法升級目標稀有度。","","","","","","","","","","","","","","","","","","","","",696886475,"","","","","","","","","","","","","","","","","","","",""
1266,"ItemErrorFailedRerollLinks","Could not reroll item's Socket links.","Impossible de tirer au sort de nouvelles liaisons de châsses.","Fassungsverbindungen des Gegenstandes konnten nicht verändert werden.","アイテムのソケットのリンクをリロールできません。","아이템의 홈 연결을 무작위 변경할 수 없습니다.","Não foi possível modificar as conexões dos Encaixes do item.","Невозможно изменить связи между гнёздами этого предмета.","No se pudieron aleatorizar los vínculos de los engarces del objeto.","ไม่​สามารถ​สุ่ม​การ​เชื่อม​รู​ของ​ไอเทม​นี้​ได้","無法隨機重置物品插槽連結。","","","","","","","","","","","","","","","","","","","","",-950651599,"","","","","","","","","","","","","","","","","","","",""
1267,"ItemErrorFailedRerollSockets","Could not reroll item's number of Sockets.","Impossible de tirer au sort un nouveau nombre de châsses.","Fassungsanzahl des Gegenstandes konnte nicht verändert werden.","アイテムのソケット数をリロールできません。","아이템의 홈 개수를 무작위 변경할 수 없습니다.","Não foi possível modificar o número de Encaixes no item.","Невозможно изменить количество гнезд этого предмета.","No se pudo aleatorizar el número de engarces del objeto.","ไม่​สามารถ​สุ่ม​จำนวน​รู​ของ​ไอเทม​นี้​ได้","無法隨機重置物品的插槽數量。","","","","","","","","","","","","","","","","","","","","",-742697021,"","","","","","","","","","","","","","","","","","","",""
1268,"ItemErrorGenericFailure","The operation could not be completed.","Erreur lors de l'application.","Der Vorgang konnte nicht abgeschlossen werden.","操作を完了できません。","작업을 완료할 수 없습니다.","A operação não pôde ser concluída.","Операция не может быть выполнена.","La operación no se pudo completar.","ไม่​สามารถ​ดำเนิน​การ​ได้","操作無法完成。","","","","","","","","","","","","","","","","","","","","",1847849160,"","","","","","","","","","","","","","","","","","","",""
1269,"ItemErrorMustBeInHideout","This item can only be used in your Hideout.","Vous devez être dans votre Repaire pour utiliser cet objet.","Dieser Gegenstand kann nur in deinem Versteck verwendet werden.","そのアイテムは隠れ家内でのみ使用できます。","은신처에서만 사용할 수 있는 아이템입니다.","Este item só pode ser usado em seu Refúgio.","Этот предмет можно использовать только в вашем убежище.","Este objeto solo se puede usar en tu guarida.","ไอเทม​ชิ้น​นี้​ต้อง​ใช้​ใน​ที่​ซ่อน​ของ​คุณ​เท่านั้น","這個物品只能在你的藏身處使用。","","","","","","","","","","","","","","","","","","","","",-2048285473,"","","","","","","","","","","","","","","","","","","",""
1270,"ItemErrorMustBeInIzaroObjective","This item cannot be used in this area.","Cet objet ne peut pas être utilisé dans cette zone.","Dieser Gegenstand kann in diesem Gebiet nicht genutzt werden.","そのアイテムはこのエリアで使用できません。","해당 지역에서 사용할 수 없는 아이템입니다.","Este item não pode ser usado nesta área.","Предмет нельзя использовать в этой области.","Este objeto no se puede usar en esta área.","ไอเทม​ชิ้น​นี้​ไม่​สามารถ​ใช้ได้​ใน​ด่าน​นี้","此物品無法在該區域中使用。","","","","","","","","","","","","","","","","","","","","",516762896,"","","","","","","","","","","","","","","","","","","",""
1271,"ItemErrorHasExpiryHideoutDoodad","Pets with expiry times cannot be placed as Hideout decorations.","Les familiers qui ont une date d'expiration ne peuvent pas être placés dans votre Repaire.","Begleiter mit begrenzter Laufzeit können nicht als Versteck-Dekoration verwendet werden.","失効時間のあるペットは隠れ家の装飾品として配置できません。","기한이 만료된 애완동물을 은신처 장식물로 이용할 수 없습니다.","Mascotes com data de validade não podem ser colocados como decorações do refúgio.","Непостоянных питомцев нельзя использовать как предметы обстановки убежища.","Las mascotas con tiempo de expiración limitado no pueden ser colocadas como decoraciones de guarida.","สัตว์เลี้ยง​ที่​มี​เวลา​จำกัด​ไม่​สามารถ​วาง​ไว้​เป็น​ของ​ตกแต่ง​ที่​ซ่อน​ได้","時效性寵物無法放置於藏身處。","","","","","","","","","","","","","","","","","","","","",1465405064,"","","","","","","","","","","","","","","","","","","",""
1272,"ItemErrorDoodadCanNotBePlacedHere","You must place decorations on terrain that you could walk on.","Vous devez placer les décorations sur un terrain sur lequel vous pouvez marcher.","Du musst Dekorationen auf Gelände platzieren, auf dem du laufen kannst.","装飾品は歩くことができる地形上に置かなければなりません。","걸을 수 있는 지형에 장식품을 놓아야 합니다.","Você deve colocar suas decorações no terreno que você consegue andar.","Предметы обстановки следует размещать так, чтобы они не препятствовали вашему передвижению.","Debes colocar decoraciones en terreno sobre el que puedas caminar.","คุณ​ต้อง​วาง​ของ​ตกแต่ง​ใน​พื้นผิว​ที่​คุณ​เดิน​ได้","你必須把裝飾物放置在可行走的地形上。","","","","","","","","","","","","","","","","","","","","",-1558264591,"","","","","","","","","","","","","","","","","","","",""
1273,"ItemErrorTargetHasMtx","The target item must not have any microtransactions on it.","Aucune microtransaction ne doit être appliquée à l'objet cible.","Auf diesen Zielgegenstand können keine Mikrotransaktionen angewendet werden.","対象のアイテムには有料アイテムが適用されていません。","대상 아이템에 포인트 아이템이 적용되어 있지 않아야 합니다.","O item alvo não pode ter nenhum tipo de microtransação.","На предмете не должно быть микротранзакций.","El objeto objetivo no debe tener ninguna microtransacción.","ไอเทม​เป้าหมาย​ต้อง​ไม่มี​สินค้าแฟชั่น​ที่​กำลัง​ใช้​งาน","你必須先移除此物品上的商城效果。","","","","","","","","","","","","","","","","","","","","",459885765,"","","","","","","","","","","","","","","","","","","",""
1274,"ItemErrorMapAlreadyUpgraded","This map is already upgraded.","Cette Carte est déjà améliorée.","Diese Karte wurde bereits hochgestuft.","そのマップは既にアップグレードされています。","이미 업그레이드된 지도입니다.","Este mapa já foi aprimorado.","Эта карта уже улучшена.","Este mapa ya está actualizado.","แผนที่​ชิ้น​​นี้​ได้รับ​การ​อัพเกรด​แล้ว","此地圖已被升級。","","","","","","","","","","","","","","","","","","","","",-1811500993,"","","","","","","","","","","","","","","","","","","",""
1275,"ItemErrorMapAlreadyHasMod","This map already has a mod on it.","Cette Carte dispose déjà d'un mod.","Diese Karte verfügt bereits über einen Modifikator.","そのマップは既にモッドを持っています。","이미 속성 부여를 지닌 지도입니다.","Este mapa já possui um mod.","На этой карте уже есть свойство.","Este mapa ya tiene un mod.","แผนที่​ชิ้น​นี้​มี​ม็อด​อยู่​แล้ว","此地圖已擁有屬性。","","","","","","","","","","","","","","","","","","","","",-760960176,"","","","","","","","","","","","","","","","","","","",""
1276,"ItemErrorMapTooHighLevel","This map is too high level to apply this item.","Vous ne pouvez pas utiliser cet objet car le niveau de la Carte est trop haut.","Der Level dieser Karte ist zu hoch, um diesen Gegenstand darauf anzuwenden.","そのマップはこのアイテムを適用するにはレベルが高すぎます。","지도의 레벨이 너무 높아 적용할 수 없습니다.","Este mapa possui o nível muito alto para poder aplicar esse item.","Эта карта слишком высокого уровня, на неё невозможно применить этот предмет.","Este mapa es de nivel muy alto para aplicarle este objeto.","แผนที่​ชิ้น​นี้​มี​เลเวล​ที่​สูง​เกิน​กว่า​ที่​จะ​ใช้​ไอเทม​ชิ้น​นี้","此地圖的等級超越了該製圖儀的使用範圍。","","","","","","","","","","","","","","","","","","","","",-348357673,"","","","","","","","","","","","","","","","","","","",""
1277,"ItemErrorMapIncorrectTier","This map is not of the right tier","Le palier de cette Carte est incorrect.","Diese Karte hat nicht den richtigen Level.","そのマップのティアが正しくありません。","지도의 등급이 적절하지 않습니다","Este mapa não possui o tier correto para ter este item aplicado.","У этой карты неподходящий уровень.","Este mapa no es del grado correcto","แผนที่​ชิ้น​นี้​มี​ระดับ​ที่​ไม่​ถูกต้อง","此地圖階級不正確","","","","","","","","","","","","","","","","","","","","",1139596749,"","","","","","","","","","","","","","","","","","","",""
1278,"ItemErrorNoValidUnique","No valid Unique item found to reroll into.","Transformation impossible car aucun Objet unique valide n'a été trouvé.","Keinen gültigen einzigartigen Gegenstand gefunden, in den er verändert werden könnte.","リロールして変更できる有効なユニークアイテムが見つかりません。","무작위 변경할 유효한 고유 아이템을 찾지 못했습니다.","Nenhum item Único foi encontrado para ser recalculado.","Не удалось изменить уникальный предмет в другой из-за отсутствия подходящих предметов.","No se ha encontrado ningún objeto Único para aleatorizar.","ไอเทม​นี้​ไม่​สามารถ​สุ่ม​เป็น​ไอเทม​ยูนิค​ชิ้น​ใด​ได้","找不到有效的傳奇物品能夠重骰。","","","","","","","","","","","","","","","","","","","","",-473348086,"","","","","","","","","","","","","","","","","","","",""
1279,"ItemErrorMustViewKiracMissions","You must open Kirac's Atlas Missions from a Map Device before you can use Scouting Reports.","Vous devez ouvrir des Missions de l'Atlas pour Kirac depuis votre Dispositif cartographique avant de pouvoir utiliser un Rapport de reconnaissance.","Du musst Kiracs Missionen in einem Kartenapparat öffnen, bevor du Kundschafterberichte verwenden kannst.","偵察報告書を使用する前に、マップデバイスからキラックのアトラスミッションを開く必要があります。","정찰 보고서를 사용하려면 먼저 지도 장치에서 키락의 아틀라스 임무를 열어야 합니다.","Você precisa abrir as Missões de Kirac no Dispositivo de Mapas antes de poder usar os Relatórios de Patrulha.","Прежде чем использовать доклады разведки, необходимо открыть задания Кирака в Машине картоходца.","Tienes que abrir las misiones de Atlas de Kirac desde un artefacto de mapas antes de poder usar los informes de exploración.","คุณ​ต้อง​เปิด​ภารกิจ​แอตลาส​ของ​คิรัค​จาก​เครื่อง​เปิด​แผนที่​ก่อน จึง​จะ​ใช้​รายงาน​สำรวจ​ได้","在使用偵查報告前，你必須先開啟地圖裝置中的基拉克輿圖任務。","","","","","","","","","","","","","","","","","","","","",-1180125040,"","","","","","","","","","","","","","","","","","","",""
1280,"ItemErrorMustCompleteHigherTierMap","You must complete higher tier Maps to use this item.","Vous devez terminer des Cartes au palier plus élevé avant de pouvoir utiliser cet objet.","Du musst Karten eines höheren Levels abschließen, um diesen Gegenstand verwenden zu können.","このアイテムを使用するためには、よりティアの高いマップを完了する必要があります。","이 아이템을 사용하려면 더 높은 등급의 지도를 완료해야 합니다.","Você precisa completar Mapas de tier maior para usar este item.","Чтобы использовать этот предмет, нужно завершить карты более высокого уровня.","Tienes que completar mapas de grado mayor para poder usar este objeto.","คุณ​ต้อง​ผ่าน​แผนที่​ระดับ​สูง​กว่า​นี้ จึง​จะ​ใช้​ไอเทม​ชิ้น​นี้​ได้","你必須完成更高階的地圖來使用此物品。","","","","","","","","","","","","","","","","","","","","",1447843742,"","","","","","","","","","","","","","","","","","","",""
1281,"ItemErrorNoKiracAtlasMissions","You have no Atlas Missions for Kirac.","Vous n'avez aucune Mission de l'Atlas pour Kirac.","Du hast keine Missionen für Kirac.","キラックのアトラスミッションがありません。","키락의 아틀라스 임무가 없습니다.","Você não tem nenhuma Missão do Atlas de Kirac.","У вас нет заданий Кирака в Атласе.","No tienes ninguna misión de Atlas para Kirac.","คุณ​ไม่มี​ภารกิจ​แอตลาส​ให้​กับ​คิรัค","你沒有基拉克的輿圖任務。","","","","","","","","","","","","","","","","","","","","",350160224,"","","","","","","","","","","","","","","","","","","",""
1282,"ItemErrorNotEnoughYellowKiracAtlasMissions","You have no yellow or red Atlas Missions for Kirac.","Vous n'avez pas Mission de l'Atlas jaune ou rouge pour Kirac.","Du hast keine gelben oder roten Missionen für Kirac.","黄色または赤のキラックのアトラスミッションがありません。","키락의 아틀라스 임무 중 노란색 또는 빨간색 임무가 없습니다.","Você não tem nenhuma Missão do Atlas amarela ou vermelha de Kirac.","У вас нет жёлтых или красных заданий Кирака в Атласе.","No tienes ninguna misión de Atlas amarilla ni roja para Kirac.","คุณ​ไม่มี​ภารกิจ​แอตลาส​เหลือง​หรือ​แดง​ให้​กับ​คิรัค","你沒有基拉克的黃色或紅色輿圖任務。","","","","","","","","","","","","","","","","","","","","",534718678,"","","","","","","","","","","","","","","","","","","",""
1283,"ItemErrorNotEnoughRedKiracAtlasMissions","You have no red Atlas Missions for Kirac.","Vous n'avez pas Mission de l'Atlas rouge pour Kirac.","Du hast keine roten Missionen für Kirac.","赤のキラックのアトラスミッションがありません。","키락의 아틀라스 임무 중 빨간색 임무가 없습니다.","Você não tem nenhuma Missão do Atlas vermelha de Kirac.","У вас нет красных заданий Кирака в Атласе.","No tienes ninguna misión de Atlas roja para Kirac.","คุณ​ไม่มี​ภารกิจ​แอตลาส​แดง​ให้​กับ​คิรัค","你沒有基拉克的紅色輿圖任務。","","","","","","","","","","","","","","","","","","","","",-33066025,"","","","","","","","","","","","","","","","","","","",""
1284,"OptionsEnableTutorialsPopup","Tutorials give you tips as you play.","Les tutoriels vous donnent des astuces quand vous jouez.","Tutorials geben dir während des Spielens Tipps.","プレイ時にチュートリアルが表示される。","튜토리얼로 플레이에 필요한 팁을 배웁니다.","Os tutoriais te dão dicas conforme você joga.","Во время игры вы будете получать полезные советы.","Los tutoriales te dan consejos a medida que juegas.","การสอนจะให้เคล็ดลับต่างๆ ขณะที่คุณเล่น","開啟教學在遊戲中給予你適當的提示","","","","","","","","","","","","","","","","","","","","",-952559570,"","","","","","","","","","","","","","","","","","","",""
1285,"OptionsEnableTutorialsLabel","Enable Tutorials","Activer les tutoriels","Tutorials aktivieren","チュートリアルを有効にする","튜토리얼 활성화","Habilitar Tutoriais","Включить обучение","Activar tutoriales","เปิดใช้การสอน","開啟教學","","","","","","","","","","","","","","","","","","","","",343733035,"","","","","","","","","","","","","","","","","","","",""
1286,"OptionsDisableTutorialsLabel","Skip Tutorials","Passer les tutoriels","Tutorials überspringen","チュートリアルをスキップ","튜토리얼 생략","Pular Tutoriais","Пропустить обучение","Saltar tutoriales","ข้ามการสอน","略過教學","","","","","","","","","","","","","","","","","","","","",326250475,"","","","","","","","","","","","","","","","","","","",""
1287,"EventsPanelTitle","Events and PvP","Événements et PvP","Events und PvP","イベントとPvP","이벤트 및 PvP","Eventos e PvP","События","Eventos y JcJ","กิจกรรม","活動與PvP","","","","","","","","","","","","","","","","","","","","",-1626051605,"","","","","","","","","","","","","","","","","","","",""
1288,"EventsPanelScheduleTabTitle","Events","Événements","Events","イベント","이벤트","Eventos","Календарь событий","Eventos","ตารางกิจกรรม","活動","","","","","","","","","","","","","","","","","","","","",-502570688,"","","","","","","","","","","","","","","","","","","",""
1289,"EventsPanelMatchmakingTabTitle","PvP","PvP","PvP","PvP","PvP","PvP","Подготовка к бою","JcJ","จับคู่","PvP","","","","","","","","","","","","","","","","","","","","",-1055456384,"","","","","","","","","","","","","","","","","","","",""
1290,"EventsPanelNotificationOptionsShortcut","Notification Settings","Paramètres des notifications","Benachrichtigungseinstellungen","通知設定","알림 설정","Configurações de Notificações","Настройки уведомлений","Ajustes de notificaciones","ตั้งค่าการแจ้งเตือน","通知設定","","","","","","","","","","","","","","","","","","","","",1622488744,"","","","","","","","","","","","","","","","","","","",""
1291,"EventsPanelNotificationOptionsShortcutPopup","View your notification settings","Consulter vos paramètres de notification","Sieh dir deine Benachrichtigungseinstellungen an","通知設定を確認する","알림 설정을 확인합니다","Visualizar suas configurações de notificações","Нажмите, чтобы перейти к настройкам уведомлений.","Ver tus ajustes de notificaciones","ดูการตั้งค่าการแจ้งเตือนของคุณ","確認通知設定","","","","","","","","","","","","","","","","","","","","",1173786549,"","","","","","","","","","","","","","","","","","","",""
1292,"EventsPanelJoinLeagueEventMessage","Do you want to log out and create a new character in this event league?","Voulez-vous vous déconnecter et créer un nouveau personnage dans cette Ligue d'événement ?","Möchtest du dich abmelden und einen neuen Charakter in dieser Event-Liga erstellen?","ログアウトしてイベントリーグで新しいキャラクターを作成しますか？","로그아웃 후 해당 이벤트 리그에 신규 캐릭터를 생성하시겠습니까?","Você deseja sair e criar um novo personagem nessa liga de evento?","Вы хотите выйти и создать нового персонажа в этой лиге?","¿Quieres cerrar sesión y crear un nuevo personaje en esta liga de evento?","คุณต้องการล็อกเอาท์และสร้างตัวละครใหม่ในลีกกิจกรรมนี้หรือไม่","你想要登出並為此活動聯盟創造一個新角色嗎？","","","","","","","","","","","","","","","","","","","","",1160501544,"","","","","","","","","","","","","","","","","","","",""
1293,"EventsPanelNoEvents","There are currently no events.","Aucun événement en cours.","Es gibt derzeit keine Events.","現在イベントは行われていません。","현재 진행 중인 이벤트가 없습니다.","Não há eventos no momento.","В данный момент нет событий","No hay eventos actualmente.","ไม่มีกิจกรรมในตอนนี้","目前沒有活動。","","","","","","","","","","","","","","","","","","","","",-1846714531,"","","","","","","","","","","","","","","","","","","",""
1294,"EventsPanelNoMatchmaking","PvP is unavailable.","Le PvP n'est pas disponible.","PvP ist nicht verfügbar.","PvPは利用できません。","PvP를 이용할 수 없습니다.","PvP está indisponível.","PVP режим недоступен в данный момент","JcJ no está disponible.","ไม่สามารถเปิด PvP ได้","無法進行 PvP","","","","","","","","","","","","","","","","","","","","",-1962733518,"","","","","","","","","","","","","","","","","","","",""
1295,"EventsPanelScheduleLink","See Full Schedule","Voir le programme","Gesamter Zeitplan","<size:24>{全てのスケジュールを見る}","전체 일정 보기","<size:26>{Ver a Agenda Completa}","Смотреть расписание","<size:26>{Ver programación}","ดูตารางทั้งหมด","確認活動行程","","","","","","","","","","","","","","","","","","","","",-228825538,"","","","","","","","","","","","","","","","","","","",""
1296,"EventsPanelScheduleLinkHover","Click to open the full schedule in a web browser.","Cliquez pour ouvrir le programme complet dans votre navigateur Internet.","Hier kannst du den gesamten Zeitplan in deinem Webbrowser öffnen.","クリックしてウェブブラウザで全てのスケジュールを開く。","클릭하면 웹 브라우저에서 전체 일정을 열 수 있습니다.","Clique para abrir a agenda completa em um navegador.","Нажмите, для просмотра расписания на сайте","Haz clic para abrir la programación completa en un navegador web.","คลิกเพื่อดูตารางทั้งหมดในเว็บเบราว์เซอร์","點擊以在瀏覽器開啟活動行程。","","","","","","","","","","","","","","","","","","","","",-346763171,"","","","","","","","","","","","","","","","","","","",""
1297,"OptionsPanelEventsPanelShortcut","Events","Événements","Events","イベント","이벤트","Eventos","Календарь событий","Eventos","กิจกรรม","活動","","","","","","","","","","","","","","","","","","","","",-1270305098,"","","","","","","","","","","","","","","","","","","",""
1298,"OptionsPanelEventsPanelShortcutPopup","View upcoming events","Afficher les événements à venir","Sieh dir zukünftige Events an","予定されているイベントを見る","예정 이벤트 보기","Visualizar os próximos eventos","Показать ближайшие события","Ver próximos eventos","ดูกิจกรรมในอนาคต","確認即將開始的活動","","","","","","","","","","","","","","","","","","","","",-2000276887,"","","","","","","","","","","","","","","","","","","",""
1299,"ShopButton","Shop","MTX","Shop","ショップ","상점","Loja","Магазин","Tienda","ร้านค้า","商城","","","","","","","","","","","","","","","","","","","","",843361760,"","","","","","","","","","","","","","","","","","","",""
1300,"NPCExperienceBarLevel","<default>{{Decoration Level:}} {0}","<default>{{Niveau de décorations :}} {0}","<default>{{Dekorationsstufe:}} {0}","<default>{{装飾品レベル:}} {0}","<default>{{장식 레벨:}} {0}","<default>{{Nível de Favor:}} {0}","<default>{{Уровень репутации:}} {0}","<default>{{Nivel de decoraciones:}} {0}","<default>{{ระดับตกแต่ง:}} {0}","<default>{{友好度：}} {0}","","","","","","","","","","","","","","","","","","","","",1440792022,"","","","","","","","","","","","","","","","","","","",""
1301,"NPCExperienceBarMaxLevel","<default>{{Decoration Level:}} {0} (Max)","<default>{{Niveau de décorations :}} {0} (Maxi)","<default>{{Dekorationsstufe:}} {0} (max.)","<default>{{装飾品レベル:}} {0} (最大)","<default>{{장식 레벨:}} {0} (최대)","<default>{{Nível de Favor:}} {0} (Máx)","<default>{{Уровень репутации:}} {0} (макс.)","<default>{{Nivel de decoraciones:}} {0} (Máx.)","<default>{{ระดับตกแต่ง:}} {0} (เต็ม)","<default>{{友好度：}} {0} （Max）","","","","","","","","","","","","","","","","","","","","",1928508024,"","","","","","","","","","","","","","","","","","","",""
1302,"NPCExperienceBarXP","<default>{Favour}","<default>{Faveur}","<default>{Gunst}","<default>{好意}","<default>{호의}","<default>{Favor}","<default>{Репутация}","<default>{Favor}","<default>{ค่าความชื่นชอบ}","<default>{友好度}","","","","","","","","","","","","","","","","","","","","",-1536506919,"","","","","","","","","","","","","","","","","","","",""
1303,"QuestTrackingGoTo1","Travel to {0}","Rendez-vous dans {0}.","Reist nach: {0}","{0}に移動する","{0}(으)로 이동하기","Viaje para {0}","Посетите область: {0}","Viaja a {0}","เดินทางไปยัง {0}","前往 {0}","","","","","","","","","","","","","","","","","","","","",-2019775849,"","","","","","","","","","","","","","","","","","","",""
1304,"QuestTrackingGoTo2","Travel to {0} or {1}","Rendez-vous dans {0} ou {1}.","Reist nach: {0} oder {1}","{0}または{1}に移動する","{0} 또는 {1}(으)로 이동하기","Viaje para {0} ou {1}","Посетите область:{0} или {1}","Viaja a {0} o {1}","เดินทางไปยัง {0} หรือ {1}","前往 {0} 或是 {1}","","","","","","","","","","","","","","","","","","","","",-1474947501,"","","","","","","","","","","","","","","","","","","",""
1305,"QuestTrackingGoTo3","Travel to {0}, {1} or {2}","Rendez-vous dans {0}, {1} ou {2}.","Reist nach: {0}, {1} oder {2}","{0}、{1}または{2}に移動する","{0}, {1} 또는 {2}(으)로 이동하기","Viaje para {0}, {1} ou {2}","Посетите область: {0}, {1} или {2}","Viaja a {0}, {1} o {2}","เดินทางไปยัง {0}, {1} หรือ {2}","前往 {0}、{1} 或是 {2}","","","","","","","","","","","","","","","","","","","","",889883995,"","","","","","","","","","","","","","","","","","","",""
1306,"QuestTrackerOptional","{0} (Optional)","{0} (facultatif)","{0} (optional)","{0} (任意)","{0} (선택 사항)","{0} (Opcional)","{0} (дополнительно)","{0} (opcional)","{0} (เควสต์รอง)","{0} （支線任務）","","","","","","","","","","","","","","","","","","","","",174044753,"","","","","","","","","","","","","","","","","","","",""
1307,"TimeYears1","1 year","1 an","1 Jahr","1年","1년","1 ano","Лет: 1","1 año","1 ปี","01-Jan-01 12:00:00 AM","","","","","","","","","","","","","","","","","","","","",1756101450,"","","","","","","","","","","","","","","","","","","",""
1308,"TimeYearsN","{0} years","{0} ans","{0} Jahre","{0}年","{0}년","{0} anos","Лет: {0}","{0} años","{0} ปี","{0} 年","","","","","","","","","","","","","","","","","","","","",-888999437,"","","","","","","","","","","","","","","","","","","",""
1309,"TimeMonths1","1 month","1 mois","1 Monat","1ヶ月","1달","1 mês","Месяцев: 1","1 mes","1 เดือน","1  個月","","","","","","","","","","","","","","","","","","","","",1761117625,"","","","","","","","","","","","","","","","","","","",""
1310,"TimeMonthsN","{0} months","{0} mois","{0} Monate","{0}ヶ月","{0}달","{0} meses","Месяцев: {0}","{0} meses","{0} เดือน","{0} 個月","","","","","","","","","","","","","","","","","","","","",-1941329600,"","","","","","","","","","","","","","","","","","","",""
1311,"TimeWeeks1","1 week","1 semaine","1 Woche","1週間","1주","1 semana","Недель: 1","1 semana","1 สัปดาห์","1 周","","","","","","","","","","","","","","","","","","","","",-1245130886,"","","","","","","","","","","","","","","","","","","",""
1312,"TimeWeeksN","{0} weeks","{0} semaines","{0} Wochen","{0}週間","{0}주","{0} semanas","Недель: {0}","{0} semanas","{0} สัปดาห์","{0} 周","","","","","","","","","","","","","","","","","","","","",-822220443,"","","","","","","","","","","","","","","","","","","",""
