"rownum","Id","Description","Description (French)","Description (German)","Description (Japanese)","Description (Korean)","Description (Portuguese)","Description (Russian)","Description (Spanish)","Description (Thai)","Description (Traditional Chinese)","HASH16","Tags","TagWeight"
35,"EleBowRangerNoble5","The Eternal Empire eventually made their greatest mistake: they exiled a simple farmer to Trarthus.","L'Empire éternel finit par commettre sa plus grande erreur : il exila un simple fermier à Trarthus.","Irgendwann beging das Ewige Kaiserreich seinen größten Fehler: es verbannte einen einfachen Bauern nach Trarthus.","永遠なる帝国はやがて最大の過ちを犯した：ただの農夫をトラーサスへと追放したのだ。","영원한 제국은 결국 최악의 실수를 저지르고 말았다. 바로 평범한 농부 한 명을 트라투스로 유배 보낸 것이다.","No fim, o maior erro do Império Eterno foi exilar um simples fazendeiro em Trarthus.","Вечная Империя в конце концов совершила свою самую большую ошибку, изгнав простого фермера в Тератну.","El Imperio eterno finalmente cometió su mayor error: exilió a un sencillo campesino a Trarthus.","ท้าย​ที่สุด​จักรวรรดิ​นิรันดร์​ก็​กระทำ​เรื่อง​ผิดพลาด​เหนือ​อื่น​ใด พวกเขา​เนรเทศ​ชาวไร่​ธรรมดาๆ คน​หนึ่ง​ไป​ที่​ทาร์ทัส","不朽帝國最終犯下了一個極大的錯誤，就是把一個普通農夫流放到特拉特斯。",63215,"[1260,1262,1264]","[1000,1000,1000]"
36,"MeleeAOEMarauder1","In Korathin's slave pits, Keita found its fortune. Death made for eager audiences.","Dans les fosses à esclaves de Korathin, Keita trouva sa fortune. La mort passionnait le public.","In den Sklavengruben von Korathin machte Keita sein Vermögen. Der Tod sorgte für ein begeistertes Publikum.","コラシンの奴隷闘技場で、ケイタ家は富を築いた。死は熱心な観客を生んだのだ。","죽음은 늘 열성적인 구경꾼들을 끌어들이기에, 케이타 가문은 코라틴의 노예 투기장에서 큰 부를 쌓을 수 있었다.","Keita fez fortuna nos fossos de escravos de Korathin. A morte atraía o público.","В рабских загонах Корафина Киита нашёл свою золотую жилу. Смерть делает из людей внимательных слушателей.","En los fosos de los esclavos de Korathin, Keita hizo su fortuna. Muerte para las audiencias entusiastas.","บ้าน​เคย์ทา​สร้าง​ทรัพย์​ใน​หลุมทาส​ของ​โคราธิน ความตาย​ทำให้​ผู้ชม​อยาก​รับชม","科拉廷的奴隸殺戮場由凱塔家族經營，滿足所有渴望拳拳到肉且至死方休的觀眾。",51315,"[1194,1223]","[0,1000]"
37,"MeleeAOEMarauder2","Keitan slaves raised the walls of Korathin. Their blood still clings to the mortar. ","Les esclaves keitiens bâtirent les murs de Korathin. Leur sang imprègne encore le mortier. ","Keitanische Sklaven errichteten die Mauern von Korathin. Ihr Blut klebt noch immer am Mörtel.","コラシンの壁はケイタ家の奴隷たちによって建てられた。彼らの血は未だその漆喰に染み付いている。","코라틴의 벽은 케이타 가문의 노예들이 세운 것이고, 그 벽에는 아직도 그들의 핏자국이 남아 있다.","Foi com a mão escrava de Keita que Korathin ergueu os muros. O sangue deles secou com o cimento. ","Киитские рабы возвели стены Корафина. Их кровь до сих пор не отлипла от раствора.","Los esclavos de Keita levantaron los muros de Korathin. Su sangre aún se encuentra en el mortero. ","ทาส​บ้าน​เคย์ทา​ก่อ​กำแพง​ของ​โคราธิน​ขึ้น​มา เลือด​พวก​เขา​ยัง​เปรอะ​อยู่​กับ​ปูน","凱塔家族的奴隸們樹立起科拉廷的高牆，牆面刻劃著當年的血淚。 ",50223,"[1194,1223]","[0,1000]"
38,"MeleeAOEMarauder3","House Keita did not always command such fear. It was their crushing of the rebellion that made them a force to be reckoned with.  ","La maison Keita n'a pas toujours suscité une telle peur. C'est l'écrasement de la rébellion qui a fait d'eux une force à ne pas sous-estimer.  ","Haus Keita war nicht immer so gefürchtet. Es war ihre Niederschlagung der Rebellion, durch die sie eine ernstzunehmende Macht wurden.","ケイタ家は最初から今のように恐れられていたわけではない。彼らを一目置かれる存在にしたのは、反乱を潰したことだ。","케이타 가문이 늘 두려움의 대상이었던 것은 아니다. 그러나 반란을 진압한 순간부터, 그들은 누구도 얕잡아 볼 수 없는 세력이 되었다.","A casa Keita nem sempre foi temida. Mas esmagar a rebelião fez deles uma força de respeito.  ","Дом Киита не всегда внушал такой страх. Это сокрушение восстания сделало их силой, с которой нужно считаться.","La casa Keita no siempre impuso tanto temor. Fue al aplastar la rebelión cuando se convirtieron en una fuerza a tener en cuenta.  ","บ้าน​เคย์ทา​ไม่​ได้​น่ากลัว​เช่น​นี้​มา​ตลอด แต่​การ​บดขยี้​การ​กบฏ​ทำให้​พวกเขา​เป็น​กำลัง​ที่​น่า​เกรงขาม","凱塔家族並不隨意操弄恐懼，但鎮壓叛變總是需要非常手段。 ",37253,"[1194,1223]","[0,1000]"
39,"MeleeAOEMarauder4","The slave rebellion began with a whisper. A promise of freedom passed from throat to throat, louder each time.","La rébellion des esclaves commença avec un murmure. Une promesse de liberté transmise de gorge en gorge, chaque fois un peu plus fort.","Der Sklavenaufstand begann mit einem Flüstern. Das Versprechen der Freiheit, weitergegeben von Kehle zu Kehle und jedes Mal ein wenig lauter.","奴隷の反乱は一つの囁きから始まった。喉から喉へと移る度に大きくなっていった、自由の約束。","노예 반란은 속삭임에서 시작되었다. 자유에 대한 약속이 입에서 입으로 퍼졌고, 그 소리는 점점 더 커졌다.","A rebelião dos escravos começou com um sussurro, uma promessa de liberdade que ganhou voz de boca em boca.","Восстание рабов началось с шёпота. Обещания свободы, передаваемого из уст в уста, каждый раз всё громче.","La rebelión de los esclavos comenzó con un susurro. Una promesa de libertad pasó de garganta a garganta, cada vez más alto.","การ​กบฏ​ของ​ทาส​เริ่ม​จาก​การ​กระซิบ เป็น​สัญญา​สู่​อิสรภาพ​จาก​ปาก​ต่อ​ปาก​ที่​ดัง​ขึ้น​ไป​ทุกที","奴隸的叛亂源於口耳相傳：對於自由的承諾隨著每次的述說而讓「志士們」信心倍增。",6010,"[1194,1223]","[0,1000]"
40,"MeleeAOEMarauder5","One night, the chains fell silent. The next, they snapped. Keitans awoke to fire in their camps and blood on their floors. ","Une nuit, les chaînes devinrent silencieuses. La nuit d'après, elles se brisèrent. Les Keitiens furent réveillés par leurs campements en feu et le sol jonché de sang. ","Eines Nachts blieben die Ketten still. In der nächsten wurden sie zerrissen. Haus Keita erwachte durch das Feuer in ihren Lagern und mit Blut auf ihren Böden.","ある夜、鎖の音が静まり返った。そして次の夜、鎖は千切れた。ケイタ家の者たちが目覚めると野営地には火が放たれ、床は血に染まっていた。","어느 날 밤, 쇠사슬이 조용해지더니 끊어졌다. 잠에서 깬 케이타 가문 사람들의 눈에 들어온 것은 불타는 야영지와 피로 물든 땅바닥이었다.","Numa noite, as correntes se calaram. Na outra, se romperam. Os keitanos despertaram com fogo nas barracas e o chão coberto de sangue. ","Однажды ночью цепи смолкли. А на следующую они лопнули. Проснувшись, киитцы увидели пожары в лагерях и кровь на полу.","Una noche, las cadenas se silenciaron. La siguiente, se quebraron. Los Keita se despertaron con fuego en sus campamentos y sangre en sus suelos. ","วันหนึ่ง​โซ่​เงียบงัน วัน​ถัด​มา​โซ่​ขาด คนบ้าน​เคย์ทา​ตื่น​มา​พร้อม​กับ​ค่าย​ที่​อาบ​ไฟ​และ​พื้น​ที่​อาบ​เลือด","某天晚上，奴隸們斬斷鎖鏈，讓凱塔家族陷入火海，血濺廳堂。 ",12292,"[1194,1223]","[0,1000]"
41,"MeleeAOEMarauder6","It took just three days. Three days for Keita to crush the dissidents, reforge the chains, and fill the pits with corpses.","Il ne leur fallut que trois jours. Trois jours pour que Keita écrase la dissidence, reforge les chaînes, et remplisse les fosses de cadavres.","Es dauerte nur drei Tage. Drei Tage, in denen Haus Keita die Aufständischen zermalmte, die Ketten neu schmiedete und die Gruben mit Leichen füllte.","三日しかかからなかった。ケイタ家が反乱者を潰し、鎖を作り直し、闘技場を死体で埋め尽くすまで三日だ。","고작 사흘이었다. 케이타 가문은 사흘 만에 반란을 토벌하고, 사슬을 다시 만들었으며, 시체로 구덩이를 가득 메웠다.","Três dias. Foi o que Keita precisou pra esmagar os rebeldes, reescravizá-los e transformar os fossos em covas.","Потребовалось всего три дня. Три дня на то, чтобы Киита раздавил диссидентов, выковал новые цепи и набил загоны трупами.","Solo hicieron falta tres días. Tres días para que Keita aplastara a los disidentes, reforjara las cadenas y llenara los fosos de cadáveres.","เพียง​แค่​สาม​วัน​เท่านั้น สามวัน​ที่​เคย์ทา​กำราบ​พวก​ก่อการ​ใหญ่ หลอม​โซ่​ขึ้น​มา​ใหม่ แล้ว​เอา​ศพ​ไป​ถม​จน​เต็ม​หลุม","凱塔家族花了三天時間鎮壓異議者、重新鑄造鎖鏈，並讓尚且活著的奴隸在殺戮場中彼此相殘。",41155,"[1194,1223]","[0,1000]"
42,"MeleeAOEMarauder7","Keita left the rebels hanging, stripped and nameless. Not as martyrs - just meat, gone to waste.","Keita fit pendre les rebelles, nus et anonymes. Pas en tant que martyrs, juste de la viande gâchée.","Keita ließ die Rebellen einfach hängen, entkleidet und namenlos. Nicht als Märtyrer – nur als Fleisch, das verfaulte.","ケイタ家は反乱者たちを吊るし、服も名も奪った。殉死者ではなく……ただの腐った肉として。","케이타는 반란자들의 옷과 이름을 빼앗고 목을 매달았다. 그들은 순교자가 아닌, 그저 썩어가는 고깃덩어리였다.","Como indigentes, Keita deixou os rebeldes pendurados e nus. Não eram mártires, apenas recursos descartados.","Киита оставил бунтовщиков висеть нагими и безымянными. Не в качестве мучеников, а просто в виде бесполезного мяса.","Keita dejó a los rebeldes colgados, despojados y sin nombre. No como mártires; solo carne, echada a perder.","เคย์ทา​จับ​พวกกบฏ​แขวนคอ​ให้​เปลือยเปล่า​อย่าง​ไร้ชื่อ มิใช่​ใน​ฐานะ​ผู้เสียสละ เป็น​เพียง​ก้อน​เนื้อ​ที่​เสียเปล่า​เท่านั้น","凱塔家族剝光叛亂份子的衣物，接著絞死他們，視他們為可任意捨棄的軀殼。",33085,"[1194,1223]","[0,1000]"
43,"MeleeAOEMarauder8","After the revolt, Ixan Keita declared the slaves must be reminded of their place. Thus began the Trarthan slave pits.","Après la révolte, Ixan Keita déclara qu'il fallait rappeler leur place aux esclaves. Ce fut la naissance des fosses à esclaves trarthiennes.","Nach dem Aufstand verkündete Ixan Keita, dass man die Sklaven an ihren Platz erinnern müsse. Und so entstanden die trarthanischen Sklavengruben.","反乱の後、イクサン・ケイタは奴隷たちは身の程を知る必要があると宣言した。それがトラーサスの奴隷闘技場の始まりだった。","반란이 종식된 후, 익산 케이타는 노예들에게 분수를 일깨워줘야 한다고 선언했다. 그리하여 트라투스의 노예 투기장이 탄생했다.","Depois da revolta, Ixan Keita disse que os escravos tinham que ser lembrados do lugar deles. Assim nasceram os fossos de escravos trarthanos.","После восстания Иксен Киита провозгласил, что рабам необходимо напомнить об их месте. Так в Тератне появились ямы.","Tras la revuelta, Ixan Keita declaró que a los esclavos había que recordarles cuál era su lugar. Y así comenzaron los fosos de los esclavos de Trarthan.","หลัง​จาก​ที่​เกิด​การ​ก่อการ อิกซาน เคย์ทา​ประกาศ​ว่า​ทาส​จะ​ต้อง​รู้จัก​หัวนอน​ปลาย​ตีน จึง​เป็น​จุด​เริ่ม​ต้น​ของ​หลุมทาส​ทาร์ทัส","在叛亂平定後，伊珊．凱塔宣告必須讓奴隸們認清自己的身分，這便是特拉特斯奴隸殺戮場的由來。",45739,"[1194,1223]","[0,1000]"
44,"MeleeAOEMarauder9","From the ashes of rebellion came the slave pit - dug to remind the living what happened to those who sought freedom. ","Des cendres de la rébellion naquit la fosse à esclaves, creusées pour rappeler aux vivants ce qui est arrivé à ceux qui ont cherché à obtenir la liberté. ","Aus der Asche der Revolution gingen die Sklavengruben hervor – gegraben, um die Lebenden daran zu erinnern, was mit denen geschieht, die nach Freiheit streben.","奴隷闘技場は反乱の灰から生まれた……自由を求める者に何が起こるのか、生き残った者たちに知らしめるために掘られた穴だ。","반란이 남긴 잿더미 위에 노예 투기장이 세워졌으니, 이는 자유를 꿈꾼 자들이 어떤 대가를 치렀는지 생존자들에게 보여주는 하나의 경고였다.","Das cinzas da rebelião nasceu o fosso de escravos, um aviso escavado pra lembrar os vivos do que acontece com quem busca a liberdade. ","Из пепла восстания явились рабские канавы – вырытые напомнить живущим о том, что случилось с теми, кто искал свободы.","De las cenizas de la rebelión surgió el foso de los esclavos, cavado para recordar a los vivos lo que les ocurre a aquellos que buscan la libertad.","เถ้าธุลี​แห่ง​การ​กบฏ​ก่อ​ให้​เกิด​หลุมทาส ที่​ขุด​มา​เตือน​คน​เป็น​ว่า​ผู้​ที่​แสวงหา​อิสรภาพ​จะ​มี​จุดจบ​เช่นไร","殺戮場的存在，正是讓茍活的奴隸們了解追尋自由所需付出的代價。 ",61285,"[1194,1223]","[0,1000]"
45,"MeleeAOEMarauder10","The slave pits are a reflection of Trarthan society: brutal, bloodthirsty, and swift to punish mistakes.  ","Les fosses à esclaves sont un reflet de la société trarthienne : brutales, sanglantes, et sévères.  ","Die Sklavengruben sind ein Abbild der trarthanischen Gesellschaft: Brutal, blutrünstig und schnell bei der Hand, Fehler zu bestrafen.","奴隷闘技場はトラーサス社会を反映している：残虐で、血を求めていて、素早く過ちを罰する。","노예 투기장은 트라투스 사회를 비추는 거울과도 같다. 잔혹하고, 피에 굶주려 있으며, 실수는 즉각 처벌한다는 점에서.","Os fossos de escravos são o espelho da sociedade trarthana: brutal, sedenta por sangue e impiedosa com os dissidentes.  ","Ямы для рабов стали отражением общества Тератны: жестокого, кровожадного и быстро карающего за ошибки.","Los fosos de los esclavos son un reflejo de la sociedad trarthana: brutal, sangrienta y rápida en castigar los errores.","หลุมทาส​สะท้อน​ให้​เห็น​สังคม​ทาร์ทาน เหี้ยมโหด กระหายเลือด พร้อม​ลงโทษ​ความ​ผิดพลาด​อย่าง​รวดเร็ว","奴隸殺戮場正是特拉特斯社會的寫照：殘酷、嗜血，對於錯誤毫不留情。 ",24452,"[1194,1223]","[0,1000]"
46,"MeleeAOEMarauder11","Keita doesn't fear uprisings anymore. Every lash, every cage, every pit - lessons carved in flesh.","Keita ne craint plus les révoltes. Chaque fouet, chaque cage, chaque fosse est une leçon taillée dans la chair.","Keita braucht keine Aufstände mehr zu fürchten. Jeder Hieb, jeder Käfig, jede Grube – in Fleisch geschnittene Lehren.","ケイタ家はもはや反乱を恐れない。全ての鞭が、檻が、穴が……肉体に刻まれた教訓となったのだ。","이제 케이타 가문은 반란을 두려워하지 않는다. 채찍, 우리, 구덩이 하나하나에 과거의 교훈이 각인되어 있기에.","Keita não teme mais revoltas. As lições de cada chicotada, de cada corrente, de cada fosso, tão todas gravadas na pele.","Киита больше не боялся мятежей. Каждый бич, каждая клетка, каждая яма стали уроками, вырезанными на плоти.","Keita ya no teme las revueltas. Cada golpe del látigo, cada jaula, cada foso son lecciones grabadas en la carne.","เคย์ทา​มิได้​กลัว​การ​ก่อ​กบฏ​อีก​ต่อ​ไป​แล้ว ทุกครั้ง​ที่​ฟาด​แส้ ทุก​คอก​ทุก​หลุม​ต่าง​เป็น​บทเรียน​ที่​ซาบซึ้ง​ถึง​เนื้อ​หนัง","凱塔家族不再畏懼奴隸群起反抗，鞭笞、牢籠和殺戮場會讓奴隸以血淚記取教訓。",31091,"[1194,1223]","[0,1000]"
47,"MeleeAOEMarauder13","\""In Trarthus, freedom is earned, not given.\"" ","« À Trarthus, la liberté est méritée, pas offerte. » ","\""In Trarthus wird die Freiheit nicht gewährt, man muss sie sich erarbeiten.\""","「トラーサスでは自由は与えられるものではない。勝ち取るものだ」","\""트라투스에서 자유는 주어지는 게 아니라 쟁취하는 것이다.\""","\""Liberdade, em Trarthus, não é presente. É conquista.\"" ","«В Тератне свободу зарабатывают, а не получают задарма».","\""En Trarthus, la libertad se gana, no se da\"".","\""ใน​ทาร์ทัส อิสรภาพ​มี​ไว้​ให้​กับ​ผู้​ที่​ทำได้​ดี ไม่​ได้​มี​ไว้​ให้​ทุกคน\""","「特拉特斯不會賜予自由，而是得以血汗爭取。」 ",55803,"[1194,1223]","[0,1000]"
48,"MeleeAOEMarauderNoble1","\""The lucky ones die early. The rest learn to live with it.\""","« Les plus chanceux meurent tôt. Les autres apprennent à vivre avec. »","\""Wer Glück hat, der stirbt früh. Der Rest lernt, damit zu leben.\""","「幸運な者たちは早死にする。残りは我慢を覚えて生きていく。」","\""일찍 죽으면 운이 좋은 거다. 그러지 못한 자들은 적응하게 되지.\""","Os sortudos morrem cedo. O resto aprende a sobreviver.","«Удачливые помирают рано. Остальные учатся с этим жить».","\""Los que tienen suerte mueren pronto. El resto aprende a vivir con ello\"".\r\n- {0}","\""คนมีโชคตายไว คนที่เหลือเรียนรู้จนอยู่เป็น\""","「幸運者早已脫離這副軀殼的桎梏，其餘人則終其一生學習接納。」",20797,"[1225,1227,1229]","[1000,1000,1000]"
49,"MeleeAOEMarauderNoble2","Fighting in chains taught {0} everything he needed - including how to break them. ","Le combat en chaînes lui avait appris tout ce dont il avait besoin, y compris comment les briser. ","Der Kampf in Ketten lehrte {0} alles, was er können musste – auch, wie man sie sprengte.","鎖に繋がれて戦うことは{0}に必要なことを全て教えた……その鎖の千切り方も含めて。","{0}은(는) 사슬에 묶인 채 싸우며 필요한 것을 모두 배웠고, 그중에는 사슬을 끊는 법도 있었다.","Lutar acorrentado ensinou tudo o que {0} precisava, inclusive como romper as correntes. ","Дерясь в цепях, {0} научился всему, что ему нужно – включая то, как их сломать.","Luchar con cadenas le enseñó a {0} todo lo que necesitaba. También cómo romperlas.","การ​ต่อสู้​แบบ​ถูก​ล่าม​โซ่​สอน​ทุก​เรื่อง​ให้​กับ​{0} รวม​ถึง​วิธี​การ​แหก​โซ่","和鎖鏈奮戰讓{0}學會所需的一切，包括如何破壞它們。 ",22713,"[1225,1227,1229]","[1000,1000,1000]"
50,"MeleeAOEMarauderNoble3","Inside Trarthus or out, slave or slaver - none bred more enemies than House Keita. ","Que ce soit à l'intérieur ou à l'extérieur de Trarthus, qu'il s'agisse d'esclaves ou d'esclavagistes, personne ne s'est fait autant d'ennemis que la maison Keita.","Ob innerhalb oder außerhalb von Trarthus, ob Sklave oder Sklavenhalter – niemand machte sich mehr Feinde als das Haus Keita.","トラーサスの中でも外でも、奴隷でも奴隷商でも……ケイタ家ほど多くの敵を作った者はいなかった。","트라투스 안팎에서 노예와 노예 주인을 불문하고, 케이타 가문보다 적을 더 많이 만든 자는 없었다.","Dentro ou fora de Trarthus, fosse como escravo ou escravizador, ninguém fez mais inimigos que a casa Keita.","В самой Тератне или вне её, раб или рабовладелец – никто не нажил себе больше врагов, чем Дом Киита.","Dentro de Trarthus o fuera, esclavo o esclavista: ninguno generaba más enemigos que la Casa Keita. ","ไม่​ว่า​จะ​ใน​หรือ​นอก​ทาร์ทัส ทาส​หรือ​นายทาส ไม่มี​ตระกูล​ไหน​สร้าง​ศัตรู​ได้​มาก​ไป​กว่า​บ้าน​เคย์ทา​แล้ว","特拉特斯裡裡外外，無論是奴隸或奴役者，沒有誰比凱塔家族樹立更多的敵人。",3396,"[1225,1227,1229]","[1000,1000,1000]"
51,"MeleeAOEMarauderNoble4","The Trarthans paid back their debt to the Karui, aiding them when it was their turn to battle the Empire.","« Les Trarthiens ont remboursé leur dette aux Karuis, venant à leur aide quand ils ont combattu l'Empire à leur tour. »","Die Trarthaner beglichen die Schuld, in der sie bei den Karui standen und halfen ihnen, als sie es waren, die gegen das Kaiserreich kämpften.","トラーサス人たちはカルイへの借りを返した。彼らが帝国と戦う番となった時、力を貸したのだ。","카루이가 제국과 싸워야 하는 날이 찾아오자, 트라투스는 그들을 도와 과거의 빚을 갚았다.","Os trarthanos pagaram sua dívida com os karui, ajudando-os quando chegou a vez deles de enfrentar o Império.","Тератцы вернули свой долг перед каруи, оказав им помощь, когда пришёл их черёд биться с Империей.","Los trarthanos pagaron su deuda con los karui, ayudándolos cuando fue su turno de combatir al Imperio.","ชาวทาร์ทาน​ชดใช้​หนี้​ที่​ติด​ค้าง​ชาว​คารุย​เอา​ไว้ ด้วย​การ​ให้การ​ช่วยเหลือ​ใน​ยาม​ที่​พวกเขา​ต้อง​ต่อกร​กับ​จักรวรรดิ","特拉特斯人還了卡魯人的人情，在他們與帝國抗戰時伸出了援手。",43413,"[1225,1227,1229]","[1000,1000,1000]"
52,"MeleeAOEMarauderNoble5","When Tyndarus Phrecius tried to resupply his occupying legions on Trarthus, the Karui blockaded the Archipelago.","« Lorsque Tyndarus Phrécius a tenté de ravitailler ses légions d'occupation à Trarthus, les Karuis ont bloqué l'archipel. »","Als Tyndarus Phrecius versuchte, seine Besatzungstruppen auf Trarthus mit Nachschub zu versorgen, blockierten die Karui den Archipel.","ティンダルス・フレシウスがトラーサスの占領軍の補給をしようとした時、カルイは列島を封鎖したのだ。","틴다루스 프레시우스가 트라투스에 주둔한 군단에 물자를 보급하려 하자, 카루이가 군도를 봉쇄했다.","Quando Tyndarus Phrecius tentou reabastecer suas legiões invasoras em Trarthus, os karui bloquearam o arquipélago.","Когда Тиндарус Фрекий предпринял попытку снабжения своих занимавших Тератну легионов, каруи блокировали архипелаг.","Cuando Tyndarus Phrecius intentó volver a suministrar a sus legiones ocupadoras en Trarthus, los karui bloquearon el archipiélago.","เมื่อ​ทินดารัส ฟรีเชียส​พยายาม​ส่ง​เสบียง​ให้​กับ​กองทหาร​ที่​กำลัง​ยึดครอง​ทาร์ทัส พวก​คารุย​ก็​ปิดล้อม​หมู่​เกาะ​นี้​เอา​ไว้","當泰達魯斯．費西亞斯試圖重新為自己在特拉特斯的佔領軍團補給時，卡魯人把整個群島都封鎖了起來。",62845,"[1225,1227,1229]","[1000,1000,1000]"
53,"MeleeStrikesMarauder1","Trarthan slavers are despicable - and indispensable.","Les esclavagistes trarthiens sont méprisables, et indispensables.","Trarthanische Sklaven sind verachtenswert – und unentbehrlich.","トラーサスの奴隷商は浅ましく……不可欠である。","트라투스의 노예상들은 혐오스럽지만 없어서는 안 되는 존재다.","Os escravistas trarthanos são desprezíveis, mas também essenciais.","Тератские работорговцы презренны – и незаменимы.","Los esclavistas trarthanos son despreciables e indispensables.","นายทาสทาร์ทานนั้นต่ำช้า... และขาดไม่ได้","特拉特斯的奴隸頭子雖卑鄙.……卻也是此地不可或缺的一部分。",58696,"[1194,1230]","[0,1000]"
54,"MeleeStrikesMarauder2","Of all the Trarthan Death Trades, none strip the soul quite like slavery - brutal in both intent and execution.","De tous les commerces de la mort trarthiens, aucun ne dépouille autant l'âme que l'esclavage, brutal dans son intention comme dans son exécution.","Von allen trarthanischen Geschäften mit dem Tod entblößt keines die Seele so sehr, wie die Sklaverei – brutal in ihrer Absicht und der Ausführung.","トラーサスの数々の死の商売の中で、奴隷の扱いほど魂を貶めるものは他にない……意図も実行も残虐だ。","노예 무역은 그 의도와 실행 방식 모두 잔혹하기 그지없으며, 트라투스의 수많은 죽음의 사업 중에서도 그만큼 영혼을 심하게 파괴하는 것은 없다.","Trarthus tem muitos ofícios da morte, mas nenhum destrói tanto a alma quanto a escravidão, brutal tanto na ideia quanto na prática.","Из всех грязных дел в Тератне ни одно так не очерствляет душу, как работорговля – жестокая как по своей сути, так и по исполнению.","De entre todos los mercados de la muerte de Trarthan, ninguno te arranca el alma tanto como la esclavitud, que es brutal tanto en intenciones como en ejecución.","ใน​บรรดา​การ​ค้า​ความตาย​ทั้ง​หลาย​ของ​ทาร์ทาน ไม่มี​อะไร​พราก​ความ​เป็น​คน​ได้​ยิ่ง​กว่า​การ​ครอง​ทาส... เหี้ยมโหด​ทั้ง​เจตนา​และ​การ​กระทำ","在特拉特斯各式各樣的死亡交易裡，不論是目的還是手段，帶給一個人的創傷和凌辱最為深刻的非奴隸制度莫屬。",61712,"[1194,1230]","[0,1000]"
55,"MeleeStrikesMarauder15","Trarthus was built on the backs of slaves, whose labour shaped much of its infrastructure. At the whip-hand stood House Keita.","Trarthus a été construite sur le dos des esclaves, dont le labeur a donné forme à la majorité de son infrastructure. La maison Keita est la main qui tenait le fouet.","Trarthus wurde auf dem Rücken von Sklaven erbaut und ihre Arbeit bestimmte einen Großteil seiner Infrastruktur. Die Peitsche in der Hand hielt Haus Keita.","トラーサスは奴隷たちの背の上に建てられ、その基盤の大部分が彼らの労働によって作られた。そして鞭を握っていたのがケイタ家だ。","트라투스는 노예들의 허리 위에 세워졌고, 그들의 기반 시설 대부분은 노예의 피땀으로 세워졌다. 그리고 그들에게 채찍을 휘두르는 것이 바로 케이타 가문이었다.","Trarthus foi construída com o suor dos escravos, que moldaram grande parte de sua infraestrutura. Com o chicote na mão, a casa Keita comandava tudo.","Тератна строилась на горбах рабов, труд которых придал форму большей части её инфраструктуры. Рукоять плети держал дом Киита.","Trarthus se construyó sobre las espaldas de los esclavos, cuyo trabajo creó gran parte de su infraestructura. Y la mano que blandía el látigo era la casa Keita.","ทาร์ทัส​ถูก​สร้าง​ขึ้น​บน​หลัง​ทาส​ทั้งหลาย​ที่​ใช้​แรงงาน​ไป​กับ​การ​ก่อตั้ง​โครงสร้าง​ขึ้น​มา โดย​มี​บ้าน​เคย์ทา​เป็น​ผู้​ถือ​แส้","特拉特斯大部分的設施由奴隸建成，而凱塔家族是奴隸們的主控者。",17291,"[1194,1230]","[0,1000]"
56,"MeleeStrikesMarauder4","Cruel even by Trarthan standards, House Keita's blend of brutality and efficiency made them ideal architects of the slave trade.","Considérée comme cruelle même aux yeux des Trarthiens, la maison Keita a mélangé la brutalité et l'efficacité pour devenir l'architecte idéal de la traite des esclaves.","Grausam, selbst für trarthanische Verhältnisse – Haus Keitas Mischung aus Brutalität und Effizienz machte es zu idealen Architekten des Sklavenhandels.","トラーサス人の基準においてさえ残酷なケイタ家の残虐さと能率により、彼らは奴隷商売の理想的な建築家となった。","트라투스 기준으로도 잔인하다는 평가를 받는 케이타 가문은 잔혹성과 효율성을 두루 갖추고 있어, 노예 무역을 맡기에 가장 적합했다.","Cruel até pros padrões de Trarthus, a casa Keita unia brutalidade e eficiência, e por isso comandava o tráfico de escravos.","Жестокая даже по меркам Тератны смесь беспощадности и эффективности Дома Киита превратила их в идеальных архитекторов рабовладельчества.","Cruel incluso para los estándares trarthanos, la mezcla de brutalidad y eficiencia de la casa Keita los convirtió en arquitectos ideales del comercio de esclavos.","เหี้ยมโหดแม้​ใน​มาตรฐาน​ของ​ทาร์ทาน ความเหี้ยมโหด​อัน​ทรง​ประสิทธิภาพ​ของ​บ้าน​เคย์ทา​ทำให้​บ้านนี้​เป็น​สถาปนิก​ใน​การ​ค้า​ทาส​ได้​ดี​นัก","凱塔家族的鐵腕和效率更勝特拉特斯常人，也使得他們在奴隸交易上無人能出其右。",32090,"[1194,1230]","[0,1000]"
