"rownum","Id","ItemClassesKey","Width","Height","Name","Name (French)","Name (German)","Name (Japanese)","Name (Korean)","Name (Portuguese)","Name (Russian)","Name (Spanish)","Name (Thai)","Name (Traditional Chinese)","InheritsFrom","DropLevel","FlavourTextKey","Implicit_ModsKeys","SizeOnGround","SoundEffect","TagsKeys","ModDomain","ItemVisualIdentity","HASH32","VendorRecipe_AchievementItems","Inflection","Inflection (French)","Inflection (German)","Inflection (Japanese)","Inflection (Korean)","Inflection (Portuguese)","Inflection (Russian)","Inflection (Spanish)","Inflection (Thai)","Inflection (Traditional Chinese)","Equip_AchievementItemsKey","IsCorrupted","Identify_AchievementItems","IdentifyMagic_AchievementItems","FragmentBaseItemTypesKey","bool_225","rid_226","rid_242","bool_258","Unmodifiable","Achievement1","Achievement2","IgnoreQuantBonus","bool_293","rid_294"
1202,"Metadata/Items/Armours/Boots/BootsDexRitual3",23,2,2,"Stormrider Boots","Bottes de monte-foudre","Sturmläufer-Stiefel","ストームライダーブーツ","태풍의 기수 장화","Botas do Convocador de Tempestades","Башмаки наездника бури","Botas caminatormentas","Stormrider Boots","風暴者短靴","Metadata/Items/Armours/Boots/AbstractBoots",80,"",[25337],1,"","[39,33]",1,14216,-1590227318,[],"","FP","MP","","","FP","MP","FP","","","","",[],[],"","","","","","",[10450],[],"","",""
1203,"Metadata/Items/Armours/Boots/BootsInt1",23,2,2,"Wool Shoes","Chaussures en laine","Wollschuhe","羊毛の靴","양모 신발","Sapatos de Lã","Шерстяные башмаки","Zapatos de lana","Wool Shoes","羊毛之鞋","Metadata/Items/Armours/Boots/AbstractBoots",3,"",[],1,"",[40],1,7905,633103013,[],"","FP","MP","","","FP","MP","MP","","","","",[],[],"","","","","","",[],[],"","",""
1204,"Metadata/Items/Armours/Boots/BootsInt2",23,2,2,"Velvet Slippers","Souliers en velours","Samtpantinen","ビロードの履物","벨벳 슬리퍼","Sapatilhas de Veludo","Бархатные тапочки","Botines de terciopelo","Velvet Slippers","絲絨便鞋","Metadata/Items/Armours/Boots/AbstractBoots",9,"",[],1,"",[40],1,7906,-1674712538,[],"","MP","FP","","","MP","MP","MP","","","","",[],[],"","","","","","",[],[],"","",""
1205,"Metadata/Items/Armours/Boots/BootsInt3",23,2,2,"Silk Slippers","Souliers en soie","Seidenpantinen","シルクの履物","실크 슬리퍼","Sapatilhas de Seda","Шёлковые сапоги","Botines de seda","Silk Slippers","絲綢便鞋","Metadata/Items/Armours/Boots/AbstractBoots",22,"",[],1,"",[40],1,7907,1864994178,[],"","MP","FP","","","MP","MP","MP","","","","",[],[],"","","","","","",[],[],"","",""
1206,"Metadata/Items/Armours/Boots/BootsInt4",23,2,2,"Scholar Boots","Bottes d'érudit","Scholarenstiefel","学者のブーツ","학자 장화","Botas do Erudito","Сапоги ученика","Botas de erudito","Scholar Boots","學者長靴","Metadata/Items/Armours/Boots/AbstractBoots",32,"",[],1,"",[40],1,7908,204126262,[],"","FP","MP","","","FP","MP","FP","","","","",[],[],"","","","","","",[],[],"","",""
1207,"Metadata/Items/Armours/Boots/BootsInt5",23,2,2,"Satin Slippers","Souliers en satin","Satinpantinen","サテンの履物","새틴 슬리퍼","Sapatilhas de Cetim","Сатиновые тапочки","Botines de satín","Satin Slippers","緞布便鞋","Metadata/Items/Armours/Boots/AbstractBoots",38,"",[],1,"",[40],1,7906,1029067800,[],"","MP","FP","","","MP","MP","MP","","","","",[],[],"","","","","","",[],[],"","",""
1208,"Metadata/Items/Armours/Boots/BootsInt6",23,2,2,"Samite Slippers","Souliers en samit","Samit-Pantinen","絹の履物","금실 슬리퍼","Sapatilhas de Samito","Атласные сапоги","Botines de seda pesada","Samite Slippers","繡布便鞋","Metadata/Items/Armours/Boots/AbstractBoots",44,"",[],1,"",[40],1,7907,-2077622649,[],"","MP","MP","","","MP","MP","MP","","","","",[],[],"","","","","","",[],[],"","",""
1209,"Metadata/Items/Armours/Boots/BootsInt7",23,2,2,"Conjurer Boots","Bottes d'envoûteur","Zaubererstiefel","魔法使いのブーツ","요술사 장화","Botas do Conjurador","Сапоги чародея","Botas de conjurador","Conjurer Boots","咒者長靴","Metadata/Items/Armours/Boots/AbstractBoots",53,"",[],1,"",[40],1,7908,-1521672974,[],"","FP","MP","","","FP","MP","FP","","","","",[],[],"","","","","","",[],[],"","",""
1210,"Metadata/Items/Armours/Boots/BootsInt8",23,2,2,"Arcanist Slippers","Souliers d'arcaniste","Arkanistenstiefel","秘術師の履物","신비학자의 슬리퍼","Sapatilhas do Arcanista","Сапоги тайнописца","Botines de arcanista","Arcanist Slippers","秘術便鞋","Metadata/Items/Armours/Boots/AbstractBoots",61,"",[],1,"","[40,1050]",1,7907,1190329999,[],"","MP","MP","","","MP","MP","MP","","","","",[],[],"","","","","","",[],[],"","",""
1211,"Metadata/Items/Armours/Boots/BootsInt9",23,2,2,"Sorcerer Boots","Bottes de sorcier","Hexerstiefel","魔術師のブーツ","악령술사 장화","Botas do Feiticeiro","Сапоги волшебника","Botas de hechicero","Sorcerer Boots","術士長靴","Metadata/Items/Armours/Boots/AbstractBoots",67,"",[],1,"","[40,1050]",1,7908,805619509,[],"","FP","MP","","","FP","MP","FP","","","","",[],[],"","","","","","",[],[],"","",""
1212,"Metadata/Items/Armours/Boots/BootsInt10",23,2,2,"Sage Slippers","Souliers de sage","Weisenstiefel","賢者の履物","현자 슬리퍼","Sapatilhas do Sábio","Сапоги мудреца","Botines de sabio","Sage Slippers","哲人便鞋","Metadata/Items/Armours/Boots/AbstractBoots",78,"",[],1,"","[40,1050,33]",1,7907,834989030,[],"","MP","MP","","","FP","MP","MP","","","","",[],[],"","","","","","",[],[],"","",""
1213,"Metadata/Items/Armours/Boots/BootsInt11",23,2,2,"Warlock Boots","Bottes de démoniste","Hexenmeister-Stiefel","ウォーロックブーツ","마법사 장화","Botas do Bruxo","Сапоги колдуна","Botas de brujo","Warlock Boots","術士長靴","Metadata/Items/Armours/Boots/AbstractBoots",84,"",[],1,"","[40,1050,33]",1,7908,-1758879242,[],"","FP","MP","","","FP","MP","FP","","","","",[],[],"","","","","","",[],[],"","",""
1214,"Metadata/Items/Armours/Boots/BootsIntRitual1",23,2,2,"Duskwalk Slippers","Souliers de marche-soir","Dämmerungspantinen","夕闇の履物","황혼걸음 슬리퍼","Chinelos da Caminhada Noturna","Тапочки закатного шага","Botines de andar crepuscular","Duskwalk Slippers","暮色之行便鞋","Metadata/Items/Armours/Boots/AbstractBoots",20,"",[25332],1,"","[40,33]",1,14217,-1066726704,[],"","MP","MP","","","MP","MP","MP","","","","",[],[],"","","","","","",[10450],[],"","",""
1215,"Metadata/Items/Armours/Boots/BootsIntRitual2",23,2,2,"Nightwind Slippers","Souliers de glisse-nuit","Nachtwind-Pantinen","夜風の履物","밤바람 슬리퍼","Chinelos do Vento Noturno","Тапочки ночного ветра","Botines de viento nocturno","Nightwind Slippers","黑夜之風便鞋","Metadata/Items/Armours/Boots/AbstractBoots",50,"",[25333],1,"","[40,33]",1,14218,-76461453,[],"","MP","MP","","","MP","MP","MP","","","","",[],[],"","","","","","",[10450],[],"","",""
1216,"Metadata/Items/Armours/Boots/BootsIntRitual3",23,2,2,"Dreamquest Slippers","Souliers de cherche-rêve","Traumsucher-Pantinen","夢旅の履物","꿈의 정벌 슬리퍼","Chinelos da Missão dos Sonhos","Тапочки погони за мечтой","Botines de pasos de ensueño","Dreamquest Slippers","幻夢之尋便鞋","Metadata/Items/Armours/Boots/AbstractBoots",80,"",[25334],1,"","[40,33]",1,14219,-175366962,[],"","MP","MP","","","MP","MP","MP","","","","",[],[],"","","","","","",[10450],[],"","",""
1217,"Metadata/Items/Armours/Boots/BootsStrDex1",23,2,2,"Leatherscale Boots","Bottes en écailles de cuir","Lederschuppenstiefel","革鱗のブーツ","가죽 비늘 장화","Botas de Escamas de Couro","Башмаки из варёной кожи","Botas de escamas de cuero","Leatherscale Boots","粗鱗皮靴","Metadata/Items/Armours/Boots/AbstractBoots",6,"",[],1,"",[41],1,7909,1392027773,[],"","FP","MP","","","FP","MP","FP","","","","",[],[],"","","","","","",[],[],"","",""
1218,"Metadata/Items/Armours/Boots/BootsStrDex2",23,2,2,"Ironscale Boots","Bottes en écailles de fer","Eisenschuppenstiefel","鉄鱗のブーツ","철제 비늘 장화","Botas de Escamas de Ferro","Железные ботинки","Botas de escamas de hierro","Ironscale Boots","鐵影長靴","Metadata/Items/Armours/Boots/AbstractBoots",18,"",[],1,"",[41],1,7910,-732843288,[],"","FP","MP","","","FP","MP","FP","","","","",[],[],"","","","","","",[],[],"","",""
1219,"Metadata/Items/Armours/Boots/BootsStrDex3",23,2,2,"Bronzescale Boots","Bottes en écailles de bronze","Bronzeschuppenstiefel","青銅鱗のブーツ","청동 비늘 장화","Botas de Escamas de Bronze","Бронзовые ботинки","Botas de escamas de bronce","Bronzescale Boots","銅影長靴","Metadata/Items/Armours/Boots/AbstractBoots",30,"",[],1,"",[41],1,7911,1712918601,[],"","FP","MP","","","FP","MP","FP","","","","",[],[],"","","","","","",[],[],"","",""
1220,"Metadata/Items/Armours/Boots/BootsStrDex4",23,2,2,"Steelscale Boots","Bottes en écailles d'acier","Stahlschuppenstiefel","鋼鱗のブーツ","강철 비늘 장화","Botas de Escamas de Aço","Стальные башмаки","Botas de escamas de metal","Steelscale Boots","鋼影長靴","Metadata/Items/Armours/Boots/AbstractBoots",36,"",[],1,"",[41],1,7909,-1603933157,[],"","FP","MP","","","FP","MP","FP","","","","",[],[],"","","","","","",[],[],"","",""
1221,"Metadata/Items/Armours/Boots/BootsStrDex5",23,2,2,"Serpentscale Boots","Bottes en écailles de serpent","Schlangenschuppenstiefel","蛇鱗のブーツ","뱀 비늘 장화","Botas de Escamas de Serpente","Ботинки из чешуи гадюки","Botas de escamas de serpiente","Serpentscale Boots","蛇鱗長靴","Metadata/Items/Armours/Boots/AbstractBoots",42,"",[],1,"",[41],1,7910,1313012692,[],"","FP","MP","","","FP","MP","FP","","","","",[],[],"","","","","","",[],[],"","",""
1222,"Metadata/Items/Armours/Boots/BootsStrDex6",23,2,2,"Wyrmscale Boots","Bottes en écailles de wyrm","Wyrmschuppenstiefel","大蛇鱗のブーツ","아룡 비늘 장화","Botas de Escamas de Wyrm","Ботинки из чешуи змея","Botas de escamas de wyrm","Wyrmscale Boots","地蝮鱗長靴","Metadata/Items/Armours/Boots/AbstractBoots",51,"",[],1,"",[41],1,7911,-468169562,[],"","FP","MP","","","FP","MP","FP","","","","",[],[],"","","","","","",[],[],"","",""
1223,"Metadata/Items/Armours/Boots/BootsStrDex7",23,2,2,"Hydrascale Boots","Bottes en écailles d'hydre","Hydraschuppenstiefel","ヒュドラ鱗のブーツ","히드라 비늘 장화","Botas de Escamas de Hidra","Ботинки из чешуи гидры","Botas de escamas de hydra","Hydrascale Boots","火蝮鱗長靴","Metadata/Items/Armours/Boots/AbstractBoots",59,"",[],1,"","[41,1050]",1,7910,-42567418,[],"","FP","MP","","","FP","MP","FP","","","","",[],[],"","","","","","",[],[],"","",""
1224,"Metadata/Items/Armours/Boots/BootsStrDex8",23,2,2,"Dragonscale Boots","Bottes en écailles de dragon","Drachenschuppenstiefel","龍鱗のブーツ","용 비늘 장화","Botas de Escamas de Dragão","Ботинки из чешуи дракона","Botas de escamas de dragón","Dragonscale Boots","龍鱗長靴","Metadata/Items/Armours/Boots/AbstractBoots",65,"",[],1,"","[41,1050]",1,7911,-803493494,[],"","FP","MP","","","FP","MP","FP","","","","",[],[],"","","","","","",[],[],"","",""
1225,"Metadata/Items/Armours/Boots/BootsStrDex9",23,2,2,"Chimerascale Boots","Bottes en écailles de chimère","Chimärenschuppenstiefel","キメラ鱗のブーツ","키메라비늘 장화","Botas das Escamas do Quimera","Ботинки из чешуи химеры","Botas de escamas de quimera","Chimerascale Boots","龍蜥鱗長靴","Metadata/Items/Armours/Boots/AbstractBoots",78,"",[],1,"","[41,1050,33]",1,7910,984150229,[],"","FP","MP","","","FP","MP","FP","","","","",[],[],"","","","","","",[],[],"","",""
1226,"Metadata/Items/Armours/Boots/BootsStrDex10",23,2,2,"Wyvernscale Boots","Bottes en écailles de wyverne","Lindwurmschuppenstiefel","ワイバーン鱗のブーツ","비룡비늘 장화","Botas de Escama de Wyrm","Ботинки из чешуи виверны","Botas de escamas de güiverno","Wyvernscale Boots","飛龍鱗長靴","Metadata/Items/Armours/Boots/AbstractBoots",84,"",[],1,"","[41,1050,33]",1,7911,-346776794,[],"","FP","MP","","","FP","MP","FP","","","","",[],[],"","","","","","",[],[],"","",""
1227,"Metadata/Items/Armours/Boots/BootsStrInt1",23,2,2,"Chain Boots","Bottes en chaînes","Kettenstiefel","チェーンブーツ","사슬 장화","Botas de Cota","Кольчужные башмаки","Botas de cadenas","Chain Boots","鏈甲長靴","Metadata/Items/Armours/Boots/AbstractBoots",5,"",[],1,"",[42],1,7912,-904512442,[],"","FP","MP","","","FP","MP","FP","","","","",[],[],"","","","","","",[],[],"","",""
1228,"Metadata/Items/Armours/Boots/BootsStrInt2",23,2,2,"Ringmail Boots","Bottes en maille annelée","Ringpanzerstiefel","リングメイルブーツ","고리 장화","Botas de Cota de Anéis","Кольчужные сапоги","Botas de anillas","Ringmail Boots","環甲筒靴","Metadata/Items/Armours/Boots/AbstractBoots",13,"",[],1,"",[42],1,7913,1686871770,[],"","FP","MP","","","FP","MP","FP","","","","",[],[],"","","","","","",[],[],"","",""
1229,"Metadata/Items/Armours/Boots/BootsStrInt3",23,2,2,"Mesh Boots","Bottes maillées","Maschenstiefel","メッシュブーツ","망사 장화","Botas de Malha","Полукольчужные сапоги","Botas de mallas","Mesh Boots","網眼長靴","Metadata/Items/Armours/Boots/AbstractBoots",28,"",[],1,"",[42],1,7914,1469146805,[],"","FP","MP","","","FP","MP","FP","","","","",[],[],"","","","","","",[],[],"","",""
1230,"Metadata/Items/Armours/Boots/BootsStrInt4",23,2,2,"Riveted Boots","Bottes rivetées","Nietenstiefel","リベットブーツ","고정못 장화","Botas Rebitadas","Клёпаные башмаки","Botas remachadas","Riveted Boots","儀式短靴","Metadata/Items/Armours/Boots/AbstractBoots",36,"",[],1,"",[42],1,7912,-1620207599,[],"","FP","MP","","","FP","MP","FP","","","","",[],[],"","","","","","",[],[],"","",""
1231,"Metadata/Items/Armours/Boots/BootsStrInt5",23,2,2,"Zealot Boots","Bottes de zélote","Fanatikerstiefel","狂信者のブーツ","맹신자 장화","Botas do Zelote","Сапоги фанатика","Botas de fanático","Zealot Boots","狂熱者長靴","Metadata/Items/Armours/Boots/AbstractBoots",40,"",[],1,"",[42],1,7913,-1459818539,[],"","FP","MP","","","FP","MP","FP","","","","",[],[],"","","","","","",[],[],"","",""
1232,"Metadata/Items/Armours/Boots/BootsStrInt6",23,2,2,"Soldier Boots","Bottes de soldat","Soldatenstiefel","兵士のブーツ","병사 장화","Botas do Soldado","Сапоги ауксилария","Botas de soldado","Soldier Boots","戰士之靴","Metadata/Items/Armours/Boots/AbstractBoots",49,"",[],1,"",[42],1,7914,-331353629,[],"","FP","MP","","","FP","MP","FP","","","","",[],[],"","","","","","",[],[],"","",""
1233,"Metadata/Items/Armours/Boots/BootsStrInt7",23,2,2,"Legion Boots","Bottes de légion","Legionärsstiefel","軍隊のブーツ","군단 장화","Botas da Legião","Сапоги легионера","Botas de legión","Legion Boots","軍團長靴","Metadata/Items/Armours/Boots/AbstractBoots",58,"",[],1,"","[42,1050]",1,7913,1688792203,[],"","FP","MP","","","FP","MP","FP","","","","",[],[],"","","","","","",[],[],"","",""
1234,"Metadata/Items/Armours/Boots/BootsStrInt8",23,2,2,"Crusader Boots","Bottes de croisé","Kreuzfahrerstiefel","聖戦士のブーツ","십자군 장화","Botas do Cruzado","Сапоги ревнителя веры","Botas de cruzado","Crusader Boots","聖戰長靴","Metadata/Items/Armours/Boots/AbstractBoots",64,"",[],1,"","[42,1050]",1,7914,-1329196595,[],"","FP","MP","","","FP","MP","FP","","","","",[],[],"","","","","","",[],[],"","",""
1235,"Metadata/Items/Armours/Boots/BootsStrInt9",23,2,2,"Martyr Boots","Bottes de martyr","Märtyrer-Stiefel","殉教者のブーツ","순교자 장화","Botas do Martir","Сапоги мученика","Botas de mártir","Martyr Boots","烈士長靴","Metadata/Items/Armours/Boots/AbstractBoots",78,"",[],1,"","[42,1050,33]",1,7913,-1985381089,[],"","FP","MP","","","FP","MP","FP","","","","",[],[],"","","","","","",[],[],"","",""
1236,"Metadata/Items/Armours/Boots/BootsStrInt10",23,2,2,"Paladin Boots","Bottes de paladin","Paladin-Stiefel","聖騎士のブーツ","성기사 장화","Botas do Paladino","Сапоги паладина","Botas de paladín","Paladin Boots","聖騎士長靴","Metadata/Items/Armours/Boots/AbstractBoots",84,"",[],1,"","[42,1050,33]",1,7914,-851956386,[],"","FP","MP","","","FP","MP","FP","","","","",[],[],"","","","","","",[],[],"","",""
1237,"Metadata/Items/Armours/Boots/BootsDexInt1",23,2,2,"Wrapped Boots","Bottes enveloppées","Wickelstiefel","覆われたブーツ","스트랩형 장화","Botas Embrulhadas","Сандалии","Botas envueltas","Wrapped Boots","裹趾涼鞋","Metadata/Items/Armours/Boots/AbstractBoots",6,"",[],1,"",[43],1,7915,411614592,[],"","FP","MP","","","FP","MP","FP","","","","",[],[],"","","","","","",[],[],"","",""
1238,"Metadata/Items/Armours/Boots/BootsDexInt2",23,2,2,"Strapped Boots","Bottes à sangles","Schnürstiefel","ストラップブーツ","끈 장화","Botas Amarradas","Сандалеты","Botas atadas","Strapped Boots","扣環短靴","Metadata/Items/Armours/Boots/AbstractBoots",16,"",[],1,"",[43],1,7916,-1090903961,[],"","FP","MP","","","FP","MP","FP","","","","",[],[],"","","","","","",[],[],"","",""
1239,"Metadata/Items/Armours/Boots/BootsDexInt3",23,2,2,"Clasped Boots","Bottes à boucles","Schnallenstiefel","留め具付きブーツ","버클 장화","Botas Afiveladas","Калиги","Botas abrochadas","Clasped Boots","環帶長靴","Metadata/Items/Armours/Boots/AbstractBoots",27,"",[],1,"",[43],1,7917,1821869958,[],"","FP","MP","","","FP","MP","FP","","","","",[],[],"","","","","","",[],[],"","",""
1240,"Metadata/Items/Armours/Boots/BootsDexInt4",23,2,2,"Shackled Boots","Bottes à entraves","Riemenstiefel","枷のブーツ","섀클 장화","Botas Acorrentadas","Сапоги оков","Botas encadenadas","Shackled Boots","縛足長靴","Metadata/Items/Armours/Boots/AbstractBoots",34,"",[],1,"",[43],1,7918,849545958,[],"","FP","MP","","","FP","MP","FP","","","","",[],[],"","","","","","",[],[],"","",""
1241,"Metadata/Items/Armours/Boots/BootsDexInt5",23,2,2,"Trapper Boots","Bottes de trappeur","Trapperstiefel","罠猟師のブーツ","덫사냥꾼 장화","Botas do Armadilheiro","Ботинки капканщика","Botas de trampero","Trapper Boots","獵人之靴","Metadata/Items/Armours/Boots/AbstractBoots",41,"",[],1,"",[43],1,7916,-876309752,[],"","FP","MP","","","FP","MP","FP","","","","",[],[],"","","","","","",[],[],"","",""
1242,"Metadata/Items/Armours/Boots/BootsDexInt6",23,2,2,"Ambush Boots","Bottes d'embuscade","Überfallstiefel","伏兵のブーツ","매복 장화","Botas da Emboscada","Сандалеты разбойника","Botas de emboscada","Ambush Boots","伏擊之靴","Metadata/Items/Armours/Boots/AbstractBoots",47,"",[],1,"",[43],1,7917,-10514448,[],"","FP","MP","","","FP","MP","FP","","","","",[],[],"","","","","","",[],[],"","",""
1243,"Metadata/Items/Armours/Boots/BootsDexInt7",23,2,2,"Carnal Boots","Bottes charnelles","Fleischstiefel","カーナルブーツ","육욕의 장화","Botas Carnais","Сапоги крови","Botas de matanza","Carnal Boots","禁禮之靴","Metadata/Items/Armours/Boots/AbstractBoots",55,"",[],1,"",[43],1,7918,-668477495,[],"","FP","MP","","","FP","MP","FP","","","","",[],[],"","","","","","",[],[],"","",""
1244,"Metadata/Items/Armours/Boots/BootsDexInt8",23,2,2,"Assassin's Boots","Bottes d'assassin","Assassinenstiefel","暗殺者のブーツ","암살자의 장화","Botas do Assassino","Калиги убийцы","Botas de asesino","Assassin's Boots","刺殺者之靴","Metadata/Items/Armours/Boots/AbstractBoots",63,"",[],1,"","[43,1050]",1,7917,-685033413,[],"","FP","MP","","","FP","MP","FP","","","","",[],[],"","","","","","",[],[],"","",""
1245,"Metadata/Items/Armours/Boots/BootsDexInt9",23,2,2,"Murder Boots","Bottes de meurtrier","Meuchelstiefel","殺人者のブーツ","살인자의 장화","Botas do Assassinato","Сапоги смерти","Botas de asesinato","Murder Boots","暗殺者長靴","Metadata/Items/Armours/Boots/AbstractBoots",69,"",[],1,"","[43,1050]",1,7918,-1432680837,[],"","FP","MP","","","FP","MP","FP","","","","",[],[],"","","","","","",[],[],"","",""
1246,"Metadata/Items/Armours/Boots/BootsDexInt10",23,2,2,"Infiltrator Boots","Bottes d'infiltré","Eindringlingstiefel","潜入者のブーツ","잠입자 장화","Botas do Infiltrador","Сандалеты лазутчика","Botas de infiltrador","Infiltrator Boots","滲透者長靴","Metadata/Items/Armours/Boots/AbstractBoots",78,"",[],1,"","[43,1050,33]",1,7917,-602269370,[],"","FP","MP","","","FP","MP","FP","","","","",[],[],"","","","","","",[],[],"","",""
1247,"Metadata/Items/Armours/Boots/BootsDexInt11",23,2,2,"Phantom Boots","Bottes fantomatiques","Phantomstiefel","幻影のブーツ","혼령 장화","Botas do Fantasma","Сапоги призрака","Botas de fantasma","Phantom Boots","魅影長靴","Metadata/Items/Armours/Boots/AbstractBoots",84,"",[],1,"","[43,1050,33]",1,7918,-668697923,[],"","FP","MP","","","FP","MP","FP","","","","",[],[],"","","","","","",[],[],"","",""
1248,"Metadata/Items/Armours/Boots/BootsDemigods1",23,2,2,"Golden Caligae","Caligae en or","Goldene Marschstiefel","黄金のカリガ","황금 칼리가","Caligae Dourado","Золотые калиги","Sandalias doradas","Golden Caligae","黃金纏鞋","Metadata/Items/Armours/Boots/AbstractBoots",12,"",[3563],1,"","[33,710]",1,7919,-1454586291,[],"","FP","MP","","","M","MP","FP","","","","",[],[],"","","","","","",[],[],"","",""
1249,"Metadata/Items/Armours/Boots/BootsDescent1",23,2,2,"Avian Slippers","Souliers aviaires","Vogelpantinen","鳥の履物","새의 슬리퍼","Sapatilhas Aviários","Тапочки проворства","Botines de ave","Avian Slippers","飛羽便鞋","Metadata/Items/Armours/Boots/AbstractBoots",1,"",[2296],1,"",[33],1,7905,703109422,[],"","MP","FP","","","FP","MP","MP","","","","",[],[],"","","","","","",[],[],"","",""
1250,"Metadata/Items/Armours/Boots/BootsAtlas1",23,2,2,"Two-Toned Boots","Bottes à deux tons","Zweifarbige Stiefel","ツートンカラーブーツ","두 가지 색 장화","Botas de Dois Tons","Двухцветные ботинки","Botas de dos tonos","Two-Toned Boots","異色鞋","Metadata/Items/Armours/Boots/AbstractBoots",70,"",[3517],1,"","[33,177,185,43]",1,7921,-289899981,[],"","FP","FP","","","FP","MP","FP","","","","",[],[],"","","","","","",[10451],[],"","",""
1251,"Metadata/Items/Armours/Boots/BootsAtlas2",23,2,2,"Two-Toned Boots","Bottes à deux tons","Zweifarbige Stiefel","ツートンカラーブーツ","두 가지 색 장화","Botas de Dois Tons","Двухцветные ботинки","Botas de dos tonos","Two-Toned Boots","異色鞋","Metadata/Items/Armours/Boots/AbstractBoots",70,"",[3518],1,"","[33,177,186,41]",1,7922,822837794,[],"","FP","FP","","","FP","MP","FP","","","","",[],[],"","","","","","",[10451],[],"","",""
1252,"Metadata/Items/Armours/Boots/BootsAtlas3",23,2,2,"Two-Toned Boots","Bottes à deux tons","Zweifarbige Stiefel","ツートンカラーブーツ","두 가지 색 장화","Botas de Dois Tons","Двухцветные ботинки","Botas de dos tonos","Two-Toned Boots","異色鞋","Metadata/Items/Armours/Boots/AbstractBoots",70,"",[3516],1,"","[33,177,187,42]",1,7923,1489327155,[],"","FP","FP","","","FP","MP","FP","","","","",[],[],"","","","","","",[10451],[],"","",""
1253,"Metadata/Items/Armours/Boots/BootsAtlas4",23,2,2,"Fugitive Boots","Bottes de fugitif","Fluchtstiefel","逃亡者のブーツ","도망자 장화","Botas do Fugitivo","Сапоги беглеца","Botas de fugitivo","Fugitive Boots","逃難短靴","Metadata/Items/Armours/Boots/AbstractBoots",70,"",[3464],1,"","[33,177,706,43]",1,7924,-745779774,[],"","FP","FP","","","FP","MP","FP","","","","",[],[],"","","","","","",[10451],[],"","",""
1254,"Metadata/Items/Armours/Boots/BootsExpedition1",23,2,2,"Runic Greaves","Jambières runiques","Runenverzierte Beinschienen","ルーングリーヴ","룬 각반","Grevas Rúnicas","Рунические поножи","Grebas rúnicas","Runic Greaves","魔符脛甲","Metadata/Items/Armours/Boots/AbstractBoots",24,"",[],1,"","[33,729]",1,7925,1787498513,[],"","FP","FP","","","M","MP","FP","","","","",[],[],"","","","","","",[10453],[],"","",""
1255,"Metadata/Items/Armours/Boots/BootsExpedition2",23,2,2,"Runic Sollerets","Solerets runiques","Runenverzierte Eisenschuhe","ルーンソレレット","룬 쇠구두","Soleretes Rúnicos","Рунические солереты","Botas de acero rúnicas","Runic Sollerets","魔符長靴","Metadata/Items/Armours/Boots/AbstractBoots",48,"",[],1,"","[33,729]",1,7925,1319247450,[],"","MP","MP","","","MP","MP","FP","","","","",[],[],"","","","","","",[10453],[],"","",""
1256,"Metadata/Items/Armours/Boots/BootsExpedition3",23,2,2,"Runic Sabatons","Grèves runiques","Runenverzierte Panzerschuhe","ルーンサバトン","룬 발 덮개","Sapatos de Ferro Rúnicos","Рунические сабатоны","Escarpes rúnicos","Runic Sabatons","魔符短靴","Metadata/Items/Armours/Boots/AbstractBoots",69,"",[],1,"","[33,729]",1,7925,-86229339,[],"","FP","MP","","","MP","MP","MP","","","","",[],[],"","","","","","",[10453],[],"","",""
1257,"Metadata/Items/Armours/Gloves/GlovesStr1",22,2,2,"Iron Gauntlets","Gantelets en fer","Eisenpanzerhandschuhe","鉄のガントレット","철제 건틀릿","Manoplas de Ferro","Железные рукавицы","Guanteletes de hierro","Iron Gauntlets","鐵鍛護手","Metadata/Items/Armours/Gloves/AbstractGloves",1,"",[],1,"",[38],1,7926,1925811947,[],"","MP","MP","","","FP","MP","MP","","","","",[],[],"","","","","","",[],[],"","",""
1258,"Metadata/Items/Armours/Gloves/GlovesStr2",22,2,2,"Plated Gauntlets","Gantelets de plates","Plattierte Panzerhandschuhe","プレートガントレット","판금 건틀릿","Manoplas de Placas","Латные перчатки","Guanteletes blindados","Plated Gauntlets","堅鐵護手","Metadata/Items/Armours/Gloves/AbstractGloves",11,"",[],1,"",[38],1,7927,1933469323,[],"","MP","MP","","","FP","MP","MP","","","","",[],[],"","","","","","",[],[],"","",""
1259,"Metadata/Items/Armours/Gloves/GlovesStr3",22,2,2,"Bronze Gauntlets","Gantelets en bronze","Bronzene Panzerhandschuhe","青銅のガントレット","청동 건틀릿","Manoplas de Bronze","Бронзовые перчатки","Guanteletes de bronce","Bronze Gauntlets","青銅護手","Metadata/Items/Armours/Gloves/AbstractGloves",23,"",[],1,"",[38],1,7928,-56017649,[],"","MP","MP","","","FP","MP","MP","","","","",[],[],"","","","","","",[],[],"","",""
1260,"Metadata/Items/Armours/Gloves/GlovesStr4",22,2,2,"Steel Gauntlets","Gantelets en acier","Stahlpanzerhandschuhe","鋼のガントレット","강철 건틀릿","Manoplas de Aço","Стальные перчатки","Guanteletes de metal","Steel Gauntlets","冷鋼護手","Metadata/Items/Armours/Gloves/AbstractGloves",35,"",[],1,"",[38],1,7929,-802135038,[],"","MP","MP","","","FP","MP","MP","","","","",[],[],"","","","","","",[],[],"","",""
