"rownum","Id","Name","Name (French)","Name (German)","Name (Japanese)","Name (Korean)","Name (Portuguese)","Name (Russian)","Name (Spanish)","Name (Thai)","Name (Traditional Chinese)","GrantedEffect","GrantedEffectHardmode","GrantedEffect2","GrantedEffect2Hardmode","SupportText","SupportText (French)","SupportText (German)","SupportText (Japanese)","SupportText (Korean)","SupportText (Portuguese)","SupportText (Russian)","SupportText (Spanish)","SupportText (Thai)","SupportText (Traditional Chinese)","SupportName","SupportName (French)","SupportName (German)","SupportName (Japanese)","SupportName (Korean)","SupportName (Portuguese)","SupportName (Russian)","SupportName (Spanish)","SupportName (Thai)","SupportName (Traditional Chinese)","GemTags","Consumed_ModsKey","ItemColor"
342,"SupportElementalArmy","","","","","","","","","","",2574,"","","","Supports skills which create Minions.","\r\nModifie les aptitudes qui génèrent des créatures.","Unterstützt Fertigkeiten, die Kreaturen erzeugen.","ミニオンを作り出すスキルをサポートする。","소환수를 생성하는 스킬에 적용됩니다.","Suporta qualquer habilidade que crie Lacaios.","Усиливает умения, создающие приспешников.","Asiste habilidades que crean esbirros.","ใช้เสริมสกิลที่สร้าง มิเนียน","輔助製造召喚物的技能。","","","","","","","","","","","[11,16,8]",14297,4
343,"SupportHextouch","","","","","","","","","","",2582,"",2583,"","Must support both a skill that hits enemies, and a hex curse skill to work. The hex will be applied when enemies are hit by the other skill. Cannot support totems, traps, or mines. Minions cannot apply hexes this way.","Doit modifier à la fois une aptitude qui touche les ennemis et une malédiction pour pouvoir fonctionner. La malédiction est appliquée au toucher par l'autre aptitude modifiée. Ne peut pas modifier les totems, les pièges ou les mines. Les créatures ne peuvent appliquer des malédictions de cette façon.","Muss mit einer Fertigkeit, die Gegner trifft, und gleichzeitig mit einer Verhexungs-Fluchfertigkeit verbunden sein. Die Verhexung wird angewendet, wenn Gegner von der anderen Fertigkeit getroffen werden. Kann keine Totem-, Fallen- oder Minenfertigkeiten unterstützen. Kreaturen können auf diese Weise keine Verhexung anwenden.","敵にヒットするスキルと、呪術スキルの両方をサポートしなければならない。もう片方のスキルが敵にヒットした際に、呪術が付与される。トーテム、トラップ、マインで使用されるスキルはサポートできない。ミニオンはこの方法で呪術を付与することはできない。","적을 명중하는 스킬과 사술 저주 스킬이 함께 연결되어 있어야 작동합니다. 사술이 적용되려면 연결된 다른 스킬이 적을 명중해야 합니다. 토템, 덫, 지뢰 스킬에는 사용할 수 없습니다. 또한 소환수도 이 방법으로 사술을 적용할 수 없습니다.","Precisa suportar tanto uma habilidade que acerte inimigos quanto um feitiço para funcionar. O feitiço será aplicado quando inimigos forem acertados por outras habilidades. Não pode suportar totens, armadilhas ou minas. Lacaios não podem aplicar feitiços desta forma.","Должен одновременно усиливать умение, наносящее удары врагам, и умение проклятия порчи. Умение будет накладывать порчу при нанесении удара. Нельзя усилить тотемы, ловушки и мины. Приспешники не могут накладывать порчи таким образом.","Para funcionar debe asistir tanto a una habilidad que golpee enemigos como a una habilidad de maldición de maleficio. El maleficio se aplicará cuando los enemigos sean golpeados por la otra habilidad. No puede asistir tótems, trampas ni minas. Los esbirros no pueden aplicar maleficios de esta manera.","ต้องใช้เสริมสกิลที่ปะทะศัตรูและ สกิลคำสาปสะกด พร้อมกันเท่านั้นจึงจะทำงาน โดยสกิลปะทะจะสาปศัตรูที่ถูกปะทะด้วยคำสาปที่เสริมไว้ ไม่สามารถเสริม โทเทม, กับดัก หรือ ทุ่นระเบิด ได้ มิเนียนไม่สามารถสาปด้วยวิธีนี้ได้","一定要同時輔助可擊中敵人的技能和咒術技能。技能擊中時會施放咒術。不能輔助圖騰、陷阱和地雷技能。","","","","","","","","","","","[11,16,42,26]",14298,4
344,"Reave","","","","","","","","","","",2620,"","","","","","","","","","","","","","","","","","","","","","","","[10,25,13,14,7]","",4
345,"ReaveAltX","Reave of Refraction","Ravage de la Réfraction","Zerreißen der Brechung","屈折のリーヴ","굴절의 약탈","Devastação da Refração","Преломляющее опустошение","Desgarro de refracción","รีฟแห่งการหักเหแสง (Reave of Refraction)","衝擊波．折射",2621,"","","","","","","","","","","","","","","","","","","","","","","","[10,25,13,14,7]","",1
346,"ReaveAltY","[DNT] ReaveAltY","[DNT] ReaveAltY","[DNT] ReaveAltY","[DNT] ReaveAltY","[DNT] ReaveAltY","[DNT] ReaveAltY","[DNT] ReaveAltY","[DNT] ReaveAltY","[DNT] ReaveAltY","[DNT] ReaveAltY",2622,"","","","","","","","","","","","","","","","","","","","","","","","[10,25,13,14,7]","",2
347,"VaalReave","","","","","","","","","","",2623,"",2620,"","","","","","","","","","","","","","","","","","","","","","[10,25,13,14,24,7]","",4
348,"VaalReaveAltX","Vaal Reave","Ravage vaal","Vaal-Zerreißen","ヴァールリーヴ","바알 약탈","Devastação Vaal","Опустошение ваал","Desgarro vaal","วาล์ รีฟ (Vaal Reave)","瓦爾．衝擊波",2623,"",2621,"","","","","","","","","","","","","","","","","","","","","","[10,25,13,14,24,7]","",1
349,"VaalReaveAltY","Vaal Reave","Ravage vaal","Vaal-Zerreißen","ヴァールリーヴ","바알 약탈","Devastação Vaal","Опустошение ваал","Desgarro vaal","วาล์ รีฟ (Vaal Reave)","瓦爾．衝擊波",2623,"",2622,"","","","","","","","","","","","","","","","","","","","","","[10,25,13,14,24,7]","",2
350,"SupportCastOnCriticalStrike","","","","","","","","","","",2699,"",2700,"","Must support both an attack skill and a spell skill to work. The attack skill will trigger a spell when it critically strikes an enemy. Cannot support totems, traps, or mines. Vaal skills, channelling skills, and skills with a reservation cannot be triggered.","Doit modifier deux aptitudes pour pouvoir fonctionner : une attaque et un sort. L'attaque déclenche le sort lorsqu'elle inflige un coup critique à un ennemi. Ne peut pas modifier les totems, les pièges ou les mines. Les aptitudes vaal, les aptitudes canalisées et les aptitudes à réservation ne peuvent être déclenchées.","Muss gleichzeitig mit einer Angriffs- und einer Zauberfertigkeit verbunden sein. Die Angriffsfertigkeit löst den Zauber aus, wenn ein Gegner durch sie einen kritischen Treffer erleidet. Kann keine Totem-, Fallen- oder Minenfertigkeiten unterstützen. Vaal-, Kanalisierungsfertigkeiten und Fertigkeiten mit Reservierungskosten, können nicht ausgelöst werden.","アタックスキルと、スペルスキルの両方をサポートしなければならない。アタックスキルが敵にクリティカルヒットした際に、スペルスキルをトリガーする。トーテム、トラップおよびマインはサポートできない。ヴァ―ルスキル、チャネリングスキルおよびリザーブするスキルはトリガーされない。","공격 스킬과 주문 스킬이 함께 연결되어 있어야 작동합니다. 공격 스킬이 치명타로 명중하면 연결된 주문 스킬이 발동합니다. 토템, 덫, 지뢰 스킬에는 적용되지 않으며 바알 스킬, 집중 유지 스킬, 점유가 있는 스킬은 발동되지 않습니다.","Precisa suportar tanto uma habilidade de ataque quanto uma magia para funcionar. A habilidade de ataque ativará a magia quando causar um golpe crítico em um inimigo. Não pode suportar totens, armadilhas ou minas. Habilidades Vaal, canalizadas e habilidades com reserva não podem ser ativadas.","Должен одновременно усиливать умение атаки и чары. Умение вызовет срабатывание чар при нанесении критического удара врагу. Нельзя усилить тотемы, ловушки и мины. Невозможно вызвать срабатывание умений ваал, поддерживаемых умений и умений с удержанием.","Para funcionar debe asistir tanto a una habilidad de ataque como a una habilidad de hechizo. La habilidad de ataque activará un hechizo cuando inflija un golpe crítico a un enemigo. No puede asistir tótems, trampas ni minas. Las habilidades vaal, las habilidades de canalización y las habilidades con reserva no se pueden activar.","ต้องใช้เสริม สกิลโจมตีและสกิลเวท พร้อมกันเท่านั้นจึงจะทำงาน เมื่อสกิลโจมตีคริติคอล มันจะทริกเกอร์เวทเหล่านั้น ไม่สามารถเสริม โทเทม, กับดัก หรือ ทุ่นระเบิด ได้ สกิลวาล์, สกิลแชนเนล, สกิลที่มีค่าสำรอง ไม่สามารถถูกทริกเกอร์ได้","一定要同時輔助攻擊技能和法術技能。當攻擊技能暴擊敵人時會觸發法術技能。不能輔助圖騰、陷阱和地雷技能。瓦爾技能、引導時施放技能和保留技能無法被觸發。","","","","","","","","","","","[47,10,16,4,26]",14258,4
351,"SupportCastonMeleeKill","","","","","","","","","","",2701,"",2702,"","Must support both a melee attack skill and a spell skill to work. The attack skill will trigger a spell when it kills an enemy. Cannot support totems, traps, or mines. Vaal skills, channelling skills, and skills with a reservation cannot be triggered.","Doit modifier deux aptitudes pour pouvoir fonctionner : une attaque de mêlée et un sort. L'attaque déclenche le sort lorsqu'elle inflige tue un ennemi. Ne peut pas modifier les totems, les pièges ou les mines. Les aptitudes vaal, les aptitudes canalisées et les aptitudes à réservation ne peuvent être déclenchées.","Muss gleichzeitig mit einer Nahkampfangriffs- und einer Zauberfertigkeit verbunden sein. Die Angriffsfertigkeit löst den Zauber aus, wenn durch sie ein Gegner getötet wurde. Kann keine Totem-, Fallen- oder Minenfertigkeiten unterstützen. Vaal-, Kanalisierungsfertigkeiten und Fertigkeiten mit Reservierungskosten, können nicht ausgelöst werden.","近接アタックスキルと、スペルスキルの両方をサポートしなければならない。アタックスキルが敵を倒した際に、スペルスキルをトリガーする。トーテム、トラップおよびマインはサポートされない。ヴァ―ルスキル、チャネリングスキルおよびリザーブするスキルはトリガーされない。","근접 공격 스킬과 주문 스킬이 함께 연결되어 있어야 작동합니다. 공격 스킬로 적을 처치하면 주문이 발동됩니다. 토템, 덫, 지뢰 스킬에 적용할 수 없으며 바알 스킬, 집중 유지 스킬, 점유가 있는 스킬은 발동되지 않습니다.","Precisa suportar tanto uma habilidade de ataque corpo a corpo quanto uma habilidade mágica para funcionar. A habilidade de ataque ativará uma magia quando matar um inimigo. Não pode suportar totens, armadilhas ou minas. Habilidades Vaal, canalizadas e habilidades com reserva não podem ser ativadas.","Должен одновременно усиливать умение атаки ближнего боя и чары. Умение вызовет срабатывание чар при убийстве врага. Нельзя усилить тотемы, ловушки и мины. Невозможно вызвать срабатывание умений ваал, поддерживаемых умений и умений с удержанием.","Para funcionar debe asistir tanto a una habilidad de ataque cuerpo a cuerpo como a una habilidad de hechizo. La habilidad de ataque activará un hechizo cuando mate a un enemigo. No puede asistir tótems, trampas ni minas. Las habilidades vaal, las habilidades de canalización y las habilidades con reserva no se pueden activar.","ต้องใช้เสริม สกิลโจมตีประชิดและสกิลเวท พร้อมกันเท่านั้นจึงจะทำงาน เมื่อสังหารศัตรูด้วยสกิลโจมตี มันจะทริกเกอร์เวทเหล่านั้น ไม่สามารถใช้กับ โทเทม, กับดัก หรือ ทุ่นระเบิด ได้ สกิลวาล์, สกิลแชนเนล, สกิลที่มีค่าสำรอง ไม่สามารถถูกทริกเกอร์ได้","一定要同時輔助攻擊和法術技能。當攻擊技能擊殺敵人時會觸發法術技能。不能輔助圖騰、陷阱和地雷技能。瓦爾技能、引導時施放技能和保留技能無法被觸發。","","","","","","","","","","","[9,16,7,13,4,26]",14299,4
352,"SupportMultipleTraps","","","","","","","","","","",2703,"","","","Supports traps skills, making them throw extra traps in a line.","Modifie les aptitudes de pièges, leur permettant de jeter des pièges supplémentaires en ligne droite.","Unterstützt Fallenfertigkeiten, die dann zusätzliche Fallen entlang einer Line werfen.","トラップスキルをサポートし、追加のトラップを一列に投げる。","덫 스킬에 적용됩니다. 덫을 추가로 연달아 던지게 합니다.","Suporta habilidades de armadilha, fazendo com que arremessem armadilhas em uma reta.","Усиливает умения ловушек. Бросает дополнительные ловушки в ряд.","Asiste habilidades de trampa para que lancen trampas adicionales en una línea.","ใช้เสริม สกิลกับดัก ทำให้โยนกับดักพร้อมกันหลายอันเป็นเส้นตรง","輔助陷阱技能，一次投擲額外的陷阱。","","","","","","","","","","","[10,16,20]",14300,4
353,"SupportEmpower","","","","","","","","","","",2704,"","","","Supports any skill gem. Once this gem reaches level 2 or above, will raise the level of supported gems. Cannot support skills that don't come from gems.","Modifie toutes les gemmes d'aptitudes. Lorsque cette gemme atteint le niveau 2 ou le dépasse, elle augmente le niveau des gemmes qu'elle modifie. Ne peut pas modifier une aptitude qui ne provient pas d'une gemme.","Unterstützt alle Fertigkeiten. Sobald diese Gemme Stufe 2 oder höher erreicht, erhöht sie die Stufe der unterstützten Gemmen. Kann keine Fertigkeiten unterstützen, die nicht von Gemmen stammen.","スキルジェムをサポートする。このジェムがレベル2以上になると、サポートされたジェムのレベルを上げる。ジェム由来ではないスキルはサポートされない。","모든 스킬 젬에 적용됩니다. 이 젬이 2레벨 이상이면 보조 대상 스킬 젬의 레벨을 올려줍니다. 젬과 관련되지 않은 스킬에는 적용되지 않습니다.","Suporta qualquer gema de habilidade. Uma vez que a gema atinja nível 2 ou acima, ela erguerá o nível das gemas suportadas. Não pode suportar habilidades que não venham de gemas.","Усиливает любой камень умения. Начиная со 2 уровня будет увеличивать уровень усиленных камней. Не может усиливать умения, полученные не от камней.","Asiste cualquier gema de habilidad. Una vez que esta gema alcance el nivel 2 o más, aumentará el nivel de las gemas asistidas. No puede asistir habilidades que no provengan de gemas.","ใช้เสริมหินสกิลทุกชนิด เมื่อหินนี้มีเลเวล 2 ขึ้นไป มันจะเพิ่มเลเวลของหินที่เสริม ไม่สามารถเสริมสกิลที่ไม่ได้มาจากหินได้","輔助任何技能寶石。當此寶石到達 2 等以上，會讓輔助的寶石有額外的等級。不能輔助來自非寶石的技能。","","","","","","","","","","","[29,48,9,16]",14301,4
354,"LightningTrap","","","","","","","","","","",2720,"","","","","","","","","","","","","","","","","","","","","","","","[20,47,11,25,4,5,2]","",4
355,"LightningTrapAltX","Lightning Trap of Sparking","Piège de foudre de l'Étincelle","Blitzfalle des Funkens","火花のライトニングトラップ","전기불꽃의 번개 덫","Armadilha Relampejante das Fagulhas","Ловушка молний искрения","Trampa de rayo de chispas","กับดักสายฟ้าแห่งประกายสายฟ้า (Lightning Trap of Sparking)","閃電陷阱．電球",2721,"","","","","","","","","","","","","","","","","","","","","","","","[20,47,11,25,4,5,2]","",1
356,"LightningTrapAltY","[DNT] LightningTrapAltY","[DNT] LightningTrapAltY","[DNT] LightningTrapAltY","[DNT] LightningTrapAltY","[DNT] LightningTrapAltY","[DNT] LightningTrapAltY","[DNT] LightningTrapAltY","[DNT] LightningTrapAltY","[DNT] LightningTrapAltY","[DNT] LightningTrapAltY",2722,"","","","","","","","","","","","","","","","","","","","","","","","[20,47,11,25,4,5,2]","",2
357,"VaalLightningTrap","","","","","","","","","","",2725,"",2720,"","","","","","","","","","","","","","","","","","","","","","[20,47,11,25,4,5,15,24,2]","",4
358,"VaalLightningTrapAltX","Vaal Lightning Trap","Piège de foudre vaal","Vaal-Blitzfalle","ヴァールライトニングトラップ","바알 번개 덫","Armadilha Relampejante Vaal","Ловушка молний ваал","Trampa de rayo vaal","วาล์ กับดักสายฟ้า (Vaal Lightning Trap)","瓦爾．閃電陷阱",2725,"",2721,"","","","","","","","","","","","","","","","","","","","","","[20,47,11,25,4,5,15,24,2]","",1
359,"VaalLightningTrapAltY","Vaal Lightning Trap","Piège de foudre vaal","Vaal-Blitzfalle","ヴァールライトニングトラップ","바알 번개 덫","Armadilha Relampejante Vaal","Ловушка молний ваал","Trampa de rayo vaal","วาล์ กับดักสายฟ้า (Vaal Lightning Trap)","瓦爾．閃電陷阱",2725,"",2722,"","","","","","","","","","","","","","","","","","","","","","[20,47,11,25,4,5,15,24,2]","",2
360,"SmokeMine","","","","","","","","","","",2766,2767,"","","","","","","","","","","","","","","","","","","","","","","[21,10,25,4,14,15,22,35,37]","",4
361,"SupportEnduranceChargeOnMeleeStun","","","","","","","","","","",2789,"","","","Supports melee attack skills.","Modifie les aptitudes d'attaque de mêlée.","Unterstützt Nahkampf-Angriffsfertigkeiten.","近接アタックスキルをサポートする。","근접 공격 스킬에 적용됩니다.","Suporta habilidades de ataque corpo a corpo.","Усиливает умения атак ближнего боя.","Asiste habilidades de ataque cuerpo a cuerpo.","ใช้เสริม สกิลโจมตีประชิด","輔助近戰攻擊技能。","","","","","","","","","","","[9,16,7,13]",14270,4
362,"AnimateGuardian","","","","","","","","","","",2818,"","","","","","","","","","","","","","","","","","","","","","","","[9,25,4,8]","",4
363,"AnimateGuardianAltX","Animate Guardian of Smiting","Animation de Gardien du Châtiment","Wächter des Zerschmetterns beseelen","スマイトのアニメイトガーディアン","징벌의 수호자 기동","Guardião Animado do Castigo","Аниматрон кары","Animar guardián de aniquilación","ปลุกเสกผู้พิทักษ์แห่งการเฆี่ยนตี (Animate Guardian of Smiting)","幻化守衛．重擊",2819,"","","","","","","","","","","","","","","","","","","","","","","","[9,25,4,8,2]","",1
364,"AnimateGuardianAltY","[DNT] AnimateArmourAltY","[DNT] AnimateArmourAltY","[DNT] AnimateArmourAltY","[DNT] AnimateArmourAltY","[DNT] AnimateArmourAltY","[DNT] AnimateArmourAltY","[DNT] AnimateArmourAltY","[DNT] AnimateArmourAltY","[DNT] AnimateArmourAltY","[DNT] AnimateArmourAltY",2820,"","","","","","","","","","","","","","","","","","","","","","","","[9,25,4,8]","",2
365,"SpectralShieldThrow","","","","","","","","","","",6170,"","","","","","","","","","","","","","","","","","","","","","","","[10,25,13,5,33]","",4
366,"SpectralShieldThrowAltX","Spectral Shield Throw of Shattering","Lancer de bouclier spectral du Fracassement","Spektralschildwurf des Zerschmetterns","粉砕のスペクトラルシールドスロー","산산조각의 환영 방패 투척","Arremesso de Escudo Espectral do Despedaçamento","Призрачный бросок щита разбивания","Lanzamiento de escudo espectral de fracturación","โยนโล่เงาแห่งการแตกกระจาย (Spectral Shield Throw of Shattering)","盾靈投擲．粉碎",6171,"","","","","","","","","","","","","","","","","","","","","","","","[10,25,13,5,1]","",1
367,"SpectralShieldThrowAltY","Spectral Shield Throw of Trarthus","Lancer de bouclier spectral de Trarthus","Spektralschildwurf von Trarthus","トラーサスのスペクトラルシールドスロー","트라투스의 환영 방패 투척","Arremesso de Escudo Espectral de Trarthus","Призрачный бросок щита Тератны","Lanzamiento de escudo espectral de Trarthus","โยนโล่เงาแห่งทาร์ทัส (Spectral Shield Trarthus)","特拉特斯盾靈投擲",6172,"","","","","","","","","","","","","","","","","","","","","","","","[10,25,13,5,33]","",3
368,"SpectralThrow","","","","","","","","","","",2823,"","","","","","","","","","","","","","","","","","","","","","","","[10,25,13,5]","",4
369,"SpectralThrowAltX","Spectral Throw of Materialising","Lancer spectral de la Matérialisation","Spektralwurf des Materialisierens","実体化のスペクトラルスロー","구체화의 환영 무기 투척","Arremesso Espectral da Materialização","Призрачный бросок воплощения","Lanzamiento espectral de materialización","โยนอาวุธเงาแห่งการปรากฏ (Spectral Throw of Materialising)","靈體投擲．具現化",2824,"","","","","","","","","","","","","","","","","","","","","","","","[10,25,13,5]","",1
370,"SpectralThrowAltY","Spectral Throw of Trarthus","Lancer spectral de Trarthus","Spektralwurf von Trarthus","トラーサスのスペクトラルスロー","트라투스의 환영 무기 투척","Arremesso Espectral de Trarthus","Призрачный бросок Тератны","Lanzamiento espectral de Trarthus","โยนอาวุธเงาแห่งทาร์ทัส (Spectral Throw of Trarthus)","特拉特斯靈體投擲",2825,"","","","","","","","","","","","","","","","","","","","","","","","[20,10,25,13,5]","",3
371,"VaalSpectralThrow","","","","","","","","","","",2832,"",2823,"","","","","","","","","","","","","","","","","","","","","","[10,25,13,5,24]","",4
372,"VaalSpectralThrowAltX","Vaal Spectral Throw","Lancer spectral vaal","Vaal-Spektralwurf","ヴァールスペクトラルスロー","바알 환영 무기 투척","Arremesso Espectral Vaal","Призрачный бросок ваал","Lanzamiento espectral vaal","วาล์ โยนอาวุธเงา (Vaal Spectral Throw)","瓦爾．靈體投擲",2832,"",2824,"","","","","","","","","","","","","","","","","","","","","","[10,25,13,5,24]","",1
373,"VaalSpectralThrowAltY","Vaal Spectral Throw","Lancer spectral vaal","Vaal-Spektralwurf","ヴァールスペクトラルスロー","바알 환영 무기 투척","Arremesso Espectral Vaal","Призрачный бросок ваал","Lanzamiento espectral vaal","วาล์ โยนอาวุธเงา (Vaal Spectral Throw)","瓦爾．靈體投擲",2832,"",2825,"","","","","","","","","","","","","","","","","","","","","","[10,25,13,5,24]","",2
374,"SupportSlowerProjectiles","","","","","","","","","","",2896,"","","","Supports projectile skills.","Modifie les aptitudes à projectiles.","Unterstützt Projektilfertigkeiten.","投射物スキルをサポートする。","투사체 스킬에 적용됩니다.","Suporta habilidades de projétil.","Усиливает умения снарядов.","Asiste habilidades de proyectiles.","ใช้เสริม สกิลโพรเจกไทล์","輔助投射物技能。","","","","","","","","","","","[10,16,5]",14302,4
375,"SupportLessDuration","","","","","","","","","","",2897,"","","","Supports any skill that has a duration.","Modifie toutes les aptitudes ayant une durée.","Unterstützt alle Fertigkeiten mit Dauer.","持続するスキルをサポートする。","지속시간이 있는 모든 스킬에 적용됩니다.","Suporta qualquer habilidade que tenha uma duração.","Усиливает любое умение с временем действия.","Asiste cualquier habilidad que tenga una duración.","ใช้เสริมสกิลที่มีระยะเวลา","輔助任何有期間的技能。","","","","","","","","","","","[9,16,15]",14303,4
376,"SupportCastOnDeath","","","","","","","","","","",2900,"","","","Each supported spell skill will be triggered when you die. Cannot support skills used by totems, traps, or mines. Vaal skills, channelling skills, and skills with a reservation cannot be triggered.","Toutes les aptitudes modifiées qui sont des sorts se déclenchent lorsque vous mourez. Ne peut pas modifier les totems, pièges ou mines. Les aptitudes vaal, les aptitudes canalisées et les aptitudes à réservation ne peuvent pas être déclenchées.","Jede unterstützte Zauberfertigkeit wird bei Spielertod ausgelöst. Kann keine Totem-, Fallen- oder Minenfertigkeiten unterstützen. Vaal-, Kanalisierungsfertigkeiten und Fertigkeiten mit Reservierungskosten, können nicht ausgelöst werden.","死亡時、サポートされたスペルをそれぞれトリガーする。トーテム、トラップ、マインで使用されるスキルはサポートできない。ヴァ―ルスキル、チャネリングスキルおよびリザーブするスキルはトリガーされない。","플레이어가 사망하면 보조 대상 주문 스킬이 발동됩니다. 토템, 덫, 지뢰 스킬에는 적용되지 않으며 바알 스킬, 집중 유지 스킬, 점유가 있는 스킬은 발동되지 않습니다.","Cada habilidade mágica suportada será ativada quando você morrer. Não pode suportar habilidades usadas por totens, armadilhas ou minas. Habilidades Vaal, canalizadas e habilidades com reserva não podem ser ativadas.","При смерти вызывает срабатывание всех усиленных чар. Нельзя усилить умения, используемые тотемами, ловушками и минами. Невозможно вызвать срабатывание умений ваал, поддерживаемых умений и умений с удержанием.","Cada habilidad de hechizo asistida se activará cuando mueras. No puede asistir habilidades usadas por tótems, trampas ni minas. Las habilidades vaal, las habilidades de canalización y las habilidades con reserva no se pueden activar.","สกิลเวทที่เสริมทุกเม็ดจะถูกทริกเกอร์เมื่อคุณตาย ไม่สามารถเสริมสกิลที่ใช้โดย โทเทม, กับดัก หรือ ทุ่นระเบิด ได้ สกิลวาล์, สกิลแชนเนล, สกิลที่มีค่าสำรอง ไม่สามารถถูกทริกเกอร์ได้","當你死亡時觸發所有輔助寶石。不能輔助圖騰、陷阱和地雷技能。瓦爾技能、引導時施放技能和保留技能無法被觸發。","","","","","","","","","","","[10,16,4,26]",14341,4
377,"SupportCastWhenDamageTaken","","","","","","","","","","",2902,"","","","Each supported spell skill will track damage you take, and be triggered when the total damage taken reaches a threshold. Cannot support skills used by totems, traps, or mines. Vaal skills, channelling skills, and skills with a reservation cannot be triggered.","Toutes les aptitudes modifiées qui sont des sorts gardent en mémoire les dégâts que vous subissez, et se déclenchent lorsque le total de dégâts subis atteint un certain seuil. Ne peut pas modifier les totems, pièges ou mines. Les aptitudes vaal, les aptitudes canalisées et les aptitudes à réservation ne peuvent pas être déclenchées.","Jede unterstützte Zauberfertigkeit zählt den erlittenen Schaden und wird ausgelöst, sobald der gesamte erlittene Schaden eine Schwelle erreicht. Kann keine Totem-, Fallen- oder Minenfertigkeiten unterstützen. Vaal-, Kanalisierungsfertigkeiten und Fertigkeiten mit Reservierungskosten, können nicht ausgelöst werden.","サポートされたスキルはそれぞれ受けたダメージを記録し、トータルが閾値に達するとトリガーする。トーテム、トラップ、マインはサポートされない。ヴァ―ルスキル、チャネリングスキル、リザーブするスキルはトリガーされない。","플레이어가 받은 누적 피해가 일정량을 초과하면 보조 대상 주문 스킬이 발동합니다. 토템, 덫, 지뢰 스킬에는 적용되지 않으며 바알 스킬, 집중 유지 스킬, 점유가 있는 스킬은 발동되지 않습니다.","Cada habilidade mágica suportada levará em conta o dano que você sofrer, e será ativada quando o dano total sofrido atingir um limite. Não pode suportar habilidades usadas por totens, armadilhas ou minas. Habilidades Vaal, canalizadas e habilidades com uma reserva não podem ser ativadas.","Усиленные чары будут учитывать полученный урон и срабатывать при достижении определённых порогов полученного урона. Нельзя усилить умения, используемые тотемами, ловушками и минами. Невозможно вызвать срабатывание умений ваал, поддерживаемых умений и умений с удержанием.","Cada habilidad de hechizo asistida registrará el daño que recibes y se activará cuando el daño total recibido alcance un cierto umbral. No puede asistir habilidades usadas por tótems, trampas ni minas. Las habilidades vaal, las habilidades de canalización y las habilidades con reserva no se pueden activar.","สกิลเวทที่เสริมทุกสกิลจะคอยนับความเสียหายที่คุณได้รับ และจะถูกทริกเกอร์เมื่อได้รับความเสียหายรวมกันถึงเกณฑ์ที่กำหนด ไม่สามารถเสริมสกิลที่ใช้โดย โทเทม, กับดัก หรือ ทุ่นระเบิด ได้ สกิลวาล์, สกิลแชนเนล, สกิลที่มีค่าสำรอง ไม่สามารถถูกทริกเกอร์ได้","當受到一定程度的傷害時會觸發所有輔助的寶石。不能輔助圖騰、陷阱和地雷技能。瓦爾技能、引導時施放技能和保留技能無法被觸發。","","","","","","","","","","","[9,16,4,26]",14304,4
378,"SupportCastWhenStunned","","","","","","","","","","",2903,"","","","Each supported spell skill will have a chance to be triggered when you are stunned. Cannot support skills used by totems, traps, or mines. Vaal skills, channelling skills, and skills with a reservation cannot be triggered.","Toutes les aptitudes modifiées qui sont des sorts ont une chance de se déclencher lorsque vous subissez un Étourdissement. Ne peut pas modifier les totems, pièges ou mines. Les aptitudes vaal, les aptitudes canalisées et les aptitudes à réservation ne peuvent pas être déclenchées.","Jede unterstützte Zauberfertigkeit hat eine Chance ausgelöst zu werden, wenn der Spieler betäubt wird. Kann keine Totem-, Fallen- oder Minenfertigkeiten unterstützen. Vaal-, Kanalisierungsfertigkeiten und Fertigkeiten mit Reservierungskosten, können nicht ausgelöst werden.","スタンされた際に、サポートされたスキルがトリガーする可能性がある。トーテム、トラップ、マインで使用されるスキルはサポートできない。ヴァ―ルスキル、チャネリングスキル、リザーブするスキルはトリガーされない。","플레이어가 기절하면 일정 확률로 보조 대상 주문이 발동됩니다. 토템, 덫, 지뢰 스킬에는 적용되지 않으며 바알 스킬, 집중 유지 스킬, 점유가 있는 스킬에는 발동되지 않습니다.","Cada habilidade mágica suportada terá uma chance de ser ativada quando você for atordoado. Não pode suportar habilidades usadas por totens, armadilhas ou minas. Habilidades Vaal, canalizadas e habilidades com uma reserva não podem ser ativadas.","Усиленные чары будут иметь шанс срабатывания при получении вами оглушения. Нельзя усилить умения, используемые тотемами, ловушками и минами. Невозможно вызвать срабатывание умений ваал, поддерживаемых умений и умений с удержанием.","Cada habilidad de hechizo asistida tendrá una probabilidad de activarse cuando te aturdan. No puede asistir habilidades usadas por tótems, trampas ni minas. Las habilidades vaal, las habilidades de canalización y las habilidades con reserva no se pueden activar.","สกิลเวทที่เสริมทุกเม็ดมีโอกาสถูกทริกเกอร์เมื่อคุณติดสถานะ สตัน ไม่สามารถเสริมสกิลที่ใช้โดย โทเทม, กับดัก หรือ ทุ่นระเบิด ได้ สกิลวาล์, แชนเนล, สกิลที่มีค่าสำรอง ไม่สามารถถูกทริกเกอร์ได้","當你被暈眩時有機率觸發所有輔助寶石。不能輔助圖騰、陷阱和地雷技能。瓦爾技能、引導時施放技能和保留技能無法被觸發。","","","","","","","","","","","[11,16,4,26]",14259,4
