"rownum","Id","MiscAnimatedKey1","SpawnWeight","LevelMin","LevelMax","BuffDefinitionsKey","BuffStatValues","SpawnPatterns","ModsKey","[i32]_100","[i32]_116","MiscAnimatedKey2","EnvironmentsKey","i32_164","Achievements","Type","Type (French)","Type (German)","Type (Japanese)","Type (Korean)","Type (Portuguese)","Type (Russian)","Type (Spanish)","Type (Thai)","Type (Traditional Chinese)","Description","Description (French)","Description (German)","Description (Japanese)","Description (Korean)","Description (Portuguese)","Description (Russian)","Description (Spanish)","Description (Thai)","Description (Traditional Chinese)","DaemonSpawningDataKey","bool_216","i32_217"
20,"PhysicalBlood3",5092,100,46,67,1686,"[35,30]",[2],[36708],[1],"[100,100,100,100]",5106,1248,5,[7471],"Violent","Violent","Brutal","暴力の","난폭한","Violento","<if:MS>{Жестокий}<elif:MP>{Жестокие}<else>{Жестокий}","Violento","Violent","暴力","Monsters deal extra Physical Damage and can inflict Bleeding \nPain Totems pulse damaging waves","Les Monstres infligent des Dégâts physiques supplémentaires et peuvent appliquer Saignement \nInvoque des Totems de douleur qui envoient des vagues de dégâts","Monster verursachen zusätzlichen physischen Schaden und können Bluten verursachen\nSchmerztotems senden pulsierende Schadenswellen aus","モンスターは追加の物理ダメージを与え、出血を付与できる \n痛みのトーテムがダメージの波をパルス状に放つ","몬스터가 추가 물리 피해를 주고 출혈 유발 \n고통 토템이 피해를 주는 파동 방출","Monstros causam Dano Físico extra e podem Sangramento \nTotens da Dor pulsam ondas Nocivas","Монстры наносят дополнительный физический урон и могут вызвать кровотечение \nТотемы боли испускают волны урона","Los monstruos infligen daño físico extra y pueden aplicar sangrado \nLos tótems de dolor pulsan e infligen ondas dañinas","มอนสเตอร์ สร้างความเสียหาย กายภาพ เพิ่มเติมและสร้างสถานะ เลือดไหล ได้\nโทเทมความเจ็บปวด คอยปล่อยคลื่นพลังสร้างความเสียหายออกมา","怪物造成額外物理傷害並且可以造成流血\n痛苦圖騰發射傷害震波",15,"",0
21,"PhysicalBlood4",5092,100,68,77,1686,"[40,35]",[2],[36708],[1],"[100,100,100,100]",5106,1248,6,[7471],"Violent","Violent","Brutal","暴力の","난폭한","Violento","<if:MS>{Жестокий}<elif:MP>{Жестокие}<else>{Жестокий}","Violento","Violent","暴力","Monsters deal extra Physical Damage and can inflict Bleeding \nPain Totems pulse damaging waves","Les Monstres infligent des Dégâts physiques supplémentaires et peuvent appliquer Saignement \nInvoque des Totems de douleur qui envoient des vagues de dégâts","Monster verursachen zusätzlichen physischen Schaden und können Bluten verursachen\nSchmerztotems senden pulsierende Schadenswellen aus","モンスターは追加の物理ダメージを与え、出血を付与できる \n痛みのトーテムがダメージの波をパルス状に放つ","몬스터가 추가 물리 피해를 주고 출혈 유발 \n고통 토템이 피해를 주는 파동 방출","Monstros causam Dano Físico extra e podem Sangramento \nTotens da Dor pulsam ondas Nocivas","Монстры наносят дополнительный физический урон и могут вызвать кровотечение \nТотемы боли испускают волны урона","Los monstruos infligen daño físico extra y pueden aplicar sangrado \nLos tótems de dolor pulsan e infligen ondas dañinas","มอนสเตอร์ สร้างความเสียหาย กายภาพ เพิ่มเติมและสร้างสถานะ เลือดไหล ได้\nโทเทมความเจ็บปวด คอยปล่อยคลื่นพลังสร้างความเสียหายออกมา","怪物造成額外物理傷害並且可以造成流血\n痛苦圖騰發射傷害震波",15,"",0
22,"PhysicalBlood5",5092,100,78,100,1686,"[50,40]",[2],[36708],[1],"[100,100,100,100]",5106,1248,6,[7471],"Violent","Violent","Brutal","暴力の","난폭한","Violento","<if:MS>{Жестокий}<elif:MP>{Жестокие}<else>{Жестокий}","Violento","Violent","暴力","Monsters deal extra Physical Damage and can inflict Bleeding \nPain Totems pulse damaging waves","Les Monstres infligent des Dégâts physiques supplémentaires et peuvent appliquer Saignement \nInvoque des Totems de douleur qui envoient des vagues de dégâts","Monster verursachen zusätzlichen physischen Schaden und können Bluten verursachen\nSchmerztotems senden pulsierende Schadenswellen aus","モンスターは追加の物理ダメージを与え、出血を付与できる \n痛みのトーテムがダメージの波をパルス状に放つ","몬스터가 추가 물리 피해를 주고 출혈 유발 \n고통 토템이 피해를 주는 파동 방출","Monstros causam Dano Físico extra e podem Sangramento \nTotens da Dor pulsam ondas Nocivas","Монстры наносят дополнительный физический урон и могут вызвать кровотечение \nТотемы боли испускают волны урона","Los monstruos infligen daño físico extra y pueden aplicar sangrado \nLos tótems de dolor pulsan e infligen ondas dañinas","มอนสเตอร์ สร้างความเสียหาย กายภาพ เพิ่มเติมและสร้างสถานะ เลือดไหล ได้\nโทเทมความเจ็บปวด คอยปล่อยคลื่นพลังสร้างความเสียหายออกมา","怪物造成額外物理傷害並且可以造成流血\n痛苦圖騰發射傷害震波",15,"",0
23,"GenericLife1",5088,100,0,24,1690,[120],[2],[36708],[1],"[100,100,100,100]",5100,1242,4,[7573],"Suppressive","Asphyxiant","Unterdrückend","回復抑制の","억압하는","Supressivo","<if:MS>{Подавляющий}<elif:MP>{Подавляющие}<else>{Подавляющий}","Supresor","Suppressive","抑制","Monsters Regenerate Life \nSmothering Mist lowers your Life Regeneration","La Vie des Monstres se Régénère \nRépand une Brume étouffante qui réduit votre Régénération de Vie","Monster regenerieren Leben\nErstickender Dunst verringert Eure Lebensregeneration","モンスターのライフが自動回復する \n絞め殺す霧によりプレイヤーのライフ自動回復が低くなる","몬스터가 생명력 재생\n질식 안개로 인해 플레이어의 생명력 재생 감소","Monstros Regeneram Vida \nNévoa Suavizante reduz sua Regeneração de Vida","Монстры регенерируют здоровье \nУдушающий туман снижает вашу регенерацию здоровья","Los monstruos regeneran vida \nLa Niebla asfixiante reduce tu regeneración de vida","มอนสเตอร์ ฟื้นฟูพลังชีวิต\nหมอกพรากลมหายใจ ลดอัตราการ ฟื้นฟูพลังชีวิต ของคุณ","怪物回復生命\n窒息之霧減少你的生命回復",18,"",0
24,"GenericLife2",5088,100,25,45,1690,[120],[2],[36708],[1],"[100,100,100,100]",5100,1242,5,[7573],"Suppressive","Asphyxiant","Unterdrückend","回復抑制の","억압하는","Supressivo","<if:MS>{Подавляющий}<elif:MP>{Подавляющие}<else>{Подавляющий}","Supresor","Suppressive","抑制","Monsters Regenerate Life \nSmothering Mist lowers your Life Regeneration","La Vie des Monstres se Régénère \nRépand une Brume étouffante qui réduit votre Régénération de Vie","Monster regenerieren Leben\nErstickender Dunst verringert Eure Lebensregeneration","モンスターのライフが自動回復する \n絞め殺す霧によりプレイヤーのライフ自動回復が低くなる","몬스터가 생명력 재생\n질식 안개로 인해 플레이어의 생명력 재생 감소","Monstros Regeneram Vida \nNévoa Suavizante reduz sua Regeneração de Vida","Монстры регенерируют здоровье \nУдушающий туман снижает вашу регенерацию здоровья","Los monstruos regeneran vida \nLa Niebla asfixiante reduce tu regeneración de vida","มอนสเตอร์ ฟื้นฟูพลังชีวิต\nหมอกพรากลมหายใจ ลดอัตราการ ฟื้นฟูพลังชีวิต ของคุณ","怪物回復生命\n窒息之霧減少你的生命回復",18,"",0
25,"GenericLife3",5088,100,46,67,1690,[120],[2],[36708],[1],"[100,100,100,100]",5100,1242,5,[7573],"Suppressive","Asphyxiant","Unterdrückend","回復抑制の","억압하는","Supressivo","<if:MS>{Подавляющий}<elif:MP>{Подавляющие}<else>{Подавляющий}","Supresor","Suppressive","抑制","Monsters Regenerate Life \nSmothering Mist lowers your Life Regeneration","La Vie des Monstres se Régénère \nRépand une Brume étouffante qui réduit votre Régénération de Vie","Monster regenerieren Leben\nErstickender Dunst verringert Eure Lebensregeneration","モンスターのライフが自動回復する \n絞め殺す霧によりプレイヤーのライフ自動回復が低くなる","몬스터가 생명력 재생\n질식 안개로 인해 플레이어의 생명력 재생 감소","Monstros Regeneram Vida \nNévoa Suavizante reduz sua Regeneração de Vida","Монстры регенерируют здоровье \nУдушающий туман снижает вашу регенерацию здоровья","Los monstruos regeneran vida \nLa Niebla asfixiante reduce tu regeneración de vida","มอนสเตอร์ ฟื้นฟูพลังชีวิต\nหมอกพรากลมหายใจ ลดอัตราการ ฟื้นฟูพลังชีวิต ของคุณ","怪物回復生命\n窒息之霧減少你的生命回復",18,"",0
26,"GenericLife4",5088,100,68,77,1690,[120],[2],[36708],[1],"[100,100,100,100]",5100,1242,6,[7573],"Suppressive","Asphyxiant","Unterdrückend","回復抑制の","억압하는","Supressivo","<if:MS>{Подавляющий}<elif:MP>{Подавляющие}<else>{Подавляющий}","Supresor","Suppressive","抑制","Monsters Regenerate Life \nSmothering Mist lowers your Life Regeneration","La Vie des Monstres se Régénère \nRépand une Brume étouffante qui réduit votre Régénération de Vie","Monster regenerieren Leben\nErstickender Dunst verringert Eure Lebensregeneration","モンスターのライフが自動回復する \n絞め殺す霧によりプレイヤーのライフ自動回復が低くなる","몬스터가 생명력 재생\n질식 안개로 인해 플레이어의 생명력 재생 감소","Monstros Regeneram Vida \nNévoa Suavizante reduz sua Regeneração de Vida","Монстры регенерируют здоровье \nУдушающий туман снижает вашу регенерацию здоровья","Los monstruos regeneran vida \nLa Niebla asfixiante reduce tu regeneración de vida","มอนสเตอร์ ฟื้นฟูพลังชีวิต\nหมอกพรากลมหายใจ ลดอัตราการ ฟื้นฟูพลังชีวิต ของคุณ","怪物回復生命\n窒息之霧減少你的生命回復",18,"",0
27,"GenericLife5",5088,100,78,100,1690,[120],[2],[36708],[1],"[100,100,100,100]",5100,1242,6,[7573],"Suppressive","Asphyxiant","Unterdrückend","回復抑制の","억압하는","Supressivo","<if:MS>{Подавляющий}<elif:MP>{Подавляющие}<else>{Подавляющий}","Supresor","Suppressive","抑制","Monsters Regenerate Life \nSmothering Mist lowers your Life Regeneration","La Vie des Monstres se Régénère \nRépand une Brume étouffante qui réduit votre Régénération de Vie","Monster regenerieren Leben\nErstickender Dunst verringert Eure Lebensregeneration","モンスターのライフが自動回復する \n絞め殺す霧によりプレイヤーのライフ自動回復が低くなる","몬스터가 생명력 재생\n질식 안개로 인해 플레이어의 생명력 재생 감소","Monstros Regeneram Vida \nNévoa Suavizante reduz sua Regeneração de Vida","Монстры регенерируют здоровье \nУдушающий туман снижает вашу регенерацию здоровья","Los monstruos regeneran vida \nLa Niebla asfixiante reduce tu regeneración de vida","มอนสเตอร์ ฟื้นฟูพลังชีวิต\nหมอกพรากลมหายใจ ลดอัตราการ ฟื้นฟูพลังชีวิต ของคุณ","怪物回復生命\n窒息之霧減少你的生命回復",18,"",0
28,"GenericEnergyShield1",5095,100,10,24,1689,[30],[4],[36708],[1],"[100,100,100,100]",5098,1242,4,[7574],"Ensconced","Préservé","Umhüllt","保護の","자리 잡은","Abrigado","<if:MS>{Укрытый}<elif:MP>{Укрытые}<else>{Укрытый}","Acomodado","Ensconced","安逸","Monsters gain extra Energy Shield based on Life \nAltar restores monster Energy Shield","Les Monstres gagnent un bonus de Bouclier d'énergie en fonction de leur Vie \nRestaure le Bouclier d'énergie des Monstres","Monster erhalten zusätzlichen Energieschild basierend auf ihrem Leben\nAltar stellt Energieschild von Monstern wieder her","モンスターはライフに基づいて追加のエナジーシールドを獲得する \n祭壇がモンスターのエナジーシールドを回復する","몬스터가 생명력에 비례하여 추가 에너지 보호막 획득 \n제단이 몬스터 에너지 보호막 회복","Monstros ganham Escudo de Energia extra baseado na Vida\nAltar recupera o Escudo de Energia dos monstros","Монстры приобретают дополнительный энергетический щит в зависимости от здоровья \nАлтарь восполняет монстрам энергетический щит","Los monstruos ganan escudo de energía extra basado en la vida \nEl altar restaura el escudo de energía de los monstruos","มอนสเตอร์ ได้รับ โล่พลังงาน เพิ่มเติม โดยขึ้นอยู่กับ พลังชีวิตของมัน\nแท่นบูชา รักษาพลังชีวิต ของมอนสเตอร์","怪物根據生命獲得額外能量護盾\n神壇回復怪物能量護盾",23,"",0
29,"GenericEnergyShield2",5095,100,25,45,1689,[35],[4],[36708],[1],"[100,100,100,100]",5098,1242,5,[7574],"Ensconced","Préservé","Umhüllt","保護の","자리 잡은","Abrigado","<if:MS>{Укрытый}<elif:MP>{Укрытые}<else>{Укрытый}","Acomodado","Ensconced","安逸","Monsters gain extra Energy Shield based on Life \nAltar restores monster Energy Shield","Les Monstres gagnent un bonus de Bouclier d'énergie en fonction de leur Vie \nRestaure le Bouclier d'énergie des Monstres","Monster erhalten zusätzlichen Energieschild basierend auf ihrem Leben\nAltar stellt Energieschild von Monstern wieder her","モンスターはライフに基づいて追加のエナジーシールドを獲得する \n祭壇がモンスターのエナジーシールドを回復する","몬스터가 생명력에 비례하여 추가 에너지 보호막 획득 \n제단이 몬스터 에너지 보호막 회복","Monstros ganham Escudo de Energia extra baseado na Vida\nAltar recupera o Escudo de Energia dos monstros","Монстры приобретают дополнительный энергетический щит в зависимости от здоровья \nАлтарь восполняет монстрам энергетический щит","Los monstruos ganan escudo de energía extra basado en la vida \nEl altar restaura el escudo de energía de los monstruos","มอนสเตอร์ ได้รับ โล่พลังงาน เพิ่มเติม โดยขึ้นอยู่กับ พลังชีวิตของมัน\nแท่นบูชา รักษาพลังชีวิต ของมอนสเตอร์","怪物根據生命獲得額外能量護盾\n神壇回復怪物能量護盾",23,"",0
30,"GenericEnergyShield3",5095,100,46,67,1689,[40],[4],[36708],[1],"[100,100,100,100]",5098,1242,5,[7574],"Ensconced","Préservé","Umhüllt","保護の","자리 잡은","Abrigado","<if:MS>{Укрытый}<elif:MP>{Укрытые}<else>{Укрытый}","Acomodado","Ensconced","安逸","Monsters gain extra Energy Shield based on Life \nAltar restores monster Energy Shield","Les Monstres gagnent un bonus de Bouclier d'énergie en fonction de leur Vie \nRestaure le Bouclier d'énergie des Monstres","Monster erhalten zusätzlichen Energieschild basierend auf ihrem Leben\nAltar stellt Energieschild von Monstern wieder her","モンスターはライフに基づいて追加のエナジーシールドを獲得する \n祭壇がモンスターのエナジーシールドを回復する","몬스터가 생명력에 비례하여 추가 에너지 보호막 획득 \n제단이 몬스터 에너지 보호막 회복","Monstros ganham Escudo de Energia extra baseado na Vida\nAltar recupera o Escudo de Energia dos monstros","Монстры приобретают дополнительный энергетический щит в зависимости от здоровья \nАлтарь восполняет монстрам энергетический щит","Los monstruos ganan escudo de energía extra basado en la vida \nEl altar restaura el escudo de energía de los monstruos","มอนสเตอร์ ได้รับ โล่พลังงาน เพิ่มเติม โดยขึ้นอยู่กับ พลังชีวิตของมัน\nแท่นบูชา รักษาพลังชีวิต ของมอนสเตอร์","怪物根據生命獲得額外能量護盾\n神壇回復怪物能量護盾",23,"",0
31,"GenericEnergyShield4",5095,100,68,77,1689,[45],[4],[36708],[1],"[100,100,100,100]",5098,1242,6,[7574],"Ensconced","Préservé","Umhüllt","保護の","자리 잡은","Abrigado","<if:MS>{Укрытый}<elif:MP>{Укрытые}<else>{Укрытый}","Acomodado","Ensconced","安逸","Monsters gain extra Energy Shield based on Life \nAltar restores monster Energy Shield","Les Monstres gagnent un bonus de Bouclier d'énergie en fonction de leur Vie \nRestaure le Bouclier d'énergie des Monstres","Monster erhalten zusätzlichen Energieschild basierend auf ihrem Leben\nAltar stellt Energieschild von Monstern wieder her","モンスターはライフに基づいて追加のエナジーシールドを獲得する \n祭壇がモンスターのエナジーシールドを回復する","몬스터가 생명력에 비례하여 추가 에너지 보호막 획득 \n제단이 몬스터 에너지 보호막 회복","Monstros ganham Escudo de Energia extra baseado na Vida\nAltar recupera o Escudo de Energia dos monstros","Монстры приобретают дополнительный энергетический щит в зависимости от здоровья \nАлтарь восполняет монстрам энергетический щит","Los monstruos ganan escudo de energía extra basado en la vida \nEl altar restaura el escudo de energía de los monstruos","มอนสเตอร์ ได้รับ โล่พลังงาน เพิ่มเติม โดยขึ้นอยู่กับ พลังชีวิตของมัน\nแท่นบูชา รักษาพลังชีวิต ของมอนสเตอร์","怪物根據生命獲得額外能量護盾\n神壇回復怪物能量護盾",23,"",0
32,"GenericEnergyShield5",5095,100,78,100,1689,[50],[4],[36708],[1],"[100,100,100,100]",5098,1242,6,[7574],"Ensconced","Préservé","Umhüllt","保護の","자리 잡은","Abrigado","<if:MS>{Укрытый}<elif:MP>{Укрытые}<else>{Укрытый}","Acomodado","Ensconced","安逸","Monsters gain extra Energy Shield based on Life \nAltar restores monster Energy Shield","Les Monstres gagnent un bonus de Bouclier d'énergie en fonction de leur Vie \nRestaure le Bouclier d'énergie des Monstres","Monster erhalten zusätzlichen Energieschild basierend auf ihrem Leben\nAltar stellt Energieschild von Monstern wieder her","モンスターはライフに基づいて追加のエナジーシールドを獲得する \n祭壇がモンスターのエナジーシールドを回復する","몬스터가 생명력에 비례하여 추가 에너지 보호막 획득 \n제단이 몬스터 에너지 보호막 회복","Monstros ganham Escudo de Energia extra baseado na Vida\nAltar recupera o Escudo de Energia dos monstros","Монстры приобретают дополнительный энергетический щит в зависимости от здоровья \nАлтарь восполняет монстрам энергетический щит","Los monstruos ganan escudo de energía extra basado en la vida \nEl altar restaura el escudo de energía de los monstruos","มอนสเตอร์ ได้รับ โล่พลังงาน เพิ่มเติม โดยขึ้นอยู่กับ พลังชีวิตของมัน\nแท่นบูชา รักษาพลังชีวิต ของมอนสเตอร์","怪物根據生命獲得額外能量護盾\n神壇回復怪物能量護盾",23,"",0
33,"GenericCharges1",5094,100,33,45,1688,[],[4],"[4899,4900,4901]","[1,1,1]","[100,100,100,100]",5097,1242,5,[7575],"Charged","Chargé","Geladen","チャージの","충전된","Carregado","<if:MS>{Заряженный}<elif:MP>{Заряженные}<else>{Заряженный}","Cargado","Charged","充能","Monsters gain Endurance, Frenzy or Power Charges on Hit \nAltar charges up and Discharges monsters","Les Monstres gagnent une Charge d'endurance, de frénésie ou de pouvoir quand ils Touchent \nL'Autel donne des Charges aux Monstres et lance Décharge sur eux","Monster erhalten Widerstands-, Raserei oder Energie-Ladungen bei Treffer\nAltar lädt sich auf und entlädt Monster","モンスターはヒット時エンデュランス、フレンジーおよびパワーチャージを獲得する \n祭壇はモンスターにチャージを与えるか、ディスチャージする","몬스터가 적중 시 인내, 격분 또는 권능 충전 획득 \n제단이 충전하여 몬스터의 충전 방출","Monstros ganham Cargas de Tolerância, Frenesi ou Poder ao Acertar \nAltar é carregado e Descarrega monstros","Монстры получают заряд выносливости, ярости или энергии при нанесении удара \nАлтарь заряжает и Разряжает монстров","Los monstruos ganan cargas de aguante, de frenesí o de poder con cada golpe \nEl altar se carga y suelta descargas a los monstruos","มอนสเตอร์ ได้รับ Endurance, Frenzy หรือ Power Charge 1 ลูก เมื่อมันปะทะ\nแท่นบูชาคอย เพิ่มลูกพลัง และ ปลดปล่อยพลัง จากมอนสเตอร์","怪物擊中時獲得耐力、狂怒或暴擊球\n祭壇會充能和解放怪物",19,"",0
34,"GenericCharges2",5094,100,46,67,1688,[],[4],"[4899,4900,4901]","[1,1,1]","[100,100,100,100]",5097,1242,5,[7575],"Charged","Chargé","Geladen","チャージの","충전된","Carregado","<if:MS>{Заряженный}<elif:MP>{Заряженные}<else>{Заряженный}","Cargado","Charged","充能","Monsters gain Endurance, Frenzy or Power Charges on Hit \nAltar charges up and Discharges monsters","Les Monstres gagnent une Charge d'endurance, de frénésie ou de pouvoir quand ils Touchent \nL'Autel donne des Charges aux Monstres et lance Décharge sur eux","Monster erhalten Widerstands-, Raserei oder Energie-Ladungen bei Treffer\nAltar lädt sich auf und entlädt Monster","モンスターはヒット時エンデュランス、フレンジーおよびパワーチャージを獲得する \n祭壇はモンスターにチャージを与えるか、ディスチャージする","몬스터가 적중 시 인내, 격분 또는 권능 충전 획득 \n제단이 충전하여 몬스터의 충전 방출","Monstros ganham Cargas de Tolerância, Frenesi ou Poder ao Acertar \nAltar é carregado e Descarrega monstros","Монстры получают заряд выносливости, ярости или энергии при нанесении удара \nАлтарь заряжает и Разряжает монстров","Los monstruos ganan cargas de aguante, de frenesí o de poder con cada golpe \nEl altar se carga y suelta descargas a los monstruos","มอนสเตอร์ ได้รับ Endurance, Frenzy หรือ Power Charge 1 ลูก เมื่อมันปะทะ\nแท่นบูชาคอย เพิ่มลูกพลัง และ ปลดปล่อยพลัง จากมอนสเตอร์","怪物擊中時獲得耐力、狂怒或暴擊球\n祭壇會充能和解放怪物",19,"",0
35,"GenericCharges3",5094,100,68,77,1688,[],[4],"[4899,4900,4901]","[1,1,1]","[100,100,100,100]",5097,1242,6,[7575],"Charged","Chargé","Geladen","チャージの","충전된","Carregado","<if:MS>{Заряженный}<elif:MP>{Заряженные}<else>{Заряженный}","Cargado","Charged","充能","Monsters gain Endurance, Frenzy or Power Charges on Hit \nAltar charges up and Discharges monsters","Les Monstres gagnent une Charge d'endurance, de frénésie ou de pouvoir quand ils Touchent \nL'Autel donne des Charges aux Monstres et lance Décharge sur eux","Monster erhalten Widerstands-, Raserei oder Energie-Ladungen bei Treffer\nAltar lädt sich auf und entlädt Monster","モンスターはヒット時エンデュランス、フレンジーおよびパワーチャージを獲得する \n祭壇はモンスターにチャージを与えるか、ディスチャージする","몬스터가 적중 시 인내, 격분 또는 권능 충전 획득 \n제단이 충전하여 몬스터의 충전 방출","Monstros ganham Cargas de Tolerância, Frenesi ou Poder ao Acertar \nAltar é carregado e Descarrega monstros","Монстры получают заряд выносливости, ярости или энергии при нанесении удара \nАлтарь заряжает и Разряжает монстров","Los monstruos ganan cargas de aguante, de frenesí o de poder con cada golpe \nEl altar se carga y suelta descargas a los monstruos","มอนสเตอร์ ได้รับ Endurance, Frenzy หรือ Power Charge 1 ลูก เมื่อมันปะทะ\nแท่นบูชาคอย เพิ่มลูกพลัง และ ปลดปล่อยพลัง จากมอนสเตอร์","怪物擊中時獲得耐力、狂怒或暴擊球\n祭壇會充能和解放怪物",19,"",0
36,"GenericCharges4",5094,100,78,100,1688,[],[4],"[4899,4900,4901]","[1,1,1]","[100,100,100,100]",5097,1242,6,[7575],"Charged","Chargé","Geladen","チャージの","충전된","Carregado","<if:MS>{Заряженный}<elif:MP>{Заряженные}<else>{Заряженный}","Cargado","Charged","充能","Monsters gain Endurance, Frenzy or Power Charges on Hit \nAltar charges up and Discharges monsters","Les Monstres gagnent une Charge d'endurance, de frénésie ou de pouvoir quand ils Touchent \nL'Autel donne des Charges aux Monstres et lance Décharge sur eux","Monster erhalten Widerstands-, Raserei oder Energie-Ladungen bei Treffer\nAltar lädt sich auf und entlädt Monster","モンスターはヒット時エンデュランス、フレンジーおよびパワーチャージを獲得する \n祭壇はモンスターにチャージを与えるか、ディスチャージする","몬스터가 적중 시 인내, 격분 또는 권능 충전 획득 \n제단이 충전하여 몬스터의 충전 방출","Monstros ganham Cargas de Tolerância, Frenesi ou Poder ao Acertar \nAltar é carregado e Descarrega monstros","Монстры получают заряд выносливости, ярости или энергии при нанесении удара \nАлтарь заряжает и Разряжает монстров","Los monstruos ganan cargas de aguante, de frenesí o de poder con cada golpe \nEl altar se carga y suelta descargas a los monstruos","มอนสเตอร์ ได้รับ Endurance, Frenzy หรือ Power Charge 1 ลูก เมื่อมันปะทะ\nแท่นบูชาคอย เพิ่มลูกพลัง และ ปลดปล่อยพลัง จากมอนสเตอร์","怪物擊中時獲得耐力、狂怒或暴擊球\n祭壇會充能和解放怪物",19,"",0
37,"GenericFortify1",5088,100,33,45,1691,[-20],[0],[36708],[1],"[100,100,100,100]",5099,1242,5,[7576],"Fortressed","Fortifié","Verstärkt","要塞の","요새화된","Fortificado","<if:MS>{Укреплённый}<elif:MP>{Укреплённые}<else>{Укреплённый}","Fortificado","Fortressed","堡壘","Monsters take reduced Damage \nFortress Totems further reduce the damage Monsters take","Les Monstres ont une Réduction de Dégâts subis \nInvoque des Totems forteresse qui réduisent encore plus les Dégâts subis par les Monstres","Monster erleiden verringerten Schaden\nFestungstotems reduzieren den Schaden, den Monster erleiden, zusätzlich","モンスターが受けるダメージが減少する \n要塞のトーテムがモンスターが受けるダメージを更に減少させる","몬스터가 받는 피해 감소\n요새 토템이 몬스터가 받는 피해를 추가로 감소시킴","Monstros sofrem Dano reduzido \nTotens da Fortaleza reduzem o dano sofrido por Monstros","Монстры получают сниженный урон \nКрепостные тотемы ещё сильнее снижают получаемый монстрами урон","Los monstruos reciben daño reducido \nLos tótems fortificados reducen aún más el daño que reciben los monstruos","มอนสเตอร์ ได้รับความเสียหาย ลดลง\nโทเทมปราการ ลดความเสียหายที่มอนสเตอร์ได้รับลงไปอีก","怪物減少承受傷害\n堡壘圖騰進一步減少怪物承受傷害",22,"",0
38,"GenericFortify2",5088,100,46,67,1691,[-25],[0],[36708],[1],"[100,100,100,100]",5099,1242,5,[7576],"Fortressed","Fortifié","Verstärkt","要塞の","요새화된","Fortificado","<if:MS>{Укреплённый}<elif:MP>{Укреплённые}<else>{Укреплённый}","Fortificado","Fortressed","堡壘","Monsters take reduced Damage \nFortress Totems further reduce the damage Monsters take","Les Monstres ont une Réduction de Dégâts subis \nInvoque des Totems forteresse qui réduisent encore plus les Dégâts subis par les Monstres","Monster erleiden verringerten Schaden\nFestungstotems reduzieren den Schaden, den Monster erleiden, zusätzlich","モンスターが受けるダメージが減少する \n要塞のトーテムがモンスターが受けるダメージを更に減少させる","몬스터가 받는 피해 감소\n요새 토템이 몬스터가 받는 피해를 추가로 감소시킴","Monstros sofrem Dano reduzido \nTotens da Fortaleza reduzem o dano sofrido por Monstros","Монстры получают сниженный урон \nКрепостные тотемы ещё сильнее снижают получаемый монстрами урон","Los monstruos reciben daño reducido \nLos tótems fortificados reducen aún más el daño que reciben los monstruos","มอนสเตอร์ ได้รับความเสียหาย ลดลง\nโทเทมปราการ ลดความเสียหายที่มอนสเตอร์ได้รับลงไปอีก","怪物減少承受傷害\n堡壘圖騰進一步減少怪物承受傷害",22,"",0
39,"GenericFortify3",5088,100,68,77,1691,[-30],[0],[36708],[1],"[100,100,100,100]",5099,1242,6,[7576],"Fortressed","Fortifié","Verstärkt","要塞の","요새화된","Fortificado","<if:MS>{Укреплённый}<elif:MP>{Укреплённые}<else>{Укреплённый}","Fortificado","Fortressed","堡壘","Monsters take reduced Damage \nFortress Totems further reduce the damage Monsters take","Les Monstres ont une Réduction de Dégâts subis \nInvoque des Totems forteresse qui réduisent encore plus les Dégâts subis par les Monstres","Monster erleiden verringerten Schaden\nFestungstotems reduzieren den Schaden, den Monster erleiden, zusätzlich","モンスターが受けるダメージが減少する \n要塞のトーテムがモンスターが受けるダメージを更に減少させる","몬스터가 받는 피해 감소\n요새 토템이 몬스터가 받는 피해를 추가로 감소시킴","Monstros sofrem Dano reduzido \nTotens da Fortaleza reduzem o dano sofrido por Monstros","Монстры получают сниженный урон \nКрепостные тотемы ещё сильнее снижают получаемый монстрами урон","Los monstruos reciben daño reducido \nLos tótems fortificados reducen aún más el daño que reciben los monstruos","มอนสเตอร์ ได้รับความเสียหาย ลดลง\nโทเทมปราการ ลดความเสียหายที่มอนสเตอร์ได้รับลงไปอีก","怪物減少承受傷害\n堡壘圖騰進一步減少怪物承受傷害",22,"",0
