"rownum","RecipeId","Description","Description (French)","Description (German)","Description (Japanese)","Description (Korean)","Description (Portuguese)","Description (Russian)","Description (Spanish)","Description (Thai)","Description (Traditional Chinese)","CraftingItemClassCategoriesKeys","UnlockDescription","UnlockDescription (French)","UnlockDescription (German)","UnlockDescription (Japanese)","UnlockDescription (Korean)","UnlockDescription (Portuguese)","UnlockDescription (Russian)","UnlockDescription (Spanish)","UnlockDescription (Thai)","UnlockDescription (Traditional Chinese)","Rank","UnlockArea"
58,253,"Global Energy Shield - Rank 2","Bouclier d'énergie Global - Rang 2","Globaler Energieschild - Rang 2","グローバルエナジーシールド - ランク 2","에너지 보호막 재충전 - 2단계","Escudo de Energia Global - Rank 2","Глобальный энергетический щит - уровень 2","Escudo de energía global - Nivel 2","โล่พลังงาน ของตัวละคร - ระดับ 2","全域能量護盾－階級 2","[10,9,6]","","","","","","","","","","",2,1247
59,172,"Fire Damage - Rank 3","Dégâts de feu - Rang 3","Feuerschaden - Rang 3","火ダメージ - ランク 3","화염 피해 - 3단계","Dano de Fogo - Rank 3","Урон от огня - уровень 3","Daño de fuego - Nivel 3","ความเสียหาย ไฟ - ระดับ 3","火焰傷害－階級 3","[0,1,2,3]","","","","","","","","","","",3,1214
60,190,"Criticals - Rank 1","Critiques - Rang 1","Kritische Chance - Rang 1","クリティカル - ランク 1","치명타 - 1단계","Críticos - Rank 1","Критические - уровень 1","Críticos - Nivel 1","คริติคอล - ระดับ 1","暴擊－階級 1","[0,1,2,3,10,13]","","","","","","","","","","",1,1141
61,175,"Cold Damage - Rank 3","Dégâts de froid - Rang 3","Kälteschaden - Rang 3","冷気ダメージ - ランク 3","냉기 피해 - 3단계","Dano de Gelo - Rank 3","Урон от холода - уровень 3","Daño de hielo - Nivel 3","ความเสียหาย น้ำแข็ง - ระดับ 3","冰冷傷害－階級 3","[0,1,2,3]","","","","","","","","","","",3,1230
62,179,"Lightning Damage - Rank 3","Dégâts de foudre - Rang 3","Blitzschaden - Rang 3","雷ダメージ - ランク 3","번개 피해 - 3단계","Dano de Raio - Rank 3","Урон от молнии - уровень 3","Daño de rayo - Nivel 3","ความเสียหาย สายฟ้า - ระดับ 3","閃電傷害－階級 3","[0,1,2,3]","","","","","","","","","","",3,1237
63,198,"Special Defences - Rank 1","Défenses spéciales - Rang 1","Besondere Defensiven - Rang 1","特殊防御力 - ランク 1","특수 방어력 - 1단계","Defesas Especiais - Rank 1","Особые виды защиты - уровень 1","Defensas especiales - Nivel 1","ค่าป้องกันแบบพิเศษ - ระดับ 1","特殊防禦－階級 1","[6,4,5,7,8]","","","","","","","","","","",1,1249
64,157,"Mana Regen - Rank 2","Régénération de Mana - Rang 2","Manaregeneration - Rang 2","マナ自動回復 - ランク 2","마나 재생 -2단계","Regeneração de Mana - Rank 2","Регенерация маны - уровень 2","Regeneración de maná - Nivel 2","ฟื้นฟูมานา - ระดับ 2","魔力回復－階級 2","[0,1,2,3,9,10,4]","","","","","","","","","","",2,1248
65,165,"Damage over Time - Rank 2","Dégâts sur la Durée - Rang 2","Schaden über Zeit - Rang 2","継続ダメージ - ランク 2","지속 피해 - 2단계","Dano Degenerativo - Rank 2","Постепенный урон - уровень 2","Daño degenerativo - Nivel 2","ความเสียหายต่อเนื่อง - ระดับ 2","持續傷害－階級 2","[0,1,2,3]","","","","","","","","","","",2,1272
66,229,"Minions - Rank 2","Créatures - Rang 2","Kreaturen - Rang 2","ミニオン - ランク 2","소환수 - 2단계","Lacaios - Rank 2","Приспешники - уровень 2","Esbirros - Nivel 2","มิเนียน - ระดับ 2","召喚物－階級 2","[0,1,2,3,7,5,9,10]","","","","","","","","","","",2,1194
67,167,"Elemental Damage with Attacks - Rank 2","Dégâts élémentaires avec les Attaques - Rang 2","Elementarschaden mit Angriffen - Rang 2","アタック元素ダメージ - ランク 2","공격 시 원소 피해 - 2단계","Dano Elemental com Ataques - Rank 2","Урон от стихий атаками - уровень 2","Daño elemental con ataques - Nivel 2","ความเสียหาย ธาตุ ด้วยการโจมตี - ระดับ 2","元素攻擊傷害－階級 2","[0,1,2,3,9,10,11,13]","","","","","","","","","","",2,1215
68,194,"Ailment, Stun and Curse Mitigation - Rank 1","Atténuation des Altérations, des Étourdissements et des Malédictions - Rang 1","Minderung von Beeinträchtigungen, Betäuben und Flüchen - Rang 1","状態異常、スタンおよび呪い緩和 - ランク 1","상태 이상, 기절 및 저주 완화 - 1단계","Afecções, Atordoamentos e Mitigação de Maldições - Rank 1","Облегчение состояний, оглушения и проклятий - уровень 1","Mitigación de estados alterados, aturdimiento y maldiciones - Nivel 1","การบรรเทา สถานะเจ็บป่วย, สตัน, คำสาป - ระดับ 2","異常狀態、暈眩和詛咒減免－階級 1","[5,7,8,9,4,13]","","","","","","","","","","",1,73
69,189,"Defences - Rank 3","Défenses - Rang 3","Defensiven - Rang 3","防御力 - ランク 3","방어력 - 3단계","Defesas - Rank 3","Защита - уровень 3","Defensas - Nivel 3","ป้องกัน - ระดับ 3","防禦－階級 3","[6,8,7,5,4]","","","","","","","","","","",3,1170
70,252,"Global Energy Shield - Rank 1","Bouclier d'énergie Global - Rang 1","Globaler Energieschild - Rang 1","グローバルエナジーシールド - ランク 1","전체 에너지 보호막 - 1단계","Escudo de Energia Global - Rank 1","Глобальный энергетический щит - уровень 1","Escudo de energía global - Nivel 1","โล่พลังงาน ของตัวละคร - ระดับ 1","全域能量護盾－階級 1","[10,9]","","","","","","","","","","",1,1164
71,261,"Physical Damage - Rank 4","Dégâts physiques - Rang 4","Physischer Schaden - Rang 4","物理ダメージ - ランク 4","물리 피해 - 4단계","Dano Físico - Rank 4","Физический урон - уровень 4","Daño físico - Nivel 4","ความเสียหาย กายภาพ - ระดับ 4","物理傷害－階級 4","[0,1,2,3]","","","","","","","","","","",4,1271
72,262,"Spell Damage - Rank 4","Dégâts des Sorts - Rang 4","Zauberschaden - Rang 4","スペルダメージ - ランク 4","주문 피해 - 4단계","Dano Mágico - Rank 4","Урон от чар - уровень 4","Daño de hechizos - Nivel 4","ความเสียหาย เวท - ระดับ 4","法術傷害－階級 4","[0,1,2,3]","","","","","","","","","","",4,1233
73,109,"Attack and Cast Speed - Rank 3","Vitesse d'attaque et d'incantation - Rang 3","Angriffs- und Zaubergeschwindigkeit - Rang 3","アタックおよびキャストスピード - ランク 3","공격 및 시전 속도 - 3단계","Velocidade de Ataque e Conjuração - Rank 3","Скорость атаки и сотворения чар - уровень 3","Velocidades de ataque y lanzamiento de hechizos - Nivel 3","ความเร็วในการโจมตีและร่าย - ระดับ 3","攻擊和施放速度－階級 3","[0,1,2,3]","","","","","","","","","","",3,1154
74,153,"Life - Rank 5","Vie - Rang 5","Leben - Rang 5","ライフ - ランク 5","생명력 - 5단계","Vida - Rank 5","Здоровье - уровень 5","Vida - Nivel 5","พลังชีวิต - ระดับ 5","生命－階級 5",[6],"","","","","","","","","","",5,1128
75,154,"Leech - Rank 1","Drain - Rang 1","Raub - Rang 1","リーチ - ランク 1","흡수 -1단계","Dreno - Rank 1","Похищение - уровень 1","Absorción - Nivel 1","การดูด - ระดับ 1","偷取－階級 1","[0,1,2,3,7,9,10,13]","","","","","","","","","","",1,1103
76,155,"Leech - Rank 2","Drain - Rang 2","Raub - Rang 2","リーチ - ランク 2","흡수 -2단계","Dreno - Rank 2","Похищение - уровень 2","Absorción - Nivel 2","การดูด - ระดับ 2","偷取－階級 2","[0,1,2,3,7,10]","","","","","","","","","","",2,1140
77,182,"Chaos Damage - Rank 3","Dégâts de chaos - Rang 3","Chaosschaden - Rang 3","混沌ダメージ - ランク 3","카오스 피해 - 3단계","Dano de Caos - Rank 3","Урон хаосом - уровень 3","Daño de caos - Nivel 3","ความเสียหาย เคออส - ระดับ 3","混沌傷害－階級 3","[0,1,2,3]","","","","","","","","","","",3,1151
78,186,"Accuracy - Rank 3","Précision - Rang 3","Genauigkeit - Rang 3","命中力 - ランク 3","정확도 - 3단계","Precisão - Rank 3","Меткость - уровень 3","Precisión - Nivel 3","ความแม่นยำ - ระดับ 3","命中－階級 3","[0,1,2,3,4,7,5,9,10,13]","","","","","","","","","","",3,1156
79,226,"Reduced Damage over Time","Dégâts sur la durée réduits","Verringerter Schaden über Zeit","継続ダメージ軽減","지속 피해 감소","Redução de Dano Degenerativo","Уменьшение постепенного урона","Daño degenerativo reducido","ลดความเสียหายต่อเนื่องที่ได้รับ","減少持續傷害","[4,11]","","","","","","","","","","",0,1264
80,227,"Light Radius","Rayonnement lumineux","Lichtradius","光半径","시야 반경","Campo de Visão","Радиус обзора","Radio de iluminación","รัศมีแสง","光線範圍","[5,9]","","","","","","","","","","",0,1185
81,231,"Traps and Mines - Rank 2","Pièges et Mines - Rang 2","Fallen und Minen - Rang 2","トラップおよびマイン - ランク 2","덫 및 지뢰 - 2단계","Armadilhas e Minas - Rank 2","Ловушки и мины - уровень 2","Trampas y minas - Nivel 2","กับดักและทุ่นระเบิด - ระดับ 2","陷阱和地雷－階級 2","[0,1,2,3]","","","","","","","","","","",2,1220
82,254,"Criticals - Rank 3","Critiques - Rang 3","Kritische Chance - Rang 3","クリティカル - ランク 3","치명타 - 3단계","Críticos - Rank 3","Критические - уровень 3","Críticos - Nivel 3","คริติคอล - ระดับ 3","暴擊－階級 3","[0,1,2,3]","","","","","","","","","","",3,1197
83,255,"Minions - Rank 3","Créatures - Rang 3","Kreaturen - Rang 3","ミニオン - ランク 3","소환수 - 3단계","Lacaios - Rank 3","Приспешники - уровень 3","Esbirros - Nivel 3","มิเนียน - ระดับ 3","召喚物－階級 3","[0,1,2,3]","","","","","","","","","","",3,1205
84,249,"Prefixes cannot be Changed","Les Préfixes ne peuvent pas être changés","Präfixe können nicht verändert werden","プレフィックスは変化しない","접두어 변경 불가","Prefixos não podem ser Modificados","Нельзя изменять префиксы","No se pueden cambiar los prefijos","ม็อดพรีฟิกซ์ ไม่สามารถเปลี่ยนแปลงได้","前綴無法改變","[0,1,2,3,6,7,8,5,4,9,10,11,13]","","","","","","","","","","",0,1204
85,250,"Suffixes cannot be Changed","Les Suffixes ne peuvent pas être changés","Suffixe können nicht verändert werden","サフィックスは変化しない","접미어 변경 불가","Sufixos não podem ser Modificados","Нельзя изменять суффиксы","No se pueden cambiar los sufijos","ม็อดซัฟฟิกซ์ ไม่สามารถเปลี่ยนแปลงได้","後綴無法改變","[0,1,2,3,6,7,8,5,4,9,10,11,13]","","","","","","","","","","",0,1226
86,251,"Can have up to 3 Crafted Modifiers","Peut avoir jusqu'à 3 Mods d'artisanat","Kann über bis zu 3 angefertigte Modifikatoren verfügen","クラフトモッドを最大3個持つことができる","최대 3개의 제작 속성 부여 가능","Pode ter até 3 Modificadores Forjados","Можно получить до 3 ремесленных свойств","Puede tener hasta 3 mods. fabricados","มี ม็อดคราฟท์ ได้สูงสุด 3 อย่าง","至多可以有 3 個工藝詞綴","[0,1,2,3,6,7,8,5,4,9,10,11,13]","","","","","","","","","","",0,1192
87,247,"Cannot roll Attack Mods","Ne peut pas recevoir de Mods d'attaque","Kann keine Angriffsmodifikatoren annehmen","アタックモッドはロールされない","공격 속성 부여 불가","Não pode rolar Mods de Ataque","Нельзя получить свойства атак","No puede generar mods. de ataque","จะไม่ออกม็อด โจมตี","無法骰出攻擊詞綴","[0,1,2,3,6,7,8,5,4,9,10,11,13]","","","","","","","","","","",0,1161
88,248,"Cannot roll Caster Mods","Ne peut pas recevoir de Mods de sorts","Kann keine Zaubermodifikatoren annehmen","キャスターモッドはロールされない","시전 속성 부여 불가","Não pode rolar Mods de Conjuração","Нельзя получить свойства чар","No puede generar mods. de lanzador de hechizos","จะไม่ออกม็อด นักเวท","無法骰出法術詞綴","[0,1,2,3,6,7,8,5,4,9,10,11,13]","","","","","","","","","","",0,1119
89,223,"Trigger a Socketed Spell when you Use a Skill or Focus","Déclenche un Sort Enchâssé lorsque vous utilisez une Aptitude ou vous Focalisez","Löst einen eingefassten Zauber aus, wenn Ihr eine Fertigkeit oder Fokus benutzt","スキル使用またはフォーカス時にソケットされたスペルをトリガーする","스킬 또는 집중 사용 시 장착된 주문 발동","Aciona uma magia encaixada ao usar uma habilidade ou ao concentrar.","Вызывает срабатывание размещённых чар при использовании умения или когда вы сфокусированы","Activa un hechizo engarzado cuando usas una habilidad o un foco","ทริกเกอร์เวทที่ใส่เมื่อคุณใช้สกิลหรือตั้งสมาธิ","當你使用技能或法器時，觸發插槽中的法術","[0,2,1,3,5]","","","","","","","","","","",0,145
90,1495,"Life and Mana - Rank 4","Vie et Mana - Rang 4","Leben und Mana - Rang 4","ライフおよびマナ - ランク 4","생명력 및 마나 - 4단계","Vida e Mana - Ranque 4","Здоровье и мана - уровень 4","Vida y maná - Nivel 4","พลังชีวิตและมานา - ระดับ 4","生命和魔力－階級 4",[6],"","","","","","","","","","",4,1274
91,1496,"Movement Speed - Rank 4","Vitesse de déplacement - Rang 4","Bewegungsgeschwindigkeit - Rang 4","移動スピード - ランク 4","이동 속도 - 4단계","Velocidade de Movimento - Ranque 4","Скорость передвижения - уровень 4","Velocidad de movimiento - Nivel 4","ความเร็ว​ใน​การ​เคลื่อนที่ - ระดับ 4","移動速度－階級 4",[8],"","","","","","","","","","",4,1206
92,1497,"Soul Gain Prevention - Rank 1","Empêchement de gain d'Âmes - Rang 1","Kein-Seelenerhalt-Dauer - Rang 1","ソウル獲得不能 - ランク 1","영혼 획득 방지 - 1단계","Impedimento de Ganho de Almas - Ranque 1","Предотвращение получения душ - уровень 1","Prevención de obtención de almas - Nivel 1","สถานะห้ามเก็บวิญญาณ - ระดับ 1","停止獲得靈魂－階級 1","[5,6,7,8,4]","","","","","","","","","","",1,1235
93,1498,"Double Damage - Rank 1","Dégâts doublés - Rang 1","Doppelter Schaden - Rang 1","ダブルダメージ - ランク 1","피해 2배 - 1단계","Dano Dobrado - Ranque 1","Двойной урон - уровень 1","Daño doble - Nivel 1","ความเสียหายสองเท่า - ระดับ 1","兩倍傷害 - 階級 1","[0,1,2,3,4]","","","","","","","","","","",1,1209
94,1499,"Endurance Charges - Rank 1","Charges d'endurance - Rang 1","Widerstands-Ladungen - Rang 1","エンデュランスチャージ - ランク 1","인내 충전 - 1단계","Cargas de Tolerância - Ranque 1","Заряды выносливости - уровень 1","Cargas de aguante - Nivel 1","Endurance Charge - ระดับ 1","耐力球 - 階級 1","[9,10]","","","","","","","","","","",1,1241
95,1500,"Frenzy Charges - Rank 1","Charges de frénésie - Rang 1","Raserei-Ladungen - Rang 1","フレンジーチャージ - ランク 1","격분 충전 - 1단계","Cargas de Frenesi - Ranque 1","Заряды ярости - уровень 1","Cargas de frenesí - Nivel 1","Frenzy Charge - ระดับ 1","狂怒球 - 階級 1","[9,10]","","","","","","","","","","",1,1105
96,1501,"Power Charges - Rank 1","Charges de pouvoir - Rang 1","Energie-Ladungen - Rang 1","パワーチャージ - ランク 1","권능 충전 - 1단계","Cargas de Poder - Ranque 1","Заряды энергии - уровень 1","Cargas de poder - Nivel 1","Power Charge - ระดับ 1","暴擊球 - 階級 1","[9,10]","","","","","","","","","","",1,1188
97,1502,"Cooldowns - Rank 1","Temps de recharge - Rang 1","Abklingzeiten - Rang 1","クールダウン - ランク 1","재사용 대기시간 - 1단계","Tempos de Recarga - Ranque 1","Перезарядка - уровень 1","Tiempos de recarga - Nivel 1","คูลดาวน์ - ระดับ 1","冷卻時間 - 階級 1","[8,11]","","","","","","","","","","",1,1124
98,1503,"Conversions - Rank 1","Conversions - Rang 1","Umwandlungen - Rang 1","変換 - ランク 1","전환 - 1단계","Conversões - Ranque 1","Преобразования - уровень 1","Conversiones - Nivel 1","การแปลงความเสียหาย - ระดับ 1","轉換 - 階級 1",[7],"","","","","","","","","","",1,1146
99,1504,"Ailments - Rank 1","Altérations - Rang 1","Beeinträchtigungen - Rang 1","状態異常 - ランク 1","상태 이상 - 1단계","Afecções - Ranque 1","Состояния - уровень 1","Estados alterados - Nivel 1","สถานะเจ็บป่วย - ระดับ 1","異常狀態 - 階級 1","[0,1,2,3,10,9,8,5]","","","","","","","","","","",1,1106
100,1505,"Curses - Rank 1","Malédictions - Rang 1","Flüche - Rang 1","呪い - ランク 1","저주 - 1단계","Maldições - Ranque 1","Проклятия - уровень 1","Maldiciones - Nivel 1","คำสาป - ระดับ 1","詛咒 - 階級 1",[4],"","","","","","","","","","",1,1118
101,1506,"Support Gem Levels - Rank 1","Niveaux de Gemme de soutien - Rang 1","Stufen für Unterstützungsgemmen - Rang 1","サポートジェムレベル - ランク 1","보조 젬 레벨 - 1단계","Níveis de Gemas de Suporte - Ranque 1","Уровни камней поддержки - уровень 1","Niveles de gemas de asistencia - Nivel 1","เลเวลหินเสริม - ระดับ 1","輔助寶石等級 - 階級 1","[0,1,2,3,4]","","","","","","","","","","",1,1210
102,1507,"Totems - Rank 1","Totems - Rang 1","Totems - Rang 1","トーテム - ランク 1","토템 - 1단계","Totens - Ranque 1","Тотемы - уровень 1","Tótems - Nivel 1","โทเทม - ระดับ 1","圖騰 - 階級 1","[8,10]","","","","","","","","","","",1,1231
103,1508,"Damage - Rank 1","Dégâts - Rang 1","Schaden - Rang 1","ダメージ - ランク 1","피해 - 1단계","Dano - Ranque 1","Урон - уровень 1","Daño - Nivel 1","ความเสียหาย - ระดับ 1","傷害 - 階級 1","[9,11]","","","","","","","","","","",1,1165
104,1510,"Gem Quality - Rank 1","Qualité de Gemme - Rang 1","Qualität für Gemmen - Rang 1","ジェム品質 - ランク 1","젬 퀄리티 - 1단계","Qualidade de Gemas - Ranque 1","Качество камней - уровень 1","Calidad de las gemas - Nivel 1","ค่าคุณภาพหิน - ระดับ 1","寶石品質 - 階級 1","[0,1,2,3,4]","","","","","","","","","","",1,1096
105,1511,"Auras - Rank 1","Auras - Rang 1","Auren - Rang 1","オーラ - ランク 1","오라 - 1단계","Auras - Ranque 1","Ауры - уровень 1","Auras - Nivel 1","ออร่า - ระดับ 1","光環 - 階級 1",[6],"","","","","","","","","","",1,1202
106,1512,"Warcries - Rank 1","Cris de guerre - Rang 1","Kriegsschreie - Rang 1","ウォークライ - ランク 1","함성 - 1단계","Clamores - Ranque 1","Боевые кличи - уровень 1","Gritos de guerra - Nivel 1","คำราม - ระดับ 1","戰吼 - 階級 1",[5],"","","","","","","","","","",1,1107
107,1513,"Projectiles - Rank 1","Projectiles - Rang 1","Projektile - Rang 1","投射物 - ランク 1","투사체 - 1단계","Projéteis - Ranque 1","Снаряды - уровень 1","Proyectiles - Nivel 1","โพรเจกไทล์ - ระดับ 1","投射物 - 階級 1","[5,7]","","","","","","","","","","",1,1135
108,1514,"Melee - Rank 1","Mêlée - Rang 1","Nahkampf - Rang 1","近接 - ランク 1","근접 - 1단계","Corpo a Corpo - Ranque 1","Ближний бой - уровень 1","Cuerpo a cuerpo - Nivel 1","ประชิด - ระดับ 1","近戰 - 階級 1","[5,7]","","","","","","","","","","",1,1138
109,1515,"Area - Rank 1","Zone - Rang 1","Wirkungsbereich - Rang 1","範囲 - ランク 1","범위 - 1단계","Área - Ranque 1","Область - уровень 1","Área - Nivel 1","พื้นที่ - ระดับ 1","區域 - 階級 1","[5,7]","","","","","","","","","","",1,1265
110,1516,"Always Hits - Rank 1","Touche systématiquement - Rang 1","Trifft immer - Rang 1","常にヒット - ランク 1","항상 명중 - 1단계","Sempre Acertar - Ranque 1","Всегда попадает по цели - уровень 1","Siempre impacta - Nivel 1","ปะทะเสมอ - ระดับ 1","必定擊中 - 階級 1","[0,1,2,3]","","","","","","","","","","",1,1198
111,1517,"Rarity - Rank 1","Rareté - Rang 1","Seltenheit - Rang 1","レアリティ - ランク 1","희귀도 - 1단계","Raridade - Ranque 1","Редкость - уровень 1","Rareza - Nivel 1","ระดับความหายาก - ระดับ 1","稀有度 - 階級 1",[5],"","","","","","","","","","",1,1234
112,1518,"Brands - Rank 1","Symboles - Rang 1","Zeichen - Rang 1","ブランド - ランク 1","낙인 - 1단계","Marcas - Ranque 1","Клейма - уровень 1","Marcas - Nivel 1","ตราเวท - ระดับ 1","烙印 - 階級 1","[10,7]","","","","","","","","","","",1,1163
113,1519,"Avoidance and Attributes - Rank 1","Évitement et Attributs - Rang 1","Vermeidung und Attribute - Rang 1","無効化および能力値 - ランク 1","긴급회피 및 능력치 - 1단계","Anulação e Atributos - Ranque 1","Избегание и характеристики - уровень 1","Evitación y atributos - Nivel 1","การหลีกเลี่ยงและค่าคุณสมบัติ - ระดับ 1","避免及能力值 - 階級 1","[6,4]","","","","","","","","","","",1,1147
114,1520,"Elemental and Chaos Resistance - Rank 1","Résistances élémentaires et de chaos - Rang 1","Elementar- und Chaoswiderstand - Rang 1","元素および混沌耐性 - ランク 1","원소 및 카오스 저항 - 1단계","Resistência Elemental e ao Caos - Ranque 1","Сопротивления стихиям и хаосу - уровень 1","Resistencias elementales y de caos - Nivel 1","ค่าต้านทาน ธาตุและเคออส - ระดับ 1","元素和混沌抗性－階級 1","[6,8,7,5,4,10,9,11,13]","","","","","","","","","","",1,1196
115,1521,"When you Kill an Enemy - Rank 1","Lorsque vous tuez un ennemi - Rang 1","Bei Tötung eines Gegners - Rang 1","敵1体キル時 - ランク 1","적 처치 시 - 1단계","Ao Matar um Inimigo - Ranque 1","Когда вы убиваете врага - уровень 1","Cuando matas a un enemigo - Nivel 1","เมื่อคุณสังหารศัตรู - ระดับ 1","當你擊殺敵人時 - 階級 1","[0,1,2,3]","","","","","","","","","","",1,1117
116,1522,"Wolves on Kill - Rank 1","Loups en tuant - Rang 1","Wölfe bei Tötung - Rang 1","キル時狼 - ランク 1","처치 시 늑대 - 1단계","Lobos ao Matar - Ranque 1","Волки при убийстве - уровень 1","Lobos al matar - Nivel 1","หมาป่าเมื่อสังหาร - ระดับ 1","擊殺效果的狼 - 階級 1",[10],"","","","","","","","","","",1,1099
117,1523,"Fire as Extra Chaos - Rank 1","Feu sous forme de chaos - Rang 1","Feuer als extra Chaos - Rang 1","火を追加の混沌 - ランク 1","화염을 추가 카오스로 - 1단계","Fogo como Caos Adicional - Ranque 1","Урон от огня в виде дополнительного урона хаосом - уровень 1","Fuego como caos extra - Nivel 1","นำ ไฟ ไปเสริมเป็น เคออส - ระดับ 1","火焰傷害對應額外混沌傷害 - 階級 1","[0,1,2,3,4]","","","","","","","","","","",1,1095
118,1524,"Lightning as Extra Chaos  - Rank 1","Foudre sous forme de chaos - Rang 1","Blitz als extra Chaos - Rang 1","雷を追加の混沌 - ランク 1","번개를 추가 카오스로 - 1단계","Raio como Caos Adicional - Ranque 1","Урон от молнии в виде дополнительного урона хаосом - уровень 1","Rayo como caos extra - Nivel 1","นำ สายฟ้า ไปเสริมเป็น เคออส - ระดับ 1","閃電傷害對應額外混沌傷害  - 階級 1","[0,1,2,3,4]","","","","","","","","","","",1,1148
119,1525,"Cold as Extra Chaos - Rank 1","Froid sous forme de chaos - Rang 1","Kälte als extra Chaos - Rang 1","冷気を追加の混沌 - ランク 1","냉기를 추가 카오스로 - 1단계","Frio como Caos Adicional - Ranque 1","Урон от холода в виде дополнительного урона хаосом - уровень 1","Hielo como caos extra - Nivel 1","นำ น้ำแข็ง ไปเสริมเป็น เคออส - ระดับ 1","冰冷傷害對應額外混沌傷害 - 階級 1","[0,1,2,3,4]","","","","","","","","","","",1,1245
120,1526,"Physical as Extra Chaos - Rank 1","Physiques sous forme de chaos - Rang 1","Physisch als extra Chaos - Rang 1","物理を追加の混沌 - ランク 1","물리를 추가 카오스로 - 1단계","Físico como Caos Adicional - Ranque 1","Физический урон в виде дополнительного урона хаосом - уровень 1","Físico como caos extra - Nivel 1","นำ กายภาพ ไปเสริมเป็น เคออส - ระดับ 1","物理傷害對應額外混沌傷害 - 階級 1","[0,1,2,3,4]","","","","","","","","","","",1,1187
121,1527,"Mana Costs - Rank 1","Coûts en Mana - Rang 1","Manakosten - Rang 1","マナコスト - ランク 1","마나 소모 - 1단계","Custos de Mana - Ranque 1","Расход маны - уровень 1","Costos de maná - Nivel 1","ค่าใช้งานมานา - ระดับ 1","魔力消耗 - 階級 1","[9,10]","","","","","","","","","","",1,1183
122,1528,"Hybrid Elemental Damage - Rank 1","Dégâts éléméntaires hybrides - Rang 1","Hybrider Elementarschaden - Rang 1","ハイブリッド元素ダメージ - ランク 1","혼합 원소 피해 - 1단계","Dano Elemental Híbrido - Ranque 1","Смешанный урон от стихий - уровень 1","Daño elemental híbrido - Nivel 1","ความเสียหาย ธาตุ แบบผสม - ระดับ 1","混合元素傷害 - 階級 1","[4,9,13,10]","","","","","","","","","","",1,1162
123,1529,"Life and Defences - Rank 1","Vie et défenses - Rang 1","Leben und Defensiven - Rang 1","ライフおよび防御力 - ランク 1","생명력 및 방어력 - 1단계","Vida e Defesas - Ranque 1","Здоровье и защита - уровень 1","Vida y defensas - Nivel 1","พลังชีวิตและค่าป้องกัน - ระดับ 1","生命與防禦 - 階級 1","[6,4,5,7,8]","","","","","","","","","","",1,1152
124,1530,"Fire Damage over Time - Rank 1","Dégâts de feu sur la durée - Rang 1","Feuerschaden über Zeit - Rang 1","火継続ダメージ - ランク 1","지속 화염 피해 - 1단계","Dano de Fogo Degenerativo - Ranque 1","Постепенный урон от огня - уровень 1","Daño de fuego degenerativo - Nivel 1","ความเสียหาย ไฟ ต่อเนื่อง - ระดับ 1","火焰持續傷害 - 階級 1","[0,1,2,3]","","","","","","","","","","",1,1177
125,1531,"Cold Damage over Time - Rank 1","Dégâts de froid sur la durée - Rang 1","Kälteschaden über Zeit - Rang 1","冷気継続ダメージ - ランク 1","지속 냉기 피해 - 1단계","Dano de Frio Degenerativo - Ranque 1","Постепенный урон от холода - уровень 1","Daño de hielo degenerativo - Nivel 1","ความเสียหาย น้ำแข็ง ต่อเนื่อง - ระดับ 1","冰冷持續傷害 - 階級 1","[0,1,2,3]","","","","","","","","","","",1,1155
126,1532,"Chaos Damage over Time - Rank 1","Dégâts de chaos sur la durée - Rang 1","Chaosschaden über Zeit - Rang 1","混沌継続ダメージ - ランク 1","지속 카오스 피해 - 1단계","Dano de Caos Degenerativo - Ranque 1","Постепенный урон хаосом - уровень 1","Daño de caos degenerativo - Nivel 1","ความเสียหาย เคออส ต่อเนื่อง - ระดับ 1","混沌持續傷害 - 階級 1","[0,1,2,3]","","","","","","","","","","",1,1108
127,1533,"Physical Damage over Time - Rank 1","Dégâts physiques sur la durée - Rang 1","Physischer Schaden über Zeit - Rang 1","物理継続ダメージ - ランク 1","지속 물리 피해 - 1단계","Dano Físico Degenerativo - Ranque 1","Постепенный физический урон - уровень 1","Daño físico degenerativo - Nivel 1","ความเสียหาย กายภาพ ต่อเนื่อง - ระดับ 1","物理持續傷害 - 階級 1","[0,1,2,3]","","","","","","","","","","",1,1129
128,1534,"During Flask Effects - Rank 1","Durant les effets des Flacons - Rang 1","Während Fläschchenwirkung - Rang 1","フラスコ効果中 - ランク 1","플라스크 효과를 받는 동안 - 1단계","Durante Efeitos de Frascos - Ranque 1","Во время действия эффекта флакона - уровень 1","Durante los efectos de frasco - Nivel 1","ขณะที่มีผลของขวดยา - ระดับ 1","藥劑效果期間 - 階級 1","[12,7]","","","","","","","","","","",1,1111
129,1535,"Nearby Unique or Rares - Rank 1","Rares ou Uniques à proximité - Rang 1","Einzigartige oder seltene Gegner im Umkreis - Rang 1","ユニークまたはレアの近く - ランク 1","주변의 고유 또는 희귀 - 1단계","Únicos ou Raros Próximos - Ranque 1","Вблизи редких и уникальных врагов - уровень 1","Únicos o raros cercanos - Nivel 1","มอนสเตอร์ยูนิคหรือแรร์ที่อยู่ใกล้ - ระดับ 1","附近的傳奇或稀有怪物 - 階級 1","[0,1,2,3,6,11]","","","","","","","","","","",1,1219
