"rownum","Id","Text","Text (French)","Text (German)","Text (Japanese)","Text (Korean)","Text (Portuguese)","Text (Russian)","Text (Spanish)","Text (Thai)","Text (Traditional Chinese)","BackgroundImage","i32_24","f32_28","f32_32","string_36","string_44","ForegroundImage","OGGFile","QuestFlag","i32_84","string_88","string_88 (French)","string_88 (German)","string_88 (Japanese)","string_88 (Korean)","string_88 (Portuguese)","string_88 (Russian)","string_88 (Spanish)","string_88 (Thai)","string_88 (Traditional Chinese)","bool_96"
33,"SanctumMerchantUnlocked","Divinia can appear within the Sanctum as a Merchant","Divinia peut apparaître dans le Sanctuaire en tant que Marchand","Divinia kann im Sanctum als Händler erscheinen","ディヴィニアがサンクタム内で商人として出現するようになりました","디비니아가 성역에 상인으로 등장합니다","Divinia pode aparecer no Santuário como um Mercador","Дивиния может появиться внутри Святилища в качестве торговца","Divinia ya puede aparecer en el Santuario como mercader","ดีวีเนีย สามารถปรากฏเป็น แม่ค้า ในเทวสถานได้แล้ว","狄薇妮雅可以商人身分出現於聖域","Art/2DArt/UIImages/InGame/Sanctum/SanctumRewardBackground",1029,3,2,"","","Art/2DArt/UIImages/InGame/Sanctum/SanctumRewardIconsMerchant","Audio/Sound Effects/UI/Atlas/Citadel.ogg","",0,"","","","","","","","","","",""
34,"SanctumPactsUnlocked","Accursed Pacts can appear within the Sanctum","Les Pactes maudits peuvent apparaître dans le Sanctuaire","Verfluchte Pakte können im Sanktum erscheinen","呪われた契約がサンクタム内で出現するようになりました","저주의 맹약이 성역에 등장합니다","Pactos Amaldiçoados podem aparecer dentro do Santuário","Проклятый пакт может появиться внутри Святилища","Los pactos malditos ya pueden aparecer en el Santuario","สัญญาสามานย์ สามารถปรากฏในเทวสถานได้แล้ว","被詛咒的冥約可以出現於聖域","Art/2DArt/UIImages/InGame/Sanctum/SanctumRewardBackground",1031,3,2,"","","Art/2DArt/UIImages/InGame/Sanctum/SanctumRewardIconsPact","Audio/Sound Effects/UI/Atlas/Citadel.ogg","",0,"","","","","","","","","","",""
35,"HeistTrinketSlotUnlocked","Trinket Equipment Slot Unlocked","Emplacement d'équipement de Babioles débloqué","Schmuckstück-Platz freigeschaltet","トリンケットスロットがアンロックされました","장신구 장비 슬롯을 잠금 해제했습니다.","Espaço de Equipamento Adornal Desbloqueado","Разблокирована ячейка для украшения","Espacio de equipamiento de abalorio desbloqueado","ปลดล็อก ช่องเครื่องประดับโจร แล้ว","已解鎖飾品裝備欄位","Art/2DArt/UIImages/InGame/GenericRewardBackground",1911,3,2,"","","Art/2DArt/UIImages/InGame/HeistTrinketAwardDisplay","Audio/Sound Effects/UI/Atlas/Citadel.ogg",2187,0,"","","","","","","","","","",1
36,"NecropolisLockerUnlocked","Necropolis Locker decoration now available in your Hideout","Nouvelle décoration disponible dans votre Repaire :\nCasier de la Nécropole","Die Necropolis-Truhe ist jetzt in deinem Versteck verfügbar","ネクロポリスロッカー装飾品が隠れ家で利用可能になりました","이제 매장지 사물함 장식을 은신처에서 사용할 수 있습니다.","A decoração Armazém da Necrópole já está disponível no seu Refúgio","Декоративный сундук Некрополя теперь доступен в вашем убежище","La decoración Mausoleo de Necropolis está disponible en tu guarida","ของตกแต่ง ล็อกเกอร์มหาสุสาน (Necropolis Locker) สามารถใช้ได้ในที่ซ่อนของคุณแล้ว","魔影墓場鎖櫃現在可以在你的藏身處中使用","Art/2DArt/UIImages/InGame/GenericRewardBackground",420,3,2,"","","Art/2DArt/UIImages/InGame/NecropolisStashDisplay","Audio/Sound Effects/UI/Atlas/Citadel.ogg","",0,"","","","","","","","","","",""
37,"AtlasPassiveAllocationSetUnlock1","Additional Atlas Skill Tree Unlocked","Arbre des talents de l'Atlas supplémentaire débloqué","Zusätzlicher Atlas-Fertigkeitenbaum freigeschaltet","追加のアトラススキルツリーがアンロックされました","추가 아틀라스 스킬 트리 잠금 해제","Árvore Passiva do Atlas Adicional Destravada","Разблокировано дополнительное древо умений Атласа","Has desbloqueado un árbol de habilidades del Atlas adicional","ปลดล็อก ตารางพาสซีฟแอตลาส เพิ่มเติมแล้ว","已解鎖新的輿圖天賦樹","Art/2DArt/UIImages/InGame/GenericRewardBackground",329,3,2,"","","Art/2DArt/UIImages/InGame/AdditionalAtlasTreeDisplay","Audio/Sound Effects/UI/Atlas/Upgrade.ogg","",0,"","","","","","","","","","",""
38,"AtlasPassiveAllocationSetUnlock2","Additional Atlas Skill Tree Unlocked","Arbre des talents de l'Atlas supplémentaire débloqué","Zusätzlicher Atlas-Fertigkeitenbaum freigeschaltet","追加のアトラススキルツリーがアンロックされました","추가 아틀라스 스킬 트리 잠금 해제","Árvore Passiva do Atlas Adicional Destravada","Разблокировано дополнительное древо умений Атласа","Has desbloqueado un árbol de habilidades del Atlas adicional","ปลดล็อก ตารางพาสซีฟแอตลาส เพิ่มเติมแล้ว","已解鎖新的輿圖天賦樹","Art/2DArt/UIImages/InGame/GenericRewardBackground",331,3,2,"","","Art/2DArt/UIImages/InGame/AdditionalAtlasTreeDisplay","Audio/Sound Effects/UI/Atlas/Upgrade.ogg","",0,"","","","","","","","","","",""
39,"NecropolisLanternUnlocked","Can now peer through the Lantern of Arimor at area transitions","Vous pouvez désormais regarder au travers de la Lanterne d'Arimor lors des transitions entre les zones","Ihr könnt nun bei Gebietsübergängen durch die Laterne von Arimor blicken","エリアの境界でアリモールのランタンを覗き込めるようになりました","이제 지역이 넘어가는 곳에서 아리모르의 등불을 들여다볼 수 있습니다.","Agora você pode olhar pela Lanterna de Arimor nas transiçoes entre áreas","Теперь вы можете всматриваться в Фонарь Аримора на входе в область","Ahora puedes mirar a través del Farol de Arimor en las transiciones de áreas","สามารถมองผ่าน ตะเกียงแห่งอริมอร์ ในจุดเชื่อมด่านได้แล้ว","現在可以在區域傳送門，使用阿里摩爾之燈窺視","Art/2DArt/UIImages/InGame/GenericRewardBackground",421,3,2,"","","Art/2DArt/UIImages/InGame/NecropolisStashDisplay","Audio/Sound Effects/UI/Atlas/Citadel.ogg","",0,"","","","","","","","","","",""
40,"SixthMapDeviceSlotUnlocked","You have unlocked an additional item slot on the Map Device","Vous avez débloqué un emplacement supplémentaire dans votre Dispositif cartographique","Du hast einen zusätzlichen Gegenstandsplatz im Kartenapparat freigeschaltet","マップデバイスで追加アイテムスロットが開かれました","지도 장치에서 추가 아이템 슬롯 1개를 해제했습니다","Você destravou um espaço de item adicional no Dispositivo de Mapas.","Вы разблокировали место для дополнительного предмета в Машине картоходца","Has desbloqueado un espacio para objeto adicional en el artefacto de mapas","คุณได้ปลดล็อกช่องใส่ไอเทมเพิ่ม\r\nในเครื่องเปิดแผนที่ของคุณแล้ว","你已解鎖地圖裝置上額外的物品欄","Art/2DArt/UIImages/InGame/GenericRewardBackground",7,3,2,"","","Art/2DArt/UIImages/InGame/GenericRewardMapDevice6","Audio/Sound Effects/UI/Atlas/Upgrade.ogg","",0,"","","","","","","","","","",""
41,"RecombinatorUnlocked","The Recombinator is now available in your Hideout.","Le Recombinateur est désormais disponible dans votre Repaire.","Der Rekombinator ist jetzt in deinem Versteck verfügbar","隠れ家でリコンビネーターで利用可能になりました","이제 재조합기를 은신처에서 사용할 수 있습니다.","O Recombinador já está disponível em seu refúgio.","Рекомбинатор теперь доступен в вашем убежище","El recombinador ya está disponible en tu guarida.","เครื่องผสม สามารถใช้ในที่ซ่อนของคุณได้แล้ว","重組裝置現已在你的藏身處開放使用。","Art/2DArt/UIImages/InGame/GenericRewardBackground",1578,3,2,"","","Art/2DArt/UIImages/InGame/RecombinatorToastDisplay","Audio/Sound Effects/UI/Atlas/Citadel.ogg","",0,"","","","","","","","","","",""
42,"GraftLockerUnlocked","Wombgift Locker decoration now available in your Hideout","Le Casier de Dons de la matrice est désormais disponible dans votre Repaire.","Die Fruchtkeim-Truhe ist jetzt in deinem Versteck verfügbar","母胎ギフトロッカー装飾品が隠れ家で利用可能になりました","이제 생명의 결실 사물함 장식을 은신처에서 사용할 수 있습니다.","A decoração \""Armário de Dádivas do Ventre\"" já está disponível em seu refúgio.","Декоративный сундук даров утробы теперь доступен в вашем убежище","La decoración Armario de regalos del vientre ya está disponible en tu guarida.","ของตกแต่ง ล็อกเกอร์ผลฝากครรภ์ (Wombgift Locker) สามารถใช้ได้ในที่ซ่อนของคุณแล้ว","胎贈鎖櫃現在可以在你的藏身處中使用","Art/2DArt/UIImages/InGame/GenericRewardBackground",533,3,2,"","","Art/2DArt/UIImages/InGame/BreachStashDisplay","Audio/Sound Effects/UI/Atlas/Citadel.ogg","",0,"","","","","","","","","","",""
43,"MercenaryHideoutMarkersUnlocked","Mercenary Banner decorations now available in your Hideout","Les décorations « Bannière de Mercenaire » sont désormais disponibles dans votre Repaire.","Söldner-Banner sind jetzt in deinem Versteck verfügbar","傭兵の旗装飾品が隠れ家で利用可能になりました","이제 용병 깃발 장식을 은신처에서 사용할 수 있습니다.","As decorações Estandarte do Mercenário já está disponível em seu refúgio","Декоративное знамя наёмника теперь доступно в вашем убежище","Las decoraciones de estandartes de mercenarios ya están disponibles en tu guarida","ของตกแต่ง ธงทหารรับจ้าง (Mercenary Banner) สามารถใช้ได้ในที่ซ่อนของคุณแล้ว","傭兵旗幟現在可以在你的藏身處中使用","Art/2DArt/UIImages/InGame/GenericRewardBackground",1819,3,2,"","","","Audio/Sound Effects/UI/Atlas/Citadel.ogg","",126,"","","","","","","","","","",""
44,"DeepwaterHubUpgrade1","+1 Allflame Lantern","+1 Lanterne d'Omniflamme","+1 Allflamme-Laterne","オールフレイムランタン +1","올플레임 등불 +1","ㅤ+1 Lanterna da Omnichama","+1 фонарь призрачного пламени","+1 farol de la llama eterna","ตะเกียงออลเฟลม +1","+1  不滅之火燈籠","Art/2DArt/UIImages/InGame/Deepwater/DeepwaterRewardBackground",1829,4,2,"","","Art/2DArt/UIImages/InGame/Deepwater/DeepwaterStashDisplay","Audio/Sound Effects/UI/Leagues/DeepwaterLeague/ProgressionBanner.ogg","",0,"","","","","","","","","","",""
45,"DeepwaterHubUpgrade2","20% Increased Dead Man's Sulphur Collected","20% d'Augmentation du Soufre des trépassés collecté","20% erhöhter gesammelter Totenschwefel","死人の硫黄獲得量が20%増加する","획득하는 망자의 유황 20% 증가","Enxofre do homem morto coletado aumentado em 20%","20% увеличение собираемой мертвецкой серы","Azufre de hombre muerto recolectado aumentado un 20%","เพิ่ม ซัลเฟอร์คนตาย ที่เก็บได้ 20%","增加 20% 收集的亡者硫酸量","Art/2DArt/UIImages/InGame/Deepwater/DeepwaterRewardBackground",1830,4,2,"","","Art/2DArt/UIImages/InGame/Deepwater/DeepwaterStashDisplay","Audio/Sound Effects/UI/Leagues/DeepwaterLeague/ProgressionBanner.ogg","",0,"","","","","","","","","","",""
46,"DeepwaterHubUpgrade3","20% Increased Quantity of Items Found in Charts and Voyages","20% d'Augmentation de la Quantité d'Objets trouvés dans les Cartes maritimes et les Traversées","20% erhöhte Menge gefundener Gegenstände in Seekarten und Seereisen","海図および航海で見つかるアイテムの数量が20%増加する","해도와 항해에서 발견하는 아이템의 수량 20% 증가","Quantidade de itens encontrados nas cartas náuticas e viagens aumentada em 20%","20% увеличение количества найденных предметов на морских картах и в вояжах","Cantidad de objetos que caen en las cartas de navegación y los viajes submarinos aumentada un 20%","เพิ่มจำนวนของ ไอเทม ที่พบใน ผังประดาน้ำและการผจญสมุทร 20%","增加 20% 海圖和航程中找到的物品數量","Art/2DArt/UIImages/InGame/Deepwater/DeepwaterRewardBackground",1831,4,2,"","","Art/2DArt/UIImages/InGame/Deepwater/DeepwaterStashDisplay","Audio/Sound Effects/UI/Leagues/DeepwaterLeague/ProgressionBanner.ogg","",0,"","","","","","","","","","",""
47,"DeepwaterHubUpgrade4","Essence Tiers have a chance to be higher and Strongboxes are at least Rare in Charts and Voyages","Dans les Cartes maritimes et les Traversées, les Paliers des Essences ont des chances d'être plus élevés et les Coffres-forts sont au moins Rares","Essenzen haben eine Chance auf höhere Level, und Tresore sind in Seekarten und Seereisen mindestens selten","海図および航海でエッセンスのティアが一定確率で高くなり、ストロングボックスは最低でもレアになる","해도와 항해의 정수가 일정 확률로 더 높은 등급으로 발견되고, 금고 희귀도가 희귀 이상","Os níveis de essência têm chance de ser mais altos, e as caixas-forte são, no mínimo, raras em cartas náuticas e viagens","Уровни Сущностей с некоторым шансом могут быть выше, а ларцы на морских картах и в вояжах как минимум редкие","Los grados de las esencias tienen una probabilidad de ser superiores, y las cajas fuertes son al menos raras en las cartas de navegación y los viajes submarinos","เอสเซนส์มีโอกาสมีระดับสูงขึ้น และแท่นบูชากับกล่องนิรภัยมีระดับอย่างน้อยแรร์ ในผังประดาน้ำและการผจญสมุทร","你的測繪和航程中出現的精髓有機率高一階級，且保險箱至少為稀有","Art/2DArt/UIImages/InGame/Deepwater/DeepwaterRewardBackground",1832,4,2,"","","Art/2DArt/UIImages/InGame/Deepwater/DeepwaterStashDisplay","Audio/Sound Effects/UI/Leagues/DeepwaterLeague/ProgressionBanner.ogg","",0,"","","","","","","","","","",""
48,"DeepwaterHubUpgrade5","Gain Adrenaline on Placing your Final Lantern\n20% increased Rarity of Items Found in Charts and Voyages","Vous obtenez Adrénaline lorsque vous placez votre dernière Lanterne\n20% d'Augmentation de la Rareté des Objets trouvés dans les Cartes maritimes et les Traversées","Erhalte Adrenalin, wenn du deine letzte Laterne platzierst\n20% erhöhte Seltenheit gefundener Gegenstände in Seekarten und Seereisen","最後のランタン設置時にアドレナリンを獲得する\n海図および航海で見つかるアイテムのレアリティが20%増加する","마지막 등불을 배치하면 아드레날린 획득\n해도와 항해에서 발견하는 아이템의 희귀도 20% 증가","Ganha Adrenalina ao colocar sua lanterna final\nRaridade de itens encontrados nas cartas náuticas e viagens aumentada em 20%","Дарует Адреналин после размещения последнего фонаря\n20% повышение редкости найденных предметов на морских картах и в вояжах","Ganas Adrenalina al colocar tu último farol\nRareza de los objetos encontrados en las cartas de navegación y los viajes submarinos aumentada un 20%","ได้รับสถานะ อะดรีนาลีน เมื่อคุณวางตะเกียงสุดท้าย\nเพิ่มระดับความหายากของ ไอเทม ที่พบใน ผังประดาน้ำและการผจญสมุทร 20%","放置最後一盞燈籠時獲得腎上腺素\n增加 20% 海圖和航程中找到的物品稀有度","Art/2DArt/UIImages/InGame/Deepwater/DeepwaterRewardBackground",1833,4,2,"","","Art/2DArt/UIImages/InGame/Deepwater/DeepwaterStashDisplay","Audio/Sound Effects/UI/Leagues/DeepwaterLeague/ProgressionBanner.ogg","",0,"","","","","","","","","","",""
49,"RandomContentNamelessSeer","Atlas Anomaly manifested\nRiver's End","Anomalie de l'Atlas manifestée\nLa Fin du fleuve","Atlas-Anomalie manifestiert\nFlussende","アトラスアノマリーが出現しました\n川の果て","아틀라스 이형 출현\n강의 끝자락","Anomalia do Atlas Manifestada\nFoz do Rio","Появилась аномалия Атласа\nОконечность реки","Ha aparecido una anomalía en el Atlas\nLa desembocadura del río","ด่านแปรปรวนปรากฏบนแอตลาส\nปลายแม่น้ำ","已顯化輿圖異常\n河口盡頭","Art/2DArt/UIImages/InGame/GenericRewardBackground",1836,3,2,"","","Art/2DArt/UIImages/InGame/AdditionalAtlasTreeDisplay","Audio/Sound Effects/UI/Atlas/Receive.ogg","",0,"","","","","","","","","","",""
50,"RandomContentPerandus","Atlas Anomaly manifested\nThe Manor Foyer","Anomalie de l'Atlas manifestée\nLe Foyer du Manoir","Atlas-Anomalie manifestiert\nDas Foyer des Herrenhauses","アトラスアノマリーが出現しました\n邸宅の大広間","아틀라스 이형 출현\n저택 현관","Anomalia do Atlas Manifestada\nSaguão da Mansão","Появилась аномалия Атласа\nФойе особняка","Ha aparecido una anomalía en el Atlas\nVestíbulo de la mansión","ด่านแปรปรวนปรากฏบนแอตลาส\nโถงคฤหาสน์","已顯化輿圖異常\n邸宅門廊","Art/2DArt/UIImages/InGame/GenericRewardBackground",1838,3,2,"","","Art/2DArt/UIImages/InGame/AdditionalAtlasTreeDisplay","Audio/Sound Effects/UI/Atlas/Receive.ogg","",0,"","","","","","","","","","",""
51,"RandomContentReflectingMist","Atlas Anomaly manifested\nLake Islet","Anomalie de l'Atlas manifestée\nÎlot lacustre","Atlas-Anomalie manifestiert\nSeeinsel","アトラスアノマリーが出現しました\n湖の小島","아틀라스 이형 출현\n호수 소도","Anomalia do Atlas Manifestada\nIlhota do Lago","Появилась аномалия Атласа\nРечной островок","Ha aparecido una anomalía en el Atlas\nEl islote del lago","ด่านแปรปรวนปรากฏบนแอตลาส\nเกาะกลางทะเลสาบ","已顯化輿圖異常\n湖中孤島","Art/2DArt/UIImages/InGame/GenericRewardBackground",1837,3,2,"","","Art/2DArt/UIImages/InGame/AdditionalAtlasTreeDisplay","Audio/Sound Effects/UI/Atlas/Receive.ogg","",0,"","","","","","","","","","",""
52,"RandomContentUniqueVaalSacrifice","Atlas Anomaly manifested\nThe Court of Chaos","Anomalie de l'Atlas manifestée\nLa Cour de Chaos","Atlas-Anomalie manifestiert\nDer Hof des Chaos","アトラスアノマリーが出現しました\nカオスの祭殿","아틀라스 이형 출현\n혼돈의 궁정","Anomalia do Atlas Manifestada\nA Corte do Caos","Появилась аномалия Атласа\nСуд Хаоса","Ha aparecido una anomalía en el Atlas\nLa corte de Caos","ด่านแปรปรวนปรากฏบนแอตลาส\nศาลเคออส","已顯化輿圖異常\n混沌之庭","Art/2DArt/UIImages/InGame/GenericRewardBackground",1839,3,2,"","","Art/2DArt/UIImages/InGame/AdditionalAtlasTreeDisplay","Audio/Sound Effects/UI/Atlas/Receive.ogg","",0,"","","","","","","","","","",""
53,"RandomContentVentorsStrongbox","Atlas Anomaly manifested\nGambling District","Anomalie de l'Atlas manifestée\nQuartier du pari","Atlas-Anomalie manifestiert\nDas Spielerviertel","アトラスアノマリーが出現しました\n賭博街","아틀라스 이형 출현\n도박 구역","Anomalia do Atlas Manifestada\nDistrito das Apostas","Появилась аномалия Атласа\nИгорный квартал","Ha aparecido una anomalía en el Atlas\nDistrito de apuestas","ด่านแปรปรวนปรากฏบนแอตลาส\nตรอกนักพนัน","已顯化輿圖異常\n博弈暗巷","Art/2DArt/UIImages/InGame/GenericRewardBackground",1842,3,2,"","","Art/2DArt/UIImages/InGame/AdditionalAtlasTreeDisplay","Audio/Sound Effects/UI/Atlas/Receive.ogg","",0,"","","","","","","","","","",""
54,"RandomContentVaalTraderJewellery","Atlas Anomaly manifested\nForgotten Shrine","Anomalie de l'Atlas manifestée\nSanctuaire oublié","Atlas-Anomalie manifestiert\nVergessener Schrein","アトラスアノマリーが出現しました\n忘れられた神殿","아틀라스 이형 출현\n잊혀진 성소","Anomalia do Atlas Manifestada\nAltar Esquecido","Появилась аномалия Атласа\nЗабытый алтарь","Ha aparecido una anomalía en el Atlas\nSantuario olvidado","ด่านแปรปรวนปรากฏบนแอตลาส\nแท่นบูชาโลกลืม","已顯化輿圖異常\n荒廢神殿","Art/2DArt/UIImages/InGame/GenericRewardBackground",1843,3,2,"","","Art/2DArt/UIImages/InGame/AdditionalAtlasTreeDisplay","Audio/Sound Effects/UI/Atlas/Receive.ogg","",0,"","","","","","","","","","",""
55,"RandomContentVaalTraderWeapons","Atlas Anomaly manifested\nForgotten Shrine","Anomalie de l'Atlas manifestée\nSanctuaire oublié","Atlas-Anomalie manifestiert\nVergessener Schrein","アトラスアノマリーが出現しました\n忘れられた神殿","아틀라스 이형 출현\n잊혀진 성소","Anomalia do Atlas Manifestada\nAltar Esquecido","Появилась аномалия Атласа\nЗабытый алтарь","Ha aparecido una anomalía en el Atlas\nSantuario olvidado","ด่านแปรปรวนปรากฏบนแอตลาส\nแท่นบูชาโลกลืม","已顯化輿圖異常\n荒廢神殿","Art/2DArt/UIImages/InGame/GenericRewardBackground",1844,3,2,"","","Art/2DArt/UIImages/InGame/AdditionalAtlasTreeDisplay","Audio/Sound Effects/UI/Atlas/Receive.ogg","",0,"","","","","","","","","","",""
56,"RandomContentVaalTraderArmour","Atlas Anomaly manifested\nForgotten Shrine","Anomalie de l'Atlas manifestée\nSanctuaire oublié","Atlas-Anomalie manifestiert\nVergessener Schrein","アトラスアノマリーが出現しました\n忘れられた神殿","아틀라스 이형 출현\n잊혀진 성소","Anomalia do Atlas Manifestada\nAltar Esquecido","Появилась аномалия Атласа\nЗабытый алтарь","Ha aparecido una anomalía en el Atlas\nSantuario olvidado","ด่านแปรปรวนปรากฏบนแอตลาส\nแท่นบูชาโลกลืม","已顯化輿圖異常\n荒廢神殿","Art/2DArt/UIImages/InGame/GenericRewardBackground",1845,3,2,"","","Art/2DArt/UIImages/InGame/AdditionalAtlasTreeDisplay","Audio/Sound Effects/UI/Atlas/Receive.ogg","",0,"","","","","","","","","","",""
57,"RandomContentBetrayalSafeHouseFortress","Atlas Anomaly manifested\nSyndicate Hideout","Anomalie de l'Atlas manifestée\nRepaire du Syndicat","Atlas-Anomalie manifestiert\nUnterschlupf des Syndikats","アトラスアノマリーが出現しました\nシンジケートの隠れ家","아틀라스 이형 출현\n연합의 은신처","Anomalia do Atlas Manifestada\nRefúgio do Sindicato","Появилась аномалия Атласа\nУбежище Синдиката","Ha aparecido una anomalía en el Atlas\nGuarida del Sindicato","ด่านแปรปรวนปรากฏบนแอตลาส\nที่ซ่อนองค์กร","已顯化輿圖異常\n密教藏匿處","Art/2DArt/UIImages/InGame/GenericRewardBackground",1846,3,2,"","","Art/2DArt/UIImages/InGame/AdditionalAtlasTreeDisplay","Audio/Sound Effects/UI/Atlas/Receive.ogg","",0,"","","","","","","","","","",""
58,"RandomContentBetrayalSafeHouseAssassins","Atlas Anomaly manifested\nSyndicate Hideout","Anomalie de l'Atlas manifestée\nRepaire du Syndicat","Atlas-Anomalie manifestiert\nUnterschlupf des Syndikats","アトラスアノマリーが出現しました\nシンジケートの隠れ家","아틀라스 이형 출현\n연합의 은신처","Anomalia do Atlas Manifestada\nRefúgio do Sindicato","Появилась аномалия Атласа\nУбежище Синдиката","Ha aparecido una anomalía en el Atlas\nGuarida del Sindicato","ด่านแปรปรวนปรากฏบนแอตลาส\nที่ซ่อนองค์กร","已顯化輿圖異常\n密教藏匿處","Art/2DArt/UIImages/InGame/GenericRewardBackground",1847,3,2,"","","Art/2DArt/UIImages/InGame/AdditionalAtlasTreeDisplay","Audio/Sound Effects/UI/Atlas/Receive.ogg","",0,"","","","","","","","","","",""
59,"RandomContentBetrayalSafeHouseCaravan","Atlas Anomaly manifested\nSyndicate Hideout","Anomalie de l'Atlas manifestée\nRepaire du Syndicat","Atlas-Anomalie manifestiert\nUnterschlupf des Syndikats","アトラスアノマリーが出現しました\nシンジケートの隠れ家","아틀라스 이형 출현\n연합의 은신처","Anomalia do Atlas Manifestada\nRefúgio do Sindicato","Появилась аномалия Атласа\nУбежище Синдиката","Ha aparecido una anomalía en el Atlas\nGuarida del Sindicato","ด่านแปรปรวนปรากฏบนแอตลาส\nที่ซ่อนองค์กร","已顯化輿圖異常\n密教藏匿處","Art/2DArt/UIImages/InGame/GenericRewardBackground",1848,3,2,"","","Art/2DArt/UIImages/InGame/AdditionalAtlasTreeDisplay","Audio/Sound Effects/UI/Atlas/Receive.ogg","",0,"","","","","","","","","","",""
60,"RandomContentBetrayalSafeHouseLaboratory","Atlas Anomaly manifested\nSyndicate Hideout","Anomalie de l'Atlas manifestée\nRepaire du Syndicat","Atlas-Anomalie manifestiert\nUnterschlupf des Syndikats","アトラスアノマリーが出現しました\nシンジケートの隠れ家","아틀라스 이형 출현\n연합의 은신처","Anomalia do Atlas Manifestada\nRefúgio do Sindicato","Появилась аномалия Атласа\nУбежище Синдиката","Ha aparecido una anomalía en el Atlas\nGuarida del Sindicato","ด่านแปรปรวนปรากฏบนแอตลาส\nที่ซ่อนองค์กร","已顯化輿圖異常\n密教藏匿處","Art/2DArt/UIImages/InGame/GenericRewardBackground",1849,3,2,"","","Art/2DArt/UIImages/InGame/AdditionalAtlasTreeDisplay","Audio/Sound Effects/UI/Atlas/Receive.ogg","",0,"","","","","","","","","","",""
61,"RandomContentBlueprintWing","Atlas Anomaly manifested\nPlanned Heist","Anomalie de l'Atlas manifestée\nCasse planifié","Atlas-Anomalie manifestiert\nGeplanter Raubüberfall","アトラスアノマリーが出現しました\n計画済みのハイスト","아틀라스 이형 출현\n계획된 강탈","Anomalia do Atlas Manifestada\nAssalto Planejado","Появилась аномалия Атласа\nСпланированное ограбление","Ha aparecido una anomalía en el Atlas\nAtraco programado","ด่านแปรปรวนปรากฏบนแอตลาส\nเหตุโจรกรรมตามแผน","已顯化輿圖異常\n已策劫盜","Art/2DArt/UIImages/InGame/GenericRewardBackground",1850,3,2,"","","Art/2DArt/UIImages/InGame/AdditionalAtlasTreeDisplay","Audio/Sound Effects/UI/Atlas/Receive.ogg","",0,"","","","","","","","","","",""
62,"RandomContentLogbook","Atlas Anomaly manifested\nUncharted Expedition","Anomalie de l'Atlas manifestée\nExpédition non cartographiée","Atlas-Anomalie manifestiert\nExpedition ins Unbekannte","アトラスアノマリーが出現しました\n未踏のエクスペディション","아틀라스 이형 출현\n미개척지 탐험","Anomalia do Atlas Manifestada\nExpedição Desconhecida","Появилась аномалия Атласа\nНеизведанная экспедиция","Ha aparecido una anomalía en el Atlas\nExpedición inexplorada","ด่านแปรปรวนปรากฏบนแอตลาส\nกองสำรวจนอกแผนที่","已顯化輿圖異常\n秘境探險","Art/2DArt/UIImages/InGame/GenericRewardBackground",1851,3,2,"","","Art/2DArt/UIImages/InGame/AdditionalAtlasTreeDisplay","Audio/Sound Effects/UI/Atlas/Receive.ogg","",0,"","","","","","","","","","",""
63,"RandomContentUntaintedParadise","Atlas Anomaly manifested\nUntainted Paradise","Anomalie de l'Atlas manifestée\nParadis immaculé","Atlas-Anomalie manifestiert\nUnberührtes Paradies","アトラスアノマリーが出現しました\n汚れなき楽園","아틀라스 이형 출현\n때묻지 않은 낙원","Anomalia do Atlas Manifestada\nParaíso Imaculado","Появилась аномалия Атласа\nНетронутый рай","Ha aparecido una anomalía en el Atlas\nParaíso prístino","ด่านแปรปรวนปรากฏบนแอตลาส\nเกาะสวรรค์ไร้มลทิน","已顯化輿圖異常\n純淨樂園","Art/2DArt/UIImages/InGame/GenericRewardBackground",1852,3,2,"","","Art/2DArt/UIImages/InGame/AdditionalAtlasTreeDisplay","Audio/Sound Effects/UI/Atlas/Receive.ogg","",0,"","","","","","","","","","",""
64,"RandomContentHarvestGrove","Atlas Anomaly manifested\nOvergrown Grove","Anomalie de l'Atlas manifestée\nBosquet embroussaillé","Atlas-Anomalie manifestiert\nVerwilderter Hain","アトラスアノマリーが出現しました\n生い茂った木立","아틀라스 이형 출현\n무성한 수목원","Anomalia do Atlas Manifestada\nBosque Fechado","Появилась аномалия Атласа\nЗаросшая роща","Ha aparecido una anomalía en el Atlas\nHuerto descuidado","ด่านแปรปรวนปรากฏบนแอตลาส\nสวนรกชัฏ","已顯化輿圖異常\n蔓生密園","Art/2DArt/UIImages/InGame/GenericRewardBackground",1853,3,2,"","","Art/2DArt/UIImages/InGame/AdditionalAtlasTreeDisplay","Audio/Sound Effects/UI/Atlas/Receive.ogg","",0,"","","","","","","","","","",""
