"rownum","Id","Base_ENVFile","Corrupted_ENVFiles","QuestFlag1","QuestFlag2","[i32]_64","EnvironmentTransitionsKey","PreloadGroup","bool_112","f32_113"
265,"9_5","Metadata/EnvironmentSettings/2_9_5.env",[],[],[],[],"","","",0
266,"9_6","Metadata/EnvironmentSettings/2_9_6.env",[],[],[],[],"","","",0
267,"9_7","Metadata/EnvironmentSettings/2_9_7.env",[],[],[],[],"","","",0
268,"9_8","Metadata/EnvironmentSettings/2_9_8.env",[],[],[],[],"","","",0
269,"9_8_synthesis","Metadata/EnvironmentSettings/2_9_8_synthesis.env",[],[],[],[],"","","",0
270,"9_8_boss","Metadata/EnvironmentSettings/2_9_8_boss.env",[],[],[],[],"","","",0
271,"9_8_boss_silent","Metadata/EnvironmentSettings/no_music.env",[],[],[],[],"","","",0
272,"9_9","Metadata/EnvironmentSettings/2_9_9.env",[],[],[],[],"","","",0
273,"9_10_1","Metadata/EnvironmentSettings/2_9_10_1.env",[],[],[],[],"","","",0
274,"9_10_2_zone1","Metadata/EnvironmentSettings/2_9_10_2_zone1.env",[],[],[],[],"","","",0
275,"9_10_2_zone2","Metadata/EnvironmentSettings/2_9_10_2_zone2.env",[],[],[],[],"","","",0
276,"9_10_2_zone3","Metadata/EnvironmentSettings/2_9_10_2_zone3.env",[],[],[],[],"","","",0
277,"9_10_2_zone4","Metadata/EnvironmentSettings/2_9_10_2_zone4.env",[],[],[],[],"","","",0
278,"9_10_2_zone5","Metadata/EnvironmentSettings/2_9_10_2_zone5.env",[],[],[],[],"","","",0
279,"9_10_2_zone6","Metadata/EnvironmentSettings/2_9_10_2_zone6.env",[],[],[],[],"","","",0
280,"9_10_2_zone7","Metadata/EnvironmentSettings/2_9_10_2_zone7.env",[],[],[],[],"","","",0
281,"9_SubareaRefinery","Metadata/EnvironmentSettings/2_9_SubareaRefinery.env",[],[],[],[],"","","",0
282,"10_town","Metadata/EnvironmentSettings/2_10_town.env",[],[],[],[],"","","",0
283,"10_1","Metadata/EnvironmentSettings/2_10_1.env",[],[],[],[],"","","",0
284,"10_2","Metadata/EnvironmentSettings/2_10_2.env",[],[],[],[],"","","",0
285,"10_3","Metadata/EnvironmentSettings/2_10_3.env",[],[],[],[],"","","",0
286,"10_4","Metadata/EnvironmentSettings/2_10_4.env",[],[],[],[],"","","",0
287,"10_4_boss","Metadata/EnvironmentSettings/2_10_4_boss.env",[],[],[],[],"","","",0
288,"10_4_boss_silent","Metadata/EnvironmentSettings/no_music.env",[],[],[],[],"","","",0
289,"10_5","Metadata/EnvironmentSettings/2_10_5.env","[""Metadata/EnvironmentSettings/2_10_6.env""]",[],[],[],0,"","",0
290,"10_6","Metadata/EnvironmentSettings/2_10_6.env",[],[],[],[],"","","",0
291,"10_7","Metadata/EnvironmentSettings/2_10_7.env",[],[],[],[],"","","",0
292,"10_8","Metadata/EnvironmentSettings/2_10_8.env",[],[],[],[],"","","",0
293,"10_9_start","Metadata/EnvironmentSettings/2_10_9_start.env",[],[],[],[],"","","",0
294,"10_9","Metadata/EnvironmentSettings/2_10_9.env",[],[],[],[],"","","",0
295,"10_kitava_arena","Metadata/EnvironmentSettings/2_10_kitava_arena.env",[],[],[],[],"","","",0
296,"11_town","Metadata/EnvironmentSettings/2_11_town.env",[],[],[],[],"","","",0
297,"11_shaper","Metadata/EnvironmentSettings/2_11_shaper_lab.env",[],[],[],[],"","","",0
298,"11_shaper_trailer","Metadata/EnvironmentSettings/2_11_shaper_lab_trailer.env",[],[],[],[],"","","",0
299,"11_1","Metadata/EnvironmentSettings/2_11_1.env",[],[],[],[],"","","",0
300,"11_courts","Metadata/EnvironmentSettings/2_11_courts.env",[],[],[],[],"","","",0
301,"11_2","Metadata/EnvironmentSettings/2_11_2.env",[],[],[],[],"","","",0
302,"11_reliquary","Metadata/EnvironmentSettings/2_11_reliquary.env",[],[],[],[],"","","",0
303,"11_endgame_town","Metadata/EnvironmentSettings/2_11_endgame_town.env",[],[],[],[],"","","",0
304,"11_endgame_town_underground","Metadata/EnvironmentSettings/2_11_endgame_town_underground.env","[""Metadata/EnvironmentSettings/2_11_endgame_town.env""]",[],[],[],0,"","",0
305,"SideBeach1","Metadata/EnvironmentSettings/SideBeach1.env",[],[],[],[],"","","",0
306,"SideCaves1","Metadata/EnvironmentSettings/SideCaves1.env",[],[],[],[],"","","",0
307,"SideCaves2","Metadata/EnvironmentSettings/SideCaves2.env",[],[],[],[],"","","",0
308,"SideCliff1","Metadata/EnvironmentSettings/SideCliff1.env",[],[],[],[],"","","",0
309,"SideLedge1","Metadata/EnvironmentSettings/SideLedge1.env",[],[],[],[],"","","",0
310,"SidePrison1","Metadata/EnvironmentSettings/SidePrison1.env",[],[],[],[],"","","",0
311,"SideForestCliff1","Metadata/EnvironmentSettings/SideForestCliff1.env",[],[],[],[],"","","",0
312,"SideThickforest1","Metadata/EnvironmentSettings/SideThickForest1.env",[],[],[],[],"","","",0
313,"SideForestCave1","Metadata/EnvironmentSettings/SideForestCave1.env",[],[],[],[],"","","",0
314,"SideForestCliff2","Metadata/EnvironmentSettings/SideForestCliff2.env",[],[],[],[],"","","",0
315,"SideChurch1","Metadata/EnvironmentSettings/SideChurch1.env",[],[],[],[],"","","",0
316,"SideChamber1","Metadata/EnvironmentSettings/SideChamber1.env",[],[],[],[],"","","",0
317,"SideThicket1","Metadata/EnvironmentSettings/SideThicket1.env",[],[],[],[],"","","",0
318,"SideInca1","Metadata/EnvironmentSettings/SideInca1.env",[],[],[],[],"","","",0
319,"SideChurch2","Metadata/EnvironmentSettings/SideChurch2.env",[],[],[],[],"","","",0
320,"SideDock1","Metadata/EnvironmentSettings/SideDock1.env",[],[],[],[],"","","",0
321,"SideGarden1","Metadata/EnvironmentSettings/SideGarden1.env",[],[],[],[],"","","",0
322,"SideTower1","Metadata/EnvironmentSettings/SideTower1.env",[],[],[],[],"","","",0
323,"SideJail1","Metadata/EnvironmentSettings/SideJail1.env",[],[],[],[],"","","",0
324,"SideLibrary1","Metadata/EnvironmentSettings/SideLibrary1.env",[],[],[],[],"","","",0
325,"SideScepter1","Metadata/EnvironmentSettings/SideScepter1.env",[],[],[],[],"","","",0
326,"SideSewer1","Metadata/EnvironmentSettings/SideSewer1.env",[],[],[],[],"","","",0
327,"SideTemple1","Metadata/EnvironmentSettings/SideTemple1.env",[],[],[],[],"","","",0
328,"SideTemple2","Metadata/EnvironmentSettings/SideTemple2.env",[],[],[],[],"","","",0
329,"SideLunarisPart2","Metadata/EnvironmentSettings/SideLunarisPart2.env",[],[],[],[],"","","",0
330,"SideWarehouse1","Metadata/EnvironmentSettings/SideWarehouse1.env",[],[],[],[],"","","",0
331,"SideWarehouse2","Metadata/EnvironmentSettings/SideWarehouse2.env",[],[],[],[],"","","",0
332,"SideWarehouse3","Metadata/EnvironmentSettings/SideWarehouse3.env",[],[],[],[],"","","",0
333,"SideSewer4","Metadata/EnvironmentSettings/SideSewer4.env",[],[],[],[],"","","",0
334,"SideChurch4","Metadata/EnvironmentSettings/SideChurch4.env",[],[],[],[],"","","",0
335,"SideCaves4","Metadata/EnvironmentSettings/SideCaves4.env",[],[],[],[],"","","",0
336,"SideMines4","Metadata/EnvironmentSettings/SideMines4.env",[],[],[],[],"","","",0
337,"SideDriedLake","Metadata/EnvironmentSettings/SideDriedLake.env",[],[],[],[],"","","",0
338,"SideAscent","Metadata/EnvironmentSettings/SideAscent.env",[],[],[],[],"","","",0
339,"SideUpperSlavePens","Metadata/EnvironmentSettings/SideUpperSlavePens.env",[],[],[],[],"","","",0
340,"SideOriathSquare","Metadata/EnvironmentSettings/SideOriathSquare.env",[],[],[],[],"","","",0
341,"SideOriathCanals","Metadata/EnvironmentSettings/SideOriathCanals.env",[],[],[],[],"","","",0
342,"SideTemplarCourts","Metadata/EnvironmentSettings/SideTemplarCourts.env",[],[],[],[],"","","",0
343,"SideTorchedCourts","Metadata/EnvironmentSettings/SideTorchedCourts.env",[],[],[],[],"","","",0
344,"SideInnocence","Metadata/EnvironmentSettings/SideInnocence.env",[],[],[],[],"","","",0
345,"SideOssuary","Metadata/EnvironmentSettings/SideOssuary.env",[],[],[],[],"","","",0
346,"SideReliquary","Metadata/EnvironmentSettings/SideReliquary.env",[],[],[],[],"","","",0
347,"SideCathedralRoof","Metadata/EnvironmentSettings/SideCathedralRoof.env",[],[],[],[],"","","",0
348,"SideRadiantPools","Metadata/EnvironmentSettings/SideRadiantPool.env",[],[],[],[],"","","",0
349,"SideRidge","Metadata/EnvironmentSettings/SideRidge.env",[],[],[],[],"","","",0
350,"SideScriptorium","Metadata/EnvironmentSettings/SideScriptorium.env",[],[],[],[],"","","",0
351,"SideCauseway","Metadata/EnvironmentSettings/SideCauseway.env",[],[],[],[],"","","",0
352,"SideSpiderGod","Metadata/EnvironmentSettings/SideSpiderGod.env",[],[],[],[],"","","",0
353,"SidePromenade","Metadata/EnvironmentSettings/SidePromenade.env",[],[],[],[],"","","",0
354,"SideBathHouse","Metadata/EnvironmentSettings/SideBathHouse.env",[],[],[],[],"","","",0
355,"SideDesert","Metadata/EnvironmentSettings/SideDesert.env",[],[],[],[],"","","",0
356,"SideFoothills","Metadata/EnvironmentSettings/SideFoothills.env",[],[],[],[],"","","",0
357,"SideRefinery","Metadata/EnvironmentSettings/SideRefinery.env",[],[],[],[],"","","",0
358,"SideBoilingLake","Metadata/EnvironmentSettings/SideBoilingLake.env",[],[],[],[],"","","",0
359,"SideLawlessCourts","Metadata/EnvironmentSettings/SideLawlessCourts.env",[],[],[],[],"","","",0
360,"SideFissure","Metadata/EnvironmentSettings/SideFissure.env",[],[],[],[],"","","",0
361,"SideGlacier","Metadata/EnvironmentSettings/SideGlacier.env",[],[],[],[],"","","",0
362,"SideIceForest","Metadata/EnvironmentSettings/SideIceForest.env",[],[],[],[],"","","",0
363,"LeagueAbyss","Metadata/EnvironmentSettings/LeagueAbyss.env",[],[],[],[],"","","",0
364,"LeagueAbyssBoss","Metadata/EnvironmentSettings/LeagueAbyssBoss.env",[],[],[],[],"","","",0
365,"LeagueBestiary_TigerBoss","Metadata/EnvironmentSettings/LeagueBestiary_TigerBoss.env",[],[],[],[],"","","",0
366,"LeagueBestiary_TigerBoss_Spirit","Metadata/EnvironmentSettings/LeagueBestiary_TigerBoss_Spirit.env",[],[],[],[],"","","",0
367,"LeagueBestiary_CrabBoss","Metadata/EnvironmentSettings/LeagueBestiary_CrabBoss.env",[],[],[],[],"","","",0
368,"LeagueBestiary_CrabBossCave","Metadata/EnvironmentSettings/LeagueBestiary_CrabBossCave.env",[],[],[],[],"","","",0
369,"LeagueBestiary_ScorpBossUpper","Metadata/EnvironmentSettings/LeagueBestiary_ScorpBossUpper.env",[],[],[],[],"","","",0
370,"LeagueBestiary_ScorpBossLower","Metadata/EnvironmentSettings/LeagueBestiary_ScorpBossLower.env",[],[],[],[],"","","",0
371,"LeagueBestiary_BirdsBoss","Metadata/EnvironmentSettings/LeagueBestiary_BirdsBoss.env",[],[],[],[],"","","",0
372,"Talisman_Rigwald","Metadata/EnvironmentSettings/Talisman_Rigwald.env",[],[],[],[],"","","",0
373,"Prophecy_PaleCourt","Metadata/EnvironmentSettings/Prophecy_PaleCourt.env",[],[],[],[],"","","",0
374,"Labyrinth_Airlock","Metadata/EnvironmentSettings/Labyrinth_Airlock.env",[],[],[],[],"","","",0
375,"Labyrinth_AirlockClean","Metadata/EnvironmentSettings/Labyrinth_AirlockClean.env",[],[],[],[],"","","",0
376,"Labyrinth_ElegantHouse","Metadata/EnvironmentSettings/Labyrinth_Eleganthouse.env",[],[],[],[],"","","",0
377,"Labyrinth_OutdoorHouse","Metadata/EnvironmentSettings/Labyrinth_OutdoorHouse.env",[],[],[],[],"","","",0
378,"Labyrinth_DryGarden","Metadata/EnvironmentSettings/Labyrinth_DryGarden.env",[],[],[],[],"","","",0
379,"Labyrinth_Crypt","Metadata/EnvironmentSettings/Labyrinth_Crypt.env",[],[],[],[],"","","",0
380,"Labyrinth_Prison","Metadata/EnvironmentSettings/Labyrinth_Prison.env",[],[],[],[],"","","",0
381,"Labyrinth_BossPlaza","Metadata/EnvironmentSettings/Labyrinth_Boss_Plaza.env",[],[],[],[],"","","",0
382,"Labyrinth_BossPre","Metadata/EnvironmentSettings/Labyrinth_Boss_Arena.env",[],[],[],[],"","","",0
383,"Labyrinth_BossEnv","Metadata/EnvironmentSettings/Labyrinth_Boss.env",[],[],[],[],"","","",0
384,"Labyrinth_BossSilent","Metadata/EnvironmentSettings/no_music.env",[],[],[],[],"","","",0
385,"Labyrinth_BossProphecy","Metadata/EnvironmentSettings/Labyrinth_Eleganthouse_prophecy.env",[],[],[],[],"","","",0
386,"Labyrinth_RuinedTemple","Metadata/EnvironmentSettings/Labyrinth_RuinedTemple.env",[],[],[],[],"","","",0
387,"MapManor_Perandus","Metadata/EnvironmentSettings/Map2Tier10_5Unique.env",[],[],[],[],"","","",0
388,"MapPlaza","Metadata/EnvironmentSettings/MapPlaza.env",[],[],[],[],"","","",0
389,"FFA","Metadata/EnvironmentSettings/FFA.env",[],[],[],[],"","","",0
390,"PvPBeach","Metadata/EnvironmentSettings/pvpBeach.env",[],[],[],[],"","","",0
391,"PvPForest","Metadata/EnvironmentSettings/pvpForest.env",[],[],[],[],"","","",0
392,"PvPChurch","Metadata/EnvironmentSettings/pvpChurch.env",[],[],[],[],"","","",0
393,"PvPPrison","Metadata/EnvironmentSettings/pvpPrison.env",[],[],[],[],"","","",0
394,"PvPSewers","Metadata/EnvironmentSettings/pvpSewers.env",[],[],[],[],"","","",0
395,"PvPSlums","Metadata/EnvironmentSettings/pvpSlums.env",[],[],[],[],"","","",0
396,"PvPDocks","Metadata/EnvironmentSettings/pvpDocks.env",[],[],[],[],"","","",0
397,"PvPBattlefront","Metadata/EnvironmentSettings/pvpBattlefront.env",[],[],[],[],"","","",0
398,"PvPColosseum","Metadata/EnvironmentSettings/pvpColosseum.env",[],[],[],[],"","","",0
399,"PvPTemple","Metadata/EnvironmentSettings/pvpTemple.env",[],[],[],[],"","","",0
400,"EndGameAcidCaverns","Metadata/EnvironmentSettings/EndgameAcidCavens.env",[],[],[],[],"","","",0
401,"EndGameAcidCaverns_synthesis","Metadata/EnvironmentSettings/EndgameAcidCavens_synthesis.env",[],[],[],[],"","","",0
402,"EndGameFields","Metadata/EnvironmentSettings/EndGameFields.env",[],[],[],[],"","","",0
403,"EndGameFields_boss","Metadata/EnvironmentSettings/EndGameFieldsBoss.env",[],[],[],[],"","","",0
404,"EndGameFields_boss_silent","Metadata/EnvironmentSettings/no_music.env",[],[],[],[],"","","",0
405,"EndGameAtlasPhoenix","Metadata/EnvironmentSettings/EndGameAtlasPhoenix.env",[],[],[],[],"","","",0
406,"EndGameAtlasPhoenix_Boss","Metadata/EnvironmentSettings/EndGameAtlasPhoenix_Boss.env",[],[],[],[],"","","",0
407,"EndGameAtlasPhoenix_End","Metadata/EnvironmentSettings/no_music.env",[],[],[],[],"","","",0
408,"EndGameAtlasHydra","Metadata/EnvironmentSettings/EndGameAtlasHydra.env",[],[],[],[],"","","",0
409,"EndGameAtlasHydra_Boss","Metadata/EnvironmentSettings/EndGameAtlasHydra_Boss.env",[],[],[],[],"","","",0
410,"EndGameAtlasHydra_End","Metadata/EnvironmentSettings/no_music.env",[],[],[],[],"","","",0
411,"EndGameAtlasMinotaur","Metadata/EnvironmentSettings/EndGameAtlasMinotaur.env",[],[],[],[],"","","",0
412,"EndGameAtlasMinotaur_Boss","Metadata/EnvironmentSettings/EndGameAtlasMinotaur_Boss.env",[],[],[],[],"","","",0
413,"EndGameAtlasMinotaur_End","Metadata/EnvironmentSettings/no_music.env",[],[],[],[],"","","",0
414,"EndGameAtlasChimera","Metadata/EnvironmentSettings/EndGameAtlasChimera.env",[],[],[],[],"","","",0
415,"EndGameAtlasChimera_Boss","Metadata/EnvironmentSettings/EndGameAtlasChimera_Boss.env",[],[],[],[],"","","",0
416,"EndGameAtlasChimera_End","Metadata/EnvironmentSettings/no_music.env",[],[],[],[],"","","",0
417,"EndGameAtlasShaper","Metadata/EnvironmentSettings/EndGameAtlasShaper.env",[],[],[],[],"","","",0
418,"EndGameAtlasShaper_Boss","Metadata/EnvironmentSettings/EndGameAtlasShaper_boss.env",[],[],[],[],"","","",0
419,"EndGameAtlasShaper_End","Metadata/EnvironmentSettings/no_music.env",[],[],[],[],"","","",0
420,"EndGameAtlasShaperPrison","Metadata/EnvironmentSettings/EndGameAtlasShaperPrison.env",[],[],[],[],"","","",0
421,"EndGameAtlasShaperPits","Metadata/EnvironmentSettings/EndGameAtlasShaperPits.env",[],[],[],[],"","","",0
422,"EndGameAtlasShaperForest","Metadata/EnvironmentSettings/EndGameAtlasShaperForest.env",[],[],[],[],"","","",0
423,"EndGameAtlasShaperBelly","Metadata/EnvironmentSettings/EndGameAtlasShaperBelly.env",[],[],[],[],"","","",0
424,"EndGameAtlasShaperHouse","Metadata/EnvironmentSettings/EndGameAtlasShaperHouse.env",[],[],[],[],"","","",0
425,"EndGameAtlasShaperDungeon","Metadata/EnvironmentSettings/EndGameAtlasShaperDungeon.env",[],[],[],[],"","","",0
426,"EndGameAtlasShaperSceptre","Metadata/EnvironmentSettings/EndGameAtlasShaperSceptre.env",[],[],[],[],"","","",0
427,"EndGameAtlasShaperBellyBosses","Metadata/EnvironmentSettings/EndGameAtlasShaperBellyBosses.env",[],[],[],[],"","","",0
428,"EndGameAtlasShaperShadowBoss","Metadata/EnvironmentSettings/EndGameAtlasShaperShadowBoss.env",[],[],[],[],"","","",0
429,"EndGameAtlasShaperMerveil","Metadata/EnvironmentSettings/EndGameAtlasShaperMerveil.env",[],[],[],[],"","","",0
430,"EndGameAtlasShaperPitBoss","Metadata/EnvironmentSettings/EndGameAtlasShaperPitBoss.env",[],[],[],[],"","","",0
431,"EndGameAtlasShaperRigwald","Metadata/EnvironmentSettings/EndGameAtlasShaperRigwald.env",[],[],[],[],"","","",0
432,"EndGameAtlasShaperBruteBoss","Metadata/EnvironmentSettings/EndGameAtlasShaperBruteBoss.env",[],[],[],[],"","","",0
433,"EndGameAtlasShaperGoddess","Metadata/EnvironmentSettings/EndGameAtlasShaperGoddess.env",[],[],[],[],"","","",0
434,"EndGameAtlasShaperKaom","Metadata/EnvironmentSettings/EndGameAtlasShaperKaom.env",[],[],[],[],"","","",0
435,"EndGameAtlasShaperAxisGeneral","Metadata/EnvironmentSettings/EndGameAtlasShaperAxisGeneral.env",[],[],[],[],"","","",0
436,"EndGameAtlasShaperWeaver","Metadata/EnvironmentSettings/EndGameAtlasShaperWeaver.env",[],[],[],[],"","","",0
437,"EndGameAtlasShaperSeaWitchSpark","Metadata/EnvironmentSettings/EndGameAtlasShaperSeaWitchSpark.env",[],[],[],[],"","","",0
438,"EndGameAtlasShaperSeaWitchFire","Metadata/EnvironmentSettings/EndGameAtlasShaperSeaWitchFire.env",[],[],[],[],"","","",0
439,"EndGameAtlasShaperPiety","Metadata/EnvironmentSettings/EndGameAtlasShaperPiety.env",[],[],[],[],"","","",0
440,"EndGamePortal","Metadata/EnvironmentSettings/EndGamePortal.env",[],[],[],[],"","","",0
441,"EndGamePrison1","Metadata/EnvironmentSettings/EndGamePrison.env",[],[],[],[],"","","",0
442,"EndGamePrison1_synthesis","Metadata/EnvironmentSettings/EndGamePrison_synthesis.env",[],[],[],[],"","","",0
443,"EndGameForest1","Metadata/EnvironmentSettings/EndGameForest.env",[],[],[],[],"","","",0
444,"EndGameForestUnderground","Metadata/EnvironmentSettings/EndGameForestUndergound.env",[],[],[],[],"","","",0
445,"EndGameReef","Metadata/EnvironmentSettings/EndGameReef.env",[],[],[],[],"","","",0
446,"EndGameReef_synthesis","Metadata/EnvironmentSettings/EndGameReef_synthesis.env",[],[],[],[],"","","",0
447,"EndGameReefPreboss","Metadata/EnvironmentSettings/EndGameReef_boss.env",[],[],[],[],"","","",0
448,"EndGameReefBoss","Metadata/EnvironmentSettings/EndGameReef_boss.env",[],[],[],[],"","","",0
449,"EndGameReefBoss_silent","Metadata/EnvironmentSettings/no_music.env",[],[],[],[],"","","",0
450,"EndGameLedge","Metadata/EnvironmentSettings/EndGameLedge.env",[],[],[],[],"","","",0
451,"EndGameLedge2","Metadata/EnvironmentSettings/EndGameLedge2.env",[],[],[],[],"","","",0
452,"EndGameLedge2_synthesis","Metadata/EnvironmentSettings/EndGameLedge2_synthesis.env",[],[],[],[],"","","",0
453,"EndGameSwampFetid","Metadata/EnvironmentSettings/EndGameSwampFetid.env",[],[],[],[],"","","",0
454,"EndGameSwampBog","Metadata/EnvironmentSettings/EndGameSwampBog.env",[],[],[],[],"","","",0
455,"EndGameSwampBog_synthesis","Metadata/EnvironmentSettings/EndGameSwampBog_synthesis.env",[],[],[],[],"","","",0
456,"EndGameSwampBog2","Metadata/EnvironmentSettings/EndGameSwampBog2.env",[],[],[],[],"","","",0
457,"EndGameCaveRiver","Metadata/EnvironmentSettings/EndGameCaveRiver.env",[],[],[],[],"","","",0
458,"EndGameCrystalOre","Metadata/EnvironmentSettings/EndGameCrystalOre.env",[],[],[],[],"","","",0
459,"EndGameCaveTunnels","Metadata/EnvironmentSettings/EndGameCaveTunnels.env",[],[],[],[],"","","",0
460,"EndGameRuinedTempleForest","Metadata/EnvironmentSettings/EndGameRuinedTempleForest.env",[],[],[],[],"","","",0
461,"EndGameOvergrownRuin_boss","Metadata/EnvironmentSettings/EndGameOvergrownRuinBoss.env",[],[],[],[],"","","",0
462,"EndGameOvergrownRuin_boss_silent","Metadata/EnvironmentSettings/no_music.env",[],[],[],[],"","","",0
463,"EndGameIncaPyramid","Metadata/EnvironmentSettings/EndGameIncaPyramid.env",[],[],[],[],"","","",0
464,"EndGameIncaVault","Metadata/EnvironmentSettings/EndGameIncaVault.env",[],[],[],[],"","","",0
465,"EndGameCovesIsland","Metadata/EnvironmentSettings/EndGameCovesIsland.env",[],[],[],[],"","","",0
466,"EndGameRockyClimb","Metadata/EnvironmentSettings/EndGameRockyClimb.env",[],[],[],[],"","","",0
467,"EndGameGraveyard","Metadata/EnvironmentSettings/EndGameGraveyard.env",[],[],[],[],"","","",0
468,"EndGameGraveyard_synthesis","Metadata/EnvironmentSettings/EndGameGraveyard_synthesis.env",[],[],[],[],"","","",0
469,"EndGameGraveyardInside","Metadata/EnvironmentSettings/EndGameGraveyardInside.env",[],[],[],[],"","","",0
470,"EndGameGraveyardBoss","Metadata/EnvironmentSettings/EndGameGraveyardBoss.env",[],[],[],[],"","","",0
471,"EndGameAct3church","Metadata/EnvironmentSettings/EndGameAct3church.env",[],[],[],[],"","","",0
472,"EndGameAct3church_synthesis","Metadata/EnvironmentSettings/EndGameAct3church_synthesis.env",[],[],[],[],"","","",0
473,"EndGameJail","Metadata/EnvironmentSettings/EndGameJail.env",[],[],[],[],"","","",0
474,"EndGameWaterfallCave","Metadata/EnvironmentSettings/EndGameWaterfallCave.env",[],[],[],[],"","","",0
475,"EndGameWaterfallCave_synthesis","Metadata/EnvironmentSettings/EndGameWaterfallCave_synthesis.env",[],[],[],[],"","","",0
476,"EndGameThicket","Metadata/EnvironmentSettings/EndGameThicket.env",[],[],[],[],"","","",0
477,"EndGameThicket_synthesis","Metadata/EnvironmentSettings/EndGameThicket_synthesis.env",[],[],[],[],"","","",0
478,"EndGamePoolsStreams","Metadata/EnvironmentSettings/EndGamePoolsStreams.env",[],[],[],[],"","","",0
479,"EndGamePoolsStreams_synthesis","Metadata/EnvironmentSettings/EndGamePoolsStreams_synthesis.env",[],[],[],[],"","","",0
480,"EndGameShipGraveyard","Metadata/EnvironmentSettings/EndGameShipGraveyard.env",[],[],[],[],"","","",0
481,"EndGameDunes","Metadata/EnvironmentSettings/EndGameTerraces.env",[],[],[],[],"","","",0
482,"EndGameDryForest","Metadata/EnvironmentSettings/EndGameDryForest.env",[],[],[],[],"","","",0
483,"EndGameAct2Church","Metadata/EnvironmentSettings/EndGameAct2Church.env",[],[],[],[],"","","",0
484,"EndGameAct2ChurchBoss","Metadata/EnvironmentSettings/EndGameAct2ChurchBoss.env",[],[],[],[],"","","",0
485,"EndGameSaltFlats","Metadata/EnvironmentSettings/EndGameSaltFlats.env",[],[],[],[],"","","",0
486,"EndGameDarkForest","Metadata/EnvironmentSettings/EndGameDarkForest.env",[],[],[],[],"","","",0
487,"EndGameDarkForest_synthesis","Metadata/EnvironmentSettings/EndGameDarkForest_synthesis.env",[],[],[],[],"","","",0
488,"EndGameSpiderGrove","Metadata/EnvironmentSettings/EndGameSpiderGrove.env",[],[],[],[],"","","",0
489,"EndGameSpiderGrove_synthesis","Metadata/EnvironmentSettings/EndGameSpiderGrove_synthesis.env",[],[],[],[],"","","",0
490,"EndGameSpiderLair","Metadata/EnvironmentSettings/EndGameSpiderLair.env",[],[],[],[],"","","",0
491,"EndGameSpiderLair_synthesis","Metadata/EnvironmentSettings/EndGameSpiderLair_synthesis.env",[],[],[],[],"","","",0
492,"EndGameSewers","Metadata/EnvironmentSettings/EndGameSewers.env",[],[],[],[],"","","",0
493,"EndGameSewers_synthesis","Metadata/EnvironmentSettings/EndGameSewers_synthesis.env",[],[],[],[],"","","",0
494,"EndGameBeachStrand","Metadata/EnvironmentSettings/EndGameBeachStrand.env",[],[],[],[],"","","",0
495,"EndGameIndustrialDocks","Metadata/EnvironmentSettings/EndGameIndustrialDocks.env",[],[],[],[],"","","",0
496,"EndGameColonnade","Metadata/EnvironmentSettings/EndGameColonnade.env",[],[],[],[],"","","",0
497,"EndGameDam","Metadata/EnvironmentSettings/EndGameDam.env",[],[],[],[],"","","",0
498,"EndGameWaterfallCaveSea","Metadata/EnvironmentSettings/EndGameWaterfallCaveSea.env",[],[],[],[],"","","",0
499,"EndGameCaveMine","Metadata/EnvironmentSettings/EndGameCaveMine.env",[],[],[],[],"","","",0
500,"EndGameCaveMine_synthesis","Metadata/EnvironmentSettings/EndGameCaveMine_synthesis.env",[],[],[],[],"","","",0
501,"EndGameCemetery","Metadata/EnvironmentSettings/EndGameCemetery.env",[],[],[],[],"","","",0
502,"EndGameCemetary_Prophecy","Metadata/EnvironmentSettings/EndGameCemetery_prophecy.env",[],[],[],[],"","","",0
503,"EndGameCemeteryIndoors","Metadata/EnvironmentSettings/EndGameCemeteryIndoors.env",[],[],[],[],"","","",0
504,"EndGameCemeteryIndoorsSilent","Metadata/EnvironmentSettings/no_music.env",[],[],[],[],"","","",0
505,"EndGameAshenWood","Metadata/EnvironmentSettings/EndGameDryForest2.env",[],[],[],[],"","","",0
506,"EndGameAshenWood_synthesis","Metadata/EnvironmentSettings/EndGameDryForest2_synthesis.env",[],[],[],[],"","","",0
507,"EndGameSewers2","Metadata/EnvironmentSettings/EndGameSewers.env",[],[],[],[],"","","",0
508,"EndGameSewers2Boss","Metadata/EnvironmentSettings/EndGameSewers2Boss.env",[],[],[],[],"","","",0
509,"EndGameForest2","Metadata/EnvironmentSettings/EndGameForest.env",[],[],[],[],"","","",0
510,"EndGameSpiderForest","Metadata/EnvironmentSettings/EndGameDarkForest.env",[],[],[],[],"","","",0
511,"EndGamePrison2","Metadata/EnvironmentSettings/EndGamePrison2.env",[],[],[],[],"","","",0
512,"EndGamePrison2_synthesis","Metadata/EnvironmentSettings/EndGamePrison2_synthesis.env",[],[],[],[],"","","",0
513,"EndGamePrimevalCity","Metadata/EnvironmentSettings/EndGamePrimevalCity.env",[],[],[],[],"","","",0
514,"EndGamePrimevalCityBoss","Metadata/EnvironmentSettings/EndGamePrimevalCityBoss.env",[],[],[],[],"","","",0
515,"EndGameJail2","Metadata/EnvironmentSettings/EndGameJail2.env",[],[],[],[],"","","",0
516,"EndGameIncaMaze","Metadata/EnvironmentSettings/EndGameIncaMaze.env",[],[],[],[],"","","",0
