"rownum","string_0","i32_8","i32_12","i32_16","[rid]_20","[i32]_36","string_52","undefined (French)","undefined (German)","undefined (Japanese)","undefined (Korean)","undefined (Portuguese)","undefined (Russian)","undefined (Spanish)","undefined (Thai)","undefined (Traditional Chinese)","rid_60","i32_76","undefined (French)","undefined (German)","undefined (Japanese)","undefined (Korean)","undefined (Portuguese)","undefined (Russian)","undefined (Spanish)","undefined (Thai)","undefined (Traditional Chinese)","i32_80","i32_84","u16_88"
72,"LightningPenetrationMid",0,0,0,[594],[10],"Lightning Penetration","Pénétration de la foudre","Durchdringender Blitz","雷耐性突破","번개 관통","Penetração de Raio","Пронизывающие молнии","Penetración de rayo","Lightning Penetration","閃電穿透",17,659726632,702062888,693281064,555000104,559325480,681353512,690659624,696820008,659202344,532324648,0,131072,0
73,"LightningPenetrationHigh",0,0,0,[594],[12],"Greater Lightning Penetration","Pénétration de la foudre majeure","Größerer durchdringender Blitz","雷耐性突破（大）","상위 번개 관통","Penetração de Raio Maior","Сильные пронизывающие молнии","Penetración de rayo mayor","Greater Lightning Penetration","高階閃電穿透",17,659712191,702048447,693266623,554985663,559311039,681339071,690645183,696805567,659187903,532310207,0,196608,0
74,"ArrowNovaHigh",0,0,0,"[1776,10517,10622,10944,173]","[1,1,1,1,3]","Arrow Nova","Nova de flèches","Pfeilnova","アローノヴァ","화살 산개","Nova de Flechas","Кольцо стрел","Nova de flechas","Arrow Nova","箭矢新星","",692380733,736158781,725935165,582280253,586474557,713614397,723313725,729343037,691856445,558949437,0,196608,0
75,"ExplosiveArrowSpecificMaxHigh",0,0,0,[11500],[2],"Gilded Maximum Explosions","Explosions maximales dorées","Goldene maximale Explosionen","金色の最大爆発","도금된 최대 폭발","Explosões Máximas Áureas","Позолоченный: Максимум взрывов","Explosiones doradas máximas","Gilded Maximum Explosions","鍍金爆炸上限","",41986006,42510294,42117078,35170262,35170262,41199574,42248150,42510294,41986006,34121686,0,196608,0
76,"VolcanicFissureSpecificRepeatHigh",0,0,0,[17309],[1],"Gilded Additional Fissures","Fissures supplémentaires dorées","Goldene zusätzliche Spalten","金色の亀裂追加","도금된 추가 균열","Fendas Adicionais Áureas","Позолоченный: Дополнительные разломы","Fisuras doradas adicionales","Gilded Additional Fissures","鍍金額外裂縫","",41946649,42470937,42077721,35130905,35130905,41160217,42208793,42470937,41946649,34082329,0,196608,0
77,"FirePenetrationLow",0,0,0,[592],[8],"Lesser Fire Penetration","Pénétration du feu mineure","Geringeres durchdringendes Feuer","火耐性突破（小）","하위 화염 관통","Penetração de Fogo Menor","Слабый пронизывающий жар","Penetración de fuego menor","Lesser Fire Penetration","低階火焰穿透",18,723825594,768914362,759083962,606909370,611627962,744797114,756855738,761574330,723301306,583054266,0,65536,0
78,"FirePenetrationMid",0,0,0,[592],[10],"Fire Penetration","Pénétration du feu","Durchdringendes Feuer","火耐性突破","화염 관통","Penetração de Fogo","Пронизывающий жар","Penetración de fuego","Fire Penetration","火焰穿透",18,723842469,768931237,759100837,606926245,611644837,744813989,756872613,761591205,723318181,583071141,0,131072,0
79,"FirePenetrationHigh",0,0,0,[592],[12],"Greater Fire Penetration","Pénétration du feu majeure","Größeres durchdringendes Feuer","火耐性突破（大）","상위 화염 관통","Penetração de Fogo Maior","Сильный пронизывающий жар","Penetración de fuego mayor","Greater Fire Penetration","高階火焰穿透",18,723834078,768922846,759092446,606917854,611636446,744805598,756864222,761582814,723309790,583062750,0,196608,0
80,"NonDamagingAilmentEffectLow",0,0,0,[6299],[30],"Lesser Ailment Effect","Effet des Altérations mineur","Geringere Wirkung von Beeinträchtigungen","状態異常効果（小）","하위 상태 이상 효과","Efeito de Afecção Menor","Слабый эффект состояний","Efecto de estados alterados menor","Lesser Ailment Effect","低階異常狀態效果",29,750923876,797454436,790114404,628895844,633876580,772419684,784478308,791031908,750399588,604516452,0,65536,0
81,"NonDamagingAilmentEffectMid",0,0,0,[6299],[40],"Ailment Effect","Effet des Altérations","Wirkung von Beeinträchtigungen","状態異常効果","상태 이상 효과","Efeito de Afecção","Эффект состояний","Efecto de estados alterados","Ailment Effect","異常狀態效果",29,750973460,797504020,790163988,628945428,633926164,772469268,784527892,791081492,750449172,604566036,0,131072,0
82,"NonDamagingAilmentEffectHigh",0,0,0,[6299],[50],"Greater Ailment Effect","Effet des Altérations majeur","Größere Wirkung von Beeinträchtigungen","状態異常効果（大）","상위 상태 이상 효과","Efeito de Afecção Maior","Сильный эффект состояний","Efecto de estados alterados mayor","Greater Ailment Effect","高階異常狀態效果",29,750944760,797475320,790135288,628916728,633897464,772440568,784499192,791052792,750420472,604537336,0,196608,0
83,"AddedColdLow",0,0,0,"[50,51]","[10,16]","Lesser Added Cold","Dégâts de froid supplémentaires mineurs","Geringerer zusätzlicher Kälteschaden","冷気追加（小）","하위 냉기 추가","Dano Adicional de Gelo Menor","Малый урон холодом","Hielo agregado menor","Lesser Added Cold","低階附加冰冷",26,778449677,829567757,824324877,652358413,657994509,801911565,812659469,822096653,777925389,627716877,0,65536,0
84,"AddedColdMid",0,0,0,"[50,51]","[33,49]","Added Cold","Dégâts de froid supplémentaires","Zusätzlicher Kälteschaden","冷気追加","냉기 추가","Dano Adicional de Gelo","Урон холодом","Hielo agregado","Added Cold","附加冰冷",26,778489366,829607446,824364566,652398102,658034198,801951254,812699158,822136342,777965078,627756566,0,131072,0
85,"AddedColdHigh",0,0,0,"[50,51]","[73,109]","Greater Added Cold","Dégâts de froid supplémentaires majeurs","Größerer zusätzlicher Kälteschaden","冷気追加（大）","상위 냉기 추가","Dano Adicional de Gelo Maior","Большой урон холодом","Hielo agregado mayor","Greater Added Cold","高階附加冰冷",26,778496702,829614782,824371902,652405438,658041534,801958590,812706494,822143678,777972414,627763902,0,196608,0
86,"AddedLightningLow",0,0,0,"[57,58]","[1,23]","Lesser Added Lightning","Dégâts de foudre supplémentaires mineurs","Geringerer zusätzlicher Blitzschaden","雷追加（小）","하위 번개 추가","Eletricidade Adicional Menor","Малый урон молнией","Rayo agregado menor","Lesser Added Lightning","Lesser Added Lightning",27,804949817,863932217,856723257,674533177,680693561,832081721,839159609,848990009,804425529,651857721,0,65536,0
87,"AddedLightningMid",0,0,0,"[57,58]","[4,75]","Added Lightning","Dégâts de foudre supplémentaires","Zusätzlicher Blitzschaden","雷追加","번개 추가","Eletricidade Adicionada","Урон молнией","Rayo agregado","Added Lightning","Added Lightning",27,804977435,863959835,856750875,674560795,680721179,832109339,839187227,849017627,804453147,651885339,0,131072,0
88,"AddedLightningHigh",0,0,0,"[57,58]","[9,168]","Greater Added Lightning","Dégâts de foudre supplémentaires majeurs","Größerer zusätzlicher Blitzschaden","雷追加（大）","상위 번개 추가","Eletricidade Adicional Maior","Большой урон молнией","Rayo agregado mayor","Greater Added Lightning","Greater Added Lightning",27,804953685,863936085,856727125,674537045,680697429,832085589,839163477,848993877,804429397,651861589,0,196608,0
89,"WildStrikeSpecificEleWeakOnHitHigh",0,0,0,[15090],[50],"Gilded Elemental Weakness on Hit","Sensibilité aux éléments au Toucher dorée","Goldene Elementarempfindlichkeit bei Treffer","金色のヒット時エレメンタルウィークネス","도금된 명중 시 원소 약화 적용","Fraqueza Elemental ao Atingir Áurea","Позолоченный: Уязвимость к стихиям при ударе","Debilidad elemental dorada al impactar","Gilded Elemental Weakness on Hit","鍍金擊中時附加元素要害","",41946796,42471084,42077868,35131052,35131052,41160364,42208940,42471084,41946796,34082476,0,196608,0
90,"EleDamageWithAttacksLow",0,0,0,[6062],[15],"Lesser Elemental Damage with Attacks","Dégâts élémentaires des Attaques mineurs","Geringerer Elementarschaden mit Angriffen","アタック元素ダメージ（小）","하위 공격 시 원소 피해","Dano Elemental com Ataques Menor","Малый урон от стихий атаками","Daño elemental con ataques menor","Lesser Elemental Damage with Attacks","低階元素攻擊傷害",28,847046976,912189760,903801152,708110656,714533184,875751744,880994624,890562880,846522688,687532352,0,65536,0
91,"EleDamageWithAttacksMid",0,0,0,[6062],[20],"Elemental Damage with Attacks","Dégâts élémentaires des Attaques","Elementarschaden mit Angriffen","アタック元素ダメージ","공격 시 원소 피해","Dano Elemental com Ataques","Урон от стихий атаками","Daño elemental con ataques","Elemental Damage with Attacks","元素攻擊傷害",28,847032150,912174934,903786326,708095830,714518358,875736918,880979798,890548054,846507862,687517526,0,131072,0
92,"EleDamageWithAttacksHigh",0,0,0,[6062],[30],"Greater Elemental Damage with Attacks","Dégâts élémentaires des Attaques majeurs","Größerer Elementarschaden mit Angriffen","アタック元素ダメージ（大）","상위 공격 시 원소 피해","Dano Elemental com Ataques Maior","Большой урон от стихий атаками","Daño elemental con ataques mayor","Greater Elemental Damage with Attacks","高階元素攻擊傷害",28,847015680,912158464,903769856,708079360,714501888,875720448,880963328,890531584,846491392,687501056,0,196608,0
93,"ShockChanceLow",0,0,0,[658],[20],"Lesser Shock Chance","Chances d'Électrocuter mineures","Geringere Chance auf Schock","感電付与（小）","하위 감전 확률","Chance de Eletrificar Menor","Малый шанс шока","Probabilidad de electrocutar menor","Lesser Shock Chance","低階感電機率",45,401745390,432023022,430712302,338175470,343942638,419440110,427566574,431367662,401745390,326116846,0,65536,0
94,"ShockChanceMid",0,0,0,[658],[40],"Shock Chance","Chances d'Électrocuter","Chance auf Schock","感電付与","감전 확률","Chance de Eletrificar","Шанс шока","Probabilidad de electrocutar","Shock Chance","感電機率",45,401800526,432078158,430767438,338230606,343997774,419495246,427621710,431422798,401800526,326171982,0,131072,0
95,"ShockChanceHigh",0,0,0,[658],[60],"Greater Shock Chance","Chances d'Électrocuter majeures","Größere Chance auf Schock","感電付与（大）","상위 감전 확률","Chance de Eletrificar Maior","Большой шанс шока","Probabilidad de electrocutar mayor","Greater Shock Chance","高階感電機率",45,401773726,432051358,430740638,338203806,343970974,419468446,427594910,431395998,401773726,326145182,0,196608,0
96,"IgniteChanceLow",0,0,0,[610],[20],"Lesser Ignite Chance","Chances d'Embraser mineures","Geringere Chance auf Entzünden","発火付与（小）","하위 점화 확률","Chance de Incendiar Menor","Малый шанс поджечь","Probabilidad de quemar menor","Lesser Ignite Chance","低階點燃機率",46,895274095,966446191,956091503,744672367,751619183,926731375,925813871,944688239,894749807,722521199,0,65536,0
97,"IgniteChanceMid",0,0,0,[610],[40],"Ignite Chance","Chances d'Embraser","Chance auf Entzünden","発火付与","점화 확률","Chance de Incendiar","Шанс поджечь","Probabilidad de quemar","Ignite Chance","點燃機率",46,895272063,966444159,956089471,744670335,751617151,926729343,925811839,944686207,894747775,722519167,0,131072,0
98,"IgniteChanceHigh",0,0,0,[610],[60],"Greater Ignite Chance","Chances d'Embraser majeures","Größere Chance auf Entzünden","発火付与（大）","상위 점화 확률","Chance de Incendiar Maior","Большой шанс поджечь","Probabilidad de quemar mayor","Greater Ignite Chance","高階點燃機率",46,895232757,966404853,956050165,744631029,751577845,926690037,925772533,944646901,894708469,722479861,0,196608,0
99,"FreezeChanceLow",0,0,0,[454],[20],"Lesser Freeze Chance","Chances de Geler mineures","Geringere Chance auf Einfrieren","凍結付与（小）","하위 동결 확률","Chance de Congelar Menor","Малый шанс заморозить","Probabilidad de congelar menor","Lesser Freeze Chance","低階冰凍機率",50,918980018,992249266,983074226,763659698,770999730,952272306,949388722,971802034,918455730,741246386,0,65536,0
100,"FreezeChanceMid",0,0,0,[454],[40],"Freeze Chance","Chances de Geler","Chance auf Einfrieren","凍結付与","동결 확률","Chance de Congelar","Шанс заморозить","Probabilidad de congelar","Freeze Chance","冰凍機率",50,918973250,992242498,983067458,763652930,770992962,952265538,949381954,971795266,918448962,741239618,0,131072,0
101,"FreezeChanceHigh",0,0,0,[454],[60],"Greater Freeze Chance","Chances de Geler majeures","Größere Chance auf Einfrieren","凍結付与（大）","상위 동결 확률","Chance de Congelar Maior","Большой шанс заморозить","Probabilidad de congelar mayor","Greater Freeze Chance","高階冰凍機率",50,918958179,992227427,983052387,763637859,770977891,952250467,949366883,971780195,918433891,741224547,0,196608,0
102,"BrittleChanceHigh",0,0,0,[8658],[30],"Brittle Chance","Chances de Fragiliser","Chance auf Zerbrechlich","脆弱付与","허약 유발 확률","Chance de Fragilizar","Шанс наложить Хрупкость","Probabilidad de aplicar fragilidad","Brittle Chance","易碎機率","",919000629,992269877,983094837,763680309,771020341,952292917,949409333,971822645,918476341,741266997,0,196608,0
103,"AilmentDamageLow",0,0,0,"[6087,6088]","[15,-30]","Lesser Ailment Damage","Dégâts des Altérations mineurs","Geringerer Beeinträchtigungsschaden","状態異常ダメージ（小）","하위 상태 이상 피해","Dano de Afecção Menor","Малый урон от состояний","Daño de estados alterados menor","Lesser Ailment Damage","低階異常狀態傷害",19,951758319,1028042223,1020964335,790801903,798928367,986885615,984133103,1011133935,951234031,767864303,0,65536,0
104,"AilmentDamageMid",0,0,0,"[6087,6088]","[20,-30]","Ailment Damage","Dégâts des Altérations","Beeinträchtigungsschaden","状態異常ダメージ","상태 이상 피해","Dano de Afecção","Урон от состояний","Daño de estados alterados","Ailment Damage","異常狀態傷害",19,951723399,1028007303,1020929415,790766983,798893447,986850695,984098183,1011099015,951199111,767829383,0,131072,0
105,"AilmentDamageHigh",0,0,0,"[6087,6088]","[30,-30]","Greater Ailment Damage","Dégâts des Altérations majeurs","Größerer Beeinträchtigungsschaden","状態異常ダメージ（大）","상위 상태 이상 피해","Dano de Afecção Maior","Большой урон от состояний","Daño de estados alterados mayor","Greater Ailment Damage","高階異常狀態傷害",19,951779154,1028063058,1020985170,790822738,798949202,986906450,984153938,1011154770,951254866,767885138,0,196608,0
106,"BoneshatterSpecificTraumaDurationHigh",0,0,0,[14251],[2000],"Gilded Trauma Duration","Durée de Traumatisme dorée","Goldene Trauma-Dauer","金色の外傷持続時間","도금된 외상 지속시간","Duração de Trauma Áurea","Позолоченный: Длительность травмы","Duración de traumatismo dorado","Gilded Trauma Duration","鍍金創傷持續時間","",41964316,42488604,42095388,35148572,35148572,41177884,42226460,42488604,41964316,34099996,0,196608,0
107,"ShockwaveTotemSpecificAstralHigh",0,0,0,[10669],[1],"Gilded Astral Totem","Totem astral doré","Goldenes Astraltotem","金色のアストラルトーテム","도금된 우주의 토템","Totem Astral Áureo","Позолоченный: Звёздный тотем","Tótem astral dorado","Gilded Astral Totem","鍍金星際圖騰","",41984158,42508446,42115230,35168414,35168414,41197726,42246302,42508446,41984158,34119838,0,196608,0
108,"EnsnaringArrowSpecificEffectHigh",0,0,0,[10518],[10],"Gilded Ensare Effect","Effet de l'Empêtrement doré","Goldene Fesseln","金色のスネア効果","도금된 올가미 효과","Efeito de Emaranhar Áureo","Позолоченный: Эффект силков","Efecto de atrapamiento dorado","Gilded Ensare Effect","鍍金誘捕效果","",41968605,42492893,42099677,35152861,35152861,41182173,42230749,42492893,41968605,34104285,0,196608,0
109,"MaimOnHitHigh",0,0,0,"[3811,6085]","[1,10]","Maim","Mutilation","Verstümmeln","重傷","힘줄 절단","Mutilar","Увечье","Lisiar","Maim","癱瘓","",1004067909,1084415045,1076157509,836426821,845208645,1040243781,1041030213,1068555333,1003543621,811654213,0,196608,0
110,"ImpaleChanceLow",0,0,0,[12947],[20],"Lesser Impale Chance","Chances d'Empaler mineures","Geringere Chance auf Aufspießen","串刺し付与（小）","하위 꿰뚫기 확률","Chance de Empalar Menor","Малый шанс проколоть","Probabilidad de empalar menor","Lesser Impale Chance","低階穿刺機率",22,1014813676,1095947244,1088345068,845599724,854512620,1051382764,1051775980,1080480748,1014289388,820564972,0,65536,0
111,"ImpaleChanceMid",0,0,0,[12947],[40],"Impale Chance","Chances d'Empaler","Chance auf Aufspießen","串刺し付与","꿰뚫기 확률","Chance de Empalar","Шанс проколоть","Probabilidad de empalar","Impale Chance","穿刺機率",22,1014770921,1095904489,1088302313,845556969,854469865,1051340009,1051733225,1080437993,1014246633,820522217,0,131072,0
112,"ImpaleChanceHigh",0,0,0,[12947],[60],"Greater Impale Chance","Chances d'Empaler majeures","Größere Chance auf Aufspießen","串刺し付与（大）","상위 꿰뚫기 확률","Chance de Empalar Maior","Большой шанс проколоть","Probabilidad de empalar mayor","Greater Impale Chance","高階穿刺機率",22,1014789144,1095922712,1088320536,845575192,854488088,1051358232,1051751448,1080456216,1014264856,820540440,0,196608,0
113,"MirageArcherHigh",0,0,0,"[7077,7076,7289,7074,7258,7265]","[1,1,1,4000,-60,-138]","Mirage Archer","Archer mirage","Phantombogenschütze","ミラージュアーチャー","신기루 궁수","Arqueiro Miragem","Призрачный лучник","Arquero ilusorio","Mirage Archer","幻影射手","",1043501919,1125815135,1119916895,871142239,879792991,1081250655,1081250655,1111921503,1042977631,844927839,0,196608,0
114,"MultiTotemHigh",0,0,0,"[8519,866]","[1,2]","Multiple Totems","Totems multiples","Mehrere Totems","マルチトーテム","다중 토템","Totens Múltiplos","Множество тотемов","Tótems múltiples","Multiple Totems","複數圖騰","",1056064201,1138508489,1132348105,882655945,891044553,1093944009,1094075081,1124614857,1055539913,856048329,0,196608,0
115,"TornadoShotSpecificSecondaryProjHigh",0,0,0,[4246],[2],"Gilded Secondary Shots","Tirs secondaires dorés","Goldene sekundäre Schüsse","金色の副次的投射物","도금된 부가 사격","Disparos Secundários Áureos","Позолоченный: Вторичные снаряды","Disparos secundarios dorados","Gilded Secondary Shots","鍍金二次射擊","",41961539,42485827,42092611,35145795,35145795,41175107,42223683,42485827,41961539,34097219,0,196608,0
116,"RageOnMeleeHitLow",0,0,0,[20538],[2],"Lesser Rage on Hit","Rage au Toucher mineure","Geringerer Rausch bei Treffer","ヒット時憤怒（小）","하위 명중 시 격노","Fúria ao Atingir Menor","Малая свирепость при ударе","Furia al impactar menor","Lesser Rage on Hit","低階擊中時獲得盛怒",20,1077336017,1160435665,1155454929,901044177,909563857,1116395473,1117575121,1147328465,1076811729,874043345,0,65536,0
117,"RageOnMeleeHitMid",0,0,0,[20538],[4],"Rage on Hit","Rage au Toucher","Rausch bei Treffer","ヒット時憤怒","명중 시 격노","Fúria ao Atingir","Свирепость при ударе","Furia al impactar","Rage on Hit","擊中時獲得盛怒",20,1077345754,1160445402,1155464666,901053914,909573594,1116405210,1117584858,1147338202,1076821466,874053082,0,131072,0
118,"RageOnMeleeHitHigh",0,0,0,[20538],[6],"Greater Rage on Hit","Rage au Toucher majeure","Größerer Rausch bei Treffer","ヒット時憤怒（大）","상위 명중 시 격노","Fúria ao Atingir Maior","Большая свирепость при ударе","Furia al impactar mayor","Greater Rage on Hit","高階擊中時獲得盛怒",20,1077338426,1160438074,1155457338,901046586,909566266,1116397882,1117577530,1147330874,1076814138,874045754,0,196608,0
119,"CleaveSpecificCullHigh",0,0,0,[588],[1],"Gilded Cull","Exécution dorée","Goldener Todesstoß","金色のカル","도금된 마무리 타격","Aniquilar Áureo","Позолоченный: Добивание","Golpe de gracia dorado","Gilded Cull","鍍金撲殺","",41985180,42509468,42116252,35169436,35169436,41198748,42247324,42509468,41985180,34120860,0,196608,0
120,"AttackSpeedLow",0,0,0,[70],[15],"Lesser Attack Speed","Vitesse d'attaque mineure","Geringere Angriffsgeschwindigkeit","アタックスピード（小）","하위 공격 속도","Velocidade de Ataque Menor","Малая скорость атаки","Velocidad de ataque menor","Lesser Attack Speed","低階攻擊速度",21,1106300127,1191759071,1189137631,926207199,935251167,1147849951,1150602463,1179831519,1105775839,898551007,0,65536,0
121,"AttackSpeedMid",0,0,0,[70],[25],"Attack Speed","Vitesse d'attaque","Angriffsgeschwindigkeit","アタックスピード","공격 속도","Velocidade de Ataque","Скорость атаки","Velocidad de ataque","Attack Speed","攻擊速度",21,1106248667,1191707611,1189086171,926155739,935199707,1147798491,1150551003,1179780059,1105724379,898499547,0,131072,0
122,"AttackSpeedHigh",0,0,0,[70],[35],"Greater Attack Speed","Vitesse d'attaque majeure","Größere Angriffsgeschwindigkeit","アタックスピード（大）","상위 공격 속도","Velocidade de Ataque Maior","Большая скорость атаки","Velocidad de ataque mayor","Greater Attack Speed","高階攻擊速度",21,1106298165,1191757109,1189135669,926205237,935249205,1147847989,1150600501,1179829557,1105773877,898549045,0,196608,0
123,"ConcentratedEffectLow",0,0,0,"[2710,643]","[-30,20]","Lesser Concentrated Effect","Effet concentré mineur","Geringere konzentrierte Wirkung","効果濃縮（小）","하위 효과 집중","Efeito Concentrado Menor","Малое средоточие","Efecto concentrado menor","Lesser Concentrated Effect","低階集中效果",23,1132504778,1218750154,1218881226,948217546,956606154,1175627466,1176020682,1207346890,1131980490,919250634,0,65536,0
124,"ConcentratedEffectMid",0,0,0,"[2710,643]","[-30,30]","Concentrated Effect","Effet concentré","Konzentrierte Wirkung","効果濃縮","효과 집중","Efeito Concentrado","Средоточие","Efecto concentrado","Concentrated Effect","集中效果",23,1132483569,1218728945,1218860017,948196337,956584945,1175606257,1175999473,1207325681,1131959281,919229425,0,131072,0
125,"ConcentratedEffectHigh",0,0,0,"[2710,643]","[-30,40]","Greater Concentrated Effect","Effet concentré majeur","Größere Konzentrierte Wirkung","効果濃縮（大）","상위 효과 집중","Efeito Concentrado Maior","Большое средоточие","Efecto concentrado mayor","Greater Concentrated Effect","高階集中效果",23,1132513886,1218759262,1218890334,948226654,956615262,1175636574,1176029790,1207355998,1131989598,919259742,0,196608,0
126,"DotMultiLow",0,0,0,[10142],[15],"Lesser DoT Multiplier","Multiplicateur de Dégâts sur la durée mineur","Geringerer Multiplikator für Schaden über Zeit","DoT倍率（小）","하위 지속 피해 배율","Multiplicador de Dano Degenerativo Menor","Малый множитель постепенного урона","Multiplicador de daño degenerativo menor","Lesser DoT Multiplier","低階持續傷害加成",24,401758657,432036289,430725569,338188737,343955905,419453377,427579841,431380929,401758657,326130113,0,65536,0
127,"DotMultiMid",0,0,0,[10142],[25],"DoT Multiplier","Multiplicateur de Dégâts sur la durée","Multiplikator für Schaden über Zeit","DoT倍率","지속 피해 배율","Multiplicador de Dano Degenerativo","Множитель постепенного урона","Multiplicador de daño degenerativo","DoT Multiplier","持續傷害加成",24,401742607,432020239,430709519,338172687,343939855,419437327,427563791,431364879,401742607,326114063,0,131072,0
128,"DotMultiHigh",0,0,0,[10142],[35],"Greater DoT Multiplier","Multiplicateur de Dégâts sur la durée majeur","Größerer Multiplikator für Schaden über Zeit","DoT倍率（大）","상위 지속 피해 배율","Multiplicador de Dano Degenerativo Maior","Большой множитель постепенного урона","Multiplicador de daño degenerativo mayor","Greater DoT Multiplier","高階持續傷害加成",24,401773140,432050772,430740052,338203220,343970388,419467860,427594324,431395412,401773140,326144596,0,196608,0
129,"TotemDefencesLow",0,0,0,"[1833,1832]","[10,30]","Lesser Ironwood","Bois de fer mineur","Geringeres Eisenholz","鉄木（小）","하위 철목","Pau-ferro Menor","Малое железное дерево","Madera férrea menor","Lesser Ironwood","低階鐵木",25,1180303590,1274675430,1276772582,985399526,995229926,1230373094,1227620582,1262616806,1179779302,956301542,0,65536,0
130,"TotemDefencesMid",0,0,0,"[1833,1832]","[20,40]","Ironwood","Bois de fer","Eisenholz","鉄木","철목","Pau-ferro","Железное дерево","Madera férrea","Ironwood","鐵木",25,1180310027,1274681867,1276779019,985405963,995236363,1230379531,1227627019,1262623243,1179785739,956307979,0,131072,0
131,"TotemDefencesHigh",0,0,0,"[1833,1832]","[30,60]","Greater Ironwood","Bois de fer majeur","Größeres Eisenholz","鉄木（大）","상위 철목","Pau-ferro Maior","Большое железное дерево","Madera férrea mayor","Greater Ironwood","高階鐵木",25,1180304587,1274676427,1276773579,985400523,995230923,1230374091,1227621579,1262617803,1179780299,956302539,0,196608,0
132,"BlightSpecificSecondaryDurationHigh",0,0,0,[4350],[80],"Gilded Hinder Duration","Durée d'Entrave dorée","Goldene Lähmungsdauer","金色の妨害持続時間","도금된 이동 방해 지속시간","Duração de Tolhimento Áurea","Позолоченный: Длительность скованности","Duración de entumecimiento dorado","Gilded Hinder Duration","鍍金阻礙持續時間","",41946220,42470508,42077292,35130476,35130476,41159788,42208364,42470508,41946220,34081900,0,196608,0
133,"SoulrendSpecificBaseDurationHigh",0,0,0,[356],[1000],"Gilded Additional Duration","Durée supplémentaire dorée","Goldene zusätzliche Dauer","金色の追加持続時間","도금된 추가 지속시간","Duração Adicional Áurea","Позолоченный: Дополнительная длительность","Duración adicional dorada","Gilded Additional Duration","鍍金額外持續時間","",41999038,42523326,42130110,35183294,35183294,41212606,42261182,42523326,41999038,34134718,0,196608,0
134,"RollingMagmaAOEPerProjHigh",0,0,0,[19583],[5],"Gilded Area per Projectile","Zone par Projectile dorée","Goldene Fläche pro Projektil","金色の投射物ごとの効果範囲","도금된 투사체당 범위","Área por Projétil Áurea","Позолоченный: Область за снаряд","Área dorada por proyectil","Gilded Area per Projectile","鍍金每個投射物範圍",51,41971427,42495715,42102499,35155683,35155683,41184995,42233571,42495715,41971427,34107107,0,196608,0
135,"DivineIreSpecificWidthHigh",0,0,0,[9080],[40],"Gilded Beam Width","Épaisseur de rayon doré","Goldene Strahlenbreite","金色のビーム幅","도금된 광선 폭","Largura do Raio Áurea","Позолоченный: Ширина луча","Anchura de haces dorados","Gilded Beam Width","鍍金射線寬度","",41956608,42480896,42087680,35140864,35140864,41170176,42218752,42480896,41956608,34092288,0,196608,0
136,"PhysGainAsRandomLow",0,0,0,[1896],[10],"Lesser Physical as Extra","Dégâts physiques sous forme de Dégâts supplémentaires mineurs","Geringerer physisch als extra","物理の一部を追加元素（小）","하위 물리를 추가로","Físico como Adicional Menor","Малый физический урон в виде урона от стихии","Físico como extra menor","Lesser Physical as Extra","低階物理轉化為額外",33,1180331397,1274703237,1276800389,985427333,995257733,1230400901,1227648389,1262644613,1179807109,956329349,0,65536,0
137,"PhysGainAsRandomMid",0,0,0,[1896],[20],"Physical as Extra","Dégâts physiques sous forme de Dégâts supplémentaires","Physisch als extra","物理の一部を追加元素","물리를 추가로","Físico como Adicional","Физический урон в виде урона от стихии","Físico como extra","Physical as Extra","物理轉化為額外",33,1180342702,1274714542,1276811694,985438638,995269038,1230412206,1227659694,1262655918,1179818414,956340654,0,131072,0
138,"PhysGainAsRandomHigh",0,0,0,[1896],[35],"Greater Physical as Extra","Dégâts physiques sous forme de Dégâts supplémentaires majeurs","Größerer physisch als extra","物理の一部を追加元素（大）","상위 물리를 추가로","Físico como Adicional Maior","Большой физический урон в виде урона от стихии","Físico como extra mayor","Greater Physical as Extra","高階物理轉化為額外",33,1180348410,1274720250,1276817402,985444346,995274746,1230417914,1227665402,1262661626,1179824122,956346362,0,196608,0
139,"ChannelSkillDamageReductionLow",0,0,0,[8832],[-5],"Lesser Infused Channelling","Canalisation infusée mineure","Geringeres Konzentriertes Kanalisieren","チャネリング注入（小）","하위 깊어지는 집중 유지","Canalização Infundida Menor","Малое усиленное поддержание","Canalización imbuida menor","Lesser Infused Channelling","低階灌注引導",47,1266084434,1376184914,1366223442,1056107090,1065806418,1317857874,1329261138,1351150162,1265560146,1023863378,0,65536,0
140,"ChannelSkillDamageReductionMid",0,0,0,[8832],[-8],"Infused Channelling","Canalisation infusée","Konzentriertes Kanalisieren","チャネリング注入","깊어지는 집중 유지","Canalização Infundida","Усиленное поддержание","Canalización imbuida","Infused Channelling","灌注引導",47,1266059145,1376159625,1366198153,1056081801,1065781129,1317832585,1329235849,1351124873,1265534857,1023838089,0,131072,0
141,"ChannelSkillDamageReductionHigh",0,0,0,[8832],[-10],"Greater Infused Channelling","Canalisation infusée majeure","Größeres Konzentriertes Kanalisieren","チャネリング注入（大）","상위 깊어지는 집중 유지","Canalização Infundida Maior","Большое усиленное поддержание","Canalización imbuida mayor","Greater Infused Channelling","高階灌注引導",47,1266087552,1376188032,1366226560,1056110208,1065809536,1317860992,1329264256,1351153280,1265563264,1023866496,0,196608,0
