"rownum","rid_0","Tier","Text","Text (French)","Text (German)","Text (Japanese)","Text (Korean)","Text (Portuguese)","Text (Russian)","Text (Spanish)","Text (Thai)","Text (Traditional Chinese)","i32_28","[rid]_32","[i32]_48","i32_64","RuneItem","[i32]_84","Stats","StatsValues","UpgradeTextAudio"
35,3,3,"+2 Farming Plots","+2 Parcelles agricoles","+2 Anbauflächen","農業用地 +2","경작지 +2","+2 Plantações","+2 фермерских участка","+2 parcelas de cultivo","แปลงเพาะปลูก +2 แปลง","農地 +2",1377,[],[],797,[],[],[20424],[2],19337
36,3,4,"10% increased Farming Speed","10% d'augmentation de la Vitesse de Récolte","10% erhöhte Landwirtschaftsgeschwindigkeit","農業速度10%増加","경작 속도 10% 증가","Velocidade de Cultivo aumentada em 10%","10% ускорение сельхозработ","Velocidad de cultivo aumentada un 10%","เพิ่มความเร็ว เพาะปลูก 10%","增加 10% 耕種速度",1378,[15],[80],2230,[],[],[20403],[10],19338
37,3,5,"Can grow Orgourd","Possibilité de cultiver des Orgourds","Kann Orgourd anbauen","ウミヒョウタンを栽培可能","오르박 재배 가능","Pode cultivar Cabaças","Можно выращивать горлянку","Puedes cultivar calabazules","ปลูก ออร์กอร์ด ได้","可以種植瓜果",1379,[],[],8184,[],[],[20426],[1],19339
38,3,6,"+1 Farming Plot","+1 Parcelle agricole","+1 Anbaufläche","農業用地 +1","경작지 +1","+1 Plantação","+1 фермерский участок","+1 parcela de cultivo","แปลงเพาะปลูก +1 แปลง","農地 +1",1380,[],[],15616,[],[],[20424],[1],19340
39,3,7,"Can grow Blue Zanthimum","Possibilité de cultiver du Zanthimum bleu","Kann Blaues Zanthimum anbauen","ブルーザンシマムを栽培可能","푸른도꼬마리 재배 가능","Pode cultivar Zântimo Azul","Можно выращивать синий зантимий","Puedes cultivar zantimum azul","ปลูก แซนธิมัมฟ้า ได้","可以種植藍贊提蒙",1381,[],[],26307,[],[],[20426],[1],19341
40,3,8,"15% increased Farming Speed","15% d'augmentation de la Vitesse de Récolte","15% erhöhte Landwirtschaftsgeschwindigkeit","農業速度15%増加","경작 속도 15% 증가","Velocidade de Cultivo aumentada em 15%","15% ускорение сельхозработ","Velocidad de cultivo aumentada un 15%","เพิ่มความเร็ว เพาะปลูก 15%","增加 15% 耕種速度",1382,[15],[800],30360,[],[],[20403],[15],19342
41,3,9,"5% increased Crop yield per different Crop being Farmed","5% d'augmentation de Rendement des Récoltes par différent type de Récolte en cours d'exploitation","5% erhöhte Ernteerträge je unterschiedlicher geernteter Pflanze","栽培している異なる作物ごとに作物の収穫量が5%増加","경작 중인 작물 가짓수 하나당 작물 수확량 5% 증가","Rendimento das Plantações aumentado em 5% por Plantação diferente sendo Cultivada","5% повышение урожайности за каждый выращиваемый вид культур","Cosecha aumentada un 5% por cada cultivo diferente que hayas plantado","เพิ่มผลผลิตพืชผล 5% ต่อจำนวนของ พืชผลที่แตกต่างกัน ที่เพาะปลูก","每個不同的農地被耕種時，增加 5% 作物產量",1383,[15],[1000],37240,[],[],[20440],[5],19343
42,3,10,"+1 Farming Plot","+1 Parcelle agricole","+2 Anbauflächen","農業用地 +1","경작지 +1","+1 Plantação","+1 фермерский участок","+1 parcela de cultivo","แปลงเพาะปลูก +1 แปลง","農地 +1",1384,[],[],55700,[],[],[20424],[1],19344
43,3,11,"Plots yield 10% increased Crop per adjacent Plot being Farmed","Les Parcelles ont 10% d'Augmentation de Rendement par Parcelle adjacente en cours de Récolte","Anbauflächen gewähren 10% erhöhte Ernte je angrenzender Anbaufläche, die geerntet wird","隣接している栽培中の農業用地ごとに農業用地の収穫量が10%増加","경작 중인 인접 경작지 하나당 경작지 수확량 10% 증가","Rendimento das Plantações aumentado em 10% por Plantação diferente sendo Cultivada","10% повышение урожайности участков за каждый задействованный соседний участок","Las parcelas tienen su producción aumentada un 10% por cada parcela adyacente cultivada","แปลง ให้ผลผลิตพืชผล เพิ่มขึ้น 10% ต่อจำนวนของ แปลงข้างเคียง ที่เพาะปลูก","每個鄰近農地被耕種時，增加 10% 農地作物產量",1385,[19],[500],80000,[],[],[20441],[10],19345
44,4,1,"Establish Shipping","Instaurer la Navigation","Schiffstransport etablieren","輸送を開始","운송 개시","Estabelecer Rota Marítima","Открывает мореходство","Establecer Comercio","จัดตั้ง การขนส่ง","建立運送",1386,[5],[5],5,[],[],"[20427,20428,20429,20443]","[1,2,1,1]",18286
45,4,2,"Can Ship to Ngakanu","Possibilité de Naviguer vers Ngakanu","Kann nach Ngakanu verschiffen","ナカヌに向けて輸送可能","응가카누로 운송 가능","Pode exportar para Ngakanu","Можно отправлять грузы в Нгакану","Puedes comerciar con Ngakanu","ขนส่งไปยัง นาคานู ได้","可運送至尼加卡努",1387,"[5,6]","[15,5]",25,[],[],"[20429,20443]",[1],18291
46,4,3,"+2 to Maximum Ship Crew","+2 au nombre maximal de Membres d'équipage","+2 zu maximaler Anzahl der Schiffsbesatzung","船員の最大人数 +2","선원 수 최대치 +2","+2 ao Máximo de Tripulação","+2 к максимальному размеру экипажа","+2 al máximo de tripulantes de barco","จำนวน ลูกเรือ สูงสุด +2 คน","船員上限 +2",1388,"[15,16,11]","[7,6,10]",186,[],[],"[20428,20443]","[2,1]",18287
47,4,4,"15% increased Ship Speed","15% d'augmentation de la Vitesse de Navigation","15% erhöhte Schiffsgeschwindigkeit","輸送速度15%増加","선박 속도 15% 증가","Velocidade do Navio aumentada em 15%","15% повышение скорости судна","Velocidad de los barcos aumentada un 15%","เพิ่มความเร็ว เรือ 15%","增加 15% 船隻速度",1389,"[16,17]","[25,20]",490,[],[],"[20405,20443]","[15,1]",18289
48,4,5,"Can Ship to Pondium and Te Onui","Possibilité de Naviguer vers Pondium et Te Onui","Kann nach Pondium und Te Onui verschiffen","ポンディウム、テ・オヌイに向けて輸送可能","폰디움 및 테오누이로 운송 가능","Pode exportar para Pondium e Te Onui","Можно отправлять грузы в Пондий и Те Онуи","Puedes comerciar con Pondium y Te Onui","ขนส่งไปยัง พอนเดียมและเท โอนุย ได้","可運送至龐狄恩和特歐努伊",1390,"[15,16,18]","[80,60,25]",1876,[],[],"[20429,20443]","[2,1]",18294
49,4,6,"+1 Ship","+1 Navire","+1 Schiff","船 +1","선박 +1","+1 Navio","+1 судно","+1 barco","เรือ +1 ลำ","船隻 +1",1391,"[17,18]","[120,70]",3688,[],[],"[20427,20443]","[1,1]",18292
50,4,7,"Can Ship to Kalguur","Possibilité de Naviguer vers Kalguur","Kann nach Kalguur verschiffen","カルグールに向けて輸送可能","칼구르로 운송 가능","Pode Exportar para Kalguur","Можно отправлять грузы в Калгуур","Puedes comerciar con Kalguur","ขนส่งไปยัง คาลเกอร์ ได้","可運送至卡爾葛",1392,"[15,16,19]","[200,200,50]",7641,[],[],"[20429,20443]","[1,1]",18295
51,4,8,"20% increased Ship Speed","20% d'augmentation de la Vitesse de Navigation","20% erhöhte Schiffsgeschwindigkeit","輸送速度20%増加","선박 속도 20% 증가","Velocidade do Navio aumentada em 20%","20% повышение скорости судна","Velocidad de los barcos aumentada un 20%","เพิ่มความเร็ว เรือ 20%","增加 20% 船隻速度",1393,"[17,19]","[350,140]",12816,[],[],"[20405,20443]","[20,1]",18290
52,4,9,"+2 to Maximum Ship Crew","+2 au nombre maximal de Membres d'équipage","+2 zu maximaler Anzahl der Schiffsbesatzung","船員の最大人数 +2","선원 수 최대치 +2","'+2 ao Máximo de Tripulação","+2 к максимальному размеру экипажа","+2 al máximo de tripulantes de barco","จำนวน ลูกเรือ สูงสุด +2 คน","船員上限 +2",1394,"[18,19,10]","[320,200,150]",15856,[],[],"[20428,20443]","[2,1]",18288
53,4,10,"+1 Ship","+1 Navire","+1 Schiff","船 +1","선박 +1","+1 Navio","+1 судно","+1 barco","เรือ +1 ลำ","船隻 +1",1395,"[15,17,18]","[600,400,300]",18790,[],[],"[20427,20443]","[1,1]",18293
54,4,11,"Ports Quotas are 50% more rewarding","Les Quotas des ports sont 50% davantage récompensants","Hafenquoten sind 50% lohnender","港が割り当てた資材はそれに対する報酬が50%上昇","항만 할당량 보상 50% 증폭","Quotas dos Portos são 50% mais recompensadoras","Портовые квоты дают на 50% больше наград","Las cuotas de los puertos ofrecen un 50% más de recompensas","โควต้าเมืองท่า มีของรางวัล เพิ่มขึ้น อีก 50%","港口配額給予的獎勵提高 50%",1396,"[16,18,19]","[500,300,200]",32745,[],[],"[20794,20443]","[50,1]",18296
55,5,1,"Establish Disenchanting","Instaurer le Désenchantement","Entzauberung etablieren","解呪を開始","제련 개시","Estabelecer Desencantamento","Открывает распыление","Establecer Desencantamiento","จัดตั้ง การสลายไอเทม","建立破幻",1397,[],[],373,[],[],"[20422,20423]","[3,1]",18579
56,5,2,"Can Disenchant Rare Items","Possibilité de Désenchanter des Objets rares","Kann seltene Gegenstände entzaubern","レアアイテムを解呪可能","희귀 아이템 인챈트 해제 가능","Pode Desencantar Itens Raros","Можно распылять редкие предметы","Puedes desencantar objetos raros","สลาย ไอเทมแรร์ ได้","可以破幻稀有物品",1398,[],[],1008,[],[],[20423],[1],18451
57,5,3,"15% increased Disenchanting Speed","15% d'augmentation de la Vitesse de Désenchantement","15% erhöhte Entzauberungsgeschwindigkeit","解呪速度15%増加","인챈트 해제 속도 15% 증가","Velocidade de Desencantamento aumentada em 15%","15% ускорение распыления","Velocidad de desencantamiento aumentada un 15%","เพิ่มความเร็ว สลายไอเทม 15%","增加 15% 破幻速度",1399,[20],[1000],2753,[],[],[20402],[15],18452
58,5,4,"+1 to Maximum Disenchanters","+1 au nombre maximal de Désenchanteurs","+1 zu maximaler Anzahl Entzauberer","解呪師の最大人数 +1","인챈트 해제사 수 최대치 +1","+1 ao Máximo de Desencantadores","+1 к максимуму распылителей","+1 al máximo de desencantadores","จำนวน นักสลายไอเทม สูงสุด +1 คน","破幻者上限 +1",1400,"[20,10]","[1500,20]",5484,[],[],[20422],[1],18453
59,5,5,"1% increased Thaumaturgic Dust per Item Quality","1% d'augmentation de Poussière thaumaturgique par % de Qualité de l'objet","1% erhöhter Thaumaturgischer Staub pro Gegenstandsqualität","アイテムの品質ごとに魔術の塵1%増加","아이템 퀄리티당 마석학 가루 1% 증가","Pó Taumatúrgico aumentado em 1% por Qualidade no Item","1% увеличение чародейской пыли за процент качества предмета","Cantidad de polvo taumatúrgico aumentada un 1% por cada punto de calidad en el objeto","เพิ่มผงมนต์มณี 1% ต่อจำนวน ค่าคุณภาพของไอเทม","每種物品品質增加 1% 奇術魔塵",1401,[20],[5000],11507,[],[],[20612],[1],18454
60,5,6,"+1 to Maximum Disenchanters","+1 au nombre maximal de Désenchanteurs","+1 zu maximaler Anzahl Entzauberer","解呪師の最大人数 +1","인챈트 해제사 수 최대치 +1","'+1 ao Máximo de Desencantadores","+1 к максимуму распылителей","+1 al máximo de desencantadores","จำนวน นักสลายไอเทม สูงสุด +1 คน","破幻者上限 +1",1402,[20],[15000],19500,[],[],[20422],[1],18460
61,5,7,"20% increased Disenchanting Speed","15% d'augmentation de la Vitesse de Désenchantement","20% erhöhte Entzauberungsgeschwindigkeit","解呪速度20%増加","인챈트 해제 속도 20% 증가","Velocidade de Desencantamento aumentada em 20%","20% ускорение распыления","Velocidad de desencantamiento aumentada un 20%","เพิ่มความเร็ว สลายไอเทม 20%","增加 20% 破幻速度",1403,[20],[35000],24347,[],[],[20402],[20],18456
62,5,8,"+1 to Maximum Disenchanters","+1 au nombre maximal de Désenchanteurs","+1 zu maximaler Anzahl Entzauberer","解呪師の最大人数 +1","인챈트 해제사 수 최대치 +1","'+1 ao Máximo de Desencantadores","+1 к максимуму распылителей","+1 al máximo de desencantadores","จำนวน นักสลายไอเทม สูงสุด +1 คน","破幻者上限 +1",1404,"[20,11]","[50000,100]",30254,[],[],[20422],[1],18457
63,5,9,"50% increased Thaumaturgic Dust per Corruption Implicit","50% d'augmentation de Poussière thaumaturgique par Implicite de Corruption","50% erhöhter Thaumaturgischer Staub pro verderbtem impliziten Modifikator","コラプト暗黙モッドごとに魔術の塵50%増加","타락 고정 속성 하나당 마석학 가루 50% 증가","Pó Taumatúrgico aumentado em 50% por Implícito Corrompido","50% увеличение чародейской пыли за каждое осквернённое собственное свойство","Cantidad de polvo taumatúrgico aumentada un 50% por cada implícito de corrupción","เพิ่มผงมนต์มณี 50% ต่อจำนวน ม็อดแฝงมลทิน","每個汙染固定詞綴增加 50% 奇術魔塵",1405,[20],[75000],37441,[],[],[20614],[50],18458
64,5,10,"50% increased Thaumaturgic Dust per Influence Type","50% d'augmentation de Poussière thaumaturgique par Type d'Influence","50% erhöhter Thaumaturgischer Staub pro Einfluss-Typ","インフルエンスタイプごとに魔術の塵50%増加","영향력 유형 하나당 마석학 가루 50% 증가","Pó Taumatúrgico aumentado em 50% por Tipo de Influência","50% увеличение чародейской пыли за каждый тип влияния","Cantidad de polvo taumatúrgico aumentada un 50% por cada tipo de influencia","เพิ่มผงมนต์มณี 50% ต่อจำนวน ชนิดอิทธิพล","每個勢力類型增加 50% 奇術魔塵",1406,[20],[125000],44375,[],[],[20613],[50],18459
65,5,11,"Can Disenchant Unique Items","Possibilité de Désenchanter des Objets uniques","Kann einzigartige Gegenstände entzaubern","ユニークアイテムを解呪可能","고유 아이템 인챈트 해제 가능","Pode Desencantar Itens Únicos","Можно распылять уникальные предметы","Puedes desencantar objetos únicos","สลาย ไอเทมยูนิค ได้","可以破幻傳奇物品",1407,[20],[300000],71740,[],[],[20423],[1],18455
66,6,1,"Establish Mapping","Instaurer l'Exploration de Carte","Kartenlauf etablieren","マッピングを開始","지도 탐험 개시","Estabelecer Mapeamento","Открывает картоходство","Establecer Exploración de mapas","จัดตั้ง การบุกแผนที่","建立刷圖",1408,"[20,19]","[2500,20]",5323,[],[],"[20430,20431,20485]","[1,2,5]",18155
67,6,2,"Map Devices have +2 Portals","Les Dispositifs cartographiques ont +2 Portails","Kartenapparate haben +2 Portale","マップデバイスのポータル数 +2","지도 장치로 열리는 포탈 +2","Dispositivos de Mapa têm +2 Portais","+2 портала в Машинах картоходца","Los artefactos de mapas tienen +2 portales","เครื่องเปิดแผนที่ มีวาร์ป +2 แห่ง","地圖裝置有 +2 個時空之門",1409,"[20,19]","[5000,30]",7465,[],[],[20431],[2],18156
68,6,3,"Atlas Runners can run Yellow Maps","Les Explorateurs de l'Atlas peuvent faire des Cartes jaunes","Atlasläufer können gelbe Karten laufen","アトラスランナーが黄色マップへ行くことができる","아틀라스 탐험가가 노란 지도 공략 가능","Mapeadores do Atlas podem fazer Mapas Amarelos","Ходоки в Атлас могут завершать жёлтые карты","Los exploradores del Atlas pueden explorar mapas amarillos","นักผจญแผนที่บุก แผนที่เหลือง ได้","輿圖刷圖者可以刷黃色地圖",1410,"[20,19]","[10000,45]",12952,[],[],[20485],[5],18158
69,6,4,"15% increased Mapping Speed","15% d'augmentation de la Vitesse d'Exploration de Carte","15% erhöhte Kartenlauf-Geschwindigkeit","マッピング速度15%増加","지도 탐험 속도 15% 증가","Velocidade de Mapeamento aumentada em 15%","15% повышение скорости завершения карт","Velocidad de exploración de mapas aumentada un 15%","เพิ่มความเร็ว บุกแผนที่ 15%","增加 15% 刷圖速度",1411,"[20,19]","[15000,65]",15310,[],[],[20404],[15],18163
70,6,5,"+1 Map Device","+1 Dispositif cartographique","+1 Kartenapparat","マップデバイス +1","지도 장치 +1","'+1 Dispositivo de Mapas","+1 Машина картоходца","+1 artefacto de mapas","เครื่องเปิดแผนที่ +1 เครื่อง","地圖裝置 +1",1412,"[20,19]","[20000,75]",19355,[],[],[20430],[1],18161
71,6,6,"Atlas Runners can run Red Maps","Les Explorateurs de l'Atlas peuvent faire des Cartes rouges","Atlasläufer können rote Karten laufen","アトラスランナーが赤マップへ行くことができる","아틀라스 탐험가가 빨간 지도 공략 가능","Mapeadores do Atlas podem fazer Mapas Vermelhos","Ходоки в Атлас могут завершать красные карты","Los exploradores del Atlas pueden explorar mapas rojos","นักผจญแผนที่บุก แผนที่แดง ได้","輿圖刷圖者可以刷紅色地圖",1413,"[20,19]","[25000,90]",22552,[],[],"[20485,20791]","[6,1]",18159
72,6,7,"20% increased effect of Explicit Modifiers on Maps","20% d'augmentation de l'effet des Modificateurs Explicites sur les Cartes","20% erhöhte Wirkung von expliziten Modifikatoren auf Karten","マップの明示モッドの効果が20%増加する","지도에 적용되는 비고정 속성의 효과 20% 증가","Velocidade de Mapeamento aumentada em 20%","20% усиление эффекта добавленных свойств карт","Efecto de los modificadores explícitos de los mapas aumentado un 20%","เพิ่มผลของ ม็อดหลัก ของแผนที่ 20%","地圖上的隨機屬性詞綴效果增加 20%",1414,"[20,19]","[30000,100]",28161,[],[],[20793],[20],18164
73,6,8,"Map Devices have +2 Portals","Les Dispositifs cartographiques ont +2 Portails","Kartenapparate haben +2 Portale","マップデバイスのポータル数 +2","지도 장치로 열리는 포탈 +2","Dispositivos de Mapa têm +2 Portais","+2 портала в Машинах картоходца","Los artefactos de mapas tienen +2 portales","เครื่องเปิดแผนที่ มีวาร์ป +2 แห่ง","地圖裝置有 +2 個時空之門",1415,"[20,19]","[40000,110]",32467,[],[],[20431],[2],18157
74,6,9,"+1 Map Device","+1 Dispositif cartographique","+1 Kartenapparat","マップデバイス +1","지도 장치 +1","+1 Dispositivo de Mapas","+1 Машина картоходца","+1 artefacto de mapas","เครื่องเปิดแผนที่ +1 เครื่อง","地圖裝置 +1",1416,"[20,19]","[60000,140]",40175,[],[],[20430],[1],18162
75,6,10,"Tier 16+ Maps have either Maven, Searing Exarch or Eater of Worlds Influence","Les Cartes de palier 16+ ont l'une des Influences suivantes : de la Prodige, de l'Exarque ardent ou du Mangeur de mondes","Karten des Levels 16+ haben entweder Einfluss der Seherin, des Brennenden Exarchen oder des Weltenfressers","ティア16+のマップはメイヴェン、灼熱の代行者または世界を喰らう者のインフルエンスを持つ","16등급 이상 지도에 메이븐 또는 작열의 총주교, 세계 포식자 영향력 적용","Mapas Tier 16+ têm Influência da Maven, Exarca Cauterizado ou Devorador de Mundos","Карты 16+ уровня имеют влияние Мейвен, Пламенного экзарха или Пожирателя миров","Los mapas de grado 16+ tienen influencia de la Especialista, del Exarca abrasador o del Devorador de mundos","แผนที่ระดับ 16+ มีอิทธิพลของ เมเวน, อุปราชอาบเพลิง หรือ ผู้กลืนกินโลกา","階級 16 以上的地圖有釋界、灼烙總督或吞噬世界勢力",1417,"[20,19]","[75000,180]",44180,[],[],[20792],[1],18160
76,6,11,"Atlas Runners can run Purple Maps","Les Explorateurs de l'Atlas peuvent faire des Cartes violettes","Atlasläufer können violette Karten laufen","アトラスランナーが紫マップへ行くことができる","아틀라스 탐험가가 보라색 지도 공략 가능","Mapeadores do Atlas podem fazer Mapas Roxos","Ходоки в Атлас могут завершать фиолетовые карты","Los exploradores del Atlas pueden explorar mapas morados","นักผจญแผนที่บุก แผนที่ม่วง ได้","輿圖探索者可以刷紫色地圖",1418,"[20,19]","[100000,250]",89425,[],[],[20485],[1],18165
77,7,1,"Establish Runesmithing","Instaurer l'Artisanat forgerunique","Runenschmiedekunst etablieren","ルーンスミスを開始","룬 제작 개시","Estabelecer Runologia","Открывает руноделие","Establecer Forja de runas","จัดตั้ง การสลักอักขระ","建立魔符鍛造",1419,[],[],35,[],[],[20779],[1],18675
78,7,2,"Can Runesmith using Bound Runes","Possibilité d'utiliser des Runes du Lien pour l'Artisanat forgerunique","Kann Runenschmieden unter Nutzung von Bindungsrunen","縛のルーンを用いてルーンスミスが可能","속박 룬으로 룬 제작 가능","Pode usar Runologia com Runas Solares","Позволяет использовать руны Единства","Puedes usar runas de vinculación para forjar runas","สลักด้วย อักขระตรึง ได้","可使用邊界符文進行魔符鍛造",1420,[],[],249,[4974],[1],[20779],[1],18667
79,7,3,"Can Runesmith using Life Runes","Possibilité d'utiliser des Runes de la Vie pour l'Artisanat forgerunique","Kann Runenschmieden unter Nutzung von Lebensrunen","命のルーンを用いてルーンスミスが可能","생명 룬으로 룬 제작 가능","Pode usar Runologia com Runas Vitais","Позволяет использовать руны Жизни","Puedes usar runas de vida para forjar runas","สลักด้วย อักขระชีวิต ได้","可使用生命符文進行魔符鍛造",1421,[],[],670,[4975],[1],[20779],[1],18667
80,7,4,"Can Runesmith using War Runes","Possibilité d'utiliser des Runes de la Guerre pour l'Artisanat forgerunique","Kann Runenschmieden unter Nutzung von Kriegssrunen","戦のルーンを用いてルーンスミスが可能","전쟁 룬으로 룬 제작 가능","Pode usar Runologia com Runas Bélicas","Позволяет использовать руны Войны","Puedes usar runas de guerra para forjar runas","สลักด้วย อักขระสงคราม ได้","可使用戰爭符文進行魔符鍛造",1422,[],[],2587,[4976],[1],[20779],[1],18676
81,7,5,"Can Runesmith using River Runes","Possibilité d'utiliser des Runes de la Rivière pour l'Artisanat forgerunique","Kann Runenschmieden unter Nutzung von Flusssrunen","川のルーンを用いてルーンスミスが可能","강 룬으로 룬 제작 가능","Pode usar Runologia com Runas Fluviais","Позволяет использовать руны Реки","Puedes usar runas de río para forjar runas","สลักด้วย อักขระแม่น้ำ ได้","可使用河川符文進行魔符鍛造",1423,[],[],5117,[4977],[1],[20779],[1],18677
82,7,6,"Can Runesmith using Bounty Runes","Possibilité d'utiliser des Runes de l'Abondance pour l'Artisanat forgerunique","Kann Runenschmieden unter Nutzung von Gabenrunen","賜のルーンを用いてルーンスミスが可能","하사품 룬으로 룬 제작 가능","Pode usar Runologia com Runas Recompensadoras","Позволяет использовать руны Щедрости","Puedes usar runas de botín para forjar runas","สลักด้วย อักขระมั่งมี ได้","可使用寶藏符文進行魔符鍛造",1424,[],[],10664,[4978],[1],[20779],[1],18678
83,7,7,"Can Runesmith using Journey Runes","Possibilité d'utiliser des Runes du Voyage pour l'Artisanat forgerunique","Kann Runenschmieden unter Nutzung von Reiserunen","旅のルーンを用いてルーンスミスが可能","여정 룬으로 룬 제작 가능","Pode usar Runologia com Runas Viajantes","Позволяет использовать руны Странствия","Puedes usar runas de viaje para forjar runas","สลักด้วย อักขระสัญจร ได้","可使用旅途符文進行魔符鍛造",1425,[],[],17965,[4979],[1],[20779],[1],18679
84,7,8,"Can Runesmith using Mountain Runes","Possibilité d'utiliser des Runes de la Montagne pour l'Artisanat forgerunique","Kann Runenschmieden unter Nutzung von Bergrunen","山のルーンを用いてルーンスミスが可能","산 룬으로 룬 제작 가능","Pode usar Runologia com Runas Montícolas","Позволяет использовать руны Горы","Puedes usar runas de montaña para forjar runas","สลักด้วย อักขระขุนเขา ได้","可使用山脊符文進行魔符鍛造",1426,[],[],22324,[4980],[1],[20779],[1],18680
85,7,9,"Can Runesmith using Time Runes","Possibilité d'utiliser des Runes du Temps pour l'Artisanat forgerunique","Kann Runenschmieden unter Nutzung von Zeitrunen","時のルーンを用いてルーンスミスが可能","시간 룬으로 룬 제작 가능","Pode usar Runologia com Runas Temporais","Позволяет использовать руны Времени","Puedes usar runas de tiempo para forjar runas","สลักด้วย อักขระกาลเวลา ได้","可使用時間符文進行魔符鍛造",1441,[],[],27626,[4981],[1],[20779],[1],18681
86,7,10,"Can Runesmith using Power Runes","Possibilité d'utiliser des Runes du Pouvoir pour l'Artisanat forgerunique","Kann Runenschmieden unter Nutzung von Machtrunen","力のルーンを用いてルーンスミスが可能","권능 룬으로 룬 제작 가능","Pode usar Runologia com Runas Poderosas","Позволяет использовать руны Силы","Puedes usar runas de poder para forjar runas","สลักด้วย อักขระพลัง ได้","可使用力量符文進行魔符鍛造",1442,[],[],49120,[4982],[1],[20779],[1],18682
87,8,1,"Establish Recombination","Instaurer la Recombinaison","Rekombination etablieren","リコンビネートを開始","재조합 개시","Estabelecer Recombinação","Открывает рекомбинацию","Establecer Recombinación","จัดตั้ง การผสมไอเทม","建立重組",1427,[20],[500],433,[],[],[20591],[1],18148
88,8,2,"Can Recombinate Armour","Possibilité de Recombiner des Armures","Kann Rüstung rekombinieren","防具をリコンビネート可能","방어구 재조합 가능","Pode Recombinar Armaduras","Можно рекомбинировать доспехи","Puedes recombinar armaduras","ผสม เกราะ ได้","可重組護甲",1428,[20],[1000],4024,[],[],[20591],[1],18149
89,8,3,"Can Recombinate Jewellery and Idols","Possibilité de Recombiner des Accessoires et des Idoles","Kann Schmuck und Götzen rekombinieren","宝飾品および偶像をリコンビネート可能","장신구 및 우상 재조합 가능","Pode Recombinar Acessórios e Ídolos","Можно рекомбинировать бижутерию и идолы","Puedes recombinar joyería e ídolos","ผสม เครื่องประดับและเทวรูป ได้","可重組飾品",1429,[20],[5000],11958,[],[],[20591],[1],18150
90,8,4,"25% reduced Recombination Cost","25% de réduction du Coût de la Recombinaison","25% verringerte Rekombinationskosten","リコンビネートコスト25%減少","재조합 비용 25% 감소","Custo de Recombinação reduzido em 25%","25% снижение стоимости рекомбинации","Costo de recombinación reducido un 25%","ลดค่าผสมไอเทม 25%","減少 25% 重組消耗",1430,[20],[50000],20051,[],[],[20484],[-25],18151
91,8,5,"5% chance for Modifiers to upgrade tier","5% de chances d'améliorer les Modificateurs d'un palier","5% Chance für Modifikatoren, um einen Level aufgewertet zu werden","5%の確率でモッドのティアをアップグレード","5% 확률로 속성 등급 업그레이드","5% de chance dos Modificadores subirem de tier","5% шанс повышения уровня свойств","5% de probabilidad de que se mejore el grado de los modificadores","ม็อด มีโอกาสเพิ่มอันดับ 5%","詞綴有 5% 機率升級階級",1431,[20],[100000],24814,[],[],[20592],[5],18152
92,8,6,"Rarer Modifiers are more likely to be retained","Les Modificateurs rares ont plus de chances d'être retenus","Seltenere Modifikatoren werden mit größerer Wahrscheinlichkeit beibehalten","レアなモッドが保持される可能性が高くなる","희귀도가 높은 속성일수록 유지될 확률이 높아짐","Modificadores Raros são mais Propensos a serem retidos","Больший шанс сохранить более редкие свойства","Es más probable que se conserven los modificadores más raros","ม็อดที่พบได้ยากกว่าเดิม มีโอกาสรักษาเอาไว้มากกว่าเดิม","較稀有的詞綴更有機會被保留",1432,[20],[250000],44115,[],[],[20593],[1],18153
93,9,1,"Establish Fishing","Instaurer la Pêche","Fischerei etablieren","釣りを開始","낚시 개시","Estabelecer Pescaria","Открывает рыбалку","Establecer Pesca","จัดตั้ง การตกปลา","建立釣魚",1470,[],[],108111110,[],[],[20432],[1],""
94,9,2,"+12% Effishency","+12% d'Effichtyocité","+12% Effischizienz","効”り釣” +12%","낚시 효율 +12%","+12% de Peixeficiência","+12% эффиктивности","+12% a la eficiencia de la pesca","ปลาสิทธิภาพ +12%","+12% 釣魚效率",1470,[],[],10332115,[],[],[20406],[20],""
95,9,3,"+28% Effishency","+28% d'Effichtyocité","+28% Effischizienz","効”り釣” +28%","낚시 효율 +28%","+28% de Peixeficiência","+28% эффиктивности","+28% a la eficiencia de la pesca","ปลาสิทธิภาพ +28%","+28% 釣魚效率",1470,[],[],10197115,[],[],[20406],[20],""
96,9,4,"+98% Effishency","+98% d'Effichtyocité","+98% Effischizienz","効”り釣” +98%","낚시 효율 +98%","+98% de Peixeficiência","+98% эффиктивности","+98% a la eficiencia de la pesca","ปลาสิทธิภาพ +98%","+98% 釣魚效率",1470,[],[],111110,[],[],[20406],[20],""
97,10,1,"Request Idols at the Black Market","Disponibilité des Idoles au Marché noir","Fordert Götzen im Schwarzmarkt an","闇市場で偶像をリクエスト","암시장에서 우상 요청","Pedidos de Ídolos no Mercado Negro","На чёрном рынке появляются идолы","Puedes solicitar ídolos en el mercado negro","ขอเดิมพัน เทวรูป ที่ตลาดมืด","在黑市上求購魔偶",634,[19],[200],100000,[],[],[20844],[1],""
