"rownum","Index","SupportGem","Name","Name (French)","Name (German)","Name (Japanese)","Name (Korean)","Name (Portuguese)","Name (Russian)","Name (Spanish)","Name (Thai)","Name (Traditional Chinese)"
152,153,753,"Guardian's Blessing","Bénédiction du gardien","Segen des Wächters","守護者のブレッシング","수호자의 축복","Bênção do Guardião","Благословение защитника","Bendición del guardián","Guardian's Blessing","守護者的祝福"
153,154,754,"Sacrifice","Sacrifice","Opfer","生贄","희생","Sacrifício","Жертвоприношение","Sacrificio","Sacrifice","獻祭"
154,155,755,"Frigid Bond","Lien frigorifiant","Eisiges Band","極寒の絆","차디찬 유대","Vínculo Frio","Морозные узы","Atadura frígida","Frigid Bond","冰寒之繫"
155,156,756,"Locus Mine","Mine locus","Locus-Mine","ローカスマイン","궤적 지뢰","Mina de Localização","Направленная мина","Mina de epicentro","Locus Mine","定位地雷"
156,157,757,"Sadism","Sadisme","Sadismus","サディズム","가학증","Sadismo","Садизм","Sadismo","Sadism","虐待"
157,158,758,"Controlled Blaze","Brasier contrôlé","Kontrollierter Brand","発火制御","제어된 불길","Incêndio Controlado","Управляемое горение","Llamarada controlada","Controlled Blaze","精準烈火"
158,159,764,"Expert Retaliation","Riposte maîtrisée","Geschickter Gegenschlag","熟練の報復","노련한 보복","Retaliação de Especialista","Искусная расплата","Represalia experta","Expert Retaliation","專家復仇"
159,160,834,"Focused Channelling","Canalisation focalisée","Fokussiertes Kanalisieren","チャネリング集中","집약된 집중 유지","Canalização Concentrada","Сфокусированное поддержание","Canalización concentrada","Focused Channelling","專注引導"
160,161,838,"Excommunicate","Excommunication","Bannen","破門","제명","Excomungar","Отлучение","Excomunión","Excommunicate","放逐"
161,162,840,"Blessed Call","Cri béni","Gesegneter Ruf","祝福された呼び声","축복받은 부름","Chamado Abençoado","Священный призыв","Llamado bendito","Blessed Call","禮贈呼喚"
162,163,839,"Exemplar","Exemple","Exempel","模範","귀감","Exemplar","Эталон","Parangón","Exemplar","典範"
163,164,841,"Hallow","Sanctification","Heiligen","聖別","거룩함","Santificar","Благодать","Santificación","Hallow","聖徒"
