"rownum","Id","Text","Text (French)","Text (German)","Text (Japanese)","Text (Korean)","Text (Portuguese)","Text (Russian)","Text (Spanish)","Text (Thai)","Text (Traditional Chinese)","StatsKeys1","CharacterPanelDescriptionModesKey","StatsKeys2","StatsKeys3","CharacterPanelTabsKey","bool_96","[i32]_97","i32_113","bool_117"
112,"OH_ChanceToPoison","Chance to Poison from Off Hand hits","Chances d'Empoisonnement (Main secondaire)","Chance auf Vergiften von Nebenhandtreffern","オフハンド毒付与確率","보조 장비로 명중 시 중독 확률","Chance de Envenenar com acertos da Mão Secundária","Шанс отравить от ударов левой рукой","Probabilidad de envenenar con golpes de la mano secundaria","โอกาสสร้างสถานะ พิษ จากการปะทะ ด้วยมือรอง","副手武器擊中時中毒機率",[6602],1,[7776],[437],0,1,[],0,""
113,"Spell_ChanceToPoison","Chance to Poison","Chances d'Empoisonnement","Chance auf Vergiften","毒付与確率","중독 확률","Chance de Envenenar","Шанс отравить","Probabilidad de envenenar","โอกาสสร้างสถานะ พิษ","中毒機率",[6603],1,[437],[1673],0,1,[],0,""
114,"Secondary_ChanceToPoison","Chance to Poison","Chances d'Empoisonnement","Chance auf Vergiften","毒付与確率","중독 확률","Chance de Envenenar","Шанс отравить","Probabilidad de envenenar","โอกาสสร้างสถานะ พิษ","中毒機率",[6604],1,[1673],[],0,1,[],0,""
115,"OnlyChaosChanceToPoison","Chance to Poison from only Chaos Damage","Chances d'Empoisonnement via Dégâts de chaos uniquement","Chance auf Vergiften nur von Chaosschaden","カオスダメージのみの毒付与確率","명중 시 카오스 피해로 인한 중독 확률","Chance de Envenenar com Dano puro de Caos","Шанс отравить только от урона хаосом","Probabilidad de envenenar solo con daño de caos","โอกาสสร้างสถานะ พิษ จากความเสียหาย เคออส เท่านั้น","僅限混沌傷害的中毒機率",[6376],1,[],[],0,1,[],0,""
116,"MH_PoisonDamage","Poison Damage per second from Main Hand hits","Dégâts de Poison par seconde (Main principale)","Giftschaden pro Sekunde von Haupthandtreffern","メインハンドヒットによる秒間毒ダメージ","주 무기로 명중 시 초당 중독 피해","Dano de Veneno por segundo de acertos da Mão Principal","Урон от яда в секунду от ударов правой рукой","Daño de veneno por segundo por golpes con la mano principal","ความเสียหายต่อวินาทีของ พิษ จากการปะทะ ด้วยมือหลัก","主手武器擊中時每秒中毒傷害","[6110,6111]",2,[7775],"[437,1673]",0,1,"[2,0]",0,""
117,"MH_PoisonCritDamage","Poison Damage per second from Main Hand Critical Strikes","Dégâts de Poison par seconde via Coup critique (Main principale)","Giftschaden pro Sekunde von krit. Haupthandtreffern","メインハンドクリティカル時の秒間毒ダメージ","주 무기로 치명타 명중 시 초당 중독 피해","Dano de Veneno por segundo dos Golpes Críticos da Mão Principal","Урон от яда в секунду от критических ударов правой рукой","<size:22>{Daño de veneno por segundo por golpes críticos con la mano principal}","ความเสียหายต่อวินาทีของ พิษ จากการคริติคอล ด้วยมือหลัก","主手武器暴擊時每秒中毒傷害","[10337,10338]",2,[7775],"[437,1673]",0,1,"[2,0]",0,""
118,"OH_PoisonDamage","Poison Damage per second from Off Hand hits","Dégâts de Poison par seconde (Main secondaire)","Giftschaden pro Sekunde von Nebenhandtreffern","オフハンドヒットによる秒間毒ダメージ","보조 장비로 명중 시 초당 중독 피해","Dano de Veneno por segundo de acertos da Mão Secundária","Урон от яда в секунду от ударов левой рукой","<size:22>{Daño de veneno por segundo por golpes con la mano secundaria}","ความเสียหายต่อวินาทีของ พิษ จากการปะทะ ด้วยมือรอง","副手武器擊中時每秒中毒傷害","[6112,6113]",2,[7776],"[437,1673]",0,1,"[2,0]",0,""
119,"OH_PoisonCritDamage","Poison Damage per second from Off Hand Critical Strikes","Dégâts de Poison par seconde via Coup critique (Main secondaire)","Giftschaden pro Sekunde von krit. Nebenhandtreffern","オフハンドクリティカル時の秒間毒ダメージ","보조 장비로 치명타 명중 시 초당 중독 피해","Dano de Veneno por segundo dos Golpes Críticos da Mão Secundária","Урон от яда в секунду от критических ударов левой рукой","<size:22>{Daño de veneno por segundo por golpes críticos con la mano secundaria}","ความเสียหายต่อวินาทีของ พิษ จากการคริติคอล ด้วยมือรอง","副手武器暴擊時每秒中毒傷害","[10339,10340]",2,[7776],"[437,1673]",0,1,"[2,0]",0,""
120,"Spell_PoisonDamage","Poison Damage per second","Dégâts de Poison par seconde","Giftschaden pro Sekunde","秒間毒ダメージ","초당 중독 피해","Dano de Veneno por segundo","Урон от яда в секунду","Daño de veneno por segundo","ความเสียหายต่อวินาทีของ พิษ","每秒中毒傷害","[6114,6115]",2,[437],[1673],0,1,"[2,0]",0,""
121,"Spell_PoisonCritDamage","Poison Damage per second from Critical Strikes","Dégâts de Poison par seconde via Coup critique","Giftschaden pro Sekunde von kritischen Treffern","クリティカル時の秒間毒ダメージ","치명타 명중 시 초당 중독 피해","Dano de Veneno por segundo dos Golpes Críticos","Урон от яда в секунду от критических ударов","Daño de veneno por segundo por golpes críticos","ความเสียหายต่อวินาทีของ พิษ จากการคริติคอล","暴擊每秒中毒傷害","[10341,10342]",2,[437],[1673],0,1,"[2,0]",0,""
122,"Secondary_PoisonDamage","Poison Damage per second","Dégâts de Poison par seconde","Giftschaden pro Sekunde","秒間毒ダメージ","초당 중독 피해","Dano de Veneno por segundo","Урон от яда в секунду","Daño de veneno por segundo","ความเสียหายต่อวินาทีของ พิษ","每秒中毒傷害","[6116,6117]",2,[1673],[],0,1,"[2,0]",0,""
123,"Secondary_PoisonCritDamage","Poison Damage per second from Critical Strikes","Dégâts de Poison par seconde via Coup critique","Giftschaden pro Sekunde von kritischen Treffern","クリティカル時の秒間毒ダメージ","치명타 명중 시 초당 중독 피해","Dano de Veneno por segundo dos Golpes Críticos","Урон от яда в секунду от критических ударов","Daño de veneno por segundo por golpes críticos","ความเสียหายต่อวินาทีของ พิษ จากการคริติคอล","暴擊每秒中毒傷害","[10343,10344]",2,[1673],[],0,1,"[2,0]",0,""
124,"MH_PoisonDamageAlways","Poison Damage per second from Main Hand only Chaos Damage","Dégâts de Poison par seconde via Dégâts de chaos uniquement (Main principale)","Giftschaden pro Sek. von Haupthandtreffern (nur Chaos)","混沌ダメージのみのメインハンドヒットによる秒間毒ダメージ","주 무기로 명중 시 카오스 피해로 인한 초당 중독 피해","Dano de Veneno por segundo da Mão Principal com Dano puro de Caos","Урон от яда в секунду от всех ударов правой рукой только от урона хаосом","<size:22>{Daño de veneno por segundo solo por daño de caos con la mano principal}","ความเสียหายต่อวินาทีของ พิษ จาก เคออส ด้วยมือหลัก","僅限主手混沌傷害的每秒中毒傷害","[6118,6119]",2,[7775],"[437,1673]",0,1,"[2,0]",0,""
125,"MH_PoisonCritDamageAlways","Poison Damage per second from Main Hand only Critical Chaos Damage","Dégâts de Poison par seconde via Dégâts de chaos critiques uniquement (Main principale)","Giftschaden pro Sek. von krit. Haupthandtreffern (nur Chaos)","混沌ダメージのみのメインハンドクリティカル時の秒間毒ダメージ","주 무기로 치명타 명중 시 카오스 피해로 인한 초당 중독 피해","Dano de Veneno por segundo apenas com Golpes Críticos de Caos da Mão Principal","Урон от яда в секунду от всех критических ударов правой рукой только от урона хаосом","<size:22>{Daño de veneno por segundo solo por daño crítico de caos con la mano principal}","ความเสียหายต่อวินาทีของ พิษ จาก เคออส จากการคริติคอล ด้วยมือหลัก","僅限主手暴擊混沌傷害的每秒中毒傷害","[10345,10346]",2,[7775],"[437,1673]",0,1,"[2,0]",0,""
126,"OH_PoisonDamageAlways","Poison Damage per second from Off Hand only Chaos Damage","Dégâts de Poison par seconde via Dégâts de chaos uniquement (Main secondaire)","Giftschaden pro Sek. von Nebenhandtreffern (nur Chaos)","混沌ダメージのみのオフハンドヒットによる秒間毒ダメージ","보조 장비로 명중 시 카오스 피해로 인한 초당 중독 피해","Dano de Veneno por segundo da Mão Secundária com Dano puro de Caos","Урон от яда в секунду от всех ударов левой рукой только от урона хаосом","<size:22>{Daño de veneno por segundo solo por daño de caos con la mano secundaria}","ความเสียหายต่อวินาทีของ พิษ จาก เคออส ด้วยมือรอง","僅限副手混沌傷害的每秒中毒傷害","[6120,6121]",2,[7776],"[437,1673]",0,1,"[2,0]",0,""
127,"OH_PoisonCritDamageAlways","Poison Damage per second from Off Hand only Critical Chaos Damage","Dégâts de Poison par seconde via Dégâts de chaos critiques uniquement (Main secondaire)","Giftschaden pro Sek. von krit. Nebenhandtreffern (nur Chaos)","混沌ダメージのみのオフハンドクリティカル時の秒間毒ダメージ","보조 장비로 치명타 명중 시 카오스 피해로 인한 초당 중독 피해","Dano de Veneno por segundo com Golpes Críticos de Caos da Mão Secundária","Урон от яда в секунду от всех критических ударов левой рукой только от урона хаосом","<size:22>{Daño de veneno por segundo solo por daño crítico de caos con la mano secundaria}","ความเสียหายต่อวินาทีของ พิษ จาก เคออส จากการคริติคอล ด้วยมือรอง","僅限副手暴擊混沌傷害的每秒中毒傷害","[10347,10348]",2,[7776],"[437,1673]",0,1,"[2,0]",0,""
128,"Spell_PoisonDamageAlways","Poison Damage per second from only Chaos Damage","Dégâts de Poison par seconde via Dégâts de chaos uniquement","Giftschaden pro Sekunde nur von Chaosschaden","混沌ダメージのみの秒間毒ダメージ","명중 시 카오스 피해로 인한 초당 중독 피해","Dano de Veneno por segundo apenas com Dano puro de Caos","Урон от яда в секунду от всех ударов только от урона хаосом","Daño de veneno por segundo solo por daño de caos ","ความเสียหายต่อวินาทีของ พิษ จาก เคออส","僅限混沌傷害的每秒中毒傷害","[6122,6123]",2,[437],[1673],0,1,"[2,0]",0,""
129,"Spell_PoisonCritDamageAlways","Poison Damage per second from only Critical Chaos Damage","Dégâts de Poison par seconde via Dégâts de chaos critiques uniquement","Giftschaden pro Sek. nur von krit. Treffern mit Chaosschaden","混沌ダメージのみのクリティカル時の秒間毒ダメージ","치명타 명중 시 카오스 피해로 인한 초당 중독 피해","Dano de Veneno por segundo apenas com Golpes Críticos de Caos","Урон от яда в секунду от всех критических ударов только от урона хаосом","Daño de veneno por segundo solo por daño crítico de caos","ความเสียหายต่อวินาทีของ พิษ จาก เคออส จากการคริติคอล","僅限暴擊混沌傷害的每秒中毒傷害","[10349,10350]",2,[437],[1673],0,1,"[2,0]",0,""
130,"Secondary_PoisonDamageAlways","Poison Damage per second from only Chaos Damage","Dégâts de Poison par seconde via Dégâts de chaos uniquement","Giftschaden pro Sekunde nur von Chaosschaden","混沌ダメージのみの秒間毒ダメージ","명중 시 카오스 피해로 인한 초당 중독 피해","Dano de Veneno por segundo apenas com Dano de Caos","Урон от яда в секунду от всех ударов только от урона хаосом","Daño de veneno por segundo solo por daño de caos ","ความเสียหายต่อวินาทีของ พิษ จาก เคออส","僅限混沌傷害的每秒中毒傷害","[6124,6125]",2,[1673],[],0,1,"[2,0]",0,""
131,"Secondary_PoisonCritDamageAlways","Poison Damage per second from only Critical Chaos Damage","Dégâts de Poison par seconde via Dégâts de chaos critiques uniquement","Giftschaden pro Sek. nur von krit. Treffern mit Chaosschaden","混沌ダメージのみのクリティカル時の秒間毒ダメージ","치명타 명중 시 카오스 피해로 인한 초당 중독 피해","Dano de Veneno por segundo apenas com Golpes Críticos de Caos","Урон от яда в секунду от всех критических ударов только от урона хаосом","Daño de veneno por segundo solo por daño crítico de caos","ความเสียหายต่อวินาทีของ พิษ จาก เคออส จากการคริติคอล","僅限暴擊混沌傷害的每秒中毒傷害","[10351,10352]",2,[1673],[],0,1,"[2,0]",0,""
132,"NumArrows","Number of Arrows to fire","Nombre de flèches tirées","Anzahl zu verschießender Pfeile","放たれる矢の数","화살 발사 개수","Número de Flechas para atirar","Число стрел для атаки","Número de flechas a disparar","จำนวน ศร ที่จะยิง","射出箭矢數",[725],0,[],[],0,1,[],0,""
133,"ArrowPierce","Number of targets to Pierce with Arrows","Nombre de cibles Transpercées par les flèches","Anzahl zu durchbohrender Ziele mit Pfeilen","矢が貫通する敵の数","화살 대상 관통 개수","Número de alvos a Atravessar com Flechas","Число целей для пронзания стрелами","Número de objetivos a perforar con flechas","จำนวนเป้าหมายที่ ศร เจาะทะลุได้","箭矢穿透目標的數量",[6348],0,[725],[],0,1,[],0,""
134,"NumProjectiles","Number of Projectiles to fire","Nombre de projectiles tirés","Anzahl zu verschießender Projektile","放たれる投射物の数","투사체 발사 개수","Número de Projéteis para atirar","Число снарядов для атаки","Número de proyectiles a disparar","จำนวน โพรเจกไทล์ ที่จะยิง","射出投射物數",[724],0,[],[],0,1,[],0,""
135,"Pierce","Number of targets to Pierce with Projectiles","Nombre de cibles Transpercées par les projectiles","Anzahl zu durchbohrender Ziele mit Projektilen","投射物が貫通する敵の数","투사체 대상 관통 개수","Número de alvos a Atravessar com Projéteis","Число целей для пронзания снарядами","Número de objetivos a perforar con proyectiles","จำนวนเป้าหมายที่โพรเจกไทล์ เจาะทะลุ ได้","投射物穿透目標的數量",[6347],0,[724],[],0,1,[],0,""
136,"MH_FirePenetration","Main Hand Fire Resistance Penetration","Pénétration de Résistance au feu (Main principale)","Haupthand: Durchdringung des Feuerwiderstands","メインハンド火耐性貫通","주 무기 화염 저항 관통","Penetração da Resistência a Fogo da Mão Principal","Пробивание сопротивления огню правой рукой","Penetración de la resistencia al fuego de la mano principal","การเจาะต้านทาน ไฟ ด้วยมือหลัก","主手火焰抗性穿透",[14430],1,[7775],[437],0,1,[],0,""
137,"MH_ColdPenetration","Main Hand Cold Resistance Penetration","Pénétration de Résistance au froid (Main principale)","Haupthand: Durchdringung des Kältewiderstands","メインハンド冷気耐性貫通","주 무기 냉기 저항 관통","Penetração da Resistência a Gelo da Mão Principal","Пробивание сопротивления холоду правой рукой","Penetración de la resistencia al hielo de la mano principal","การเจาะต้านทาน น้ำแข็ง ด้วยมือหลัก","主手冰冷抗性穿透",[14431],1,[7775],[437],0,1,[],0,""
138,"MH_LightningPenetration","Main Hand Lightning Resistance Penetration","Pénétration de Résistance à la foudre (Main principale)","Haupthand: Durchdringung des Blitzwiderstands","メインハンド雷耐性貫通","주 무기 번개 저항 관통","Penetração da Resistência a Raio da Mão Principal","Пробивание сопротивления молнии правой рукой","Penetración de la resistencia al rayo de la mano principal","การเจาะต้านทาน สายฟ้า ด้วยมือหลัก","主手閃電抗性穿透",[14432],1,[7775],[437],0,1,[],0,""
139,"MH_ChaosPenetration","Main Hand Chaos Resistance Penetration","Pénétration de Résistance au chaos (Main principale)","Haupthand: Durchdringung des Chaoswiderstands","メインハンド混沌耐性貫通","주 무기 카오스 저항 관통","Penetração da Resistência a Caos da Mão Principal","Пробивание сопротивления хаосу правой рукой","Penetración de la resistencia al caos de la mano principal","การเจาะต้านทาน เคออส ด้วยมือหลัก","主手混沌抗性穿透",[14440],1,[7775],[437],0,1,[],0,""
140,"OH_FirePenetration","Off Hand Fire Resistance Penetration","Pénétration de Résistance au feu (Main secondaire)","Nebenhand: Durchdringung des Feuerwiderstands","オフハンド火耐性貫通","보조 장비 화염 저항 관통","Penetração da Resistência a Fogo da Mão Secundária","Пробивание сопротивления огню левой рукой","Penetración de la resistencia al fuego de la mano secundaria","การเจาะต้านทาน ไฟ ด้วยมือรอง","副手火焰抗性穿透",[14433],1,[7776],[437],0,1,[],0,""
141,"OH_ColdPenetration","Off Hand Cold Resistance Penetration","Pénétration de Résistance au froid (Main secondaire)","Nebenhand: Durchdringung des Kältewiderstands","オフハンド冷気耐性貫通","보조 장비 냉기 저항 관통","Penetração da Resistência a Gelo da Mão Secundária","Пробивание сопротивления холоду левой рукой","Penetración de la resistencia al hielo de la mano secundaria","การเจาะต้านทาน น้ำแข็ง ด้วยมือรอง","副手冰冷抗性穿透",[14434],1,[7776],[437],0,1,[],0,""
142,"OH_LightningPenetration","Off Hand Lightning Resistance Penetration","Pénétration de Résistance à la foudre (Main secondaire)","Nebenhand: Durchdringung des Blitzwiderstands","オフハンド雷耐性貫通","보조 장비 번개 저항 관통","Penetração da Resistência a Raio da Mão Secundária","Пробивание сопротивления молнии левой рукой","Penetración de la resistencia al rayo de la mano secundaria","การเจาะต้านทาน สายฟ้า ด้วยมือรอง","副手閃電抗性穿透",[14435],1,[7776],[437],0,1,[],0,""
143,"OH_ChaosPenetration","Off Hand Chaos Resistance Penetration","Pénétration de Résistance au chaos (Main secondaire)","Nebenhand: Durchdringung des Chaoswiderstands","オフハンド混沌耐性貫通","보조 장비 카오스 저항 관통","Penetração da Resistência a Caos da Mão Secundária","Пробивание сопротивления хаосу левой рукой","Penetración de la resistencia al caos de la mano secundaria","การเจาะต้านทาน เคออส ด้วยมือรอง","副手混沌抗性穿透",[14441],1,[7776],[437],0,1,[],0,""
144,"FirePenetration","Fire Resistance Penetration","Pénétration de Résistance au feu","Durchdringung des Feuerwiderstands","火耐性貫通","화염 저항 관통","Penetração de Resistência a Fogo","Пробивание сопротивления огню","Penetración de la resistencia al fuego","การเจาะต้านทาน ไฟ","火焰抗性穿透",[593],1,[437],[],0,1,[],0,""
145,"ColdPenetration","Cold Resistance Penetration","Pénétration de Résistance au froid","Durchdringung des Kältewiderstands","冷気耐性貫通","냉기 저항 관통","Penetração de Resistência a Gelo","Пробивание сопротивления холоду","Penetración de la resistencia al hielo","การเจาะต้านทาน น้ำแข็ง","冰冷抗性穿透",[592],1,[437],[],0,1,[],0,""
146,"LightningPenetration","Lightning Resistance Penetration","Pénétration de Résistance à la foudre","Durchdringung des Blitzwiderstands","雷耐性貫通","번개 저항 관통","Penetração de Resistência a Raio","Пробивание сопротивления молнии","Penetración de la resistencia al rayo","การเจาะต้านทาน สายฟ้า","閃電抗性穿透",[594],1,[437],[],0,1,[],0,""
147,"ChaosPenetration","Chaos Resistance Penetration","Pénétration de Résistance au chaos","Durchdringung des Chaoswiderstands","混沌耐性貫通","카오스 저항 관통","Penetração de Resistência a Caos","Пробивание сопротивления хаосу","Penetración de la resistencia al caos","การเจาะต้านทาน เคออส","混沌抗性穿透",[599],1,[437],[],0,1,[],0,""
148,"MainhandDoubleDamageChilled","Main Hand Attacks double Damage to Chilled Enemies","Dégâts doublés contre les ennemis Frigorifiés (Main principale)","Verdoppelter Haupthandschaden auf unterkühlte Gegner","冷却状態の敵へメインハンドでダブルダメージを与えるか","냉각된 적에게 주 무기 공격 두 배 피해","Dobro do Dano com a Mão Principal em Inimigos Resfriados","Атаки оружием в правой руке наносят удвоенный урон охлажденным врагам","<size:22>{Los ataques de la mano principal hacen el doble de daño a los enemigos escarchados}","การโจมตีมือหลัก สร้างความเสียหายสองเท่าต่อศัตรูที่มีสถานะ หนาวเย็น","主手對冰緩敵人造成雙倍傷害",[4165],4,[7775],[437],0,1,[],0,""
149,"OffhandDoubleDamageChilled","Off Hand Attacks double Damage to Chilled Enemies","Dégâts doublés contre les ennemis Frigorifiés (Main secondaire)","Verdoppelter Nebenhandschaden auf unterkühlte Gegner","冷却状態の敵へオフハンドでダブルダメージ与えるか","냉각된 적에게 보조 장비 공격 두 배 피해","Dobro do Dano com a Mão Secundária em Inimigos Resfriados","Атаки оружием в левой руке наносят удвоенный урон охлажденным врагам","<size:22>{Los ataques de la mano secundaria hacen el doble de daño a los enemigos escarchados}","การโจมตีมือรอง สร้างความเสียหายสองเท่าต่อศัตรูที่มีสถานะ หนาวเย็น","副手對冰緩敵人造成雙倍傷害",[4166],4,[7776],[437],0,1,[],0,""
150,"MH_ChanceToImpale","Chance to Impale with Main Hand hits","Chances d'Empaler au toucher (Main principale)","Chance auf Aufspießen durch Haupthandtreffer","メインハンドヒットの串刺し確率","주 무기로 명중 시 꿰뚫을 확률","Chance de Empalar com acertos da Mão Principal","Шанс наложить Прокол от ударов правой рукой","Probabilidad de empalar con golpes de la mano principal","โอกาสสร้างสถานะ ทิ่มแทง จากการปะทะ ด้วยมือหลัก","主手擊中穿刺機率",[8938],1,[7775],[437],0,1,[],0,""
151,"OH_ChanceToImpale","Chance to Impale with Off Hand hits","Chances d'Empaler au toucher (Main secondaire)","Chance auf Aufspießen durch Nebenhandtreffer","オフハンドヒットの串刺し確率","보조 장비로 명중 시 꿰뚫을 확률","Chance de Empalar com acertos da Mão Secundária","Шанс наложить Прокол от ударов левой рукой","Probabilidad de empalar con golpes de la mano secundaria","โอกาสสร้างสถานะ ทิ่มแทง จากการปะทะ ด้วยมือรอง","副手擊中穿刺機率",[8939],1,[7776],[437],0,1,[],0,""
152,"Spell_ChanceToImpale","Chance to Impale","Chances d'Empaler","Chance auf Aufspießen","串刺し確率","꿰뚫을 확률","Chance de Empalar","Шанс наложить Прокол","Probabilidad de empalar","โอกาสสร้างสถานะ ทิ่มแทง","穿刺激率",[15567],1,[437],"[1673,1204]",0,1,[],0,""
153,"Secondary_ChanceToImpale","Chance to Impale","Chances d'Empaler","Chance auf Aufspießen","串刺し確率","꿰뚫을 확률","Chance de Empalar","Шанс наложить Прокол","Probabilidad de empalar","โอกาสสร้างสถานะ ทิ่มแทง","穿刺激率",[13145],1,[1673],[1204],0,1,[],0,""
154,"MercenaryStrength","Strength","Force","Stärke","筋力","힘","Força","Сила","Fuerza","Strength","力量",[574],0,[21603],[],1,1,[],0,1
155,"MercenaryDexterity","Dexterity","Dextérité","Geschick","器用さ","민첩","Destreza","Ловкость","Destreza","Dexterity","敏捷",[580],0,[21603],[],1,1,[],0,1
156,"MercenaryIntelligence","Intelligence","Intelligence","Intelligenz","知性","지능","Inteligência","Интеллект","Inteligencia","Intelligence","智慧",[577],0,[21603],[],1,1,[],0,1
157,"Ward","Ward","Sauvegarde","Schutz","ワード","수호","Proteção","Барьер","Barrera","วอร์ดคุ้มภัย","保護",[14503],0,[],[],1,1,[],0,1
158,"WardDelay","Ward Restoration time","Vitesse de restauration de Sauvegarde","Schutz-Wiederherstellungszeit","ワード回復時間","수호 회복 시간","Tempo de Restauração da Proteção","Время восстановления барьера","Tiempo de recuperación de la barrera","เวลาการ ฟื้นคืนวอร์ดคุ้มภัย","保護回復時間",[14508],9,[14503],[],1,"",[9],0,1
159,"Armour","Armour","Armure","Rüstung","アーマー","방어도","Armadura","Броня","Armadura","ค่าเกราะ","護甲值",[242],0,[],[],1,1,[],4,1
160,"ArmourVsProjectiles","Armour against Projectiles","Armure contre les projectiles","Rüstung gegen Projektile","投射物に対するアーマー","투사체 대응 방어도","Armadura contra Projéteis","Броня против снарядов","Armadura contra proyectiles","ค่าเกราะต่อ โพรเจกไทล์","對投射物護甲值",[1071],0,[5254],[],1,"",[],0,1
161,"PhysicalImmunity","Immune to Physical Damage","Immunité aux Dégâts physiques","Immun gegen physischen Schaden","物理ダメージ完全耐性","물리 피해 면역","Imune a Dano Físico","Иммунитет к физическому урону","Inmune al daño físico","ไม่ได้รับความเสียหาย กายภาพ","免疫物理傷害",[718],4,[],[],1,1,[],0,1
162,"ArmourEstimateReduction","Estimated Physical Damage reduction","Réduction estimée face aux Dégâts physiques","Geschätzte physische Schadensminderung","推定物理ダメージ軽減率","물리 피해 감소 예상치","Redução Estimada de Dano Físico","Ожидаемое снижение получаемого физического урона","Reducción estimada de daño físico","ค่าป้องกันกายภาพ โดยประมาณ","預期物理傷害減少",[720],1,[],[],1,1,[],0,1
163,"ArmourVsProjEstimateReduction","Estimated Physical Damage reduction against Projectiles","Réduction estimée face aux Dégâts physiques des projectiles","Geschätzte physische Schadensminderung gegen Projektile","投射物に対する推定物理ダメージ軽減率","투사체 대응 물리 피해 감소 예상치","Redução Estimada de Dano Físico contra Projéteis","Ожидаемое снижение получаемого физического урона от снарядов","Reducción estimada de daño físico contra proyectiles","ค่าป้องกันกายภาพ ต่อโพรเจกไทล์ โดยประมาณ","對投射物預期物理傷害減少",[1076],1,[5254],[],1,"",[],0,1
164,"ArmourVsHitsEstimateReduction","Estimated Physical Damage reduction against Hits","Réduction estimée face aux Dégâts physiques au toucher","Geschätzte physische Schadensminderung gegen Treffer","ヒットに対する推定物理ダメージ軽減率","피격 시 대응 물리 피해 감소 예상치","Redução Estimada de Dano Físico contra Acertos","Ожидаемое снижение получаемого физического урона от ударов","Reducción estimada de daño físico contra golpes","ค่าป้องกันกายภาพ ต่อการปะทะ โดยประมาณ","對擊中預期物理傷害減少",[7451],1,[7450],[],1,"",[],0,1
165,"Evasion","Evasion Rating","Score d'Évasion","Ausweichwert","回避力","회피","Evasão","Уклонение","Evasión","อัตราการหลบหลีก","閃避值",[283],0,[],[],1,1,[],4,1
166,"EvadeChance","Estimated chance to Evade Attacks","Chances estimées d'Évasion contre les attaques","Geschätzte Chance, Angriffen auszuweichen","推定アタック回避率","예상 회피 확률","Chance Estimada de Evadir Ataques","Ожидаемый шанс уклонения от атак","Probabilidad estimada de evadir ataques","โอกาสหลบหลีกการโจมตีโดยประมาณ","預期閃避攻擊機率",[679],1,[],[],1,1,[],0,1
167,"SpellDodgeChance","Chance to Dodge Spells","Chances d'Esquiver les sorts","Chance auf Entgehen von Zaubern","スペルドッジ確率","주문 완벽회피 확률","Chance de Esquivar de Magias","Шанс уворота от чар","Probabilidad de esquivar hechizos","โอกาสหลบเลี่ยงเวท","躲避法術機率",[837],1,[],[],1,1,[],0,1
168,"LifeRecharge","Life Recharge per second","Recharge de Vie par seconde","Lebensaufladung pro Sekunde","秒間ライフリチャージ","초당 생명력 재충전","Recuperação de Vida por segundo","Перезарядка здоровья в секунду","Recarga de vida por segundo","การ รีชาร์จพลังชีวิต ต่อวินาที","每秒生命充能",[9523],0,[],[],1,1,[2],0,1
169,"ES","Maximum Energy Shield","Bouclier d'énergie maximal","Maximaler Energieschild","最大エナジーシールド","에너지 보호막 최대치","Escudo de Energia Máximo","Энергетический щит","Escudo de energía máximo","โล่พลังงานสูงสุด","最大能量護盾",[248],0,[],[],1,1,[],4,1
170,"ESRecharge","Energy Shield Recharge per second","Recharge du Bouclier d'énergie par seconde ","Energieschild-Aufladung pro Sekunde","秒間エナジーシールドリチャージ","초당 에너지 보호막 재충전","Recarga de Escudo de Energia por segundo","Перезарядка энергетического щита в секунду","Recarga de escudo de energía por segundo","การ รีชาร์จโล่พลังงาน ต่อวินาที","每秒能量護盾充能",[251],0,[],[],1,1,[2],0,1
171,"ESDelay","Energy Shield Recharge Occurrence modifier","Modificateur du Délai de recharge du Bouclier d'énergie","Modifikator für Energieschild-Aufladung","エナジーシールドリチャージ発生遅延モッド","에너지 보호막 재충전 발생 속성 부여","Modificador da Ocorrência da Recarga de Escudo de Energia","Модификатор задержки перед перезарядкой энергетического щита","Modificador de ocurrencia de recarga de escudo de energía","ม็อดการเกิดการ รีชาร์จโล่พลังงาน","能量護盾充能間隔修正",[3920],7,[],[],1,1,[],0,1
172,"LifeRegen","Life Regeneration per Second","Régénération de Vie par seconde","Lebensregeneration pro Sekunde","秒間ライフ自動回復","초당 생명력 재생","Regeneração de Vida por Segundo","Регенерация здоровья в секунду","Regeneración de vida por segundo","การ ฟื้นฟูพลังชีวิต ต่อวินาที","每秒回復生命",[249],0,[],[],1,1,[2],0,1
173,"ManaRegen","Mana Regeneration per Second","Régénération de Mana par seconde","Manaregeneration pro Sekunde","秒間マナ自動回復","초당 마나 재생","Regeneração de Mana por Segundo","Регенерация маны в секунду","Regeneración de maná por segundo","การ ฟื้นฟูมานา ต่อวินาที","每秒回復魔力",[250],0,[],[],1,1,[2],0,""
174,"ESRegen","Energy Shield Regeneration per Second","Régénération de Bouclier d'énergie par seconde","Energieschild-Regeneration pro Sekunde","秒間エナジーシールド自動回復","초당 에너지 보호막 재생","Regeneração do Escudo de Energia por Segundo","Регенерация энергетического щита в секунду","Regeneración de escudo de energía por segundo","การ ฟื้นฟูโล่พลังงาน ต่อวินาที","每秒回復能量護盾",[1057],0,[],[],1,1,[2],0,1
