"rownum","Id","rid_8","Archetype","Gem","BK2File"
559,"589",13,[73],1679,""
560,"590",15,[73],1914,""
561,"591",18,[73],1674,""
562,"592",30,[73],2137,""
563,"593",0,[74],1885,""
564,"594",8,[74],2327,""
565,"595",7,[74],2004,""
566,"596",3,[74],2026,""
567,"598",2,[74],1947,""
568,"599",10,[74],1710,""
569,"600",13,[74],2029,""
570,"601",15,[74],1701,""
571,"603",24,[74],2127,""
572,"605",30,[74],2137,""
573,"606",0,[75],1855,""
574,"607",8,[75],1633,""
575,"608",7,[75],1724,""
576,"609",3,[75],1746,""
577,"610",4,[75],2003,""
578,"611",2,[75],1934,""
579,"612",10,[75],2120,""
580,"613",13,[75],1853,""
581,"614",15,[75],1671,""
582,"615",18,[75],1759,""
583,"616",24,[75],1751,""
584,"618",30,[75],1895,""
585,"602",0,[76],1603,""
586,"604",8,[76],2113,""
587,"617",7,[76],1598,""
588,"620",4,[76],1990,""
589,"621",2,[76],1933,""
590,"622",10,[76],2308,""
591,"623",13,[76],1849,""
592,"624",15,[76],1668,""
593,"625",18,[76],1871,""
594,"628",23,[76],1941,""
595,"626",24,[76],2009,""
596,"627",29,[76],1975,""
597,"629",0,[77],1623,""
598,"630",8,[77],1627,""
599,"631",7,[77],2004,""
600,"632",3,[77],2026,""
601,"634",2,[77],1655,""
602,"635",10,[77],1710,""
603,"636",13,[77],2029,""
604,"637",15,[77],1799,""
605,"638",18,[77],1716,""
606,"640",24,[77],1879,""
607,"641",29,[77],1626,""
608,"642",30,[77],2137,""
609,"639",0,[78],1662,""
610,"643",8,[78],1633,""
611,"644",7,[78],1874,""
612,"645",3,[78],1893,""
613,"646",4,[78],2003,""
614,"648",10,[78],1620,""
615,"649",13,[78],1614,""
616,"650",15,[78],1904,""
617,"651",18,[78],1758,""
618,"652",24,[78],2019,""
619,"653",29,[78],1967,""
620,"654",30,[78],2101,""
621,"692",0,[79],1619,""
622,"647",8,[79],1903,""
623,"656",7,[79],1860,""
624,"657",10,[79],1964,""
625,"658",3,[79],2026,""
626,"660",2,[79],1922,""
627,"661",15,[79],1799,""
628,"662",13,[79],1852,""
629,"663",18,[79],1716,""
630,"664",24,[79],2127,""
631,"665",29,[79],1966,""
632,"666",30,[79],1895,""
633,"667",0,[80],1603,""
634,"668",8,[80],2113,""
635,"669",7,[80],1598,""
636,"671",4,[80],1992,""
637,"672",2,[80],1921,""
638,"673",10,[80],1908,""
639,"674",13,[80],1872,""
640,"675",15,[80],1668,""
641,"676",18,[80],1717,""
642,"677",24,[80],1877,""
643,"678",29,[80],1931,""
644,"679",30,[80],1895,""
645,"680",0,[81],1881,""
646,"681",8,[81],1698,""
647,"682",7,[81],1724,""
648,"683",3,[81],1746,""
649,"684",4,[81],2003,""
650,"685",2,[81],1934,""
651,"686",10,[81],2090,""
652,"687",13,[81],1983,""
653,"688",15,[81],1671,""
654,"689",18,[81],1674,""
655,"690",24,[81],1750,""
656,"691",30,[81],1895,""
657,"693",0,[82],1615,""
658,"694",8,[82],2069,""
659,"695",7,[82],1683,""
660,"696",3,[82],1800,""
661,"698",2,[82],1946,""
662,"699",10,[82],1804,""
663,"700",13,[82],1803,""
664,"701",15,[82],1699,""
665,"702",18,[82],1681,""
666,"703",23,[82],1657,""
667,"704",24,[82],2019,""
668,"705",29,[82],1762,""
669,"706",30,[82],2012,""
670,"707",0,[83],1885,""
671,"708",8,[83],2327,""
672,"709",7,[83],2004,""
673,"710",3,[83],2026,""
674,"712",2,[83],1947,""
675,"713",10,[83],1710,""
676,"714",13,[83],2029,""
677,"715",15,[83],1701,""
678,"716",18,[83],1716,""
679,"717",24,[83],2127,""
680,"718",30,[83],2137,""
681,"720",0,[84],1881,""
682,"721",8,[84],1698,""
683,"722",7,[84],1724,""
684,"723",3,[84],1746,""
685,"724",4,[84],2003,""
686,"725",2,[84],1934,""
687,"726",10,[84],2090,""
688,"727",13,[84],1983,""
689,"728",15,[84],1671,""
690,"729",18,[84],1759,""
691,"730",24,[84],1751,""
692,"732",30,[84],2095,""
693,"697",0,[85],1885,""
694,"711",8,[85],2327,""
695,"719",7,[85],1860,""
696,"731",3,[85],2026,""
697,"734",2,[85],1947,""
698,"735",10,[85],1710,""
699,"736",13,[85],1613,""
700,"737",15,[85],1701,""
701,"738",18,[85],1716,""
702,"739",23,[85],2125,""
703,"740",24,[85],2127,""
704,"772",0,[86],1603,""
705,"771",8,[86],2113,""
706,"770",7,[86],1598,""
707,"769",3,[86],1990,""
708,"768",2,[86],1921,""
709,"767",10,[86],1908,""
710,"780",13,[86],1872,""
711,"779",15,[86],1668,""
712,"778",18,[86],1717,""
713,"776",24,[86],2009,""
714,"775",29,[86],2356,""
715,"774",0,[87],1901,""
716,"773",8,[87],1903,""
717,"766",7,[87],1903,""
718,"765",3,[87],1899,""
719,"764",4,[87],2003,""
720,"763",2,[87],1942,""
721,"762",10,[87],1902,""
722,"761",15,[87],1671,""
723,"760",18,[87],1681,""
724,"759",24,[87],1905,""
725,"758",29,[87],1632,""
726,"757",30,[87],2093,""
727,"733",0,[90],2094,""
728,"741",8,[90],1625,""
729,"742",7,[90],1598,""
730,"743",3,[90],1680,""
731,"744",4,[90],1605,""
732,"745",2,[90],1933,""
733,"746",10,[90],1974,""
734,"747",15,[90],1799,""
735,"748",18,[90],2008,""
736,"749",24,[90],2006,""
737,"750",29,[90],1753,""
738,"751",30,[90],1895,""
739,"752",0,[89],1962,""
740,"753",8,[89],1633,""
741,"754",7,[89],1874,""
742,"755",3,[89],1746,""
743,"756",4,[89],1605,""
744,"777",2,[89],1932,""
745,"781",10,[89],1622,""
746,"782",15,[89],1701,""
747,"783",18,[89],1674,""
748,"784",24,[89],1751,""
749,"785",29,[89],1762,""
750,"786",30,[89],2095,""
751,"787",0,[88],1901,""
752,"788",8,[88],1633,""
753,"789",7,[88],1724,""
754,"790",3,[88],1800,""
755,"791",4,[88],2003,""
756,"792",2,[88],1944,""
757,"793",10,[88],1902,""
758,"794",15,[88],2016,""
759,"795",18,[88],1673,""
760,"796",24,[88],2019,""
761,"797",29,[88],1632,""
762,"798",30,[88],1865,""
