"rownum","Id","ArtString_SMFile"
54,"GemlingLegionnaire7","Art/Models/Items/Armours/Helmets/Microtransactions/Steampunk/SteamPunkHelmetDex.sm & Art/Models/Items/Armours/Boots/Microtransactions/Steampunk/SteamPunkBootsDex.sm & Art/Models/Items/Armours/Gloves/Microtransactions/Steampunk/SteamPunkGlovesDex.sm & Art/Models/Items/Armours/BodyArmours/Microtransactions/SteampunkGem/SteamPunkGemBodyDex.sm -hunter_headShape -hunter_hairShape -hunter_feetShape -hunter_handsShape -hunter_armsShape -hunter_forearmsShape -hunter_bodyShape -hunter_beltShape -hunter_upper_legsShape -hunter_lower_legsShape"
55,"RogueExileWitch1","Art/Models/Items/Armours/Helmets/Microtransactions/WrittenCharm/written_charmInt.sm & Art/Models/Items/Armours/BodyArmours/BodyInt2C/BodyInt2CInt.sm & Art/Models/Items/Armours/Gloves/GlovesInt1/GlovesInt1Int.sm & Art/Models/Items/Armours/Boots/BootsInt4/BootsInt4Int.sm & Art/Models/Items/Armours/Helmets/HelmetInt5/HelmetInt5Int.sm"
56,"RogueExileWitch2","Art/Models/Items/Armours/Helmets/HelmetInt7/HelmetInt7Int.sm & Art/Models/Items/Armours/BodyArmours/Unique/ShavronnesWrappings/ShavronnesWrappingsInt.sm -witch_lower_legsShape -witch_upper_legsShape -witch_bodyShape -witch_armsShape -witch_skirtShape & Art/Models/Items/Armours/Boots/BootsInt2/BootsInt2Int.sm"
57,"RogueExileWitch3","Art/Models/Items/Armours/Helmets/Microtransactions/IronMaiden/HelmetInt7Int.sm & Art/Models/Items/Armours/BodyArmours/BodyInt2A/BodyInt2AInt.sm & Art/Models/Items/Armours/Boots/BootsInt2/BootsInt2Int.sm -witch_hairBottomShape -witch_hairTopShape -witch_headShape"
58,"RogueExileWitch4","Art/Models/Items/Armours/Helmets/Microtransactions/Necrotic/NecroticHelmetInt.sm & Art/Models/Items/Armours/Boots/Microtransactions/Necrotic/NecroticBootsInt.sm & Art/Models/Items/Armours/Gloves/Microtransactions/Necrotic/NecroticGlovesInt.sm & Art/Models/Items/Armours/BodyArmours/Microtransactions/Necrotic/NecroticBodyInt.sm -witch_armsShape -witch_forearmsShape -witch_bodyShape -witch_skirtShape -witch_upper_legsShape -witch_lower_legsShape -witch_handsShape -witch_feetShape -witch_hairBottomShape -witch_hairTopShape"
59,"RogueExileWitch5","Art/Models/Items/Armours/Helmets/Microtransactions/GrandIceCrown/GrandIceCrownInt.sm & Art/Models/Items/Armours/BodyArmours/Microtransactions/ArcticArmour/ArcticBodyInt.sm & Art/Models/Items/Armours/Gloves/Microtransactions/ArcticArmour/ArcticGlovesInt.sm & Art/Models/Items/Armours/Boots/Microtransactions/ArcticArmour/ArcticBootsInt.sm -witch_armsShape -witch_bodyShape -witch_feetShape -witch_forearmsShape -witch_handsShape -witch_lower_legsShape -witch_skirtShape -witch_upper_legsShape"
60,"RogueExileWitch6","Art/Models/Items/Armours/Helmets/Microtransactions/GhostFire/GhostFireHelmetInt.sm & Art/Models/Items/Armours/Helmets/Microtransactions/ghostflame_skull/SkullGhostFlameInt.sm & Art/Models/Items/Armours/BodyArmours/Microtransactions/GhostFire/GhostFireBodyInt.sm & Art/Models/Items/Armours/Boots/Microtransactions/GhostFire/GhostFireBootsInt.sm & Art/Models/Items/Armours/Gloves/Microtransactions/GhostFire/GhostFireGlovesInt.sm -witch_armsShape -witch_bodyShape -witch_feetShape -witch_forearmsShape -witch_handsShape -witch_lower_legsShape -witch_skirtShape -witch_upper_legsShape -witch_hairBottomShape -witch_hairTopShape -witch_headShape"
61,"RogueExileWitch7","Art/Models/Items/Armours/Helmets/Microtransactions/UltimateChaosArmourSet/UltimateChaosArmourHelmetInt.sm & Art/Models/Items/Armours/BodyArmours/Microtransactions/UltimateChaosArmourSet/UltimateChaosArmourBodyInt.sm & Art/Models/Items/Armours/Gloves/Microtransactions/UltimateChaosArmourSet/UltimateChaosArmourGlovesInt.sm & Art/Models/Items/Armours/Boots/Microtransactions/UltimateChaosArmourSet/UltimateChaosArmourBootsInt.sm -witch_armsShape -witch_bodyShape -witch_feetShape -witch_forearmsShape -witch_hairBottomShape -witch_hairTopShape -witch_handsShape -witch_headShape -witch_lower_legsShape -witch_neckShape -witch_skirtShape -witch_upper_legsShape"
62,"RogueExileRanger1","Art/Models/Items/Armours/Helmets/Microtransactions/HornAntlers/horn_antlersDex.sm & Art/Models/Items/Armours/BodyArmours/BodyDex2C/BodyDex2CDex.sm -hunter_bodyShape -hunter_armsShape"
63,"RogueExileRanger2","Art/Models/Items/Armours/Helmets/Microtransactions/IronWings/iron_wingsDex.sm & Art/Models/Items/Armours/BodyArmours/BodyDex3C/BodyDex3CDex.sm & Art/Models/Items/Armours/Gloves/GlovesDex1/GlovesDex1Dex.sm & Art/Models/Items/Armours/Helmets/HelmetDex4/HelmetDex4Dex.sm -hunter_hairShape"
64,"RogueExileRanger3","Art/Models/Items/Armours/Helmets/Microtransactions/wedjat/wedjatDex.sm & Art/Models/Items/Armours/BodyArmours/BodyDex1C/BodyDex1CDex.sm -hunter_bodyShape -hunter_armsShape & Art/Models/Items/Armours/Helmets/HelmetDex6/HelmetDex6Dex.sm -hunter_hairShape"
65,"RogueExileRanger4","Art/Models/Items/Armours/Helmets/HelmetDex2/HelmetDex2Dex.sm & Art/Models/Items/Armours/BodyArmours/BodyDex3A/BodyDex3ADex.sm & Art/Models/Items/Armours/Helmets/Microtransactions/Mohawk/MohawkDex.sm"
66,"RogueExileRanger5","Art/Models/Items/Armours/BodyArmours/Microtransactions/DragonSet/DragonSetBodyDex.sm & Art/Models/Items/Armours/Boots/Microtransactions/DragonSet/DragonSetBootsDex.sm & Art/Models/Items/Armours/Gloves/Microtransactions/DragonSet/DragonSetGlovesDex.sm & Art/Models/Items/Armours/Helmets/Microtransactions/DragonSet/DragonSetHelmetDex.sm & Art/Models/Items/Armours/Helmets/Microtransactions/DragonMask/DragonMaskDex.sm -hunter_bodyShape -hunter_armsShape -hunter_lower_legsShape -hunter_feetShape -hunter_handsShape -hunter_headShape -hunter_hairShape -hunter_beltShape -hunter_upper_legsShape"
67,"RogueExileRangerX","Art/Models/Items/Armours/BodyArmours/Microtransactions/ArcticArmour/ArcticBodyDex.sm & Art/Models/Items/Armours/Boots/Microtransactions/ArcticArmour/ArcticBootsDex.sm & Art/Models/Items/Armours/Gloves/Microtransactions/ArcticArmour/ArcticGlovesDex.sm & Art/Models/Items/Armours/Helmets/Microtransactions/ArcticArmour/ArcticHelmetDex.sm -hunter_hairShape -hunter_beltShape -hunter_upper_legsShape"
68,"RogueExileMarauder1","Art/Models/Items/Armours/Helmets/Microtransactions/Horn_01/horn_01Str.sm & Art/Models/Items/Armours/BodyArmours/BodyStr3C/BodyStr3CStr.sm -warrior_bodyShape -warrior_skirtShape & Art/Models/Items/Armours/Boots/BootsStr3/BootsStr3Str.sm & Art/Models/Items/Armours/Helmets/HelmetStr4/HelmetStr4Str.sm -warrior_hairShape"
69,"RogueExileMarauder2","Art/Models/Items/Armours/Helmets/Microtransactions/DemonKingHorns/demon_king_hornsStr.sm & Art/Models/Items/Armours/BodyArmours/BodyStr6A/BodyStr6AStr.sm & Art/Models/Items/Armours/Boots/BootsStr4/BootsStr4Str.sm & Art/Models/Items/Armours/Gloves/GlovesStr2/GlovesStr2Str.sm -warrior_handsShape"
70,"RogueExileMarauder3","Art/Models/Items/Armours/Helmets/Microtransactions/DemonKingHorns/demon_king_hornsStr.sm & Art/Models/Items/Armours/BodyArmours/Unique/DeathsOath/BodyDeathsOathStr.sm & Art/Models/Items/Armours/Boots/WindscreamAlt/BootsWindScreamAltStr.sm & Art/Models/Items/Armours/Gloves/GlovesStr1/GlovesStr1Str.sm -warrior_handsShape"
71,"RogueExileMarauder4","Art/Models/Items/Armours/Helmets/HelmetStr2/HelmetStr2Str.sm & Art/Models/Items/Armours/Boots/BootsStr4/BootsStr4Str.sm & Art/Models/Items/Armours/Gloves/Unique/FacebreakerAlt/GlovesFacebreakerAltStr.sm -warrior_handsShape"
72,"RogueExileMarauder5","Art/Models/Items/Armours/BodyArmours/Microtransactions/VerdantArmour/VerdantArmourBodyStr.sm -warrior_bodyShape -warrior_armsShape -warrior_upper_legsShape -warrior_lower_legsShape -warrior_skirtShape & Art/Models/Items/Armours/Boots/Microtransactions/VerdantArmour/VerdantArmourBootsStr.sm -warrior_feetShape & Art/Models/Items/Armours/Gloves/Microtransactions/VerdantArmour/VerdantArmourGlovesStr.sm -warrior_handsShape & Art/Models/Items/Armours/Helmets/Microtransactions/VerdantArmour/VerdantArmourHelmetStr.sm -warrior_headShape -warrior_hairShape"
73,"RogueExileMarauder6","Art/Models/Items/Armours/BodyArmours/Microtransactions/BeastGore/BeastGoreBodyStr.sm & Art/Models/Items/Armours/Boots/Microtransactions/BeastGore/BeastGoreBootsStr.sm & Art/Models/Items/Armours/Gloves/Microtransactions/BeastGore/BeastGoreGlovesStr.sm & Art/Models/Items/Armours/Helmets/Microtransactions/BeastGore/BeastGoreHelmetStr.sm -warrior_bodyShape -warrior_armsShape -warrior_upper_legsShape -warrior_lower_legsShape -warrior_skirtShape -warrior_feetShape -warrior_handsShape -warrior_hairShape"
74,"RogueExileMarauder7","Art/Models/Items/Armours/Helmets/Microtransactions/iceskull/SkullIceStr.sm & Art/Models/Items/Armours/Helmets/Microtransactions/Harbinger_eyes/mesh/HarbEyesStr.sm & Art/Models/Items/Armours/BodyArmours/Microtransactions/SeraphSkinCerulean/SeraphCeruleanBodyStr.sm & Art/Models/Items/Armours/Boots/Microtransactions/SeraphSkinCerulean/SeraphCeruleanBootsStr.sm & Art/Models/Items/Armours/Gloves/Microtransactions/SeraphSkinCerulean/SeraphCeruleanGlovesStr.sm -warrior_armsShape -warrior_bodyShape -warrior_feetShape -warrior_forearmsShape -warrior_hairShape -warrior_handsShape -warrior_headShape -warrior_lower_legsShape -warrior_neckShape -warrior_skirtShape -warrior_upper_legsShape"
75,"RogueExileMarauderX","Art/Models/Items/Armours/BodyArmours/Microtransactions/BearArmourSet/BearArmourBodyStr.sm & Art/Models/Items/Armours/Boots/Microtransactions/BearArmourSet/BearArmourBootsStr.sm & Art/Models/Items/Armours/Gloves/Microtransactions/BearArmourSet/BearArmourGlovesStr.sm & Art/Models/Items/Armours/Helmets/Microtransactions/BearArmourSet/BearArmourHelmetStr.sm -warrior_bodyShape -warrior_armsShape -warrior_upper_legsShape -warrior_lower_legsShape -warrior_skirtShape -warrior_feetShape -warrior_handsShape -warrior_hairShape"
76,"RogueExileDuelist1","Art/Models/Items/Armours/Helmets/Microtransactions/IronWings/iron_wingsStrDex.sm & Art/Models/Items/Armours/BodyArmours/BodyStrDex2C/BodyStrDex2CStrDex.sm -swordman_armsShape -swordman_bodyShape & Art/Models/Items/Armours/Boots/BootsStrDex3/BootsStrDex3StrDex.sm & Art/Models/Items/Armours/Gloves/GlovesStrDex1/GlovesStrDex1StrDex.sm -swordman_handsShape & Art/Models/Items/Armours/Helmets/HelmetStrDex2/HelmetStrDex2StrDex.sm -swordman_hairShape "
77,"RogueExileDuelist2","Art/Models/Items/Armours/Helmets/Microtransactions/LeftFeathers/victory_feathersStrDex.sm & Art/Models/Items/Armours/BodyArmours/BodyStrDex1C/BodyStrDex1CStrDex.sm -swordman_armsShape -swordman_bodyShape -swordman_forearmsShape & Art/Models/Items/Armours/Boots/BootsStrDex3/BootsStrDex3StrDex.sm"
78,"RogueExileDuelist3","Art/Models/Items/Armours/BodyArmours/BodyStrDex2A/BodyStrDex2AStrDex.sm & Art/Models/Items/Armours/Helmets/HelmetStrDex3/HelmetStrDex3StrDex.sm & Art/Models/Items/Armours/Helmets/Microtransactions/LeftFeathers/victory_feathersStrDex.sm & Art/Models/Items/Armours/Gloves/GlovesStrDex1/GlovesStrDex1StrDex.sm -swordman_hairShape -swordman_handsShape"
79,"RogueExileDuelist4","Art/Models/Items/Armours/BodyArmours/Microtransactions/VampiricArmour/VampiricArmourBodyStrDex.sm -swordman_bodyShape -swordman_armsShape -swordman_upper_legsShape -swordman_lower_legsShape & Art/Models/Items/Armours/Boots/Microtransactions/VampiricArmour/VampiricArmourBootsStrDex.sm -swordman_feetShape & Art/Models/Items/Armours/Gloves/Microtransactions/VampiricArmour/VampiricArmourGlovesStrDex.sm -swordman_handsShape & Art/Models/Items/Armours/Helmets/Microtransactions/VampiricArmour/VampiricArmourHelmetStrDex.sm -swordman_headShape -swordman_hairShape"
80,"RogueExileDuelist5","Art/Models/Items/Armours/BodyArmours/Microtransactions/GloomArmour/GloomArmourBodyStrDex.sm & Art/Models/Items/Armours/Boots/Microtransactions/GloomArmour/GloomArmourBootsStrDex.sm & Art/Models/Items/Armours/Gloves/Microtransactions/GloomArmour/GloomArmourGlovesStrDex.sm & Art/Models/Items/Armours/Helmets/Microtransactions/GloomArmour/GloomArmourHelmetStrDex.sm -swordman_bodyShape -swordman_armsShape -swordman_upper_legsShape -swordman_lower_legsShape -swordman_feetShape -swordman_handsShape -swordman_headShape -swordman_hairShape"
81,"RogueExileDuelist6","Art/Models/Items/Armours/BodyArmours/Unique/QueenoftheForest/QueenoftheForestStrDex.sm & Art/Models/Items/Armours/Gloves/GlovesInt1/GlovesInt1StrDex.sm & Art/Models/Items/Armours/Boots/BootsDex4/BootsDex4StrDex.sm & Art/Models/Items/Armours/Helmets/HelmetStrInt2/HelmetStrInt2StrDex.sm -swordman_armsShape -swordman_bodyShape -swordman_forearmsShape -swordman_lower_legsShape -swordman_upper_legsShape -swordman_handsShape -swordman_feetShape -swordman_hairShape -swordman_headShape"
82,"RogueExileDuelistX","Art/Models/Items/Armours/BodyArmours/Microtransactions/DragonSet/DragonSetBodyStrDex.sm & Art/Models/Items/Armours/Boots/Microtransactions/DragonSet/DragonSetBootsStrDex.sm & Art/Models/Items/Armours/Gloves/Microtransactions/DragonSet/DragonSetGlovesStrDex.sm & Art/Models/Items/Armours/Helmets/Microtransactions/DragonMask/DragonMaskStrDex.sm & Art/Models/Items/Armours/Helmets/Microtransactions/DragonSet/DragonSetHelmetStrDex.sm -swordman_bodyShape -swordman_armsShape -swordman_upper_legsShape -swordman_lower_legsShape -swordman_feetShape -swordman_handsShape -swordman_headShape -swordman_hairShape"
83,"RogueExileTemplar1","Art/Models/Items/Armours/Helmets/Microtransactions/IceCrown/ice_crownStrInt.sm & Art/Models/Items/Armours/BodyArmours/BodyStrInt2C/BodyStrInt2CStrInt.sm -templar_bodyShape -templar_bookShape -templar_cloth_bottomShape -templar_cloth_topShape -templar_forearmsShape -templar_armsShape & Art/Models/Items/Armours/Boots/BootsStrInt3/BootsStrInt3StrInt.sm"
84,"RogueExileTemplar2","Art/Models/Items/Armours/Helmets/Microtransactions/AngelHalo_01/angel_halo_01StrInt.sm & Art/Models/Items/Armours/BodyArmours/BodyStrInt3C/BodyStrInt3CStrInt.sm -templar_bodyShape -templar_bookShape -templar_cloth_bottomShape -templar_cloth_topShape -templar_forearmsShape -templar_armsShape & Art/Models/Items/Armours/Boots/BootsStrInt3/BootsStrInt3StrInt.sm & Art/Models/Items/Armours/Helmets/HelmetStrInt5/HelmetStrInt5StrInt.sm"
85,"RogueExileTemplar3","Art/Models/Items/Armours/Helmets/HelmetStrInt2/HelmetStrInt2StrInt.sm & Art/Models/Items/Armours/Boots/BootsStrInt1/BootsStrInt1StrInt.sm & Art/Models/Items/Armours/BodyArmours/BodyStrInt2A/BodyStrInt2AStrInt.sm -templar_headShape -templar_feetShape -templar_bodyShape -templar_bookShape -templar_cloth_topShape"
86,"RogueExileTemplar4","Art/Models/Items/Armours/Helmets/Microtransactions/PilgrimHat/PilgrimHatStrInt.sm & Art/Models/Items/Armours/BodyArmours/Unique/DaressosDefiance/BodyDaressosDefianceStrInt.sm -templar_bodyShape -templar_armsShape -templar_upper_legsShape -templar_lower_legsShape -templar_bookShape -templar_cloth_topShape -templar_cloth_bottomShape & Art/Models/Items/Armours/Boots/BootsWakeOfDestruction/BootsWakeOfDestructionStrInt.sm -templar_feetShape & Art/Models/Items/Armours/Gloves/Unique/HellBringer/HellBringerStrInt.sm -templar_handsShape -templar_forearmsShape"
87,"RogueExileTemplar5","Art/Models/Items/Armours/BodyArmours/Microtransactions/ArcticArmour/ArcticBodyStrInt.sm & Art/Models/Items/Armours/Boots/Microtransactions/ArcticArmour/ArcticBootsStrInt.sm & Art/Models/Items/Armours/Gloves/Microtransactions/ArcticArmour/ArcticGlovesStrInt.sm & Art/Models/Items/Armours/Helmets/Microtransactions/ArcticArmour/ArcticHelmetStrInt.sm -templar_bodyShape -templar_armsShape -templar_upper_legsShape -templar_lower_legsShape -templar_bookShape -templar_cloth_topShape -templar_cloth_bottomShape -templar_feetShape -templar_handsShape -templar_forearmsShape"
88,"RogueExileTemplar6","Art/Models/Items/Armours/BodyArmours/Microtransactions/WarlockArmourSet/WarlockArmourBodyStrInt.sm & Art/Models/Items/Armours/Boots/Microtransactions/WarlockArmourSet/WarlockArmourBootsStrInt.sm & Art/Models/Items/Armours/Gloves/Microtransactions/WarlockArmourSet/WarlockArmourGlovesStrInt.sm & Art/Models/Items/Armours/Helmets/Microtransactions/WarlockArmourSet/WarlockArmourHelmetStrInt.sm -templar_armsShape -templar_bodyShape -templar_bookShape -templar_cloth_bottomShape -templar_cloth_topShape -templar_feetShape -templar_forearmsShape -templar_handsShape -templar_lower_legsShape -templar_upper_legsShape"
89,"RogueExileTemplarX","Art/Models/Items/Armours/BodyArmours/Microtransactions/RadiantArmour/RadiantBodyStrInt.sm & Art/Models/Items/Armours/Boots/Microtransactions/RadiantArmour/RadiantBootsStrInt.sm & Art/Models/Items/Armours/Gloves/Microtransactions/RadiantArmour/RadiantGlovesStrInt.sm & Art/Models/Items/Armours/Helmets/Microtransactions/RadiantArmour/RadiantHelmetStrInt.sm -templar_bodyShape -templar_armsShape -templar_upper_legsShape -templar_lower_legsShape -templar_bookShape -templar_cloth_topShape -templar_cloth_bottomShape -templar_feetShape -templar_handsShape -templar_forearmsShape"
90,"RogueExileShadow1","Art/Models/Items/Armours/Helmets/Microtransactions/Horn_02/horn_02DexInt.sm & Art/Models/Items/Armours/BodyArmours/BodyDexInt4C/BodyDexInt4CDexInt.sm & Art/Models/Items/Armours/Helmets/HelmetDexInt5/HelmetDexInt5DexInt.sm"
91,"RogueExileShadow2","Art/Models/Items/Armours/Helmets/Microtransactions/FireHorns/fire_hornsDexInt.sm & Art/Models/Items/Armours/BodyArmours/BodyDexInt2B/BodyDexInt2BDexInt.sm & Art/Models/Items/Armours/Helmets/HelmetDexInt1/HelmetDexInt1DexInt.sm & Art/Models/Items/Armours/Gloves/GlovesDexInt1/GlovesDexInt1DexInt.sm & Art/Models/Items/Armours/Boots/BootsDexInt3/BootsDexInt3DexInt.sm"
92,"RogueExileShadow3","Art/Models/Items/Armours/Helmets/Microtransactions/SkullHead/GreenSkullDexInt.sm & Art/Models/Items/Armours/BodyArmours/BodyDexInt2A/BodyDexInt2ADexInt.sm"
93,"RogueExileShadow4","Art/Models/Items/Armours/BodyArmours/Microtransactions/LightningArmour/LigtningBodyDexInt.sm -bodyShape -armsShape -aprinShape -lower_legsShape -upper_legsShape & Art/Models/Items/Armours/Boots/Microtransactions/LightningArmour/LigtningBootsDexInt.sm -feetShape & Art/Models/Items/Armours/Gloves/Microtransactions/LightningArmour/LigtningGlovesDexInt.sm -handsShape & Art/Models/Items/Armours/Helmets/Microtransactions/LightningArmour/LigtningHelmetDexInt.sm -headShape -hairShape"
94,"RogueExileShadow5","Art/Models/Items/Armours/BodyArmours/Microtransactions/ArcaneArmour/ArcaneArmourBodyDexInt.sm & Art/Models/Items/Armours/Boots/Microtransactions/ArcaneArmour/ArcaneArmourBootsDexInt.sm & Art/Models/Items/Armours/Gloves/Microtransactions/ArcaneArmour/ArcaneArmourGlovesDexInt.sm & Art/Models/Items/Armours/Helmets/Microtransactions/ArcaneArmour/ArcaneArmourHelmetDexInt.sm -bodyShape -armsShape -aprinShape -lower_legsShape -upper_legsShape -feetShape -handsShape -headShape -hairShape"
95,"RogueExileShadow6","Art/Models/Items/Armours/BodyArmours/Microtransactions/StormcallerArmour/StormcallerBodyDexInt.sm & Art/Models/Items/Armours/Helmets/Microtransactions/StormcallerArmour/StormcallerHelmetDexInt.sm & Art/Models/Items/Armours/Gloves/Microtransactions/StormcallerArmour/StormcallerGlovesDexInt.sm & Art/Models/Items/Armours/Boots/Microtransactions/StormcallerArmour/StormcallerBootsDexInt.sm -bodyShape -armsShape -aprinShape -lower_legsShape -upper_legsShape -feetShape -handsShape -hairShape"
96,"RogueExileShadowX","Art/Models/Items/Armours/BodyArmours/Microtransactions/LightningArmour/LigtningBodyDexInt.sm & Art/Models/Items/Armours/Boots/Microtransactions/LightningArmour/LigtningBootsDexInt.sm & Art/Models/Items/Armours/Gloves/Microtransactions/LightningArmour/LigtningGlovesDexInt.sm & Art/Models/Items/Armours/Helmets/Microtransactions/LightningArmour/LigtningHelmetDexInt.sm -bodyShape -armsShape -aprinShape -lower_legsShape -upper_legsShape -feetShape -handsShape -headShape -hairShape"
97,"RogueExileScion1","Art/Models/Items/Armours/Helmets/Microtransactions/wedjat/wedjatStrDexInt.sm & Art/Models/Items/Armours/BodyArmours/BodyStrDexInt1C/BodyStrDexInt1CStrDexInt.sm & Art/Models/Items/Armours/Gloves/GlovesInt1/GlovesInt1StrDexInt.sm & Art/Models/Items/Armours/Boots/BootsStrDex2/BootsStrDex2StrDexInt.sm -adventurer_bodyShape -adventurer_forearmsShape -adventurer_skirtShape -adventurer_upper_legsShape -adventurer_lower_legsShape -adventurer_armsShape -adventurer_forearmsShape -adventurer_handsShape -adventurer_feetShape"
98,"RogueExileScion2","Art/Models/Items/Armours/BodyArmours/Microtransactions/SeraphSkin/SeraphBodyStrDexInt.sm -adventurer_bodyShape -adventurer_armsShape -adventurer_lower_legsShape -adventurer_upper_legsShape -adventurer_skirtShape & Art/Models/Items/Armours/Boots/Microtransactions/SeraphSkin/SeraphBootsStrDexInt.sm -adventurer_feetShape & Art/Models/Items/Armours/Gloves/Microtransactions/SeraphSkin/SeraphGlovesStrDexInt.sm -adventurer_handsShape -adventurer_forearmsShape & Art/Models/Items/Armours/Helmets/Microtransactions/SeraphSkin/SeraphHelmetStrDexInt.sm -adventurer_hairShape"
99,"RogueExileScion3","Art/Models/Items/Armours/Helmets/Microtransactions/Infernal/InfernalHelmetStrDexInt.sm & Art/Models/Items/Armours/Boots/Microtransactions/Infernal/InfernalBootsStrDexInt.sm & Art/Models/Items/Armours/Gloves/Microtransactions/Infernal/InfernalGlovesStrDexInt.sm & Art/Models/Items/Armours/BodyArmours/Microtransactions/Infernal/InfernalBodyStrDexInt.sm & Art/Models/Items/Armours/BodyArmours/Microtransactions/wings/SteampunkBackpack/SteampunkBackpackStrDexInt.sm -adventurer_necklaceShape -adventurer_bodyShape -adventurer_forearmsShape -adventurer_armsShape -adventurer_skirtShape -adventurer_upper_legsShape -adventurer_lower_legsShape -adventurer_handsShape -adventurer_feetShape -adventurer_hairShape"
100,"RogueExileScion4","Art/Models/Items/Armours/Helmets/Microtransactions/DemonKingArmour/DemonKingArmourHelmetsStrDexInt.sm & Art/Models/Items/Armours/Boots/Microtransactions/DemonKingArmour/DemonKingArmourBootsStrDexInt.sm & Art/Models/Items/Armours/Gloves/Microtransactions/DemonKingArmour/DemonKingArmourGlovesStrDexInt.sm & Art/Models/Items/Armours/BodyArmours/Microtransactions/DemonKingArmour/DemonKingArmourBodyStrDexInt.sm -adventurer_necklaceShape -adventurer_bodyShape -adventurer_forearmsShape -adventurer_armsShape -adventurer_skirtShape -adventurer_upper_legsShape -adventurer_lower_legsShape -adventurer_handsShape -adventurer_feetShape -adventurer_hairShape"
101,"DarkExileMarauder","Art/Models/Items/Armours/Helmets/Microtransactions/DemonKingHorns/demon_king_hornsStr.sm & Art/Models/Items/Armours/BodyArmours/Unique/DeathsOath/BodyDeathsOathStr.sm -warrior_bodyShape -warrior_skirtShape & Art/Models/Items/Armours/Gloves/Unique/HellBringer/HellBringerStr.sm -warrior_handsShape -warrior_forearmsShape & Art/Models/Items/Armours/Boots/BootsDexUnique1/BootsDexUnique1Str.sm -warrior_feetShape"
102,"DarkExileRanger","Art/Models/Items/Armours/Helmets/HelmetDex4/HelmetDex4Dex.sm -hunter_hairShape & Art/Models/Items/Armours/BodyArmours/Unique/BronnsLithe/BodyBronsLitheDex.sm -hunter_bodyShape -hunter_upper_legsShape -hunter_beltShape & Art/Models/Items/Armours/Gloves/Unique/HellBringer/HellBringerDex.sm -hunter_handsShape -hunter_forearmsShape & Art/Models/Items/Armours/Boots/BootsDexUnique1/BootsDexUnique1Dex.sm -hunter_feetShape"
103,"DarkExileWitch","Art/Models/Items/Armours/BodyArmours/Unique/ShavronnesWrappings/ShavronnesWrappingsInt.sm -witch_lower_legsShape -witch_upper_legsShape -witch_bodyShape -witch_armsShape -witch_skirtShape & Art/Models/Items/Armours/Gloves/Unique/HellBringer/HellBringerInt.sm -witch_handsShape & Art/Models/Items/Armours/Helmets/HelmetDexInt6/HelmetDexInt6Int.sm & Art/Models/Items/Armours/Boots/BootsDexUnique1/BootsDexUnique1Int.sm -witch_feetShape"
104,"DarkExileDuelist","Art/Models/Items/Armours/Boots/BootsWakeOfDestruction/BootsWakeOfDestructionStrDex.sm -swordman_feetShape & Art/Models/Items/Armours/Gloves/Unique/HellBringer/HellBringerStrDex.sm -swordman_handsShape -swordman_forearmsShape & Art/Models/Items/Armours/BodyArmours/BodyStrDex1C/BodyStrDex1CStrDex.sm -swordman_armsShape -swordman_bodyShape -swordman_forearmsShape & Art/Models/Items/Armours/Helmets/HelmetDex3/HelmetDex3StrDex.sm -swordman_hairShape & Art/Models/Items/Armours/Helmets/Microtransactions/HornAntlers/horn_antlerStrDex.sm"
105,"DarkExileTemplar","Art/Models/Items/Armours/Helmets/Microtransactions/PilgrimHat/PilgrimHatStrInt.sm & Art/Models/Items/Armours/BodyArmours/Unique/DaressosDefiance/BodyDaressosDefianceStrInt.sm -templar_bodyShape -templar_armsShape -templar_upper_legsShape -templar_lower_legsShape -templar_bookShape -templar_cloth_topShape -templar_cloth_bottomShape & Art/Models/Items/Armours/Boots/BootsWakeOfDestruction/BootsWakeOfDestructionStrInt.sm -templar_feetShape & Art/Models/Items/Armours/Gloves/Unique/HellBringer/HellBringerStrInt.sm -templar_handsShape -templar_forearmsShape"
106,"DarkExileShadow","Art/Models/Items/Armours/BodyArmours/BodyDexInt5A/BodyDexInt5ADexInt.sm -upper_legsShape -aprinShape -forearmsShape & Art/Models/Items/Armours/Boots/BootsDexInt5/BootsDexInt5DexInt.sm -feetShape & Art/Models/Items/Armours/AnimateArmour/GreenSkullDexIntExileUniqueMap.sm & Art/Models/Items/Armours/BodyArmours/BodyDexInt1A/BodyDexInt1ADexInt.sm -bodyShape -aprinShape & Art/Models/Items/Armours/Helmets/Microtransactions/Bandana/bandanaDexInt.sm -headShape"
107,"DarkExileScion","Art/Models/Items/Armours/BodyArmours/Microtransactions/SeraphSkinObsidian/SeraphObsidianBodyStrDexInt.sm -adventurer_bodyShape -adventurer_armsShape -adventurer_lower_legsShape -adventurer_upper_legsShape -adventurer_skirtShape & Art/Models/Items/Armours/Boots/Microtransactions/SeraphSkinObsidian/SeraphObsidianBootsStrDexInt.sm -adventurer_feetShape & Art/Models/Items/Armours/Gloves/Microtransactions/SeraphSkinObsidian/SeraphObsidianGlovesStrDexInt.sm -adventurer_handsShape -adventurer_forearmsShape & Art/Models/Items/Armours/Helmets/Microtransactions/SeraphSkinObsidian/SeraphObsidianHelmetStrDexInt.sm -adventurer_hairShape"
