"rownum","Currency","i32_16","i32_20","i32_24","Cost","i32_32","[rid]_36","[rid]_52","NPCAudio","i32_84","string_88","string_88 (French)","string_88 (German)","string_88 (Japanese)","string_88 (Korean)","string_88 (Portuguese)","string_88 (Russian)","string_88 (Spanish)","string_88 (Thai)","string_88 (Traditional Chinese)","bool_96","i32_97","i32_101","i32_105","bool_109"
90,118,0,2,2,450,1899,[],[],"",0,"<augmented>{Upgrade this item to Rare, or Reforge if already Rare, with one guaranteed property}","<augmented>{Améliore cet objet en un objet Rare, ou le Remodèle s'il est déjà Rare, avec une propriété garantie}","<augmented>{Verbessert diesen Gegenstand zu einem seltenen Gegenstand, oder würfelt ihn neu, falls er bereits selten ist, mit einer garantierten Eigenschaft.}","<augmented>{プロパティを一個保証した状態でこのアイテムをレアにアップグレードするか、またはすでにレアの場合はリフォージする}","<augmented>{이 아이템을 희귀 아이템으로 업그레이드하거나 이미 희귀 아이템인 경우 재련, 아래 해당하는 속성 1개 보장}","<augmented>{Atualiza este item para raro, ou o reforja, caso já seja raro, com uma propriedade garantida}","<augmented>{Улучшает предмет до редкого или перековывает редкий предмет, наделяя его одним определённым свойством}","<augmented>{Convierte este objeto en un objeto raro, o lo reforja si ya es raro, y le otorga una propiedad garantizada}","<augmented>{อัพเกรด​ไอเทม​นี้​ให้​เป็น ไอเทม​แรร์ หรือ​สุ่ม​ม็อด​ทุกอย่าง​​ขึ้น​มา​ใหม่​หาก​เป็น​ไอเทม​แรร์​ตั้งแต่​แรก โดย​จะ​มี​ม็อด​พิเศษ 1 อย่าง}","<augmented>{將此物品升級至稀有物品、或重置一件稀有物品的屬性，並且確保一項特定屬性}","",5,8,1125,""
91,118,1,3,3,563,1876,[],[],"",0,"<augmented>{Upgrade this item to Rare, or Reforge if already Rare, with one guaranteed property}","<augmented>{Améliore cet objet en un objet Rare, ou le Remodèle s'il est déjà Rare, avec une propriété garantie}","<augmented>{Verbessert diesen Gegenstand zu einem seltenen Gegenstand, oder würfelt ihn neu, falls er bereits selten ist, mit einer garantierten Eigenschaft.}","<augmented>{プロパティを一個保証した状態でこのアイテムをレアにアップグレードするか、またはすでにレアの場合はリフォージする}","<augmented>{이 아이템을 희귀 아이템으로 업그레이드하거나 이미 희귀 아이템인 경우 재련, 아래 해당하는 속성 1개 보장}","<augmented>{Atualiza este item para raro, ou o reforja, caso já seja raro, com uma propriedade garantida}","<augmented>{Улучшает предмет до редкого или перековывает редкий предмет, наделяя его одним определённым свойством}","<augmented>{Convierte este objeto en un objeto raro, o lo reforja si ya es raro, y le otorga una propiedad garantizada}","<augmented>{อัพเกรด​ไอเทม​นี้​ให้​เป็น ไอเทม​แรร์ หรือ​สุ่ม​ม็อด​ทุกอย่าง​​ขึ้น​มา​ใหม่​หาก​เป็น​ไอเทม​แรร์​ตั้งแต่​แรก โดย​จะ​มี​ม็อด​พิเศษ 1 อย่าง}","<augmented>{將此物品升級至稀有物品、或重置一件稀有物品的屬性，並且確保一項特定屬性}","",5,8,1406,""
92,119,0,2,2,700,1899,[],[],"",0,"<augmented>{Upgrade this item to Rare, or Reforge if already Rare, with one guaranteed property}","<augmented>{Améliore cet objet en un objet Rare, ou le Remodèle s'il est déjà Rare, avec une propriété garantie}","<augmented>{Verbessert diesen Gegenstand zu einem seltenen Gegenstand, oder würfelt ihn neu, falls er bereits selten ist, mit einer garantierten Eigenschaft.}","<augmented>{プロパティを一個保証した状態でこのアイテムをレアにアップグレードするか、またはすでにレアの場合はリフォージする}","<augmented>{이 아이템을 희귀 아이템으로 업그레이드하거나 이미 희귀 아이템인 경우 재련, 아래 해당하는 속성 1개 보장}","<augmented>{Atualiza este item para raro, ou o reforja, caso já seja raro, com uma propriedade garantida}","<augmented>{Улучшает предмет до редкого или перековывает редкий предмет, наделяя его одним определённым свойством}","<augmented>{Convierte este objeto en un objeto raro, o lo reforja si ya es raro, y le otorga una propiedad garantizada}","<augmented>{อัพเกรด​ไอเทม​นี้​ให้​เป็น ไอเทม​แรร์ หรือ​สุ่ม​ม็อด​ทุกอย่าง​​ขึ้น​มา​ใหม่​หาก​เป็น​ไอเทม​แรร์​ตั้งแต่​แรก โดย​จะ​มี​ม็อด​พิเศษ 1 อย่าง}","<augmented>{將此物品升級至稀有物品、或重置一件稀有物品的屬性，並且確保一項特定屬性}","",5,8,1750,""
93,119,1,3,3,875,1876,[],[],"",0,"<augmented>{Upgrade this item to Rare, or Reforge if already Rare, with one guaranteed property}","<augmented>{Améliore cet objet en un objet Rare, ou le Remodèle s'il est déjà Rare, avec une propriété garantie}","<augmented>{Verbessert diesen Gegenstand zu einem seltenen Gegenstand, oder würfelt ihn neu, falls er bereits selten ist, mit einer garantierten Eigenschaft.}","<augmented>{プロパティを一個保証した状態でこのアイテムをレアにアップグレードするか、またはすでにレアの場合はリフォージする}","<augmented>{이 아이템을 희귀 아이템으로 업그레이드하거나 이미 희귀 아이템인 경우 재련, 아래 해당하는 속성 1개 보장}","<augmented>{Atualiza este item para raro, ou o reforja, caso já seja raro, com uma propriedade garantida}","<augmented>{Улучшает предмет до редкого или перековывает редкий предмет, наделяя его одним определённым свойством}","<augmented>{Convierte este objeto en un objeto raro, o lo reforja si ya es raro, y le otorga una propiedad garantizada}","<augmented>{อัพเกรด​ไอเทม​นี้​ให้​เป็น ไอเทม​แรร์ หรือ​สุ่ม​ม็อด​ทุกอย่าง​​ขึ้น​มา​ใหม่​หาก​เป็น​ไอเทม​แรร์​ตั้งแต่​แรก โดย​จะ​มี​ม็อด​พิเศษ 1 อย่าง}","<augmented>{將此物品升級至稀有物品、或重置一件稀有物品的屬性，並且確保一項特定屬性}","",5,8,2188,""
94,120,0,2,2,100,1899,[],[],"",0,"<augmented>{Upgrade this item to Rare with one guaranteed property}","<augmented>{Améliore cet objet en un objet Rare avec une propriété garantie}","<augmented>{Verbessert diesen Gegenstand zu einem seltenen Gegenstand mit einer garantierten Eigenschaft.}","<augmented>{プロパティを一個保証した状態でこのアイテムをレアにアップグレードする}","<augmented>{이 아이템을 희귀 아이템으로 업그레이드, 아래 해당하는 속성 1개 보장}","<augmented>{Atualiza este item para raro com uma propriedade garantida}","<augmented>{Улучшает предмет до редкого, наделяя его одним определённым свойством}","<augmented>{Convierte este objeto en un objeto raro y le otorga una propiedad garantizada}","<augmented>{อัพเกรด​ไอเทม​นี้​ให้​เป็น ไอเทม​แรร์ โดย​จะ​มี​ม็อด​พิเศษ 1 อย่าง}","<augmented>{將此物品升級至稀有物品並且確保一項特定屬性}","",0,0,250,""
95,120,1,3,3,125,1876,[],[],"",0,"<augmented>{Upgrade this item to Rare with one guaranteed property}","<augmented>{Améliore cet objet en un objet Rare avec une propriété garantie}","<augmented>{Verbessert diesen Gegenstand zu einem seltenen Gegenstand mit einer garantierten Eigenschaft.}","<augmented>{プロパティを一個保証した状態でこのアイテムをレアにアップグレードする}","<augmented>{이 아이템을 희귀 아이템으로 업그레이드, 아래 해당하는 속성 1개 보장}","<augmented>{Atualiza este item para raro com uma propriedade garantida}","<augmented>{Улучшает предмет до редкого, наделяя его одним определённым свойством}","<augmented>{Convierte este objeto en un objeto raro y le otorga una propiedad garantizada}","<augmented>{อัพเกรด​ไอเทม​นี้​ให้​เป็น ไอเทม​แรร์ โดย​จะ​มี​ม็อด​พิเศษ 1 อย่าง}","<augmented>{將此物品升級至稀有物品並且確保一項特定屬性}","",0,0,313,""
96,121,0,2,2,150,1899,[],[],"",0,"<augmented>{Upgrade this item to Rare with one guaranteed property}","<augmented>{Améliore cet objet en un objet Rare avec une propriété garantie}","<augmented>{Verbessert diesen Gegenstand zu einem seltenen Gegenstand mit einer garantierten Eigenschaft.}","<augmented>{プロパティを一個保証した状態でこのアイテムをレアにアップグレードする}","<augmented>{이 아이템을 희귀 아이템으로 업그레이드, 아래 해당하는 속성 1개 보장}","<augmented>{Atualiza este item para raro com uma propriedade garantida}","<augmented>{Улучшает предмет до редкого, наделяя его одним определённым свойством}","<augmented>{Convierte este objeto en un objeto raro y le otorga una propiedad garantizada}","<augmented>{อัพเกรด​ไอเทม​นี้​ให้​เป็น ไอเทม​แรร์ โดย​จะ​มี​ม็อด​พิเศษ 1 อย่าง}","<augmented>{將此物品升級至稀有物品並且確保一項特定屬性}","",0,0,375,""
97,121,1,3,3,188,1876,[],[],"",0,"<augmented>{Upgrade this item to Rare with one guaranteed property}","<augmented>{Améliore cet objet en un objet Rare avec une propriété garantie}","<augmented>{Verbessert diesen Gegenstand zu einem seltenen Gegenstand mit einer garantierten Eigenschaft.}","<augmented>{プロパティを一個保証した状態でこのアイテムをレアにアップグレードする}","<augmented>{이 아이템을 희귀 아이템으로 업그레이드, 아래 해당하는 속성 1개 보장}","<augmented>{Atualiza este item para raro com uma propriedade garantida}","<augmented>{Улучшает предмет до редкого, наделяя его одним определённым свойством}","<augmented>{Convierte este objeto en un objeto raro y le otorga una propiedad garantizada}","<augmented>{อัพเกรด​ไอเทม​นี้​ให้​เป็น ไอเทม​แรร์ โดย​จะ​มี​ม็อด​พิเศษ 1 อย่าง}","<augmented>{將此物品升級至稀有物品並且確保一項特定屬性}","",0,0,469,""
98,122,0,2,2,200,1899,[],[],"",0,"<augmented>{Upgrade this item to Rare with one guaranteed property}","<augmented>{Améliore cet objet en un objet Rare avec une propriété garantie}","<augmented>{Verbessert diesen Gegenstand zu einem seltenen Gegenstand mit einer garantierten Eigenschaft.}","<augmented>{プロパティを一個保証した状態でこのアイテムをレアにアップグレードする}","<augmented>{이 아이템을 희귀 아이템으로 업그레이드, 아래 해당하는 속성 1개 보장}","<augmented>{Atualiza este item para raro com uma propriedade garantida}","<augmented>{Улучшает предмет до редкого, наделяя его одним определённым свойством}","<augmented>{Convierte este objeto en un objeto raro y le otorga una propiedad garantizada}","<augmented>{อัพเกรด​ไอเทม​นี้​ให้​เป็น ไอเทม​แรร์ โดย​จะ​มี​ม็อด​พิเศษ 1 อย่าง}","<augmented>{將此物品升級至稀有物品並且確保一項特定屬性}","",0,0,500,""
99,122,1,3,3,250,1876,[],[],"",0,"<augmented>{Upgrade this item to Rare with one guaranteed property}","<augmented>{Améliore cet objet en un objet Rare avec une propriété garantie}","<augmented>{Verbessert diesen Gegenstand zu einem seltenen Gegenstand mit einer garantierten Eigenschaft.}","<augmented>{プロパティを一個保証した状態でこのアイテムをレアにアップグレードする}","<augmented>{이 아이템을 희귀 아이템으로 업그레이드, 아래 해당하는 속성 1개 보장}","<augmented>{Atualiza este item para raro com uma propriedade garantida}","<augmented>{Улучшает предмет до редкого, наделяя его одним определённым свойством}","<augmented>{Convierte este objeto en un objeto raro y le otorga una propiedad garantizada}","<augmented>{อัพเกรด​ไอเทม​นี้​ให้​เป็น ไอเทม​แรร์ โดย​จะ​มี​ม็อด​พิเศษ 1 อย่าง}","<augmented>{將此物品升級至稀有物品並且確保一項特定屬性}","",0,0,625,""
100,123,0,2,2,250,1899,[],[],"",0,"<augmented>{Upgrade this item to Rare with one guaranteed property}","<augmented>{Améliore cet objet en un objet Rare avec une propriété garantie}","<augmented>{Verbessert diesen Gegenstand zu einem seltenen Gegenstand mit einer garantierten Eigenschaft.}","<augmented>{プロパティを一個保証した状態でこのアイテムをレアにアップグレードする}","<augmented>{이 아이템을 희귀 아이템으로 업그레이드, 아래 해당하는 속성 1개 보장}","<augmented>{Atualiza este item para raro com uma propriedade garantida}","<augmented>{Улучшает предмет до редкого, наделяя его одним определённым свойством}","<augmented>{Convierte este objeto en un objeto raro y le otorga una propiedad garantizada}","<augmented>{อัพเกรด​ไอเทม​นี้​ให้​เป็น ไอเทม​แรร์ โดย​จะ​มี​ม็อด​พิเศษ 1 อย่าง}","<augmented>{將此物品升級至稀有物品並且確保一項特定屬性}","",0,0,625,""
101,123,1,3,3,313,1876,[],[],"",0,"<augmented>{Upgrade this item to Rare with one guaranteed property}","<augmented>{Améliore cet objet en un objet Rare avec une propriété garantie}","<augmented>{Verbessert diesen Gegenstand zu einem seltenen Gegenstand mit einer garantierten Eigenschaft.}","<augmented>{プロパティを一個保証した状態でこのアイテムをレアにアップグレードする}","<augmented>{이 아이템을 희귀 아이템으로 업그레이드, 아래 해당하는 속성 1개 보장}","<augmented>{Atualiza este item para raro com uma propriedade garantida}","<augmented>{Улучшает предмет до редкого, наделяя его одним определённым свойством}","<augmented>{Convierte este objeto en un objeto raro y le otorga una propiedad garantizada}","<augmented>{อัพเกรด​ไอเทม​นี้​ให้​เป็น ไอเทม​แรร์ โดย​จะ​มี​ม็อด​พิเศษ 1 อย่าง}","<augmented>{將此物品升級至稀有物品並且確保一項特定屬性}","",0,0,781,""
102,124,0,2,2,300,1899,[],[],"",0,"<augmented>{Upgrade this item to Rare, or Reforge if already Rare, with one guaranteed property}","<augmented>{Améliore cet objet en un objet Rare, ou le Remodèle s'il est déjà Rare, avec une propriété garantie}","<augmented>{Verbessert diesen Gegenstand zu einem seltenen Gegenstand, oder würfelt ihn neu, falls er bereits selten ist, mit einer garantierten Eigenschaft.}","<augmented>{プロパティを一個保証した状態でこのアイテムをレアにアップグレードするか、またはすでにレアの場合はリフォージする}","<augmented>{이 아이템을 희귀 아이템으로 업그레이드하거나 이미 희귀 아이템인 경우 재련, 아래 해당하는 속성 1개 보장}","<augmented>{Atualiza este item para raro, ou o reforja, caso já seja raro, com uma propriedade garantida}","<augmented>{Улучшает предмет до редкого или перековывает редкий предмет, наделяя его одним определённым свойством}","<augmented>{Convierte este objeto en un objeto raro, o lo reforja si ya es raro, y le otorga una propiedad garantizada}","<augmented>{อัพเกรด​ไอเทม​นี้​ให้​เป็น ไอเทม​แรร์ หรือ​สุ่ม​ม็อด​ทุกอย่าง​​ขึ้น​มา​ใหม่​หาก​เป็น​ไอเทม​แรร์​ตั้งแต่​แรก โดย​จะ​มี​ม็อด​พิเศษ 1 อย่าง}","<augmented>{將此物品升級至稀有物品、或重置一件稀有物品的屬性，並且確保一項特定屬性}","",5,8,750,""
103,124,1,3,3,375,1876,[],[],"",0,"<augmented>{Upgrade this item to Rare, or Reforge if already Rare, with one guaranteed property}","<augmented>{Améliore cet objet en un objet Rare, ou le Remodèle s'il est déjà Rare, avec une propriété garantie}","<augmented>{Verbessert diesen Gegenstand zu einem seltenen Gegenstand, oder würfelt ihn neu, falls er bereits selten ist, mit einer garantierten Eigenschaft.}","<augmented>{プロパティを一個保証した状態でこのアイテムをレアにアップグレードするか、またはすでにレアの場合はリフォージする}","<augmented>{이 아이템을 희귀 아이템으로 업그레이드하거나 이미 희귀 아이템인 경우 재련, 아래 해당하는 속성 1개 보장}","<augmented>{Atualiza este item para raro, ou o reforja, caso já seja raro, com uma propriedade garantida}","<augmented>{Улучшает предмет до редкого или перековывает редкий предмет, наделяя его одним определённым свойством}","<augmented>{Convierte este objeto en un objeto raro, o lo reforja si ya es raro, y le otorga una propiedad garantizada}","<augmented>{อัพเกรด​ไอเทม​นี้​ให้​เป็น ไอเทม​แรร์ หรือ​สุ่ม​ม็อด​ทุกอย่าง​​ขึ้น​มา​ใหม่​หาก​เป็น​ไอเทม​แรร์​ตั้งแต่​แรก โดย​จะ​มี​ม็อด​พิเศษ 1 อย่าง}","<augmented>{將此物品升級至稀有物品、或重置一件稀有物品的屬性，並且確保一項特定屬性}","",5,8,938,""
104,125,0,2,2,450,1899,[],[],"",0,"<augmented>{Upgrade this item to Rare, or Reforge if already Rare, with one guaranteed property}","<augmented>{Améliore cet objet en un objet Rare, ou le Remodèle s'il est déjà Rare, avec une propriété garantie}","<augmented>{Verbessert diesen Gegenstand zu einem seltenen Gegenstand, oder würfelt ihn neu, falls er bereits selten ist, mit einer garantierten Eigenschaft.}","<augmented>{プロパティを一個保証した状態でこのアイテムをレアにアップグレードするか、またはすでにレアの場合はリフォージする}","<augmented>{이 아이템을 희귀 아이템으로 업그레이드하거나 이미 희귀 아이템인 경우 재련, 아래 해당하는 속성 1개 보장}","<augmented>{Atualiza este item para raro, ou o reforja, caso já seja raro, com uma propriedade garantida}","<augmented>{Улучшает предмет до редкого или перековывает редкий предмет, наделяя его одним определённым свойством}","<augmented>{Convierte este objeto en un objeto raro, o lo reforja si ya es raro, y le otorga una propiedad garantizada}","<augmented>{อัพเกรด​ไอเทม​นี้​ให้​เป็น ไอเทม​แรร์ หรือ​สุ่ม​ม็อด​ทุกอย่าง​​ขึ้น​มา​ใหม่​หาก​เป็น​ไอเทม​แรร์​ตั้งแต่​แรก โดย​จะ​มี​ม็อด​พิเศษ 1 อย่าง}","<augmented>{將此物品升級至稀有物品、或重置一件稀有物品的屬性，並且確保一項特定屬性}","",5,8,1125,""
105,125,1,3,3,563,1876,[],[],"",0,"<augmented>{Upgrade this item to Rare, or Reforge if already Rare, with one guaranteed property}","<augmented>{Améliore cet objet en un objet Rare, ou le Remodèle s'il est déjà Rare, avec une propriété garantie}","<augmented>{Verbessert diesen Gegenstand zu einem seltenen Gegenstand, oder würfelt ihn neu, falls er bereits selten ist, mit einer garantierten Eigenschaft.}","<augmented>{プロパティを一個保証した状態でこのアイテムをレアにアップグレードするか、またはすでにレアの場合はリフォージする}","<augmented>{이 아이템을 희귀 아이템으로 업그레이드하거나 이미 희귀 아이템인 경우 재련, 아래 해당하는 속성 1개 보장}","<augmented>{Atualiza este item para raro, ou o reforja, caso já seja raro, com uma propriedade garantida}","<augmented>{Улучшает предмет до редкого или перековывает редкий предмет, наделяя его одним определённым свойством}","<augmented>{Convierte este objeto en un objeto raro, o lo reforja si ya es raro, y le otorga una propiedad garantizada}","<augmented>{อัพเกรด​ไอเทม​นี้​ให้​เป็น ไอเทม​แรร์ หรือ​สุ่ม​ม็อด​ทุกอย่าง​​ขึ้น​มา​ใหม่​หาก​เป็น​ไอเทม​แรร์​ตั้งแต่​แรก โดย​จะ​มี​ม็อด​พิเศษ 1 อย่าง}","<augmented>{將此物品升級至稀有物品、或重置一件稀有物品的屬性，並且確保一項特定屬性}","",5,8,1406,""
106,126,0,2,2,700,1899,[],[],"",0,"<augmented>{Upgrade this item to Rare, or Reforge if already Rare, with one guaranteed property}","<augmented>{Améliore cet objet en un objet Rare, ou le Remodèle s'il est déjà Rare, avec une propriété garantie}","<augmented>{Verbessert diesen Gegenstand zu einem seltenen Gegenstand, oder würfelt ihn neu, falls er bereits selten ist, mit einer garantierten Eigenschaft.}","<augmented>{プロパティを一個保証した状態でこのアイテムをレアにアップグレードするか、またはすでにレアの場合はリフォージする}","<augmented>{이 아이템을 희귀 아이템으로 업그레이드하거나 이미 희귀 아이템인 경우 재련, 아래 해당하는 속성 1개 보장}","<augmented>{Atualiza este item para raro, ou o reforja, caso já seja raro, com uma propriedade garantida}","<augmented>{Улучшает предмет до редкого или перековывает редкий предмет, наделяя его одним определённым свойством}","<augmented>{Convierte este objeto en un objeto raro, o lo reforja si ya es raro, y le otorga una propiedad garantizada}","<augmented>{อัพเกรด​ไอเทม​นี้​ให้​เป็น ไอเทม​แรร์ หรือ​สุ่ม​ม็อด​ทุกอย่าง​​ขึ้น​มา​ใหม่​หาก​เป็น​ไอเทม​แรร์​ตั้งแต่​แรก โดย​จะ​มี​ม็อด​พิเศษ 1 อย่าง}","<augmented>{將此物品升級至稀有物品、或重置一件稀有物品的屬性，並且確保一項特定屬性}","",5,8,1750,""
107,126,1,3,3,875,1876,[],[],"",0,"<augmented>{Upgrade this item to Rare, or Reforge if already Rare, with one guaranteed property}","<augmented>{Améliore cet objet en un objet Rare, ou le Remodèle s'il est déjà Rare, avec une propriété garantie}","<augmented>{Verbessert diesen Gegenstand zu einem seltenen Gegenstand, oder würfelt ihn neu, falls er bereits selten ist, mit einer garantierten Eigenschaft.}","<augmented>{プロパティを一個保証した状態でこのアイテムをレアにアップグレードするか、またはすでにレアの場合はリフォージする}","<augmented>{이 아이템을 희귀 아이템으로 업그레이드하거나 이미 희귀 아이템인 경우 재련, 아래 해당하는 속성 1개 보장}","<augmented>{Atualiza este item para raro, ou o reforja, caso já seja raro, com uma propriedade garantida}","<augmented>{Улучшает предмет до редкого или перековывает редкий предмет, наделяя его одним определённым свойством}","<augmented>{Convierte este objeto en un objeto raro, o lo reforja si ya es raro, y le otorga una propiedad garantizada}","<augmented>{อัพเกรด​ไอเทม​นี้​ให้​เป็น ไอเทม​แรร์ หรือ​สุ่ม​ม็อด​ทุกอย่าง​​ขึ้น​มา​ใหม่​หาก​เป็น​ไอเทม​แรร์​ตั้งแต่​แรก โดย​จะ​มี​ม็อด​พิเศษ 1 อย่าง}","<augmented>{將此物品升級至稀有物品、或重置一件稀有物品的屬性，並且確保一項特定屬性}","",5,8,2188,""
108,127,0,2,2,150,1899,[],[],"",0,"<augmented>{Upgrade this item to Rare with one guaranteed property}","<augmented>{Améliore cet objet en un objet Rare avec une propriété garantie}","<augmented>{Verbessert diesen Gegenstand zu einem seltenen Gegenstand mit einer garantierten Eigenschaft.}","<augmented>{プロパティを一個保証した状態でこのアイテムをレアにアップグレードする}","<augmented>{이 아이템을 희귀 아이템으로 업그레이드, 아래 해당하는 속성 1개 보장}","<augmented>{Atualiza este item para raro com uma propriedade garantida}","<augmented>{Улучшает предмет до редкого, наделяя его одним определённым свойством}","<augmented>{Convierte este objeto en un objeto raro y le otorga una propiedad garantizada}","<augmented>{อัพเกรด​ไอเทม​นี้​ให้​เป็น ไอเทม​แรร์ โดย​จะ​มี​ม็อด​พิเศษ 1 อย่าง}","<augmented>{將此物品升級至稀有物品並且確保一項特定屬性}","",0,0,375,""
109,127,1,3,3,188,1876,[],[],"",0,"<augmented>{Upgrade this item to Rare with one guaranteed property}","<augmented>{Améliore cet objet en un objet Rare avec une propriété garantie}","<augmented>{Verbessert diesen Gegenstand zu einem seltenen Gegenstand mit einer garantierten Eigenschaft.}","<augmented>{プロパティを一個保証した状態でこのアイテムをレアにアップグレードする}","<augmented>{이 아이템을 희귀 아이템으로 업그레이드, 아래 해당하는 속성 1개 보장}","<augmented>{Atualiza este item para raro com uma propriedade garantida}","<augmented>{Улучшает предмет до редкого, наделяя его одним определённым свойством}","<augmented>{Convierte este objeto en un objeto raro y le otorga una propiedad garantizada}","<augmented>{อัพเกรด​ไอเทม​นี้​ให้​เป็น ไอเทม​แรร์ โดย​จะ​มี​ม็อด​พิเศษ 1 อย่าง}","<augmented>{將此物品升級至稀有物品並且確保一項特定屬性}","",0,0,469,""
110,128,0,2,2,200,1899,[],[],"",0,"<augmented>{Upgrade this item to Rare with one guaranteed property}","<augmented>{Améliore cet objet en un objet Rare avec une propriété garantie}","<augmented>{Verbessert diesen Gegenstand zu einem seltenen Gegenstand mit einer garantierten Eigenschaft.}","<augmented>{プロパティを一個保証した状態でこのアイテムをレアにアップグレードする}","<augmented>{이 아이템을 희귀 아이템으로 업그레이드, 아래 해당하는 속성 1개 보장}","<augmented>{Atualiza este item para raro com uma propriedade garantida}","<augmented>{Улучшает предмет до редкого, наделяя его одним определённым свойством}","<augmented>{Convierte este objeto en un objeto raro y le otorga una propiedad garantizada}","<augmented>{อัพเกรด​ไอเทม​นี้​ให้​เป็น ไอเทม​แรร์ โดย​จะ​มี​ม็อด​พิเศษ 1 อย่าง}","<augmented>{將此物品升級至稀有物品並且確保一項特定屬性}","",0,0,500,""
111,128,1,3,3,250,1876,[],[],"",0,"<augmented>{Upgrade this item to Rare with one guaranteed property}","<augmented>{Améliore cet objet en un objet Rare avec une propriété garantie}","<augmented>{Verbessert diesen Gegenstand zu einem seltenen Gegenstand mit einer garantierten Eigenschaft.}","<augmented>{プロパティを一個保証した状態でこのアイテムをレアにアップグレードする}","<augmented>{이 아이템을 희귀 아이템으로 업그레이드, 아래 해당하는 속성 1개 보장}","<augmented>{Atualiza este item para raro com uma propriedade garantida}","<augmented>{Улучшает предмет до редкого, наделяя его одним определённым свойством}","<augmented>{Convierte este objeto en un objeto raro y le otorga una propiedad garantizada}","<augmented>{อัพเกรด​ไอเทม​นี้​ให้​เป็น ไอเทม​แรร์ โดย​จะ​มี​ม็อด​พิเศษ 1 อย่าง}","<augmented>{將此物品升級至稀有物品並且確保一項特定屬性}","",0,0,625,""
112,129,0,2,2,250,1899,[],[],"",0,"<augmented>{Upgrade this item to Rare with one guaranteed property}","<augmented>{Améliore cet objet en un objet Rare avec une propriété garantie}","<augmented>{Verbessert diesen Gegenstand zu einem seltenen Gegenstand mit einer garantierten Eigenschaft.}","<augmented>{プロパティを一個保証した状態でこのアイテムをレアにアップグレードする}","<augmented>{이 아이템을 희귀 아이템으로 업그레이드, 아래 해당하는 속성 1개 보장}","<augmented>{Atualiza este item para raro com uma propriedade garantida}","<augmented>{Улучшает предмет до редкого, наделяя его одним определённым свойством}","<augmented>{Convierte este objeto en un objeto raro y le otorga una propiedad garantizada}","<augmented>{อัพเกรด​ไอเทม​นี้​ให้​เป็น ไอเทม​แรร์ โดย​จะ​มี​ม็อด​พิเศษ 1 อย่าง}","<augmented>{將此物品升級至稀有物品並且確保一項特定屬性}","",0,0,625,""
113,129,1,3,3,313,1876,[],[],"",0,"<augmented>{Upgrade this item to Rare with one guaranteed property}","<augmented>{Améliore cet objet en un objet Rare avec une propriété garantie}","<augmented>{Verbessert diesen Gegenstand zu einem seltenen Gegenstand mit einer garantierten Eigenschaft.}","<augmented>{プロパティを一個保証した状態でこのアイテムをレアにアップグレードする}","<augmented>{이 아이템을 희귀 아이템으로 업그레이드, 아래 해당하는 속성 1개 보장}","<augmented>{Atualiza este item para raro com uma propriedade garantida}","<augmented>{Улучшает предмет до редкого, наделяя его одним определённым свойством}","<augmented>{Convierte este objeto en un objeto raro y le otorga una propiedad garantizada}","<augmented>{อัพเกรด​ไอเทม​นี้​ให้​เป็น ไอเทม​แรร์ โดย​จะ​มี​ม็อด​พิเศษ 1 อย่าง}","<augmented>{將此物品升級至稀有物品並且確保一項特定屬性}","",0,0,781,""
114,130,0,2,2,300,1899,[],[],"",0,"<augmented>{Upgrade this item to Rare, or Reforge if already Rare, with one guaranteed property}","<augmented>{Améliore cet objet en un objet Rare, ou le Remodèle s'il est déjà Rare, avec une propriété garantie}","<augmented>{Verbessert diesen Gegenstand zu einem seltenen Gegenstand, oder würfelt ihn neu, falls er bereits selten ist, mit einer garantierten Eigenschaft.}","<augmented>{プロパティを一個保証した状態でこのアイテムをレアにアップグレードするか、またはすでにレアの場合はリフォージする}","<augmented>{이 아이템을 희귀 아이템으로 업그레이드하거나 이미 희귀 아이템인 경우 재련, 아래 해당하는 속성 1개 보장}","<augmented>{Atualiza este item para raro, ou o reforja, caso já seja raro, com uma propriedade garantida}","<augmented>{Улучшает предмет до редкого или перековывает редкий предмет, наделяя его одним определённым свойством}","<augmented>{Convierte este objeto en un objeto raro, o lo reforja si ya es raro, y le otorga una propiedad garantizada}","<augmented>{อัพเกรด​ไอเทม​นี้​ให้​เป็น ไอเทม​แรร์ หรือ​สุ่ม​ม็อด​ทุกอย่าง​​ขึ้น​มา​ใหม่​หาก​เป็น​ไอเทม​แรร์​ตั้งแต่​แรก โดย​จะ​มี​ม็อด​พิเศษ 1 อย่าง}","<augmented>{將此物品升級至稀有物品、或重置一件稀有物品的屬性，並且確保一項特定屬性}","",5,8,750,""
