"rownum","Id","Name","Name (French)","Name (German)","Name (Japanese)","Name (Korean)","Name (Portuguese)","Name (Russian)","Name (Spanish)","Name (Thai)","Name (Traditional Chinese)","Metadata","rid_24","NPCMasterKey","ShortName","ShortName (French)","ShortName (German)","ShortName (Japanese)","ShortName (Korean)","ShortName (Portuguese)","ShortName (Russian)","ShortName (Spanish)","ShortName (Thai)","ShortName (Traditional Chinese)","i32_64","NPCAudios1","NPCAudios2","HASH16","row_102","Portrait","DialogueStyle","bool_142","rid_143","Gender","bool_167","i32_168"
133,"Metadata/NPC/Missions/Hideout/StrDexInt","Zana, Master Cartographer","Zana, Maître-cartographe","Zana, Meisterkartographin","マスターカートグラファー、ザナ","지도의 대가 자나","Zana, Mestre da Cartografia","Зана, мастер странствий","Zana, Maestra cartógrafa","ซานะ มาสเตอร์แห่งแผนที่","製圖大師札娜","Metadata/NPC/NPC","",6,"Zana","Zana","Zana","ザナ","자나","Zana","Зана","Zana","ซานะ","札娜",0,[49],[50],-30572,"","","",1,"","F","",0
134,"Metadata/NPC/Missions/Hideout/StrDexIntDemo","Zana, Master Cartographer","Zana, Maître-cartographe","Zana, Meisterkartographin","マスターカートグラファー、ザナ","지도의 대가 자나","Zana, Mestre da Cartografia","Зана, мастер странствий","Zana, Maestra cartógrafa","ซานะ มาสเตอร์แห่งแผนที่","製圖大師札娜","Metadata/NPC/Missions/Hideout/StrDexInt","",6,"Zana","Zana","Zana","ザナ","자나","Zana","Зана","Zana","ซานะ","札娜",0,[],[],-28847,"","","",1,"","F","",0
135,"Metadata/NPC/Missions/Hideout/PvP","Leo, Master of the Arena","Léo, Maître de l'Arène","Leo, Meister der Arena","アリーナマスター、リオ","투기장의 대가 레오","Leo, Mestre da Arena","Лео, мастер арены","Leo, Maestro de la arena","ลีโอ มาสเตอร์แห่งลานประลอง","競技大師里歐","Metadata/NPC/NPC","","","Leo","Léo","Leo","リオ","레오","Leo","Лео","Leo","ลีโอ","里歐",0,[53],[54],-7830,"","",1,1,"","M","",0
136,"Metadata/NPC/Labyrinth/LabyrinthTrialGlyphPrison","Bronze Monograph","Monographie sur bronze","Steinmonografie","青銅のモノグラフ","청동 서판","Monografia de Bronze","Бронзовая монография","Monografía de bronce","คำบรรยายบนแผ่นทองแดง","青銅碑文","Metadata/NPC/Info/StoryGlyphBase",937,"","","","","","","","","","","",1,[],[],-20343,"","","",1,"","","",0
137,"Metadata/NPC/Labyrinth/LabyrinthTrialGlyphSins","Bronze Monograph","Monographie sur bronze","Steinmonografie","青銅のモノグラフ","청동 서판","Monografia de Bronze","Бронзовая монография","Monografía de bronce","คำบรรยายบนแผ่นทองแดง","青銅碑文","Metadata/NPC/Info/StoryGlyphBase",937,"","","","","","","","","","","",2,[],[],9663,"","","",1,"","","",0
138,"Metadata/NPC/Labyrinth/LabyrinthTrialGlyphChurch","Bronze Monograph","Monographie sur bronze","Steinmonografie","青銅のモノグラフ","청동 서판","Monografia de Bronze","Бронзовая монография","Monografía de bronce","คำบรรยายบนแผ่นทองแดง","青銅碑文","Metadata/NPC/Info/StoryGlyphBase",937,"","","","","","","","","","","",2,[],[],15897,"","","",1,"","","",0
139,"Metadata/NPC/Labyrinth/LabyrinthTrialGlyphCrematorium","Bronze Monograph","Monographie sur bronze","Steinmonografie","青銅のモノグラフ","청동 서판","Monografia de Bronze","Бронзовая монография","Monografía de bronce","คำบรรยายบนแผ่นทองแดง","青銅碑文","Metadata/NPC/Info/StoryGlyphBase",937,"","","","","","","","","","","",3,[],[],-20149,"","","",1,"","","",0
140,"Metadata/NPC/Labyrinth/LabyrinthTrialGlyphHedge","Bronze Monograph","Monographie sur bronze","Steinmonografie","青銅のモノグラフ","청동 서판","Monografia de Bronze","Бронзовая монография","Monografía de bronce","คำบรรยายบนแผ่นทองแดง","青銅碑文","Metadata/NPC/Info/StoryGlyphBase",937,"","","","","","","","","","","",3,[],[],-15612,"","","",1,"","","",0
141,"Metadata/NPC/Labyrinth/LabyrinthTrialGlyphCatacombs","Bronze Monograph","Monographie sur bronze","Steinmonografie","青銅のモノグラフ","청동 서판","Monografia de Bronze","Бронзовая монография","Monografía de bronce","คำบรรยายบนแผ่นทองแดง","青銅碑文","Metadata/NPC/Info/StoryGlyphBase",937,"","","","","","","","","","","",3,[],[],3135,"","","",1,"","","",0
142,"Metadata/NPC/Labyrinth/LabyrinthGlyph0","Bronze Plaque","Stèle en bronze","Steintafel","青銅の銘板","청동 명판","Placa de Bronze","Бронзовая плита","Placa de bronce","แผ่นสลักทองแดง","青銅板","Metadata/NPC/Info/StoryGlyphBase","","","","","","","","","","","","",-1,[],[],27864,"","","",1,"","","",0
143,"Metadata/NPC/Labyrinth/LabyrinthGlyph1","Bronze Inscription","Inscription dans le bronze","Steininschrift","青銅の碑文","청동 명문","Inscrição de Bronze","Бронзовая надпись","Inscripción de bronce","แผ่นจารึกทองแดง","青銅雕文","Metadata/NPC/Info/StoryGlyphBase","","","","","","","","","","","","",-1,[],[],-21035,"","","",1,"","","",0
144,"Metadata/NPC/Labyrinth/LabyrinthGlyph2","Bronze Inscription","Inscription dans le bronze","Steininschrift","青銅の碑文","청동 명문","Inscrição de Bronze","Бронзовая надпись","Inscripción de bronce","แผ่นจารึกทองแดง","青銅雕文","Metadata/NPC/Info/StoryGlyphBase","","","","","","","","","","","","",-1,[],[],-2746,"","","",1,"","","",0
145,"Metadata/NPC/Labyrinth/LabyrinthGlyph3","Bronze Inscription","Inscription dans le bronze","Steininschrift","青銅の碑文","청동 명문","Inscrição de Bronze","Бронзовая надпись","Inscripción de bronce","แผ่นจารึกทองแดง","青銅雕文","Metadata/NPC/Info/StoryGlyphBase","","","","","","","","","","","","",-1,[],[],-653,"","","",1,"","","",0
146,"Metadata/NPC/Labyrinth/LabyrinthGlyph4","Bronze Inscription","Inscription dans le bronze","Steininschrift","青銅の碑文","청동 명문","Inscrição de Bronze","Бронзовая надпись","Inscripción de bronce","แผ่นจารึกทองแดง","青銅雕文","Metadata/NPC/Info/StoryGlyphBase","","","","","","","","","","","","",-1,[],[],-13300,"","","",1,"","","",0
147,"Metadata/NPC/Izaro","Izaro","Izaro","Izaro","イザロ","이자로","Izaro","Изаро","Izaro","อีซาโร","伊澤洛","Metadata/NPC/NPC","","","","","","","","","","","","",0,[],[],-4423,"","","",1,"","M","",0
148,"Metadata/NPC/Labyrinth/WeylinGlyph1","Poem","Poème","Gedicht","詩","시","Poema","Поэма","Poema","บทกวี","詩","Metadata/NPC/Info/StoryGlyphSmall","","","","","","","","","","","","",-1,[],[],19955,"","","",1,"","","",0
149,"Metadata/NPC/Labyrinth/WeylinGlyph2","Poem","Poème","Gedicht","詩","시","Poema","Поэма","Poema","บทกวี","詩","Metadata/NPC/Info/StoryGlyphSmall","","","","","","","","","","","","",-1,[],[],2894,"","","",1,"","","",0
150,"Metadata/NPC/Labyrinth/WeylinGlyph3","Poem","Poème","Gedicht","詩","시","Poema","Поэма","Poema","บทกวี","詩","Metadata/NPC/Info/StoryGlyphSmall","","","","","","","","","","","","",-1,[],[],-21416,"","","",1,"","","",0
151,"Metadata/NPC/Labyrinth/WeylinGlyph4","Poem","Poème","Gedicht","詩","시","Poema","Поэма","Poema","บทกวี","詩","Metadata/NPC/Info/StoryGlyphSmall","","","","","","","","","","","","",-1,[],[],-4532,"","","",1,"","","",0
152,"Metadata/NPC/Labyrinth/WeylinGlyph5","Poem","Poème","Gedicht","詩","시","Poema","Поэма","Poema","บทกวี","詩","Metadata/NPC/Info/StoryGlyphSmall","","","","","","","","","","","","",-1,[],[],18301,"","","",1,"","","",0
153,"Metadata/NPC/Info/MalachaiGlyphPrison","Letter of Instruction","Lettre d'instructions","Brief mit Instruktionen","助言の手紙","지시 서한","Carta de Instruções","Запись с указаниями","Carta de instrucción","จดหมายชี้แนะ","指引信","Metadata/NPC/Info/StoryGlyphBase","","","","","","","","","","","","",1,[],[],2233,"","","",1,"","","",0
154,"Metadata/NPC/Info/MalachaiScrollGrainGate","Official Orders","Ordres officiels","Offizielle Anordnungen","正式命令書","공식 명령서","Ordens Oficiais","Официальный указ","Órdenes oficiales","คำสั่งจากทางการ","正式命令","Metadata/NPC/Info/StoryGlyphBase","","","","","","","","","","","","",8,[],[],-9998,"","","",1,"","","",0
155,"Metadata/NPC/Info/MalachaiNoteDialla","Journal Entry","Note dans un journal ","Tagebucheintrag","日誌の記入","일지 항목","Nota do Diário","Запись в дневнике","Entrada en el diario","บันทึก","日記","Metadata/NPC/Info/StoryGlyphBase","","","","","","","","","","","","",3,[],[],7135,"","","",1,"","","",0
156,"Metadata/NPC/Info/MalachaiJournalLab","Malachai's Journal","Journal de Malachai","Malachais Tagebuch","マラカイの日誌","말라카이의 일지","Diário do Malachai","Дневник Малахая","Diario de Malachai","บันทึกของมาลาไค","瑪拉凱的日記","Metadata/NPC/Info/StoryGlyphBase","","","","","","","","","","","","",3,[],[],27248,"","","",1,"","","",0
157,"Metadata/NPC/Info/MalachaiLetterSceptre","Letter to Chitus","Missive à Chitus","Brief an Chitus","チタスへの手紙","치투스에게 보내는 편지","Carta para Chitus","Письмо Титусу","Carta a Chitus","จดหมายถึงชิตัส","給切特斯的信","Metadata/NPC/Info/StoryGlyphBase","","","","","","","","","","","","",3,[],[],2396,"","","",1,"","","",0
158,"Metadata/NPC/Rigwald","Rigwald","Rigwald","Rigwald","リグワルド","리그월드","Rigwald","Ригвальд","Rigwald","ริกวอล์ด","瑞佛","Metadata/NPC/NPC","","","","","","","","","","","","",0,[],[],-16610,"","","",1,"","M","",0
159,"Metadata/NPC/Info/RigwaldGlyph1","Inscription","Inscription","Inschrift","碑文","명문","Inscrição","Надпись","Inscripción","หินจารึก","碑銘","Metadata/NPC/Info/StoryGlyphBase","","","","","","","","","","","","",2,[],[],10751,"","","",1,"","","",0
160,"Metadata/NPC/Info/RigwaldGlyph2","Inscription","Inscription","Inschrift","碑文","명문","Inscrição","Надпись","Inscripción","หินจารึก","碑銘","Metadata/NPC/Info/StoryGlyphBase","","","","","","","","","","","","",2,[],[],-29519,"","","",1,"","","",0
161,"Metadata/NPC/Info/RigwaldGlyph3","Inscription","Inscription","Inschrift","碑文","명문","Inscrição","Надпись","Inscripción","หินจารึก","碑銘","Metadata/NPC/Info/StoryGlyphBase","","","","","","","","","","","","",2,[],[],-10413,"","","",1,"","","",0
162,"Metadata/NPC/Info/RigwaldGlyph4","Inscription","Inscription","Inschrift","碑文","명문","Inscrição","Надпись","Inscripción","หินจารึก","碑銘","Metadata/NPC/Info/StoryGlyphBase","","","","","","","","","","","","",2,[],[],-3791,"","","",1,"","","",0
163,"Metadata/NPC/Info/RigwaldGlyph5","Inscription","Inscription","Inschrift","碑文","명문","Inscrição","Надпись","Inscripción","หินจารึก","碑銘","Metadata/NPC/Info/StoryGlyphBase","","","","","","","","","","","","",2,[],[],-18753,"","","",1,"","","",0
164,"Metadata/NPC/Info/RigwaldGlyph6","Inscription","Inscription","Inschrift","碑文","명문","Inscrição","Надпись","Inscripción","หินจารึก","碑銘","Metadata/NPC/Info/StoryGlyphBase","","","","","","","","","","","","",2,[],[],4555,"","","",1,"","","",0
165,"Metadata/NPC/League/Perandus/Cadiro","Cadiro Perandus","Cadiro Pérandus","Cadiro Perandus","カディーロ・ペランダス","카디로 페란두스","Cadiro Perandus","Кадиро Перандус","Cadiro Perandus","คาดิโร เพแรนดัส","卡迪羅．普蘭德斯","Metadata/NPC/NPC","","","Cadiro","Cadiro","Cadiro","カディーロ","카디로","Cadiro","Кадиро","Cadiro","คาดิโร","卡迪羅",0,[55],[56],3122,"","",1,1,22,"M","",0
166,"Metadata/NPC/League/Prophecy/Navali","Navali","Navali","Navali","ナヴァリ","나발리","Navali","Навали","Navali","นาวาลี","娜瓦莉","Metadata/NPC/NPC","","","","","","","","","","","","",-1,[57],[58],2831,"","",1,1,"","F","",0
167,"Metadata/NPC/League/Prophecy/ProphecyDarkTome","Dark Tome","Tome interdit","Dunkler Foliant","闇の学術書","어둠의 서","Tomo Sombrio","Тёмная книга","Tomo oscuro","คัมภีร์มืดมิด","黑暗之書","Metadata/NPC/Info/StoryGlyphBase","","","","","","","","","","","","",-1,[],[],30638,"","","",1,"","","",0
168,"Metadata/NPC/RigwaldMap","The Cursed King","Le Roi maudit","Der verfluchte König","呪われた王","저주받은 왕","O Rei Amaldiçoado","Проклятый монарх","El rey maldito","ราชันผู้ต้องสาป","詛咒之王","Metadata/NPC/NPC","","","","","","","","","","","","",0,[],[],-6653,"","","",1,"","M","",0
169,"Metadata/NPC/RigwaldMapSimplified","Lycius, Midnight's Howl","Lycius, le Hurlement de minuit","Lycius, Mitternachtsheulen","真夜中の遠吠え、ライシアス","한밤의 울부짖음 리시우스","Lycius, Uivo do Luar","Луций, Полуночный вой","Lycius, Aullido de medianoche","ไลเชียส เสียงหอนแห่งรัตติกาล","利希斯嘯夜","Metadata/NPC/NPC","","","","","","","","","","","","",0,[],[],1246,"","","",1,"","M","",0
170,"Metadata/NPC/League/Prophecy/NavaliWild","Navali","Navali","Navali","ナヴァリ","나발리","Navali","Навали","Navali","นาวาลี","娜瓦莉","Metadata/NPC/NPC","","","","","","","","","","","","",1,[57],[58],-21016,"","",1,1,"","F","",0
171,"Metadata/NPC/League/Prophecy/NavaliHideout","Navali","Navali","Navali","ナヴァリ","나발리","Navali","Навали","Navali","นาวาลี","娜瓦莉","Metadata/NPC/NPC","","","","","","","","","","","","",-1,[57],[58],16710,"","",1,1,"","F","",0
172,"Metadata/NPC/League/Bestiary/EinharHideout","Einhar, Beastmaster","Einhar, Maître des Bêtes","Einhar, Meister der Bestien","ビーストマスター、アイナー","야수의 대가 아인하르","Einhar, Mestre das Bestas","Эйнар, Мастер зверей","Einhar, Maestro de bestias","ไอนาร์ มาสเตอร์แห่งสรรพสัตว์","野獸大師埃哈","Metadata/NPC/NPC","",1,"Einhar","Einhar","Einhar","アイナー","아인하르","Einhar","Эйнар","Einhar","ไอนาร์","埃哈",0,[75],[76],-8654,"","",1,1,"","M","",0
173,"Metadata/Monsters/Masters/Einhar","Einhar, Beastmaster","Einhar, Maître des Bêtes","Einhar, Meister der Bestien","ビーストマスター、アイナー","야수의 대가 아인하르","Einhar, Mestre das Bestas","Эйнар, Мастер зверей","Einhar, Maestro de bestias","ไอนาร์ มาสเตอร์แห่งสรรพสัตว์","野獸大師埃哈","Metadata/NPC/NPC","",1,"Einhar","Einhar","Einhar","アイナー","아인하르","Einhar","Эйнар","Einhar","ไอนาร์","埃哈",2,[],[],-3485,"","","",1,"","M","",0
174,"Metadata/NPC/League/Bestiary/Einhar","Einhar, Beastmaster","Einhar, Maître des Bêtes","Einhar, Meister der Bestien","ビーストマスター、アイナー","야수의 대가 아인하르","Einhar, Mestre das Bestas","Эйнар, Мастер зверей","Einhar, Maestro de bestias","ไอนาร์ มาสเตอร์แห่งสรรพสัตว์","野獸大師埃哈","Metadata/NPC/NPC","",1,"Einhar","Einhar","Einhar","アイナー","아인하르","Einhar","Эйнар","Einhar","ไอนาร์","埃哈",2,[75],[76],-27857,"","",1,1,"","M","",0
175,"Metadata/NPC/League/Bestiary/EinharWild","Einhar, Beastmaster","Einhar, Maître des Bêtes","Einhar, Meister der Bestien","ビーストマスター、アイナー","야수의 대가 아인하르","Einhar, Mestre das Bestas","Эйнар, Мастер зверей","Einhar, Maestro de bestias","ไอนาร์ มาสเตอร์แห่งสรรพสัตว์","野獸大師埃哈","Metadata/NPC/NPC","",1,"Einhar","Einhar","Einhar","アイナー","아인하르","Einhar","Эйнар","Einhar","ไอนาร์","埃哈",2,[75],[76],-13913,"","","",1,"","M","",0
176,"Metadata/NPC/League/Bestiary/EinharMenagerie","Einhar, Beastmaster","Einhar, Maître des Bêtes","Einhar, Meister der Bestien","ビーストマスター、アイナー","야수의 대가 아인하르","Einhar, Mestre das Bestas","Эйнар, Мастер зверей","Einhar, Maestro de bestias","ไอนาร์ มาสเตอร์แห่งสรรพสัตว์","野獸大師埃哈","Metadata/NPC/NPC","",1,"Einhar","Einhar","Einhar","アイナー","아인하르","Einhar","Эйнар","Einhar","ไอนาร์","埃哈",2,[75],[76],8793,"","","",1,"","M","",0
177,"Metadata/NPC/Epilogue/ZanaElderMid","Zana, Master Cartographer","Zana, Maître-cartographe","Zana, Meisterkartographin","マスターカートグラファー、ザナ","지도의 대가 자나","Zana, Mestre da Cartografia","Зана, мастер странствий","Zana, Maestra cartógrafa","ซานะ มาสเตอร์แห่งแผนที่","製圖大師札娜","Metadata/NPC/NPC","",6,"Zana","Zana","Zana","ザナ","자나","Zana","Зана","Zana","ซานะ","札娜",11,[],[],17719,"","","",1,"","F","",0
178,"Metadata/NPC/Epilogue/ZanaElder","Zana, Master Cartographer","Zana, Maître-cartographe","Zana, Meisterkartographin","マスターカートグラファー、ザナ","지도의 대가 자나","Zana, Mestre da Cartografia","Зана, мастер странствий","Zana, Maestra cartógrafa","ซานะ มาสเตอร์แห่งแผนที่","製圖大師札娜","Metadata/NPC/NPC","",6,"Zana","Zana","Zana","ザナ","자나","Zana","Зана","Zana","ซานะ","札娜",11,[],[],-32646,"","","",1,"","F","",0
179,"Metadata/NPC/Epilogue/ZanaSecret","Zana, Master Cartographer","Zana, Maître-cartographe","Zana, Meisterkartographin","マスターカートグラファー、ザナ","지도의 대가 자나","Zana, Mestre da Cartografia","Зана, мастер странствий","Zana, Maestra cartógrafa","ซานะ มาสเตอร์แห่งแผนที่","製圖大師札娜","Metadata/NPC/NPC","",6,"Zana","Zana","Zana","ザナ","자나","Zana","Зана","Zana","ซานะ","札娜",11,[],[],-3829,"","","",1,"","F","",0
180,"Metadata/NPC/Epilogue/ZanaShaper","Zana, Master Cartographer","Zana, Maître-cartographe","Zana, Meisterkartographin","マスターカートグラファー、ザナ","지도의 대가 자나","Zana, Mestre da Cartografia","Зана, мастер странствий","Zana, Maestra cartógrafa","ซานะ มาสเตอร์แห่งแผนที่","製圖大師札娜","Metadata/NPC/NPC","",6,"Zana","Zana","Zana","ザナ","자나","Zana","Зана","Zana","ซานะ","札娜",11,[],[],11034,"","","",1,"","F","",0
181,"Metadata/NPC/Shaper","The Shaper","Le Façonneur","Der Schöpfer","シェイパー","쉐이퍼","O Criador","Создатель","El creador","เชปเปอร์","塑界者","Metadata/NPC/NPC","","","","","","","","","","","","",0,[],[],9075,"","","",1,"","M","",0
182,"Metadata/NPC/Act5/Lani","Lani","Lani","Lani","ラニ","라니","Lani","Лани","Lani","ลานี","拉尼","Metadata/NPC/NPC","","","","","","","","","","","","",5,[68],[69],30873,"","",1,1,15,"F","",0
183,"Metadata/NPC/Act5/Vilenta","Vilenta","Vilenta","Vilenta","ヴァイレンタ","바일렌타","Vilenta","Вилента","Vilenta","ไวเลนท่า","范尼達","Metadata/NPC/NPC","","","","","","","","","","","","",5,[64],[65],3842,"","",1,1,46,"F","",0
184,"Metadata/NPC/Act5/Utula","Utula","Utula","Utula","ウトゥーラ","우툴라","Utula","Утула","Utula","อูทูล่า","烏圖拉","Metadata/NPC/NPC","","","","","","","","","","","","",5,[66],[67],-22745,"","",1,1,4,"M","",0
185,"Metadata/NPC/Act5/BannonTown","Bannon","Bannon","Bannon","バノン","배넌","Bannon","Бэннон","Bannon","แบนนอน","班恩","Metadata/NPC/NPC","","","","","","","","","","","","",5,[62],[63],24257,"","",1,1,4,"M","",0
186,"Metadata/NPC/Act5/BannonInnocence","Bannon","Bannon","Bannon","バノン","배넌","Bannon","Бэннон","Bannon","แบนนอน","班恩","Metadata/NPC/NPC","","","","","","","","","","","","",5,[],[],18118,"","",1,1,"","M","",0
187,"Metadata/NPC/Act5/SinInnocence","Sin","Péché","Sin","シン","씬","Sin","Грех","Pecado","ซิน","罪","Metadata/NPC/NPC",3057,"","","","","","","","","","","",5,[],[],6956,"","",1,1,"","M","",0
188,"Metadata/NPC/Act5/SinKitava","Sin","Péché","Sin","シン","씬","Sin","Грех","Pecado","ซิน","罪","Metadata/NPC/NPC","","","","","","","","","","","","",5,[],[],-28079,"","",1,1,"","M","",0
189,"Metadata/NPC/Act5/Lilly","Lilly Roth","Lilly Roth","Lilly Roth","リリィ・ロス","릴리 로스","Lilly Roth","Лилия Рот","Lilly Roth","ลิลลี่ รอธ","莉莉羅斯","Metadata/NPC/NPC","","","Lilly","Lilly","Lilly","リリィ","릴리","Lilly","Лилия","Lilly","ลิลลี่","莉莉",5,[153],[154],4507,"","",1,1,"","F","",0
190,"Metadata/NPC/Act6/Tarkleigh","Tarkleigh","Tarkleigh","Tarkleigh","タークリー","타클레이","Tarkleigh","Таркли","Tarkleigh","ทาร์กเลย์","塔格拉","Metadata/NPC/Act1/Tarkleigh","","","","","","","","","","","","",6,[0],[1],27149,"","",1,1,5,"M","",0
191,"Metadata/NPC/Act6/Bestel","Bestel","Bestel","Bestel","ベストル","베스텔","Bestel","Бестель","Bestel","เบสเทล","畢斯特","Metadata/NPC/Act1/Bestel","","","","","","","","","","","","",6,[4],[],25512,"","",1,1,16,"M","",0
192,"Metadata/NPC/Act6/Lilly","Lilly Roth","Lilly Roth","Lilly Roth","リリィ・ロス","릴리 로스","Lilly Roth","Лилия Рот","Lilly Roth","ลิลลี่ รอธ","莉莉羅斯","Metadata/NPC/NPC","","","Lilly","Lilly","Lilly","リリィ","릴리","Lilly","Лилия","Lilly","ลิลลี่","莉莉",6,[153],[154],-18809,"","",1,1,36,"F","",0
193,"Metadata/NPC/Act6/WeylamBeacon","Weylam Roth","Weylam Roth","Weylam Roth","ウェイラム・ロス","웨일럼 로스","Weylam Roth","Вейлам Рот","Weylam Roth","เวย์แลม รอธ","威廉羅斯","Metadata/NPC/NPC","","","Weylam","Weylam","Weylam","ウェイラム","웨일럼","Weylam","Вейлам","Weylam","เวย์แลม","威廉",6,[],[],186,"","",1,1,"","M","",0
194,"Metadata/NPC/Act6/WeylamReef1","Weylam Roth","Weylam Roth","Weylam Roth","ウェイラム・ロス","웨일럼 로스","Weylam Roth","Вейлам Рот","Weylam Roth","เวย์แลม รอธ","威廉羅斯","Metadata/NPC/NPC","","","Weylam","Weylam","Weylam","ウェイラム","웨일럼","Weylam","Вейлам","Weylam","เวย์แลม","威廉",6,[],[],-1120,"","",1,1,"","M","",0
195,"Metadata/NPC/Act6/WeylamReef2","Weylam Roth","Weylam Roth","Weylam Roth","ウェイラム・ロス","웨일럼 로스","Weylam Roth","Вейлам Рот","Weylam Roth","เวย์แลม รอธ","威廉羅斯","Metadata/NPC/NPC","","","Weylam","Weylam","Weylam","ウェイラム","웨일럼","Weylam","Вейлам","Weylam","เวย์แลม","威廉",6,[],[],3681,"","",1,1,"","M","",0
196,"Metadata/NPC/Act6/SinTown","Sin","Péché","Sin","シン","씬","Sin","Грех","Pecado","ซิน","罪","Metadata/NPC/NPC",2390,"","","","","","","","","","","",6,[72],[73],-17123,"","",1,1,"","M","",0
197,"Metadata/NPC/Act6/SinTukohama","Sin","Péché","Sin","シン","씬","Sin","Грех","Pecado","ซิน","罪","Metadata/NPC/NPC",2395,"","","","","","","","","","","",6,[72],[73],-14262,"","",1,1,"","M","",0
198,"Metadata/NPC/Act6/SinAbberath","Sin","Péché","Sin","シン","씬","Sin","Грех","Pecado","ซิน","罪","Metadata/NPC/NPC",2537,"","","","","","","","","","","",6,[72],[73],-5083,"","",1,1,"","M","",0
199,"Metadata/NPC/Act6/SinShavronne","Sin","Péché","Sin","シン","씬","Sin","Грех","Pecado","ซิน","罪","Metadata/NPC/NPC","","","","","","","","","","","","",6,[72],[73],12794,"","",1,1,"","M","",0
200,"Metadata/NPC/Act6/SinRyslatha","Sin","Péché","Sin","シン","씬","Sin","Грех","Pecado","ซิน","罪","Metadata/NPC/NPC",2538,"","","","","","","","","","","",6,[72],[73],-1317,"","",1,1,"","M","",0
201,"Metadata/NPC/Act6/SinBrineKing","Sin","Péché","Sin","シン","씬","Sin","Грех","Pecado","ซิน","罪","Metadata/NPC/NPC",2392,"","","","","","","","","","","",6,[72],[73],23106,"","",1,1,"","M","",0
202,"Metadata/NPC/Act6/NessaMudFlats","Nessa","Nessa","Nessa","ネッサ","네사","Nessa","Несса","Nessa","เนสซ่า","奈莎","Metadata/NPC/NPC","","","","","","","","","","","","",6,[],[],-31655,"","",1,1,"","F","",0
203,"Metadata/NPC/Act6/NessaPrisonersGate","Nessa","Nessa","Nessa","ネッサ","네사","Nessa","Несса","Nessa","เนสซ่า","奈莎","Metadata/NPC/NPC","","","","","","","","","","","","",6,[],[],-26577,"","",1,1,"","F","",0
204,"Metadata/NPC/Act6/NessaMerveilsCaverns","Nessa","Nessa","Nessa","ネッサ","네사","Nessa","Несса","Nessa","เนสซ่า","奈莎","Metadata/NPC/NPC","","","","","","","","","","","","",6,[],[],8054,"","",1,1,"","F","",0
205,"Metadata/NPC/Act6/NessaBrineKing","Nessa","Nessa","Nessa","ネッサ","네사","Nessa","Несса","Nessa","เนสซ่า","奈莎","Metadata/NPC/NPC","","","","","","","","","","","","",6,[],[],28218,"","",1,1,"","F","",0
206,"Metadata/NPC/League/Prophecy/NavaliMonkey","Yama the White","Yama le Blanc","Yama der Weiße","白猿のヤマ","하얀 야마","Yama, o Branco","Белый Яма","Yama el Blanco","ยามา วานรขาว","小白．雅瑪","Metadata/NPC/NPC","","","","","","","","","","","","",0,[],[],-16859,"","",1,1,"","","",0
207,"Metadata/NPC/Act6/Tukohama","Tukohama","Tukohama","Tukohama","トゥコハマ","투코하마","Tukohama","Тукохама","Tukohama","ทูโคฮาม่า","圖克哈瑪","Metadata/NPC/NPC","","","","","","","","","","","","",6,[],[],-7024,"","",1,1,"","M","",0
208,"Metadata/NPC/Info/VaalLetters/VaalLetter_01","Vaal Letter","Lettre vaal","Brief der Vaal","ヴァールの手紙","바알 서신","Carta Vaal","Письмо ваал","Carta vaal","จดหมายวาล์","瓦爾信函","Metadata/NPC/Info/StoryGlyphBase","","","","","","","","","","","","",-1,[],[],-24436,"","","",1,"","","",0
209,"Metadata/NPC/Info/VaalLetters/VaalLetter_02","Vaal Letter","Lettre vaal","Brief der Vaal","ヴァールの手紙","바알 서신","Carta Vaal","Письмо ваал","Carta vaal","จดหมายวาล์","瓦爾信函","Metadata/NPC/Info/StoryGlyphBase","","","","","","","","","","","","",-1,[],[],-8694,"","","",1,"","","",0
210,"Metadata/NPC/Info/VaalLetters/VaalLetter_03","Vaal Letter","Lettre vaal","Brief der Vaal","ヴァールの手紙","바알 서신","Carta Vaal","Письмо ваал","Carta vaal","จดหมายวาล์","瓦爾信函","Metadata/NPC/Info/StoryGlyphBase","","","","","","","","","","","","",-1,[],[],1852,"","","",1,"","","",0
211,"Metadata/NPC/Info/VaalLetters/VaalLetter_04","Vaal Letter","Lettre vaal","Brief der Vaal","ヴァールの手紙","바알 서신","Carta Vaal","Письмо ваал","Carta vaal","จดหมายวาล์","瓦爾信函","Metadata/NPC/Info/StoryGlyphBase","","","","","","","","","","","","",-1,[],[],20062,"","","",1,"","","",0
212,"Metadata/NPC/Info/VaalLetters/VaalLetter_05","Vaal Letter","Lettre vaal","Brief der Vaal","ヴァールの手紙","바알 서신","Carta Vaal","Письмо ваал","Carta vaal","จดหมายวาล์","瓦爾信函","Metadata/NPC/Info/StoryGlyphBase","","","","","","","","","","","","",-1,[],[],-31405,"","","",1,"","","",0
213,"Metadata/NPC/Info/VaalLetters/VaalLetter_06","Vaal Letter","Lettre vaal","Brief der Vaal","ヴァールの手紙","바알 서신","Carta Vaal","Письмо ваал","Carta vaal","จดหมายวาล์","瓦爾信函","Metadata/NPC/Info/StoryGlyphBase","","","","","","","","","","","","",-1,[],[],14526,"","","",1,"","","",0
