"rownum","Id","Term","Term (French)","Term (German)","Term (Japanese)","Term (Korean)","Term (Portuguese)","Term (Russian)","Term (Spanish)","Term (Thai)","Term (Traditional Chinese)","Definition","Definition (French)","Definition (German)","Definition (Japanese)","Definition (Korean)","Definition (Portuguese)","Definition (Russian)","Definition (Spanish)","Definition (Thai)","Definition (Traditional Chinese)","string_24","string_32","ItemReference","ModReference"
20,"AbyssFedSoul","Abyssal Souls","Âmes abyssales","Abgründige Seelen","アビサルソウル","심연의 영혼","Almas Abissais","Души Бездны","Almas abisales","วิญญาณอะบิส","深淵靈魂","Killing monsters near [ContainsAbyss|Abyss] chasms cause a soul to be released towards the chasm. Souls fed to chasms spawn Abyssal monsters.","Killing monsters near [ContainsAbyss|Abyss] chasms cause a soul to be released towards the chasm. Souls fed to chasms spawn Abyssal monsters.","Wenn man Monster im Umkreis von [ContainsAbyss|Abgrund]-Spalten tötet, wird eine Seele in Richtung der Spalte freigesetzt. Seelen, die in die Spalte gelangen, beschwören Abgrundmonster.","[ContainsAbyss|アビス]の亀裂の近くでモンスターを倒すと亀裂に向かってソウルを1個放つ。亀裂に取り込まれたソウルはアビサルモンスターをスポーンさせる。","[ContainsAbyss|심연] 구렁텅이 근처에서 몬스터를 처치하면 구렁텅이를 향해 영혼이 방출됩니다. 구렁텅이에 먹힌 영혼은 심연 몬스터를 생성합니다.","Matar monstros perto dos desfiladeiros do [ContainsAbyss|Abismo] faz com que uma alma seja liberada na direção deles. Almas entregues aos desfiladeiros geram monstros abissais.","Убийство монстров вблизи провалов [ContainsAbyss|Бездны] выпускает их души в сторону провала. Поглощённые провалами души порождают монстров Бездны.","Si matas monstruos cerca de los fosos de los [ContainsAbyss|abismos], se liberará un alma hacia el foso. Las almas que alimentan a los fosos generan monstruos abisales.","การสังหารมอนสเตอร์ที่อยู่ใกล้กับ[ContainsAbyss|อะบิส]จะปล่อยวิญญาณดวงหนึ่งไปให้ปล่องกลืนกิน ซึ่งจะเรียกมอนสเตอร์อะบิสออกมา","擊殺[ContainsAbyss|深淵]裂隙附近的怪物會使靈魂釋放，並朝裂隙移動。餵入裂隙的靈魂會生成深淵怪物。","","","",""
21,"AbyssalDepths","Abyssal Depths","Profondeurs abyssales","Abgründige Tiefen","アビスの深淵","심연 지하","Profundezas Abissais","Глубины Бездны","Profundidades abisales","เบื้องลึกอะบิส","無盡深淵","Abyssal Depths are underground dungeons that contain a powerful Abyssal Lich.","Abyssal Depths are underground dungeons that contain a powerful Abyssal Lich.","Abgründige Tiefen sind unterirdische Dungeons, die einen mächtigen Abgründigen Lich enthalten.","アビスの深淵は強力なアビサルリッチが出現する地下のダンジョンである。","심연 지하는 강력한 심연의 리치가 등장하는 지하 던전입니다.","As Profundezas Abissais são masmorras subterrâneas que abrigam um poderoso lich abissal.","Глубины Бездны – это подземелья, в которых можно встретить могущественного лича Бездны.","Las Profundidades abisales son mazmorras subterráneas que contienen un Liche abisal poderoso.","เบื้องลึกอะบิส เป็นดันเจี้ยนใต้ดินที่มีลิชอะบิสที่ทรงพลัง","無盡深淵是位於地下的地城，其中棲息著強大的深淵巫妖。","","","",""
22,"MurderousEyeJewel","","","","","","","","","","","","","","","","","","","","","","",2,""
23,"SearchingEyeJewel","","","","","","","","","","","","","","","","","","","","","","",3,""
24,"HypnoticEyeJewel","","","","","","","","","","","","","","","","","","","","","","",4,""
25,"GhastlyEyeJewel","","","","","","","","","","","","","","","","","","","","","","",5,""
26,"SpiritInfusion","Spirit Infusion","Infusion spirituelle","Infusion des Geistes","スピリットインフュージョン","혼백 주입","Infusão Espiritual","Насыщение духом","Infusión espiritual","อาบพลังวิญญาณ","靈魂灌注","Each stack of Spirit Infusion grants 15% faster start of Energy Shield Recharge, Channelling Spells deal 5% more Damage and Channelling Spells have 10% more Cost. Maximum of 10 stacks. You lose one stack every 0.5 seconds if you have not gained a stack in the past 4 seconds.","Chaque cumul d'Infusion spirituelle octroie « Le démarrage de la Recharge du Bouclier d'énergie est 15% plus rapide », « Les Sorts de Canalisation infligent 5% Davantage de Dégâts » et « Les Sorts de Canalisation ont 10% Davantage de Coût ». Maximum 10 cumuls. Vous perdez un cumul toutes les 0,5 seconde si vous n'avez pas gagné de cumul au cours des 4 dernières secondes.","Jeder Stapel von Infusion des Geistes gewährt 15% schnelleren Beginn der Energieschild-Wiederaufladung, 5% mehr Schaden mit kanalisierten Zaubern und 10% mehr Kosten von kanalisierten Zaubern. Maximal 10 Stapel. Alle 0.5 Sekunden geht ein Stapel verloren, wenn in den letzten 4 Sekunden kein Stapel erhalten wurde.","スピリットインフュージョンのそれぞれのスタックごとにエナジーシールドリチャージの開始が15%速くなり、チャネリングスペルはダメージが5%上昇し、チャネリングスペルのコストが10%上昇する。最大スタック数は10。過去4秒間にスタックを獲得していない場合、0.5秒に1スタック失う。","혼백 주입 중첩 하나당 에너지 보호막 재충전 시작 속도가 15% 가속되고, 집중 유지 주문이 주는 피해가 5% 증폭되고, 집중 유지 주문의 비용이 10% 증폭됩니다. 최대 10회 중첩됩니다. 지난 4초 동안 중첩을 획득하지 않았다면 0.5초마다 중첩을 1 잃습니다.","A cada instância de Infusão Espiritual, a recarga do escudo de energia começa 15% mais rápido, as magias de canalização causam +5% de dano e têm um custo 10% maior. Máximo de 10 instâncias. Você perde uma instância a cada 0,5 segundo se não obtiver uma instância nos últimos 4 segundos.","Каждая стадия Насыщения духом дарует 15% ускорение начала перезарядки энергетического щита, на 5% больше урона от поддерживаемых чар и на 10% больше расхода ресурсов поддерживаемыми чарами. Максимум 10 стадий. Вы теряете одну стадию каждые 0,5 секунды, если не получали стадию за последние 4 секунды.","Cada acumulación de infusión espiritual otorga un inicio de la recarga del escudo de energía un 15% más rápido, los hechizos de canalización infligen un 5% más de daño y los hechizos de canalización tienen un 10% más de costo. El máximo de acumulaciones es de 10. Pierdes una acumulación cada 0.5 segundos si no has ganado ninguna acumulación en los últimos 4 segundos.","สถานะ อาบพลังวิญญาณ แต่ละระดับ ทำให้เริ่ม รีชาร์จโล่พลังงาน เร็วขึ้น 15%, เวทแชนเนล สร้างความเสียหาย เพิ่มขึ้น อีก 5% และเวทแชนเนล มีค่าใช้งาน เพิ่มขึ้น อีก 10% สูงสุด 10 ระดับ คุณจะสูญเสียสถานะนี้ 1 ระดับทุก 0.5 วินาทีหากคุณไม่ได้รับสถานะนี้ใน 4 วินาทีที่ผ่านมา","每層靈魂灌注會使能量護盾開始回復速度加快 15%，使引導法術造成 5% 更多傷害，並使引導法術擁有 10% 更多消耗。最多 10 層。若你在過去 4 秒內未獲得任何層數，每 0.5 秒會失去 1 層。","","","",""
27,"BrineCharges","Brine Charges","Charges d'embrun","Gischt-Ladungen","ブラインチャージ","염수 충전","Cargas de Salmoura","Морские заряды","Cargas salinas","Brine Charge","海洋球","You gain 4% of Physical Damage as extra Cold Damage and as extra Lightning Damage per Brine Charge.\r\n\r\nMaximum Brine Charges is equal to Maximum Endurance Charges","Vous Rajoutez 4% de vos Dégâts physiques sous forme de Dégâts de froid et de foudre par Charge d'embrun.\r\n\r\nVotre nombre maximal de Charges d'embrun est égal à votre nombre maximal de Charges d'endurance.","Der Charakter verursacht pro Gischt-Ladung 4% des physischen Schadens als extra Kälteschaden und als extra Blitzschaden.\r\n\r\nDie Anzahl der maximalen Gischt-Ladungen entspricht der Anzahl der maximalen Widerstands-Ladungen.","ブラインチャージごとに物理ダメージの4%を追加冷気ダメージおよび追加雷ダメージとして獲得する。\r\n\r\nブラインチャージの最大数はエンデュランスチャージの最大数と同数になる。","염수 충전 하나당 물리 피해의 4%를 추가 냉기 피해로 획득하고 추가 번개 피해로 획득합니다.\r\n\r\n최대 염수 충전은 최대 인내 충전과 동일합니다.","Você ganha 4% de dano físico como dano de frio e elétrico adicionais por carga de salmoura.\r\n \r\nO número máximo de cargas de salmoura é equivalente ao número máximo de cargas de tolerância.","Вы наносите 4% физического урона в виде дополнительного урона от холода за каждый морской заряд.\r\n\r\nМаксимум морских зарядов равен максимуму зарядов выносливости.","Ganas el 4% del daño físico como daño de hielo y de rayo extra por cada carga salina.\r\n\r\nEl máximo de cargas de salinas es igual al máximo de cargas de aguante.","คุณนำความเสียหาย กายภาพ 4% ไปเสริมเป็น น้ำแข็งและสายฟ้า ต่อจำนวน Brine Charge\r\n\r\nจำนวน Brine Charge สูงสุด เท่ากับจำนวน Endurance Charge สูงสุด","每有一個海洋球，即獲得等同 4% 物理傷害的額外冰冷傷害和額外閃電傷害。\r\n\r\n最大海洋球上限等同於你的最大耐力球上限","","","",""
28,"BifurcatedCrit","Bifurcated Critical Strikes","Coups critiques bifurqués","Doppelt gewürfelte kritische Treffer","二重クリティカルストライク","두 갈래로 나뉜 치명타","Golpes Críticos Divididos","Разветвление критических ударов","Golpes críticos bifurcados","คริติคอลซ้ำซ้อน","分岔暴擊","Critical Strike chance is rolled twice when determining if a Critical Strike should occur:\r\nIf either roll succeeds the hit will be a regular Critical Strike, and if both rolls succeed the amount of extra damage dealt by the Critical Strike will be doubled. This is equivalent to doubling the amount by which the Critical Strike Multiplier exceeds 100 for that Hit.\r\n\r\nIf a modifier makes your Critical Strike Chance Lucky or Unlucky, that luck will apply individually to each of the critical strike chance rolls.\r\n\r\nEffects which cause Hits to Always be Critical Strikes prevent Bifurcation - those hits do not roll the chance, so cannot roll it twice.","Les Chances de Coup critique sont tirées au sort deux fois pour déterminer si un Coup critique doit se produire :\r\nSi l'un des deux tirages réussit, la touche sera un Coup critique normal, et si les deux tirages réussissent, le montant de dégâts supplémentaires infligés par le coup critique sera doublé. Cela équivaut à doubler la valeur par laquelle le Multiplicateur de Coup critique dépasse 100 pour cette Touche.\r\n\r\nSi un modificateur rend vos chances de Coup critique Favorables ou Défavorables, cette faveur/défaveur s’appliquera individuellement à chacun des deux tirages.\r\n\r\nLes effets qui font en sorte que les Touches soient toujours des Coups critiques empêchent la Bifurcation, car ces touches ne tirent pas leurs chances de coup critique et ne peuvent donc pas les tirer deux fois.","Um festzustellen, ob es sich um einen kritischen Treffer handelt, wird die kritische Trefferchance doppelt gewürfelt:\r\nWenn einer der beiden Würfe erfolgreich war, ist der Treffer ein regulärer kritischer Treffer, und wenn beide Würfe erfolgreich waren, wird der Betrag an extra Schaden, der durch den kritischen Treffer verursacht wird, verdoppelt. Dies entspricht der Verdopplung des Betrags, um den der Multiplikator für kritische Treffer für diesen Treffer 100 übersteigt.\r\n\r\nWenn ein Modifikator die Chance auf einen kritischen Treffer günstig oder ungünstig ausfallen lässt, wird diese Gunst individuell auf beide Würfe angewendet.\r\n\r\nEffekte, die dazu führen, dass Treffer immer kritische Treffer sind, verhindern das doppelte Würfeln von kritischen Treffern – diese Treffer würfeln die Chance nicht neu, sodass sie auch nicht doppelt gewürfelt werden kann.","クリティカルストライクが発生するかを決定する時に2回ロールを行うようになる: 片方のロールに成功した場合には通常のクリティカルストライクになり、両方のロールに成功した場合にはそのクリティカルストライクで与えられる追加ダメージの量は2倍になる。これはそのヒットのクリティカルダメージ倍率の100を超過した数値を2倍にしたのと同じ数値である。\r\n\r\nクリティカル率を幸運または不運にするモッドがある場合、その幸運はそれぞれのクリティカル率のロールに独立して適用される。\r\n\r\nヒットを常にクリティカルストライクにする効果は二重クリティカルを起こせない - そのヒットは確率のロールを行わないため、判定を2回ロールできないからである。","치명타 여부를 결정할 때 치명타 확률 판정을 두 번 진행합니다.\r\n두 판정 중 하나라도 성공하면 일반 치명타가 발생하고, 두 판정이 모두 성공하면 치명타로 주는 추가 피해가 두 배가 됩니다. 이는 해당 명중에 적용되는 치명타 피해 배율 중 100을 초과하는 부분이 두 배가 되는 것과 동일한 결과를 냅니다.\r\n\r\n속성으로 치명타 확률에 행운 또는 불운이 적용되는 경우, 치명타 확률 판정마다 행운 또는 불운이 개별적으로 적용됩니다.\r\n\r\n명중이 항상 치명타가 되게 하는 효과는 두 갈래 판정을 방지합니다. 그러한 명중은 확률을 판정하지 않으므로 두 번 판정할 수 없기 때문입니다.","A chance de golpe crítico é verificada duas vezes ao determinar se um golpe crítico deve ocorrer:\r\nse qualquer uma das verificações for bem-sucedida, o ataque será um golpe crítico normal; se ambas forem bem-sucedidas, a quantidade de dano adicional causado pelo golpe crítico será dobrada. Isso equivale a multiplicar pelo dobro o valor pelo qual o multiplicador de golpe crítico excede 100 para aquele ataque.\r\n \r\nSe um modificador tornar sua chance de golpe crítico Sortuda ou Azarada, essa condição se aplicará individualmente a cada uma das verificações.\r\n \r\nEfeitos que fazem com que os ataques sejam sempre golpes críticos impedem a divisão, pois esses ataques não passam pela verificação de chance, não havendo como ela ser verificada duas vezes.","Шанс критического удара проверяется дважды:\r\nЕсли любая из проверок будет пройдена, то произойдёт обычный удар, а если обе проверки будут пройдены, то дополнительный урон от критического удара будет удвоен. Это эквивалентно удвоению числа, на которое множитель критического удара превосходит 100 для этого удара.\r\n\r\nЕсли некое свойство делает ваш шанс критического удара удачливым либо неудачливым, то эта удачливость будет применяться по отдельности к каждой из проверок.\r\n\r\nЭффекты, делающие все удары критическими, препятствуют разветвлению – такие удары не проверяют шанс, и потому не могут проверить его дважды.","La probabilidad de golpe crítico se genera dos veces a la hora de determinar si debería producirse un golpe crítico:\r\nSi alguna de las dos tiradas tiene éxito, el golpe será un golpe crítico normal y, si ambas tiradas tienen éxito, la cantidad de daño extra infligido por el golpe crítico se duplicará. Esto es equivalente a duplicar la cantidad en la que el multiplicador de golpe crítico excede 100 para ese golpe.\r\n\r\nSi un modificador hace que tu probabilidad de golpe crítico sea afortunada o desafortunada, esa suerte se aplicará de forma individual a cada una de las tiradas de probabilidad de golpe crítico.\r\n\r\nLos efectos que hacen que los golpes sean siempre críticos impiden la bifurcación: esos golpes no hacen ninguna tirada de probabilidad, por lo que no pueden hacer dos veces la tirada.","สุ่มโอกาสคริติคอลสองครั้งในการกำหนดว่าเป็นการคริติคอลหรือไม่:\r\nหากการสุ่มครั้งใดครั้งหนึ่งออกผลสำเร็จ การปะทะนั้นจะเป็นการคริติคอลทั่วไป และหากการสุ่มออกผลสำเร็จสองครั้ง ความเสียหายเพิ่มเติมจากคริติคอลจะเพิ่มเป็นสองเท่า ซึ่งจะเหมือนกับการทำให้ตัวคูณคริติคอลที่เกิน 100% เพิ่มเป็นสองเท่าสำหรับการปะทะนั้นๆ\r\n\r\nหากมีม็อดใดที่ทำให้คุณโชคดีหรือโชคร้ายในการคำนวณโอกาสคริติคอล โชคดังกล่าวจะส่งผลต่อการสุ่มโอกาสทั้งสองครั้ง\r\n\r\nผลที่ทำให้การปะทะคริติคอลเสมอจะไม่สามารถคริติคอลซ้ำซ้อนได้ การปะทะแบบนั้นไม่มีการสุ่มโอกาส จึงไม่สามารถสุ่มโอกาสได้สองครั้ง","在判定是否造成暴擊時，會進行兩次暴擊率判定：\r\n若其中一次判定成功，該擊中將會是一次常規暴擊；若兩次判定皆成功，該次暴擊所造成的額外傷害將會翻倍。這相當於將該次擊中的暴擊傷害加成超出 100 的部分翻倍。\r\n\r\n如果某個詞綴使你的暴擊率變為幸運或不幸，該幸運/不幸效果將獨立套用於每一次暴擊率判定。\r\n\r\n使攻擊必定暴擊的效果會阻止分岔——這些攻擊不會進行機率判定，因此無法判定兩次。","","","",""
29,"EffectiveChance","Effective Chance","Chances effectives","Effektive Chance","実効確率","유효 확률","Chance Efetiva","Эффективный шанс","Probabilidad efectiva","โอกาสจริง","實際機率","Some effects manipulate how random chances are rolled in ways that affect the result without changing the stated chance for the effect, such as a chance being Lucky causing it to be rolled twice and use the better result, or an effect skipping the roll entirely to force something to succeed or fail. The Effective chance is the real chance to get a specific result, accounting for all such roll-manipulating effects.\r\n\r\nFor example, if you had a Critical Strike Chance of 20%, and your Critical Hit chance was Lucky, your Effective chance to get a Critical Strike would be 36%, which is the chance that at least one of the two 20% rolls succeeds.","Certains effets modifient la façon dont les chances aléatoires sont tirées, influençant ainsi le résultat sans changer les chances affichées de l’effet. Par exemple, une chance Favorable effectue deux tirages et retient le meilleur, tandis qu’un effet peut parfois ignorer complètement le tirage pour forcer un succès ou un échec. Les chances effectives correspondent aux véritables chances d’obtenir un résultat donné, en tenant compte de tous ces effets qui modifient les tirages.\r\n\r\nPar exemple, si vous avez 20% de chances d’infliger un Coup critique, et que vos chances de Coup critique sont Favorables, vous avez en réalité 36% de Chances effectives d'infliger un Coup critique — ce qui correspond aux chances qu’au moins l’un des deux tirages à 20% réussisse.","Einige Effekte manipulieren, wie zufällige Chancen gewürfelt werden, auf eine Art und Weise, die das Ergebnis beeinflusst, ohne die angegebene Chance für den Effekt zu verändern. Hierzu zählt eine Chance, dass etwas günstig ausfällt. Hierbei wird ein Ausgang zweimal gewürfelt und das bessere Ergebnis verwendet. Es kann sich aber auch um einen Effekt handeln, der den Wurf komplett überspringt, um etwas zum Erfolg oder Misserfolg zu zwingen. Die effektive Chance ist die tatsächliche Chance, ein bestimmtes Ergebnis zu erhalten, wobei alle würfelmanipulierenden Effekte berücksichtigt werden.\r\n\r\nWenn man zum Beispiel eine kritische Trefferchance von 20% hätte und die kritische Trefferchance günstig wäre, hätte man eine effektive Chance auf einen kritischen Treffer von 36%, was die Chance ist, dass mindestens einer der beiden 20%-Würfe erfolgreich ist.","一部の効果は、表示されている確率自体を変えることなく、ランダム判定の方法を操作して結果に影響を与える。例えば、確率が幸運である場合は判定を2回行って良い方の結果を採用し、また別の効果では判定そのものを省略して成功または失敗を強制する。実効確率とは、このような判定操作効果をすべて考慮したうえで、特定の結果が得られる実際の確率である。\r\n\r\n例えば、クリティカルストライク率が20%で、クリティカルヒットの確率が幸運である場合、クリティカルストライクが発生する実効確率は36%になる。これは、2回行われる20%の判定のうち、少なくとも一方が成功する確率である。\r\n","일부 효과는 무작위 확률을 판정하는 방식을 조작하여, 해당 효과의 명시된 확률을 변경하지 않고 결과에 영향을 미칩니다. 예를 들어 확률 판정을 두 번 해서 더 좋은 결과를 사용하는 행운이나, 확률 판정을 아예 생략하고 강제로 무언가가 성공하거나 실패하게 하는 효과가 있습니다. 유효 확률은 이처럼 판정을 조작하는 효과들을 모두 계산하여 특정 결과를 얻을 실제 확률을 구한 것입니다.\r\n\r\n예를 들어, 치명타 확률이 20%이고 치명타 확률에 행운이 적용되었다면, 치명타를 가할 유효 확률은 36%, 즉 2번의 20% 판정 중 최소 1번이 성공할 확률입니다.","Alguns efeitos manipulam a forma como as chances aleatórias são jogadas, afetando o resultado sem alterar a chance declarada para o efeito, como, por exemplo, uma chance Sortuda faz com que a jogada seja feita duas vezes, valendo o melhor resultado, ou um efeito pode ignorar a jogada completamente para impor o sucesso ou o fracasso de algo. A chance efetiva é a chance real de se obter um resultado específico, considerando-se todos esses efeitos que manipulam as jogadas.\r\n \r\nPor exemplo, se você tiver uma chance de golpe crítico de 20% e ela for Sortuda, sua chance efetiva de obter um golpe crítico será de 36%, pois é a chance de ao menos uma das duas jogadas de 20% ser bem-sucedida.","Некоторые эффекты манипулируют случайными событиями, не меняя их шанс, но влияя на результат, как, например, удачливый шанс проверяется дважды и выбирается лучший из исходов, либо проверка пропускается вовсе и успех или неудача гарантируется. Эффективный шанс – это реальный шанс получить тот или иной результат с учётом всех подобных манипулирующих эффектов.\r\n\r\nНапример, если ваш шанс критического удара равен 20% и при этом удачлив, то эффективный шанс критического удара будет равен 36% – вероятность того, что из двух проверок с 20% шансом хотя бы одна будет успешной.","Algunos efectos manipulan la forma en la que se generan las probabilidades aleatorias de maneras que afectan al resultado sin cambiar la probabilidad indicada para el efecto. Por ejemplo, una probabilidad afortunada hace que la probabilidad se genere dos veces y se use el mejor resultado, o un efecto que se salta la generación de probabilidades fuerza a que algo tenga éxito o falle. La probabilidad efectiva es la probabilidad real de obtener un resultado específico, que tiene en cuenta todos estos efectos que manipulan la generación de probabilidades.\r\n\r\nPor ejemplo, si tu probabilidad de golpe crítico era del 20% y tu probabilidad de golpe crítico era afortunada, tu probabilidad efectiva de infligir un golpe crítico sería del 36%, que es la probabilidad de que al menos una de las dos tiradas del 20% tenga éxito.","ผลบางอย่างทำการควบคุมวิธีการสุ่มโอกาส ซึ่งจะส่งผลต่อผลลัพธ์โดยไม่มีการเปลี่ยนโอกาสสุ่มที่ระบุเอาไว้ตั้งแต่แรก อย่างการมีความโชคดีในการคำนวณอะไรบางอย่าง ทำให้สิ่งนั้นถูกสุ่มค่าสองครั้งแล้วเลือกค่าที่ดีที่สุด หรือผลที่ข้ามการสุ่มไปตั้งแต่แรกแล้วบังคับให้การสุ่มนั้นสำเร็จหรือล้มเหลว ซึ่ง โอกาสเกิดผลจริง ตรงนี้จะเป็นโอกาสที่แท้จริงในการได้รับผลลัพธ์บางอย่าง โดยมีการนำผลที่ควบคุมการสุ่มมาคำนวณแล้ว\r\n\r\nยกตัวอย่างเช่น หากคุณมีโอกาสคริติคอล 20% แล้วคุณโชคดีในการคำนวณโอกาสคริติคอล คุณจะมีโอกาสคริติคอลจริง 36% ซึ่งจะเป็นโอกาสที่การสุ่ม 20% จะสุ่มออกมาได้สำเร็จอย่างน้อยหนึ่งในสองครั้งนั่นเอง","有些效果會透過影響判定結果的方式，來干預隨機機率的骰出過程，但這並不會改變該效果帳面上的顯示機率。例如：當判定處於幸運狀態時，該機率將會判定兩次並取其中較佳的結果；又或者某些效果會直接跳過判定，強制使其成功或失敗。實際機率是指在計入所有此類判定干預效果後，獲得特定結果的真實機率。\r\n\r\n例如，若你的暴擊率為 20%，且你的暴擊判定為幸運，則你造成暴擊的實際機率將會是 36%（即兩次 20% 的判定中，至少有一次成功的機率）。","","","",""
30,"EmpoweredSpell","Empowered Spells","Sorts Améliorés","Ermächtigte Zauber","強化されたスペル","강화된 주문","Magias Fortalecidas","Улучшенные чары","Hechizos potenciados","เวทที่ถูกเสริมฤทธิ์","被強化的技能","Pacts can Empower certain Spells causing them to gain additional effects. Empowerments expire if not used within 15 seconds. Instant Spells, Vaal Spells and Brand Spells cannot be Empowered by default.","Les Pactes peuvent Améliorer certains Sorts, leur conférant des effets supplémentaires. Les Améliorations expirent si elles ne sont pas utilisées dans les 15 secondes. Les Sorts instantanés, les Sorts vaal et les Sorts de Symbole ne peuvent pas être Améliorés par défaut.","Pakte können bestimmte Zauber ermächtigen, wodurch diese zusätzliche Effekte erhalten. Ermächtigungen laufen ab, wenn sie nicht innerhalb von 15 Sekunden benutzt werden. Sofort gewirkte Zauber, Vaal-Zauber und Zeichen-Zauber können grundsätzlich nicht ermächtigt werden.","契約は特定のスペルを強化し、追加の効果を獲得するようにする。15秒以内にそのスペルを使用しなかった場合、その強化は効果が切れる。即時スペル、ヴァールスペルおよびブランドスペルはデフォルトでは強化できない。","맹약은 특정 주문을 강화하여 추가 효과를 부여할 수 있습니다. 이러한 강화 효과는 15초 안에 사용하지 않으면 사라집니다. 즉시 시전 주문, 바알 주문과 낙인 주문은 기본적으로 강화할 수 없습니다.","Pactos podem fortalecer certas magias, fazendo com que ganhem efeitos adicionais. Os fortalecimentos expiram se não forem utilizados em até 15 segundos. Por padrão, magias instantâneas, magias vaal e magias de glifo não podem ser fortalecidas.","Пакты могут улучшить определённые чары, даруя им дополнительные эффекты. Улучшения пропадают, если их не использовать в течение 15 секунд. Мгновенные чары, чары ваал и чары клейм изначально нельзя улучшить.","Los pactos pueden potenciar ciertos hechizos para que ganen efectos adicionales. Las potenciaciones expiran si no se usan en 15 segundos. Los hechizos instantáneos, los hechizos vaal y los hechizos de marcas no se pueden potenciar por defecto.","ปฏิญาณสามารถ เสริมฤทธิ์ ให้กับเวทบางอย่าง ทำให้เวทเหล่านี้ให้ผลเพิ่มเติม การเสริมฤทธิ์จะหมดเวลาใน 15 วินาทีหากไม่มีการใช้งาน ปกติคุณไม่สามารถเสริมฤทธิ์ให้กับเวทที่ส่งผลทันที, เวทวาล์ หรือเวทตราเวท ได้","誓約可以強化特定法術，使其獲得額外效果。若未在 15 秒內使用，強化效果將會過期。立刻施放的法術、瓦爾法術、與烙印法術默認無法被強化。","","","",""
31,"HungerOfGhorr","Hunger of Ghorr","Faim de Ghorr","Hunger von Ghorr","ゴールの飢え","고르의 굶주림","Fome de Ghorr","Голод Гхорра","Hambre de Ghorr","หิวโหยเยี่ยงกอร์","戈沃之飢渴","Causes Fleshrend to trigger periodically. Gains a Stage every time you cast a different [EmpoweredSpell|Empowered Spell] with Pact of Ghorr, up to a maximum of 3 Stages. Stages are reset back to 0 when you recast Pact of Ghorr.","Entraîne le déclenchement périodique d'Écorchement. Gagne un Palier à chaque fois que vous lancez un [EmpoweredSpell|Sort Amélioré] avec Pacte de Ghorr, jusqu'à un maximum de 3 Paliers. Les Paliers sont remis à 0 lorsque vous relancez Pacte de Ghorr.","Löst periodisch Fleischreißer aus. Erhält jedes Mal eine Phase, wenn man mit \""Pakt von Ghorr\"" einen anderen [EmpoweredSpell|ermächtigten Zauber] wirkt, bis zu einem Maximum von 3 Phasen. Die Phasen werden auf 0 zurückgesetzt, wenn \""Pakt von Ghorr\"" erneut gewirkt wird.","フレッシュレンドを定期的にトリガーするようにする。異なる種類のゴールの契約で[EmpoweredSpell|強化されたスペル]をキャストしたごとにステージを1獲得する。ステージの最大数は3。ゴールの契約を再キャストした時にステージは0にリセットされる。","주기적으로 살점 난도가 발동됩니다. 플레이어가 고르의 맹약으로 다른 [EmpoweredSpell|강화된 주문]을 시전할 때마다 단계를 획득하여, 최대 3단계까지 획득합니다. 단계는 고르의 맹약을 다시 시전하면 0으로 초기화됩니다.","Faz Destruir Carne ser ativado periodicamente. Ganha um estágio sempre que você conjura uma magia [EmpoweredSpell|fortalecida] diferente com Pacto de Ghorr, até três estágios. Os estágios são redefinidos para zero ao conjurar Pacto de Ghorr novamente.","Периодически вызывает срабатывание Разрывания плоти. Получает стадию каждый раз, когда вы сотворяете отличные от других [EmpoweredSpell|улучшенные чары] с Пактом Гхорра, вплоть до 3 стадий. Стадии сбрасываются до 0 при повторном сотворении Пакта Гхорра.","Hace que Desgarrar la carne se active periódicamente. Gana una fase cada vez que lanzas un [EmpoweredSpell|hechizo potenciado] diferente con Pacto de Ghorr, hasta un máximo de 3 fases. Las fases se restablecen a 0 cuando vuelves a lanzar Pacto de Ghorr.","ทำให้ ฉีกเนื้อ (Fleshrend) ทริกเกอร์เป็นระยะ ได้รับ 1 สเตจทุกครั้งที่คุณร่าย[EmpoweredSpell|เวทที่เสริมฤทธิ์]ที่แตกต่างกันด้วยปฏิญาณแด่กอร์ สูงสุด 3 สเตจ โดยสเตจจะถูกรีเซ็ตกลับเป็น 0 เมื่อคุณร่ายปฏิญาณแด่กอร์อีกครั้ง","使血肉撕扯週期性地觸發。每當你使用戈沃誓約施放不同的[EmpoweredSpell|被強化法術]時，將會獲得 1 層，最多可疊加至 3 層。當你重新施放戈沃誓約時，層數將會重置回 0。","","","",""
