"rownum","string_0","string_8","string_8 (French)","string_8 (German)","string_8 (Japanese)","string_8 (Korean)","string_8 (Portuguese)","string_8 (Russian)","string_8 (Spanish)","string_8 (Thai)","string_8 (Traditional Chinese)","string_16","string_16 (French)","string_16 (German)","string_16 (Japanese)","string_16 (Korean)","string_16 (Portuguese)","string_16 (Russian)","string_16 (Spanish)","string_16 (Thai)","string_16 (Traditional Chinese)","string_24","i32_32","string_36","string_44"
45,"GamepadLegendKeywordSearchClear","Reset Filter","Réinitialiser le filtre","Filter zurücksetzen","フィルターをリセット","필터 초기화","Reiniciar Filtro","Сбросить фильтр","Restablecer filtro","รีเซ็ตฟิลเตอร์","重設篩選條件","","","","","","","","","","","",-1679821367,"",""
46,"PassiveSkillKeywordEditorCurrentSearchTitle","Current Filter","Filtre actuel","Aktueller Filter","現在のフィルター","현재 필터","Filtro Atual","Текущий фильтр","Filtro actual","ฟิลเตอร์ปัจจุบัน","當前篩選","","","","","","","","","","","",-2124925605,"",""
47,"PassiveSkillKeywordEntryEmpty","None","Aucun","Keine","無し","없음","Nenhum","Пусто","Ninguna","ไม่มี","無","","","","","","","","","","","",-784460328,"",""
48,"GamepadLegendKeywordAddInclude","Add to Includes","Ajouter aux inclusions","Hinzufügen zum Einbeziehen","含むに追加","포함 내용에 추가","Adicionar em Incluir","Добавить","Agregar a incluidos","เพิ่มเข้ารายการแสดง:","加至涵蓋條件","","","","","","","","","","","",705327741,"",""
49,"GamepadLegendKeywordAddExclude","Add to Excludes","Ajouter aux exclusions","Hinzufügen zum Ausschließen","除外に追加","제외 내용에 추가","Adicionar em Excluir","Исключить","Agregar a excluidos","เพิ่มเข้ารายการซ่อน:","加至排除條件","","","","","","","","","","","",-749423002,"",""
50,"GamepadLegendKeywordRemoveEntry","Remove","Enlever","Entfernen","取り除く","제거","Remover","Удалить","Eliminar","นำออก","移除","","","","","","","","","","","",553679290,"",""
51,"GamepadCycleFilterResults","Cycle Search Results","Faire défiler les résultats de recherche","Suchergebnisse durchgehen","検索結果をサイクル","검색 결과 넘기기","Rotacionar Resultados da Busca","Прокрутка результатов поиска","Navegar por los resultados de búsqueda","เลื่อนตามผลการค้นหา","輪替搜尋結果","","","","","","","","","","","",-1703155912,"",""
52,"GamepadLegendKeywordLegendShowAllOptions","Show All Options","Afficher toutes les options","Alle Optionen anzeigen","すべてのオプションを表示する","모든 선택지 보기","Mostrar Todas as Opções","Показать все","Mostrar todas las opciones","แสดงตัวเลือกทั้งหมด","顯示所有選項","","","","","","","","","","","",-148944246,"",""
53,"GamepadLegendKeywordLegendShowSuggestedOptions","Show Suggested Options","Afficher les options suggérées","Vorgeschlagene Optionen anzeigen","推奨されているオプションを表示する","추천 선택지 보기","Mostrar Opções Sugeridas","Показать предложенные","Mostrar opciones sugeridas","แสดงตัวเลือกแนะนำ","顯示建議選項","","","","","","","","","","","",1264680407,"",""
54,"GamepadLegendKeywordShowSuggestedTitle","Suggested Keywords based on your Skills and Equipment","Mots-clés suggérés en fonction de vos aptitudes et de votre équipement","Vorgeschlagene Schlüsselwörter basierend auf den Fertigkeiten und der Ausrüstung","スキルと装備に基づいた推奨キーワード","스킬과 장비에 따른 추천 키워드","Palavras-Chave sugeridas baseadas em suas Habilidades e Equipamento","Ключевые слова согласно вашим умениям и снаряжению","Palabras clave sugeridas en función de tus habilidades y equipamiento","ทำการแนะนำคีย์เวิร์ดตามสกิลและไอเทมสวมใส่ของคุณ","依據你的技能和裝備推薦關鍵字","","","","","","","","","","","",1854526081,"",""
55,"GamepadLegendKeywordLegendToggleEntryActive","Toggle Active","Activer","Aktiv umschalten","アクティブを切り替え","활성 켜기/끄기","Mudar para Ativo","Сделать активным/неактивным","Cambiar a activo","เปิด/ปิดคำที่ใช้งานอยู่","切換啟用","","","","","","","","","","","",987651926,"",""
56,"GamepadLegendKeywordLegendDeleteEntry","Delete Filter","Supprimer le filtre","Filter löschen","フィルターを削除","필터 삭제","Deletar Filtro","Удалить фильтр","Eliminar filtro","ลบฟิลเตอร์","刪除篩選條件","","","","","","","","","","","",-249885724,"",""
57,"GamepadLegendKeywordLegendEditEntry","Edit Filter","Modifier le filtre","Filter editieren","フィルターを編集","필터 편집","Editar Filtro","Редактировать фильтр","Editar filtro","แก้ไขฟิลเตอร์","編輯篩選條件","","","","","","","","","","","",-447691392,"",""
58,"GamepadLegendKeywordFilteredOutBrightness","Filtered Out Brightness","Luminosité des exclusions du filtre","Helligkeit für Herausgefiltertes","フィルタリングされた明るさ","필터로 제외한 내용의 밝기","Brilho dos Itens Removidos","Яркость отфильтрованного","Brillo filtrado","ความสว่างของไอเทมที่ไม่ผ่านฟิลเตอร์","篩除亮度","","","","","","","","","","","",699406331,"",""
59,"GamepadLegendKeywordHighlightBrightness","Highlight Glow Intensity","Intensité des inclusions du filtre","Leuchtintensität für Hervorgehobenes","ハイライトの輝き強度","강조 표시 강도","Intensidade do Brilho de Destaque","Яркость подсвечивания","Resaltar intensidad de brillo","การเปล่งแสงของแสงไฮไลท์","突顯亮度","","","","","","","","","","","",-1297973535,"",""
60,"GamepadToggleSkillTargetingMode","Toggle Targeting Mode","Changer de mode de ciblage","Zielmodus umschalten","ターゲッティングモードを切り替え","대상 지정 모드 전환","Ativar Modo de Foco","Переключить режим прицеливания","Alternar de modo de selección de objetivos","สลับโหมดเลือกเป้าหมาย","切換目標選擇模式","","","","","","","","","","","",1250999178,"",""
61,"GamepadToggleSkillTargetingRangedPopup","<bigger>{<<targeting_mode_ranged>> Ranged Mode}\r\n\r\n<<xbox_button_a>> <default>{to use melee mode for this Skill.}","<bigger>{<<targeting_mode_ranged>> Mode À distance}\r\n\r\n<<xbox_button_a>> <default>{pour utiliser le mode même pour cette Aptitude.}","<bigger>{<<targeting_mode_ranged>> Fernkampfmodus}\r\n\r\n<<xbox_button_a>> <default>{, um den Nahkampfmodus für diese Fertigkeit zu verwenden.}","<bigger>{<<targeting_mode_ranged>> 遠距離モード}\r\n\r\n<<xbox_button_a>><default>{でこのスキルを近接モードで使用する。}","<bigger>{<<targeting_mode_ranged>> 원거리 모드}\r\n\r\n<<xbox_button_a>> <default>{로 이 스킬에 근접 모드를 사용할 수 있습니다.}","<bigger>{<<targeting_mode_ranged>> Modo à Distância}\r\n\r\n<<xbox_button_a>> <default>{para usar o modo corpo a corpo para esta Habilidade.}","<bigger>{<<targeting_mode_ranged>> Режим дальнего боя}\r\n\r\n<<xbox_button_a>> <default>{чтобы использовать ближний бой для этого умения.}","<bigger>{<<targeting_mode_ranged>> Modo A distancia}\r\n\r\n<<xbox_button_a>> <default>{para usar el modo cuerpo a cuerpo para esta habilidad.}","<bigger>{<<targeting_mode_ranged>> โหมดระยะไกล}\r\n\r\n<<xbox_button_a>> <default>{เพื่อตั้งโหมดประชิดสำหรับสกิลนี้}","<bigger>{<<targeting_mode_ranged>> 遠程模式}\r\n\r\n<<xbox_button_a>> <default>{以便為此技能採取近戰模式。}","","","","","","","","","","","",-1114402863,"",""
62,"GamepadToggleSkillTargetingMeleePopup","<bigger>{<<targeting_mode_melee>> Melee Mode}\r\n\r\n<<xbox_button_a>> <default>{to use ranged mode for this Skill.}","<bigger>{<<targeting_mode_melee>> Mode Mêlée}\r\n\r\n<<xbox_button_a>> <default>{pour utiliser le mode à distance pour cette Aptitude.}","<bigger>{<<targeting_mode_melee>> Nahkampfmodus}\r\n\r\n<<xbox_button_a>> <default>{, um den Fernkampfmodus für diese Fertigkeit zu verwenden.}","<bigger>{<<targeting_mode_melee>> 近接モード}\r\n\r\n<<xbox_button_a>><default>{でこのスキルを遠距離モードで使用する。}","<bigger>{<<targeting_mode_melee>> 근접 모드}\r\n\r\n<<xbox_button_a>> <default>{로 이 스킬에 원거리 모드를 사용할 수 있습니다.}","<bigger>{<<targeting_mode_melee>> Modo Corpo a Corpo}\r\n\r\n<<xbox_button_a>> <default>{para usar o modo à distância para esta Habilidade.}","<bigger>{<<targeting_mode_melee>> Режим ближнего боя}\r\n\r\n<<xbox_button_a>> <default>{чтобы использовать дальний бой для этого умения.}","<bigger>{<<targeting_mode_melee>> Modo Cuerpo a cuerpo}\r\n\r\n<<xbox_button_a>> <default>{para usar el modo a distancia para esta habilidad.}","<bigger>{<<targeting_mode_melee>> โหมดประชิด}\r\n\r\n<<xbox_button_a>> <default>{เพื่อตั้งโหมดระยะไกลสำหรับสกิลนี้}","<bigger>{<<targeting_mode_melee>> 近戰模式}\r\n\r\n<<xbox_button_a>> <default>{以便為此技能採取遠程模式。}","","","","","","","","","","","",-2001894764,"",""
63,"GamepadLegendUndoLastChange","Undo","Annuler","Rückgängig","元に戻す","실행 취소","Desfazer","Отменить","Deshacer","ย้อนกลับ","取消","","","","","","","","","","","",-127890417,"",""
64,"InstillCraftingWarningRemoveAmuletToClose","Remove Amulet to close Window.","Retirez l'amulette pour fermer la fenêtre.","Amulett zum Schließen des Fensters entfernen.","アミュレットを取り出しウィンドウを閉じる","목걸이를 제거하면 창이 닫힙니다.","Remova o Amuleto para fechar a Janela.","Выньте амулет, чтобы закрыть окно.","Retira el amuleto para poder cerrar la ventana.","นำสร้อยออกเพื่อปิดหน้าต่าง","移除項鍊以關閉視窗。","","","","","","","","","","","",820008759,"",""
65,"PassiveSkillKeywordEditorTitle","Filter Editor","Éditeur de filtres","Filter-Editor","フィルター編集","필터 편집기","Editor de Filtros","Редактор фильтров","Editor de filtros","แก้ไขคำค้นหา","篩選編輯器","","","","","","","","","","","",744472628,"",""
66,"ResetChanges","Reset Changes","Réinitialiser les modifications","Änderungen zurücksetzen","変更をリセット","변경 사항 초기화","Apagar Mudanças","Сбросить изменения","Restablecer cambios","รีเซ็ตการเปลี่ยนแปลง","重置更動","","","","","","","","","","","",-1234627244,"",""
67,"HUDMapPortalsRemaining1","1x<<map_portal_icon>>Map Portal Remaining","1<<map_portal_icon>>portail de Carte restant","1x<<map_portal_icon>>Kartenportal übrig","1x<<map_portal_icon>>残りマップポータル","지도 포탈 <<map_portal_icon>> x1 남음","1x<<map_portal_icon>>Portal de Mapa Restante ","Осталось порталов на карту: 1<<map_portal_icon>>","1x<<map_portal_icon>>portal de mapa restante","เหลือ<<map_portal_icon>>วาร์ปแผนที่อีก 1 แห่ง","剩餘 1 個<<map_portal_icon>>地圖時空之門","","","","","","","","","","","",1735188454,"",""
68,"HUDMapPortalsRemainingN","{0}x<<map_portal_icon>>Map Portals Remaining","{0}<<map_portal_icon>>portails de Carte restants","{0}x<<map_portal_icon>>Kartenportale übrig","{0}x<<map_portal_icon>>残りマップポータル","지도 포탈 <<map_portal_icon>> x{0} 남음","{0}x<<map_portal_icon>>Portais de Mapa Restantes","Осталось порталов на карту: {0}<<map_portal_icon>>","{0}x<<map_portal_icon>>portales de mapa restantes","เหลือ<<map_portal_icon>>วาร์ปแผนที่อีก {0} แห่ง","剩餘 {0} 個<<map_portal_icon>>地圖時空之門","","","","","","","","","","","",1069598711,"",""
69,"PassiveSkillKeywordFilterActiveTitle","Filter Search","Filtrer la recherche","Suche filtern","フィルター検索","필터 검색","Filtrar Busca","Поиск фильтров","Búsqueda de filtros","ค้นหาฟิลเตอร์","篩選搜尋","","","","","","","","","","","",-693811015,"",""
70,"PassiveSkillKeywordSavedFiltersTitle","Saved Filters","Filtres enregistrés","Gespeicherte Filter","保存したフィルター","저장된 필터","Filtros Salvos","Сохранённые фильтры","Filtros guardados","ฟิลเตอร์ที่เซฟไว้","已保存篩選","","","","","","","","","","","",1098226893,"",""
71,"PassiveSkillKeywordOptionsTitle","Additional Options","Options supplémentaires","Zusätzliche Optionen","追加のオプション","추가 옵션","Opções Adicionais","Дополнительные опции","Opciones adicionales","ตัวเลือกเพิ่มเติม","額外選項","","","","","","","","","","","",-1935071641,"",""
72,"CloseOptionsMenu","Hide Options","Masquer les options","Optionen verbergen","オプションを隠す","옵션 숨기기","Esconder Opções","Скрыть опции","Ocultar opciones","ซ่อนตัวเลือก","隱藏選項","","","","","","","","","","","",619555617,"",""
73,"PassiveSkillKeywordFilterInactiveTitle","Text Search","Recherche par texte","Textsuche","テキスト検索","텍스트 검색","Texto da Busca","Текстовый поиск","Búsqueda por texto","ค้นหาด้วยอักษร","字串搜尋","","","","","","","","","","","",-285202201,"",""
74,"PassiveSkillKeywordUnsavedChangesWarning","Would you like to save changes made to the filter?","Voulez-vous enregistrer les modifications apportées au filtre ?","Möchtest du die Änderungen am Filter speichern?","フィルターに加えた変更を保存しますか？","필터 변경 내용을 저장하시겠습니까?","Gostaria de salvar as mudanças feitas neste filtro?","Сохранить внесённые в фильтр изменения?","¿Quieres guardar los cambios realizados en el filtro?","คุณต้องการบันทึกการเปลี่ยนแปลงสำหรับฟิลเตอร์นี้ไหม?","你想保存對篩選的變更嗎？","","","","","","","","","","","",-1008317444,"",""
75,"SideEncounterCastawayBombTitle","Rotten Satchel Charge","Charge de sacoche pourrie","Verfaulte Tornisterladung","劣化した梱包爆薬","썩은 가방 화약","Carga de Bolsa Podre","Заряд в сгнившей сумке","Cartera podrida explosiva","วัตถุระเบิดเน่าเปื่อย","破爛炸藥包","","","","","","","","","","","",238621876,"",""
76,"GamepadSpiritManagementNoSpiritCost","{0}x Free Minions","Créatures gratuites : {0}","{0}x kostenlose Kreaturen","{0}x コスト無しのミニオン","무료 소환수 x{0}","{0}x Lacaios Livres","Бесплатных приспешников: {0}","{0}x esbirros libres","มิเนียนฟรี {0} ตัว","{0} 個自由召喚物","","","","","","","","","","","",1899712679,"",""
77,"ReservationErrorCompanionLimitReached1","Companion Limit Reached","Limite de compagnon atteinte","Gefährtenlimit erreicht","コンパニオンの最大数に到達","반려수 한도 도달","Limite de Companheiros Atingido","Достигнут лимит компаньонов","Límite de compañeros alcanzado","มีสหายถึงจำนวนจำกัดแล้ว","達到盟友上限","","","","","","","","","","","",-1128324336,"",""
78,"PassiveSkillKeywordSmallNodeSetting","Small Nodes","Talents mineurs","Kleine Passive","通常ノード","소형 노드","Pontos Pequenos","Малые узлы","Nodos pequeños","พาสซีฟเล็ก","小節點","","","","","","","","","","","",658267682,"",""
79,"PassiveSkillKeywordNotableSetting","Notable","Éminent","Bedeutende Fertigkeit","特殊","주요 스킬","Notável","Значимые","Notable","พาสซีฟกลาง","核心天賦","","","","","","","","","","","",-2019154459,"",""
80,"PassiveSkillKeywordKeystoneSetting","Keystone","Charnière","Schlüsselfertigkeit","キーストーン","핵심노드","Passiva Fundamental","Ключевые","Piedra angular","คีย์สโตน","關鍵天賦","","","","","","","","","","","",1667474670,"",""
81,"PassiveSkillKeywordNodeTypeSettingTitle","Filter Node Types","Filtrer les types de talents","Knotentyp filtern","ノードタイプでフィルター","노드 유형 필터","Filtrar Tipos de Pontos","Фильтр типа узлов","Filtrar tipos de nodo","ค้นหาชนิดของพาสซีฟ","篩選節點類型","","","","","","","","","","","",1377466872,"",""
82,"GamepadInitTargetingModeTitle","Select Targeting Mode","Sélectionner le mode de ciblage","Wähle Zielerfassungs-Modus","ターゲッティングモードを選択","대상 지정 모드 선택","Selecionar Modo de Mira","Выбор режима прицеливания","Elegir modo de selección de objetivos","เลือกโหมดเลือกเป้าหมาย","選擇目標選擇模式","","","","","","","","","","","",-1813655901,"",""
83,"GamepadInitTargetingModeSubtitle","Targeting modes can changed later in the Bind Screen.","Les modes de ciblage peuvent être modifiés ultérieurement dans l'écran des raccourcis","Der Zielmodus kann später im Zuweisungssbildschirm geändert werden.","ターゲッティングモードは、割り当て画面で後で変更できます。","대상 지정 모드는 나중에 지정 화면에서 변경할 수 있습니다.","Modos de mira podem ser alterados depois na Tela de Associação. ","Режим прицеливания можно сменить позже в меню привязки.","Los modos de selección de objetivos se pueden cambiar después en la pantalla de vinculación.","คุณสามารถเปลี่ยนโหมดเลือกเป้าหมายได้ภายหลังในหน้าจอตั้งปุ่ม","之後可在綁定視窗中變更目標選擇模式。","","","","","","","","","","","",1057883794,"",""
84,"GamepadInitTargetingModeDescAuto","<bigger>{Automatic (recommended)}\r\n\r\nSwitch between Ranged and Melee modes automatically.","<bigger>{Automatique (recommandé)}\r\n\r\nAlterne automatiquement entre le mode À distance et Mêlée.","<bigger>{Automatisch (empfohlen)}\r\n\r\nWechselt automatisch zwischen Fernkampf- und Nahkampfmodus.","<bigger>{自動（推奨）}\r\n\r\n遠距離モードと近接モードを自動で切り替える。","<bigger>{자동(권장)}\r\n\r\n자동으로 원거리 모드와 근접 모드를 전환합니다.","<bigger>{Automático (recomendado)}\r\n\r\nAlterna automaticamente entre os modos Corpo a Corpo e à Distância. ","<bigger>{Автоматический (рекомендуется)}\r\n\r\nАвтоматическое переключение между режимами дальнего и ближнего боя.","<bigger>{Automático (recomendado)}\r\n\r\nCambia automáticamente entre los modos A distancia y Cuerpo a cuerpo.","<bigger>{อัตโนมัติ (แนะนำ)}\r\n\r\nสลับระหว่างโหมดระยะไกลและประชิดโดยอัตโนมัติ","<bigger>{自動(推薦)}\r\n\r\n依據你的武器和技能自動切換遠程和近戰模式。 ","","","","","","","","","","","",987400397,"",""
85,"GamepadInitTargetingModeDescMelee","<bigger>{Melee}\r\n\r\nThis mode will always priortise targets you move towards.","<bigger>{Mêlée}\r\n\r\nCe mode donnera toujours la priorité aux cibles vers lesquelles vous vous déplacez.","<bigger>{Nahkampf}\r\n\r\nDieser Modus priorisiert immer Ziele, denen man sich nähert.","<bigger>{近接}\r\n\r\nこのモードはプレイヤーが進む先のターゲットを常に優先します。","<bigger>{근접}\r\n\r\n이 모드는 항상 플레이어가 움직이는 방향에 있는 대상을 우선으로 합니다.","<bigger>{Corpo a Corpo}\r\n\r\nEste modo sempre priorizará os alvos para os quais você se move. ","<bigger>{Ближний бой}\r\n\r\nЭтот режим всегда отдаёт предпочтение целям, в сторону которых вы двигаетесь.","<bigger>{Cuerpo a cuerpo}\r\n\r\nEste modo siempre priorizará a los objetivos hacia los que te mueves.","<bigger>{ประชิด}\r\n\r\nโหมดนี้จะเลือกเป้าหมายที่คุณเคลื่อนเข้าหาเป็นหลัก","<bigger>{近戰}\r\n\r\n此模式優先挑選你正在靠近的目標。","","","","","","","","","","","",-1716668807,"",""
86,"GamepadInitTargetingModeDescRanged","<bigger>{Ranged}\r\n\r\nThis mode is ideal for focusing down enemies from afar.","<bigger>{À distance}\r\n\r\nCe mode est idéal pour se focaliser sur les ennemis tout en restant à distance.","<bigger>{Fernkampf}\r\n\r\nDieser Modus ist ideal, um Gegner aus der Ferne zu erledigen.","<bigger>{遠距離}\r\n\r\nこのモードは遠距離から敵を集中して攻撃するのに最適です。","<bigger>{원거리}\r\n\r\n이 모드는 멀리 있는 적에게 초점을 맞출 때 적합합니다.","<bigger>{À Distância}\r\n\r\nEste modo é ideal para focar inimigos à distância. ","<bigger>{Дальний бой}\r\n\r\nЭтот режим идеален для прицеливания во врагов издалека.","<bigger>{A distancia}\r\n\r\nEste modo es ideal para apuntar a objetivos desde lejos.","<bigger>{ระยะไกล}\r\n\r\nโหมดนี้เหมาะกับการจัดการศัตรูจากระยะไกล","<bigger>{遠程}\r\n\r\n此模式適合集火遠距離的敵人。","","","","","","","","","","","",-421984925,"",""
87,"GamepadInitTargetingModeLegend","Hold {0} to Select Mode.","Maintenez {0} pour sélectionner le mode.","Halte {0} gedrückt, um den Modus zu wählen.","{0}を長押ししてモードを選択","{0} 길게 누르기: 모드 선택","Segure {0} para Selecionar o Modo. ","Удерживайте {0} для выбора режима.","Mantén presionado {0} para seleccionar el modo.","{0} ค้างไว้เพื่อเลือกโหมด","按住 {0} 來選擇模式。","","","","","","","","","","","",-1348603902,"",""
88,"ConsoleActionUndoPropagateEquipment","Unshare Weapon Set","Ne plus partager l'Ensemble d'armes","Geteiltes Waffenset auflösen","武器セットを共有しない","무기 세트 공유 취소","Desvincular Conjunto de Armas","Использовать только для одного набора","Dejar de compartir set de armas","ยกเลิกการใช้ชุดอาวุธร่วมกัน","解除共享武器套裝","","","","","","","","","","","",239235301,"",""
89,"CosmeticsPanelHelpInfo","<valuedefault>{Ctrl + Alt + L-Click}<default>{ to link item in the chat.}\r\n<valuedefault>{R-Click}<default>{ to clear MTX slot.}","<valuedefault>{Ctrl + Alt + Clic gauche}<default>{ pour afficher l'objet dans le tchat.}\r\n<valuedefault>{Clic droit}<default>{ pour effacer l'emplacement cosmétique.}","<valuedefault>{Strg+ Alt + Linksklick}<default>{ zum Teilen des Gegenstands im Chat.}\r\n<valuedefault>{Rechtsklick}<default>{ zum Leeren des MTX-Platzes.}","<valuedefault>{Ctrl + Alt + 左クリック}<default>{でチャットにアイテムをリンクする。}\r\n<valuedefault>{右クリック}<default>{でMTXスロットをクリアする。}","<valuedefault>{Ctrl + Alt + 좌클릭}<default>{으로 채팅창에 아이템을 링크하십시오.}\r\n<valuedefault>{우클릭}<default>{으로 포인트 아이템 슬롯을 비우십시오.}","<valuedefault>{Ctrl + Alt + L-Click}<default>{ para vincular item no chat.}\r\n<valuedefault>{R-Click}<default>{ para limpar o espaço de MTX.}","<valuedefault>{Ctrl + Alt + ЛКМ}<default>{ отправить ссылку в чат}\r\n<valuedefault>{ПКМ}<default>{ освободить ячейку}","<valuedefault>{Ctrl + Alt + clic izq.}<default>{para enlazar el objeto en el chat.}\r\n<valuedefault>{Clic dcho.}<default>{para despejar el espacio de MTX.}","<valuedefault>{Ctrl + Alt + คลิกซ้าย}<default>{ เพื่อเชื่อมโยงไอเทมลงไปในแชท}\r\n<valuedefault>{คลิกขวา}<default>{ เพื่อล้างช่องสินค้าแฟชั่น}","<valuedefault>{Ctrl + Alt + 滑鼠左鍵}<default>{可在聊天欄中輸入物品連結。}\r\n<valuedefault>{滑鼠右鍵}<default>{清除商城道具欄位。}","Press and hold <<xbox_button_x>> to link MTX items whilst chat panel is open.","Appuyez et maintenez <<xbox_button_x>> pour afficher les microtransactions pendant que la fenêtre de tchat est ouverte.","Halte <<xbox_button_x>> gedrückt, um die Mikrotransaktionen-Wunschliste zu verlinken, während die Chat-Oberfläche geöffnet ist.","チャットパネルが開いているときに、<<xbox_button_x>>を長押ししてMTXアイテムをリンクします。","채팅 창이 열려 있는 동안 <<xbox_button_x>>를 누르면 포인트 아이템을 링크할 수 있습니다.","Pressione e segure <<xbox_button_x>> para vincular itens de MTX enquanto o painel de chat estiver aberto.","Нажмите и удерживайте <<xbox_button_x>> для отправки микротранзакций в открытое окно чата.","Mantén presionado <<xbox_button_x>> para enlazar tus MTX con el panel del chat abierto.","<<xbox_button_x>> ค้างเพื่อเชื่อมโยงสินค้าแฟชั่นลงไปขณะที่เปิดหน้าต่างแชทอยู่","在聊天欄開啟時，按住 <<xbox_button_x>> 可輸入商城道具連結。","",2118208970,"",""
90,"GamepadSpectateLegendChangeViewpoint","Change Viewpoint","Changer de point de vue","Perspektive wechseln","視点を変更","시점 변경","Mudar Ponto de Vista","Сменить ракурс","Cambiar punto de vista","เปลี่ยนมุมมอง","變更視角","","","","","","","","","","","",544282616,"",""
91,"GamepadSpectateLegendExit","Exit Spectate Mode","Quitter le Mode Spectateur","Zuschauermodus verlassen","観戦モードを出る","관전 모드 종료","Sair do Modo Espectador","Покинуть режим наблюдения","Salir del modo espectador","ออกจากโหมดรับชม","退出觀戰模式","","","","","","","","","","","",-1957202727,"",""
92,"MtxStatisticLabelNumArbiterOfAshPinnacleBossKilled","The Arbiter of Ash","L'Arbitre de la Cendre","Der Richter der Asche","灰の裁定者","재의 중재자","O Árbitro das Cinzas","Арбитр пепла","El árbitro de ceniza","ตุลาการเถ้าธุลี","灰燼仲裁者","","","","","","","","","","","",-430770259,"",""
93,"MtxStatisticLabelNumXeshPinnacleBossKilled","Xesht, We That Are One","Xesht, Nous qui ne formons qu'un","Xesht, Wir die Eins sind","一つの我ら、ゼシュト","하나인 우리, 제쉬트","Xesht, Nós Que Somos Um","Ксешт, Мы-Что-Едины","Xesht, Nosotros, que somos uno","เซ็ชท์ เราผู้เป็นหนึ่ง","萬眾歸一．烈許","","","","","","","","","","","",-2061197931,"",""
94,"MtxStatisticLabelNumOlrothPinnacleBossKilled","Olroth, Origin of the Fall","Olroth, l'Origine de la Chute","Olroth, Ursprung des Falls","破滅の元凶、オルロス","몰락의 기원 올로스","Olroth, Origem da Queda","Олрот, Исток падения","Olroth, Origen de la caída","ออลรอธ ต้นกำเนิดความวินาศ","失落起源．奧爾羅斯","","","","","","","","","","","",-1619933527,"",""
95,"MtxStatisticLabelNumKingInTheMistsPinnacleBossKilled","The King in the Mists","Le Roi dans les Brumes","Der König in den Nebeln","霧の中の王","연무 속의 왕","O Rei nas Brumas","Хозяин в Туманах","El rey de las nieblas","ราชันในม่านหมอก","迷霧之王","","","","","","","","","","","",-775104817,"",""
96,"ConsoleActionPlayExampleVideo","Play Example Video","Lancer la vidéo d'exemple","Beispielvideo abspielen","サンプル動画を再生","예시 영상 재생","Assistir Vídeo de Exemplo","Воспроизвести видеоролик с примером","Reproducir video de ejemplo","เล่นวิดีโอตัวอย่าง","播放範例影片","","","","","","","","","","","",-282792330,"",""
97,"GamepadEquippedWithWeaponSet","Equipped: [WeaponSets|Weapon Set]{0}","Equipé : [WeaponSets|Ensemble d'armes] {0}","Ausgerüstet: [WeaponSets|Waffenset]{0}","装備中: [WeaponSet|武器セット] {0}","장착 중: [WeaponSets|무기 세트]{0}","Equipado: [WeaponSets|Conjunto de Armas]{0}","Используется в: [WeaponSets|Набор оружия]{0}","Equipado: [WeaponSets|Set de armas]{0}","สวมใส่: [WeaponSets|ชุดอาวุธ]{0}","已裝備：[WeaponSets|武器套裝]{0}","","","","","","","","","","","",359537255,"",""
