"rownum","Id","i32_8","Name","Name (French)","Name (German)","Name (Japanese)","Name (Korean)","Name (Portuguese)","Name (Russian)","Name (Spanish)","Name (Thai)","Name (Traditional Chinese)","string_20","string_20 (French)","string_20 (German)","string_20 (Japanese)","string_20 (Korean)","string_20 (Portuguese)","string_20 (Russian)","string_20 (Spanish)","string_20 (Thai)","string_20 (Traditional Chinese)","Description1","Description1 (French)","Description1 (German)","Description1 (Japanese)","Description1 (Korean)","Description1 (Portuguese)","Description1 (Russian)","Description1 (Spanish)","Description1 (Thai)","Description1 (Traditional Chinese)","Description2","Description2 (French)","Description2 (German)","Description2 (Japanese)","Description2 (Korean)","Description2 (Portuguese)","Description2 (Russian)","Description2 (Spanish)","Description2 (Thai)","Description2 (Traditional Chinese)","string_44","string_44 (French)","string_44 (German)","string_44 (Japanese)","string_44 (Korean)","string_44 (Portuguese)","string_44 (Russian)","string_44 (Spanish)","string_44 (Thai)","string_44 (Traditional Chinese)","Type","Type (French)","Type (German)","Type (Japanese)","Type (Korean)","Type (Portuguese)","Type (Russian)","Type (Spanish)","Type (Thai)","Type (Traditional Chinese)","rid_60","rid_76","ShopTag","string_108","i32_116","i32_120","i32_124","i32_128","i32_132","bool_136","string_137","bool_145","bool_146","bool_147","string_148","string_148 (French)","string_148 (German)","string_148 (Japanese)","string_148 (Korean)","string_148 (Portuguese)","string_148 (Russian)","string_148 (Spanish)","string_148 (Thai)","string_148 (Traditional Chinese)","string_156","string_156 (French)","string_156 (German)","string_156 (Japanese)","string_156 (Korean)","string_156 (Portuguese)","string_156 (Russian)","string_156 (Spanish)","string_156 (Thai)","string_156 (Traditional Chinese)","string_164","string_164 (French)","string_164 (German)","string_164 (Japanese)","string_164 (Korean)","string_164 (Portuguese)","string_164 (Russian)","string_164 (Spanish)","string_164 (Thai)","string_164 (Traditional Chinese)","string_172","string_172 (French)","string_172 (German)","string_172 (Japanese)","string_172 (Korean)","string_172 (Portuguese)","string_172 (Russian)","string_172 (Spanish)","string_172 (Thai)","string_172 (Traditional Chinese)"
3711,"Metadata/Items/MicrotransactionSkillEffects/MicrotransactionVerdantRaincallerLifeFlask",21578101,"Verdant Raincaller Life Flask","Flacon de Vie verdoyant du Mande-pluie","Lebensfläschchen des naturnahen Regenbeschwörers","新緑のレインコーラーライフフラスコ","신록의 비 소환사 생명력 플라스크","Frasco de Vida do Invocador de Chuva Verdejante","Зелёный флакон жизни призывателя дождя","Frasco de vida invocalluvia verde","ขวดยาพลังชีวิตผู้เรียกฝน Verdant","生命藥劑：祈雨．自然","","M","N","","","M","M","M","","","Changes the appearance of any equipped life flask to the Verdant Raincaller Life Flask, which visually improves the higher the level of flask you have equipped. Adds a verdant raincaller effect to your character when recovering life from the equipped life flask.","Remplace l'apparence d'un Flacon de Vie équipé par le Flacon de Vie verdoyant du Mande-pluie, dont l'effet visuel évolue en fonction du niveau du Flacon. Ajoute un effet verdoyant du Mande-pluie à votre personnage lorsque celui-ci récupère de la Vie grâce au flacon en question.","Ersetzt das Erscheinungsbild eines ausgerüsteten Lebensfläschchens durch das Lebensfläschchen des naturnahen Regenbeschwörers. Fügt deinem Charakter den Effekt des naturnahen Regenbeschwörers hinzu, wenn er Leben durch das ausgerüstete Lebensfläschchen wiederherstellt. Der Effekt skaliert mit der Stufe des ausgerüsteten Fläschchens.","装備しているライフフラスコの見た目を、新緑のレインコーラーライフフラスコに変更します。このスキンはレベルの高いライフフラスコを装備すると見た目が向上します。装備しているライフフラスコからライフを回復する際に、キャラクターに新緑のレインコーラーエフェクトを付加します。","장착 중인 생명력 플라스크의 외형을 신록의 비 소환사 생명력 플라스크로 변경합니다. 캐릭터가 장착하는 플라스크 레벨이 높을수록 시각 효과가 향상됩니다. 장착 중인 생명력 플라스크로 생명력을 회복할 때 캐릭터에 신록의 비 소환사 이펙트를 추가합니다.","Muda a aparência de qualquer frasco de vida equipado para o Frasco de Vida do Invocador Verdejante, que melhora visualmente de acordo com o nível do frasco equipado. Adiciona o efeito invocador verdejante ao seu personagem quando ele estiver recuperando vida do frasco de vida equipado.","Заменяет внешний вид любого используемого флакона здоровья на зелёный флакон здоровья призывателя дождя, визуально улучшающийся с повышением уровня используемого флакона. Добавляет вашему персонажу зелёный эффект призывателя дождя во время восстановления здоровья от используемого флакона здоровья.","Cambia la apariencia de cualquier frasco de vida equipado por el Frasco de vida invocalluvia verde, que mejora visualmente cuanto más nivel tenga tu frasco equipado. Agrega un efecto de invocación de lluvia verde a tu personaje cuando recuperas vida del frasco equipado.","เปลี่ยนสกิน ขวดยาพลังชีวิต ที่สวมใส่เป็น ขวดยาพลังชีวิตผู้เรียกฝน Verdant ซึ่งจะมีภาพเอฟเฟคดีขึ้นตาม เลเวลของขวดยาที่คุณสวมใส่ และจะติด เอฟเฟคผู้เรียกฝนเขียวขจี ให้กับตัวละครของคุณเมื่อคุณเติมพลังชีวิตจากขวดยาที่สวมใส่","將你的藥劑外觀替換為祈雨．自然，你裝備的藥劑等級越高，視覺效果越好。當使用裝備的藥劑回復生命時，祈雨．自然效果會附加至你角色身上。","","","","","","","","","","","","","","","","","","","","","Life Flask Skin","Apparence de Flacon de Vie","Lebensfläschchen-Skin","ライフフラスコスキン","생명력 플라스크 스킨","Visual de Frasco de Vida","Внешний вид флакона жизни","Aspecto para frasco de vida","สกินขวดยาพลังชีวิต","生命藥劑外觀","",2,667,"",3,2,2,1,1,"","VerdantRaincallerLifeFlask",1,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
3712,"Metadata/Items/MicrotransactionItemEffects/MicrotransactionGoldplatedDovecallerWings",1780221321,"Gold-plated Dovecaller Wings","Ailes plaquées or du Mande-colombe","Goldbeschichtete Flügel des Taubenflüsterers","金メッキのダヴコーラーの翼","금도금 비둘기 소환자 날개","Asas do Invocador de Pombas Banhadas a Ouro","Позолоченные крылья голубя","Alas del palomero bañadas en oro","ปีกผู้เรียกพิราบชุบ Gold","背飾：和平喚鴿．鍍金","","FP","MP","","","FP","M","FP","","","Adds the Gold-plated Dovecaller Wings to any equipped body armour, causing you to discover gold doves inside chest and barrels.","Ajoute les Ailes plaquées or du Mande-colombe à votre armure. Grâce à elles, vous découvrez des colombes d'or dans les coffres et les tonneaux.","Fügt einer ausgerüsteten Körperrüstung die Goldbeschichteten Flügel des Taubenflüsterers hinzu. Ein Schwarm goldener Tauben erhebt sich in die Lüfte, wenn du ein Fass zerstörst oder eine Truhe öffnest.","装備している鎧に金メッキのダヴコーラーの翼を追加します。チェストまたは樽を開いた際に、金のハトが飛び出します。","장착 중인 갑옷에 금도금 비둘기 소환자 날개를 추가합니다. 통이나 상자를 열 때 금도금 비둘기가 나타납니다.","Adiciona as Asas do Invocador de Pombas Banhadas a Ouro em qualquer peitoral equipado, fazendo com que você descubra pombas douradas dentro de baús e barrís.","Добавляет позолоченные крылья голубя на любой надетый нательный доспех. Открывая бочки и сундуки, вы находите в них позолоченных голубей.","Agrega las Alas del palomero bañadas en oro a cualquier armadura equipada. Cuando abras un barril o un cofre, hallarás palomas de oro.","ติด ปีกผู้เรียกพิราบชุบ Gold ให้กับเสื้อเกราะที่สวมใส่ ซึ่งจะทำให้คุณค้นพบ นกพิราบทอง ภายในถังและหีบ","在你的背後附加和平喚鴿．鍍金。當你擊破木桶或開啟保險箱時，一群鍍金鴿子會展翅而飛。","","","","","","","","","","","","","","","","","","","","","Body Armour Attachment","Accessoire d'armure","Körperrüstungszusatz","鎧装飾品","갑옷 부착물","Adorno Dorsal","Украшение нательного доспеха","Accesorio para armadura","แฟชั่นติดหลัง","身體外觀附加","",2,667,"",3,2,2,1,1,"","GoldPlatedDovecallerWings",1,1,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
3713,"Metadata/Items/MicrotransactionItemEffects/MicrotransactionSilverplatedDovecallerWings",-2119952463,"Silver-plated Dovecaller Wings","Ailes plaquées argent du Mande-colombe","Silberbeschichtete Flügel des Taubenflüsterers","銀メッキのダヴコーラーの翼","은도금 비둘기 소환자 날개","Asas do Invocador de Pombas Banhadas a Prata","Посеребрённые крылья голубя","Alas del palomero bañadas en plata","ปีกผู้เรียกพิราบชุบ Silver","背飾：和平喚鴿．鍍銀","","FP","MP","","","FP","M","FP","","","Adds the Silver-plated Dovecaller Wings to any equipped body armour, causing you to discover silver doves inside chest and barrels.","Ajoute les Ailes plaquées argent du Mande-colombe à votre armure. Grâce à elles, vous découvrez des colombes d'argent dans les coffres et les tonneaux.","Fügt einer ausgerüsteten Körperrüstung die Silberbeschichteten Flügel des Taubenflüsterers hinzu. Ein Schwarm silberner Tauben erhebt sich in die Lüfte, wenn du ein Fass zerstörst oder eine Truhe öffnest.","装備している鎧に銀メッキのダヴコーラーの翼を追加します。チェストまたは樽を開いた際に、銀のハトが飛び出します。","장착 중인 갑옷에 은도금 비둘기 소환자 날개를 추가합니다. 통이나 상자를 열 때 은도금 비둘기가 나타납니다.","Adiciona as Asas do Invocador de Pombas Banhadas a Prata em qualquer peitoral equipado, fazendo com que você descubra pombas prateadas dentro de baús e barrís.","Добавляет посеребренные крылья голубя на любой надетый нательный доспех. Открывая бочки и сундуки, вы находите в них посеребренных голубей.","Agrega las Alas del palomero bañadas en plata a cualquier armadura equipada. Cuando abras un barril o un cofre, hallarás palomas de plata.","ติด ปีกผู้เรียกพิราบชุบ Silver ให้กับเสื้อเกราะที่สวมใส่ ซึ่งจะทำให้คุณค้นพบ นกพิราบเงิน ภายในถังและหีบ","在你的背後附加和平喚鴿．鍍銀。當你擊破木桶或開啟保險箱時，一群鍍銀鴿子會展翅而飛。","","","","","","","","","","","","","","","","","","","","","Body Armour Attachment","Accessoire d'armure","Körperrüstungszusatz","鎧装飾品","갑옷 부착물","Adorno Dorsal","Украшение нательного доспеха","Accesorio para armadura","แฟชั่นติดหลัง","身體外觀附加","",2,667,"",3,2,2,1,1,"","SilverPlatedDovecallerWings",1,1,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
3714,"Metadata/Items/MicrotransactionItemEffects/MicrotransactionBronzeplatedDovecallerWings",984289615,"Bronze-plated Dovecaller Wings","Ailes plaquées bronze du Mande-colombe ","Bronzebeschichtete Flügel des Taubenflüsterers","銅メッキのダヴコーラーの翼","동도금 비둘기 소환자 날개","Asas do Invocador de Pombas Banhadas a Bronze","Покрытые бронзой крылья голубя","Alas del palomero bañadas en bronce","ปีกผู้เรียกพิราบชุบ Bronze","背飾：和平喚鴿．鍍銅","","FP","MP","","","FP","M","FP","","","Adds the Bronze-plated Dovecaller Wings to any equipped body armour, causing you to discover bronze doves inside chest and barrels.","Ajoute les Ailes plaquées bronze du Mande-colombe à votre armure. Grâce à elles, vous découvrez des colombes de bronze dans les coffres et les tonneaux.","Fügt einer ausgerüsteten Körperrüstung die Bronzebeschichteten Flügel des Taubenflüsterers hinzu. Ein Schwarm bronzener Tauben erhebt sich in die Lüfte, wenn du ein Fass zerstörst oder eine Truhe öffnest.","装備している鎧に銅メッキのダヴコーラーの翼を追加します。チェストまたは樽を開いた際に、銅のハトが飛び出します。","장착 중인 갑옷에 동도금 비둘기 소환자 날개를 추가합니다. 통이나 상자를 열 때 동도금 비둘기가 나타납니다.","Adiciona as Asas do Invocador de Pombas Banhadas a Bronze em qualquer peitoral equipado, fazendo com que você descubra pombas de bronze dentro de baús e barrís.","Добавляет покрытые бронзой крылья голубя на любой надетый нательный доспех. Открывая бочки и сундуки, вы находите в них бронзовых голубей.","Agrega las Alas del palomero bañadas en bronce a cualquier armadura equipada. Cuando abras un barril o un cofre, hallarás palomas de bronce.","ติด ปีกผู้เรียกพิราบชุบ Bronze ให้กับเสื้อเกราะที่สวมใส่ ซึ่งจะทำให้คุณค้นพบ นกพิราบทองแดง ภายในถังและหีบ","在你的背後附加和平喚鴿．鍍銅。當你擊破木桶或開啟保險箱時，一群鍍銅鴿子會展翅而飛。","","","","","","","","","","","","","","","","","","","","","Body Armour Attachment","Accessoire d'armure","Körperrüstungszusatz","鎧装飾品","갑옷 부착물","Adorno Dorsal","Украшение нательного доспеха","Accesorio para armadura","แฟชั่นติดหลัง","身體外觀附加","",2,667,"",3,2,2,1,1,"","BronzePlatedDovecallerWings",1,1,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
3715,"Metadata/Items/MicrotransactionItemEffects/MicrotransactionBismuthplatedDovecallerWings",-927439499,"Bismuth-plated Dovecaller Wings","Ailes plaquées bismuth du Mande-colombe","Bismutbeschichtete Flügel des Taubenflüsterers","蒼鉛メッキのダヴコーラーの翼","창연도금 비둘기 소환자 날개","Asas do Invocador de Pombas Banhadas a Bismuto","Покрытые висмутом крылья голубя","Alas del palomero bañadas en bismuto","ปีกผู้เรียกพิราบชุบ Bismuth","背飾：和平喚鴿．鍍鐵","","FP","MP","","","FP","M","FP","","","Adds the Bismuth-plated Dovecaller Wings to any equipped body armour, causing you to discover bismuth doves inside chest and barrels.","Ajoute les Ailes plaquées bismuth du Mande-colombe à votre armure. Grâce à elles, vous découvrez des colombes de bismuth dans les coffres et les tonneaux.","Fügt einer ausgerüsteten Körperrüstung die Bismutbeschichteten Flügel des Taubenflüsterers hinzu. Ein Schwarm bismuthener Tauben erhebt sich in die Lüfte, wenn du ein Fass zerstörst oder eine Truhe öffnest.","装備している鎧に蒼鉛メッキのダヴコーラーの翼を追加します。チェストまたは樽を開いた際に、蒼鉛のハトが飛び出します。","장착 중인 갑옷에 창연도금 비둘기 소환자 날개를 추가합니다. 통이나 상자를 열 때 창연도금 비둘기가 나타납니다.","Adiciona as Asas do Invocador de Pombas Banhadas a Bismuto em qualquer peitoral equipado, fazendo com que você descubra pombas de bismuto dentro de baús e barrís.","Добавляет покрытые висмутом крылья голубя на любой надетый нательный доспех. Открывая бочки и сундуки, вы находите в них покрытых висмутом голубей.","Agrega las Alas del palomero bañadas en bismuto a cualquier armadura equipada. Cuando abras un barril o un cofre, hallarás palomas de bismuto.","ติด ปีกผู้เรียกพิราบชุบ Bismuth ให้กับเสื้อเกราะที่สวมใส่ ซึ่งจะทำให้คุณค้นพบ นกพิราบบิสมัท ภายในถังและหีบ","在你的背後附加和平喚鴿．鍍鐵。當你擊破木桶或開啟保險箱時，一群鍍鐵鴿子會展翅而飛。","","","","","","","","","","","","","","","","","","","","","Body Armour Attachment","Accessoire d'armure","Körperrüstungszusatz","鎧装飾品","갑옷 부착물","Adorno Dorsal","Украшение нательного доспеха","Accesorio para armadura","แฟชั่นติดหลัง","身體外觀附加","",2,667,"",3,2,2,1,1,"","BismuthPlatedDovecallerWings",1,1,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
3716,"Metadata/Items/MicrotransactionItemEffects/MicrotransactionDefiledRevelationBlade",-1624389954,"Defiled Revelation Blade","Lame de révélation profanée","Besudelte Klinge der Offenbarung","不浄な啓示の剣","더럽혀진 탈각 검","Lâmina da Revelação Profanada","Осквернённый клинок Откровения","Espada de revelación profanada","ดาบแสดงฤทธิ์ Defiled","武器外觀：啟示之劍．玷汙","","F","F","","","F","M","F","","","Changes the appearance of any equipped Sword to the Defiled Revelation Blade","Remplace votre épée par la Lame de révélation profanée. La lame dispose d'une couche protectrice qui vole en éclats lorsque vous touchez des ennemis, révélant alors son noyau d'énergie divine.","Ersetzt das Erscheinungsbild eines ausgerüsteten Schwerts durch die Besudelte Klinge der Offenbarung. ","装備している武器の見た目を、不浄な啓示の剣に変更します。","장착 중인 검을 더럽혀진 탈각 검으로 변경합니다.","Muda a aparência de qualquer Espada equipada para a Lâmina da Revelação Profanada.","Заменяет внешний вид любого меча в руках на осквернённый клинок Откровения","Cambia la apariencia de cualquier espada equipada por la Espada de revelación profanada","เปลี่ยนสกิน ดาบ ที่สวมใส่เป็น อาวุธแสดงฤทธิ์ Defiled","將你的劍外觀替換為啟示之劍．玷汙。","","","","","","","","","","","","","","","","","","","","","Weapon Skin","Apparence d'arme","Waffen-Skin","武器スキン","무기 스킨","Visual de Arma","Внешний вид оружия","Aspecto para arma","สกินอาวุธ","武器外觀","",2,667,"",3,2,2,1,1,"","DefiledRevelationBlade",1,1,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
3717,"Metadata/Items/MicrotransactionItemEffects/MicrotransactionEternalRevelationBlade",-1163182855,"Eternal Revelation Blade","Lame de révélation éternelle","Ewige Klinge der Offenbarung","永遠なる啓示の剣","영원한 탈각 검","Lâmina da Revelação Eterna","Вечный клинок Откровения","Espada de revelación eterna","ดาบแสดงฤทธิ์ Eternal","武器外觀：啟示之劍．永恆","","F","F","","","F","M","F","","","Changes the appearance of any equipped Sword to the Eternal Revelation Blade","Remplace votre épée par la Lame de révélation éternelle. La lame dispose d'une couche protectrice qui vole en éclats lorsque vous touchez des ennemis, révélant alors son noyau d'énergie divine.","Ersetzt das Erscheinungsbild eines ausgerüsteten Schwerts durch die Ewige Klinge der Offenbarung. ","装備している武器の見た目を、永遠なる啓示の剣に変更します。","장착 중인 검을 영원한 탈각 검으로 변경합니다.","Muda a aparência de qualquer Espada equipada para a Lâmina da Revelação Eterna.","Заменяет внешний вид любого меча в руках на Вечный клинок Откровения","Cambia la apariencia de cualquier espada equipada por la Espada de revelación eterna","เปลี่ยนสกิน ดาบ ที่สวมใส่เป็น อาวุธแสดงฤทธิ์ Eternal","將你的劍外觀替換為啟示之劍．永恆。","","","","","","","","","","","","","","","","","","","","","Weapon Skin","Apparence d'arme","Waffen-Skin","武器スキン","무기 스킨","Visual de Arma","Внешний вид оружия","Aspecto para arma","สกินอาวุธ","武器外觀","",2,667,"",3,2,2,1,1,"","EternalRevelationBlade",1,1,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
3718,"Metadata/Items/MicrotransactionItemEffects/MicrotransactionCleansedRevelationBlade",2097459426,"Cleansed Revelation Blade","Lame de révélations purifiée","Gereinigte Klinge der Offenbarung","浄化された啓示の剣","정화된 탈각 검","Lâmina da Revelação Purificada","Чистый клинок Откровения","Espada de revelación purificada","ดาบแสดงฤทธิ์ Cleansed","武器外觀：啟示之劍．淨化","","F","F","","","F","M","F","","","Changes the appearance of any equipped Sword to the Cleansed Revelation Blade","Remplace votre épée par la Lame de révélation purifiée. La lame dispose d'une couche protectrice qui vole en éclats lorsque vous touchez des ennemis, révélant alors son noyau d'énergie divine.","Ersetzt das Erscheinungsbild eines ausgerüsteten Schwerts durch die Gereinigte Klinge der Offenbarung. ","装備している武器の見た目を、浄化された啓示の剣に変更します。","장착 중인 검을 정화된 탈각 검으로 변경합니다.","Muda a aparência de qualquer Espada equipada para a Lâmina da Revelação Purificada.","Заменяет внешний вид любого меча в руках на Чистый клинок Откровения","Cambia la apariencia de cualquier espada equipada por la Espada de revelación purificada","เปลี่ยนสกิน ดาบ ที่สวมใส่เป็น อาวุธแสดงฤทธิ์ Cleansed","將你的劍外觀替換為啟示之劍．淨化。","","","","","","","","","","","","","","","","","","","","","Weapon Skin","Apparence d'arme","Waffen-Skin","武器スキン","무기 스킨","Visual de Arma","Внешний вид оружия","Aspecto para arma","สกินอาวุธ","武器外觀","",2,667,"",3,2,2,1,1,"","CleansedRevelationBlade",1,1,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
3719,"Metadata/Items/MicrotransactionItemEffects/MicrotransactionMistHelmet",981683469,"Mist Helmet","Casque de brume","Nebel-Helm","霧のヘルメット","연무 투구","Elmo Nebuloso","Мглистый шлем","Casco de Niebla","หมวก Mist","頭部外觀：嵐","","M","M","","","M","M","M","","","Changes the appearance of any equipped helmet to the Mist Helmet. Mist spirits spawn around you and are absorbed into your helmet.","Remplace l'apparence de votre casque par le Casque de brume. Des esprits de la brume apparaissent autour de vous et sont absorbés par votre casque.","Ersetzt das Erscheinungsbild eines ausgerüsteten Helmes durch den Nebel-Helm. Nebelgeister erscheinen um dich herum und werden von deinem Helm absorbiert.","装備している兜の見た目を、霧のヘルメットに変更します。霧の霊が周りに出現し、ヘルメットに吸収されます。","장착 중인 투구의 외형을 연무 투구로 변경합니다. 주변에 안개 혼백이 생성되어 투구로 흡수됩니다.","Muda a aparência de qualquer elmo equipado para o Elmo Nebuloso. Espíritos da névoa aparece ao seu redor e são absorvidos pelo seu elmo.","Заменяет внешний вид любого надетого головного убора на мглистый шлем. Туманные духи появляются вокруг вас и поглощаются вашим шлемом.","Cambia la apariencia de cualquier casco equipado por el Casco de Niebla. Unos espíritus de la niebla aparecen a tu alrededor y se introducen en tu casco.","เปลี่ยนสกิน หมวก ที่สวมใส่เป็น หมวก Mist ซึ่งจะสร้างวิญญาณหมอกรอบตัวคุณให้หมวกของคุณได้ดูดซับ","將你的頭部外觀替換為嵐。嵐靈出現在你附近並被吸入你的頭盔。","","","","","","","","","","","","","","","","","","","","","Helmet Skin","Apparence de casque","Helm-Skin","兜スキン","투구 스킨","Visual de Elmo","Внешний вид шлема","Aspecto para casco","สกินหมวก","頭部外觀","",2,648,"",3,2,2,1,1,"","MistHelmet",1,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
3720,"Metadata/Items/MicrotransactionItemEffects/MicrotransactionMistBoots",1697662076,"Mist Boots","Bottes de brume","Nebel-Stiefel","霧のブーツ","연무 장화","Botas Nebulosas","Мглистые сапоги","Botas de Niebla","รองเท้า Mist","腳部外觀：嵐","","FP","MP","","","FP","M","FP","","","Changes the appearance of any equipped boots to the Mist Boots.","Remplace l'apparence de vos bottes par les Bottes de brume.","Ersetzt das Erscheinungsbild eines ausgerüsteten Paares Stiefel durch die Nebel-Stiefel.","装備している靴の見た目を、霧のブーツに変更します。","장착 중인 장화의 외형을 연무 장화로 변경합니다.","Muda a aparência de quaisquer botas equipadas para as Botas Nebulas.","Заменяет внешний вид любой надетой пары обуви на мглистые сапоги.","Cambia la apariencia de cualquier par de botas equipado por las Botas de Niebla.","เปลี่ยนสกิน รองเท้า ที่สวมใส่เป็น รองเท้า Mist","將你的腳部外觀替換為嵐。","","","","","","","","","","","","","","","","","","","","","Boots Skin","Apparence de bottes","Stiefel-Skin","靴スキン","장화 스킨","Visual de Botas","Внешний вид обуви","Aspecto para botas","สกินรองเท้า","腳部外觀","",2,648,"",3,2,2,1,1,"","MistBoots",1,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
3721,"Metadata/Items/MicrotransactionItemEffects/MicrotransactionMistGloves",-1693539917,"Mist Gloves","Gants de brume","Nebel-Handschuhe","霧のグローブ","연무 장갑","Luvas Nebulosas","Мглистые перчатки","Guantes de Niebla","ถุงมือ Mist","手部外觀：嵐","","MP","MP","","","FP","M","MP","","","Changes the appearance of any equipped gloves to the Mist Gloves.","Remplace l'apparence de vos gants par les Gants de brume.","Ersetzt das Erscheinungsbild eines ausgerüsteten Paares Handschuhe durch die Nebel-Handschuhe.","装備している手袋の見た目を、霧のグローブに変更します。","장착 중인 장갑의 외형을 연무 장갑으로 변경합니다.","Muda a aparência de quaisquer luvas equipadas para as Luvas Nebulas.","Заменяет внешний вид любой надетой пары перчаток на мглистые перчатки.","Cambia la apariencia de cualquier par de guantes equipado por los Guantes de Niebla.","เปลี่ยนสกิน ถุงมือ ที่สวมใส่เป็น ถุงมือ Mist","將你的手部外觀替換為嵐。","","","","","","","","","","","","","","","","","","","","","Gloves Skin","Apparence de gants","Handschuhe-Skin","手袋スキン","장갑 스킨","Visual de Luvas","Внешний вид перчаток","Aspecto para guantes","สกินถุงมือ","手部外觀","",2,648,"",3,2,2,1,1,"","MistGloves",1,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
3722,"Metadata/Items/MicrotransactionItemEffects/MicrotransactionMistBodyArmour",1440610191,"Mist Body Armour","Armure de brume","Nebel-Körperrüstung","霧のアーマー","연무 갑옷","Peitoral Nebuloso","Мглистый нательный доспех","Armadura de Niebla","เสื้อเกราะ Mist","身體外觀：嵐","","F","F","","","M","M","F","","","Changes the appearance of any equipped body armour to the Mist Body Armour.","Remplace l'apparence de votre armure par l'Armure de brume.","Ersetzt das Erscheinungsbild einer ausgerüsteten Körperrüstung durch die Nebel-Körperrüstung.","装備している鎧の見た目を、霧のアーマーに変更します。","장착 중인 갑옷의 외형을 연무 갑옷으로 변경합니다.","Muda a aparência de qualquer peitoral equipado para o Peitoral Nebuloso.","Заменяет внешний вид любого надетого нательного доспеха на мглистый доспех.","Cambia la apariencia de cualquier armadura equipada por la Armadura de Niebla.","เปลี่ยนสกิน เสื้อเกราะ ที่สวมใส่เป็น เสื้อเกราะ Mist","將你的身體外觀替換為嵐。","","","","","","","","","","","","","","","","","","","","","Body Armour Skin","Apparence d'armure","Körperrüstung-Skin","鎧スキン","갑옷 스킨","Visual de Peitoral","Внешний вид нательного доспеха","Aspecto para armadura","สกินเสื้อเกราะ","身體外觀替換","",2,648,"",3,2,2,1,1,"","MistBodyArmour",1,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
3723,"Metadata/Items/MicrotransactionItemEffects/MicrotransactionMistWings",-1800471341,"Mist Wings","Ailes de brume","Nebel-Flügel","霧の翼","연무 날개","Asas Nebulosas","Мглистые крылья","Alas de Niebla","ปีก Mist","背飾：嵐之翼","","FP","MP","","","FP","M","FP","","","Adds the Mist Wings back attachment to any equipped body armour. The wings leave trails of mist that are longer the higher your movement speed.","Ajoute les Ailes de brume à votre armure. Les ailes créent des traînées de brume de plus en plus longues au fur et à mesure que votre vitesse de déplacement augmente.","Fügt einer ausgerüsteten Körperrüstung den Rückenzusatz 'Nebel-Flügel' hinzu. Die Flügel hinterlassen Nebelspuren, deren Länge mit deiner Bewegungsgeschwindigkeit wächst.","装備している鎧に、霧の翼背面装飾品を追加します。移動スピードが速ければ速いほど、霧がより長く尾を引きます。","장착 중인 갑옷에 연무 날개 등 부착물을 추가합니다. 날개가 이동 속도가 높을수록 길어지는 연무의 흔적을 남깁니다.","Adiciona as Asas Nebulosas em qualquer peitoral equipado. As asas deixam rastros de névvoa que ficam mais longos quanto mais velocidade de movimento você tiver.","Добавляет мглистые крылья на любой надетый нательный доспех. Крылья оставляют туманный след, длина которого зависит от вашей скорости передвижения.","Agrega el accesorio para la espalda Alas de Niebla a cualquier armadura equipada. Las alas dejan rastros de niebla que se hacen más largos cuanta más velocidad de movimiento tengas.","ติด ปีก Mist ให้กับเสื้อเกราะที่สวมใส่ ปีกคู่นี้จะทิ้งหมอกเป็นทางซึ่งจะยาวขึ้นตาม ความเร็วในการเคลื่อนที่ของคุณ","在你的背後附加嵐之翼。你的移動速度越高，此翅膀會留下越長的嵐軌跡。","","","","","","","","","","","","","","","","","","","","","Body Armour Attachment","Accessoire d'armure","Körperrüstungszusatz","鎧装飾品","갑옷 부착물","Adorno Dorsal","Украшение нательного доспеха","Accesorio para armadura","แฟชั่นติดหลัง","身體外觀附加","",2,648,"",3,2,2,1,1,"","MistWings",1,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
