"rownum","Id","Name","Name (French)","Name (German)","Name (Japanese)","Name (Korean)","Name (Portuguese)","Name (Russian)","Name (Spanish)","Name (Thai)","Name (Traditional Chinese)","Icon","Description","Description (French)","Description (German)","Description (Japanese)","Description (Korean)","Description (Portuguese)","Description (Russian)","Description (Spanish)","Description (Thai)","Description (Traditional Chinese)","PackLeader1","PackLeader1 (French)","PackLeader1 (German)","PackLeader1 (Japanese)","PackLeader1 (Korean)","PackLeader1 (Portuguese)","PackLeader1 (Russian)","PackLeader1 (Spanish)","PackLeader1 (Thai)","PackLeader1 (Traditional Chinese)","PackLeader2","PackLeader2 (French)","PackLeader2 (German)","PackLeader2 (Japanese)","PackLeader2 (Korean)","PackLeader2 (Portuguese)","PackLeader2 (Russian)","PackLeader2 (Spanish)","PackLeader2 (Thai)","PackLeader2 (Traditional Chinese)","Mod"
128,"TwigMonster","Skeleton Spriggans","Spriggans squelettiques","Skelettartige Spriggan","スケルトン・スプリガン","해골 스프리건","Esqueletos Malignos","Спригганы-скелеты","Spriggans esqueléticos","Skeleton Spriggan","骷髏保衛者","Art/2DArt/UIImages/InGame/Necropolis/Pack Icons/LanternMonsterIconTwigMonster","Treant <white>{Demons}\r\nSpawn pods that explode after a delay, applying a stacking slow","Tréants <white>{démons}\r\nFait apparaître des bulbes qui explose après un certain temps, appliquant des cumuls de ralentissement","Treant-<white>{Dämonen}\r\nErzeugen Sporenkapseln, die nach einer Verzögerung explodieren und eine stapelnde Verlangsamung anwenden","トレントの<white>{悪魔}\r\n一定時間後に爆発するポッドをスポーンさせ累積する減速を付与する","나무인간 <white>{악마}.\r\n잠시 후에 폭발해 중첩되는 감속을 적용하는 주머니를 생성합니다.","Entidades <white>{Demoníacas}\r\nGera cápsulas que explodem após um tempo, aplicando uma lentidão cumulativa","Древни (<white>{Демоны})\r\nСоздают капсулы, которые взрываются после задержки, накладывая суммирующееся замедление","<white>{Demonios} treant\r\nGeneran vainas que explotan tras una demora y aplican una ralentización que se acumula","<white>{ปีศาจ}พฤกษชน\r\nสร้าง กอ ที่ระเบิดหลังจากเวลาผ่านไปพักหนึ่ง เพื่อสร้างสถานะ เชื่องช้า ที่ซ้อนผลกันได้","樹人<white>{惡魔}\r\n生成一段時間後爆裂的黴孢，並施加可堆疊的緩速","","","","","","","","","","","","","","","","","","","","",""
129,"VaalCommander","Undead Vaal Commanders","Commandants vaal morts-vivants","Untote Vaal-Kommandanten","不死のヴァールコマンダー","언데드 바알 지휘관","Comandantes Vaal Mortos-vivos","Неупокоенные повелеватели ваал","Comandantes vaal no muertos","Undead Vaal Commander","不死瓦爾指揮官","Art/2DArt/UIImages/InGame/Necropolis/Pack Icons/LanternMonsterIconVaalCommander","<white>{Undead} Vaal Commanders\r\nUses Heavy Strike","Commandants vaal <white>{morts-vivants}\r\nUtilise Frappe massive","<white>{Untote} Vaal-Kommandanten\r\nBenutzt Heftiger Schlag","<white>{不死者}のヴァールコマンダー\r\nヘビーストライクを使用する","<white>{언데드} 바알 지휘관.\r\n묵직한 타격을 사용합니다.","Comandantes Vaal <white>{Mortos Vivos}\r\n Usa Pancada","Командиры ваал (<white>{Нежить})\r\nИспользуют Тяжёлый удар","Comandantes vaal <white>{no muertos}\r\nUsan Golpe pesado","ผู้บัญชาวาล์<white>{อันเดด}\r\nใช้ ฟาดหนักหน่วง (Heavy Strike)","<white>{不死}瓦爾指揮官\r\n使用沉重之擊","","","","","","","","","","","","","","","","","","","","",""
130,"VaalFragment2","Ancient Sentries","Anciens dispositifs sentinelle","Uralte Wachapparaturen","古代の哨兵","고대 파수 기구","Sentinelas Anciãs","Древние механические стражи","Centinelas antiguos","Ancient Sentry","遠古偵察兵","Art/2DArt/UIImages/InGame/Necropolis/Pack Icons/LanternMonsterIconVaalFragment","Ranged Vaal <white>{Constructs}\r\nFires <craftingchaos>{Chaos} projectiles","<white>{Fabrications} vaal attaquant à distance\r\nTire des projectiles de <craftingchaos>{chaos}","Fernkämpfende Vaal-<white>{Konstrukte}\r\nFeuert <craftingchaos>{Chaos-Projektile}","遠距離攻撃のヴァール<white>{コンストラクト}\r\n<craftingchaos>{混沌}の投射物を放つ","원거리 바알 <white>{구조물}.\r\n<craftingchaos>{카오스} 투사체를 발사합니다.","<white>{Construtos} Vaal que atacam à distância\r\nDispara projéteis de <craftingchaos>{Caos} ","Дальнобойные <white>{создания} ваал\r\nВыпускают снаряды <craftingchaos>{хаоса}","<white>{Constructos} vaal que atacan a distancia\r\nDisparan proyectiles de <craftingchaos>{caos}","<white>{ชีวิตประดิษฐ์}วาล์ ระยะไกล\r\nยิง โพรเจกไทล์<craftingchaos>{เคออส}","遠距瓦爾<white>{創造物}\r\n發射<craftingchaos>{混沌}投射物","","","","","","","","","","","","","","","","","","","","",""
131,"VaalFragment","Ancient Constructs","Fabrication santiques","Uralte Konstrukte","古代のコンストラクト","고대 구조물","Construtos Antigos","Древние механизмы","Constructos antiguos","Ancient Construct","遠古創造物","Art/2DArt/UIImages/InGame/Necropolis/Pack Icons/LanternMonsterIconVaalFragment","Ranged Vaal <white>{Constructs}\r\nFires <craftingchaos>{Chaos} projectiles","<white>{Fabrications} vaal attaquant à distance\r\nTire des projectiles de <craftingchaos>{chaos}","Fernkämpfende Vaal-<white>{Konstrukte}\r\nFeuert <craftingchaos>{Chaos-Projektile}","遠距離攻撃のヴァール<white>{コンストラクト}\r\n<craftingchaos>{混沌}の投射物を放つ","원거리 바알 <white>{구조물}.\r\n<craftingchaos>{카오스} 투사체를 발사합니다.","<white>{Construtos} Vaal que atacam à distância\r\nDispara projéteis de <craftingchaos>{Caos} ","Дальнобойные <white>{создания} ваал\r\nВыпускают снаряды <craftingchaos>{хаоса}","<white>{Constructos} vaal que atacan a distancia\r\nDisparan proyectiles de <craftingchaos>{caos}","<white>{ชีวิตประดิษฐ์}วาล์ ระยะไกล\r\nยิง โพรเจกไทล์<craftingchaos>{เคออส}","遠距<white>{創造物}怪物會造成<craftingphysical>{物理}與<craftingchaos>{混沌}傷害","","","","","","","","","","","","","","","","","","","","",""
132,"VaalGuardMelee","Undead Vaal Guards","Gardes vaal morts-vivants","Untote Vaal-Wachen","不死のヴァールガード","언데드 바알 수호병","Guardas Vaal Mortos-vivos ","Неупокоенные стражники ваал","Guardias vaal no muertos","Undead Vaal Guard","不死瓦爾守衛","Art/2DArt/UIImages/InGame/Necropolis/Pack Icons/LanternMonsterIconVaalGuardMelee","<white>{Undead} Vaal Guards","Gardes vaal <white>{morts-vivants}","<white>{Untote} Vaal-Wachen","<white>{不死者}のヴァールガード","<white>{언데드} 바알 수호병.","Guardas Vaal <white>{Mortos Vivos} ","Стражи ваал (<white>{Нежить})","Guardias vaal <white>{no muertos}","ผู้พิทักษ์วาล์<white>{อันเดด}","<white>{不死}瓦爾守衛","","","","","","","","","","","","","","","","","","","","",""
133,"VaalGuardMeleeDagger","Undead Vaal Bladedancers","Danses-lames vaal morts-vivants","Untote Vaal-Klingentänzer","不死のヴァールブレードダンサー","언데드 바알 검의 무희","Dançarinos da Lâmina Vaal Mortos-Vivos","Неупокоенные танцующие с саблями ваал","Bailarines de filos vaal no muertos","Undead Vaal Bladedancer","不死瓦爾舞劍師","Art/2DArt/UIImages/InGame/Necropolis/Pack Icons/LanternMonsterIconVaalGuardMelee","<white>{Undead} Vaal Guards","Gardes vaal <white>{morts-vivants}","<white>{Untote} Vaal-Wachen","<white>{不死者}のヴァールガード","<white>{언데드} 바알 수호병.","Guardas Vaal <white>{Mortos Vivos} ","Стражи ваал (<white>{Нежить})","Guardias vaal <white>{no muertos}","ผู้พิทักษ์วาล์<white>{อันเดด}","<white>{不死}瓦爾守衛","","","","","","","","","","","","","","","","","","","","",""
134,"VaalGuardRanged","Undead Vaal Archers","Archers vaal morts-vivants","Untote Vaal-Bogenschütze","不死のヴァールアーチャー","언데드 바알 궁수","Arqueiros Vaal Mortos-vivos","Неупокоенные лучники ваал","Arqueros vaal no muertos","Undead Vaal Archer","不死瓦爾射手","Art/2DArt/UIImages/InGame/Necropolis/Pack Icons/LanternMonsterIconVaalGuardRanged","Ranged <white>{Undead} Vaal Guards \r\nUses <craftingfire>{Explosive} Arrow","Gardes vaal <white>{morts-vivants} attaquant à distance\r\nUtilise Flèche <craftingfire>{explosive}","Fernkämpfende <white>{untote} Vaal-Wachen \r\nBenutzt <craftingfire>{Explosiver Pfeil}","遠距離攻撃の<white>{不死者}のヴァールガード\r\n<craftingfire>{エクスプローシブ}アローを使用する","원거리 <white>{언데드} 바알 수호병.\r\n<craftingfire>{폭발} 화살을 사용합니다.","Guardas Vaal <white>{Mortos Vivos} que atacam à distância\r\n Usa Flecha <craftingfire>{Explosiva} ","Дальнобойные стражи ваал (<white>{Нежить})\r\nИспользуют <craftingfire>{Взрывную стрелу}","Guardias vaal <white>{no muertos} que atacan a distancia\r\nUsan Flecha <craftingfire>{explosiva}","ผู้พิทักษ์วาล์<white>{อันเดด}\r\nใช้ ศร<craftingfire>{ระเบิด} (Explosive Arrow)","遠距<white>{不死}瓦爾守衛\r\n使用<craftingfire>{爆炸}箭矢 ","","","","","","","","","","","","","","","","","","","","",""
135,"VaalSkeletonCasterCold","Frost Archmages","Archimages du givre","Frosterzmagier","フロスト・アークメイジ","서리 대마법사","Arquimagos do Gelo","Морозные архимаги","Archimagos de escarcha","Frost Archmage","冰霜咒骨","Art/2DArt/UIImages/InGame/Necropolis/Pack Icons/LanternMonsterIconNecromancerSkeletonCasterCold","Ranged <white>{Undead} <craftingcold>{Cold} Skeletons","Squelettes de <craftingcold>{froid} <white>{morts-vivants} attaquant à distance","Fernkämpfende <white>{untote} <craftingcold>{Kälte}-Skelette","遠距離攻撃の<white>{不死者}の<craftingcold>{冷気}のスケルトン","원거리 <white>{언데드} <craftingcold>{냉기} 해골.","Esqueletos <white>{Mortos Vivos} <craftingcold>{Gélidos} que atacam à distância","Дальнобойные скелеты <craftingcold>{холода} (<white>{нежить})","Esqueletos de <craftingcold>{hielo} <white>{no muertos} que atacan a distancia","โครงกระดูก<white>{อันเดด} <craftingcold>{น้ำแข็ง} ระยะไกล","<white>{不死}骷髏法師會施放法術，造成<craftingcold>{冰冷}傷害","<white>{Pack Leader:}\r\n<white>{Death Bishop}","<white>{Chef de groupe :}\r\n<white>{Évêque de la mort}","<white>{Gruppenanführer:}\r\n<white>{Todesbischof}","<white>{パックリーダー：}\r\n<white>{死の司教}","<white>{무리 우두머리:}\r\n<white>{죽음의 주교}","<white>{Líder do Grupo:}\r\n <white>{Bispo da Morte}","<white>{Лидер группы:}\r\n<white>{Капеллан смерти}","<white>{Líder del grupo:}\r\n<white>{Obispo de muerte}","<white>{หัวหน้ากอง:}\r\n<white>{Death Bishop}","<white>{怪物群首領：}<white>{死亡咒師}","<white>{Pack Leader:}\r\n<white>{Death Bishop}\r\nCasts <craftingcold>{Frostbite}\r\nRevives Undead","<white>{Chef de groupe :}\r\n<white>{Évêque de la mort}\r\nLance <craftingcold>{Frilosité}\r\nRanime les morts","<white>{Gruppenanführer:}\r\n<white>{Todesbischof}\r\nZaubert <craftingcold>{Schneidende Kälte}\r\nBelebt Untote wieder","<white>{パックリーダー：}\r\n<white>{死の司教}\r\n<craftingcold>{フロストバイト}をキャストする\r\n不死者を蘇生する","<white>{무리 우두머리:}\r\n<white>{죽음의 주교}\r\n<craftingcold>{동상}을 시전합니다.\r\n언데드를 되살립니다.","<white>{Líder do Grupo:}\r\n <white>{Bispo da Morte}\r\n Conjura <craftingcold>{Congelabilidade}\r\nRevive Mortos Vivos","<white>{Лидер группы:}\r\n<white>{Капеллан смерти}\r\nСотворяет <craftingcold>{Обморожение}\r\nВозрождает нежить","<white>{Líder del grupo:}\r\n<white>{Obispo de muerte}\r\nLanza <craftingcold>{Congelación}\r\nRevive a los no muertos","<white>{หัวหน้ากอง:}\r\n<white>{Death Bishop}\r\nร่าย <craftingcold>{น้ำแข็ง}กัด (Frostbite)\r\nคืนชีพ อันเดด","<white>{怪物群首領：}<white>{死亡咒師}\r\n施放<craftingcold>{凍傷}\r\n復活不死族",""
136,"VaalSkeletonCasterFire","Flame Archmages","Archimages des flammes","Flammenerzmagier","フレイム・アークメイジ","화염 대마법사","Arquimagos da Chama","Огненные архимаги","Archimagos de llamas","Flame Archmage","火炎咒骨","Art/2DArt/UIImages/InGame/Necropolis/Pack Icons/LanternMonsterIconNecromancerSkeletonCasterFire","Ranged <white>{Undead} <craftingfire>{Fire} Skeletons","Squelettes de <craftingfire>{feu} <white>{morts-vivants} attaquant à distance","Fernkämpfende <white>{untote} <craftingfire>{Feuer}-Skelette","遠距離攻撃の<white>{不死者}の<craftingfire>{火}のスケルトン","원거리 <white>{언데드} <craftingfire>{화염} 해골","Esqueletos <white>{Mortos Vivos}  <craftingfire>{Ardentes} que atacam à distância","Дальнобойные <craftingfire>{огненные} скелеты (<white>{нежить})","Esqueletos de <craftingfire>{fuego} <white>{no muertos} que atacan a distancia","โครงกระดูก<white>{อันเดด} <craftingfire>{ไฟ} ระยะไกล","遠距<white>{不死}怪物會造成<craftingfire>{火焰}傷害\r\n不時有死靈法師支援，會施放易燃且可以復活死者","<white>{Pack Leader:}\r\n<white>{Ash Prophet}","<white>{Chef de groupe :}\r\n<white>{Prophète des cendres}","<white>{Gruppenanführer:}\r\n<white>{Ascheprophet}","<white>{パックリーダー：}\r\n<white>{灰の預言者}","<white>{무리 우두머리:}\r\n<white>{재 예언자}","<white>{Líder do Grupo:}\r\n <white>{Profeta das Cinzas}","<white>{Лидер группы:}\r\n<white>{Проповедник праха}","<white>{Líder del grupo:}\r\n<white>{Profeta de ceniza}","<white>{หัวหน้ากอง:}\r\n<white>{Ash Prophet}","<white>{怪物群首領：}<white>{烈火咒師}","<white>{Pack Leader:}\r\n<white>{Ash Prophet}\r\nCasts <craftingfire>{Flammability}\r\nRevives the dead","<white>{Chef de groupe :}\r\n<white>{Prophète des cendres}\r\nLance <craftingfire>{Inflammabilité}\r\nRanime les morts","<white>{Gruppenanführer:}\r\n<white>{Ascheprophet}\r\nZaubert <craftingfire>{Entflammbarkeit}\r\nBelebt Tote wieder","<white>{パックリーダー：}\r\n<white>{灰の預言者}\r\n<craftingfire>{フラマビリティ}をキャストする\r\n不死者を蘇生する","<white>{무리 우두머리:}\r\n<white>{재 예언자}\r\n<craftingfire>{인화성}을 시전합니다.\r\n망자를 되살립니다.","<white>{Líder do Grupo:}\r\n <white>{Profeta das Cinzas}\r\n Conjura <craftingfire>{Flamabilidade}\r\nRevive os mortos","<white>{Лидер группы:}\r\n<white>{Проповедник праха}\r\nСотворяет <craftingfire>{Горючесть}\r\nВозрождает мёртвых","<white>{Líder del grupo:}\r\n<white>{Profeta de ceniza}\r\nLanza <craftingfire>{Inflamabilidad}\r\nRevive a los no muertos","<white>{หัวหน้ากอง:}\r\n<white>{Ash Prophet}\r\nร่าย ไว<craftingfire>{ไฟ} (Flammability)\r\nคืนชีพ ผู้ที่ตาย","<white>{怪物群首領：}<white>{烈火咒師}\r\n施放<craftingfire>{易燃}\r\n復活死者",""
137,"VaalSkeletonCasterLightning","Thunder Archmages","Archimages du tonnerre","Donnererzmagier","サンダー・アークメイジ","천둥 대마법사","Arquimagos do Trovão","Громовые архимаги","Archimagos de trueno","Thunder Archmage","雷電咒骨","Art/2DArt/UIImages/InGame/Necropolis/Pack Icons/LanternMonsterIconNecromancerSkeletonCasterLightning","Ranged <white>{Undead} <craftinglightning>{Lightning} Skeletons","Squelettes de <craftinglightning>{foudre} <white>{morts-vivants} attaquant à distance","Fernkämpfende <white>{untote} <craftinglightning>{Blitz}-Skelette","遠距離攻撃の<white>{不死者}の<craftinglightning>{雷}のスケルトン","원거리 <white>{언데드} <craftinglightning>{번개} 해골","Esqueletos <white>{Mortos Vivos} <craftinglightning>{Relampejantes}","Дальнобойные скелеты <craftinglightning>{молнии} (<white>{нежить}) ","Esqueletos de <craftinglightning>{rayo} <white>{no muertos} que atacan a distancia","โครงกระดูก<white>{อันเดด} <craftinglightning>{สายฟ้า} ระยะไกล","遠距<white>{不死}怪物會造成<craftinglightning>{閃電}傷害\r\n不時有死靈法師支援，會施放導電且可以復活死者","<white>{Pack Leader:}\r\n<white>{Sin Lord}","<white>{Chef de groupe :}\r\n<white>{Seigneur du péché}","<white>{Gruppenanführer:}\r\n<white>{Sündenfürst}","<white>{パックリーダー：}\r\n<white>{シン・ロード}","<white>{무리 우두머리:}\r\n<white>{죄악의 군주}","<white>{Líder do Grupo:}\r\n <white>{Lorde do Pecado}","<white>{Лидер группы:}\r\n<white>{Владыка греха}","<white>{Líder del grupo:}\r\n<white>{Señor del pecado}","<white>{หัวหน้ากอง:}\r\n<white>{Sin Lord}","<white>{怪物群首領：}<white>{惡咒之主}","<white>{Pack Leader:}\r\n<white>{Sin Lord}\r\nCasts <craftinglightning>{Conductivity}\r\nRevives Undead","<white>{Chef de groupe :}\r\n<white>{Seigneur du péché}\r\nLance <craftinglightning>{Conductivité}\r\nRanime les morts","<white>{Gruppenanführer:}\r\n<white>{Sündenfürst}\r\nZaubert <craftinglightning>{Leitfähigkeit}\r\nBelebt Untote wieder","<white>{パックリーダー：}\r\n<white>{シン・ロード}\r\n<craftinglightning>{コンダクティビティ}をキャストする\r\n不死者を蘇生する","<white>{무리 우두머리:}\r\n<white>{죄악의 군주}\r\n<craftinglightning>{전도성}을 시전합니다.\r\n언데드를 되살립니다.","<white>{Líder do Grupo:}\r\n <white>{Lorde do Pecado}\r\n Conjura <craftinglightning>{Condutividade}\r\nRevive Mortos Vivos","<white>{Лидер группы:}\r\n<white>{Владыка греха}\r\nСотворяет <craftinglightning>{Проводимость}\r\nВозрождает нежить","<white>{Líder del grupo:}\r\n<white>{Señor del pecado}\r\nLanza <craftinglightning>{Conductividad}\r\nRevive a los no muertos","<white>{หัวหน้ากอง:}\r\n<white>{Sin Lord}\r\nร่าย ตัวนำ<craftinglightning>{ไฟฟ้า} (Conductivity)\r\nคืนชีพ อันเดด","<white>{怪物群首領：}<white>{惡咒之主}\r\n施放<craftinglightning>{導電}\r\n復活不死族",""
138,"VaalSkeletonMeleeKnight","Vaal Fallen","Vaals déchus","Vaal-Gefallene","ヴァールの戦死者","바알 몰락자","Caídos Vaal","Павший ваал","Caídos vaal","Vaal Fallen","瓦爾墮靈","Art/2DArt/UIImages/InGame/Necropolis/Pack Icons/LanternMonsterIconVaalSkeletonMeleeKnight","<white>{Undead} Vaal Guards \r\nUses Elemental Hit","Gardes vaal <white>{morts-vivants}\r\nUtilise Frappe élémentaire","<white>{Untote} Vaal-Wachen\r\nBenutzt Elementartreffer","<white>{不死者}のヴァールガード\r\nエレメンタルヒットを使用する","<white>{언데드} 바알 수호병. \r\n원소의 일격을 사용합니다.","Guardas Vaal <white>{Mortos vivos} \r\n Usa Golpe Elemental","Стражи ваал (<white>{Нежить})\r\nИспользуют Удар стихии","Guardias vaal <white>{no muertos}\r\nUsan Golpe elemental","ผู้พิทักษ์วาล์<white>{อันเดด}\r\nใช้ ปะทะด้วยธาตุ (Elemental Hit)","<white>{不死}瓦爾守衛\r\n使用元素打擊","","","","","","","","","","","","","","","","","","","","",""
139,"VaalSkeletonMeleeFire","Flame Guardians","Gardiens des flammes","Flammenwächter","フレイム・ガーディアン","화염 수호자","Guardiões da Chama","Огненные хранители","Guardianes de llamas","Flame Guardian","火炎祭骨＆烈火咒師","Art/2DArt/UIImages/InGame/Necropolis/Pack Icons/LanternMonsterIconNecromancerSkeletonMeleeFire","<white>{Undead} <craftingfire>{Fire} Skeletons","Squelettes de <craftingfire>{feu} <white>{morts-vivants}","<white>{Untote} <craftingfire>{Feuer}-Skelette","<white>{不死者}の<craftingfire>{火}のスケルトン","<white>{언데드} <craftingfire>{화염} 해골.","Esqueletos <white>{Mortos Vivos} <craftingfire>{Ardentes}","<craftingfire>{Огненные} скелеты (<white>{нежить})","Esqueletos de <craftingfire>{fuego} <white>{no muertos}","โครงกระดูก<white>{อันเดด} <craftingfire>{ไฟ}","<white>{不死}<craftingfire>{火焰}骷髏","<white>{Pack Leader:}\r\n<white>{Ash Prophet}","<white>{Chef de groupe :}\r\n<white>{Prophète des cendres}","<white>{Gruppenanführer:}\r\n<white>{Ascheprophet}","<white>{パックリーダー：}\r\n<white>{灰の預言者}","<white>{무리 우두머리:}\r\n<white>{재 예언자}","<white>{Líder do Grupo:}\r\n <white>{Profeta das Cinzas}","<white>{Лидер группы:}\r\n<white>{Проповедник праха}","<white>{Líder del grupo:}\r\n<white>{Profeta de ceniza}","<white>{หัวหน้ากอง:}\r\n<white>{Ash Prophet}","<white>{怪物群首領：}<white>{烈火咒師}","<white>{Pack Leader:}\r\n<white>{Ash Prophet}\r\nCasts <craftingfire>{Flammability}\r\nRevives the dead","<white>{Chef de groupe :}\r\n<white>{Prophète des cendres}\r\nLance <craftingfire>{Inflammabilité}\r\nRanime les morts","<white>{Gruppenanführer:}\r\n<white>{Ascheprophet}\r\nZaubert <craftingfire>{Entflammbarkeit}\r\nBelebt Tote wieder","<white>{パックリーダー：}\r\n<white>{灰の預言者}\r\n<craftingfire>{フラマビリティ}をキャストする\r\n不死者を蘇生する","<white>{무리 우두머리:}\r\n<white>{재 예언자}\r\n<craftingfire>{인화성}을 시전합니다.\r\n망자를 되살립니다.","<white>{Líder do Grupo:}\r\n <white>{Profeta das Cinzas}\r\n Conjura <craftingfire>{Flamabilidade}\r\nRevive os mortos","<white>{Лидер группы:}\r\n<white>{Проповедник праха}\r\nСотворяет <craftingfire>{Горючесть}\r\nВозрождает мёртвых","<white>{Líder del grupo:}\r\n<white>{Profeta de ceniza}\r\nLanza <craftingfire>{Inflamabilidad}\r\nRevive a los no muertos","<white>{หัวหน้ากอง:}\r\n<white>{Ash Prophet}\r\nร่าย ไว<craftingfire>{ไฟ} (Flammability)\r\nคืนชีพ ผู้ที่ตาย","<white>{怪物群首領：}<white>{烈火咒師}\r\n施放<craftingfire>{易燃}\r\n復活死者",""
140,"VaalSkeletonMeleeCold","Frost Guardians","Gardiens du givre","Frostwächter","フロスト・ガーディアン","서리 수호자","Guardiões do Gelo","Морозные хранители","Guardianes de escarcha","Frost Guardian","冰霜祭骨＆死亡咒師","Art/2DArt/UIImages/InGame/Necropolis/Pack Icons/LanternMonsterIconNecromancerSkeletonMeleeCold","<white>{Undead} <craftingcold>{Cold} Skeletons","Squelettes de <craftingcold>{froid} <white>{morts-vivants}","<white>{Untote} <craftingcold>{Kälte}-Skelette","<white>{不死者}の<craftingcold>{冷気}のスケルトン","<white>{언데드} <craftingcold>{냉기} 해골.","Esqueletos <white>{Mortos Vivos} <craftingcold>{Gélidos}","Скелеты <craftingcold>{холода} (<white>{нежить})","Esqueletos de <craftingcold>{hielo} <white>{no muertos}","โครงกระดูก<white>{อันเดด} <craftingcold>{น้ำแข็ง}","<white>{不死}骷髏會造成<craftingcold>{冰冷}傷害","<white>{Pack Leader:}\r\n<white>{Death Bishop}","<white>{Chef de groupe :}\r\n<white>{Évêque de la mort}","<white>{Gruppenanführer:}\r\n<white>{Todesbischof}","<white>{パックリーダー：}\r\n<white>{死の司教}","<white>{무리 우두머리:}\r\n<white>{죽음의 주교}","<white>{Líder do Grupo:}\r\n <white>{Bispo da Morte}","<white>{Лидер группы:}\r\n<white>{Капеллан смерти}","<white>{Líder del grupo:}\r\n<white>{Obispo de muerte}","<white>{หัวหน้ากอง:}\r\n<white>{Death Bishop}","<white>{怪物群首領：}<white>{死亡咒師}","<white>{Pack Leader:}\r\n<white>{Death Bishop}\r\nCasts <craftingcold>{Frostbite}\r\nRevives Undead","<white>{Chef de groupe :}\r\n<white>{Évêque de la mort}\r\nLance <craftingcold>{Frilosité}\r\nRanime les morts","<white>{Gruppenanführer:}\r\n<white>{Todesbischof}\r\nZaubert <craftingcold>{Schneidende Kälte}\r\nBelebt Untote wieder","<white>{パックリーダー：}\r\n<white>{死の司教}\r\n<craftingcold>{フロストバイト}をキャストする\r\n不死者を蘇生する","<white>{무리 우두머리:}\r\n<white>{죽음의 주교}\r\n<craftingcold>{동상}을 시전합니다.\r\n언데드를 되살립니다.","<white>{Líder do Grupo:}\r\n <white>{Bispo da Morte}\r\n Conjura <craftingcold>{Congelabilidade}\r\nRevive Mortos Vivos","<white>{Лидер группы:}\r\n<white>{Капеллан смерти}\r\nСотворяет <craftingcold>{Обморожение}\r\nВозрождает нежить","<white>{Líder del grupo:}\r\n<white>{Obispo de muerte}\r\nLanza <craftingcold>{Congelación}\r\nRevive a los no muertos","<white>{หัวหน้ากอง:}\r\n<white>{Death Bishop}\r\nร่าย <craftingcold>{น้ำแข็ง}กัด (Frostbite)\r\nคืนชีพ อันเดด","<white>{怪物群首領：}<white>{死亡咒師}\r\n施放<craftingcold>{凍傷}\r\n復活不死族",""
141,"VaalSkeletonMeleeLightning","Thunder Guardians","Gardiens du tonnerre","Donnerwächter","サンダー・ガーディアン","천둥 수호자","Guardiões do Trovão","Громовые хранители","Guardianes de rayo","Thunder Guardian","雷電守衛＆惡咒之主","Art/2DArt/UIImages/InGame/Necropolis/Pack Icons/LanternMonsterIconNecromancerSkeletonMeleeLightning","<white>{Undead} <craftinglightning>{Lightning} Skeletons","Squelettes de <craftinglightning>{foudre} <white>{morts-vivants}","<white>{Untote} <craftinglightning>{Blitz}-Skelette","<white>{不死者}の<craftinglightning>{雷}のスケルトン","<white>{언데드} <craftinglightning>{번개} 해골.","Esqueletos <white>{Mortos Vivos} <craftinglightning>{Relampejantes}","Скелеты <craftinglightning>{молнии} (<white>{нежить}) ","Esqueletos de <craftinglightning>{rayo} <white>{no muertos}","โครงกระดูก<white>{อันเดด} <craftinglightning>{สายฟ้า}","<white>{不死}<craftinglightning>{閃電}骷髏","<white>{Pack Leader:}\r\n<white>{Sin Lord}","<white>{Chef de groupe :}\r\n<white>{Seigneur du péché}","<white>{Gruppenanführer:}\r\n<white>{Sündenfürst}","<white>{パックリーダー：}\r\n<white>{シン・ロード}","<white>{무리 우두머리:}\r\n<white>{죄악의 군주}","<white>{Líder do Grupo:}\r\n <white>{Lorde do Pecado}","<white>{Лидер группы:}\r\n<white>{Владыка греха}","<white>{Líder del grupo:}\r\n<white>{Señor del pecado}","<white>{หัวหน้ากอง:}\r\n<white>{Sin Lord}","<white>{怪物群首領：}<white>{惡咒之主}","<white>{Pack Leader:}\r\n<white>{Sin Lord}\r\nCasts <craftinglightning>{Conductivity}\r\nRevives Undead","<white>{Chef de groupe :}\r\n<white>{Seigneur du péché}\r\nLance <craftinglightning>{Conductivité}\r\nRanime les morts","<white>{Gruppenanführer:}\r\n<white>{Sündenfürst}\r\nZaubert <craftinglightning>{Leitfähigkeit}\r\nBelebt Untote wieder","<white>{パックリーダー：}\r\n<white>{シン・ロード}\r\n<craftinglightning>{コンダクティビティ}をキャストする\r\n不死者を蘇生する","<white>{무리 우두머리:}\r\n<white>{죄악의 군주}\r\n<craftinglightning>{전도성}을 시전합니다.\r\n언데드를 되살립니다.","<white>{Líder do Grupo:}\r\n <white>{Lorde do Pecado}\r\n Conjura <craftinglightning>{Condutividade}\r\nRevive Mortos Vivos","<white>{Лидер группы:}\r\n<white>{Владыка греха}\r\nСотворяет <craftinglightning>{Проводимость}\r\nВозрождает нежить","<white>{Líder del grupo:}\r\n<white>{Señor del pecado}\r\nLanza <craftinglightning>{Conductividad}\r\nRevive a los no muertos","<white>{หัวหน้ากอง:}\r\n<white>{Ash Prophet}\r\nร่าย ตัวนำ<craftinglightning>{ไฟฟ้า} (Conductivity)\r\nคืนชีพ คนตาย","<white>{怪物群首領：}<white>{惡咒之主}\r\n施放<craftinglightning>{導電}\r\n復活不死族",""
