"rownum","Id","i32_8","[rid]_12","Icon","rid_36","[rid]_52","rid_68","i32_84","i32_88","Name","Name (French)","Name (German)","Name (Japanese)","Name (Korean)","Name (Portuguese)","Name (Russian)","Name (Spanish)","Name (Thai)","Name (Traditional Chinese)","rid_100","i32_116","[rid]_120","i32_136"
75,"CampaignWishFiveLinkArmourLow",0,[],"Art/2DArt/UIImages/InGame/Faridun/Wishes/MapModWishGeneric","",[],"",0,2,"Wish for Craftsmanship","Vœu de savoir-faire","Wunsch nach Handwerkskunst","職人技を願う","장인의 솜씨를 소원으로 빌기","Pedir Técnica Artesanal","Пожелать ремесла","Deseo de artesanía","ขอหัตถศิลป์","匠心之願","",1770,[],0
76,"CampaignWishChromaticOrbs",0,[],"Art/2DArt/UIImages/InGame/Faridun/Wishes/MapModWishGeneric","",[],"",0,2,"Wish for Mosaics","Vœu de mosaïques","Wunsch nach Mosaiken","モザイクを願う","조각무늬를 소원으로 빌기","Pedir Mosaicos","Пожелать мозаики","Deseo de mosaicos","ขอกระจกสี","拼花之願","",1770,[],0
77,"CampaignWishBootCache",0,[],"Art/2DArt/UIImages/InGame/Faridun/Wishes/MapModWishGeneric","",[],"",0,2,"Wish for Swiftness","Vœu de rapidité","Wunsch nach Schnelligkeit","俊敏を願う","재빠름을 소원으로 빌기","Pedir Rapidez","Пожелать быстроты","Deseo de rapidez","ขอให้ว่องไว","迅捷之願","",1770,[],0
78,"CampaignWishHelmetCache",0,[],"Art/2DArt/UIImages/InGame/Faridun/Wishes/MapModWishGeneric","",[],"",0,2,"Wish for Helms","Vœu de casques","Wunsch nach Helmen","兜を願う","투구를 소원으로 빌기","Pedir Elmos","Пожелать шлемов","Deseo de cascos","ขอหมวก","護盔之願","",1770,[],0
79,"CampaignWishGlovesCache",0,[],"Art/2DArt/UIImages/InGame/Faridun/Wishes/MapModWishGeneric","",[],"",0,2,"Wish for Mitts","Vœu de mitaines","Wunsch nach Fäustlingen","手袋を願う","장갑을 소원으로 빌기","Pedir Luvas","Пожелать рукавиц","Deseo de manoplas","ขอถุงมือ","護手之願","",1770,[],0
80,"CampaignWishBodyArmourCache",0,[],"Art/2DArt/UIImages/InGame/Faridun/Wishes/MapModWishGeneric","",[],"",0,2,"Wish for Protection","Vœu de protection","Wunsch nach Schutz","防護を願う","보호를 소원으로 빌기","Pedir Proteção","Пожелать защиты","Deseo de protección","ขอเครื่องป้องกัน","防護之願","",1770,[],0
81,"CampaignWishMeleeWeaponCache",0,[],"Art/2DArt/UIImages/InGame/Faridun/Wishes/MapModWishGeneric","",[],"",0,2,"Wish for Blades","Vœu de lames","Wunsch nach Klingen","刃を願う","칼날을 소원으로 빌기","Pedir Lâminas","Пожелать клинков","Deseo de acero","ขออาวุธประจันหน้า","刀刃之願","",1770,[],0
82,"CampaignWishRangedWeaponCache",0,[],"Art/2DArt/UIImages/InGame/Faridun/Wishes/MapModWishGeneric","",[],"",0,2,"Wish for Missiles","Vœu de traits","Wunsch nach Geschossen","投射物を願う","투사체를 소원으로 빌기","Pedir Projéteis","Пожелать снарядов","Deseo de misiles","ขออาวุธไกล","射彈之願","",1770,[],0
83,"CampaignWishShieldCache",0,[],"Art/2DArt/UIImages/InGame/Faridun/Wishes/MapModWishGeneric","",[],"",0,2,"Wish for Bastions","Vœu de bastions","Wunsch nach Bastionen","要塞を願う","보루를 소원으로 빌기","Pedir Bastiões","Пожелать бастионов","Deseo de bastiones","ขอปราการ","壁壘之願","",1770,[],0
84,"CampaignWishJewelleryCache",0,[],"Art/2DArt/UIImages/InGame/Faridun/Wishes/MapModWishGeneric","",[],"",0,2,"Wish for Trinkets","Vœu de bijoux","Wunsch nach Schmuckstücken","装飾品を願う","장식품을 소원으로 빌기","Pedir Bugigangas","Пожелать украшений","Deseo de abalorios","ขอเพชรพลอย","飾物之願","",1770,[],0
85,"HardModeMapModWishFishes",0,[],"Art/2DArt/UIImages/InGame/Faridun/Wishes/MapModWishFish","",[],"",0,2,"Wish for Fishes","Vœu de poissons","Wunsch nach Fischen","魚を願う","물고기를 소원으로 빌기","Pedir Peixes","Пожелать рыбы","Deseo de peces","ขอปลา","魚群之願","",1770,[],0
86,"HardModeWishNemeses",0,[],"Art/2DArt/UIImages/InGame/Faridun/Wishes/MapModWishNemeses","",[],"",0,2,"Wish for Foes","Vœu de némésis","Wunsch nach Gegnern","敵を願う","적을 소원으로 빌기","Pedir Inimigos","Пожелать врагов","Deseo de enemigos","ขอศัตรู","猛敵之願","",1770,[],1
87,"HardModeWishRevivingMonsters",0,[],"Art/2DArt/UIImages/InGame/Faridun/Wishes/MapModWishRevivingMonsters","",[],"",0,2,"Wish for Rebirth","Vœu de résurrection","Wunsch nach Wiedergeburt","再誕を願う","부활을 소원으로 빌기","Pedir Renascimento","Пожелать перерождения","Deseo de resurrección","ขอเกิดใหม่","重生之願","",1770,[],1
88,"HardModeWishRevivingMonstersLow",0,[],"Art/2DArt/UIImages/InGame/Faridun/Wishes/MapModWishRevivingMonsters","",[],"",0,2,"Wish for Rebirth","Vœu de résurrection","Wunsch nach Wiedergeburt","再誕を願う","부활을 소원으로 빌기","Pedir Renascimento","Пожелать перерождения","Deseo de resurrección","ขอเกิดใหม่","重生之願","",1770,[],0
89,"HardModeWishUniqueStrongbox",0,[],"Art/2DArt/UIImages/InGame/Faridun/Wishes/MapModWishUniqueStrongbox","",[],"",0,2,"Wish for Troves","Vœu de coffres","Wunsch nach Truhen","宝箱を願う","발견물을 소원으로 빌기","Pedir Repositórios","Пожелать кладов","Deseo de opulencia","ขอทรัพย์","珍稀之願","",1770,[],1
90,"HardModeWishUniqueStrongboxLow",0,[],"Art/2DArt/UIImages/InGame/Faridun/Wishes/MapModWishUniqueStrongbox","",[],"",0,2,"Wish for Troves","Vœu de coffres","Wunsch nach Truhen","宝箱を願う","발견물을 소원으로 빌기","Pedir Repositórios","Пожелать кладов","Deseo de opulencia","ขอทรัพย์","珍稀之願","",1770,[],0
91,"HardModeGemToQualityGem",0,[],"Art/2DArt/UIImages/InGame/Faridun/Wishes/MapModWishGeneric","",[],"",0,2,"Wish for Glittering","Vœu de scintillement","Wunsch nach Glitzern","煌めきを願う","번쩍임을 소원으로 빌기","Pedir Resplandecência","Пожелать блеска","Deseo de resplandor","ขอให้ระยิบระยับ","晶燦之願","",1770,[],3
92,"HardModeWishMoreCurrency",0,[],"Art/2DArt/UIImages/InGame/Faridun/Wishes/MapModWishMoreCurrency","",[],"",0,2,"Wish for Wealth","Vœu de richesses","Wunsch nach Reichtum","富を願う","부를 소원으로 빌기","Pedir Riquezas","Пожелать богатства","Deseo de riqueza","ขอให้รวย","財富之願","",1770,[],1
93,"HardModeWishMoreCurrencyLow",0,[],"Art/2DArt/UIImages/InGame/Faridun/Wishes/MapModWishMoreCurrency","",[],"",0,2,"Wish for Wealth","Vœu de richesses","Wunsch nach Reichtum","富を願う","부를 소원으로 빌기","Pedir Riquezas","Пожелать богатства","Deseo de riqueza","ขอให้รวย","財富之願","",1770,[],0
94,"HardModeWishMoreScarabs",0,[],"Art/2DArt/UIImages/InGame/Faridun/Wishes/MapModWishMoreScarabs","",[],"",0,2,"Wish for Scarabs","Vœu de scarabées","Wunsch nach Skarabäen","スカラベを願う","갑충석을 소원으로 빌기","Pedir Escaravelhos","Пожелать скарабеев","Deseo de escarabajos","ขอสคารับ","甲蟲之願","",1770,[],3
95,"HardModeWishMoreMapDrops",0,[],"Art/2DArt/UIImages/InGame/Faridun/Wishes/MapModWishMoreMapDrops","",[],"",0,2,"Wish for Horizons","Vœu d'horizons","Wunsch nach Horizonten","地平を願う","지평선을 소원으로 빌기","Pedir Horizontes","Пожелать горизонтов","Deseo de horizontes","ขอขอบฟ้า","地平之願","",1770,[],2
96,"HardModeWishMoreRarity",0,[],"Art/2DArt/UIImages/InGame/Faridun/Wishes/MapModWishMoreRarity","",[],"",0,2,"Wish for Treasures","Vœu de trésors","Wunsch nach Schätzen","財宝を願う","보물을 소원으로 빌기","Pedir Tesouros","Пожелать сокровищ","Deseo de tesoros","ขอสมบัติ","寶藏之願","",1770,[],1
97,"HardModeWishMoreRarityLow",0,[],"Art/2DArt/UIImages/InGame/Faridun/Wishes/MapModWishMoreRarity","",[],"",0,2,"Wish for Treasures","Vœu de trésors","Wunsch nach Schätzen","財宝を願う","보물을 소원으로 빌기","Pedir Tesouros","Пожелать сокровищ","Deseo de tesoros","ขอสมบัติ","寶藏之願","",1770,[],0
98,"HardModeWishPackSize",0,[],"Art/2DArt/UIImages/InGame/Faridun/Wishes/MapModWishGeneric","",[],"",0,2,"Wish for Hordes","Vœu de hordes","Wunsch nach Horden","群れを願う","떼를 소원으로 빌기","Pedir Hordas","Пожелать орд","Deseo de hordas","ขอฝูง","族群之願","",1770,[],2
99,"HardModeWishGoldFind",0,[],"Art/2DArt/UIImages/InGame/Faridun/Wishes/MapModWishGoldFind","",[],"",0,2,"Wish for Gold","Vœu d'or","Wunsch nach Gold","ゴールドを願う","골드를 소원으로 빌기","Pedir Ouro","Пожелать золота","Deseo de oro","ขอทอง","黃金之願","",1770,[],3
100,"HardModeWishGoldFindLow",0,[],"Art/2DArt/UIImages/InGame/Faridun/Wishes/MapModWishGoldFind","",[],"",0,2,"Wish for Gold","Vœu d'or","Wunsch nach Gold","ゴールドを願う","골드를 소원으로 빌기","Pedir Ouro","Пожелать золота","Deseo de oro","ขอทอง","黃金之願","",1770,[],0
101,"HardModeWishStandaloneBosses",0,[],"Art/2DArt/UIImages/InGame/Faridun/Wishes/MapModWishStandaloneBosses","",[],"",0,2,"Wish for Titans","Vœu de titans","Wunsch nach Titanen","タイタンを願う","거신을 소원으로 빌기","Pedir Titãs","Пожелать титанов","Deseo de titanes","ขอไททัน","泰坦之願","",1770,[],2
102,"HardModeWishStandaloneBossesHigh",0,[],"Art/2DArt/UIImages/InGame/Faridun/Wishes/MapModWishStandaloneBosses","",[],"",0,2,"Wish for Titans","Vœu de titans","Wunsch nach Titanen","タイタンを願う","거신을 소원으로 빌기","Pedir Titãs","Пожелать титанов","Deseo de titanes","ขอไททัน","泰坦之願","",1770,[],2
103,"HardModeWishDjinnsChestBronze",0,[],"Art/2DArt/UIImages/InGame/Faridun/Wishes/MapModWishDjinnsChestBronze","",[],"",0,2,"Wish for Jewels","Vœu de joyaux","Wunsch nach Juwelen","ジュエルを願う","주얼을 소원으로 빌기","Pedir Joias","Пожелать самоцветов","Deseo de joyas","ขอจิวเวล","珠寶之願","",1770,[],1
104,"HardModeWishDjinnsChestBronzeLow",0,[],"Art/2DArt/UIImages/InGame/Faridun/Wishes/MapModWishDjinnsChestBronze","",[],"",0,2,"Wish for Jewels","Vœu de joyaux","Wunsch nach Juwelen","ジュエルを願う","주얼을 소원으로 빌기","Pedir Joias","Пожелать самоцветов","Deseo de joyas","ขอจิวเวล","珠寶之願","",1770,[],0
105,"HardModeWishDjinnsChestSilver",0,[],"Art/2DArt/UIImages/InGame/Faridun/Wishes/MapModWishDjinnsChestSilver","",[],"",0,2,"Wish for Jewels","Vœu de joyaux","Wunsch nach Juwelen","ジュエルを願う","주얼을 소원으로 빌기","Pedir Joias","Пожелать самоцветов","Deseo de joyas","ขอจิวเวล","珠寶之願","",1770,[],1
106,"HardModeWishDjinnsChestSilverLow",0,[],"Art/2DArt/UIImages/InGame/Faridun/Wishes/MapModWishDjinnsChestSilver","",[],"",0,2,"Wish for Jewels","Vœu de joyaux","Wunsch nach Juwelen","ジュエルを願う","주얼을 소원으로 빌기","Pedir Joias","Пожелать самоцветов","Deseo de joyas","ขอจิวเวล","珠寶之願","",1770,[],0
107,"HardModeWishDjinnsChestGold",0,[],"Art/2DArt/UIImages/InGame/Faridun/Wishes/MapModWishDjinnsChestGold","",[],"",0,2,"Wish for Jewels","Vœu de joyaux","Wunsch nach Juwelen","ジュエルを願う","주얼을 소원으로 빌기","Pedir Joias","Пожелать самоцветов","Deseo de joyas","ขอจิวเวล","珠寶之願","",1770,[],1
108,"HardModeWishZarokhPacks",0,[],"Art/2DArt/UIImages/InGame/Faridun/Wishes/MapModWishZarokhPacks","",[],"",0,2,"Wish for Meddling","Vœu d'intrusion","Wunsch nach Einmischung","干渉を願う","간섭을 소원으로 빌기","Pedir Interferência","Пожелать вмешательства","Deseo de intromisión","ขอให้ถูกก้าวก่าย","干涉之願","",1770,[],2
109,"HardModeWishZarokhPacksLow",0,[],"Art/2DArt/UIImages/InGame/Faridun/Wishes/MapModWishZarokhPacks","",[],"",0,2,"Wish for Meddling","Vœu d'intrusion","Wunsch nach Einmischung","干渉を願う","간섭을 소원으로 빌기","Pedir Interferência","Пожелать вмешательства","Deseo de intromisión","ขอให้ถูกก้าวก่าย","干涉之願","",1770,[],0
110,"HardModeWishAtlasPacks",0,[],"Art/2DArt/UIImages/InGame/Faridun/Wishes/MapModWishAtlasPacks","",[],"",0,2,"Wish for Risk","Vœu de risque","Wunsch nach Risiko","リスクを願う","위험을 소원으로 빌기","Pedir Perigo","Пожелать риска","Deseo de riesgo","ขอให้ได้เสี่ยง","風險之願","",1770,[],3
111,"HardModeWishGoldFountain",0,[],"Art/2DArt/UIImages/InGame/Faridun/Wishes/MapModWishGoldFountain","",[],"",0,2,"Wish for Prosperity","Vœu de prospérité","Wunsch nach Wohlstand","財産を願う","번영을 소원으로 빌기","Pedir Prosperidade","Пожелать процветания","Deseo de prosperidad","ขอให้มั่งมี","繁榮之願","",1770,[],2
112,"HardModeWishRandomScarabModifiers",0,[],"Art/2DArt/UIImages/InGame/Faridun/Wishes/MapModWishRandomScarabModifiers","",[],"",0,2,"Wish for Uncertainty","Vœu d'incertitude","Wunsch nach Ungewissheit","不確実性を願う","불확실성을 소원으로 빌기","Pedir Incerteza","Пожелать неизвестности","Deseo de incertidumbre","ขอให้ไม่แน่นอน","未測之願","",1770,[],3
113,"HardModeWishMonstersChilledHindered",0,[],"Art/2DArt/UIImages/InGame/Faridun/Wishes/MapModWishMonstersChilledHindered","",[],"",0,2,"Wish for Hindrance","Vœu d'entrave","Wunsch nach Hindernis","阻害を願う","방해를 소원으로 빌기","Pedir Tolhimento","Пожелать препятствий","Deseo de entumecimiento","ขอให้ถูกขัดขวาง","阻礙之願","",1770,[],2
114,"HardModeWishMonstersChilledHinderedLow",0,[],"Art/2DArt/UIImages/InGame/Faridun/Wishes/MapModWishMonstersChilledHindered","",[],"",0,2,"Wish for Hindrance","Vœu d'entrave","Wunsch nach Hindernis","阻害を願う","방해를 소원으로 빌기","Pedir Tolhimento","Пожелать препятствий","Deseo de entumecimiento","ขอให้ถูกขัดขวาง","阻礙之願","",1770,[],0
115,"HardModeWishGoldenVolatiles",0,[],"Art/2DArt/UIImages/InGame/Faridun/Wishes/MapModWishGoldenVolatiles","",[],"",0,2,"Wish for Pursuit","Vœu de poursuite","Wunsch nach Verfolgung","追跡を願う","추격을 소원으로 빌기","Pedir Busca","Пожелать погони","Deseo de persecución","ขอให้ถูกไล่ล่า","追擊之願","",1770,[],3
116,"HardModeWishGoldenVolatilesLow",0,[],"Art/2DArt/UIImages/InGame/Faridun/Wishes/MapModWishGoldenVolatiles","",[],"",0,2,"Wish for Pursuit","Vœu de poursuite","Wunsch nach Verfolgung","追跡を願う","추격을 소원으로 빌기","Pedir Busca","Пожелать погони","Deseo de persecución","ขอให้ถูกไล่ล่า","追擊之願","",1770,[],0
117,"HardModeWishOasisGround",0,[],"Art/2DArt/UIImages/InGame/Faridun/Wishes/MapModWishOasisGround","",[],"",0,2,"Wish for Oases","Vœu d'oasis","Wunsch nach Oasen","オアシスを願う","오아시스를 소원으로 빌기","Pedir Oásis","Пожелать оазисов","Deseo de oasis","ขอโอเอซิส","綠洲之願","",1770,[],2
118,"HardModeWishOasisGroundLow",0,[],"Art/2DArt/UIImages/InGame/Faridun/Wishes/MapModWishOasisGround","",[],"",0,2,"Wish for Oases","Vœu d'oasis","Wunsch nach Oasen","オアシスを願う","오아시스를 소원으로 빌기","Pedir Oásis","Пожелать оазисов","Deseo de oasis","ขอโอเอซิส","綠洲之願","",1770,[],0
119,"HardModeWishFaridunMiniboss",0,[],"Art/2DArt/UIImages/InGame/Faridun/Wishes/MapModWishFaridunMiniboss","",[],"",0,2,"Wish for Rust","Vœu de rouille","Wunsch nach Rost","サビを願う","녹을 소원으로 빌기","Pedir Ferrugem","Пожелать ржавчины","Deseo de óxido","ขอสนิม","鏽蝕之願","",1770,[],1
120,"HardModeWishNamelessSeer",0,[],"Art/2DArt/UIImages/InGame/Faridun/Wishes/MapModWishNamelessSeer","",[],"",0,2,"Wish for Providence","Vœu de providence","Wunsch nach Vorsehung","摂理を願う","섭리를 소원으로 빌기","Pedir Providência","Пожелать провидения","Deseo de providencia","ขอพรหมลิขิต","天命之願","",1770,[],2
121,"HardModeWishReflectingMist",0,[],"Art/2DArt/UIImages/InGame/Faridun/Wishes/MapModWishReflectingMist","",[],"",0,2,"Wish for Reflection","Vœu de réflexion","Wunsch nach Spiegelung","反射を願う","투영을 소원으로 빌기","Pedir Reflexão","Пожелать отражения","Deseo de reflejos","ขอภาพสะท้อน","倒映之願","",1770,[],2
122,"HardModeWishPlayersCannotDie",0,[],"Art/2DArt/UIImages/InGame/Faridun/Wishes/MapModWishPlayersCannotDie","",[],"",0,2,"Wish for Godhood","Vœu de divinité","Wunsch nach Göttlichkeit","死の超越を願う","신성을 소원으로 빌기","Pedir Divindade","Пожелать богоподобия","Deseo de divinidad","ขอให้เป็นเทพ","神格之願","",1770,[],2
123,"HardModeWishPlayersCannotDieLow",0,[],"Art/2DArt/UIImages/InGame/Faridun/Wishes/MapModWishPlayersCannotDie","",[],"",0,2,"Wish for Godhood","Vœu de divinité","Wunsch nach Göttlichkeit","死の超越を願う","신성을 소원으로 빌기","Pedir Divindade","Пожелать богоподобия","Deseo de divinidad","ขอให้เป็นเทพ","神格之願","",1770,[],0
124,"HardModeWishExperienceGain",0,[],"Art/2DArt/UIImages/InGame/Faridun/Wishes/MapModWishExperienceGain","",[],"",0,2,"Wish for Knowledge","Vœu de savoir","Wunsch nach Wissen","知識を願う","지식을 소원으로 빌기","Pedir Conhecimento","Пожелать знаний","Deseo de conocimiento","ขอปัญญา","知識之願","",1770,[],1
125,"HardModeWishExperienceGainLow",0,[],"Art/2DArt/UIImages/InGame/Faridun/Wishes/MapModWishExperienceGain","",[],"",0,2,"Wish for Knowledge","Vœu de savoir","Wunsch nach Wissen","知識を願う","지식을 소원으로 빌기","Pedir Conhecimento","Пожелать знаний","Deseo de conocimiento","ขอปัญญา","知識之願","",1770,[],0
126,"HardModeWishPlayersExplodeOnKill",0,[],"Art/2DArt/UIImages/InGame/Faridun/Wishes/MapModWishPlayersExplodeOnKill","",[],"",0,2,"Wish for Power","Vœu de puissance","Wunsch nach Macht","力を願う","힘을 소원으로 빌기","Pedir Poder","Пожелать могущества","Deseo de poder","ขอพลัง","力量之願","",1770,[],3
127,"HardModeWishPlayersExplodeOnKillLow",0,[],"Art/2DArt/UIImages/InGame/Faridun/Wishes/MapModWishPlayersExplodeOnKill","",[],"",0,2,"Wish for Power","Vœu de puissance","Wunsch nach Macht","力を願う","힘을 소원으로 빌기","Pedir Poder","Пожелать могущества","Deseo de poder","ขอพลัง","力量之願","",1770,[],0
128,"HardModeWishPlayersAdrenalineOnslaught",0,[],"Art/2DArt/UIImages/InGame/Faridun/Wishes/MapModWishPlayersAdrenalineOnslaught","",[],"",0,2,"Wish for Momentum","Vœu de célérité","Wunsch nach Momentum","速度を願う","기세를 소원으로 빌기","Pedir Dinamismo","Пожелать натиска","Deseo de impulso","ขอโมเมนตัม","動能之願","",1770,[],3
129,"HardModeWishPlayersAdrenalineOnslaughtLow",0,[],"Art/2DArt/UIImages/InGame/Faridun/Wishes/MapModWishPlayersAdrenalineOnslaught","",[],"",0,2,"Wish for Momentum","Vœu de célérité","Wunsch nach Momentum","速度を願う","기세를 소원으로 빌기","Pedir Dinamismo","Пожелать натиска","Deseo de impulso","ขอโมเมนตัม","動能之願","",1770,[],0
130,"HardModeWishPlayersSoulEater",0,[],"Art/2DArt/UIImages/InGame/Faridun/Wishes/MapModWishPlayersSoulEater","",[],"",0,2,"Wish for Souls","Vœu d'âmes","Wunsch nach Seelen","魂を願う","영혼을 소원으로 빌기","Pedir Almas","Пожелать душ","Deseo de almas","ขอวิญญาณ","靈魂之願","",1770,[],3
131,"HardModeWishPlayersSoulEaterLow",0,[],"Art/2DArt/UIImages/InGame/Faridun/Wishes/MapModWishPlayersSoulEater","",[],"",0,2,"Wish for Souls","Vœu d'âmes","Wunsch nach Seelen","魂を願う","영혼을 소원으로 빌기","Pedir Almas","Пожелать душ","Deseo de almas","ขอวิญญาณ","靈魂之願","",1770,[],0
132,"HardModeWishProliferationBuff",0,[],"Art/2DArt/UIImages/InGame/Faridun/Wishes/MapModWishGeneric","",[],"",0,2,"Wish for Elements","Vœu des éléments","Wunsch nach Elementen","元素を願う","원소를 소원으로 빌기","Pedir Elementos","Пожелать стихий","Deseo de elementos","ขอธาตุ","元素之願","",1770,[],1
133,"HardModeWishProliferationBuffLow",0,[],"Art/2DArt/UIImages/InGame/Faridun/Wishes/MapModWishGeneric","",[],"",0,2,"Wish for Elements","Vœu des éléments","Wunsch nach Elementen","元素を願う","원소를 소원으로 빌기","Pedir Elementos","Пожелать стихий","Deseo de elementos","ขอธาตุ","元素之願","",1770,[],0
134,"HardModeWishWisps",0,[],"Art/2DArt/UIImages/InGame/Faridun/Wishes/MapModWishGeneric","",[],"",0,2,"Wish for Wisps","Vœu de flammeroles","Wunsch nach Irrlichtern","ウィスプを願う","도깨비불을 소원으로 빌기","Pedir Lúmens","Пожелать огоньков","Deseo de fuegos fatuos","ขอวิสป์","妖精之願","",1770,[],2
135,"HardModeWishWispsLow",0,[],"Art/2DArt/UIImages/InGame/Faridun/Wishes/MapModWishGeneric","",[],"",0,2,"Wish for Wisps","Vœu de flammeroles","Wunsch nach Irrlichtern","ウィスプを願う","도깨비불을 소원으로 빌기","Pedir Lúmens","Пожелать огоньков","Deseo de fuegos fatuos","ขอวิสป์","妖精之願","",1770,[],0
136,"HardModeWishFrogPacks",0,[],"Art/2DArt/UIImages/InGame/Faridun/Wishes/MapModWishFrogPacks","",[],"",0,2,"Wish for Croaks","Vœu de coassements","Wunsch nach Quaken","カエルの鳴き声を願う","개굴 소리를 소원으로 빌기","Pedir Coaxadas","Пожелать кваканья","Deseo de croar","ขอกบ","呱呱之願","",1770,[],3
137,"HardModeWishFrogPacksLow",0,[],"Art/2DArt/UIImages/InGame/Faridun/Wishes/MapModWishFrogPacks","",[],"",0,2,"Wish for Croaks","Vœu de coassements","Wunsch nach Quaken","カエルの鳴き声を願う","개굴 소리를 소원으로 빌기","Pedir Coaxadas","Пожелать кваканья","Deseo de croar","ขอกบ","呱呱之願","",1770,[],0
138,"HardModeWishScrollConversion",0,[],"Art/2DArt/UIImages/InGame/Faridun/Wishes/MapModWishScrollConversion","",[],"",0,2,"Wish for Glyphs","Vœu de glyphes","Wunsch nach Glyphen","記号を願う","상형 문자를 소원으로 빌기","Pedir Glifos","Пожелать глифов","Deseo de glifos","ขอรูปสลัก","雕紋之願","",1770,[],3
139,"HardModeWishScrollConversionLow",0,[],"Art/2DArt/UIImages/InGame/Faridun/Wishes/MapModWishScrollConversion","",[],"",0,2,"Wish for Glyphs","Vœu de glyphes","Wunsch nach Glyphen","記号を願う","상형 문자를 소원으로 빌기","Pedir Glifos","Пожелать глифов","Deseo de glifos","ขอรูปสลัก","雕紋之願","",1770,[],0
140,"HardModeWishJewelleryConversion",0,[],"Art/2DArt/UIImages/InGame/Faridun/Wishes/MapModWishJewelleryConversio","",[],"",0,2,"Wish for Trinkets","Vœu de bijoux","Wunsch nach Schmuckstücken","宝石を願う","장식품을 소원으로 빌기","Pedir Bugigangas","Пожелать украшений","Deseo de abalorios","ขอเพชรพลอย","飾物之願","",1770,[],3
141,"HardModeWishJewelleryConversionLow",0,[],"Art/2DArt/UIImages/InGame/Faridun/Wishes/MapModWishJewelleryConversio","",[],"",0,2,"Wish for Trinkets","Vœu de bijoux","Wunsch nach Schmuckstücken","宝石を願う","장식품을 소원으로 빌기","Pedir Bugigangas","Пожелать украшений","Deseo de abalorios","ขอเพชรพลอย","飾物之願","",1770,[],0
142,"HardModeBossAddition",0,[],"Art/2DArt/UIImages/InGame/Faridun/Wishes/MapModBossAddition","",[],"",0,2,"Wish for Terror","Vœu de terreur","Wunsch nach Schrecken","恐怖を願う","공포를 소원으로 빌기","Pedir Terror","Пожелать ужаса","Deseo de terror","ขอให้สยอง","恐懼之願","",1770,[],1
143,"HardModeCacheWishUniqueJewel",0,[],"Art/2DArt/UIImages/InGame/Faridun/Wishes/MapModBossUniqueJewel","",[],"",0,2,"Wish for Eminence","Vœu d'éminence","Wunsch nach Ansehen","卓越を願う","명성을 소원으로 빌기","Pedir Eminência","Пожелать высот","Deseo de eminencia","ขอชื่อเสียง","顯赫之願","",1770,[],3
144,"HardModeReplacePacksGilded",0,[],"Art/2DArt/UIImages/InGame/Faridun/Wishes/MapModWishGeneric","",[],"",0,2,"Wish for Avarice","Vœu d'avarice","Wunsch nach Gier","強欲を願う","탐욕을 소원으로 빌기","Pedir Avareza","Пожелать алчности","Deseo de avaricia","ขอให้ละโมบ","貪婪之願","",1770,[],3
145,"HardModeReplacePacksBetrayal",0,[],"Art/2DArt/UIImages/InGame/Faridun/Wishes/MapModWishGeneric","",[],"",0,2,"Wish for Betrayal","Vœu de trahison","Wunsch nach Verrat","裏切りを願う","배신을 소원으로 빌기","Pedir Traição","Пожелать предательства","Deseo de traición","ขอให้ถูกทรยศ","背叛之願","",1770,[],1
146,"HardModeReplacePacksEthereal",0,[],"Art/2DArt/UIImages/InGame/Faridun/Wishes/MapModWishGeneric","",[],"",0,2,"Wish for Phantoms","Vœu de fantômes","Wunsch nach Phantomen","幻影を願う","혼령을 소원으로 빌기","Pedir Assombrações","Пожелать фантомов","Deseo de fantasmas","ขอผีสาง","幻影之願","",1770,[],2
147,"HardModeSupportGemCache",0,[],"Art/2DArt/UIImages/InGame/Faridun/Wishes/MapModWishGeneric","",[],"",0,2,"Wish for Support Gems","Vœu de gemmes de soutien","Wunsch nach Unterstützungsgemmen","サポートジェムを願う","보조 젬을 소원으로 빌기","Pedir Gemas de Reforço","Пожелать камней поддержки","Deseo de gemas de asistencia","ขอหินเสริม","輔助寶石之願","",1770,[],3
148,"HardModeSupportGemCacheLow",0,[],"Art/2DArt/UIImages/InGame/Faridun/Wishes/MapModWishGeneric","",[],"",0,2,"Wish for Support Gems","Vœu de gemmes de soutien","Wunsch nach Unterstützungsgemmen","サポートジェムを願う","보조 젬을 소원으로 빌기","Pedir Gemas de Reforço","Пожелать камней поддержки","Deseo de gemas de asistencia","ขอหินเสริม","輔助寶石之願","",1770,[],0
149,"HardModeSkillGemCache",0,[],"Art/2DArt/UIImages/InGame/Faridun/Wishes/MapModWishGeneric","",[],"",0,2,"Wish for Skill Gems","Vœu de gemmes d'aptitude","Wunsch nach Fertigkeitengemmen","スキルジェムを願う","스킬 젬을 소원으로 빌기","Pedir Gemas de Habilidade","Пожелать камней умений","Deseo de gemas de habilidad","ขอหินสกิล","技能寶石之願","",1770,[],1
150,"HardModeSkillGemCacheLow",0,[],"Art/2DArt/UIImages/InGame/Faridun/Wishes/MapModWishGeneric","",[],"",0,2,"Wish for Skill Gems","Vœu de gemmes d'aptitude","Wunsch nach Fertigkeitengemmen","スキルジェムを願う","스킬 젬을 소원으로 빌기","Pedir Gemas de Habilidade","Пожелать камней умений","Deseo de gemas de habilidad","ขอหินสกิล","技能寶石之願","",1770,[],0
