"rownum","GroundEffectTypesKey","i32_16","i32_20","rid_24","f32_40","[i32]_44","bool_60","AOFile","[string]_77","EndEffect","rid_101","rid_117","rid_133","rid_149","rid_165","bool_181","bool_182","bool_183","rid_184","rid_200","bool_216","bool_217","bool_218"
102,2,20,2,"",115,[],"","[""Metadata/Effects/Spells/monsters_effects/League_Azmeri/monster_fx/vodoo_king_boss/rat_plague.ao""]","[""loop""]","fadeout","","","","","","",1,"","","","","",""
103,2,21,2,1937,185,[],1,"[""Metadata/Effects/Spells/ground_effects/invisground/rig.ao""]","[""loop""]","fadeout","","","","","","",1,"","","","","",""
104,2,22,2,2279,100,[],1,"[""Metadata/Effects/Spells/monsters_effects/AtlasofWorldsBosses/Memories_Zana/Benevolence/chaos_orb_degen.ao""]","[""idle""]","fadout","","",1578,"","","",1,"","","","","",""
105,2,23,2,"",200,[],1,"[""Metadata/Effects/Spells/monsters_effects/League_Faridun/FaridunWildBoss/corrupted_ground.ao""]","[""idle""]","fadeout","","",1694,"","","",1,"","","","","",""
106,2,24,2,"",200,[],1,"[""Metadata/Effects/Spells/monsters_effects/League_Faridun/FaridunWildBoss/corrupted_ground.ao""]","[""idle""]","fadeout","","","","","","",1,"","","","","",""
107,2,25,2,"",200,[],1,"[""Metadata/Effects/Spells/monsters_effects/League_Faridun/Saresh/corrupted_ground.ao""]","[""idle""]","fadeout","","","","","","",1,"","","","","",""
108,19,0,1,"",60,"[4,2,1]","","[""Metadata/Effects/Spells/ground_effects/vaal_cloud/vaal_sml_cloud_01.ao"",""Metadata/Effects/Spells/ground_effects/vaal_cloud/vaal_mid_cloud_01.ao"",""Metadata/Effects/Spells/ground_effects/vaal_cloud/vaal_big_cloud_01.ao""]",[],"fadeout","","","","","","","","","","","","",""
109,4,0,1,235,120,"[4,2,1]","","[""Metadata/Effects/Spells/ground_effects/blind_smoke/blindsmoke_01.ao"",""Metadata/Effects/Spells/ground_effects/blind_smoke/blindsmoke_02.ao"",""Metadata/Effects/Spells/ground_effects/blind_smoke/blindsmoke_03.ao""]",[],"fadeout","","","","","","","","","","","","",""
110,4,0,2,235,120,[],"","[""Metadata/Effects/Spells/ground_effects_v2/smoke_blind/smoke_blind.ao""]","[""loop""]","fadeout","","","","","","","","","","","","",""
111,4,1,1,235,120,"[4,2,1]","","[""Metadata/Effects/Spells/ground_effects/chimera_smoke/chimera_smoke_01.ao"",""Metadata/Effects/Spells/ground_effects/chimera_smoke/chimera_smoke_02.ao"",""Metadata/Effects/Spells/ground_effects/chimera_smoke/chimera_smoke_03.ao""]",[],"fadeout","","","","","","","","","","","","",""
112,4,1,2,235,120,[],"","[""Metadata/Effects/Spells/ground_effects_v2/smoke_blind_chimera/smoke_blind_chimera.ao""]","[""loop""]","fadeout","","","","","","","","","","","","",""
113,4,2,2,235,120,[],1,"[""Metadata/Effects/Spells/ground_effects_v2/smoke_blind_fog_of_war_2/smoke_blind_fog_of_war.ao""]","[""loop""]","fadeout","","","","","","","","","","","","",""
114,4,3,2,235,250,[],1,"[""Metadata/Effects/Spells/ground_effects_v2/smoke_blind_fog_of_war_2/smoke_blind_fog_of_war_medium.ao""]","[""loop""]","fadeout","","","","","","","","","","","","",""
115,4,4,2,235,350,[],1,"[""Metadata/Effects/Spells/ground_effects_v2/smoke_blind_fog_of_war_2/smoke_blind_fog_of_war_large.ao""]","[""loop""]","fadeout","","","","","","","","","","","","",""
116,4,5,2,235,150,[],1,"[""Metadata/Effects/Spells/traps/smoke_trap/smoke_blind_fog_of_war.ao""]","[""loop""]","fadeout","","","","","","","","","","","","",""
117,4,6,2,235,150,[],1,"[""Metadata/Effects/Microtransactions/Spells/StygianSmokeMine/StygianBlindFog.ao""]","[""loop""]","fadeout","","","","","","","","","","","","",""
118,9,0,2,"",183,[],"","[""Metadata/Effects/Spells/ground_effects_v2/haste/haste.ao""]","[""loop""]","fadeout","","","","","","",1,"","","","","",""
119,20,0,2,"",280,[],"","[""Metadata/Effects/Spells/ground_effects_v3/profane/profane_grd.ao""]","[""loop""]","fadeout","","","","","","","","","","","","",""
120,21,0,2,"",190,[],"","[""Metadata/Effects/Spells/monsters_effects/labyrinth/skeleton_king/cups/chaos_cups.ao""]","[""chaoscup_loop""]","chaoscup_end","","","","","",1,"","","","","","",""
121,22,0,2,"",190,[],"","[""Metadata/Effects/Spells/monsters_effects/labyrinth/skeleton_king/cups/fire_cups.ao""]","[""firecup_loop""]","firecup_end","","","","","",1,"","","","","","",""
122,13,0,1,"",0,[],"","[""Metadata/Effects/Spells/ground_effects/devouring_darkness/ground_rig.ao""]","[""loop""]","fadeout","","","","","","",1,"","","","","",""
123,25,0,2,"",100,[],1,"[""Metadata/Effects/Spells/monsters_effects/League_Bestiary/Spider_Boss/tail_strike/web_ground/webground_01.ao"",""Metadata/Effects/Spells/monsters_effects/League_Bestiary/Spider_Boss/tail_strike/web_ground/webground_02.ao"",""Metadata/Effects/Spells/monsters_effects/League_Bestiary/Spider_Boss/tail_strike/web_ground/webground_03.ao""]","[""loop""]","fadeout","","","","","","","","","","","","",""
124,15,0,2,"",120,[],1,"[""Metadata/Effects/Spells/monsters_effects/League_Incursion/Vaal_Architects/spells/ultimate_spells/blood_magic_strike/blood_ground/bloodground_01.ao"",""Metadata/Effects/Spells/monsters_effects/League_Incursion/Vaal_Architects/spells/ultimate_spells/blood_magic_strike/blood_ground/bloodground_02.ao"",""Metadata/Effects/Spells/monsters_effects/League_Incursion/Vaal_Architects/spells/ultimate_spells/blood_magic_strike/blood_ground/bloodground_03.ao"",""Metadata/Effects/Spells/monsters_effects/League_Incursion/Vaal_Architects/spells/ultimate_spells/blood_magic_strike/blood_ground/bloodground_04.ao"",""Metadata/Effects/Spells/monsters_effects/League_Incursion/Vaal_Architects/spells/ultimate_spells/blood_magic_strike/blood_ground/bloodground_05.ao""]","[""loop""]","fadeout","","","","","","","","","","","","",""
125,15,1,2,"",125,[],1,"[""Metadata/Effects/Spells/monsters_effects/League_Hellscape/mob_corpus_needleskin/volatile_grd.ao""]","[""idle""]","end","","","","","","",1,"","","",1,"",""
126,15,2,2,"",200,[],1,"[""Metadata/Effects/Spells/monsters_effects/League_Hellscape/env/boiling_bloodpool/bloodpool1.ao"",""Metadata/Effects/Spells/monsters_effects/League_Hellscape/env/boiling_bloodpool/bloodpool2.ao"",""Metadata/Effects/Spells/monsters_effects/League_Hellscape/env/boiling_bloodpool/bloodpool3.ao""]","[""loop""]","fadeout","","","","","","",1,"","","","","",""
127,15,3,1,"",100,[],1,"[""Metadata/Effects/Spells/monsters_effects/League_Hellscape/boss_corpus_defiler/vomit_grd.ao""]","[""idle""]","end","","","","","","",1,"","","",1,"",""
128,15,4,2,"",160,[],1,"[""Metadata/Effects/Spells/vaal_skills/reap/tarollo_blood_ground.ao""]","[""boiling_ground_01""]","blood_ground_end_01","","","","","","","","","","","","",""
129,15,5,2,"",180,[],"","[""Metadata/Effects/Spells/monsters_effects/League_Sanctum/TheSentinels/bloodpool1.ao""]","[""loop""]","fadeout","","","","","","","","","","","","",1
130,15,6,2,"",200,[],1,"[""Metadata/Effects/Microtransactions/Spells/blood_scythe/star_fall/vaal/tarollo_blood_ground.ao""]","[""boiling_ground_01""]","blood_ground_end_01","","","","","","","","","","","","",""
131,15,7,2,"",200,[],1,"[""Metadata/Effects/Microtransactions/Spells/blood_scythe/vine/vaal/tarollo_blood_ground.ao""]","[""boiling_ground_01""]","blood_ground_end_01","","","","","","","","","","","","",""
132,15,8,2,"",168,[],1,"[""Metadata/Effects/Spells/monsters_effects/League_Azmeri/monsters/RootSpider/emerge_submerge.ao""]","[""loop""]","fadeout","",1369,"","","","","","","","",1,1,""
133,15,9,2,"",160,[],1,"[""Metadata/Effects/Spells/monsters_effects/League_Azmeri/monster_fx/vodoo_king_boss/corrupting_blood.ao""]","[""loop""]","fadeout","","","","","","","","","","",1,1,""
134,15,10,2,"",180,[],1,"[""Metadata/Effects/Spells/monsters_effects/storm_call/stormcall_blood_ground.ao""]","[""loop""]","fadeout","",1369,"","","","","","","","",1,1,""
135,15,11,2,"",480,[],"","[""Metadata/Effects/Spells/monsters_effects/Breach/TulAndAshBoss/corruptingSlam_groundDegen.ao""]","[""loop""]","fade_out","","","","","","",1,"","","",1,1,""
136,15,12,1,2346,650,[],1,"[""Metadata/Effects/Spells/monsters_effects/League_Faridun/Saresh/transition_ground_grow.ao""]","[""grow_01""]","vanish_01","","","","","","",1,"","","",1,"",""
137,23,0,1,"",0,[],"","[""Metadata/Effects/Spells/ground_effects/despair_geyser/ground_rig.ao""]","[""loop""]","fadeout","","","","","","",1,"","","","","",""
138,10,0,1,"",0,[],"","[""Metadata/Effects/Spells/monsters_effects/act9/Garukhan/sandstorm/rig.ao""]","[""loop""]","fadeout","","","","","","",1,"","","","","",""
139,14,0,2,"",250,[],"","[""Metadata/Effects/Spells/ground_effects/quicksand/ground_rig.ao""]","[""loop""]","fadeout","","","","","","",1,"","","","","",""
140,14,1,2,"",250,[],"","[""Metadata/Effects/Spells/monsters_effects/League_Incursion/Vaal_Architects/spells/breach_quicksands/breachhole.ao""]","[""loop""]","fadeout","","","","","","",1,"","","","","",""
141,14,2,2,"",125,[],"","[""Metadata/Effects/Spells/Masters/NinjaCop/ink_pool/rig.ao""]","[""loop""]","fadeout","","","","","","",1,"","","","","",""
142,14,3,2,"",250,[],"","[""Metadata/Effects/Spells/monsters_effects/League_Synthesis/bosses/all_voidsand.ao""]","[""loop""]","fadeout","",271,"","","","",1,"","","","","",""
143,14,4,2,"",250,[],"","[""Metadata/Effects/Spells/monsters_effects/League_Synthesis/bosses/all_voidsand.ao""]","[""loop""]","fadeout","",282,"","","","",1,"","","","","",""
144,14,5,2,"",250,[],"","[""Metadata/Effects/Spells/ground_effects/invisground/rig.ao""]","[""loop""]","fadeout","",468,"","","","",1,"","","","","",""
145,14,6,2,"",225,[],"","[""Metadata/Effects/Spells/monsters_effects/League_Ritual/life_ritual/blood_grd.ao""]","[""loop""]","fadeout","","","","","","",1,"","","","","",""
146,14,7,2,"",250,[],"","[""Metadata/Effects/Spells/ground_effects/invisground/rig.ao""]","[""loop""]","fadeout","","","","","","",1,"","","","","",""
147,14,8,2,"",250,[],"","[""Metadata/Effects/Spells/monsters_effects/League_Synthesis/bosses/all_voidsand.ao""]","[""loop""]","fadeout","",282,"","","","",1,"","","","","",""
148,14,9,2,"",250,[],"","[""Metadata/Effects/Spells/monsters_effects/League_Synthesis/bosses/all_voidsand.ao""]","[""loop""]","fadeout","",282,"","","","",1,"","","","","",""
149,14,10,2,"",250,[],"","[""Metadata/Effects/Spells/monsters_effects/League_Synthesis/bosses/all_voidsand.ao""]","[""loop""]","fadeout","",282,"","","","",1,"","","","","",""
150,14,11,2,"",250,[],"","[""Metadata/Effects/Spells/monsters_effects/League_Synthesis/bosses/all_voidsand.ao""]","[""loop""]","fadeout","",282,"","","","",1,"","","","","",""
151,14,13,2,"",225,[],"","[""Metadata/Effects/Spells/monsters_effects/Breach/Chaos/EliteFallenLunarisMonster/ao/breach_quicksand_puddle.ao""]","[""loop""]","fadeout","","","","","","",1,"","","",1,1,""
152,24,0,2,"",150,[],"","[""Metadata/Effects/Spells/monsters_effects/League_Blight/Fungal_ground/fungalGround.ao""]",[],"fadeout","","","","","","",1,"","","","","",""
153,17,0,2,"",105,[],"","[""Metadata/Effects/Spells/monsters_effects/AtlasExiles/Orion/destruction_assets/meteors/meteor_ground.ao""]","[""loop""]","fadeout","","","","","","",1,"","","","","",""
154,11,0,2,"",800,[],1,"[""Metadata/Effects/Spells/monsters_effects/Breach/Cold/Blizzard/Blizzard.ao""]","[""loop""]","end","","","","","","",1,"","","","","",""
155,16,0,2,"",200,[],1,"[""Metadata/Effects/Microtransactions/Misc/uniques/body_armour/TimeAnomaly/timeanomaly.ao""]","[""loop""]","fadeout","","","","","","","","","","","","",""
156,16,1,2,"",200,[],"","[""Metadata/Effects/Spells/monsters_effects/League_Blight/Tower_Skills/Temporal/rig.ao""]","[""loop""]","fadeout",1424,"","","","","","","","","","","",""
157,16,2,2,"",150,[],1,"[""Metadata/Effects/Spells/monsters_effects/League_Affliction/affliction_mods/slowzone.ao""]","[""loop""]","end","","","","","","","","","","","","",""
158,8,0,2,"",167,[],1,"[""Metadata/Effects/Spells/frost_bolt/sml_maelstrom.ao""]","[""loop""]","end","","","","","","","","","","","","",""
159,8,1,2,"",167,[],1,"[""Metadata/Effects/Microtransactions/Spells/frost_bolt/maelstrom.ao""]","[""loop""]","end","","","","","","","","","","","","",""
160,8,2,2,"",167,[],1,"[""Metadata/Effects/Microtransactions/Spells/frost_bolt/maelstrom.ao""]","[""loop""]","end","",111,"","","","","","","","","","",""
161,8,3,2,"",180,[],1,"[""Metadata/Effects/Spells/monsters_effects/AtlasofWorldsBosses/TheShaper/super_blackhole/rig.ao""]","[""loop""]","end","","","","","","","","","","","","",""
162,8,4,2,"",155,[],1,"[""Metadata/Effects/Spells/monsters_effects/Solaris_and_Lunaris/Lunaris_e/expanding_darkness.ao""]","[""loop""]","fadeout",884,"","","","","","","","","","","",""
163,8,5,2,"",180,[],1,"[""Metadata/Monsters/Anomaly/Vortex_UniqueRing.ao""]","[""loop""]","end","","","","","","","","","","","","",""
164,8,6,2,"",180,[],1,"[""Metadata/Effects/Spells/monsters_effects/AtlasofWorldsBosses/TheShaper/super_blackhole/rig_ubElder.ao""]","[""loop""]","end","","","","","","","","","","","","",""
165,8,7,2,"",200,[],1,"[""Metadata/Effects/Microtransactions/Misc/uniques/body_armour/TimeAnomaly/timeanomaly.ao""]","[""loop""]","fadeout","","","","","","","","","","","","",""
166,8,8,2,1522,250,[],1,"[""Metadata/Effects/Spells/monsters_effects/AtlasofWorldsBosses/Maven/buffs/chilled_grd/chilled_grd.ao""]","[""loop""]","fadeout","","","","","","",1,"","","","","",""
167,8,9,2,"",235,[],1,"[""Metadata/Effects/Spells/monsters_effects/League_Ultimatum/general_combat/vaal_golem/skitter_vortex_cold.ao""]","[""loop""]","end","","","","","","","","","","","","",""
168,8,10,2,"",235,[],1,"[""Metadata/Effects/Spells/monsters_effects/League_Ultimatum/general_combat/vaal_golem/skitter_vortex_lightning.ao""]","[""loop""]","end","","","","","","","","","","","","",""
169,8,11,2,"",235,[],1,"[""Metadata/Effects/Spells/monsters_effects/League_Ultimatum/general_combat/vaal_golem/skitter_vortex_ruin.ao""]","[""loop""]","end",1812,"","","","","","","","","","","",""
170,8,12,2,"",250,[],1,"[""Metadata/Effects/Spells/monsters_effects/League_Expedition/general/zombie/cold_mist.ao""]","[""loop""]","end","","","","","","","","","","",1,"",""
171,8,13,2,"",167,[],1,"[""Metadata/Effects/Microtransactions/Spells/MyrmidonVortex/sml_maelstrom.ao""]","[""loop""]","end","","","","","","","","","","","","",""
172,8,14,2,"",400,[],1,"[""Metadata/Effects/Spells/monsters_effects/League_Archnemesis/ground_effects/calamity_of_frost.ao""]","[""loop""]","fadeout",2109,"","","","","","","","","",1,1,""
173,8,15,2,"",358,[],1,"[""Metadata/Effects/Spells/monsters_effects/League_Delve/general/wetas/cold_snap/crystal_ground.ao""]","[""loop""]","fadeout","","","","","","","","","","",1,"",""
174,8,16,2,"",150,[],"","[""Metadata/Effects/Microtransactions/Spells/deathly_vortex/maelstrom.ao""]","[""loop""]","end","","","","","","","","","","","","",""
175,8,17,2,"",100,[],"","[""Metadata/Effects/Spells/monsters_effects/League_Ancestral/Rakiata/WaterGeyserGroundEffect.ao""]","[""merv_geyser_loop""]","merv_geyser_end","","","","","","","","","","",1,"",""
176,26,0,2,"",800,[],1,"[""Metadata/Effects/Spells/ground_effects/vaal_cold_snap/VaalColdSnapGroundEffect.ao""]","[""loop""]","end","","","","","","","","","","","","",""
177,18,0,2,"",200,[],1,"[""Metadata/Effects/Spells/monsters_effects/LeagueHarvest/harvest_boss/final/crown_of_thorns/anger_ground.ao""]","[""loop""]","fadeout","",416,"","","","","","","","","","",""
178,27,0,2,"",100,[],1,"[""Metadata/Effects/Spells/monsters_effects/League_Heist/thugs/torch/oil_ground.ao""]",[],"fadeout","",454,"","","","",1,"",1427,"","","",""
179,27,1,2,1428,100,[],1,"[""Metadata/Effects/Spells/monsters_effects/League_Archnemesis/ground_effects/tar_zombie_oil_ground.ao""]",[],"fadeout_fire","",636,"","","","",1,"",1429,"","","",""
180,28,0,2,"",250,[],1,"[""Metadata/Effects/Spells/ground_effects_v3/scorched/scorched_grd.ao""]","[""loop""]","fadeout","","","","","","",1,"","","","","",""
181,29,0,2,"",175,[],"","[""Metadata/Effects/Spells/monsters_effects/AtlasofWorldsBosses/Maven/brain/void_zone/rig.ao""]","[""loop""]","fadeout","",283,"","","","",1,"","","","","",""
182,29,1,2,"",180,[],1,"[""Metadata/Effects/Spells/monsters_effects/AtlasofWorldsBosses/TheShaper/super_blackhole/rig.ao""]","[""loop""]","end","",283,"","","","","","","","","","",""
183,30,0,2,"",235,[],1,"[""Metadata/Effects/Spells/monsters_effects/League_Ultimatum/general_combat/vaal_golem/skitter_vortex_lightning.ao""]","[""loop""]","end","","","","","","","","","","","","",""
184,30,1,2,"",235,[],1,"[""Metadata/Effects/Spells/monsters_effects/League_Ultimatum/general_combat/vaal_golem/skitter_vortex_ruin.ao""]","[""loop""]","end",1811,"","","","","","","","","","","",""
185,30,2,2,"",135,[],1,"[""Metadata/Effects/Spells/monsters_effects/AtlasofWorldsBosses/Touching_Tentacle_Orb/lightning_grd.ao""]","[""loop""]","fadeout","","","","","","","","","","","","",""
186,39,0,2,"",250,[],1,"[""Metadata/Effects/Spells/monsters_effects/League_Chayula/GraftSystem/Active_Esh_01/AOs/EG01_LightningGround.ao""]","[""loop""]","fadeout","","","","","","",1,"","","","","",""
187,31,0,2,"",250,[],1,"[""Metadata/Effects/Spells/ground_effects_v3/brittle/brittle_grd.ao""]","[""loop""]","fadeout","","","","","","",1,"","","","","",""
188,32,0,2,"",250,[],1,"[""Metadata/Effects/Spells/ground_effects_v3/sapping/sapping_grd.ao""]","[""loop""]","fadeout","","","","","","",1,"","","","","",""
189,33,0,2,"",140,[],"","[""Metadata/Effects/Spells/monsters_effects/AtlasofWorldsBosses/DoomPersonified/ao/submerge_ground_travel.ao""]","[""idle""]","end","","",634,"","","","","","","","","",""
190,34,0,2,"",200,[],1,"[""Metadata/Effects/Spells/monsters_effects/League_Sanctum/LyciaBoss/ao/degen_area.ao""]","[""loop""]","fadeout","","","","","","","","","","",1,"",1
191,34,1,2,"",180,[],"","[""Metadata/Effects/Spells/monsters_effects/League_Sanctum/TheSentinels/bloodpool1.ao""]","[""loop""]","fadeout","","","","","","","","","","","","",1
192,35,0,2,"",150,[],1,"[""Metadata/Effects/Spells/monsters_effects/League_Archnemesis/ground_effects/calamity_of_flames.ao""]","[""loop""]","fadeout","","","","","","","","","","","","",""
193,36,0,2,"",200,[],1,"[""Metadata/Effects/Spells/monsters_effects/League_Archnemesis/ground_effects/calamity_of_plagues.ao""]","[""loop""]","fadeout","","","","","","",1,"","","","","",""
194,37,0,2,"",120,[],"","[""Metadata/Effects/Spells/monsters_effects/League_Ancestral/Utula/corr_chargestep.ao""]","[""loop""]","end","","","","","","","","","","","","",""
195,37,1,2,2118,160,[],1,"[""Metadata/Effects/Spells/monsters_effects/League_Azmeri/monster_fx/vodoo_king_boss/corrupting_blood.ao""]","[""loop""]","fadeout","","","","","","","","","","",1,1,""
196,38,0,2,"",130,[],1,"[""Metadata/Effects/Spells/monsters_effects/AtlasofWorldsBosses/Memories_Zana/Neglect/eyelaser_degen.ao""]","[""loop""]","end","","","","","","",1,"","","","","",""
197,40,0,2,"",150,[],1,"[""Metadata/Effects/Spells/ground_effects_v3/oasis_ground/oasis_grdZone_01.ao""]","[""loop""]","fadeout","","","","","","",1,"","","","","",""
