"rownum","Wordlist","Text","SpawnWeight_Tags","SpawnWeight_Values","HASH32","Text2","Text2 (French)","Text2 (German)","Text2 (Japanese)","Text2 (Korean)","Text2 (Portuguese)","Text2 (Russian)","Text2 (Spanish)","Text2 (Thai)","Text2 (Traditional Chinese)","Inflection","Inflection (French)","Inflection (German)","Inflection (Japanese)","Inflection (Korean)","Inflection (Portuguese)","Inflection (Russian)","Inflection (Spanish)","Inflection (Thai)","Inflection (Traditional Chinese)"
761,6,"Kiara's Determination",[0],[0],1160561505,"Kiara's Determination","Détermination de Kiara","Kiaras Entschlossenheit","キアラの決心","키아라의 결의","Determinação de Kiara","Решимость Киары","Determinación de Kiara","Kiara's Determination","奇亞拉的決心","","F","F","","","F","FS","F","",""
762,6,"Tinkerskin",[0],[0],3743742125,"Tinkerskin","Peau fignolée","Flickenhaut","ティンカースキン","톱니의 보호","Pele Mecânica","Кожа лудильщика","Piel de hojalata","Tinkerskin","焊匠之膚","","F","F","","","F","FS","F","",""
763,6,"Death's Door",[0],[0],3954557499,"Death's Door","Les Portes de la Mort","Schwelle des Todes","死の扉","죽음의 문턱","Porta da Morte","Порог смерти","Puerta de la muerte","Death's Door","死亡大門","","FP","F","","","F","MS","F","",""
764,6,"Reach of the Council",[0],[0],1132430080,"Reach of the Council","Portée du Conseil","Einfluss des Rates","評議会の射程","의회의 역량","Extensão do Conselho","Охват Совета","Alcance del consejo","Reach of the Council","議會之觸","","F","M","","","F","MS","M","",""
765,6,"Breath of the Council",[0],[0],2934893430,"Breath of the Council","Souffle du Conseil","Atem des Rates","評議会の息","의회의 숨결","Suspiro do Conselho","Дыхание Совета","Aliento del consejo","Breath of the Council","議會之息","","M","M","","","M","NS","M","",""
766,6,"Voidheart",[0],[0],3589229044,"Voidheart","Cœur du Néant","Leerenherz","ヴォイドハート","공허의 심장","Coração Vazio","Пустое сердце","Corazón del vacío","Voidheart","虛空心靈","","M","N","","","M","NS","M","",""
767,6,"Cragfall",[0],[0],3019922906,"Cragfall","Chute de rocs","Steinschlag","クラグフォール","바위 폭포","Queda do Penhasco","Падение скалы","Golpe de roca","Cragfall","落石","","F","M","","","F","NS","M","",""
768,6,"The Signal Fire",[0],[0],4002684258,"The Signal Fire","Le Brasier de signalement","Das Signalfeuer","狼煙","봉화","O Fogo Sinalizador","Сигнальный огонь","La bengala","The Signal Fire","狼煙","","M","N","","","M","MS","F","",""
769,6,"Ngamahu Tiki",[0],[0],218874151,"Ngamahu Tiki","Tiki de Ngamahu","Ngamahu Tiki","ナマフ・ティキ","나마후 티키","Ngamahu Tiki","Нгамаху Тики","Ngamahu Tiki","Ngamahu Tiki","拿瑪乎蒂基","","M","N","","","M","MS","M","",""
770,6,"Hrimburn",[0],[0],3711397978,"Hrimburn","Brûlure d'Algide","Hrimbrand","フリムバーン","흐림번","Queima-Hrim","Ожог Хрима","Quemadura de Hrim","Hrimburn","李姆本","","F","M","","","M","MS","F","",""
771,6,"Martyr's Crown",[0],[0],1511889867,"Martyr's Crown","La Couronne du martyr","Krone des Märtyrers","殉教者の冠","순교자의 왕관","Coroa do Mártir","Венец мученика","Corona del mártir","Martyr's Crown","烈士之冠","","F","F","","","F","MS","F","",""
772,6,"Ezomyte Hold",[0],[0],510049696,"Ezomyte Hold","Fort ézomyte","Besitz der Ezomyten","エゾマイトの掌握","에조미어의 방호","Posse Ezomita","Опора эзомита","Permanencia ezomita","Ezomyte Hold","艾茲麥之握","","M","M","","","F","FS","F","",""
773,6,"Deidbellow",[0],[0],1939652025,"Deidbellow","Hurlement du Trépas","Totenläute","ディードベロー","죽음의 괘종","Rugido Mórbido","Набат мёртвых","Bramido de Deid","Deidbellow","喪吼","","M","F","","","M","MS","M","",""
774,6,"Thirst for Horrors",[0],[0],3983237716,"Thirst for Horrors","Soif d'Horreurs","Gier nach Schrecken","恐怖の渇望","공포에 대한 갈증","Sede por Horrores","Жажда кошмаров","Ansias de horrores","Thirst for Horrors","顫慄之飢","","F","F","","","F","FS","FP","",""
775,6,"The Oak",[0],[0],3295517181,"The Oak","L'Orme","Die Eiche","オーク","참나무","O Carvalho","Дуб","El roble","The Oak","橡樹","","M","F","","","M","MS","M","",""
776,6,"Kaltensoul",[0],[0],4039556273,"Kaltensoul","Kaltenâme","Kaltenseele","カルテンソウル","붙잡은 영혼","Alma de Kalten","Кальтенсоул","Alma de frío","Kaltensoul","冰霜之魂","","M","F","","","M","MS","F","",""
777,6,"The Gryphon",[0],[0],756241344,"The Gryphon","Le Griffon","Der Greif","グリフォン","그리폰","O Grifo","Грифон","El grifo","The Gryphon","獅鷲","","M","M","","","M","MS","M","",""
778,6,"The Cauteriser",[0],[0],260565616,"The Cauteriser","Le Cautérisateur","Der Kauterisierer","コーテライザー","소각로","O Cauterizador","Прижигатель","El cauterizador","The Cauteriser","燒灼器","","M","M","","","M","MS","M","",""
779,6,"Doomfletch's Prism",[0],[0],1859974014,"Doomfletch's Prism","Prisme de Flèchefuneste","Verhängnisfeders Prisma","ドゥームフレッチのプリズム","죽음의 깃의 분광기","Prisma da Flecha da Ruína","Призма Стрел рока","Prisma de pluma de ruina","Doomfletch's Prism","滅世之獄","","M","N","","","M","FS","F","",""
780,6,"Silverbough",[0],[0],4164093169,"Silverbough","Pamprargent","Silberast","シルバーバゥ","은빛 나뭇가지","Galho de Prata","Серебряный прут","Rama de plata","Silverbough","銀枝","","M","M","","","M","MS","F","",""
781,6,"The Tempest",[0],[0],1530315987,"The Tempest","La Tempête","Der Sturm","暴風雨","폭풍","A Tempestade","Шторм","La tempestad","The Tempest","暴風雨","","F","M","","","F","MS","F","",""
782,6,"Hrimnor's Dirge",[0],[0],3639076113,"Hrimnor's Dirge","Chant funèbre de Hrimnor","Hrimnors Klagelied","フリムノーの悲歌","흐림노르의 만가","Lamúria de Hrimnor","Панихида Гримнора","Música fúnebre de Hrimnor","Hrimnor's Dirge","雷姆諾的輓歌","","M","F","","","F","FS","F","",""
783,6,"Amplification Rod",[0],[0],5528892,"Amplification Rod","Tige d'Amplification","Stab der Ausdehnung","拡大の杖","증폭 막대","Vara da Amplificação","Прут увеличения","Vara de amplificación","Amplification Rod","增幅杖","","F","M","","","F","MS","F","",""
784,6,"Realm Ender",[0],[0],227046355,"Realm Ender","Annihilateur de Royaumes","Weltenzerstörer","レルムエンダー","종결자","Destruidor do Reino","Губитель бытия","Destructor de reinos","Realm Ender","魂界終結","","M","M","","","M","MS","M","",""
785,6,"Queen's Escape",[0],[0],2855470704,"Queen's Escape","Fuite de la Reine","Flucht der Königin","女王の逃亡","여왕의 탈주","Fuga da Rainha","Бегство царицы","Escape de la reina","Queen's Escape","逃亡女王","","F","F","","","F","NS","M","",""
786,6,"The Plaguemaw's Offering",[0],[0],3936952612,"The Plaguemaw's Offering","L'Offrande de la Gueulepeste","Opfer des Pestschlunds","プレイグモーの捧げ物","역병 나락의 공물","A Oferenda da Mandíbula Infestada","Дар Моровой Пасти","Ofrenda de Las fauces de plaga","The Plaguemaw's Offering","疫病之奉獻","","F","N","","","F","MS","F","",""
787,6,"Kaom's Way",[0],[0],4248012478,"Kaom's Way","Voie de Kaom","Kaoms Weg","カオムの道","카옴의 길","Caminho de Kaom","Путь Каома","Tradición de Kaom","Kaom's Way","岡姆之路","","F","M","","","M","MS","F","",""
788,6,"Praxis",[0],[0],1667986705,"Praxis","Praxis","Praxis","プラクシス","관습","Praxis","Праксис","Praxis","Praxis","普拉克斯","","F","F","","","M","MS","M","",""
789,6,"Kondo's Pride",[0],[0],2002931431,"Kondo's Pride","Fierté de Kondo","Kondos Stolz","コンドウの誇り","콘도의 자부심","Orgulho de Kondo","Гордыня Кондо","Orgullo de Kondo","Kondo's Pride","剛多的虛榮","","F","M","","","M","FS","M","",""
790,6,"Valyrium",[0],[0],3310356815,"Valyrium","Valyrium","Valyrium","ヴァリリウム","발리륨","Valyrium","Валириум","Valyrium","Valyrium","戰日","","F","N","","","M","MS","M","",""
791,6,"The Brass Dome",[0],[0],2442127027,"The Brass Dome","Le Dôme de cuivre","Messingkuppel","真鍮のドーム","황동 철갑","A Cúpula de Bronze","Латунный свод","Domo de bronce","The Brass Dome","堅銅戰罩","","M","F","","","F","MS","M","",""
792,6,"Brain Rattler",[0],[0],891552531,"Brain Rattler","Secoueur de Cervelle","Hirnschleuder","脳揺らし","요동치는 두뇌","Brandir Cerebral","Мозготряс","Devanador de cerebros","Brain Rattler","腦亂者","","M","F","","","M","MS","M","",""
793,6,"Razor of the Seventh Sun",[0],[0],739336036,"Razor of the Seventh Sun","Rasoir du Septième Soleil","Klinge der siebten Sonne","七番目の太陽の刃","날카로운 일곱 번째 태양","Navalha do Sétimo Sol","Лезвие Седьмого солнца","Navaja del séptimo sol","Razor of the Seventh Sun","七日鋒","","M","F","","","F","NS","F","",""
794,6,"Eye of Innocence",[0],[0],2143259832,"Eye of Innocence","Œil d'Innocence","Auge des Innocence","イノセンスの目","결백의 눈","Olho de Innocence","Око Невинности","Ojo de Inocencia","Eye of Innocence","無罪之眼","","M","N","","","M","NS","M","",""
795,6,"Slivertongue",[0],[0],466275112,"Slivertongue","Languécharde","Spaltzunge","スリヴァータン","슬리버텅","Língua das Serpentes","Змеиный язык","Lengua fragmentada","Slivertongue","裂舌","","F","F","","","F","MS","F","",""
796,6,"Obscurantis",[0],[0],3580610567,"Obscurantis","Obscurantis","Obscurantis","オブスキュランティス","몽매주의","Obscurantis","Мракобес","Obscurantis","Obscurantis","朦朧詭面","","M","N","","","M","MS","F","",""
797,6,"Snakepit",[0],[0],3954436538,"Snakepit","Fosse à Serpents","Schlangengrube","スネークピット","뱀 구덩이","Ninho das Cobras","Серпентарий","Trampa de serpientes","Snakepit","蛇巢","","F","F","","","M","MS","F","",""
798,6,"The Scourge",[0],[0],931710212,"The Scourge","La Calamité","Die Geißel","スカージ","재앙","O Flagelo","Иго","El azote","The Scourge","災害","","F","F","","","M","NS","M","",""
799,6,"Cospri's Malice",[0],[0],3689093670,"Cospri's Malice","Malveillance de Cospri","Cospris Bosheit","コスプリの悪意","코스프리의 장난","Maldade de Cospri","Беда Коспри","Malicia de Cospri","Cospri's Malice","卡斯普里的怨恨","","F","F","","","F","FS","F","",""
800,6,"Starforge",[0],[0],1581975269,"Starforge","Forgétoile","Sternenschmiede","スターフォージ","별의 탄생","Forja Estelar","Звёздный горн","Forja estelar","Starforge","核星","","F","F","","","F","MS","F","",""
801,6,"Unending Hunger",[0],[0],1849090216,"Unending Hunger","Faim inassouvissable","Endloser Hunger","終わらぬ飢え","끝없는 허기","Fome Eterna","Неутолимый голод","Hambre inagotable","Unending Hunger","無盡飢餓","","F","M","","","F","MS","F","",""
802,6,"Voidwalker",[0],[0],711043592,"Voidwalker","Marcheurs du Néant","Leerenwanderer","ヴォイドウォーカー","공허 보행자","Caminhante do Vazio","Пустоход","Caminante del vacío","Voidwalker","虛空行者","","MP","M","","","M","MS","M","",""
803,6,"Replica Voidwalker",[0],[0],1872341885,"Replica Voidwalker","Réplique des Marcheurs du Néant","Replik: Leerenwanderer","ヴォイドウォーカー（レプリカ）","공허 보행자 모조품","Réplica: Caminhante do Vazio","Копия Пустохода","Caminante del vacío (réplica)","Replica Voidwalker","贗品．虛空行者","","F","F","","","F","FS","M","",""
804,6,"Shaper's Touch",[0],[0],2436748431,"Shaper's Touch","La Main du Façonneur","Berührung des Schöpfers","シェイパーの接触","쉐이퍼의 손길","Toque do Criador","Касание Создателя","Toque del Creador","Shaper's Touch","塑者之觸","","F","F","","","M","NS","M","",""
805,6,"The Warden's Brand",[0],[0],2121301869,"The Warden's Brand","Marque du Geôlier","Brandzeichen des Wärters","刑務所長の焼き印","간수의 낙인","A Marca do Carcereiro","Клеймо смотрителя","La marca del guardián","The Warden's Brand","獄使之印","","F","N","","","F","NS","F","",""
806,6,"Witchfire Brew",[0],[0],1984206815,"Witchfire Brew","Infusion de Feu de sorcière","Hexengebräu","ウィッチファイヤーの醸造","불타는 마녀의 술","Infusão das Bruxas em Chamas","Отвар ведьмовского огня","Brebaje de fuego de bruja","Witchfire Brew","巫火秘釀","","F","N","","","F","MS","M","",""
807,6,"Dying Sun",[0],[0],2689407278,"Dying Sun","Soleil mourant","Sterbende Sonne","死にゆく太陽","죽어가는 해","Sol Moribundo","Умирающее солнце","Sol agonizante","Dying Sun","滅日","","M","F","","","M","NS","M","",""
808,6,"The Putrid Cloister",[0],[0],2767524611,"The Putrid Cloister","Le Cloître putride","Das faulige Kloster","邪悪な学園","악취 나는 수도원","O Claustro Pútrido","Тлетворная обитель","El claustro pútrido","The Putrid Cloister","腐臭迴廊","","M","N","","","M","FS","M","",""
809,6,"Atziri's Vessel",[0],[0],1862519512,"Atziri's Vessel","Réceptacle d'Atziri","Atziris Gefäß","アッツィリの器","앗지리의 그릇","Urna de Atziri","Сосуд Атзири","Vasija de Atziri","Atziri's Vessel","阿茲里容器","","M","N","","","F","MS","F","",""
810,6,"Hallowed Ground",[0],[0],3164199765,"Hallowed Ground","La Nuit des masques","Nacht des Grauens","聖地","거룩한 대지","Terras Sagradas","Священная земля","Una noche de terror","Hallowed Ground","萬聖之地","","F","F","","","FP","FS","F","",""
811,6,"Breach Box",[0],[0],3530913759,"Breach Box","Boîte de brèche","Riss-Kiste","ブリーチの箱","균열의 상자","Caixa da Fenda","Коробка Разлома","Caja de fisura","Breach Box","裂痕匣盒","","F","F","","","F","FS","F","",""
812,6,"Primordial Harmony",[0],[0],645442286,"Primordial Harmony","Harmonie primordiale","Urzeitliche Harmonie","原初の調和","태고의 조화","Harmonia Primordial","Первородная гармония","Armonía primordial","Primordial Harmony","先祖和諧","","F","F","","","F","FS","F","",""
813,6,"Primordial Might",[0],[0],3384106338,"Primordial Might","Puissance primordiale","Urzeitliche Macht","原初の力","태고의 완력","Poder Primordial","Первородная мощь","Poder primordial","Primordial Might","先祖力量","","F","F","","","M","FS","M","",""
814,6,"Replica Primordial Might",[0],[0],2766580983,"Replica Primordial Might","Réplique de Puissance primordiale","Replik: Urzeitliche Macht","原初の力（レプリカ）","태고의 완력 모조품","Réplica: Poder Primordial","Копия Первородной мощи","Poder primordial (réplica)","Replica Primordial Might","贗品．先祖力量","","F","F","","","F","FS","M","",""
815,6,"Primordial Eminence",[0],[0],2145917868,"Primordial Eminence","Supériorité primordiale","Urzeitliches Ansehen","原初の卓越","태고의 고귀","Eminência Primordial","Первородное господство","Eminencia primordial","Primordial Eminence","先祖卓越","","F","N","","","F","NS","F","",""
816,6,"The Anima Stone",[0],[0],2935002072,"The Anima Stone","La Pierre d'anima","Anima-Stein","魂の石","생명의 돌","A Pedra Anima","Камень внутренней сути","La piedra de alma","The Anima Stone","聚魂石","","F","M","","","F","MS","F","",""
817,6,"The Coming Calamity",[0],[0],2175498109,"The Coming Calamity","Le Désastre annoncé","Das nahende Unheil","迫り来る災難","다가오는 대재난","Futura Calamidade","Грядущее бедствие","La calamidad en camino","The Coming Calamity","災難臨頭","","M","N","","","F","NS","F","",""
818,6,"Bisco's Collar",[0],[0],2832225247,"Bisco's Collar","Collier de Bisco","Biscos Halskette","ビスコの首輪","비스코의 목걸이","Colar de Bisco","Ошейник Биско","Collar de Bisco","Bisco's Collar","畢斯寇的項圈","","M","F","","","M","MS","M","",""
819,6,"Inpulsa's Broken Heart",[0],[0],3476278438,"Inpulsa's Broken Heart","Cœur brisé d'Inpulsa","Inpulsas gebrochenes Herz","インパルサの壊れた心","인펄사의 상심","Coração Partido de Inpulsa","Разбитое сердце Инпульсы","El corazón roto de Inpulsa","Inpulsa's Broken Heart","印卜薩的心碎","","M","N","","","M","NS","M","",""
820,6,"Xoph's Nurture",[0],[0],1905594471,"Xoph's Nurture","Combustion de Xoph","Xophs Pflege","ゾフの育み","조프의 보살핌","Criação de Xoph","Взращение Ксофа","Crianza de Xoph","Xoph's Nurture","索伏的愛撫","","F","F","","","F","NS","F","",""
821,6,"Xoph's Inception",[0],[0],2062105737,"Xoph's Inception","Commencement de Xoph","Xophs Auftakt","ゾフの発端","조프의 시초","Origem de Xoph","Начинание Ксофа","Incepción de Xoph","Xoph's Inception","索伏的始源","","M","M","","","F","NS","F","",""
822,6,"The Formless Flame",[0],[0],4287708180,"The Formless Flame","La Flamme informe","Die gestaltlose Flamme","形なき炎","무형의 불꽃","Chama Disforme","Бесформенное пламя","La llama sin forma","The Formless Flame","無形火炬","","F","F","","","F","NS","F","",""
823,6,"The Formless Inferno",[0],[0],3677558111,"The Formless Inferno","La Fournaise informe","Das gestaltlose Inferno","形なき大火","무형의 지옥불","Inferno Disforme","Бесформенное пекло","El infierno sin forma","The Formless Inferno","無形煉獄","","F","N","","","M","NS","M","",""
824,6,"Xoph's Heart",[0],[0],1027202250,"Xoph's Heart","Cœur de Xoph","Xophs Herz","ゾフの心臓","조프의 심장","Coração de Xoph","Сердце Ксофа","Corazón de Xoph","Xoph's Heart","索伏之心","","M","N","","","M","NS","M","",""
825,6,"Xoph's Blood",[0],[0],2162943427,"Xoph's Blood","Sang de Xoph","Xophs Blut","ゾフの血","조프의 피","Sangue de Xoph","Кровь Ксофа","Sangre de Xoph","Xoph's Blood","索伏之血","","M","N","","","M","FS","F","",""
826,6,"Tulborn",[0],[0],4152382396,"Tulborn","Formation de Tul","Tuls Geburt","トゥルボーン","툴의 탄생","Nascimento de Tul","Узы Тул","Nacimiento de Tul","Tulborn","托沃崩","","F","F","","","M","MP","M","",""
827,6,"Tulfall",[0],[0],3268815172,"Tulfall","Chute de Tul","Tuls Fall","トゥルフォール","툴의 몰락","Queda de Tul","Падение Тул","Caída de Tul","Tulfall","托沃臥","","F","M","","","F","NS","F","",""
828,6,"Replica Tulfall",[0],[0],1987744974,"Replica Tulfall","Réplique de la Chute de Tul","Replik: Tuls Fall","トゥルフォール（レプリカ）","툴의 몰락 모조품","Réplica: Queda de Tul","Копия Падения Тул","Caída de Tul (réplica)","Replica Tulfall","贗品．托沃臥","","F","F","","","F","FS","F","",""
829,6,"The Snowblind Grace",[0],[0],1669107331,"The Snowblind Grace","La Grâce éblouissante","Schneeblinde Anmut","スノーブラインドの優美","설맹의 은총","Graça do Nevoeiro","Дар снежной слепоты","La gracia bajo la nieve","The Snowblind Grace","雪盲恩惠","","F","F","","","F","MS","F","",""
830,6,"The Perfect Form",[0],[0],3585945850,"The Perfect Form","La Forme parfaite","Die vollendete Form","完璧な姿","완벽한 구조","Forma Perfeita","Идеальная форма","La forma perfecta","The Perfect Form","完美姿態","","F","F","","","F","FS","F","",""
831,6,"Replica Perfect Form",[0],[0],2040462303,"Replica Perfect Form","Réplique de La Forme parfaite","Replik: Die vollendete Form","完璧な姿（レプリカ）","완벽한 구조 모조품","Réplica: Forma Perfeita","Копия Идеальной формы","La forma perfecta (réplica)","Replica Perfect Form","贗品．完美姿態","","F","F","","","F","FS","F","",""
832,6,"The Halcyon",[0],[0],505556976,"The Halcyon","Sérénité","Eisvogel","ハルシオン","평온","O Halcyon","Алкион","El Halcyon","The Halcyon","太平","","F","M","","","M","MS","M","",""
833,6,"The Pandemonius",[0],[0],2388885351,"The Pandemonius","Tumulte","Der Pandemonius","パンデモニアス","대혼란","O Pandemônio","Обитель демонов","El Pandemonius","The Pandemonius","群魔殿","","M","M","","","M","FS","M","",""
834,6,"Hand of Thought and Motion",[0],[0],757677609,"Hand of Thought and Motion","Main de Pensée et de Mouvement","Hand der Gedanken und Bewegung","思考と動作の手","사고와 움직임의 손아귀","Mão do Pensar e Mover","Длань мысли и движения","Mano de mente y movimiento","Hand of Thought and Motion","思動之手","","F","F","","","F","FS","F","",""
835,6,"Hand of Wisdom and Action",[0],[0],1364544036,"Hand of Wisdom and Action","Main de Sagesse et d'Action","Hand der Weisheit und Tatkraft","知恵と行動の手","지혜와 행동의 손아귀","Mão do Saber e Agir","Длань мудрости и деяния","Mano de sabiduría y acción","Hand of Wisdom and Action","智行之手","","F","F","","","F","FS","F","",""
836,6,"Esh's Mirror",[0],[0],47341826,"Esh's Mirror","Miroir d'Esh","Eshs Spiegel","エシュの鏡","에쉬의 거울","Espelho de Esh","Зеркало Иш","Espejo de Esh","Esh's Mirror","艾許之鏡","","M","M","","","M","NS","M","",""
837,6,"Esh's Visage",[0],[0],1879297628,"Esh's Visage","Visage d'Esh","Eshs Antlitz","エシュの容貌","에쉬의 얼굴","Visão de Esh","Личина Иш","Rostro de Esh","Esh's Visage","艾許之面","","M","N","","","F","FS","M","",""
838,6,"Voice of the Storm",[0],[0],2936670144,"Voice of the Storm","Voix de l'Orage","Stimme des Sturms","嵐の声","태풍의 목소리","Voz da Tormenta","Глас бури","Voz de la tormenta","Voice of the Storm","暴風之言","","F","F","","","F","MS","F","",""
839,6,"Choir of the Storm",[0],[0],311720729,"Choir of the Storm","Chœur de l'Orage","Chor des Sturms","嵐の合唱","태풍의 합창","Coro da Tormenta","Хор бури","Coro de la tormenta","Choir of the Storm","暴風之語","","M","M","","","M","MS","M","",""
840,6,"The Infinite Pursuit",[0],[0],51736892,"The Infinite Pursuit","La Poursuite infinie","Das endlose Streben","無限の追跡","끝없는 추적","Busca Infinita","Бесконечная погоня","La persecución infinita","The Infinite Pursuit","無盡之距","","F","N","","","F","FS","F","",""
841,6,"The Red Trail",[0],[0],607357714,"The Red Trail","Le Sillon rouge","Der rote Pfad","赤い足跡","붉은 발자취","Trilha Vermelha","Красный след","El rastro rojo","The Red Trail","赤紅蹤跡","","M","M","","","F","MS","M","",""
842,6,"Replica Red Trail",[0],[0],3621899990,"Replica Red Trail","Réplique du Sillon rouge","Replik: Der rote Pfad","赤い足跡（レプリカ）","붉은 발자취 모조품","Réplica: Trilha Vermelha","Копия Красного следа","El rastro rojo (réplica)","Replica Red Trail","贗品．赤紅蹤跡","","F","F","","","F","FS","M","",""
843,6,"Uul-Netol's Kiss",[0],[0],3465955297,"Uul-Netol's Kiss","Baiser d'Uul-Netol","Uul-Netols Kuss","ウール・ネトルの口づけ","울네톨의 입맞춤","Beijo de Uul-Netol","Поцелуй Уул-Нетол","Beso de Uul-Netol","Uul-Netol's Kiss","烏爾尼多之吻","","M","M","","","M","MS","M","",""
844,6,"Uul-Netol's Embrace",[0],[0],2043676306,"Uul-Netol's Embrace","Étreinte d'Uul-Netol","Uul-Netols Umarmung","ウール・ネトルの抱擁","울네톨의 포옹","Abraço de Uul-Netol","Объятия Уул-Нетол","Abrazo de Uul-Netol","Uul-Netol's Embrace","烏爾尼多的擁抱","","F","F","","","M","NP","M","",""
845,6,"The Anticipation",[0],[0],3510947574,"The Anticipation","L'Anticipation","Die Vorahnung","期待","기대","A Antecipação","Предвкушение","La anticipación","The Anticipation","懸念","","F","F","","","F","NS","F","",""
846,6,"The Surrender",[0],[0],3386181525,"The Surrender","La Reddition","Die Hingabe","降参","포기","A Rendição","Отречение","La rendición","The Surrender","降伏","","F","F","","","F","NS","F","",""
847,6,"Severed in Sleep",[0],[0],2529200772,"Severed in Sleep","Séparés par le Sommeil","Im Schlaf durchtrennt","眠りの中の断裂","야습","Decepado no Sono","Разорванные во сне","Amputado al dormir","Severed in Sleep","離異夢寐","","MP","N","","","M","NP","M","",""
848,6,"United in Dream",[0],[0],2671695813,"United in Dream","Unis dans le Songe","Im Traum vereint","夢の中の団結","꿈속의 연합","Unidos no Sonho","Слившиеся во сне","Unido en sueños","United in Dream","合流夢寐","","MP","N","","","MP","NP","M","",""
849,6,"Skin of the Loyal",[0],[0],2785761058,"Skin of the Loyal","Peau des Fidèles","Haut der Ergebenen","忠臣の皮膚","충신의 가죽","Pele dos Leais","Кожа верных","Piel del leal","Skin of the Loyal","忠誠之膚","","F","F","","","F","FS","F","",""
850,6,"Skin of the Lords",[0],[0],3343492647,"Skin of the Lords","Peau des Seigneurs","Haut der Fürsten","君主の皮膚","군주의 가죽","Pele dos Lordes","Кожа Повелителей","Piel de los señores","Skin of the Lords","君主之膚","","F","F","","","F","FS","F","",""
851,6,"The Red Dream",[0],[0],2515031695,"The Red Dream","Le Songe rouge","Der rote Traum","赤い夢","붉은 꿈","O Sonho Vermelho","Красный сон","El sueño rojo","The Red Dream","赤影夢境","","M","M","","","M","MS","M","",""
852,6,"The Red Nightmare",[0],[0],960974412,"The Red Nightmare","Le Cauchemar rouge","Der rote Albtraum","赤い悪夢","붉은 악몽","O Pesadelo Vermelho","Красный кошмар","La pesadilla roja","The Red Nightmare","赤影夢魘","","M","M","","","M","MS","F","",""
853,6,"The Green Dream",[0],[0],158901293,"The Green Dream","Le Songe vert","Der grüne Traum","緑の夢","녹색 꿈","O Sonho Verde","Зеленый сон","El sueño verde","The Green Dream","青影夢境","","M","M","","","M","MS","M","",""
854,6,"The Green Nightmare",[0],[0],65777779,"The Green Nightmare","Le Cauchemar vert","Der grüne Albtraum","緑の悪夢","녹색 악몽","O Pesadelo Verde","Зеленый кошмар","La pesadilla verde","The Green Nightmare","青影夢魘","","M","M","","","M","MS","F","",""
855,6,"The Blue Dream",[0],[0],4247326323,"The Blue Dream","Le Songe bleu","Der blaue Traum","青い夢","파란 꿈","O Sonho Azul","Синий сон","El sueño azul","The Blue Dream","碧影夢境","","M","M","","","M","MS","M","",""
856,6,"The Blue Nightmare",[0],[0],275814826,"The Blue Nightmare","Le Cauchemar bleu","Der blaue Albtraum","青い悪夢","파란 악몽","O Pesadelo Azul","Синий кошмар","La pesadilla azul","The Blue Nightmare","碧影夢魘","","M","M","","","M","MS","F","",""
857,6,"Tukohama's Fortress",[0],[0],1620020553,"Tukohama's Fortress","Forteresse de Tukohama","Tukohamas Feste","トゥコハマの要塞","투코하마의 요새","Fortaleza de Tukohama","Твердыня Тукохамы","Fortaleza de Tukohama","Tukohama's Fortress","圖克哈瑪堡壘","","F","F","","","F","FS","F","",""
858,6,"Replica Tukohama's Fortress",[0],[0],3166513119,"Replica Tukohama's Fortress","Réplique de la Forteresse de Tukohama","Replik: Tukohamas Feste","トゥコハマの要塞（レプリカ）","투코하마의 요새 모조품","Réplica: Fortaleza de Tukohama","Копия Твердыни Тукохамы","Fortaleza de Tukohama (réplica)","Replica Tukohama's Fortress","贗品．圖克哈瑪堡壘","","F","F","","","F","FS","F","",""
859,6,"Soul Tether",[0],[0],552666132,"Soul Tether","Lanière animique","Seelenleine","魂を繋ぐ綱","영혼 올가미","Corrente Espiritual","Оковы души","Atadura de alma","Soul Tether","靈魂束縛","","F","F","","","F","MP","F","",""
860,6,"Replica Soul Tether",[0],[0],321474055,"Replica Soul Tether","Réplique de la Lanière animique","Replik: Seelenleine","魂を繋ぐ綱（レプリカ）","영혼 올가미 모조품","Réplica: Corrente Espiritual","Копия Оков души","Atadura de alma (réplica)","Replica Soul Tether","贗品．靈魂束縛","","F","F","","","F","FS","F","",""
861,6,"Angler's Plait",[0],[0],3732217491,"Angler's Plait","Tresse du Pêcheur","Anglerknoten","釣り師の編み","낚시꾼의 고리","Laço do Pescador","Извив рыбака","Trenza de pescador","Angler's Plait","漁夫之辮","","F","M","","","M","MS","F","",""
862,6,"Haemophilia",[0],[0],3900864319,"Haemophilia","Hémophilie","Hämophilie","ヘモフィリア","혈우병","Hemofilia","Гемофилия","Hemofilia","Haemophilia","逆凝之血","","F","F","","","F","FS","F","",""
863,6,"The Baron",[0],[0],1187271409,"The Baron","Le Baron","Der Baron","男爵","남작","O Barão","Барон","El barón","The Baron","男爵","","M","M","","","M","MS","M","",""
864,6,"Ahn's Heritage",[0],[0],3488858010,"Ahn's Heritage","Héritage d'Ahn","Ahns Erbe","アンの遺産","안의 유산","Herança de Ahn","Наследие Ахна","Herencia de Ahn","Ahn's Heritage","漢恩的遺產","","M","N","","","F","NS","F","",""
