"rownum","BaseItemTypesKey","Variation_AOFiles","IsNonMasterDoodad","InheritsFrom","bool","IsCraftingBench","Tags","bool","rid","Category","i32","bool","rid","bool","rid"
155,7538,"[""Metadata/Terrain/Doodads/SpiderGrove/grove_spider_doodads_bone_01.ao"",""Metadata/Terrain/Doodads/SpiderGrove/grove_spider_doodads_bone_06.ao"",""Metadata/Terrain/Doodads/SpiderGrove/grove_spider_doodads_bonepile_v01_01.ao"",""Metadata/Terrain/Doodads/SpiderGrove/grove_spider_doodads_bonepile_v02_01.ao"",""Metadata/Terrain/Doodads/SpiderGrove/grove_spider_doodads_bonepile_v07_01.ao"",""Metadata/Terrain/Doodads/SpiderGrove/grove_spider_doodads_ground_v01_01.ao"",""Metadata/Terrain/Doodads/SpiderGrove/grove_spider_doodads_ground_v01_02.ao"",""Metadata/Terrain/Doodads/SpiderGrove/grove_spider_doodads_ground_v01_03.ao"",""Metadata/Terrain/Doodads/SpiderGrove/grove_spider_doodads_ground_v01_04.ao"",""Metadata/Terrain/Doodads/SpiderGrove/grove_spider_doodads_ground_v01_05.ao"",""Metadata/Terrain/Doodads/SpiderGrove/grove_spider_doodads_ground_v01_06.ao"",""Metadata/Terrain/Doodads/SpiderGrove/grove_spider_doodads_skull_v01_01.ao""]","","Metadata/MiscellaneousObjects/HideoutDoodad",1,"","[28,5]",1,"",54,0,"","",1,""
156,7539,"[""Metadata/Terrain/Doodads/SpiderGrove/grove_spider_doodads_v01_01.ao"",""Metadata/Terrain/Doodads/SpiderGrove/grove_spider_doodads_v01_02.ao"",""Metadata/Terrain/Doodads/SpiderGrove/grove_spider_doodads_v01_03.ao"",""Metadata/Terrain/Doodads/SpiderGrove/grove_spider_doodads_v01_04.ao"",""Metadata/Terrain/Doodads/SpiderGrove/grove_spider_doodads_v01_05.ao"",""Metadata/Terrain/Doodads/SpiderGrove/grove_spider_doodads_v01_06.ao""]","","Metadata/MiscellaneousObjects/HideoutDoodad",1,"","[4,5]",1,"",54,0,"","",1,""
157,7540,"[""Metadata/Terrain/Doodads/SpiderGrove/grove_spider_doodads_whole_v01_04.ao"",""Metadata/Terrain/Doodads/SpiderGrove/grove_spider_doodads_whole_v01_01.ao"",""Metadata/Terrain/Doodads/SpiderGrove/grove_spider_doodads_whole_v01_02.ao"",""Metadata/Terrain/Doodads/SpiderGrove/grove_spider_doodads_whole_v01_03.ao"",""Metadata/Terrain/Doodads/SpiderGrove/grove_spider_doodads_whole_v01_05.ao"",""Metadata/Terrain/Doodads/SpiderGrove/grove_spider_doodads_whole_v01_06.ao"",""Metadata/Terrain/Doodads/SpiderGrove/grove_spider_doodads_whole_v01_07.ao""]","","Metadata/MiscellaneousObjects/HideoutDoodad",1,"","[28,5]",1,"",54,0,"","",1,""
158,7541,"[""Metadata/Terrain/Doodads/TempleDungeon/templedoodads_bookshelfmedium.ao"",""Metadata/Terrain/Doodads/TempleDungeon/templedoodads_bookshelfbig.ao"",""Metadata/Terrain/Doodads/TempleDungeon/templedoodads_bookshelfsmall.ao"",""Metadata/Terrain/Doodads/TempleDungeon/LunarisWater/templedoodads_bookshelfmedium.ao"",""Metadata/Terrain/Doodads/TempleDungeon/LunarisWater/templedoodads_bookshelfbig.ao"",""Metadata/Terrain/Doodads/TempleDungeon/LunarisWater/templedoodads_bookshelfsmall.ao""]","","Metadata/MiscellaneousObjects/HideoutDoodad",1,"",[6],1,"",110,0,"","",1,""
159,7542,"[""Metadata/Terrain/Doodads/TempleDungeon/templedoodads_chair.ao"",""Metadata/Terrain/Doodads/TempleDungeon/templedoodads_chair2.ao"",""Metadata/Terrain/Doodads/TempleDungeon/templedoodads_chair3.ao"",""Metadata/Terrain/Doodads/TempleDungeon/templedoodads_chair4.ao"",""Metadata/Terrain/Doodads/TempleDungeon/templedoodads_chair5.ao"",""Metadata/Terrain/Doodads/TempleDungeon/LunarisWater/templedoodads_chair.ao"",""Metadata/Terrain/Doodads/TempleDungeon/LunarisWater/templedoodads_chair2.ao"",""Metadata/Terrain/Doodads/TempleDungeon/LunarisWater/templedoodads_chair3.ao"",""Metadata/Terrain/Doodads/TempleDungeon/LunarisWater/templedoodads_chair4.ao"",""Metadata/Terrain/Doodads/TempleDungeon/LunarisWater/templedoodads_chair5.ao""]","","Metadata/MiscellaneousObjects/HideoutDoodad",1,"",[6],1,"",110,0,"","",1,""
160,7543,"[""Metadata/Terrain/Doodads/TempleDungeon/templedoodads_divider1.ao"",""Metadata/Terrain/Doodads/TempleDungeon/templedoodads_divider2.ao"",""Metadata/Terrain/Doodads/TempleDungeon/templedoodads_divider3.ao"",""Metadata/Terrain/Doodads/TempleDungeon/LunarisWater/templedoodads_divider1.ao"",""Metadata/Terrain/Doodads/TempleDungeon/LunarisWater/templedoodads_divider2.ao"",""Metadata/Terrain/Doodads/TempleDungeon/LunarisWater/templedoodads_divider3.ao""]","","Metadata/MiscellaneousObjects/HideoutDoodad",1,"",[6],1,"",110,0,"","",1,""
161,7544,"[""Metadata/Terrain/Doodads/TempleDungeon/templedoodads_drawing_table3.ao"",""Metadata/Terrain/Doodads/TempleDungeon/LunarisWater/templedoodads_drawing_table3.ao""]","","Metadata/MiscellaneousObjects/HideoutDoodad",1,"",[6],1,"",110,0,"","",1,""
162,7545,"[""Metadata/Terrain/Doodads/TempleDungeon/temple_hanging_lamp.ao"",""Metadata/Terrain/Doodads/TempleDungeon/temple_hanging_lamp_nolight_nofire.ao"",""Metadata/Terrain/Doodads/TempleDungeon/LunarisWater/temple_hanging_lamp.ao"",""Metadata/Terrain/Doodads/TempleDungeon/LunarisWater/temple_hanging_lamp_nolight_nofire.ao"",""Metadata/Terrain/Doodads/TempleDungeon/temple_hanging_lamp_higher_lit.ao"",""Metadata/Terrain/Doodads/TempleDungeon/temple_hanging_lamp_higher.ao""]","","Metadata/MiscellaneousObjects/HideoutDoodad",1,"",[17],1,"",110,0,"","",1,""
163,7546,"[""Metadata/Terrain/Doodads/TempleDungeon/templedoodads_mat_round.ao"",""Metadata/Terrain/Doodads/TempleDungeon/templedoodads_mat1.ao"",""Metadata/Terrain/Doodads/TempleDungeon/templedoodads_mat2.ao"",""Metadata/Terrain/Doodads/TempleDungeon/LunarisWater/templedoodads_mat_round.ao"",""Metadata/Terrain/Doodads/TempleDungeon/LunarisWater/templedoodads_mat1.ao"",""Metadata/Terrain/Doodads/TempleDungeon/LunarisWater/templedoodads_mat2.ao""]","","Metadata/MiscellaneousObjects/HideoutDoodad",1,"",[18],1,"",110,0,"","",1,""
164,7547,"[""Metadata/Terrain/Doodads/TempleDungeon/Banners/banner07.ao"",""Metadata/Terrain/Doodads/TempleDungeon/Banners/Banner05.ao"",""Metadata/Terrain/Doodads/TempleDungeon/Banners/solaris_04.ao"",""Metadata/Terrain/Doodads/TempleDungeon/Banners/lunaris_07.ao"",""Metadata/Terrain/Doodads/TempleDungeon/Banners/lunaris_05.ao"",""Metadata/Terrain/Doodads/TempleDungeon/Banners/banner04.ao"",""Metadata/Terrain/Doodads/TempleDungeon/Banners/dominus_07.ao"",""Metadata/Terrain/Doodads/TempleDungeon/Banners/banner06.ao"",""Metadata/Terrain/Doodads/TempleDungeon/Banners/banner07_lunariswater.ao"",""Metadata/Terrain/Doodads/TempleDungeon/Banners/Banner05_lunariswater.ao"",""Metadata/Terrain/Doodads/TempleDungeon/Banners/banner04_lunariswater.ao"",""Metadata/Terrain/Doodads/TempleDungeon/Banners/templar_07.ao"",""Metadata/Terrain/Doodads/TempleDungeon/Banners/templar_04.ao""]","","Metadata/MiscellaneousObjects/HideoutDoodad",1,"",[31],1,"",110,0,"","",1,""
165,7548,"[""Metadata/Terrain/Doodads/TempleDungeon/templedoodads_basin.ao"",""Metadata/Terrain/Doodads/TempleDungeon/templedoodads_basin_fire.ao"",""Metadata/Terrain/Doodads/TempleDungeon/LunarisWater/templedoodads_basin.ao"",""Metadata/Terrain/Doodads/TempleDungeon/LunarisWater/templedoodads_basin_fire.ao""]","","Metadata/MiscellaneousObjects/HideoutDoodad",1,"",[17],1,"",110,0,"","",1,""
166,7549,"[""Metadata/Terrain/Doodads/TempleDungeon/templedoodads_bookpile1.ao"",""Metadata/Terrain/Doodads/TempleDungeon/templedoodads_bookpile2.ao""]","","Metadata/MiscellaneousObjects/HideoutDoodad",1,"",[19],1,"",81,0,"","",1,""
167,7550,"[""Metadata/Terrain/Doodads/TempleDungeon/templedoodads_longtable.ao"",""Metadata/Terrain/Doodads/TempleDungeon/LunarisWater/templedoodads_longtable.ao""]","","Metadata/MiscellaneousObjects/HideoutDoodad",1,"",[6],1,"",110,0,"","",1,""
168,7551,"[""Metadata/Terrain/Doodads/TempleDungeon/templedoodads_stool.ao"",""Metadata/Terrain/Doodads/TempleDungeon/templedoodads_hotdogpillow1.ao"",""Metadata/Terrain/Doodads/TempleDungeon/templedoodads_sofapillow1.ao"",""Metadata/Terrain/Doodads/TempleDungeon/LunarisWater/templedoodads_stool.ao"",""Metadata/Terrain/Doodads/TempleDungeon/LunarisWater/templedoodads_hotdogpillow1.ao"",""Metadata/Terrain/Doodads/TempleDungeon/LunarisWater/templedoodads_sofapillow1.ao""]","","Metadata/MiscellaneousObjects/HideoutDoodad",1,"",[6],1,"",110,0,"","",1,""
169,7552,"[""Metadata/Terrain/Doodads/TempleDungeon/templedoodads_tea.ao"",""Metadata/Terrain/Doodads/TempleDungeon/LunarisWater/templedoodads_tea.ao""]","","Metadata/MiscellaneousObjects/HideoutDoodad",1,"",[6],1,"",110,0,"","",1,""
170,7553,"[""Metadata/Terrain/Doodads/TempleDungeon/templedoodads_torture_divider.ao"",""Metadata/Terrain/Doodads/TempleDungeon/LunarisWater/templedoodads_torture_divider.ao""]","","Metadata/MiscellaneousObjects/HideoutDoodad",1,"","[24,6]",1,"",110,0,"","",1,""
171,7554,"[""Metadata/Terrain/Doodads/TempleDungeon/templedoodads_ornate_chair.ao"",""Metadata/Terrain/Doodads/TempleDungeon/templedoodads_high_chair.ao"",""Metadata/Terrain/Doodads/TempleDungeon/LunarisWater/templedoodads_ornate_chair.ao"",""Metadata/Terrain/Doodads/TempleDungeon/LunarisWater/templedoodads_high_chair.ao""]","","Metadata/MiscellaneousObjects/HideoutDoodad",1,"",[6],1,"",110,0,"","",1,""
172,7555,"[""Metadata/Terrain/Doodads/RuinedTempleDungeon/templedirty_doodads_banner1.ao"",""Metadata/Terrain/Doodads/RuinedTempleDungeon/templedirty_doodads_banner2.ao"",""Metadata/Terrain/Doodads/RuinedTempleDungeon/templedirty_doodads_banner3.ao"",""Metadata/Terrain/Doodads/RuinedTempleDungeon/templedirty_doodads_banner_broken.ao"",""Metadata/Terrain/Doodads/RuinedTempleDungeon/templedirty_doodads_banner_broken_02.ao"",""Metadata/Terrain/Doodads/RuinedTempleDungeon/templedirty_doodads_banner_broken_03.ao"",""Metadata/Terrain/Doodads/RuinedTempleDungeon/templedirty_doodads_banner_empty_01.ao"",""Metadata/Terrain/Doodads/RuinedTempleDungeon/templedirty_doodads_banner_empty_02.ao"",""Metadata/Terrain/Doodads/RuinedTempleDungeon/templedirty_doodads_banner_empty_03.ao"",""Metadata/Terrain/Doodads/TempleDungeon/Banners/ragged_07.ao"",""Metadata/Terrain/Doodads/TempleDungeon/Banners/ragged_05.ao"",""Metadata/Terrain/Doodads/TempleDungeon/Banners/ragged_07c.ao"",""Metadata/Terrain/Doodads/TempleDungeon/Banners/ragged_04.ao"",""Metadata/Terrain/Doodads/TempleDungeon/Banners/ragged_07b.ao""]","","Metadata/MiscellaneousObjects/HideoutDoodad",1,"",[31],1,"",24,0,"","",1,""
173,7556,"[""Metadata/Terrain/Doodads/RuinedTempleDungeon/templedirty_doodads_basin.ao"",""Metadata/Terrain/Doodads/RuinedTempleDungeon/templedirty_doodads_basin_broken_01.ao"",""Metadata/Terrain/Doodads/RuinedTempleDungeon/templedirty_doodads_basin_broken_02.ao"",""Metadata/Terrain/Doodads/RuinedTempleDungeon/templedirty_doodads_basin_broken_03.ao"",""Metadata/Terrain/Doodads/RuinedTempleDungeon/templedirty_doodads_basin_fire.ao""]","","Metadata/MiscellaneousObjects/HideoutDoodad",1,"",[17],1,"",24,0,"","",1,""
174,7557,"[""Metadata/Terrain/Doodads/RuinedTempleDungeon/templedirty_doodads_bookshelfmedium.ao"",""Metadata/Terrain/Doodads/RuinedTempleDungeon/templedirty_doodads_bookshelfmedium1.ao"",""Metadata/Terrain/Doodads/RuinedTempleDungeon/templedirty_doodads_bookshelfbig.ao"",""Metadata/Terrain/Doodads/RuinedTempleDungeon/templedirty_doodads_bookshelfbig1.ao"",""Metadata/Terrain/Doodads/RuinedTempleDungeon/templedirty_doodads_bookshelfsmall.ao"",""Metadata/Terrain/Doodads/RuinedTempleDungeon/templedirty_doodads_bookshelfsmall1.ao""]","","Metadata/MiscellaneousObjects/HideoutDoodad",1,"",[6],1,"",24,0,"","",1,""
175,7558,"[""Metadata/Terrain/Doodads/RuinedTempleDungeon/templedirty_doodads_chair.ao"",""Metadata/Terrain/Doodads/RuinedTempleDungeon/templedirty_doodads_chair2.ao"",""Metadata/Terrain/Doodads/RuinedTempleDungeon/templedirty_doodads_chair3.ao"",""Metadata/Terrain/Doodads/RuinedTempleDungeon/templedirty_doodads_chair4.ao"",""Metadata/Terrain/Doodads/RuinedTempleDungeon/templedirty_doodads_chair5.ao"",""Metadata/Terrain/Doodads/RuinedTempleDungeon/templedirty_doodads_chair_broken_01.ao"",""Metadata/Terrain/Doodads/RuinedTempleDungeon/templedirty_doodads_chair_broken_02.ao"",""Metadata/Terrain/Doodads/RuinedTempleDungeon/templedirty_doodads_chair_broken_03.ao"",""Metadata/Terrain/Doodads/RuinedTempleDungeon/templedirty_doodads_chair2_broken_01.ao"",""Metadata/Terrain/Doodads/RuinedTempleDungeon/templedirty_doodads_chair2_broken_02.ao"",""Metadata/Terrain/Doodads/RuinedTempleDungeon/templedirty_doodads_chair2_broken_03.ao"",""Metadata/Terrain/Doodads/RuinedTempleDungeon/templedirty_doodads_chair3_broken_01.ao"",""Metadata/Terrain/Doodads/RuinedTempleDungeon/templedirty_doodads_chair3_broken_02.ao"",""Metadata/Terrain/Doodads/RuinedTempleDungeon/templedirty_doodads_chair3_broken_03.ao""]","","Metadata/MiscellaneousObjects/HideoutDoodad",1,"",[6],1,"",24,0,"","",1,""
176,7559,"[""Metadata/Terrain/Doodads/RuinedTempleDungeon/templedirty_doodads_divider1.ao"",""Metadata/Terrain/Doodads/RuinedTempleDungeon/templedirty_doodads_divider2.ao"",""Metadata/Terrain/Doodads/RuinedTempleDungeon/templedirty_doodads_divider3.ao"",""Metadata/Terrain/Doodads/RuinedTempleDungeon/templedoodads_divider4.ao"",""Metadata/Terrain/Doodads/RuinedTempleDungeon/templedoodads_divider5.ao"",""Metadata/Terrain/Doodads/RuinedTempleDungeon/templedoodads_divider6.ao""]","","Metadata/MiscellaneousObjects/HideoutDoodad",1,"",[6],1,"",24,0,"","",1,""
177,7560,"[""Metadata/Terrain/Doodads/RuinedTempleDungeon/templedirty_doodads_floor_v02_01.ao"",""Metadata/Terrain/Doodads/RuinedTempleDungeon/templedirty_doodads_floor_v02_02.ao"",""Metadata/Terrain/Doodads/RuinedTempleDungeon/templedirty_doodads_floor_v02_03.ao"",""Metadata/Terrain/Doodads/RuinedTempleDungeon/templedirty_doodads_floor_v02_04.ao"",""Metadata/Terrain/Doodads/RuinedTempleDungeon/templedirty_doodads_floor_v02_05.ao"",""Metadata/Terrain/Doodads/RuinedTempleDungeon/templedirty_doodads_floor_v02_08.ao"",""Metadata/Terrain/Doodads/RuinedTempleDungeon/templedirty_doodads_floor_v02_09.ao"",""Metadata/Terrain/Doodads/RuinedTempleDungeon/templedirty_doodads_floor_v02_010.ao"",""Metadata/Terrain/Doodads/RuinedTempleDungeon/templedirty_doodads_floor_v02_011.ao"",""Metadata/Terrain/Doodads/RuinedTempleDungeon/templedirty_doodads_floor_v03_02.ao"",""Metadata/Terrain/Doodads/RuinedTempleDungeon/templedirty_doodads_floor_v03_03.ao"",""Metadata/Terrain/Doodads/RuinedTempleDungeon/templedirty_doodads_floor_v03_04.ao"",""Metadata/Terrain/Doodads/RuinedTempleDungeon/templedirty_doodads_floor_v03_05.ao"",""Metadata/Terrain/Doodads/RuinedTempleDungeon/templedirty_doodads_floor_v03_06.ao"",""Metadata/Terrain/Doodads/RuinedTempleDungeon/templedirty_doodads_floor_v03_07.ao"",""Metadata/Terrain/Doodads/RuinedTempleDungeon/templedirty_doodads_floor_v03_08.ao"",""Metadata/Terrain/Doodads/RuinedTempleDungeon/templedirty_doodads_floor_v03_09.ao"",""Metadata/Terrain/Doodads/RuinedTempleDungeon/templedirty_doodads_floor_v03_010.ao""]","","Metadata/MiscellaneousObjects/HideoutDoodad",1,"",[19],1,"",24,0,"","",1,""
178,7561,"[""Metadata/Terrain/Doodads/RuinedTempleDungeon/templedirty_doodads_halfround_sofabed.ao""]","","Metadata/MiscellaneousObjects/HideoutDoodad",1,"",[6],1,"",24,0,"","",1,""
179,7562,"[""Metadata/Terrain/Doodads/RuinedTempleDungeon/templedirty_doodads_longtable_01.ao"",""Metadata/Terrain/Doodads/RuinedTempleDungeon/templedirty_doodads_longtable_broken_01.ao""]","","Metadata/MiscellaneousObjects/HideoutDoodad",1,"",[6],1,"",24,0,"","",1,""
180,7563,"[""Metadata/Terrain/Doodads/RuinedTempleDungeon/templedirty_doodads_mat1.ao"",""Metadata/Terrain/Doodads/RuinedTempleDungeon/templedirty_doodads_mat2.ao"",""Metadata/Terrain/Doodads/RuinedTempleDungeon/templedirty_doodads_mat2_broken.ao"",""Metadata/Terrain/Doodads/RuinedTempleDungeon/templedirty_doodads_mat2_broken_01.ao"",""Metadata/Terrain/Doodads/RuinedTempleDungeon/templedirty_doodads_mat2_broken_02.ao"",""Metadata/Terrain/Doodads/RuinedTempleDungeon/templedirty_doodads_mat2_broken_03.ao"",""Metadata/Terrain/Doodads/RuinedTempleDungeon/templedirty_doodads_mat3_broken.ao"",""Metadata/Terrain/Doodads/RuinedTempleDungeon/templedirty_doodads_mat3_broken_01.ao"",""Metadata/Terrain/Doodads/RuinedTempleDungeon/templedirty_doodads_mat3_broken_02.ao"",""Metadata/Terrain/Doodads/RuinedTempleDungeon/templedirty_doodads_mat3_broken_03.ao"",""Metadata/Terrain/Doodads/RuinedTempleDungeon/templedirty_doodads_mat_round.ao""]","","Metadata/MiscellaneousObjects/HideoutDoodad",1,"",[18],1,"",24,0,"","",1,""
181,7564,"[""Metadata/Terrain/Doodads/RuinedTempleDungeon/templedirty_doodads_ornate_chair.ao"",""Metadata/Terrain/Doodads/RuinedTempleDungeon/templedirty_doodads_ornate_chair_broken_01.ao"",""Metadata/Terrain/Doodads/RuinedTempleDungeon/templedirty_doodads_ornate_chair_broken_02.ao"",""Metadata/Terrain/Doodads/RuinedTempleDungeon/templedirty_doodads_ornate_chair_broken_03.ao""]","","Metadata/MiscellaneousObjects/HideoutDoodad",1,"",[6],1,"",24,0,"","",1,""
182,7565,"[""Metadata/Terrain/Doodads/RuinedTempleDungeon/templedirty_doodads_sofa.ao"",""Metadata/Terrain/Doodads/RuinedTempleDungeon/templedirty_doodads_sofa_broken_01.ao"",""Metadata/Terrain/Doodads/RuinedTempleDungeon/templedirty_doodads_sofa_broken_02.ao"",""Metadata/Terrain/Doodads/RuinedTempleDungeon/templedirty_doodads_sofa_broken_03.ao""]","","Metadata/MiscellaneousObjects/HideoutDoodad",1,"",[6],1,"",24,0,"","",1,""
183,7566,"[""Metadata/Terrain/Doodads/RuinedTempleDungeon/templedirty_doodads_sofabed.ao"",""Metadata/Terrain/Doodads/RuinedTempleDungeon/templedirty_doodads_sofabed_broken_01.ao"",""Metadata/Terrain/Doodads/RuinedTempleDungeon/templedirty_doodads_sofabed_broken_02.ao"",""Metadata/Terrain/Doodads/RuinedTempleDungeon/templedirty_doodads_sofabed_broken_03.ao""]","","Metadata/MiscellaneousObjects/HideoutDoodad",1,"",[6],1,"",24,0,"","",1,""
184,7567,"[""Metadata/Terrain/Doodads/RuinedTempleDungeon/templedirty_stand_lamp.ao"",""Metadata/Terrain/Doodads/RuinedTempleDungeon/templedirty_stand_lamp_fire.ao"",""Metadata/Terrain/Doodads/RuinedTempleDungeon/templedirty_stand_lamp_broken_01.ao"",""Metadata/Terrain/Doodads/RuinedTempleDungeon/templedirty_stand_lamp_broken_02.ao"",""Metadata/Terrain/Doodads/RuinedTempleDungeon/templedirty_stand_lamp_broken_03.ao""]","","Metadata/MiscellaneousObjects/HideoutDoodad",1,"",[6],1,"",24,0,"","",1,""
185,7568,"[""Metadata/Terrain/Doodads/RuinedTempleDungeon/templedirty_doodads_stool.ao"",""Metadata/Terrain/Doodads/RuinedTempleDungeon/templedirty_doodads_stool_broken_01.ao"",""Metadata/Terrain/Doodads/RuinedTempleDungeon/templedirty_doodads_stool_broken_02.ao"",""Metadata/Terrain/Doodads/RuinedTempleDungeon/templedirty_doodads_stool_broken_03.ao"",""Metadata/Terrain/Doodads/RuinedTempleDungeon/templedirty_doodads_sofapillow1.ao"",""Metadata/Terrain/Doodads/RuinedTempleDungeon/templedoodads_hotdogpillow1.ao""]","","Metadata/MiscellaneousObjects/HideoutDoodad",1,"",[6],1,"",24,0,"","",1,""
186,7569,"[""Metadata/Terrain/Doodads/RuinedTempleDungeon/map_orrery_v01_01.ao"",""Metadata/Terrain/Doodads/RuinedTempleDungeon/templedirty_doodads_table.ao"",""Metadata/Terrain/Doodads/RuinedTempleDungeon/templedirty_doodads_table_broken_01.ao"",""Metadata/Terrain/Doodads/RuinedTempleDungeon/templedirty_doodads_table_broken_02.ao"",""Metadata/Terrain/Doodads/RuinedTempleDungeon/templedirty_doodads_table_broken_03.ao"",""Metadata/Terrain/Doodads/RuinedTempleDungeon/templedirty_doodads_table_broken_04.ao"",""Metadata/Terrain/Doodads/RuinedTempleDungeon/templedirty_doodads_table_broken_05.ao"",""Metadata/Terrain/Doodads/RuinedTempleDungeon/templedirty_doodads_table_broken_06.ao""]","","Metadata/MiscellaneousObjects/HideoutDoodad",1,"",[6],1,"",24,0,"","",1,""
187,7570,"[""Metadata/Terrain/Doodads/RuinedTempleDungeon/templedirty_doodads_torture_device_07.ao""]","","Metadata/MiscellaneousObjects/HideoutDoodad",1,"",[6],1,"",24,0,"","",1,""
188,7571,"[""Metadata/Terrain/Doodads/RuinedTempleDungeon/templedirty_doodads_torture_longtable1.ao"",""Metadata/Terrain/Doodads/RuinedTempleDungeon/templedirty_doodads_torture_longtable2.ao"",""Metadata/Terrain/Doodads/RuinedTempleDungeon/templedirty_doodads_torture_longtable3.ao"",""Metadata/Terrain/Doodads/RuinedTempleDungeon/templedirty_doodads_torture_longtable4.ao""]","","Metadata/MiscellaneousObjects/HideoutDoodad",1,"",[6],1,"",24,0,"","",1,""
189,7572,"[""Metadata/Terrain/Doodads/TempleDungeon/templedoodads_sofa.ao"",""Metadata/Terrain/Doodads/TempleDungeon/templedoodads_sofabed.ao"",""Metadata/Terrain/Doodads/TempleDungeon/LunarisWater/templedoodads_sofa.ao"",""Metadata/Terrain/Doodads/TempleDungeon/LunarisWater/templedoodads_sofabed.ao""]","","Metadata/MiscellaneousObjects/HideoutDoodad",1,"",[6],1,"",110,0,"","",1,""
190,7573,"[""Metadata/Terrain/Doodads/TempleDungeon/templedoodads_halfround_sofabed.ao"",""Metadata/Terrain/Doodads/TempleDungeon/LunarisWater/templedoodads_halfround_sofabed.ao""]","","Metadata/MiscellaneousObjects/HideoutDoodad",1,"",[6],1,"",110,0,"","",1,""
191,7574,"[""Metadata/Terrain/Doodads/TempleDungeon/temple_stand_lamp.ao"",""Metadata/Terrain/Doodads/TempleDungeon/temple_stand_lamp_nolight_nofire.ao"",""Metadata/Terrain/Doodads/TempleDungeon/LunarisWater/temple_stand_lamp.ao"",""Metadata/Terrain/Doodads/TempleDungeon/LunarisWater/temple_stand_lamp_nolight_nofire.ao""]","","Metadata/MiscellaneousObjects/HideoutDoodad",1,"",[17],1,"",110,0,"","",1,""
192,7575,"[""Metadata/Terrain/Doodads/TempleDungeon/templedoodads_table.ao"",""Metadata/Terrain/Doodads/TempleDungeon/LunarisWater/templedoodads_table.ao""]","","Metadata/MiscellaneousObjects/HideoutDoodad",1,"",[6],1,"",110,0,"","",1,""
193,7576,"[""Metadata/Terrain/Doodads/TempleDungeon/templedoodads_tourture_brace_01.ao"",""Metadata/Terrain/Doodads/TempleDungeon/temple_gem_torture_device_01.ao"",""Metadata/Terrain/Doodads/TempleDungeon/LunarisWater/templedoodads_tourture_brace_01.ao"",""Metadata/Terrain/Doodads/TempleDungeon/LunarisWater/temple_gem_torture_device_01.ao""]","","Metadata/MiscellaneousObjects/HideoutDoodad",1,"",[6],1,"",41,0,"","",1,""
194,7577,"[""Metadata/Terrain/Doodads/TempleDungeon/temple_gem_torture_device_02.ao"",""Metadata/Terrain/Doodads/TempleDungeon/LunarisWater/temple_gem_torture_device_02.ao""]","","Metadata/MiscellaneousObjects/HideoutDoodad",1,"",[6],1,"",41,0,"","",1,""
195,7578,"[""Metadata/Terrain/Doodads/TempleDungeon/temple_gem_torture_device_03.ao"",""Metadata/Terrain/Doodads/TempleDungeon/LunarisWater/temple_gem_torture_device_03.ao""]","","Metadata/MiscellaneousObjects/HideoutDoodad",1,"",[6],1,"",41,0,"","",1,""
196,7579,"[""Metadata/Terrain/Doodads/TempleDungeon/templedoodads_torture_device_06.ao"",""Metadata/Terrain/Doodads/TempleDungeon/LunarisWater/templedoodads_torture_device_06.ao""]","","Metadata/MiscellaneousObjects/HideoutDoodad",1,"",[6],1,"",41,0,"","",1,""
197,7580,"[""Metadata/Terrain/Doodads/TempleDungeon/temple_gem_torture_device_07.ao"",""Metadata/Terrain/Doodads/TempleDungeon/LunarisWater/temple_gem_torture_device_07.ao""]","","Metadata/MiscellaneousObjects/HideoutDoodad",1,"",[6],1,"",41,0,"","",1,""
198,7581,"[""Metadata/Terrain/Doodads/TempleDungeon/templedoodads_torture_device_08.ao"",""Metadata/Terrain/Doodads/TempleDungeon/templedoodads_torture_device_09.ao"",""Metadata/Terrain/Doodads/TempleDungeon/temple_gem_torture_device_06.ao"",""Metadata/Terrain/Doodads/TempleDungeon/LunarisWater/templedoodads_torture_device_08.ao"",""Metadata/Terrain/Doodads/TempleDungeon/LunarisWater/templedoodads_torture_device_09.ao"",""Metadata/Terrain/Doodads/TempleDungeon/LunarisWater/temple_gem_torture_device_06.ao""]","","Metadata/MiscellaneousObjects/HideoutDoodad",1,"",[6],1,"",41,0,"","",1,""
199,7582,"[""Metadata/Terrain/Doodads/TempleDungeon/templedoodads_torture_device_11.ao"",""Metadata/Terrain/Doodads/TempleDungeon/temple_gem_torture_device_08.ao"",""Metadata/Terrain/Doodads/TempleDungeon/temple_gem_torture_device_09.ao"",""Metadata/Terrain/Doodads/TempleDungeon/LunarisWater/templedoodads_torture_device_11.ao"",""Metadata/Terrain/Doodads/TempleDungeon/LunarisWater/temple_gem_torture_device_08.ao"",""Metadata/Terrain/Doodads/TempleDungeon/LunarisWater/temple_gem_torture_device_09.ao""]","","Metadata/MiscellaneousObjects/HideoutDoodad",1,"",[6],1,"",41,0,"","",1,""
