"rownum","Id","Description (English)","Description (French)","Description (German)","Description (Japanese)","Description (Korean)","Description (Portuguese)","Description (Russian)","Description (Spanish)","Description (Thai)","Description (Traditional Chinese)","ArtFile","AchievementItemsKey"
25,"Trinkets2","Contains 2 to 3 Synthesised Chests with Jewellery Items\r\nContains 1 Synthesised Chest with Fractured Jewellery Items","Renferme 3 à 4 Coffres synthétisés contenant des Accessoires\r\nRenferme 1 Coffre synthétisé contenant des Accessoires fissurés","Enthält 2 bis 3 synthetisierte Truhen mit Schmuck\r\nEnthält 1 synthetisierte Truhe mit brüchigem Schmuck","宝飾品アイテムの入ったシンセシスチェストが2-3個追加される\r\nフラクチャー宝飾品アイテムの入ったシンセシスチェストが1個追加される","결합물 상자 2~3개와 장신구 아이템 포함\r\n결합물 상자 1개와 분열된 장신구 아이템 포함","Contém de 2 a 3 Baús Sintetizados com Acessórios\r\nContém 1 Baú Sintetizado com Acessórios Fixados","Содержит от 2 до 3 синтезированных сундуков с бижутерией\r\nСодержит 1 синтезированный сундук с расколотой бижутерией","Contiene de 2 a 3 Cofres Sintetizados que tienen objetos de Joyería\r\nContiene 1 Cofre Sintetizado que tiene Objetos de Joyería fracturados","มีหีบสมบัติสังเคราะห์ที่มีไอเทม เครื่องประดับ อยู่ 2 ถึง 3 หีบ\r\nมีหีบสมบัติสังเคราะห์ที่มีไอเทม เครื่องประดับ ที่แต่ร้าว อยู่ 1 หีบ","包含 2 至 3 個含有飾品的追憶之匣\r\n包含 1 個含有破裂飾品的追憶之匣","Art/2DArt/UIImages/InGame/Synthesis/Tiles/MapIslands/TrinketsItemRewardIcon",""
26,"Trinkets3","Contains 3 to 4 Synthesised Chests with Jewellery Items\r\nContains 1 Synthesised Chest with Fractured Jewellery Items","Renferme 4 à 5 Coffres synthétisés contenant des Accessoires\r\nRenferme 1 Coffre synthétisé contenant des Accessoires fissurés","Enthält 3 bis 4 synthetisierte Truhen mit Schmuck\r\nEnthält 1 synthetisierte Truhe mit brüchigem Schmuck","宝飾品アイテムの入ったシンセシスチェストが3-4個追加される\r\nフラクチャー宝飾品アイテムの入ったシンセシスチェストが1個追加される","결합물 상자 3~4개와 장신구 아이템 포함\r\n결합물 상자 1개와 분열된 장신구 아이템 포함","Contém de 3 a 4 Baús Sintetizados com Acessórios\r\nContém 1 Baú Sintetizado com Acessórios Fixados","Содержит от 3 до 4 синтезированных сундуков с бижутерией\r\nСодержит 1 синтезированный сундук с расколотой бижутерией","Contiene de 3 a 4 Cofres Sintetizados que tienen objetos de Joyería\r\nContiene 1 Cofre Sintetizado que tiene Objetos de Joyería fracturados","มีหีบสมบัติสังเคราะห์ที่มีไอเทม เครื่องประดับ อยู่ 3 ถึง 4 หีบ\r\nมีหีบสมบัติสังเคราะห์ที่มีไอเทม เครื่องประดับ ที่แต่ร้าว อยู่ 1 หีบ","包含 3 至 4 個含有飾品的追憶之匣\r\n包含 1 個含有破裂飾品的追憶之匣","Art/2DArt/UIImages/InGame/Synthesis/Tiles/MapIslands/TrinketsItemRewardIcon",""
27,"TrinketsHigh3","Contains 2 to 3 Synthesised Chests with valuable Jewellery Items\r\nContains 2 Synthesised Chests with Fractured Jewellery Items","Renferme 2 à 3 Coffres synthétisés contenant des Accessoires de valeur\r\nRenferme 2 Coffres synthétisés contenant des Accessoires fissurés","Enthält 2 bis 3 synthetisierte Truhen mit wertvollem Schmuck\r\nEnthält 2 synthetisierte Truhen mit brüchigem Schmuck","高価値な宝飾品アイテムの入ったシンセシスチェストが2-3個追加される\r\nフラクチャー宝飾品アイテムの入ったシンセシスチェストが2個追加される","결합물 상자 2~3개와 귀중한 장신구 아이템 포함\r\n결합물 상자 2개와 분열된 장신구 아이템 포함","Contém de 2 a 3 Baús Sintetizados com Acessórios\r\nContém 2 Baú Sintetizado com Acessórios Fixados","Содержит от 2 до 3 синтезированных сундуков с ценной бижутерией\r\nСодержит 2 синтезированных сундука с расколотой бижутерией","Contiene de 2 a 3 Cofres Sintetizados que tienen objetos de Joyería valiosos\r\nContiene 2 Cofres Sintetizados que tienen objetos de Joyería","มีหีบสมบัติสังเคราะห์ที่มีไอเทม เครื่องประดับ ที่มีค่า อยู่ 2 ถึง 3 หีบ\r\nมีหีบสมบัติสังเคราะห์ที่มีไอเทม เครื่องประดับ ที่แต่ร้าว อยู่ 2 หีบ","包含 2 至 3 個含有飾品的追憶之匣\r\n包含 2 個含有破裂飾品的追憶之匣","Art/2DArt/UIImages/InGame/Synthesis/Tiles/MapIslands/TrinketsItemRewardIcon",""
28,"Trinkets4","Contains 4 to 5 Synthesised Chests with Jewellery Items\r\nContains 1 Synthesised Chest with Fractured Jewellery Items","Renferme 5 à 6 Coffres synthétisés contenant des Accessoires\r\nRenferme 1 Coffre synthétisé contenant des Accessoires fissurés","Enthält 4 bis 5 synthetisierte Truhen mit Schmuck\r\nEnthält 1 synthetisierte Truhe mit brüchigem Schmuck","宝飾品アイテムの入ったシンセシスチェストが4-5個追加される\r\nフラクチャー宝飾品アイテムの入ったシンセシスチェストが1個追加される","결합물 상자 4~5개와 장신구 아이템 포함\r\n결합물 상자 1개와 분열된 장신구 아이템 포함","Contém de 4 a 5 Baús Sintetizados com Acessórios\r\nContém 1 Baú Sintetizado com Acessórios Fixados","Содержит от 4 до 5 синтезированных сундуков с бижутерией\r\nСодержит 1 синтезированный сундук с расколотой бижутерией","Contiene de 4 a 5 Cofres Sintetizados que tienen objetos de Joyería\r\nContiene 1 Cofre Sintetizado que tiene Objetos de Joyería fracturados","มีหีบสมบัติสังเคราะห์ที่มีไอเทม เครื่องประดับ อยู่ 4 ถึง 5 หีบ\r\nมีหีบสมบัติสังเคราะห์ที่มีไอเทม เครื่องประดับ ที่แต่ร้าว อยู่ 1 หีบ","包含 4 至 5 個含有飾品的追憶之匣\r\n包含 1 個含有破裂飾品的追憶之匣","Art/2DArt/UIImages/InGame/Synthesis/Tiles/MapIslands/TrinketsItemRewardIcon",""
29,"TrinketsHigh4","Contains 3 Synthesised Chests with valuable Jewellery Items\r\nContains 3 Synthesised Chests with Fractured Jewellery Items","Renferme 3 Coffres synthétisés contenant des Accessoires de valeur\r\nRenferme 3 Coffres synthétisés contenant des Accessoires fissurés","Enthält 3 synthetisierte Truhen mit wertvollem Schmuck\r\nEnthält 3 synthetisierte Truhen mit brüchigem Schmuck","高価値な宝飾品アイテムの入ったシンセシスチェストが3個追加される\r\nフラクチャー宝飾品アイテムの入ったシンセシスチェストが3個追加される","결합물 상자 3개와 귀중한 장신구 아이템 포함\r\n결합물 상자 3개와 분열된 장신구 아이템 포함","Contém 3 Baús Sintetizados com Acessórios valiosos\r\nContém 3 Baús Sintetizados com Acessórios","Содержит 3 синтезированных сундука с ценной бижутерией\r\nСодержит 3 синтезированных сундука с расколотой бижутерией","Contiene de 3 Cofres Sintetizados que tienen objetos de Joyería valiosos\r\nContiene 3 Cofres Sintetizados que tienen objetos de Joyería fracturados","มีหีบสมบัติสังเคราะห์ที่มีไอเทม เครื่องประดับ ที่มีค่า อยู่ 3 หีบ\r\nมีหีบสมบัติสังเคราะห์ที่มีไอเทม เครื่องประดับ ที่แต่ร้าว อยู่ 3 หีบ","包含 3 個含有價值飾品的追憶之匣\r\n包含 3 個含有破裂飾品的追憶之匣","Art/2DArt/UIImages/InGame/Synthesis/Tiles/MapIslands/TrinketsItemRewardIcon",""
30,"TrinketsEpic4","Contains 1 Synthesised Chest with very valuable Jewellery Items\r\nContains 4 to 5 Synthesised Chests with Fractured Jewellery Items","Renferme 1 Coffre synthétisé contenant des Accessoires de grande valeur\r\nRenferme 4 à 5 Coffres synthétisés contenant des Accessoires fissurés","Enthält 1 synthetisierte Truhe mit sehr wertvollem Schmuck\r\nEnthält 4 bis 5 synthetisierte Truhen mit brüchigem Schmuck","非常に高価値な宝飾品アイテムの入ったシンセシスチェストが1個追加される\r\nフラクチャー宝飾品アイテムの入ったシンセシスチェストが4-5個追加される","결합물 상자 1개와 매우 귀중한 장신구 아이템 포함\r\n결합물 상자 4~5개와 분열된 장신구 아이템 포함","Contém 1 Baú Sintetizado com Acessórios muito valiosos\r\nContém de 4 a 5 Baús Sintetizados com Acessórios Fixados","Содержит синтезированный сундук с очень ценной бижутерий\r\nСодержит от 4 до 5 синтезированных сундуков с расколотой бижутерией","Contiene 1 Cofre Sintetizado que tiene objetos de Joyería muy valiosos\r\nContiene de 4 a 5 Cofres Sintetizados que tienen Objetos de Joyería fracturados","มีหีบสมบัติสังเคราะห์ที่มีไอเทม เครื่องประดับ ที่มีค่ามากๆ อยู่ 1 หีบ\r\nมีหีบสมบัติสังเคราะห์ที่มีไอเทม เครื่องประดับ ที่แต่ร้าว อยู่ 4 ถึง 5 หีบ","包含 1 個含有價值連城飾品的追憶之匣\r\n包含 4 至 5 個含有破裂飾品的追憶之匣","Art/2DArt/UIImages/InGame/Synthesis/Tiles/MapIslands/TrinketsItemRewardIcon",""
31,"Trinkets5","Contains 4 to 5 Synthesised Chests with Jewellery Items\r\nContains 2 Synthesised Chests with Fractured Jewellery Items","Renferme 4 à 5 Coffres synthétisés contenant des Accessoires\r\nRenferme 2 Coffres synthétisés contenant des Accessoires fissurés","Enthält 4 bis 5 synthetisierte Truhen mit Schmuck\r\nEnthält 2 synthetisierte Truhen mit brüchigem Schmuck","宝飾品アイテムの入ったシンセシスチェストが4-5個追加される\r\nフラクチャー宝飾品アイテムの入ったシンセシスチェストが2個追加される","결합물 상자 4~5개와 장신구 아이템 포함\r\n결합물 상자 2개와 분열된 장신구 아이템 포함","Contém de 4 a 5 Baús Sintetizados com Acessórios\r\nContém 2 Baú Sintetizado com Acessórios Fixados","Содержит от 4 до 5 синтезированных сундуков с бижутерией\r\nСодержит 2 синтезированных сундука с расколотой бижутерией","Contiene de 4 a 5 Cofres Sintetizados que tienen objetos de Joyería\r\nContiene 2 Cofres Sintetizados que tienen Objetos de Joyería fracturados","มีหีบสมบัติสังเคราะห์ที่มีไอเทม เครื่องประดับ อยู่ 4 ถึง 5 หีบ\r\nมีหีบสมบัติสังเคราะห์ที่มีไอเทม เครื่องประดับ ที่แต่ร้าว อยู่ 2 หีบ","包含 4 至 5 個含有飾品的追憶之匣\r\n包含 2 個含有破裂飾品的追憶之匣","Art/2DArt/UIImages/InGame/Synthesis/Tiles/MapIslands/TrinketsItemRewardIcon",""
32,"TrinketsHigh5","Contains 3 to 4 Synthesised Chests with valuable Jewellery Items\r\nContains 4 Synthesised Chests with Fractured Jewellery Items","Renferme 3 à 4 Coffres synthétisés contenant des Accessoires de valeur\r\nRenferme 4 Coffres synthétisés contenant des Accessoires fissurés","Enthält 3 bis 4 synthetisierte Truhen mit wertvollem Schmuck\r\nEnthält 4 synthetisierte Truhen mit brüchigem Schmuck","高価値な宝飾品アイテムの入ったシンセシスチェストが3-4個追加される\r\nフラクチャー宝飾品アイテムの入ったシンセシスチェストが4個追加される","결합물 상자 3~4개와 귀중한 장신구 아이템 포함\r\n결합물 상자 4개와 분열된 장신구 아이템 포함","Contém de 3 a 4 Baús Sintetizados com Acessórios\r\nContém 4 Baú Sintetizado com Acessórios Fixados","Содержит от 3 до 4 синтезированных сундуков с ценной бижутерией\r\nСодержит 4 синтезированных сундука с расколотой бижутерией","Contiene de 3 a 4 Cofres Sintetizados que tienen objetos de Joyería valiosos\r\nContiene 4 Cofres Sintetizados que tienen Objetos de Joyería fracturados","มีหีบสมบัติสังเคราะห์ที่มีไอเทม เครื่องประดับ ที่มีค่า อยู่ 3 ถึง 4 หีบ\r\nมีหีบสมบัติสังเคราะห์ที่มีไอเทม เครื่องประดับ ที่แต่ร้าว อยู่ 4 หีบ","包含 3 至 4 個含有價值飾品的追憶之匣\r\n包含 4 個含有破裂飾品的追憶之匣","Art/2DArt/UIImages/InGame/Synthesis/Tiles/MapIslands/TrinketsItemRewardIcon",""
33,"TrinketsEpic5","Contains 1 Synthesised Chest with very valuable Jewellery Items\r\nContains 5 to 6 Synthesised Chests with Fractured Jewellery Items","Renferme 1 Coffre synthétisé contenant des Accessoires de grande valeur\r\nRenferme 5 à 6 Coffres synthétisés contenant des Accessoires fissurés","Enthält 1 synthetisierte Truhe mit sehr wertvollem Schmuck\r\nEnthält 5 bis 6 synthetisierte Truhen mit brüchigem Schmuck","非常に高価値な宝飾品アイテムの入ったシンセシスチェストが1個追加される\r\nフラクチャー宝飾品アイテムの入ったシンセシスチェストが5-6個追加される","결합물 상자 1개와 매우 귀중한 장신구 아이템 포함\r\n결합물 상자 5~6개와 분열된 장신구 아이템 포함","Contém 1 Baú Sintetizado com Acessórios muito valiosos\r\nContém de 5 a 6 Baús Sintetizados com Acessórios Fixados","Содержит синтезированный сундук с очень ценной бижутерий\r\nСодержит от 5 до 6 синтезированных сундуков с расколотой бижутерией","Contiene 1 Cofre Sintetizado que tiene objetos de Joyería muy valiosos\r\nContiene de 5 a 6 Cofres Sintetizados que tienen Objetos de Joyería fracturados","มีหีบสมบัติสังเคราะห์ที่มีไอเทม เครื่องประดับ ที่มีค่ามากๆ อยู่ 1 หีบ\r\nมีหีบสมบัติสังเคราะห์ที่มีไอเทม เครื่องประดับ ที่แต่ร้าว อยู่ 5 ถึง 6 หีบ","包含 1 個含有價值連城飾品的追憶之匣\r\n包含 5 至 6 個含有破裂飾品的追憶之匣","Art/2DArt/UIImages/InGame/Synthesis/Tiles/MapIslands/TrinketsItemRewardIcon",""
34,"Abyss","Contains 2 to 3 Synthesised Chests with Abyssal Items","Renferme 2 à 3 Coffres synthétisés contenant des Objets abyssaux","Enthält 2 bis 3 synthetisierte Truhen mit Abgrund-Gegenständen","アビスアイテムの入ったシンセシスチェストが2-3個追加される","결합물 상자 2~3개와 심연 아이템 포함","Contém de 2 a 3 Baús Sintetizados com Itens Abissais","Содержит от 2 до 3 синтезированных сундуков с предметами Бездны","Contiene de 2 a 3 Cofres Sintetizados que tienen objetos Abisales","มีหีบสมบัติสังเคราะห์ที่มีไอเทม Abyssal อยู่ 2 ถึง 3 หีบ","包含 2 至 3 個含有深淵物品的追憶之匣","Art/2DArt/UIImages/InGame/Synthesis/Tiles/MapIslands/AbyssItemRewardIcon",""
35,"Abyss2","Contains 3 to 4 Synthesised Chests with Abyssal Items","Renferme 3 à 4 Coffres synthétisés contenant des Objets abyssaux","Enthält 3 bis 4 synthetisierte Truhen mit Abgrund-Gegenständen","アビスアイテムの入ったシンセシスチェストが3-4個追加される","결합물 상자 3~4개와 심연 아이템 포함","Contém de 3 a 4 Baús Sintetizados com Itens Abissais","Содержит от 3 до 4 синтезированных сундуков с предметами Бездны","Contiene de 3 a 4 Cofres Sintetizados que tienen objetos Abisales","มีหีบสมบัติสังเคราะห์ที่มีไอเทม Abyssal อยู่ 3 ถึง 4 หีบ","包含 3 至 4 個含有深淵物品的追憶之匣","Art/2DArt/UIImages/InGame/Synthesis/Tiles/MapIslands/AbyssItemRewardIcon",""
36,"AbyssHigh2","Contains 3 to 4 Synthesised Chests with valuable Abyssal Items","Renferme 3 à 4 Coffres synthétisés contenant des Objets abyssaux de valeur","Enthält 3 bis 4 synthetisierte Truhen mit wertvollen Abgrund-Gegenständen","高価値なアビスアイテムの入ったシンセシスチェストが3-4個追加される","결합물 상자 3~4개와 귀중한 심연 아이템 포함","Contém de 3 a 4 Baús Sintetizados com Itens Abissais valiosos","Содержит от 3 до 4 синтезированных сундуков с ценными предметами Бездны","Contiene de 3 a 4 Cofres Sintetizados que tienen objetos Abisales valiosos","มีหีบสมบัติสังเคราะห์ที่มีไอเทม Abyssal ที่มีค่า อยู่ 3 ถึง 4 หีบ","包含 3 至 4 個含有價值深淵物品的追憶之匣","Art/2DArt/UIImages/InGame/Synthesis/Tiles/MapIslands/AbyssItemRewardIconTier2",""
37,"Armour","Contains 1 to 2 Synthesised Chests with Armour Items\r\nContains 1 Synthesised Chest with Fractured Armour Items","Renferme 1 à 2 Coffres synthétisés contenant des Pièces d'armure\r\nRenferme 1 Coffre synthétisé contenant des Pièces d'armure fissurées","Enthält 1 bis 2 synthetisierte Truhen mit Rüstungsgegenständen\r\nEnthält 1 synthetisierte Truhe mit brüchigen Rüstungsgegenständen","防具アイテムの入ったシンセシスチェストが1-2個追加される\r\nフラクチャー防具アイテムの入ったシンセシスチェストが1個追加される","결합물 상자 1~2개와 방어구 아이템 포함\r\n결합물 상자 1개와 분열된 방어구 아이템 포함","Contém de 1 a 2 Baús Sintetizados com Armaduras\r\nContém 1 Baú Sintetizado com Armaduras Trincadas","Содержит от 1 до 2 синтезированных сундуков с доспехами\r\nСодержит 1 синтезированный сундук с расколотыми доспехами","Contiene de 1 a 2 Cofres Sintetizados que tienen objetos de Armadura\r\nContiene 1 Cofre Sintetizado que tiene objetos de Armadura fracturados","มีหีบสมบัติสังเคราะห์ที่มีไอเทม เครื่องป้องกัน อยู่ 1 ถึง 2 หีบ\r\nมีหีบสมบัติสังเคราะห์ที่มีไอเทม เครื่องป้องกัน ที่แต่ร้าว อยู่ 1 หีบ","包含 1 至 2 個含有護甲的追憶之匣\r\n包含 1 個含有破裂物甲的追憶之匣","Art/2DArt/UIImages/InGame/Synthesis/Tiles/MapIslands/ArmourItemRewardIcon",""
38,"Armour2","Contains 2 to 3 Synthesised Chests with Armour Items\r\nContains 1 Synthesised Chest with Fractured Armour Items","Renferme 2 à 3 Coffres synthétisés contenant des Pièces d'armure\r\nRenferme 1 Coffre synthétisé contenant des Pièces d'armure fissurées","Enthält 2 bis 3 synthetisierte Truhen mit Rüstungsgegenständen\r\nEnthält 1 synthetisierte Truhe mit brüchigen Rüstungsgegenständen","防具アイテムの入ったシンセシスチェストが2-3個追加される\r\nフラクチャー防具アイテムの入ったシンセシスチェストが1個追加される","결합물 상자 2~3개와 방어구 아이템 포함\r\n결합물 상자 1개와 분열된 방어구 아이템 포함","Contém de 2 a 3 Baús Sintetizados com Armaduras\r\nContém 1 Baú Sintetizado com Armaduras Trincadas","Содержит от 2 до 3 синтезированных сундуков с доспехами\r\nСодержит 1 синтезированный сундук с расколотыми доспехами","Contiene de 2 a 3 Cofres Sintetizados que tienen objetos de Armadura\r\nContiene 1 Cofre Sintetizado que tiene objetos de Armadura fracturados","มีหีบสมบัติสังเคราะห์ที่มีไอเทม เครื่องป้องกัน อยู่ 2 ถึง 3 หีบ\r\nมีหีบสมบัติสังเคราะห์ที่มีไอเทม เครื่องป้องกัน ที่แต่ร้าว อยู่ 1 หีบ","包含 2 至 3 個含有護甲的追憶之匣\r\n包含 1 個含有破裂物甲的追憶之匣","Art/2DArt/UIImages/InGame/Synthesis/Tiles/MapIslands/ArmourItemRewardIcon",""
39,"Armour3","Contains 3 to 4 Synthesised Chests with Armour Items\r\nContains 1 Synthesised Chest with Fractured Armour Items","Renferme 3 à 4 Coffres synthétisés contenant des Pièces d'armure\r\nRenferme 1 Coffre synthétisé contenant des Pièces d'armure fissurées","Enthält 3 bis 4 synthetisierte Truhen mit Rüstungsgegenständen\r\nEnthält 1 synthetisierte Truhe mit brüchigen Rüstungsgegenständen","防具アイテムの入ったシンセシスチェストが3-4個追加される\r\nフラクチャー防具アイテムの入ったシンセシスチェストが1個追加される","결합물 상자 3~4개와 방어구 아이템 포함\r\n결합물 상자 1개와 분열된 방어구 아이템 포함","Contém de 3 a 4 Baús Sintetizados com Armaduras\r\nContém 1 Baú Sintetizado com Armaduras Trincadas","Содержит от 3 до 4 синтезированных сундуков с доспехами\r\nСодержит 1 синтезированный сундук с расколотыми доспехами","Contiene de 3 a 4 Cofres Sintetizados que tienen objetos de Armadura\r\nContiene 1 Cofre Sintetizado que tiene objetos de Armadura fracturados","มีหีบสมบัติสังเคราะห์ที่มีไอเทม เครื่องป้องกัน อยู่ 3 ถึง 4 หีบ\r\nมีหีบสมบัติสังเคราะห์ที่มีไอเทม เครื่องป้องกัน ที่แต่ร้าว อยู่ 1 หีบ","包含 3 至 4 個含有護甲的追憶之匣\r\n包含 1 個含有破裂物甲的追憶之匣","Art/2DArt/UIImages/InGame/Synthesis/Tiles/MapIslands/ArmourItemRewardIcon",""
40,"ArmourHigh3","Contains 2 to 3 Synthesised Chests with valuable Armour Items\r\nContains 2 Synthesised Chests with Fractured Armour Items","Renferme 2 à 3 Coffres synthétisés contenant des Pièces d'armure de valeur\r\nRenferme 2 Coffres synthétisés contenant des Pièces d'armure fissurées","Enthält 2 bis 3 synthetisierte Truhen mit wertvollen Rüstungsgegenständen\r\nEnthält 2 synthetisierte Truhen mit brüchigen Rüstungsgegenständen","高価値な防具アイテムの入ったシンセシスチェストが2-3個追加される\r\nフラクチャー防具アイテムの入ったシンセシスチェストが2個追加される","결합물 상자 2~3개와 귀중한 방어구 아이템 포함\r\n결합물 상자 2개와 분열된 방어구 아이템 포함","Contém de 2 a 3 Baús Sintetizados com Armaduras\r\nContém 2 Baú Sintetizado com Armaduras Trincadas","Содержит от 2 до 3 синтезированных сундуков с ценными доспехами\r\nСодержит 2 синтезированных сундука с расколотыми доспехами","Contiene 2 a 3 Cofres Sintetizados que tienen objetos de Armadura valiosos\r\nContiene 2 Cofres Sintetizados que tienen objetos de Armadura fracturados","มีหีบสมบัติสังเคราะห์ที่มีไอเทม เครื่องป้องกัน ที่มีค่า อยู่ 2 ถึง 3 หีบ\r\nมีหีบสมบัติสังเคราะห์ที่มีไอเทม เครื่องป้องกัน ที่แต่ร้าว อยู่ 2 หีบ","包含 2 至 3 個含有價值護甲的追憶之匣\r\n包含 2 個含有破裂護甲的追憶之匣","Art/2DArt/UIImages/InGame/Synthesis/Tiles/MapIslands/ArmourItemRewardIcon",""
41,"Armour4","Contains 4 to 5 Synthesised Chests with Armour Items\r\nContains 1 Synthesised Chest with Fractured Armour Items","Renferme 4 à 5 Coffres synthétisés contenant des Pièces d'armure\r\nRenferme 1 Coffre synthétisé contenant des Pièces d'armure fissurées","Enthält 4 bis 5 synthetisierte Truhen mit Rüstungsgegenständen\r\nEnthält 1 synthetisierte Truhe mit brüchigen Rüstungsgegenständen","防具アイテムの入ったシンセシスチェストが4-5個追加される\r\nフラクチャー防具アイテムの入ったシンセシスチェストが1個追加される","결합물 상자 4~5개와 방어구 아이템 포함\r\n결합물 상자 1개와 분열된 방어구 아이템 포함","Contém de 4 a 5 Baús Sintetizados com Armaduras\r\nContém 1 Baú Sintetizado com Armaduras Trincadas","Содержит от 4 до 5 синтезированных сундуков с доспехами\r\nСодержит 1 синтезированный сундук с расколотыми доспехами","Contiene de 4 a 5 Cofres Sintetizados que tienen objetos de Armadura\r\nContiene 1 Cofre Sintetizado que tiene objetos de Armadura fracturados","มีหีบสมบัติสังเคราะห์ที่มีไอเทม เครื่องป้องกัน อยู่ 4 ถึง 5 หีบ\r\nมีหีบสมบัติสังเคราะห์ที่มีไอเทม เครื่องป้องกัน ที่แต่ร้าว อยู่ 1 หีบ","包含 4 至 5 個含有護甲的追憶之匣\r\n包含 1 個含有破裂物甲的追憶之匣","Art/2DArt/UIImages/InGame/Synthesis/Tiles/MapIslands/ArmourItemRewardIcon",""
42,"ArmourHigh4","Contains 3 Synthesised Chests with valuable Armour Items\r\nContains 3 Synthesised Chests with Fractured Armour Items","Renferme 3 Coffres synthétisés contenant des Pièces d'armure de valeur\r\nRenferme 3 Coffres synthétisés contenant des Pièces d'armure fissurées","Enthält 3 synthetisierte Truhen mit wertvollen Rüstungsgegenständen\r\nEnthält 3 synthetisierte Truhen mit brüchigen Rüstungsgegenständen","高価値な防具アイテムの入ったシンセシスチェストが3個追加される\r\nフラクチャー防具アイテムの入ったシンセシスチェストが3個追加される","결합물 상자 3개와 귀중한 방어구 아이템 포함\r\n결합물 상자 3개와 분열된 방어구 아이템 포함","Contém 3 Baús Sintetizados com Armaduras\r\nContém 3 Baú Sintetizado com Armaduras Trincadas","Содержит 3 синтезированных сундука с ценными доспехами\r\nСодержит 3 синтезированных сундука с расколотыми доспехами","Contiene 3 Cofres Sintetizados que tienen objetos de Armadura valiosos\r\nContiene 3 Cofres Sintetizados que tienen Objetos de Armadura fracturados","มีหีบสมบัติสังเคราะห์ที่มีไอเทม เครื่องป้องกัน ที่มีค่า อยู่ 3 หีบ\r\nมีหีบสมบัติสังเคราะห์ที่มีไอเทม เครื่องป้องกัน ที่แต่ร้าว อยู่ 3 หีบ","包含 3 個含有價值護甲的追憶之匣\r\n包含 3 個含有破裂護甲的追憶之匣","Art/2DArt/UIImages/InGame/Synthesis/Tiles/MapIslands/ArmourItemRewardIcon",""
43,"ArmourEpic4","Contains 1 Synthesised Chest with very valuable Armour Items\r\nContains 2 Synthesised Chests with valuable Armour Items","Renferme 1 Coffre synthétisé contenant des Pièces d'armure de grande valeur\r\nRenferme 2 Coffres synthétisés contenant des Pièces d'armure de valeur","Enthält 1 synthetisierte Truhe mit sehr wertvollen Rüstungsgegenständen\r\nEnthält 2 synthetisierte Truhen mit wertvollen Rüstungsgegenständen","非常に高価値な防具アイテムの入ったシンセシスチェストが1個追加される\r\n高価値な防具アイテムの入ったシンセシスチェストが2個追加される","결합물 상자 1개와 매우 귀중한 방어구 아이템 포함\r\n결합물 상자 2개와 귀중한 방어구 아이템 포함","Contém 1 Baú Sintetizado com Armaduras muito valiosas\r\nContém 2 Baús Sintetizados com Armaduras valiosas","Содержит синтезированный сундук с очень ценными доспехами\r\nСодержит 2 синтезированных сундука с расколотыми доспехами","Contiene 1 Cofre Sintetizado que tiene objetos de Armadura muy valiosos\r\nContiene 2 Cofres Sintetizados que tienen Objetos de Armadura valiosos","มีหีบสมบัติสังเคราะห์ที่มีไอเทม เครื่องป้องกัน ที่มีค่ามากๆ อยู่ 1 หีบ\r\nมีหีบสมบัติสังเคราะห์ที่มีไอเทม เครื่องป้องกัน ที่มีค่า อยู่ 2 หีบ","包含 1 個含有價值連城護甲的追憶之匣\r\n包含 2 個含有價值護甲的追憶之匣","Art/2DArt/UIImages/InGame/Synthesis/Tiles/MapIslands/ArmourItemRewardIcon",""
44,"Armour5","Contains 4 to 5 Synthesised Chests with Armour Items\r\nContains 2 Synthesised Chests with Fractured Armour Items","Renferme 4 à 5 Coffres synthétisés contenant des Pièces d'armure\r\nRenferme 2 Coffres synthétisés contenant des Pièces d'armure fissurées","Enthält 4 bis 5 synthetisierte Truhen mit Rüstungsgegenständen\r\nEnthält 2 synthetisierte Truhen mit brüchigen Rüstungsgegenständen","防具アイテムの入ったシンセシスチェストが4-5個追加される\r\nフラクチャー防具アイテムの入ったシンセシスチェストが2個追加される","결합물 상자 4~5개와 방어구 아이템 포함\r\n결합물 상자 2개와 분열된 방어구 아이템 포함","Contém de 4 a 5 Baús Sintetizados com Armaduras\r\nContém 2 Baú Sintetizado com Armaduras Trincadas","Содержит от 4 до 5 синтезированных сундуков с доспехами\r\nСодержит 2 синтезированных сундука с расколотыми доспехами","Contiene de 4 a 5 Cofres Sintetizados que tienen objetos de Armadura\r\nContiene 2 Cofres Sintetizados que tienen objetos de Armadura fracturados","มีหีบสมบัติสังเคราะห์ที่มีไอเทม เครื่องป้องกัน อยู่ 4 ถึง 5 หีบ\r\nมีหีบสมบัติสังเคราะห์ที่มีไอเทม เครื่องป้องกัน ที่แต่ร้าว อยู่ 2 หีบ","包含 4 至 5 個含有護甲的追憶之匣\r\n包含 2 個含有破裂物甲的追憶之匣","Art/2DArt/UIImages/InGame/Synthesis/Tiles/MapIslands/ArmourItemRewardIcon",""
