"rownum","BetrayalJobsKey","BetrayalTargetsKey","BetrayalRanksKey","Description (English)","Description (French)","Description (German)","Description (Japanese)","Description (Korean)","Description (Portuguese)","Description (Russian)","Description (Spanish)","Description (Thai)","Description (Traditional Chinese)","Description2 (English)","Description2 (French)","Description2 (German)","Description2 (Japanese)","Description2 (Korean)","Description2 (Portuguese)","Description2 (Russian)","Description2 (Spanish)","Description2 (Thai)","Description2 (Traditional Chinese)"
39,1,2,1,"Safeguarding Unique Armour","Sauvegarde des Pièces d'armure uniques","Wacht über einzigartige Rüstung","ユニーク防具の保全","보호한 고유 방어구","Guardando Armaduras Únicas","Бережет уникальные доспехи","Salvaguardar armaduras únicas","คุ้มครองเกราะยูนิค","保護傳奇護甲","Smuggling Shields (Trapped Chests!)","Fait de la contrebande de Boucliers (dans des coffres piégés !)","Schmuggelt Schilde (Truhen mit Fallen!)","盾の密輸（トラップチェスト！）","밀수한 방패 (덫 상자!)","Contrabandeando Escudos (Baús Trancados!)","Тайно провозит щиты (ловушки в сундуках!)","Traficar con escudos (¡Cofres atrapados!)","ลอบขนโล่ (หีบติดกับดัก!)","走私盾牌（陷阱寶箱！）"
40,1,2,2,"Safeguarding Unique Armour","Sauvegarde des Pièces d'armure uniques","Wacht über einzigartige Rüstung","ユニーク防具の保全","보호한 고유 방어구","Guardando Armaduras Únicas","Бережет уникальные доспехи","Salvaguardar armaduras únicas","คุ้มครองเกราะยูนิค","保護傳奇護甲","Smuggling Shields (Trapped Chests!)","Fait de la contrebande de Boucliers (dans des coffres piégés !)","Schmuggelt Schilde (Truhen mit Fallen!)","盾の密輸（トラップチェスト！）","밀수한 방패 (덫 상자!)","Contrabandeando Escudos (Baús Trancados!)","Тайно провозит щиты (ловушки в сундуках!)","Traficar con escudos (¡Cofres atrapados!)","ลอบขนโล่ (หีบติดกับดัก!)","走私盾牌（陷阱寶箱！）"
41,1,2,3,"Safeguarding Unique Armour","Sauvegarde des Pièces d'armure uniques","Wacht über einzigartige Rüstung","ユニーク防具の保全","보호한 고유 방어구","Guardando Armaduras Únicas","Бережет уникальные доспехи","Salvaguardar armaduras únicas","คุ้มครองเกราะยูนิค","保護傳奇護甲","Smuggling Shields (Trapped Chests!)","Fait de la contrebande de Boucliers (dans des coffres piégés !)","Schmuggelt Schilde (Truhen mit Fallen!)","盾の密輸（トラップチェスト！）","밀수한 방패 (덫 상자!)","Contrabandeando Escudos (Baús Trancados!)","Тайно провозит щиты (ловушки в сундуках!)","Traficar con escudos (¡Cofres atrapados!)","ลอบขนโล่ (หีบติดกับดัก!)","走私盾牌（陷阱寶箱！）"
42,2,2,1,"Escorting Unique Weaponry","Achemine des Armes uniques","Eskortiert einzigartige Bewaffnung","ユニーク武器の護衛","호위한 고유 무기","Escoltando Armamento Único","Сопровождает уникальное оружие","Escoltar armamento único","คุ้มกันอาวุธยูนิค","護送傳奇武器","Transporting Shields","Transporte des Boucliers","Transportiert Schilde","盾の輸送","수송 중인 방패","Transportando Escudos","Перевозит щиты","Transportar escudos","ขนส่งโล่","護送盾牌"
43,2,2,2,"Escorting Unique Weaponry","Achemine des Armes uniques","Eskortiert einzigartige Bewaffnung","ユニーク武器の護衛","호위한 고유 무기","Escoltando Armamento Único","Сопровождает уникальное оружие","Escoltar armamento único","คุ้มกันอาวุธยูนิค","護送傳奇武器","Transporting Shields","Transporte des Boucliers","Transportiert Schilde","盾の輸送","수송 중인 방패","Transportando Escudos","Перевозит щиты","Transportar escudos","ขนส่งโล่","護送盾牌"
44,2,2,3,"Escorting Unique Weaponry","Achemine des Armes uniques","Eskortiert einzigartige Bewaffnung","ユニーク武器の護衛","호위한 고유 무기","Escoltando Armamento Único","Сопровождает уникальное оружие","Escoltar armamento único","คุ้มกันอาวุธยูนิค","護送傳奇武器","Transporting Shields","Transporte des Boucliers","Transportiert Schilde","盾の輸送","수송 중인 방패","Transportando Escudos","Перевозит щиты","Transportar escudos","ขนส่งโล่","護送盾牌"
45,4,2,1,"Manufacturing Unique Forgeries","Contrefait des Objets uniques","Fertigt einzigartige Fälschungen","ユニーク偽造品の製造","제조한 고유 아이템","Manufaturando Únicos Falsos","Производит уникальные подделки","Manufacturar falsificaciones únicas","ผลิตไอเทมยูนิคปลอม","製造傳奇贗品","Gambling with Shield Properties","Joue avec les Propriétés des Boucliers","Experimentiert mit Schild-Eigenschaften","盾の特性のギャンブル","방패 속성 도박","Arriscando com Propriedades de Escudos","Спекулирует на свойствах щитов","Apostar sobre las propiedades de los escudos","เสี่ยงโชคกับคุณสมบัติของโล่","用盾牌屬性博弈"
46,4,2,2,"Manufacturing Unique Forgeries","Contrefait des Objets uniques","Fertigt einzigartige Fälschungen","ユニーク偽造品の製造","제조한 고유 아이템","Manufaturando Únicos Falsos","Производит уникальные подделки","Manufacturar falsificaciones únicas","ผลิตไอเทมยูนิคปลอม","製造傳奇贗品","Gambling with Shield Properties","Joue avec les Propriétés des Boucliers","Experimentiert mit Schild-Eigenschaften","盾の特性のギャンブル","방패 속성 도박","Arriscando com Propriedades de Escudos","Спекулирует на свойствах щитов","Apostar sobre las propiedades de los escudos","เสี่ยงโชคกับคุณสมบัติของโล่","用盾牌屬性博弈"
47,4,2,3,"Manufacturing Unique Forgeries","Contrefait des Objets uniques","Fertigt einzigartige Fälschungen","ユニーク偽造品の製造","제조한 고유 아이템","Manufaturando Únicos Falsos","Производит уникальные подделки","Manufacturar falsificaciones únicas","ผลิตไอเทมยูนิคปลอม","製造傳奇贗品","Gambling with Shield Properties","Joue avec les Propriétés des Boucliers","Experimentiert mit Schild-Eigenschaften","盾の特性のギャンブル","방패 속성 도박","Arriscando com Propriedades de Escudos","Спекулирует на свойствах щитов","Apostar sobre las propiedades de los escudos","เสี่ยงโชคกับคุณสมบัติของโล่","用盾牌屬性博弈"
48,3,11,1,"Acquiring Divination Scarab \""Donations\""","Reçoit des « dons » de Scarabées de Divination","Ersteht \""gespendete\"" Weissagungs-Skarabäen","占いのスカラベの獲得 「寄付」","획득한 점술 갑충석 \""기부\""","Adquirindo \""Doações\"" de Escaravelhos de Adivinhação","Собирает \""пожертвования\"" в виде скарабеев предсказания","Adquirir \""donaciones\"" de escarabajos de adivinación","รับสคารับพยากรณ์ \""จากการบริจาค\""","獲得命運聖甲蟲「捐助」","Securing Socketed Equipment","Met des Équipements enchâssés en sûreté","Sichert Ausrüstung mit Fassungen","ソケット装備の確保","확보한 홈 장비","Protegendo Equipamentos com Encaixes","Охраняет экипировку с гнездами","Asegurar equipamientos engarzados","รักษาไอเทมสวมใส่ที่มีรู","保護插槽裝備"
49,3,11,2,"Acquiring Divination Scarab \""Donations\""","Reçoit des « dons » de Scarabées de Divination","Ersteht \""gespendete\"" Weissagungs-Skarabäen","占いのスカラベの獲得 「寄付」","획득한 점술 갑충석 \""기부\""","Adquirindo \""Doações\"" de Escaravelhos de Adivinhação","Собирает \""пожертвования\"" в виде скарабеев предсказания","Adquirir \""donaciones\"" de escarabajos de adivinación","รับสคารับพยากรณ์ \""จากการบริจาค\""","獲得命運聖甲蟲「捐助」","Securing Socketed Equipment","Met des Équipements enchâssés en sûreté","Sichert Ausrüstung mit Fassungen","ソケット装備の確保","확보한 홈 장비","Protegendo Equipamentos com Encaixes","Охраняет экипировку с гнездами","Asegurar equipamientos engarzados","รักษาไอเทมสวมใส่ที่มีรู","保護插槽裝備"
50,3,11,3,"Acquiring Divination Scarab \""Donations\""","Reçoit des « dons » de Scarabées de Divination","Ersteht \""gespendete\"" Weissagungs-Skarabäen","占いのスカラベの獲得 「寄付」","획득한 점술 갑충석 \""기부\""","Adquirindo \""Doações\"" de Escaravelhos de Adivinhação","Собирает \""пожертвования\"" в виде скарабеев предсказания","Adquirir \""donaciones\"" de escarabajos de adivinación","รับสคารับพยากรณ์ \""จากการบริจาค\""","獲得命運聖甲蟲「捐助」","Securing Socketed Equipment","Met des Équipements enchâssés en sûreté","Sichert Ausrüstung mit Fassungen","ソケット装備の確保","확보한 홈 장비","Protegendo Equipamentos com Encaixes","Охраняет экипировку с гнездами","Asegurar equipamientos engarzados","รักษาไอเทมสวมใส่ที่มีรู","保護插槽裝備"
51,1,11,1,"Amassing Divination Cards","Accumule des Cartes divinatoires","Häuft Weissagungskarten an","占いカードの蓄財","축적한 점술 카드","Amontoando Cartas de Adivinhação","Копит гадальные карты","Recolectar cartas de adivinación","รวบรวมไพ่พยากรณ์","蒐集命運卡","Smuggling Body Armours (Trapped Chests!)","Fait de la contrebande d'Armures (dans des coffres piégés !)","Schmuggelt Körperrüstungen (Truhen mit Fallen!)","鎧の密輸（トラップチェスト！）","밀수한 갑옷 (덫 상자!)","Contrabandeando Peitorais (Baús Trancados!)","Тайно провозит нательные доспехи (ловушки в сундуках!)","Traficar con armaduras (¡Cofres atrapados!)","ลอบขนเสื้อเกราะ (หีบติดกับดัก!)","走私胸甲（陷阱寶箱！）"
52,1,11,2,"Amassing Divination Cards","Accumule des Cartes divinatoires","Häuft Weissagungskarten an","占いカードの蓄財","축적한 점술 카드","Amontoando Cartas de Adivinhação","Копит гадальные карты","Recolectar cartas de adivinación","รวบรวมไพ่พยากรณ์","蒐集命運卡","Smuggling Body Armours (Trapped Chests!)","Fait de la contrebande d'Armures (dans des coffres piégés !)","Schmuggelt Körperrüstungen (Truhen mit Fallen!)","鎧の密輸（トラップチェスト！）","밀수한 갑옷 (덫 상자!)","Contrabandeando Peitorais (Baús Trancados!)","Тайно провозит нательные доспехи (ловушки в сундуках!)","Traficar con armaduras (¡Cofres atrapados!)","ลอบขนเสื้อเกราะ (หีบติดกับดัก!)","走私胸甲（陷阱寶箱！）"
53,1,11,3,"Amassing Divination Cards","Accumule des Cartes divinatoires","Häuft Weissagungskarten an","占いカードの蓄財","축적한 점술 카드","Amontoando Cartas de Adivinhação","Копит гадальные карты","Recolectar cartas de adivinación","รวบรวมไพ่พยากรณ์","蒐集命運卡","Smuggling Body Armours (Trapped Chests!)","Fait de la contrebande d'Armures (dans des coffres piégés !)","Schmuggelt Körperrüstungen (Truhen mit Fallen!)","鎧の密輸（トラップチェスト！）","밀수한 갑옷 (덫 상자!)","Contrabandeando Peitorais (Baús Trancados!)","Тайно провозит нательные доспехи (ловушки в сундуках!)","Traficar con armaduras (¡Cofres atrapados!)","ลอบขนเสื้อเกราะ (หีบติดกับดัก!)","走私胸甲（陷阱寶箱！）"
54,2,11,1,"Laundering Divination Card Collections","Blanchit des Collections de Cartes divinatoires","Handelt mit Weissagungskarten-Sammlungen","占いカード収集物のロンダリング","정리한 점술 카드 모음집","Lavando Coleções de Cartas de Adivinhação","Отмывает коллекции гадальных карт","Lavar colecciones de cartas de adivinación","ฟอกกองไพ่พยากรณ์","洗滌命運卡冊","Transporting Body Armours","Transporte des Armures","Transportiert Körperrüstungen","鎧の輸送","수송 중인 갑옷","Transportando Peitorais","Перевозит нательные доспехи","Transportar armaduras","ขนส่งเสื้อเกราะ","護送胸甲"
55,2,11,2,"Laundering Divination Card Collections","Blanchit des Collections de Cartes divinatoires","Handelt mit Weissagungskarten-Sammlungen","占いカード収集物のロンダリング","정리한 점술 카드 모음집","Lavando Coleções de Cartas de Adivinhação","Отмывает коллекции гадальных карт","Lavar colecciones de cartas de adivinación","ฟอกกองไพ่พยากรณ์","洗滌命運卡冊","Transporting Body Armours","Transporte des Armures","Transportiert Körperrüstungen","鎧の輸送","수송 중인 갑옷","Transportando Peitorais","Перевозит нательные доспехи","Transportar armaduras","ขนส่งเสื้อเกราะ","護送胸甲"
56,2,11,3,"Laundering Divination Card Collections","Blanchit des Collections de Cartes divinatoires","Handelt mit Weissagungskarten-Sammlungen","占いカード収集物のロンダリング","정리한 점술 카드 모음집","Lavando Coleções de Cartas de Adivinhação","Отмывает коллекции гадальных карт","Lavar colecciones de cartas de adivinación","ฟอกกองไพ่พยากรณ์","洗滌命運卡冊","Transporting Body Armours","Transporte des Armures","Transportiert Körperrüstungen","鎧の輸送","수송 중인 갑옷","Transportando Peitorais","Перевозит нательные доспехи","Transportar armaduras","ขนส่งเสื้อเกราะ","護送胸甲"
57,4,11,1,"Trialing Divination Card Metamorphosis","Essaye la Métamorphose de Cartes divinatoires","Experimentiert mit Weissagungskarten","占いカードの変成試験","시험한 점술 카드 변형","Testando Metamorfoses de Cartas de Adivinhação","Испытывает преобразования гадальных карт","Poner a prueba metamorfosis de cartas de adivinación","ทดสอบการเปลี่ยนรูปของไพ่พยากรณ์","試煉命運卡變質","Gambling with Body Armour Properties","Joue avec les Propriétés des Armures","Experimentiert mit Körperrüstungs-Eigenschaften","鎧の特性のギャンブル","갑옷 속성 도박","Arriscando com Propriedades de Peitorais","Спекулирует на свойствах нательных доспехов","Apostar sobre las propiedades de las armaduras","เสี่ยงโชคกับคุณสมบัติของเสื้อเกราะ","用胸甲屬性博弈"
58,4,11,2,"Trialing Divination Card Metamorphosis","Essaye la Métamorphose de Cartes divinatoires","Experimentiert mit Weissagungskarten","占いカードの変成試験","시험한 점술 카드 변형","Testando Metamorfoses de Cartas de Adivinhação","Испытывает преобразования гадальных карт","Poner a prueba metamorfosis de cartas de adivinación","ทดสอบการเปลี่ยนรูปของไพ่พยากรณ์","試煉命運卡變質","Gambling with Body Armour Properties","Joue avec les Propriétés des Armures","Experimentiert mit Körperrüstungs-Eigenschaften","鎧の特性のギャンブル","갑옷 속성 도박","Arriscando com Propriedades de Peitorais","Спекулирует на свойствах нательных доспехов","Apostar sobre las propiedades de las armaduras","เสี่ยงโชคกับคุณสมบัติของเสื้อเกราะ","用胸甲屬性博弈"
59,4,11,3,"Trialing Divination Card Metamorphosis","Essaye la Métamorphose de Cartes divinatoires","Experimentiert mit Weissagungskarten","占いカードの変成試験","시험한 점술 카드 변형","Testando Metamorfoses de Cartas de Adivinhação","Испытывает преобразования гадальных карт","Poner a prueba metamorfosis de cartas de adivinación","ทดสอบการเปลี่ยนรูปของไพ่พยากรณ์","試煉命運卡變質","Gambling with Body Armour Properties","Joue avec les Propriétés des Armures","Experimentiert mit Körperrüstungs-Eigenschaften","鎧の特性のギャンブル","갑옷 속성 도박","Arriscando com Propriedades de Peitorais","Спекулирует на свойствах нательных доспехов","Apostar sobre las propiedades de las armaduras","เสี่ยงโชคกับคุณสมบัติของเสื้อเกราะ","用胸甲屬性博弈"
60,3,8,1,"Gambling with Item Properties","Joue avec les Propriétés des Objets","Spielt um Gegenstandseigenschaften","アイテム特性のギャンブル","아이템 속성 도박","Arriscando com Propriedades dos Itens","Спекулирует на свойствах предмета","Apostar sobre las propiedades de los objetos","เสี่ยงโชคกับคุณสมบัติของไอเทม","用物品屬性博弈","Gambling with Weapon Properties","Joue avec les Propriétés des Armes","Experimentiert mit Waffen-Eigenschaften","武器の特性のギャンブル","무기 속성 도박","Arriscando com Propriedades de Armas","Спекулирует на свойствах оружия","Apostar sobre las propiedades de las armas","เสี่ยงโชคกับคุณสมบัติของอาวุธ","用武器屬性博弈"
61,3,8,2,"Gambling with Item Properties","Joue avec les Propriétés des Objets","Spielt um Gegenstandseigenschaften","アイテム特性のギャンブル","아이템 속성 도박","Arriscando com Propriedades dos Itens","Спекулирует на свойствах предмета","Apostar sobre las propiedades de los objetos","เสี่ยงโชคกับคุณสมบัติของไอเทม","用物品屬性博弈","Gambling with Weapon Properties","Joue avec les Propriétés des Armes","Experimentiert mit Waffen-Eigenschaften","武器の特性のギャンブル","무기 속성 도박","Arriscando com Propriedades de Armas","Спекулирует на свойствах оружия","Apostar sobre las propiedades de las armas","เสี่ยงโชคกับคุณสมบัติของอาวุธ","用武器屬性博弈"
62,3,8,3,"Gambling with Item Properties","Joue avec les Propriétés des Objets","Spielt um Gegenstandseigenschaften","アイテム特性のギャンブル","아이템 속성 도박","Arriscando com Propriedades dos Itens","Спекулирует на свойствах предмета","Apostar sobre las propiedades de los objetos","เสี่ยงโชคกับคุณสมบัติของไอเทม","用物品屬性博弈","Gambling with Weapon Properties","Joue avec les Propriétés des Armes","Experimentiert mit Waffen-Eigenschaften","武器の特性のギャンブル","무기 속성 도박","Arriscando com Propriedades de Armas","Спекулирует на свойствах оружия","Apostar sobre las propiedades de las armas","เสี่ยงโชคกับคุณสมบัติของอาวุธ","用武器屬性博弈"
63,1,8,1,"Betting on Item Outcomes","Mise sur le Résultat des Objets","Wettet auf Gegenstandsergebnisse","アイテム所産の博打","아이템 결과값 내기","Apostando em Resultados de Itens","Делает ставки на итоговые свойства предмета","Apostar sobre los resultados de los objetos","พนันกับผลลัพธ์ของไอเทม","打賭物品結果","Smuggling Gloves (Trapped Chests!)","Fait de la contrebande de Gants (dans des coffres piégés !)","Schmuggelt Handschuhe (Truhen mit Fallen!)","手袋の密輸（トラップチェスト！）","밀수한 장갑 (덫 상자!)","Contrabandeando Luvas (Baús Trancados!)","Тайно провозит перчатки (ловушки в сундуках!)","Traficar con guantes (¡Cofres atrapados!)","ลอบขนถุงมือ (หีบติดกับดัก!)","走私手套（陷阱寶箱！）"
64,1,8,2,"Betting on Item Outcomes","Mise sur le Résultat des Objets","Wettet auf Gegenstandsergebnisse","アイテム所産の博打","아이템 결과값 내기","Apostando em Resultados de Itens","Делает ставки на итоговые свойства предмета","Apostar sobre los resultados de los objetos","พนันกับผลลัพธ์ของไอเทม","打賭物品結果","Smuggling Gloves (Trapped Chests!)","Fait de la contrebande de Gants (dans des coffres piégés !)","Schmuggelt Handschuhe (Truhen mit Fallen!)","手袋の密輸（トラップチェスト！）","밀수한 장갑 (덫 상자!)","Contrabandeando Luvas (Baús Trancados!)","Тайно провозит перчатки (ловушки в сундуках!)","Traficar con guantes (¡Cofres atrapados!)","ลอบขนถุงมือ (หีบติดกับดัก!)","走私手套（陷阱寶箱！）"
65,1,8,3,"Betting on Item Outcomes","Mise sur le Résultat des Objets","Wettet auf Gegenstandsergebnisse","アイテム所産の博打","아이템 결과값 내기","Apostando em Resultados de Itens","Делает ставки на итоговые свойства предмета","Apostar sobre los resultados de los objetos","พนันกับผลลัพธ์ของไอเทม","打賭物品結果","Smuggling Gloves (Trapped Chests!)","Fait de la contrebande de Gants (dans des coffres piégés !)","Schmuggelt Handschuhe (Truhen mit Fallen!)","手袋の密輸（トラップチェスト！）","밀수한 장갑 (덫 상자!)","Contrabandeando Luvas (Baús Trancados!)","Тайно провозит перчатки (ловушки в сундуках!)","Traficar con guantes (¡Cofres atrapados!)","ลอบขนถุงมือ (หีบติดกับดัก!)","走私手套（陷阱寶箱！）"
66,2,8,1,"Wagering on Item Worth","Parie sur la Valeur des Objets","Wettet auf Gegenstandswerte","アイテム価値の賭博","아이템 가치 노름","Jogando com o Valor dos Itens","Заключает пари о стоимости предмета","Apostar sobre el valor de los objetos","เดิมพันกับมูลค่าของไอเทม","以物品價值賭注","Transporting Gloves","Transporte des Gants","Transportiert Handschuhe","手袋の輸送","수송 중인 장갑","Transportando Luvas","Перевозит перчатки","Transportar guantes","ขนส่งถุงมือ","護送手套"
67,2,8,2,"Wagering on Item Worth","Parie sur la Valeur des Objets","Wettet auf Gegenstandswerte","アイテム価値の賭博","아이템 가치 노름","Jogando com o Valor dos Itens","Заключает пари о стоимости предмета","Apostar sobre el valor de los objetos","เดิมพันกับมูลค่าของไอเทม","以物品價值賭注","Transporting Gloves","Transporte des Gants","Transportiert Handschuhe","手袋の輸送","수송 중인 장갑","Transportando Luvas","Перевозит перчатки","Transportar guantes","ขนส่งถุงมือ","護送手套"
68,2,8,3,"Wagering on Item Worth","Parie sur la Valeur des Objets","Wettet auf Gegenstandswerte","アイテム価値の賭博","아이템 가치 노름","Jogando com o Valor dos Itens","Заключает пари о стоимости предмета","Apostar sobre el valor de los objetos","เดิมพันกับมูลค่าของไอเทม","以物品價值賭注","Transporting Gloves","Transporte des Gants","Transportiert Handschuhe","手袋の輸送","수송 중인 장갑","Transportando Luvas","Перевозит перчатки","Transportar guantes","ขนส่งถุงมือ","護送手套"
69,4,8,1,"Investigating Item Odds","Cherche à comprendre les Probabilités des Objets","Ermittelt Gegenstands-Chancen","アイテム可能性の調査","아이템 배당률 조사","Investigando as Chances dos Itens","Исследует вероятности на предметах","Investigar las probabilidades de los objetos","สำรวจความน่าจะเป็นของไอเทม","調查物品賠率","Gambling with Glove Properties","Joue avec les Propriétés des Gants","Experimentiert mit Handschuh-Eigenschaften","手袋の特性のギャンブル","장갑 속성 도박","Arriscando com Propriedades de Luvas","Спекулирует на свойствах перчаток","Apostar sobre las propiedades de los guantes","เสี่ยงโชคกับคุณสมบัติของถุงมือ","用手套屬性博弈"
70,4,8,2,"Investigating Item Odds","Cherche à comprendre les Probabilités des Objets","Ermittelt Gegenstands-Chancen","アイテム可能性の調査","아이템 배당률 조사","Investigando as Chances dos Itens","Исследует вероятности на предметах","Investigar las probabilidades de los objetos","สำรวจความน่าจะเป็นของไอเทม","調查物品賠率","Gambling with Glove Properties","Joue avec les Propriétés des Gants","Experimentiert mit Handschuh-Eigenschaften","手袋の特性のギャンブル","장갑 속성 도박","Arriscando com Propriedades de Luvas","Спекулирует на свойствах перчаток","Apostar sobre las propiedades de los guantes","เสี่ยงโชคกับคุณสมบัติของถุงมือ","用手套屬性博弈"
71,4,8,3,"Investigating Item Odds","Cherche à comprendre les Probabilités des Objets","Ermittelt Gegenstands-Chancen","アイテム可能性の調査","아이템 배당률 조사","Investigando as Chances dos Itens","Исследует вероятности на предметах","Investigar las probabilidades de los objetos","สำรวจความน่าจะเป็นของไอเทม","調查物品賠率","Gambling with Glove Properties","Joue avec les Propriétés des Gants","Experimentiert mit Handschuh-Eigenschaften","手袋の特性のギャンブル","장갑 속성 도박","Arriscando com Propriedades de Luvas","Спекулирует на свойствах перчаток","Apostar sobre las propiedades de los guantes","เสี่ยงโชคกับคุณสมบัติของถุงมือ","用手套屬性博弈"
72,3,1,1,"Stealing Strongbox Scarabs","Vole des Scarabées de Coffre-fort","Stiehlt Tresor-Skarabäen","ストロングボックススカラベの盗難","훔친 금고 갑충석","Roubando Escaravelhos de Cofres","Похищает скарабеев ларцов","Robar escarabajos de cajas fuertes","ขโมยกล่องนิรภัยสคารับ","偷竊保險箱聖甲蟲","Stealing Strongbox Scarabs","Vole des Scarabées de Coffre-fort","Stiehlt Tresor-Skarabäen","ストロングボックススカラベの盗難","훔친 금고 갑충석","Roubando Escaravelhos de Cofres","Похищает скарабеев ларцов","Robar escarabajos de cajas fuertes","ขโมยกล่องนิรภัยสคารับ","偷竊保險箱聖甲蟲"
73,3,1,2,"Stealing Strongbox Scarabs","Vole des Scarabées de Coffre-fort","Stiehlt Tresor-Skarabäen","ストロングボックススカラベの盗難","훔친 금고 갑충석","Roubando Escaravelhos de Cofres","Похищает скарабеев ларцов","Robar escarabajos de cajas fuertes","ขโมยกล่องนิรภัยสคารับ","偷竊保險箱聖甲蟲","Stealing Strongbox Scarabs","Vole des Scarabées de Coffre-fort","Stiehlt Tresor-Skarabäen","ストロングボックススカラベの盗難","훔친 금고 갑충석","Roubando Escaravelhos de Cofres","Похищает скарабеев ларцов","Robar escarabajos de cajas fuertes","ขโมยกล่องนิรภัยสคารับ","偷竊保險箱聖甲蟲"
74,3,1,3,"Stealing Strongbox Scarabs","Vole des Scarabées de Coffre-fort","Stiehlt Tresor-Skarabäen","ストロングボックススカラベの盗難","훔친 금고 갑충석","Roubando Escaravelhos de Cofres","Похищает скарабеев ларцов","Robar escarabajos de cajas fuertes","ขโมยกล่องนิรภัยสคารับ","偷竊保險箱聖甲蟲","Stealing Strongbox Scarabs","Vole des Scarabées de Coffre-fort","Stiehlt Tresor-Skarabäen","ストロングボックススカラベの盗難","훔친 금고 갑충석","Roubando Escaravelhos de Cofres","Похищает скарабеев ларцов","Robar escarabajos de cajas fuertes","ขโมยกล่องนิรภัยสคารับ","偷竊保險箱聖甲蟲"
75,1,1,1,"Guarding Unique Strongbox","Garde des Coffres-forts uniques","Bewacht einzigartige Tresore","ユニークストロングボックスの警護","수호받는 고유 금고","Protegendo Cofres Únicos","Охраняет уникальный ларец","Custodiar cajas fuertes únicas","เฝ้ากล่องนิรภัยยูนิค","保護傳奇保險箱","Guarding Trapped Chests","Garde des coffres piégés","Bewacht Truhen mit Fallen","トラップチェストの警護","수호받는 덫 상자","Protegendo Baús Trancados","Охраняет сундуки с ловушками","Custodiar cofres atrapados","เฝ้าหีบติดกับดัก","保護陷阱寶箱"
76,1,1,2,"Guarding Unique Strongbox","Garde des Coffres-forts uniques","Bewacht einzigartige Tresore","ユニークストロングボックスの警護","수호받는 고유 금고","Protegendo Cofres Únicos","Охраняет уникальный ларец","Custodiar cajas fuertes únicas","เฝ้ากล่องนิรภัยยูนิค","保護傳奇保險箱","Guarding Trapped Chests","Garde des coffres piégés","Bewacht Truhen mit Fallen","トラップチェストの警護","수호받는 덫 상자","Protegendo Baús Trancados","Охраняет сундуки с ловушками","Custodiar cofres atrapados","เฝ้าหีบติดกับดัก","保護陷阱寶箱"
77,1,1,3,"Guarding Unique Strongbox","Garde des Coffres-forts uniques","Bewacht einzigartige Tresore","ユニークストロングボックスの警護","수호받는 고유 금고","Protegendo Cofres Únicos","Охраняет уникальный ларец","Custodiar cajas fuertes únicas","เฝ้ากล่องนิรภัยยูนิค","保護傳奇保險箱","Guarding Trapped Chests","Garde des coffres piégés","Bewacht Truhen mit Fallen","トラップチェストの警護","수호받는 덫 상자","Protegendo Baús Trancados","Охраняет сундуки с ловушками","Custodiar cofres atrapados","เฝ้าหีบติดกับดัก","保護陷阱寶箱"
78,2,1,1,"Transporting Rare Equipment","Achemine de l'Équipement rare","Transportiert seltene Ausrüstung","レア装備の輸送","수송 중인 희귀 장비","Transportando Equipamentos Raros","Перевозит редкое снаряжение","Transportar equipamiento raro","ขนส่งไอเทมสวมใส่แรร์","護送稀有裝備","Transporting Rare Equipment","Transporte de l'Équipement rare","Transportiert seltene Ausrüstung","レア装備の輸送","수송 중인 희귀 장비","Transportando Equipamentos Raros","Перевозит редкую экипировку","Transportar equipamientos raros","ขนส่งไอเทมสวมใส่แรร์","護送稀有裝備"
79,2,1,2,"Transporting Rare Equipment","Achemine de l'Équipement rare","Transportiert seltene Ausrüstung","レア装備の輸送","수송 중인 희귀 장비","Transportando Equipamentos Raros","Перевозит редкое снаряжение","Transportar equipamiento raro","ขนส่งไอเทมสวมใส่แรร์","護送稀有裝備","Transporting Rare Equipment","Transporte de l'Équipement rare","Transportiert seltene Ausrüstung","レア装備の輸送","수송 중인 희귀 장비","Transportando Equipamentos Raros","Перевозит редкую экипировку","Transportar equipamientos raros","ขนส่งไอเทมสวมใส่แรร์","護送稀有裝備"
80,2,1,3,"Transporting Rare Equipment","Achemine de l'Équipement rare","Transportiert seltene Ausrüstung","レア装備の輸送","수송 중인 희귀 장비","Transportando Equipamentos Raros","Перевозит редкое снаряжение","Transportar equipamiento raro","ขนส่งไอเทมสวมใส่แรร์","護送稀有裝備","Transporting Rare Equipment","Transporte de l'Équipement rare","Transportiert seltene Ausrüstung","レア装備の輸送","수송 중인 희귀 장비","Transportando Equipamentos Raros","Перевозит редкую экипировку","Transportar equipamientos raros","ขนส่งไอเทมสวมใส่แรร์","護送稀有裝備"
81,4,1,1,"Forging Powerful Equipment","Forge de l'Équipement puissant","Schmiedet mächtige Ausrüstung","強力な装備の鍛造","강력한 장비 제작","Forjando Equipamentos Poderosos","Кует мощное снаряжение","Forjar equipamiento poderoso","หลอมไอเทมสวมใส่อันทรงพลัง","研磨強力裝備","Guarding Fine Armoursmithing Equipment","Garde de l'excellent Équipement d'Armurier","Bewacht edles Rüstungsmaterial","高品質鎧鍛冶道具の警護","수호받는 질 좋은 방어구 단조 장비","Protegendo Ótimos Equipamentos de Proteção","Охраняет ценные инструменты бронника","Custodiar equipamientos elegantes de forja","เฝ้าอุปกรณ์ทำเกราะคุณภาพดี","守護精緻裝甲設備"
