"rownum","Id","MinLevel","MaxLevel","Weight","TopologiesKey","MonsterPacksKeys","ArtFile","Name (English)","Name (French)","Name (German)","Name (Japanese)","Name (Korean)","Name (Portuguese)","Name (Russian)","Name (Spanish)","Name (Thai)","Name (Traditional Chinese)","SynthesisAreaSizeKey","AchievementItemsKey"
65,"Ossuary_Medium",46,100,100,2285,[1639],"Art/2DArt/UIImages/InGame/Synthesis/Tiles/MapIslands/Ossuary","Grim Sepulchre Memory","Souvenir de Galeries macabres","Erinnerung an die Düstere Grabkammer","恐ろしい地下墓所の記憶","으스스한 매장소 기억","Memória do Sepulcro Sombrio","Воспоминание: Мрачная гробница","Memoria del Sepulcro Sombrío","ความทรงจำของ Grim Sepulchre","記憶：肅穆墳地",1,""
66,"Park_Medium",45,100,100,2378,[1540],"Art/2DArt/UIImages/InGame/Synthesis/Tiles/MapIslands/Park","City Park Memory","Souvenir d'un Parc urbain","Erinnerung an den Stadtpark","都市公園の記憶","시민 공원 기억","Memória do Parque da Cidade","Воспоминание: Городской парк","Memoria del Parque de la Ciudad","ความทรงจำของ City Park","記憶：古城藝園",1,""
67,"Plateau_Medium",45,100,100,2287,"[1640,1641,1642,1643,1644]","Art/2DArt/UIImages/InGame/Synthesis/Tiles/MapIslands/Plateau","Volcanic Plateau Memory","Souvenir d'un Plateau volcanique","Erinnerung an das Vulkanisches Plateau","火山の高原の記憶","화산 고원 기억","Memória do Platô Vulcânico","Воспоминание: Вулканическое плато","Memoria de la Meseta Volcánica","ความทรงจำของ Volcanic Plateau","記憶：火山高原",1,""
68,"PoolsAndStreams_Medium",45,100,100,2288,"[1649,1650,1651]","Art/2DArt/UIImages/InGame/Synthesis/Tiles/MapIslands/PoolsAndStreams","Lush Wetlands Memory","Souvenir de Paluns luxuriants","Erinnerung an die Üppige Feuchtlande","生い茂る湿原の記憶","무성한 습지대 기억","Memória dos Pantanais Exuberantes","Воспоминание: Буйные болота","Memoria de los Humedales Frondosos","ความทรงจำของ Lush Wetlands","記憶：茂盛濕地",1,""
69,"Prison_Medium",45,100,100,2289,"[1556,1557]","Art/2DArt/UIImages/InGame/Synthesis/Tiles/MapIslands/Prison","Detention Centre Memory","Souvenir d'un Centre de détention","Erinnerung an das Gefangenenlager","拘置所の記憶","중앙 수용소 기억","Memória do Centro de Detenção","Воспоминание: Место заключения","Memoria del Centro de Detención","ความทรงจำของ Detention Centre","記憶：拘留所",1,""
70,"Quarry_Medium",45,100,100,2384,[1541],"Art/2DArt/UIImages/InGame/Synthesis/Tiles/MapIslands/Quarry","Labour Camp Memory","Souvenir d'un Camp de travail","Erinnerung an das Arbeitslager","労働収容所の記憶","노동자 구역 기억","Memória do Acampamento de Trabalho","Воспоминание: Рабочий лагерь","Memoria del Campo de Trabajo","ความทรงจำของ Labour Camp","記憶：奴役營",1,""
71,"Reef_Medium",52,100,100,2386,[1652],"Art/2DArt/UIImages/InGame/Synthesis/Tiles/MapIslands/Reef","Rockpools Memory","Souvenir d'un Lagon","Erinnerung an die Felstümpel","潮溜りの記憶","바위틈 웅덩이 기억","Memória das Piscinas Rochosas","Воспоминание: Каменный омут","Memoria de los Estanques","ความทรงจำของ Rockpools","記憶：岩池",1,""
72,"Ridge_Medium",48,100,100,2290,"[1653,1654]","Art/2DArt/UIImages/InGame/Synthesis/Tiles/MapIslands/Ridge","Cliffside Path Memory","Souvenir d'un Flanc de falaise","Erinnerung an den Klippenpfad","絶壁の道の記憶","깎아지른 길 기억","Memória da Trilha do Penhasco","Воспоминание: Отвесный путь","Memoria del Camino de la Ladera","ความทรงจำของ Cliffside Path","記憶：懸崖之路",1,""
73,"RuinedTemple_Medium",45,100,100,2292,[1655],"Art/2DArt/UIImages/InGame/Synthesis/Tiles/MapIslands/RuinedTemple","Reclaimed Temple Memory","Souvenir d'un Temple reconquis","Erinnerung an den Überwucherten Tempel","埋め立てられた寺院の記憶","되찾은 사원 기억","Memória do Templo Reinvidicado","Воспоминание: Возвращенный храм","Memoria del Templo Recuperado","ความทรงจำของ Reclaimed Temple","記憶：教化寺廟",1,""
74,"Sanctuary_Medium",45,100,100,2392,"[1558,1559,1560]","Art/2DArt/UIImages/InGame/Synthesis/Tiles/MapIslands/Sanctuary","Ritual Memory","Souvenir d'un Lieu de culte","Erinnerung an das Ritual","儀式の記憶","의례소 기억","Memória do Ritual","Воспоминание: Ритуал","Memoria del Ritual","ความทรงจำของ Ritual","記憶：儀式聖所",1,""
75,"Scepter_Medium",45,100,100,2395,"[1561,1562,1563]","Art/2DArt/UIImages/InGame/Synthesis/Tiles/MapIslands/Scepter","Eternal Residence Memory","Souvenir d'une Résidence éternelle","Erinnerung an die Ewige Residenz","永遠の住居の記憶","영원한 거주지 기억","Memória da Residência Eterna","Воспоминание: Вечная резиденция","Memoria de la Residencia Eterna","ความทรงจำของ Eternal Residence","記憶：永恆居所",1,""
76,"Sewers_Medium",45,100,100,2293,"[1564,1565,1566]","Art/2DArt/UIImages/InGame/Synthesis/Tiles/MapIslands/Sewers","Effluvia Memory","Souvenir d'Effluves","Erinnerung an den Abwasserkanal","悪臭の記憶","가득한 악취 기억","Memória da Via Fétida","Воспоминание: Миазмы","Memoria del Efluvio","ความทรงจำของ Effluvia","記憶：惡臭地道",1,""
77,"Solaris_Medium",45,100,100,2400,"[1567,1568,1569]","Art/2DArt/UIImages/InGame/Synthesis/Tiles/MapIslands/Solaris","Pristine Palace Memory","Souvenir d'un Palais immaculé","Erinnerung an den Prächtigen Palast","無瑕疵な宮殿の記憶","온전한 궁전 기억","Memória do Palácio Intocado","Воспоминание: Чистый дворец","Memoria del Palacio Prístino","ความทรงจำของ Pristine Palace","記憶：原始宮殿",1,""
78,"SpiderThicket_Medium",45,100,100,2296,"[1659,1660,1661]","Art/2DArt/UIImages/InGame/Synthesis/Tiles/MapIslands/SpiderForest","Infested Temple Memory","Souvenir d'un Temple infesté","Erinnerung an den Verseuchten Tempel","蜘蛛の蔓延った寺院の記憶","감염된 사원 기억","Memória do Templo Infestado","Воспоминание: Зараженный храм","Memoria del Templo Infestado","ความทรงจำของ Infested Temple","記憶：病疫神殿",1,""
79,"Slums_Medium",45,100,100,2294,"[1656,1657,1658]","Art/2DArt/UIImages/InGame/Synthesis/Tiles/MapIslands/Slums","Shanty Town Memory","Souvenir d'un Faubourg appauvri","Erinnerung an die Barackensiedlung","スラム街の記憶","허름한 마을 기억","Memória da Favela","Воспоминание: Трущобы","Memoria del Barrio Bajo","ความทรงจำของ Shanty Town","記憶：陋棚鎮",1,""
80,"Thicket_Medium",45,100,100,2298,"[1662,1663,1664]","Art/2DArt/UIImages/InGame/Synthesis/Tiles/MapIslands/Thicket","Overgrowth Memory","Souvenir d'une Flore envahissante","Erinnerung an die Überwucherung","密林の記憶","과목림 기억","Memória da Superabundância","Воспоминание: Заросли","Memoria de la Vegetación Exuberante","ความทรงจำของ Overgrowth","記憶：長草遺跡",1,""
81,"VenariusToZana",68,100,0,2299,[],"Art/2DArt/UIImages/InGame/Synthesis/Tiles/MapIslands/SynthesisGuardian","Templar Laboratory Memory","Souvenir d'un Laboratoire des Templiers","Erinnerung an das Templerlaboratorium","テンプラーの研究所の記憶","템플러의 실험실 기억","Memória do Laboratório Templário","Воспоминание: Лаборатория жрецов","Memoria del Laboratorio Templario","ความทรงจำของ Templar Laboratory","記憶：聖堂實驗室",3,""
82,"Guardian1",68,100,0,2241,[],"Art/2DArt/UIImages/InGame/Synthesis/Tiles/MapIslands/Guardian1","Altered Distant Memory","Souvenir lointain altéré","Veränderte entfernte Erinnerung","改変された遠い記憶","뒤바뀐 희미한 기억","Memória Distante Alterada","Изменённое отдалённое воспоминание","Memoria lejana alterada","ความทรงจำที่ห่างไกลที่ถูกแก้ไข","遙遠記憶：編造",3,""
83,"Guardian2",68,100,0,2242,[],"Art/2DArt/UIImages/InGame/Synthesis/Tiles/MapIslands/Guardian2","Augmented Distant Memory","Souvenir lointain exacerbé","Verstärkte entfernte Erinnerung","増幅された遠い記憶","강화된 희미한 기억(Augmented Distant Memory)","Memória Distante Ampliada","Дополненное отдалённое воспоминание","Memoria lejana mejorada","ความทรงจำที่ห่างไกลที่ถูกแต่งเติม","遙遠記憶：增幅",3,""
84,"Guardian3",68,100,0,2243,[],"Art/2DArt/UIImages/InGame/Synthesis/Tiles/MapIslands/Guardian3","Twisted Distant Memory","Souvenir lointain déformé","Verdorbene entfernte Erinnerung","歪められた遠い記憶","뒤틀린 희미한 기억(Twisted Distant Memory)","Memória Distante Distorcida","Искажённое отдалённое воспоминание","Memoria lejana retorcida","ความทรงจำที่ห่างไกลที่ถูกบิดเบือน","遙遠記憶：扭曲",3,""
85,"Guardian4",68,100,0,2244,[],"Art/2DArt/UIImages/InGame/Synthesis/Tiles/MapIslands/Guardian4","Rewritten Distant Memory","Souvenir lointain réécrit","Umgeschriebene entfernte Erinnerung","書き換えられた遠い記憶","다시 쓰인 희미한 기억(Rewritten Distant Memory)","Memória Distante Reescrita","Переписанное отдалённое воспоминание","Memoria lejana reescrita","ความทรงจำที่ห่างไกลที่ถูกเขียนใหม่","遙遠記憶：改寫",3,""
86,"Boss",79,100,0,2240,[],"Art/2DArt/UIImages/InGame/Synthesis/Tiles/MapIslands/Boss","Cortex","Le Cortex","Cortex","コーテクス","코텍스","Córtex","Кора","Córtex","Cortex","深沉記憶",3,""
87,"AcidCave",11,100,0,2300,[1523],"Art/2DArt/UIImages/InGame/Synthesis/Tiles/MapIslands/AcidCave","Distant Limestone Hollow Memory","Souvenir lointain d'un Gouffre calcaire","Entfernte Erinnerung an die Tropfsteinhöhle","石灰石の空洞の遠い記憶","희미한 석회암 동혈 기억","Memória Distante do Oco de Calcário","Отдалённое воспоминание: Известняковая впадина","Memoria lejana de la Hondonada de Piedra Caliza","ความทรงจำที่ห่างไกลของ Limestone Hollow","記憶：遙遠石灰岩洞",2,""
88,"Antiquary",46,100,0,2301,[1524],"Art/2DArt/UIImages/InGame/Synthesis/Tiles/MapIslands/Antiquary","Distant Collection Memory","Souvenir lointain d'une Collection","Entfernte Erinnerung an die Sammlung","収集室の遠い記憶","희미한 수집품 보관실 기억","Memória Distante do Antiquário","Отдалённое воспоминание: Коллекция","Memoria lejana de Colección","ความทรงจำที่ห่างไกลของ Collection","記憶：遙遠蒐藏寶庫",2,""
89,"ArachnidTomb",56,100,0,2304,[1525],"Art/2DArt/UIImages/InGame/Synthesis/Tiles/MapIslands/ArachnidTomb","Distant Infested Tomb Memory","Souvenir lointain d'un Tombeau infesté","Entfernte Erinnerung an die Verseuchte Gruft","蜘蛛の蔓延った墓の遠い記憶","희미한 감염된 무덤 기억","Memória Distante da Tumba Infestada","Отдалённое воспоминание: Зараженная гробница","Memoria lejana de la Tumba Infestada","ความทรงจำที่ห่างไกลของ Infested Tomb","記憶：遙遠病疫墓穴",2,""
90,"Archives",32,100,0,2305,[1526],"Art/2DArt/UIImages/InGame/Synthesis/Tiles/MapIslands/Archives","Distant Repository Memory","Souvenir lointain d'un Recueil","Entfernte Erinnerung an das Repositorium","知識の宝庫の遠い記憶","희미한 기록의 보고 기억","Memória Distante do Repositório","Отдалённое воспоминание: Хранилище","Memoria lejana del Repositorio","ความทรงจำที่ห่างไกลของ Repository","記憶：遙遠檔案庫",2,""
91,"AshenWood",16,100,0,2308,[1527],"Art/2DArt/UIImages/InGame/Synthesis/Tiles/MapIslands/AshenWood","Distant Wildfire Memory","Souvenir lointain d'un Feu de forêt","Entfernte Erinnerung an das Lauffeuer","野火の遠い記憶","희미한 들불 기억","Memória Distante do Fogo Selvagem","Отдалённое воспоминание: Лесной пожар","Memoria lejana de Incendio Descontrolado","ความทรงจำที่ห่างไกลของ Wildfire","記憶：遙遠野火",2,""
92,"Baths",59,100,0,2309,"[1544,1545]","Art/2DArt/UIImages/InGame/Synthesis/Tiles/MapIslands/Baths","Distant State Palace Memory","Souvenir lointain d'un Palais officiel","Entfernte Erinnerung an den Stattlichen Palast","迎賓館の遠い記憶","희미한 주 궁전 기억","Memória Distante do Palácio Estatal","Отдалённое воспоминание: Парадный дворец","Memoria lejana del Palacio de Estado","ความทรงจำที่ห่างไกลของ State Palace","記憶：遙遠州際宮殿",2,""
93,"Bazaar",28,100,0,2312,[1528],"Art/2DArt/UIImages/InGame/Synthesis/Tiles/MapIslands/Bazaar","Distant Exchange Memory","Souvenir lointain d'un Marché","Entfernte Erinnerung an die Börse","取引所の遠い記憶","희미한 환전소 기억","Memória Distante da Troca","Отдалённое воспоминание: Биржа","Memoria lejana de Intercambio","ความทรงจำที่ห่างไกลของ Exchange","記憶：遙遠交易市集",2,""
94,"Beach",11,100,0,2315,[1529],"Art/2DArt/UIImages/InGame/Synthesis/Tiles/MapIslands/Beach","Distant Sandbar Memory","Souvenir lointain d'un Banc de sable","Entfernte Erinnerung an die Sandbank","砂州の遠い記憶","희미한 모래톱 기억","Memória Distante das Margens Arenosas","Отдалённое воспоминание: Песчаная отмель","Memoria lejana del Banco de Arena","ความทรงจำที่ห่างไกลของ Sandbar","記憶：遙遠沙壩",2,""
95,"Belly",40,100,0,2318,[1530],"Art/2DArt/UIImages/InGame/Synthesis/Tiles/MapIslands/Belly","Distant Nightmare Memory","Souvenir lointain d'un Cauchemar","Entfernte Erinnerung an den Albtraum","悪夢の記憶","희미한 악몽 기억","Memória Distante do Pesadelo","Отдалённое воспоминание: Кошмар","Memoria lejana de la Pesadilla","ความทรงจำที่ห่างไกลของ Nightmare","記憶：遙遠夢靨",2,""
96,"Cave",17,100,0,2324,[1532],"Art/2DArt/UIImages/InGame/Synthesis/Tiles/MapIslands/Cave","Distant Eroded Chamber Memory","Souvenir lointain d'une Cavité érodée","Entfernte Erinnerung an den Ausgewaschenen Hohlraum","浸食された洞窟の遠い記憶","희미한 침식된 방 기억","Memória Distante da Câmara Corroída","Отдалённое воспоминание: Разрушенная камера","Memoria lejana de la Cámara Erosionada","ความทรงจำที่ห่างไกลของ Eroded Chamber","記憶：遙遠腐蝕密室",2,""
97,"CaveMine",51,100,0,2325,[1546],"Art/2DArt/UIImages/InGame/Synthesis/Tiles/MapIslands/CaveMine","Distant Abandoned Shaft Memory","Souvenir lointain d'un Puits abandonné","Entfernte Erinnerung an den Verlassenen Minenschacht","放棄された立坑の遠い記憶","희미한 버려진 갱도 기억","Memória Distante do Mastro Abandonado","Отдалённое воспоминание: Заброшенная шахта","Memoria lejana de la Mina Abandonada","ความทรงจำที่ห่างไกลของ Abandoned Shaft","記憶：遙遠遺棄之柱",2,""
98,"Cells",51,100,0,2327,"[1671,1672]","Art/2DArt/UIImages/InGame/Synthesis/Tiles/MapIslands/Cells","Distant Holding Cells Memory","Souvenir lointain de Cachots","Entfernte Erinnerung an die Gefängniszellen","待機房の遠い記憶","희미한 구치소 기억","Memória Distante das Celas de Contenção","Отдалённое воспоминание: Тюремные камеры","Memoria lejana del Centro de Detención","ความทรงจำที่ห่างไกลของ Holding Cells","記憶：遙遠幽魂監牢",2,""
99,"Chambers",45,100,0,2330,[1533],"Art/2DArt/UIImages/InGame/Synthesis/Tiles/MapIslands/Chambers","Distant Courthouse Memory","Souvenir lointain d'un Tribunal","Entfernte Erinnerung an das Gericht","裁判所の遠い記憶","희미한 법원 기억","Memória Distante do Tribunal","Отдалённое воспоминание: Зал суда","Memoria lejana del Tribunal","ความทรงจำที่ห่างไกลของ Courthouse","記憶：遙遠失序教院",2,""
100,"Colosseum",40,100,0,2333,"[1618,1619,1620,1621,1622]","Art/2DArt/UIImages/InGame/Synthesis/Tiles/MapIslands/Colosseum","Distant Bloodsoaked Arena Memory","Souvenir lointain d'une Arène imprégnée de sang","Entfernte Erinnerung an die Blutgetränkte Arena","血塗れの闘技場の遠い記憶","희미한 피투성이 투기장 기억","Memória Distante da Arena Ensanguentada","Отдалённое воспоминание: Пропитанная кровью арена","Memoria lejana de la Arena Ensangrentada","ความทรงจำที่ห่างไกลของ Bloodsoaked Arena","記憶：遙遠鮮血競技場",2,""
101,"ControlBlocks",43,100,0,2334,[1534],"Art/2DArt/UIImages/InGame/Synthesis/Tiles/MapIslands/ControlBlocks","Distant Slave Blocks Memory","Souvenir lointain d'un Bagne","Entfernte Erinnerung an die Sklavenpferche","奴隷区画の遠い記憶","희미한 노예 구역 기억","Memória Distante das Senzalas","Отдалённое воспоминание: Кварталы рабов","Memoria lejana de los Bloques de Esclavos","ความทรงจำที่ห่างไกลของ Slave Blocks","記憶：遙遠奴役地帶",2,""
102,"Crypt",51,100,0,2337,[1535],"Art/2DArt/UIImages/InGame/Synthesis/Tiles/MapIslands/Crypt","Distant Undercroft Memory","Souvenir lointain de Chambres mortuaires","Entfernte Erinnerung an das Unterirdische Gewölbe","聖堂地下室の遠い記憶","희미한 둥근 지하실 기억","Memória Distante da Cripta do Santuário","Отдалённое воспоминание: Крипта","Memoria lejana de la Bóveda","ความทรงจำที่ห่างไกลของ Undercroft","記憶：遙遠教堂之窖",2,""
103,"DarkForest",23,100,0,2339,"[1668,1669,1670]","Art/2DArt/UIImages/InGame/Synthesis/Tiles/MapIslands/DarkForest","Distant Grim Woods Memory","Souvenir lointain d'un Bois lugubre","Entfernte Erinnerung an den Düsteren Wald","恐ろしい森の遠い記憶","희미한 으스스한 수목림 기억","Memória Distante da Floresta Sombria","Отдалённое воспоминание: Мрачные леса","Memoria lejana del Bosque Sombrío","ความทรงจำที่ห่างไกลของ Grim Woods","記憶：遙遠肅穆森林",2,""
104,"DriedLake",36,100,0,2341,[1623],"Art/2DArt/UIImages/InGame/Synthesis/Tiles/MapIslands/DriedLake","Distant Salted Earth Memory","Souvenir lointain d'une Terre saline","Entfernte Erinnerung an die Salzwüste","塩土の遠い記憶","희미한 짜디짠 땅 기억","Memória Distante da Terra Salgada","Отдалённое воспоминание: Солончак","Memoria lejana del Suelo Salado","ความทรงจำที่ห่างไกลของ Salted Earth","記憶：遙遠鹽土",2,""
105,"Dungeon",11,100,0,2342,[1536],"Art/2DArt/UIImages/InGame/Synthesis/Tiles/MapIslands/Dungeon","Distant Temple Ruins Memory","Souvenir lointain des Ruines d'un temple","Entfernte Erinnerung an die Tempelruinen","寺院の廃墟の遠い記憶","희미한 사원 유적 기억","Memória Distante das Câmaras de Interrogação","Отдалённое воспоминание: Развалины храма","Memoria lejana de las Ruinas del Templo","ความทรงจำที่ห่างไกลของ Temple Ruins","記憶：遙遠神殿遺跡",2,""
106,"Fields",60,100,0,2345,"[1673,1674,1675]","Art/2DArt/UIImages/InGame/Synthesis/Tiles/MapIslands/Fields","Distant Outskirts Memory","Souvenir lointain d'une Jachère","Entfernte Erinnerung an den Stadtrand","郊外の遠い記憶","희미한 변두리 기억","Memória Distante dos Subúrbios","Отдалённое воспоминание: Окраины","Memoria lejana de las afueras","ความทรงจำที่ห่างไกลของ Outskirts","記憶：遙遠荒野外郊",2,""
107,"Fissure",39,100,0,2346,[1537],"Art/2DArt/UIImages/InGame/Synthesis/Tiles/MapIslands/Fissure","Distant Aftermath Memory","Souvenir lointain d'un Cataclysme","Entfernte Erinnerung an die Kluft","廃墟の遠い記憶","희미한 참사의 여파 기억","Memória Distante das Consequências","Отдалённое воспоминание: Последствия","Memoria lejana de la Secuela","ความทรงจำที่ห่างไกลของ Aftermath","記憶：遙遠殘破狹縫",2,""
108,"Forest",51,100,0,2349,"[1547,1548,1549]","Art/2DArt/UIImages/InGame/Synthesis/Tiles/MapIslands/Forest","Distant Woods Memory","Souvenir lointain d'un Bois","Entfernte Erinnerung an den Wald","森の遠い記憶","희미한 수목림 기억","Memória Distante da Floresta","Отдалённое воспоминание: Леса","Memoria lejana del Bosque","ความทรงจำที่ห่างไกลของ Woods","記憶：遙遠陰鬱叢林",2,""
109,"ForestCave",17,100,0,2351,[1624],"Art/2DArt/UIImages/InGame/Synthesis/Tiles/MapIslands/ForestCave","Distant Sprawling Caverns Memory","Souvenir lointain d'une Caverne tortueuse","Entfernte Erinnerung an die Weitläufigen Kavernen","乱雑な大洞窟の遠い記憶","희미한 구불구불한 암굴 기억","Memória Distante das Cavernas Espalhadas","Отдалённое воспоминание: Расползающиеся пещеры","Memoria lejana de las Cavernas Gigantescas","ความทรงจำที่ห่างไกลของ Sprawling Caverns","記憶：遙遠蔓延洞穴",2,""
110,"Garden",32,100,0,2352,[1538],"Art/2DArt/UIImages/InGame/Synthesis/Tiles/MapIslands/Gardens","Distant Palace Grounds Memory","Souvenir lointain d'une Enceinte de palais","Entfernte Erinnerung an den Palastgarten","宮殿の庭園の遠い記憶","희미한 궁전 정원 기억","Memória Distante das Terras do Palácio","Отдалённое воспоминание: Дворцовые земли","Memoria lejana de los Terrenos de Palacio","ความทรงจำที่ห่างไกลของ Palace Grounds","記憶：遙遠宮殿陣地",2,""
111,"Glacier",51,100,0,2354,"[1625,1626,1627,1628]","Art/2DArt/UIImages/InGame/Synthesis/Tiles/MapIslands/Glacier","Distant Glacial Cavern Memory","Souvenir lointain d'une Caverne glaciaire","Entfernte Erinnerung an die Gletscherhöhle","氷河の大洞窟の遠い記憶","희미한 빙하의 암굴 기억","Memória Distante da Caverna Glacial","Отдалённое воспоминание: Ледниковая пещера","Memoria lejana de la Caverna Glacial","ความทรงจำที่ห่างไกลของ Glacial Cavern","記憶：遙遠冰川洞穴",2,""
112,"Graveyard",18,100,0,2355,"[1550,1551,1552]","Art/2DArt/UIImages/InGame/Synthesis/Tiles/MapIslands/Graveyard","Distant Burial Grounds Memory","Souvenir lointain d'une Terre d'inhumation","Entfernte Erinnerung an die Begräbnisstätte","墓地の遠い記憶","희미한 매장터 기억","Memória Distante das Terras do Cemitério","Отдалённое воспоминание: Погребальные земли","Memoria lejana de los Terrenos del Cementerio","ความทรงจำที่ห่างไกลของ Burial Grounds","記憶：遙遠墓園陣地",2,""
113,"Haunt",51,100,0,2357,[1539],"Art/2DArt/UIImages/InGame/Synthesis/Tiles/MapIslands/Haunt","Distant Bleak Halls Memory","Souvenir lointain d'une Demeure sinistre","Entfernte Erinnerung an die Finsteren Hallen","侘しい殿堂の遠い記憶","희미한 음산한 전당 기억","Memória Distante dos Salões Ermos","Отдалённое воспоминание: Гнетущие залы","Memoria lejana de los Salones Lúgubres","ความทรงจำที่ห่างไกลของ Bleak Halls","記憶：遙遠悽慘會堂",2,""
114,"Iceberg",42,100,0,2358,[1676],"Art/2DArt/UIImages/InGame/Synthesis/Tiles/MapIslands/Iceberg","Distant Frozen Drift Memory","Souvenir lointain de Congères gelées","Entfernte Erinnerung an die Schneeverwehung","凍った吹き溜まりの遠い記憶","희미한 얼어붙은 흐름 기억","Memória Distante da Brisa Congelante","Отдалённое воспоминание: Замёрзшее течение","Memoria lejana de la Deriva Congelada","ความทรงจำที่ห่างไกลของ Frozen Drift","記憶：遙遠冰凍板塊",2,""
115,"Library",32,100,0,2359,"[1629,1630]","Art/2DArt/UIImages/InGame/Synthesis/Tiles/MapIslands/Library","Distant Reading Chambers Memory","Souvenir lointain de Salles de lecture","Entfernte Erinnerung an den Lesesaal","閲覧室の遠い記憶","희미한 독서실 기억","Memória Distante das Câmaras de Leitura","Отдалённое воспоминание: Читальные залы","Memoria lejana de la Cámaras de Lectura","ความทรงจำที่ห่างไกลของ Reading Chambers","記憶：遙遠閱讀密室",2,""
116,"Lunaris",31,100,0,2362,"[1645,1646,1647,1648]","Art/2DArt/UIImages/InGame/Synthesis/Tiles/MapIslands/Lunaris","Distant Bloodbath Memory","Souvenir lointain d'un Bain de sang","Entfernte Erinnerung an das Blutbad","血の浴槽の遠い記憶","희미한 피바다 기억","Memória Distante do Banho de Sangue","Отдалённое воспоминание: Кровавая баня","Memoria lejana del Baño de Sangre","ความทรงจำที่ห่างไกลของ Bloodbath","記憶：遙遠浸血之殿",2,""
117,"LushCrater",48,100,0,2365,[1678],"Art/2DArt/UIImages/InGame/Synthesis/Tiles/MapIslands/LushCrater","Distant Lush Crater Memory","Souvenir lointain d'un Cratère luxuriant","Entfernte Erinnerung an den Üppigen Krater","生い茂る火口の遠い記憶","희미한 우거진 분화구 기억","Memória Distante da Cratera Exuberante","Отдалённое воспоминание: Заросший кратер","Memoria lejana del Cráter Frondoso","ความทรงจำที่ห่างไกลของ Lush Crater","記憶：遙遠失控殞坑",2,""
118,"Mesa",11,100,0,2367,"[1636,1637]","Art/2DArt/UIImages/InGame/Synthesis/Tiles/MapIslands/Mesa","Distant Rocky Mesa Memory","Souvenir lointain d'une Mesa rocheuse","Entfernte Erinnerung an die Felsige Hochebene","岩の大地の遠い記憶","희미한 암석 메사 기억","Memória Distante da Mesa Rochosa","Отдалённое воспоминание: Каменистая долина","Memoria lejana de la Meseta Rocosa","ความทรงจำที่ห่างไกลของ Rocky Mesa","記憶：遙遠堅岩荒漠",2,""
119,"Mineshaft",36,100,0,2368,[1638],"Art/2DArt/UIImages/InGame/Synthesis/Tiles/MapIslands/Mines","Distant Deep Dig Memory","Souvenir lointain de Fouilles souterraines","Entfernte Erinnerung an den Tiefen Graben","深い溝の遠い記憶","희미한 깊은 채굴지 기억","Memória Distante da Escavação Profunda","Отдалённое воспоминание: Глубокие раскопки","Memoria lejana de la Excavación Profunda","ความทรงจำที่ห่างไกลของ Deep Dig","記憶：遙遠深掘礦坑",2,""
120,"MoonTemple",60,100,0,2371,"[1631,1632,1633,1634,1635]","Art/2DArt/UIImages/InGame/Synthesis/Tiles/MapIslands/MoonTemple","Distant Moonlight Temple Memory","Souvenir lointain d'un Temple au clair de lune","Entfernte Erinnerung an den Mondlichttempel","月光の寺院の遠い記憶","희미한 월광 사원 기억","Memória Distante do Templo da Luz Lunar","Отдалённое воспоминание: Храм лунного света","Memoria lejana del Templo de Luz de la Luna","ความทรงจำที่ห่างไกลของ Moonlight Temple","記憶：遙遠月光神殿",2,""
121,"Mushroom",11,100,0,2374,[1553],"Art/2DArt/UIImages/InGame/Synthesis/Tiles/MapIslands/Mushroom","Distant Mushroom Grotto Memory","Souvenir lointain d'une Grotte à champignons","Entfernte Erinnerung an die Pilzgrotte","茸の洞穴の遠い記憶","희미한 버섯 석굴 기억","Memória Distante da Gruta de Cogumelos","Отдалённое воспоминание: Грибной грот","Memoria lejana de la Gruta Fúngica","ความทรงจำที่ห่างไกลของ Mushroom Grotto","記憶：遙遠菌菇洞穴",2,""
122,"Oasis",63,100,0,2375,[1542],"Art/2DArt/UIImages/InGame/Synthesis/Tiles/MapIslands/Oasis","Distant Paradise Memory","Souvenir lointain d'un Paradis","Entfernte Erinnerung an das Paradies","楽園の遠い記憶","희미한 낙원 기억","Memória Distante do Paraíso","Отдалённое воспоминание: Рай","Memoria lejana del Paraíso","ความทรงจำที่ห่างไกลของ Paradise","記憶：遙遠幻影天堂",2,""
123,"Ossuary",46,100,0,2376,[1639],"Art/2DArt/UIImages/InGame/Synthesis/Tiles/MapIslands/Ossuary","Distant Grim Sepulchre Memory","Souvenir lointain de Galeries macabres","Entfernte Erinnerung an die Düstere Grabkammer","恐ろしい地下墓所の遠い記憶","희미한 으스스한 매장소 기억","Memória Distante do Sepulcro Sombrio","Отдалённое воспоминание: Мрачная гробница","Memoria lejana del Sepulcro Sombrío","ความทรงจำที่ห่างไกลของ Grim Sepulchre","記憶：遙遠肅穆墳地",2,""
124,"Park",51,100,0,2377,[1540],"Art/2DArt/UIImages/InGame/Synthesis/Tiles/MapIslands/Park","Distant City Park Memory","Souvenir lointain d'un Parc urbain","Entfernte Erinnerung an den Stadtpark","都市公園の遠い記憶","희미한 시민 공원 기억","Memória Distante do Parque da Cidade","Отдалённое воспоминание: Городской парк","Memoria lejana del Parque de la Ciudad","ความทรงจำที่ห่างไกลของ City Park","記憶：遙遠古城藝園",2,""
