"rownum","Id","Text (English)","Text (French)","Text (German)","Text (Japanese)","Text (Korean)","Text (Portuguese)","Text (Russian)","Text (Spanish)","Text (Thai)","Text (Traditional Chinese)","TextHardmode (English)","TextHardmode (French)","TextHardmode (German)","TextHardmode (Japanese)","TextHardmode (Korean)","TextHardmode (Portuguese)","TextHardmode (Russian)","TextHardmode (Spanish)","TextHardmode (Thai)","TextHardmode (Traditional Chinese)"
92,"ReminderTextKeystoneEldritchBattery","(Spend Energy Shield before Mana for Skill Mana Costs. Energy Shield protects Mana instead of Life. 50% less Energy Shield Recharge Rate)","(Désormais, vous payez d'abord le Coût en Mana de vos Aptitudes avec votre Bouclier d'énergie. Votre Bouclier d'Énergie protège votre Mana au lieu de votre Vie. 50% de Perte de Vitesse de recharge du Bouclier d'énergie)","(Manakosten für Fertigkeiten werden zuerst vom Energieschild und erst dann vom Mana abgezogen. Energieschild schützt Mana statt Leben. 50% weniger Energieschild-Wiederaufladungsrate)","(Eldrich Battery: スキルのマナコストを消費する際、マナの前にエナジーシールドを消費する。エナジーシールドはライフの代わりにマナを守る。エナジーシールドのリチャージ速度50%低下)","(스킬의 마나 소모량 차감 시 마나 대신 에너지 보호막을 우선 소모합니다. 에너지 보호막이 생명력 대신 마나를 보호합니다. 에너지 보호막 재충전 속도가 50% 감폭됩니다)","(Gasta Escudo de Energia antes da Mana para Custo de Mana de Habilidades. Escudo de Energia protégé a Mana ao invés da Vida. 50% menos Recarga do Escudo de Energia.)","(При расходе умениями маны сначала расходуется энергетический щит вместо маны. Энергетический щит защищает ману вместо здоровья. На 50% меньшая скорость перезарядки энергетического щита)","(Gastas escudo de energía antes que maná para los costos de las habilidades. El escudo de energía protege el maná en lugar de la vida. 50% menos de velocidad de recarga del escudo de energía)","(จ่าย โล่พลังงาน ก่อน มานา ในส่วนของ ค่าใช้งาน ที่เป็น มานา, ลดอัตราการ รีชาร์จโล่พลังงาน อีก 50%)","(優先使用能量護盾代替技能魔力消耗。能量護盾從生命護盾變成魔力護盾。50% 更少能量護盾回復速度)","","","","","","","","","",""
93,"ReminderTextCoveredInAsh","(Being Covered in Ash applies 20% less Movement Speed and 20% increased Fire Damage Taken, for 4 seconds)","(Être Recouvert de cendres inflige 20% de Perte de Vitesse de déplacement et 20% d'Augmentation des Dégâts de feu subis pendant 4 secondes)","(Mit Asche bedeckt zu sein wendet 20% weniger Bewegungsgeschwindigkeit und 20% erhöhten erlittenen Feuerschaden an, für 4 Sekunden)","(Covered in Ash: 灰まみれは、移動スピードを20%低下させ、受ける火ダメージを20%増加させる。持続時間は4秒)","(\""재로 뒤덮임\"" 상태에서는 이동 속도가 20% 감폭되고 받는 화염 피해가 20% 증가합니다. 4초 동안 유지됩니다)","(Estar coberto por Cinzas reduz em 20% Velocidade de Movimento e aumenta em 20% o Dano de Fogo Sofrido, dura por 4 segundos)","(Покрытие пеплом даёт на 20% меньше скорости передвижения и увеличивает получаемый урон от огня на 20% на 4 секунды)","(Estar cubierto de ceniza otorga un 20% menos de velocidad de movimiento y daño de fuego recibido aumentado un 20%, durante 4 segundos)","(สถานะ อาบขี้เถ้า ลดความเร็วในการเคลื่อนที่ อีก 20% และเพิ่มความเสียหาย ไฟ ที่ได้รับ 20% เป็นเวลา 4 วินาที)","(被餘燼纏身時20%更少移動速度並增加承受20%火焰傷害，持續 4 秒)","","","","","","","","","",""
94,"ReminderTextCoveredInAshNoDuration","(Being Covered in Ash applies 20% less Movement Speed and 20% increased Fire Damage Taken)","(Être Recouvert de cendres inflige 20% de Perte de Vitesse de déplacement et 20% d'Augmentation des Dégâts de feu subis)","(Mit Asche bedeckt zu sein wendet 20% weniger Bewegungsgeschwindigkeit und 20% erhöhten erlittenen Feuerschaden an)","(Covered in Ash: 灰まみれは、移動スピードを20%低下させ、受ける火ダメージが20%増加させる)","(\""재로 뒤덮임\"" 상태에서는 이동 속도가 20% 감폭되고 받는 화염 피해가 20% 증가합니다.)","(Inimigos Cobertos por Cinzas têm 20% menos Velocidade de Movimento e 20% de Dano de Fogo Sofrido aumentado)","(Покрытие пеплом даёт на 20% меньше скорости передвижения и увеличивает получаемый урон от огня на 20%)","(Estar cubierto de ceniza otorga un 20% menos de velocidad de movimiento y daño de fuego recibido aumentado un 20%)","(สถานะ อาบขี้เถ้า ลดความเร็วในการเคลื่อนที่ อีก 20% และเพิ่มความเสียหาย ไฟ ที่ได้รับ 20%)","(被餘燼纏身的敵人20%更少移動速度並增加承受20%火焰傷害)","","","","","","","","","",""
95,"ReminderTextCoveredInAshVariableDamgaeTaken","(Being Covered in Ash applies 20% less Movement Speed and increases Fire Damage taken, for 4 seconds)","(Être Recouvert de cendres inflige 20% de Perte de Vitesse de déplacement et 20% d'Augmentation des Dégâts de feu subis)","(Mit Asche bedeckt zu sein wendet 20% weniger Bewegungsgeschwindigkeit an und erhöht den erlittenen Feuerschaden für 4 Sekunden)","(Covered in Ash: 灰まみれは、移動スピードを20%低下させ、受ける火ダメージを増加させる。持続時間は4秒)","(\""재로 뒤덮임\"" 상태에서는 이동 속도가 20% 감폭되고 받는 화염 피해가 증가합니다. 4초 동안 유지됩니다)","(Estar coberto por Cinzas reduz em 20% Velocidade de Movimento e aumenta em 20% o Dano de Fogo Sofrido, dura por 4 segundos)","(Покрытие пеплом даёт на 20% меньше скорости передвижения и увеличивает получаемый урон от огня на 4 секунды)","(Estar cubierto de ceniza otorga un 20% menos de velocidad de movimiento y aumenta el daño de fuego recibido, durante 4 segundos)","(สถานะ อาบขี้เถ้า ลดความเร็วในการเคลื่อนที่ อีก 20% และเพิ่มความเสียหาย ไฟ ที่ได้รับ เป็นเวลา 4 วินาที)","( 餘燼纏身套用 20% 更少移動速度和增加承受 20% 火焰傷害，持續 4 秒 )","","","","","","","","","",""
96,"ReminderTextKeystoneChaosInoculation","(Maximum Life becomes 1, Immune to Chaos Damage)","(Votre Vie maximale passe à 1. Vous êtes immunisé aux Dégâts de chaos)","(Setzt maximales Leben auf 1 und macht immun gegen Chaosschaden.)","(Chaos Inoculation: ライフの最大値が1になる。混沌ダメージを受けなくなる)","(최대 생명력이 1이 되고, 카오스 피해에 면역이 됩니다)","(Vida Máxima torna-se 1, Imune a Dano de Caos)","(Максимальное количество здоровья становится равно 1, иммунитет к урону хаосом)","(La vida máxima se vuelve 1. Inmune al daño de caos)","(พลังชีวิตสูงสุด กลายเป็น 1, ไม่ได้รับความเสียหาย เคออส)","(最大生命變成 1，免疫混沌傷害)","","","","","","","","","",""
97,"ReminderTextKeystoneElementalEquilibrium","(Hits that deal Elemental Damage remove Exposure to those Elements and inflict Exposure to other Elements, applying -25% to Resistances)","(Lorsque vous touchez avec des Dégâts élémentaires, vous retirez l'Exposition aux éléments correspondants et infligez l'Exposition aux autres éléments, ce qui inflige -25% de malus aux Résistances concernées)","(Treffer, die Elementarschaden verursachen, entfernen die Anfälligkeit für diese Elemente und verursachen Anfälligkeit für die anderen Elemente, was -25% zu Widerständen anwendet)","(Elemental Equilibrium: 元素ダメージによるヒットは、ヒットされた対象からその元素への曝露を取り除き、代わりに対象を他の元素へ曝露させる。その結果、対象はその元素への耐性が-25%になる。)","(명중으로 원소 피해를 주면 해당 원소의 노출을 제거하고 다른 원소의 노출을 유발하여 저항 -25%를 적용합니다)","(Acertos que causam Dano Elemental removem Exposição para aqueles Elementos e infligem Exposição aos outros Elementos, aplicando -25% às Resistências)","(Удары, наносящие урон от стихий, снимают Восприимчивость к соответствующим стихиям и накладывают Восприимчивость к другим стихиям, добавляя -25% к сопротивлениям)","(Los golpes que infligen daño elemental eliminan la exposición a esos elementos y aplican exposición a otros elementos, y también aplican un -25% a todas las resistencias)","(การปะทะที่สร้างความเสียหาย ธาตุ จะกำจัดสถานะ พ่ายแก่ธาตุ ต่อธาตุเหล่านั้น แล้วสร้างสถานะ พ่ายแก่ธาตุ ของธาตุอื่นๆ ทำให้ค่าต้านทาน ธาตุเหล่านั้น -25%)","(擊中造成的元素傷害移除該元素曝曬並造成其他元素曝曬，-25% 元素)","","","","","","","","","",""
98,"ReminderTextKeystoneElementalOverload","(Skills that have dealt a Critical Strike in the past 8 seconds deal 40% more Elemental Damage with Hits and Ailments. Your Critical Strikes do not deal extra Damage. Ailments never count as being from Critical Strikes)","(Les Aptitudes ayant infligé un Coup critique au cours des 8 dernières secondes ont 40% Davantage de Dégâts élémentaires au Toucher et avec les Altérations. Vos Coups critiques n'infligent pas de Dégâts accrus. Vos Altérations ne sont jamais considérées comme ayant été infligées par des Coups critiques)","(Fertigkeiten, die innerhalb der letzten 8 Sekunden einen kritischen Treffer erzielt haben, verursachen 40% mehr Elementarschaden mit Treffern und Beeinträchtigungen. Eure kritischen Treffer verursachen keinen extra Schaden. Beeinträchtigungen werden nie so gezählt, als ob sie von kritischen Treffern verursacht wurden)","(Elemental Overload: 過去8秒間にクリティカルを与えていれば、クリティカルを与えたスキルのヒットと状態異常による元素ダメージが40%上昇する。クリティカルストライクが追加のダメージを与えなくなる。状態異常はクリティカルストライクによる発生としてみなされない)","(지난 8초 이내에 치명타를 준 경우 해당 스킬의 명중 및 상태 이상 원소 피해가 40% 증폭됩니다. 플레이어의 치명타가 추가 피해를 주지 않습니다. 상태 이상은 치명타로 유발하는 것으로 간주하지 않습니다)","(Habilidades que causaram um Golpe Crítico nos últimos 8 segundos causam 40% mais Dano Elemental com Acertos e Afecções. Seus Golpes Críticos não causam Dano extra. Afecções nunca contam como sendo de um Golpe Crítico)","(Умения, нанёсшие критический удар за последние 8 секунд, наносят на 40% больше стихийного урона от ударов и состояний. Критические удары не наносят дополнительный урон. Состояния не считаются вызванными критическими ударами)","(Las habilidades que han infligido un golpe crítico en los últimos 8 segundos infligen un 40% más de daño elemental con golpes y estados alterados. Tus golpes críticos no infligen daño extra. Los estados alterados nunca cuentan como provenientes de golpes críticos)","(สกิลที่คริติคอลใน 8 วินาทีที่ผ่านมา จะสร้างความเสียหาย ปะทะและเจ็บป่วย ธาตุ เพิ่มขึ้น อีก 40%, คริติคอลของคุณจะไม่สร้างความเสียหายเพิ่มเติม และสถานะ เจ็บป่วย จะไม่นับว่าเกิดขึ้นจากคริติคอลไม่ว่าด้วยกรณีใดๆ)","(過去 8 秒內技能造成暴擊，造成 40% 更多元素擊中和異常狀態傷害。你的暴擊不會造成額外傷害。異常狀態永不透過暴擊計算)","","","","","","","","","",""
99,"ReminderTextKeystoneMinionInstability","(Minions explode when reduced to Low Life, dealing 33% of their maximum Life as Fire Damage to surrounding Enemies)","(Les Créatures explosent lorsque leur Vie est Basse, infligeant 33% de leur Vie maximale sous forme de Dégâts de feu aux Ennemis à proximité)","(Kreaturen explodieren bei niedrigem Leben und verursachen 33% ihres maximalen Lebens als Feuerschaden an umliegenden Gegnern.)","(Minion Instability: ミニオンは低ライフ状態にまでライフを失うと爆発し、最大ライフの33%を火ダメージとして周囲の敵に与える)","(소환수가 낮은 생명력 시 폭발합니다. 최대 생명력의 33%를 주변의 적에게 화염 피해로 가합니다)","(Lacaios explodem quando reduzidos à Vida Baixa, causando 33% de suas Vidas máximas como Dano de Fogo em Inimigos próximos)","(Приспешники взрываются при малом количестве здоровья, нанося по области 33% от своего максимального количества здоровья в виде урона от огня)","(Los esbirros explotan cuando su vida alcanza el umbral de vida baja e infligen un 33% de su vida máxima como daño de fuego a los enemigos circundantes)","(มิเนียนจะระเบิดตัวเองเมื่อ พลังชีวิตเหลือน้อย ซึ่งจะสร้างความเสียหาย ไฟ เท่ากับ 33% ของ พลังชีวิตสูงสุดของมัน ไปยังศัตรูรอบตัว)","(召喚物瀕死時爆炸，對附近敵人造成 33% 最大生命的火焰傷害)","","","","","","","","","",""
100,"ReminderTextKeystoneProjectileEvasion","(Evasion Rating is Doubled against Projectile Attacks, 25% less Evasion Rating against Melee Attacks)","(Votre Score d'Évasion est doublé contre les Attaques à Projectiles. 25% de Perte de chances d'Éviter les Attaques de mêlée)","(Ausweichwert gegen Projektilangriffe ist verdoppelt, 25% weniger Ausweichwert gegen Nahkampfangriffe)","(Arrow Dancing: 投射物アタックに対する回避力が2倍になる。近接アタックに対する回避力が25%低下する)","(투사체 공격에 대한 회피가 2배로 증가합니다. 근접 공격에 대한 회피가 25% 감폭됩니다.)","(Evasão é Dobrada contra Ataques de Projéteis, 25% menos Evasão contra Ataques Corpo a Corpo)","(Значение уклонения от атак снарядами удвоено, на 25% значение уклонения от атак в ближнем бою)","(La evasión se duplica contra los ataques de proyectiles, 25% menos de evasión contra los ataques cuerpo a cuerpo)","(อัตราการหลบหลีก เพิ่มเป็นสองเท่า ต่อการโจมตีกระสุน, อัตราการหลบหลีก ลดลง อีก 25% ต่อการโจมตีประชิด)","(閃避值對投射物攻擊加倍，對近戰攻擊有 25% 更少閃避值)","","","","","","","","","",""
101,"ReminderTextKeystoneIronGrip","(Strength's Damage bonus also applies to Projectile Attacks)","(Le bonus de Dégâts apporté par la Force s'applique également aux Attaques à Projectiles)","(Schadensbonus durch Stärke wird auch auf Projektilangriffe angewendet)","(Iron Grip: 筋力のダメージボーナスは投射物アタックにも適用される)","(투사체 공격에 힘의 피해 보너스도 적용됩니다)","(Bônus de Dano de Força também é aplicado a Ataques de Projétil)","(Атаки снарядами получают бонус к урону от силы)","(La bonificación al daño de la fuerza también se aplica a los ataques de proyectiles)","(โบนัสความเสียหายจาก Strength จะส่งผลกับการโจมตี กระสุน เช่นเดียวกัน)","(力量加成的物理傷害套用至投射物攻擊與近戰攻擊)","","","","","","","","","",""
102,"ReminderTextKeystoneZealotsOath","(Life Regeneration is applied to Energy Shield instead.)","(Votre Régénération de Vie s'applique au Bouclier d'énergie à la place)","(Lebensregeneration wird stattdessen auf Energieschild angewendet.)","(Zealots Oath: ライフ自動回復は、エナジーシールドに適用される)","(생명력 재생이 생명력이 아닌 에너지 보호막을 재생시킵니다)","(Regeneração de Vida é aplicada ao Escudo de Energia.)","(Вместо здоровья регенерируется энергетический щит)","(La regeneración de vida se aplica al escudo de energía en su lugar.)","(การ ฟื้นฟูพลังชีวิต จะส่งผลต่อ โล่พลังงาน แทน)","(生命回復套用到能量護盾上)","","","","","","","","","",""
103,"ReminderTextKeystoneGhostReaver","(Leech Energy Shield instead of Life. Maximum total Energy Shield Recovery per second from Leech is doubled. Cannot Recharge Energy Shield)","(Votre Drain de Vie est converti en Drain de Bouclier d'énergie. Votre Drain de Bouclier d'énergie maximal par seconde est doublé. Votre Bouclier d'énergie ne se Recharge plus)","(Raubt Energieschild statt Leben. Die maximale Gesamtwiederherstellung des Energieschilds pro Sekunde, die durch Raub erfolgt, ist verdoppelt. Kann Energieschild nicht wieder aufladen)","(Ghost Reaver: ライフに代わりエナジーシールドをリーチする。リーチによる秒間最大合計エナジーシールド回復量は倍となる。エナジーシールドをリチャージできない。)","(생명력 대신 에너지 보호막을 흡수합니다. 흡수 시 1초당 총 에너지 보호막 회복량 최대치가 2배로 증가합니다. 에너지 보호막 재충전이 불가합니다.)","(Drena Escudo de Energia ao invés de Vida. Total de Recuperação Máxima do Escudo de Energia é dobrada. Não pode Recuperar Escudo de Energia.)","(Вместо здоровья похищается энергетический щит. Максимальное итоговое восстановление энергетического щита в секунду от похищения удвоено. Перезарядка энергетического щита не действует)","(Absorbe escudo de energía en lugar de vida. La recuperación de escudo de energía total máximo por segundo por absorción se duplica. El escudo de energía no se puede recargar)","(ดูด โล่พลังงาน แทน พลังชีวิต, อัตราการ เติมโล่พลังงาน สุทธิสูงสุดจากการ ดูด เพิ่มเป็นสองเท่า, ไม่สามารถ รีชาร์จโล่พลังงาน ได้)","(偷取能量護盾而不是生命。來自偷取每秒能量護盾的最大總恢復加倍。能量護盾不會充能)","","","","","","","","","",""
104,"ReminderTextFishBiteSensitivity","(Multiple bites from Fish with multiple mouths only check Bite Sensitivity once)","(La Sensibilité de touche n'est comptée qu'une seule fois pour les Poissons qui ont plusieurs bouches et qui effectuent plusieurs touches)","(Mehrere Bisse von Fischen mit mehreren Mäulern prüfen die Bissempfindlichkeit nur ein einziges Mal)","(Bite Sensitivity: 口を複数持つ魚が複数回餌を噛んでもアタリの感度は一度だけしかチェックされません)","(여러 물고기들에게 여러 번 물린다면 이빨 민감도를 확인하십시오)","(Múltiplas mordidas de Peixes com múltiplas bocas só ativam a Sensitividade de Mordida uma vez)","(Множественные укусы рыбы с несколькими ртами влияют на чувствительность к укусам только один раз)","(Las mordeduras múltiples de los peces con múltiples bocas solo revisan la sensibilidad de la mordedura una vez)","(การกัดจากปลาที่มีหลายปาก จะเช็ค Bite Sensitivity แค่ครั้งเดียว)","(擁有多個嘴巴的魚上鉤時將只計算咬餌靈敏度一次)","","","","","","","","","",""
105,"ReminderTextIronWill","(Strength's Damage bonus applies to all Spell Damage as well)","(Le bonus de Dégâts provenant de la Force s'applique également aux Dégâts des Sorts)","(Schadensbonus durch Stärke wird auch auf Zauberschaden angewendet.)","(Iron Will: 筋力のダメージボーナスは全てのスペルダメージにも適用される)","(모든 주문 피해에 힘의 피해 보너스가 적용됩니다)","(Bônus de dano da Força também é aplicado a todo o Dano Mágico)","(Прибавка к урону от силы также действует на весь урон от чар)","(La bonificación de daño de la Fuerza también se aplica a todo el daño de hechizos)","(โบนัสความเสียหายจาก Strength ส่งผลกับความเสียหาย เวท ทุกชนิด เช่นเดียวกัน)","(力量加成的傷害同時套用至全部法術)","","","","","","","","","",""
106,"ReminderTextCreateLesserShrineCooldown","(Create Lesser Shrine has an initial Cooldown before it can Trigger)","(Création d'Autel mineur a un temps de recharge initial avant de pouvoir se Déclencher)","('Niederen Schrein erschaffen' hat eine Abklingzeit, bevor er ausgelöst werden kann)","(Create Lesser Shrine: クリエイトレッサーシュラインはトリガー可能となる前に初期クールダウンがある)","(하위 성소 창조는 발동 전까지 재사용 대기시간이 있습니다)","(Criar Altar Menor tem uma Recarga inicial antes de poder ser Ativado)","(Перед срабатыванием у Создания малого алтаря есть время перезарядки)","(Crear Santuario Menor tiene un Tiempo de Recarga inicial antes de que se pueda Activar)","(สร้างแท่นบูชาองค์รอง มีคูลดาวน์เริ่มต้นพักหนึ่ง ก่อนที่มันจะเริ่มทริกเกอร์)","(產生低階神殿有內建冷卻時間)","","","","","","","","","",""
107,"ReminderTextKeystonePerfectAgony","(Modifiers to Critical Strike Multiplier also apply to Damage Multiplier for Ailments from Critical Strikes at 50% of their value. 30% less Damage with Hits)","(Les Modificateurs au Multiplicateur de coup critique s'appliquent aussi au Multiplicateur de Dégâts des Altérations découlant de Coups critiques, à 50% de leurs valeurs\n30% de Perte de Dégâts au Toucher)","(Modifikatoren für den Multiplikator für kritische Treffer werden zu 50 % auf den Schadensmultiplikator für Beeinträchtigungen durch kritische Treffer angerechnet.\n30 % weniger Schaden mit Treffern)","(Perfect Agony: クリティカルダメージ倍率に対するモッドは、その50%の値がクリティカルストライクによる状態異常ダメージ倍率へ適用される。ヒットダメージが30%低下する)","(치명타 피해 배율 속성 부여가 치명타로 인한 상태 이상 피해 배율에도 50% 만큼 적용됩니다. 명중 시 피해가 30% 감폭됩니다)","(Modificadores de Multiplicador de Crítico também aplicam-se ao Multiplicador de Dano de Afecções de Golpes Críticos com 50% do seu valor.\n30% menos Dano com Acertos)","(Модификаторы множителя критического удара также применяются к модификаторам множителя урона для состояний, наложенных от критических ударов на 50% от их значения\nУрон от ударов на 30% меньше)","(Los modificadores de multiplicador de golpe crítico también se aplican al multiplicador de daño para los estados alterados de los golpes críticos a un 50% de su valor\n30% menos de daño con golpes)","(ม็อดที่ส่งผลต่อ ตัวคูณคริติคอล ส่งผลต่อ ตัวคูณความเสียหายต่อเนื่องของสถานะ เจ็บป่วย จากคริติคอล เช่นกันในสัดส่วน 50% ของค่าดังกล่าว, ลดความเสียหายปะทะ อีก 30%)","( 暴擊加成詞綴以 50% 它們的數值同時影響暴擊所造成的異常狀態傷害加成。擊中傷害造成 30% 較少傷害 )","","","","","","","","","",""
108,"ReminderTextFreeze","(Freeze lowers Enemy Action Speed to zero, preventing them from acting. Duration is based on the Cold Damage of the Hit)","(Le Gel réduit la Vitesse d'action des Ennemis à zéro, les empêchant ainsi d'agir. Sa Durée dépend des Dégâts de froid infligés au Toucher)","(Einfrieren verringert die gegnerische Aktionsgeschwindigkeit auf Null und verhindert jede Handlung. Die Dauer ist abhängig vom Kälteschaden des Treffers)","(Freeze: 凍結は、敵のアクションスピードを0まで低下させ、行動を妨げる。持続時間はヒットにより受けた冷気ダメージに基づく)","(\""동결\""은 적의 동작 속도를 0으로 만들어 동작 자체를 방지합니다. 지속시간은 동결 적용 시의 냉기 피해량에 의해 결정됩니다)","(Congelamento desacelera os Inimigos completamente, prevenindo que realizem qualquer ação. A Duração é baseada no Dano de Gelo do Acerto)","(Заморозка снижает скорость действий врагов до нуля, не давая им совершать действия. Длительность зависит от урона от холода нанесенного удара)","(Congelar reduce la velocidad de acción de los enemigos a cero, evitando que puedan actuar. La duración está basada en el daño de hielo del golpe)","(แช่แข็ง จะลดความเร็วในการกระทำเป็น 0 จึงทำให้ไม่สามารถกระทำอะไรได้ โดยระยะเวลาขึ้นอยู่กับความเสียหาย น้ำแข็ง ของการปะทะนั้นๆ)","(冰凍使敵人行動速度降至 0，使他們無法行動。根據擊中的冰冷傷害決定持續時間)","","","","","","","","","",""
109,"ReminderTextFreezeNonHit","(Freeze lowers Enemy Action Speed to zero, preventing them from acting)","(Le Gel réduit la Vitesse d'action des Ennemis à zéro, les empêchant ainsi d'agir.)","(Einfrieren verringert die gegnerische Aktionsgeschwindigkeit auf Null und verhindert jede Handlung)","(Freeze: 凍結は、敵のアクションスピードを0まで低下させ、行動を妨げる)","(\""동결\""은 적의 동작 속도를 0으로 만들어 동작 자체를 방지합니다)","(Congelamento desacelera os Inimigos completamente, prevenindo que realizem qualquer ação)","(Заморозка снижает скорость действий врагов до нуля, не давая им совершать действия)","(Congelar reduce la velocidad de acción de los enemigos a cero, evitando que puedan actuar)","(แช่แข็ง จะลดความเร็วในการกระทำเป็น 0 จึงทำให้ไม่สามารถกระทำอะไรได้)","(冰凍使敵人行動速度降至 0，使他們無法行動)","","","","","","","","","",""
110,"ReminderTextIgnite","(Ignite deals Fire Damage over time, based on the base Fire Damage of the Skill, for 4 seconds)","(L'Embrasement inflige des Dégâts de feu sur la durée, en fonction des Dégâts de feu de base de l'Aptitude qui l'a infligé, pendant une durée de 4 secondes)","(Entzünden verursacht Feuerschaden über Zeit für 4 Sekunden, und der Schaden ist abhängig vom Basisfeuerschaden der Fertigkeit)","(Ignite: 発火は、スキルの基礎火ダメージに基づいて火継続ダメージを与える。持続時間は4秒)","(\""점화\""는 지속 화염 피해를 주며, 피해량은 스킬의 기본 화염 피해량에 비례합니다. 4초 동안 지속됩니다)","(Incêndio causa Dano Degenerativo de Fogo baseado no Dano de Fogo base da Habilidade por 4 segundos)","(Поджог наносит постепенный урон от огня в течение 4 секунд, рассчитанный от базового урона от огня умения)","(Quemar inflige daño de fuego degenerativo, basado en el daño de fuego de la habilidad, durante 4 segundos)","(ลุกไหม้ จะสร้างความเสียหาย ไฟ ต่อเนื่อง ขึ้นอยู่กับความเสียหาย ไฟ พื้นฐานของสกิลนั้น เป็นเวลา 4 วินาที)","(點燃根據技能的基礎火焰傷害，造成持續火焰傷害，持續4秒)","","","","","","","","","",""
111,"ReminderTextIgniteNonHitNoDuration","(Ignite deals Fire Damage over time)","(L'Embrasement inflige des Dégâts de feu sur la durée)","(Entzünden verursacht Feuerschaden über Zeit)","(Ignite: 発火は火継続ダメージを与える)","(\""점화\""는 지속적인 화염 피해를 줍니다)","(Incêndio causa Dano Degenerativo de Fogo)","(Поджог наносит постепенный урон от огня)","(Quemar inflige daño de fuego degenerativo)","(ลุกไหม้ สร้างความเสียหาย ไฟ ต่อเนื่อง)","(點燃造成火焰持續傷害)","","","","","","","","","",""
112,"ReminderTextMalachaisEndurance","(Malachai's Endurance gives 20% chance to grant an Endurance Charge on Kill)","(L'Endurance de Malachai vous octroie 20% de chances de gagner une Charge d'endurance en Tuant)","(Malachais Widerstand gewährt 20% Chance, bei Tötung eine Widerstands-Ladung zu erhalten)","(Malachai's Endurance: マラカイのエンデュランスにより、敵を倒した際に20%の確率でエンデュランスチャージを得る)","(말라카이의 인내는 처치 시 20% 확률로 인내 충전을 제공합니다)","(Tolerância de Malachai fornece 20% de chance de conceder uma Carga de Tolerância ao Matar)","(Выносливость Малахая даёт 20% шанс получить заряд выносливости при убийстве)","(Aguante de Malachai da un 20% de probabilidad de otorgar una carga de aguante al matar)","(ความทรหดของมาลาไค มีโอกาสให้ Endurance Charge 1 ลูก 20% เมื่อสังหาร)","(瑪拉凱之耐力給予擊殺時有20%機率獲得耐力球)","","","","","","","","","",""
113,"ReminderTextMalachaisFrenzy","(Malachai's Frenzy gives 20% chance to grant a Frenzy Charge on Kill)","(La Frénésie de Malachai vous octroie 20% de chances de gagner une Charge de frénésie lorsque vous tuez un ennemi)","(Malachais Raserei gewährt 20% Chance, bei Tötung eine Raserei-Ladung zu erhalten)","(Malachai's Frenzy: マラカイのフレンジーにより、敵を倒した際に20%の確率でフレンジーチャージを得る)","(말라카이의 격분은 처치 시 20% 확률로 격분 충전을 제공합니다)","(Frenesi de Malachai fornece 20% de chance de conceder uma Carga de Frenesi ao Matar)","(Ярость Малахая даёт 20% шанс получить заряд ярости при убийстве)","(Frenesí de Malachai da un 20% de probabilidad de otorgar una carga de frenesí al matar)","(ความระห่ำของมาลาไค มีโอกาสให้ Frenzy Charge 1 ลูก เมื่อสังหาร)","(瑪拉凱之狂怒給予擊殺時有20%機率獲得狂怒球)","","","","","","","","","",""
114,"ReminderTextMalachaisPower","(Malachai's Power gives 20% chance to grant a Power Charge on Kill)","(Le Pouvoir de Malachai vous octroie 20% de chances de gagner une Charge de pouvoir en Tuant)","(Malachais Energie gewährt 20% Chance, bei Tötung eine Energie-Ladung zu erhalten)","(Malachai's Power: マラカイのパワーにより、敵を倒した際に20%の確率でパワーチャージを得る)","(말라카이의 권능은 처치 시 20% 확률로 권능 충전을 제공합니다)","(Poder de Malachai fornece 20% de chance de conceder uma Carga de Poder ao Matar)","(Энергия Малахая даёт 20% шанс получить заряд энергии при убийстве)","(Poder de Malachai da un 20% de probabilidad de otorgar una carga de poder al matar)","(พลังอำนาจของมาลาไค มีโอกาสให้ Power Charge 1 ลูก 20% เมื่อสังหาร)","(瑪拉凱之暴擊給予擊殺時有20%機率獲得暴擊球)","","","","","","","","","",""
