"rownum","Id","bool","IsLocal","IsWeaponLocal","Semantics","Text","bool","IsVirtual","MainHandAlias_StatsKey","OffHandAlias_StatsKey","bool","HASH32","BelongsActiveSkillsKey","Category","bool","bool","IsScalable","ContextFlags","[rid]","bool"
5575,"curse_with_enfeeble_on_hit_%_against_uncursed_enemies","","","",1,"","","","","",1,1752367900,[],"","","",1,[],[],""
5576,"map_rogue_exiles_drop_additional_currency_items_with_quality",1,"","",3,"","","","","",1,-863625914,[],"","","",1,[],[],""
5577,"map_rogue_exiles_dropped_items_are_duplicated",1,"","",4,"","","","","",1,1419022426,[],"","","","",[],[],""
5578,"map_rogue_exiles_dropped_items_are_corrupted",1,"","",4,"","","","","",1,1123206672,[],"","","","",[],[],""
5579,"map_rogue_exiles_dropped_items_are_fully_linked",1,"","",4,"","","","","",1,97802976,[],"","","","",[],[],""
5580,"drop_additional_vaal_orbs",1,"","",3,"","","","","",1,1450372792,[],"","","",1,[],[],""
5581,"map_contains_additional_mandible_talisman",1,"","",4,"","","","","",1,182794693,[],"","","","",[],[],""
5582,"map_contains_additional_chrysalis_talisman",1,"","",4,"","","","","",1,-93506722,[],"","","","",[],[],""
5583,"map_contains_additional_writhing_talisman",1,"","",4,"","","","","",1,-1157464126,[],"","","","",[],[],""
5584,"map_contains_additional_fangjaw_talisman",1,"","",4,"","","","","",1,1983267886,[],"","","","",[],[],""
5585,"map_contains_additional_clutching_talisman",1,"","",4,"","","","","",1,-421767582,[],"","","","",[],[],""
5586,"map_contains_additional_three_rat_talisman",1,"","",4,"","","","","",1,-1834468528,[],"","","","",[],[],""
5587,"map_contains_additional_unique_talisman",1,"","",4,"","","","","",1,2104020453,[],"","","","",[],[],""
5588,"map_tempest_frequency_+%",1,"","",1,"","","","","",1,1412706904,[],"","","",1,[],[],""
5589,"map_player_life_regeneration_rate_per_minute_%_per_25_rampage_stacks",1,"","",1,"","","","","",1,-1054159506,[],"","","",1,[],[],""
5590,"life_regeneration_rate_per_minute_%_per_25_rampage_stacks",1,"","",3,"","","","","",1,-718665917,[],"","","",1,[],[],""
5591,"map_player_damage_taken_+%_while_rampaging",1,"","",1,"","","","","",1,121832098,[],"","","",1,[],[],""
5592,"damage_taken_+%_while_rampaging",1,"","",1,"","","","","",1,376652865,[],"","","",1,[],[],""
5593,"map_contains_corrupted_strongbox",1,"","",4,"","","","","",1,-1721411770,[],"","","","",[],[],""
5594,"number_of_monsters_to_summon_override",1,"","",3,"","","","","",1,-445624443,[],"",1,"",1,[],[],""
5595,"monster_beyond_portal_chance_+%_final",1,"","",1,"","","","","",1,2109537144,[],"","","",1,[],[],""
5596,"map_num_leaguestones_active",1,"","",3,"","","","","",1,-326161047,[],"","","",1,[],[],""
5597,"virtual_monster_dropped_item_rarity_+%",1,"","",1,"","",1,"","","",-163732117,[],"","","",1,[],[],""
5598,"virtual_monster_dropped_item_quantity_+%",1,"","",1,"","",1,"","","",1202224419,[],"","","",1,[],[],""
5599,"virtual_chest_item_quantity_+%",1,"","",1,"","",1,"","","",-16926894,[],"","","",1,[],[],""
5600,"virtual_chest_item_rarity_+%",1,"","",1,"","",1,"","","",-1400029172,[],"","","",1,[],[],""
5601,"leaguestone_monster_dropped_item_rarity_+%_final",1,"","",1,"","","","","",1,-935378176,[],"","","",1,[],[],""
5602,"leaguestone_monster_dropped_item_quantity_+%_final",1,"","",1,"","","","","",1,888353302,[],"","","",1,[],[],""
5603,"leaguestone_chest_item_quantity_+%_final",1,"","",1,"","","","","",1,329440157,[],"","","",1,[],[],""
5604,"leaguestone_chest_item_rarity_+%_final",1,"","",1,"","","","","",1,977935783,[],"","","",1,[],[],""
5605,"map_leaguestone_stone_circle_%_chance","","","",1,"","","","","",1,1750198143,[],"","","",1,[],[],""
5606,"local_unique_jewel_frost_blades_projectile_speed_+%_with_40_dex_in_radius",1,1,"",1,"","","","","",1,880770067,[],"","","",1,[],[],""
5607,"local_unique_jewel_dual_strike_main_hand_deals_double_damage_%_with_40_dex_in_radius",1,1,"",1,"","","","","",1,1536878579,[],"","","",1,[],[],""
5608,"dual_strike_main_hand_deals_double_damage_%",1,"","",1,"","","","","",1,1140649082,[],"","","",1,[],[],""
5609,"chance_to_deal_double_damage_%",1,"","",1,"","","","","",1,-1794375245,[],6,"","",1,[],[],""
5610,"always_ignite_while_burning","","","",4,"","","","","",1,335953459,[],"","","","",[],[],""
5611,"full_life_threshold",1,"","",3,"","",1,"","","",-277481813,[],"","","",1,[0],[],""
5612,"unique_rat_cage_chance_to_squeak_when_hit_by_fire_damage",1,"","",4,"",1,"","","",1,-1690395388,[],"","","","",[],[],""
5613,"map_monster_slain_experience_+%","","","",1,"","","","","",1,1038843606,[],"","","",1,[],[],""
5614,"map_imprisoned_monsters_action_speed_+%","","","",1,"","","","","",1,1987627597,[],"","","",1,[],[],""
5615,"is_beyond_monster_daemon",1,"","",4,"","","","","",1,421439981,[],"","","","",[],[],""
5616,"map_tempest_area_of_effect_+%_visible",1,"","",1,"","","","","",1,1693836327,[],"","","",1,[],[],""
5617,"fortify_applies_to_nearby_allies_for_X_seconds",1,"","",3,"","","","","",1,639208713,[],"","","",1,[],[],""
5618,"suppress_phasing_visual","","","",4,"","","","","",1,710363632,[],"","","","",[],[],""
5619,"show_phasing_visual",1,"","",4,"",1,1,"","",1,1950168723,[],"","","","",[0],[],""
5620,"energy_shield_has_started_recharging_recently","","","",4,"","","","","",1,-1510221781,[],"","","","",[],[],""
5621,"track_energy_shield_has_started_recharging_recently","","","",4,"","",1,"","","",1791864366,[],"","","","",[36],[],""
5622,"not_affected_by_action_speed_modifiers",1,"","",4,"","","","","",1,1866629430,[],"","","","",[],[],""
5623,"map_player_movement_velocity_+%",1,"","",1,"","","","","",1,344643163,[],"","","",1,[],[],""
5624,"lunaris_glaive_angle",1,"","",3,"",1,"","","",1,2095786712,[],"","","",1,[],[],""
5625,"lunaris_glaive_acceleration_x",1,"","",3,"",1,"","","",1,727726290,[],"","","",1,[],[],""
5626,"lunaris_glaive_acceleration_y",1,"","",3,"",1,"","","",1,725821894,[],"","","",1,[],[],""
5627,"maintain_projectile_direction_when_using_contact_position",1,"","",4,"",1,"","","",1,-1243115552,[],"","","","",[],[],""
5628,"map_force_side_area",1,"","",4,"","","","","",1,-1091023752,[],"","","","",[],[],""
5629,"map_num_sextant_mods","","","",3,"","","","","",1,195016876,[],"","","","",[],[],""
5630,"cannot_be_stunned_if_you_have_been_stunned_recently","","","",4,"",1,"","","",1,648518640,[],"","","","",[],[],""
5631,"track_have_been_stunned_recently","","","",4,"","",1,"","","",1790500,[],"","","","",[36],[],""
5632,"have_been_stunned_recently","","","",4,"",1,"","","",1,1270142077,[],"","","","",[],[],""
5633,"cannot_be_frozen_if_you_have_been_frozen_recently","","","",4,"","","","","",1,1792105138,[],2,"","","",[],[],""
5634,"track_have_been_frozen_recently","","","",4,"","",1,"","","",400869316,[],"","","","",[36],[],""
5635,"have_been_frozen_recently","","","",4,"","","","","",1,1550842067,[],"","","","",[],[],""
5636,"life_and_energy_shield_recovery_rate_+%_if_stopped_taking_damage_over_time_recently","","","",1,"","","","","",1,1070372122,[],"","","",1,[],[],""
5637,"movement_speed_+%_while_on_burning_ground","","","",1,"","","","","",1,1896425439,[],"","","",1,[],[],""
5638,"chaos_damage_over_time_resistance_%","","","",1,"","",1,"","",1,-638905255,[],"","","",1,[0],[],""
5639,"while_stationary_gain_additional_physical_damage_reduction_%",1,"","",1,"","","","","",1,1452062808,[],"","","",1,[],[],""
5640,"while_stationary_gain_life_regeneration_rate_per_minute_%",1,"","",1,"","","","","",1,-883903711,[],7,"","",1,[],[],""
5641,"fire_damage_taken_+%_while_moving","","","",1,"","","","","",1,-1415433936,[],"","","",1,[],[],""
5642,"life_flasks_gain_X_charges_every_3_seconds_if_you_have_not_used_a_life_flask_recently",1,"","",3,"","","","","",1,-29324182,[],17,"","",1,[],[],""
5643,"life_recovery_+%_from_flasks_while_on_low_life","","","",1,"","","","","",1,681058921,[],17,"","",1,[],[],""
5644,"virtual_flask_life_to_recover_+%","","","",1,"","",1,"","","",-41088078,[],"","","",1,[0],[],""
5645,"additional_%_chance_to_evade_attacks_if_you_have_taken_a_savage_hit_recently","","","",1,"",1,"","","",1,616705296,[],"","","",1,[],[],""
5646,"physical_damage_reduction_%_per_hit_you_have_taken_recently","","","",1,"","","","","",1,-1268985973,[],"","","",1,[],[],""
5647,"curses_have_no_effect_on_you_for_4_seconds_every_10_seconds",1,"","",4,"","","","","",1,-337277839,[],"","","","",[],[],""
5648,"hinder_effect_on_self_+%",1,"","",1,"","","","","",1,-1562558177,[],"","","",1,[],[],""
5649,"avoid_corrupted_blood_%_chance","","","",1,"","","","","",1,-79453246,[],"","","",1,[],[],""
5650,"avoid_maim_%_chance","","","",1,"","","","","",1,1549816328,[],18,"","",1,[],[],""
5651,"monster_ground_fire_on_death_variation","","","",3,"","","","","",1,396249443,[],"","","","",[],[],""
5652,"traps_explode_on_timeout",1,"","",4,"","","","","",1,-1142925991,[],"","","","",[],[],""
5653,"physical_skill_dot_damage_to_deal_per_minute","","","",3,"","",1,"","","",1593097056,[],"","","",1,[5],[],""
5654,"fire_skill_dot_damage_to_deal_per_minute","","","",3,"","",1,"","","",-463873276,[],"","","",1,[6],[],""
5655,"cold_skill_dot_damage_to_deal_per_minute","","","",3,"","",1,"","","",-2070669231,[],"","","",1,[7],[],""
5656,"lightning_skill_dot_damage_to_deal_per_minute","","","",3,"","",1,"","","",-1245511775,[],"","","",1,[8],[],""
5657,"chaos_skill_dot_damage_to_deal_per_minute","","","",3,"","",1,"","","",-1830798673,[],"","","",1,[9],[],""
5658,"physical_area_damage_to_deal_per_minute","","","",3,"","",1,"","","",482990216,[],"","","",1,[5],[],""
5659,"fire_area_damage_to_deal_per_minute","","","",3,"","",1,"","","",-232440304,[],"","","",1,[6],[],""
5660,"cold_area_damage_to_deal_per_minute","","","",3,"","",1,"","","",419817112,[],"","","",1,[7],[],""
5661,"lightning_area_damage_to_deal_per_minute","","","",3,"","",1,"","","",-1954010865,[],"","","",1,[8],[],""
5662,"chaos_area_damage_to_deal_per_minute","","","",3,"","",1,"","","",-10440158,[],"","","",1,[9],[],""
5663,"physical_skill_dot_area_damage_to_deal_per_minute",1,"","",3,"","",1,"","","",775591199,[],"","","",1,[5],[],""
5664,"fire_skill_dot_area_damage_to_deal_per_minute",1,"","",3,"","",1,"","","",1349872547,[],"","","",1,[6],[],""
5665,"cold_skill_dot_area_damage_to_deal_per_minute",1,"","",3,"","",1,"","","",-341577307,[],"","","",1,[7],[],""
5666,"lightning_skill_dot_area_damage_to_deal_per_minute",1,"","",3,"","",1,"","","",45111435,[],"","","",1,[8],[],""
5667,"chaos_skill_dot_area_damage_to_deal_per_minute",1,"","",3,"","",1,"","","",-733684987,[],"","","",1,[9],[],""
5668,"combined_attack_elemental_damage_pluspercent","","","",1,"","",1,"","","",1069242395,[],"","","",1,[14],[],""
5669,"combined_attack_lightning_damage_pluspercent","","","",1,"","",1,"","","",555459123,[],"","","",1,[14],[],""
5670,"combined_attack_lightning_damage_pluspercent_final","","","",1,"","",1,"","","",-1325524277,[],"","","",1,[15],[],""
5671,"combined_skill_dot_elemental_damage_over_time_+%","","","",1,"","",1,"","","",-1225633065,[],"","","",1,[16],[],""
5672,"combined_skill_dot_fire_damage_over_time_+%","","","",1,"","",1,"","","",917102252,[],"","","",1,[16],[],""
5673,"combined_skill_dot_cold_damage_over_time_+%","","","",1,"","",1,"","","",-776674146,[],"","","",1,[16],[],""
5674,"combined_skill_dot_lightning_damage_over_time_+%","","","",1,"","",1,"","","",-1247705799,[],"","","",1,[16],[],""
5675,"combined_skill_dot_lightning_damage_over_time_+%_final","","","",1,"","",1,"","","",944040174,[],"","","",1,[16],[],""
5676,"convert_all_life_leech_to_energy_shield_leech","","","",4,"","","","","",1,-712772509,[],"","","","",[],[],""
5677,"infest_on_hit_chance_%",1,"","",1,"","","","","",1,1541231764,[],"","","",1,[],[],""
5678,"infest_on_hit_duration_ms",1,"","",3,"","","","","",1,-717020396,[],"","","",1,[],[],""
5679,"energy_shield_per_level","","","",3,"","","","","",1,233146720,[],"","","",1,[],[],""
5680,"virtual_physical_damage_can_ignite","","","",4,"","",1,"","","",1311150365,[],"","","","",[20],[],""
5681,"virtual_fire_damage_cannot_ignite","","","",4,"","",1,"","","",740020210,[],"","","","",[20],[],""
5682,"virtual_cold_damage_can_ignite","","","",4,"","",1,"","","",-1220057307,[],"","","","",[20],[],""
5683,"virtual_lightning_damage_can_ignite","","","",4,"","",1,"","","",755296411,[],"","","","",[20],[],""
5684,"virtual_chaos_damage_can_ignite","","","",4,"","",1,"","","",447461989,[],"","","","",[20],[],""
5685,"global_total_minimum_added_chaos_damage","","","",3,"","",1,"","","",1334373906,[],"","","",1,[29],[],""
5686,"global_total_maximum_added_chaos_damage","","","",3,"","",1,"","","",1408591770,[],"","","",1,[29],[],""
5687,"virtual_always_ignite","","","",4,"","",1,"","","",-105113060,[],"","","","",[20],[],""
5688,"trap_additional_random_duration_ms",1,"","",3,"",1,"","","",1,859119421,[],"","","",1,[],[],""
5689,"minions_hits_can_only_kill_ignited_enemies",1,"","",4,"","","","","",1,-1796388923,[],"","","","",[],[],""
5690,"hits_can_only_kill_ignited_enemies","","","",4,"","","","","",1,1991691008,[],"","","","",[],[],""
5691,"additional_spell_block_%_while_cursed","","","",1,"","","","","",1,-421500451,[],"","","",1,[],[],""
5692,"additional_block_%_while_not_cursed","","","",1,"","","","","",1,-386570208,[],"","","",1,[],[],""
5693,"virtual_poison_effect_+%","","","",1,"","",1,"","","",1479991642,[],"","","",1,[16],[],""
5694,"virtual_physical_damage_cannot_poison","","","",4,"","",1,"","","",448788777,[],"","","","",[20],[],""
5695,"virtual_fire_damage_can_poison","","","",4,"","",1,"","","",733960944,[],"","","","",[20],[],""
5696,"virtual_cold_damage_can_poison","","","",4,"","",1,"","","",-254391801,[],"","","","",[20],[],""
5697,"virtual_lightning_damage_can_poison","","","",4,"","",1,"","","",-1551140312,[],"","","","",[20],[],""
5698,"virtual_chaos_damage_cannot_poison","","","",4,"","",1,"","","",-786230650,[],"","","","",[20],[],""
5699,"non_chaos_damage_cannot_poison","","","",4,"","","","","",1,-369078812,[],"","","","",[],[],""
5700,"all_damage_can_poison","","","",4,"","","","","",1,1682183447,[],"","","","",[],[],""
5701,"ice_spear_second_form_damage_+%","","","",1,"","","","","",1,1126663475,[],"","","",1,[],[],""
5702,"extra_damage_taken_from_crit_while_no_power_charges_+%","","","",1,"","","","","",1,398162371,[],"","","",1,[],[],""
5703,"chest_display_weylams_war","","","",4,"","","","","",1,1098454365,[],"","","","",[],[],""
5704,"minion_movement_speed_+%_per_50_dex","","","",1,"","","","","",1,619494270,[],"","","",1,[],[],""
5705,"minion_attack_speed_+%_per_50_dex","","","",1,"","","","","",1,434879570,[],"","","",1,[],[],""
5706,"main_hand_attack_minimum_added_lightning_damage_per_10_int","","","",3,"","","","","",1,-582274868,[],"","","",1,[],[],1
5707,"main_hand_attack_maximum_added_lightning_damage_per_10_int","","","",3,"","","","","",1,-803884840,[],"","","",1,[],[],1
5708,"off_hand_attack_minimum_added_lightning_damage_per_10_int","","","",3,"","","","","",1,1571020452,[],"","","",1,[],[],1
5709,"off_hand_attack_maximum_added_lightning_damage_per_10_int","","","",3,"","","","","",1,1844170064,[],"","","",1,[],[],1
5710,"main_hand_attack_minimum_added_fire_damage_per_10_strength","","","",3,"","","","","",1,-1564310939,[],"","","",1,[],[],1
5711,"main_hand_attack_maximum_added_fire_damage_per_10_strength","","","",3,"","","","","",1,-99509107,[],"","","",1,[],[],1
5712,"off_hand_attack_minimum_added_fire_damage_per_10_strength","","","",3,"","","","","",1,-57854466,[],"","","",1,[],[],1
5713,"off_hand_attack_maximum_added_fire_damage_per_10_strength","","","",3,"","","","","",1,-63524749,[],"","","",1,[],[],1
5714,"fire_beam_start_angle_offset_variance",1,"","",3,"",1,"","","",1,1063172307,[],"","","",1,[],[],""
5715,"display_monster_may_inflict_bleeding","","","",4,"","","","","",1,-157394218,[],"","","","",[],[],""
5716,"virtual_bleeding_effect_+%","","","",1,"","",1,"","","",-658494044,[],"","","",1,[2],[],""
5717,"virtual_bleeding_effect_+%_final","","","",1,"","",1,"","","",1438632540,[],"","","",1,[2],[],""
5718,"active_skill_bleeding_effect_+%_final","","","",1,"","","","","",1,1872951392,[],"",1,"",1,[],[],""
5719,"frog_god_number_of_orbs_to_summon",1,"","",3,"","","","","",1,-850326696,[],"","","",1,[],[],""
5720,"virtual_ignite_effect_+%_final","","","",1,"","",1,"","","",1099631689,[],"","","",1,[16],[],""
5721,"physical_damage_with_attack_skills_+%","","","",1,"","","","","",1,-1742906216,[],"","","",1,[],[],""
5722,"elemental_damage_with_attack_skills_+%","","","",1,"Elemental Damage With Attack Skills +%","","","","",1,-1290770741,[],1,"","",1,[],[],""
5723,"fire_damage_with_attack_skills_+%","","","",1,"","","","","",1,-1008459592,[],1,"","",1,[],[],""
5724,"cold_damage_with_attack_skills_+%","","","",1,"","","","","",1,966561360,[],1,"","",1,[],[],""
5725,"lightning_damage_with_attack_skills_+%","","","",1,"","","","","",1,1486844275,[],1,"","",1,[],[],""
5726,"chaos_damage_with_attack_skills_+%","","","",1,"","","","","",1,-32193152,[],1,"","",1,[],[],""
5727,"doedre_aura_damage_+%_final",1,"","",1,"","","","","",1,117801066,[],"","","",1,[],[],""
5728,"base_fire_damage_%_of_maximum_life_plus_maximum_ES_to_deal_per_minute",1,"","",1,"","","","","",1,1666425614,[],"","","",1,[],[],""
5729,"cast_at_teleport_start_%",1,"","",1,"","","","","",1,-1515677910,[],"","","",1,[],[],""
5730,"cast_at_teleport_end_%",1,"","",1,"","","","","",1,1724941389,[],"","","",1,[],[],""
5731,"summoned_monsters_are_parented_to_my_target",1,"","",4,"","","","","",1,-981256227,[],"","","","",[],[],""
5732,"cast_at_mortar_impact_%",1,"","",1,"","","","","",1,516447390,[],"","","",1,[],[],""
5733,"mortar_has_triggered_skills",1,"","",4,"","","","","",1,-1498001067,[],"","","","",[],[],""
5734,"active_skill_base_attack_damage_final_+permyriad","","","",1,"","","","","",1,846566788,[],"",1,"",1,[],[],""
5735,"map_bosses_have_summon_zombie_giant","","","",4,"","","","","",1,380566518,[],"","","","",[],[],""
5736,"monster_spawn_bloodlines_zombie_giant",1,"","",4,"","","","","",1,1662826006,[],"","","","",[],[],""
5737,"critical_hit_damaging_ailment_effect_+%","","","",3,"","","","","",1,1974820247,[],1,"","",1,[],[],""
5738,"monster_ignite_effect_+%_final_if_not_player_minion","","","",1,"","","","","",1,-454321737,[],"","","",1,[],[],""
5739,"monster_bleeding_effect_+%_final_if_not_player_minion","","","",1,"","","","","",1,-1963380469,[],"","","",1,[],[],""
5740,"monster_poison_effect_+%_final_if_not_player_minion","","","",1,"","","","","",1,2113900382,[],"","","",1,[],[],""
5741,"virtual_poison_effect_+%_final","","","",1,"","",1,"","","",958351429,[],"","","",1,[16],[],""
5742,"bleeding_moving_damage_%_of_base_override",1,"","",1,"","","","","",1,654364794,[],"","","",1,[],[],""
5743,"active_skill_if_used_through_frostbolt_damage_+%_final","","","",1,"","","","","",1,919216932,[],"",1,"",1,[],[],""
5744,"used_through_frostbolt","","","",4,"","","","","",1,1627487403,[],"",1,"","",[],[],""
5745,"display_monster_may_inflict_maim","","","",4,"","","","","",1,-186697763,[],"","","","",[],[],""
5746,"support_attack_skills_elemental_damage_+%_final","","","",1,"","","","","",1,538831444,[],"","","",1,[],[],""
5747,"elemental_damage_with_attack_skills_+%_while_using_flask",1,"","",1,"","","","","",1,1644381694,[],1,"","",1,[],[],""
5748,"support_burning_damage_+%_final","","","",1,"","","","","",1,-881059093,[],"","","",1,[],[],""
5749,"bleeding_skill_effect_duration",1,"","",3,"","",1,"","",1,-553471819,[],"","","",1,[2],[],""
5750,"bleed_duration_is_skill_duration",1,"","",4,"","","","","",1,1846788014,[],"","","","",[],[],""
5751,"base_all_ailment_duration_+%",1,"","",1,"","","","","",1,-1090969684,[],2,"","",1,[],[],""
5752,"shocked_enemies_explode_for_%_life_as_lightning_damage","","","",1,"","","","","",1,-617892200,[],"","","",1,[],[],""
5753,"track_number_of_enemies_shocked_recently",1,"","",4,"","",1,"","","",-1311050110,[],"","","","",[36],[],""
5754,"number_of_enemies_shocked_recently","","","",3,"","","","","",1,1766487423,[],"","","",1,[],[],""
5755,"damage_+%_if_you_have_shocked_recently","","","",1,"","","","","",1,680720469,[],1,"","",1,[],[],""
5756,"herald_mana_reservation_override_45%",1,"","",4,"","","","","",1,-1089066688,[],"",1,"","",[],[],""
5757,"avoid_stun_35%_per_active_herald","","","",4,"","","","","",1,-352541370,[],"","","","",[],[],""
5758,"number_of_active_heralds","","","",3,"","",1,"","","",-1194321426,[],"","","",1,[0],[],""
5759,"base_avoid_stun_%","","","",1,"","","","","",1,1124358765,[],11,"","",1,[],[],""
5760,"herald_of_ash_burning_damage_+%_final","","","",1,"","","","","",1,-1860923033,[],"","","",1,[],[],""
5761,"depair_bear_upheaval_movement_speed_+%",1,"","",1,"","","","","",1,155726190,[],"","","",1,[],[],""
5762,"virtual_ignite_faster_burn_%","","","",1,"","",1,"","","",-1869145778,[],"","","",1,[20],[],""
5763,"kill_traps_mines_and_totems_on_death","","","",4,"","","","","",1,229691048,[],"","","","",[],[],""
5764,"chest_drop_X_divination_cards","","","",3,"","","","","",1,1101416514,[],"","","",1,[],[],""
5765,"chest_drop_divination_cards_with_full_stack_number_X","","","",3,"","","","","",1,1371300579,[],"","","",1,[],[],""
5766,"fire_beam_prioritise_players_for_targeting","","","",4,"","","","","",1,1152633300,[],"","","","",[],[],""
5767,"support_ignite_proliferation_radius","","","",3,"","","","","",1,265111595,[],"","","",1,[],[],""
5768,"support_maimed_enemies_physical_damage_taken_+%","","","",1,"","","","","",1,1424691188,[],"","","",1,[],[],""
5769,"support_chance_to_ignite_fire_damage_+%_final","","","",1,"","","","","",1,1181926840,[],"","","",1,[],[],""
5770,"support_better_ailments_damaging_ailment_effect_+%_final","","","",1,"","","","","",1,-641705466,[],"","","",1,[],[],""
5771,"support_better_ailments_hit_damage_+%_final","","","",1,"","","","","",1,-1744107466,[],"","","",1,[],[],""
5772,"additional_chaos_resistance_against_damage_over_time_%","","","",1,"","","","","",1,777594689,[],10,"","",1,[],[],""
5773,"from_code_active_skill_hit_damage_+%_final",1,"","",1,"","","","","",1,-1015630805,[],"",1,"",1,[],[],""
5774,"hit_damage_+%","","","",1,"","","","","",1,-1728163562,[],"","","",1,[],[],""
5775,"uncapped_chaos_damage_over_time_resistance_%","","","",1,"","",1,"","",1,499855886,[],"","","",1,[0],[],""
5776,"attack_cast_movement_speed_+%_if_taken_a_savage_hit_recently","","","",1,"","","","","",1,1258015543,[],3,"","",1,[],[],""
5777,"chaos_resistance_%_for_you_and_allies_affected_by_your_auras",1,"","",1,"","","","","",1,1709232440,[],"","","",1,[],[],""
5778,"additional_block_chance_%_for_you_and_allies_affected_by_your_auras",1,"","",1,"","","","","",1,617530073,[],"","","",1,[],[],""
5779,"attack_cast_movement_speed_+%_for_you_and_allies_affected_by_your_auras",1,"","",1,"","","","","",1,-1726955473,[],"","","",1,[],[],""
5780,"mana_regeneration_rate_per_minute_if_used_movement_skill_recently","","","",3,"","","","","",1,-159025449,[],"","","",1,[],[],""
5781,"movement_speed_+%_if_placed_trap_or_mine_recently","","","",1,"","","","","",1,-1088390895,[],18,"","",1,[],[],""
5782,"trap_and_mine_damage_+%_if_armed_for_4_seconds","","","",1,"","","","","",1,-1842699063,[],"","","",1,[],[],""
5783,"skill_effect_and_damaging_ailment_duration_+%","","","",1,"","","","","",1,-267506027,[],2,"","",1,[],[],""
5784,"active_skill_damage_over_time_from_projectile_hits_+%_final","","","",1,"","","","","",1,268526274,[],"",1,"",1,[],[],""
5785,"trigger_spawners_time_between_min_ms",1,"","",3,"","","","","",1,2002389646,[],"","","",1,[],[],""
5786,"trigger_spawners_time_between_max_ms",1,"","",3,"","","","","",1,-2029811632,[],"","","",1,[],[],""
5787,"cast_on_delayed_skill_trigger_%",1,"","",3,"","","","","",1,1905318335,[],"",1,"",1,[],[],""
5788,"track_have_used_movement_skill_recently","","","",4,"","",1,"","","",-1362168672,[],"","","","",[36],[],""
5789,"have_used_movement_skill_recently","","","",4,"","","","","",1,-77035015,[],"","","","",[],[],""
5790,"track_have_placed_trap_or_mine_recently","","","",4,"","",1,"","","",-1907927946,[],"","","","",[36],[],""
5791,"have_placed_trap_or_mine_recently","","","",4,"","","","","",1,-1473793713,[],"","","","",[],[],""
5792,"blast_rain_no_los_required",1,"","",4,"",1,"","","",1,1957491820,[],"","","","",[],[],""
5793,"despair_bear_upheaval_physical_damage_to_deal_per_minute",1,"","",3,"","","","","",1,902970756,[],"","","",1,[],[],""
5794,"number_of_additional_ignites_allowed",1,"","",3,"","","","","",1,2130420011,[],"","","",1,[],[],""
5795,"cast_on_trigger_charge_event_%",1,"","",3,"","","","","",1,-209423859,[],"",1,"",1,[],[],""
5796,"support_efficacy_spell_damage_+%_final","","","",1,"","","","","",1,1105802003,[],"","","",1,[],[],""
5797,"support_efficacy_damage_over_time_+%_final","","","",1,"","","","","",1,-1894780233,[],"","","",1,[],[],""
5798,"support_debilitate_poison_effect_+%_final","","","",1,"","","","","",1,-346391524,[],"","","",1,[],[],""
5799,"support_debilitate_hit_damage_+%_final","","","",1,"","","","","",1,2033726741,[],"","","",1,[],[],""
5800,"support_debilitate_hit_damage_+%_final_per_poison_stack","","","",1,"","","","","",1,1880826133,[],"","","",1,[],[],""
5801,"support_debilitate_hit_damage_max_poison_stacks","","","",3,"","","","","",1,1636119042,[],"","","",1,[],[],""
5802,"global_minimum_added_fire_damage_vs_burning_enemies","","","",3,"","","","","",1,-831346215,[],"","","",1,[],[],""
5803,"global_maximum_added_fire_damage_vs_burning_enemies","","","",3,"","","","","",1,-360540775,[],"","","",1,[],[],""
5804,"support_unbound_ailments_damaging_ailment_effect_+%_final","","","",1,"","","","","",1,1775449459,[],"","","",1,[],[],""
5805,"trigger_charge_additional_block_chance_against_projectiles_%",1,"","",1,"",1,"","","",1,912816712,[],"","","",1,[],[],""
5806,"chaos_damage_resistance_is_doubled","","","",4,"","","","","",1,840080344,[],10,"","","",[],[],""
5807,"skill_area_of_effect_+%_while_no_frenzy_charges","","","",1,"","","","","",1,-259780199,[],"","","",1,[],[],""
5808,"global_critical_strike_multiplier_+_while_you_have_no_frenzy_charges","","","",3,"","","","","",1,680813901,[],"","","",1,[],[],""
5809,"gain_maximum_power_charges_on_power_charge_gained_%_chance","","","",1,"","","","","",1,1690282608,[],16,"","",1,[],[],""
5810,"damage_+%_per_power_charge","","","",1,"","","","","",1,973328645,[],1,"","",1,[],[],""
5811,"base_fire_damage_can_poison","","","",4,"","","","","",1,-953799846,[],"","","","",[],[],""
5812,"base_cold_damage_can_poison","","","",4,"","","","","",1,1780282738,[],"","","","",[],[],""
5813,"base_lightning_damage_can_poison","","","",4,"","","","","",1,1645017665,[],"","","","",[],[],""
5814,"fire_skills_chance_to_poison_on_hit_%","","","",1,"","","","","",1,1128609357,[],"","","",1,[],[],""
5815,"cold_skills_chance_to_poison_on_hit_%","","","",1,"","","","","",1,1228736321,[],"","","",1,[],[],""
5816,"lightning_skills_chance_to_poison_on_hit_%","","","",1,"","","","","",1,490891756,[],"","","",1,[],[],""
5817,"movement_attack_skills_attack_speed_+%","","","",1,"","","","","",1,-1777274004,[],"","","",1,[],[],""
5818,"local_socketed_herald_gem_level_+","",1,"",3,"","","","","",1,-1951600153,[],"","","",1,[],[],""
